[00:00.000 --> 00:26.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[56:04.000 --> 56:12.000]  It also will mean in terms of the appointment of FISA judges a more diverse set of judges than those that were chosen by the Chief Justice alone.
[56:12.000 --> 56:14.000]  Yeah, that means Obama people got put in.
[56:14.000 --> 56:16.000]  That vetting process of Senate confirmation.
[56:16.000 --> 56:17.000]  That's good.
[56:17.000 --> 56:25.000]  So that's him going in and actually having Obama take over the FISA court but saying it's for transparency and openness and to release stuff.
[56:25.000 --> 56:28.000]  Now he says don't release anything or you're a Russian agent.
[56:28.000 --> 56:30.000]  So there you go.
[56:30.000 --> 56:34.000]  Just briefly, when you financially support us, it makes it all possible.
[56:34.000 --> 56:42.000]  Thank you for your support books, videos, t-shirts, documentary films, thousands of great items in FullWareStore.com.
[56:42.000 --> 56:47.000]  We have to end this special. What it is is DNA Force Plus but I'm calling it Cell Force.
[56:47.000 --> 56:50.000]  But I think I'm going to go back to the name DNA Force Plus.
[56:50.000 --> 56:53.000]  We had a contractual issue but now we're authorized to use that name.
[56:53.000 --> 57:00.000]  But it's more the BioPQQ, more the CoQ10, more of all of it, a lot more of it at a much lower price.
[57:00.000 --> 57:06.000]  So this is an amazing known for again, helping the telemeters not shrink as fast, helping detoxify the cells.
[57:06.000 --> 57:07.000]  There's nothing like it.
[57:07.000 --> 57:08.000]  You and your family deserve it.
[57:08.000 --> 57:12.000]  It helps support the broadcast Cell Force, 53% off right now.
[57:12.000 --> 57:15.000]  PollenBlock's about to sell out, 50% off.
[57:15.000 --> 57:16.000]  People love that.
[57:16.000 --> 57:18.000]  We have the new shirt of the month.
[57:18.000 --> 57:19.000]  It's a limited edition.
[57:19.000 --> 57:21.000]  Trump pants 2020.
[57:21.000 --> 57:28.000]  And it says a perfect vision for America with a white American flag on the right shoulder.
[57:28.000 --> 57:30.000]  An info wars on the back.
[57:30.000 --> 57:31.000]  That is a limited edition.
[57:31.000 --> 57:32.000]  Sign up for that.
[57:32.000 --> 57:33.000]  Get 20% off.
[57:33.000 --> 57:34.000]  Get a new shirt every month.
[57:34.000 --> 57:40.000]  Call anytime, infowarstore.com or triple eight, two five, three, three one, three nine.
[57:40.000 --> 57:43.000]  And a lot of other specials are about to end as well.
[57:43.000 --> 57:45.000]  Second hour only minutes away.
[57:45.000 --> 58:12.000]  Fight against the globalist accelerates the victory speed.
[58:12.000 --> 58:18.000]  We've brought out a lot of amazing products like survival shield X to supermail vitality
[58:18.000 --> 58:23.000]  and so many others with its unique delivery system and proprietary manufacturing process
[58:23.000 --> 58:25.000]  designed for maximize effects.
[58:25.000 --> 58:29.000]  This formula is the platinum standard of multivitamin mineral products.
[58:29.000 --> 58:31.000]  And this part is most important.
[58:31.000 --> 58:38.000]  The ingredients in vitamin mineral fusion are either plant derived or of the highest quality lab standard.
[58:38.000 --> 58:42.000]  That means it's clean, that means it's pure and rest secured.
[58:42.000 --> 58:44.000]  You're finding the tip of the spear in the info war.
[58:44.000 --> 58:47.000]  That's infowarslives.com and vitamin mineral fusion.
[58:47.000 --> 58:50.000]  Take action now before we sell out.
[58:50.000 --> 58:53.000]  Matt and Ohio, you're on the air.
[58:53.000 --> 58:54.000]  Another Matt, go ahead.
[58:54.000 --> 58:59.000]  Yeah, hey, listen, I just wanted to say real quick, I'm a long time listener of info wars.
[58:59.000 --> 59:04.000]  And I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic.
[59:04.000 --> 59:08.000]  And that really is a great way to deal with this battle in the info war.
[59:08.000 --> 59:16.000]  It might seem like a simple thing, but they particularly these slogan t-shirts that you guys got up right now are absolutely amazing.
[59:16.000 --> 59:17.000]  Well, thank you.
[59:17.000 --> 59:22.000]  My favorite new one is the don't tread on me, but said it says won't tread on me.
[59:22.000 --> 59:24.000]  And it's a big Deglo snake, Gadsden snake.
[59:24.000 --> 59:27.000]  And then it's got the American flag infowars.com on the right arm.
[59:27.000 --> 59:33.000]  I mean, that's a great way just to meet like minded people and spread the word and also exercise free speech.
[59:33.000 --> 59:38.000]  And the newest one is trigger warning t-shirt trigger warning t-shirt,
[59:38.000 --> 59:43.000]  which is the symbol of a trigger with a yield sign and then infowars.com on the back.
[59:43.000 --> 59:48.000]  That is the new shirt of the mind available exclusively at infowarstore.com.
[59:48.000 --> 59:59.000]  You're listening to the Alex Jones show.
[59:59.000 --> 01:00:26.000]  Live from the infowars.com studios, it's Alex Jones.
[01:00:26.000 --> 01:00:29.000]  We are back live broadcasting worldwide.
[01:00:29.000 --> 01:00:32.000]  We have a very special guest joining us in the third hour.
[01:00:32.000 --> 01:00:46.000]  It is a national television host, but also a political scientist with a leading political scientist in Russia to give you the Russian response to what's going on in the world.
[01:00:46.000 --> 01:00:52.000]  And the accelerated move towards war with Russia, one of the only failings of the Trump administration,
[01:00:52.000 --> 01:00:56.000]  but one that if it goes wrong could end life on this planet.
[01:00:56.000 --> 01:00:59.000]  So that should be extremely informative.
[01:00:59.000 --> 01:01:10.000]  I also intend to open the phones up to get your take on the Super Bowl behavior on the illegal alien reportedly killing the Colts Edwin Jackson and the media tried to cover it up.
[01:01:10.000 --> 01:01:18.000]  On gender bending chemicals found in plastics linked to breast and prostate cancer are found in 86% of teenager bodies at high levels.
[01:01:18.000 --> 01:01:24.000]  Ooh, mainstream media reporting that. But first, let's go to this report, MSM Gaslights America.
[01:01:24.000 --> 01:01:35.000]  Regardless of what the Mockingbird media may have told you about the Nunez memo details, that media continues to desperately gaslight America into looking the other way.
[01:01:35.000 --> 01:01:41.000]  All right. Do you feel like you know more or less about the safety of Robert Mueller's job?
[01:01:41.000 --> 01:01:51.000]  I feel as confused as I think most Americans do right now. I think it feels a little bit like, you know, when you're in the supermarket and there's Muzak in the background.
[01:01:51.000 --> 01:01:55.000]  It's there. It's a constant noise, but you can't quite make out the song.
[01:01:55.000 --> 01:01:56.000]  Yeah, it's called you.
[01:01:56.000 --> 01:02:00.000]  Hashtag release the memo was way more important than the actual memo.
[01:02:00.000 --> 01:02:05.000]  When I was reading that memo, I thought, okay, what was the big news here? What exactly am I reading?
[01:02:05.000 --> 01:02:13.000]  We have seen the blowing of a lot of smoke this week. The smoke will dissipate. I mean, and then Mueller's going to continue with his investigation.
[01:02:13.000 --> 01:02:25.000]  The goal here really isn't to find out the answers from the FBI. The goal here is to undermine the FBI, discredit the FBI, discredit the Mueller investigation, do the president's bidding.
[01:02:25.000 --> 01:02:33.000]  But I don't really understand how any of this is important. So I'm just going to treat this memo like every other memo I've received at work and completely ignore it.
[01:02:33.000 --> 01:02:40.000]  The president of the White House think that by saying we support the masses of the FBI, but we oppose in its strong language.
[01:02:40.000 --> 01:02:45.000]  The president's talking about basically corruption at the FBI today, but we oppose the leadership.
[01:02:45.000 --> 01:02:52.000]  The workforce is going to look at this and say, this is an attack on our ability to conduct an investigation with integrity.
[01:02:52.000 --> 01:02:58.000]  There's hundreds of agents and analysts working on this investigation. It's not just Christopher Wray, the FBI director.
[01:02:58.000 --> 01:03:07.000]  So the FBI people, I'm going to tell you, are ticked, and they're going to be saying, I guarantee it, you think you can push us off this because you can try to intimidate the director?
[01:03:07.000 --> 01:03:16.000]  You better think again, Mr. President. You've been around for 13 months. We've been around since 1908. I know how this game is going to be played. We're going to win.
[01:03:16.000 --> 01:03:18.000]  The memo has no impact on the Russia probe.
[01:03:18.000 --> 01:03:23.000]  Not to me it doesn't, and I was pretty intricately involved in the drafting of it.
[01:03:23.000 --> 01:03:32.000]  Rosenstein or McCabe. Those are the names that will be burning your ears as the truth is gradually ripped away from the spin.
[01:03:32.000 --> 01:03:41.000]  Rod Rosenstein gave the Steele dossier, the DOJ, seal of approval by signing off on at least one FISA application to surveil Carter Page.
[01:03:41.000 --> 01:04:00.000]  The Daily Caller reports Bruce Orr's wife was employed by Fusion GPS to assist in the cultivation of opposition research on Trump, or later provided the FBI with all of his wife's opposition research paid for by the DNC and Clinton campaign via Fusion GPS.
[01:04:00.000 --> 01:04:09.000]  The Orr's relationship with Steele and Fusion GPS was inexplicably concealed from the court when it was used to obtain a surveillance warrant.
[01:04:09.000 --> 01:04:25.000]  And Andrew McCabe, after stepping down as deputy director of the FBI, is now being held accountable by the FISA memo claiming that McCabe had knowledge that no surveillance warrant would have been sought from the FISC without the Steele dossier information.
[01:04:25.000 --> 01:04:34.000]  Although still secretive testimony by McCabe may refute this claim, regardless, McCabe was knee-deep in anti-Trump territory.
[01:04:34.000 --> 01:04:45.000]  Now the facts are laid bare. What to do with a cabal taking on the most powerful office in the land? All due to hubris-riddled, power-mad-driven, pure partisanship.
[01:04:45.000 --> 01:04:57.000]  John Bown reporting for Infowars.com.
[01:05:16.000 --> 01:05:31.000]  And there's no way to quantify how strong this is, but the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[01:05:31.000 --> 01:05:47.000]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy, this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there, and it's amazing.
[01:05:47.000 --> 01:06:09.000]  Find out for yourself today at InfowarsStore.com. What to do for your family. And again, I want to thank you all for your support. You are funding the Information War in 2018.
[01:06:18.000 --> 01:06:24.000]  Live from the Infowars.com studios, it's Alex Jones.
[01:06:24.000 --> 01:06:37.000]  They say that imitation is the most sincere form of flattery. And when I imitate someone, I do it because I think they've done a great job, and I think that they've been very thought-provoking.
[01:06:37.000 --> 01:06:53.000]  And you have to understand, usually they're also imitating somebody else and then improving on it. So a lot of times the crew, they'll say, well, college reform already did that, where they went out and read Trump's tax reform plan, but said it was Bernie Sanders.
[01:06:53.000 --> 01:07:08.000]  And then 99% of people said, oh, it's a wonderful, wonderful plan when they thought it was Bernie Sanders, but really it's Trump. Just to show how they're dumbed down, they're biased, they're not informed, they don't know what's going on.
[01:07:08.000 --> 01:07:19.000]  And whether it's California or whether it's New York or whether it's areas like the University of Texas, we don't go down there to show that they're stupid to get off on it.
[01:07:19.000 --> 01:07:38.000]  We do it because it's frightening. And you go to a conservative or libertarian era, you go to their areas, half the people will actually catch on to what you're doing and be aware.
[01:07:38.000 --> 01:07:53.000]  The other half will say, hey, I'm too busy right now. Get that camera out of my face. Or give me more information. What group are you with? Now, exactly, again, they're just canning. They know what's going on.
[01:07:53.000 --> 01:08:01.000]  But you go talk to liberal areas and it's like they've been hit between the eyes with a sledgehammer.
[01:08:01.000 --> 01:08:09.000]  By the way, guys, I don't know if I asked you to do this. It's audio. He was on a radio show. Will you guys get this? Kimmel says lives, excel at late night.
[01:08:09.000 --> 01:08:24.000]  Hosts because of a job requires intelligence and we ought to play some clips of the random people at Democrat Party rallies. I mean, they really make you want to cry how stupid and how brainwashed they are.
[01:08:24.000 --> 01:08:34.000]  But getting back to this, college reform goes out every week and shows this. They'll go out and say the Bernie Sanders plan.
[01:08:34.000 --> 01:08:41.000]  But really, it's the Trump plan or they'll go out and say, hey, we've got state of the union quotes from Trump.
[01:08:41.000 --> 01:08:48.000]  And then they say they hate it because it's Trump. But then he tells them, no, that's actually Barack Obama.
[01:08:48.000 --> 01:08:58.000]  Trump could be handing out free $1,000 bills they would want. It's like Mark Dice goes out. We've done it too. We try to hand people free gold coins and they won't take it.
[01:08:58.000 --> 01:09:09.000]  Here, here's a $1,000 gold coin. I'm going to give it to you. No, I don't want that.
[01:09:09.000 --> 01:09:19.000]  And first we'll start out. I'll give you $5. I'll give you this $1,000 gold coin or whatever it is at that time's cost.
[01:09:19.000 --> 01:09:27.000]  And they just shake their head because they're so ignorant. They don't know how to even look at a coin and see what's real or whoa, that's heavy.
[01:09:27.000 --> 01:09:34.000]  They don't know how to bite it. They don't know. They just think you're trying to give them a flying saucer or something.
[01:09:34.000 --> 01:09:42.000]  And that's really it. They're domesticated. The one thing you need to know about so-called modern leftist is they're not real classical liberals.
[01:09:42.000 --> 01:09:49.000]  They're super followers. They're super scared. They're super sheltered.
[01:09:49.000 --> 01:09:54.000]  They're unhealthy and they're dumb.
[01:09:54.000 --> 01:10:01.000]  But they are crazed and want to run your life. They're like a pack of dangerous lemmings.
[01:10:01.000 --> 01:10:04.000]  So I'm going to get into Kimmel coming up in the next segment.
[01:10:04.000 --> 01:10:17.000]  But right now I wanted to play college reform and I'm going to have one of the crew, whether it's Millie, Owen, who wants to go, just go back down to UT or go back down to South Congress and just sit there and say,
[01:10:17.000 --> 01:10:34.000]  listen to horrible Trump's state of the union and then give them Obama quotes and just like where college reform did this, where they did this in New York, it'll be exactly the same and you're like, what happened to these people?
[01:10:34.000 --> 01:10:39.000]  But the big story isn't just that when they hear it's Trump, they hate it even though it's Obama.
[01:10:39.000 --> 01:10:45.000]  Trump means it when he says these positive things about America and is doing it.
[01:10:45.000 --> 01:10:49.000]  Trump's surrogates go out and promote what Trump said at the state of the union.
[01:10:49.000 --> 01:10:52.000]  Obama would say a lot of good stuff because he's the good cop.
[01:10:52.000 --> 01:10:55.000]  And then his surrogates go out and say America is inherently evil.
[01:10:55.000 --> 01:11:01.000]  America is inherently bad. America is the worst thing ever since gonorrhea or since cancer.
[01:11:01.000 --> 01:11:08.000]  Your kids don't belong to you. Christianity is bad. Veterans are bad. Police are all bad.
[01:11:08.000 --> 01:11:13.000]  Demoralization. You can't have your churches. They said that at the state of the union last week.
[01:11:13.000 --> 01:11:19.000]  You see, his surrogates do one thing and then he comes out and says another until he is talking to Democrats.
[01:11:19.000 --> 01:11:22.000]  He's like, we'll get these better clangers. They're guns and they're Bibles.
[01:11:22.000 --> 01:11:27.000]  We're going to get them domesticated and break these families up and we're going to make sure they don't have cars or air conditioning.
[01:11:27.000 --> 01:11:33.000]  And by the way, they think they built their businesses. They didn't build their businesses.
[01:11:33.000 --> 01:11:43.000]  Or the WikiLeaks, Hillary, you know, these damn baristas, man, these people. I hate my scum followers. They're all a bunch of slugs.
[01:11:43.000 --> 01:11:49.000]  But I guess we made them that way. And then the top professor who's advising her goes, ma'am, we just need to intensify.
[01:11:49.000 --> 01:11:52.000]  They're not listening to our message, but at least we can cause culture war.
[01:11:52.000 --> 01:11:57.000]  She's like, yes, send me a file on that. And then culture war is black on white.
[01:11:57.000 --> 01:12:01.000]  And now we have their memos doing it. And you turn on MSNBC or CNN.
[01:12:01.000 --> 01:12:07.000]  I mean, that's like science fiction or something. Now you'd cause a race war.
[01:12:07.000 --> 01:12:13.000]  I mean, you tune into it and it's so evil. It's so naked. It's so ridiculously obvious.
[01:12:13.000 --> 01:12:19.000]  But you got to remember, they got those audiences slowly.
[01:12:19.000 --> 01:12:27.000]  Building them up with the BS, titrating the poison until the average person gets bit by 10 foot King Cobra.
[01:12:27.000 --> 01:12:32.000]  They roll over and die in five minutes. But if you've been building the dough set for 20 years like a snake handler,
[01:12:32.000 --> 01:12:39.000]  you can get bit, you kind of get high off of it and maybe your teeth fall out or something, but, you know, you still live.
[01:12:39.000 --> 01:12:46.000]  And it's the same thing. These people are like zombies because they bought into all this craziness and it just gets wackier and wackier.
[01:12:46.000 --> 01:12:52.000]  What they're being fed to keep them on the plantation has gotten so crazy that now they're believing all this.
[01:12:52.000 --> 01:12:59.000]  So they're like an aversal reality totally whacked out. And that's why Brian Stelter and all of them keep saying we're in a virtual reality.
[01:12:59.000 --> 01:13:08.000]  Those of us that are countering them because they know they're there holding the fort with a bubble, a force field of idiocy over what they've got left.
[01:13:08.000 --> 01:13:13.000]  Let's go ahead and go to this students. Hey, Trump's State of the Union.
[01:13:13.000 --> 01:13:19.000]  I'm Kevin Phillips of Campus Reform. Today we're at John Jay College getting reactions to President Trump's State of the Union address last night.
[01:13:19.000 --> 01:13:28.000]  We're going to give them a few quotes from the speech and ask their reaction, except the quotes we're giving them are actually from President Obama's State of the Union addresses.
[01:13:28.000 --> 01:13:30.000]  What will they have to say? Let's find out.
[01:13:30.000 --> 01:13:34.000]  So I have a few quotes here from the State of the Union. I want to get your feedback first.
[01:13:34.000 --> 01:13:42.000]  Talking about ISIS saying, quote, we need to call them what they are, killers and fanatics. You have to be hunted down and destroyed. What's your thought on that?
[01:13:42.000 --> 01:13:49.000]  Well, first of all, ISIS is fake. It's something the government made up so they can continue doing what they want to do, which is world domination.
[01:13:49.000 --> 01:13:55.000]  Donald Trump should like, you know, mind his own business and like just focus on America because he's the president of the United States.
[01:13:55.000 --> 01:14:02.000]  We're going to come back and play the rest of this. Back it up. Some leftists are actually super smart.
[01:14:02.000 --> 01:14:08.000]  And that's why I used to call myself a conservative or a liberal because the liberals had some good issues like decriminalization of drugs.
[01:14:08.000 --> 01:14:12.000]  And then the right wing had some good things like pro-second amendment, right to life, stuff like that.
[01:14:12.000 --> 01:14:17.000]  But I didn't like the Republican blue bloods. That guy actually gets that ISIS was made up.
[01:14:17.000 --> 01:14:23.000]  But by Hillary and Obama and Trump said, back that up 10 seconds, please.
[01:14:23.000 --> 01:14:34.000]  Trump is the one that said Hillary and Obama created ISIS and turned them loose all over the Middle East and CNN promoted them as good guys. Remember that?
[01:14:34.000 --> 01:14:39.000]  So he's still an anti-Trump guy. They come back to him.
[01:14:39.000 --> 01:14:47.000]  But it doesn't matter. Trump and the Russians, that's the only Russian conclusion there's been, when it predates Trump, clean them out.
[01:14:47.000 --> 01:14:55.000]  Russians did like 90% of it. But so the guy gets that right, but it's Obama that did it with his cousin Odinga. Let's continue.
[01:14:55.000 --> 01:15:02.000]  Well, first of all, ISIS is fake. It's something the government made up so they can continue doing what they want to do, which is world domination.
[01:15:02.000 --> 01:15:09.000]  Donald Trump should like, you know, mind his own business and like just focus on America because he's the president of the United States, not of the whole world.
[01:15:09.000 --> 01:15:14.000]  I feel like that's a very strong statement. When you say something like that, it kind of makes you like a target.
[01:15:14.000 --> 01:15:20.000]  Or if you're a threat to this country, we're going to get you for that. It's just ridiculous.
[01:15:20.000 --> 01:15:27.000]  Next up, talking about the general world stage saying, quote, when you come after Americans, we come after you.
[01:15:27.000 --> 01:15:31.000]  It may take time, but we have long memories and our reach has no limit. What's your thought on that?
[01:15:31.000 --> 01:15:37.000]  Well, I don't think that's a good way of handling something. It's like he doesn't seem...
[01:15:37.000 --> 01:15:43.000]  When we come back, the exciting conclusion when they learned it's Obama. But see, that was just his rhetoric versus him resupplying,
[01:15:43.000 --> 01:15:48.000]  I'm giving him the weapons, creating the name, winding it all up, and that's been declassified.
[01:15:48.000 --> 01:15:57.000]  Then we'll get into Jimmy Kimmel. He says working Americans who aren't on welfare are stupid.
[01:15:57.000 --> 01:16:04.000]  Fully cooked, ready to eat bacon. I'm talking thick, meaty, center cut, presidential bacon. Savory and delicious.
[01:16:04.000 --> 01:16:10.000]  I buy some, I use some, I store some. Awesome. No refrigeration needed with a 10-year shelf life.
[01:16:10.000 --> 01:16:17.000]  NASA Pack technology. Bacon. Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[01:16:17.000 --> 01:16:22.000]  Or warm and serve. Life saving, ready to eat bacon. 10-year shelf life bacon.
[01:16:22.000 --> 01:16:27.000]  Ships free at fullycookedbacon.com, fullycookedbacon.com
[01:16:27.000 --> 01:16:34.000]  Water is the single most important thing your body needs. So you want to be sure it's the best for you and your family.
[01:16:34.000 --> 01:16:43.000]  Since 2005, thousands have depended on Berkey purified water. The Berkey guy provides the lowest price filtration systems in every size.
[01:16:43.000 --> 01:16:52.000]  For incredibly delicious water now and in an emergency, get to goberkey.com or call 877-886-3653.
[01:16:52.000 --> 01:17:16.000]  Goberkey.com.
[01:17:22.000 --> 01:17:27.000]  Atlas Survival Shelters. The world leader in fallout shelters.
[01:17:27.000 --> 01:17:34.000]  Hear that? That's the sound of a house being trashed while a gang of thieves ransacked the place.
[01:17:34.000 --> 01:17:37.000]  And what they don't steal will be destroyed.
[01:17:37.000 --> 01:17:48.000]  This year, resolve not to be the next victim of a break-in. Go to faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[01:17:48.000 --> 01:17:55.000]  Security is a mindset, and fake TV should be part of your security solution. Be vigilant, but not fearful.
[01:17:55.000 --> 01:18:19.000]  faketv.com
[01:18:19.000 --> 01:18:26.000]  Super male vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[01:18:26.000 --> 01:18:30.000]  InfoWarsLife wants to bring you the highest quality products.
[01:18:30.000 --> 01:18:39.000]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[01:18:39.000 --> 01:18:43.000]  Support your body and mind and take yourself to the next level.
[01:18:43.000 --> 01:18:47.000]  Boost your vitality and energize your life.
[01:18:47.000 --> 01:18:54.000]  Take control of your body. Grab a bottle of super male vitality today at infowarslife.com.
[01:18:54.000 --> 01:19:23.000]  That's infowarslife.com.
[01:19:24.000 --> 01:19:29.000]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[01:19:29.000 --> 01:19:42.000]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma longifolia, originally from Malaysia,
[01:19:42.000 --> 01:19:48.000]  makaroo from Peru, horny goatweed from China, and tribulus from India.
[01:19:48.000 --> 01:20:01.000]  Reach your alpha male potential with Alpha Power. Get Alpha Power now at 50% off and secure your bottle today.
[01:20:01.000 --> 01:20:10.000]  You're listening to the Alex Jones Show.
[01:20:10.000 --> 01:20:23.000]  Defending the Republic from enemies born and domestic. It's Alex Jones.
[01:20:23.000 --> 01:20:29.000]  So they've taught the modern domesticated trindioids, I wouldn't even call them liberals.
[01:20:29.000 --> 01:20:37.000]  That's how we identify them in the common vernacular, uh, semantical parlance.
[01:20:37.000 --> 01:20:46.000]  They believe they're fighting for their very existence. They believe they're being destroyed by thousands of big companies being incentivized to come back to the U.S.
[01:20:46.000 --> 01:20:49.000]  For colleges to actually teach curriculum that gets them a good job.
[01:20:49.000 --> 01:20:59.000]  They think having sovereignty and having free markets bad, they believe being victims and being part of endlessly divided,
[01:20:59.000 --> 01:21:12.000]  organized, atomized, desperate, alone groups controlled by their local factotum, their local potentate, they believe that that somehow gives them power.
[01:21:12.000 --> 01:21:22.000]  And then they're all taught everyone outside of the bubble is dumb. That's why Google, Twitter, Facebook, Amazon are all building bubble cities.
[01:21:22.000 --> 01:21:31.000]  They don't just look like bubbles. Some areas are domed bubbles, but dome cities where it's all connected hundreds of structures,
[01:21:31.000 --> 01:21:43.000]  enclosed parks, you name it, where you're all in a community like yourself. They have a name for it. It's called a cult.
[01:21:43.000 --> 01:21:50.000]  So this is the type of dystopia many, many sociologists and psychologists say is coming.
[01:21:50.000 --> 01:21:56.000]  And of course they're doing it in the Middle East, not just from the climate, but that's that's what cults do.
[01:21:56.000 --> 01:22:06.000]  So ladies and gentlemen, we get back to the campus reform video where they hear what Obama said, but they tell him Trump said it, they're against it.
[01:22:06.000 --> 01:22:13.000]  But then when they hear that Obama said it, they suddenly like it. Students hate Trump's state of the union quotes, but they're Obama's.
[01:22:13.000 --> 01:22:21.000]  It's always the same. That's how Mark Dyson go up and say, we're going to put all the Jews in concentration camps for Obama.
[01:22:21.000 --> 01:22:27.000]  And almost every person signs the document on the beach in LA.
[01:22:27.000 --> 01:22:31.000]  Because if it's for Obama, you got to do it. They'll do anything.
[01:22:31.000 --> 01:22:38.000]  And these are people that speak English. We're going to put the gun owners in forced labor camps and we're going to kill some of them.
[01:22:38.000 --> 01:22:46.000]  And they say, yeah, that's a great idea. It's time to take these people out. It's like a well-spoken guy saying this because it's all about their power.
[01:22:46.000 --> 01:22:52.000]  And they sit there and they watch these channels and they really believe we are Nazis out to get them.
[01:22:52.000 --> 01:23:05.000]  And then their main patron, their main supplier, their main funder, their main God is a true, actual, bona fide, certified, documented,
[01:23:05.000 --> 01:23:14.000]  lettered, admitted, self-confessed, unapologetic, died in the wall.
[01:23:14.000 --> 01:23:22.000]  Psychopath who spent hundreds of billions of swindled dollars trying to take over the whole world,
[01:23:22.000 --> 01:23:26.000]  crashed more than, what, 15 economies bankrupted countless nations.
[01:23:26.000 --> 01:23:31.000]  When I grew up even watching PBS when my mom was cooking dinner, I first heard about Soros,
[01:23:31.000 --> 01:23:38.000]  as this international criminal in the late 80s, kind of crashed the British pound.
[01:23:38.000 --> 01:23:43.000]  I mean, back then they were on him. He was a guest. He's like, I do not apologize. I mean, I don't do whatever I want.
[01:23:43.000 --> 01:23:49.000]  But then by the day, it's like, how dare Alex Jones call George Soros a Nazi? He fought the Nazis.
[01:23:49.000 --> 01:23:54.000]  You're watching Anderson Cooper. Surprise. They don't show him like in a Captain America outfit.
[01:23:54.000 --> 01:24:01.000]  Now Soros fought with Captain America and the, and the Hulk, the Incredible Hulk.
[01:24:01.000 --> 01:24:07.000]  And of course, Hulkamania, he fought with the Hulkster as well. They all fought Hitler.
[01:24:07.000 --> 01:24:13.000]  It was actually George Soros that climbed into the bunker with a knife at his teeth and stabbed Hitler when he was 16 years old.
[01:24:13.000 --> 01:24:19.000]  He went, die, Hitler! No, he went on 60 minutes and said, I am not the shame of how I survived doing it.
[01:24:19.000 --> 01:24:23.000]  I would help round up the Jews, my fellow Jews. His dad wrote a book about it.
[01:24:23.000 --> 01:24:30.000]  And then again, they're defending it. They think that's tough. They want a Nazi in there.
[01:24:30.000 --> 01:24:36.000]  The average mutated hunchback leftist weirdo likes evil. They like dirty things.
[01:24:36.000 --> 01:24:41.000]  They're hot as porn. It's torturing animals. I mean, you go to what the left's into, man.
[01:24:41.000 --> 01:24:47.000]  They're in denialism. They're not the left. They're a bunch of wimps living on the back of the country in bubbles
[01:24:47.000 --> 01:24:54.000]  who then are pissed at everybody else when they peer out from their meth haze from playing 20 hours of video games a day.
[01:24:54.000 --> 01:25:01.000]  And they see upright, strong people that aren't completely crushed by this sick culture and they think there's the enemy.
[01:25:01.000 --> 01:25:05.000]  Let's, I'm sorry, let's continue.
[01:25:05.000 --> 01:25:10.000]  He doesn't think before speaking and how, how it's going to offend a lot of people.
[01:25:10.000 --> 01:25:16.000]  He should be careful because there's other countries out in the world that has like, you know, like automatic buttons
[01:25:16.000 --> 01:25:20.000]  and, you know, nuclear bombs. I mean, he's got small hands, so I don't know about his reach, so.
[01:25:20.000 --> 01:25:24.000]  And finally, he's talking about China saying China wants to write the rules.
[01:25:24.000 --> 01:25:28.000]  That would put us at a disadvantage. Why should we let that happen? We should write those rules.
[01:25:28.000 --> 01:25:33.000]  I wouldn't mess with China. He's over the top in general, so it's hard for the course.
[01:25:33.000 --> 01:25:38.000]  It's like everything is out the window, like, oh, whatever he's, oh, oh, China, China, China.
[01:25:38.000 --> 01:25:45.000]  I guess the way that he approaches things is very aggressive and that's not the best way to approach situations.
[01:25:45.000 --> 01:25:51.000]  What if I told you that all three of these quotes were actually from President Obama's State of the Unions?
[01:25:51.000 --> 01:25:53.000]  Um, all right.
[01:25:53.000 --> 01:25:55.000]  Bull of s***, aren't you?
[01:25:55.000 --> 01:25:57.000]  What's your thought? Are you surprised?
[01:25:57.000 --> 01:26:00.000]  Um, kind of, yeah. It's actually crazy to hear that.
[01:26:00.000 --> 01:26:04.000]  I think there's a bias against President Trump when it comes to hearing a speech like the State of the Union.
[01:26:04.000 --> 01:26:06.000]  Um, yeah, I do think there's a bias.
[01:26:06.000 --> 01:26:12.000]  I guess, uh, bias is really bad in general just because, uh, you don't agree with it. It doesn't mean it's not right.
[01:26:12.000 --> 01:26:20.000]  I am definitely not a huge fan of him. However, I think, um, you know, being closed-minded is probably more dangerous than anything he could do.
[01:26:20.000 --> 01:26:25.000]  Some people are quick to, like, judge you on Donald Trump just because, um, like, a few things he said.
[01:26:25.000 --> 01:26:32.000]  But I think, like, if they pay this whole presidency, like, maybe they'll, like, have a, like, a better, um, like, you know, outlook on him
[01:26:32.000 --> 01:26:34.000]  and a better, like, you know, perspective in general.
[01:26:34.000 --> 01:26:38.000]  Because, unfortunately, a lot of times what you hear is tainted by bias and you really can't go off that.
