[00:00:04.735 --> 00:00:06.256]  It is Wednesday.
[01:09:27.362 --> 01:09:32.163]  And then you can break the conditioning, literally having a discussion about this.
[01:09:32.163 --> 01:09:34.263]  The left won't hate you, the right won't hate you.
[01:09:34.263 --> 01:09:36.844]  It will neutralize with a simple picture.
[01:09:36.844 --> 01:09:41.384]  Because most of the public is at like a second or third grade child-like level.
[01:09:41.384 --> 01:09:42.785]  And you can, like a storybook.
[01:09:42.785 --> 01:09:44.445]  Maybe I should write a children's book for adults.
[01:09:44.445 --> 01:09:45.725]  You know, for the general public.
[01:09:45.725 --> 01:09:47.225]  Who are kind of at that level.
[01:09:47.225 --> 01:09:51.726]  Where it's a parable about how there's a good cop and a bad cop.
[01:09:51.726 --> 01:09:53.707]  But kind of put it in a fairytale situation.
[01:09:53.707 --> 01:09:56.047]  And then you learn at the end that both guys were bad.
[01:09:56.547 --> 01:09:58.367]  And that they were running a scam.
[01:09:58.367 --> 01:10:02.288]  And that they work for the same evil count.
[01:10:02.288 --> 01:10:07.409]  I mean, maybe I should write children's books for adults.
[01:10:07.409 --> 01:10:21.012]  Because this is so fundamentally simple, but people are bought in to all the pageantry and all the debates and all the little fine details of the false left-right paradigm.
[01:10:21.012 --> 01:10:23.953]  It's like a football game or a soap opera.
[01:10:23.953 --> 01:10:25.033]  They get caught up in it.
[01:10:27.475 --> 01:10:29.899]  The establishment really are shysters.
[01:10:29.899 --> 01:10:31.782]  They are yarn spinners.
[01:10:31.782 --> 01:10:33.584]  They are magicians.
[01:10:34.656 --> 01:10:35.737]  That's what they're doing.
[01:10:35.737 --> 01:10:40.120]  So we love this shirt available at Infowars.com because it wakes people up in a big way.
[01:10:40.120 --> 01:10:47.506]  While you're at Infowars.com, I would invite everybody to also check out films like Endgame, Terror Storm, The Obama Deception.
[01:10:47.506 --> 01:10:56.013]  All these films are so important that your friends, your family, your neighbors see, and we have big discounts on all of those films at Infowars.com.
[01:10:56.013 --> 01:10:58.295]  You can also call toll-free to
[01:11:00.299 --> 01:11:06.303]  Order any of my documentary films, books, t-shirts, materials we carry, and your purchase also makes everything we do here possible.
[01:11:06.303 --> 01:11:08.464]  Without you, we couldn't do this, so I want to thank everybody.
[01:11:08.464 --> 01:11:12.647]  Without ThePrisonPlanet.tv members, without folks buying the books and videos and t-shirts, we couldn't do it.
[01:11:12.647 --> 01:11:13.507]  The toll-free number is 888-253-3139. 888.
[01:11:17.790 --> 01:11:26.774]  253-3139, or if you want to order the books and videos, you can call the toll-free number and find out all the details and prices and combos and specials, and you can write to us if you'd like.
[01:11:26.774 --> 01:11:27.995]  You can order over the phone.
[01:11:27.995 --> 01:11:32.958]  If you'd like to get the address, you can also call and find out, you know, details and prices by calling 888-253-3139.
[01:11:32.958 --> 01:11:35.559]  My mailing address is 3001 South Lamar Suite 100, Austin, Texas 78704.
[01:11:44.841 --> 01:11:47.527]  Also, we are having the annual Money Bomb.
[01:11:47.527 --> 01:11:50.394]  I don't know if it'll be annual next year, but it'll be the second annual Money Bomb.
[01:11:50.394 --> 01:11:51.596]  The first one was set up by...
[01:11:52.679 --> 01:11:55.221]  Volunteers that had the idea on their own.
[01:11:55.221 --> 01:11:58.404]  We're doing this same time of the year, start of the summer.
[01:11:58.404 --> 01:12:02.107]  It's June 11th, and you can find out more at InfoWarsMoneyBomb.com.
[01:12:02.107 --> 01:12:06.471]  That will go to get more equipment, expand what we're doing, hire more people.
[01:12:06.471 --> 01:12:11.756]  And we'll hire and do whatever we can with the money that comes in from that.
[01:12:11.756 --> 01:12:17.160]  And you can certainly see the changes from our old studios to this one, thanks to all of your support out there.
[01:12:18.021 --> 01:12:33.565]  Okay, let me go ahead now and hit a few news stories I haven't gotten to, and then I'm going to break down the Cybersecurity Act control grid, and just use that new announcement, this new cabinet level position under the White House.
[01:12:33.565 --> 01:12:43.847]  Not just an example of federalization and federal takeover and control, but admitting everything will be wiretapped, which it already is, this just expands it, and admitting that so they can kill switch everything.
[01:12:43.847 --> 01:12:44.307]  I want to
[01:12:46.607 --> 01:13:08.829]  I want to go over that today and tie it in to the whole eugenics situation, but in the interest of time, because we do have Steve Voss coming up and Kinky Friedman in studio, I want to go ahead and run through some of the news that we have here.
[01:13:08.829 --> 01:13:10.371]  Here's my Wall Street Journal article.
[01:13:12.179 --> 01:13:15.120]  Stack of stuff just gets bigger and bigger here.
[01:13:15.120 --> 01:13:20.163]  In a first high court affirms gun rights.
[01:13:20.163 --> 01:13:23.404]  Now remember we heard that June 27, 2008.
[01:13:23.404 --> 01:13:25.505]  It was another Wall Street Journal.
[01:13:25.505 --> 01:13:26.505]  I printed this this morning.
[01:13:26.505 --> 01:13:36.750]  There's another Wall Street Journal dealing with how Sotomayor's rulings where she has said in previous federal courts, that's the one I want,
[01:13:37.788 --> 01:13:41.595]  Where she says, yes, you have a right for us to take your guns.
[01:13:41.595 --> 01:13:43.779]  You have a right to join the military.
[01:13:43.779 --> 01:13:45.141]  That is the Second Amendment.
[01:13:45.141 --> 01:13:46.484]  No one is allowed to own guns.
[01:13:46.484 --> 01:13:48.006]  The Attorney General has that opinion.
[01:13:49.451 --> 01:13:52.574]  Eric Holder, the President, as a State Senator and U.S.
[01:13:52.574 --> 01:13:53.575]  Senator, held that opinion.
[01:13:53.575 --> 01:13:54.416]  That's on record.
[01:13:54.416 --> 01:13:55.597]  It's not our opinion.
[01:13:55.597 --> 01:13:59.601]  They've introduced bills to massively restrict the Second Amendment.
[01:13:59.601 --> 01:14:03.705]  Here's a Bloomberg I have on it, but this doesn't really get into Sotomayor.
[01:14:03.705 --> 01:14:10.192]  It says, headline, Chicago law banning handguns in city upheld by court.
[01:14:11.863 --> 01:14:16.906]  The Wall Street Journal article is good because it gets into Sotomayor and lists all her activities.
[01:14:16.906 --> 01:14:23.031]  A Chicago ordinance banning handguns and automatic weapons within city limits was upheld by the U.S.
[01:14:23.031 --> 01:14:28.154]  Court of Appeals panel, which rejected a challenge by the National Rifle Association.
[01:14:28.154 --> 01:14:30.536]  The unanimous three-judge panel ruled today that the U.S.
[01:14:30.536 --> 01:14:31.877]  Supreme Court decision last year
[01:14:32.557 --> 01:14:36.259]  Which recognized individual right to bear arms under the U.S.
[01:14:36.259 --> 01:14:41.122]  Constitution, Second Amendment, didn't apply to states and municipalities.
[01:14:41.122 --> 01:14:45.745]  And that Supreme Court ruling was, uh, five to four, very, very narrowly for the Second Amendment.
[01:14:45.745 --> 01:14:57.892]  And I read the statements of the court, which were added into precedent, and I argued with some of the pro-gun groups, and I said, this is the consistent thing George W. Bush said, and what Hangar Control Incorporated says.
[01:14:58.956 --> 01:15:02.357]  They're saying, oh you have a right, Second Amendment, if you're in the military.
[01:15:02.357 --> 01:15:04.557]  But we have a right to ban your guns.
[01:15:04.557 --> 01:15:07.738]  And I kept warning people, this is what you're now going to see.
[01:15:07.738 --> 01:15:13.339]  And now they've had states ruling this way, cities ruling this way, counties ruling this way.
[01:15:13.339 --> 01:15:17.219]  And see, the federal government's only there to protect the Bill of Rights.
[01:15:17.219 --> 01:15:18.700]  And to have a navy and defend the borders.
[01:15:18.700 --> 01:15:19.560]  And to coin the money.
[01:15:19.560 --> 01:15:21.420]  And they don't do any of those things they're supposed to.
[01:15:21.420 --> 01:15:25.761]  This is one issue where the states do not have a right to restrict the Second Amendment.
[01:15:26.957 --> 01:15:28.057]  They have no right.
[01:15:28.057 --> 01:15:32.378]  This is a federal right.
[01:15:32.378 --> 01:15:33.858]  And it is also reserved to the states.
[01:15:33.858 --> 01:15:37.059]  But when the states try to go after that, or the feds do, it's null and void.
[01:15:37.059 --> 01:15:39.760]  And I've read the anti-federalist papers, the federalist papers.
[01:15:39.760 --> 01:15:45.641]  I have read scores of books on the real Second Amendment, and that is the facts.
[01:15:45.641 --> 01:15:48.402]  Anybody tells you something else, they're a liar.
[01:15:48.402 --> 01:15:53.903]  A Chicago ordinance banning handguns and automatic weapons within city limits was upheld by the U.S.
[01:15:53.903 --> 01:15:54.883]  Court of Appeals panel.
[01:15:55.862 --> 01:15:56.122]  We're good.
[01:16:16.644 --> 01:16:25.868]  Esther Brooke wrote upholding lower court decisions last year to throw out suits against Chicago and its suburb of Oak Park, Illinois.
[01:16:25.868 --> 01:16:31.210]  In Fairfax, Virginia-based NRA sued the municipalities in June of 2008, one day after the U.S.
[01:16:31.210 --> 01:16:32.071]  Supreme Court decision
[01:16:32.751 --> 01:16:37.733]  The District of Columbia versus Heller struck down the handgun ban in the U.S.
[01:16:37.733 --> 01:16:40.174]  Capitol District encompassing Washington.
[01:16:40.174 --> 01:16:42.274]  See, this thing's making it sound reasonable.
[01:16:42.274 --> 01:16:49.937]  They've got basically all guns banned in Chicago, and if you can go pay for a special permit and jump through a bunch of hoops, you can own one.
[01:16:49.937 --> 01:16:50.857]  A rifle.
[01:16:50.857 --> 01:16:52.358]  It was a total gun ban in D.C.
[01:16:53.599 --> 01:16:56.283]  Uh, for all intents and purposes, but they act like it was just handguns.
[01:16:56.283 --> 01:16:58.347]  We clearly disagree with the court's conclusion.
[01:16:58.347 --> 01:17:08.122]  Representative of the NRA, Attorney William N. Howard, a partner in Chicago's Freeborn and Peters LLP, said in a telephone interview, the next step will be an appeal to the Supreme Court.
[01:17:10.629 --> 01:17:13.791]  We recognize this may not be the end of litigation.
[01:17:13.791 --> 01:17:22.336]  Jenny Hoyle, a spokeswoman for the City of Chicago Law Department said, acknowledging the likelihood the NRA would seek further review, we're certainly prepared for that.
[01:17:22.336 --> 01:17:25.078]  If it happens, we're prepared to aggressively defend our ordinance.
[01:17:25.078 --> 01:17:29.680]  Because Chicago is Mafia Don, daily run.
[01:17:29.680 --> 01:17:35.424]  And when the Mafia comes in and robs a bank, they say, get your hands up, they make the security guard, the American people, drop their guns.
[01:17:36.224 --> 01:17:38.365]  I mean, Hitler took the people's guns.
[01:17:38.365 --> 01:17:39.926]  Blacks couldn't own guns.
[01:17:39.926 --> 01:17:41.307]  Native Americans couldn't own guns.
[01:17:41.307 --> 01:17:50.192]  When you're going to enslave somebody and muscle them and push them around, you want them disarmed, so you have to come to the mafia for protection, which is the police and the government.
[01:17:50.192 --> 01:18:03.019]  See, they want to be able to oppress you and you can't resist them, and they want crime to explode, as their own white papers admit, so there needs to be more and more cops, more and more control, to then feed off that larger crime system and basically tax the criminals.
[01:18:03.499 --> 01:18:12.448]  So they want a big, healthy crime syndicate to scare the sucker public into submitting to them and have a big, healthy criminal system that they can suck off of as well.
[01:18:12.448 --> 01:18:14.771]  So they suck off the criminals and they suck off the slaves.
[01:18:17.711 --> 01:18:20.393]  The Second Amendment adopted in 1791 as part of the Bill of Rights.
[01:18:20.393 --> 01:18:27.317]  The Second Amendment reads, in its entirety, a well-regulated militia being necessary to the security of a free country and the right of the people to keep their arms shall not be infringed.
[01:18:27.317 --> 01:18:39.944]  In Heller, the High Court struck down the Washington's 32-year-old gun law, which barred most residents of the city from owning handguns and required that all legal firearms be kept unloaded and either disassembled or under trigger lock.
[01:18:39.944 --> 01:18:44.707]  Six residents had challenged the law, saying they wanted firearms available in their homes for self-defense.
[01:18:44.707 --> 01:18:46.148]  Yeah, people that got raped and robbed.
[01:18:48.112 --> 01:18:49.353]  So, there you go.
[01:18:49.353 --> 01:18:51.715]  I told you what the Supreme Court ruling would do.
[01:18:51.715 --> 01:18:52.936]  I read it.
[01:18:52.936 --> 01:18:55.719]  And it says, you got a right to the Second Amendment.
[01:18:55.719 --> 01:18:58.581]  And then they say, we're going to define what Second Amendment means.
[01:18:58.581 --> 01:19:02.785]  Second Amendment means we come and you hand your guns over.
[01:19:02.785 --> 01:19:03.926]  Period.
[01:19:03.926 --> 01:19:06.989]  You have a right to turn your guns over.
[01:19:06.989 --> 01:19:09.131]  Because it says we have a right to ban whatever we want.
[01:19:09.131 --> 01:19:11.353]  Oh yeah, you got a right, but we got a right to ban it.
[01:19:12.745 --> 01:19:16.068]  That's just like the United Nations Universal Declaration of Human Rights.
[01:19:16.068 --> 01:19:17.729]  Articles 1 through 30.
[01:19:17.729 --> 01:19:18.870]  Or is it 31?
[01:19:18.870 --> 01:19:27.077]  And Article 29 and 30 state, oh, all these great rights we just said you have, that we say we give you, the UN doesn't give you anything.
[01:19:27.077 --> 01:19:28.559]  You gotta take it.
[01:19:28.559 --> 01:19:32.882]  As a free person, your red blood and your guts gives you freedom.
[01:19:32.882 --> 01:19:39.108]  They say in there, in that piece of legislation,
[01:19:40.970 --> 01:19:43.852]  That Obama's got introduced that they're going to ban most the guns.
[01:19:43.852 --> 01:19:45.252]  So this is happening.
[01:19:45.252 --> 01:19:46.413]  This is going on.
[01:19:46.413 --> 01:19:49.955]  And in the articles of the U.N.
[01:19:49.955 --> 01:19:57.079]  Charter of Declaration of Human Rights 29 and 30, it says all these rights don't count if we say they don't.
[01:19:57.079 --> 01:19:58.400]  So it's no rights at all.
[01:20:00.854 --> 01:20:03.216]  This is Alex Jones for American Tax Settlement.
[01:20:03.216 --> 01:20:12.725]  We have received news that the IRS is currently accepting reduced settlements on back taxes, and millions of consumers may be eligible for this reduction to save thousands of dollars.
[01:20:12.725 --> 01:20:20.752]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement.
[01:20:20.752 --> 01:20:26.677]  For all Alex Jones listeners to see if you qualify for a settlement with the IRS to save thousands, the number to call is 1-800.
[01:20:27.538 --> 01:20:28.138]  We're good to go.
[01:20:49.129 --> 01:20:53.070]  If you owe 10,000 or more in taxes to the IRS, the number to call is 1-800-506-5904.
[01:20:53.070 --> 01:20:53.370]  That's 1-800-506-5904.
[01:20:53.370 --> 01:20:53.590]  Call today.
[01:20:53.590 --> 01:20:57.051]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:21:07.410 --> 01:21:13.291]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[01:21:13.291 --> 01:21:19.793]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:21:19.793 --> 01:21:21.753]  Well, Obama's already fudging.
[01:21:21.753 --> 01:21:24.214]  He's fudged since day one of this election.
[01:21:24.214 --> 01:21:35.096]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascist.
[01:21:37.398 --> 01:21:39.079]  It's not about left or right.
[01:21:39.079 --> 01:21:40.940]  It's about a one-world government.
[01:21:40.940 --> 01:21:47.843]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:21:47.843 --> 01:21:56.107]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:21:56.107 --> 01:21:57.668]  The Obama Deception.
[01:21:57.668 --> 01:21:58.869]  The people strike back.
[01:22:00.424 --> 01:22:00.925]  Good day.
[01:22:00.925 --> 01:22:02.767]  Jim Newcomer from Midas Resources.
[01:22:02.767 --> 01:22:03.427]  June 3rd, 2009.
[01:22:03.427 --> 01:22:04.749]  Gold opened this morning at $977.
[01:22:04.749 --> 01:22:06.070]  A one-ounce gold coin can be purchased for $1,470.
[01:22:06.070 --> 01:22:07.692]  $502.35 for the half-ounce and $251.18 for a quarter-ounce.
[01:22:07.692 --> 01:22:07.952]  That's $1,470.
[01:22:07.952 --> 01:22:08.333]  $502.35 and $251.18.
[01:22:19.739 --> 01:22:23.421]  We've been hearing the USA has been spending money faster than tax collections.
[01:22:23.421 --> 01:22:26.542]  Now the government has published the document that sounds the alarm.
[01:22:26.542 --> 01:22:36.027]  That's right, the United States Government Accountability Office, the GAO, has published the Long-Term Fiscal Outlook document, clearly stating that the federal debt burden is spiraling out of control.
[01:22:36.027 --> 01:22:41.850]  This will directly affect programs like Social Security to FDIC's ability to insure bank deposits.
[01:22:41.850 --> 01:22:44.191]  Taxation and inflationary printing of the U.S.
[01:22:44.191 --> 01:22:46.612]  dollar are inevitable pressures facing the economy.
[01:22:47.032 --> 01:22:50.418]  Get this document free by calling 800-686-2237.
[01:22:50.418 --> 01:22:54.185]  The USGAO has spelled it out in black and white.
[01:22:54.185 --> 01:22:54.486]  Call 800-686-2237.
[01:22:54.486 --> 01:22:54.666]  That's 800-686-2237.
[01:23:00.464 --> 01:23:01.165]  You worry.
[01:23:01.165 --> 01:23:03.507]  If you don't, you don't understand the situation.
[01:23:03.507 --> 01:23:04.067]  Hi.
[01:23:04.067 --> 01:23:06.850]  Summer's coming, and now's the time to learn self-sufficiency.
[01:23:06.850 --> 01:23:11.394]  If you're going to eat from nature's bounty of wild edible plants, remember, there's a learning curve.
[01:23:11.394 --> 01:23:13.856]  Experience is the best teacher, but that means time.
[01:23:13.856 --> 01:23:16.899]  To speed it up, you'll need to build on the wisdom of a teacher who has lived it.
[01:23:17.199 --> 01:23:19.142]  Author Linda Runyon is that teacher.
[01:23:19.142 --> 01:23:21.926]  Her Wild Food Knowledge Package is the crash course.
[01:23:21.926 --> 01:23:25.651]  The DVD gives you a three-hour overview of her world directly from her.
[01:23:25.651 --> 01:23:30.077]  The book gives you an in-depth reference with all of the insider know-how you'll ever need.
[01:23:30.077 --> 01:23:33.802]  And her Wild Cards are your portable summary and cheat sheet for your fieldwork.
[01:23:34.142 --> 01:23:40.486]  This three-pronged learning system will take you from spectator to scholar to gourmet survivalist in weeks, not years.
[01:23:40.486 --> 01:23:42.828]  Folks, I can vouch that Linda's the real deal.
[01:23:42.828 --> 01:23:44.949]  She's my mom and I watched her do it.
[01:23:44.949 --> 01:23:49.612]  So go to offthefield.com or call 888-51-EAT-FREE.
[01:23:49.612 --> 01:23:50.513]  Start now.
[01:23:50.513 --> 01:23:52.234]  Knowledge is power.
[01:23:52.234 --> 01:23:53.234]  Better take action.
[01:23:53.234 --> 01:23:54.195]  I think a storm's coming.
[01:24:12.711 --> 01:24:21.415]  Cyrus Jones from 1810 to 1913 made his great-grandchildren believe you could live to 103.
[01:24:21.415 --> 01:24:29.019]  103 is forever when you're just a little kid.
[01:24:29.019 --> 01:24:35.922]  So, Cyrus Jones lived forever, grave digger.
[01:24:35.922 --> 01:24:41.105]  Boy, and you dig my grave, could you make it shallow?
[01:24:43.164 --> 01:24:55.013]  So I can feel the rain, rain.
[01:24:55.013 --> 01:24:56.394]  Mural Stonewall, 1903 to 1954.
[01:25:03.980 --> 01:25:04.981]  We are back live.
[01:25:04.981 --> 01:25:05.981]  Thank you for joining us.
[01:25:05.981 --> 01:25:27.152]  The rest of the hour before Kinky Friedman joins us in studio, I'm going to go over Part 2 of the Cybersecurity Act, Tax Law Society, Global Surveillance, Tracking, Tracing, Straightjacket System.
[01:25:29.500 --> 01:25:36.283]  What you need to understand is, recapping Part 1 and getting into Part 2, is that everything is globally standardized.
[01:25:36.283 --> 01:25:44.207]  Through the OECD, the Organization of Economic Cooperative Development, through the IMF, through the World Bank, through treaties, through NATO.
[01:25:44.207 --> 01:25:54.271]  And of these dozens and dozens of groups, there's less than 50 big powerful global groups, they're all chaired by less than 100 people.
[01:25:54.271 --> 01:25:58.653]  And they all interlock on the different boards.
[01:26:00.811 --> 01:26:27.974]  You know, the heads of the Bilderberg Group will be some of the head people on the Trilateral Commission, and the head people on the CFR, and the head people on the Club of Rome, and the head people at the Rand Corporation, who are also the head people at the Federal Reserve, who are the head people at the Bank of England, who are the head people at the United Nations, who are the head people of the OECD, who are the head people of the IMF, the head people of the World Bank, and the head people of IBM, and the head people of GM, or the head people at Microsoft, and Brookshire Hathaway.
[01:26:29.448 --> 01:26:40.994]  I mean, you go to these meetings, you cover these meetings, you track these meetings, Davos and others, it's the same crew, the same people, and they want the same thing, eugenics.
[01:26:40.994 --> 01:26:51.640]  Now, before I get into the cashless grid, remember this story from a week or two ago, and ABC News reported it first, and said, yes, secret meeting of the world elite to carry out eugenics.
[01:26:51.640 --> 01:26:56.043]  But they said it's a good thing, billionaire club and bid to curb overpopulation.
[01:26:58.530 --> 01:27:02.834]  Through a world government.
[01:27:02.834 --> 01:27:06.877]  And it has to be secret, they say, for your own good.
[01:27:06.877 --> 01:27:17.165]  And it's Bill Gates, it's David Rockefeller, it's Warren Buffett, it's Michael Bloomberg, it's Oprah Winfrey, Ted Turner, all the usual suspects.
[01:27:17.165 --> 01:27:21.989]  And they met at Rockefeller University President's private home.
[01:27:21.989 --> 01:27:22.470]  Paul Nurse.
[01:27:24.805 --> 01:27:29.270]  And listen, anytime you cover these, anytime they have these meetings, that's all they talk about.
[01:27:29.270 --> 01:27:31.732]  How do we get world government and world taxes?
[01:27:31.732 --> 01:27:35.696]  And so how do we stage pandemics to get a control grid in?
[01:27:35.696 --> 01:27:38.659]  It's sad we gotta kill everybody, but how do we do it?
[01:27:38.659 --> 01:27:42.863]  You know, Bill Joy of Sun Microsystems, I always plug key things that are well known.
[01:27:42.863 --> 01:27:44.085]  There's thousands of things we could plug.
[01:27:45.279 --> 01:27:48.783]  April issue 2000 of Wired Magazine.
[01:27:48.783 --> 01:27:50.485]  Why the future doesn't need us.
[01:27:50.485 --> 01:28:00.835]  And he said, I went to a top tech private conference with 200 top tech leaders, sworn to secrecy, so I can't say the names.
[01:28:00.835 --> 01:28:04.800]  This is the guy worth 4 billion bucks at that time.
[01:28:04.800 --> 01:28:07.242]  Owns one of the biggest infrastructure companies out there for IT.
[01:28:08.365 --> 01:28:20.798]  Sun Microsystems and he says it was very upsetting it was how do we kill everybody or do we just call most of the people and then let them be entertained by the new technocracy and the elites leaning towards killing everybody?
[01:28:24.741 --> 01:28:27.083]  And then he goes on to quote Theodore Kaczynski.
[01:28:27.083 --> 01:28:34.029]  Why did Kaczynski, this professor, this doctor, admitted, LA Times reports, CIA operative.
[01:28:34.029 --> 01:28:38.553]  He quits, runs to the Bush, and starts bombing people for a decade.
[01:28:38.553 --> 01:28:42.357]  Bombing key people over key technocracies.
[01:28:44.298 --> 01:28:47.300]  I'm not defending what he did, but that's a real environmentalist.
[01:28:47.300 --> 01:28:57.106]  Kaczynski said, my God, they're planning to create a total grid, create a new species of humanoids, this is what the elites say they're doing, merging with cybernetics, and getting rid of most of us.
[01:28:57.106 --> 01:29:05.972]  He said, I gotta go kill these people.
[01:29:05.972 --> 01:29:07.033]  I mean, I can go down the line.
[01:29:08.530 --> 01:29:16.855]  And then you've got all the other transhumanist, and I don't mean the general transhumanist, they always email me and go, how dare you say we're bad, you know, I'm blind and I want to have sight.
[01:29:16.855 --> 01:29:19.596]  That's, you're not really a transhumanist.
[01:29:19.596 --> 01:29:34.905]  Julian Huxley, the brother of Aldous Huxley, the head of the United Nations UNESCO Department, first General of it, Secretary General of it, said,
[01:29:36.260 --> 01:29:39.863]  That eugenics got a bad name with Hitler going too far too quickly.
[01:29:39.863 --> 01:29:42.345]  We're gonna call it transhumanism.
[01:29:42.345 --> 01:29:45.528]  The issue is Ray Kurzweil and all them say the same crap.
[01:29:45.528 --> 01:29:47.910]  How most of us are about to be wiped out.
[01:29:47.910 --> 01:29:51.473]  We're gonna break all this down when we get back and get into the control grid.
[01:29:51.473 --> 01:29:52.874]  We're on the march.
[01:29:52.874 --> 01:29:55.416]  The Empire's on the run.
[01:29:55.416 --> 01:29:58.099]  Alex Jones and the GCN Radio Network.
[01:30:00.831 --> 01:30:02.514]  Hello friends, this is Alex Jones.
[01:30:02.514 --> 01:30:07.262]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:30:07.262 --> 01:30:09.767]  We need to be independent, and food and water is the key.
[01:30:14.953 --> 01:30:19.335]  And beg for FEMA to take care of your family, in any emergency, if you simply prepare.
[01:30:19.335 --> 01:30:22.576]  No one is going to take care of your family in the final equation, but you.
[01:30:22.576 --> 01:30:29.579]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, Salmonella, genetic alteration, or Chinese imports.
[01:30:29.579 --> 01:30:32.860]  And they do it at almost half the cost of last year's grocery prices.
[01:30:32.860 --> 01:30:33.780]  Call 1-800-409-5633.
[01:30:33.780 --> 01:30:38.002]  Or on the web, go to eFoodsDirect.com.
[01:30:38.002 --> 01:30:44.044]  Visit eFoodsDirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[01:30:44.264 --> 01:30:51.191]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:30:51.191 --> 01:30:55.616]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[01:30:55.616 --> 01:30:56.757]  Take action today.
[01:30:56.757 --> 01:31:01.562]  The first step is getting storable food.
[01:31:01.562 --> 01:31:06.848]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[01:31:07.392 --> 01:31:15.957]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[01:31:15.957 --> 01:31:23.082]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[01:31:23.082 --> 01:31:28.845]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[01:31:28.845 --> 01:31:34.409]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to 4 hours.
[01:31:35.149 --> 01:31:41.792]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[01:31:41.792 --> 01:31:46.454]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[01:31:46.454 --> 01:31:49.815]  Check out the patented new silver solution today.
[01:31:49.815 --> 01:31:53.497]  Click on the link and check out the uses for new silver solution.
[01:31:53.497 --> 01:31:58.319]  Order this extra line of defense today by going to SupernaturalSilver.com.
[01:31:58.319 --> 01:32:00.440]  That's SupernaturalSilver.com today.
[01:32:02.017 --> 01:32:12.044]  To ignore the current state of our country, the economy, job layoffs, mass foreclosures, and now we are all at risk of being exposed to this new flu pandemic.
[01:32:12.044 --> 01:32:16.888]  The Center for Disease Control has declared a public health emergency across the United States.
[01:32:16.888 --> 01:32:18.549]  What can you do to prepare yourself?
[01:32:18.549 --> 01:32:21.030]  The answer is ZeroFlu.com.
[01:32:21.030 --> 01:32:24.573]  ZeroFlu.com offers you the very best in air purifiers.
[01:32:24.793 --> 01:32:37.773]  These revolutionary air purifiers protect up to 3,000 square feet of your home and stop 99.9% of airborne allergens, influenza, bacteria, viruses, pollen, dust, pet dander, black mold, MRSA, and more.
[01:32:37.773 --> 01:32:39.997]  Not only from the air, but from all surfaces.
[01:32:40.077 --> 01:32:40.857]  We will not be forgotten.
[01:32:40.857 --> 01:32:41.778]  We won't be left behind.
[01:33:12.200 --> 01:33:26.108]  All right, let me get right back into this cashless society control grid system.
[01:33:27.864 --> 01:33:32.386]  Yesterday I explained how they get us to opt into the Matrix, how they make it entertaining.
[01:33:32.386 --> 01:33:44.313]  The new Xbox scans your body 360 and you get to scan real objects and live in the fantasy world and it's better than the real world and the kids don't talk to each other anymore.
[01:33:44.313 --> 01:33:52.897]  They just sit there texting and adults don't communicate anymore and massive television watching causes Alzheimer's and destroys language abilities.
[01:33:52.897 --> 01:33:56.139]  Literally hundreds and hundreds of studies on record reporting this.
[01:33:58.735 --> 01:34:04.419]  And there's a global standardized world ID system, not just a national ID through real ID.
[01:34:04.419 --> 01:34:11.003]  There's a global treaty signed in 2000 in Australia by UN signatories, including the United States.
[01:34:11.003 --> 01:34:15.946]  And even if Congress doesn't ratify this stuff, it's all standardized and done by the bureaucracies.
[01:34:15.946 --> 01:34:19.088]  And they brought in this system, so we now have a hemispheric
[01:34:20.066 --> 01:34:26.294]  Have you seen the radio and TV ads and print ads about, oh, go right through airports inside the U.S.
[01:34:26.294 --> 01:34:28.717]  We accept the hemispheric cards.
[01:34:28.717 --> 01:34:37.288]  If you're flying from Dallas to L.A., it doesn't matter if you're not leaving the U.S., have this federal hemisphere card and you'll go to the front of the line.
[01:34:38.430 --> 01:34:47.634]  And then see, their feds are saying, you'll have to have that card soon, but they're getting people to opt in, they're beta testing it, they're fine-tuning it.
