[00:00.000 --> 00:02.000]  now
[55:44.640 --> 55:48.640]  And everybody knows, you know, wag the dog, all that in movies.
[55:48.640 --> 55:50.640]  Everybody knows, oh, people stage stuff.
[55:50.640 --> 55:55.640]  And in reality, the left's always getting caught putting swatches on their houses or fake crosses, burnings in their yards.
[55:55.640 --> 56:03.640]  And 9% of the time it's fake.
[56:03.640 --> 56:09.640]  Like night follows day, I'm not saying the owner of the red hen is going to stage something against their facility.
[56:09.640 --> 56:19.640]  But like night follows day, if somebody's smart, if you want to dedicate something to your country, you need to go sit out in front.
[56:19.640 --> 56:21.640]  I wish I had the money. I'd put PIs.
[56:21.640 --> 56:26.640]  If I had billions of dollars, I would say every day have teams of PIs all over the country and say, get on this site.
[56:26.640 --> 56:34.640]  And I would just have PIs watch the red hen show and somebody firebombs it, God forbid, or somebody knocks the windows out or somebody paints a swastika on the door.
[56:34.640 --> 56:38.640]  We can follow them to their house and you know who they're going to be, don't you?
[56:38.640 --> 56:47.640]  We know it'll be, it'll be something like the Southern Prairie Law Center, the ADL, Antifa, which is just college professors in mask.
[56:47.640 --> 56:52.640]  The Lone Rangers going out and hitting women that have bike locks.
[56:52.640 --> 56:57.640]  But I don't have the personnel to do that or the money.
[56:57.640 --> 57:07.640]  But I'm telling you, the left is going to hit the red hen in the next 48 hours, 99% chance.
[57:07.640 --> 57:21.640]  And when they do hit it, we can blow their operation in another devastating victory if somebody just politely goes and sits there and watches it with a camera rolling, you will catch them.
[57:21.640 --> 57:27.640]  It's just thinking like that, that we'll defeat these people 110%.
[57:27.640 --> 57:30.640]  I will never eat in the red turd.
[57:30.640 --> 57:35.640]  And I wish no harm against the red turd, the red hen, the red chicken dropping.
[57:35.640 --> 57:38.640]  Please, in fact, even looks like a chicken neck liberal.
[57:38.640 --> 57:41.640]  In fact, I mean, it's just true, you know when they're liberals.
[57:41.640 --> 57:46.640]  I just think, God, please tell me you don't want me in your restaurant, please.
[57:46.640 --> 57:48.640]  You'll go soap bankrupt.
[57:48.640 --> 57:55.640]  Choose to take control of your chemistry with Survival Shield X2 and Biotru Selenium.
[57:55.640 --> 57:59.640]  This powerful combo is perfect for supporting your thyroid and health.
[57:59.640 --> 58:06.640]  Biotru Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[58:06.640 --> 58:15.640]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals.
[58:15.640 --> 58:23.640]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[58:23.640 --> 58:30.640]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain and overall brain fog.
[58:30.640 --> 58:36.640]  Survival Shield X2 and Biotru Selenium work together to support the systems in your body.
[58:36.640 --> 58:40.640]  Take control of your chemistry today with this super combo.
[58:40.640 --> 58:48.640]  Discover the power of Survival Shield X2 and Biotru Selenium at infowarslife.com.
[59:11.640 --> 59:14.640]  Supporting us, praying for us and spreading the word.
[59:14.640 --> 59:15.640]  You are the info ward.
[59:15.640 --> 59:24.640]  And now because of their intensifying censorship, it's more important than ever that everyone go to infowars.com forward slash newsletter and sign up via email.
[59:24.640 --> 59:31.640]  So there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[59:31.640 --> 59:39.640]  And so now I ask you more than ever to share the infowars.com articles, to share the videos, to tell people by the local stations you're listening to.
[59:39.640 --> 59:46.640]  The bare minimum you can do is sign up for the free newsletter at infowars.com forward slash newsletter.
[59:46.640 --> 01:00:10.640]  We are the renaissance and we are winning.
[01:00:16.640 --> 01:00:20.640]  Because of those who look on and do nothing.
[01:00:20.640 --> 01:00:24.640]  If you are receiving this transmission, you are the resistance.
[01:00:24.640 --> 01:00:28.640]  We now take you live to the Central Texas Command Center.
[01:00:28.640 --> 01:00:36.640]  It's Alex Jones.
[01:00:36.640 --> 01:00:47.640]  That is the one event that made this whole thing news when it's been going on for years and years and years and was never news, was never reported.
[01:00:47.640 --> 01:00:51.640]  What was it that made it news now?
[01:00:51.640 --> 01:00:57.640]  Well, first and foremost was the desire for the media to make it a story.
[01:00:57.640 --> 01:01:01.640]  There is no reporting the news or discovering it.
[01:01:01.640 --> 01:01:02.640]  There is making the news.
[01:01:02.640 --> 01:01:05.640]  That's why I call this a manufactured crisis.
[01:01:05.640 --> 01:01:24.640]  And Boston's theory is that it usually happens with an image, a still photograph or a video that somebody in the media trots out and uses the image to begin shaping the emotional reaction of consumers of news.
[01:01:24.640 --> 01:01:36.640]  I could sit here all day and tell you about President Trump's New Zero Tolerance Immigration Policy, the one that's leading to the separation of children from their parents at the border, and I could help you understand it by maybe quoting numbers or statistics.
[01:01:36.640 --> 01:01:53.640]  I could play soundbites of officials or I could just show you a single picture, this one, of a screaming, terrifying two-year-old little girl wearing a tiny pink jacket, no laces in her shoes, stopped at the U.S. border with her mother.
[01:01:53.640 --> 01:02:01.640]  She is quickly becoming the human face of Trump's New Immigration Policy, one he says he hates, but is refusing to change.
[01:02:09.640 --> 01:02:10.640]  Are we ready yet?
[01:02:10.640 --> 01:02:12.640]  How soon do you think we'll be able to get this cut?
[01:02:12.640 --> 01:02:14.640]  Oh, we're going to be done about four or five hours.
[01:02:14.640 --> 01:02:20.640]  Oh, that's good. We can link that to the press. They can download it on Telstar 401, Transporter 21.
[01:02:20.640 --> 01:02:25.640]  And this just in, a newsbreak special report from the Albanian front.
[01:02:25.640 --> 01:02:33.640]  We've just received information that the young Albanian national fleeing in this video is attempting to escape terrorist reprisals in her village.
[01:02:38.640 --> 01:02:44.640]  America has seldom witnessed a more poignant picture of the human race than that which armed Congress staff.
[01:02:44.640 --> 01:02:50.640]  Fantastic. Thousands of people protested across Texas yesterday.
[01:02:50.640 --> 01:02:55.640]  They accused the administration of punishing undocumented children by removing them from their parents.
[01:02:55.640 --> 01:03:02.640]  Children and adults are seen huddled together in the building that's divided up into chain-link fencing that looks like a cage.
[01:03:02.640 --> 01:03:07.640]  Trump administration officials have been sending babies and other young children.
[01:03:07.640 --> 01:03:14.640]  I don't find it mean, spirited, and un-American.
[01:03:16.640 --> 01:03:19.640]  I can't do a one-up. I can't do it.
[01:03:19.640 --> 01:03:21.640]  The cops.
[01:03:36.640 --> 01:03:40.640]  What's the graphic of this? Thank you.
[01:03:40.640 --> 01:03:50.640]  Everybody cries. But now the man who claims to be the little girl's father says she was in fact not separated from her mother.
[01:03:52.640 --> 01:03:55.640]  They're extremist, open border Democrats.
[01:03:55.640 --> 01:03:59.640]  This is your life now. This is us. This is our country. It's real.
[01:03:59.640 --> 01:04:09.640]  If you are receiving this transmission, you are the resistance.
[01:04:11.640 --> 01:04:14.640]  The authorities are with them. So we have you right there.
[01:04:14.640 --> 01:04:16.640]  This is me.
[01:04:16.640 --> 01:04:21.640]  This is an emergency transmission.
[01:04:21.640 --> 01:04:29.640]  This is an emergency transmission from FEMA Region 6 in the occupied North America.
[01:04:33.640 --> 01:04:39.640]  There is a war. It's happening now. It will decide the fate of humanity.
[01:04:39.640 --> 01:04:57.640]  The time to choose sides has come. We are the resistance. We are the Info War.
[01:04:57.640 --> 01:05:00.640]  I want to plow into all of this.
[01:05:00.640 --> 01:05:17.640]  I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts, or water filtration systems, or books, or videos, or other material from infowarstore.com, you are funding the revolution.
[01:05:17.640 --> 01:05:19.640]  I cannot say it any clearer.
[01:05:19.640 --> 01:05:31.640]  And so it is essential that you purchase the products at infowarstore.com. I want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high quality atomic iodine in it.
[01:05:31.640 --> 01:05:38.640]  You cannot beat that for children and adults. We've got the best mouthwash designed by Dr. Jones. That's my dad with colloidal silver and iodine as well.
[01:05:38.640 --> 01:05:50.640]  InfoWarsLife.com, or triple-A-253-3139. And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[01:05:50.640 --> 01:06:09.640]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[01:06:09.640 --> 01:06:21.640]  You found it. The front lines of the human awakening. It's the infowar. And now, Alex Jones.
[01:06:21.640 --> 01:06:43.640]  Everyone thinks so, but I would never say it. You know what I want to do? I want to get it finished. The prize I want is victory for the world.
[01:06:43.640 --> 01:06:57.640]  This is the heart of 1776. Get a white male! It's also what happens when you listen to the radio host, Alex Jones. Move, bitch! Get out of the way!
[01:06:57.640 --> 01:07:08.640]  We pledge allegiance to one flag, and that flag is the American flag. InfoWars helped fuel the rumor that President Obama is in ISIS support.
[01:07:08.640 --> 01:07:18.640]  It's been a cozy relationship from the beginning. I will not let you down. You'll be very, very impressed, I hope, and I think we'll be speaking a lot.
[01:07:18.640 --> 01:07:26.640]  Donald Trump and Alex Jones. This means that Donald Trump will be the 45th President of the United States.
[01:07:26.640 --> 01:07:33.640]  Waging war on corruption is Alex Jones.
[01:07:33.640 --> 01:07:46.640]  The message I have today is so intense, is so important, is so huge that I wasn't putting on an act earlier. I couldn't even go on air during the first hour.
[01:07:46.640 --> 01:08:08.640]  I had to air some rebroadcast because I've never been someone that has trouble speaking in public, and that's the problem.
[01:08:08.640 --> 01:08:27.640]  I've asked the advice of very important people in this country about what we should do, and they asked me what I thought we should do, and told me that I need to go on air and tell everybody what we need to do.
[01:08:27.640 --> 01:08:39.640]  And that's another level to things, and I can't even figure it out.
[01:08:39.640 --> 01:08:48.640]  But InfoWars did reboot Americana and laid the groundwork for Trump to come in, and Trump knows that.
[01:08:48.640 --> 01:09:08.640]  And so I think I should just open the phones up all week and ask listeners, and we should have a whole college level. We think of college, I don't mean the modern colleges, but the old term college, meaning a big group, brainstorm, think tank discussion about what we're going to do.
[01:09:08.640 --> 01:09:32.640]  Because I don't want to just get up here. I'm a very decisive person, folks know that. I don't want to just get up here and say what we've got to do at this level, facing what we face without laying out what we face, the certainty of it, and then just deciding what we're going to do, because we can't be caught flatfooted here.
[01:09:32.640 --> 01:09:44.640]  And we haven't been. We knew this was coming for a long time. We're kind of boomeranging around it, or leapfrogging over it, and things are turning around very quickly, but that's accelerating the enemy's time lapse.
[01:09:44.640 --> 01:10:08.640]  They're time frame. It is a time lapse. They're accelerating the timetable. And I knew, and I told, I had a meeting with one of my friends and people I respected advisor yesterday, and he said, No, you'll know the right time to make these announcements.
[01:10:08.640 --> 01:10:19.640]  And I said, I think it's tomorrow. I think you're going to see news everywhere that people realize we're in a civil war. It's not coming.
[01:10:19.640 --> 01:10:33.640]  And there's just so many things I want to say. I mean, I want to warn the minions of the left. And I don't say this meanly. Go, go look at yourselves. You look like you're dying. You look mentally retarded.
[01:10:33.640 --> 01:10:44.640]  You're all super in debt, super stupid. And I'm not saying people that are in debt are bad. I'm just saying as a group, you are really been shmup.
[01:10:44.640 --> 01:10:59.640]  And you're going in a bad direction and you're being used. But you're so far down where you are that you can't turn around, it seems. And so I have a lot of frustration here.
[01:10:59.640 --> 01:11:16.640]  I don't want to tell you that you are pathetic. I don't want to sit here, but I mean, look in the mirror. You're the losers.
[01:11:16.640 --> 01:11:25.640]  And I don't mean because you're overweight or whatever. I'm saying as a group, there is a sickness to you, a mental failure.
[01:11:25.640 --> 01:11:34.640]  And you're being played and programmed by very vicious, ruthless people who metaphysically have to tell you what they're doing.
[01:11:34.640 --> 01:11:48.640]  So they've all written books and white papers and given speeches admitting that they put you into this position.
[01:11:48.640 --> 01:12:01.640]  But then there's the realization that we have to triage these people and just count on folks that are already somewhat awake and reach out to them because
[01:12:01.640 --> 01:12:10.640]  you've got a bunch of losers who don't have any personal destiny or power in their lives because they gave it over to the system who are mad that they think because we control destiny
[01:12:10.640 --> 01:12:18.640]  that we're somehow wrecking their lives because we won't subjugate our will to them. It's not happening.
[01:12:18.640 --> 01:12:30.640]  I tweeted out a comment by one of our readers on infowars.com today. Maybe you guys can pull it up. It's the one where I said that the bullies are out there looking for the shark to jump it.
[01:12:30.640 --> 01:12:42.640]  And there's an image with a tweet where the individual points out really who the sides are and who they are and who we are. It's on real Alex Jones.
[01:12:42.640 --> 01:12:54.640]  So I've got such bombshell news here and I haven't really gotten to much of it because I've already told you all this. You already knew this anyway.
[01:12:54.640 --> 01:13:02.640]  So what's the point of repeating everything? Instead, we need to decide what we're going to do about it.
[01:13:02.640 --> 01:13:08.640]  I mean do I need to show you 50 articles with the left saying kill people, attack people, bully people, do this and that?
[01:13:08.640 --> 01:13:14.640]  No, you already know all that. So what are we going to do? They've already made their decision. What are we going to do?
[01:13:14.640 --> 01:13:19.640]  Thanks for finding the tweet. Please put it back on screen for team of viewers. I'll read it for radio listeners.
[01:13:19.640 --> 01:13:24.640]  The bullies are looking for the shark.
[01:13:24.640 --> 01:13:34.640]  Trump has the military said tag team on infowars.com. Trump has the military, the police and the armed patriots tens of millions former military versus Soros,
[01:13:34.640 --> 01:13:49.640]  New World Order movement that has the deep state, Antifa, Muslim terror cells, the MSM, potential urban race riots. Don't forget communist Chinese and big bank funding.
[01:13:49.640 --> 01:13:56.640]  And that's really what it is. And here's the problem. They realize they've already lost politically, intellectually, culturally, financially.
[01:13:56.640 --> 01:14:12.640]  They're so desperate that they are going to push a civil war, believing that a bunch of establishment people who are on the fence will side against Trump to
[01:14:12.640 --> 01:14:26.640]  acquiesce to the left. But every time you acquiesce, it only puts blood in the water and triggers these corporate bots. They're not even the left, historically, to get that much more crazy.
[01:14:26.640 --> 01:14:30.640]  And so this is like appeasing a terrorist or paying off the terrorist.
[01:14:30.640 --> 01:14:36.640]  Trump's been trying to fix the separation of kids from their parents. He's just not letting the Democrats do total release.
[01:14:36.640 --> 01:14:46.640]  And so he's using those levers to get immigration fixed. But notice it just made them 10 times more crazy when he did that and start demanding even more.
[01:14:46.640 --> 01:15:00.640]  Now USA Today, print me that, says civil war has already begun. That was the name of my headline for the live show yesterday.
[01:15:00.640 --> 01:15:08.640]  Soft civil war is underway. It will get worse. That's my exact quote.
[01:15:08.640 --> 01:15:19.640]  Soft civil war. And again, why do the globalists hate me? Because they know I've studied military. I've studied most of these people in government have positions.
[01:15:19.640 --> 01:15:28.640]  They just got their degrees. They don't study anything. And if you want to know what we're facing, we have globalist, communist, Chinese funded traders, literally,
[01:15:28.640 --> 01:15:39.640]  stay behind networks in the government right now who are guaranteed going to start false flagging.
[01:15:39.640 --> 01:15:46.640]  They're going to start blowing up their schools, bombing their universities, attacking their own facilities.
[01:15:46.640 --> 01:15:56.640]  I mean, we're there, false flagged season. And they're going to blame it on the patriot movement and then they're going to try to start a physical civil war.
[01:15:56.640 --> 01:16:00.640]  Most of you know that heart disease is the number one silent killer in the US.
[01:16:00.640 --> 01:16:07.640]  What if I told you for just $54.95 a month you could fight against heart disease naturally at heart and body extract.
[01:16:07.640 --> 01:16:15.640]  We've been helping thousands of people get back to a healthier heart. Don't just take my word for it. Check out all of the success stories at HBXTrack.com
[01:16:15.640 --> 01:16:26.640]  or to order call 866-295-5305. That's 866-295-5305. HBXTrack.com. Don't risk it when you can take charge of it.
[01:16:45.640 --> 01:16:56.640]  You will ever own and only available at TheUltimateKnife.com. Use promo code radio at checkout for free shipping. Get TheUltimateKnife at TheUltimatePrice at TheUltimateKnife.com
[01:16:56.640 --> 01:17:00.640]  Stocks and options trading involves financial risk and is not suitable for all investors.
[01:17:00.640 --> 01:17:06.640]  Fire your stock broker and hire yourself. I'm Scott Bauer and I've been a professional trader for over 25 years.
[01:17:06.640 --> 01:17:11.640]  I've traded for Goldman Sachs and was the first Amazon market maker at the Chicago Board Options Exchange.
[01:17:11.640 --> 01:17:18.640]  I'm also the CEO here at Prosper Trading Academy, the leading educational firm teaching people how to trade the markets.
[01:17:18.640 --> 01:17:26.640]  For a limited time, I'm giving away one of my favorite secret trading techniques used by thousands of our students every day to help build their financial future.
[01:17:26.640 --> 01:17:34.640]  To learn this technique right now, call my 24-7 voicemail and just leave your email address. I'll email you my free trading technique right away.
[01:17:34.640 --> 01:17:43.640]  Just call 1-800-228-2155. This is the very information my students use every day to invest in their financial future.
[01:17:43.640 --> 01:17:53.640]  Again, call 1-800-228-2155 in the next 30 minutes and leave your email address on my voicemail. That's 1-800-228-2155.
[01:17:53.640 --> 01:17:56.640]  Call 1-800-228-2155.
[01:17:56.640 --> 01:18:07.640]  Years ago, InfoWarsLife created the powerful MycoZX formula to help you combat internal yeast.
[01:18:07.640 --> 01:18:15.640]  As the years went on and more toxins were pumped into the environment, our team knew we had to create a bigger and better formula to help support your gut health.
[01:18:15.640 --> 01:18:24.640]  MycoZX Plus is the result of the search for that formula, a unique natural formula designed to support the body's natural cleansing of yeast and fungal organisms.
[01:18:24.640 --> 01:18:27.640]  There's no better product to help your body fight back.
[01:18:27.640 --> 01:18:36.640]  MycoZX Plus helps support a healthy microbial balance in the body, supports your digestive tract, and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[01:18:36.640 --> 01:18:48.640]  Powered by an impressive list of ingredients, including grapefruit seed extract, poudarco bark, and grape seed extract, our formula is fueled by ingredients that stood the test of time as powerful microbalancing properties.
[01:18:48.640 --> 01:18:55.640]  Help a bottle of the new and improved MycoZX Plus today at InfoWarsLife.com. That's InfoWarsLife.com.
[01:19:18.640 --> 01:19:24.640]  A powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[01:19:24.640 --> 01:19:29.640]  When paired with carnivore, our incredible enzyme formula that helps you break down nutrients.
[01:19:29.640 --> 01:19:35.640]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[01:19:35.640 --> 01:19:42.640]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[01:19:42.640 --> 01:19:48.640]  There's no better time to try fluorolife and carnivore to see how well they can support your body.
[01:19:48.640 --> 01:20:13.640]  Don't miss out on the chance to fuel your body and support recovery. Try the InfoWarsLife Daily Digestive Pack today.
[01:20:13.640 --> 01:20:18.640]  You could accept the fact that the city is headed for a disaster of biblical proportion.
[01:20:18.640 --> 01:20:23.640]  What do you mean? Biblical. What do you mean this Old Testament, Mr. Mayor? Real wrath of God type stuff.
[01:20:23.640 --> 01:20:27.640]  Fire and brimstone coming down from the skies, rivers and seas boiling.
[01:20:27.640 --> 01:20:31.640]  Four years of darkness, earthquakes, volcanoes. The big rising from the grave.
[01:20:31.640 --> 01:20:36.640]  Human sacrifice, dogs and cats living together, mass hysteria.
[01:20:36.640 --> 01:20:46.640]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[01:20:46.640 --> 01:20:57.640]  Thomas Jefferson, live from Austin, Texas, broadcasting worldwide. It's Alex Jones.
[01:20:57.640 --> 01:21:09.640]  Everybody feels it at a gut level. You can also intellectually see it, but there's a train wreck, blindsided feeling, even though you know it's coming, but it's actually here.
[01:21:09.640 --> 01:21:18.640]  Maxine Waters, Donnie Deutch, Wolf Blitzer having guests on saying, hey, the guy that shot Congressman Scalise wasn't a monster.
[01:21:18.640 --> 01:21:26.640]  He wanted to do something good for America. And Wolf Blitzer looks at him, nods his head and says, yeah.
[01:21:26.640 --> 01:21:32.640]  And that's their attitude and that's who they are. And that's what they intend to do.
[01:21:32.640 --> 01:21:50.640]  And then you get Maxine Waters, that monstrous corrupt woman who gave tens of millions to her own husband, his own bank, saying, let's make sure we show up wherever we have to show up.
[01:21:50.640 --> 01:21:59.640]  And if you see, let's make sure we show up wherever we have to show up.
[01:21:59.640 --> 01:22:12.640]  And if you see anybody from the cabinet in a restaurant, in a department store at a gasoline station, like Reginald Denny, you get out and you create a crowd, just a mob.
[01:22:12.640 --> 01:22:27.640]  Hey, let's get them. And you push back on them. Wow. And you tell them they're not welcome anymore anywhere she yelled out Saturday and went on to say target the supporters as well.
[01:22:27.640 --> 01:22:37.640]  And that's the new talking point. Remember last week I said, now you see the talking point, target the supporters.
[01:22:37.640 --> 01:22:46.640]  Now the brown shirts for six years brought Hitler to power and they went out and they intimidated people and they beat them up and they shut them up.
[01:22:46.640 --> 01:22:56.640]  And you got a Nazi collaborator who was alive then with the Nazis, George Soros, who's quarterbacking much of this.
[01:22:56.640 --> 01:23:09.640]  He's kind of the starting pitcher. Maybe it's a better analogy. They got a lot of generals in their army, but he's one of the main ones.
[01:23:09.640 --> 01:23:16.640]  And they're using social engineering and they're going ahead right now on every program and every show.
[01:23:16.640 --> 01:23:27.640]  The Reiner brothers. Trump is evil like Hitler's supporters are like Hitler, need to be targeted. Notice that's an articleinforwards.com.
[01:23:27.640 --> 01:23:34.640]  See, it's a talking point to target you to get in your face, to kick you out of the restaurant.
[01:23:34.640 --> 01:23:45.640]  And you see the videos of white people being attacked not even wearing red hats or Trump regalia and saying, you voted Trump, you voted Trump, you're going to get your ass kicked now.
[01:23:45.640 --> 01:23:51.640]  And the media goes, oh good. Seeing in when a reporter said, you know what's wrong for whites to be attacked for being white.
[01:23:51.640 --> 01:23:58.640]  The black lady on CNN goes, oh, poor white people.
[01:23:58.640 --> 01:24:03.640]  See, so there's this whole racial base to it as well.
[01:24:03.640 --> 01:24:07.640]  And they're going into overdrive.
[01:24:07.640 --> 01:24:11.640]  So the big question is how do we counter this and what do we do about it?
[01:24:11.640 --> 01:24:21.640]  And I'll be talking about that more in the next segment and I'll go through a briefing of the news and the reports and kind of tie it all together.
[01:24:21.640 --> 01:24:24.640]  But they're making their move.
[01:24:24.640 --> 01:24:27.640]  And they're making their move in a big way.
[01:24:27.640 --> 01:24:37.640]  And you notice that even when Trump, who's been trying to get immigration reform passed, said, okay, well, we'll stop the practice and the girl they claim was separated from her mother wasn't.
[01:24:37.640 --> 01:24:41.640]  And 80 plus percent of the people don't have parents with them, but it doesn't matter.
[01:24:41.640 --> 01:24:43.640]  It's all about we have the moral high ground.
[01:24:43.640 --> 01:24:44.640]  We're the good people.
[01:24:44.640 --> 01:24:47.640]  So we're going to come out and beat you up now.
[01:24:47.640 --> 01:25:03.640]  We're going to break the border patrol agents leg in front of everybody this week as a mob ran over him as he was trying to make them not block a bus taking illegal aliens who came here illegally to the facility.
[01:25:03.640 --> 01:25:08.640]  I mean, every other country in the world, you just show up and say, I'm you try to show up in dangerous countries.
[01:25:08.640 --> 01:25:09.640]  You're going to show up in third world countries.
[01:25:09.640 --> 01:25:11.640]  Say, I'm just marching across your border.
[01:25:11.640 --> 01:25:14.640]  They'll lock your butt up so fast.
[01:25:14.640 --> 01:25:16.640]  They'll torture you.
[01:25:16.640 --> 01:25:24.640]  But you've got all these little spoiled babies that love to be on TV and love to feel sorry for themselves and all brought up in victim ideology and all the rest of it.
[01:25:24.640 --> 01:25:28.640]  Loving it like a high school play.
[01:25:28.640 --> 01:25:33.640]  They think they're in to go out and scream and bitch and complain when make no mistake.
[01:25:33.640 --> 01:25:37.640]  This is about bringing America down.
[01:25:37.640 --> 01:25:39.640]  It's about imploding the country.
[01:25:39.640 --> 01:25:50.640]  It's about getting rid of our borders right as the global depression hits as Trump tries to stop the global depression and collapsing all of these economies.
[01:25:50.640 --> 01:25:55.640]  And just saying we want totally open borders.
[01:25:55.640 --> 01:26:02.640]  So that people fleeing what they were already in can experience what they fled here.
[01:26:02.640 --> 01:26:04.640]  And you ask, what's the point?
[01:26:04.640 --> 01:26:17.640]  It is to bring in a giant undocumented mob that they can politically control.
[01:26:17.640 --> 01:26:27.640]  Who are disenfranchised and only living on government handouts who can be detonated as a political weapon anytime the globalist social engineers need them to.
[01:26:27.640 --> 01:26:46.640]  And that's what you're seeing here is the future of this country being ruled by unruly mobs that are kept disenfranchised and that are given chips on their shoulders and then are basically brainwashed and inducted into the universities to become the new handlers of the permanent underclass.
[01:26:46.640 --> 01:27:02.640]  And the exact same thing is being done in Europe with 80% of the 10 million Muslims they just brought in being military aged men and 90 plus percent of them in major studies three, four years after they get to Europe still don't have jobs and are on welfare.
[01:27:02.640 --> 01:27:10.640]  Because the government will deport you if you actually get a job in Europe or you actually become productive.
[01:27:10.640 --> 01:27:19.640]  If you stay on welfare in your ghetto, baby, you're golden.
[01:27:19.640 --> 01:27:24.640]  And so you're watching the real assault on this country, it's real.
[01:27:24.640 --> 01:27:36.640]  Now we've got incredible footage and incredible breakdowns coming up, watches hundreds of migrants storm Croatian border fence screaming Allah Akbar.
[01:27:36.640 --> 01:27:44.640]  It is all coming up and again Albania is Muslim, it's already taken over much of Serbia and it wants Macedonia, it wants everything.
[01:27:44.640 --> 01:27:54.640]  And again, I'm not even against Muslims themselves, but they're being used with their population doubling as a political weapon to again collapse Europe collapse Asia.
[01:27:54.640 --> 01:27:57.640]  This is all mega corporations playing this game out.
[01:27:57.640 --> 01:28:03.640]  This is the new world war you're witnessing and it creates civil wars inside.
[01:28:03.640 --> 01:28:14.640]  So it's all on info wars.com news wars.com Europe wars.com has incredible coverage of all this on the ground in Europe with our reporters Dan Lyman and others.
[01:28:14.640 --> 01:28:19.640]  But when we come back, I'm going to get to a bunch of angles of this.
[01:28:19.640 --> 01:28:32.640]  I haven't covered and I'm going to basically brief the president on what he already knows and brief the public and talk about what are we going to do to counter this?
[01:28:32.640 --> 01:28:34.640]  And what are we going to do to respond to this?
[01:28:34.640 --> 01:28:41.640]  But when you have organized groups trying to foment violent revolution against random individuals just because the Republican Party voters,
[01:28:41.640 --> 01:28:50.640]  that's the classic definition of racketeering civil rights violation and is the KKK on steroids and must be met with law enforcement response.
[01:28:50.640 --> 01:28:56.640]  And that's what I'm saying is this needs to be dealt with.
[01:28:56.640 --> 01:29:02.640]  I had great results. I lost 70 pounds. I weighed 265 and went down to 195.
[01:29:02.640 --> 01:29:05.640]  My doctor told me if it works for you, then do it.
[01:29:05.640 --> 01:29:07.640]  A lot of people say to me, how did you lose the weight?
[01:29:07.640 --> 01:29:11.640]  I said, I take Andrew 400 every day. I'm going to take it forever.
[01:29:11.640 --> 01:29:15.640]  That was Walt talking about Andrew 400. Now listen to what Bob has to say.
[01:29:15.640 --> 01:29:18.640]  When you listen to your radio commercials, you say that's not possible.
[01:29:18.640 --> 01:29:22.640]  But since I've experienced it, your commercials aren't strong enough.
[01:29:22.640 --> 01:29:27.640]  I am 76 and I've had a belly for way too long. My whole body is shrinking.
[01:29:27.640 --> 01:29:30.640]  My energy level has gone up and I don't think difference is Andrew 400.
[01:29:30.640 --> 01:29:33.640]  It's great stuff. I tried other products and nothing happened.
[01:29:33.640 --> 01:29:40.640]  Guys, if you'd like to lose stubborn belly fat, gain energy and feel years younger, try Andrew 400.
[01:29:40.640 --> 01:29:44.640]  The safe, natural and affordable way to boost your testosterone.
[01:29:44.640 --> 01:29:56.640]  Go to andro400.com or call 888-400-0435-888-400-0435 andro400.com
[01:29:58.640 --> 01:30:02.640]  You deserve a deep restful sleep with knockout by InfoWarsLife.
[01:30:02.640 --> 01:30:09.640]  Our organic formula is made from high quality natural ingredients such as Valerian root extract,
[01:30:09.640 --> 01:30:14.640]  L-tryptophan, lemon balm leaf extract and melatonin.
[01:30:14.640 --> 01:30:19.640]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[01:30:19.640 --> 01:30:23.640]  Millions of people around the world experience daytime drowsiness,
[01:30:23.640 --> 01:30:27.640]  but with the rapid speed of life, we need to be able to keep up the pace.
[01:30:27.640 --> 01:30:33.640]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax
[01:30:33.640 --> 01:30:35.640]  and get the sleep you need.
[01:30:35.640 --> 01:30:37.640]  Wake up refreshed and take on the day.
[01:30:37.640 --> 01:30:42.640]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond
[01:30:42.640 --> 01:30:45.640]  other leading brands at an affordable price.
[01:30:45.640 --> 01:30:49.640]  Get the sleep you deserve and experience the power of knockout.
[01:30:49.640 --> 01:30:53.640]  Head on over to infowarslife.com and say goodbye to fatigue.
[01:30:53.640 --> 01:31:08.640]  That's infowarslife.com
[01:31:23.640 --> 01:31:26.640]  For daily use whenever you feel like you need to stay clean.
