[00:00.000 --> 00:10.000]  The globalist great error is to believe that as they collapse humanity they end up on top.
[27:24.000 --> 27:26.000]  They ordered a bureaucrats to do it.
[27:26.000 --> 27:31.000]  Hollande says it's irreversible, just like Trump couldn't win the nomination, just like he couldn't be president.
[27:31.000 --> 27:35.000]  This criminal, in my view, this guy caught not paying taxes.
[27:35.000 --> 27:38.000]  His entire Socialist Party was Swiss bank accounts.
[27:38.000 --> 27:45.000]  They raised taxes when he got in three years ago to 101% on the middle class in Nouveau-Riche, New Rich.
[27:45.000 --> 27:51.000]  And he says you can't get out of our global carbon tax because they've all Obama him, they've all invested.
[27:51.000 --> 27:53.000]  They all own part of the carbon credit companies.
[27:53.000 --> 27:56.000]  Look it up, Al Gore owns the big one in London. It's called Gore and Blood.
[27:56.000 --> 27:58.000]  I'm not lying, his partner's named Blood.
[27:58.000 --> 28:01.000]  U.S. climate commitment, irreversible.
[28:01.000 --> 28:03.000]  Hollande warns Donald Trump.
[28:03.000 --> 28:05.000]  Oh my God, you warned us.
[28:05.000 --> 28:09.000]  That's just the way it is.
[28:09.000 --> 28:11.000]  That gets worse.
[28:11.000 --> 28:12.000]  Look at this.
[28:12.000 --> 28:18.000]  UK researchers say tax food to reduce climate change because humans farting.
[28:18.000 --> 28:23.000]  They told you this was coming when they started in Canada and Australia a decade ago or so.
[28:23.000 --> 28:24.000]  It began to phase in.
[28:24.000 --> 28:28.000]  Taxes on flatulence of farm animals that it would start with you.
[28:28.000 --> 28:30.000]  Now they want to tax you saying you're eating too much.
[28:30.000 --> 28:33.000]  Again, the ultra-rich want to teach you how to consume less.
[28:33.000 --> 28:40.000]  So you have a culture of hating yourself so they can have everything for themselves and you're so poor they control you.
[28:40.000 --> 28:43.000]  But globalisms in big crisis, I've got news on that front.
[28:43.000 --> 28:45.000]  But how are they going to strike back?
[28:45.000 --> 28:49.000]  We've got more of the band in interview here too. How are they going to strike back?
[28:49.000 --> 28:57.000]  They're going to strike back by censoring us and they've openly announced on Fox and CNN they're going to move to have me taken off the year.
[28:57.000 --> 29:04.000]  Donald Trump is not even president yet and he is already cashing in on his word of bringing jobs back to America.
[29:04.000 --> 29:10.000]  I'll bring back our jobs from China, from Mexico, from Japan, from so many places.
[29:10.000 --> 29:13.000]  I'll bring back our jobs and I'll bring back our money.
[29:13.000 --> 29:20.000]  Apple has decided to continue to manufacture its Lincoln MKC in Louisville, Kentucky and not move to Mexico as they had previously planned.
[29:20.000 --> 29:26.000]  Ford has said they are happy to work with President Trump and are glad he is making American manufacturing competitive and great again.
[29:26.000 --> 29:31.000]  Reports are also surfacing that Apple is considering manufacturing their iPhones in California.
[29:31.000 --> 29:38.000]  Apple has asked its Asian-based manufacturers Foxconn and Pegatron to explore manufacturing their iPhones in America.
[29:38.000 --> 29:42.000]  Are these the first dominoes to get Americans off the welfare state and into the workforce?
[29:42.000 --> 29:48.000]  Will there be a time when you can pick up an electronic and it says Made in America coming soon to a presidency near you?
[29:48.000 --> 29:54.000]  I will be the greatest jobs president that God ever created. I tell you that.
[29:54.000 --> 29:58.000]  This is Owen Schreuer for Infowars.com.
[29:58.000 --> 30:03.000]  Not a group you develop living defense for us. It took you over a year to do it. Why is this so good?
[30:03.000 --> 30:14.000]  Because people are actually waking up to the problem that pretty much scares me the most. I mean, I try to make sure that I don't put toxins from food and water and beverages in my system.
[30:14.000 --> 30:22.000]  But right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[30:22.000 --> 30:30.000]  Right now with all the refugees spreading disease around, we have biological warfare going on everywhere. These are all parasites.
[30:30.000 --> 30:32.000]  Tell us about all the stuff that says there's so many things that are in it.
[30:32.000 --> 30:36.000]  You have the name in there. You have the organic clove bud, the organic wormwood.
[30:36.000 --> 30:40.000]  I recommend doing a parasite cleanse at least twice a year.
[30:40.000 --> 30:43.000]  Alright, well I'm glad we've got some back in because I'm going back on it today.
[30:43.000 --> 30:46.000]  It just came back in yesterday. Living Defense. InfowarsLive.com.
[30:46.000 --> 30:49.000]  And folks, you can't lose. It's full of stuff that's great for your body, period.
[30:49.000 --> 30:55.000]  And you support the broadcast. InfowarsLive.com. Thank you, Dr. Group, from the Global Healing Center.
[30:55.000 --> 30:58.000]  Thank you so much for all your work, sir, on this great product.
[30:58.000 --> 31:02.000]  Hey, everyone. Pharmacist Ben Fuchs here, host of The Bright Side.
[31:02.000 --> 31:05.000]  And as many of you know, I'm on a mission to help Americans get and stay healthy.
[31:05.000 --> 31:07.000]  You've all heard the shocking statistics.
[31:07.000 --> 31:13.000]  Despite spending trillions of dollars in healthcare, nearly $10,000 per man, woman and child in this country,
[31:13.000 --> 31:17.000]  obesity, diabetes, cancer, heart disease, and autoimmune illnesses are rampant.
[31:17.000 --> 31:20.000]  One out of three or four people is dealing with some kind of health challenge,
[31:20.000 --> 31:24.000]  and everyone knows at least one person with a degenerative disease.
[31:24.000 --> 31:28.000]  If you're dealing with a health challenge, or if you're healthy and want to maintain your vigor and longevity,
[31:28.000 --> 31:32.000]  and you're looking for a convenient, easy way to incorporate nutritional raw materials
[31:32.000 --> 31:37.000]  into your day-to-day lives to guarantee that your body is getting the fundamental nutrients,
[31:37.000 --> 31:41.000]  the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work,
[31:41.000 --> 31:45.000]  you need to check out InfowarsTeam.com.
[31:45.000 --> 31:49.000]  Give your body the gift of good nutrition. Head over to InfowarsTeam.com.
[31:49.000 --> 31:51.000]  Your body will be very grateful.
[31:51.000 --> 31:57.000]  On the web at InfowarsTeam.com. That's InfowarsTeam.com.
[32:22.000 --> 32:25.000]  And when it runs out, you start dying.
[32:25.000 --> 32:29.000]  We chose the PQQ because it has over 175 different clinical trials.
[32:29.000 --> 32:32.000]  It's one of the most effective substances in the world.
[32:32.000 --> 32:37.000]  It works like an antioxidant. It works to repair nerve growth factor.
[32:37.000 --> 32:41.000]  So this is a formula to deliver the maximum amount. It's in powder form.
[32:41.000 --> 32:46.000]  We have so many five-star reviews. I take this. This is the product that I take.
[32:46.000 --> 32:51.000]  InfowarsLife.com and the profit we make. We fight the globalists. We fight the new world order.
[32:51.000 --> 33:17.000]  Cure your DNA force today at InfowarsLife.com or call toll-free 888-253-3139.
[33:17.000 --> 33:21.000]  I'll take you live to the Central Texas Commence Center.
[33:21.000 --> 33:22.000]  In the heart.
[33:22.000 --> 33:24.000]  In the heart of the resistance.
[33:24.000 --> 33:25.000]  Gotta believe it.
[33:25.000 --> 33:31.000]  Rallying Patriots Worldwide.
[33:31.000 --> 33:39.000]  You're listening to the Alex Jones Show.
[33:39.000 --> 33:44.000]  You know, Raquel Phelan is one of our great investigative journalists and writers.
[33:44.000 --> 33:47.000]  He wrote some of the biggest stories in history when it comes to hacking.
[33:47.000 --> 33:50.000]  He named it highly trusted by all the top hackers.
[33:50.000 --> 33:52.000]  When I say all of them, I mean a lot of the top ones.
[33:52.000 --> 33:56.000]  He's here with his dad. He's from Sweden. He's talking to him during the break.
[33:56.000 --> 33:59.000]  And he was saying, he was like, your energy, how do you do it?
[33:59.000 --> 34:02.000]  Because I was animated talking to him.
[34:02.000 --> 34:05.000]  And I said, listen, we're overthrowing world government.
[34:05.000 --> 34:10.000]  I mean, we're waging war against the new world order. We're returning the Republic
[34:10.000 --> 34:13.000]  from the hands of corporate global domination.
[34:13.000 --> 34:16.000]  He said, no, I get it. It's great. I get it. He had that fire in his eyes.
[34:16.000 --> 34:19.000]  And listen, when I get on air, I'm fighting. I mean, I'm passionate.
[34:19.000 --> 34:22.000]  I open the doors to my heart.
[34:22.000 --> 34:27.000]  I know it comes off as obnoxious and people ask, how the hell do you act like this
[34:27.000 --> 34:30.000]  for two, three, four hours a day? It's because it's real.
[34:30.000 --> 34:34.000]  I mean, I've had my ass kicked. I've had, you know, I'm not been in fights in years, decades.
[34:34.000 --> 34:37.000]  When I grew up in rough area, a lot of people attacking me in Dallas.
[34:37.000 --> 34:40.000]  I was a nice guy until I got in the fight till I was getting hurt.
[34:40.000 --> 34:44.000]  I didn't do fricking backflips. You know, it's the same thing.
[34:44.000 --> 34:46.000]  We're under attack people.
[34:46.000 --> 34:50.000]  And the only reason I've been successful is I'm promoting Americana.
[34:50.000 --> 34:54.000]  I know the enemy's blueprint and I'm here to break people out of their trance.
[34:54.000 --> 34:58.000]  I don't like seeing people being conned.
[34:58.000 --> 35:04.000]  So many wealthy people I know are the coolest, hardest working people who have so many great
[35:04.000 --> 35:08.000]  employees and have a passion for building and a passion for innovating.
[35:08.000 --> 35:12.000]  But I know a lot of other wealthy people over the years and I've got to say,
[35:12.000 --> 35:16.000]  they're quote liberals who are very cloistered in their little houses, their mansions.
[35:16.000 --> 35:20.000]  They hate their employees. They hate their families. They hate their neighbors.
[35:20.000 --> 35:23.000]  They're very OCD. They're very neurotic.
[35:23.000 --> 35:31.000]  And they're disconnected from the land that you don't see them doing wilderness camping.
[35:31.000 --> 35:35.000]  You don't see them being in a boxing club or jiu-jitsu.
[35:35.000 --> 35:39.000]  You don't see them out hunting.
[35:39.000 --> 35:41.000]  You don't see them doing normal human things.
[35:41.000 --> 35:46.000]  And I think we've got inbred elites. I mean, history shows this with royalty and things,
[35:46.000 --> 35:54.000]  but a more modern, wider scale distribution of this phenomenon with what Anthony Guterri already calls aliens.
[35:54.000 --> 36:01.000]  And I don't mean somebody alien to the country because they're not part of your nation.
[36:01.000 --> 36:07.000]  I'm talking about alien in that their trust fund, third generation trust fund kits,
[36:07.000 --> 36:12.000]  who just are disconnected from the rest of the world and don't understand what's happening.
[36:12.000 --> 36:16.000]  And if you look at the Clintons, you look at the Bushes, you look at all these elites,
[36:16.000 --> 36:20.000]  they are totally disconnected. And someone like Trump, who's into hospitality,
[36:20.000 --> 36:28.000]  whose dad made their first money, Trump then made it 50 times bigger.
[36:28.000 --> 36:35.000]  I've likened it many times to, say, a tourism board of a small, let's say, North Carolina beach town.
[36:35.000 --> 36:39.000]  If the head of the tourism board didn't put nads in magazines and newspapers,
[36:39.000 --> 36:43.000]  didn't keep in the town, you know, moving forward, didn't attract in good companies,
[36:43.000 --> 36:48.000]  good restaurants, good hotels, that town's going to fall apart.
[36:48.000 --> 36:56.000]  And Trump is literally like the local tourism board guy from America.
[36:56.000 --> 37:02.000]  He sees everything shutting down. He sees people not having money anymore.
[37:02.000 --> 37:08.000]  Ladies and gentlemen, our audience was five times what it was a year ago.
[37:08.000 --> 37:11.000]  Now it's like 10 times what it was a year ago.
[37:11.000 --> 37:17.000]  It's frighteningly large now. And there's not more money coming in.
[37:17.000 --> 37:21.000]  Always, as our audience got bigger, more money came in the last few years.
[37:21.000 --> 37:25.000]  The economy is in fricking shambles. Trump sees that. Trump experiences that.
[37:25.000 --> 37:31.000]  I don't like going to a cafeteria I've gone to since I was a child in Dallas.
[37:31.000 --> 37:36.000]  It's called Lubies. It's blue collar.
[37:36.000 --> 37:41.000]  And I never sat in line where old ladies were sitting there and couldn't afford the food that's very cheap and were upset.
[37:41.000 --> 37:45.000]  And I'm not bragging. I can't help it. I start just saying here, here's $50 bills.
[37:45.000 --> 37:51.000]  You ladies all have whatever you want. I can't stand it.
[37:51.000 --> 37:56.000]  To know how inflation has run. To know people's social security isn't paying for what they need.
[37:56.000 --> 38:01.000]  I want people to have wealth. I'm the biggest liberal there is. I'm the biggest fricking bleeding heart you ever found.
[38:01.000 --> 38:11.000]  But I know it doesn't come from government giving you a check. It comes from producing so much wealth that even our poorest people are doing good.
[38:11.000 --> 38:16.000]  And Americanism did deliver. It was the apple of the world's eye.
[38:16.000 --> 38:23.000]  More inventions, more patents, the lowest debt, zero debt, the highest education.
[38:23.000 --> 38:28.000]  We were number one and we kicked your ass in a fight too.
[38:28.000 --> 38:36.000]  And we got sold out in the 50s and the 60s to globalism and we built these corporations a world empire on America's name.
[38:36.000 --> 38:40.000]  They went, you're from America? You're going to bring electricity? You're going to bring courts? You're going to bring justice?
[38:40.000 --> 38:49.000]  Our doors are open. And then we put Mao Zedong in power in 1949. That's been declassified.
[38:49.000 --> 39:00.000]  John Burt society said that when they were founded in 56, all declassified in 2004.
[39:00.000 --> 39:06.000]  They took our name, an evil group of people.
[39:06.000 --> 39:10.000]  Some were German backgrounds, some were French backgrounds, some were Jewish, some were Hispanic.
[39:10.000 --> 39:17.000]  It didn't matter. They were globalists and they looked at this big empire and our atomic weapons and our energy and all the smart people.
[39:17.000 --> 39:25.000]  And they went, oh my God, we're going to take over the old British empire. We're going to run everything and we're going to get all these countries to basically shell out to us
[39:25.000 --> 39:34.000]  because we're going to move American industry to them because America was upwards of 80% of global industry in 1955.
[39:34.000 --> 39:49.000]  We were 80%. We were 5% of the population of the world and we had half the wealth from 1950 until 1997.
[39:49.000 --> 39:54.000]  Now we've only got 35% of the wealth. They've already sucked out almost half of it.
[39:54.000 --> 40:00.000]  And our wealth wasn't putting other countries down. We could have actually done real deals with them to build them up.
[40:00.000 --> 40:06.000]  But it was designed to bring us down. So I'll just keep harping it and harping it and harping it and harping it.
[40:06.000 --> 40:15.000]  I'm promoting the real history. I'm pushing the answer. It's guaranteed.
[40:15.000 --> 40:20.000]  But China was in the Wall Street Journal, the Associated Press and a bunch of other publications.
[40:20.000 --> 40:31.000]  I wasn't even trying to look for it on Friday. And the Communist Chinese Politburo with a straight face was in our news saying,
[40:31.000 --> 40:44.000]  we own your debt and we are buying Hollywood and we own a lot of your other bonds and if you don't listen to us, we are going to implode your economy.
[40:44.000 --> 40:50.000]  You are not allowed to do this. You can't have one factory.
[40:50.000 --> 40:59.000]  And they went on to say, you need to shut down your nationalist right now.
[40:59.000 --> 41:10.000]  Imagine the Wall Street Journal with a straight face on Friday had the Communist Chinese saying, shut us up. Shut us up.
[41:10.000 --> 41:16.000]  We can pull the article. I covered it for like an hour on Friday. It's on Drudge.
[41:16.000 --> 41:20.000]  I mean, what frickin' world we live in and you go to China and lecture them like this?
[41:20.000 --> 41:26.000]  Obama's made to get off the back of the plane in China and the diplomat comes over and tells them, shut up. It's our country.
[41:26.000 --> 41:36.000]  The arrogance of these people. They feed on their own Chinese people. They have mobile execution vans, Foxcom, Apple, Hellhole, Laboratories.
[41:36.000 --> 41:41.000]  And all we want is a few jobs. Can we just have one factory? You got 26 or whatever it is.
[41:41.000 --> 41:53.000]  Foxcom, factories for Apple. Can we just have one? And you're like, no. You don't have one single factory scumbag America. Nothing.
[41:53.000 --> 41:57.000]  You'll get nothing and like it.
[41:57.000 --> 42:07.000]  The quote, Judge Smales from Candy Shack. Spaulding. Since when do we become the spaulding of the world?
[42:07.000 --> 42:15.000]  Oh yeah, even mainstream media admits. China's taken over all six of the Hollywood production facilities. All of it's happening.
[42:15.000 --> 42:29.000]  The headline out of the Wall Street Journal was something like this. China says the U.S. must take control of the Internet.
[42:29.000 --> 42:34.000]  I'm going to find it during the break. I'm going to show it to you when you come back. And then I'm going to show you the response.
[42:34.000 --> 42:41.000]  Democratic pundits on CNN, Fox, you name it, saying specifically, we need to shut down these websites.
[42:41.000 --> 42:47.000]  We need to go after Alex Jones. Alex Jones. Alex Jones. He's so evil.
[42:47.000 --> 42:58.000]  Who else should we get rid of? Steve Bannon. Oh my God. He just wants us to have a little bit of jobs, a little bit of money. Oh my, it's so evil.
[42:58.000 --> 43:02.000]  Electrify your day with Secret 12. It's like lightning in a bottle.
[43:02.000 --> 43:06.000]  We all have days in which we just can't seem to perform at the level we'd like to.
[43:06.000 --> 43:14.000]  Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[43:14.000 --> 43:19.000]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[43:19.000 --> 43:24.000]  The reality is it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[43:24.000 --> 43:32.000]  Secret 12 by InfoWarsLife is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[43:32.000 --> 43:37.000]  It pairs two forms of vitamin B12 into one explosive formula.
[43:37.000 --> 43:43.000]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[43:43.000 --> 43:46.000]  But it also assists with many other functions of the body.
[43:46.000 --> 43:49.000]  Electrify your mind and body and take your health to the next level.
[43:49.000 --> 44:04.000]  Experience the power of Secret 12 at InfoWarsLife.com. That's InfoWarsLife.com.
[44:20.000 --> 44:24.000]  And about 20 minutes later, it's like bing, everything just kind of clears up.
[44:24.000 --> 44:28.000]  It's got four and a half stars. People really love it. Read about it.
[44:28.000 --> 44:37.000]  Find out why third-party nutraceutical sites give it such high praise because it really does have the best organic-based systems that will blow your socks off.
[44:37.000 --> 44:41.000]  I haven't pulled an all-nighter like that in a while, but I probably could not have done it without Brain Force.
[44:41.000 --> 44:47.000]  I went home about 6.45 this morning, took three hours of sleep, got up took two more Brain Force and came in.
[44:47.000 --> 44:56.000]  You will find Brain Force and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[45:18.000 --> 45:22.000]  My friend's chaos is already here and it's going to get a lot worse.
[45:22.000 --> 45:28.000]  That's why I believe that all my listeners need to have a way to produce their own supply of backup electricity.
[45:28.000 --> 45:32.000]  Now I've got the perfect power solar generator system in my house.
[45:32.000 --> 45:36.000]  The Solutions from Science system. Simply put, this thing is amazing.
[45:36.000 --> 45:39.000]  Solutions from Science only makes the best equipment.
[45:39.000 --> 45:45.000]  Go to PowerGridChaos.com. That's PowerGridChaos.com to check it out.
[45:45.000 --> 45:51.000]  Now this is key. Right now, get 70% off. They're top-of-the-line, perfect power solar generator.
[45:51.000 --> 45:58.000]  This is the one I use in my home. Go to PowerGridChaos.com and get 70% off.
[45:58.000 --> 46:04.000]  InfoWars is proud to announce the official InfoWars Live app, available now for iPhone and Android.
[46:04.000 --> 46:09.000]  InfoWars Live allows you to watch a live, high-definition feed of the Alex Jones show 24-7
[46:09.000 --> 46:12.000]  and get the latest breaking InfoWars reports straight to your phone.
[46:12.000 --> 46:15.000]  Want to read the latest exclusives on InfoWars.com?
[46:15.000 --> 46:17.000]  Or do you want to catch up on world news?
[46:17.000 --> 46:20.000]  Now you can do so with InfoWars Live anywhere you go.
[46:20.000 --> 46:22.000]  You can browse the news, share content, and more.
[46:22.000 --> 46:25.000]  And best of all, it's free to download at InfoWars.com.
[46:25.000 --> 46:30.000]  The app is brand new. This is the first release, and it was completely built from the ground up.
[46:30.000 --> 46:34.000]  We've seen example after example of cable news networks attempting to deceive you.
[46:34.000 --> 46:38.000]  In short, the mainstream media is being covertly manipulated by well-financed political forces
[46:38.000 --> 46:43.000]  who are trying to sway public opinion in a natural direction that only serves establishment agendas.
[46:43.000 --> 46:48.000]  But InfoWars Live is the solution to the controlled press that is rapidly losing influence.
[46:48.000 --> 46:53.000]  So download InfoWars Live today at InfoWars.com and learn what's really going on
[46:53.000 --> 47:19.000]  instead of being spoon-fed lies by the mainstream media.
[47:19.000 --> 47:24.000]  Crashing, crashing through the lies, and disinformation.
[47:24.000 --> 47:29.000]  It's Alex Jones on the GCN radio network.
[47:29.000 --> 47:33.000]  Alright, so the Communist Chinese have teamed up with Facebook, Twitter, Google, Apple, and others
[47:33.000 --> 47:38.000]  to crack down on American internet. Just absolute open treason.
[47:38.000 --> 47:43.000]  China doubles down on internet controls after tough new law, just restricting all free speech.
[47:43.000 --> 47:50.000]  That's out of AP. This is out of Reuters. China says terrorism, fake news, imperial, greater global internet curbs.
[47:50.000 --> 47:55.000]  So they come out and list us as fake news. Use some weirdo professor to list us, Breitbart, you name it.
[47:55.000 --> 48:00.000]  As fake news, that's right. 95% of what we do is analyze your BS.
[48:00.000 --> 48:04.000]  Ron Poles came out with a big list of fake news. The folks that got us into wars.
[48:04.000 --> 48:10.000]  People that lied to us with fake polls. Folks that lied to us with fake reporters interviewing their own people.
[48:10.000 --> 48:14.000]  That's CNN, ABC News, NBC, you name it. It's up on inforwars.com.
[48:14.000 --> 48:18.000]  But pretty hilarious. They're the fake news saying we're the fake news.
[48:18.000 --> 48:24.000]  China's internet controls will get stricter to dismay of foreign businesses. New York Times.
[48:24.000 --> 48:27.000]  Now the New York Times has translated into Chinese.
[48:27.000 --> 48:31.000]  Chinese tyrants seek global control after Obama gave up internet.
[48:31.000 --> 48:37.000]  That's right. They've handed over to an international consortium, and China says the internet belongs to them.
[48:37.000 --> 48:41.000]  Thank you, Obama. So, hey, don't think they haven't struck back.
[48:41.000 --> 48:47.000]  We've had the PLA, People's Liberation Army, that's where the servers are,
[48:47.000 --> 48:51.000]  hitting us with massive denial of service attacks for two weeks.
[48:51.000 --> 48:55.000]  And, you know, we've already gotten very sophisticated, large server systems.
[48:55.000 --> 49:02.000]  So we just all get redirected back. But look at this photo of your TV viewer, Austin, Texas today.
[49:02.000 --> 49:05.000]  This is off Reddit. Some of our crew told me about it.
[49:05.000 --> 49:11.000]  This is not on the news, but it was seen by one of our crew members down in front of the Capitol with their semi-automatic rifles.
[49:11.000 --> 49:15.000]  The communists and their red bandanas with hammers and sickles saying,
[49:15.000 --> 49:18.000]  Make racist afraid again.
[49:18.000 --> 49:23.000]  We have an incredible video on inforwars.com of a female reporter for Info Wars, Millie Weaver,
[49:23.000 --> 49:28.000]  in Cleveland with communists threatening to physically attack her because she dare be on the street.
[49:28.000 --> 49:31.000]  They said, you don't have free speech. Get off our streets.
[49:31.000 --> 49:38.000]  So in a communist country, they couldn't own guns, but here they can march on the street with their guns and not defend their right.
[49:38.000 --> 49:42.000]  But if you look at these poor teenagers controlled by a bunch of UT professors,
[49:42.000 --> 49:49.000]  they are really, really, really just absolutely pathetic people. Very, very sad.
[49:49.000 --> 49:52.000]  Sitting here in the lap of luxury compared to other nations,
[49:52.000 --> 49:59.000]  bitching and complaining with communists in Venezuela and Cuba and places like North Korea
[49:59.000 --> 50:04.000]  can't even produce automobiles or keep electricity on the most areas.
[50:04.000 --> 50:07.000]  But I know the perfect utopia has not yet been realized.
[50:07.000 --> 50:14.000]  No, a bunch of spoiled brats don't want to go out and get jobs.
[50:14.000 --> 50:22.000]  Now, continuing here, since I mentioned it, I know it sounds unbelievable.
[50:22.000 --> 50:24.000]  You know, look at that headline from inforwars.com.
[50:24.000 --> 50:26.000]  It's not even strong enough. People say we exaggerate.
[50:26.000 --> 50:31.000]  They threaten to physically attack Millie Weaver, spew the most horrible, awful stuff.
[50:31.000 --> 50:34.000]  They say she has no free speech. They pick on a woman.
[50:34.000 --> 50:38.000]  It's communist threaten to physically attack female reporter.
[50:38.000 --> 50:40.000]  That's the headline.
[50:40.000 --> 50:43.000]  I even called the reporter up here today and I said, thanks for writing this great article.
[50:43.000 --> 50:46.000]  But I said, we need to change the headline. It hasn't been.
[50:46.000 --> 50:48.000]  But it's just sensational.
[50:48.000 --> 50:51.000]  And we have to be sensational when they do sensational things.
[50:51.000 --> 50:54.000]  We can't dial it back just because, you know, we're trying to be conservative.
[50:54.000 --> 50:56.000]  Let's put it back on screen.
[50:56.000 --> 50:59.000]  And you look at, I don't care if they're black, white or Hispanic.
[50:59.000 --> 51:01.000]  Let's put the video back up of Millie Weaver.
[51:01.000 --> 51:06.000]  These are the ugliest vampire-like pig people.
[51:06.000 --> 51:08.000]  Okay, I'll be honest. The white people are really ugly.
[51:08.000 --> 51:10.000]  Okay, the Hispanics don't actually look that ugly.
[51:10.000 --> 51:12.000]  I just don't know, and I'm not trying to be racial here.
[51:12.000 --> 51:14.000]  What is up with white communists?
[51:14.000 --> 51:22.000]  I mean, they are the dumbest, ugliest-looking jackasses I have ever seen in my frickin' life.
[51:22.000 --> 51:26.000]  And the video's up on infowars.com.
[51:26.000 --> 51:35.000]  But since I mentioned it, again, this was on ABC News, CBS News, Fox News, CNN, everywhere.
[51:35.000 --> 51:41.000]  In the last three days, they're going, info wars is fake, info wars is fake, info wars is fake, info wars isn't real.
[51:41.000 --> 51:50.000]  All I've done for 52 minutes is show you admissions by the globalists where they're pushing that you should be poor and have nothing.
[51:50.000 --> 51:52.000]  Or I show you what they actually say.
[51:52.000 --> 51:54.000]  They're the fake news that lie us into wars.
[51:54.000 --> 51:58.000]  They're the fake news that lied about who was going to win the whole campaign.
[51:58.000 --> 51:59.000]  I kept telling you it was going to be Trump.
[51:59.000 --> 52:04.000]  Bannon's in the New Deal going, we had internal polls, frickin' 15 points ahead.
[52:04.000 --> 52:09.000]  They didn't want anybody to say that because they thought it might make you be too secure.
[52:09.000 --> 52:13.000]  But I said, listen, they're using this to make people not show up and think it's all over.
[52:13.000 --> 52:14.000]  I don't care.
[52:14.000 --> 52:17.000]  Folks shouldn't have told me early on that we were dominating.
[52:17.000 --> 52:21.000]  And I went and checked with other pollsters and they said, yeah, how do you know that?
[52:21.000 --> 52:23.000]  I mean, I broke ranks, folks.
[52:23.000 --> 52:25.000]  I'll frickin' tell you the truth here.
[52:25.000 --> 52:26.000]  I'm doing it.
[52:26.000 --> 52:27.000]  You know, that's just how I am.
[52:27.000 --> 52:30.000]  I mean, I always, I was not told that in confidence, by the way, early on.
[52:30.000 --> 52:33.000]  Just that later, they never wanted to come out and say it.
[52:33.000 --> 52:39.000]  So, again, we can show Ron Paul's article on info wars.com.
[52:39.000 --> 52:44.000]  He's put out a list of fake news and all of them lied about WMDs, lied about all these wars.
[52:44.000 --> 52:46.000]  They're bipartisan frauds.
[52:46.000 --> 52:47.000]  He list them.
[52:47.000 --> 52:50.000]  Ron Paul reveals hit list of alleged fake news journalist.
[52:50.000 --> 52:53.000]  The list contains the culprits.
[52:53.000 --> 52:58.000]  Again, lied us into all these wars, you name it, Stephanophilus and all the usual culprits.
[52:58.000 --> 53:03.000]  But people that lied about being under military attack on their helicopter, shut down Ryan Williams.
[53:03.000 --> 53:04.000]  They're all there.
[53:04.000 --> 53:10.000]  Oh, by the way, Bloomberg over the weekend put out fake tweets from Trump that were admittedly fake.
[53:10.000 --> 53:16.000]  Saying he ripped, I'm sorry, I ripped off students, I'm a criminal, ha, ha, ha.
[53:16.000 --> 53:18.000]  They weren't real tweets.
[53:18.000 --> 53:22.000]  I mean, they're hitting next level, folks.
[53:22.000 --> 53:27.000]  But since I mentioned it, they start the whole peace out saying we should shut these websites down.
[53:27.000 --> 53:28.000]  They're bad.
[53:28.000 --> 53:29.000]  They're evil.
[53:29.000 --> 53:30.000]  They're dangerous.
[53:30.000 --> 53:34.000]  And then he keeps saying, isn't it dangerous to do that to shut them down?
[53:34.000 --> 53:36.000]  Tucker Carlson has his own show.
[53:36.000 --> 53:37.000]  He's one of the best guys on Fox.
[53:37.000 --> 53:38.000]  Not just comes on the show.
[53:38.000 --> 53:39.000]  I like him.
[53:39.000 --> 53:41.000]  He's had a good metamorphosis over the years.
[53:41.000 --> 53:42.000]  He was always a patriot.
[53:42.000 --> 53:43.000]  He couldn't do it.
[53:43.000 --> 53:44.000]  Now the season's here.
[53:44.000 --> 53:46.000]  He can be a sunshine patriot.
[53:46.000 --> 53:47.000]  That's good.
[53:47.000 --> 53:48.000]  We like Carlson.
[53:48.000 --> 53:50.000]  You know, they've chastised him about coming on.
[53:50.000 --> 53:51.000]  But that's not what it's about.
[53:51.000 --> 53:55.000]  The point is he's doing a good job of his own show now, weeknight at 7 o'clock Central on Fox.
[53:55.000 --> 53:58.000]  He's on there with Jessica Tarlov.
[53:58.000 --> 54:00.000]  And you can watch the whole six-minute video.
[54:00.000 --> 54:04.000]  But here's just a little bit of it saying, you know, Alex Jones needs to be discredited.
[54:04.000 --> 54:06.000]  When is he going to lose his credibility?
[54:06.000 --> 54:09.000]  Well, when you stop lying, lady.
[54:09.000 --> 54:10.000]  Problem.
[54:10.000 --> 54:12.000]  I mean, I guess there are two tracks here, Christian.
[54:12.000 --> 54:15.000]  One is the idea that people didn't vote for Hillary because they just didn't know enough.
[54:15.000 --> 54:16.000]  Because they're dumb.
[54:16.000 --> 54:18.000]  And that's the implication of what the left is saying.
