[00:00:02.040 --> 00:00:02.720]  Is the U.S.
[01:04:22.456 --> 01:04:27.800]  If you don't try Brain Force, our great nootropic, you don't go read the reviews, you're missing out.
[01:04:27.800 --> 01:04:29.561]  Look how hardcore our info is.
[01:04:29.561 --> 01:04:32.842]  Look how cutting-edge our political information is, how explosive it is.
[01:04:32.842 --> 01:04:36.104]  Imagine the supplements we come up with for the top brains.
[01:04:36.104 --> 01:04:41.948]  Super Mel Vitale is 30% off right now for the weekend and free shipping on that product, a bunch of other specials.
[01:04:41.948 --> 01:04:44.829]  Sign up for auto-ship on any item that you need to reorder and get 10% off.
[01:04:46.638 --> 01:04:57.634]  On top of any other specials, plus always free shipping on orders for $50 or more, and you are funding what the globalists call the belligerent nationalist pro-human movement, the very tip of the spear.
[01:04:57.634 --> 01:04:58.836]  You are the InfoWar.
[01:05:01.803 --> 01:05:05.804]  This is Millie Weaver reporting for InfoWars.com.
[01:05:05.804 --> 01:05:16.286]  The official McDonald's Twitter account tweeted out an anti-Trump tweet which caused a huge stir on Twitter, which some speculate may not have been an accident at all.
[01:05:16.286 --> 01:05:23.508]  The tweet said, You are actually a disgusting excuse of a president and we would love to have Barack Obama back.
[01:05:24.028 --> 01:05:26.310]  Also, you have tiny hands.
[01:05:26.310 --> 01:05:38.019]  Now, McDonald's claims that it was the result of a hacker, but some have pointed the finger at Robert Gibbs, Obama's former press secretary, who now works as the global chief officer for McDonald's.
[01:05:38.019 --> 01:05:40.741]  Well, there's no proof that it was Robert Gibbs.
[01:05:40.741 --> 01:05:47.727]  However, I would say that Robert Gibbs is a perfect fit for McDonald's, given that his job was to make Obama look good.
[01:05:47.727 --> 01:05:52.491]  Well, I'm sure he'll have no problem making the McDonald's McChicken fake nuggets,
[01:05:52.852 --> 01:05:54.356]  Look good as well.
[01:05:54.356 --> 01:05:57.125]  For more awesome reports, go to InfoWars.com.
[01:06:01.963 --> 01:06:03.544]  This is Alex Jones.
[01:06:03.544 --> 01:06:08.806]  I want to tell you about a way to save a lot of money on one of the best new off-the-grid products of 2017.
[01:06:08.806 --> 01:06:11.988]  And seriously, I really think everyone should have one of these.
[01:06:11.988 --> 01:06:17.791]  I'm talking about the PPX solar generator system from our friends at Solutions from Science, one of our oldest sponsors.
[01:06:17.791 --> 01:06:26.495]  The PPX is so small you can put it in your pocket, but so powerful you can run some 110 appliances at your house, like a small refrigerator, so you can keep food from spoiling.
[01:06:26.895 --> 01:06:32.463]  Plus, you can take it with you to jump-start cars, trucks, buses, 18-wheelers, heavy equipment, even airplanes.
[01:06:32.463 --> 01:06:39.492]  The system provides an endless supply of off-the-grid electricity, allowing you to create your own private power grid, literally anywhere in the world.
[01:06:39.492 --> 01:06:44.058]  Perfect for cabins, remote locations, anytime you need to get off the grid for a while.
[01:06:44.298 --> 01:06:47.602]  Go to privatepowergrid.com to watch this thing in action.
[01:06:47.602 --> 01:06:49.704]  That's privatepowergrid.com.
[01:06:49.704 --> 01:06:55.430]  Even better, use coupon code PRIVATE at checkout and get a second PPX energy unit for free.
[01:06:55.430 --> 01:06:57.853]  Check it out at privatepowergrid.com.
[01:06:57.853 --> 01:06:59.535]  That's privatepowergrid.com.
[01:07:01.508 --> 01:07:03.809]  Electrify your day with Secret 12.
[01:07:03.809 --> 01:07:05.389]  It's like lightning in a bottle.
[01:07:05.389 --> 01:07:09.270]  We all have days in which we just can't seem to perform at the level we'd like to.
[01:07:09.270 --> 01:07:17.212]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[01:07:17.212 --> 01:07:22.193]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[01:07:22.193 --> 01:07:27.635]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[01:07:27.995 --> 01:07:35.777]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[01:07:35.777 --> 01:07:40.498]  It pairs two forms of vitamin B12 into one explosive formula.
[01:07:40.498 --> 01:07:49.520]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes, but it also assists with many other functions of the body.
[01:07:49.520 --> 01:07:52.761]  Electrify your mind and body and take your health to the next level.
[01:07:53.061 --> 01:07:56.964]  Experience the power of Seeker 12 at InfoWarsLife.com.
[01:07:56.964 --> 01:08:04.190]  That's InfoWarsLife.com.
[01:08:04.190 --> 01:08:05.692]  Zack, this is Crystal Palace.
[01:08:05.692 --> 01:08:05.872]  Inc.
[01:08:05.872 --> 01:08:07.834]  NORAD has declared DEFCON 3.
[01:08:07.834 --> 01:08:09.655]  Scramble all alert aircraft.
[01:08:09.655 --> 01:08:13.158]  I repeat, scramble all alert aircraft.
[01:08:13.158 --> 01:08:16.741]  The Whopper spends all its time thinking about World War 3.
[01:08:16.741 --> 01:08:19.143]  Target selection complete.
[01:08:19.143 --> 01:08:21.005]  Time-on-target sequence complete.
[01:08:22.200 --> 01:08:28.604]  22 Typhoon-class submarines departing Petropavlovsk, turning southbound at Nordkapp, bearing 095 degrees.
[01:08:28.604 --> 01:08:34.026]  Radar reports two unknown tracks are penetrating the Alaskan air defense zone.
[01:08:34.026 --> 01:08:40.470]  From the front lines of the Information War... Flush the bombers, get the subs in launch mode.
[01:08:40.470 --> 01:08:41.871]  We are at DEFCON 1.
[01:08:44.231 --> 01:08:46.512]  Are you prepared to destroy the enemy?
[01:08:46.512 --> 01:08:47.632]  You bet!
[01:08:47.632 --> 01:08:51.954]  Defending the Republic from enemies foreign and domestic.
[01:08:51.954 --> 01:08:54.915]  We'll keep control, but we'll keep it here at the top where it belongs.
[01:08:54.915 --> 01:08:56.255]  3... 2... 1... Impact!
[01:08:56.255 --> 01:08:58.156]  Shall we play a game?
[01:08:58.156 --> 01:08:58.616]  How about...
[01:09:08.360 --> 01:09:13.203]  Live from the InfoWars.com studios, it's Alex Jones.
[01:09:13.203 --> 01:09:15.504]  All units confirm weapons targeted and ready.
[01:09:15.504 --> 01:09:17.085]  Awaiting launch codes.
[01:09:17.085 --> 01:09:18.706]  We are in a launch mode.
[01:09:18.706 --> 01:09:22.628]  Do you really believe that the enemy would attack without provocation?
[01:09:22.628 --> 01:09:27.010]  If you are receiving this transmission, you are the resistance.
[01:09:27.010 --> 01:09:27.311]  We're in!
[01:09:28.271 --> 01:09:30.273]  The Russians are still denying everything, sir.
[01:09:30.273 --> 01:09:32.816]  We have a Soviet submarine launch detection.
[01:09:32.816 --> 01:09:34.498]  I wish I didn't know about any of this.
[01:09:34.498 --> 01:09:36.800]  I wish I was like everybody else.
[01:09:36.800 --> 01:09:38.402]  Change ended.
[01:09:38.402 --> 01:09:48.133]  The only winning move is not to play.
[01:09:48.133 --> 01:09:48.893]  Ladies and gentlemen...
[01:09:49.978 --> 01:10:01.107]  Every major military historical analyst out there agrees the last four years that the world has entered the most dangerous period in human existence.
[01:10:01.107 --> 01:10:04.470]  We have the Atlantean power.
[01:10:04.470 --> 01:10:13.378]  Whether the legend of Atlantis was true or not, we have the Atlantean power now to destroy ourselves many times over.
[01:10:13.378 --> 01:10:16.921]  That is an incontrovertible fact.
[01:10:16.921 --> 01:10:17.501]  And we have
[01:10:18.604 --> 01:10:34.075]  Communist China that is unbelievably oppressive and unbelievably murderous, arming North Korea with medium-range and long-range intercontinental ballistic missiles.
[01:10:34.075 --> 01:10:46.344]  And we have Bill Clinton and Hillary Clinton and Laura Allen Hughes in 1995, 96 and 97, illegally transferring the technology to Communist China.
[01:10:48.473 --> 01:11:02.178]  Previously China would have to come up off our shore and try to fire some type of primitive medium-range nuke at us or try to get bombers flying over the North Pole to hit, say, New York City.
[01:11:02.178 --> 01:11:04.599]  Good luck doing that.
[01:11:04.599 --> 01:11:05.679]  But now they have it.
[01:11:09.349 --> 01:11:22.624]  And they've put their operatives in all the major tech companies, and they have got chips that are manufactured for the military, that have kill switches in our latest military equipment.
[01:11:22.624 --> 01:11:25.167]  We have been completely sabotaged and overrun.
[01:11:25.167 --> 01:11:28.070]  And by the way, all that's admitted.
[01:11:28.070 --> 01:11:30.252]  What's crazy is that sounds wild.
[01:11:30.252 --> 01:11:30.653]  It's true.
[01:11:32.415 --> 01:11:34.337]  There have been scandals for 15 years.
[01:11:34.337 --> 01:11:42.964]  I remember seeing in the news hundreds of times where they find back doors in defense chips made in Communist China.
[01:11:42.964 --> 01:11:48.248]  Or they get Communist Chinese technicians in even our firms and they add stuff in.
[01:11:48.248 --> 01:11:51.270]  Search engine that.
[01:11:51.270 --> 01:11:53.592]  Communist China put back doors on U.S.
[01:11:53.592 --> 01:11:55.053]  defense chips.
[01:11:55.053 --> 01:11:59.117]  Remember, they call me fake news because we've got such a memory and we're accurate.
[01:12:01.118 --> 01:12:02.499]  Of course, how would you not forget that?
[01:12:02.499 --> 01:12:03.619]  I mean, that's important.
[01:12:03.619 --> 01:12:05.920]  Or the Kim Jong-un's a third-generation dictator.
[01:12:05.920 --> 01:12:28.571]  So now, in the last month, he's had more missile tests, firing missiles just right off the coast of Japan, and then saying, I will annihilate you, I will nuke you, with someone that looks like a cartoon character of a little pot-bellied crazy man, with everyone worshipping him, threatening to destroy South Korea, one of the most advanced high-tech countries in the world.
[01:12:29.793 --> 01:12:33.196]  Two different planets.
[01:12:33.196 --> 01:12:35.477]  Millions starving every few years in North Korea.
[01:12:35.477 --> 01:12:39.560]  Total enslavement.
[01:12:39.560 --> 01:12:42.563]  Collapsing worse than Venezuela.
[01:12:42.563 --> 01:12:51.910]  And the answer is, threatened to nuke us, threatened to attack us, and now China has moved into the South China Sea, taking over 90% of it.
[01:12:51.910 --> 01:12:57.234]  They are declaring that
[01:12:57.975 --> 01:13:03.960]  They have the waters all the way down to the Philippines.
[01:13:03.960 --> 01:13:05.521]  Think about that.
[01:13:05.521 --> 01:13:12.526]  And China is belligerently kicking Filipinos off their own islands that people have been on for thousands of years.
[01:13:12.526 --> 01:13:14.248]  They're not just building new ones.
[01:13:17.346 --> 01:13:18.926]  In fact, there's one good thing CNN did.
[01:13:18.926 --> 01:13:24.848]  We've played that graphic where the lady is standing on the big blue screen and it shows the official China map.
[01:13:24.848 --> 01:13:31.749]  It's over 90% and it's hundreds of miles away from China in areas they've never even claimed, folks.
[01:13:31.749 --> 01:13:42.412]  Shooting way out in the South China Sea, the most busy area in the world, and now they're using North Korean dictator Kim Jong-un, who never worked a day in his life, to declare that he
[01:13:45.455 --> 01:13:55.760]  We'll annihilate South Korea, annihilate Japan, annihilate anybody that gets in his way.
[01:13:55.760 --> 01:13:58.522]  And Nancy Pelosi is so arrogant.
[01:13:58.522 --> 01:14:02.343]  She doesn't even know who the president is in press conferences.
[01:14:02.343 --> 01:14:06.966]  And Maxine Waters, again, thinks that Russia invaded Korea.
[01:14:06.966 --> 01:14:08.487]  Doesn't know what North and South is.
[01:14:08.487 --> 01:14:13.949]  Has no idea what's even going on on this planet.
[01:14:13.949 --> 01:14:15.110]  No connection to reality.
[01:14:17.884 --> 01:14:32.955]  She just says that Putin runs Trump, and now, don't forget, John McCain said two days ago that Rand Paul is a agent of Putin.
[01:14:32.955 --> 01:14:34.396]  Oh, and that's a correction.
[01:14:34.396 --> 01:14:35.157]  I saw the article.
[01:14:35.157 --> 01:14:36.178]  I played the clip yesterday.
[01:14:37.526 --> 01:14:42.288]  And I conflated two things, not intentionally, because it's the exact same rhetoric.
[01:14:42.288 --> 01:14:45.029]  McCain has a bunch of treaties he wants rammed through to have the U.S.
[01:14:45.029 --> 01:14:50.051]  totally invade Ukraine, go all the way into Crimea, and kick Russia out with military force.
[01:14:50.051 --> 01:14:53.512]  And he wants more heavy weapons sent, anti-aircraft missiles, you name it.
[01:14:53.512 --> 01:14:54.792]  There's already a proxy war.
[01:14:54.792 --> 01:14:56.273]  So then he's up there about another treaty.
[01:14:58.186 --> 01:15:03.690]  And that's Montenegro, where he says Russia's attack, which there's no evidence of that, just zero.
[01:15:03.690 --> 01:15:04.450]  There.
[01:15:04.450 --> 01:15:05.631]  And is saying he wants U.S.
[01:15:05.631 --> 01:15:06.952]  forces there.
[01:15:06.952 --> 01:15:08.833]  That's in the Balkans, but also nearby.
[01:15:08.833 --> 01:15:14.256]  This is an encirclement of Russia, which is seriously warlike, and Russia's not threatening to nuke anybody.
[01:15:14.256 --> 01:15:16.098]  Russia's not grabbing the South China Sea.
[01:15:16.098 --> 01:15:26.764]  If Russia was grabbing the South China Sea, and by the way, they have some claim to it, there's some Russia that sticks out in that area, and Russia has some islands around there going back, and Russia goes all the way to Asia, folks.
[01:15:26.764 --> 01:15:27.405]  Far East Asia.
[01:15:29.005 --> 01:15:31.827]  But they're not claiming that.
[01:15:31.827 --> 01:15:37.011]  People asked Putin about, hey, would you want, you know, areas of Alaska back that you sold for $50 million or whatever it was.
[01:15:37.011 --> 01:15:40.313]  He says, no, we got too much land to deal with now.
[01:15:40.313 --> 01:15:42.575]  Isn't Russia like eight times the size of the U.S.?
[01:15:42.575 --> 01:15:45.397]  I'm going from memory.
[01:15:45.397 --> 01:15:47.719]  Russia's problem is it's so big.
[01:15:47.719 --> 01:15:49.020]  Let's pull back on that.
[01:15:49.020 --> 01:15:50.641]  Look at the size of that.
[01:15:50.641 --> 01:15:53.723]  The globalists want it.
[01:15:53.723 --> 01:15:57.146]  They're trying to use islamicists on one side and then trendies on the other to bring it down.
[01:15:59.178 --> 01:16:01.199]  Don't lionize on some love affair with Russia.
[01:16:01.199 --> 01:16:04.261]  I happen to know what's going on historically.
[01:16:04.261 --> 01:16:14.408]  I happen to know that our own stinking globalist government in 1917 financed the takedown of Moscow and the Bolshevik Revolution and then the same leftist thing we see here today was done to them.
[01:16:14.408 --> 01:16:15.749]  You want to know where we're going?
[01:16:15.749 --> 01:16:16.970]  Look at what happened in Russia.
[01:16:16.970 --> 01:16:21.373]  Banning the family, slave labor, hate speech laws, everything you see now.
[01:16:21.373 --> 01:16:23.895]  Little commissars running around in black uniforms.
[01:16:29.204 --> 01:16:38.348]  So, if Russia was suddenly declaring it wanted a bunch of islands out there, because they border that area, I'd say, hey, watch out, Russia.
[01:16:38.348 --> 01:16:39.868]  That's open sea lanes for everybody.
[01:16:39.868 --> 01:16:55.974]  You know, China's saying you can't come in most of the South China Sea now, and ships have to go through areas that are rocky shoals and sandbars, and so a lot of big ships are just ignoring them and having to be escorted by Japanese, U.S., and South Korean ships.
[01:16:55.974 --> 01:16:57.555]  That's really what's been going on the last year.
[01:16:59.144 --> 01:17:05.827]  And the Communist Chinese will pull up, they'll board your boat, they'll steal the Navy's research vessels, remember that?
[01:17:05.827 --> 01:17:09.509]  They're acting like North Korea, and because they're delusional.
[01:17:09.509 --> 01:17:14.552]  Hell, they're buying up Hollywood, they're controlling the U.S., they're putting spy chips in our equipment, they're doing whatever they want!
[01:17:18.171 --> 01:17:23.212]  And then Rex Tillerson comes out and says, listen, we don't want war, but you just can't keep calling for it.
[01:17:23.212 --> 01:17:25.853]  And you've got atomic weapons and missiles to deliver them.
[01:17:25.853 --> 01:17:28.054]  And if we see movements towards that, we're going to hit you first.
[01:17:28.054 --> 01:17:30.674]  And they've got the special forces on the border.
[01:17:30.674 --> 01:17:32.075]  They've got the bombers ready.
[01:17:32.075 --> 01:17:36.696]  They've got the cruise missiles ready to vaporize every major military emplacement.
[01:17:36.696 --> 01:17:41.998]  It's going to be, I'd say they're going to hit the North Korean line.
[01:17:41.998 --> 01:17:46.779]  Yeah, let me from a military history tell you how this will go if it kicks off.
[01:17:47.944 --> 01:17:55.009]  They can go three different ways, and they're each really drawn out, so let me just try to crystallize them as best I can.
[01:17:55.009 --> 01:17:58.712]  They start loading what appears to be an atomic payload.
[01:17:58.712 --> 01:18:01.654]  They've got sensors in space that can scan and tell them.
[01:18:01.654 --> 01:18:06.958]  They start loading a radioactive payload onto one of those missiles.
[01:18:08.366 --> 01:18:19.132]  And the phone call's gonna go to President Trump, who's got the media and everybody attacking him constantly about, you know, he wasn't spied on, or all this made-up crap, or, you know, he's not getting the economy going, all these other lies, or whatever.
[01:18:19.132 --> 01:18:21.213]  Or he didn't release his tax returns.
[01:18:21.213 --> 01:18:33.339]  Well, we're busy dealing with that, and our sellout globalist leftists that have sold us out to Communist China, and think they're gonna defeat this country, Trump could get the call today, tomorrow, next month, whenever.
[01:18:33.339 --> 01:18:36.360]  Skip this break, it's too important.
[01:18:36.360 --> 01:18:37.381]  And they could say, Mr. President,
[01:18:38.783 --> 01:18:39.583]  We've got the scans.
[01:18:39.583 --> 01:18:41.484]  They're loading.
[01:18:41.484 --> 01:18:43.364]  They're going to go nuclear.
[01:18:43.364 --> 01:18:44.665]  Six missiles.
[01:18:44.665 --> 01:18:50.367]  Six medium-range rockets with atomic payloads.
[01:18:50.367 --> 01:18:52.867]  They reportedly even have hydrogen bombs now.
[01:18:52.867 --> 01:19:00.810]  Maybe it's a hydrogen bomb.
[01:19:00.810 --> 01:19:02.731]  And the President makes the decision.
[01:19:02.731 --> 01:19:03.731]  They've already had the meetings.
[01:19:03.731 --> 01:19:06.212]  All right.
[01:19:06.212 --> 01:19:06.912]  Go ahead and launch.
[01:19:08.123 --> 01:19:11.944]  And then it'll be five minutes till the cruise missiles hit them.
[01:19:11.944 --> 01:19:15.225]  And it'll be about 15 minutes till secondary hydrogen bombs get dropped on them.
[01:19:15.225 --> 01:19:25.447]  And then they're going to hit the entire line between South and North Korea where they've got those 100,000 artillery pieces and where they've got their troops.
[01:19:25.447 --> 01:19:28.108]  Because the word is North Korea's only got about 10 nukes.
[01:19:28.108 --> 01:19:34.890]  And so the entire front of North Korea is going to probably get hit with, depending on the size of the bombs or
[01:19:37.765 --> 01:19:41.667]  Nuclear weapons they use, it could be hundreds of nuclear weapons will be used.
[01:19:41.667 --> 01:19:46.749]  Small nuclear weapons to wipe out the tunnels, the bases, to neutralize them.
[01:19:46.749 --> 01:19:49.451]  And then if troops pour across, they're going to hit them with larger weapons.
[01:19:49.451 --> 01:19:50.771]  That's how it escalates.
[01:19:50.771 --> 01:19:53.693]  And then they'll start dropping the 500 megaton bombs on them.
[01:19:53.693 --> 01:19:56.734]  It'll destroy the whole country.
[01:19:56.734 --> 01:20:02.317]  And so right now, there's over a thousand nuclear weapons just on a group of ships pointed at North Korea.
[01:20:02.317 --> 01:20:04.518]  Of course, you know where the rest are really pointed.
[01:20:05.620 --> 01:20:08.622]  Right now, most of the missiles aren't aimed at Russia.
[01:20:08.622 --> 01:20:12.585]  They've been swung around for years, and they're aimed right at China.
[01:20:12.585 --> 01:20:13.806]  That's the pivot.
[01:20:13.806 --> 01:20:15.627]  They're aimed right at China right now.
[01:20:15.627 --> 01:20:17.348]  Space-based weapons, you name it.
[01:20:17.348 --> 01:20:22.792]  And I'm not saying any secrets here, I've reverse-engineered it, plus I have all the sources over the years.
[01:20:22.792 --> 01:20:24.213]  In 1979, they had over 100 drones
[01:20:29.380 --> 01:20:35.605]  Continually orbiting the Earth with DU Shabo rounds or basically meteor guns.
[01:20:35.605 --> 01:20:40.449]  Now, they're not atomic, they're not nuclear, they're not hydrogen bombs or atomic bombs.
[01:20:40.449 --> 01:20:55.420]  They are Shabos of a classified nature that go into orbit at 15,000 miles an hour with a rocket booster and accelerate to up to 40,000 miles an hour when they hit their target.
[01:20:55.420 --> 01:20:57.442]  You can be 10 miles under a mountain, you're dead.
[01:20:59.062 --> 01:21:00.845]  No hole's deep enough.
[01:21:00.845 --> 01:21:02.928]  And again, you've got to be under a mountain because that's cool.
[01:21:02.928 --> 01:21:06.172]  You go a mile under at sea level, it's 150 degrees.
[01:21:07.369 --> 01:21:09.009]  So you're under a mountain, you're not safe.
[01:21:09.009 --> 01:21:09.850]  Nobody's safe.
[01:21:09.850 --> 01:21:11.350]  And that was 1979.
[01:21:11.350 --> 01:21:14.551]  That's the superiority of the United States, ladies and gentlemen.
[01:21:14.551 --> 01:21:15.271]  And that's what they've got.
[01:21:15.271 --> 01:21:17.171]  And they've got advanced stuff up there.
[01:21:17.171 --> 01:21:18.792]  Huge weapons platforms.
[01:21:18.792 --> 01:21:21.152]  Japanese amateur astronomers are always showing them.
[01:21:21.152 --> 01:21:23.213]  They're just basically big floating bases.
[01:21:23.213 --> 01:21:25.913]  Not like those tinker toys they put up at the International Space Station.
[01:21:25.913 --> 01:21:32.435]  They've got military bases that are basically big platforms with particle beams.
[01:21:33.826 --> 01:21:45.613]  Light pebble, tiny pebble projectors that also basically shoot hundreds of thousands of BBs every few seconds out because in space they don't slow down missiles when they're coming up.
[01:21:45.613 --> 01:21:50.475]  So they got these BB guns up there, that's what they are, they're BB guns basically.
[01:21:50.475 --> 01:21:54.878]  And they're just, just imagine hundreds of BB guns aiming at the
[01:21:56.027 --> 01:21:59.411]  Missiles that are going to come out of Russia, come out of China.
[01:21:59.411 --> 01:22:00.632]  And so they're going to take those out.
[01:22:00.632 --> 01:22:03.135]  They're going to fire cruise missiles in.
[01:22:03.135 --> 01:22:04.956]  And of course, here's the news flash.
[01:22:04.956 --> 01:22:08.240]  I'm just going to go ahead and tell you, because I know history and I've studied it.
[01:22:08.240 --> 01:22:17.169]  If North Korea moves, China has already been given the call that if you move anything or anything looks like it's warming up on a pad or any submarines pop up.
[01:22:18.132 --> 01:22:30.280]  In the Pacific Ocean, in the Gulf of Mexico, or in the Atlantic Ocean, we're going to have total commitment at that point, space-based weapons are going to kill your entire city center's population.
[01:22:30.280 --> 01:22:32.982]  Because they're not going to play games with China, they're going to kill everybody.
[01:22:32.982 --> 01:22:34.283]  So, just understand that.
[01:22:34.283 --> 01:22:34.563]  China...
[01:22:35.578 --> 01:22:39.001]  The Communist leaders make jokes about how, oh, we got too many people, go ahead and hit us.
[01:22:39.001 --> 01:22:40.542]  You're going to get hit like you want.
[01:22:40.542 --> 01:22:46.787]  Every military target, every city, every factory, you're going to have 10,000 weapons dropped on you.
[01:22:46.787 --> 01:22:48.528]  And by the way, it's going to be a nuclear winter.
[01:22:48.528 --> 01:22:51.130]  But I mean, look, leftists want to worship China.
[01:22:51.130 --> 01:22:52.591]  They want to worship North Korea.
[01:22:52.591 --> 01:22:54.032]  They want to worship Venezuela.
[01:22:54.032 --> 01:22:55.333]  They want nuclear war.
[01:22:55.333 --> 01:22:56.114]  They're going to get it!
[01:22:57.964 --> 01:22:59.185]  Because here's why.
[01:22:59.185 --> 01:23:06.311]  We're not gonna sit here while you launch missiles first and you catch us with your pants down because you're a bunch of crazy commies.
[01:23:06.311 --> 01:23:06.731]  Understand?
[01:23:06.731 --> 01:23:11.335]  Now, Curtis LeMay wanted to hit China and Russia a long time ago and got vetoed on it.
[01:23:11.335 --> 01:23:15.218]  And he had people like Bertrand Russells, the big liberals, calling for it, wanting a one-rule government.
[01:23:15.218 --> 01:23:17.480]  Those plans got killed because they were immoral.
[01:23:17.480 --> 01:23:26.808]  We're dealing with people that are running around, taking over land, threatening to attack us, and saying they're gonna nuke us and China's behind it because they're a bunch of belligerent, crazy commies.
[01:23:29.571 --> 01:23:31.512]  Now that's one way it could go.
[01:23:31.512 --> 01:23:53.968]  North Korea could basically, who's under Chinese control, could actually fold and announce a deal to work with the South, like East Germany did, to merge with it, and that horrible family dynasty can be removed, and those entire sickening groups of oppressive generals could all be told they can leave to abstention, wherever they like, and take their stolen loot.
[01:23:53.968 --> 01:23:55.609]  So it doesn't have to be a nuclear war, just let them leave.
[01:23:56.448 --> 01:24:01.051]  And then send international aid and stabilize the country of those poor victims.
[01:24:01.051 --> 01:24:14.379]  China can back off now and China can recuse itself from what it's been doing and understand that you might be able to fight with the South China Sea, you're not going to get to start a nuclear war and not get hit first.
[01:24:14.379 --> 01:24:22.845]  So, the United States is massively more advanced than China and China needs to understand that traitors inside our government gave you nukes,
[01:24:24.346 --> 01:24:32.252]  And that shows how crazy this whole thing is, and I know that China's been testing anti-satellite weapons, and particle beams, and missiles, and they've already blown up some of our satellites.
[01:24:32.252 --> 01:24:35.755]  So I understand China's got some of its own weapons, and they got some smart people.
[01:24:35.755 --> 01:24:45.703]  It's just understand this, that China has no idea what's gonna get rolled out against you, or how huge the secret space program is, and all the stuff that's been going on for a long time.
[01:24:47.344 --> 01:24:50.967]  Just look, the United States and Europe basically invented everything.
[01:24:50.967 --> 01:24:54.229]  And everybody over there needs to understand, globalists may have captured Europe.
[01:24:54.229 --> 01:24:56.891]  They may have made a deal with China to try to capture the United States.
[01:24:56.891 --> 01:24:58.412]  That deal's broken.
[01:24:58.412 --> 01:25:01.915]  That deal's over.
[01:25:01.915 --> 01:25:04.657]  Look at Kim Jong-un in that photo.
[01:25:04.657 --> 01:25:06.638]  The arrogance, the fake confidence.
[01:25:06.638 --> 01:25:12.242]  What is it about wimps that sit there and act like they're... And look at the brainwashed slaves behind him who think he's God.
[01:25:12.242 --> 01:25:13.744]  They literally think he's a rock star.
[01:25:13.744 --> 01:25:15.425]  It's like folks who think movie stars are cool.
[01:25:16.516 --> 01:25:17.417]  Just because they're in movies.
[01:25:17.417 --> 01:25:21.360]  If you love somebody's music, that's great, but there's just this worship for no reason.
[01:25:21.360 --> 01:25:25.163]  Look at the cult-like crying like Democrats when they found out Hillary lost.
[01:25:25.163 --> 01:25:30.407]  Just look at how they worshiped Hillary, another slug!
[01:25:30.407 --> 01:25:31.528]  This is slavery.
[01:25:31.528 --> 01:25:32.389]  This is pathetic.
[01:25:32.389 --> 01:25:34.571]  This is mindlessness.
[01:25:34.571 --> 01:25:37.293]  You don't find any birds, any lizards, anything in North Korea.
[01:25:37.293 --> 01:25:41.236]  Everything's been eaten.
[01:25:41.236 --> 01:25:42.437]  This is the worship of the state.
[01:25:42.437 --> 01:25:43.298]  This is what we've become.
[01:25:46.752 --> 01:25:48.255]  Well, Merkel's finally showed up.
[01:25:48.255 --> 01:25:50.138]  The press conference is about to happen.
[01:25:50.138 --> 01:25:51.360]  Merkel goes to Washington.
[01:25:51.360 --> 01:25:52.422]  No handshake with Trump.
[01:25:52.422 --> 01:25:53.925]  They were in there covering it, getting ready for it this morning.
[01:25:53.925 --> 01:25:54.967]  I said, it's like 1220 Eastern.
[01:25:58.499 --> 01:26:01.140]  I guess that'd be $11.20, but now it's... I don't know.
[01:26:01.140 --> 01:26:02.021]  Did that ever happen?
[01:26:02.021 --> 01:26:03.081]  Look at DrugsReport.com.
[01:26:03.081 --> 01:26:05.042]  It's also up on Infowars.com.
[01:26:05.042 --> 01:26:07.083]  But let's get back to the really important news here.
[01:26:07.083 --> 01:26:12.465]  That's just the German trader that opened them up to the whole UN plan to colonize Europe with Muslims.
[01:26:12.465 --> 01:26:14.366]  And now Turkey says, we're in a holy war.
[01:26:14.366 --> 01:26:17.668]  We have a group that will burn down everything inside your cities if you don't submit.
[01:26:17.668 --> 01:26:20.269]  And Merkel's literally saying, yes, submit to Turkey.
[01:26:20.269 --> 01:26:22.730]  She's allied with the Muslims, folks.
[01:26:22.730 --> 01:26:24.111]  What a pathetic scumbag.
[01:26:26.667 --> 01:26:31.791]  But right now, let's go ahead and go to the Secretary of State.
[01:26:31.791 --> 01:26:33.673]  Here he is.
[01:26:33.673 --> 01:26:43.761]  In the face of North Korea's grave and escalating global threat, it is important for me to consult with our friends and chart a path that secures the peace.
[01:26:43.761 --> 01:26:46.143]  Let me be very clear.
[01:26:46.143 --> 01:26:49.986]  The policy of strategic patience has ended.
[01:26:49.986 --> 01:26:54.410]  We're exploring a new range of diplomatic, security, and economic measures.
[01:26:55.339 --> 01:26:57.902]  All options are on the table.
[01:26:57.902 --> 01:27:09.733]  North Korea must understand that the only path to a secure, economically prosperous future is to abandon its development of nuclear weapons, ballistic missiles, and other weapons of mass destruction.
[01:27:11.277 --> 01:27:13.838]  Now, let's go a little bit further here, though.
[01:27:13.838 --> 01:27:19.080]  So, we can have North Korea try to launch missiles, or load them with weapons, and we have to hit them.
