[00:00.000 --> 00:10.000]  Ladies and gentlemen, it's Sunday, October 24th, 2021.
[27:12.000 --> 27:16.000]  Well, and to get back to the point of the currency issue here, I think...
[27:16.000 --> 27:22.000]  Hey, hold on. You're not allowed. I mean, no. Once something's accepted, you're not allowed to talk about it.
[27:22.000 --> 27:26.000]  They go after your internet service providers. So no, there's no inflation.
[27:26.000 --> 27:27.000]  Oh, yes.
[27:27.000 --> 27:34.000]  A hundred dollars will still buy you a suit, folks. A hundred dollars will still, you know, you can go on a vacation for a hundred dollars for a month.
[27:34.000 --> 27:41.000]  No, my local neighborhood Mexican restaurant that I like to go to and get some tacos, they didn't raise the price about a dollar a piece on a taco.
[27:41.000 --> 27:44.000]  Well, no, because Chris Hayes wore his glasses on TV.
[27:44.000 --> 27:48.000]  He's a genius. And he's smarter than us. And he says that we're not... Listen, take our products.
[27:48.000 --> 27:53.000]  We haven't gone up on prices on these in really seven years, or they're still...
[27:53.000 --> 27:56.000]  I mean, I've been out with DNA force for seven years for the same price.
[27:56.000 --> 28:00.000]  And now we're having all these meetings going, hey, our prices have gone up 30, 40 percent the last few years.
[28:00.000 --> 28:02.000]  You're going to have to raise prices.
[28:02.000 --> 28:05.000]  So that's where all this is going, ladies and gentlemen. That's what I've said.
[28:05.000 --> 28:09.000]  Go to infowarstore.com or go to preparethealex.com.
[28:09.000 --> 28:13.000]  It's the same link to get the highest quality storeable food you're going to find that is of quality.
[28:13.000 --> 28:16.000]  You can find stuff that's cheaper, that's total crap. This is high quality food.
[28:16.000 --> 28:19.000]  The lowest price you're going to find, full selection, ready to ship to you right now.
[28:19.000 --> 28:21.000]  And that's what I told you 20 months ago.
[28:21.000 --> 28:25.000]  Buy your storeable food now. It lasts more than 10 years. It's very portable. Get it from us.
[28:25.000 --> 28:29.000]  That supports us. And that's what I'm doing. I'm buying everything I basically need.
[28:29.000 --> 28:34.000]  I don't even have that much money left in the bank, which is fine, because I know it's not going to have any value.
[28:34.000 --> 28:37.000]  I've got to get into tangible things now. Preparewithalex.com.
[28:37.000 --> 28:43.000]  Fund the info war and get prepared because they are breaking down the world system, to panic the world system,
[28:43.000 --> 28:47.000]  to crash the world system, to bring in their world, casual society, new world order.
[28:47.000 --> 28:50.000]  And so you're going to look back on these days as the good old days, folks.
[28:50.000 --> 28:55.000]  They admit they're getting you ready with lockdowns for permanent, economic, carbon tax lockdowns.
[28:55.000 --> 28:58.000]  Oh, Troyer takes over straight ahead.
[28:58.000 --> 29:08.000]  I am taping this update on the morning of Friday, October 22, 2021.
[29:08.000 --> 29:16.000]  Listeners who've already tried and really seen the powerful effects of Rainforest Ultra should be excited to know that we've got a limited supply of it in stock,
[29:16.000 --> 29:19.000]  but it'll be sold out at current sales rates by Monday morning.
[29:19.000 --> 29:24.000]  Despite that fact, we're still offering a major discount of 25% off.
[29:24.000 --> 29:30.000]  This is an amazing, new tropic. I went to one of the top labs in the country and I said I want very powerful, quick acting,
[29:30.000 --> 29:36.000]  extremely clean, new tropic that wears off quick because I want to be able to take it if I've got to work till 10 at night,
[29:36.000 --> 29:39.000]  take it at 7 and for it to wear off by 10.
[29:39.000 --> 29:43.000]  And that's exactly what they did with Rainforest Ultra.
[29:43.000 --> 29:46.000]  Now, we have other great products like Turboforce that last for 10 hours.
[29:46.000 --> 29:49.000]  It's a different formula. It's over the top powerful, so it's strong. I can't even take it.
[29:49.000 --> 29:51.000]  By the way, it's sold out right now.
[29:51.000 --> 29:55.000]  The Rainforest Ultra is really something special. It's 25% off limited supply.
[29:55.000 --> 29:59.000]  We'll sell out early next week at infoorstore.com.
[30:02.000 --> 30:09.000]  Your voice counts. When you share information, be it over the internet or in person, it changes the world.
[30:09.000 --> 30:13.000]  The globalists know their agenda is unpopular. They know you're angry.
[30:13.000 --> 30:18.000]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[30:18.000 --> 30:22.000]  Well, ladies and gentlemen, if you sign up for our free news and show alerts,
[30:22.000 --> 30:25.000]  you can then take those alerts, those articles and those live feeds,
[30:25.000 --> 30:29.000]  both the regular shows and special reports, and share them with everyone you know.
[30:29.000 --> 30:36.000]  Take action now by texting the word news, NEWS, to 833-470-0438.
[30:36.000 --> 30:41.000]  That's 833-470-0438 for info or emergency news alerts.
[30:41.000 --> 30:48.000]  Or text the word show to 833-470-0438 and receive live show notifications.
[30:48.000 --> 30:53.000]  Take action now, rate the chain reaction, and tell others to share those texts.
[30:53.000 --> 30:56.000]  Get news alerts at 833-470-0438.
[30:59.000 --> 31:02.000]  It's time to protect your privacy.
[31:02.000 --> 31:06.000]  It's time to come to grips with the fact that even though you don't have anything to hide,
[31:06.000 --> 31:12.000]  criminals, hackers, corporations, big tech government are stealing all of your data
[31:12.000 --> 31:16.000]  and creating a map and a database of where you go and what you do.
[31:16.000 --> 31:20.000]  So in the future, under their globalist takeover, they can shut you down.
[31:20.000 --> 31:25.000]  Protecting your privacy, protecting your credit cards, protecting your bank accounts,
[31:25.000 --> 31:29.000]  protecting your photos, protecting everything that's on your phone is paramount.
[31:29.000 --> 31:32.000]  That's why everybody should visit infowarstore.com.
[31:32.000 --> 31:37.000]  We're carrying a huge new line of very compliant, made in America products
[31:37.000 --> 31:41.000]  that have 100% reviews and are simply incredible.
[31:41.000 --> 31:42.000]  It's a 360 win.
[31:42.000 --> 31:48.000]  Protect your privacy and shop at Infowars to support the overall Infowar against the globalists.
[31:48.000 --> 31:50.000]  A true 360 win.
[31:50.000 --> 31:53.000]  Get your Faraday cages at infowarstore.com.
[31:53.000 --> 31:54.000]  Check out the new line.
[31:54.000 --> 31:55.000]  It's amazing.
[31:55.000 --> 32:02.000]  The average person on the face of this incredible planet is still unaware
[32:02.000 --> 32:07.000]  that there's a war between free individuals and nation states on one side
[32:07.000 --> 32:12.000]  and the globalist on the other who are literally trying to create a post-human world.
[32:12.000 --> 32:16.000]  From the United States to Brazil, and of course triggered by the Brexit in the UK,
[32:16.000 --> 32:20.000]  nations were pulling out of the private, corporate and fascist world government.
[32:20.000 --> 32:22.000]  That's why they launched their Great Reset.
[32:22.000 --> 32:27.000]  And they're programing after collapsing us of Build Back Better.
[32:27.000 --> 32:33.000]  This is nothing more than a top-down vertical consolidation of the world economy.
[32:33.000 --> 32:36.000]  Because they couldn't take our guns and because we wouldn't bow.
[32:36.000 --> 32:40.000]  Because the left, which is the ideology of this world government system,
[32:40.000 --> 32:41.000]  couldn't win.
[32:41.000 --> 32:44.000]  They released a biological weapon on us.
[32:44.000 --> 32:48.000]  Now we know, two years ago, we learned about it about 20 months ago.
[32:48.000 --> 32:52.000]  It's that simple. They can't beat us because of our free speech and our guns.
[32:52.000 --> 32:57.000]  So the global corporate combine released COVID-19 and you know the rest is history.
[32:57.000 --> 33:19.000]  Expose this paradigm and we win.
[33:27.000 --> 33:32.000]  Alright and Alex has departed from us now.
[33:32.000 --> 33:37.000]  So I've just got stacks and stacks of news that I'm going to get through here.
[33:37.000 --> 33:41.000]  We also have Dr Bartlett joining us coming up in the next hour.
[33:41.000 --> 33:48.000]  It's just incredible all the lies that we've been told by our government when it comes to health.
[33:48.000 --> 33:52.000]  And Dr Bartlett has been pushing back against those lies from the media,
[33:52.000 --> 33:57.000]  from the government, the Biden administration and before even with Fauci.
[33:57.000 --> 34:05.000]  But now, oh well they can't cover up anymore that Ivermectin is safe and effective.
[34:05.000 --> 34:15.000]  So now they're going to act like they're interested and they're going to start testing Ivermectin when it comes to COVID.
[34:15.000 --> 34:18.000]  And so they're going to see now, well they'll test it now.
[34:18.000 --> 34:21.000]  They haven't tested the vaccine yet and they'll force you to take that.
[34:21.000 --> 34:24.000]  We have enough tests of Ivermectin and now they're going to say we're going to test it.
[34:24.000 --> 34:28.000]  So Dr Bartlett is going to be joining us on that front.
[34:28.000 --> 34:35.000]  In the meantime, where do I begin with all of this news?
[34:35.000 --> 34:43.000]  So let me just hit the reset button and detail the waterfront here because I'm going to be with you for the next.
[34:43.000 --> 34:47.000]  And what I'd like to do is on Sunday Night Live just take a bunch of phone calls.
[34:47.000 --> 34:53.000]  So I'll try to get all the news off the desk, we'll have Dr Bartlett on and then we'll take a bunch of phone calls this evening as well.
[34:53.000 --> 34:58.000]  But let me just hit the reset button on this transmission and lay out the waterfront for you.
[34:58.000 --> 35:03.000]  So remember what they did in Loudoun County.
[35:03.000 --> 35:06.000]  Remember what they did in Loudoun County.
[35:06.000 --> 35:14.000]  And when you understand this, which is really, it's a small story in scale but it's a big story because of the gruesomeness of it.
[35:14.000 --> 35:26.000]  And it's a big story because you have to understand that this policy or this ideology extrapolated out is what the Democrat Party is.
[35:26.000 --> 35:30.000]  It's everything that they are, the lies, the deception, the rape, literally.
[35:30.000 --> 35:33.000]  That's what they are.
[35:33.000 --> 35:42.000]  So remember what they did in Loudoun County to get a bill passed so that boys could go in the girls' bathroom and they covered up rape.
[35:42.000 --> 35:49.000]  And then when the parents called the County School Board to task, by the way, they now have the emails, ladies and gentlemen, as if it wasn't bad enough.
[35:49.000 --> 35:54.000]  They now have the emails with the internal school board members, the Democrats.
[35:54.000 --> 36:05.000]  They now have their emails where they are in their emails discussing how they're going to cover up the rape of a little girl in the girls' bathroom because of their transgender bathroom policy.
[36:05.000 --> 36:07.000]  And it's all in there, how they want to cover it up.
[36:07.000 --> 36:10.000]  Now they'll sweep it under the rug and transfer the person to another school.
[36:10.000 --> 36:13.000]  And then what happened? And then it happened again.
[36:13.000 --> 36:17.000]  And so then the parents were upset and put the County School Board on notice.
[36:17.000 --> 36:20.000]  So what did the FBI do, which is owned by the Democrats too?
[36:20.000 --> 36:25.000]  The FBI said that those parents were terrorists.
[36:25.000 --> 36:27.000]  So we'll have that coming up.
[36:27.000 --> 36:45.000]  I've got a massive stack of news right here when it comes to the attack on our country, the economic warfare launched against us from the Biden regime, which of course is illegitimate, but you're not allowed to talk about that either.
[36:45.000 --> 36:47.000]  You're not allowed to hold that belief.
[36:47.000 --> 36:55.000]  And now we don't even have free speech in this country because you see, free speech is truly free.
[36:55.000 --> 37:05.000]  But when you know that there's a punishment for speech, speech is no longer free and speech is now being punished in the United States of America.
[37:05.000 --> 37:10.000]  So yeah, now you talk about a rigged election and you risk certain things.
[37:10.000 --> 37:12.000]  You could risk your livelihood.
[37:12.000 --> 37:14.000]  Hell, you could even risk your freedom.
[37:14.000 --> 37:20.000]  You could risk everything simply by talking about facts that pertain to the 2020 election.
[37:20.000 --> 37:42.000]  So we've got some of that, but the general population, the general public is now aware of the disaster that the Biden regime is and his approval rating is tanking and sinking faster than any other approval rating in modern history when it comes to U.S. presidents.
[37:42.000 --> 37:52.000]  And so we know the reasons why as they're continuing to try to scuttle the supply chain in California.
[37:52.000 --> 37:56.000]  And so I said this last week and it needs to be echoed.
[37:56.000 --> 38:01.000]  And I think DeSantis needs to kind of maybe harden his message when it pertains to this as well.
[38:01.000 --> 38:05.000]  Don't wait on California to open their ports.
[38:05.000 --> 38:08.000]  Don't wait on California to move this cargo.
[38:08.000 --> 38:10.000]  Forget about that.
[38:10.000 --> 38:12.000]  The state of California is corrupt.
[38:12.000 --> 38:14.000]  The state of California is now against America.
[38:14.000 --> 38:16.000]  The state of California is now compromised.
[38:16.000 --> 38:24.000]  They're lying to you if they're saying they're going to make efforts to clear these ports and to get all these shipping containers in.
[38:24.000 --> 38:27.000]  If they really wanted that, they would have done it months ago.
[38:27.000 --> 38:33.000]  So this is them trying to stall this now saying, because Ron DeSantis said, oh, Florida ports are open.
[38:33.000 --> 38:34.000]  Just bring everything here.
[38:34.000 --> 38:38.000]  So now California is saying, wait, no, no, no, no, we're going to do our best.
[38:38.000 --> 38:41.000]  We're going to open it up. We're going to do it. We're going to ship them.
[38:41.000 --> 38:43.000]  We're going to get them up and we're going to get them out.
[38:43.000 --> 38:44.000]  It's all lies.
[38:44.000 --> 38:48.000]  It's all deception to just scuttle and destroy the supply chain as much as possible.
[38:48.000 --> 39:01.000]  All those ships, all that cargo needs to be moved to Florida immediately so that what they're doing in California can finally be exposed and the lies that they're telling can be exposed as well.
[39:01.000 --> 39:04.000]  There's a lot of sabotage happening out there.
[39:04.000 --> 39:09.000]  We don't think we quite know the full story yet, but we know what the results are.
[39:09.000 --> 39:12.000]  Now you have Democrats.
[39:12.000 --> 39:17.000]  I don't even know how to properly cover this because it's just so outrageous.
[39:17.000 --> 39:28.000]  But again, I don't even know when you have the Atlantic publishing this story over the weekend with the headline January 6 wasn't a riot.
[39:28.000 --> 39:35.000]  It was a war. You say, what are the signs of war?
[39:35.000 --> 39:39.000]  What are the signs you say somebody's at war?
[39:39.000 --> 39:42.000]  What kind of warfare are we talking about here?
[39:42.000 --> 39:46.000]  Okay, well, you would sabotage communications, censor free speech.
[39:46.000 --> 39:49.000]  We see that going on. Who's doing that?
[39:49.000 --> 39:54.000]  You would sabotage the economy, sabotage the free market economy.
[39:54.000 --> 39:58.000]  Okay, well, who's doing that?
[39:58.000 --> 40:06.000]  You would try to rig elections in your favor that so you have favorable politicians to usher in your warfare.
[40:06.000 --> 40:09.000]  Well, who would we say is responsible for doing that?
[40:09.000 --> 40:13.000]  Is that happening? Is that going on?
[40:13.000 --> 40:21.000]  You would set policy that would divide a nation's people against itself.
[40:21.000 --> 40:26.000]  Well, who would be doing that? Who's currently doing that? What's going on with that?
[40:26.000 --> 40:31.000]  So this whole notion, they can't let go of January 6 and it looks like they're going to try to carry this out all the way through the midterms.
[40:31.000 --> 40:41.000]  It looks like this is going to be their little election season nugget egg to just constantly incubate for their number one story to lead up to the midterms
[40:41.000 --> 40:46.000]  because they can't run on anything else. They can't run on the economy. They can't run on strong borders.
[40:46.000 --> 40:56.000]  They can't run on security. They can't run on anything other than, oh, look at January 6 or look at Donald Trump.
[40:56.000 --> 40:59.000]  And so we've got more on that coming up.
[40:59.000 --> 41:05.000]  Of course, there's all kinds of news when it comes to COVID and the vaccines and it just gets worse and worse every day.
[41:05.000 --> 41:14.000]  And there's a powerful image here that I think it puts it into perspective because a lot of people don't fully understand what's going on.
[41:14.000 --> 41:21.000]  When you see this image, of course, there's the old government documents, quiet weapons for silent wars.
[41:21.000 --> 41:24.000]  There's a silent weapons for quiet wars. I can't forget. It's one of those two.
[41:24.000 --> 41:34.000]  But it's the evolution of war and you see a rock and then you see a spear and then you see an arrow and then you see a bullet and then you see a missile
[41:34.000 --> 41:41.000]  and then you see a vaccine, a needle, a syringe with a needle.
[41:41.000 --> 41:50.000]  And that's truly it. That's the evolution of war. That's where we're at.
[41:50.000 --> 41:57.000]  And when you understand that, you understand everything that's happening right now.
[41:57.000 --> 42:02.000]  Then, once again, Info Wars next month's news today.
[42:02.000 --> 42:08.000]  I reported this on the war room probably about a month ago. I don't remember. The crew can pull the clips, but it doesn't matter.
[42:08.000 --> 42:16.000]  You have another massive migrant caravan coming to the southern border, smashing through the Mexican army.
[42:16.000 --> 42:23.000]  And they are expecting to be let into the United States and get free handouts, just like they were told they would.
[42:23.000 --> 42:26.000]  And when they don't, they'll come in and say, Biden, let me in.
[42:26.000 --> 42:33.000]  They'll say, Biden told me to come and Biden told me I could get free stuff and so that's what I'm here for.
[42:33.000 --> 42:39.000]  And so there is the caravan smashing through the Mexican Guard. They're just incredible images.
[42:39.000 --> 42:43.000]  And we're just supposed to pay for all of it.
[42:43.000 --> 42:49.000]  And then, of course, the Democrats desperate to get this $3.5 trillion bill passed.
[42:49.000 --> 42:59.000]  And when you understand why they want to do that, you understand the next level of the economic sabotage against us as well.
[42:59.000 --> 43:09.000]  Alex Jones here on the morning of Friday, October 22nd, 2021 with a very important update for supporters of M4 Wars.
[43:09.000 --> 43:18.000]  Several of our best selling products are back in stock, limited supplies, and are 40 to 50% off like DNA Force Plus.
[43:18.000 --> 43:23.000]  That is 40% off right now. And that sale is going to have to end on Monday.
[43:23.000 --> 43:29.000]  It helps your telomeres, it helps your very cells, engines, the mitochondria, it's got the PQQ, the CoQ10.
[43:29.000 --> 43:35.000]  It really is incredible. It's 40% off. Some of the best selling products are 50% off as well.
[43:35.000 --> 43:43.000]  And we got a very limited supply, very limited run in, because I told the manufacturer whatever ingredients you can get whenever you have enough to make some.
[43:43.000 --> 43:45.000]  Even if it's a smaller run, do it.
[43:45.000 --> 43:53.000]  We got a very small run into the products that have been sold out, and that is Rainforce Ultra. It's 25% off at M4WareStore.com.
[43:53.000 --> 43:56.000]  That's going to end up selling out on Monday as well at current sales rates.
[43:56.000 --> 43:59.000]  So get great products to support the M4 at M4WareStore.com.
[43:59.000 --> 44:14.000]  The COVID-19 face diaper is a symbol of subservience, a symbol of slavery, a symbol of the change that the medical tyranny combine controlled by the global private corporations has put in place.
[44:14.000 --> 44:20.000]  It is the symbol of the permanent emergency from which we will never emerge.
[44:20.000 --> 44:28.000]  It is the symbol that we are diseased at evil and bad and must cover our diseased criminal faces from the light of the sun.
[44:28.000 --> 44:36.000]  It is the symbol of our complete and total absolute surrender to evil.
[44:36.000 --> 44:40.000]  Ladies and gentlemen, we are crossing the Rubicon now.
[44:40.000 --> 44:44.000]  The entire future destiny of humanity is upon us.
[44:44.000 --> 44:50.000]  Klaus Schwab and the UN admit they're coming out with implantable microchips as part of the World ID and carbon taxes.
[44:50.000 --> 44:52.000]  Things only get worse from here if we submit.
[44:52.000 --> 44:56.000]  They only get better if we resist and say no.
[44:56.000 --> 44:58.000]  Noncompliance, noncompliance, noncompliance.
[44:58.000 --> 45:00.000]  Why do my enemies hate me so much?
[45:00.000 --> 45:02.000]  Why do the globalists hate you so much?
[45:02.000 --> 45:05.000]  Why do they hate America so much?
[45:05.000 --> 45:12.000]  Because it's an idea of freedom that their tyrannical system that they're pushing cannot coexist with.
[45:12.000 --> 45:13.000]  It's very, very simple.
[45:13.000 --> 45:19.000]  For their world government, their anti-human, post-human eugenics system to flourish,
[45:19.000 --> 45:26.000]  freedom and liberty and due process, injustice and God fearing systems must fail.
[45:26.000 --> 45:28.000]  So sure, you didn't start a fight with Bill Gates.
[45:28.000 --> 45:31.000]  You didn't start a fight with David Rockefeller.
[45:31.000 --> 45:33.000]  You didn't start a fight with the UN.
[45:33.000 --> 45:36.000]  They started a fight with you.
[45:36.000 --> 45:45.000]  And they're not going to back down and they're not going to go away and they're not going to ever stop their attacks until they have the fear of God put into them.
[45:45.000 --> 45:51.000]  The average person still doesn't even know about the New World Order or about globalism or about corporate fascism.
[45:51.000 --> 45:58.000]  And it's not until people understand that and that we're under attack that we have any chance of beating these people.
[45:58.000 --> 46:06.000]  We here at InfoWars are proud to announce the first ever Kava Kava root supplement that is now available at InfoWarsStore.com.
[46:06.000 --> 46:11.000]  Kava is one of the hottest new breakthroughs in the natural health world today,
[46:11.000 --> 46:17.000]  though it has been used for hundreds of years in the Pacific Islands for its relaxation and euphoric effects.
[46:17.000 --> 46:23.000]  According to ancient Samoan legend, Kava was given as a gift by the sun god Tagaloa,
[46:23.000 --> 46:27.000]  who they considered to be the supreme ruler and creator of the universe.
[46:27.000 --> 46:33.000]  The Samoan people would drink Kava tea during social gatherings and sacred ceremonies to loosen up a little.
[46:33.000 --> 46:38.000]  Nowadays, Kava is used around the world by many who enjoy its serious benefits.
[46:38.000 --> 46:44.000]  The new Kava Chill by Dr. Jones Naturals contains a full blend of not only Kava Kava,
[46:44.000 --> 46:51.000]  but other herbs including, but not limited to, German Kama Mill, organic Skolkapp and Balarian root.
[46:51.000 --> 46:58.000]  You expect to sell this new product quickly, so be sure to secure yours by visiting InfoWarsStore.com.
[47:02.000 --> 47:05.000]  You're listening to the Alex Jones Show.
[47:05.000 --> 47:12.000]  All right, let's get into the vaccine and COVID news that is breaking right now,
[47:12.000 --> 47:26.000]  because right now, you have people that, well, let's say they're not being very polite, I guess you could say,
[47:26.000 --> 47:35.000]  being peaceful, maybe not polite. They are outside the Barclays Center in Brooklyn, where the,
[47:35.000 --> 47:39.000]  is it the New Jersey Nets or the New York Nets now? I don't know, they're constantly moving back and forth,
[47:39.000 --> 47:46.000]  but the, I guess they're the Brooklyn Nets now, where the Brooklyn Nets are about to play a basketball game.
[47:46.000 --> 47:56.000]  And I'm not sure the exact story here, because I don't follow sports anymore, but I know that Kyrie Irving
[47:56.000 --> 48:03.000]  has been treated like a second-class citizen on the Nets, because he has refused to take the experimental vaccine.
[48:03.000 --> 48:10.000]  So I don't know if they've banned him from playing now, or what has sparked the outrage from this crowd here,
[48:10.000 --> 48:20.000]  but it's a massive combination of Black Lives Matter and then just, I mean, to put it the best way possible,
[48:20.000 --> 48:28.000]  Trump supporters that are against the vaccine, and they're out here, they've got bullhorns, they've got flags.
[48:28.000 --> 48:35.000]  So again, it's part Black Lives Matter, part the same contingent of Trump supporters that you would normally have.
[48:35.000 --> 48:40.000]  And so you notice, see, and so now security doesn't really know what to do.
[48:40.000 --> 48:46.000]  Now the Democrat politicians are not really going to know what to do, because when it's Black Lives Matter writing,
[48:46.000 --> 48:53.000]  they're supposed to let it happen. But now that it's Black Lives Matter and a contingent of Trump supporters
[48:53.000 --> 48:56.000]  and American patriots, well, now they don't know what to do.
[48:56.000 --> 49:02.000]  So now police and security are actually going after Black Lives Matter protesters, and they're confused
[49:02.000 --> 49:08.000]  because they were able to get away with so much last year without any security or any law enforcement interference.
[49:08.000 --> 49:14.000]  But now that there's Trump supporters and American flags out there, all of a sudden, whoa, what are we doing now?
[49:14.000 --> 49:18.000]  I mean, we're supposed to let Black Lives Matter write, but the Trump supporters were supposed to treat like terrorists.
[49:18.000 --> 49:21.000]  So what do we do here?
[49:21.000 --> 49:25.000]  But so there's just some of the scenes outside of the arena.
[49:25.000 --> 49:34.000]  And guys, just do this for me. See, I mean, again, Kyrie Irving and other NBA players have been treated like second class citizens
[49:34.000 --> 49:37.000]  for refusing the vaccine for months now.
[49:37.000 --> 49:43.000]  So I'm not sure if there's some new development as to why they're not letting or if they're not letting Kyrie Irving
[49:43.000 --> 49:45.000]  even play anymore or what's going on with that.
[49:45.000 --> 49:52.000]  But all I can tell you that I can confirm right now is that a massive contingent, I would say thousands of people,
[49:52.000 --> 49:58.000]  in Brooklyn, outside of the Barclays Arena in Brooklyn where the Brooklyn Nets play,
[49:58.000 --> 50:04.000]  a massive crowd is protesting against the treatment of Kyrie Irving
[50:04.000 --> 50:09.000]  and against the treatment of Americans in general with the vaccine mandate.
[50:09.000 --> 50:12.000]  So in fact, guys, let's go ahead and give this guy on the bullhorn a chance.
[50:12.000 --> 50:14.000]  Let's hear what this guy on the bullhorn is saying.
[50:14.000 --> 50:18.000]  We haven't had time to censure this yet, but hopefully...
[50:18.000 --> 50:23.000]  Oh, but we can't play the audio.
[50:23.000 --> 50:28.000]  Okay, well, I'll tell you what, we'll figure out the deal with this.
[50:28.000 --> 50:32.000]  We'll come back to this story. We'll get the videos in and we'll see what's going on.
[50:32.000 --> 50:36.000]  But thousands of people outside the arena protesting against vaccine mandates.
[50:36.000 --> 50:42.000]  This is happening worldwide, by the way, and it's getting a total media blackout.
[50:42.000 --> 50:43.000]  Are you saying we can go?
[50:43.000 --> 50:48.000]  So let's start this at the top and let's listen to the guy here leading thousands of people
[50:48.000 --> 50:51.000]  outside the Barclays Arena against the vaccine mandates
[50:51.000 --> 50:54.000]  and the second-class treatment of the unvaccinated. Here he is.
[50:54.000 --> 51:05.000]  I want to say real quick, what it looks like for all of us white American flag swinging from supporters
[51:05.000 --> 51:08.000]  and beyond here will be an M.
[51:08.000 --> 51:13.000]  So let's look at that too.
[51:13.000 --> 51:17.000]  This country was founded on the words,
[51:17.000 --> 51:27.000]  all men are created equal and all 56 members of Congress signed those words.
[51:27.000 --> 51:33.000]  The Constitution is what we're keeping to fight back.
[51:33.000 --> 51:38.000]  It's the Constitution that we can fight these people with.
[51:38.000 --> 51:40.000]  Don't get it twisted.
[51:40.000 --> 51:46.000]  These cops who are bad cops, they're just humans, bad humans,
[51:46.000 --> 51:50.000]  and they're bad humans in every single category of life.
[51:50.000 --> 51:57.000]  But the only thing that's important to focus on is racism because they're giving it a stay.
[51:57.000 --> 52:02.000]  Okay, so once again, folks, this is just sight, scene, sounds outside of the Barclays Arena in Brooklyn
[52:02.000 --> 52:05.000]  where thousands of people have gathered in support of Kyrie Irving,
[52:05.000 --> 52:10.000]  refusing the vaccine mandate, and then getting treated like a second-class citizen.
[52:10.000 --> 52:14.000]  And so, as you heard there, again, it's Black Lives Matter.
[52:14.000 --> 52:18.000]  It's Trump supporters. It's just Americans coming together, which is long overdue.
[52:18.000 --> 52:26.000]  And if there is any better optical representation of the Great Awakening
[52:26.000 --> 52:29.000]  versus the Great Reset, I'm not sure of it.
[52:29.000 --> 52:38.000]  I would say to this day this is the best just consumable through media representation
[52:38.000 --> 52:41.000]  of the Great Reset versus the Great Awakening.
[52:41.000 --> 52:45.000]  So these are Americans of all different colors, all different backgrounds, all different everythings,
[52:45.000 --> 52:48.000]  and really just people. There's other country flags in there too
[52:48.000 --> 52:51.000]  that are against vaccine mandates, against being treated like slaves,
[52:51.000 --> 52:56.000]  against being segregated against, you know, just against overall,
[52:56.000 --> 52:59.000]  just all the corruption, all the nonsense we have to deal with from our corrupt government
[52:59.000 --> 53:08.000]  and our corrupt leaders, standing together outside, standing against or for an individual
[53:08.000 --> 53:13.000]  who is not complying with the medical tyranny.
[53:13.000 --> 53:18.000]  So it's the representation of the people saying we want to be free.
[53:18.000 --> 53:22.000]  We don't want to deal with medical tyranny versus what's happening inside,
[53:22.000 --> 53:26.000]  which is, oh, you can't play, you can't watch a game,
[53:26.000 --> 53:32.000]  you can't be a part of civilization and society unless you take this experimental drug
[53:32.000 --> 53:34.000]  that has killed tens of thousands of people.
[53:34.000 --> 53:40.000]  So unless you play, it's like that, unless we're allowed to play Russian roulette with your body,
[53:40.000 --> 53:44.000]  we the government, unless we are allowed, we the world government,
[53:44.000 --> 53:51.000]  unless we are allowed to play Russian roulette with your body, you don't get any rights.
[53:51.000 --> 53:56.000]  And so this is just the beginning, the great reset versus the great awakening.
[53:56.000 --> 54:02.000]  But see, this is why it's so frustrating dealing with people like Joe Biden
[54:02.000 --> 54:09.000]  and now this corrupt pope, this anti-pope, Pope Francis and Joe Biden will meet
[54:09.000 --> 54:16.000]  to discuss efforts grounded in respect for fundamental human dignity.
[54:16.000 --> 54:25.000]  And supposedly, I guess Biden actually did travel to Italy to do this.
[54:25.000 --> 54:29.000]  Pretty amazing he was able to make it.
[54:29.000 --> 54:38.000]  But so they're going to meet to talk about efforts grounded in respect for fundamental human dignity.
[54:38.000 --> 54:44.000]  But oh, you don't even get the fundamental human dignity of having control over your own body.
[54:44.000 --> 54:49.000]  You don't even have the fundamental human dignity of having control over your own country
[54:49.000 --> 54:53.000]  and its own economy, which means your life essentially.
[54:53.000 --> 54:57.000]  So you don't have control over your body. You don't have control over your country.
[54:57.000 --> 54:59.000]  You don't have control over your children.
[54:59.000 --> 55:03.000]  And it's exactly the groups that Pope Francis and Joe Biden are with
[55:03.000 --> 55:06.000]  that are bringing in that for the world.
[55:06.000 --> 55:11.000]  And then they're going to be the leaders talking about respect for fundamental human dignity.
[55:11.000 --> 55:19.000]  The very people that are taking away and ripping away your fundamental human dignity.
[55:19.000 --> 55:22.000]  So here's what we have going now.
[55:22.000 --> 55:27.000]  They're now basically claiming that the COVID vaccine is a miracle drug.
[55:27.000 --> 55:33.000]  And so they had to come out and admit over, well, it really was last week,
[55:33.000 --> 55:41.000]  that, okay, yes, these vaccines are using mRNA technology that is experimental.
[55:41.000 --> 55:43.000]  Yes, they are. They had to admit that.
[55:43.000 --> 55:46.000]  So now it went from, oh, that's just a conspiracy theory.
[55:46.000 --> 55:50.000]  We're going to ban that from being on the internet.
[55:50.000 --> 55:52.000]  That's just some Alex Jones info or stuff.
[55:52.000 --> 55:56.000]  There's no experimental RNA technology in these vaccines.
[55:56.000 --> 55:57.000]  Don't listen to that stuff out there.
