[00:00.000 --> 00:06.000]  Here is a sneak peek at the new head-to-head TV show I'm doing with Jesse Ventura.
[49:40.000 --> 49:51.000]  And the wrong move I'm talking about was the original invasion of Iraq. Going back to that. Do you think for one minute ISIS would exist today if Saddam were alive.
[49:51.000 --> 50:06.000]  Do you think ISIS would exist if Gaddafi were alive. No those those countries over there can only survive having a dictator someone with a powerful position to keep the peace and keep everything in line.
[50:06.000 --> 50:17.000]  The United States invades the country. Gaddafi gets taken out. We take out Saddam. It throws the whole thing into unrest. It throws the whole thing up into the wind.
[50:17.000 --> 50:27.000]  Which I have to believe Alex's was their intention. They wanted to make the Middle East unstable. By the way Wesley Clark just came out. I don't know if you've seen this clip down in Mexico.
[50:27.000 --> 50:42.000]  It just came out two days ago. I try to queue it up guys for later. He said that Western governments are behind a destabilization campaign and he's basically seen the documents just like he exposed the seven country plan that they plan to invade.
[50:42.000 --> 50:53.000]  Yeah. No. I can't believe that this is an all part of a grandmaster plan to keep the place of unstable so that we will be at perennial war. That's right.
[50:53.000 --> 51:05.000]  And the only way to keep us at perennial war is to bring the war home with these threats that ISIS is going to attack us in America. They're going to attack us in America.
[51:05.000 --> 51:17.000]  So therefore we need to fight them over there. It to me it is it goes back to Smedley Butler war is a racket and we're involved in the biggest racket of all right now.
[51:17.000 --> 51:27.000]  And that's these wars in the Middle East. We can solve them all. ISIS won't be a problem. Let's do it. Ronald Reagan did. Let's do it.
[51:27.000 --> 51:38.000]  Ronald Reagan did when the car bomb attacked the Marines in Lebanon and killed 100 brave Marines over there. Did Ronald Reagan go to war. No.
[51:38.000 --> 51:47.000]  Ronald Reagan got the hell out of there. Yeah. Let people kill each other. That's not our issue. Well today it's called cutting and running.
[51:47.000 --> 51:58.000]  Ronald Reagan the pinnacle of the Republican Party cut and ran. But I agree with Ronald Reagan. He made the right decision. Let's make the right decision and get the hell out of there.
[51:58.000 --> 52:07.000]  Let them decide for themselves who's going to govern who over there. It's so unstable now. It's a regional thing and we got no business over there Alex.
[52:07.000 --> 52:19.000]  Well the plan is destabilization just like Ukraine. It's it's the same global chessboard. You know you've read Brzezinski's book grand chessboard. They admit this whole plan. That's what's so incredibly frustrating about that.
[52:19.000 --> 52:32.000]  But expanding on this speaking of propaganda wars. You have spoken out and I like you to elaborate on it. I don't know if you've seen American sniper yet. I know you've read the book for those that don't know.
[52:32.000 --> 52:47.000]  No no no. The only part of that book I've read is my chapter. I didn't need to read anymore. Mine was completely fabricated and it destroyed. I didn't care to read anymore. I have not seen the movie and I've only read one chapter of the book.
[52:47.000 --> 53:03.000]  Well the movie from what I know I mean and from what's admitted is is is largely cobbled together truths and half truths and then outright fabrications.
[53:03.000 --> 53:18.000]  It's Hollywoodized you know they're gonna they do it with a purpose like I put it into the best quote I think Alex I said it's a propaganda movie with the same and it's as authentic as dirty Harry.
[53:18.000 --> 53:23.000]  Well I know you're a big fan because a lot of times we're hanging out we've talked about.
[53:23.000 --> 53:33.000]  You've told me you're a fan of Clint Eastwood. I mean what has this changed your view or do you just think Clint thought it was a neat book and wanted to make a war movie.
[53:33.000 --> 53:46.000]  You know I don't know what Clint you know Clint's in the business to make movies that's what he does. It disappointed me that Clint did it but you know it's not my you know Clint's going to do what he wants to do.
[53:46.000 --> 54:00.000]  But I the point I make about it being dirty Harry is this dirty Harry's a fabrication. You know you can't go to San Francisco and look up dirty Harry Callahan in their police and see that he was a police officer there because he wasn't.
[54:00.000 --> 54:12.000]  And that's the point I made about the movie and the fact that Clint directed it so it's it's a propaganda movie with as authentic as dirty Harry which means it's not authentic at all.
[54:12.000 --> 54:21.000]  Absolutely right down to fake babies expanding on that. Would you have been upset if they would have thrown in you getting beaten up in the movie.
[54:21.000 --> 54:37.000]  That was one of the reasons it forced me into court. People need to understand this that they would not talk about restoring my reputation in the four settlement official settlement conferences we had.
[54:37.000 --> 54:48.000]  The others the Kyle side immediately stated we won't admit the fabrication and we will do nothing to restore your reputation we will only talk money.
[54:48.000 --> 54:58.000]  I refused because the this trial for me was not about money. It was about the truth and restoring my reputation so they forced me to go to court.
[54:58.000 --> 55:10.000]  The mainstream media portrayed it Alex as you know I was going after the widow and the children of the war hero and not you know what I'd like to say Alex let's have fun with this for a moment.
[55:10.000 --> 55:17.000]  Let's go back because I know you understand history well and I'll and I'll quiz you on this this will be a good one.
[55:17.000 --> 55:23.000]  Let's go back to the late 30s early 40s when Nazi Germany invaded Poland right.
[55:23.000 --> 55:33.000]  OK. Let's go back to there. They invade Poland. They overthrow its government. They occupy them during the occupation.
[55:33.000 --> 55:37.000]  They also torture Polish people right. Yes.
[55:37.000 --> 55:56.000]  Now if a Nazi soldier during this invasion and occupation were to have killed 150 or 160 Polish people a Nazi sniper would that sniper be viewed as a hero by the Nazis he would but not by the allies.
[55:56.000 --> 56:09.000]  OK. Just wanted to hear your opinion on that. So in other words a hero is in the eye of the beholder. So people of the United States are comfortable with the fact that we invaded a country.
[56:09.000 --> 56:22.000]  We occupied that country and we tortured the people of that country. And during all of this some of our women and men in the military doing their jobs killed vast amounts of people in that country.
[56:22.000 --> 56:32.000]  That makes them heroes. Well I'll say this. What would Americans do if we got invaded by a foreign army. Yes. We would be called terrorist.
[56:32.000 --> 56:40.000]  And we would be called insurgents and we'd be terrorists and we'd be a good point Alex. What would happen hypothetically. That's phenomenal.
[56:40.000 --> 56:52.000]  If the United States were invaded and somebody from the invading side killed 150 of us would that person be considered a hero.
[56:52.000 --> 57:03.000]  Well it's just the classic cowboy story of the Texan out there fighting wanting to do it for his country but not happy about killing people.
[57:03.000 --> 57:13.000]  We know from Kyle's own statements that he loved it. So that's my problem. Eastwood should have shown him calling him you know rag heads and all these other racist terms.
[57:13.000 --> 57:25.000]  They should have shown him getting off on it. They should have shown all that and shown the real thing not the other thing. And what's sad here is Saudi Arabia we now know quarterback 9 11.
[57:25.000 --> 57:31.000]  We go attack their enemy Iraq. Iraq didn't do anything. And so that's what makes this so evil. Jesse.
[57:31.000 --> 57:44.000]  Exactly. I agree with you Alex. You know when I made this statement I think I said it on on on Alan Combs radio show as a veteran.
[57:44.000 --> 57:53.000]  They they destroyed my American dream with Iraq because I never believed in my heart and my mother and father were both W W two vets.
[57:53.000 --> 58:08.000]  And I never believed in all my heart that I would see the United States line up our military at another sovereign nations border lie to us giving us reasons why they should go in that we would invade a country
[58:08.000 --> 58:22.000]  overthrow its government and occupy the country and then worst of all torture people torture people and then and then we nobody in this country will admit that what we did in Iraq was so wrong.
[58:22.000 --> 58:35.000]  Stephen Tura stay there. We're back in 70 seconds. Thank you for listening to GCN. Visit GCN live.com today.
[58:52.000 --> 58:58.000]  The establishment is the opposite. That's why they spike our water with fluoride and GMO estrogen mimickers and the rest of the garbage.
[58:58.000 --> 59:08.000]  Info Wars is striking back in the month of February with human empowerment month how we can come together and win the human race and celebrate the kickoff of human empowerment month.
[59:08.000 --> 59:16.000]  We're slashing prices on info wars.com products like super male and super female vitality. The sale is only running for the month 20% off.
[59:16.000 --> 59:25.000]  There's a lot of other powerful specials at info wars life dot com info wars life dot com celebrating human potential in the month of February.
[59:25.000 --> 59:37.000]  Visit info wars life dot com to find this special and many others in the month of February again info wars life dot com or triple eight two five three three one three nine.
[59:37.000 --> 59:57.000]  You're listening to the Alex Jones show big brother mainstream media government cover ups you want answers.
[59:57.000 --> 01:00:16.000]  Well so does he. He's Alex Jones on the GCN radio network and now live from Austin Texas. Alex Jones.
[01:00:16.000 --> 01:00:26.000]  Here's Wesley Clark just a few days ago former top NATO general talking about how our allies are involved with ISIS and funding them. Here's the clip.
[01:00:26.000 --> 01:00:37.000]  Look I just got started through funding from our friends and allies because his people will tell you in the region if you want somebody who will fight to the death against his blog.
[01:00:37.000 --> 01:00:47.000]  You don't put out a recruiting poster and say you know sign up for us. We're going to make a better world. You go after zealots and you go after these religious fundamentalists.
[01:00:47.000 --> 01:00:52.000]  That's who fights his blog. But general I'm hearing you like a Frankenstein. OK.
[01:00:52.000 --> 01:00:59.000]  And then they go on from there. But for five years they've been fighting the Free Syrian Army. Two years ago our own military came out.
[01:00:59.000 --> 01:01:05.000]  So we're not going to be their air force. Ted Cruz and Rand Paul to their credit came out and said that so they just changed the name.
[01:01:05.000 --> 01:01:11.000]  And Jesse Ventura was here at the time predicting and breaking it down accurately. We were as well. We've been proven right yet again.
[01:01:11.000 --> 01:01:17.000]  And I'm not bragging. It's not that hard to figure this out once you understand the paradigm of how this works.
[01:01:17.000 --> 01:01:27.000]  And now these groups are set to attack us and they'll try to take our liberties. Governor Ventura. This is a short segment long segment coming up but finishing up with terrorism.
[01:01:27.000 --> 01:01:38.000]  I'm really concerned about a major event here so they can finish their police state. Well I am too. You know I you know will that event be a false flag operation.
[01:01:38.000 --> 01:01:53.000]  Who will really be running it to make it happen. And I fear it also. I've also said that another one's going to happen. And you know to me the Boston Marathon was a practice run through where they brought in the federal troops to
[01:01:53.000 --> 01:02:09.000]  come and told people to stay in their homes and all that stuff like like a martial law type situation. And certainly if we do get hit with something say hopefully not at the Mall of America but if they do get hit in some type of situation like that.
[01:02:09.000 --> 01:02:22.000]  You can bet the government's going to step in and go through a lockdown procedure and it's going to depend on whether the American people accept that type of are they willing to give up their freedoms for safety.
[01:02:22.000 --> 01:02:32.000]  Let me ask you this question. And I'm not. I'm not either. Let me ask you this question. Obviously they're worried about economic collapse other issues but why are the people that run this country
[01:02:32.000 --> 01:02:46.000]  accelerating classical police state. Why do they want it in place and why are they pointing it at the American people. Because it's power because it's you know the separation between the wealthy and the poor.
[01:02:46.000 --> 01:02:56.000]  It may be part of the of the globalization you talk about Alex because they can't put us on power with Mexico till they destroy the middle class. That's right.
[01:02:56.000 --> 01:03:08.000]  Then you'll then you'll have rich and then you'll have poor. And that's basically what Mexico has rich and poor. You know and and then they can put us on the all the same currency like they've done to Europe.
[01:03:08.000 --> 01:03:18.000]  You know and then it'll work here to then I guess. And so who and one thing in order to accomplish that they have to destroy our bill of rights.
[01:03:18.000 --> 01:03:31.000]  Because Mexico and other countries don't have bills of rights and we do or we used to. I would question whether we actually do today or not. I don't know because it's being violated constantly.
[01:03:31.000 --> 01:03:45.000]  That's why I urge I tell people young men and women that are enlisting in the military service. I always tell them remember you're taking an oath to protect the Constitution and Bill of Rights from all enemies foreign and domestic.
[01:03:45.000 --> 01:03:54.000]  Never forget that. Never forget the oath to the Constitution and the Bill of Rights. That's right. There's a bunch of issues I want to get into in the 25 minutes we have left when we go to break.
[01:03:54.000 --> 01:04:04.000]  But you're kind of making my case for me about Constitution. Government can't act unilaterally. And you know you basically don't want to be a third world country like Mexico.
[01:04:04.000 --> 01:04:14.000]  I'm not against the immigrants and we'll debate when we come back briefly or longer if you want. It's that they're being used as a tool to drive down wages and as a new Democratic voting block.
[01:04:14.000 --> 01:04:26.000]  The Democrats admit this to vote for gun control and things. So I'm not against the immigrants. I'm against how they're geopolitically being used. So Governor will come back to you on the other side. Jesse Ventura.
[01:04:26.000 --> 01:04:39.000]  And I'll kind of restate that for stations that join us. And then you can give me your take on it. So we'll briefly debate that. And then it's a wild card. I'm going to ask Governor Ventura what he thinks is important and get into some of the subjects he wants to cover.
[01:04:39.000 --> 01:04:45.000]  He's been a radio talk show host longer than I am. So I'm sure he can direct the show. Stay with us.
[01:05:10.000 --> 01:05:20.000]  InfoWarsLife.com is very excited to announce our biggest run yet of Silver Bullet colloidal silver exclusively available at InfoWarsLife.com.
[01:05:20.000 --> 01:05:27.000]  Now InfoWarsLife.com has taken colloidal silver to the next level using a cutting edge technique that is free of toxic artificial additives.
[01:05:27.000 --> 01:05:32.000]  Now more than ever it's important to stock up on high quality Silver Bullet from InfoWarsLife.com.
[01:05:32.000 --> 01:05:39.000]  No survival chest is complete without Silver Bullet. Secure your Silver Bullet today at InfoWarsLife.com.
[01:05:39.000 --> 01:06:03.000]  By calling toll-free 888-253-3139 Silver Bullet.
[01:06:09.000 --> 01:06:14.000]  InfoDell Body Armor just won't quit.
[01:06:39.000 --> 01:06:44.000]  InfoWarsLife.com or call toll-free 888-253-3139.
[01:07:09.000 --> 01:07:17.000]  In the month of February with Human Empowerment Month how we can come together and win the human race and celebrate the kickoff of Human Empowerment Month.
[01:07:17.000 --> 01:07:23.000]  We're slashing prices on InfoWarsLife.com products like super male and super female vitality.
[01:07:23.000 --> 01:07:29.000]  The sale is only running for the month 20% off and there's a lot of other powerful specials at InfoWarsLife.com.
[01:07:29.000 --> 01:07:34.000]  InfoWarsLife.com celebrating human potential in the month of February.
[01:07:34.000 --> 01:07:39.000]  Visit InfoWarsLife.com to find this special and many others in the month of February.
[01:07:39.000 --> 01:08:05.000]  Again InfoWarsLife.com or triple-eight-253-3139.
[01:08:09.000 --> 01:08:25.000]  InfoWarsLife.com
[01:08:25.000 --> 01:08:40.000]  They've come out and said the government of Iraq we know you're really behind it in Saudi Arabia.
[01:08:40.000 --> 01:08:59.000]  You've got there two days left until this incredibly important piece of legislation will be voted on that will change the web forever and no one has even seen the FCC's 332-page regulation plan.
[01:08:59.000 --> 01:09:10.000]  That's an article up on InfoWars.com and you've got these different Pacific partnerships and deals that are secret that Congress can't even see.
[01:09:10.000 --> 01:09:21.000]  I mean talk about global government we're in it we're going to talk about that in a moment with Jesse Ventura and Jesse I found nine times out of ten we don't really disagree on things and it's fine to disagree.
[01:09:21.000 --> 01:09:32.000]  We just have different perspectives I get hardworking immigrants are what made this country I get that you live down in Mexico at least four or five months out of the year in Baja and you like it and you like the people.
[01:09:32.000 --> 01:09:47.000]  And I understand the US already under the age of about 12 is half Hispanic so America is is a Hispanic nation the United States it's going to be more so white people and blacks don't have babies whatever I don't care I like quote Hispanics.
[01:09:47.000 --> 01:10:00.000]  Okay my issue is that the Ford Foundation the globalist are pushing for open borders Obama's doing it without Congress most the Republican leadership wanted as well they get here was in CBS News.
[01:10:00.000 --> 01:10:11.000]  They order the police to not even arrest the illegals for drunk driving so they get all this extra welfare they can come from China women come here CNN reported and have their babies and we pay for them.
[01:10:11.000 --> 01:10:18.000]  Nobody else does that Jesse so I'm saying I'm not against the Emirates I know if people are here hardworking we should have find a way.
[01:10:18.000 --> 01:10:29.000]  Pathward citizenship but instead I see the whole police state only for citizens is Ron Paul said the fence is to keep us in not the illegals out and I see this entitlement.
[01:10:29.000 --> 01:10:38.000]  Of the illegals that they should get everything for free that's my issue and I think the border being pretty much open in many areas shows the war on tears of fraud.
[01:10:38.000 --> 01:10:47.000]  So that's my two minutes had to head with Jesse Ventura live on immigration explain your position and any counter arguments you have a governor.
[01:10:47.000 --> 01:10:59.000]  Well the problems this if those things are going on Alex then blame our Democrats and Republicans and our politicians for creating programs that can be so easily abused.
[01:10:59.000 --> 01:11:12.000]  I agree how hard how hard can it be to say you have to be a citizen in which to get welfare seems pretty straightforward to me but they create a system that can be looped all the time.
[01:11:12.000 --> 01:11:22.000]  And then when somebody loops it we always blame the person that loops the system blame the people that created the system now in speaking about freedom.
[01:11:22.000 --> 01:11:35.000]  OK I'll give it to you from a different perspective let's say I'm a business owner and what I'm involved in I hire people I do the proper thing I deduct taxes properly the whole ball of wax.
[01:11:35.000 --> 01:11:41.000]  Why shouldn't I have the freedom to hire who I want and why should being a citizen have any part of it.
[01:11:41.000 --> 01:11:56.000]  I mean if I wanted to get roofers or people that work with cement I guarantee you I'm going to look for Mexican people because they when they do cement they're not cement workers they're artists I've watched them and they they're remarkable.
[01:11:56.000 --> 01:12:03.000]  And if you look at any roofing crew in America today at least up in Minnesota they're all Hispanic on those roofs.
[01:12:03.000 --> 01:12:15.000]  So if you're don't you shouldn't an employer have the freedom to hire who they want to can get the job done. And as long as they deduct properly those people can't even get a tax refund.
[01:12:15.000 --> 01:12:22.000]  They work and it goes into the taxes and it you know they don't get refunded any of the money that's being that's being changed.
[01:12:22.000 --> 01:12:37.000]  What about doing the right thing. See if the employers are not doing the right thing which are United States people and they're not deducting taxes and they're not doing it on the up and up well then they're the ones to blame not the worker.
[01:12:37.000 --> 01:12:41.000]  Well I don't sit there and hate people from Latin America that want a better life.
[01:12:41.000 --> 01:12:53.000]  I know that Alex I'm just giving you my opinion that freedom also should be the freedom to hire who I want to find the United States businessman and why should being a citizen be part of it.
[01:12:53.000 --> 01:13:00.000]  Why why why does US citizenship have anything to do with who I would hire to get the job done.
[01:13:00.000 --> 01:13:07.000]  But listen what I'm getting at and your points are valid I can't go to Mexico and have a baby and have it paid for for free they'd laugh at me.
[01:13:07.000 --> 01:13:13.000]  So this whole system is being exploited by design for corporate welfare and hospital welfare.
[01:13:13.000 --> 01:13:15.000]  Get the people who wrote the laws.
[01:13:15.000 --> 01:13:16.000]  I agree.
[01:13:16.000 --> 01:13:23.000]  Blame the Democrats and Republicans don't blame the person who uses the law to their advantage.
[01:13:23.000 --> 01:13:24.000]  Sure.
[01:13:24.000 --> 01:13:29.000]  Blame the people who did the law that allows it to be taken advantage of.
[01:13:29.000 --> 01:13:30.000]  Well I do.
[01:13:30.000 --> 01:13:32.000]  Right back to the Democrats and Republicans.
[01:13:32.000 --> 01:13:41.000]  Yes and that's why I'm trying to block their latest agendas that are just more of the same and then they always make it about hey don't be mean to the immigrants.
[01:13:41.000 --> 01:13:49.000]  Well I mean come on so many of the immigrants are fleeing criminal past they can come up here and use any ID they want.
[01:13:49.000 --> 01:13:53.000]  I mean in California they're giving the illegals driver's license and then they can vote.
[01:13:53.000 --> 01:13:56.000]  Should illegals who aren't citizens be able to vote.
[01:13:56.000 --> 01:13:57.000]  No.
[01:13:57.000 --> 01:13:59.000]  And I don't believe they are.
[01:13:59.000 --> 01:14:10.000]  We did we have as much immigration as anybody in the nation up in Minnesota and we did a huge study when I was up there on campaign fraud voter fraud.
[01:14:10.000 --> 01:14:11.000]  It's so minute.
[01:14:11.000 --> 01:14:15.000]  That's the biggest red herring out there that people are committing vote.
[01:14:15.000 --> 01:14:20.000]  What criminal you ever met a criminal that says you know what it's November.
[01:14:20.000 --> 01:14:22.000]  I think that means voter fraud.
[01:14:22.000 --> 01:14:24.000]  I'm going to go vote illegally.
[01:14:24.000 --> 01:14:30.000]  Well I don't think of the classic illegals as criminals just because they're violating federal law and breaking a law.
[01:14:30.000 --> 01:14:33.000]  But the Democrats are organizing them and they are voting.
[01:14:33.000 --> 01:14:36.000]  Nobody commits voter fraud.
[01:14:36.000 --> 01:14:38.000]  It's that's a red herring out there.
[01:14:38.000 --> 01:14:40.000]  That's a red herring.
[01:14:40.000 --> 01:14:42.000]  We did a study when I was governor.
[01:14:42.000 --> 01:14:47.000]  It was you couldn't have won an election on voter fraud in Minnesota.
[01:14:47.000 --> 01:14:48.000]  There weren't enough.
[01:14:48.000 --> 01:14:53.000]  Jesse that was in your state and what 15 years ago or 12 14 years ago.
[01:14:53.000 --> 01:14:59.000]  They're now just giving them driver's license and letting them vote in California and they don't have to take a driver's test.
[01:14:59.000 --> 01:15:01.000]  They don't have to get behind the wheel.
[01:15:01.000 --> 01:15:02.000]  No they give it to them.
[01:15:02.000 --> 01:15:05.000]  I mean yes they go take the test.
[01:15:05.000 --> 01:15:06.000]  They don't.
[01:15:06.000 --> 01:15:07.000]  So they don't have to do nothing.
[01:15:07.000 --> 01:15:09.000]  They just show up and they hand them a driver's.
[01:15:09.000 --> 01:15:11.000]  No they go and they take the driver's test.
[01:15:11.000 --> 01:15:19.000]  And that's California's fault that should be dealt with by the state of California not the federal government because the federal government has nothing to do.
[01:15:19.000 --> 01:15:31.000]  Listen I agree with you we need immigrants in this country but we don't need mothers with no skills with three kids who are immediately signed on to welfare the day they get here.
[01:15:31.000 --> 01:15:48.000]  Well I'm only laughing because I'm thinking back to when I was governor and I met the we were putting the budget together and all the welfare protesters were out in front of the Capitol and I remember I went down to talk to them which no governor had ever done.
[01:15:48.000 --> 01:16:01.000]  And I remember a woman with her baby yelling at me that I was responsible for her and her child and I remember looking at her and saying well where's your husband and she said he ran off.
[01:16:01.000 --> 01:16:06.000]  And I looked at her and I said well so I'm responsible because you married a bum.
[01:16:06.000 --> 01:16:18.000]  Somehow it comes to my responsibility and I remember Rush Limbaugh I was his hero for like 30 days you know this new independent governor who said this.
[01:16:18.000 --> 01:16:25.000]  The point I'm making is that our system is violated because the people that make the system allow it to be violated.
[01:16:25.000 --> 01:16:32.000]  So if you want the system to not be violated you have to blame the people that created for allowing that to happen.
[01:16:32.000 --> 01:16:38.000]  Don't blame the people that find the loopholes. Find the people that allowed the loopholes in the first place.
[01:16:38.000 --> 01:16:50.000]  I totally agree with what you're saying but they can just take what I say or you say out of context and we need to get the public focused on actually stopping all these different loopholes and dealing with a special interest.
[01:16:50.000 --> 01:16:51.000]  Let's shift gears.
[01:16:51.000 --> 01:16:53.000]  You know it's so weird Alex.
[01:16:53.000 --> 01:17:01.000]  I cross the border every year twice and when I go into Mexico sometimes there's nobody even there.
[01:17:01.000 --> 01:17:10.000]  I mean I've actually stopped my vehicle and rolled my windows down and said well doesn't somebody at least say Buenos Dias and hand you a piece of paper.
[01:17:10.000 --> 01:17:22.000]  No they're not worried that I'm coming into their country they care I got pesos I'm going to spend some and it's going to spur the economy yet when I turn around and come back into my own country.
[01:17:22.000 --> 01:17:41.000]  My country I've had times where seven lanes of traffic I've had to wait three hours in the blistering 99 degree where I've seen where I can prove to you that global warming and climate change is real because while I'm sitting in my pickup truck.
[01:17:41.000 --> 01:17:56.000]  The temperatures gone from 99 degrees in the desert all the way to 116 while I'm simply waiting to cross into my country which repels me like I'm some sort of rabid monster.
[01:17:56.000 --> 01:18:04.000]  And then you know what the first thing they ask you Alex when you come back to your own country you know what the first question is.
[01:18:04.000 --> 01:18:24.000]  What is it without a doubt I can forbade him how long have you been in Mexico and I think to myself how is that any of your business whether I'm in Mexico one day or whether I went there for nine months it's really none of your business how long I've been in
[01:18:24.000 --> 01:18:35.000]  Mexico I have a legitimate passport this is my country I'm coming back to my country why do you need to know how long I've been in Mexico.
[01:18:35.000 --> 01:18:47.000]  Jesse Ventura is our guest it's funny you bring up climate change because it is a very seriously complex issue and we come back from break I want to cover this is our final subject.
[01:18:47.000 --> 01:18:56.000]  Obviously there's weather manipulation going on but when we say global warming now they're saying climate change period that we're denying that climate change is always happening.
[01:18:56.000 --> 01:19:02.000]  No one denies that there aren't heat sinks in cities with all the engines and all the concrete that doesn't go up 510 degrees.
[01:19:02.000 --> 01:19:17.000]  What we're saying is their solution to it is global taxation regulation so I want to get your view on that and this London Guardian article from February 15 spy agencies fund climate research in hunt for weather weapon.
[01:19:17.000 --> 01:19:32.000]  What I'm concerned about is they're already manipulating the weather that's admitted and weaponizing it will be back with our final segment with Jesse Ventura.
[01:19:32.000 --> 01:19:51.000]  I'm Alex Jones with info wars dot com check out his TV show at aura dot TV forward slash off the grid or on Twitter at gov J Ventura follow us on Twitter real Alex Jones stay with us.
[01:19:51.000 --> 01:20:01.000]  Extendivite is a seven herb heart protection cocktail designed to support cardiovascular health blood pressure and cholesterol levels.
[01:20:01.000 --> 01:20:11.000]  February is heart month and we at heart drop 2000 are having our heart month sale with prices from six years ago starting now until February 28.
[01:20:11.000 --> 01:20:21.000]  You can purchase a four month supply of either capsules or liquid for only $125 including shipping and handling to help you help yourself.
[01:20:21.000 --> 01:20:40.000]  So call now to take advantage of this one time offer to order call one 877-928-8822 that's one 877-928-8822 or visit our website at heart drop dot com.
[01:20:40.000 --> 01:20:45.000]  Extend your life with Extendivite.
[01:21:10.000 --> 01:21:16.000]  We now operate two distribution facilities and employ over 50 hardworking American men and women.
[01:21:16.000 --> 01:21:19.000]  It is rare to find companies who practice what they preach.
[01:21:19.000 --> 01:21:25.000]  And that's why I stock my pantry with high quality storeable foods for my Patriot supply.
[01:21:25.000 --> 01:21:44.000]  Come forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927 that's 866-229-0927 do business with someone who shares your values by Patriot supply dot com slash Alex.
[01:21:44.000 --> 01:21:47.000]  What good is a big Berkey water filter?
[01:21:47.000 --> 01:21:53.000]  We get that question a lot here at big Berkey water filters dot com and in a word the answer is protection.
[01:21:53.000 --> 01:22:02.000]  Protection from water main breaks, E. coli contamination, environmental chemical spills, pesticide runoff, chlorine taste and smell and all forms of fluoride.
[01:22:02.000 --> 01:22:08.000]  Plus big Berkey water filters are the original gravity water filter system and most trusted on the market for a reason.
[01:22:08.000 --> 01:22:14.000]  Tested by multiple independent NSF EPA certified labs they are the gold standard in water purification.
[01:22:14.000 --> 01:22:19.000]  At only 1.7 cents a gallon a single set of filters can last for 5 to 10 years.
[01:22:19.000 --> 01:22:25.000]  That means big savings. Big Berkey the one that's powerful enough to purify stagnant pond water.
[01:22:25.000 --> 01:22:32.000]  Get a big Berkey today at big Berkey water filters dot com GCN listeners receive 5% off all ceramic filter systems.
[01:22:32.000 --> 01:22:39.000]  Visit our website or call 1-877-99 Berkey. That's 877-99 BERKEY.
[01:22:39.000 --> 01:22:44.000]  Big Berkey water filters for the love of clean water.
[01:22:44.000 --> 01:22:49.000]  Healthy elimination is essential to high energy, a cheerful mood and prevention of disease.
[01:22:49.000 --> 01:22:54.000]  Some of the founders of our modern holistic health thinking state that disease begins in a toxic colon.
[01:22:54.000 --> 01:23:02.000]  A toxic intestinal tract is the foundation for virtually all degenerative disease and a clean and well-moving intestinal tract is the foundation of health.
[01:23:02.000 --> 01:23:09.000]  I just want to say that you folks have an amazing product. I've taken whey protein products for years and I've never noticed results I have with your product.
[01:23:09.000 --> 01:23:16.000]  I've suffered with thoughts of constipation most of my life. Within a few days of taking one whey whey I noticed a dramatic change.
[01:23:16.000 --> 01:23:24.000]  Also in the past few years I've experienced symptoms associated with diabetes. I feel horrible when I've had too much sugar and I've been getting the foot pain as well.
[01:23:24.000 --> 01:23:28.000]  But I've noticed in the past week or so I'm not feeling bad anymore and the foot pain is gone.
[01:23:28.000 --> 01:23:34.000]  I'm just finishing up the 5 pound top I ordered and just got off the phone ordering more. I love your product. Thank you.
[01:23:34.000 --> 01:23:44.000]  Call 888-988-3325. That's 888-988-3325 or visit OneWorldWay.com. That's OneWorldWHEY.com
[01:24:04.000 --> 01:24:12.000]  And then of course we'll come back cover all the news. There's so much of it. Open the phones up for your calls for the second half of the broadcast today.
[01:24:12.000 --> 01:24:15.000]  Again I'm Alex Jones coming to you from deep in the heart of Texas, Austin.
[01:24:15.000 --> 01:24:22.000]  So we went to break spy agencies fund climate research in hunt for weather weapons scientists fears.
[01:24:22.000 --> 01:24:29.000]  U.S. expert Alan Roebuck raises concerns over who would control climate altering technologies if research is paid for by intelligence agencies.
[01:24:29.000 --> 01:24:36.000]  Well it's already going on. Billions a year by the Department of Energy, HAARP and others. You've been to HAARP, you've investigated it.
[01:24:36.000 --> 01:24:41.000]  The Russians, folks in Dubai, they admit they can already control the weather.
[01:24:41.000 --> 01:24:45.000]  I've had the former head of weather weapons for the U.S. government been living since then on.
[01:24:45.000 --> 01:24:50.000]  They were controlling and steering and killing hurricanes back in the 60s.
[01:24:50.000 --> 01:24:57.000]  Now what do you think is really going on with the weather Jesse Ventura and all these earthquakes we're seeing in Miami and in Oklahoma?
[01:24:57.000 --> 01:24:59.000]  What's going on?
[01:24:59.000 --> 01:25:04.000]  Well part of that's fracking. You know, fracking is causing earthquakes. We know that for a fact.
[01:25:04.000 --> 01:25:12.000]  But what's going on? They're violating treaty agreements. They're signed treaties that nobody can use the weather for war.
[01:25:12.000 --> 01:25:13.000]  That's right.
[01:25:13.000 --> 01:25:21.000]  And yet here we are violating them behind the back and nobody's going to do anything about it anywhere in the world.
[01:25:21.000 --> 01:25:30.000]  You know, I don't know what to say about it. It's ridiculous. You start messing with mother nature and mother nature is going to come back and bite you.
[01:25:30.000 --> 01:25:35.000]  What are you most concerned about in the world? I mean, do you think humanity is going to survive?
