[00:00.000 --> 00:10.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[34:50.000 --> 34:54.000]  That's how that demonization campaign works.
[34:54.000 --> 35:04.000]  Oh, there's been a couple more friendly fire attacks. The U.S. Air Force keeps getting ordered to bomb known Syrian military bases
[35:04.000 --> 35:06.000]  and power plants.
[35:06.000 --> 35:13.000]  And Iraqi soldiers fighting ISIS bombed by air and U.S. airstrike.
[35:13.000 --> 35:18.000]  And the Iraqis just say this is happening basically every couple of days. It's totally staged.
[35:18.000 --> 35:24.000]  Our own pilots have gone public this year saying they're being ordered to bomb stuff that isn't ISIS.
[35:24.000 --> 35:29.000]  But they're just the pilots. I mean soon it'll be all robot aircraft and so they won't complain.
[35:29.000 --> 35:33.000]  They won't have a conscience. Thank goodness everything's fine.
[35:33.000 --> 35:39.000]  Our government admits they created ISIS and have been funding al-Qaeda and al-Nusra, all the same group.
[35:39.000 --> 35:42.000]  And Hillary of course ran all that at the State Department. It's all come out.
[35:42.000 --> 35:51.000]  Benghazi, her foundation, using the State Department to bypass the Pentagon and even the CIA who were not going along to a great extent
[35:51.000 --> 35:59.000]  with giving weapons to al-Nusra and other groups because the contractors, the troops, all of them just basically said no, we're not doing it.
[35:59.000 --> 36:04.000]  So they had all the weapons delivered to some warehouses and then killed the people that were there supposedly guarding them
[36:04.000 --> 36:10.000]  and handed them over. The problem was a couple of Navy SEALs down the road, didn't follow the order to stand down
[36:10.000 --> 36:17.000]  and came down the street and they were sheep dipped Navy SEALs, CIA.
[36:17.000 --> 36:21.000]  And so the firefight went on for about an extra six hours.
[36:21.000 --> 36:28.000]  That let everybody with two different drones tune in and see it and let the Pentagon see the stand down.
[36:28.000 --> 36:34.000]  And it was just so dishonorable, so evil, so obvious that it caused a seismic shift.
[36:34.000 --> 36:42.000]  The word is there were thousands of people watching it.
[36:42.000 --> 36:52.000]  And I say word. I've had guests on that saw it for themselves.
[36:52.000 --> 37:02.000]  And is it treason to go public? Yes, they will arrest you. The people that run our program will arrest you. They will kill you.
[37:02.000 --> 37:13.000]  Michael Hastings was talking to folks about this story and, you know, his car blew up.
[37:13.000 --> 37:19.000]  He came out and he said, this administration, he's a liberal, is it war against America and it war against our rights?
[37:19.000 --> 37:23.000]  We've got to organize as the media against it. Our country's been overthrown.
[37:23.000 --> 37:29.000]  And two days later, he said, the feds are chasing me. I've got the biggest story ever. Homeland Security's been at my house.
[37:29.000 --> 37:42.000]  And then his car blew up and shot the engine 400 feet down the road, blowing it off of its bolts.
[37:42.000 --> 37:48.000]  Let's use a Star Wars allegory. Look at this. There's bantha sticks and some of their, you know, tracks.
[37:48.000 --> 37:54.000]  But look, these blast points are too accurate. I've never heard of him hitting something this big.
[37:54.000 --> 38:00.000]  And General Kenobi says that's because it wasn't Jawas were meant to be told it's Jawas.
[38:00.000 --> 38:09.000]  Only Imperial stormtroopers are so precise. That's why we hijacked these movies and stuff because the child like mine or the public can only tune into something like that.
[38:09.000 --> 38:17.000]  I don't mean my general audience, but new people were reaching out to.
[38:17.000 --> 38:24.000]  And was Hastings safe when his wife worked at the National Security Council? She worked in the Security Council.
[38:24.000 --> 38:35.000]  Was Hastings safe being an operative of an unnamed agency? No. He had a conscience and so just like Pat Tillman, they just punched one button.
[38:35.000 --> 38:41.000]  Boom. Who is they? The people that have hijacked our country.
[38:41.000 --> 38:52.000]  Let's hear from the lady who on record ran the overthrow of Libya, the destabilization and the overthrow of Egypt and the overthrow attempted of Syria.
[38:52.000 --> 39:00.000]  The Turks invaded two weeks ago Iraq and are attacking the Iraqi military. That's fighting ISIS.
[39:00.000 --> 39:08.000]  That's not even in our news. But here's Hillary. She knows who did it. It's Donald Trump's fault.
[39:08.000 --> 39:13.000]  That's the talking point from Kareem Abdul-Jabbar and all these other people in Hillary Clinton is that he's helping ISIS.
[39:13.000 --> 39:17.000]  They don't ever see how. They just say he's helping.
[39:17.000 --> 39:21.000]  And the average dumb down yuppie goes, that's right.
[39:21.000 --> 39:24.000]  Then they're intellectuals. They can repeat the words. Trump helped ISIS.
[39:24.000 --> 39:33.000]  Why someday they'll probably claim he runs it because he agreed with Putin to bomb the oil and to bomb the convoys and to cut off the money.
[39:33.000 --> 39:41.000]  He said things that were sensible and patriotic and honorable to defend the Christians and non-radical Muslims in Syria.
[39:41.000 --> 39:46.000]  Assad, by the way, was on the news today. He does rare public appearances because they try to kill him every time he comes out.
[39:46.000 --> 39:55.000]  He was at the big Notre Dame church is what it's called there in Damascus in preparation to celebrate Christmas.
[39:55.000 --> 39:59.000]  And he basically prayed there. You can go read about it.
[39:59.000 --> 40:06.000]  He's not a Muslim. He is. He's an Alawite. They're not even Muslims.
[40:06.000 --> 40:10.000]  They're basically closeted Christians, most of them.
[40:10.000 --> 40:16.000]  And so that's why he has to die. They're not going to let, yeah, the word is Assad's a closet Christian, folks.
[40:16.000 --> 40:19.000]  They're not going to let a guy trained in the West as a Christian live.
[40:19.000 --> 40:22.000]  He will die if they have their way.
[40:22.000 --> 40:26.000]  And they'll put a guy with a hood on his head in there and they'll, everyone will have to worship him.
[40:26.000 --> 40:33.000]  Now let's go ahead and go to Hillary blaming someone who had nothing to do with it when she is the Don Corleone,
[40:33.000 --> 40:39.000]  the kingpin of the operation, the El Hefe.
[40:39.000 --> 40:41.000]  And then she blames Donald Trump. Here it is.
[40:41.000 --> 40:50.000]  We also need to make sure that the really discriminatory messages that Trump is sending around the world don't fall on receptive ears.
[40:50.000 --> 41:00.000]  They're becoming ISIS's best recruiter. They are going to people showing videos of Donald Trump insulting Islam and Muslims
[41:00.000 --> 41:03.000]  in order to recruit more radical jihadists.
[41:03.000 --> 41:09.000]  So I want to explain why this is not in America's interest to react with this kind of fear.
[41:09.000 --> 41:12.000]  Now let's go to Donald Trump talking about what a liar she is.
[41:12.000 --> 41:22.000]  ISIS has been threatening to attack Russia and has blown up all their planes with a bomb because they are cutting the oil off.
[41:22.000 --> 41:26.000]  Oh, ISIS attacks because you insult them. Give me a break.
[41:26.000 --> 41:31.000]  All Donald Trump said was until you check the visas and vet these people no more.
[41:31.000 --> 41:34.000]  Total common sense.
[41:34.000 --> 41:38.000]  And then she spends it in upside down Bizarro world.
[41:38.000 --> 41:40.000]  Now let's go to Donald Trump's response.
[41:40.000 --> 41:44.000]  Right now we saw that tweet. Mr. Trump, you going to stand by it?
[41:44.000 --> 41:48.000]  Well, of course I'm standing by it. It was vetted. They went to the Washington Post.
[41:48.000 --> 41:50.000]  Good post. We wanted it.
[41:50.000 --> 41:55.000]  Stephanophilus Clinton operative. The average idiot doesn't even know that watch in ABC News.
[41:55.000 --> 41:56.000]  Literally.
[41:56.000 --> 42:01.000]  Going, do you stand by that? Like, do you stand by that? You still rape your wife?
[42:01.000 --> 42:05.000]  Just everything phrase that way. These little snifflers. Let's go back to it.
[42:05.000 --> 42:10.000]  Now let's go to Donald Trump. Right now we saw that tweet. Mr. Trump, you going to stand by it?
[42:10.000 --> 42:14.000]  Well, of course I'm standing by it. It was vetted. They went to the Washington Post.
[42:14.000 --> 42:19.000]  Fox News went out in great detail and looked forward and there's no such video.
[42:19.000 --> 42:24.000]  And they may make one up knowing the Clintons and knowing Hillary, but there's nobody.
[42:24.000 --> 42:29.000]  She just made it up. I mean, she made it up. It was a sound bite. Just like Bernie Sanders lied.
[42:29.000 --> 42:33.000]  I mean, we went out and said things that never took place. I didn't say that.
[42:33.000 --> 42:38.000]  Let's come back. Hillary said she was in Serbia and that they were shot up the plane.
[42:38.000 --> 42:41.000]  She was on the ground in combat. People were getting a shot around her.
[42:41.000 --> 42:44.000]  Then it cuts to the CBS video. It's a blue sky. Everything's fine.
[42:44.000 --> 42:49.000]  But it's okay. See, she's worse than Brian Williams, but she's allowed to because she's a one.
[42:49.000 --> 43:04.000]  She is a mafia princess. I mean, she is just a piece of stinking work.
[43:20.000 --> 43:29.000]  You will find the Info Wars Life Essentials Pack with X2 Super Mail and Silver Bullet Colloidal Silver for 33% off on top of free shipping.
[43:29.000 --> 43:37.000]  You'll also find other specials like the Deep Cleanse Pack with Deep Cleanse Oxy Powder and Living Defense for 28% off and again free shipping.
[43:37.000 --> 43:43.000]  Visit infowarslife.com today. Read the five star reviews. See the informational videos.
[43:43.000 --> 43:48.000]  Add your friends and family members' addresses on checkout and we'll ship their gifts free directly to them.
[43:48.000 --> 43:54.000]  We're talking about game changing gifts and they're all available with free shipping and massive discounts this Christmas season.
[43:54.000 --> 43:57.000]  InfoWarsLife.com.
[43:57.000 --> 44:00.000]  I want more candy. I want all of these gifts flying, flying, flying.
[44:00.000 --> 44:09.000]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[44:09.000 --> 44:12.000]  All of our children are hit with modern mind control.
[44:12.000 --> 44:22.000]  Television, music, fast food, GMOs, sugars, you name it, young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[44:22.000 --> 44:27.000]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[44:27.000 --> 44:34.000]  Working with my team, we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[44:34.000 --> 44:41.000]  We worked with the leading manufacturer and nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[44:41.000 --> 44:49.000]  Introducing child ease with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[44:49.000 --> 44:53.000]  Obtain your child ease today at infowarslife.com.
[44:53.000 --> 44:57.000]  That's child ease exclusively at infowarslife.com.
[44:57.000 --> 45:01.000]  When cells become toxic, they die early and aging sets in.
[45:01.000 --> 45:09.000]  No one has put together a formula that focuses directly on brain health, nerve growth factors and optimizing your cellular energy at the same time.
[45:09.000 --> 45:15.000]  Just one of the key compounds, BiopQQ, is backed by major clinical studies.
[45:15.000 --> 45:17.000]  You want the best that's out there at the lowest price anywhere?
[45:17.000 --> 45:19.000]  We now have the synergistic solution.
[45:19.000 --> 45:41.000]  Secure your DNA force today at infowarslife.com or call toll-free 888-253-3139.
[45:49.000 --> 45:57.000]  In our limited first run at infowarslife.com, that's infowarslife.com or call 888-253-3139.
[45:57.000 --> 46:04.000]  In the 15-year history of PrisonPlanet.tv, we have never offered six months free at Christmas.
[46:04.000 --> 46:07.000]  We've always offered five months free.
[46:07.000 --> 46:13.000]  But since I announced six free months a few days ago, we have seen record numbers of signups.
[46:13.000 --> 46:20.000]  PrisonPlanet.tv began 15 years ago. It's grown into info wars at Nightly News and so much more.
[46:20.000 --> 46:29.000]  All of my documentary films, scores of ebooks and other exclusive documentaries are available for streaming or download in HD at PrisonPlanet.tv.
[46:29.000 --> 46:33.000]  You don't just get six months free when you sign up from Christmas through New Year's.
[46:33.000 --> 46:40.000]  You also get to share that membership with up to 20 people simultaneously using your username.
[46:40.000 --> 46:48.000]  You can also sign up for a trial month and only pay $5.95 and then 20 of you and your friends and family can watch PrisonPlanet.tv.
[46:48.000 --> 46:52.000]  Yet 20 memberships at half price, be the Paul Revere in your community.
[46:52.000 --> 47:17.000]  Six months free when you sign up for a year at PrisonPlanet.tv.
[47:17.000 --> 47:27.000]  Trashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[47:27.000 --> 47:31.000]  Look at the dishonorable trash we have running our country.
[47:31.000 --> 47:35.000]  Speaker of the House.
[47:35.000 --> 47:42.000]  The supposed conservative who just gave the Democrats the biggest pork barrel to sell out of the budget they've ever seen.
[47:42.000 --> 47:46.000]  Hillary Clinton, Barack Obama, look at these people.
[47:46.000 --> 47:59.000]  Starting all these wars, devaluing our currency, engaged in just incredible attacks on American culture.
[47:59.000 --> 48:08.000]  We are being conquered by these people because we don't have the will to recognize the fact we're under attack.
[48:08.000 --> 48:11.000]  Because we've been eased into it.
[48:11.000 --> 48:25.000]  They've crept up on us and Hillary Clinton gets up and says, ISIS is using Donald Trump as a recruitment tool.
[48:25.000 --> 48:36.000]  That's been the talking point for about three weeks by the mainstream media with no proof.
[48:36.000 --> 48:39.000]  And then she comes out and says it and there is no video.
[48:39.000 --> 48:44.000]  Whenever they killed Ambassador Stevens, they claimed there was some video insulting Mohammed that hadn't even been released.
[48:44.000 --> 48:52.000]  They just made it up. The media ran with it. This is what they do. They're known certified liars.
[48:52.000 --> 48:58.000]  Hillary has been caught lying about everything under the sun.
[48:58.000 --> 49:04.000]  And then she says that Donald Trump's helping ISIS when she literally gave birth to them.
[49:04.000 --> 49:13.000]  If anybody in Western governments was more a mommy to ISIS, it's Hillary Clinton.
[49:13.000 --> 49:20.000]  There is no one like her who's been involved at every level, funding, shepherding, coddling.
[49:20.000 --> 49:31.000]  It's just too rich. It's too ridiculous. The absurdity, the hypocrisy, the over-the-topness of it.
[49:31.000 --> 49:36.000]  And then Trump sits there and brings up what a big fat liar she is.
[49:36.000 --> 49:41.000]  I mean, Trump does great, but I would have just said it's why they don't let me on those big shows anymore.
[49:41.000 --> 49:46.000]  And we don't need to. We have our audiences as big as an ABC morning show.
[49:46.000 --> 49:50.000]  Those are still some of the only mainstream media shows that are still big as those shows.
[49:50.000 --> 49:53.000]  They used to have like 35 million in a Morning Sunday show.
[49:53.000 --> 50:03.000]  Now they've got about six, seven million. That's still big. And it's mainly folks that are nearing their final days on Earth.
[50:03.000 --> 50:09.000]  And I respect elderly folks, but they tend to trust the system a little bit more.
[50:09.000 --> 50:15.000]  And she sits up there praying on them.
[50:15.000 --> 50:23.000]  Donald Trump, he's done all these terrible things while he helped create ISIS. He's helping fund them.
[50:23.000 --> 50:30.000]  He's helping stir them up. He's helping them recruit whenever it's the opposite.
[50:30.000 --> 50:32.000]  But that's because she thinks you're dumb.
[50:32.000 --> 50:39.000]  But Trump goes on these shows and makes some good points, but I would have said what he said first.
[50:39.000 --> 50:41.000]  She's lying. There's no such video.
[50:41.000 --> 50:46.000]  She's the one that claimed that she was over in Serbia and got shot at like Brian Williams and got caught in a lie.
[50:46.000 --> 50:51.000]  Why hasn't she resigned like Brian Williams or why hasn't she been basically, you know, removed as the candidate?
[50:51.000 --> 50:55.000]  She is a pathological stolen glory liar.
[50:55.000 --> 51:01.000]  Next, she's going to tell you that she founded Delta Force and is the commando and can do 100 pull-ups.
[51:01.000 --> 51:04.000]  She's a joke.
[51:04.000 --> 51:09.000]  If I got up here on air folks and said, I flew into Serbia once and they shot up the airplane.
[51:09.000 --> 51:14.000]  I was on the ground that shot us up and it cuts to me blue skies with a red carpet. Nothing happened.
[51:14.000 --> 51:18.000]  My career would be over and it should be.
[51:18.000 --> 51:26.000]  Hillary does it. It's like cute. Oh, look, she got caught with another big lie. Oh, it's so creative.
[51:26.000 --> 51:29.000]  So let's go to Trump responding to her. Here it is.
[51:29.000 --> 51:33.000]  Right now we saw that tweet. Mr. Trump, you going to stand by it?
[51:33.000 --> 51:37.000]  Well, of course I'm standing by it. It was vetted. They went to the Washington Post.
[51:37.000 --> 51:42.000]  Fox News went out in great detail and looked forward and there's no such video.
[51:42.000 --> 51:47.000]  They may make one up knowing the Clintons and knowing Hillary, but there's nobody.
[51:47.000 --> 51:55.000]  There was never any such video. The media just started saying as a talking point the day he came out and said,
[51:55.000 --> 51:59.000]  block all Muslim immigrants until we at least vet their IDs like everybody else.
[51:59.000 --> 52:02.000]  They can't be above the law because they are right now. That's in the news.
[52:02.000 --> 52:05.000]  They don't even check their IDs in most cases.
[52:05.000 --> 52:11.000]  That's mainstream news. So they spin that around.
[52:11.000 --> 52:16.000]  And then we talk about, well, where did she get this idea?
[52:16.000 --> 52:19.000]  She's just repeating the big lie that Trump is ISIS.
[52:19.000 --> 52:24.000]  He comes out and exposes Hillary is behind ISIS. So they flip it and say, no, you're behind ISIS.
[52:24.000 --> 52:29.000]  That's all. This is what they think of the public. Let's go back to it.
[52:29.000 --> 52:33.000]  Well, of course I'm standing by it. It was vetted. They went to the Washington Post.
[52:33.000 --> 52:38.000]  Fox News went out in great detail and looked forward and there's no such video.
[52:38.000 --> 52:43.000]  They may make one up knowing the Clintons and knowing Hillary, but there's nobody.
[52:43.000 --> 52:48.000]  She just made it up. She made it up. It was a sound bite. Just like Bernie Sanders lied.
[52:48.000 --> 52:52.000]  He went out and said things that never took place. I didn't say that about Mexicans.
[52:52.000 --> 52:57.000]  I have great relationships with the Hispanics. I didn't say what he said.
[52:57.000 --> 53:02.000]  They make up things in the world of politics. They're all talk and no action. They're politicians.
[53:02.000 --> 53:08.000]  You sure you want to go down that road? The fact checkers have called you out on more false statements than any other candidate.
[53:08.000 --> 53:09.000]  In advance?
[53:09.000 --> 53:14.000]  Oh, I'll go down that road and people maybe call me out, but they turn out to be wrong also.
[53:14.000 --> 53:20.000]  And many of the things I've said and I think just about all of them, they may have been controversial at one point, George,
[53:20.000 --> 53:24.000]  but they're not controversial in the end because people start to say, you know, Trump's actually right.
[53:24.000 --> 53:29.000]  And you go into illegal immigration. Everybody now is coming my way with illegal.
[53:29.000 --> 53:34.000]  I've been 100% right as far as crime is concerned, as far as the economy is concerned.
[53:34.000 --> 53:37.000]  I've been right on more than anybody else has been right.
[53:37.000 --> 53:42.000]  Well, you've never come up with a video of those thousands of people cheering in New Jersey in 9-11.
[53:42.000 --> 53:45.000]  Oh, there were plenty of people cheering, believe me, and I've come up with plenty.
[53:45.000 --> 53:50.000]  And the Washington Post wrote a story that they tried to retract and there were many other stories written.
[53:50.000 --> 53:55.000]  And a lot of people, thousands of people have been calling and writing and emailing.
[53:55.000 --> 54:00.000]  Many people saw it and it was in New Jersey and it was also all over the world, George.
[54:00.000 --> 54:03.000]  So there's an obvious problem.
[54:03.000 --> 54:10.000]  And by the way, Trump is setting them up because some of the people in New Jersey were reportedly Israelis dressed up like Arabs.
[54:10.000 --> 54:12.000]  I don't even know if that part's true.
[54:12.000 --> 54:17.000]  And he's waiting for them to go to that, then it's going to blow up in the Bush's faces.
[54:17.000 --> 54:20.000]  I mean, Trump's just too sophisticated for these ding-dongs.
[54:20.000 --> 54:26.000]  And I'll go further. There were people in Palestine celebrating Muslims.
[54:26.000 --> 54:38.000]  And when the Paris thing happened at two global soccer games, they were cheering and God is great during the minute of silence for the dead people in Paris.
[54:38.000 --> 54:39.000]  And there were people.
[54:39.000 --> 54:44.000]  I remember in the news at the time that kids getting thrown out of school because they were celebrating.
[54:44.000 --> 54:46.000]  You know, Allah brought down the towers.
[54:46.000 --> 54:49.000]  I mean, it was a bunch of people were celebrating.
[54:49.000 --> 54:55.000]  And then they found these folks on a rooftop jumping up and down urban moving systems and they claim they were Israelis and the story got shut off.
[54:55.000 --> 54:57.000]  That was on Fox News, by the way.
[54:57.000 --> 54:59.000]  People always say, Jones says Israel blew it up.
[54:59.000 --> 55:00.000]  I didn't say that.
[55:00.000 --> 55:02.000]  Fox News reported it.
[55:02.000 --> 55:04.000]  And it probably wasn't even accurate.
[55:04.000 --> 55:06.000]  The whole thing is very confusing.
[55:06.000 --> 55:09.000]  The point is that was all over the news at the time.
[55:09.000 --> 55:13.000]  But they're sitting there acting like Trump just made this up.
[55:13.000 --> 55:16.000]  All he's doing is talking about what was on the news at the time.
[55:16.000 --> 55:23.000]  I remember like the day after 9-11 it showed people celebrating in New York and in London and in Israel.
[55:23.000 --> 55:25.000]  They're in the West Bank.
[55:25.000 --> 55:30.000]  I mean, there are radical Muslims that celebrate when we get attacked.
[55:30.000 --> 55:32.000]  That's a fact.
[55:32.000 --> 55:34.000]  But they just sit there with a straight face.
[55:34.000 --> 55:35.000]  You really want to stand by that?
[55:35.000 --> 55:39.000]  You really want to stand by the fact that there may be fish in the ocean?
[55:39.000 --> 55:41.000]  Well, yes, I did see some fish the other day off the pier.
[55:41.000 --> 55:44.000]  Are you sure you saw fish in the ocean?
[55:44.000 --> 55:46.000]  That's pretty crazy.
[55:46.000 --> 55:52.000]  And then Trump's smart enough to know as well, because I know I've talked to a staff about it.
[55:52.000 --> 55:55.000]  They don't want him to get into the stuff I do because then he'll really get elected.
[55:55.000 --> 55:56.000]  This is so popular.
[55:56.000 --> 55:58.000]  You know, exposing the globalist.
[55:58.000 --> 56:02.000]  They come to him and go, this is the Alex Jones that thinks wasp live under the U.N. building.
[56:02.000 --> 56:03.000]  I never said that.
[56:03.000 --> 56:06.000]  That's completely made up.
[56:06.000 --> 56:09.000]  Alex says the moon landing didn't happen.
[56:09.000 --> 56:10.000]  I never said.
[56:10.000 --> 56:14.000]  The opposite and they know I'm criticized for sharing the moon landings happen.
[56:14.000 --> 56:17.000]  That's how they prey on their idiot viewers.
[56:17.000 --> 56:26.000]  The problem is real media, alternative media, whatever, new media, it's more popular than dinosaur media.
[56:26.000 --> 56:32.000]  They've got bigger sets and stuff suits and political operatives like Axl Rod and Stephanophilus and the rest of them.
[56:32.000 --> 56:37.000]  But even the little bit of power they've got is draining away so fast.
[56:37.000 --> 56:41.000]  And that's why they want to bring into totalitarianism is why they want to shut me up.
[56:41.000 --> 56:43.000]  It's why they said they want censorship.
[56:43.000 --> 56:49.000]  The Supreme Court justices told drudge it's coming next year because we're kicking their stinkin butts.
[56:49.000 --> 56:57.000]  Briefly, it is your purchase of the amazing products at m4store.com, m4slife.com that funds so much of what we do.
[56:57.000 --> 57:03.000]  Great nutraceuticals, great shortwave radios, great Hillary for prison shirts, Moan Labe.
[57:03.000 --> 57:14.000]  But right now, the best thing you can really do is get six months free to see subscription, nightly news, all my films and more at prisonplanet.tv.
[57:14.000 --> 57:21.000]  You go to m4store.com or prisonplanet.tv, you sign up and you get six months off the regular price.
[57:21.000 --> 57:24.000]  Normally a year you get two months free so it's $54.95.
[57:24.000 --> 57:29.000]  Now it's $36.50 for a year membership, 20 people can use the same username.
[57:29.000 --> 57:35.000]  So that's 20 memberships for less than $5.95 a month and a little bit of money we make helps fund this operation.
[57:35.000 --> 57:36.000]  It's a win-win.
[57:36.000 --> 57:40.000]  Prisonplanet.tv, share the gift of truth and knowledge with folks.
[57:40.000 --> 58:07.000]  All right, next hour coming up, bring in the geoengineering, Star Wars and more.
[58:10.000 --> 58:16.000]  Star Wars today at m4slife.com or call toll-free 888-253-3139.
[58:40.000 --> 58:47.000]  Game changing products at m4slife.com or call 888-253-3139.
[58:47.000 --> 58:51.000]  A clean, toxic-free body is the foundation of true health.
[58:51.000 --> 59:00.000]  Deep Cleanse by m4slife.com, a scientifically formulated blend of nanocoloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[59:00.000 --> 59:13.000]  Using our proprietary multi-step extraction technology, Deep Cleanse are most affordable all-in-one cleanser with concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites and others.
[59:13.000 --> 59:15.000]  Deep Cleanse doesn't hold back.
[59:15.000 --> 59:24.000]  Instead of buying five, six or even seven different cleansing products, we use decades old scientific research to put together the Rolls Royce of all-in-one cleansing.
[59:24.000 --> 59:31.000]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary SpyJurex herbal processing technique.
[59:31.000 --> 59:37.000]  We use only the highest quality organic herbs backed by serious research and we still bring it to you at the best price out there.
[59:37.000 --> 59:59.000]  If you wish to find Deep Cleanse and experience the all-in-one cleansing, visit m4slife.com at m4slife.com or call 888-253-3139.
[59:59.000 --> 01:00:07.000]  From his Central Texas Command Center, deep behind enemy lines, the Information War continues.
[01:00:07.000 --> 01:00:11.000]  It's Alex Jones and the GCN Radio Network.
[01:00:11.000 --> 01:00:22.000]  I know I heartbroken a lot last hour, but boy, Hillary Clinton has got a lot of stinking nerve to be the mastermind.
[01:00:22.000 --> 01:00:36.000]  The leader of the expansion of al-Qaeda al-Nazra ISIS around the world, red-handed caught with her hand in the weapons transfer jar over and over again in clear felonies,
[01:00:36.000 --> 01:00:46.000]  getting money to her private foundation to transfer the weapons so they can run around and murder Christians and blow up churches and engage in war crimes.
[01:00:46.000 --> 01:00:53.000]  Then she also got up, I've got a clip, and said, we're finally where we need to be in Syria and things are going well.
[01:00:53.000 --> 01:00:55.000]  Yeah, carved up, failed state.
[01:00:55.000 --> 01:00:59.000]  And she's evil.
[01:00:59.000 --> 01:01:05.000]  And the cold-blooded Machiavellians she represents are going to bring this country and this planet down if they're not stopped.
[01:01:05.000 --> 01:01:13.000]  What a disreputable sack of filth who really hates the American people more than anybody.
[01:01:13.000 --> 01:01:16.000]  And wants us to be a failed state under Claude and Pivot.
[01:01:16.000 --> 01:01:23.000]  That's the globalist model, a failed world, a failed state with above-the-law tax-exempt megabanks ruling over us.
[01:01:23.000 --> 01:01:30.000]  See, they don't like the fact that we don't need them, we don't want them, we got our own cultures, we're doing good, we innovate.
[01:01:30.000 --> 01:01:33.000]  We do the fighting, we do the hanging.
[01:01:33.000 --> 01:01:41.000]  So they're coming in with their technocracy in their smart cars, driverless cars in their combat robots, the end of people.
[01:01:41.000 --> 01:01:49.000]  This is all being directed by a bunch of little soft, control-freak nerds who don't do the killing themselves.
[01:01:49.000 --> 01:01:54.000]  Now, they can hardly open a can of soda without their fingernail breaking off.
[01:01:54.000 --> 01:01:57.000]  No, they have humanity.
[01:01:57.000 --> 01:01:59.000]  Do all the killing for them.
[01:01:59.000 --> 01:02:06.000]  I knew a lot of guys were engineers at IBM when they were still here in Austin.
[01:02:06.000 --> 01:02:12.000]  I remember they were all training their replacements, who were paid about 10% what they were, 20%.
[01:02:12.000 --> 01:02:16.000]  They admitted they said, no, I know I'm going to train them my replacement this year and I'll be out of a job.
[01:02:16.000 --> 01:02:18.000]  It's just a strange feeling.
[01:02:18.000 --> 01:02:20.000]  People said, oh, that's just innovation.
[01:02:20.000 --> 01:02:21.000]  No, it's not.
[01:02:21.000 --> 01:02:24.000]  Henry Ford wanted to pay people enough so they could buy his car.
[01:02:24.000 --> 01:02:26.000]  He wanted to create an ecosystem financially.
[01:02:26.000 --> 01:02:30.000]  He wanted to create a market.
[01:02:30.000 --> 01:02:35.000]  And you got to have people that are upwardly mobile to do that.
[01:02:35.000 --> 01:02:39.000]  But Hillary Clinton has come out in the news.
[01:02:39.000 --> 01:02:46.000]  But I first heard about it 15 years ago or so from the late great Jim Tucker that he would interview people at these hotels.
[01:02:46.000 --> 01:02:47.000]  They had Boulderburg.
[01:02:47.000 --> 01:02:49.000]  He would stay till after the conference and go in and interview them.
[01:02:49.000 --> 01:02:50.000]  I tell you how long it was good intel.
[01:02:50.000 --> 01:02:54.000]  He'd get there before it opened for the conference and they'd say, I'm never talking to you.
[01:02:54.000 --> 01:02:57.000]  I go, well, they're going to be so rude and so evil you'll want to later.
[01:02:57.000 --> 01:03:00.000]  A couple of days after the conference, you come meet me here at this bar.
[01:03:00.000 --> 01:03:02.000]  They'd always show up.
[01:03:02.000 --> 01:03:07.000]  Whether it was France or Germany or the United States or the UK, they said, they don't let you look them in the eyes.
[01:03:07.000 --> 01:03:08.000]  They're rude and hateful.
[01:03:08.000 --> 01:03:09.000]  There's no tips.
[01:03:09.000 --> 01:03:10.000]  They scream at you.
[01:03:10.000 --> 01:03:12.000]  They were talking about evil things.
[01:03:12.000 --> 01:03:16.000]  It's like a James Bond movie.
[01:03:16.000 --> 01:03:17.000]  And that's it.
[01:03:17.000 --> 01:03:20.000]  These are people turned over to evil.
[01:03:20.000 --> 01:03:24.000]  And I cannot express to you how dangerous and bad news they are.
[01:03:24.000 --> 01:03:31.000]  And I know you know that nine times out of 10.
[01:03:31.000 --> 01:03:39.000]  I am communicating to people that are new listeners.
[01:03:39.000 --> 01:03:43.000]  I mean, I really wish this show wasn't accurate.
[01:03:43.000 --> 01:03:44.000]  I really wish it was a big joke.
[01:03:44.000 --> 01:03:51.000]  And then I really said, Obama said a tornado Oklahoma city and I really said that there's wasp aliens under the UN building.
[01:03:51.000 --> 01:03:55.000]  I didn't say any of that.
[01:03:55.000 --> 01:04:04.000]  I did say is I've got scores of books and white papers published by the United States printing office.
