[00:00.000 --> 00:06.000]  That's right, Headache Stay Gone must work for you before you pay for it.
[51:46.000 --> 51:56.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[51:57.000 --> 52:07.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[52:08.000 --> 52:18.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[52:19.000 --> 52:29.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[52:30.000 --> 52:40.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[52:41.000 --> 52:51.000]  The CowBin Pure Soap Company, for the past 57 years, has been making triple-concentrated pure soaps exclusively for health care professionals and hospitals.
[52:51.000 --> 52:59.000]  The KDF Shower Filter is designed to reduce chlorine, lead, mercury and iron and it inhibits the growth of bacteria, mold, algae and fungus in your shower.
[53:00.000 --> 53:03.000]  The media is non-toxic, environmentally sound and is recyclable.
[53:04.000 --> 53:08.000]  The KDF Shower Filter will typically last 10,000 gallons or one year, whichever comes first.
[53:09.000 --> 53:15.000]  Hospitals, restaurants and water treatment facilities use this media to reduce chlorine, iron, heavy metals and bacteria.
[53:16.000 --> 53:17.000]  What about you?
[53:17.000 --> 53:25.000]  Order your KDF Shower Filter, normally $49, for a special price of only $35, a $14 savings.
[53:26.000 --> 53:30.000]  Call now to order at 1-888-803-4438.
[53:31.000 --> 53:36.000]  Order today and save $14 by calling 1-888-803-4438.
[53:37.000 --> 53:43.000]  Hey ladies, if you love to shop, then visit herbalhealer.com to browse through their online catalog.
[53:43.000 --> 53:48.000]  You'll find thousands of effective, alternative and natural products for you and the whole family.
[53:49.000 --> 53:56.000]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health and your health is priceless.
[53:57.000 --> 54:03.000]  While online, sign up to receive the Herbal Healer newsletter, which will keep you informed on the latest and greatest products in education.
[54:03.000 --> 54:15.000]  Did you know that Herbal Healer offers not only natural medicine, but also tension relieving herbal teas, cookbooks, aromatherapy, products for pampering and more great products to help you soothe and relax after a long day.
[54:16.000 --> 54:21.000]  Want to learn more for yourself and to help others in the future? Join the Herbal Healer Correspondence Program.
[54:22.000 --> 54:24.000]  You can work at your own pace from the comfort of your own home.
[54:25.000 --> 54:28.000]  This accredited, exciting program can help you gain skills and knowledge.
[54:29.000 --> 54:31.000]  Can you believe you can find all this at one stop?
[54:31.000 --> 54:36.000]  HerbalHealer.com, celebrating 18 years of dedication.
[55:01.000 --> 55:13.000]  It sounded so good. I've got an idea. I'm gonna go there since they're all over here. The long star state should be renamed Texaco.
[55:14.000 --> 55:19.000]  Welcome back, ladies and gentlemen. Continuing with open phone calls for the bottom of the next hour when Dr. Paul Craig Roberts joins us.
[55:20.000 --> 55:26.000]  Then we've got the man who is holed up in his house in New Hampshire, Ed Lewis Brown, because the IRS is saying they're coming to get him.
[55:26.000 --> 55:31.000]  He's been convicted of not paying for the private Federal Reserve, so that's coming up.
[55:32.000 --> 55:41.000]  Before we go back to your calls, I've made 15 films. The latest is Terror Storm. It's on DVD. It's right under two hours long.
[55:42.000 --> 55:50.000]  There's 68 minutes of extras from the famous 9-11 Neo Conigena Symposium we had last June in L.A. with top minds on 9-11, all giving you their best info.
[55:50.000 --> 56:00.000]  So that's a film in and of itself. And that's $19.95. We've got discount packages. When you get American Freedom to Fascism for $19.95, you can get Terror Storm for $9.95.
[56:01.000 --> 56:11.000]  There's a bunch of other discounts and specials at mfowars.com. So be sure and go produce the site and order via the safe, secure online video and bookstore shopping cart at mfowars.com or prisonplanet.com.
[56:12.000 --> 56:21.000]  Or call toll free. They can answer your questions and take your order. 1-888-253-3139. If you believe in what we're doing, it also supports us with your purchase.
[56:22.000 --> 56:35.000]  1-888-253-3139. Or you can write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, Texas, 78704.
[56:36.000 --> 56:43.000]  All right. Let's go ahead. Let me answer. She obviously knows about this. She said a wrong name, though. That's why I was confused.
[56:44.000 --> 56:55.000]  Well, I know reading Julius Caesar's The Battle for Gaul and several other Roman history books written by emperors and others, and they wrote these themselves, it was a compilation of letters to the Roman Senate.
[56:56.000 --> 57:05.000]  What he would do over 2,000 years ago is when they were, well, they had the Austrians working for them. They'd already conquered Austria.
[57:06.000 --> 57:11.000]  So they were going into Germania. They were going into Germany, into France, into Gaul and fighting these tribes.
[57:12.000 --> 57:22.000]  And so they would come up to these, some of those cities even had crude walls. I'm digressing. It doesn't really matter.
[57:22.000 --> 57:33.000]  And they would say, we will kill you. We will kill all your men and all your boys if you do not submit right now.
[57:34.000 --> 57:45.000]  If you do submit, we'll just take your older men and enslave them and take some of your younger men and put them into the training to be as kind of backup for the Roman legions.
[57:45.000 --> 57:50.000]  They wouldn't actually be part of the Roman legions and to be used against the next tribe.
[57:51.000 --> 57:56.000]  And if they didn't submit, they would kill everyone sometimes, including all, but usually they couldn't help themselves.
[57:57.000 --> 58:01.000]  They wanted the women for slaves, sex slaves, house slaves, so forth and so on.
[58:02.000 --> 58:08.000]  They'd take some of the bigger young boys and then train them, and they were part of the patrarian guard who wore the blue, who protected the Caesar.
[58:09.000 --> 58:11.000]  That's why you get the blue uniforms of police today.
[58:12.000 --> 58:15.000]  Kind of a navy blue, but again I'm digressing.
[58:16.000 --> 58:23.000]  And he talked about how if he would threaten the city to kill all the children, the women would start rioting and the men would tend to listen to them and capitulate.
[58:24.000 --> 58:25.000]  A lot of times they'd go ahead and kill them anyways.
[58:26.000 --> 58:27.000]  So that's what happened.
[58:28.000 --> 58:32.000]  And I read other Roman history books about how they controlled slaves.
[58:32.000 --> 58:36.000]  And what they do at a slave camp, when they brought in new slaves,
[58:37.000 --> 58:41.000]  and see some of the younger men who they kept alive, 10, 15 years old,
[58:42.000 --> 58:47.000]  were starting fights, stabbing people, biting Roman guards, enforcers on the plantations.
[58:49.000 --> 58:54.000]  I'll continue on the other side, is they would take those young men and they'd kill them.
[58:56.000 --> 59:01.000]  And they'd tell the women, it's your job to enforce on them, it's your job to report on them, it's your job to control the men.
[59:02.000 --> 59:04.000]  Or we're going to kill your children.
[59:05.000 --> 59:09.000]  And so the women would become the most brutal foremen and enforcers and tattletales.
[59:10.000 --> 59:11.000]  The house slaves.
[59:12.000 --> 59:13.000]  The house slaves.
[59:14.000 --> 59:16.000]  Which we'll pick up there.
[59:17.000 --> 59:25.000]  This broadcast is available on MP3 CD format at GCNlive.com or call toll free 877-300-7645.
[59:28.000 --> 59:31.000]  More than 700 chemicals have been found in our drinking water.
[59:32.000 --> 59:36.000]  You can have greater exposure to these chemicals by taking hot showers than when you drink the water.
[59:37.000 --> 59:40.000]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[59:41.000 --> 59:45.000]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron,
[59:46.000 --> 59:49.000]  and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[59:50.000 --> 59:53.000]  The media is non-toxic, environmentally sound, and is recyclable.
[59:54.000 --> 59:58.000]  The KDF shower filter will typically last 10,000 gallons, or one year, with tons and water.
[59:58.000 --> 01:00:03.000]  Facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:00:04.000 --> 01:00:05.000]  What about you?
[01:00:06.000 --> 01:00:13.000]  Order your KDF shower filter, normally $49, for a special price of only $35, a $14 savings.
[01:00:14.000 --> 01:00:18.000]  Call now to order at 1-888-803-4438.
[01:00:19.000 --> 01:00:25.000]  Order today and save $14 by calling 1-888-803-4438.
[01:00:28.000 --> 01:00:33.000]  Waging war on corruption, Alex Jones on the GCN Radio Network.
[01:00:40.000 --> 01:00:44.000]  Big Brother. Mainstream media. Government cover-ups.
[01:00:45.000 --> 01:00:47.000]  You want answers? Well, so does he.
[01:00:48.000 --> 01:00:51.000]  He's Alex Jones on the GCN Radio Network.
[01:00:52.000 --> 01:00:56.000]  And now, live from Austin, Texas, Alex Jones.
[01:00:58.000 --> 01:01:12.000]  We are now into hour number two. Dr. Paul Craig Roberts is joining us to talk about a new editorial he's written,
[01:01:13.000 --> 01:01:15.000]  The Empire Turns Its Guns on the Citizenry.
[01:01:16.000 --> 01:01:21.000]  Then the man holed up at his house, convicted by the IRS of not paying to the private banks, to the Federal Reserve,
[01:01:22.000 --> 01:01:25.000]  and making a stand. He is coming up in the third hour.
[01:01:25.000 --> 01:01:32.000]  We'll have open phones for Patrick, Nathaniel, Manuel, Greg, Greg, and many others that are patiently holding.
[01:01:33.000 --> 01:01:37.000]  A lady called in earlier and wanted me to talk about slave management techniques from Rome.
[01:01:38.000 --> 01:01:44.000]  And I was discussing that, how they would kill children, young men, in front of the mothers,
[01:01:45.000 --> 01:01:49.000]  and tell them, now it's your job to keep them all in line when we take you to the plantations,
[01:01:50.000 --> 01:01:52.000]  or once they got to the plantations in Rome and surrounding areas,
[01:01:52.000 --> 01:01:56.000]  or when they took them to sell them on slave ships to different countries.
[01:01:57.000 --> 01:02:00.000]  It's your job to keep them in line, or we'll kill more of your children.
[01:02:01.000 --> 01:02:04.000]  So the women would become just these incredible enforcers on their own people.
[01:02:05.000 --> 01:02:11.000]  So you think the black women being brought into the house in the U.S., or in the colonial U.S., or in the Caribbean,
[01:02:12.000 --> 01:02:14.000]  there's nothing new under the sun.
[01:02:15.000 --> 01:02:19.000]  This was old slave management techniques that were used by the Romans,
[01:02:19.000 --> 01:02:21.000]  and then previously by others they were developed.
[01:02:22.000 --> 01:02:29.000]  The first big group this was used on was white northern Europeans and central Europeans by other whites,
[01:02:30.000 --> 01:02:36.000]  the Romans, who themselves were pretty Germanic up until that time,
[01:02:37.000 --> 01:02:39.000]  but then more of the Mediterranean peoples moved in, more slaves were brought in,
[01:02:40.000 --> 01:02:47.000]  and so you get the Roman mix with quite a bit of Asian now, and even African in your average Italian.
[01:02:47.000 --> 01:02:54.000]  Just side issue, continuing with what happened here,
[01:02:55.000 --> 01:02:59.000]  then it came out in a few newspapers, that's how I saw it, and I actually went and pulled it up online.
[01:03:00.000 --> 01:03:03.000]  It was about six, seven years ago, I went to the library and got a copy of it.
[01:03:04.000 --> 01:03:09.000]  It was a book written even, it was right after the Revolutionary War,
[01:03:10.000 --> 01:03:16.000]  and it was talking about slave uprisings, some of the first ones in the Carolinas and other areas, black slaves.
[01:03:17.000 --> 01:03:25.000]  And an American went and got a group of books that were circulating in Spanish and Portuguese,
[01:03:26.000 --> 01:03:35.000]  in the Caribbean, on the sugar plantations for making rum, on how they controlled black slaves.
[01:03:36.000 --> 01:03:38.000]  A handful of whites controlling a whole bunch of black slaves.
[01:03:39.000 --> 01:03:44.000]  And it's the same thing, the slave boat would pull up, and they would sell the slaves,
[01:03:44.000 --> 01:03:47.000]  and people would tend to buy them in groups, most people would have known slaves.
[01:03:48.000 --> 01:03:56.000]  The plantations would buy some slaves, and they would then buy a whole bunch of women, and men, and children,
[01:03:57.000 --> 01:04:02.000]  and they would bring them in to the plantation, and they would get them all up there,
[01:04:03.000 --> 01:04:10.000]  and they would claim that the biggest, strongest, smartest, whoever seemed to be the leader, black male,
[01:04:10.000 --> 01:04:19.000]  would then be taken and cat-or-nined or beaten with an axe handle until they died.
[01:04:20.000 --> 01:04:24.000]  Might go on for hours with a cat-or-nine ripping up in their flesh down to the bone.
[01:04:25.000 --> 01:04:28.000]  And then they would take a small child and beat them, but not kill them,
[01:04:29.000 --> 01:04:32.000]  and it says how to do this, and makes little snickering jokes the whole time,
[01:04:33.000 --> 01:04:35.000]  and talks about how the Romans did this, and that's where this comes from,
[01:04:35.000 --> 01:04:42.000]  and how then, how you tell the women, and of course most of these plantation owners couldn't even speak the African,
[01:04:43.000 --> 01:04:47.000]  a bunch of different African dialects, they would have already their house women,
[01:04:48.000 --> 01:04:53.000]  who might be one, two, three generations, going around with a bullwhip themselves.
[01:04:54.000 --> 01:04:57.000]  And so they would be there telling the different African groups that were there,
[01:04:58.000 --> 01:05:01.000]  you don't do exactly what we say, it's going to be your fault if you don't keep the men in line.
[01:05:02.000 --> 01:05:04.000]  They would tell the women that you're going to be the enforcers.
[01:05:05.000 --> 01:05:08.000]  And so we move forward to the plantations here in the United States,
[01:05:09.000 --> 01:05:15.000]  and that's where you get the big black mammy, you know, the image of Aunt Jemima,
[01:05:16.000 --> 01:05:21.000]  and believe me, my dad grew up in cotton farming, folks, that's exactly how it operated.
[01:05:23.000 --> 01:05:26.000]  And they even had the big black women out there telling the white workers what to do.
[01:05:27.000 --> 01:05:31.000]  Some six foot four black woman beat you upside the head.
[01:05:32.000 --> 01:05:34.000]  And that's Oprah Winfrey.
[01:05:39.000 --> 01:05:42.000]  It's here, after a year in production and traveling to distant lands,
[01:05:43.000 --> 01:05:44.000]  my new film Terror Storm is complete.
[01:05:45.000 --> 01:05:52.000]  Shocking declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:05:53.000 --> 01:05:56.000]  Terror Storm proves that not only was 9-11 an inside job,
[01:05:57.000 --> 01:06:00.000]  but the attacks of 7-7 in London were carried out by British Intelligence.
[01:06:01.000 --> 01:06:03.000]  Terror Storm chronicles the lies that took us to war in Iran,
[01:06:04.000 --> 01:06:06.000]  the White House program to disseminate fake news,
[01:06:07.000 --> 01:06:09.000]  NSA spying, secret police torture,
[01:06:10.000 --> 01:06:12.000]  the latest 9-11 information, and much, much more.
[01:06:13.000 --> 01:06:16.000]  Terror Storm is the definitive guide to the history of government sponsored terror also.
[01:06:17.000 --> 01:06:18.000]  It's an anthology of government crimes.
[01:06:19.000 --> 01:06:22.000]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:06:23.000 --> 01:06:26.000]  Get your copy today at infowars.com or prisonplanet.com
[01:06:26.000 --> 01:06:31.000]  or by calling toll-free 1-888-2533139
[01:06:32.000 --> 01:06:35.000]  or watch it right now online at prisonplanet.tv
[01:06:36.000 --> 01:06:37.000]  Good morning, honey.
[01:06:38.000 --> 01:06:43.000]  Wow, the weather is beautiful, the cabin is terrific, and it's the first day of our vacation.
[01:06:44.000 --> 01:06:45.000]  Yeah.
[01:06:46.000 --> 01:06:47.000]  Honey, is there something wrong?
[01:06:48.000 --> 01:06:50.000]  Yeah, I just realized we forgot to pack the travel perky system.
[01:06:51.000 --> 01:06:52.000]  I can't drink this cabin water.
[01:06:53.000 --> 01:06:54.000]  And what am I going to do when I'm out on the lake?
[01:06:54.000 --> 01:06:56.000]  Now the whole vacation is ruined.
[01:06:57.000 --> 01:06:59.000]  Honey, cheer up. I brought our sport perky purifiers.
[01:07:00.000 --> 01:07:01.000]  What?
[01:07:02.000 --> 01:07:04.000]  Yeah, I know you're picky about not having pathogenic bacteria,
[01:07:05.000 --> 01:07:08.000]  organic chemicals, heavy metals or foul tastes and odors in the water,
[01:07:09.000 --> 01:07:11.000]  so I packed our sport perky purifiers.
[01:07:12.000 --> 01:07:14.000]  You know, this is a terrific cabin.
[01:07:15.000 --> 01:07:17.000]  And wow, have you noticed the beautiful weather?
[01:07:18.000 --> 01:07:21.000]  Don't ruin your vacation. Get a travel perky today for only $209
[01:07:21.000 --> 01:07:23.000]  or get a sport perky for only $39.
[01:07:24.000 --> 01:07:29.000]  Call 888-803-4438. That's 888-803-4438
[01:07:30.000 --> 01:07:32.000]  or order on the web at perkywater.com.
[01:07:33.000 --> 01:07:34.000]  Travel perky not available in Iowa.
[01:07:37.000 --> 01:07:41.000]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[01:07:42.000 --> 01:07:43.000]  Well, the glass has a natural resonance.
[01:07:44.000 --> 01:07:46.000]  If the resonant frequency force making the glass vibrate is big enough,
[01:07:47.000 --> 01:07:50.000]  the size of the vibration will become so large that the glass shatters.
[01:07:51.000 --> 01:07:56.000]  As a similar principle, Royal Raymond Rife discovered that disease organisms can be destroyed using different resonant frequencies.
[01:07:57.000 --> 01:08:04.000]  The BioSolutions frequency instrument uses the same technology for relief or elimination of pain and disease conditions with no side effects.
[01:08:05.000 --> 01:08:09.000]  The 2006 BioSolutions Plus is the easiest to operate frequency instrument ever developed.
[01:08:10.000 --> 01:08:13.000]  Its easy reference guide will allow you to begin using the instrument within minutes.
[01:08:14.000 --> 01:08:17.000]  Simple step-by-step instructions using pictures are easy to follow.
[01:08:18.000 --> 01:08:20.000]  Customer satisfaction is guaranteed or your money back.
[01:08:21.000 --> 01:08:22.000]  If you have any problems, call BioSolutions.
[01:08:23.000 --> 01:08:24.000]  Eliminate the cause.
[01:08:25.000 --> 01:08:27.000]  For more information, call BioSolutions toll-free 1-866-885-6625.
[01:08:28.000 --> 01:08:31.000]  That's 1-866-885-6625.
[01:08:32.000 --> 01:08:34.000]  1-866-885-6625.
[01:08:35.000 --> 01:08:37.000]  Ease the T-Rex of political talk.
[01:08:38.000 --> 01:08:41.000]  Alex Jones on the GCN Radio Network.
[01:08:42.000 --> 01:08:43.000]  Okay.
[01:08:44.000 --> 01:08:45.000]  And I'm not trying to attack Oprah Winfrey.
[01:08:46.000 --> 01:08:47.000]  She does some good stuff.
[01:08:48.000 --> 01:08:49.000]  My point is she pushes an agenda that's anti-male.
[01:08:49.000 --> 01:08:51.000]  Every show, men are basically bad.
[01:08:52.000 --> 01:08:53.000]  They abuse women. They're evil.
[01:08:54.000 --> 01:08:55.000]  And certainly there are bad men out there.
[01:08:56.000 --> 01:08:58.000]  But it goes back to the Romans.
[01:08:59.000 --> 01:09:01.000]  They would set the women up over the slaves, the slave women.
[01:09:02.000 --> 01:09:03.000]  They'd bring them into the house.
[01:09:04.000 --> 01:09:05.000]  They were the trusted people.
[01:09:06.000 --> 01:09:10.000]  And they told them in this culture, you suppress your own men for their own good so we don't punish them or flog them or kill them.
[01:09:11.000 --> 01:09:15.000]  And that moved into the plantations, the sugar cane plantations all over the Caribbean.
[01:09:15.000 --> 01:09:23.000]  Then those same Roman books were adapted, changed, put into English in the colonies and into the United States.
[01:09:24.000 --> 01:09:29.000]  And then in the 1960s, blacks are wanting their freedom, they're wanting equality.
[01:09:30.000 --> 01:09:31.000]  And what's the government do?
[01:09:32.000 --> 01:09:33.000]  Oh yeah, we'll help you.
[01:09:34.000 --> 01:09:35.000]  We'll give money to your women.
[01:09:36.000 --> 01:09:39.000]  And back then, you had very low black illegitimacy.
[01:09:40.000 --> 01:09:41.000]  Well, it was only like 30-something percent.
[01:09:42.000 --> 01:09:43.000]  Now it's over 90 percent.
[01:09:43.000 --> 01:09:45.000]  91 percent last time I checked.
[01:09:46.000 --> 01:09:51.000]  And pretty good in just 35 years because those numbers, it's been over 90 percent for over a decade now.
[01:09:52.000 --> 01:09:55.000]  Whites, by the way, now have over half illegitimacy.
[01:09:56.000 --> 01:09:58.000]  So they're doing a great job on whites as well.
[01:09:59.000 --> 01:10:01.000]  Social engineering works like a dandy.
[01:10:02.000 --> 01:10:05.000]  The government is, everybody always says the government's a bunch of buffoons and can't get anything right.
[01:10:06.000 --> 01:10:10.000]  They can shoot cruise missiles down chimneys when you put satellites up in orbit with perfect precision.
[01:10:11.000 --> 01:10:12.000]  What are you talking about?
[01:10:13.000 --> 01:10:16.000]  It's a little bureaucracy, you can't get anything done, but that's by design too.
[01:10:17.000 --> 01:10:18.000]  All right, but let me continue.
[01:10:19.000 --> 01:10:21.000]  So, it's called red tape.
[01:10:23.000 --> 01:10:28.000]  So they would bring black women into the house, but that wasn't just black women, that was an old Roman system.
[01:10:29.000 --> 01:10:31.000]  And they would set them up as the rulers and as the enforcers.
[01:10:32.000 --> 01:10:38.000]  And a black woman could walk with her back straight and her shoulders up.
[01:10:38.000 --> 01:10:43.000]  But black men would get beaten or attacked if they didn't look down at the ground.
[01:10:44.000 --> 01:10:49.000]  You know, 80-year-old men got called boy, they would stay in the barn, they weren't allowed to learn how to read.
[01:10:50.000 --> 01:10:51.000]  Nothing.
[01:10:52.000 --> 01:10:57.000]  And, of course, the black women, and this isn't all of them, but this is what the house black women, this was the,
[01:10:58.000 --> 01:11:01.000]  I mean, you've seen the old movies, you've read the old literature, you've read the old accounts,
[01:11:02.000 --> 01:11:06.000]  running around telling everybody what to do because they were put in positions of petty power.
[01:11:06.000 --> 01:11:08.000]  And that's what the cops are today.
[01:11:09.000 --> 01:11:13.000]  You know, because the cops think it's all for our own good, society's about to fall apart,
[01:11:14.000 --> 01:11:19.000]  which, yeah, because your bosses are engineering it and it's a thin blue line and we've got to defend the state and order
[01:11:20.000 --> 01:11:24.000]  and you've got to do all these things and treat everybody like slaves for their own good.
[01:11:27.000 --> 01:11:28.000]  That's all it is.
[01:11:29.000 --> 01:11:30.000]  That's all that's happening.
[01:11:31.000 --> 01:11:35.000]  This stuff was worked out a long time ago by empires and controllers and social engineers
[01:11:36.000 --> 01:11:41.000]  and complex cities and buildings and structures and aqueducts and charted the oceans.
[01:11:42.000 --> 01:11:47.000]  I mean, these elites developed all of this and now we're here in 2007 and it's pretty darn sophisticated.
[01:11:49.000 --> 01:11:50.000]  Very, very sophisticated.
[01:11:51.000 --> 01:12:02.000]  And so you look at black men today and you see extremely intelligent, upright, successful examples of black men out there,
[01:12:03.000 --> 01:12:08.000]  but then obviously you see the stereotypical and same in the whites now, pants hanging down around their ankles,
[01:12:09.000 --> 01:12:17.000]  walking around, you know, the media and the culture telling them it's cool to basically act like animals,
[01:12:18.000 --> 01:12:25.000]  to be stupid, to not be informed, to basically have a life of crime.
[01:12:26.000 --> 01:12:29.000]  And this is being sold, this hoodlumism.
[01:12:29.000 --> 01:12:34.000]  And you've got black mothers, you know, who have all these children.
[01:12:35.000 --> 01:12:36.000]  This is how they were raised.
[01:12:37.000 --> 01:12:42.000]  And the black men, I mean, I remember growing up, you know, suburb of Dallas,
[01:12:43.000 --> 01:12:51.000]  and I played football and other sports and I went to a school that I was about 25, 30 percent black
[01:12:52.000 --> 01:12:57.000]  and I tended to, you know, I had a lot of friends, but I tended to gravitate towards blacks.
[01:12:57.000 --> 01:12:58.000]  I mean, I was friends with blacks.
[01:12:59.000 --> 01:13:04.000]  And I went over to their houses on the weekend and I went on trips and, you know,
[01:13:05.000 --> 01:13:13.000]  and of course these were, you know, what you'd call, you know, you better behaved weren't in the hoodlum culture,
[01:13:14.000 --> 01:13:15.000]  but obviously I was around that.
[01:13:16.000 --> 01:13:17.000]  I mean, I've been, you know, in the middle of the inner city, you know,
[01:13:18.000 --> 01:13:24.000]  oh, I'm going to go into downtown or into far south Dallas with my friend who lives in Rockwall
[01:13:24.000 --> 01:13:29.000]  and, you know, I'd go spend the weekend in the projects in south Dallas, folks.
[01:13:30.000 --> 01:13:34.000]  You know, they're at the basketball courts and they're by the crack houses.
[01:13:35.000 --> 01:13:40.000]  That was an interesting experience growing up and my parents let me do it.
[01:13:41.000 --> 01:13:44.000]  But I guess it did add to my understanding of things.
[01:13:45.000 --> 01:13:52.000]  But, you know, witness police being paid off and stuff, I've seen a lot of things.
[01:13:52.000 --> 01:13:56.000]  But it was the same even in those families.
[01:13:57.000 --> 01:14:07.000]  The black woman was the boss in the house and my friend's fathers, they had jobs,
[01:14:08.000 --> 01:14:15.000]  but, you know, they gave the paycheck to her and they basically, it was almost encouraged that they be involved in alcoholism
[01:14:16.000 --> 01:14:21.000]  and, you know, there'd be two or three brothers and sisters and a couple of them would be hoodlums even in the better families.
[01:14:22.000 --> 01:14:28.000]  And I remember being at my black friends' houses where there weren't, where they were on welfare
[01:14:29.000 --> 01:14:37.000]  and I remember black women, black mothers who have an 18-year-old son, a 15-year-old son I was hanging out with and a daughter
[01:14:38.000 --> 01:14:45.000]  saying, you've got to go Leroy, you've got to go, the social worker might come by and you know you can't stay here.
[01:14:45.000 --> 01:14:52.000]  I mean the black fathers are not allowed to stay with their children.
[01:14:53.000 --> 01:15:02.000]  So a black lady called in earlier and wanted me to tell this story again and so I've told it, I think gone further than I ever have
[01:15:03.000 --> 01:15:08.000]  and that it tears my heart out to see them destroy the black community.
[01:15:08.000 --> 01:15:17.000]  It tears my heart out, my guts out to witness this type of thing.
[01:15:18.000 --> 01:15:29.000]  It hurts my feelings to know that from the time those coffin ships pulled up in Africa
[01:15:30.000 --> 01:15:36.000]  with the transatlantic slave trade kicking off 500 years ago and running through the mid-1800s
[01:15:36.000 --> 01:15:49.000]  and still today with the Arab slave traders, to know that on average half of the people died on the ship.
[01:15:50.000 --> 01:15:55.000]  They tended to not want too many older leadership type black males so they'd kind of give them an extra beating
[01:15:56.000 --> 01:16:01.000]  to ensure that they would die on the way over and that they got off the ship and from that time on
[01:16:01.000 --> 01:16:06.000]  they did everything they could to tear down their families, break down their culture and then they
[01:16:07.000 --> 01:16:11.000]  quote, have a great society and welfare which was absolutely designed to break up.
[01:16:12.000 --> 01:16:21.000]  I mean there were black businesses, blacks were becoming wealthy, blacks, and I'm not debating immigration, blacks did not want to integrate.
[01:16:22.000 --> 01:16:25.000]  They had their own cleaners, their own restaurants, their own doctors, their own societies.
[01:16:25.000 --> 01:16:30.000]  The establishment did not like the fact that there were millions of black people marching in suits and ties
[01:16:31.000 --> 01:16:34.000]  and that they were well spoken and that black illegitimacy was low.
[01:16:35.000 --> 01:16:39.000]  It was high compared to the white population but very low compared to what it is today, a fraction of it.
[01:16:40.000 --> 01:16:45.000]  And so they went in there with money and they went right back to the old slave system and they broke up those families
[01:16:46.000 --> 01:16:48.000]  and you see what you've got today.
[01:16:49.000 --> 01:16:54.000]  Any time an African country tries to get up on its feet, any time an African nation tries to mine its own gold or diamonds or oil,
[01:16:55.000 --> 01:17:01.000]  they get invaded, they get attacked, the globalists fund the country next door or fund some other group to invade.
[01:17:02.000 --> 01:17:08.000]  It just happened in Somalia again three weeks ago, two weeks ago, and this is the reality.
[01:17:09.000 --> 01:17:15.000]  So you ask ma'am and I've gone over and that's all verifiable, documented history.
[01:17:16.000 --> 01:17:18.000]  And there are smart, wonderful, great black women.
[01:17:19.000 --> 01:17:23.000]  I'm not here knocking black women but notice that the media, Hollywood, culture, it's never the strong black male,
[01:17:23.000 --> 01:17:26.000]  it's always the strong fountain of wisdom black woman.
[01:17:27.000 --> 01:17:33.000]  And they want that stereotype, they want to, well they do it with, it's like Aaron Russo got told by Nick Rockefeller
[01:17:34.000 --> 01:17:40.000]  but Gloria Steinem's admitted it now, one of her books, the CIA set up Ms. Magazine, ran the women's liberation movement
[01:17:41.000 --> 01:17:44.000]  because women were already getting mad wanting to have equal rights which is a good thing,
[01:17:45.000 --> 01:17:49.000]  but see they hijacked that movement and then used it to break up the family, turn women against men,
[01:17:49.000 --> 01:17:57.000]  get both of the people in the household paying taxes and working so the children could stay at school till four
[01:17:58.000 --> 01:18:01.000]  and now in many schools they're keeping them there till eight o'clock if quote the parents want them to
[01:18:02.000 --> 01:18:07.000]  so the parents can go to the gym and go to the bar and then they go pick the kids up at eight o'clock if they've had a few beers.
[01:18:08.000 --> 01:18:12.000]  Now they're talking about getting rid of summer vacation, cutting it down to a month.
[01:18:13.000 --> 01:18:17.000]  Again, China's done the same thing where they have factories built on to the middle schools and high schools
[01:18:17.000 --> 01:18:23.000]  and in some cases even with the fifth graders and you go to school four or five hours a day but just learning how to run the machines
[01:18:24.000 --> 01:18:32.000]  and you go right over next door to the firework factory or the tennis shoe factory or the microwave factory or the cell phone factory.
[01:18:33.000 --> 01:18:40.000]  Same thing, this is how they've engineered our society, this is how they operate
[01:18:40.000 --> 01:18:49.000]  and they now, again, 60% of, and I'm told the number is about to go up, of the college graduates are women,
[01:18:50.000 --> 01:18:57.000]  60% of the doctors are now going to be women and it's going to be pretty much all women as news anchors,
[01:18:58.000 --> 01:19:00.000]  it'll be women police chiefs and we will be their slaves.
