[00:00:13.618 --> 00:00:16.899]  Texas, broadcasting worldwide.
[00:25:52.518 --> 00:26:06.208]  So, there's conveyor belts, they're putting these in all over the place, that go down into these locked up cases, it goes down and gets what you want, an apple, a pack of razors, aspirin, tampons, whatever it is you want,
[00:26:07.651 --> 00:26:16.174]  And then the robot either goes and gets it on the ground or it goes and there's a conveyor belt that's on the ceiling that then takes it and drops it into your basket.
[00:26:16.174 --> 00:26:18.095]  No more checkers.
[00:26:18.095 --> 00:26:23.637]  And again, no one would have put up with this unless it's too dangerous to be there or to have a business.
[00:26:23.637 --> 00:26:25.537]  It'll be so dangerous you can't leave your house.
[00:26:25.537 --> 00:26:30.099]  So then a robot again has to deliver it to your door.
[00:26:30.099 --> 00:26:32.380]  It's all planned and it's all right here in articles I've got.
[00:26:35.282 --> 00:26:39.765]  They're making it a dystopia so you'll accept their so-called fix.
[00:26:39.765 --> 00:26:40.785]  Oh, we locked everything down.
[00:26:40.785 --> 00:26:41.626]  Take the shot.
[00:26:41.626 --> 00:26:42.667]  Oh, we locked everything down.
[00:26:42.667 --> 00:26:44.368]  The third world collapsed from starvation.
[00:26:44.368 --> 00:26:45.428]  Now they're coming here.
[00:26:45.428 --> 00:26:46.969]  John Kerry says it's global warming.
[00:26:46.969 --> 00:26:47.990]  That's why they're starving.
[00:26:47.990 --> 00:26:48.930]  No one's on record.
[00:26:48.930 --> 00:26:51.612]  The lockdowns are why they're starving.
[00:26:51.612 --> 00:26:55.354]  All planned, all designed, and we sit here and we take it like fools.
[00:26:55.354 --> 00:26:56.195]  Look at this.
[00:26:56.195 --> 00:26:56.755]  Exposed.
[00:26:56.755 --> 00:27:00.478]  How banks, investors make millions from police brutality bonds.
[00:27:01.394 --> 00:27:09.596]  Did you know governments per major city invest hundreds of millions instead of schools or hospitals or libraries or jogging paths or bike paths?
[00:27:09.596 --> 00:27:10.416]  No!
[00:27:10.416 --> 00:27:23.199]  In some cities up to 10% now it's higher of their budget is for police brutality bonds and it turns out city officials are actually invested in the police brutality bonds and they make money off these huge payouts of 50 million dollars.
[00:27:23.199 --> 00:27:27.240]  This is somebody who committed suicide in the jail cell.
[00:27:27.240 --> 00:27:30.641]  I've got more articles right here where they're proposing in San Francisco
[00:27:31.929 --> 00:27:38.372]  And in Chicago, turning all these empty office buildings into government-assisted housing.
[00:27:38.372 --> 00:27:42.053]  But it'll be run by corporations, and it'll be part of your universal basic income.
[00:27:42.053 --> 00:27:46.135]  But to get you to accept it, you've got to have all your jobs taken.
[00:27:46.135 --> 00:27:48.136]  But then who's going to supply you with the food?
[00:27:48.136 --> 00:27:49.276]  Oh, don't worry!
[00:27:49.276 --> 00:27:49.936]  From the U.S.
[00:27:49.936 --> 00:27:55.058]  to Canada, to the Netherlands, to Australia, they're shutting off a large part of the farms.
[00:27:55.058 --> 00:28:00.461]  And John Kerry said last week, because farms are killing the earth, we've got to shut down farms to stop starvation.
[00:28:01.721 --> 00:28:05.346]  That's right, you gotta chop your head off so you don't bleed to death.
[00:28:05.346 --> 00:28:06.828]  And they're just doing it!
[00:28:06.828 --> 00:28:10.934]  Total assault because we are a lost people.
[00:28:11.943 --> 00:28:36.239]  We've been born into the technology, into running water, electricity, our houses, food abundance, and we just think it's always going to be there, and it's all being incrementally taken away from you and replaced with things that don't work, that aren't designed to fulfill, but they make you think you're going to be fulfilled, they make you think you're a leader, they make you think you've got the answers, but you've been led into the deeper level of control as the noose gets tighter each time.
[00:28:40.091 --> 00:28:49.754]  All right, our special guest, best-selling author, researcher, will be joining us, Kit Eken-Lively, and then Judy Mikovits as well, the doctor, in the second hour.
[00:28:49.754 --> 00:28:51.274]  We've got so much to hit.
[00:28:51.274 --> 00:28:53.775]  I've only scratched the surface of what we're hitting.
[00:28:53.775 --> 00:28:56.136]  Turns out Hillary Clinton's funding all these environmentalist terror groups.
[00:28:56.136 --> 00:28:57.156]  We've got that news as well.
[00:28:57.156 --> 00:28:57.476]  Stay with us.
[00:28:59.691 --> 00:29:13.078]  Sold out for more than a year, we now have back in stock a limited run of our extremely popular Tooth Whitening Coral Calcium Toothpaste, full of essential oils, back in stock and info at warstore.com.
[00:29:13.078 --> 00:29:19.041]  Another great product, sold out for almost a year, is our Activated Charcoal Essential Oil Toothpaste as well.
[00:29:19.321 --> 00:29:25.590]  These are both incredible for your gums, polish your teeth, amazing to counter gingivitis, and they fund the M4.
[00:29:25.590 --> 00:29:28.154]  There are no fillers in these products.
[00:29:28.154 --> 00:29:35.445]  These are fluoride-free, next-level toothpaste, 10,000 of each tube, limited run, available exclusively
[00:29:35.805 --> 00:29:36.125]  Thank you.
[00:29:59.574 --> 00:30:06.239]  They decided to not perp walking, not put him in handcuffs, not do a mug shot, because they knew that that would help Trump.
[00:30:06.239 --> 00:30:08.160]  Didn't they know this would backfire?
[00:30:08.160 --> 00:30:09.681]  We were waiting for the mug shot.
[00:30:09.681 --> 00:30:12.463]  We learned today they wouldn't have it, so we've made our own.
[00:30:12.463 --> 00:30:14.485]  And it says political prisoner.
[00:30:15.265 --> 00:30:17.226]  With an image of President Trump.
[00:30:17.226 --> 00:30:19.688]  The shirt is being printed now in Texas.
[00:30:19.688 --> 00:30:21.809]  It'll be shipping out to you in one week.
[00:30:21.809 --> 00:30:27.192]  Political prisoner with Trump on the front there in a mug shot.
[00:30:27.192 --> 00:30:28.413]  Jail background.
[00:30:28.413 --> 00:30:29.453]  It's a fundraiser shirt.
[00:30:29.453 --> 00:30:33.596]  It says InfoWars.com on the back of the shirt.
[00:30:33.596 --> 00:30:35.197]  We also have Alex Jones for President.
[00:30:35.197 --> 00:30:36.217]  No, I'm not running for President.
[00:30:36.217 --> 00:30:38.759]  It's a really nice navy blue, high quality shirt.
[00:30:38.759 --> 00:30:39.539]  Red, white, and blue.
[00:30:39.539 --> 00:30:40.420]  Alex Jones for President.
[00:30:40.780 --> 00:30:43.964]  Win 24, it's a fun conversational piece and a limited edition shirt.
[00:30:43.964 --> 00:30:45.846]  Great way to fund the operation.
[00:30:45.846 --> 00:30:55.278]  So get your Alex Jones for President and Trump mugshot shirts at infowarestore.com or by calling toll-free, AAA, 253-3139.
[00:30:59.229 --> 00:31:04.934]  Hydrofluorosilicic acid is the third most deadly acid on Earth.
[00:31:04.934 --> 00:31:07.616]  And they've got our children drinking that.
[00:31:07.616 --> 00:31:10.238]  This is a psychotic death cult.
[00:31:10.238 --> 00:31:10.978]  Period.
[00:31:10.978 --> 00:31:12.079]  Case closed.
[00:31:12.079 --> 00:31:13.460]  Out to get you and your family.
[00:31:13.460 --> 00:31:13.921]  We sell.
[00:31:14.441 --> 00:31:21.726]  The Alexa Pure Breeze, made by the My Patriot Supply Ready Hour Group, that's been around about 15 years, became the biggest company in the last six.
[00:31:21.726 --> 00:31:29.291]  They went out, hired engineers, reverse engineered the fancy best water filter system out there that sells for twice the price, and they made it as good
[00:31:30.111 --> 00:31:34.474]  In all the studies, it reduces things to non-detectable levels, thousands of chemicals.
[00:31:34.474 --> 00:31:36.015]  But you can go pay two or three times.
[00:31:36.015 --> 00:31:38.816]  There's four or five other filters out there that are just as good.
[00:31:38.816 --> 00:31:44.040]  We sell the very best, highest-grade water filtration system for half the price of a leading competitor.
[00:31:44.040 --> 00:31:49.523]  And the media says we're bad and a cult for telling you you should filter your water.
[00:31:49.523 --> 00:31:51.164]  You should also filter your shower water.
[00:31:51.164 --> 00:31:52.745]  That's another way you absorb this crap.
[00:31:52.745 --> 00:31:54.286]  But I'm done talking about that.
[00:31:54.286 --> 00:31:56.868]  The point is, you can get the filters at InfoWareStore.com.
[00:31:56.868 --> 00:31:58.068]  They're discounted right now.
[00:31:58.068 --> 00:31:58.769]  Finally back in stock.
[00:31:59.389 --> 00:32:05.392]  Just weeks ago, I warned the world that the globalists were going to move against Tucker Carlson and take him off the air.
[00:32:05.392 --> 00:32:08.034]  People said, no way, he's the most powerful thing that ever happened.
[00:32:08.034 --> 00:32:10.235]  They've got quadrillions of stolen money.
[00:32:10.235 --> 00:32:12.817]  They only had Tucker Carlson on the air because they believed they could control him.
[00:32:12.817 --> 00:32:16.038]  But as soon as they figured out they couldn't, he was taken off the air.
[00:32:16.038 --> 00:32:17.799]  It's the same thing with InfoWars.
[00:32:17.799 --> 00:32:24.423]  But InfoWars is not owned by Fox, or controlled by George Soros, or owned by Spotify like Joe Rogan.
[00:32:24.423 --> 00:32:27.225]  We are only beholden to our viewers and our listeners.
[00:32:28.191 --> 00:32:30.292]  And when you support us, we're unstoppable.
[00:32:30.292 --> 00:32:34.936]  I'm not underwritten by Rupert Murdoch or by George Soros.
[00:32:34.936 --> 00:32:38.658]  I'm underwritten by you, which is we the people.
[00:32:38.658 --> 00:32:41.780]  So I want to thank you for your support and encourage your listeners to understand.
[00:32:41.780 --> 00:32:44.342]  Please don't take InfoWars for granted.
[00:32:44.342 --> 00:32:45.703]  We're barely hanging on.
[00:32:45.703 --> 00:32:51.487]  We need your word of mouth, your prayer, your financial support while getting great products at the same time at InfoWarsStore.com.
[00:32:51.487 --> 00:32:52.847]  So don't procrastinate.
[00:32:52.847 --> 00:32:54.168]  Go to InfoWarsStore.com.
[00:32:54.168 --> 00:32:58.111]  Get amazing products that keep us on the air and never submit to these tyrants.
[00:32:58.131 --> 00:33:01.193]  Yes.
[00:33:01.193 --> 00:33:18.804]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[00:33:18.804 --> 00:33:23.727]  Crashing through the lies and disinformation, it's Alex Jones.
[00:33:36.089 --> 00:33:42.132]  Well, a lot of people come up to me, especially at this massive movie premiere last night, and say, thank you for being persecuted for the truth.
[00:33:42.132 --> 00:33:43.053]  Thank you for all you've done.
[00:33:43.053 --> 00:33:46.755]  And every time they do it, I look at them and I say, listen,
[00:33:48.447 --> 00:34:01.439]  What I've been through is nothing compared to people like Julian Assange and so many others that have been locked up in solitary confinement, in some cases even killed for telling the truth.
[00:34:01.439 --> 00:34:11.068]  And things are going to get a lot worse for everybody if we at some point don't begin to understand we've got a real case of tyranny coming down against humanity right now.
[00:34:12.688 --> 00:34:18.533]  And talking about Dr. Judy Michalich, that's going to be joining us in studio with Kent Hechenleible in the next hour.
[00:34:18.533 --> 00:34:20.035]  Kent's here right now.
[00:34:20.035 --> 00:34:26.200]  She was put in jail by Fauci for exposing him and has been totally vindicated.
[00:34:26.200 --> 00:34:33.346]  And I didn't even know, or I'd forgotten, that Mickey Willis, who's a really good friend of mine now, I really respect him, he's got a great soul, a smart guy.
[00:34:34.175 --> 00:34:45.078]  That his brother got HIV and they gave him AZT and it killed him, which we know Fauci knew was killing people, just like Rendezivir does with COVID.
[00:34:45.078 --> 00:34:47.359]  So, man, talk about skin in the game.
[00:34:47.359 --> 00:34:53.081]  All the persecution I've gone through, it's not as bad as what happened to Mickey Willis and his family.
[00:34:53.081 --> 00:34:56.542]  Now, my grandmother was told, back in the mid 1950s,
[00:34:58.646 --> 00:35:00.327]  My mother was four years old.
[00:35:00.327 --> 00:35:03.108]  She got the first round of the polio shot.
[00:35:03.108 --> 00:35:07.669]  Then they gave her the live polio shot that you take in your mouth.
[00:35:07.669 --> 00:35:11.351]  And her doctor, when she got polio a week later, got paralyzed and almost died.
[00:35:11.351 --> 00:35:14.292]  She lived to 92, though, but was in a wheelchair most of the time.
[00:35:14.292 --> 00:35:14.772]  Tough lady.
[00:35:14.772 --> 00:35:20.794]  She'd get up in crutches and do a lot of work, but usually get in a wheelchair if she was going somewhere because she couldn't walk more than 100 yards with crutches.
[00:35:20.794 --> 00:35:22.475]  It ate up half the nerves in her body.
[00:35:23.815 --> 00:35:28.599]  Uh, and, uh, the point is, is that her doctor told her, sorry, Benny.
[00:35:28.599 --> 00:35:30.260]  It was Benny Grace Hammond.
[00:35:30.260 --> 00:35:35.524]  Sorry, Benny Grace, you got this from the vaccine, which they now admit.
[00:35:35.524 --> 00:35:38.886]  And now they admit the number one cause of polio worldwide is Bill Gates's vaccine.
[00:35:38.886 --> 00:35:39.507]  That's Reuters.
[00:35:39.907 --> 00:35:40.848]  That's AP.
[00:35:40.848 --> 00:35:43.029]  So what's crazy is this stuff is hidden in plain view.
[00:35:43.029 --> 00:35:47.612]  So we know that great evil, that great depopulation, that great reset is happening.
[00:35:47.612 --> 00:35:48.913]  It's been going on a long time.
[00:35:48.913 --> 00:35:49.713]  Shocked the inventor.
[00:35:49.713 --> 00:35:50.634]  Joked about his vaccine.
[00:35:50.634 --> 00:35:52.015]  Gave him a bunch of people polio.
[00:35:52.015 --> 00:35:53.636]  Said, oh, it's okay, there's too many people.
[00:35:53.636 --> 00:35:55.397]  Look up the quote.
[00:35:55.397 --> 00:35:57.518]  It's even on Boston PBS.
[00:35:57.518 --> 00:36:00.220]  His deputy admitting he did say that and made jokes about it.
[00:36:00.220 --> 00:36:01.741]  Those are quotes in magazines.
[00:36:01.741 --> 00:36:05.523]  You gotta read Prince Charles saying he wants to kill the majority of us or Prince Philip.
[00:36:05.523 --> 00:36:06.804]  You gotta look this stuff up.
[00:36:07.708 --> 00:36:08.568]  Yeah, there's AP.
[00:36:08.568 --> 00:36:11.169]  More polio cases now caused by vaccine than by wild virus.
[00:36:11.169 --> 00:36:14.910]  Okay, so this isn't a game, alright?
[00:36:14.910 --> 00:36:16.831]  Mickey Willis' brother got killed by these people.
[00:36:16.831 --> 00:36:20.212]  My grandmother got maimed for much of her beautiful life by it.
[00:36:20.212 --> 00:36:20.892]  This is big.
[00:36:20.892 --> 00:36:21.972]  This is serious.
[00:36:21.972 --> 00:36:23.493]  So we know about their great tyranny.
[00:36:23.493 --> 00:36:27.354]  So why have I been calling it for many, many years, the Great Awakening?
[00:36:28.066 --> 00:36:29.627]  And I'm getting a lot of people asking, what does that mean?
[00:36:29.627 --> 00:36:36.513]  Well, there have been a lot of great awakenings throughout history, and they called the Greeks and the Egyptians a great awakening of civilization.
[00:36:36.513 --> 00:36:41.516]  And then you have the Protestant Reformation, they call, you know, as the first great awakening, the second, the third.
[00:36:41.516 --> 00:36:55.627]  Then you had blacks and white abolitionists after that great awakening, the 1700s, the 1800s, saying, we're not going to have human slavery anymore, and leading the fight against slavery, starting in England, against the slave trade worldwide, and then against slavery here in the United States in the Civil War.
[00:36:56.408 --> 00:37:00.112]  And so that was the third great awakening.
[00:37:00.112 --> 00:37:01.133]  But there have been others.
[00:37:01.133 --> 00:37:11.263]  And depending on how you look at it, even before the, quote, first, the 1730s, the big Protestant awakening, you have the great awakening of the beginning of the Renaissance, the Gutenberg Press, and the printing press.
[00:37:11.263 --> 00:37:18.010]  And so I'm not saying this is an anti-Catholic movement, because seeing it as a great awakening, that was against the power and the stagnation of that time.
[00:37:18.590 --> 00:37:24.313]  The Great Awakening today is about fighting the New World Order and the entire globalist program and bringing in a new renaissance.
[00:37:24.313 --> 00:37:25.653]  So Kent Hecken-Lively's here.
[00:37:25.653 --> 00:37:30.595]  I'm not going to go over his whole bio, but he is a prolific writer, a top writer.
[00:37:30.595 --> 00:37:32.556]  KentHeckenLivelyBooks.com.
[00:37:32.556 --> 00:37:34.697]  He's written so many, I won't even try to go over them all.
[00:37:34.697 --> 00:37:36.958]  And he helped me write The Great Reset and The War for the World.
[00:37:36.958 --> 00:37:38.039]  We're working together right now.
[00:37:38.579 --> 00:37:44.864]  Intently, every day, on the new book that we're going to announce here today, and that is The Great Awakening.
[00:37:44.864 --> 00:37:47.967]  And he's here to give you the full breakdown on that.
[00:37:47.967 --> 00:37:50.128]  It's up on Infowars.com live show feed.
[00:37:50.128 --> 00:37:54.872]  The Great Awakening, defeating the globalists and launching the next great renaissance.
[00:37:54.872 --> 00:38:03.919]  He's got a bunch of other points he wants to go over as well, but for anybody wondering where The Great Awakening came from, that is a term used in association for over 500 years with the renaissance.
[00:38:03.919 --> 00:38:05.560]  It is not a cue thing.
[00:38:05.560 --> 00:38:07.262]  I notice the cue cards are out there.
[00:38:08.062 --> 00:38:12.507]  Attacking Mickey Willis in his movie saying, you know, oh that's something JFK Jr.
[00:38:12.507 --> 00:38:14.609]  invented and all this cuckoo land stuff.
[00:38:14.609 --> 00:38:17.331]  Great Awakening means the fight against tyranny.
[00:38:17.331 --> 00:38:18.973]  Humanity waking up.
[00:38:18.973 --> 00:38:20.494]  The Renaissance.
[00:38:20.494 --> 00:38:21.215]  I don't own it.
[00:38:21.215 --> 00:38:22.896]  You don't own it.
[00:38:22.896 --> 00:38:23.697]  No one owns it.
[00:38:23.697 --> 00:38:26.820]  It's about us waking up and saying no to the system.
[00:38:26.820 --> 00:38:30.464]  That's why I just gave you some background on what the Great Awakening means and that's why without even thinking
[00:38:31.798 --> 00:38:34.722]  Six months ago, five months ago, we had the idea for The Great Awakening.
[00:38:34.722 --> 00:38:38.187]  Mickey Willis was in there a few months ago saying, please help me promote a new film, The Great Awakening.
[00:38:38.187 --> 00:38:39.249]  We're not in competition.
[00:38:39.249 --> 00:38:41.552]  We're all in The Great Awakening.
[00:38:41.552 --> 00:38:44.617]  It's our movement, ladies and gentlemen, the human movement.
[00:38:45.353 --> 00:38:47.115]  A quest for a pro-human future.
[00:38:47.115 --> 00:38:48.916]  So Kent, congratulations on all your great work.
[00:38:48.916 --> 00:38:50.297]  Incredible premiere last night.
[00:38:50.297 --> 00:38:57.584]  We should probably talk some about that and then get into just what this renaissance book means to you.
[00:38:57.584 --> 00:39:06.071]  And we're going to talk about your book, The Plague of Corruption, that helped lead to Mickey Willis's first pandemic film and just so much of this renaissance we've seen.
[00:39:06.071 --> 00:39:06.391]  Yeah.
[00:39:06.391 --> 00:39:08.513]  So it's really great to be here, Alex.
[00:39:08.513 --> 00:39:12.336]  And I think we've got to take a moment and celebrate
[00:39:13.393 --> 00:39:16.634]  Chuck Todd's resignation from Meet the Press.
[00:39:16.634 --> 00:39:17.254]  Yes!
[00:39:17.254 --> 00:39:39.802]  Chuck Todd has been my nemesis, because on May 17th, 2020, when this book, Plague of Corruption, and Mickey Willis's 26-minute plannedemic video that I wrote the opening narrative for, was screaming up the charts, Chuck Todd did an unconscionable five-minute segment
[00:39:40.302 --> 00:39:56.832]  Where he never mentioned the name of the book but he talked about conspiracy theories and he talked about this book and this video and he had somebody on from the Stanford Research Institute talking about the kindling of conspiracy theories.
[00:39:56.832 --> 00:40:05.296]  So I think Chuck Todd is one of the most reprehensible people in all of broadcasting and I celebrate his resignation.
[00:40:05.296 --> 00:40:07.778]  I hope he goes and spends time with his family.
[00:40:08.158 --> 00:40:10.319]  And never shows his face again in public.
[00:40:10.319 --> 00:40:13.341]  So, we got to celebrate the victories when they come, Alex.
[00:40:13.341 --> 00:40:15.041]  Well, they're all dropping like flies.
[00:40:15.041 --> 00:40:19.123]  I mean, populist pro-human media is exploding despite censorship.
[00:40:19.123 --> 00:40:22.045]  And then everything they do turns to pure crap.
[00:40:22.045 --> 00:40:25.026]  I mean, CNN has 100,000 viewers on average now.
[00:40:25.026 --> 00:40:26.947]  They have headlines about, can it be revived?
[00:40:26.947 --> 00:40:28.408]  No way, it's over.
[00:40:28.408 --> 00:40:30.209]  It's, it's, it's, it's, they've lost.
[00:40:30.609 --> 00:40:38.597]  Yeah, and you know, one of the books that I wrote was called This Was CNN with Project Veritas whistleblower, Kerry Porch.
[00:40:38.597 --> 00:40:46.464]  And Kerry Porch entered CNN as a Bernie Sanders supporter, and the first job that he went and worked
[00:40:46.884 --> 00:40:51.009]  The first job that he went and worked was the Charlottesville riots.
[00:40:51.009 --> 00:41:05.746]  And so he saw what President Trump had said, and then he saw how CNN just completely changed the meaning, cut it up, edited it, and he went from a Bernie Sanders supporter to working for Project Veritas,
[00:41:06.586 --> 00:41:21.638]  Showing all of the bias at the at CNN and what we did in our book was we also found that more than 21 top employees at CNN had intelligence experience.
[00:41:21.638 --> 00:41:30.365]  So when you wonder why the news that you're getting doesn't seem to reflect reality, I always say, you know, you're getting the intelligence news network.
[00:41:30.365 --> 00:41:32.387]  That's what's happening with our media.
[00:41:32.947 --> 00:41:40.250]  When they started it in the early 1980s, it was CIA funded, run, and used military satellites from the beginning.
[00:41:40.250 --> 00:41:41.450]  So that's how they were able to do it.
[00:41:41.450 --> 00:41:44.291]  There were not TV satellites for that type of thing for cable then.
[00:41:44.291 --> 00:41:45.672]  They used Pentagon satellites.
[00:41:45.672 --> 00:41:56.296]  Yeah, and you know another thing that we found out was that they have this incredible digital intelligence group of more than 220 employees, and when I talked to top experts
[00:41:56.896 --> 00:41:58.217]  And again, Obama legalized...
[00:42:23.976 --> 00:42:30.641]  Two years in his office, through congressional legislation, lying to the American people, using domestic propaganda.
[00:42:30.641 --> 00:42:32.802]  We're going to skip this break, guys.
[00:42:32.802 --> 00:42:34.003]  Yeah.
[00:42:34.003 --> 00:42:37.485]  So, yeah, Alex is called the Global Engagement Center.
[00:42:37.485 --> 00:42:43.930]  Now this is what the government does when they want to pass something which is, you know, inconceivable.
[00:42:45.805 --> 00:42:57.695]  Fun little name, like who doesn't want a global engagement center, but you go and you look at the details behind it and you find out that it allows them to lie to the people of the United States.
[00:42:57.695 --> 00:43:12.648]  The first iteration of it had all of these protections, it was just supposed to be against the Islamic State, it was just going to be against China and Russia, and you know, a year or two later they come out with an amendment and it allows them to go against any foreign
[00:43:14.129 --> 00:43:16.851]  Anybody they claim that's echoing foreign propaganda.
[00:43:16.851 --> 00:43:26.399]  So if you wonder with no proof why they would say I'm a Russian agent or Trump is, which I know all of it was a fraud, and the CIA even covered its ass with internal reports saying it was a lie they won.
[00:43:26.399 --> 00:43:30.583]  But they allowed it all to happen against us because we were actually the loyal Americans.
[00:43:30.583 --> 00:43:33.886]  So again, China is the big anti-American player.
[00:43:33.886 --> 00:43:37.229]  But if you look at the globalists, they're more in control of America and allied with China.
[00:43:37.529 --> 00:43:48.298]  Yeah, and you know, one of the things that I think is, that I've run across in our new book, The Great Awakening, is the fact that it used to be in America, when you criticize the government,
[00:43:48.996 --> 00:43:51.057]  You were a patriot.
[00:43:51.057 --> 00:44:00.383]  Harry Truman, during the midst of World War II, had the Truman Commission, which looked at waste, fraud, and abuse in the military budget.
[00:44:00.383 --> 00:44:06.207]  And he was a hero, and that is the reason that FDR put him on the ticket in 1944.
[00:44:06.207 --> 00:44:13.812]  And so I say to myself, how can it be that in the midst of World War II, nobody called Harry Truman
[00:44:14.352 --> 00:44:15.954]  Well, let's expand on that.
[00:44:30.444 --> 00:44:40.949]  Look at what's happening with Pfizer and Moderna and the hundred plus billion dollars, last time I checked, that Pfizer made, Moderna, it was like $25 billion.
[00:44:40.949 --> 00:44:42.209]  Beck, crew, look up the latest numbers.
[00:44:42.209 --> 00:44:46.331]  What's the current number on what Pfizer and then Moderna made?
[00:44:46.331 --> 00:44:50.773]  It's over $100 billion on Pfizer and something like, I think, $20 billion last time I checked on Moderna.
[00:44:50.773 --> 00:44:53.254]  But it's the exact same shot developed by the Pentagon.
[00:44:53.254 --> 00:44:55.315]  They had them then manufacture it.
[00:44:55.315 --> 00:44:56.376]  All this started under Obama.
[00:44:57.296 --> 00:45:02.221]  And then if you questioned them, they would send out the CIA and Justice Department behind the scenes to silence you.
[00:45:02.221 --> 00:45:08.547]  Since when do we not want watchdogs, right or wrong, asking questions about something they're trying to mandate and make us take?
[00:45:08.547 --> 00:45:09.308]  That's just crazy.
[00:45:09.308 --> 00:45:15.374]  And then Niels deGrasse Tyson, we'll play the clip next hour, gets up and says, science is not questioning the consensus.
[00:45:15.374 --> 00:45:20.479]  Well, the consensus is some corporate board and censorship telling you it's a consensus.
[00:45:20.479 --> 00:45:21.399]  You should question it.
[00:45:22.300 --> 00:45:25.063]  Even if somebody says the moon is made of cheese, they don't get censored.
[00:45:25.063 --> 00:45:25.843]  They have a right.
[00:45:25.843 --> 00:45:27.384]  The consensus is not made of cheese.
[00:45:27.384 --> 00:45:28.565]  We know it's not made of cheese.
[00:45:28.565 --> 00:45:31.187]  But still, let the crazies have their rights or we lose ours.
[00:45:31.187 --> 00:45:33.189]  But we weren't the crazies on the shots.
[00:45:33.189 --> 00:45:39.134]  We had the top scientists from places like Pfizer that went public saying it will make you have a heart attack and die.
[00:45:39.134 --> 00:45:40.195]  We tested this before.
[00:45:40.195 --> 00:45:44.298]  Dr. Michael Yeenon, the inventor of mRNA, Robert Malone.
[00:45:44.298 --> 00:45:48.942]  So we had the experts and Tyson goes, I don't listen to prestigious individuals.
[00:45:48.942 --> 00:45:49.182]  Really?
[00:45:50.353 --> 00:45:53.334]  Well, do you not listen to Rosa Parks that refuses to sit at the back of the bus?
[00:45:53.334 --> 00:46:01.435]  I mean, this idea that we don't have individuals, most of our major scientific achievement and development comes from challenging the orthodoxy as we learn more.
[00:46:01.435 --> 00:46:02.516]  You're a science teacher.
[00:46:02.516 --> 00:46:03.676]  Can you explain this to them?
[00:46:03.676 --> 00:46:05.716]  Yeah, well, you know, here's the thing.
[00:46:05.716 --> 00:46:12.618]  So, you know, I've written four books with Dr. Judy Mikevich, who's really one of the most brilliant individuals I've ever come across.
[00:46:12.998 --> 00:46:17.079]  But, you know, I can see how people could say she's outside the establishment, okay?
[00:46:17.079 --> 00:46:18.480]  She's a renegade, okay?
[00:46:18.480 --> 00:46:31.443]  So I wrote a book called Presidential Takedown with Dr. Paul Alexander, who was the senior pandemic advisor during COVID from approximately May of 2020 to September of 2020.
[00:46:31.443 --> 00:46:34.504]  And the story he told was terrifying.
[00:46:34.504 --> 00:46:37.345]  So, you know, for those of us who are on the outside of government,
[00:46:37.725 --> 00:46:39.546]  You know, and we think all these things.
[00:46:39.546 --> 00:46:56.038]  Well, in talking to him, who is an insider, it was terrifying, because he was one floor below Project Warp Speed, and so he was often interacting with those scientists, and they would tell him how scared they were of the shots.
[00:46:56.038 --> 00:47:03.363]  He would say, and in looking who was in charge, he said, okay, there were government scientists there, there were corporate scientists,
[00:47:03.863 --> 00:47:06.145]  There were intelligence people there.
[00:47:06.145 --> 00:47:21.414]  And he said, you know, as I was trying to figure out who was really in charge of Warp Speed, it really seemed like the big pharma representatives were telling the intelligence agencies and the government scientists what to do.
[00:47:21.414 --> 00:47:23.075]  So, I mean, that's an insider.
[00:47:23.075 --> 00:47:27.677]  And, you know, I asked him a lot of tough questions about, you know, what do you think was going on?
[00:47:27.677 --> 00:47:29.459]  You know, why did Trump not do this?
[00:47:29.459 --> 00:47:33.081]  And he said, you know, even in the inside, they were saying, you know, that he
[00:47:34.301 --> 00:47:41.043]  They speculated that there were threats against Trump's children, against Trump himself.
[00:47:41.043 --> 00:47:44.784]  Well, in December of 2019, they had the emergency U.N.
[00:47:44.784 --> 00:47:47.505]  meeting in Switzerland of the U.N.
[00:47:47.505 --> 00:47:48.825]  body over vaccines.
[00:47:48.825 --> 00:47:50.226]  And the deputy head of the WHO.
[00:47:50.226 --> 00:47:52.386]  And she said, hey, our doctors are faltering.
[00:47:52.386 --> 00:47:53.907]  The shots worldwide are killing people.
[00:47:53.907 --> 00:47:55.687]  The polio shots are killing people.
[00:47:55.687 --> 00:47:56.907]  We showed AP earlier.
[00:47:56.907 --> 00:47:58.508]  And she said, we've got to do something.
[00:47:58.508 --> 00:47:59.868]  We're not testing any of this.
[00:47:59.868 --> 00:48:01.629]  Big Pharma tells us what to do.
[00:48:01.629 --> 00:48:02.409]  We're not in charge.
[00:48:03.209 --> 00:48:14.916]  As she was speaking, they'd already released COVID to create such a new big story, it would cover up the fact that the UN itself, and I made a big deal about this in December 2019, now three and a half, four years ago.
[00:48:14.916 --> 00:48:18.298]  And we made a huge deal here, but no one paid attention to it.
[00:48:18.298 --> 00:48:23.362]  It's a two-day conference with the head of the vaccine program saying, we don't know what's in it.
[00:48:23.362 --> 00:48:26.303]  This is before, before the mRNA.
[00:48:26.303 --> 00:48:29.806]  So they were collapsing at that point, so they had to have a bigger crisis.
