[00:00:00.149 --> 00:00:01.549]  EANS.
[00:44:11.947 --> 00:44:23.095]  No, it's 3,600 are injected in in the last week and a half and 24 were killed on Saturday.
[00:44:23.095 --> 00:44:24.556]  3 were killed on Sunday.
[00:44:24.556 --> 00:44:29.559]  And if it follows rule of thumb, it's much higher than that.
[00:44:29.559 --> 00:44:34.783]  They don't count those again that die being flown out of the country to Germany, to England.
[00:44:35.427 --> 00:44:37.748]  To the hospitals.
[00:44:37.748 --> 00:44:38.689]  You gotta die in country.
[00:44:38.689 --> 00:44:40.249]  You gotta die within a day.
[00:44:40.249 --> 00:44:42.731]  They don't count it as a combat death.
[00:44:42.731 --> 00:44:46.332]  They count it as complications.
[00:44:46.332 --> 00:44:47.973]  Think about that deception.
[00:44:47.973 --> 00:44:48.714]  Well over 10,000.
[00:44:48.714 --> 00:44:50.014]  Not 3,000.
[00:44:50.014 --> 00:44:54.637]  They lie about everything.
[00:44:54.637 --> 00:45:02.501]  And the new plan is in Baghdad alone, and in one other city, to have 16 to 21 additional substations
[00:45:06.284 --> 00:45:28.944]  Undefended, they're getting them outside the green zone, outside the armored walls, because they can't even hold the roads now to those armored compounds, in their fortress medieval defense strategy, their bunkered mentality, and now they've stuck the troops, they've started sticking in Baghdad, the troops in those substations.
[00:45:31.013 --> 00:45:32.693]  We don't know the real number, they say 16 and 21.
[00:45:32.693 --> 00:45:35.634]  First it was 16, now it's 21 substations.
[00:45:35.634 --> 00:45:43.076]  Every former general, even those that are pro-war neocons, have said this is an insane strategy.
[00:45:43.076 --> 00:45:44.236]  It's nuts.
[00:45:44.236 --> 00:45:53.599]  You stick troops in undefended facilities all over the city and make them do patrols in the most dangerous areas, you're going to get more troops killed.
[00:45:53.599 --> 00:45:58.020]  And it's going to do absolutely nothing.
[00:45:58.020 --> 00:45:58.700]  But escalate.
[00:46:00.552 --> 00:46:01.153]  That's what they want.
[00:46:01.153 --> 00:46:09.139]  They want to escalate it into civil war, and then expand the civil war into Iran and Syria, and get us into World War III.
[00:46:09.139 --> 00:46:26.732]  And now the Korean Times is reporting, and top State Department officials have gone public saying, that they plan to hit hundreds of sites in Iran, go into the west of Iran, and have a full-scale war to destabilize the region even further.
[00:46:26.732 --> 00:46:27.993]  It's off the charts.
[00:46:28.971 --> 00:46:46.621]  And for all those that are still pro-war, that 22%, even if you're for this war, stop thinking that just because you're for it, that continues it, and quit thinking you're part of the power process, and realize that the majority of Americans don't want the war.
[00:46:46.621 --> 00:46:47.902]  It wasn't declared properly.
[00:46:47.902 --> 00:46:48.442]  It's illegal.
[00:46:48.442 --> 00:46:55.767]  We were taken there with premeditated lies, showing if this is a supposed free country, how can we then be there if the people don't want it?
[00:46:55.767 --> 00:46:57.067]  How is that a good thing?
[00:46:57.067 --> 00:46:58.048]  Oh, you know best.
[00:47:00.012 --> 00:47:01.593]  So now you say lies are good.
[00:47:01.593 --> 00:47:04.295]  Lie to the American people premeditatively about WMDs.
[00:47:04.295 --> 00:47:06.017]  Talk about staging their discovery.
[00:47:06.017 --> 00:47:07.838]  White House and Downing Street memos.
[00:47:07.838 --> 00:47:09.460]  So you're now for lying.
[00:47:09.460 --> 00:47:11.041]  Lying about how long they'd be there.
[00:47:11.041 --> 00:47:14.003]  They meant to be there for at least 30 years all along.
[00:47:14.003 --> 00:47:16.985]  Permanent bases that hold 3,000 people in each base.
[00:47:16.985 --> 00:47:23.370]  That was planned all along.
[00:47:23.370 --> 00:47:25.452]  They told the troops you'll be home by Christmas.
[00:47:25.452 --> 00:47:26.353]  That was just eight months.
[00:47:27.290 --> 00:47:28.891]  They've now been there almost four years.
[00:47:28.891 --> 00:47:33.193]  It'll be four years in March, just a few months away.
[00:47:33.193 --> 00:47:34.874]  They lied about that.
[00:47:34.874 --> 00:47:43.238]  And Bush said, oh, we don't want war, we want detente, we want diplomacy, we are not going to attack them.
[00:47:43.238 --> 00:47:50.421]  And all along, they planned day one from the day he got elected, the first meetings at the White House were about how they were going to attack Iraq.
[00:47:50.421 --> 00:47:51.922]  It was all lies.
[00:47:51.922 --> 00:47:52.722]  Lying to us.
[00:47:52.722 --> 00:47:55.644]  You think that's good?
[00:47:55.644 --> 00:47:56.384]  It's despicable.
[00:47:58.922 --> 00:48:06.628]  27 dead in two days and I guarantee you it's a lot higher than that.
[00:48:06.628 --> 00:48:14.154]  Let me see, they claim it's 3,100 and it's admittedly close to 11,000.
[00:48:14.154 --> 00:48:17.817]  That's a conservative estimate.
[00:48:17.817 --> 00:48:20.859]  654,000 dead Iraqis.
[00:48:20.859 --> 00:48:24.282]  That was three months ago since the invasion.
[00:48:24.282 --> 00:48:25.423]  Three and a half plus years ago.
[00:48:26.380 --> 00:48:34.661]  So, if it's at least triple that in dead troops in the past, then we can surmise that it's really triple 27 dead.
[00:48:34.661 --> 00:48:42.343]  So we're talking about close to 90 dead in two days.
[00:48:42.343 --> 00:48:45.063]  Let's just say it's 27.
[00:48:45.063 --> 00:48:46.804]  For nothing!
[00:48:46.804 --> 00:48:55.025]  But so defense contractors can stay there and keep making a hundred plus billion a year off the war alone, and so they can expand their scam.
[00:48:57.904 --> 00:48:58.444]  Pretty sick.
[00:48:58.444 --> 00:49:05.147]  Alright, we're going to go to break, come back and talk to Nathaniel, Emily, Joe, Jeff, Jonas, and others until the bottom of the next hour.
[00:49:05.147 --> 00:49:09.889]  Then I'm going to break down the Globalist Master Plan Part 1.
[00:49:09.889 --> 00:49:15.071]  Before I do that, before we go to break, folks, I've made 15 films.
[00:49:15.071 --> 00:49:22.314]  America Destroyed by Design, America Wake Up or Wake Up, Police State 2 The Takeover, Police State 3 Total Enslavement, Police State 2000.
[00:49:22.314 --> 00:49:25.995]  Those are now, all three of those available in one DVD package, three DVD set.
[00:49:27.684 --> 00:49:29.085]  For $34.95, that's 45% off.
[00:49:29.085 --> 00:49:30.586]  45% off.
[00:49:30.586 --> 00:49:37.889]  On the new DVD, three DVD set, Police State Trilogy.
[00:49:37.889 --> 00:49:46.933]  We got America, Freedom from Fascism for $19.95, exposing the private IRS, exposing the Federal Reserve, the North American Union, an incredible film.
[00:49:46.933 --> 00:49:50.095]  When you get it, you can get Terror Storm if you wish for half price, 50% off,
[00:49:51.994 --> 00:49:53.055]  $9.95.
[00:49:53.055 --> 00:49:57.401]  We've got 9-11 inside job t-shirts for $9.95.
[00:49:57.401 --> 00:50:04.069]  Folks, the extra larges cost me like $5 and something.
[00:50:04.069 --> 00:50:04.530]  I mean, I'm not even...
[00:50:05.262 --> 00:50:07.123]  We just want to get the information out.
[00:50:07.123 --> 00:50:08.364]  Support us.
[00:50:08.364 --> 00:50:09.845]  Go to InfoWars.com.
[00:50:09.845 --> 00:50:11.185]  Look at all the specials.
[00:50:11.185 --> 00:50:12.566]  Look at all the discounts.
[00:50:12.566 --> 00:50:14.127]  Look at all the offers.
[00:50:14.127 --> 00:50:15.147]  And support us.
[00:50:15.147 --> 00:50:16.448]  But that's secondary.
[00:50:16.448 --> 00:50:17.389]  Get the videos.
[00:50:17.389 --> 00:50:18.369]  Make copies.
[00:50:18.369 --> 00:50:20.150]  Get them out to everybody.
[00:50:20.150 --> 00:50:21.851]  We carry over 50 books now.
[00:50:21.851 --> 00:50:23.692]  Over 50 different films.
[00:50:23.692 --> 00:50:25.533]  We carry a bunch of t-shirts.
[00:50:25.533 --> 00:50:26.954]  Bumper stickers.
[00:50:26.954 --> 00:50:28.435]  InfoWars.com.
[00:50:28.435 --> 00:50:30.136]  Arm bands.
[00:50:30.136 --> 00:50:30.676]  Wrist bands.
[00:50:31.605 --> 00:50:37.272]  InfoWars.com to order via the Safe, Secure, Online shopping cart or call toll free 1-888-253-3139.
[00:50:37.272 --> 00:50:39.054]  Call today.
[00:50:39.054 --> 00:50:40.116]  Get the films.
[00:50:44.275 --> 00:50:45.996]  888-253-3139.
[00:50:45.996 --> 00:50:50.297]  I want to thank all those that have ordered the films in the past.
[00:50:50.297 --> 00:50:52.078]  You've made it all possible what we do here.
[00:50:52.078 --> 00:50:55.740]  And I want to invite you to get the new films you haven't purchased.
[00:50:55.740 --> 00:50:59.261]  And I want to invite those that haven't gotten the films to order them today.
[00:50:59.261 --> 00:50:59.941]  888-253-3139.
[00:50:59.941 --> 00:51:03.383]  Or write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, TX 78704.
[00:51:12.663 --> 00:51:18.906]  I'm Alex Jones, defending the Republic from enemies, foreign and domestic.
[00:51:18.906 --> 00:51:22.548]  It is the 22nd day of January, 2007.
[00:51:22.548 --> 00:51:29.672]  Your calls, a ton of news, an in-depth analysis of the architecture of the New World Order is straight ahead.
[00:51:38.772 --> 00:51:44.580]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:51:44.580 --> 00:51:52.210]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:51:52.924 --> 00:52:00.368]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:52:00.368 --> 00:52:12.113]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:52:12.113 --> 00:52:16.055]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[00:52:16.055 --> 00:52:18.336]  It's an anthology of government crimes.
[00:52:18.336 --> 00:52:22.158]  Terror Storm is a film that everyone who wants to be truly informed must see.
[00:52:22.758 --> 00:52:29.768]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[00:52:36.491 --> 00:52:37.812]  Good morning, honey!
[00:52:37.812 --> 00:52:38.532]  Wow!
[00:52:38.532 --> 00:52:44.095]  The weather is beautiful, the cabin is terrific, and it's the first day of our vacation!
[00:52:44.095 --> 00:52:46.856]  Yeah... Honey, is there something wrong?
[00:52:46.856 --> 00:52:50.738]  Yeah, I just realized we forgot to pack the travel berkey system.
[00:52:50.738 --> 00:52:52.679]  I can't drink this cabin water.
[00:52:52.679 --> 00:52:54.760]  And what am I gonna do when I'm out on the lake?
[00:52:54.760 --> 00:52:56.501]  Now the whole vacation is ruined.
[00:52:56.721 --> 00:52:58.003]  Honey, cheer up!
[00:52:58.003 --> 00:53:00.526]  I brought our Sport Berkey Purifiers!
[00:53:00.526 --> 00:53:01.267]  What?
[00:53:01.267 --> 00:53:12.059]  Yeah, I know you're picky about not having pathogenic bacteria, organic chemicals, heavy metals or foul tastes and odors in the water, so I packed our Sport Berkey Purifiers!
[00:53:12.059 --> 00:53:14.462]  You know, this is a terrific cabin!
[00:53:14.462 --> 00:53:16.885]  And wow, have you noticed the beautiful weather?
[00:53:17.205 --> 00:53:18.486]  Don't ruin your vacation.
[00:53:18.486 --> 00:53:20.326]  Get a Travel Berkey today for only $209.
[00:53:20.326 --> 00:53:21.106]  Or get a Sport Berkey for only $39.
[00:53:21.106 --> 00:53:21.346]  Call 888-803-4438.
[00:53:21.346 --> 00:53:21.567]  That's 888-803-4438.
[00:53:21.567 --> 00:53:22.607]  Or order on the web at berkeywater.com.
[00:53:22.607 --> 00:53:24.067]  Travel Berkey not available in Iowa.
[00:53:35.481 --> 00:53:41.403]  Hey ladies, if you love to shop, then visit HerbalHealer.com to browse through their online catalog.
[00:53:41.403 --> 00:53:47.025]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[00:53:47.025 --> 00:53:54.667]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health, and your health is priceless.
[00:53:54.667 --> 00:54:01.729]  While online, sign up to receive the Herbal Healer Newsletter, which will keep you informed on the latest and greatest products and education.
[00:54:01.989 --> 00:54:14.153]  Did you know that Herbal Healer offers not only natural medicine, but also tension-relieving herbal teas, cookbooks, aromatherapy, products for pampering, and more great products to help you soothe and relax after a long day.
[00:54:14.153 --> 00:54:17.474]  Want to learn more for yourself and to help others in the future?
[00:54:17.474 --> 00:54:19.975]  Join the Herbal Healer Correspondence Program.
[00:54:19.975 --> 00:54:23.036]  You can work at your own pace from the comfort of your own home.
[00:54:23.036 --> 00:54:27.197]  This accredited, exciting program can help you gain skills and knowledge.
[00:54:27.197 --> 00:54:29.118]  Can you believe you can find all this at once?
[00:54:29.718 --> 00:54:32.039]  Well, you were sleeping, they came and took it all away.
[00:54:53.460 --> 00:55:04.223]  Just like it always is!
[00:55:04.223 --> 00:55:05.943]  Welcome back.
[00:55:05.943 --> 00:55:16.166]  Going back to Ed Brown in New Hampshire in a standoff with the feds, who would go armored SWAT teaming if he wasn't being public and calling for support.
[00:55:16.166 --> 00:55:17.186]  They want to do it in the dark.
[00:55:18.433 --> 00:55:24.737]  They want to have their way with us when nobody can see it and no one can stand up.
[00:55:24.737 --> 00:55:26.538]  And that's really the secret to all of this.
[00:55:26.538 --> 00:55:38.985]  If we expose the fact that it's the private banks and the New World Order that are devaluing the dollar and trying to bring down our sovereignty, they can't completely drop the hammer on us because they'll get the blame, and rightly so.
[00:55:38.985 --> 00:55:42.427]  Just by informing people, we hold them back.
[00:55:42.427 --> 00:55:43.708]  Let's go to your calls.
[00:55:43.708 --> 00:55:45.509]  Nathaniel in Texas, thanks for holding.
[00:55:45.509 --> 00:55:46.009]  You're on the air.
[00:55:46.909 --> 00:55:47.930]  Good morning, Mr. Jones.
[00:55:47.930 --> 00:55:49.031]  Hi, thanks for holding.
[00:55:49.031 --> 00:55:53.736]  I just got through taking a Calvin bath, and I want to thank you for introducing me to that Pure Soap.
[00:55:53.736 --> 00:55:54.718]  It's great stuff.
[00:55:54.718 --> 00:56:00.884]  I look forward to getting me a Berkey if IRS lets me and my wife have any of our money back.
[00:56:00.884 --> 00:56:02.766]  They're nice folks, aren't they?
[00:56:02.766 --> 00:56:03.287]  They really are.
[00:56:03.789 --> 00:56:09.753]  Hey, I just called to let the residents of Bastrop County to know to oppose the new FEMA shelter that they're proposing.
[00:56:09.753 --> 00:56:11.434]  The Bastrop County official.
[00:56:11.434 --> 00:56:21.540]  That's right, they're building emergency FEMA centers everywhere to hold families, right around Austin, Texas, and right out there by the old German concentration camp that they used to hold Germans.
[00:56:21.540 --> 00:56:24.021]  The prisoner of war camp, I should call it.
[00:56:24.021 --> 00:56:25.002]  They're building that facility.
[00:56:25.782 --> 00:56:27.182]  Well, this is a brand new one, actually.
[00:56:27.182 --> 00:56:27.603]  No, I know.
[00:56:27.603 --> 00:56:29.843]  I'm saying near there, though, according to the map I saw.
[00:56:29.843 --> 00:56:30.544]  Right.
[00:56:30.544 --> 00:56:37.786]  Well, according to every site I've been to about concentration camps, there's already one at the federal prison, and no telling what Camp Swift has on it.
[00:56:37.786 --> 00:56:46.549]  I've seen a couple of grayish-blue Chinooks flying around Bastrop County and numerous other military aircraft.
[00:56:46.549 --> 00:56:49.330]  Well, remember, I don't know if you were listening eight years ago,
[00:56:50.226 --> 00:56:51.407]  Now more than eight.
[00:56:51.407 --> 00:56:56.729]  About eight years ago, remember out there at the Bastrop Prison and the FEMA trucks and all that?
[00:56:56.729 --> 00:57:00.171]  That big story that got picked up by World Net Daily we did?
[00:57:00.171 --> 00:57:00.871]  I didn't hear that, sir.
[00:57:00.871 --> 00:57:05.353]  I mean, we've known all these years that Bastrop's a major center of this stuff.
[00:57:05.353 --> 00:57:07.494]  Yes, sir.
[00:57:07.494 --> 00:57:10.215]  Well, I also just wanted to say, I got your last two DVDs.
[00:57:10.215 --> 00:57:13.577]  I eagerly look forward to the next one you got coming out.
[00:57:13.577 --> 00:57:15.398]  I finally managed to wake up a family member.
[00:57:15.922 --> 00:57:16.803]  Good!
[00:57:16.803 --> 00:57:20.605]  And with Loose Change 2nd Edition, I finally got a cousin to wake up.
[00:57:20.605 --> 00:57:21.926]  So keep up the good work, sir.
[00:57:21.926 --> 00:57:22.586]  Thank you, sir.
[00:57:22.586 --> 00:57:23.927]  I appreciate your call.
[00:57:23.927 --> 00:57:24.487]  Good to hear from you.
[00:57:24.487 --> 00:57:26.669]  And we do carry Loose Change 2nd Edition on DVD.
[00:57:26.669 --> 00:57:29.991]  It won't be available much longer because the final edition is coming out.
[00:57:29.991 --> 00:57:31.451]  I think 2nd Edition is bombshell.
[00:57:31.451 --> 00:57:31.972]  You need to get it.
[00:57:31.972 --> 00:57:33.493]  We have it on DVD.
[00:57:33.493 --> 00:57:38.676]  Get the historical film and have it as part of your library and digital quality at InfoWars.com.
[00:57:38.676 --> 00:57:41.157]  Emily in Ohio, thanks for holding her on the air.
[00:57:41.157 --> 00:57:42.078]  Hey Alex, what's up?
[00:57:43.012 --> 00:57:44.573]  Transmitting worldwide.
[00:57:44.573 --> 00:57:45.874]  That's right.
[00:57:45.874 --> 00:57:48.315]  Um, I don't know if Jack Blood told you about me.
[00:57:48.315 --> 00:57:54.939]  I'm 15 years old from Stockton, Ohio, and I'm starting an InfoWars club at my school, and it's underway.
[00:57:54.939 --> 00:57:59.462]  And, um, last, uh, Friday, they had a, uh, soldier.
[00:57:59.462 --> 00:58:01.883]  They come, like, every two months.
[00:58:01.883 --> 00:58:04.065]  And brainwash you and tell you to join the military.
[00:58:04.065 --> 00:58:05.546]  Oh, yeah, and I think it's ridiculous.
[00:58:05.546 --> 00:58:08.668]  Yeah, they turn the schools under federal law into recruiting centers.
[00:58:08.668 --> 00:58:12.030]  Yeah, and I was telling him, I was like, do you know that there's a draft coming?
[00:58:12.030 --> 00:58:12.650]  Do you know that
[00:58:13.038 --> 00:58:15.099]  The Doomsday Clock was moved up five minutes.
[00:58:15.099 --> 00:58:17.441]  You know that Bush is going to go nuke Iran.
[00:58:17.441 --> 00:58:19.802]  He's like, that's not true.
[00:58:19.802 --> 00:58:21.223]  Whatever, you know.
[00:58:21.223 --> 00:58:22.244]  Join the military.
[00:58:22.244 --> 00:58:25.186]  You'll sit on white beaches and drink out of coconuts.
[00:58:25.186 --> 00:58:25.706]  Yeah.
[00:58:25.706 --> 00:58:26.527]  It's wonderful.
[00:58:26.527 --> 00:58:29.168]  Oh yeah, so wonderful.
[00:58:29.168 --> 00:58:34.252]  Well, if you join the military now, they'll make you serve longer than your commitment and keep you in combat four years.
[00:58:34.252 --> 00:58:36.073]  Never before done in history.
[00:58:36.073 --> 00:58:36.333]  I know.
[00:58:38.151 --> 00:58:40.633]  Let us shoot you up with experimental vaccines.
[00:58:40.633 --> 00:58:43.576]  Let us, like Project Shad, put you in a chamber and kill you.
[00:58:43.576 --> 00:58:45.017]  That's what they do to our troops, okay?
[00:58:45.017 --> 00:58:47.539]  This is not our government, and it's not our military.
[00:58:47.539 --> 00:58:50.021]  Anyone who joins the military is insane.
[00:58:50.021 --> 00:58:51.081]  This is not our military.
[00:58:51.081 --> 00:58:52.883]  It is a New World Order military.
[00:58:52.883 --> 00:58:54.004]  Stay there, Emily.
[00:58:54.004 --> 00:58:55.845]  We didn't have enough time to let you finish up.
[00:58:55.845 --> 00:58:56.326]  We'll come back.
[00:58:56.326 --> 00:58:58.027]  I want to hear more about these recruiters.
[00:58:58.027 --> 00:59:01.129]  Also, most middle schools now have BATF-licensed
[00:59:02.612 --> 00:59:10.720]  Sheriff's deputies who are BATF certified auxiliary officers who have the children write dossiers on their parents.
[00:59:10.720 --> 00:59:12.362]  That's in my film The Takeover.
[00:59:12.362 --> 00:59:15.525]  We'll be right back.
[00:59:15.525 --> 00:59:19.749]  If you would like a copy of this show, come to GCNlive.com and reserve it today.
[00:59:19.749 --> 00:59:20.630]  Or call toll free 877-376-45.
[00:59:27.190 --> 00:59:28.551]  The War on Terrorism.
[00:59:28.551 --> 00:59:31.613]  Will it be fought overseas, or will it affect us here at home?
[00:59:31.613 --> 00:59:36.195]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:59:36.195 --> 00:59:37.016]  So what do you do?
[00:59:37.016 --> 00:59:41.899]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:59:42.399 --> 00:59:45.003]  With a little know-how, it's not that difficult.
[00:59:45.003 --> 00:59:46.305]  Sheltering in place.
[00:59:46.305 --> 00:59:50.351]  Surviving acts of terrorism from biological, chemical, and radioactive fallout.
[00:59:50.351 --> 00:59:58.122]  Developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and gives you easy...
[00:59:58.482 --> 01:00:04.384]  Follow video instructions and walks you step-by-step through the process of preparing your home as a shelter.
[01:00:04.384 --> 01:00:09.225]  Get this critical video every American needs for only $29 plus shipping.
[01:00:09.225 --> 01:00:11.005]  Order by calling New Millennium today at 888-803-4438.
[01:00:11.005 --> 01:00:11.325]  That's 888-803-4438.
[01:00:11.325 --> 01:00:12.766]  Or order on the web at Berkeywater.com.
[01:00:25.197 --> 01:00:27.578]  Waging war on corruption.
[01:00:27.578 --> 01:00:36.962]  Alex Jones on the GCN Radio Network.
[01:00:36.962 --> 01:00:38.283]  Big Brother.
[01:00:38.283 --> 01:00:40.043]  Mainstream media.
[01:00:40.043 --> 01:00:41.204]  Government cover-ups.
[01:00:41.204 --> 01:00:43.385]  You want answers?
[01:00:43.385 --> 01:00:44.945]  Well, so does he.
[01:00:44.945 --> 01:00:49.127]  He's Alex Jones on the GCN Radio Network.
[01:00:49.127 --> 01:00:53.229]  And now, live from Austin, Texas, Alex Jones.
[01:00:55.206 --> 01:01:16.212]  For stations just joining us in the second and third hour, quite a few of our stations carry the second and third, not the first, I want to thank you for carrying the broadcast, all of our sponsors, affiliates, listeners, Jack Blood for sitting in last week, Bob Daisy for sitting in last week, when I was out of town on a well-deserved and rejuvenating, energizing vacation.
[01:01:16.212 --> 01:01:18.132]  I have returned.
[01:01:18.132 --> 01:01:23.554]  Coming up in 30 minutes, I'm going to break down some of the history of the New World Order, its program, its philosophy,
[01:01:24.574 --> 01:01:27.395]  It's going to be very informative, so please stay with us for that.
[01:01:27.395 --> 01:01:34.378]  We've got a bunch of news we'll be covering in the next 30 minutes, and we have open phones taking your calls.
[01:01:34.378 --> 01:01:40.521]  The websites are InfoWars.com, InfoWars.net, PrisonPlanet.tv, and JonesReport.com.
[01:01:40.521 --> 01:01:44.683]  Right now, let's go back to Emily, who I kind of cut short in the last hour.
[01:01:44.683 --> 01:01:47.524]  She set up an InfoWars club at her high school.
[01:01:47.524 --> 01:01:48.905]  She's just now setting it up.
[01:01:48.905 --> 01:01:53.587]  She's talking about, though, how the military recruiters are in there every few months brainwashing some
[01:01:54.507 --> 01:01:59.109]  High schools have set up full-time recruiting offices in the schools.
[01:01:59.109 --> 01:02:01.870]  This is under federal law, passed a year and a half ago in 2005.
[01:02:01.870 --> 01:02:05.972]  Emily, continue with anything else you wanted to add.
[01:02:05.972 --> 01:02:13.295]  I talk to my teachers all the time, debating with them constantly about vaccines, FEMA, 9-11, and they don't believe me.
[01:02:13.295 --> 01:02:16.737]  But I have 36 students who are joining this group and they believe me.
[01:02:17.879 --> 01:02:21.602]  It'll be the hottest, coolest thing, and this is the answer.
[01:02:21.602 --> 01:02:32.894]  I've never really pushed for it, but in Louisiana six years ago, they tried to give everybody ID cards they had to wear at a high school around their necks, and one student learned how to read barcodes.
[01:02:32.894 --> 01:02:33.555]  It's quite easy.
[01:02:33.555 --> 01:02:37.839]  You can learn what each band's width, what number it signifies.
[01:02:37.839 --> 01:02:38.420]  It was a girl.
[01:02:39.270 --> 01:02:52.238]  I interviewed her, I forget, it was in WorldNetDaily, and they suspended her, then six other students did it, then it was twenty-something students, then the whole school said no and refused to wear them, and so they removed them.
[01:02:52.238 --> 01:02:53.619]  This is the answer.
[01:02:53.619 --> 01:03:01.444]  Saying, I'm not your slave, no, I'm not going to be part of this, I'm not going to thumbprint to get my school lunch, whether you pay for your lunch or not.
[01:03:01.444 --> 01:03:02.145]  That's right!
[01:03:02.145 --> 01:03:03.285]  You know, I'm not going to be your slave.
[01:03:03.285 --> 01:03:05.347]  So you just started this a few weeks ago?
[01:03:05.347 --> 01:03:05.707]  Yeah.
[01:03:05.707 --> 01:03:07.368]  You've got thirty-six members.
[01:03:07.368 --> 01:03:07.528]  Yes.
[01:03:08.266 --> 01:03:10.168]  In a school, how big?
[01:03:10.168 --> 01:03:11.129]  Oh, I don't know.
[01:03:11.129 --> 01:03:13.312]  Probably about maybe 500, 600 students.
[01:03:13.312 --> 01:03:15.414]  Well, this is what's going to take this country back.
[01:03:15.414 --> 01:03:16.715]  And you guys need to have meetings.
[01:03:16.715 --> 01:03:18.197]  I need to be, you know... Yeah.
[01:03:18.197 --> 01:03:20.179]  Well, see, the teachers have to vote on it first.
[01:03:20.635 --> 01:03:22.356]  And see if they like it or not.
[01:03:22.356 --> 01:03:25.579]  And if we don't pass it, then I don't know what we're going to do.
[01:03:25.579 --> 01:03:27.340]  Oh, they decide if you can have a group?
[01:03:27.340 --> 01:03:30.062]  Yeah, they decide it.
[01:03:30.062 --> 01:03:30.823]  You know what?
[01:03:30.823 --> 01:03:36.888]  You have a group that meets off school grounds, at a pizza parlor, and then do it professionally.
[01:03:36.888 --> 01:03:41.291]  Have some of the parents there who are anti-New World Order or chaperones.
[01:03:41.291 --> 01:03:43.132]  You know, go to amusement parks together.
[01:03:43.132 --> 01:03:43.753]  Make it fun!
[01:03:44.133 --> 01:03:44.453]  I don't know.
[01:03:55.529 --> 01:03:56.430]  Definitely.
[01:03:56.430 --> 01:03:59.332]  And I just want a lot of people to join, you know, it's going to be fun.
[01:03:59.332 --> 01:04:03.555]  Because we're going to protest about some of our rights and some of the things that we all fight for.
[01:04:03.555 --> 01:04:12.903]  Well, also what you do is, when they say you can't have the group, you call the local newspaper, you protest, and you talk about lawsuits for discrimination against your free speech.
[01:04:12.903 --> 01:04:13.303]  Yeah.
[01:04:13.303 --> 01:04:23.411]  Because all you're setting up is an anti-corruption, anti-New World Order, pro-civil rights, human rights, God-given rights, whatever you want to call it, organization.
[01:04:23.411 --> 01:04:24.752]  And that's how you do it.
[01:04:25.505 --> 01:04:26.045]  That's right.
[01:04:26.045 --> 01:04:36.332]  In fact, if I had the time, that's what I'd be doing, would be writing articles, step-by-step, how to set up student groups at colleges, high schools, middle schools, how to do it right.
[01:04:36.332 --> 01:04:38.393]  I mean, it's so exciting what you're doing.
[01:04:38.393 --> 01:04:40.034]  So you started this a few weeks ago.
[01:04:40.034 --> 01:04:40.734]  Yeah.
[01:04:40.734 --> 01:04:44.697]  36 people are joining, but you have to wait for the approval of the teachers.
[01:04:45.157 --> 01:04:46.938]  Yeah, because they're retarded.
[01:04:46.938 --> 01:04:50.301]  That's what I think of the school system, because it's run like a government.
[01:04:50.301 --> 01:04:50.861]  Well, it isn't.
[01:04:50.861 --> 01:04:53.483]  It's a government brainwashing re-education camp.
[01:04:53.483 --> 01:05:00.087]  Hey, me and my mom, we call it the government training camps, and they come get us on their buses and take us to the learning facilities.
[01:05:00.087 --> 01:05:02.189]  Well, you know, you're resisting inside the camp.
[01:05:03.029 --> 01:05:08.233]  And, uh, I would expect for them... When will you hear if you're allowed to have your group?
[01:05:08.233 --> 01:05:09.194]  Hopefully soon.
[01:05:09.194 --> 01:05:12.776]  I already have a teacher as an advisor, so it's gotta be like a group leader.
[01:05:12.776 --> 01:05:17.919]  And I have to have a teacher to be the leader of the group, so... I finally found one that was interested in it.
[01:05:17.919 --> 01:05:19.280]  Well, try to do it right.
[01:05:19.280 --> 01:05:21.642]  Try to do it very conservatively.
[01:05:21.642 --> 01:05:24.584]  And, uh, if they ban it, it'll be ten times bigger.
[01:05:24.584 --> 01:05:26.445]  Keep me abreast of the situation.
[01:05:26.445 --> 01:05:27.866]  Good to hear from you, Emily.
[01:05:27.866 --> 01:05:28.927]  You're an info warrior.
[01:05:35.885 --> 01:05:41.692]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
