[00:00.000 --> 00:02.320]  Visit survivalistseeds.com.
[24:46.680 --> 24:47.680]  Pardon?
[24:47.680 --> 24:49.840]  What did the child kidnappers do when they showed up at your house?
[24:49.840 --> 24:55.640]  Oh, they were with him and they were just like spying and, but.
[24:55.640 --> 24:59.700]  And if your wife wouldn't have been informed, she'd let him in, one dog here, one dirty
[24:59.700 --> 25:02.160]  plate, never seen your child again.
[25:02.160 --> 25:03.160]  That's right.
[25:03.160 --> 25:05.800]  Be often some Malaysian rape camp.
[25:05.800 --> 25:10.480]  Then I called him and I said, I want to see you, John, I said, I want to see you.
[25:10.480 --> 25:14.280]  And he says, okay, he says, how about meeting me at Dunkin' Donuts?
[25:14.280 --> 25:18.760]  So I went down to Dunkin' Donuts and I got an account with him and we talked for an hour
[25:18.760 --> 25:23.880]  and I told him the whole nine yards, I said, John, I said, you broke my son's civil rights,
[25:23.880 --> 25:25.920]  I said, the school system broke our civil rights.
[25:25.920 --> 25:30.600]  I said, you wouldn't accept him because you said it was the law to be vaccinated.
[25:30.600 --> 25:31.600]  It's not.
[25:31.600 --> 25:35.920]  And so we got to, and I was telling him about you and telling him about, you know, I was
[25:35.920 --> 25:36.920]  probably evil.
[25:36.920 --> 25:37.920]  Yeah.
[25:37.920 --> 25:41.240]  And so he gave me these papers for homeschooling, right?
[25:41.240 --> 25:45.840]  So after an hour, you know, I get back to the house, have to talk to my, look at them,
[25:45.840 --> 25:47.080]  the policy papers.
[25:47.080 --> 25:48.080]  Okay.
[25:48.080 --> 25:49.080]  That all came from you.
[25:49.080 --> 25:50.280]  So I spot him.
[25:50.280 --> 25:53.080]  So I give him a call and I leave him a message.
[25:53.080 --> 25:55.480]  He doesn't bother us for two years.
[25:55.480 --> 25:56.480]  He's back.
[25:56.480 --> 26:01.080]  Now, last Wednesday, the day after the election, he appears at the house again.
[26:01.080 --> 26:02.080]  My wife doesn't.
[26:02.080 --> 26:03.080]  Yeah.
[26:03.080 --> 26:08.320]  The color of law illegally has no reason to be there, but that you are a fat hog.
[26:08.320 --> 26:10.080]  You're a fat slave to them.
[26:10.080 --> 26:11.160]  They want some bacon.
[26:11.160 --> 26:12.160]  They're hungry.
[26:12.160 --> 26:13.320]  They've got quotas.
[26:13.320 --> 26:15.120]  They've got children to kidnap.
[26:15.120 --> 26:19.520]  Now what, when I called him, I said, John, you were at the house today, he was surprised
[26:19.520 --> 26:24.080]  because we got people that watch and my wife watches too.
[26:24.080 --> 26:31.400]  And he said, no, I got a phone call that he said the DCFS call me that there's a child
[26:31.400 --> 26:32.400]  there.
[26:32.400 --> 26:36.800]  I said that hasn't been in school and all and that's again, the tattletale neighbors
[26:36.800 --> 26:41.480]  think it's illegal to not be in a vaccination death camp where you learn how to be a prisoner
[26:41.480 --> 26:45.800]  and thumbprint to get school lunches and learn how to learn how to be obsessed and feel bad
[26:45.800 --> 26:50.160]  about yourself and learn how to take Ritalin and Prozac and learn how to sort cocaine.
[26:50.160 --> 26:52.360]  So you don't want to put your child in a death camp.
[26:52.360 --> 26:58.680]  And so a scumbag filth neighbor, part of the filth of America called him.
[26:58.680 --> 26:59.680]  Hello?
[26:59.680 --> 27:01.520]  Yes, sir.
[27:01.520 --> 27:03.520]  So where are you now with the scum?
[27:03.520 --> 27:04.520]  Okay.
[27:04.520 --> 27:11.080]  I, when I called him last Wednesday, I said, John, I said, the papers you gave me were
[27:11.080 --> 27:12.080]  policy papers.
[27:12.080 --> 27:16.600]  And he goes, yeah, I know, and then I goes, policy is not the law, John.
[27:16.600 --> 27:17.600]  That's right.
[27:17.600 --> 27:18.600]  Scum filth.
[27:18.600 --> 27:23.000]  No, no, they want to get in your house to find something to hit you and hit you hard
[27:23.000 --> 27:25.080]  because the Saudis need more children.
[27:25.080 --> 27:26.080]  Okay.
[27:26.080 --> 27:29.680]  So then he says, he says, well, I said, John, you gave me the policy papers.
[27:29.680 --> 27:31.920]  I said, that's not, that's not right at all.
[27:31.920 --> 27:35.080]  I said, I tried to call Parker, which is the capital.
[27:35.080 --> 27:38.280]  So he's all color of law line because he's a hardcore crook.
[27:38.280 --> 27:39.280]  What happened?
[27:39.280 --> 27:40.280]  Now that's criminal.
[27:40.280 --> 27:41.680]  It's criminal when they do this.
[27:41.680 --> 27:46.120]  It's criminal when Denver cops attack other cops to put news cameras on it and make protests
[27:46.120 --> 27:48.800]  look bad, but they've got a job to ban free speech.
[27:48.800 --> 27:50.960]  They've got a job to demonize demonstration.
[27:50.960 --> 27:53.160]  They got a job to take America down.
[27:53.160 --> 27:55.880]  They got a job and they're doing it good.
[27:55.880 --> 27:57.240]  So what else happened?
[27:57.240 --> 28:00.840]  So he was going to call me back the next day.
[28:00.840 --> 28:02.200]  He never did.
[28:02.200 --> 28:04.320]  So then I called him Friday twice.
[28:04.320 --> 28:05.320]  He never returned.
[28:05.320 --> 28:06.800]  You better watch yourself.
[28:06.800 --> 28:11.200]  And if I was you, I would go ahead and move and then I would register your house in some
[28:11.200 --> 28:12.200]  corporation's name.
[28:12.200 --> 28:13.920]  I'd set up your own little corporation.
[28:13.920 --> 28:15.480]  That's totally legal.
[28:15.480 --> 28:19.720]  And because black, you know, the little black ops operation is mad that your child's not
[28:19.720 --> 28:23.360]  in a fluoride facility where they give them the fluoride water and give them the fluoride
[28:23.360 --> 28:27.840]  pills to eat to brain damage him and the injections and the, to be just like the rest of the zombie
[28:27.840 --> 28:28.840]  scum.
[28:28.840 --> 28:29.840]  Right.
[28:29.840 --> 28:30.840]  Yeah.
[28:30.840 --> 28:36.720]  So, and he said to me, he said, DCFS is going to take you to court is what he said.
[28:36.720 --> 28:37.720]  That's fine.
[28:37.720 --> 28:38.720]  My child and family.
[28:38.720 --> 28:39.720]  Yeah.
[28:39.720 --> 28:40.720]  The scum is coming.
[28:40.720 --> 28:41.720]  You don't.
[28:41.720 --> 28:46.000]  The California state court said parents, you don't, you aren't the parents.
[28:46.000 --> 28:51.320]  It says the state owns your children and we're going to carry eugenics out against you.
[28:51.320 --> 28:57.840]  The CPS was set up 100 years ago by the British to carry out eugenics operations and listen,
[28:57.840 --> 28:59.960]  it's all terrorism.
[28:59.960 --> 29:01.400]  You would have already had your child kidnapped.
[29:01.400 --> 29:03.000]  You just never let them in.
[29:03.000 --> 29:05.480]  Just don't ever let them just stay calm with them.
[29:05.480 --> 29:09.400]  Remember that their, their pieces of filth and just call me on the air if you have any
[29:09.400 --> 29:10.400]  other problems.
[29:10.400 --> 29:11.400]  All right.
[29:11.400 --> 29:12.400]  I appreciate it.
[29:12.400 --> 29:13.880]  You don't worry about those hardcore criminals.
[29:13.880 --> 29:14.880]  Okay.
[29:14.880 --> 29:15.880]  They're scum.
[29:15.880 --> 29:16.880]  They're filth.
[29:16.880 --> 29:21.480]  And we're going to rise up against them and defeat them.
[29:21.480 --> 29:31.760]  Stay with me.
[29:31.760 --> 29:34.920]  What will happen when the grocery stores are empty?
[29:34.920 --> 29:37.840]  What are you going to do once your food is gone?
[29:37.840 --> 29:42.120]  What will you do when the dollar is worthless and your family needs to eat?
[29:42.120 --> 29:47.560]  Growing your own food is the only way to have real self-sufficiency and peace of mind.
[29:47.560 --> 29:53.040]  Getseeds.net is offering an amazing special on 100 different varieties of heirloom vegetable
[29:53.040 --> 29:55.840]  seeds with a complete range of crops.
[29:55.840 --> 30:01.320]  That's 100 packets of non-hybrid seeds for only $49 with free shipping.
[30:01.320 --> 30:04.800]  You will have the comfort of knowing that you are truly prepared.
[30:04.800 --> 30:10.120]  These affordable prices are our way to pay it forward, so in turn, Getseeds.net asks
[30:10.120 --> 30:13.120]  you to share these seeds of life with a less fortunate.
[30:13.120 --> 30:24.080]  Go to Getseeds.net and get 100 seed packets for only $49 with free shipping or call 877-394-6657.
[30:24.080 --> 30:30.880]  That's 877-394-6657 or go to Getseeds.net.
[30:30.880 --> 30:34.440]  Drinking a chlorophyll rich beverage has been found to benefit your entire body.
[30:34.440 --> 30:39.000]  Alchivision Green Shield Green Drink is a specifically formulated nutritional supplement
[30:39.000 --> 30:42.960]  which provides many nutritional elements that are missing from our modern diet.
[30:42.960 --> 30:47.280]  Green Shield helps neutralize acid in your body and maintains a healthy pH balance.
[30:47.280 --> 30:51.760]  And having the proper pH balance has been known to balance blood sugar levels, something
[30:51.760 --> 30:53.200]  we can all benefit from.
[30:53.200 --> 30:57.640]  Green Shield combines the perfect blend of powerful whole food vegetables, immune boosting
[30:57.640 --> 30:58.840]  herbs and grasses.
[30:58.840 --> 31:03.400]  Green Shield does not contain algae, mushrooms or fungi, has no preservatives, artificial
[31:03.400 --> 31:04.680]  colors or flavors.
[31:04.680 --> 31:07.760]  The powder mixes easily with water and tastes great.
[31:07.760 --> 31:11.520]  Drinking Green Shield strengthens the immune system and boosts energy, relieves fatigue
[31:11.520 --> 31:13.640]  and stress without the use of stimulants.
[31:13.640 --> 31:18.200]  Order your Alchivision Green Shield Green Drink now by going directly to Alchivision.com.
[31:18.200 --> 31:25.800]  That's ALKAvision.com today or call 269-344-3420.
[31:25.800 --> 31:30.960]  That's 269-344-3420 today.
[31:30.960 --> 31:33.520]  Take the law and you're caught on film.
[31:33.520 --> 31:37.520]  Practically impossible for police to spot plates that have been treated with a reflective
[31:37.520 --> 31:38.520]  spray.
[31:38.520 --> 31:40.480]  The reflection blinded our camera.
[31:40.480 --> 31:41.800]  We are under the microscope.
[31:41.800 --> 31:45.880]  Red light cameras and speed cameras are in place to make money, not for your safety.
[31:45.880 --> 31:49.520]  But you don't have to be defenseless against these unconstitutional devices.
[31:49.520 --> 31:52.800]  Have a fighting chance with sprayyourplate.com's photo blocker.
[31:52.800 --> 31:56.680]  When properly applied, this revolutionary product has proven itself to be the most affected
[31:56.680 --> 31:58.920]  device available against traffic cameras.
[31:58.920 --> 32:03.440]  Invisible to the naked eye, your license plate when flashed will be overexposed and unreadable
[32:03.440 --> 32:04.440]  to the cameras.
[32:04.440 --> 32:05.440]  Save your money.
[32:05.440 --> 32:07.040]  Go to sprayyourplate.com.
[32:07.040 --> 32:11.520]  That's sprayyourplate.com and check out the newscast showing the photo blocker in action,
[32:11.520 --> 32:14.880]  proving that the sprayyourplate's photo blocker works against traffic cameras.
[32:14.880 --> 32:20.600]  Go to sprayyourplate.com or call 1-800-276-9601.
[32:20.600 --> 32:24.560]  That's 1-800-276-9601.
[32:24.560 --> 32:25.880]  Don't give your money to the state.
[32:25.880 --> 32:30.120]  Spray your plate, and when the cameras flash, you'll save some cash.
[32:30.120 --> 32:32.360]  How much food do you have in your fridge?
[32:32.360 --> 32:35.720]  How long would it last in the event of a nationwide crisis?
[32:35.720 --> 32:40.320]  Survivalgearsource.com is America's number one source for survival kits and supplies.
[32:40.320 --> 32:41.820]  Survivalgearsource.com.
[32:41.820 --> 32:44.560]  Survivalgearsource.com is everything you need to be prepared.
[32:44.560 --> 32:47.280]  Get your storeable food at Survivalgearsource.com.
[32:47.280 --> 32:50.280]  We've supplied thousands of Americans with our ready-to-eat meals.
[32:50.280 --> 32:52.680]  Sealed, portable, and will last for years.
[32:52.680 --> 32:54.760]  Get your portable flameless ovens for cooking.
[32:54.760 --> 32:59.920]  Get your ultra-portable survival kits now, tailored for one, four, ten, or even the 100-person
[32:59.920 --> 33:00.920]  deluxe kit.
[33:00.920 --> 33:04.840]  Prepare for nuclear and bioterrorism with a complete terror protection kit, including
[33:04.840 --> 33:10.360]  gas masks, biosuits, potassium iodate, a solar hand crank flashlight, radio, cell phone
[33:10.360 --> 33:11.920]  charger, and much more.
[33:11.920 --> 33:12.920]  Prepare now.
[33:12.920 --> 33:16.480]  Order by phone at 877-231-1925.
[33:16.480 --> 33:19.360]  That's 877-231-1925.
[33:19.360 --> 33:22.120]  Or go to survivalgearsource.com.
[33:22.120 --> 33:26.720]  Use coupon code GCN and receive a free Patriot Bar with every order.
[33:26.720 --> 33:27.720]  Survivalgearsource.com.
[33:27.720 --> 33:32.720]  Thank you for listening to GCN.
[33:32.720 --> 33:37.720]  Visit GCNLive.com today.
[33:37.720 --> 33:47.280]  Yeah, I want to explain something everybody out there listening why I got so angry during
[33:47.280 --> 33:48.280]  the last segment.
[33:48.280 --> 33:53.920]  I'm going to tell you one story of thousands that are declassified.
[33:53.920 --> 33:56.280]  One story.
[33:56.280 --> 34:03.000]  The Department of Child Services, they have different names, different states, kidnapped
[34:03.000 --> 34:07.000]  over 4,000 children in the 1940s and 1950s.
[34:07.000 --> 34:12.080]  This is all on the Atomic Energy Agency website, Department of Energy websites here in the
[34:12.080 --> 34:15.320]  U.S. But internationally they reported as well.
[34:15.320 --> 34:21.000]  They took the small children and radiated them to death in radiation chambers.
[34:21.000 --> 34:22.000]  That's your government.
[34:22.000 --> 34:24.000]  I'm sorry if you don't want to hear it.
[34:24.000 --> 34:28.400]  I can give you over a thousand stories of them taking our troops into chambers and nerve
[34:28.400 --> 34:31.280]  gassing them to death in the 90s.
[34:31.280 --> 34:35.920]  That was to test and see if the U.S. Army will murder our own troops.
[34:35.920 --> 34:40.720]  One time I had one of Governor Perry's top people.
[34:40.720 --> 34:42.200]  You see the guy on TV with him all the time.
[34:42.200 --> 34:44.680]  In fact, the guy who gave me his card, I need to get him on.
[34:44.680 --> 34:47.920]  He admitted, he said, oh, yeah, the governor's not all bad, but I know you're telling the
[34:47.920 --> 34:49.720]  truth here in your film in-game.
[34:49.720 --> 34:50.720]  He just seen in-game.
[34:50.720 --> 34:54.720]  He goes, you know, I was at Fort Sam Houston as a medic and they brought in the Special
[34:54.720 --> 34:56.720]  Forces guy from Bragg.
[34:56.720 --> 35:01.000]  They've been in the medical facility to give him shots and they all died in three days.
[35:01.000 --> 35:02.960]  Then it was a bio weapons test.
[35:02.960 --> 35:03.960]  They were murdered.
[35:03.960 --> 35:05.360]  You know, he wasn't part of it.
[35:05.360 --> 35:08.040]  He just said they were taken there and killed right in front of him.
[35:08.040 --> 35:14.640]  They had to go into decontamination suits and clean out the barracks and that just
[35:14.640 --> 35:15.640]  how it works.
[35:15.640 --> 35:23.320]  I mean, we have people running things that openly will murder you at the drop of a hat.
[35:23.320 --> 35:25.880]  And you see, that kind of makes me not sleep at night.
[35:25.880 --> 35:34.120]  That makes me as someone of aggressive guy, I haven't been gilded, I haven't been neutered.
[35:34.120 --> 35:35.800]  I get threatened by that and I get angry.
[35:35.800 --> 35:41.440]  So a father calls in to tell the story I've heard a million times and says, yeah, they
[35:41.440 --> 35:44.160]  wouldn't take my son in the public school because I wouldn't take the shots and they
[35:44.160 --> 35:45.160]  told me I was a liar.
[35:45.160 --> 35:46.640]  There was no federal or state law.
[35:46.640 --> 35:51.440]  There's both for a waiver form, but it's a waiver to a law that doesn't even exist and
[35:51.440 --> 35:53.160]  that by law they're supposed to give you the waiver.
[35:53.160 --> 35:59.320]  That's really the only law that the school through its policy is demanding it without
[35:59.320 --> 36:04.440]  law that they have to give you the waiver and they lie everywhere.
[36:04.440 --> 36:07.000]  You'll watch school starting in next year and they'll say it's the law.
[36:07.000 --> 36:08.000]  You'll be arrested.
[36:08.000 --> 36:09.280]  Total lie.
[36:09.280 --> 36:13.280]  You can type Texas vaccine waiver, you know, New York vaccine waiver.
[36:13.280 --> 36:14.280]  They'll be on the state website.
[36:14.280 --> 36:18.280]  You'll find out and they'll say there is no law, but if the school is giving you trouble,
[36:18.280 --> 36:24.000]  you know, print this off and give it to them.
[36:24.000 --> 36:27.720]  But I have been there in the court cases in Austin where they steal people's children
[36:27.720 --> 36:30.280]  for not giving them shots and they don't care.
[36:30.280 --> 36:32.560]  There's no law in these family courts.
[36:32.560 --> 36:38.840]  They set up through eugenics in England about 110 years ago, the U.S. about 95 years ago.
[36:38.840 --> 36:47.720]  They would, in my film, we have little newsreels and little clips of the family courts that
[36:47.720 --> 36:54.720]  were set up for eugenics in the early 30s where they're sterilizing women.
[36:54.720 --> 36:56.600]  See, there's no jury.
[36:56.600 --> 36:57.800]  There's no habeas corpus.
[36:57.800 --> 37:02.040]  There's no, you murdered somebody so you're going to prison.
[37:02.040 --> 37:04.040]  It's just we're a kangaroo court.
[37:04.040 --> 37:08.800]  We have men that have guns that enforce for us and that's the end of it.
[37:08.800 --> 37:15.520]  So I hear about these creatures circling a family, like sharks, circling a family.
[37:15.520 --> 37:21.040]  Like huge sharks around a tiny lifeboat and they're fins and the family's scared.
[37:21.040 --> 37:25.160]  I think about their horror and I empathize with them and my primitive level is a warrior
[37:25.160 --> 37:27.560]  I want to defend them.
[37:27.560 --> 37:32.760]  And I just think about how this evil is going on everywhere.
[37:32.760 --> 37:37.080]  I think about how wicked this government is, how criminal it is, the things it's committing
[37:37.080 --> 37:46.280]  to us right now and just how evil they are.
[37:46.280 --> 37:50.680]  How they show up with the police and the CPS with no warrant, no bill particulars, nothing.
[37:50.680 --> 37:55.560]  They're just there to threaten and force their way in.
[37:55.560 --> 38:02.800]  And hey, you know what cops, you commit that crime and go with that extra jiu-jitsu fascist
[38:02.800 --> 38:06.680]  and you go to a house and you commit those crimes, you bet you're a jackbooth thug and
[38:06.680 --> 38:09.240]  I hope God curses you straight to Hades itself.
[38:09.240 --> 38:10.240]  I do.
[38:10.240 --> 38:11.880]  You keep your hands off the kids.
[38:11.880 --> 38:15.800]  Now if you're a good cop and don't go along with that, you're going to be fired.
[38:15.800 --> 38:19.120]  But I mean, I'm not going to sit here and kiss your hind end anymore.
[38:19.120 --> 38:20.120]  It's over.
[38:20.120 --> 38:23.360]  Now I said I wasn't going to take a lot of calls today, but I have the police in Denver
[38:23.360 --> 38:24.840]  as we reported to you two months ago.
[38:24.840 --> 38:28.520]  I don't need the Denver Post to tell me this.
[38:28.520 --> 38:34.200]  Probe into police stage DC DNC protest.
[38:34.200 --> 38:40.800]  Another one here ACLU once probing the police stage DC DNC protest and it says right here
[38:40.800 --> 38:46.320]  cops went in and attacked other cops for the news cameras that first day in Denver and
[38:46.320 --> 38:48.800]  I reported that sucker was staged.
[38:48.800 --> 38:54.600]  I mean, number one, little bitty scrawny anarchist or a huge six foot two guys with
[38:54.600 --> 38:55.600]  Johnny at arms.
[38:55.600 --> 38:57.480]  I mean, I've been at these events over and over again.
[38:57.480 --> 38:59.080]  Here come the cops dressed up.
[38:59.080 --> 39:00.440]  They want to ban the protest.
[39:00.440 --> 39:02.320]  They want to attack the First Amendment.
[39:02.320 --> 39:03.320]  They stage events.
[39:03.320 --> 39:07.720]  I mean, number one, I'm not an idiot.
[39:07.720 --> 39:09.720]  And we've caught you over and over again.
[39:09.720 --> 39:16.920]  I don't forget in Austin, was it 98 or 99?
[39:16.920 --> 39:19.920]  They had the Fortune 500 meeting in 98 or 99.
[39:19.920 --> 39:22.600]  I think it was 99 in downtown Austin.
[39:22.600 --> 39:24.920]  There were these giant anarchist huge cops.
[39:24.920 --> 39:28.960]  One was like six foot six, probably weighed 300 pounds.
[39:28.960 --> 39:31.320]  They were starting fights, pushing people.
[39:31.320 --> 39:33.000]  And I said, these are cops media.
[39:33.000 --> 39:34.000]  These are cops.
[39:34.000 --> 39:36.040]  This is not us.
[39:36.040 --> 39:40.240]  And then all these cops ran across the street and they said back off Jones and they pulled
[39:40.240 --> 39:44.960]  those two guys out and stuck two more cops in to start fights and stuff.
[39:44.960 --> 39:50.520]  But since we had video cameras on them, they had to back off.
[39:50.520 --> 39:56.200]  Now again, why would the Austin police want to stop people protesting and set a precedent
[39:56.200 --> 39:58.520]  to ban it?
[39:58.520 --> 40:01.280]  Why would they want to go all over the city and lose scores of lawsuits?
[40:01.280 --> 40:04.280]  The city of Austin, it's up to like, what, $10 million?
[40:04.280 --> 40:08.280]  Last time I checked on lawsuits, they've lost for coming up to people protesting peacefully
[40:08.280 --> 40:11.360]  on the street corner and arresting them saying, you got to have a permit for that.
[40:11.360 --> 40:12.360]  No, you don't.
[40:12.360 --> 40:16.520]  And so taxpayers of Austin had to pay that.
[40:16.520 --> 40:20.440]  Why does the city of Austin police hate the First Amendment?
[40:20.440 --> 40:21.960]  Why do you want to stop it?
[40:21.960 --> 40:24.800]  Why do your higher ups order you to do this?
[40:24.800 --> 40:26.600]  Why do you carry this out?
[40:26.600 --> 40:32.200]  Why do you go out and pose as demonstrators to attack other cops?
[40:32.200 --> 40:33.200]  Most of the time it's rigged.
[40:33.200 --> 40:37.920]  In Seattle, they had cops break bottles over cops heads and I interviewed the cops there
[40:37.920 --> 40:41.080]  and I filmed police at the takeover and they're like, yeah, I found them later.
[40:41.080 --> 40:48.120]  Those were cops and I was ordered to stand there and let them throw bottles at me.
[40:48.120 --> 40:49.120]  Nobody's throwing a bottle at me.
[40:49.120 --> 40:52.120]  I mean, I want to get that out in the open here.
[40:52.120 --> 40:57.240]  You know, police, you should think you're lucky stars for people like Alex Chodes because
[40:57.240 --> 41:07.000]  I'm here on air decrying police being asked to engage in crime, to engage in corrupt things.
[41:07.000 --> 41:11.560]  So the message is things are far more corrupt than you know.
[41:11.560 --> 41:15.560]  They're far worse than you know.
[41:15.560 --> 41:19.840]  And the public are a bunch of idiots and don't know what's happening on average.
[41:19.840 --> 41:24.360]  And I don't know when I said I take calls the whole show and I haven't hardly done that.
[41:24.360 --> 41:29.320]  Let's talk to, let's talk to Robert in Colorado.
[41:29.320 --> 41:30.320]  You're on the air, Robert.
[41:30.320 --> 41:32.720]  Well, hello, Alexander here, McJones.
[41:32.720 --> 41:33.720]  Thanks for taking my call.
[41:33.720 --> 41:34.720]  I do appreciate that.
[41:34.720 --> 41:37.000]  A couple of things.
[41:37.000 --> 41:38.160]  Thank you for several things.
[41:38.160 --> 41:40.240]  Number one, thanks for what you do.
[41:40.240 --> 41:46.360]  I appreciate you standing in the gap as a good book says and finding a good fight.
[41:46.360 --> 41:48.240]  Thank you for installing that call in number.
[41:48.240 --> 41:51.040]  You can listen to 512-646-5000.
[41:51.040 --> 41:52.040]  That's pretty cool and pretty handy.
[41:52.040 --> 41:57.200]  You can call them any phone, listen to your show if you can't get to the computer.
[41:57.200 --> 42:00.520]  Ignore the attacks calling you a bigot because you're the farthest thing but you're just
[42:00.520 --> 42:04.640]  a man who cares about society and you're manly and tries to do the right thing.
[42:04.640 --> 42:07.160]  So people who call you a bigot are just small minded.
[42:07.160 --> 42:08.720]  Well, I mean, that's the new thing.
[42:08.720 --> 42:11.200]  You're called a communist if you're against Bush.
[42:11.200 --> 42:16.040]  And then if you criticize Obama according to the media, he can do no wrong.
[42:16.040 --> 42:17.880]  And so it's only because he's black.
[42:17.880 --> 42:21.680]  It's not that you don't want to have your kids in a draft or compulsory service yourself
[42:21.680 --> 42:22.680]  or be a slave.
[42:22.680 --> 42:26.160]  If you're against being a slave to the federal government, that's what he's openly stated.
[42:26.160 --> 42:27.600]  It's coming up in the next hour.
[42:27.600 --> 42:29.640]  You are now against the Messiah.
[42:29.640 --> 42:34.200]  And Obama's a bad guy and we haven't seen the worst thing yet.
[42:34.200 --> 42:38.080]  But what happened in Alaska with baggage versus Stevens?
[42:38.080 --> 42:40.160]  How did that Senate race play out?
[42:40.160 --> 42:41.160]  Do you know?
[42:41.160 --> 42:45.680]  I know Stevens, the criminal, I heard him defended here locally, got convicted on all
[42:45.680 --> 42:46.680]  seven counts.
[42:46.680 --> 42:48.800]  I believe baggage one, didn't he?
[42:48.800 --> 42:49.800]  Did he?
[42:49.800 --> 42:50.800]  Okay.
[42:50.800 --> 42:51.800]  I wasn't sure.
[42:51.800 --> 42:52.800]  I knew it was somewhere close.
[42:52.800 --> 42:57.480]  Well, no, just go to Google and type in Alaska Senate race and we'll find out the numbers.
[42:57.480 --> 42:58.720]  I appreciate your call.
[42:58.720 --> 43:03.000]  You know, we're going to come back and I'm going to get to your calls.
[43:03.000 --> 43:09.000]  I just start talking about all the crimes I know that illegitimate criminal government
[43:09.000 --> 43:11.480]  commits every day.
[43:11.480 --> 43:12.480]  It's now institutionalized.
[43:12.480 --> 43:17.280]  I mean, they just commit crime right out in the open and just, yeah, yeah, we're dealing
[43:17.280 --> 43:18.280]  the drugs.
[43:18.280 --> 43:21.760]  Yeah, we're posing as anarchists and starting fights so we can ban protests.
[43:21.760 --> 43:26.760]  Yeah, we're taking people's kids with no warrants or no probable cause and yeah, a lot of them
[43:26.760 --> 43:30.440]  died in our custody, but so what?
[43:30.440 --> 43:35.280]  Led from solder and copper pipes, mercury from fish, dental fillings, vaccines, arsenic
[43:35.280 --> 43:36.280]  in the water.
[43:36.280 --> 43:40.120]  These heavy metal toxins are difficult or even impossible to avoid.
[43:40.120 --> 43:44.080]  Even trace amounts of these heavy metals over time can impact your health.
[43:44.080 --> 43:48.040]  Many health problems have been suggested as being related to this heavy metal exposure,
[43:48.040 --> 43:52.240]  including memory loss, high blood pressure, depression, mood swings, speech disorders,
[43:52.240 --> 43:55.720]  neuropathy, autoimmune diseases, chronic fatigue, and more.
[43:55.720 --> 43:59.840]  Unfortunately, traditional detoxifying isn't able to clear the body of these harmful and
[43:59.840 --> 44:01.880]  potentially deadly toxins.
[44:01.880 --> 44:06.320]  That's why there's puricleer from Ripple Creek puricleer contains a proprietary blend
[44:06.320 --> 44:11.080]  of ingredients including a cilantro extract and alphalipoic acid, among other ingredients
[44:11.080 --> 44:14.400]  formulated specifically to promote body cleansing.
[44:14.400 --> 44:18.840]  Puricleer also has ingredients selected to promote improved circulation to enhance activity
[44:18.840 --> 44:22.760]  so that heavy metals may be more effectively captured and removed from the body.
[44:22.760 --> 44:30.160]  Order Puricleer now by calling Ripple Creek at 203-331-0363 or go to RippleCreek.com.
[44:30.160 --> 44:35.560]  With the days getting shorter and the nights getting longer, being out after dark increases
[44:35.560 --> 44:39.480]  your odds of being mugged, assaulted, or even worse.
[44:39.480 --> 44:43.600]  Studies show 45% of violent crimes happen after dark.
[44:43.600 --> 44:48.920]  No matter where you are, being unprepared in the wrong place at the wrong time can be
[44:48.920 --> 44:50.720]  extremely dangerous.
[44:50.720 --> 44:53.200]  That's why you need to visit pepperspray.com.
[44:53.200 --> 44:57.240]  Protect yourself with our Mace Brand Triple Action Pocket Model, which contains pepper
[44:57.240 --> 45:02.280]  spray, tear gas, and a UV dye making most attackers think twice.
[45:02.280 --> 45:08.400]  For only $12.95, pepperspray.com also carries hundreds of less than lethal self-defense
[45:08.400 --> 45:12.600]  products, including personal pepper sprays, animal repellents, stun guns, and tasers.
[45:12.600 --> 45:18.440]  Visit pepperspray.com and enter coupon code GCN when you check out and receive 10% off
[45:18.440 --> 45:19.440]  your order.
[45:19.440 --> 45:20.440]  What are you waiting for?
[45:20.440 --> 45:21.940]  Visit pepperspray.com.
[45:21.940 --> 45:27.000]  That's pepperspray.com or call 1-800-908-9988.
[45:27.000 --> 45:46.080]  Go to hempUSA.org, go to hempUSA.org, and ask your legislator, and ask your congressman,
[45:46.080 --> 45:55.320]  and ask your president why can't we grow it here, and ask those companies that love their
[45:55.320 --> 46:04.600]  profits and disease why can't we grow it here, and try our powder seeds and oil, and
[46:04.600 --> 46:14.000]  try our five-pound sampler, and get free shipping anywhere in the states.
[46:14.000 --> 46:24.280]  Go to hempUSA.org, go to hempUSA.org, and call us at 908-691-2608.
[46:24.280 --> 46:30.000]  Or visit us at hempUSA.org.
[46:30.000 --> 46:35.240]  IonicZone has the lowest prices in the USA on shock treatment ozone generators starting
[46:35.240 --> 46:37.240]  at $299.
[46:37.240 --> 46:42.040]  IonicZone shock treatment ozone generators are used by remediation contractors and homeowners
[46:42.040 --> 46:47.360]  alike to sterilize homes and cars, making them free from bacteria, molds, viruses, and complete
[46:47.360 --> 46:49.000]  removal of secondhand smoke.
[46:49.000 --> 46:50.440]  Padotors, you name it.
[46:50.440 --> 46:54.000]  What else can three oxygen atoms, in other words, ozone do?
[46:54.000 --> 46:58.720]  Many hospitals sterilize their operating rooms with ozone before and after operations.
[46:58.720 --> 47:01.040]  And have you ever heard of ozone therapy?
