[00:00.000 --> 00:10.000]  When I grow up I want to be a rock star!
[36:19.000 --> 36:22.000]  Search engine, yay.
[36:22.000 --> 36:29.000]  And it's funded by George Soros whose job is bringing down governments, overthrowing Western countries,
[36:29.000 --> 36:38.000]  bringing in Islamists who was a Nazi collaborator and stole almost all his money and doesn't pay any taxes, basically, and has it all off-shore.
[36:38.000 --> 36:43.000]  A master criminal.
[36:43.000 --> 36:45.000]  Madoff's problem was he wasn't part of the big club.
[36:45.000 --> 36:49.000]  You've got to be in the Soros club and then, hey, you can do anything you want.
[36:49.000 --> 36:53.000]  And so I have Soros breathing down my neck, breathing down your neck.
[36:53.000 --> 37:02.000]  But all his robots and all his disinfo can't stop you telling people about the fraud that Google's partnered with him to run fake news and censor
[37:02.000 --> 37:06.000]  and that you need to financially support info wars.
[37:06.000 --> 37:08.000]  I mean, we are being, people want us to fight the New World Order.
[37:08.000 --> 37:10.000]  You want us to fight the globalists.
[37:10.000 --> 37:11.000]  You want us to take them on?
[37:11.000 --> 37:12.000]  We're doing it.
[37:12.000 --> 37:15.000]  Talk about a robot.
[37:15.000 --> 37:17.000]  Info wars is a probe droid.
[37:17.000 --> 37:26.000]  Info wars is an operation you help build and finance with its continuing long-term mission to go out and take on the New World Order, to expose them,
[37:26.000 --> 37:33.000]  to fight for the family, to fight for religious freedom, to fight for justice, to fight for pro-human operations,
[37:33.000 --> 37:38.000]  to fight for life extension, to be extended to the general public, not just the elites.
[37:38.000 --> 37:44.000]  Just a pro-human, anti-psychotic, anti-sociopath approach.
[37:44.000 --> 37:46.000]  But I need your help to do it.
[37:46.000 --> 37:56.000]  We've got the best water filtration, the best non-geoma heirloom seeds, the best air filtration, the best durable foods, the best firearms associate accessories,
[37:56.000 --> 38:01.000]  the best nutraceuticals and supplements and probiotics and everything else.
[38:01.000 --> 38:12.000]  And when you go there and buy the very best stuff, you finance our operation in the face of intense enemy attacks.
[38:12.000 --> 38:18.000]  I mean, this is a desperate, organic human resistance to the New World Order.
[38:18.000 --> 38:21.000]  And they know that we're that human resistance.
[38:21.000 --> 38:24.000]  It's in Pentagon documents that are out at the very top.
[38:24.000 --> 38:29.000]  They're talking about highly motivated individuals, nationalism, the main threat to the New World Order.
[38:29.000 --> 38:32.000]  And then the military reads their own high-level reports and goes, well, we want to join these guys.
[38:32.000 --> 38:36.000]  We don't want to join the New World Order, but at the top, our military's New World Order run.
[38:36.000 --> 38:41.000]  And Trump's trying to unseat all that, but you need to support us.
[38:41.000 --> 38:47.000]  You need to commit to sign up for auto-ship, get 10% off, cancel any time, but that way you're getting the vitamin B12 or the vitamin D3
[38:47.000 --> 38:50.000]  and either winter so much, or is that sold out now?
[38:50.000 --> 38:56.000]  Or the living defense anti-parasite formula we just got back in that's been sold out.
[38:56.000 --> 38:59.000]  And there's so many big specials. Free shipping is extended right now.
[38:59.000 --> 39:01.000]  Floor-eyed free toothpaste.
[39:01.000 --> 39:04.000]  People still make jokes about that, CNN had to admit.
[39:04.000 --> 39:09.000]  Floor-eyed toothpaste, when women use it, causes a huge IQ reduction in children.
[39:09.000 --> 39:11.000]  I mean, boom, we already knew that.
[39:11.000 --> 39:16.000]  Point is, this isn't a joke, but so many people, they already got Z-Shield 50% off.
[39:16.000 --> 39:18.000]  That sale's going to end tomorrow.
[39:18.000 --> 39:26.000]  Infowarsstore.com or triple-A-2-5-3-3-1-3-9. We got great crew operators that answer 24 hours a day.
[39:26.000 --> 39:30.000]  We'll stop right there. Shop with the good guys, help fund the Infowar if you believe what we're doing.
[39:30.000 --> 39:33.000]  Now, let me get to this next piece of news here.
[39:33.000 --> 39:35.000]  Talking about fake news.
[39:35.000 --> 39:42.000]  The media keeps talking about, oh, the military has a right to refuse an illegal order of Trump, and they're talking about it.
[39:42.000 --> 39:50.000]  Implying that the military hasn't always been taught to refuse illegal orders, and that the president hasn't given any illegal orders.
[39:50.000 --> 39:56.000]  But they keep acting like they're having debates about refusing his orders, because they are illegal.
[39:56.000 --> 40:04.000]  You see, that's the little semantical game that they're playing here.
[40:04.000 --> 40:10.000]  So here's the CNN headline. Top General says he pushed back against illegal nuclear strike order.
[40:10.000 --> 40:18.000]  General John Hyten shared what would happen if he were ordered to launch a nuclear strike.
[40:18.000 --> 40:23.000]  CNN hearing this week focused on the presidential authority to launch nuclear weapons.
[40:23.000 --> 40:30.000]  We have doctrines. All the scenarios are laid out. The president's following the doctrines, the scenarios.
[40:30.000 --> 40:33.000]  But then they imply he's doing something illegal.
[40:33.000 --> 40:39.000]  I provided advice to the president, the general said. He'll tell me what to do, and if it's illegal, guess what's going to happen?
[40:39.000 --> 40:42.000]  Okay, Mr. President, that's illegal. Guess what he's going to do?
[40:42.000 --> 40:52.000]  He's going to say what would be illegal, and we'll come up with options of a mix of capabilities that would be legal to respond to whatever the situation is.
[40:52.000 --> 40:55.000]  And that's the way it works. It's not that complicated.
[40:55.000 --> 41:01.000]  He was at a meeting, and the press was asking him, what would you do if you got an illegal order to launch a nuke?
[41:01.000 --> 41:04.000]  He said, well, I would not follow the illegal order.
[41:04.000 --> 41:07.000]  It's like saying, if someone orders you to rape your wife, what will you do?
[41:07.000 --> 41:10.000]  You won't follow that order. It hasn't happened.
[41:10.000 --> 41:15.000]  What would you do if Trump came in and was snorting cocaine? Well, I'd call the police.
[41:15.000 --> 41:20.000]  So again, we have the whole code, the whole Constitution, the whole military code. They're all taught this.
[41:20.000 --> 41:24.000]  It's illegal to give troops experimental vaccines. They still do it in order to do it.
[41:24.000 --> 41:29.000]  So there's lots of generals following orders that are illegal.
[41:29.000 --> 41:31.000]  But the point is we're not seeing that with Trump.
[41:31.000 --> 41:40.000]  So they're trying to create this whole illusion. CNN had eight articles yesterday and today on their front page about everyone scared of Trump and the nukes to create this fake consensus.
[41:40.000 --> 41:43.000]  Here's a clip of the general talking about it.
[41:43.000 --> 41:51.000]  The law of armed conflict has certain principles, necessity, distinction, proportionality, unnecessary suffering, all those things are defined.
[41:51.000 --> 42:01.000]  And we get, you know, for 20 years it was the William Cali-Mealy thing that we were trained on because if you execute an unlawful order, you will go to jail.
[42:01.000 --> 42:08.000]  You could go to jail for the rest of your life. It applies to nuclear weapons. It applies to small arms. It applies to small unit tactics.
[42:08.000 --> 42:13.000]  It applies to everything. And we apply it as we go through it. It's not that difficult.
[42:13.000 --> 42:20.000]  And the way the process works, if you want to give the details later, I'll go into the details later, the way the process works is it's simple.
[42:20.000 --> 42:26.000]  I provide advice to the president. He'll tell me what to do. And if it's illegal, guess what's going to happen?
[42:26.000 --> 42:27.000]  You say no.
[42:27.000 --> 42:30.000]  I'm going to say Mr. President, that's illegal. And guess what he's going to do?
[42:30.000 --> 42:38.000]  He's going to say what would be legal and we'll come up with options of a mix of capabilities to respond to whatever the situation is. And that's the way it works.
[42:38.000 --> 42:40.000]  We'll be back, ladies and gentlemen.
[42:40.000 --> 42:46.000]  So they take normal doctrine and turn a discussion about doctrine into everyone's scared Trump has nukes.
[42:46.000 --> 42:50.000]  That's how they distort. That's how they manipulate. That's how they control.
[42:50.000 --> 43:17.000]  But Trump's already with the Joint Chiefs. The decision's already made before that guy ever gets called and he knows that.
[43:20.000 --> 43:24.000]  All the rest of it is the highest quality. Read about what it'll do for you and your family. It is amazing.
[43:24.000 --> 43:29.000]  We also have been sold out for three months on biome defense, super high quality, probiotic.
[43:29.000 --> 43:35.000]  It's 25% off out of the gates, back in stock, but for a very limited time.
[43:35.000 --> 43:39.000]  So you get the highest quality, the very cleanest stuff out there. We're really, really proud of it.
[43:39.000 --> 43:44.000]  DNA force and biome defense, probiotic. Now back in stock, infowarslife.com.
[43:44.000 --> 43:50.000]  And when you buy products from globalists, it's an act of trading with the enemy. It is an act of war.
[43:50.000 --> 43:54.000]  It is an act of standing up when you spread the links, the articles and buy products from us.
[43:54.000 --> 44:16.000]  Commit rampage against the enemy totally.
[44:16.000 --> 44:24.000]  Being a conservative, a nationalist, a libertarian or simply a free speech advocate is truly the counterculture.
[44:24.000 --> 44:32.000]  The real punk rock is being a patriot who's pro-America, pro-capitalism and pro-freedom who at the same time is tolerant.
[44:32.000 --> 44:40.000]  Modern liberalism is a counterfeit of Thomas Jefferson's classical liberalism. They are the anti-liberalists.
[44:40.000 --> 44:49.000]  They defend free speech, meet like-minded friends and promote freedom worldwide. We've got more than 60 original designs of high quality t-shirts for men and women,
[44:49.000 --> 44:59.000]  as well as more Patriot Feral at infowarsstore.com. Be part of the Second American Revolution at infowarsstore.com.
[44:59.000 --> 45:11.000]  Hey, did you know that you can now preserve your own food for up to 25 years and still maintain its nutrition and flavor? That's right.
[45:11.000 --> 45:20.000]  Now's the time to build your own food storage with Harvest Rights Freeze Dryers. Go to infowarsstore.com to learn more and check out this innovative and smart technology that's easy to use.
[45:20.000 --> 45:29.000]  And let me tell you something. It is perfect for freeze-drying fruits, vegetables, meats, dairy products, desserts and entire meals. That's what I'm talking about.
[45:29.000 --> 45:38.000]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[45:38.000 --> 45:47.000]  Harvest Rights Freeze Dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[45:47.000 --> 45:55.000]  Now that's what I call the miracle of food preservation. Harvest Rights is truly the world's best, most affordable freeze dryer.
[45:55.000 --> 46:20.000]  So what are you waiting for? Check it out right now at infowarsstore.com.
[46:20.000 --> 46:28.000]  Prostagart formula does just that with this mixture of plant-based nutrients and antioxidants that help give your body total support.
[46:28.000 --> 46:37.000]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium and copper.
[46:37.000 --> 46:48.000]  Prostagart is something that the men on the Infowars crew take every day and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[46:48.000 --> 47:02.000]  Now's the time to start naturally supporting your body. Get Prostagart on your side today exclusively at InfowarsLife.com. That's InfowarsLife.com.
[47:02.000 --> 47:18.000]  You're listening to the Alex Jones Show.
[47:32.000 --> 47:42.000]  He aligns himself with the truth and it's time for you to choose a side. You're listening to Alex Jones.
[47:42.000 --> 47:52.000]  Well, we've talked about the globalists believing they're going to merge the machines and become gods. They're now introducing that next topic.
[47:52.000 --> 48:02.000]  We're ready for that, but meanwhile, this is not a joke coming up next hour. Man in chicken suit arrested for attacking reporter Aaron Owen Schreuer will be in here with us in studio.
[48:02.000 --> 48:13.000]  They now have these dwindling anti-Trump, Soros-funded events. About 16 people showed up. We had a few of our reporters show up down there.
[48:13.000 --> 48:19.000]  There's live feeds of it. There's hours of it. And let me tell you, this is like people escape from a mental institution.
[48:19.000 --> 48:25.000]  They're not trying that crazy. Every one of them was an incoherent loon.
[48:25.000 --> 48:39.000]  Now across town, Millie Weaver was at a Hillary book signing here in Austin, Texas. There's a line coming out of the bookstore.
[48:39.000 --> 48:49.000]  And you can't see it in radio and we had to bleep all the cussing. But there's like 10 women grab a attacker, grab at the microphone.
[48:49.000 --> 48:57.000]  And none of them can talk and it's like scary. This is just going to a book signing and then men wearing shirts saying,
[48:57.000 --> 49:05.000]  in the future, women will rule the world. We're one species moron. It just shows how they've totally brainwashed people.
[49:05.000 --> 49:10.000]  We're going to play part of this segment and then the next. And then Owen's coming in.
[49:10.000 --> 49:16.000]  Just to talk about being attacked by a guy who grabbed the microphone, broke it, attacked him, and then ran.
[49:16.000 --> 49:24.000]  And then for 500 yards, bike police chased a guy in a full chicken suit. Why did the chicken cross the road?
[49:24.000 --> 49:29.000]  Because he was acting like he was on PCP. I don't know if he was on anything. But wait till you hear this guy talk.
[49:29.000 --> 49:36.000]  He's talking to a robot. It's like, and I can't even do robot voices as good. I've done top voice offers folks for major movies.
[49:36.000 --> 49:45.000]  I can't make the noises. We're coming out of him. So it's like they open up mental institutions and you know, Savage was on last week.
[49:45.000 --> 49:49.000]  It's not like we're just saying liberalism is a mental disorder. It really is.
[49:49.000 --> 49:57.000]  So Millie Weaver's piece is really powerful. Gavin Wynch edited it because they'll say something about, well, you know, Loretta Lynch said this or
[49:57.000 --> 50:06.000]  Clapper said that or Donna Brazil said this. And then they'll show the people saying, no, she didn't. And then we show the clip.
[50:06.000 --> 50:12.000]  And then it builds in a crescendo. The video is on YouTube and Facebook. It's only got like a half million views.
[50:12.000 --> 50:18.000]  I should have like 20 million views. New shock video. Female reporter attacked by angry mob at Hillary event.
[50:18.000 --> 50:25.000]  And just again, these are deranged loons. And it turns out she's on a public sidewalk and they keep telling her and these goons are bumping into her.
[50:25.000 --> 50:31.000]  Get out of there. So it starts kind of slow, but builds. And they've got this Hillary security guard that thinks he's God.
[50:31.000 --> 50:36.000]  Let's go ahead and go to the report. Here it is.
[50:36.000 --> 50:38.000]  You're not going to get away with this.
[50:38.000 --> 50:42.000]  Now this is Hillary Clinton. We're just signing it.
[50:42.000 --> 50:45.000]  Whoa! Boo!
[50:45.000 --> 50:47.000]  I agree.
[50:47.000 --> 50:50.000]  Yeah, that's just some of the women coming up flipping us off and attacking her.
[50:50.000 --> 50:58.000]  Millie Weaver reporting for infowars.com. I'm here in Austin, Texas, where Hillary Clinton is scheduled to start her book signing.
[50:58.000 --> 51:08.000]  And you have lots of liberals, mostly women, lined up, ready to go and meet Hillary Clinton to get their what happened books signed.
[51:08.000 --> 51:13.000]  Let's go see what they have to say and see if this shirt triggers them.
[51:13.000 --> 51:19.000]  From the looks of it, from what I can tell, it seems as though everyone is waiting on Hillary Clinton's arrival.
[51:19.000 --> 51:22.000]  They've got this gate in the back entrance of the bookstore open.
[51:22.000 --> 51:25.000]  They have their staff waiting there and they have another door open.
[51:25.000 --> 51:28.000]  But you take this guy. Here he comes.
[51:28.000 --> 51:30.000]  My, how Hillary's falling.
[51:30.000 --> 51:32.000]  All right, so this guy's coming over.
[51:32.000 --> 51:37.000]  She says Trump's obsessed with her. No, she's obsessed with him and won't go away.
[51:37.000 --> 51:39.000]  He sees it's infowars.
[51:39.000 --> 51:42.000]  Okay, so that's one of Hillary Clinton's staffers.
[51:42.000 --> 51:49.000]  He made it like, I don't know, 95% of the journey to come over and approach me and talk to me.
[51:49.000 --> 51:53.000]  And then he stopped and did an about face and turned around and walked away.
[51:53.000 --> 51:59.000]  And the real question here is, is she going to have an ambulance as part of her motorcade?
[51:59.000 --> 52:00.000]  She didn't have to be helped.
[52:00.000 --> 52:02.000]  All right, here it is, right here.
[52:02.000 --> 52:06.000]  She had to be helped out of the car. She couldn't even stand up.
[52:06.000 --> 52:11.000]  They tried to cover that up, but one more car had to get in. They opened the gate again.
[52:11.000 --> 52:13.000]  Here she is, ladies and gentlemen.
[52:13.000 --> 52:16.000]  Look at that. They're going to shut the gates.
[52:16.000 --> 52:20.000]  By the way, some of the YouTube people go, why does Jones talk over videos?
[52:20.000 --> 52:23.000]  Because most of our audience is on radio.
[52:23.000 --> 52:25.000]  Now I'm going to come and say hi to anyone.
[52:25.000 --> 52:26.000]  So I have to narrate it.
[52:31.000 --> 52:33.000]  Here's Hillary about to get out.
[52:33.000 --> 52:37.000]  They're having a little bit of technical difficulties with her gate, it seems like.
[52:37.000 --> 52:42.000]  Maybe the Russians hacked it and there it is. They have to pick her up like a side of beef.
[52:42.000 --> 52:45.000]  Just like they reportedly told us they did and then we caught it on tape.
[52:45.000 --> 52:46.000]  It was caught on tape.
[52:46.000 --> 52:51.000]  A month after we broke it that she was having seizures over 45 minutes.
[52:51.000 --> 52:53.000]  Now they're closing the gate.
[52:58.000 --> 53:00.000]  And by the way, they're on the sidewalk there.
[53:00.000 --> 53:04.000]  You know, we were planning on walking down that direction anyway.
[53:04.000 --> 53:07.000]  But is this private?
[53:07.000 --> 53:10.000]  Yeah, that's not the property of the people that's Whole Foods.
[53:12.000 --> 53:14.000]  You're here with the property owner?
[53:14.000 --> 53:16.000]  Okay, yeah, we're heading down over here.
[53:16.000 --> 53:17.000]  We were heading there anyway.
[53:17.000 --> 53:19.000]  Just to be on public property, you'll be great.
[53:19.000 --> 53:20.000]  Thank you so much.
[53:20.000 --> 53:21.000]  Thank you so much.
[53:21.000 --> 53:28.000]  The guy just lied and said that he's just with the property owner when he was back there with Hillary Clinton's staff.
[53:28.000 --> 53:30.000]  Well, later he's bumping into her.
[53:30.000 --> 53:34.000]  They said you've got to leave and it's clearly the sidewalk.
[53:34.000 --> 53:38.000]  The people who want to meet Hillary Clinton more than anything.
[53:38.000 --> 53:39.000]  Really?
[53:39.000 --> 53:40.000]  Yes.
[53:40.000 --> 53:46.000]  The queen of the death cult, the American death cult.
[53:46.000 --> 53:48.000]  That's about all I have to say.
[53:48.000 --> 53:53.000]  What do you think about Hillary Clinton selling some of our uranium to the Russians?
[53:53.000 --> 53:55.000]  Fake news.
[53:55.000 --> 53:57.000]  That's fake news?
[53:57.000 --> 53:58.000]  Totally.
[53:58.000 --> 54:00.000]  Do you think so?
[54:00.000 --> 54:01.000]  Yeah.
[54:01.000 --> 54:08.000]  Hillary Clinton as the chairman approved this deal to quote the good bard, the lady doth protest too much.
[54:08.000 --> 54:13.000]  What do you think about Bill Clinton and having all these women come forward about raping them?
[54:13.000 --> 54:19.000]  What do you think about Alex Jones' ridiculous behavior on air and his ranting and raving?
[54:19.000 --> 54:25.000]  I see you're using his network though and you've got, you know, his propaganda imprinted on your brain.
[54:25.000 --> 54:32.000]  But don't you think that Hillary Clinton as a woman, if she's really for women that haven't been, you know, sexually assaulted and stuff,
[54:32.000 --> 54:34.000]  don't you think she should have divorced Bill?
[54:34.000 --> 54:36.000]  Have a nice day.
[54:36.000 --> 54:37.000]  Whoa.
[54:37.000 --> 54:38.000]  Another woman grabs it.
[54:38.000 --> 54:39.000]  Somebody got triggered here.
[54:39.000 --> 54:41.000]  Try not to rip it away.
[54:41.000 --> 54:43.000]  Don't grab my microphone.
[54:43.000 --> 54:46.000]  I won't grab any of your personal items, ma'am.
[54:46.000 --> 54:48.000]  Here you are, you little snowflake.
[54:48.000 --> 54:49.000]  Oh, you little snowflake.
[54:49.000 --> 54:51.000]  Don't scare me, but I have boundaries here.
[54:51.000 --> 54:53.000]  Oh, it's so sad.
[54:53.000 --> 54:54.000]  You're so pathetic.
[54:54.000 --> 54:56.000]  You're so pathetic.
[54:56.000 --> 54:58.000]  Yep, dirty looks, hostility.
[54:58.000 --> 54:59.000]  Look at this woman.
[54:59.000 --> 55:00.000]  Hello.
[55:00.000 --> 55:01.000]  I wonder why.
[55:01.000 --> 55:02.000]  I wonder why.
[55:02.000 --> 55:04.000]  Oh, is it because of my shirt?
[55:04.000 --> 55:05.000]  Is it because of my shirt?
[55:05.000 --> 55:07.000]  It's because you work for that trash organization.
[55:07.000 --> 55:08.000]  Yeah, because of Info Wars.
[55:08.000 --> 55:09.000]  Because of Info Wars.
[55:09.000 --> 55:19.000]  Which is a, if you want to talk about fake news, let's talk about what you guys do and how you're not real journalists.
[55:19.000 --> 55:25.000]  Let's talk about CNN, NBC, all of these other mainstream media organizations that have been caught in fake news.
[55:25.000 --> 55:27.000]  They were so down that it makes you sick.
[55:27.000 --> 55:28.000]  Yeah, give me an example.
[55:28.000 --> 55:35.000]  They were pushing that Trump was lying about having been spied on by the Obama administration.
[55:35.000 --> 55:36.000]  Okay?
[55:36.000 --> 55:37.000]  And guess what?
[55:37.000 --> 55:40.000]  Then later they had to say, oh wait, we were wrong.
[55:40.000 --> 55:44.000]  While Info Wars all along was saying, no, we have sources that say that that was true.
[55:44.000 --> 55:50.000]  And guess what? It came out in congressional hearings that yes, Trump was being eavesdropped on.
[55:50.000 --> 55:59.000]  Mr. Clapper and Ms. Yates did either of you ever request the unmasking of Mr. Trump, his associates, or any member of Congress?
[55:59.000 --> 56:09.000]  Yes, in one case I did.
[56:09.000 --> 56:10.000]  I'm sorry.
[56:10.000 --> 56:12.000]  I need for you to go because you were upsetting people.
[56:12.000 --> 56:14.000]  I need for you to go.
[56:14.000 --> 56:15.000]  We care about our customers.
[56:15.000 --> 56:17.000]  Hey, hey, let's both go.
[56:17.000 --> 56:21.000]  You need to go or we're going to call other people to come get you out of here.
[56:21.000 --> 56:25.000]  You need to go or we're going to call other people to come get you out of here.
[56:25.000 --> 56:27.000]  I'll get you. I'll get you.
[56:27.000 --> 56:30.000]  And when I do, you're going to be busted.
[56:30.000 --> 56:32.000]  Call him. Call him.
[56:32.000 --> 56:34.000]  Do you know where I'm standing right now? That's the funny part.
[56:34.000 --> 56:37.000]  Do you know where I'm standing? I'm standing.
[56:37.000 --> 56:40.000]  You're being inappropriate and you know you're being inappropriate. Please go.
[56:40.000 --> 56:41.000]  The left loves that word.
[56:41.000 --> 56:46.000]  You guys are really like, this is like tyrannical right here.
[56:46.000 --> 56:48.000]  You don't believe in the First Amendment, do you?
[56:48.000 --> 56:52.000]  You are being inappropriate. You are upsetting people. You need to go.
[56:52.000 --> 56:54.000]  Are you upset? Is that why?
[56:54.000 --> 56:57.000]  You have upset people. You know you did it. You need to go.
[56:57.000 --> 56:58.000]  You know you did it.
[56:58.000 --> 56:59.000]  But you're being very inappropriate.
[56:59.000 --> 57:01.000]  Send the Secret Service here then.
[57:01.000 --> 57:02.000]  And you need to go.
[57:02.000 --> 57:03.000]  Send the Secret Service. Send the police.
[57:03.000 --> 57:06.000]  Actually, hi. She's upsetting people and she's causing a...
[57:06.000 --> 57:10.000]  And now they got this guy and I like a fake cop outfit.
[57:10.000 --> 57:12.000]  I don't mind security guards.
[57:12.000 --> 57:14.000]  But when they're wearing the fake cop outfits.
[57:14.000 --> 57:16.000]  I'm just standing here on a public sidewalk right now in the public.
[57:16.000 --> 57:17.000]  If people are sitting here...
[57:17.000 --> 57:19.000]  He looks like a third world dictator.
[57:19.000 --> 57:20.000]  Making sure people are okay.
[57:20.000 --> 57:22.000]  He just resigned from Zimbabwe as the president.
[57:22.000 --> 57:24.000]  Is that Robert Mugabe?
[57:24.000 --> 57:25.000]  Okay, what happened?
[57:25.000 --> 57:26.000]  Is that his new job?
[57:26.000 --> 57:27.000]  Donald Trump won.
[57:27.000 --> 57:29.000]  So, Mount Nasty.
[57:29.000 --> 57:30.000]  Hey, we're going to go back.
[57:30.000 --> 57:31.000]  It gets even crazier.
[57:31.000 --> 57:34.000]  Second Hour, Owen Shroyer, In Studio, it's all coming up.
[57:34.000 --> 57:38.000]  Infowars.com, now under Direct Google, Soros Attack.
[57:38.000 --> 57:39.000]  Google has officially merged.
[57:39.000 --> 57:41.000]  With Soros, this is public.
[57:41.000 --> 57:44.000]  And all conservative Christian groups are all being blocked.
[57:44.000 --> 57:45.000]  All being censored.
[57:45.000 --> 57:46.000]  It needs to be major class action.
[57:46.000 --> 57:49.000]  We need to have anti-trust by the president.
[57:49.000 --> 57:53.000]  I am very proud to announce the introduction of the highest quality
[57:53.000 --> 57:56.000]  Infowars Biome Defense Probiotic.
[57:56.000 --> 58:01.000]  We wanted to come out with the largest spectrum of high quality,
[58:01.000 --> 58:07.000]  known probiotics that have been proven to improve overall digestion
[58:07.000 --> 58:10.000]  and health and detoxification in the body.
[58:10.000 --> 58:15.000]  Biome Defense is an exclusive blend of 50 billion live and active cultures
[58:15.000 --> 58:20.000]  from over 23 different probiotic strains that are known to support
[58:20.000 --> 58:22.000]  digestion and intestinal function.
[58:22.000 --> 58:25.000]  Our researchers are confident that we have been able to develop
[58:25.000 --> 58:29.000]  what will be the leading probiotic on the market.
[58:29.000 --> 58:33.000]  Secure your Biome Defense in ultra strength or regular strength
[58:33.000 --> 58:38.000]  at InfowarsLife.com today and get started supporting your digestive system naturally.
[58:38.000 --> 58:40.000]  We've been testing this formula for years,
[58:40.000 --> 58:43.000]  but this is the limited first round of the public,
[58:43.000 --> 58:46.000]  so please take advantage of it today, support your own health,
[58:46.000 --> 58:48.000]  and support the Infowar.
[58:51.000 --> 58:55.000]  Refresh your breath with Immersistential's organic mouthwash.
[58:55.000 --> 58:58.000]  Our formula is made from organic herbal ingredients
[58:58.000 --> 59:01.000]  to help stimulate the gums and provide a cleansing effect
[59:01.000 --> 59:04.000]  while adding a pleasant or refreshing taste.
[59:04.000 --> 59:08.000]  Immersistential's mouthwash is non-GMO certified organic
[59:08.000 --> 59:12.000]  made without alcohol, chemicals, or other artificial ingredients
[59:12.000 --> 59:15.000]  such as flavors, fragrances, or dyes.
[59:15.000 --> 59:18.000]  The pure organic plant extracts are concentrated
[59:18.000 --> 59:22.000]  containing antibacterial properties that work well to help tone gums
[59:22.000 --> 59:24.000]  and freshen your breath.
[59:24.000 --> 59:27.000]  This antiseptic mouthwash is a concentrated formula.
[59:27.000 --> 59:31.000]  You will need to dilute one part mouthwash to 10-parts water.
[59:31.000 --> 59:35.000]  Immersistential's mouthwash is a great addition to your daily brushing routine.
[59:35.000 --> 59:40.000]  It is effective, yet gentle enough for the most sensitive gums and canker sores.
[59:40.000 --> 59:43.000]  Go organic today with Immersistential's.
[59:43.000 --> 59:46.000]  Visit InfowarsStore.com to learn more.
[59:46.000 --> 59:58.000]  That's InfowarsStore.com.
[1:00:17.000 --> 1:00:20.000]  So, I'm going to play a little bit more of this.
[1:00:20.000 --> 1:00:22.000]  The exciting conclusion we won't have time to get to
[1:00:22.000 --> 1:00:24.000]  is how much longer it's coming in studio.
[1:00:24.000 --> 1:00:28.000]  But New Shock Video, female reporter attacked my angry mob at Hillary event.
[1:00:28.000 --> 1:00:32.000]  And I specifically, you know, see these renaissance
[1:00:32.000 --> 1:00:35.000]  in like, at the mall, in like general outfits
[1:00:35.000 --> 1:00:38.000]  and huge hats and stars all over them.
[1:00:38.000 --> 1:00:41.000]  It's kind of cheesy when generals do it in the US.
[1:00:41.000 --> 1:00:45.000]  They've got nuclear submarines and, you know, admirals and the rest of it.
[1:00:45.000 --> 1:00:49.000]  But, you know, it is something dictatorial,
[1:00:49.000 --> 1:00:52.000]  kind of like Nazi Germany or old Soviet Russia,
[1:00:52.000 --> 1:00:55.000]  where they start festooning the general public.
[1:00:55.000 --> 1:00:57.000]  And so, yes, I think there are parallels of Robert Mugabe.
[1:00:57.000 --> 1:00:59.000]  That's why I made the joke. He's a dictator.
[1:00:59.000 --> 1:01:01.000]  He may be out of a job.
[1:01:01.000 --> 1:01:03.000]  Maybe he can come over here.
[1:01:03.000 --> 1:01:06.000]  Or maybe he gets money from North Korea, Kim Jong-un, where they love uniforms.
[1:01:06.000 --> 1:01:08.000]  They can come over and work for Hillary.
[1:01:08.000 --> 1:01:12.000]  Because that's kind of what they've been trying to set up here with the security guard.
[1:01:12.000 --> 1:01:16.000]  He's got guys like the things he's for with his big beard.
[1:01:16.000 --> 1:01:19.000]  So he's the, he's the Viking dictator.
[1:01:19.000 --> 1:01:24.000]  And then we've got the fellow, I guess, who's trying to walk in the shoes of Robert Mugabe.
[1:01:24.000 --> 1:01:27.000]  Let's go back to that clip. Here it is.
[1:01:27.000 --> 1:01:31.000]  So, Mount Nasty. See that one.
[1:01:31.000 --> 1:01:38.000]  What do you think about Bill Clinton, all these women having accused Bill Clinton of raping them?
[1:01:38.000 --> 1:01:44.000]  What are you doing standing in front of me, sir?
[1:01:44.000 --> 1:01:48.000]  So now, okay, this is exactly what Donna Brazil was talking about.
[1:01:48.000 --> 1:01:52.000]  It was a cult. I felt like it was a cult. You could not penetrate them.
[1:01:52.000 --> 1:01:56.000]  Cult-like behavior from Hillary Clinton's staff and private security.
[1:01:56.000 --> 1:01:58.000]  You're saying we didn't comply?
[1:01:58.000 --> 1:02:01.000]  Yeah, we just asked you to head off property, trying to be as polite as possible.
[1:02:01.000 --> 1:02:04.000]  We are off property. This is a public sidewalk.
[1:02:04.000 --> 1:02:06.000]  Stop harassing our patrons.
[1:02:06.000 --> 1:02:08.000]  You and Robert Mugabe are wrong.
[1:02:08.000 --> 1:02:12.000]  I see other press organizations walking around talking to people.
[1:02:12.000 --> 1:02:14.000]  And they're not harassing people either.
