[00:00.000 --> 00:15.000]  Another world, another time, in the age of wonder.
[49:17.000 --> 49:24.000]  I showed up today. I spoke out during the impeachment scam hearings. I got arrested. I went to jail.
[49:24.000 --> 49:31.000]  I'm standing out here in the freezing rain filing reports. There's nobody that can do this, folks, only at Info Wars. Are you going to see covers like this?
[49:31.000 --> 49:41.000]  But Alex, you know, I have to say, I'm a little ticked off at the fact that I get arrested for disrupting Congress, okay?
[49:41.000 --> 49:50.000]  60 seconds or less of my disruption in Congress. I go to jail. I'm booked. They had to take my fingerprints and everything, gave me a search.
[49:50.000 --> 50:01.000]  I'm doing court in a month. But Jerry Nadler and Adam Schiff and Nancy Pelosi and the Democrats get to disrupt Congress for three plus years and not a single person has been arrested.
[50:01.000 --> 50:08.000]  Now, look, I don't need President Trump to say that he knows me. I don't need a notification or anything from Trump.
[50:08.000 --> 50:16.000]  But man, President Trump, if you don't do something about these damn treasonous Democrats, then I'm going to be pissed, man.
[50:16.000 --> 50:21.000]  I don't care. I'll come take the slings and arrows just like Trump is doing right now at the very top of this deal.
[50:21.000 --> 50:33.000]  But man, if I get arrested and I had to go to court and all this crap for less than 60 seconds, disruption of Congress, when Congressman Jerry Nadler and Adam Schiff are doing that every day,
[50:33.000 --> 50:39.000]  man, that's not how this country works. That's not justice. That's backwards, Alex.
[50:39.000 --> 50:46.000]  But letting it happen is aiding and abetting it and expanding on that.
[50:46.000 --> 50:56.000]  They knowingly lied during the election and after they had illegal wiretaps. They lied to Congress and now they've got new lies to obstruct the operation of our country.
[50:56.000 --> 51:03.000]  They've admittedly been trying to plunge the economy to sabotage our populist uprising to peacefully take our country back.
[51:03.000 --> 51:13.000]  And you're absolutely right. And putting up with this and the Justice Department doing nothing and really catering to all this has encouraged the type of criminal activity we've seen
[51:13.000 --> 51:23.000]  until now Democrats are everywhere calling for violence and Trump supporters to die and for Trump to die and for his family to die and his son to be attacked in the damn Congress.
[51:23.000 --> 51:28.000]  So we're telling Trump, take the gloves off. We're taking them off. Aren't we going?
[51:28.000 --> 51:34.000]  Well, that's the question. When is the break back moment here, Alex? I mean, it could have been today. I know there are patriots in that room with me.
[51:34.000 --> 51:39.000]  I know that there's probably patriots that are inside the police force that don't like what's going on.
[51:39.000 --> 51:46.000]  You know, today they decided not to rise up and, you know, let me get arrested and hauled out of there and Jerry Nadler have me arrested probably and, you know.
[51:46.000 --> 51:52.000]  But when is the break back moment? When are people going to say, you know what? No, Owen Schreuer is not the criminal here.
[51:52.000 --> 51:56.000]  No, Owen Schreuer is not the one disrupting Congress here. No, Trump is not the problem.
[51:56.000 --> 52:00.000]  Somebody's got to take the whiskey bottle away from the Democrats.
[52:00.000 --> 52:06.000]  When is it going to happen? And look, I didn't expect it to happen today, but it could have. I know there are patriots in that room.
[52:06.000 --> 52:11.000]  Dozens of people could have stood up and started shouting down Jerry Nadler for the treason that they know.
[52:11.000 --> 52:16.000]  I want to be clear. This is this is fruit of the poison tree. They admit it was done in secret in the wrong committee.
[52:16.000 --> 52:24.000]  Now it's come out that SHIF was wiretapping people, then leaking it illegally and acting like the wiretap shows something criminal, which it doesn't.
[52:24.000 --> 52:32.000]  The ranking member of the Intelligence Committee, Nunez, his colleague that sits a foot from him talking to Trump.
[52:32.000 --> 52:38.000]  They're now leaking members of the Intelligence Committee talking to the president acting like that's illegal.
[52:38.000 --> 52:46.000]  The crime is the fricking spying on the president and Congress, you little chicken net devil worship or SHIF.
[52:46.000 --> 52:59.000]  Yeah, and beyond, Alex. So again, you know, people saw what I did today and hopefully it's enough inspiration to make a real call to action or a desire to take action, because that's what it's going to take.
[52:59.000 --> 53:05.000]  If it's one person every time, then the system's going to win. They can haul me away, put me in jail, put me in court.
[53:05.000 --> 53:12.000]  If it's one person every time, the system will win every time. But if it's one person and then two people, they would have had to shut that hearing down.
[53:12.000 --> 53:22.000]  If 20 people, one after the next, got up and said, you've been obstructing America, you've been lying, you've been using your investigative power for fraud, you need to go to prison.
[53:22.000 --> 53:27.000]  If the FBI, the Justice Department won't do their job, the American people are going to start doing it.
[53:27.000 --> 53:34.000]  But Alex, let's be clear here. There is nothing that Jerry Nadler and Adam Schiff fear more than the American people's right to free speech.
[53:34.000 --> 53:39.000]  They don't fear violence. We're not violent revolutionaries. They know that. We're not going to commit them violently.
[53:39.000 --> 53:49.000]  No one's threatening Jerry Nadler. Nobody's threatening with violence. But oh, if people show up to Jerry Nadler's rigged hearings and start shouting him down, guess what?
[53:49.000 --> 53:52.000]  Jerry Nadler's going to start pooping his oversized pants.
[53:52.000 --> 53:59.000]  That's right. The Democrats' official policy is to go to Republican events and shut them down and to have universities ban speech and everything else.
[53:59.000 --> 54:06.000]  But they get 60 seconds from you saying what Professor Turley said that what they're doing is illegal. What they're doing is impeachable.
[54:06.000 --> 54:09.000]  Oh, then you've got to be arrested and indicted.
[54:09.000 --> 54:12.000]  So that's the action. That's the answer, Alex.
[54:12.000 --> 54:18.000]  Someday, I don't know when it's going to be, but someday someone is going to feel inspired enough to stand up and say, you know what?
[54:18.000 --> 54:21.000]  No, I agree with that man. You're trying to arrest right now who's innocent.
[54:21.000 --> 54:26.000]  And then another person. And then it's a tidal wave, Alex. And then there's no putting the genie back in the bottle.
[54:26.000 --> 54:34.000]  And then all of America's awakened and the crooks like Jerry Nadler and Adam Schiff, they'll be the ones hiding from police.
[54:34.000 --> 54:37.000]  Oh, and I want you to stay there for a couple more segments. I know you got to get back to work there.
[54:37.000 --> 54:42.000]  And I'm not going to let folks even know the next moves because I told you guys do whatever it is you think's best.
[54:42.000 --> 54:45.000]  But we've got a lot planned there in Hershey, Pennsylvania tomorrow and more.
[54:45.000 --> 54:58.000]  But Owen, when we come back, I want to talk about why you decided to do that today and then their response and the fact you said a grassroots level that I was literally telling my wife while you were doing it.
[54:58.000 --> 55:04.000]  I have a feeling that the uprising is going to begin today and that people are just going to hit the streets and then I have faith in the American people.
[55:04.000 --> 55:12.000]  It's going to happen. We're going to beat them. And I literally was electrified. My wife was like, whoa, you know, you are like on fire.
[55:12.000 --> 55:20.000]  She said, you're like an electricity coming through you. But that was the very minute I checked because I learned five minutes later, people sort of calling me that you were doing that.
[55:20.000 --> 55:24.000]  I could feel the literal spiritual force. But I want to point something out.
[55:24.000 --> 55:30.000]  Alex, that's because it's God. It's not me. Absolutely. And I can feel the disturbance of the force.
[55:30.000 --> 55:38.000]  We're going to talk about when we come back. But we have a multimedia operation, radio, TV, internet, drugs linked to us that helped boost it massively.
[55:38.000 --> 55:45.000]  It was something like a half million people on the page right before we went live. I don't even know what it is right now. The page he's linked to, the drugs linked to right in the middle column.
[55:45.000 --> 55:51.000]  People keep asking, what's going on with Drudge? He wants action. He wants resistance. He wants us to take the left on.
[55:51.000 --> 55:57.000]  If Trump's going to sit there and just have everything's okay, then why not go ahead and run with the leftist headlines?
[55:57.000 --> 56:05.000]  That's what this is coming down to. We need to get out of the mud. We need to take action. And the fact that info wars even exist.
[56:05.000 --> 56:14.000]  They hate it so much that we can show you what's really happening, that we can let people know that the only voice is not the corporate, globalist, deceptive, chai, combat voice.
[56:14.000 --> 56:30.000]  So this is an amazing time. I'm standing in the listeners. Ladies and gentlemen, we have the hyaluronic super silver skin cream that has the vitamins, the minerals, and women that know about this, that go to Ulta and get high-end brands that are twice the cost for just hyaluronic acid.
[56:30.000 --> 56:47.000]  Read this and they go, oh my gosh, coconut oil, and it's got the silver solution, and it's got the other high-quality essential oils in it, and the hyaluronic acid, the 3.4 ounce tubes are back in stock.
[56:47.000 --> 57:00.000]  Great gifts for your wife, great gifts for your husband, because this isn't just about skin looking good. This is a silver barrier patented that protects you from the viruses and the bacteria at the skin level.
[57:00.000 --> 57:10.000]  It really is next level. Look at those 100% reviews. We have it without the essential oil. We have it with the essential oil. We have it in the smaller 1 ounce tubes as well.
[57:10.000 --> 57:18.000]  That's discounted 25% off. When we do it at 50% off, that was a mistake. That's at cost when we do that. We can't run everything at cost anymore.
[57:18.000 --> 57:30.000]  A lot of the items you see being sold at cost right now is because we're clearing inventory of great products just to fund ourselves in the next year, and the next year prices have to go up because I've actually been doing the accounting and the modeling just to keep us on air through 2020.
[57:30.000 --> 57:49.000]  So please get products you need at infowarsstore.com, get your bodies, ultimate turmeric formula, it's the strongest out there, get your fish oil, get your krill oil that's back in stock, get your brain force or turbo force, double patriot points, free shipping, huge deals, too many to list, infowarsstore.com.
[57:49.000 --> 58:04.000]  Twilight is here. The sun is setting on 2019 and we hurdle into the year 2020, only 330 days out from this incredibly historic election.
[58:04.000 --> 58:22.000]  And it's more important than ever to pray for President Trump and to pray for his provision and his protection. He's completely surrounded and to pray for him to have discernment and to be bold and to take action and not listen to the advisors that tell him to hold back and that if he goes after the deep state that they'll remove him from office.
[58:22.000 --> 58:39.000]  They're trying to remove him regardless because they know that God put him in office and that he's going to continue his work and he's going to continue exposing them and bringing them down, but that if he doesn't execute in that office that God's given him that the globalist could win.
[58:39.000 --> 58:50.000]  Ladies and gentlemen, now is the time more than ever to pray for President Trump and please pray for infowars and please pray for all the children being targeted by the globalist. Thank you and God bless you all.
[58:50.000 --> 58:58.000]  The 12 days of Christmas Super Sale has come to Infowars with free shipping store-wide and double Patriot points.
[58:58.000 --> 59:15.000]  Finish your Christmas shopping with one click and support the Infowar. For the 12 days of Christmas, we're adding a new special every day plus free shipping double Patriot points and extra stickers in every package to be good little elves and spread the Infowar triggering libtards.
[59:15.000 --> 59:27.000]  Check in every day to find the new deals. Secure a bottle of the good halogen, X3 at cost at $29.95 and get a free bottle of Biotru Selenium.
[59:27.000 --> 59:36.000]  Buy real red pill plus and real red pill at 65% off and get a free bottle of Selenium as well. Silver Bullet is only $9.95.
[59:36.000 --> 59:53.000]  Ultimate Female Force and Super Female Vitality Combo are at cost at $29.95. Eight Pack Power Stack is also at cost at $29.95 with free shipping and over 100 others at infowarsstore.com and support the Infowar.
[1:00:06.000 --> 1:00:24.000]  Live from Austin, Texas, it's Alex Jones.
[1:00:24.000 --> 1:00:36.000]  All right, I am really fired up. If you just joined us, Owen Schwerer got arrested this morning, our great reporter. He just spontaneously, as a citizen, had to say something to Nadler at the beginning of this illegal process.
[1:00:36.000 --> 1:00:45.000]  They say they've got the votes. They're going to go to the Senate. The others say they may have the votes in the Senate. I sense danger. I see it. Lord Vader is in danger.
[1:00:45.000 --> 1:00:56.000]  I'm not the floor of the segment the next because I was interrupting. I'm so wound up. Why did you do it? What was it like? What happened behind the scenes? And then what is your message to the American people?
[1:00:56.000 --> 1:01:06.000]  Well, Alex, anybody who has been following me knows that I'm not afraid to confront a crowd of people or congressmen or really anybody.
[1:01:06.000 --> 1:01:18.000]  But specifically in this incident, I had, I was harboring some regrets, Alex, because we were down here in DC about a month ago and forgive me if I'm shivering. There's freezing rain happening right now.
[1:01:18.000 --> 1:01:24.000]  By the way, no one else will sit out here and do this report, folks. Only Infowars. You can check me on that, guaranteed.
[1:01:24.000 --> 1:01:33.000]  But Alex, I had was harboring some regret because I didn't stand up during the Roger Stone hearings. I didn't stand up during the Roger Stone trials. And I knew that was a rigged trial.
[1:01:33.000 --> 1:01:43.000]  We knew what they were doing to Roger. We knew they were rigging the jury and rigging the prosecution and the judge and everything. And I sat there and I obeyed the system.
[1:01:43.000 --> 1:01:53.000]  And I was a good little slave and a good little peon. And I didn't say anything. And I regretted it. And I didn't want to take that same regret back to Austin, Texas with me this time.
[1:01:53.000 --> 1:02:11.000]  And it was probably providential. Obviously, I love Roger Stone and he's an innocent man and we want him freed and we hope he gets a presidential pardon. But on the overall aggregate of things, the impeachment against Trump is just a little bit bigger than the Roger Stone rigged case.
[1:02:11.000 --> 1:02:27.000]  And so I knew that there was no way I could come back to Austin, Texas without confronting Jerry Nadler and the Democrats. And there's another element to this, Alex. Infowars, people don't want to give us the respect we deserve.
[1:02:27.000 --> 1:02:41.000]  And that's fine. We'll be the dark night. But, you know, I hope that people in the media and Republicans in Congress saw what we did here today. And they realize, guess what? There's people that are still out there.
[1:02:41.000 --> 1:02:51.000]  There's people that are ticked off. There's people that are fed up. And if you're a Republican in Congress and you're fed up, well, it's time to speak up. It's time to take action.
[1:02:51.000 --> 1:03:03.000]  And so maybe this one little act of resistance today can inspire 10 acts of resistance tomorrow. And then those acts can inspire 1000 next week and so on and so forth.
[1:03:03.000 --> 1:03:09.000]  And then we won't have to deal with these rigged hearings and fake impeachment scams and Jerry Nadler's and Adam Schiff's.
[1:03:09.000 --> 1:03:15.000]  But we got a long way to go, Alex. But unless you take that first step, I forget the old adage.
[1:03:15.000 --> 1:03:26.000]  The journey of 1000 miles starts with a single step. Exactly. So this was maybe not a single step for me today. Perhaps maybe a long stride or one in many strides.
[1:03:26.000 --> 1:03:35.000]  But I just hope that people realize you have the power, folks. I mean, yeah, you're going to, I mean, don't get me wrong. The system is going to try to crush you.
[1:03:35.000 --> 1:03:42.000]  I mean, look at what's happened to us. I don't need to go into details. But again, look at the censorship we endure. Look at the attacks that we endure.
[1:03:42.000 --> 1:03:54.000]  But America and the world has gotten into this because nobody wants to put skin in the game. And we've laid down to so much that now don't say mother and father teach five year olds how to have sex with adults.
[1:03:54.000 --> 1:04:00.000]  I mean, true eagles out in the open because it has a hunger and we haven't had a hunger for freedom. Well, guess what? The hunger is back.
[1:04:00.000 --> 1:04:06.000]  We're going to break here in a minute. I want to come back and talk more about this. You're not allowed in the Capitol right now.
[1:04:06.000 --> 1:04:12.000]  I guess they'll let you back in. I was the one saying shoot live in front of the Capitol. Sorry, you're freezing to death out there.
[1:04:12.000 --> 1:04:19.000]  But it is a powerful shot. But when we come back, I want to set the table here for what's coming next if we don't take action.
[1:04:19.000 --> 1:04:29.000]  But the fact that almost no one is actually confronting these people and no one's calling them on it. That's why it makes it so big when you said you're the one's guilty of treason.
[1:04:29.000 --> 1:04:38.000]  No one's selling the nation out. As Professor Turley said, that's why it's all over the news. It's so huge right now and why a million people are on that article.
[1:04:38.000 --> 1:04:48.000]  The DrudgeReport.com link to right there in the middle. It's got the live feed of the show and what you did because in a nation of people not taking action, the man that does stand up is king.
[1:04:48.000 --> 1:04:55.000]  I mean, look at how you took action right there. It's like the emperor's new clothes. Little kid that stands up and says the emperor is naked. You just did that.
[1:04:55.000 --> 1:04:59.000]  Well, they're right back. Owen Schroyer.
[1:04:59.000 --> 1:05:10.000]  My fellow Americans, many of you will have been following the impeachment proceedings brought against me by the Democrats, this political witch hunt is tearing our country apart and not in a good way.
[1:05:10.000 --> 1:05:20.000]  While I truly believe that I'm completely innocent of all charges, I have nonetheless decided to make the following announcement. Jeffrey Epstein did not kill himself.
[1:05:20.000 --> 1:05:30.000]  What you just heard was not President Trump. It was a deep fake that just went live on the Internet yesterday. President Trump did not say.
[1:05:30.000 --> 1:05:32.000]  Jeffrey Epstein did not kill himself.
[1:05:32.000 --> 1:05:36.000]  Now the audio can fool you, but the video really does.
[1:05:36.000 --> 1:05:51.000]  Soon into us, we'll tell you what's real and what's fake when it's mainstream media that famously has been caught doing thousands of deep fakes like ABC and the supposed curd attack footage that was really knob Creek machine gun shootout or stuff that Megan Kelly has done to me with deep fakes.
[1:05:51.000 --> 1:06:09.000]  These people are sick. Info wars has the history of exposing deep fakes, not being involved in them.
[1:06:09.000 --> 1:06:28.000]  Defending the Republic from enemies, foreign and domestic. It's Alex Jones.
[1:06:28.000 --> 1:06:39.000]  The energy level on this planet and this country is off the charts. We are at the crossroads right now deciding the future destiny of humanity at a level never before done.
[1:06:39.000 --> 1:07:02.000]  The lawyer arrested this morning for simply getting up for 60 seconds. He didn't resist and just saying you're the ones that are guilty of treason. You're the ones that are obstructing this nation. You're the ones that are lying about the president. You're the ones that want to impeach him for thought crime.
[1:07:02.000 --> 1:07:20.000]  Judiciary committee. It's all began in the intelligence committee down in the basement. That's exactly what liberal law professor Jonathan Turley said last week what Owen said to their faces, the evil citizen exercising his speech in that rig kangaroo event. Here it is.
[1:07:20.000 --> 1:07:38.000]  We can't emphasize this enough and I'll say it just one more time. If you impeach a president, if you make a high crime in misdemeanor out of going to the courts, it isn't abuse of power. It's your abuse of power.
[1:07:38.000 --> 1:07:52.000]  You're doing precisely what you're criticizing the president for doing. We have a third branch that deals with conflicts of the other two branches. And what comes out of there and what you do with it is the very definition of legitimacy.
[1:07:52.000 --> 1:08:06.000]  Now, here's what Owen said this morning and the left calling for him to be imprisoned. They're calling for his death on Twitter. I mean, it is just insane. They're telling him you don't have any power. We're going to indict your president. He's going to be removed. We're coming for you next.
[1:08:06.000 --> 1:08:26.000]  I'm so angry that nationalists and the silent majority, the sleeping giant might actually wake up, might actually take action that you might peacefully, legally and lawfully take action. Here's what Owen had to say.
[1:08:26.000 --> 1:08:46.000]  Jerry Nadler and the Democrat Party are committing treason against this country. And you can kick me out, but he's the one committing crimes. You are, Jerry Nadler. You're the one committing treason. America's done with this.
[1:08:46.000 --> 1:08:58.000]  America's sent to the trees. We're committed by the Democrat Party. They're not going to sit here and watch you run in the streets. They're going to remove our vote. We voted for Donald Trump. And their people are going to remove this because they don't like it.
[1:08:58.000 --> 1:09:17.000]  America's sent to the trees in China. They're sent to the Democrats' region. We all committed crimes and it wasn't Trump. Trump is innocent.
[1:09:17.000 --> 1:09:32.000]  Those of us who we were hit with on solar panels just had hundreds and thousands of employees, think society is greater than what we think it is.
[1:09:32.000 --> 1:09:41.000]  Obviously, you don't wanna get in any of them, but you don't want to be in any of the dictatorial spheres.
[1:09:41.000 --> 1:09:46.000]  Next I have a question about Moran Sand.
[1:09:46.000 --> 1:09:50.680]  rally in Pennsylvania. It's a battleground state. It's not too far from DC and the East
[1:09:50.680 --> 1:09:57.000]  Coast. So you assume that the left is going to bus Antifa or Trump protesters out there.
[1:09:57.000 --> 1:10:02.480]  But you know, back to what happened today, I think that probably Jerry Nadler had more
[1:10:02.480 --> 1:10:07.320]  fear today than he ever had in his life. And that's because not because of anything physical,
[1:10:07.320 --> 1:10:11.340]  not because we're going to be violent, but because he saw someone stand up against him.
[1:10:11.340 --> 1:10:15.560]  And these people are not used to that. They're used to just running America over. They're
[1:10:15.560 --> 1:10:19.400]  used to just defying American law. It's amazing. Once you get in Congress, you can just do
[1:10:19.400 --> 1:10:24.000]  whatever the hell you want. You're above the law, apparently. So they can disrupt Congress,
[1:10:24.000 --> 1:10:31.800]  but I'm not allowed to do so. Maybe this starts a wave of citizen activism against this Democrat
[1:10:31.800 --> 1:10:37.640]  treason. And that's what it deserves. Because if, look, folks, I mean, we can sit here and
[1:10:37.640 --> 1:10:41.600]  ask Trump to do stuff all day long. And believe me, I get it. But if we're not going to take
[1:10:41.600 --> 1:10:46.200]  action, then can we really blame Trump? If you're not going to take action, can you really
[1:10:46.200 --> 1:10:50.320]  blame Trump for anything? I don't know if that's really, I don't know if that's really
[1:10:50.320 --> 1:10:54.520]  fair. And yeah, it's frustrating to see this going on. But again, this is our country, Alex.
[1:10:54.520 --> 1:11:00.360]  I mean, this is America. This is the American citizens who run this country, not Jerry Nadler
[1:11:00.360 --> 1:11:05.720]  or Adam Schiff or Nancy Pelosi. Okay. They work for their constituents, but it hasn't
[1:11:05.720 --> 1:11:09.560]  been that way because their constituents have been asleep for so long. So they've been
[1:11:09.560 --> 1:11:14.680]  doing whatever they want. But you know, Alex, as we're standing out here, the rain keeps
[1:11:14.680 --> 1:11:18.280]  coming down harder. It keeps getting colder. But I just want to say this to the Info Wars
[1:11:18.280 --> 1:11:25.320]  audience. You know that you have our commitment. And I said before I left, I want to fund
[1:11:25.320 --> 1:11:32.400]  this trip with the audience going to infowarstore.com and just buying the limited edition Space
[1:11:32.400 --> 1:11:36.320]  Force t-shirt. I wanted to sell 10,000 or however many we have left. It's limited edition
[1:11:36.320 --> 1:11:41.160]  t-shirt. But this is how we do what we do. And I'm just going to be perfectly clear right
[1:11:41.160 --> 1:11:46.600]  now. I'm going to be perfectly honest with the audience. Alex Jones has offered me a
[1:11:46.600 --> 1:11:51.120]  lot of raises and a lot of bonuses. And I turned them down, folks, because I want him
[1:11:51.120 --> 1:11:56.520]  to invest in the company and look at how far it's come. We're still here despite all the
[1:11:56.520 --> 1:11:59.960]  censorship. And I'm thankful because, hey, I've been censored. It's no secret all the
[1:11:59.960 --> 1:12:03.720]  platforms that I've been banned off of too. So I thank God for this audience supporting
[1:12:03.720 --> 1:12:08.080]  Info Wars so that I can have that platform where I can do events like this and have my
[1:12:08.080 --> 1:12:12.760]  free speech. But it's only possible with your support at infowarstore.com. So folks, whether
[1:12:12.760 --> 1:12:17.000]  it's a Space Force t-shirt limited edition, whether it's the nascent iodine life changing
[1:12:17.000 --> 1:12:22.680]  survival shield X2, whether it's the bodies for soreness and inflammation after physical
[1:12:22.680 --> 1:12:27.480]  activity or if you just have achy joints, it's all at infowarstore.com. And it literally
[1:12:27.480 --> 1:12:32.160]  funds this. I mean, it literally funded my flight here, our rent a car. I mean, all of
[1:12:32.160 --> 1:12:36.800]  it. It's going to fund the car to get to Pennsylvania. And we're building an independent
[1:12:36.800 --> 1:12:42.320]  true media organization that the globalist fear and we're the model of what will bring
[1:12:42.320 --> 1:12:46.560]  down the globalist. And that's why we're so critical. And we've got the armored vehicle,
[1:12:46.560 --> 1:12:50.440]  which doesn't just protect us from antifa as we can pull into crowds of them. Then whenever
[1:12:50.440 --> 1:12:55.960]  we show up, it dominates the news. And so then what we're talking about dominates the news.
[1:12:55.960 --> 1:13:00.920]  And it's another way to pull these stunts. And we've done it with helicopters. We've
[1:13:00.920 --> 1:13:04.880]  done it with aircraft. We've got to we're going to be projecting lasers legally up on
[1:13:04.880 --> 1:13:12.280]  walls with big messages this year, 329 days out. I am putting my house on the market so
[1:13:12.280 --> 1:13:18.920]  I can sell my house to expand and hire some more crew through 2020. And that's great.
[1:13:18.920 --> 1:13:23.360]  I want to do that. That's why I always did that to have backup money that this is the
[1:13:23.360 --> 1:13:28.640]  total commitment, the big fight. It's on there's no future. If we don't defeat your globalist,
[1:13:28.640 --> 1:13:33.640]  it's easy to do what we're doing. It's easy to take action because laying down and taking
[1:13:33.640 --> 1:13:39.440]  it is the worst thing on earth. Getting on our knees, sucking on globalist boots is impossible.
[1:13:39.440 --> 1:13:44.560]  People say, Alex, thanks for not selling out. I physically cannot do it. You understand
[1:13:44.560 --> 1:13:49.480]  folks, Owen can't stop. I was out working again till 10 o'clock last night. So is Rob
[1:13:49.480 --> 1:13:55.520]  do. We love it. Owen. Well, and Alex, I don't even know if you've seen that. But last night
[1:13:55.520 --> 1:14:02.040]  we arrived in DC, uh, uh, somewhere around midnight and I confronted Congressman Al Green.
[1:14:02.040 --> 1:14:06.200]  And he literally stirred up an entire crowd of people at the airport, inside of the whole
[1:14:06.200 --> 1:14:10.400]  crowd of people at the airport against me, calling me a racist, literally calling me a
[1:14:10.400 --> 1:14:14.560]  racist for five minutes. I have a whole thing on tape. So we're relentless. And if people
[1:14:14.560 --> 1:14:19.120]  are asking, how can you take action? We're showing you the model. I don't expect people
[1:14:19.120 --> 1:14:22.960]  to go out there and be Owen Schreuer showing up at every event with their loud obnoxious
[1:14:22.960 --> 1:14:27.600]  pompous ass voice, but you can do something. You can do something locally. You can travel
[1:14:27.600 --> 1:14:31.680]  and do something maybe once a year. I mean, by the way, you keep running into Al Green
[1:14:31.680 --> 1:14:35.280]  because he comes from Houston. You're from Austin. You keep running into him at the DC
[1:14:35.280 --> 1:14:40.560]  airport. And yeah, uh, I saw the last time it happened. He called you racist and literally
[1:14:40.560 --> 1:14:45.040]  he's trying to inside a mob with that thinking black people are dumb. Of course it didn't
[1:14:45.040 --> 1:14:49.960]  work. Oh, and, uh, but I mean, this guy is a terrorist and it shows who the left is.
[1:14:49.960 --> 1:14:55.080]  Where do people find the latest video? Well, you know what, Alex? Honestly, I'm not even
[1:14:55.080 --> 1:14:58.680]  going to say because they'll go and ban it and we're just lucky that it's even out there,
[1:14:58.680 --> 1:15:02.840]  but I'm putting it all out on my Twitter and I know info wars.com is where you can find it too.
[1:15:02.840 --> 1:15:06.440]  But you know, we don't want to out some of these channels that upload our stuff at the risk of
[1:15:06.440 --> 1:15:10.760]  them getting censored, but we always carry it at info wars.com. So you can find it there.
[1:15:10.760 --> 1:15:16.120]  But, but the sad thing is, Alex, Al Green is a congressman and he sounds exactly like some
[1:15:16.120 --> 1:15:21.720]  low IQ Trump protester out on the streets of a Trump rally. And this is a congressman.
[1:15:22.440 --> 1:15:26.040]  I mean, this is how far our Congress has fallen. These are our leaders,
[1:15:26.040 --> 1:15:30.840]  nitwits and low IQs like Jerry Nadler and Al Green. I happen to like Al Green. I like the fact
[1:15:30.840 --> 1:15:35.880]  he talks to me, but is he really that immature and low IQ that he just discounts what I'm saying
[1:15:35.880 --> 1:15:41.000]  to him by calling me a racist? That's pretty sad if that's the case. And if not, if these people
[1:15:41.000 --> 1:15:47.160]  are actively and consciously engaging in these lies in this treason, in this sedition, then folks,
[1:15:47.160 --> 1:15:50.680]  we're dealing with a whole nother issue. And if you don't take action, well, you know what's
[1:15:50.680 --> 1:15:53.800]  going to happen. You won't have America. You won't have freedom anymore. That's right. Now's the time
[1:15:53.800 --> 1:15:58.520]  to take action. We salute you all and stay there. I'm going to say bye to you. We can all agree.
[1:15:58.520 --> 1:16:04.120]  These are troubled times, right? So do you know who's on your wireless network, whether it's a
[1:16:04.120 --> 1:16:09.560]  big company selling your data or a foreign hacker? If you're not protected, everybody sees your
[1:16:09.560 --> 1:16:16.280]  information. That's why you need Flash Routers, a custom Wi-Fi router created for privacy. Flash
[1:16:16.280 --> 1:16:21.400]  Routers uses a virtual private network or VPN to protect your online activity from hackers,
[1:16:21.400 --> 1:16:26.760]  trackers, and large corporations, and not just one, but all your devices with one out of the box
[1:16:26.760 --> 1:16:32.680]  setup. Plus, Flash Routers also enhances your wireless network performance and unlocks powerful
[1:16:32.680 --> 1:16:37.400]  router management tools to let you take total control of your network. Call or click Flash
[1:16:37.400 --> 1:16:51.320]  Routers today at 1-866-509-5817 or FLASHROUTERS.COM. That's 1-866-509-5817 or Flash Routers.com.
[1:16:51.320 --> 1:16:54.600]  Protect your wireless home network today with Flash Routers.
[1:16:57.000 --> 1:17:01.560]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without
[1:17:01.560 --> 1:17:07.160]  all the speculation. No, enjoy a 27% annualized payment each month without the ups and downs of
[1:17:07.160 --> 1:17:11.960]  Bitcoin. Seen on programs broadcast on Fox Business News, blockchain data centers offer an
[1:17:11.960 --> 1:17:16.840]  equipment leasing program in the explosive digital asset marketplace. Inspired by entrepreneurs
[1:17:16.840 --> 1:17:21.000]  who sold picks and shovels during the gold rush, the money is in the mining equipment used to
[1:17:21.000 --> 1:17:26.440]  manufacture dozens of critical digital assets. Not a security IPO or note, blockchain data centers
[1:17:26.440 --> 1:17:32.040]  have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment
[1:17:32.040 --> 1:17:37.000]  deposited into your bank account each month. Don't miss this one, stake your claim today.
[1:17:37.000 --> 1:17:45.000]  Call 800-600-3388. That's 800-600-3388. These valuable lease contracts won't last long.
[1:17:45.000 --> 1:17:51.560]  Call now 800-600-3388. 800-600-3388. Equipment offer poses a financial risk
[1:17:51.560 --> 1:17:54.520]  to owners consult with financial professionals before purchasing not an offer to buy or sell
[1:17:54.520 --> 1:18:01.480]  a security which requires an offering document. Driving into the operations center this morning,
[1:18:01.480 --> 1:18:06.520]  it just hit me like a ton of bricks. I need to reach directly out of the audience and just spell
[1:18:06.520 --> 1:18:11.800]  out the facts. When you spend your money at places like Dick's Sporting Goods, you're financing a
[1:18:11.800 --> 1:18:17.080]  group that gives huge amounts of money to gun control disarming you and your family. Then when
[1:18:17.080 --> 1:18:21.400]  you go down the list and look at these companies like Walmart, did you know they're doing the same
