[00:00.000 --> 00:01.500]  We've got it, Tata.
[24:03.000 --> 24:07.000]  but I wanted to, before I get into all this,
[24:07.000 --> 24:10.000]  the multiple shooters, the drill,
[24:10.000 --> 24:13.000]  the police standing down for 90 minutes on the island,
[24:13.000 --> 24:15.000]  even though it turns out there was a police station
[24:15.000 --> 24:17.000]  a half mile away on the mainland,
[24:17.000 --> 24:20.000]  which is right off the coast, a little retreat island,
[24:20.000 --> 24:22.000]  all of this.
[24:22.000 --> 24:24.000]  But that's not the issue.
[24:24.000 --> 24:27.000]  It's that I saw them hyping
[24:27.000 --> 24:30.000]  and the police training manuals being changed
[24:30.000 --> 24:33.000]  to, okay, we're not worried about Muslim terrorists anymore.
[24:33.000 --> 24:35.000]  The new terrorists are conservatives
[24:35.000 --> 24:37.000]  that don't want a new world order.
[24:37.000 --> 24:41.000]  And I heard it on Fox News today on the radio driving in.
[24:41.000 --> 24:43.000]  I heard local radio talking about it.
[24:43.000 --> 24:46.000]  I saw it on CNN this morning, and it's all over the news.
[24:46.000 --> 24:48.000]  No fly list for conservatives.
[24:48.000 --> 24:51.000]  Oh, have you given to a group against open borders?
[24:51.000 --> 24:53.000]  Oh, you may not be able to fly.
[24:53.000 --> 24:55.000]  You may be on the no gun by list.
[24:55.000 --> 24:57.000]  Obama's talking about putting in place
[24:57.000 --> 24:59.000]  with an executive order outside of law.
[24:59.000 --> 25:02.000]  See, the whole apparatus behind the scenes
[25:02.000 --> 25:04.000]  has already been shifted onto people
[25:04.000 --> 25:06.000]  that don't want a new world order,
[25:06.000 --> 25:08.000]  people that want a constitution, a bill of rights.
[25:08.000 --> 25:10.000]  Same thing in Europe.
[25:10.000 --> 25:14.000]  And I've told you it's going to be attacks in Europe first.
[25:14.000 --> 25:16.000]  I know how to call this stuff,
[25:16.000 --> 25:18.000]  because the banks are imploding them right now
[25:18.000 --> 25:20.000]  and they want to politically divert folks.
[25:20.000 --> 25:22.000]  Now, this is a clip, and there's over two hours of this.
[25:22.000 --> 25:24.000]  This is just one that listeners pulled
[25:24.000 --> 25:27.000]  and pointed out that I saw online where I predicted it.
[25:27.000 --> 25:32.000]  Info wars predicted Norway terror attacks day before.
[25:32.000 --> 25:35.000]  And if you actually go into the last few months of shows,
[25:35.000 --> 25:39.000]  I particularly said, and I hope listeners will go find it for us,
[25:39.000 --> 25:41.000]  I said they're going to start in Europe,
[25:41.000 --> 25:43.000]  move to England and move to the U.S.
[25:43.000 --> 25:45.000]  because that's the scripting timeline.
[25:45.000 --> 25:48.000]  Now, we'll go to Brighton, come back and finish the rest of this
[25:48.000 --> 25:49.000]  and go to our guest.
[25:49.000 --> 25:53.000]  But here I am laying out how this started in Nazi Germany,
[25:53.000 --> 25:55.000]  how they first target an unpopular group
[25:55.000 --> 25:57.000]  and then move on to the general public.
[25:57.000 --> 26:01.000]  Here I am Thursday, less than 24 hours before this happened,
[26:01.000 --> 26:05.000]  saying they're going to rebrand terrorists from Muslims
[26:05.000 --> 26:07.000]  to conservatives. Here it is.
[26:07.000 --> 26:09.000]  What did Hitler do?
[26:09.000 --> 26:11.000]  First, he goes after unpopular groups in Germany,
[26:11.000 --> 26:14.000]  Jews, Gypsies, Communists,
[26:14.000 --> 26:17.000]  and he takes their rights away in law,
[26:17.000 --> 26:19.000]  and people get behind it, yeah, get them.
[26:19.000 --> 26:22.000]  Then he's swungin' around against Christians,
[26:22.000 --> 26:27.000]  against Protestants, against Seventh-day Adventists,
[26:27.000 --> 26:30.000]  you name it, against his competition in business,
[26:30.000 --> 26:32.000]  even fellow Nazis.
[26:32.000 --> 26:37.000]  They would rob their companies and send them off to a death camp.
[26:37.000 --> 26:40.000]  This is what they did.
[26:40.000 --> 26:43.000]  A lot of the French that helped the Nazis take over France,
[26:43.000 --> 26:45.000]  they got turned against.
[26:45.000 --> 26:47.000]  A lot of the Vichy did.
[26:47.000 --> 26:49.000]  So that's how this works.
[26:49.000 --> 26:52.000]  You first set something up with an unpopular group,
[26:52.000 --> 26:55.000]  and whether it's a good thing to make Muslims and Arabs unpopular
[26:55.000 --> 26:58.000]  or not, and obviously it's discrimination
[26:58.000 --> 27:00.000]  and stereotypical and wrong,
[27:00.000 --> 27:03.000]  it was acceptable to say these people are devils,
[27:03.000 --> 27:06.000]  nukem, to call them horrible,
[27:06.000 --> 27:11.000]  pejoratives, camel bleepers,
[27:11.000 --> 27:15.000]  ragged bleepers, sand inwards.
[27:15.000 --> 27:17.000]  That's all cute and funny on talk radio.
[27:17.000 --> 27:19.000]  Well, I don't think it is.
[27:19.000 --> 27:21.000]  Because even if you think Muslims are evil and bad
[27:21.000 --> 27:23.000]  and want to get you, at the end of the day,
[27:23.000 --> 27:26.000]  this was being beta-tested on them
[27:26.000 --> 27:28.000]  to then be used against everybody else.
[27:28.000 --> 27:31.000]  And I told you from the FBI,
[27:31.000 --> 27:34.000]  federal marshals, state police in California, Missouri,
[27:34.000 --> 27:37.000]  state police in Florida, Texas,
[27:37.000 --> 27:39.000]  federal marshals sending me slat training,
[27:39.000 --> 27:41.000]  the videos, we've shown them here,
[27:41.000 --> 27:43.000]  we've done special reports on it,
[27:43.000 --> 27:50.000]  where they say who are the number one terrorists, gun owners,
[27:50.000 --> 27:53.000]  returning veterans, libertarians in the fetters,
[27:53.000 --> 27:56.000]  John Paul supporters. I mean, I have the training manuals here.
[27:56.000 --> 27:58.000]  The Homeland Security, the MYAC reports.
[27:58.000 --> 28:01.000]  Remember this being national news two years ago?
[28:01.000 --> 28:03.000]  Remember all this?
[28:03.000 --> 28:07.000]  Now, I told you, they've taken over the Middle East,
[28:07.000 --> 28:09.000]  they've invaded all the countries,
[28:09.000 --> 28:11.000]  they are now flipping over to work with al-Qaeda
[28:11.000 --> 28:13.000]  to overthrow Qaddafi,
[28:13.000 --> 28:15.000]  the Muslim Brotherhood to overthrow Mubarak,
[28:15.000 --> 28:17.000]  they're now shifting to a new phase.
[28:17.000 --> 28:19.000]  They're going to keep the Muslim demonization going,
[28:19.000 --> 28:21.000]  but it's now a dish that's cooked.
[28:21.000 --> 28:23.000]  They're going to keep the back burner to keep it warm.
[28:23.000 --> 28:27.000]  They've killed bin Laden in their staged event.
[28:27.000 --> 28:29.000]  They're now moving on to the next phase to,
[28:29.000 --> 28:31.000]  okay, we don't have a bill of rights,
[28:31.000 --> 28:33.000]  we spy on you, you have no rights,
[28:33.000 --> 28:35.000]  we can secretly arrest citizens
[28:35.000 --> 28:37.000]  out of the John Warren Defense Authorization Act,
[28:37.000 --> 28:39.000]  Enemy Commissions Act,
[28:39.000 --> 28:41.000]  we can fly into places to be tortured.
[28:41.000 --> 28:43.000]  We're going to come back and finish the last two minutes
[28:43.000 --> 28:45.000]  of this little clip,
[28:45.000 --> 28:47.000]  then we're going to go to an eyewitness and survivor
[28:47.000 --> 28:49.000]  of the car bomb in Oslo.
[28:49.000 --> 28:51.000]  And then I'm going to get into all this weird
[28:51.000 --> 28:53.000]  night's Templar stuff, him dressed up,
[28:53.000 --> 28:55.000]  he'll mason outfits,
[28:55.000 --> 29:21.000]  and this is got Neural Order written all over it.
[29:21.000 --> 29:25.000]  In some areas of the country, the power grid is dangerously overloaded.
[29:25.000 --> 29:27.000]  And now, new socialist legislation
[29:27.000 --> 29:29.000]  is only compounding the problem.
[29:29.000 --> 29:31.000]  Number four, dangerous weather is always a threat
[29:31.000 --> 29:33.000]  to local grids.
[29:33.000 --> 29:35.000]  Every year, thousands of families lose their power
[29:35.000 --> 29:37.000]  from weather-related onages.
[29:37.000 --> 29:39.000]  Number five, a solar power generator
[29:39.000 --> 29:41.000]  provides powerful backup insurance and peace of mind.
[29:41.000 --> 29:43.000]  Folks, I really believe in the solar power generators
[29:43.000 --> 29:45.000]  offered by Solutions from Science,
[29:45.000 --> 29:47.000]  one of my oldest sponsors.
[29:47.000 --> 29:49.000]  You can get more information at
[29:49.000 --> 29:51.000]  mysolarbackup.com.
[29:51.000 --> 29:53.000]  That's mysolarbackup.com.
[29:53.000 --> 29:55.000]  Remember, the government doesn't own the sun,
[29:55.000 --> 29:57.000]  so go to mysolarbackup.com
[29:57.000 --> 30:01.000]  or call 1-877-327-0365.
[30:01.000 --> 30:03.000]  Hundreds of nations have fallen
[30:03.000 --> 30:05.000]  to tyranny in the last century alone.
[30:05.000 --> 30:07.000]  This is our last chance
[30:07.000 --> 30:09.000]  to not relive history.
[30:09.000 --> 30:11.000]  As we're finishing off this agenda,
[30:11.000 --> 30:13.000]  they'll be pulling the rug from underneath
[30:13.000 --> 30:15.000]  Americans at home.
[30:15.000 --> 30:17.000]  I have tremendous influence
[30:17.000 --> 30:19.000]  on Congress, and they really
[30:19.000 --> 30:21.000]  are calling the shots.
[30:21.000 --> 30:23.000]  I think it's incumbent upon all of us
[30:23.000 --> 30:25.000]  as American citizens to pay attention.
[30:25.000 --> 30:27.000]  For the Republic identifies
[30:27.000 --> 30:29.000]  the enemies of our nation,
[30:29.000 --> 30:31.000]  the criminal offshore cartel
[30:31.000 --> 30:33.000]  held bent on destroying sovereignty
[30:33.000 --> 30:35.000]  and on its ashes, constructing world government.
[30:35.000 --> 30:37.000]  Tim Geithner, Bernanke, they're arsonists.
[30:37.000 --> 30:39.000]  They're asking for more matches,
[30:39.000 --> 30:41.000]  and the Congress is saying,
[30:41.000 --> 30:43.000]  who do we make the check out to?
[30:43.000 --> 30:45.000]  Today seems like nobody does care.
[30:45.000 --> 30:47.000]  As we see, we have seen
[30:47.000 --> 30:49.000]  a fall of the Republic.
[30:49.000 --> 30:51.000]  Get your copy of Fall of the Republic
[30:51.000 --> 30:53.000]  on DVD at infowars.com.
[30:53.000 --> 30:55.000]  We're watching online right now
[30:55.000 --> 30:57.000]  in super high quality at
[30:57.000 --> 30:59.000]  prismplanet.tv.
[31:01.000 --> 31:03.000]  Hi folks, this is Alex Jones,
[31:03.000 --> 31:05.000]  and I want to tell you about the Silver Lungs Generator.
[31:05.000 --> 31:07.000]  Now you can produce pure
[31:07.000 --> 31:09.000]  and endless colloidal silver
[31:09.000 --> 31:11.000]  and deliver the solution directly into the bloodstream
[31:11.000 --> 31:13.000]  by breathing the solution
[31:13.000 --> 31:15.000]  through the lungs.
[31:15.000 --> 31:17.000]  The respiratory system is the first line of defense
[31:17.000 --> 31:19.000]  for airborne pathogens and viruses.
[31:19.000 --> 31:21.000]  The Silver Lungs Generator
[31:21.000 --> 31:23.000]  infuses the respiratory system
[31:23.000 --> 31:25.000]  with your self-produced nano-silver solutions
[31:25.000 --> 31:27.000]  and also delivers
[31:27.000 --> 31:29.000]  the silver nanoparticles
[31:29.000 --> 31:31.000]  instantly into the bloodstream
[31:31.000 --> 31:33.000]  with continued legislation threatening the sale
[31:33.000 --> 31:35.000]  of nano-silver products.
[31:35.000 --> 31:37.000]  You can now produce pure
[31:37.000 --> 31:39.000]  and endless colloidal silver
[31:39.000 --> 31:41.000]  with the Silver Lungs Generator.
[31:41.000 --> 31:43.000]  Our follow-step-by-step instructions are provided,
[31:43.000 --> 31:45.000]  making production fast and simple.
[31:45.000 --> 31:49.000]  Go to www.silverlungs.com today
[31:49.000 --> 31:51.000]  and learn more about the breakthrough technology
[31:51.000 --> 31:53.000]  of the Silver Lungs Generator.
[31:53.000 --> 32:13.000]  That's www.silverlungs.com.
[32:23.000 --> 32:33.000]  www.silverlungs.com
[32:53.000 --> 33:17.000]  www.silverlungs.com
[33:17.000 --> 33:19.000]  We are live
[33:19.000 --> 33:23.000]  in-depth coverage and analysis of the kickoff
[33:23.000 --> 33:25.000]  of White Al Qaeda,
[33:25.000 --> 33:27.000]  the demonization of Christians, conservatives,
[33:27.000 --> 33:29.000]  libertarians,
[33:29.000 --> 33:31.000]  returning veterans.
[33:31.000 --> 33:33.000]  Going back more than a decade,
[33:33.000 --> 33:35.000]  we've gotten secret government training manuals.
[33:35.000 --> 33:37.000]  We've published them. They've made national news
[33:37.000 --> 33:39.000]  many times. You remember the Homeland Security
[33:39.000 --> 33:41.000]  and Mayak reports we got
[33:41.000 --> 33:43.000]  now more than two years ago from law enforcement
[33:43.000 --> 33:45.000]  saying the number one threat
[33:45.000 --> 33:47.000]  is gun owners, Christian conservatives,
[33:47.000 --> 33:49.000]  returning veterans.
[33:49.000 --> 33:51.000]  And the Justice Department
[33:51.000 --> 33:53.000]  defended those manuals.
[33:53.000 --> 33:55.000]  They're teaching every police department
[33:55.000 --> 33:57.000]  in Europe, the United States,
[33:57.000 --> 33:59.000]  Canada, New Zealand, Australia
[33:59.000 --> 34:01.000]  that the police will face
[34:01.000 --> 34:03.000]  disgruntled veterans that will attack them.
[34:03.000 --> 34:05.000]  I've shown you the New York Times.
[34:05.000 --> 34:07.000]  In fact, people will never believe this.
[34:07.000 --> 34:09.000]  We'll have to pull it up later.
[34:09.000 --> 34:11.000]  We've got a limited crew today, skeleton crew.
[34:11.000 --> 34:13.000]  Where the New York Times showed
[34:13.000 --> 34:15.000]  two years ago,
[34:15.000 --> 34:17.000]  they were scouts, quote,
[34:17.000 --> 34:19.000]  training to take on disgruntled Iraq
[34:19.000 --> 34:21.000]  war vets and kill them
[34:21.000 --> 34:23.000]  with high-deaf photos
[34:23.000 --> 34:25.000]  of the mock-killing U.S. military.
[34:25.000 --> 34:27.000]  You cannot make this up.
[34:27.000 --> 34:29.000]  So behind the scenes, it's always been
[34:29.000 --> 34:31.000]  about enemies of the Central Banking Cartel
[34:31.000 --> 34:33.000]  fully taking us over
[34:33.000 --> 34:35.000]  in Europe over.
[34:35.000 --> 34:37.000]  The prime minister
[34:37.000 --> 34:39.000]  of Norway also attended
[34:39.000 --> 34:41.000]  Bilderberg Group this year.
[34:41.000 --> 34:43.000]  You have the fact that their party
[34:43.000 --> 34:45.000]  can only serve two terms
[34:45.000 --> 34:47.000]  and was set to leave, but the conservatives
[34:47.000 --> 34:49.000]  were set to gain seats.
[34:49.000 --> 34:51.000]  So this will now, of course, demonize them.
[34:51.000 --> 34:53.000]  We're going to be talking to a gentleman
[34:53.000 --> 34:55.000]  who lives and works, 29-year-old
[34:55.000 --> 34:57.000]  gentleman, Robert Jepestul
[34:57.000 --> 34:59.000]  who was walking
[34:59.000 --> 35:01.000]  into the blast and was knocked back
[35:01.000 --> 35:03.000]  from it only a couple hundred feet away
[35:03.000 --> 35:05.000]  and narrowly survived.
[35:05.000 --> 35:07.000]  Gave us a lot of intel that turned out
[35:07.000 --> 35:09.000]  to be true on Friday, that there were drills
[35:09.000 --> 35:11.000]  days before of bombings in the area.
[35:11.000 --> 35:13.000]  That's now confirmed.
[35:13.000 --> 35:15.000]  Reports of multiple shooters on the island.
[35:15.000 --> 35:17.000]  That's now confirmed. CNN Associated Press.
[35:17.000 --> 35:19.000]  All of these are the
[35:19.000 --> 35:21.000]  airmarks of an operation.
[35:21.000 --> 35:23.000]  Friends of the shooter
[35:25.000 --> 35:27.000]  Anders Gravik
[35:27.000 --> 35:29.000]  report that this isn't how he was acting
[35:29.000 --> 35:31.000]  just a few years ago and quote,
[35:31.000 --> 35:33.000]  we believe he must have been brainwashed.
[35:33.000 --> 35:35.000]  I have clips of those international news pieces
[35:35.000 --> 35:37.000]  in English where the Norwegians
[35:37.000 --> 35:39.000]  are talking about it.
[35:39.000 --> 35:41.000]  There's a lot of information.
[35:41.000 --> 35:43.000]  Immigray is talking about knowing him
[35:43.000 --> 35:45.000]  and not really believing this.
[35:45.000 --> 35:47.000]  If you study these
[35:47.000 --> 35:49.000]  false flags, they've had a lot of them
[35:49.000 --> 35:51.000]  where you'll have multiple shooters.
[35:51.000 --> 35:53.000]  A lot of times, someone believes they're part of a drill.
[35:53.000 --> 35:55.000]  After the event happens,
[35:55.000 --> 35:57.000]  they're basically drugged up, put on trial,
[35:57.000 --> 35:59.000]  never seen again.
[35:59.000 --> 36:01.000]  Operation Northwoods, which is declassified
[36:01.000 --> 36:03.000]  ten years ago, describes how the
[36:03.000 --> 36:05.000]  Pentagon would stage mass shootings
[36:05.000 --> 36:07.000]  across America as a pretext
[36:07.000 --> 36:09.000]  of the United States and even how to frame
[36:09.000 --> 36:11.000]  patsies.
[36:11.000 --> 36:13.000]  People need to grow up and realize
[36:13.000 --> 36:15.000]  that this was coming at perfect timing.
[36:15.000 --> 36:17.000]  How was I able to put an article
[36:17.000 --> 36:19.000]  out predicting all of this
[36:19.000 --> 36:21.000]  and to cover this for over two hours on my
[36:21.000 --> 36:23.000]  three-hour show the day before this
[36:23.000 --> 36:25.000]  happened on Thursday? We're about to finish
[36:25.000 --> 36:27.000]  that clip and then go to our guest,
[36:27.000 --> 36:29.000]  the survivor and eyewitness of the bombing.
[36:29.000 --> 36:31.000]  I was able to do this because of the hype.
[36:31.000 --> 36:33.000]  They think you're dumb.
[36:33.000 --> 36:35.000]  Propaganda is targeted at the lowest
[36:35.000 --> 36:37.000]  level.
[36:37.000 --> 36:39.000]  I saw this behind the scenes branding
[36:39.000 --> 36:41.000]  of anybody that criticizes government
[36:41.000 --> 36:43.000]  as a terrorist and then I saw them
[36:43.000 --> 36:45.000]  beginning to roll it out.
[36:45.000 --> 36:47.000]  They only roll it out
[36:47.000 --> 36:49.000]  when they're getting ready to do it.
[36:49.000 --> 36:51.000]  I saw it in Europe, I saw it in England,
[36:51.000 --> 36:53.000]  I saw it in the U.S.
[36:53.000 --> 36:55.000]  Now they're claiming that
[36:55.000 --> 36:57.000]  Bravik was
[36:57.000 --> 36:59.000]  working with Americans, Brits and others.
[36:59.000 --> 37:01.000]  Conservatives need to be on no fly list,
[37:01.000 --> 37:03.000]  no gun by list.
[37:03.000 --> 37:05.000]  Homeland Security, Interpol system
[37:05.000 --> 37:07.000]  needs to be used. Oh my gosh.
[37:07.000 --> 37:09.000]  The White Al-Qaeda is coming.
[37:09.000 --> 37:11.000]  Notice all these TV ads about White Al-Qaeda
[37:11.000 --> 37:13.000]  come out last week. Same thing in Europe
[37:13.000 --> 37:15.000]  and now this happens. They're flipping
[37:15.000 --> 37:17.000]  from the Muslim threat
[37:17.000 --> 37:19.000]  to the White Al-Qaeda threat.
[37:19.000 --> 37:21.000]  Let's finish up that clip and we'll go to our guest
[37:21.000 --> 37:23.000]  holding from
[37:23.000 --> 37:25.000]  Norway. And again, there's over two hours
[37:25.000 --> 37:27.000]  of this. This is just one clip.
[37:27.000 --> 37:29.000]  We had time to fair it out. It went on for hours
[37:29.000 --> 37:31.000]  where I lay out every scenario
[37:31.000 --> 37:33.000]  and I tell you it is imminent
[37:33.000 --> 37:35.000]  to be blamed on the right wing
[37:35.000 --> 37:37.000]  and a total flipping because I could see
[37:37.000 --> 37:39.000]  the preconditioning and the public
[37:39.000 --> 37:41.000]  rollout. How do you know when Coke's
[37:41.000 --> 37:43.000]  coming out with a new flavor? They run a bunch of ads
[37:43.000 --> 37:45.000]  telling you it's coming. This stuff is all done
[37:45.000 --> 37:47.000]  like an ad campaign.
[37:47.000 --> 37:49.000]  Just like I knew that Perry was going to run
[37:49.000 --> 37:51.000]  for president when he went to Bilderberg
[37:51.000 --> 37:53.000]  and then I have inside sources and I told you
[37:53.000 --> 37:55.000]  he'd break his pledge and he's going to announce
[37:55.000 --> 37:57.000]  coming up in a week and a half. I told you folks
[37:57.000 --> 37:59.000]  because I know how to watch these
[37:59.000 --> 38:01.000]  people. Once you understand it, you'll never
[38:01.000 --> 38:03.000]  believe that you didn't understand it before.
[38:03.000 --> 38:05.000]  Let's go ahead and go to this clip and then to our guest
[38:05.000 --> 38:07.000]  from Norway. They really execute you.
[38:07.000 --> 38:09.000]  Obama's continuing it.
[38:09.000 --> 38:11.000]  Now the next phase, they've already been
[38:11.000 --> 38:13.000]  beta testing. Behind closed doors
[38:13.000 --> 38:15.000]  with the police and military. Now they're moving
[38:15.000 --> 38:17.000]  it to white al-Qaeda.
[38:17.000 --> 38:19.000]  And in this video
[38:19.000 --> 38:21.000]  they cut to, and every one of them were mentally
[38:21.000 --> 38:23.000]  ill-pats. He's just been confirmed, even mainstream
[38:23.000 --> 38:25.000]  news admits, Jihad J and others, blue
[38:25.000 --> 38:27.000]  eyes animating the blue eyes
[38:27.000 --> 38:29.000]  in the video to glow.
[38:29.000 --> 38:31.000]  Look, blue, blue, they're al-Qaeda.
[38:31.000 --> 38:33.000]  And it shows at the beginning
[38:33.000 --> 38:35.000]  of this Homeland Security 9-minute video
[38:35.000 --> 38:37.000]  a shot of family
[38:37.000 --> 38:39.000]  of
[38:39.000 --> 38:41.000]  of
[38:41.000 --> 38:43.000]  thinking about all that's good
[38:43.000 --> 38:45.000]  in America. Nostalgia
[38:45.000 --> 38:47.000]  on top of the piano
[38:47.000 --> 38:49.000]  and 90-plus percent of the photos
[38:49.000 --> 38:51.000]  of the American family, it's Hispanics,
[38:51.000 --> 38:53.000]  it's Asians, it's black people.
[38:53.000 --> 38:55.000]  You see it instantly and there's one white guy
[38:55.000 --> 38:57.000]  that he's blurred in the background.
[38:57.000 --> 38:59.000]  So it's like, this is America.
[38:59.000 --> 39:01.000]  We are many people.
[39:01.000 --> 39:03.000]  And then it cuts to a black guy.
[39:03.000 --> 39:05.000]  He's professional, he's good in his suit.
[39:05.000 --> 39:07.000]  He's no longer being the stereotypically
[39:07.000 --> 39:09.000]  put down by the same media, same government
[39:09.000 --> 39:11.000]  as a gang manor. He's going out
[39:11.000 --> 39:13.000]  in the parking garage and he sees evil white guys
[39:13.000 --> 39:15.000]  getting ready to blow up the building
[39:15.000 --> 39:17.000]  and he calls it in on him.
[39:17.000 --> 39:19.000]  And then the good white guys,
[39:19.000 --> 39:21.000]  the only good white guys in the whole thing,
[39:21.000 --> 39:23.000]  FBI show up
[39:23.000 --> 39:25.000]  and they stop the
[39:25.000 --> 39:27.000]  the white al-Qaeda that's just everywhere.
[39:27.000 --> 39:29.000]  They're creating this false perception ahead of
[39:29.000 --> 39:31.000]  the private contractors that run the government
[39:31.000 --> 39:33.000]  staging more terror
[39:33.000 --> 39:35.000]  to take over society even more. So you won't be mad
[39:35.000 --> 39:37.000]  about going into austerity
[39:37.000 --> 39:39.000]  or having your social security taken
[39:39.000 --> 39:41.000]  or everything imploding and all the money going to the
[39:41.000 --> 39:43.000]  offshore banks. Folks,
[39:43.000 --> 39:45.000]  I'm not just saying this for theatrics.
[39:45.000 --> 39:47.000]  The bankers have
[39:47.000 --> 39:49.000]  gang-righted us financially. They're imploding the
[39:49.000 --> 39:51.000]  country by design and they've set up
[39:51.000 --> 39:53.000]  an architecture of police state
[39:53.000 --> 39:55.000]  against the American people built around terror.
[39:55.000 --> 39:57.000]  And they have
[39:57.000 --> 39:59.000]  to provide that terror
[39:59.000 --> 40:01.000]  as Governor Ridge admitted
[40:01.000 --> 40:03.000]  to get you to politically rally
[40:03.000 --> 40:05.000]  around them. So they're getting
[40:05.000 --> 40:07.000]  ready, okay?
[40:07.000 --> 40:09.000]  They're getting ready to stage terror attacks
[40:09.000 --> 40:11.000]  and blame it on the American people.
[40:11.000 --> 40:13.000]  We are the terrorists, okay? I mean
[40:13.000 --> 40:15.000]  in all the internal manuals
[40:15.000 --> 40:17.000]  it is the veterans, the gun owners
[40:17.000 --> 40:19.000]  and it's the veterans of the gun owners going
[40:19.000 --> 40:21.000]  to the suburbs, take their rights away
[40:21.000 --> 40:23.000]  not knowing the whole
[40:23.000 --> 40:25.000]  things always been for them.
[40:25.000 --> 40:27.000]  And then I see these conservatives go, well, it's Obama
[40:27.000 --> 40:29.000]  doing this now. No.
[40:29.000 --> 40:31.000]  Obama Bush, they read off teleprompters.
[40:31.000 --> 40:33.000]  They don't run Jack. This is a long-term
[40:33.000 --> 40:35.000]  strategic Pentagon
[40:35.000 --> 40:37.000]  ran corporation, full-spectrum
[40:37.000 --> 40:39.000]  dominance takeover. This is absolute
[40:39.000 --> 40:41.000]  criminal takeover.
[40:41.000 --> 40:43.000]  I mean, realize that, but
[40:43.000 --> 40:45.000]  I digress. White al-Qaeda, white al-Qaeda,
[40:45.000 --> 40:47.000]  blue-eyed women, they're going to get you.
[40:47.000 --> 40:49.000]  White, white, white, white, white, white.
[40:49.000 --> 40:51.000]  And it goes on and on and on and on
[40:51.000 --> 40:53.000]  and on.
[40:53.000 --> 40:55.000]  Wake up, folks.
[40:55.000 --> 40:57.000]  There you go.
[40:57.000 --> 40:59.000]  And that's the little vanity
[40:59.000 --> 41:01.000]  card that the YouTuber
[41:01.000 --> 41:03.000]  got when they took those clips out.
[41:03.000 --> 41:05.000]  And if you go back to weeks ago, I wanted
[41:05.000 --> 41:07.000]  to do even more detail. I said they're going to have
[41:07.000 --> 41:09.000]  soft targets hit in Europe,
[41:09.000 --> 41:11.000]  school, shot up, parks.
[41:11.000 --> 41:13.000]  They love to kill children. That's what
[41:13.000 --> 41:15.000]  the Pentagon did with Operation Gladio
[41:15.000 --> 41:17.000]  now declassified. Their favorite thing
[41:17.000 --> 41:19.000]  was the blow-up school buses. Now, we're going to
[41:19.000 --> 41:21.000]  break here in a moment, but I want to introduce
[41:21.000 --> 41:23.000]  you to Robert
[41:23.000 --> 41:25.000]  Jepistul,
[41:25.000 --> 41:27.000]  and he lives and works in Oslo. He's 29
[41:27.000 --> 41:29.000]  years old, studied political science, history
[41:29.000 --> 41:31.000]  and economics in Norwegian universities and
[41:31.000 --> 41:33.000]  also spent some time at the University of York
[41:33.000 --> 41:35.000]  in England. He now works, again,
[41:35.000 --> 41:37.000]  in a local bank and small businesses
[41:37.000 --> 41:39.000]  in Oslo and
[41:39.000 --> 41:41.000]  with a plan for starting a Norwegian equivalent
[41:41.000 --> 41:43.000]  of the American company TTC
[41:43.000 --> 41:45.000]  to help educate people, and he narrowly
[41:45.000 --> 41:47.000]  survived. He was walking towards
[41:47.000 --> 41:49.000]  the bomb when it went off
[41:49.000 --> 41:51.000]  and he was blown back by it, and
[41:51.000 --> 41:53.000]  he joins us from Oslo, Norway.
[41:53.000 --> 41:55.000]  We're glad he survived. We're going to break
[41:55.000 --> 41:57.000]  in a moment, sir, but we're going to come back
[41:57.000 --> 41:59.000]  and give you the floor, but just in the minute
[41:59.000 --> 42:01.000]  we have, what is your view now
[42:01.000 --> 42:03.000]  48 hours later? You thought this
[42:03.000 --> 42:05.000]  was false flag on Friday.
[42:05.000 --> 42:07.000]  What do you think it is now?
[42:07.000 --> 42:09.000]  Well, first of all, thank you
[42:09.000 --> 42:11.000]  for helping Alice. It's
[42:11.000 --> 42:13.000]  the same point of view.
[42:13.000 --> 42:15.000]  I mean, exactly
[42:15.000 --> 42:17.000]  as we talked about
[42:17.000 --> 42:19.000]  on Friday,
[42:19.000 --> 42:21.000]  even more accurate now
[42:21.000 --> 42:23.000]  things that
[42:23.000 --> 42:25.000]  come up.
[42:25.000 --> 42:27.000]  It seems to just
[42:27.000 --> 42:29.000]  cement
[42:29.000 --> 42:31.000]  that it was a stage
[42:31.000 --> 42:33.000]  event. All right,
[42:33.000 --> 42:35.000]  stay there. You survived the blast.
[42:35.000 --> 42:37.000]  We're going to come back to you
[42:37.000 --> 42:39.000]  because, you know, then we were saying, look at
[42:39.000 --> 42:41.000]  what's going on Muslims.
[42:41.000 --> 42:43.000]  And as I was saying Friday, I'm not
[42:43.000 --> 42:45.000]  so sure, folks. This is the White Al Qaeda
[42:45.000 --> 42:47.000]  and now that's confirmed
[42:47.000 --> 42:49.000]  exactly as I've been screaming
[42:49.000 --> 42:51.000]  for several months every day,
[42:51.000 --> 42:53.000]  warning everyone because of the pretty conditioning.
[42:53.000 --> 42:55.000]  Robert
[42:55.000 --> 42:57.000]  Jepp Astool is our guest.
[42:57.000 --> 42:59.000]  He'll be joining us after the break from Norway.
[42:59.000 --> 43:09.000]  He's a survivor.
[43:29.000 --> 43:31.000]  We've had 235 years of freedom
[43:31.000 --> 43:33.000]  in this country, so for
