[00:00.000 --> 00:15.000]  Jesse Peters is right.
[24:04.680 --> 24:08.840]  Dr. Barrick was involved in every step of the development of this bio weapon and converting
[24:08.840 --> 24:15.480]  it to a human virus they took he took a bat coronavirus changed some things on it got
[24:15.480 --> 24:20.600]  a patent for it and technology to convert it to a human virus then Dr. Barrick and Zheng
[24:20.600 --> 24:26.240]  Li and Wuhan funded by the NIH they published a paper thanking the NIH figured out how to
[24:26.240 --> 24:31.000]  augment the lethality of this virus to destroy human lung tissue which was because Fauci
[24:31.000 --> 24:36.840]  wanted his HIV protein to be part of it so he could pay yes but here's something you
[24:36.840 --> 24:44.760]  may not know that in March of 2020 I came across data papers that helped me formulate
[24:44.760 --> 24:50.840]  my treatment approach based on zinc and zinc ionophores which is what the Z-stack concept
[24:50.840 --> 24:56.560]  is what I didn't realize until last week was that Ralph Barrick published that paper wow
[24:56.560 --> 25:02.520]  process that in other words the guy who made the bomb also created the antidote to diffuse
[25:02.520 --> 25:08.120]  the bomb funded by the government incredible and start over say that again that is no I
[25:08.120 --> 25:12.880]  did not know that others like this is groundbreaking explain oh my you're a big researcher that's
[25:12.880 --> 25:16.520]  how you found that these treatments nobody else had and then when you found the research
[25:16.520 --> 25:20.440]  paper it's the guy that was engineering and all out of Chapel Hill North Carolina with
[25:20.440 --> 25:26.120]  Obama with Fauci moving it this is so huge please start over and by the way on your sky
[25:26.120 --> 25:33.360]  is a link to that paper everything I'm saying I have evidence for and it should be presented
[25:33.360 --> 25:36.920]  because otherwise it won't be there we'll either put on screen we'll put it in post later
[25:36.920 --> 25:43.160]  once this is our cup please start over this is huge alright fine so Ralph Barrick in 1999
[25:43.160 --> 25:48.680]  did research at the University of Chapel Hill he uh North Carolina he was able to manipulate
[25:48.680 --> 25:55.840]  a bad animal virus a bad coronavirus converted by modulating a surface protein to infect
[25:55.840 --> 26:01.400]  human beings but it was still benign it was just infecting human beings now and then in
[26:01.400 --> 26:09.560]  2010 the same Ralph Barrick figure out a way to diffuse coronaviruses by using zinc and
[26:09.560 --> 26:15.400]  zinc ion of course inhibiting RNA dependent RNA polymerase or inhibiting a coronavirus
[26:15.400 --> 26:23.720]  replication in 2015 and by the way everything's here being funded by the United States government
[26:23.720 --> 26:28.720]  so because it's on the papers and on the peer-reviewed papers they thank the United States government
[26:28.720 --> 26:37.120]  NIH or whatever for the funding then in 2015 in in Wuhan Eric together in collaboration
[26:37.120 --> 26:43.360]  with Zhengli Dr. Zhengli the bad lady they were able to figure out a way to augment the
[26:43.360 --> 26:50.160]  payload of this weapon to destroy human lung tissue and and cause blood clots they wrote
[26:50.160 --> 26:56.600]  a paper about it they thank the NIH they published it and they got patents on it and here's another
[26:56.600 --> 27:01.840]  layer to the story the same Ralph Barrick worked with a team from Gilead Pharmaceuticals
[27:01.840 --> 27:09.560]  to make remdesivir which destroys the kidneys it doesn't help you this is so diabolical
[27:09.560 --> 27:18.640]  so every way you can see the criminal pre-planning yes and so um this is a bio weapon and they
[27:18.640 --> 27:25.560]  had the antidote for it and they suppressed the antidote intentionally not for themselves
[27:25.560 --> 27:31.440]  do you think these these masterminds want their own families to die of course not they
[27:31.440 --> 27:37.400]  themselves know this is consistent with what I knew about the executives of yeah you broke
[27:37.400 --> 27:41.400]  that a year ago then Joe Rogan confirmed it that that hundreds of members of Congress
[27:41.400 --> 27:45.920]  in Hollywood all know about this but still want to suppress that that that that your
[27:45.920 --> 27:49.880]  protocol they were using your protocol but they suppress it for the general public talk
[27:49.880 --> 27:56.440]  about evil yeah also the executives of Google I know internally that they're all taking
[27:56.440 --> 28:02.560]  hydroxychloroquine and ivermectin and so this was disinformation the antidote to the
[28:02.560 --> 28:11.120]  bomb the poison was known was created by the same the same monsters but they hid it from
[28:11.120 --> 28:19.120]  you and me now when doctors like myself stumbled across these approaches because we we had
[28:19.120 --> 28:23.840]  a necessity the patients were dying and so we needed some help we needed the help we
[28:23.840 --> 28:30.200]  needed to treat the patients and so immediately anything that would help hydroxychloroquine
[28:30.200 --> 28:35.200]  then ivermectin and even the concept of early intervention putting the getting rid of this
[28:35.200 --> 28:41.840]  infection before the complications begin everything was vilified marginalized and doctors that
[28:41.840 --> 28:46.920]  were advocating for the word deplatform so then they laid out is they knew it they had
[28:46.920 --> 28:50.760]  it planned they censored it they did it all will come back with dr. Zelenko to explain
[28:50.760 --> 29:00.040]  how huge this is straight ahead please stay with us
[29:00.040 --> 29:04.560]  I have come to you countless times over the last 28 years and ask for your support and
[29:04.560 --> 29:09.840]  you have come through and you know who you are and all that work is building towards
[29:09.840 --> 29:15.600]  the crescendo of 2022 I can say without a shadow of a doubt intellectually spiritually
[29:15.600 --> 29:20.160]  and at a gut level that all hell has already broken loose and it's about to get 10 times
[29:20.160 --> 29:24.920]  worse but this is the time that tries men and women souls and this is the time we're
[29:24.920 --> 29:29.520]  going to all see who we really are so now more than ever please spread the word about
[29:29.520 --> 29:33.400]  info wars dot com the articles the videos and please keep us on the air while you get
[29:33.400 --> 29:38.240]  great products at the same time at info wars store dot com we have got the best supplements
[29:38.240 --> 29:43.040]  the best films the best books the most informed information all at one place thousands of
[29:43.040 --> 29:48.000]  items at info wars store dot com and it's a win-win if you don't just get great products
[29:48.000 --> 29:52.560]  you keep the tip of the spear info wars on air you keep that light of liberty burning
[29:52.560 --> 29:56.640]  bright on that hill thank you so much for your support please visit info wars store
[29:56.640 --> 30:03.560]  dot com and I'll see you in 2022 the globalist are bombarding us with propaganda and with
[30:03.560 --> 30:09.360]  spiritual warfare and with poisons and chemicals added to the food it's all come out and they're
[30:09.360 --> 30:13.840]  doing that not because we're weak but because we're made the image of God the creator and
[30:13.840 --> 30:20.640]  we are powerful and the social engineers fear that so much so that's why I repeat that famous
[30:20.640 --> 30:27.840]  internet saying that nobody knows who first came up with the boy is it true the propaganda
[30:27.840 --> 30:34.080]  would not be necessary if the situation was hopeless they need all their propaganda and
[30:34.080 --> 30:41.200]  all their lies and all their evil and all their cultural death because they know we are strong
[30:41.200 --> 30:45.680]  and they know in the end they signed on the god of this world who is a loser and that's
[30:45.680 --> 30:49.520]  why it's so important that everybody keep info wars on the air now more than ever because
[30:49.520 --> 30:54.160]  even if you don't believe in God what the globalists are manifesting and setting up is safe
[30:54.160 --> 30:59.200]  hand and we are opposing the one world government and the mark of the beast they just announced
[30:59.200 --> 31:06.000]  in late august info wars saw an explosion of orders because our audience understands
[31:06.000 --> 31:12.400]  that the globalists are destabilizing the planet by design and are attempting to cause an economic
[31:12.400 --> 31:18.000]  and financial collapse worldwide now ladies and gentlemen storable food has always been something
[31:18.000 --> 31:22.320]  that's important to have it's a checkbox that everybody needs to have taken care of right along
[31:22.320 --> 31:28.480]  with water filtration self-defense and a relationship with God but now more than ever you need to get
[31:28.480 --> 31:33.200]  your storeable food orders in now we're ready to ship to you within 24 hours of your order
[31:33.200 --> 31:38.640]  it's high quality it's very very low cost at infowarstore.com because in the future
[31:38.640 --> 31:42.480]  you're going to see more food supply shortages and you're going to see food supply
[31:42.480 --> 31:47.520]  price increases that are already taking place so lock in your storeable food now at a lower price
[31:47.520 --> 31:53.360]  and fund the info war at infowarstore.com that's how you fight the great reset is by being
[31:53.360 --> 32:00.880]  self-sufficient and not under their control so get prepared now at infowarstore.com everything i do
[32:00.880 --> 32:07.200]  is about victory for humanity everything i promote is about standing up against a new world order
[32:07.200 --> 32:12.080]  by empowering humanity well that's why reset wars.com is so important not only is it a game
[32:12.080 --> 32:18.400]  changing course of critical information to unlock your mind from the matrix but it's something that
[32:18.400 --> 32:26.800]  gets around claus Schwab's attempt to shut down american infrastructure and american jobs it is the
[32:26.800 --> 32:33.840]  true digital economy it's the spiritual economy of the mind and transcendent or control i've been
[32:33.840 --> 32:40.400]  on there 28 years and all of our work has been amazing thanks to god and and and god's divine
[32:40.400 --> 32:44.800]  empowerment and blessing but i gotta tell you out of everything i've done reset wars is the most
[32:44.800 --> 32:52.560]  important and it is now available now the month of december 2021 is here at reset wars.com start
[32:52.560 --> 32:58.800]  your journey to the next level today at reset wars.com the globalist fear this information
[33:01.040 --> 33:07.040]  leading up frontal assault on the lies of the new world order it's alex jones
[33:07.040 --> 33:28.080]  live from austin texas broadcasting worldwide it's alex jones and again i would apologize for
[33:28.080 --> 33:32.800]  14 minutes ads an hour but that's the standard for talk radio and tv and i hate going to break
[33:32.800 --> 33:37.600]  without this link i was saying something so important but it's all hard it's all hard wired
[33:37.600 --> 33:42.880]  in by the satellite feeds that literally cut into the radio stations that's why the platforming off
[33:42.880 --> 33:47.840]  the main internet we stayed on air because we had over 200 radio stations and we still do we're
[33:47.840 --> 33:53.200]  very thankful to those stations but i am going to start the new year three nights a week at least
[33:53.200 --> 33:58.240]  three nights a week a multi hour commercial free podcast direct to you the viewers and listeners
[33:58.240 --> 34:02.560]  with guests and callers where i might take a break to go to the bathroom or get a cup of coffee or
[34:02.560 --> 34:06.080]  something but it's not going to have regular commercial breaks so look for that in the new
[34:06.080 --> 34:10.320]  year something i promise to do the world's so crazy we're here but doctors and lingo i know
[34:10.320 --> 34:15.120]  our listeners are smart they're awesome people but i wanted to get what you're saying you're laying out
[34:15.120 --> 34:19.680]  any grand jury it would take a few weeks to give a grand jury all this but they would definitely
[34:19.680 --> 34:25.520]  indict fousy for what you're saying you're laying out the compendium of basically how this criminal
[34:25.520 --> 34:30.000]  plan was set up and when you see how criminal it was like you were saying last time you were on
[34:30.000 --> 34:35.200]  months before the outbreak their gates and and fousy are already sending messages saying get the
[34:35.200 --> 34:40.240]  vaccine ready you're like wait they didn't make the vaccine no they own the patents to what vaccine
[34:40.240 --> 34:45.440]  they quote wanted to then be sent out to the major makers which they also got paid money from so
[34:45.440 --> 34:51.600]  the trail i think is what you're saying of them scientifically preparing this is one of the most
[34:51.600 --> 34:57.120]  open and shut premeditated murder cases ever is that what you're saying i'm saying this is the
[34:57.120 --> 35:04.160]  worst crime in human history it's a genocide it's mass murder first degree premeditated genocide
[35:04.160 --> 35:14.320]  and mass murder and it's being driven essentially by demonic um personalities that are absolutely
[35:14.320 --> 35:20.800]  obsessed with power and and and wealth but more than more than wealth i think it's power because
[35:20.800 --> 35:24.480]  once you have a hundred billion dollars let's say what's the difference if you have 150 billion
[35:24.480 --> 35:30.880]  you don't feel it but power and and being able to enslave others it fulfills the perverse
[35:31.840 --> 35:38.400]  desires of these narcissists egotists and and really i would have been called them
[35:39.200 --> 35:44.640]  satan incarnate or the embodiment of of the essence of evil and i actually want to
[35:46.000 --> 35:53.520]  you know who barbara marx hubbard was yes okay she is the demonic mother of the new world order
[35:53.520 --> 35:58.560]  she uh i hope she burns in hell for all eternity she um and i'm going to read you a few quotes from
[35:58.560 --> 36:05.840]  her that will explain to you the philosophy she's the ideology the mother of the ideology of plow
[36:05.840 --> 36:13.120]  schwaab let's say one fourth of humanity must be eliminated from the social body it's a quote
[36:13.680 --> 36:22.560]  we are in charge of god selection process of planet earth he selects we destroy we are the
[36:22.560 --> 36:32.960]  riders of the pale horse death end quote another quote from her this act is as horrible as killing
[36:32.960 --> 36:41.280]  a cancer cell it must be done for the sake of the future of the whole so be it brief prepared for
[36:41.280 --> 36:48.880]  the selection process which is now beginning we the elders have been patiently waiting until the
[36:48.880 --> 36:57.760]  very last moment before the quantum transformation to take action to cut out this corrupted and
[36:57.760 --> 37:04.000]  corrupting element in the human in the body of humanity it is like watching a cancer grow
[37:04.640 --> 37:10.720]  something must be done before the whole body is destroyed the destructive one fourth must be
[37:10.720 --> 37:16.320]  eliminated from the social body i want to read you one more quote not from her from
[37:16.320 --> 37:27.920]  her name is Jacques at Pali he was the advisor to the french prime minister from 1981 till till
[37:27.920 --> 37:33.760]  in the 90s i think 1991 you wrote a book on meteron who was a big luciferian please continue
[37:35.040 --> 37:43.360]  yes so he was miteron's right-hand man and this is from a book called verbatim in 1981 now
[37:43.360 --> 37:52.080]  um the facebook fact checker uh myth uh busters or myth whatever it's called uh says that this
[37:52.080 --> 37:59.040]  isn't true but this is how i know that this this must be true the future will be about finding a
[37:59.040 --> 38:04.720]  way to reduce the population of course we will not be able to execute people or build camps
[38:05.280 --> 38:11.520]  we get rid of them by making them believe it is for their own good we'll find or cause something
[38:11.520 --> 38:19.840]  something a pandemic targeting certain people a real economic crisis or not a virus affecting
[38:19.840 --> 38:26.640]  the old or or the elderly it doesn't matter the weak and the fearful will succumb to it
[38:27.280 --> 38:34.960]  the stupid will believe in it and ask to be treated we will have taken care of having
[38:34.960 --> 38:43.200]  panned the treatment a treatment that will be the solution the selection of idiots will
[38:43.200 --> 38:52.560]  therefore be done by itself they will go to the slaughterhouse alone wow doctors let me just say
[38:52.560 --> 38:56.320]  this because this is about god consciousness and i don't say something that isn't true but it's a
[38:56.320 --> 39:01.120]  little embarrassing to say just because it's so personal you normally it takes about a week to
[39:01.120 --> 39:05.440]  get you on the show today you were able to come on i i had a dream about you last night but i
[39:05.440 --> 39:09.600]  couldn't remember the dream when i woke up when i got up i said i got to get to lincoln one today
[39:10.400 --> 39:14.320]  and then i said what was the dream about i couldn't remember and and then i just remembered
[39:14.320 --> 39:17.920]  that i said to myself well the lincoln kind of says the same thing every time he's on just like
[39:17.920 --> 39:22.640]  you do it's not an attack it's true same emergency message but i said no today's gonna be different
[39:22.640 --> 39:28.000]  and then i intended to come in here and talk about the population talk about the you and talk about
[39:28.000 --> 39:34.880]  schwaab and talk about she wasn't even by name but those same groups and then here you said it this
[39:34.880 --> 39:39.440]  is amazing and and i'm not trying to be weird about it it's just true so i feel like i should
[39:39.440 --> 39:47.040]  have said that go ahead listen truth is truth it is a certain it's in the air you know and people
[39:47.040 --> 39:53.440]  that are attuned to it um i think it's become much more accessible to anyone who wants to access and
[39:53.440 --> 39:58.000]  download this information it's not about metaphysically that there's an intuitive sense of what's
[39:58.000 --> 40:06.640]  true and what's not anyone who has some degree of sensitivity sees that this is a an attempt by
[40:06.640 --> 40:14.960]  the forces of evil to steal god consciousness and then use fear to breed um codependency
[40:14.960 --> 40:21.440]  an occult codependency on sociopaths and corrupt governments and a belief in the golden calf of
[40:21.440 --> 40:25.760]  these like false promises god knows evil's coming after us and god's opened the floodgates that's
[40:25.760 --> 40:30.560]  what i feel actually i mean my discernment's way more powerful than it used to be are you seeing
[40:30.560 --> 40:37.440]  the same thing but yeah but i see it actually in a different way that i see that god is giving every
[40:37.440 --> 40:43.440]  human being an opportunity it's like we're in the generation right before the flood of noah
[40:44.160 --> 40:51.280]  and god is saying listen repent or and get on the on the ark don't stay in the turbulent waters of
[40:51.280 --> 40:56.880]  idol worship and child sacrifice and paganism you see it's the decisions of man if you know there's
[40:56.880 --> 41:04.720]  a psychoanalyst uh let's uh i'll remember in a minute but carlyon carlyon so he wrote that the
[41:04.720 --> 41:11.120]  degradation of a society begins with the degradation a moral degradation of an individual and so you
[41:11.120 --> 41:15.920]  can learn vice versa that the moral improvement of a society begins with the refinement of the
[41:15.920 --> 41:22.800]  individual and so it's the sum total of all of our bad decisions over the last whatever period
[41:22.800 --> 41:29.440]  of time that has led to the slaughter of the unborn the the defamation and desecration of gender
[41:29.440 --> 41:38.720]  roles the desecration of what marriage is the uh perversion and poisoning of the youth through
[41:38.720 --> 41:46.160]  the public school system which teaches debauchery and normalizes the worst behavior immoral behavior
[41:46.160 --> 41:51.600]  so basically this country has drifted away from judei christian morals and and let's just keep it
[41:51.600 --> 41:58.080]  simple the ten commandment and so therefore it's not surprising to me that there comes a kind of a
[41:58.080 --> 42:03.680]  tipping point that's crossed the threshold that's been passed through collective humanity
[42:03.680 --> 42:09.520]  well god says okay now it's time for a cleaning and i think that's what we're going through and it
[42:09.520 --> 42:18.080]  may be the best result here is people repent um they return back to the you know the umbrella of
[42:18.080 --> 42:24.960]  the divine will they live a moral life they respect life the sanctity of life they respect marriage
[42:24.960 --> 42:32.560]  they respect children and the unborn and so on and that could avert a major body count however
[42:32.560 --> 42:39.440]  regardless of whether or not people are going to realize that the cleansing will happen and so
[42:39.440 --> 42:45.520]  what it's again every single individual right now is being given a choice and that choice is
[42:45.520 --> 42:50.400]  but from god and here's the question who are you going to bow down to i agree stay right there
[42:50.400 --> 42:53.920]  daughter's legal final segment talk about solutions straight ahead we'll be right back
[42:53.920 --> 43:10.320]  rarely in life you come upon something that is an absolute 360 win and this is a 360 win situation
[43:10.320 --> 43:17.120]  for everybody that loves liberty that loves health that loves being informed and loves being free
[43:17.120 --> 43:22.960]  gentlemen when you buy amazing high quality supplements at infowarstore.com where you get books
[43:22.960 --> 43:28.640]  or films or water filtration or air filtration all of that makes you healthier all of that makes you
[43:28.640 --> 43:34.240]  wiser and your purchase keeps info wars on the air at a time when it's so critical and the world
[43:34.240 --> 43:41.600]  is finally waking up helps supercharge the great awakening even more into the year 2022 please make
[43:41.600 --> 43:47.520]  the resolution to get vitamin mineral fusion dna force plus ultimate bone broth our great vitamin
[43:47.520 --> 43:54.400]  d3 product winner son and others hit up to 60 off at infowarstore.com it is a 360 win the only way
[43:54.400 --> 44:01.440]  to fail is if you don't take action please visit infowarstore.com now everything i do is about
[44:01.440 --> 44:07.120]  victory for humanity everything i promote is about standing up against the new world order
[44:07.120 --> 44:12.000]  by empowering humanity well that's why reset wars.com is so important not only is it a game
[44:12.000 --> 44:18.320]  changing course of critical information to unlock your mind from the matrix but it's something that
[44:18.320 --> 44:26.720]  gets around claus Schwab's attempt to shut down american infrastructure and american jobs it is the
[44:26.720 --> 44:33.760]  true digital economy it's the spiritual economy of the mind and transcendent or control i've been
[44:33.760 --> 44:40.960]  on there 28 years and all of our work has been amazing thanks to god and god's divine empowerment
[44:40.960 --> 44:45.760]  and blessing but i got to tell you out of everything i've done reset wars is the most important
[44:45.760 --> 44:53.040]  and it is now available now the month of december 2021 is here at reset wars.com start your journey
[44:53.040 --> 45:00.880]  to the next level today at reset wars.com the globalist fear this information everything i do
[45:00.880 --> 45:07.120]  is about victory for humanity everything i promote is about standing up against the new world order
[45:07.120 --> 45:12.560]  by empowering humanity well that's why reset wars.com is so important not only is it a game changing
[45:12.560 --> 45:19.600]  course of critical information to unlock your mind from the matrix but it's something that gets around
[45:19.600 --> 45:27.120]  claus Schwab's attempt to shut down american infrastructure and american jobs it is the true
[45:27.120 --> 45:33.760]  digital economy it's the spiritual economy of the mind and transcendent or control i've been
[45:33.760 --> 45:40.320]  on there 28 years and all of our work has been amazing thanks to god and and and god's divine
[45:40.320 --> 45:44.720]  empowerment and blessing but i got to tell you out of everything i've done reset wars is the most
[45:44.720 --> 45:52.560]  important and it is now available now the month of december 2021 is here at reset wars.com start
[45:52.560 --> 45:59.200]  your journey to the next level today at reset wars.com the globalist fear this information
[45:59.200 --> 46:05.680]  all right ladies and gentlemen keep us on air we'll continue to bring you the band guests we'll
[46:05.680 --> 46:10.880]  continue to bring the information that no one else will touch keep us on air go to info wars
[46:10.880 --> 46:15.520]  store.com the new supplements that we have the latest in the info wars live supplement line
[46:15.520 --> 46:21.280]  the vitamin d3 with calcium gummies the vitamin c with zinc and the whole food multivitamins or
[46:21.280 --> 46:26.640]  if you buy the combo pack with all three info wars store.com and you know i'm telling you the vitamin
[46:26.640 --> 46:32.000]  d gummies this is a great thing for your kids they're gonna love it they're gonna love the taste
[46:32.000 --> 46:36.240]  of the gummies it's healthy uh so that's just a great thing for kids i mean we could just be
[46:36.240 --> 46:40.880]  marketing campaigns i think i think for kids that'd be great the calcium good for them the vitamin d
[46:41.920 --> 46:47.840]  so that's at info wars store.com and again it's your support there that keeps us on the air so
[46:47.840 --> 46:52.960]  the supplements the shirts the air filters the water filters the emergency food supplies the
[46:52.960 --> 46:58.320]  emergency supplies at info wars store.com your support there keeps us on the air we cannot thank
[46:58.320 --> 47:07.520]  you enough leading a frontal assault on the lies of the new world order it's alex jones
[47:08.960 --> 47:14.560]  and clinton i think she's dead now gone to hell but she talks about we are the pale horse death
[47:14.560 --> 47:18.800]  we're the new world order we're going to carry all this out i'll pull that quote up for you coming
[47:18.800 --> 47:22.960]  up here it's just a few minutes but i was just paraphrasing it but but doctors in lingo medical
[47:22.960 --> 47:26.400]  doctor who helped get the first treatment south to save millions of people he's here with us
[47:26.960 --> 47:34.480]  and i wanted to talk about where we're going here because everything satan does is a counterfeit
[47:35.520 --> 47:40.160]  and so satan says oh i'm gonna call the people i'm gonna make them make the decision i'm gonna make
[47:40.160 --> 47:46.080]  them decide which side they're on but then really that's god's plan it's up to us individually to
[47:46.080 --> 47:52.000]  choose not for satan to make those choices for us and here's jack basoba who's a smart guy pretty
[47:52.000 --> 47:58.320]  clear biden is only crediting trump for the vaccine to set him up to take the blame for what
[47:58.320 --> 48:04.160]  comes next i think that's a very simple neutral way to say it and now trump is rubbing it in after
[48:04.160 --> 48:08.880]  speeches in texas saying take the shot it's totally safe it totally works none of that's true
[48:08.880 --> 48:13.360]  trump says most americans dying are unvaccinated encourages everyone to get the shot
[48:13.360 --> 48:19.760]  now he loved dr zelenko's protocol help promote it i think trump just thinks doctors are trustworthy
[48:19.760 --> 48:23.760]  he hasn't heard of joseph mingola and i'm sorry i bring up a nazi analogy but it's the one that
[48:23.760 --> 48:29.360]  fits here dr zelenko i i think trump's a good person but i'm really worried about him with
[48:29.360 --> 48:36.000]  what he's doing here i think he's being set up what do you think um whatever his motivations are i
[48:36.000 --> 48:42.560]  have to publicly uh disagree with him um i think he's done a lot of good i would say the main thing
[48:42.560 --> 48:48.320]  they did that was good was move the federal judiciary toward the right with 300 more than 300
[48:48.320 --> 48:55.440]  justices that are um you know have judaeo christian values i think that that did help move the country
[48:56.400 --> 49:00.720]  the moral compass of this country but what he's talking about when it comes to these vaccines
[49:00.720 --> 49:05.520]  he really doesn't know what he's talking about or if he does and i have a real problem with him
[49:05.520 --> 49:12.320]  because um he's worried about his legacy you know he's a narcissist and and um he what he cares about
[49:12.320 --> 49:19.680]  now is his is his legacy and he went warp speed um due to political calculations this i know for a
[49:19.680 --> 49:26.080]  fact but uh he was going looking into pre-hospital treatments and emphasizing that until hydroxy
[49:26.080 --> 49:31.520]  chlorophen did became politically radioactive and then he made a calculation for this team got that
[49:31.520 --> 49:37.600]  advice in my for short that shifted him towards warp speed the vaccine development because he
[49:37.600 --> 49:42.880]  thought that was going to help him win reelection and then he went after he secured his second term
[49:42.880 --> 49:51.360]  go back to pre-hospital i was told pre-hospital uh treatment now um the the reality is that the
[49:51.360 --> 49:59.760]  vaccines um were known the side effects were known and and the FDA knew about it and uh
[49:59.760 --> 50:06.880]  uh months before they released this uh poisonous deft shot on on innocent humanity
[50:07.440 --> 50:12.400]  and when they're not you up october fda cdc documents said they knew all these things
[50:12.400 --> 50:16.960]  would happen that did happen please continue well slide number 16 yeah that's exactly what i was
[50:16.960 --> 50:23.840]  referring to and so um you know he has a choice i i still hope that he chooses the right thing
[50:23.840 --> 50:31.920]  i think that the deep state the operatives like um rick bright and janet woodcock and i have evidence
[50:31.920 --> 50:37.600]  for all that sabotage his plan when he gave an order to make hydroxy chloroquine available
[50:37.600 --> 50:43.760]  to all americans they spun it and issued an emergency use authorization that blocked access
[50:43.760 --> 50:49.760]  to patients that are not in the hospital exactly the opposite of what his intent was and that
[50:49.760 --> 50:58.000]  that killed uh 700 million exactly so how does trump extricate himself i mean how does trump
[50:58.000 --> 51:04.160]  did not be set up here well he has to recognize that uh he was sabotaged but they forget about
[51:04.160 --> 51:08.560]  him the american people were sabotaged the interests of the american people the lives
[51:08.560 --> 51:14.480]  and the sanctity of the lives our lives are desecrated and so the only position that he has
[51:14.480 --> 51:23.040]  is to backtrack and say um yes i had my intuition initially was correct the pre-hospital approach
[51:23.600 --> 51:29.520]  is the right approach and now we see the evidence of these vaccines they don't work
[51:29.520 --> 51:34.560]  and they're dangerous and most people don't need them so i'm pivoting now for the welfare
[51:34.560 --> 51:41.040]  of the of the american public and supporting proven data driven solutions and that uh
[51:41.040 --> 51:47.840]  uh forced people to go on a path of self-destruction he has to do a miocopa he has to say i'm sorry
[51:47.840 --> 51:52.640]  i made a mistake and that's okay i totally agree dr zelenko and that's what i've been saying
[51:52.640 --> 51:57.440]  because i know he got set up and sucked in but the deeper he gets sucked into this it's it's
[51:57.440 --> 52:02.560]  it's a major setup in the time we have left the rest of this segment one more short segment with you
[52:03.360 --> 52:06.960]  what do you predict for next year i mean clearly they're lining up they're saying
[52:06.960 --> 52:11.280]  trump supporters are going to launch terror attacks the cia is globalist control they're
[52:11.280 --> 52:17.680]  wanting all this they're trying to divide and conquer us along all lines in fact i was intending
[52:17.680 --> 52:21.600]  today that was on my heart to bring up how they're trying to divide christian from jew
[52:21.600 --> 52:24.960]  and to get your take but i didn't want to bring that up and then you brought it up yourself
[52:24.960 --> 52:28.800]  clearly we're all god's children we all have god consciousness if we choose it
[52:28.800 --> 52:34.640]  they're trying to play us off against each other we have to transcend that in my mind or in my spirit
[52:34.640 --> 52:39.200]  or we're going to fail because clearly they're going to use division going into the future
[52:39.200 --> 52:46.960]  along race and religion to control us listen i've been pretty savvy and i know uh listen i love
[52:46.960 --> 52:51.040]  you i like so you should know i consider your brother a lot of the some of the people that
[52:51.040 --> 52:56.480]  listen to you uh have an interesting view on jews but i i'm going to say something
[52:57.040 --> 53:04.240]  about my own religion and about my own religious institutions and uh to the anti-semites that
[53:04.240 --> 53:09.200]  are going to use these words f you okay why don't you look into your own organizations
[53:09.200 --> 53:14.480]  and religious structures and and refine them but i would say in my own religion it's the
[53:15.840 --> 53:23.040]  organizations that are the problem they've been corrupted by the serpent and have preached
[53:23.040 --> 53:29.840]  anything but god consciousness and are a coercing people uh i know synagogue you can't go into a
[53:29.840 --> 53:36.640]  synagogue unless you show proof of vaccination i mean this is the perversion of a relationship
[53:36.640 --> 53:43.360]  with the divine and so um and i see that in other religions as well but i don't want to talk about
[53:43.360 --> 53:49.440]  other religions i want to talk about my own and and i'm calling out my own people start living by
[53:49.440 --> 53:55.760]  the law and stop uh getting on your knees and sucking up to the to the corrupt government
[53:55.760 --> 54:00.800]  and and selling out the congregants and and the people that have put their trust in you
[54:01.360 --> 54:07.040]  to help them connect to god okay anyway that's my commentary on the religion and i was like oh i
[54:07.040 --> 54:11.040]  love you too because i know you have god consciousness on my spirit feels really great when i talk to
[54:11.040 --> 54:17.120]  you i love you too exactly they have groups that have been divided and manipulated and if you look
[54:17.120 --> 54:20.800]  at the the anti-jewish groups they're being manipulated if you look at the jewish supremacist
[54:20.800 --> 54:26.000]  groups they've been blended the black supremacist groups all of it's stupid there's an evil manipulating
[54:26.000 --> 54:31.200]  us against each other and we have to transcend it or it's going to win it's very simple and god's
[54:31.200 --> 54:40.640]  watching because only when we're divided and and have strife amongst us that the enemy could then
[54:40.640 --> 54:48.320]  pick us off in segment but if we are truly united by an overwhelming principle that transcends religion
[54:48.320 --> 54:53.520]  which is actually a relationship with god with the divine we're made in his image our lives of
[54:53.520 --> 54:59.360]  sanctity that's enough for me to call you a brother or sister that's it and if we unite and
[54:59.360 --> 55:05.040]  i want to tell you something no one owns god when when the messiah reveals himself and i don't
[55:05.040 --> 55:10.960]  care if it's the first second or third coming but whenever the messiah reveals himself and the truth
[55:10.960 --> 55:17.360]  of the divine is revealed i could promise you my perception of the divine will be wrong and and so
[55:17.360 --> 55:23.040]  is it will everyone else's because the essence of god is truly hidden and hopefully we will see the
[55:23.040 --> 55:29.440]  truth and understand the truth of what he is but right now we're living in the dark and we're trying
[55:29.440 --> 55:34.640]  to approximate guesstimate what he really is no i totally agree and the new world order and claus
[55:34.640 --> 55:39.600]  schwaab are afraid of the coming of the messiah everything they're doing is to stop the next level
[55:41.280 --> 55:45.040]  because it's the death of them you know darkness goes away you just turn on a little light and
[55:45.040 --> 55:50.080]  goes away and so they know that they've dug in because they're cornered animals that's when
[55:50.080 --> 55:55.040]  they become dangerous so you're asking about what else they can do next um listen i have some
