[00:00:00.009 --> 00:00:00.249]  And the U.S.
[00:26:27.685 --> 00:26:34.009]  It isn't in use anymore.
[00:26:34.009 --> 00:26:47.538]  And the Chicago Tribune also reported, and then we went and found the audio tape, we have time, we'll play it later, but it's on InfoWars.com and PrisonPlanet.com, Obama calls for National Civilian Stasi.
[00:26:47.538 --> 00:26:53.222]  Now remember, Clinton first set this up, Bush expanded it, it's called Secure Corps.
[00:26:54.013 --> 00:26:54.914]  Giving you the name now.
[00:26:54.914 --> 00:27:06.786]  It's a division of AmeriCorps, and you can read where 6th, 7th, and 8th graders are trained with M16s on how to do warrant service, run checkpoints, aid the police in martial law.
[00:27:06.786 --> 00:27:10.230]  This is when the Philadelphia Daily News was the first place I saw that in 2002.
[00:27:10.230 --> 00:27:10.991]  The Secure Corps.
[00:27:10.991 --> 00:27:11.191]  Yes.
[00:27:11.854 --> 00:27:13.674]  Philadelphia Daily News, SecureCore.
[00:27:13.674 --> 00:27:15.275]  LexisNexis at Media.
[00:27:15.275 --> 00:27:21.676]  Got people listening in Chicago, or Verona, or Kansas City, or upstate New York, or Austin, Texas, or San Diego.
[00:27:21.676 --> 00:27:22.836]  Don't roll your eyes!
[00:27:22.836 --> 00:27:24.977]  I'll give you the terms.
[00:27:24.977 --> 00:27:30.438]  Secure... Core... Philadelphia Daily News.
[00:27:30.438 --> 00:27:37.539]  And it said, Warrant Service, Checkpoints, Aiding in Civil Emergencies.
[00:27:37.539 --> 00:27:39.900]  Well, Obama is just announcing what's already been set up.
[00:27:40.842 --> 00:27:41.883]  I'm not defending him either.
[00:27:41.883 --> 00:27:43.464]  He's a totally evil puppet.
[00:27:43.464 --> 00:27:45.005]  Runs nothing.
[00:27:45.005 --> 00:27:47.646]  The point is, is that this is what they're proposing.
[00:27:47.646 --> 00:27:53.050]  And, uh, the quote here is, civilian national security force to surveil the American people.
[00:27:53.050 --> 00:27:54.011]  Now, now, now, wait!
[00:27:54.011 --> 00:27:58.954]  They've already hired half a million truck drivers, 26,000 preachers, 23,000 executives.
[00:27:58.954 --> 00:28:00.655]  That's InfraGard.
[00:28:00.655 --> 00:28:02.036]  The clergy response teams.
[00:28:02.036 --> 00:28:02.776]  I'm giving you keywords.
[00:28:02.776 --> 00:28:04.217]  Google clergy response teams.
[00:28:04.217 --> 00:28:04.637]  Come on!
[00:28:04.637 --> 00:28:05.398]  It's homework time!
[00:28:06.371 --> 00:28:10.014]  I reported this, by the way, all before it was in the mainstream news.
[00:28:10.014 --> 00:28:12.676]  I told you your dollar would plunge years ago.
[00:28:12.676 --> 00:28:14.637]  I told you the stock market would plunge.
[00:28:14.637 --> 00:28:16.098]  I told you Wyatt would happen.
[00:28:16.098 --> 00:28:19.561]  I told you two years ago you'd be paying $4 a gallon this summer!
[00:28:19.561 --> 00:28:23.483]  I didn't just say $4 soon, I said two summers from now!
[00:28:23.483 --> 00:28:25.065]  You know why?
[00:28:25.065 --> 00:28:26.686]  Because I got my head screwed on straight.
[00:28:26.686 --> 00:28:27.066]  You know why?
[00:28:27.066 --> 00:28:28.087]  Because I research.
[00:28:28.087 --> 00:28:30.589]  Because I can't go to sleep at night because I know about this.
[00:28:30.589 --> 00:28:32.810]  Because I want to save this country.
[00:28:32.810 --> 00:28:35.192]  Now when we come back, I'm going to tell you about the
[00:28:36.056 --> 00:28:41.961]  Almost a million body bags for you and your family that FEMA stockpiled just in one location.
[00:28:41.961 --> 00:28:45.004]  We got video of the mass coffins for you and your family.
[00:28:45.004 --> 00:28:47.747]  It's on Infowars.com right now.
[00:28:47.747 --> 00:28:49.268]  You'll believe it when they blow your head off.
[00:28:54.381 --> 00:28:58.782]  Would you like to know how you can use water as fuel and laugh at the rising price of gas?
[00:28:58.782 --> 00:29:00.923]  Then keep listening for a very special offer.
[00:29:00.923 --> 00:29:06.304]  GasFreedom.info has the information you need to learn about a simple technology you can have right now.
[00:29:06.304 --> 00:29:10.745]  Gas Freedom is a do-it-yourself, affordable, practical, free-energy device.
[00:29:10.745 --> 00:29:16.026]  It uses electricity from your car's battery to separate water into a gas called HHO.
[00:29:16.026 --> 00:29:20.707]  HHO, also called browns gas, burns efficiently and provides the energy your car needs.
[00:29:20.707 --> 00:29:23.648]  In just 10 minutes, you'll discover exactly how this is possible.
[00:29:23.948 --> 00:29:27.250]  This is the secret the oil and auto industry doesn't want you to know.
[00:29:27.250 --> 00:29:34.053]  Go to gasfreedom.info to learn how easy it is to extract energy from water to run your car during the month of July.
[00:29:34.053 --> 00:29:37.955]  Visit gasfreedom.info and receive $100 off of your order.
[00:29:37.955 --> 00:29:40.936]  Turn any car into a hybrid and laugh all the way to the bank.
[00:29:40.936 --> 00:29:42.497]  Visit gasfreedom.info.
[00:29:42.497 --> 00:29:43.597]  That's gasfreedom.info.
[00:29:43.597 --> 00:29:43.977]  Or call 239-628-3708.
[00:29:43.977 --> 00:29:44.358]  That's 239-628-3708.
[00:29:44.358 --> 00:29:44.878]  Call today!
[00:29:57.248 --> 00:29:58.548]  You've been there.
[00:29:58.548 --> 00:30:02.090]  Have a few drinks and you wake up feeling a bit fuzzy.
[00:30:02.090 --> 00:30:04.551]  So keep your body in tune.
[00:30:04.551 --> 00:30:10.093]  Next time, try Drink and Mate Hangover Defense with all-natural Guava Leaf Extract.
[00:30:10.093 --> 00:30:16.096]  It's proven patented formula helps defend against and prevent alcohol's nasty side effects.
[00:30:16.096 --> 00:30:20.257]  Drop just one Drink and Mate tablet in the water and you can hear it work.
[00:30:20.257 --> 00:30:21.318]  And it works fast.
[00:30:22.438 --> 00:30:28.642]  That fizz you hear is rushing those nutrients to your system, accelerating your body's response to a few drinks.
[00:30:28.642 --> 00:30:32.185]  People in Asia have used guava for centuries to keep the body healthy.
[00:30:32.185 --> 00:30:40.910]  Now scientific research shows taking Drink and Mate before, during, or immediately after drinking helps prevent queasy stomach, headache, and dehydration.
[00:30:40.910 --> 00:30:47.074]  So keep your body in tune, and still have fun while having a few drinks with all-natural Drink and Mate.
[00:30:47.074 --> 00:30:50.377]  Nature's great tasting defense against hangovers.
[00:30:50.377 --> 00:30:52.038]  Find Drink and Mate at holiday stores.
[00:30:52.518 --> 00:30:52.998]  Fact.
[00:30:52.998 --> 00:30:58.999]  Rapid industrialization has resulted in environmental pollution and its curse on world health is staggering.
[00:30:58.999 --> 00:31:03.320]  We live in a toxic world that is bombarded by seven new chemicals each day.
[00:31:03.320 --> 00:31:11.002]  The human body is amazing and efficient in design, but because of the polluted world in which we live, is unable to remove all toxins.
[00:31:11.002 --> 00:31:11.762]  The solution.
[00:31:11.762 --> 00:31:15.963]  Detoxification integrated with Electro-Chi Premier Energy Foot Spa.
[00:31:15.963 --> 00:31:17.943]  The Electro-Chi Premier Energy Foot Spa.
[00:31:18.103 --> 00:31:18.743]  We're good to go.
[00:31:37.932 --> 00:31:38.152]  I think so.
[00:31:53.575 --> 00:31:56.156]  In electronics, we have many new amazing technologies.
[00:31:56.156 --> 00:32:00.057]  Smartphones, intelligent credit cards, even cars that talk and park themselves.
[00:32:00.057 --> 00:32:05.019]  In 2004, John Wright Laboratories perfected the technology known as the Rife machine.
[00:32:05.019 --> 00:32:05.840]  The new J.W.
[00:32:05.840 --> 00:32:11.842]  Labs Model A is a compact, solid-state, battery-powered personal therapy device that's in a class by itself.
[00:32:11.842 --> 00:32:20.705]  Larger than a cell phone, smaller than a CD player, the Model A has power and accuracy that exceeds anything else that's available at any price, even for top professionals.
[00:32:20.985 --> 00:32:21.305]  I think so.
[00:32:41.837 --> 00:32:43.078]  Thank you for listening to GCN.
[00:32:43.078 --> 00:32:44.138]  Visit GCNlive.com today!
[00:33:08.619 --> 00:33:12.641]  All right, we are back live on this 20th of July 2008.
[00:33:12.641 --> 00:33:16.583]  Obama calls for national civilian Stasi.
[00:33:16.583 --> 00:33:21.045]  Presidential candidate wants domestic security forces as powerful as U.S.
[00:33:21.045 --> 00:33:22.486]  military.
[00:33:22.486 --> 00:33:25.647]  Columnist compares proposal to Hitler Youth.
[00:33:25.647 --> 00:33:28.809]  Yeah, that's the Knoxville newspaper said that.
[00:33:28.809 --> 00:33:32.931]  Presidential frontrunner Barack Obama has called for a civilian national security force.
[00:33:33.792 --> 00:33:34.914]  As powerful as the U.S.
[00:33:34.914 --> 00:33:43.071]  military, comments that were ignored by the vast majority of the corporate media, but compared by one journalist to the Nazi Hitler Youth.
[00:33:45.023 --> 00:33:49.505]  We cannot continue to rely on our military in order to achieve the national security objectives we've set.
[00:33:49.505 --> 00:33:58.308]  We've got to have a civilian national security force that's just as powerful and strong and just as well-funded, Obama told a Colorado Springs audience earlier this month.
[00:33:58.308 --> 00:34:01.769]  Now, remember that whatever they announce is already in place.
[00:34:01.769 --> 00:34:05.870]  Like they told you this year, you have a national ID card and your driver's license.
[00:34:05.870 --> 00:34:13.813]  I told you that in 1997 in my film, America Destroyed by Design, and I showed you all the executive orders and documents and how your thumbs came to get a driver's license.
[00:34:15.148 --> 00:34:22.233]  And I told you in that film they would have police with thumb scanners and finger scanners in their cars and license plate reading cameras.
[00:34:22.233 --> 00:34:24.195]  And by the way, that's all the mainstream news today.
[00:34:24.195 --> 00:34:30.379]  They're now telling you the slaves about it a decade after it was in place.
[00:34:30.379 --> 00:34:31.720]  You see how that works?
[00:34:31.720 --> 00:34:33.562]  No, you don't have a national ID card.
[00:34:33.562 --> 00:34:42.769]  You have a world standardized ID card under a September 2000 United Nations treaty that was ratified in our country signed
[00:34:43.354 --> 00:34:48.578]  on world ID specifications in Australia.
[00:34:48.578 --> 00:34:50.400]  You have a world ID.
[00:34:50.400 --> 00:34:58.226]  Your driver's license is just, has a local, kind of like Sports Illustrated has ten different, you know, regional variants or whatever.
[00:34:58.226 --> 00:34:58.646]  Same thing.
[00:34:58.646 --> 00:35:06.152]  You think you got a Texas driver's license or Illinois driver's license or a New York driver's license or you think you got a Toronto driver's license?
[00:35:06.152 --> 00:35:06.933]  No!
[00:35:06.933 --> 00:35:08.334]  You have a world ID.
[00:35:10.211 --> 00:35:25.400]  And by the way, the Ministry of Defense 100-plus page document put out by the British last year where they say this is what we believe is going to happen and what we're doing says our governments will use neutron bombs on us if we try to ever stop their New World Order.
[00:35:25.400 --> 00:35:33.665]  Yeah, Dick Cheney wrote they'll use bio-weapons on us in the September 2000 Rebuilding America's Defenses document put out by PNAC, authored by him.
[00:35:34.398 --> 00:35:37.120]  See, they know you don't read Think Tank documents.
[00:35:37.120 --> 00:35:45.665]  They know you don't read the Ministry of Defense 10-year plan.
[00:35:45.665 --> 00:35:47.786]  Just Google that, it'll come up.
[00:35:47.786 --> 00:35:49.447]  Yeah, 2007, so you get that year.
[00:35:49.447 --> 00:35:52.289]  You can have the whole hundred-and-something page declassified version.
[00:35:52.289 --> 00:35:55.031]  And it says, yes, our governments will use neutron bombs on the people.
[00:35:55.586 --> 00:35:58.688]  Your government is owned by private families.
[00:35:58.688 --> 00:36:08.074]  They have weapons that they could detonate above Austin, Texas, and kill every bug, every dog, every cat, and you, every squirrel.
[00:36:08.074 --> 00:36:13.978]  I don't care if you're a hundred feet under the ground, you will flop around for about ten seconds and die.
[00:36:13.978 --> 00:36:15.619]  That's if you're underground.
[00:36:15.619 --> 00:36:17.560]  There's enough radiation coming in.
[00:36:17.560 --> 00:36:19.922]  An instant flash, and then they roll in.
[00:36:23.066 --> 00:36:26.228]  You don't understand, do you, what we're dealing with here?
[00:36:26.228 --> 00:36:28.450]  You don't understand who these people are.
[00:36:28.450 --> 00:36:39.178]  You see, because I'm so on, and so targeted, and know what they're doing is the only reason I'm not dead, or set up, or imprisoned, because they don't want to underline and highlight everything I'm saying.
[00:36:39.178 --> 00:36:43.161]  They don't want to put an exclamation point and a bullhorn to everything I'm saying.
[00:36:43.161 --> 00:36:44.182]  Killing me would do that.
[00:36:44.182 --> 00:36:47.264]  Everybody asked, if this was true, why are you alive, if there's such killers?
[00:36:47.264 --> 00:36:49.686]  Because I've already said it all.
[00:36:49.686 --> 00:36:51.567]  I've already put it out.
[00:36:51.567 --> 00:36:52.268]  You understand?
[00:36:53.371 --> 00:37:00.196]  And because this, only a couple thousand people through compartmentalization control this through the shadow government.
[00:37:00.196 --> 00:37:04.980]  Through the National Security State.
[00:37:04.980 --> 00:37:18.030]  They bring in the cocaine, they bring in the heroin, they own the drug companies that push Ritalin and Prozac on your children, and HPV, live cancer virus shots, where on the insert for the shot it admits it doesn't protect you from cancer and will give you cancer.
[00:37:18.030 --> 00:37:19.611]  But you won't read that, will you?
[00:37:19.611 --> 00:37:20.812]  You are naive!
[00:37:23.579 --> 00:37:28.421]  Stop being naive!
[00:37:28.421 --> 00:37:32.862]  In my film Road to Tyranny, I talk about youth corps.
[00:37:32.862 --> 00:37:47.107]  In my film I made in 1999, Police State 2000, I cover youth corps and show you the documents and say they're going to stage terror attacks and then implement youth corps running around and spying on people.
[00:37:47.932 --> 00:37:50.575]  And in every city they have, quote, FBI anti-terror meetings.
[00:37:50.575 --> 00:37:55.501]  They invite the public and people who mean well show up and they go, okay, it's a seven-day free course.
[00:37:55.501 --> 00:37:57.123]  You'll get coffee and donuts while you're here.
[00:37:57.123 --> 00:37:58.785]  It's a couple hours every night.
[00:37:58.785 --> 00:38:03.110]  And then they have one day on terrorism and then the rest is, is your neighbor growing marijuana?
[00:38:03.110 --> 00:38:05.973]  Do they spank their kids?
[00:38:05.973 --> 00:38:07.775]  It's all about police state.
[00:38:11.056 --> 00:38:27.499]  I told you more than ten years ago in 1996, because I read the Telecommunications Act, that your cell phone would track you down to just a few feet off a triangulation with the cell towers and a GPS map, and then now it's been announced to you in the last two years.
[00:38:27.499 --> 00:38:28.120]  Tracking you.
[00:38:28.120 --> 00:38:29.220]  Tracing you.
[00:38:29.220 --> 00:38:29.780]  I told you.
[00:38:29.780 --> 00:38:32.901]  I told you everything!
[00:38:32.901 --> 00:38:33.721]  Do you understand?
[00:38:33.721 --> 00:38:37.442]  Because I read what Rand Corporation says.
[00:38:37.442 --> 00:38:39.382]  I read what MIT says.
[00:38:40.257 --> 00:39:00.845]  MIT said 20 years ago their main directive, larger than the Manhattan Project, just MIT alone, was to build a military control grid and use the US as a test and England as a test to then put in dominated countries.
[00:39:00.845 --> 00:39:03.707]  And then MIT Magazine, in a 2006 issue, I was at the
[00:39:08.191 --> 00:39:11.712]  At a grill waiting at the bar to get food to take home to my family.
[00:39:11.712 --> 00:39:12.932]  I can't even get away from this stuff.
[00:39:12.932 --> 00:39:14.612]  And there was MIT Magazine laying there.
[00:39:14.612 --> 00:39:15.493]  I already knew all about it.
[00:39:15.493 --> 00:39:19.933]  It was at Cypress Grill in South Austin.
[00:39:19.933 --> 00:39:23.274]  And I pick up MIT Magazine a few months ago.
[00:39:23.274 --> 00:39:29.335]  And I flip it open and it's them bragging about the military grid with cameras and surveillance.
[00:39:29.335 --> 00:39:30.716]  They put it in Iraq.
[00:39:30.716 --> 00:39:32.716]  And how that was the system developed here.
[00:39:32.716 --> 00:39:35.637]  This is a military run grid.
[00:39:35.637 --> 00:39:36.697]  Do you read me?
[00:39:37.452 --> 00:39:39.955]  You don't mean anything to those running it.
[00:39:39.955 --> 00:39:43.298]  And Henry Kissinger calls the military dumb animals to be used.
[00:39:43.298 --> 00:39:44.940]  Calls the police dumb animals.
[00:39:44.940 --> 00:39:46.862]  They think you're dumb animals.
[00:39:46.862 --> 00:39:47.903]  And in a way, you are!
[00:39:47.903 --> 00:39:51.907]  I mean, they openly test chemicals and biologicals on you.
[00:39:51.907 --> 00:39:53.088]  They openly use you.
[00:39:53.088 --> 00:39:56.492]  They're not giving you your health care or the GI Bill's being taken away now.
[00:39:58.092 --> 00:40:02.873]  They're taking... People who had jobs at GM for 35 years are being told, no health care anymore.
[00:40:02.873 --> 00:40:04.713]  We're not giving you your pensions.
[00:40:04.713 --> 00:40:06.134]  I told you that would happen!
[00:40:06.134 --> 00:40:07.514]  And this is only the beginning!
[00:40:07.514 --> 00:40:19.657]  And if you don't like it, they're going to send the young 20-year-old guys that don't know what they're doing to go after the old guys who were in the military decades ago.
[00:40:19.657 --> 00:40:25.798]  If you want to save the Republic, if you want to save this country, you've got to admit we're going into tyranny.
[00:40:26.499 --> 00:40:28.920]  You know, the Germans didn't believe what was happening to them.
[00:40:28.920 --> 00:40:34.183]  Americans into the mid-forties didn't believe there were camps or mass executions or tyranny.
[00:40:34.183 --> 00:40:35.964]  No one believed the Soviets were killing people.
[00:40:35.964 --> 00:40:37.145]  They killed 50 million.
[00:40:37.145 --> 00:40:40.807]  Mao, the government of China admits, killed 60 million.
[00:40:40.807 --> 00:40:46.270]  The real number's about 80 million.
[00:40:46.270 --> 00:40:50.472]  And I've interviewed former top White House historians and CIA briefers
[00:40:51.144 --> 00:41:02.568]  Richard C. Cook, Ray McGovern, a whole bunch of them in the last two weeks, and they are all independently saying they believe a massive extermination purge is being set up and geared up in the U.S.
[00:41:02.568 --> 00:41:09.030]  and England, and they said they believe the elites want to have a mass culling to get completely rid of the middle class.
[00:41:09.030 --> 00:41:10.050]  You know what's declassified?
[00:41:10.050 --> 00:41:16.552]  There's a big new Brzezinski, and he even wrote about it in one of his books, National Security Advisor to Jimmy Carter, the guy that's behind Barack Obama.
[00:41:17.890 --> 00:41:25.455]  Then you got Kissinger, his commander above McCain.
[00:41:25.455 --> 00:41:28.377]  You know, he wrote and said, yeah, we worked with the Khmer Rouge.
[00:41:28.377 --> 00:41:33.961]  We liked the Khmer Rouge, who killed at least 2 million Christian middle class people.
[00:41:33.961 --> 00:41:37.203]  You had a pair of glasses, they killed you.
[00:41:37.203 --> 00:41:40.625]  Because that meant you had money and could read.
[00:41:40.625 --> 00:41:43.687]  They want a bunch of dumb peasants.
[00:41:43.687 --> 00:41:44.748]  Nothing against the peasants.
[00:41:45.492 --> 00:41:46.393]  But that's what they want.
[00:41:46.393 --> 00:41:49.715]  Dumbed down, not having any education, not knowing any better.
[00:41:49.715 --> 00:41:50.996]  That's why they're overrunning the U.S.
[00:41:50.996 --> 00:41:54.699]  with third world people, to drive down wages.
[00:41:54.699 --> 00:41:56.861]  Now when we get back, I want to give you some background.
[00:41:56.861 --> 00:42:04.006]  In 2002, Rocky Mountain Daily News, I want media to LexisNexis this, if you're too stupid to use Google, I want media laughing.
[00:42:04.006 --> 00:42:05.888]  Don't you laugh!
[00:42:05.888 --> 00:42:09.430]  Don't you laugh!
[00:42:09.430 --> 00:42:14.094]  I want you to LexisNexis Rocky Mountain News Crematoriums.
[00:42:15.889 --> 00:42:18.771]  2002, Feds built crematoriums all over the U.S.
[00:42:18.771 --> 00:42:20.391]  to incinerate us.
[00:42:20.391 --> 00:42:22.792]  Don't you laugh at me!
[00:42:22.792 --> 00:42:28.955]  When we come back, some folks went into one of these FEMA camps in Georgia.
[00:42:28.955 --> 00:42:35.177]  Hundreds and hundreds and hundreds and hundreds and hundreds and hundreds and hundreds of thousands of plastic coffins stacked.
[00:42:35.177 --> 00:42:38.939]  We got the company's name and sold it to them, everything.
[00:42:38.939 --> 00:42:39.399]  That's right.
[00:42:40.805 --> 00:42:42.829]  Are you just gonna go along with this in your gut?
[00:42:42.829 --> 00:42:44.091]  You know something's wrong.
[00:42:44.091 --> 00:42:45.914]  Well, we found out what it is.
[00:42:45.914 --> 00:42:47.397]  PrisonPlanet.com.
[00:42:47.397 --> 00:42:48.679]  That's where the resistance starts.
[00:42:55.524 --> 00:42:58.906]  Imagine walking down the street and hearing footsteps behind you.
[00:42:58.906 --> 00:43:03.729]  They get closer and closer, and suddenly you have a sense something bad is going to happen.
[00:43:03.729 --> 00:43:06.231]  What are you going to do to defend yourself?
[00:43:06.231 --> 00:43:10.934]  Tebowtech specializes in non-lethal self-defense products for you and your family.
[00:43:10.934 --> 00:43:19.039]  With everything from stun guns and tasers, to personal alarms and pepper spray, Tebowtech will arm you with the most advanced non-lethal products anywhere on the net.
[00:43:19.739 --> 00:43:21.100]  Not sure where to start?
[00:43:21.100 --> 00:43:25.003]  The TeboTek Essentials Package is great for you or to share with your family.
[00:43:25.003 --> 00:43:36.393]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays, an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
[00:43:36.393 --> 00:43:42.438]  With these or any of TeboTek's products, you have the tools to defend yourself against an attack and get yourself to safety.
[00:43:43.118 --> 00:43:44.321]  Don't be a victim.
[00:43:44.321 --> 00:43:45.604]  Be a victor.
[00:43:45.604 --> 00:43:46.667]  Stock up now.
[00:43:46.667 --> 00:43:48.311]  tbotech.com.
[00:43:48.311 --> 00:43:50.396]  That's t-b-o-t-e-c-h dot com.
[00:43:52.938 --> 00:43:54.919]  Heart disease is on the rise.
[00:43:54.919 --> 00:44:01.882]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:44:01.882 --> 00:44:10.286]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:44:10.286 --> 00:44:16.009]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:44:16.189 --> 00:44:18.031]  My blood pressure has normalized.
[00:44:18.031 --> 00:44:20.334]  My diabetes has totally improved.
[00:44:20.334 --> 00:44:24.740]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:44:24.740 --> 00:44:26.963]  I recommend Heart and Body Extract to everyone.
[00:44:26.963 --> 00:44:34.733]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:44:34.893 --> 00:44:37.396]  Order your two-month supply today by calling 866-295-5305.
[00:44:37.396 --> 00:44:38.196]  That's 866-295-5305.
[00:44:38.196 --> 00:44:39.638]  Or order online at HBextract.com.
[00:44:39.638 --> 00:44:41.520]  Heart and Body Extract, 866-295-5305.
[00:44:41.520 --> 00:44:42.320]  Or HBextract.com.
[00:44:53.086 --> 00:44:56.189]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:44:56.189 --> 00:45:01.695]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:45:01.695 --> 00:45:07.422]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:45:07.422 --> 00:45:08.523]  Hi, this is Alex Jones.
[00:45:08.883 --> 00:45:18.213]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:45:18.213 --> 00:45:20.055]  Now compare Calben Pure Soap.
[00:45:20.055 --> 00:45:29.285]  All natural, earth friendly, no harsh chemicals, no animal testing, they're safe, and you save 85% of the money you're spending on cleaning products now.
[00:45:29.285 --> 00:45:30.606]  Start saving over a thousand
[00:45:30.606 --> 00:45:31.006]  I think so.
[00:45:52.748 --> 00:45:58.692]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[00:45:58.692 --> 00:46:03.496]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[00:46:03.496 --> 00:46:08.919]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[00:46:08.919 --> 00:46:12.302]  This product is a one-of-a-kind in its strength and effectiveness.
[00:46:12.842 --> 00:46:21.346]  Using Plasma pH Drops is one of the best ways to make your water alkaline while helping you get rid of acid and regaining your health and energy.
[00:46:21.346 --> 00:46:27.149]  With just 10 drops, you can raise the pH level of the water you drink up to the pH of 10.
[00:46:27.149 --> 00:46:33.132]  Alkalizing water helps the body rid itself of acidic waste and increases the oxygen content of your body.
[00:46:33.132 --> 00:46:38.395]  Disease organisms like bacteria and cancer cannot survive in an alkaline environment.
[00:46:38.395 --> 00:46:41.116]  Order your bottle of AlkaVision Plasma pH Drops now.
[00:46:41.476 --> 00:46:47.638]  Stop by going directly to alkavision.com, that's a-l-k-a-vision dot com, or call 269-344-3420 today!
[00:47:09.301 --> 00:47:19.747]  There is hope, my friends, but we have to admit how serious things have gotten.
[00:47:19.747 --> 00:47:21.868]  We can't be in denial about this.
[00:47:21.868 --> 00:47:29.792]  I mean, here they are, calmly reporting, oh, an Illinois National Guard's gonna go door-to-door confiscating guns.
[00:47:29.792 --> 00:47:38.057]  People can rationalize New Orleans and surrounding towns, they go into high and dry areas and the Army, regular Army, would march in with the police and confiscate guns and
[00:47:38.965 --> 00:47:43.747]  The police, she came out and said, we're confiscating all the guns of people who are still in denial.
[00:47:43.747 --> 00:47:59.872]  Well, now in Oakland, California and Tucson, Arizona, Dallas, Texas, Boston, Massachusetts, uh, everywhere, Washington, DC, they're having knock and talk where they just come to your door and started in Tucson.
[00:47:59.872 --> 00:48:03.993]  It actually started in pro-gun areas like, uh, Arizona and Texas and Dallas.
[00:48:03.993 --> 00:48:06.134]  I saw the Dallas Morning News like four years ago.
[00:48:06.744 --> 00:48:10.388]  And it described middle class areas, and they come during the day when they think the husbands aren't there.
[00:48:10.388 --> 00:48:12.110]  It's totally criminal.
[00:48:12.110 --> 00:48:13.412]  It's called knock and talk.
[00:48:13.412 --> 00:48:16.555]  And they knock, and don't deny it folks, go Google it!
[00:48:16.555 --> 00:48:18.878]  Don't just say I'm making this up!
[00:48:18.878 --> 00:48:21.501]  The country dies if you do that, you understand?
[00:48:21.501 --> 00:48:24.524]  They go to the door and they say, we'd like to look and see if your guns are legal.
[00:48:24.524 --> 00:48:27.567]  We're just here randomly, no due process, no...
[00:48:29.372 --> 00:48:33.374]  Probable cause, it's just a federal grant to come ask about your guns.
[00:48:33.374 --> 00:48:40.797]  And they have the gun buyback programs, which gives the people the image of folks lined up handing guns in for money.
[00:48:40.797 --> 00:48:41.698]  All to condition you.
[00:48:41.698 --> 00:48:44.539]  They did the same thing in Australia and England before they banned guns.
[00:48:44.539 --> 00:48:49.822]  Same thing in Canada, they banned half of what they registered there.
[00:48:49.822 --> 00:48:52.663]  Totally banned guns in places like England.
[00:48:52.663 --> 00:48:54.644]  And the crime rates, of course, explode.
[00:48:54.644 --> 00:48:58.506]  But yeah, Obama wants one million teenagers
[00:48:59.196 --> 00:49:05.641]  With guns, in uniforms, spying and fighting the terrorists that are hiding under every cupboard.
[00:49:05.641 --> 00:49:13.367]  And the news is telling you for like six months now, and I told you they'd say this because we got documents on it a year ago, there's blonde-haired, blue-eyed Al-Qaeda.
[00:49:13.367 --> 00:49:14.688]  Al-Qaeda's everywhere!
[00:49:14.688 --> 00:49:19.833]  Remember we said, first they'll train you that it's Muslim Al-Qaeda, which doesn't exist either.
[00:49:19.833 --> 00:49:24.176]  And then they would move on to, actually, everybody's Al-Qaeda.
[00:49:24.176 --> 00:49:26.458]  Black people, white people, they're all Al-Qaeda!
[00:49:27.188 --> 00:49:32.249]  And then now I've had national talk show host and Congress and others say that I am Al-Qaeda.
[00:49:32.249 --> 00:49:35.570]  That Alex Jones, he's Al-Qaeda.
[00:49:35.570 --> 00:49:41.251]  Oh, did Al-Qaeda write the PNAC documents where they said they'd use bioweapons on us and kill us?
[00:49:41.251 --> 00:49:42.732]  Our government did?
[00:49:42.732 --> 00:49:52.234]  By the way, there's all these thousands of admitted examples where the criminals that run our government from the 40s right through to the last stuff declassified in the 80s, and it's still going on.
[00:49:52.234 --> 00:49:55.055]  They declassify things every 20-something years, so we're in the mid-90s now.
[00:49:56.838 --> 00:49:59.300]  I mean, mid-eighties now, excuse me.
[00:49:59.300 --> 00:50:09.389]  And they just came right out and say that they've tested lethal chemical, biological, radiologicals in every major city of the U.S., killing people in many of the cases.
[00:50:09.389 --> 00:50:10.270]  Just type, U.S.
[00:50:10.270 --> 00:50:21.700]  troops killed by nerve gas, or New York subway sprayed by biological weapon, and you'll read it and go, wait a minute, the government says give up all my rights, there's these people that want to nerve gas me or use chemical or biologicals,
