[00:00.000 --> 00:14.000]  And now, the tip of the spear, leading the fight to take back the nation, it's Olin Shroyer.
[01:07:40.000 --> 01:07:48.000]  Now, this bus sits outside of Dr. Shiva Ayudhure's headquarters. Only a real Indian can defeat the fake Indian.
[01:07:48.000 --> 01:08:06.000]  Well, now, local law enforcement has threatened Shiva with a fine of $300 a day if he does not remove that billboard from the bus that sits in front of his office in Massachusetts.
[01:08:06.000 --> 01:08:16.000]  Now, Dr. Shiva, I have to say, when I first heard about the story and I'm looking into this, I don't know if you've, if you've seeked any counsel from attorneys or anything like that,
[01:08:16.000 --> 01:08:25.000]  how is this not political racketeering? This seems to me like straight up cold cut case political racketeering.
[01:08:25.000 --> 01:08:34.000]  Well, when you got to understand Massachusetts is one of the most corrupt states in all the United States, I think in the last public integrity report,
[01:08:34.000 --> 01:08:43.000]  it was rated 47th out of 50. The entire state runs on racketeering. If you really think about it, the only thing that produces anything in Massachusetts is probably the high tech workers
[01:08:43.000 --> 01:08:52.000]  and the working people. You know, MIT produced 33,000 jobs, businesses, which created about two trillion annual revenue for the U.S. UDP,
[01:08:52.000 --> 01:09:00.000]  but everything else is complete racketeering. That slogan that you just read, only a real Indian can defeat the fake Indian, is what bothers them.
[01:09:00.000 --> 01:09:08.000]  For nearly 14 months, as you know, the bus is, you know, it's my building. We don't have any logos or banners on the building,
[01:09:08.000 --> 01:09:16.000]  but that bus used to have the slogan, which says, you've a fight for America. Prior to St. Patrick's Day, we changed it to this slogan,
[01:09:16.000 --> 01:09:23.000]  which as you know, you guys showed it in St. Patrick's Day, millions of people just loved it. So subsequent to that, we got a,
[01:09:23.000 --> 01:09:29.000]  apparently the city of Cambridge said they got anonymous complaints saying we need to take that slogan down.
[01:09:29.000 --> 01:09:34.000]  So it's completely political racketeering, but more importantly, it's violation of the free speech,
[01:09:34.000 --> 01:09:39.000]  probably violation of the 14th Amendment, equal protection. So obviously we seek counsel and we're not going to let them do this.
[01:09:39.000 --> 01:09:46.000]  In fact, oh, and to everyone listening, we're going to escalate this. We're probably going to get another bus and probably three more pickup trucks.
[01:09:46.000 --> 01:09:55.000]  And that symbol only the real Indian can defeat the fake Indian. Anyone who's listening, you know, we have a supplier who supports our campaign.
[01:09:55.000 --> 01:10:01.000]  You can get it on the side of your own vehicle. Just go up to our website and donate 100 bucks or more and we'll ship it out to you.
[01:10:01.000 --> 01:10:10.000]  But the bottom line is, Owen, what you're looking at is that the left and the right hates that slogan because we're the ones who are seen as a real opposition to war.
[01:10:10.000 --> 01:10:18.000]  Because the right wing, I don't want to say right wing, but the establishment in Massachusetts, the GOP establishment has no intent of beating Elizabeth Warren.
[01:10:18.000 --> 01:10:23.000]  They coddle to her. In fact, you have Charlemagne Baker who's taking selfies with her at the St. Patrick's Day.
[01:10:23.000 --> 01:10:28.000]  He didn't even have the decency to attend the vice president's dinner event, nor did he send anyone.
[01:10:28.000 --> 01:10:33.000]  So you're looking at total collusion of the sewer rats which feed the swamp in D.C.
[01:10:33.000 --> 01:10:42.000]  But it tells me how threatened they are by you that they are willing to go with such blatant political racketeering.
[01:10:42.000 --> 01:10:47.000]  It really shows that you're scaring the establishment in Washington. It really shows you're scaring Elizabeth Warren.
[01:10:47.000 --> 01:10:54.000]  And so they call you and you're telling me they say they have anonymous complaints about your bus.
[01:10:54.000 --> 01:10:58.000]  They're saying people are calling in with anonymous complaints.
[01:10:58.000 --> 01:11:06.000]  Yeah, one of our campaign managers behind me, Mike Mosca, talked to the city of Cambridge and he said, look, you're the building department.
[01:11:06.000 --> 01:11:10.000]  What jurisdiction do you have on a bus? Okay, this is a bus.
[01:11:10.000 --> 01:11:15.000]  So the next thing they're going to do is probably start regulating all of us driving around in our vehicles.
[01:11:15.000 --> 01:11:21.000]  And we start posting whatever rights we have on free speech, symbols that we want on our own vehicles.
[01:11:21.000 --> 01:11:25.000]  Exactly. This is beyond political racketeering. This is now an attack on free speech.
[01:11:25.000 --> 01:11:29.000]  Because what are they going to say? You can't have a bumper sticker that says anything.
[01:11:29.000 --> 01:11:34.000]  I mean, you can't have a bumper sticker that says make America great again. I mean, that's, that's where this goes.
[01:11:34.000 --> 01:11:39.000]  That's exactly where it goes. The other interesting thing on is on Monday is Patriots Day.
[01:11:39.000 --> 01:11:44.000]  Everyone should remember the first shot was fired for the revolution in Lexington.
[01:11:44.000 --> 01:11:52.000]  But in Lexington Concord, one of the first battles took place is a academy and you got to check this out. This was just even more breaking news than this.
[01:11:52.000 --> 01:11:56.000]  A Concord Academy, a nice, elitist school.
[01:11:56.000 --> 01:12:00.000]  The headmaster of that school apparently released an announcement.
[01:12:00.000 --> 01:12:03.000]  One of the students was afraid of being ostracized.
[01:12:03.000 --> 01:12:08.000]  This wrote to me and he said the headmaster told all the students that there's going to be misogynists.
[01:12:08.000 --> 01:12:16.000]  There's going to be racist anti-Muslim people coming to our city to do a Patriots Day event.
[01:12:16.000 --> 01:12:22.000]  And they're referring to us and we're going to, we're concerned about the safety of our children with these guys.
[01:12:22.000 --> 01:12:28.000]  So that's what's going on. So it's awesome for us in many ways, spectacularly awesome.
[01:12:28.000 --> 01:12:33.000]  Because you remember what happened with the free speech rally, right? 40 of us against 40,000.
[01:12:33.000 --> 01:12:36.000]  And it was truly a free speech rally. We fought for free speech.
[01:12:36.000 --> 01:12:41.000]  And here again, it's Elizabeth Warren, she's who's unleashed the city of Cambridge.
[01:12:41.000 --> 01:12:46.000]  Because they're all, as you say, I think the word you use, political racketeering is absolutely right.
[01:12:46.000 --> 01:12:50.000]  Oh, and that's what's going on. And that's what, you know, Massachusetts has always been known for.
[01:12:50.000 --> 01:12:51.000]  That's why...
[01:12:51.000 --> 01:12:53.000]  Well, this is why Massachusetts needs you.
[01:12:53.000 --> 01:12:55.000]  But this is why Massachusetts needs Cheeviere.
[01:12:55.000 --> 01:12:59.000]  This is why the Senate needs Cheeviere because you're a fighter and you're also a very brilliant man.
[01:12:59.000 --> 01:13:02.000]  You happen to be the inventor of email, but, you know, they won't, they won't credit you with that.
[01:13:02.000 --> 01:13:07.000]  The left will actually act like you don't even exist. But I wanted to know, and you already talked about this,
[01:13:07.000 --> 01:13:11.000]  what is your response to this? I mean, are you, are you going to take the billboard down?
[01:13:11.000 --> 01:13:14.000]  No, you're going to put more billboards out there.
[01:13:14.000 --> 01:13:17.000]  So what are they going to do when you put more billboards out there?
[01:13:17.000 --> 01:13:22.000]  You expand this fake Indian campaign and they continue to levy fines against you.
[01:13:22.000 --> 01:13:24.000]  How is this going to go?
[01:13:24.000 --> 01:13:27.000]  Well, look, we're going to escalate. You know, what you do is when they attack you, you escalate.
[01:13:27.000 --> 01:13:33.000]  Because we know that fundamental what we've done is that both sides are afraid of us and we need to escalate.
[01:13:33.000 --> 01:13:36.000]  Bottom line is, oh, and the people love that slogan.
[01:13:36.000 --> 01:13:40.000]  Only a real Indian can defeat a fake Indian. And why do they like it?
[01:13:40.000 --> 01:13:43.000]  Because I'm a real American. You're a real American.
[01:13:43.000 --> 01:13:49.000]  And fundamentally, the core of what we're saying is the real Indians, real Americans, if you go to real indigenous people,
[01:13:49.000 --> 01:13:52.000]  we lived in decentralized environments, right?
[01:13:52.000 --> 01:13:56.000]  We lived with nature. We supported local governance.
[01:13:56.000 --> 01:13:59.000]  We didn't support the deep state and centralized government.
[01:13:59.000 --> 01:14:04.000]  That slogan goes at the heart of the deep state and our goal is to destroy the deep state.
[01:14:04.000 --> 01:14:07.000]  And the center of the deep state is right here in Massachusetts.
[01:14:07.000 --> 01:14:12.000]  Both the Mass GOP and the Democratic Party are the sewer, literally the center of the deep state.
[01:14:12.000 --> 01:14:16.000]  And what we are conducting right here, Owen, is a second American revolution.
[01:14:16.000 --> 01:14:18.000]  That's what's taking place in Massachusetts.
[01:14:18.000 --> 01:14:22.000]  And everyone listening out there, all of you should start putting up this banner.
[01:14:22.000 --> 01:14:28.000]  Only a real Indian can defeat the fake Indian. Because I'm telling you, that's going to become the dog whistle of this next revolution that's coming.
[01:14:28.000 --> 01:14:31.000]  Because people are tired of, I mean, look what just happened to Trump.
[01:14:31.000 --> 01:14:34.000]  They're invading his lawyer's offices, violating all of his property.
[01:14:34.000 --> 01:14:37.000]  I want to get into that on the other side with you.
[01:14:37.000 --> 01:14:41.000]  But I'm telling you, I'm telling you, you really have to have them afraid right now.
[01:14:41.000 --> 01:14:45.000]  If they're willing to do this blatant racketeering, if they're willing to try to levy these fines against you,
[01:14:45.000 --> 01:14:47.000]  to get you to take down these posters.
[01:14:47.000 --> 01:14:51.000]  And, you know, another thing, Elizabeth Warren has been pretty silent lately.
[01:14:51.000 --> 01:14:53.000]  You haven't really heard much from Elizabeth Warren.
[01:14:53.000 --> 01:14:56.000]  It sounds like she's trying to stay out of the press right now.
[01:14:56.000 --> 01:15:00.000]  And I think that's another sign that you have her scared.
[01:15:00.000 --> 01:15:07.000]  Well, look, both sides, I think both sides had a huddle and probably told her to go to Beijing for a while.
[01:15:07.000 --> 01:15:10.000]  That's where she is, you know, thinking she's some great statesman or something
[01:15:10.000 --> 01:15:13.000]  and probably colluding with the Chinese against the American people.
[01:15:13.000 --> 01:15:14.000]  Chinese government, that is.
[01:15:14.000 --> 01:15:16.000]  That's what Elizabeth Warren's really up to.
[01:15:16.000 --> 01:15:19.000]  But the bottom line is, Owen, we're going to escalate this.
[01:15:19.000 --> 01:15:24.000]  We're in the middle of getting another big bus that's going to also say only a real Indian can defeat a fake Indian.
[01:15:24.000 --> 01:15:29.000]  Frank, who's right behind me, you know, is a local electrician who lives up in Massachusetts.
[01:15:29.000 --> 01:15:31.000]  He built everything we do.
[01:15:31.000 --> 01:15:33.000]  We built that bus on our own by citizens and students.
[01:15:33.000 --> 01:15:35.000]  We painted it on our own.
[01:15:35.000 --> 01:15:38.000]  There's no people that we're relying on to go buy a bus.
[01:15:38.000 --> 01:15:40.000]  Yeah, you're the real deal.
[01:15:40.000 --> 01:15:42.000]  And they're scared to death of you getting in.
[01:15:42.000 --> 01:15:44.000]  They hate that slogan because it's so real.
[01:15:44.000 --> 01:15:46.000]  And now they're trying.
[01:15:46.000 --> 01:15:49.000]  I mean, they're essentially bribing you. I mean, this is nuts.
[01:15:49.000 --> 01:15:52.000]  Take that sign down or we're going to find you.
[01:15:52.000 --> 01:16:17.000]  How about kiss my ass? This is America.
[01:16:22.000 --> 01:16:24.000]  That's what I'm talking about.
[01:16:52.000 --> 01:16:57.000]  877-886-3653, goberky.com.
[01:17:22.000 --> 01:17:26.000]  Feel the thrill only at Slingbow.com.
[01:17:53.000 --> 01:17:58.000]  That's libertyoncall.org.
[01:17:58.000 --> 01:18:04.000]  InfoWarsLife Brain Force Plus is our number one selling product by leaps and bounds.
[01:18:04.000 --> 01:18:05.000]  And for a good reason.
[01:18:05.000 --> 01:18:09.000]  Going back about five years ago, we did research on what top selling new tropics were,
[01:18:09.000 --> 01:18:11.000]  what were most popular, what were best, what people liked.
[01:18:11.000 --> 01:18:13.000]  And we made it even stronger.
[01:18:13.000 --> 01:18:18.000]  Then we cut the price because leading competitors have five to seven times markup.
[01:18:18.000 --> 01:18:22.000]  We only have 150% and then it helps funder operation.
[01:18:22.000 --> 01:18:24.000]  Well, now it's 50% off.
[01:18:24.000 --> 01:18:28.000]  That means we've got a 25% markup.
[01:18:28.000 --> 01:18:33.000]  And we've got it paired with the real red pill that takes about seven days to kick in.
[01:18:33.000 --> 01:18:36.000]  Brain Force takes about 30 minutes, but the two go together.
[01:18:36.000 --> 01:18:38.000]  It's the mind and body challenge.
[01:18:38.000 --> 01:18:47.000]  They're both 50% off individually or together they're 50% off and free shipping with the combo at infowarslife.com.
[01:18:47.000 --> 01:18:53.000]  But it's got to end in a couple days because both of these best sellers are about to sell out.
[01:18:53.000 --> 01:18:58.000]  InfoWarsLife.com to get your Brain Force Plus and real red pill today.
[01:18:58.000 --> 01:19:05.000]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by InfoWarsLife.
[01:19:05.000 --> 01:19:13.000]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber.
[01:19:13.000 --> 01:19:18.000]  A mixture of clinically studied and organic acacia fruit and flax fiber.
[01:19:18.000 --> 01:19:24.000]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria,
[01:19:24.000 --> 01:19:29.000]  which helps you digest food, absorb nutrients and even support your immune system.
[01:19:29.000 --> 01:19:36.000]  InfoWarsLife's cutting edge formula only brings you the highest quality organic and clinically studied ingredients.
[01:19:36.000 --> 01:19:51.000]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[01:19:51.000 --> 01:20:11.000]  Head to InfoWarsLife.com or call 1-888-253-3139.
[01:20:21.000 --> 01:20:39.000]  Well, my guest is Dr. Shiva Ayodhure, inventor of email and he's running for senate against Elizabeth Warren and he has Elizabeth Warren and the deep state in Massachusetts.
[01:20:39.000 --> 01:20:54.000]  It's very scared, so scared in fact that they're now levying fines against Dr. Ayodhure because he has a bus in front of his office that has a billboard on it that says only a real Indian can defeat a fake Indian.
[01:20:54.000 --> 01:20:59.000]  So now they're telling him, take it down or we're going to find you $300 a day.
[01:20:59.000 --> 01:21:04.000]  Now, if that's not political racketeering, I don't know what is.
[01:21:04.000 --> 01:21:09.000]  There is the bus right there.
[01:21:09.000 --> 01:21:13.000]  And of course, this is a very popular slogan.
[01:21:13.000 --> 01:21:18.000]  It's funny, it's creative and it's getting attention and that's why they have to stop it.
[01:21:18.000 --> 01:21:21.000]  That's why they have to censor Dr. Ayodhure's free speech.
[01:21:21.000 --> 01:21:24.000]  That's why they're engaging in political racketeering.
[01:21:24.000 --> 01:21:36.000]  And so, just like I would suspect from my guest, he's decided his response is going to be, well, you know what, $300 a day for having this billboard in the parking lot.
[01:21:36.000 --> 01:21:38.000]  Let's put 12 of them in the parking lot.
[01:21:38.000 --> 01:21:39.000]  How about that?
[01:21:39.000 --> 01:21:40.000]  Go ahead and try to charge me that.
[01:21:40.000 --> 01:21:49.000]  We'll put 12 buses in the parking lot and then we'll hand out 12,000 around the city for people to put in their yards and we'll just go with that.
[01:21:49.000 --> 01:21:52.000]  I'll tell you what.
[01:21:52.000 --> 01:21:55.000]  Usually I like, Dr. Shiva Ayodhure, here's what we're going to do.
[01:21:55.000 --> 01:22:00.000]  Brilliant idea came from one of the producers here and I think it's a brilliant idea.
[01:22:00.000 --> 01:22:02.000]  You contemplate this idea.
[01:22:02.000 --> 01:22:03.000]  I'm going to throw it out there.
[01:22:03.000 --> 01:22:07.000]  We'll get a raw response from you, but I want you to contemplate this idea.
[01:22:07.000 --> 01:22:17.000]  What if you told Elizabeth Warren you will remove the bus and the sign from the office if she agrees to take the DNA test?
[01:22:17.000 --> 01:22:18.000]  What about that?
[01:22:18.000 --> 01:22:22.000]  I want you to don't provide an answer, just contemplate on that.
[01:22:22.000 --> 01:22:24.000]  It's just incredible.
[01:22:24.000 --> 01:22:31.000]  Now they're censoring your free speech and they're engaging in political racketeering all because they're afraid you might get in and shake things up.
[01:22:31.000 --> 01:22:42.000]  The bottom line is that slogan, only a real Indian can defeat the fake Indian pretty much says it all, not only against Warren, but it says it against all these career politicians.
[01:22:42.000 --> 01:22:43.000]  Look, they're all fakes.
[01:22:43.000 --> 01:22:45.000]  None of them are real people.
[01:22:45.000 --> 01:22:48.000]  They don't solve any real problems. In fact, they don't know how to solve a problem.
[01:22:48.000 --> 01:22:54.000]  You look at Elizabeth Warren and what she's actually done in Massachusetts and it's been zilch for that matter for this country.
[01:22:54.000 --> 01:22:58.000]  What she has done is create an environment where we've consolidated the deep state.
[01:22:58.000 --> 01:23:02.000]  We essentially have the highest income inequality in Massachusetts.
[01:23:02.000 --> 01:23:08.000]  The average net worth of a poor black person is $8, literally within a two mile distance from her own home.
[01:23:08.000 --> 01:23:15.000]  And then you look at the situation that for every 17 skill job openings in Massachusetts, only one person is skilled.
[01:23:15.000 --> 01:23:20.000]  And meanwhile, Harvard runs as a tax free hedge fund, $40 billion.
[01:23:20.000 --> 01:23:21.000]  She never says anything about them.
[01:23:21.000 --> 01:23:25.000]  Nor does Charlie Baker, who's a quote unquote a Republican governor.
[01:23:25.000 --> 01:23:32.000]  In fact, out of the three guys running against Warren and the Republicans, one of them is backed by the Saudis.
[01:23:32.000 --> 01:23:45.000]  The Saudi Robashaw, I'm sorry, we call her Holly Robashaw, the campaign manager for one of them was funded by the Saudis to manipulate veterans into going to lobby against a bill which was to protect 9-11 victims.
[01:23:45.000 --> 01:23:52.000]  And that's one of the quote unquote Republicans who actually, we just found out that he was a Democrat because he voted for Joe Biden less than a decade ago.
[01:23:52.000 --> 01:23:55.000]  And he's been a Democrat as long as Warren's been a Democrat.
[01:23:55.000 --> 01:23:57.000]  That's what's going on in Massachusetts.
[01:23:57.000 --> 01:24:01.000]  None of these people want to take on the deep state because they're part of the deep state.
[01:24:01.000 --> 01:24:03.000]  That's why that slogan is so powerful.
[01:24:03.000 --> 01:24:12.000]  And that's why we saw millions coming out on St. Patrick's State, blacks, white, Indians, people of all color, cheering us on, only a real Indian can defeat the fake Indians.
[01:24:12.000 --> 01:24:13.000]  And that's why they're trying to shut it down.
[01:24:13.000 --> 01:24:15.000]  And that's why they're trying to shut it down.
[01:24:15.000 --> 01:24:22.000]  And this is the type of campaign you run, just creative, outside of the box, and they hate it.
[01:24:22.000 --> 01:24:23.000]  They hate it.
[01:24:23.000 --> 01:24:24.000]  So you know what?
[01:24:24.000 --> 01:24:27.000]  You wanted to get in a street fight with Dr. Shiva Iyadu Ray.
[01:24:27.000 --> 01:24:36.000]  Well, you picked the wrong guy because now you're going to have 12 buses and you're going to have street signs and only a real Indian can defeat a fake Indian is now just going to go viral.
[01:24:36.000 --> 01:24:43.000]  So thank you to the city and to the state of Massachusetts for engaging in political racketeering against Shiva Iyadu Ray.
[01:24:43.000 --> 01:24:45.000]  You might be a little racist.
[01:24:45.000 --> 01:24:46.000]  We won't go there yet.
[01:24:46.000 --> 01:24:51.000]  You might be a little racist for engaging in political racketeering against Dr. Shiva Iyadu Ray, but we'll save that for later.
[01:24:51.000 --> 01:24:58.000]  But Dr., before we let you go here, you were mentioning something very important in the last segment and it's very precedent-sitting.
[01:24:58.000 --> 01:25:06.000]  Not is it just precedent-sitting what you're dealing with with this racketeering, but also what now the FBI is doing at Mueller's behest,
[01:25:06.000 --> 01:25:13.000]  going in, raiding lawyers' offices, talk about the dangers of the precedent being set right now by Mueller, his team, and the FBI,
[01:25:13.000 --> 01:25:18.000]  where they can just raid anyone, they're lawless, they're above the law, unelected, can investigate in anybody,
[01:25:18.000 --> 01:25:21.000]  and it's just like Russian inclusion, no, they're investigating anything.
[01:25:21.000 --> 01:25:23.000]  Talk about that dangerous precedent.
[01:25:23.000 --> 01:25:30.000]  Well, look, the reason we had a revolution in this country was because of illegal search and seizure, right?
[01:25:30.000 --> 01:25:31.000]  Let's not forget that.
[01:25:31.000 --> 01:25:36.000]  We had the fact that the British were telling us what weapons we could have and what weapons we could not have.
[01:25:36.000 --> 01:25:37.000]  They were seizing them.
[01:25:37.000 --> 01:25:44.000]  Tell me, Owen, what is different right now than that climate when the personal lawyer of the President of the United States gets raided
[01:25:44.000 --> 01:25:48.000]  and his material gets removed, you're first of all violating attorney-client privileges,
[01:25:48.000 --> 01:25:54.000]  but more importantly, you're violating the fundamentals of what this country is that you can have the right to legal counsel
[01:25:54.000 --> 01:25:56.000]  and it's protected from the state.
[01:25:56.000 --> 01:26:02.000]  And Mueller doing this either for one of two reasons to force Trump's hand, so he does something against Mueller.
[01:26:02.000 --> 01:26:08.000]  I have a theory that you see Paul Ryan, you know, one of the, and when Paul Ryan, when John McCain,
[01:26:08.000 --> 01:26:14.000]  and then when you have someone like Howard Dean all on the same side, think about what's going on with Syria.
[01:26:14.000 --> 01:26:18.000]  They all want Trump to go bomb the hell out of Syria now, right?
[01:26:18.000 --> 01:26:27.000]  And Putin, they want to start a war and they want to put Trump as escape code of that because a deep state is essentially completely suffocating right now
[01:26:27.000 --> 01:26:31.000]  with the fact that people are rising up and they understand what's going on in this country.
[01:26:31.000 --> 01:26:33.000]  So they're trying to play chess moves.
[01:26:33.000 --> 01:26:40.000]  So separate from the fundamentals of the Constitution, in my view, being violated by what we saw happen with Cohen being attacked
[01:26:40.000 --> 01:26:46.000]  as a search and seizure, what's going on tests in Massachusetts, and also you have a scumbag, excuse my term,
[01:26:46.000 --> 01:26:51.000]  like Mark Zuckerberg, if anyone saw that hearing, it was a complete joke.
[01:26:51.000 --> 01:26:56.000]  Here's a guy who makes billions of dollars actually selling advertising.
[01:26:56.000 --> 01:27:01.000]  He sells data and that whole thing is being sort of whitewashed over in these hearings.
[01:27:01.000 --> 01:27:04.000]  They're setting it up where he'll probably apologize.
[01:27:04.000 --> 01:27:06.000]  He'll say it makes them idealist comments.
[01:27:06.000 --> 01:27:10.000]  And the net of it is they're going to throw Cambridge Analytica, one of their customers under the bus,
[01:27:10.000 --> 01:27:16.000]  who was simply using the data that they have the right to use based on how Facebook said that they could use the data.
[01:27:16.000 --> 01:27:21.000]  So in my view, we're living in a very, very important time.
[01:27:21.000 --> 01:27:24.000]  You have a slogan like real Indian, fake Indian being attacked.
[01:27:24.000 --> 01:27:33.000]  You have people being not allowed, censored on Facebook and an organization deciding what's hate speech, what's not hate speech.
[01:27:33.000 --> 01:27:36.000]  And then you have the president of the United States lawyer being raided.
[01:27:36.000 --> 01:27:38.000]  I mean, how much worse is it going to get?
[01:27:38.000 --> 01:27:40.000]  Exactly, they censor.
[01:27:40.000 --> 01:27:41.000]  So that's exactly it.
[01:27:41.000 --> 01:27:46.000]  They censor the digital platform, like getting diamond and silk off Facebook.
[01:27:46.000 --> 01:27:53.000]  They censor the real 3D world, physical world reality by trying to get you to remove your sign from a parking lot.
[01:27:53.000 --> 01:27:57.000]  These people are total control freaks and they're totally desperate.
[01:27:57.000 --> 01:28:01.000]  And if they can pin World War 3 on Trump, they think that they can get his base to betray him.
[01:28:01.000 --> 01:28:03.000]  And I guess they're right because we don't want the World War.
[01:28:03.000 --> 01:28:04.000]  We don't want this intervention.
[01:28:04.000 --> 01:28:11.000]  And again, I asked this earlier, where are the peacenik liberals that don't want foreign interventions and don't want more expanded wars?
[01:28:11.000 --> 01:28:13.000]  I'm not hearing a peep from them, Dr. Ayodhure.
[01:28:13.000 --> 01:28:14.000]  Exactly.
[01:28:14.000 --> 01:28:21.000]  This is a fascinating thing to watch CNN, to watch a nut job like Howard Dean, Lindsey Graham, John McCain,
[01:28:21.000 --> 01:28:23.000]  all coming together.
[01:28:23.000 --> 01:28:26.000]  This is no different than when Hillary Clinton ran.
[01:28:26.000 --> 01:28:32.000]  You have the Romney's, you have the Obama's, you have the Bushes and the Clintons all come together against the establishment candidate.
[01:28:32.000 --> 01:28:40.000]  So I think we're living in very, very exciting times and it's a great opportunity for a new revolution to take place, whatever form that takes place.
[01:28:40.000 --> 01:28:42.000]  And it's not going to be easy.
[01:28:42.000 --> 01:28:43.000]  It wasn't easy in 1776.
[01:28:43.000 --> 01:28:44.000]  It's not going to be easy now.
[01:28:44.000 --> 01:28:47.000]  But if we win this revolution, we change the world forever.
[01:28:47.000 --> 01:28:57.000]  Shiva4Senate.com, Shiva4Senate.com, if you want 12 buses that say a real Indian can defeat a fake Indian, go to Shiva4Senate.com.
[01:28:57.000 --> 01:28:59.000]  Fully cooked, ready to eat bacon.
[01:28:59.000 --> 01:29:02.000]  I'm talking thick meaty, center cut, presidential bacon.
[01:29:02.000 --> 01:29:04.000]  Savory and delicious.
[01:29:04.000 --> 01:29:06.000]  I buy some, I use some, I store some.
[01:29:06.000 --> 01:29:07.000]  Awesome.
[01:29:07.000 --> 01:29:10.000]  No refrigeration needed with a 10 year shelf life.
[01:29:10.000 --> 01:29:12.000]  NASA PAC technology.
[01:29:12.000 --> 01:29:13.000]  Bacon.
[01:29:13.000 --> 01:29:16.000]  Fully cooked, fully hydrated, ready to eat right from the PAC bacon.
[01:29:16.000 --> 01:29:18.000]  Or warm and serve.
[01:29:18.000 --> 01:29:20.000]  Life saving, ready to eat bacon.
[01:29:20.000 --> 01:29:22.000]  10 year shelf life bacon.
[01:29:22.000 --> 01:29:25.000]  Ships free at fullycookedbacon.com.
[01:29:25.000 --> 01:29:27.000]  Fullycookedbacon.com.
[01:29:27.000 --> 01:29:28.000]  This is Dan Pilla.
[01:29:28.000 --> 01:29:30.000]  Do you have the IRS money you can't pay?
[01:29:30.000 --> 01:29:31.000]  Are tax debts crippling you?
[01:29:31.000 --> 01:29:34.000]  I've defended people from the IRS for over 30 years.
[01:29:34.000 --> 01:29:36.000]  I've helped thousands and I can help you too.
[01:29:36.000 --> 01:29:41.000]  I wrote the book on IRS settlement and I'm telling you, there's no such thing as a hopeless case.
[01:29:41.000 --> 01:29:46.000]  Call 800-34-NO-TAX to finally get free of IRS debt.
[01:29:46.000 --> 01:29:49.000]  With the IRS's new programs, there's never been a better time to solve your problem.
[01:29:49.000 --> 01:30:16.000]  Call 800-34-NO-TAX, that's 800-34-NO-TAX or my website, danpilla.com.
[01:30:19.000 --> 01:30:25.000]  This essential mineral, sourced of 99.99% ultra-pure, deep earth iodine crystals,
[01:30:25.000 --> 01:30:29.000]  this essential mineral is necessary in order to produce thyroid hormones
[01:30:29.000 --> 01:30:33.000]  which influence every cell, tissue, and organ in the body.
[01:30:33.000 --> 01:30:38.000]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain,
[01:30:38.000 --> 01:30:40.000]  and overall brain fog.
[01:30:40.000 --> 01:30:46.000]  Survival Shield X2 and Biotrue Selenium work together to support the systems in your body.
[01:30:46.000 --> 01:30:50.000]  Take control of your chemistry today with this super combo.
[01:30:50.000 --> 01:30:58.000]  Discover the power of Survival Shield X2 and Biotrue Selenium at infowarslife.com.
[01:30:58.000 --> 01:31:03.000]  You know, if I tried to sit here and tell you about the 60 plus products, we have it in Full Wars Life.
[01:31:03.000 --> 01:31:05.000]  It'd take hours.
[01:31:05.000 --> 01:31:07.000]  Michael ZX Plus now has a lower price.
[01:31:07.000 --> 01:31:08.000]  It's stronger.
[01:31:08.000 --> 01:31:10.000]  It's the other equation in probiotics.
[01:31:10.000 --> 01:31:13.000]  It knocks out the yeast, the mold, the candida.
[01:31:13.000 --> 01:31:14.000]  It's back in stock.
[01:31:14.000 --> 01:31:17.000]  The real red pill, it's been sold out for months.
[01:31:17.000 --> 01:31:21.000]  It's got the preglonone, that's the precursor to all the natural hormones in your body.
[01:31:21.000 --> 01:31:24.000]  Then it's got all the minerals and the vitamins, the amino acids.
[01:31:24.000 --> 01:31:25.000]  So you can upload it.
[01:31:25.000 --> 01:31:31.000]  Our latest product that goes great with the super blue colloidal silver and iodine fortified toothpaste
[01:31:31.000 --> 01:31:34.000]  is super blue silver immune gargle.
[01:31:34.000 --> 01:31:35.000]  That's a spray you do.
[01:31:35.000 --> 01:31:36.000]  You can also swallow it.
[01:31:36.000 --> 01:31:42.000]  It's a supplement with iodine, super high quality silver, and a lot more.
[01:31:42.000 --> 01:31:43.000]  Without you, we couldn't do it.
[01:31:43.000 --> 01:31:49.000]  So thank you all for remembering infowarstore.com and remembering that it's not just you that's
[01:31:49.000 --> 01:31:53.000]  already awake, but it's other people that aren't awake and it's so essential to spread the word.
[01:31:53.000 --> 01:32:15.000]  Again, thank you so much for being part of the Second American Revolution.
[01:32:24.000 --> 01:32:29.000]  They began studying this effect in published trials and decades later, we now have the
[01:32:29.000 --> 01:32:35.000]  fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[01:32:35.000 --> 01:32:38.000]  Pollen block is natural and effective.
[01:32:38.000 --> 01:32:39.000]  It is not an antihistamine.
