[00:00.000 --> 00:10.000]  And I grow up, I always be around you guys!
[55:34.000 --> 55:43.000]  And that just like Trump wants success and you want success and I want success, that we do have the light in the dark of the night and raise the alarm.
[55:43.000 --> 55:47.000]  And people need to celebrate those of us that are persecuted.
[55:47.000 --> 55:53.000]  And again, the enemy is accelerating their plan five or six years because they're behind and because they see the global awakening.
[55:53.000 --> 55:55.000]  So we're actually winning right now.
[55:55.000 --> 56:02.000]  It's just that those of us at the tip of the spear that get banned first, the enemy has computer algorithms to track who's most effective.
[56:02.000 --> 56:06.000]  They have models of who to get. They can see where you're going, where I'm going, our trajectories.
[56:06.000 --> 56:17.000]  So people need to celebrate the human weapons systems that we are for success against tyranny and against this cancer of noncompetitive globalism, this anti-human, post-human system.
[56:17.000 --> 56:23.000]  We have to celebrate the people that have been targeted and realize what they're doing.
[56:23.000 --> 56:25.000]  I know you've got to go. We'll do five more minutes and after one minute break, we'll get finished.
[56:25.000 --> 56:32.000]  We have to celebrate the people that have been attacked first because those are the people that have the antidote.
[56:32.000 --> 56:34.000]  You see what I'm saying?
[56:34.000 --> 56:42.000]  Yeah, but at the same time, a lot of men, they can't take the abuse from getting de-platformed and banned.
[56:42.000 --> 56:48.000]  So men like us, we see what is going on and we wake up the next day and say to ourselves, I'm not going to stop.
[56:48.000 --> 56:56.000]  I'm not going to quit. As long as I'm still alive, I'm not in jail, I'm going to still try to put out the work that I believe touches a lot of people.
[56:56.000 --> 57:00.000]  But we have feelings too. We have a heart too.
[57:00.000 --> 57:05.000]  So how much can they give us until we just feel like there's no more options?
[57:05.000 --> 57:12.000]  It's funny you say this because I have two segments on this because this is the answer. I know you've got to go, but come back for a full hour next week.
[57:12.000 --> 57:15.000]  Let's go to break for two minutes. I want to come back and just try to get into this with you.
[57:15.000 --> 57:17.000]  But just briefly, here's the issue.
[57:17.000 --> 57:22.000]  I'm not a sadomasochist. I don't like to dish out pain. I don't like to take pain. I'm not a masochist.
[57:22.000 --> 57:27.000]  But humans have to know how to go through pain for the good of the species.
[57:27.000 --> 57:31.000]  It's not a collectivism. It's individualism where I'm an individual collectivist to turn my head.
[57:31.000 --> 57:37.000]  But the point is, I'm going to try to explain this when we come back in two minutes and let you finish up, is that we have to take this pain,
[57:37.000 --> 57:43.000]  just like gravity causes pain, but that's how we live and walk, to get to the next level.
[57:43.000 --> 57:48.000]  And we have to realize the stimuli they're hitting at us is because we're winners. They're attacking us because of that.
[57:53.000 --> 57:59.000]  Years ago, InfoWarsLife created the powerful MycoZX formula to help you combat internal yeast.
[57:59.000 --> 58:02.000]  As the years went on, and more toxins were pumped into the environment,
[58:02.000 --> 58:07.000]  our team knew we had to create a bigger and better formula to help support your gut health.
[58:07.000 --> 58:10.000]  MycoZX Plus is the result of the search for that formula.
[58:10.000 --> 58:15.000]  A unique natural formula designed to support the body's natural cleansing of yeast and fungal organisms,
[58:15.000 --> 58:18.000]  there's no better product to help your body fight back.
[58:18.000 --> 58:22.000]  MycoZX Plus helps support a healthy microbial balance in the body,
[58:22.000 --> 58:27.000]  supports your digestive tract, and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[58:27.000 --> 58:31.000]  Powered by an impressive list of ingredients, including grapefruit seed extract,
[58:31.000 --> 58:33.000]  poudarco bark, and grape seed extract,
[58:33.000 --> 58:39.000]  our formula is fueled by ingredients that stood the test of time as powerful microbalancing properties.
[58:39.000 --> 58:44.000]  Pick up a bottle of the new and improved MycoZX Plus today at InfoWarsLife.com.
[58:44.000 --> 58:58.000]  That's InfoWarsLife.com.
[59:15.000 --> 59:20.000]  And now because of their intensifying censorship, it's more important than ever
[59:20.000 --> 59:25.000]  that everyone go to infowars.com forward slash newsletter and sign up via email
[59:25.000 --> 59:32.000]  so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[59:32.000 --> 59:37.000]  And so now I ask you more than ever to share the infowars.com articles, to share the videos,
[59:37.000 --> 59:40.000]  to tell people about the local stations you're listening to,
[59:40.000 --> 59:47.000]  their minimum you can do is sign up for the free newsletter at infowars.com forward slash newsletter.
[59:47.000 --> 01:00:14.000]  We are the Renaissance and we are winning.
[01:00:14.000 --> 01:00:21.000]  So Roushvi had nine of his books including his best-selling book game deleted, removed
[01:00:21.000 --> 01:00:28.000]  from physical sale and digital download from Amazon about a day and a half ago when he was talking.
[01:00:28.000 --> 01:00:32.000]  I only know about Hollywood because I was in a few movies and a bunch of TV shows.
[01:00:32.000 --> 01:00:36.000]  I've been out there a few hundred times and went right to the top of the scene
[01:00:36.000 --> 01:00:39.000]  because they were trying to get me on board 15 years ago.
[01:00:39.000 --> 01:00:43.000]  And a few years into it I saw how bad it was and I got out of it.
[01:00:43.000 --> 01:00:50.000]  But when you look at the whole system they're pushing, things like,
[01:00:50.000 --> 01:00:53.000]  oh women, go to a guy's house, get tied up.
[01:00:53.000 --> 01:00:57.000]  Well, the first time you get tied up they don't actually kill you or torture you to death.
[01:00:57.000 --> 01:01:00.000]  But maybe the hundredth time you don't tell them where you're going and it all happens,
[01:01:00.000 --> 01:01:04.000]  you get deep into it, there's a really, and the left is,
[01:01:04.000 --> 01:01:07.000]  and the globalists are really into abusing women and children as you know.
[01:01:07.000 --> 01:01:12.000]  So then they act like men being men is horrible and abusive when the left is the worst towards women.
[01:01:12.000 --> 01:01:15.000]  So Roushvi was kind of getting into that.
[01:01:15.000 --> 01:01:20.000]  His book, You Have a Right to Sell, 50 Shades of Grey,
[01:01:20.000 --> 01:01:25.000]  and these young women out there and everybody else want you to beat them up, all this other stuff.
[01:01:25.000 --> 01:01:30.000]  So like beating women up is cool and torturing them is cool because it's 50 Shades of Grey.
[01:01:30.000 --> 01:01:34.000]  But if you tell a woman you're not going to abuse me and I'm my own man and I'm confident
[01:01:34.000 --> 01:01:36.000]  and I don't need you if you don't want me that's fine,
[01:01:36.000 --> 01:01:39.000]  which is what they're actually looking for, they want an alpha male that's successful,
[01:01:39.000 --> 01:01:44.000]  then you're abusing women. So torture women like the nexium liberal cult, that's okay.
[01:01:44.000 --> 01:01:48.000]  But don't tell men to stand up for themselves.
[01:01:48.000 --> 01:01:50.000]  Don't moralize men, demoralize them.
[01:01:50.000 --> 01:01:53.000]  And I think you knocked it out of the park Roushvi with that.
[01:01:53.000 --> 01:01:56.000]  Yeah, right now you're not allowed to help men.
[01:01:56.000 --> 01:02:00.000]  Any problem a man faces, that's your problem.
[01:02:00.000 --> 01:02:03.000]  You have to figure that out on your own.
[01:02:03.000 --> 01:02:05.000]  No media company is going to help you.
[01:02:05.000 --> 01:02:09.000]  No academic university system, the government.
[01:02:09.000 --> 01:02:11.000]  No one will help you.
[01:02:11.000 --> 01:02:12.000]  You are on your own.
[01:02:12.000 --> 01:02:13.000]  Okay, I'm on my own.
[01:02:13.000 --> 01:02:14.000]  Let me solve these problems.
[01:02:14.000 --> 01:02:21.000]  Because men are the genetic defense system of the species from African lions to homo sapiens sapiens.
[01:02:21.000 --> 01:02:24.000]  This is so kind of an alien force invaded.
[01:02:24.000 --> 01:02:26.000]  They would target our men.
[01:02:26.000 --> 01:02:32.000]  Yeah, and then even when we try to solve our problems, then they say, no, you're not allowed to.
[01:02:32.000 --> 01:02:33.000]  You can't read this.
[01:02:33.000 --> 01:02:34.000]  You can't watch Alex Jones.
[01:02:34.000 --> 01:02:38.000]  You're not allowed to get the knowledge that can help you out.
[01:02:38.000 --> 01:02:47.000]  So they're really cutting off every avenue possible for a normal person, for a man to improve his life to understand the world.
[01:02:47.000 --> 01:02:51.000]  And that's the most unfair thing that they can actually do.
[01:02:51.000 --> 01:02:53.000]  And I'm not sure what we can do after that.
[01:02:53.000 --> 01:03:00.000]  I don't know if you can see Alex, but I have a huge picture of Donald Trump in the background.
[01:03:00.000 --> 01:03:10.000]  And I like him, I support him, but he needs to do something because these tech monopolies are just going to chop our heads off one at a time.
[01:03:10.000 --> 01:03:15.000]  If they can shut you down in YouTube, Facebook, Twitter, who can't they shut down?
[01:03:15.000 --> 01:03:17.000]  Everyone else is smaller than you.
[01:03:17.000 --> 01:03:20.000]  You are the big tree in the forest.
[01:03:20.000 --> 01:03:22.000]  They just chopped down the biggest tree.
[01:03:22.000 --> 01:03:25.000]  So of course, the smaller trees are going to be easier.
[01:03:25.000 --> 01:03:31.000]  Well, that's really the message they're mad with the demonetization of the last two years and the demonetization that people haven't bought.
[01:03:31.000 --> 01:03:33.000]  So we care about the ideology of freedom, not the money.
[01:03:33.000 --> 01:03:36.000]  And that's now the message is we'll just totally delete you.
[01:03:36.000 --> 01:03:39.000]  And we know you're Pavlovianly addicted to Twitter and YouTube.
[01:03:39.000 --> 01:03:41.000]  And so this is the big fight.
[01:03:41.000 --> 01:03:49.000]  And so let me tell you, just like the NFL is going down, night's going down, my friend, Roushvi, they're hurting themselves to do this.
[01:03:49.000 --> 01:03:53.000]  You know, one thing they cannot force us to read bad books.
[01:03:53.000 --> 01:04:02.000]  They cannot force us to watch Oliver Darcy read his trash, to watch Huffington Post videos talk about how transgender people have it bad.
[01:04:02.000 --> 01:04:04.000]  They cannot force us yet.
[01:04:04.000 --> 01:04:11.000]  It's not like in Clockwork Orange where they force our eyes open and we have to consume their horrible propaganda.
[01:04:11.000 --> 01:04:12.000]  We're not there yet.
[01:04:12.000 --> 01:04:19.000]  One thing, a lot of news articles on Gizmodo, Huffington Post try to say, oh, look how great it is that Roushvi's canceled.
[01:04:19.000 --> 01:04:21.000]  But no one is clicking them.
[01:04:21.000 --> 01:04:25.000]  No one is reading them because people don't read their propaganda.
[01:04:25.000 --> 01:04:31.000]  I was about to say, they're such, they're reveling in being classical villains.
[01:04:31.000 --> 01:04:35.000]  I mean, they're just, they're truly evil.
[01:04:35.000 --> 01:04:37.000]  Well, please come back again.
[01:04:37.000 --> 01:04:38.000]  God bless you.
[01:04:38.000 --> 01:04:40.000]  You're not an elite group, but not for long.
[01:04:40.000 --> 01:04:41.000]  Everybody's getting banned.
[01:04:41.000 --> 01:04:42.000]  Congress must act.
[01:04:42.000 --> 01:04:43.000]  This is rack of tearing.
[01:04:43.000 --> 01:04:44.000]  This is un-American.
[01:04:44.000 --> 01:04:45.000]  This is very, very dangerous.
[01:04:45.000 --> 01:04:46.000]  God bless you.
[01:04:46.000 --> 01:04:47.000]  We'll talk to you soon.
[01:04:47.000 --> 01:04:48.000]  Okay, great.
[01:04:48.000 --> 01:04:52.000]  If anyone wants to learn about game in my e-book, they can go to my site, roushvi.com.
[01:04:52.000 --> 01:04:53.000]  That's right.
[01:04:53.000 --> 01:04:56.000]  Roush, R-O-R-R-O-O-S-H-V-E-E.
[01:04:56.000 --> 01:05:25.000]  We'll be right back.
[01:05:26.000 --> 01:05:55.000]  Thank you.
[01:05:56.000 --> 01:06:25.000]  Thank you.
[01:06:26.000 --> 01:06:47.000]  Is it strange that if you're going to write a science fiction novel about a dystopian
[01:06:47.000 --> 01:06:53.000]  world government banning free speech, destroying families, poisoning the food and water supply,
[01:06:53.000 --> 01:06:59.000]  the population, where do you think in that novel written in the 1950s, the resistance
[01:06:59.000 --> 01:07:02.000]  would come from America?
[01:07:02.000 --> 01:07:06.000]  And where would the real fire start?
[01:07:06.000 --> 01:07:07.000]  Texas.
[01:07:07.000 --> 01:07:16.000]  See, that's how a science fiction writer would write it, because everybody knows it, because
[01:07:16.000 --> 01:07:18.000]  art follows life.
[01:07:18.000 --> 01:07:26.000]  The system always tries to make it where life follows art, but it's art follows life.
[01:07:26.000 --> 01:07:30.000]  Again, the globalists keep saying, Jones, when are you going to learn?
[01:07:30.000 --> 01:07:31.000]  We're going to destroy you.
[01:07:31.000 --> 01:07:35.000]  We're going to physically destroy you if you don't stop.
[01:07:35.000 --> 01:07:38.000]  You're already going to physically destroy me.
[01:07:38.000 --> 01:07:46.000]  They report that children committing suicide from the 1950s numbers is up 20,000 percent.
[01:07:46.000 --> 01:07:49.000]  That was in the news yesterday.
[01:07:49.000 --> 01:07:52.000]  They're like, why are children committing suicide?
[01:07:52.000 --> 01:07:58.000]  Because this is an anti-human evil system by design.
[01:07:58.000 --> 01:08:00.000]  We're already dying.
[01:08:00.000 --> 01:08:03.000]  We're dead already.
[01:08:03.000 --> 01:08:09.000]  So they'll have more suicide prevention classes teaching kids about suicide and how to do it.
[01:08:09.000 --> 01:08:10.000]  We'll have more suicide.
[01:08:10.000 --> 01:08:16.000]  And we'll give them more drugs that the insert says makes them commit suicide.
[01:08:16.000 --> 01:08:18.000]  And then we'll wonder why suicide goes up.
[01:08:18.000 --> 01:08:21.000]  Riddle me this, Batman.
[01:08:21.000 --> 01:08:23.000]  Ah, Batman, riddle me this.
[01:08:23.000 --> 01:08:25.000]  Everyone's committing suicide.
[01:08:25.000 --> 01:08:27.000]  The pills I give them do it.
[01:08:27.000 --> 01:08:28.000]  It's funny.
[01:08:28.000 --> 01:08:30.000]  Riddle me this, riddle me that.
[01:08:30.000 --> 01:08:36.000]  I don't need to be the riddler to know the answer to that.
[01:08:36.000 --> 01:08:39.000]  Trump comes out and says there's too many people on opioids.
[01:08:39.000 --> 01:08:43.000]  There are too many people doing that.
[01:08:43.000 --> 01:08:46.000]  They all shut up and stop telling us what we're going to do.
[01:08:46.000 --> 01:08:48.000]  Trump's like, the vaccines are hurting kids.
[01:08:48.000 --> 01:08:50.000]  Oh, shut up, Trump.
[01:08:50.000 --> 01:08:51.000]  One in 30,000 out of autism.
[01:08:51.000 --> 01:08:52.000]  Now it's one in 58.
[01:08:52.000 --> 01:08:55.000]  I go to the mall or restaurant.
[01:08:55.000 --> 01:09:02.000]  Half the kids I look at look like they're real sick and got problems, even in rich neighborhoods.
[01:09:02.000 --> 01:09:08.000]  And a good 10 percent are gone.
[01:09:08.000 --> 01:09:09.000]  And I start getting tears in my eyes.
[01:09:09.000 --> 01:09:10.000]  My wife's like, don't cry.
[01:09:10.000 --> 01:09:11.000]  Don't do it.
[01:09:11.000 --> 01:09:15.000]  But man, when you look at some beautiful child who had a beautiful life ahead of them and
[01:09:15.000 --> 01:09:19.000]  they got hit with a chemical bio weapon and their brains fried, it's meant to give you
[01:09:19.000 --> 01:09:23.000]  an IQ reduction of 20 points, but some people it hits harder, especially males, 80 percent
[01:09:23.000 --> 01:09:24.000]  of autism is males.
[01:09:24.000 --> 01:09:30.000]  And you had to pesticides and everything else in, but they had these neuroviruses to the
[01:09:30.000 --> 01:09:31.000]  vaccines.
[01:09:31.000 --> 01:09:37.000]  That's declassified and it just hits the cerebral cortex and their operating system, their connection
[01:09:37.000 --> 01:09:39.000]  to their subconscious is fried.
[01:09:39.000 --> 01:09:44.000]  Their souls walled off and they didn't put the present.
[01:09:44.000 --> 01:09:51.000]  They put them in a basically five by nine box and they're pretty pissed.
[01:09:51.000 --> 01:09:53.000]  They're pretty pissed.
[01:09:53.000 --> 01:09:57.000]  And that's just one of the more ancient technologies they developed 40 years ago to do that.
[01:09:57.000 --> 01:10:01.000]  And again, they get satanic power off of putting your child in a cage.
[01:10:01.000 --> 01:10:07.000]  You know, the amount of demonic energy they get off of the 100 million autistic kids that
[01:10:07.000 --> 01:10:10.000]  are in cages because it eats the cortex.
[01:10:10.000 --> 01:10:12.000]  So then, you know, they're not getting out.
[01:10:12.000 --> 01:10:14.000]  The soul can't get out.
[01:10:14.000 --> 01:10:15.000]  I'm in here.
[01:10:15.000 --> 01:10:16.000]  Get me out of here.
[01:10:16.000 --> 01:10:19.000]  They're like, bro, bro, bro, bro, bro, bro, bro.
[01:10:19.000 --> 01:10:22.000]  Let's slowly buy a smile.
[01:10:22.000 --> 01:10:24.000]  So Millie, we were joining this.
[01:10:24.000 --> 01:10:27.000]  She's been talking a lot of her sources about things going on in Canada, folks in the Canadian
[01:10:27.000 --> 01:10:28.000]  government.
[01:10:28.000 --> 01:10:31.000]  One of her sources has gotten some good info before, but you can see the buildup.
[01:10:31.000 --> 01:10:34.000]  They say they have a stay behind network trying to overthrow the president.
[01:10:34.000 --> 01:10:37.000]  And they're putting sticky stickers on his back to piss him off saying he's an idiot.
[01:10:37.000 --> 01:10:41.000]  And they got signs over the door saying entering crazy town society.
[01:10:41.000 --> 01:10:43.000]  Seeing him saying remove the president.
[01:10:43.000 --> 01:10:46.000]  He can't control the White House while they're the ones engaged in sedition.
[01:10:46.000 --> 01:10:51.000]  And you've got all this insanity going on the massive censorship, the attacks, 55 days out.
[01:10:51.000 --> 01:10:54.000]  It's all building, building, building.
[01:10:54.000 --> 01:10:57.000]  And we've got freedom and salvation and everything just waiting.
[01:10:57.000 --> 01:10:59.000]  It will just turn back to God.
[01:10:59.000 --> 01:11:01.000]  Millie, thanks for joining us in full wars.com.
[01:11:01.000 --> 01:11:03.000]  Reporter Charles does freelance reporting.
[01:11:03.000 --> 01:11:04.000]  There's a great job.
[01:11:04.000 --> 01:11:05.000]  Thank you so much for coming on.
[01:11:05.000 --> 01:11:06.000]  How are you doing?
[01:11:06.000 --> 01:11:07.000]  Thanks.
[01:11:07.000 --> 01:11:08.000]  I'm doing good.
[01:11:08.000 --> 01:11:09.000]  Alex.
[01:11:09.000 --> 01:11:15.000]  Well, I actually have permission from my source to divulge and tell some background
[01:11:15.000 --> 01:11:22.000]  information on this source just so people could understand the importance and the credibility
[01:11:22.000 --> 01:11:25.000]  of where the information I'm going to lay out is coming from.
[01:11:25.000 --> 01:11:37.000]  This person was the author of the SDI program.
[01:11:37.000 --> 01:11:39.000]  Your skype is breaking up for a minute.
[01:11:39.000 --> 01:11:41.000]  It's crystal clear, but it's breaking up body wise.
[01:11:41.000 --> 01:11:43.000]  Let's just start over.
[01:11:43.000 --> 01:11:45.000]  And the source is up in Canada.
[01:11:45.000 --> 01:11:47.000]  He says there's some big stuff gearing up.
[01:11:47.000 --> 01:11:49.000]  So just continue.
[01:11:49.000 --> 01:11:50.000]  Yes.
[01:11:50.000 --> 01:11:52.000]  This is a high level intelligence source.
[01:11:52.000 --> 01:11:59.000]  He was the original author of the SDI program, which was a white pepper that Reagan quoted
[01:11:59.000 --> 01:12:00.000]  in the 1980s.
[01:12:00.000 --> 01:12:03.000]  He was a former Air Force intelligence.
[01:12:03.000 --> 01:12:09.000]  You know, basically this person has a huge background personally knows the Trudeau family
[01:12:09.000 --> 01:12:17.000]  knows Justin Trudeau and essentially contacted us very alarmed saying that Canada is, you
[01:12:17.000 --> 01:12:23.000]  know, talking about and considering initiating the War Measures Act.
[01:12:23.000 --> 01:12:30.000]  And this for those of you who don't know the War Measures Act is the martial law version
[01:12:30.000 --> 01:12:33.000]  of what we have in the US for Canada.
[01:12:33.000 --> 01:12:38.000]  And he's talking about Trudeau is talking about essentially enacting the War Measures Act
[01:12:38.000 --> 01:12:45.000]  in response to failed negotiations between Trump with NAFTA and Canada.
[01:12:45.000 --> 01:12:51.000]  Basically trying to use a justification that if the negotiations go sour, it's going to
[01:12:51.000 --> 01:12:56.000]  hurt Canada enough to where we're going to go ahead and enact the War Measures Act,
[01:12:56.000 --> 01:12:58.000]  which is a martial law in Canada.
[01:12:58.000 --> 01:13:05.000]  And this has to do with what's going on right now with the coup in our government because
[01:13:05.000 --> 01:13:09.000]  we know that Trudeau is a leftist in Canada.
[01:13:09.000 --> 01:13:15.000]  He aligns himself with the leftists in America, the Democrats, the globalist deep state.
[01:13:15.000 --> 01:13:21.000]  And these globalist deep state people we all know have been chattering and talking about
[01:13:21.000 --> 01:13:23.000]  an overthrow of President Trump.
[01:13:23.000 --> 01:13:27.000]  And let's remember going back a year and a half ago, we said they were preparing this
[01:13:27.000 --> 01:13:28.000]  because it was in white papers.
[01:13:28.000 --> 01:13:30.000]  Now they admitted a lot of the news.
[01:13:30.000 --> 01:13:34.000]  I mean, they are open and now they've got leftist committing violent acts all over the country,
[01:13:34.000 --> 01:13:39.000]  bombing Republican buildings, trying to stab congressional candidates, trying to attack
[01:13:39.000 --> 01:13:42.000]  Trump facilities in DC.
[01:13:42.000 --> 01:13:44.000]  This is getting crazy.
[01:13:44.000 --> 01:13:48.000]  Well, you would think that Canada, given the position they're in and how the trade could,
[01:13:48.000 --> 01:13:54.000]  you know, the NAFTA negotiations, if it fell through, could impact Canada's economy.
[01:13:54.000 --> 01:13:58.000]  You think that Trudeau would be trying to make concessions to come to a deal with Trump,
[01:13:58.000 --> 01:14:03.000]  but instead Trudeau is, you know, sticking his feet down, being stubborn, saying no.
[01:14:03.000 --> 01:14:10.000]  And it really kind of begs the question, has Trudeau been offered a better deal by these
[01:14:10.000 --> 01:14:14.000]  Democrats or by these people who are plotting this coup against Trump once they over.
[01:14:14.000 --> 01:14:15.000]  No, I understand.
[01:14:15.000 --> 01:14:18.000]  But from your source, I mean, Canada is obviously in a big trade fight.
[01:14:18.000 --> 01:14:20.000]  They're being cut out of that because they won't renegotiate.
[01:14:20.000 --> 01:14:23.000]  Trump's like, you can't have 280% tariffs on us and we have none on you.
[01:14:23.000 --> 01:14:25.000]  Just please stop raping us.
[01:14:25.000 --> 01:14:26.000]  And so Trudeau's flipping out.
[01:14:26.000 --> 01:14:28.000]  We see major free speech violations.
[01:14:28.000 --> 01:14:32.000]  We've seen a lot of drills in Canada, but you're saying your source says they're getting
[01:14:32.000 --> 01:14:34.000]  over martial law.
[01:14:34.000 --> 01:14:36.000]  What's the reason for that?
[01:14:36.000 --> 01:14:42.000]  They think the stabilization of the U.S. are trying to stop Canadians rising up or what?
[01:14:42.000 --> 01:14:48.000]  Well, you can actually even look and see in the news headlines, just type in Canada War
[01:14:48.000 --> 01:14:54.000]  Measures Act on even Google News and several mentions of it will come up in recent articles
[01:14:54.000 --> 01:14:56.000]  where Trudeau's making these threats.
[01:14:56.000 --> 01:14:59.000]  It's very vague and ambiguous how they're doing it.
[01:14:59.000 --> 01:15:00.000]  Sure.
[01:15:00.000 --> 01:15:03.000]  What do you think is going on?
[01:15:03.000 --> 01:15:05.000]  What's your source say?
[01:15:05.000 --> 01:15:09.000]  Well, the source is saying that we have simultaneous things happening right now.
[01:15:09.000 --> 01:15:14.000]  We have globalists inside the U.S. government on both sides of parties.
[01:15:14.000 --> 01:15:19.000]  That means Democrat and Republican, which are going for the removal of Trump, the impeachment,
[01:15:19.000 --> 01:15:21.000]  the coup, the overthrow of Trump.
[01:15:21.000 --> 01:15:26.000]  Well, at the same time, you have an activation of Islamic terror cells being activated throughout
[01:15:26.000 --> 01:15:31.000]  the U.S. and Canada and there's tons of back chatter right now in the intelligence agency.
[01:15:31.000 --> 01:15:32.000]  Oh, yeah.
[01:15:32.000 --> 01:15:34.000]  We were the first to break the Iranian sleeper cells that have been activated.
[01:15:34.000 --> 01:15:35.000]  Now that's mainstream news.
[01:15:35.000 --> 01:15:36.000]  You're right.
[01:15:36.000 --> 01:15:38.000]  So this is a maximum danger.
[01:15:38.000 --> 01:15:42.000]  They covered up that Islamic cell out in New Mexico.
[01:15:42.000 --> 01:15:44.000]  I mean, it is crazy.
[01:15:44.000 --> 01:15:45.000]  I mean, we would stay there.
[01:15:45.000 --> 01:15:47.000]  Let's put the pieces together on the other side.
[01:15:47.000 --> 01:15:49.000]  Bottom line, 55 days out.
[01:15:49.000 --> 01:15:54.000]  Everybody better be watching their six, praying to God and being politically active because
[01:15:54.000 --> 01:15:56.000]  right now history is being made.
[01:16:24.000 --> 01:16:26.000]  Protect your online privacy.
[01:16:54.000 --> 01:16:57.000]  Go Berkey.com.
[01:17:24.000 --> 01:17:26.000]  Don't risk it when you can take charge of it.
[01:17:55.000 --> 01:18:02.000]  We're bringing back one of the biggest fan favorite formulas we've ever offered with
[01:18:02.000 --> 01:18:07.000]  even better ingredients, ultimate bone broth.
[01:18:07.000 --> 01:18:13.000]  Info Wars Life is proud to bring you a powerhouse bone broth formula to help push you to your limits.
[01:18:13.000 --> 01:18:20.000]  This incredible formula will help you get the most out of your workout with the power of ultra high quality bone broth,
[01:18:20.000 --> 01:18:26.000]  one of the most popular health trends on the planet built with more than seven different super foods and crucial compounds.
[01:18:26.000 --> 01:18:31.000]  Ultimate bone broth will help support your healthy muscles, digestion, tendons and ligaments,
[01:18:31.000 --> 01:18:35.000]  while also supporting your body's fight against free radicals.
[01:18:35.000 --> 01:18:41.000]  This incredible chicken bone broth formula contains time tested ingredients such as turmeric root,
[01:18:41.000 --> 01:18:47.000]  chaga mushroom, goji berry powder, bee pollen and alfalfa herb powder to support your body.
[01:18:47.000 --> 01:18:51.000]  It's time to experience what ultimate bone broth can do for you.
[01:18:51.000 --> 01:18:58.000]  Get a bottle of the all new version of a fan favorite product today at infowarstool.com.
[01:18:58.000 --> 01:19:00.000]  Feeling your body is hard work.
[01:19:00.000 --> 01:19:06.000]  That's why we've introduced the Info Wars Life Daily Digestive Pack to help you fuel it right.
[01:19:06.000 --> 01:19:11.000]  Combine fluorolife everyday maintenance and carnivore to help you fuel your gut and body
[01:19:11.000 --> 01:19:14.000]  and take advantage of the powerful nutrients you receive.
[01:19:14.000 --> 01:19:17.000]  There's no better way to power your body.
[01:19:17.000 --> 01:19:24.000]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[01:19:24.000 --> 01:19:29.000]  When paired with carnivore, our incredible enzyme formula that helps you break down nutrients.
[01:19:29.000 --> 01:19:35.000]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[01:19:35.000 --> 01:19:42.000]  These incredible formulas can help keep your body in tip top shape in the fight against stress, age and outside toxins.
[01:19:42.000 --> 01:19:48.000]  There's no better time to try fluorolife and carnivore to see how well they can support your body.
[01:19:48.000 --> 01:19:52.000]  Don't miss out on the chance to fuel your body and support recovery.
[01:19:52.000 --> 01:20:13.000]  Try the Info Wars Life Daily Digestive Pack today!
[01:20:22.000 --> 01:20:32.000]  Canada is still a Commonwealth of Her Majesty's Kingdom, Queen Elizabeth II.
[01:20:32.000 --> 01:20:37.000]  And they have martial law provisions that they can put into effect.
[01:20:37.000 --> 01:20:40.000]  And Trudeau has been making some noises about that.
[01:20:40.000 --> 01:20:44.000]  They're already arresting preachers that criticize homosexuality.
[01:20:44.000 --> 01:20:49.000]  They're basically an SJW palace like Germany or Sweden.
[01:20:49.000 --> 01:20:52.000]  Totally open to radical Islam. You name it.
[01:20:52.000 --> 01:20:55.000]  England's releasing people from jail that are admittedly involved in bombings.
[01:20:55.000 --> 01:20:58.000]  That's in the news at newswars.com.
[01:20:58.000 --> 01:21:01.000]  So there are massive Islamic terror cells.
[01:21:01.000 --> 01:21:04.000]  Iran's the big threat inside the Western world.
[01:21:04.000 --> 01:21:11.000]  I told you months before it was mainstream news that they have sleeper cells that they've activated that are ready to start taking action.
[01:21:11.000 --> 01:21:15.000]  And that's kind of the leftist Achilles heel they think on America and Canada and Europe.
[01:21:15.000 --> 01:21:19.000]  That if you don't behave, we've got 5-10% Muslim populations.
[01:21:19.000 --> 01:21:22.000]  We snap our fingers. They go on jihad.
[01:21:22.000 --> 01:21:24.000]  It was kind of like you'd escape from New York.
[01:21:24.000 --> 01:21:26.000]  They put little explosives in its carotid arteries.
[01:21:26.000 --> 01:21:28.000]  That's what Islam is.
[01:21:28.000 --> 01:21:29.000]  And they put that in.
[01:21:29.000 --> 01:21:32.000]  It's like we're barren harkening in the heart plug in the movie Doon.
[01:21:32.000 --> 01:21:33.000]  I don't like you.
[01:21:33.000 --> 01:21:36.000]  I'll just pull the heart plug out and your blood all pours out of your heart.
[01:21:36.000 --> 01:21:38.000]  I mean, that's basically what this is.
[01:21:38.000 --> 01:21:46.000]  They're mining the bridges. They're mining the cultural dams to blow them.
[01:21:46.000 --> 01:21:48.000]  So it's like a robber when he gets caught robbing a bank.
[01:21:48.000 --> 01:21:50.000]  He puts the gun to your head.
[01:21:50.000 --> 01:21:52.000]  And that's what I have to cover up for Islam.
