[00:00:11.617 --> 00:00:13.498]  Sorry folks, park's closed.
[00:24:12.252 --> 00:24:23.800]  But the article blames COVID and the police for the globalist economic depression and reset and martial law that comes out of it after Trump's removed if they're successful.
[00:24:23.800 --> 00:24:24.720]  Oh, you want a police state?
[00:24:24.720 --> 00:24:25.441]  You're about to get one.
[00:24:25.441 --> 00:24:26.942]  So as soon as you know, CNN says.
[00:24:29.083 --> 00:24:33.024]  COVID is Trump's fault, and it's the police fault.
[00:24:33.024 --> 00:24:35.124]  Crime's exploding when the left says go out and attack.
[00:24:35.124 --> 00:24:39.726]  I mean, I've got footage pouring in of white people being shot, stabbed, murdered.
[00:24:39.726 --> 00:24:44.107]  Lemonade stands being robbed by racist black men.
[00:24:44.107 --> 00:24:46.248]  And the media won't even show you what color they are.
[00:24:46.248 --> 00:24:48.868]  It leaks out on the Internet to create a race war, folks.
[00:24:48.868 --> 00:24:53.430]  The media is instituting this and telling black people, go out and attack whites.
[00:24:53.430 --> 00:24:54.290]  It's pure evil.
[00:24:56.428 --> 00:25:00.570]  Local media recommends parents lie, trick kids into wearing face masks.
[00:25:00.570 --> 00:25:04.312]  We've got KVUE in Austin with the video piece.
[00:25:04.312 --> 00:25:06.073]  We have time, we'll play it later.
[00:25:06.073 --> 00:25:14.037]  Saying, be a superhero and lying to them and telling them it's good for them and that it protects them from a deadly virus that doesn't even affect children.
[00:25:14.037 --> 00:25:21.301]  When in truth, it stunts the children, messes up their teeth and gives them hypoxia from not getting enough oxygen.
[00:25:21.301 --> 00:25:22.442]  I want to cover this a lot.
[00:25:24.471 --> 00:25:39.846]  Remember Google, Apple, Facebook and others all have plans on the board for smart cities where they start doming in buildings to say that they're the safe zones from outside, pathogens and for future viral outbreaks.
[00:25:39.846 --> 00:25:42.689]  Denver, Toronto, Austin are already building these domed city areas.
[00:25:45.063 --> 00:25:59.910]  This shows China with a domed city and says how China controlled the coronavirus, the coronavirus crisis, and said, we've got to do like they did, Australia, and now Spain, we've got to lock down whole cities and not let you even leave your house.
[00:25:59.910 --> 00:26:02.411]  And then our contact tracers will deliver you your food.
[00:26:02.411 --> 00:26:06.473]  You're being taught how to be totally dependent and have a depression so bad you never come out of it.
[00:26:06.473 --> 00:26:12.496]  And it shows them living in domed cities in China, where the communist elite live.
[00:26:14.264 --> 00:26:18.166]  Mystery masks from China arrive at Florida addresses unsolicited.
[00:26:18.166 --> 00:26:19.667]  Many of the masks, of course, are used.
[00:26:19.667 --> 00:26:24.149]  You see the CHICOMS wiping their feet and their faces with them and loading them into packaging.
[00:26:24.149 --> 00:26:26.310]  Oh, yeah.
[00:26:26.310 --> 00:26:32.914]  Woman who has COVID-19 complications lists it as a death certificate, but family says she was never tested for it.
[00:26:32.914 --> 00:26:36.716]  Bald eagle attacks Michigan government drone.
[00:26:36.716 --> 00:26:38.957]  Fauci blames Tucker Carlson for coronavirus crazies.
[00:26:40.250 --> 00:26:46.854]  Michigan rejects more than 10,000 absentee ballots, including some from voters who died.
[00:26:46.854 --> 00:26:48.495]  The Daily Caller.
[00:26:48.495 --> 00:26:52.818]  But there's no election fraud.
[00:26:52.818 --> 00:26:53.499]  40% of U.S.
[00:26:53.499 --> 00:26:58.262]  COVID-19 tests come back too late to be clinically meaningful, data shows.
[00:26:58.262 --> 00:26:58.802]  That's CNBC.
[00:26:58.802 --> 00:27:00.503]  But it's worse than that.
[00:27:00.503 --> 00:27:05.987]  Because depending on the test, 60 to 90% are fake.
[00:27:05.987 --> 00:27:06.727]  This is big video.
[00:27:06.727 --> 00:27:07.408]  I'll play it later.
[00:27:08.621 --> 00:27:10.147]  Voiceless people are being tormented?
[00:27:11.368 --> 00:27:12.268]  And done away with.
[00:27:12.268 --> 00:27:13.169]  This is criminal.
[00:27:13.169 --> 00:27:16.730]  New Yorker testifies to Governor Cuomo's COVID cover-up.
[00:27:16.730 --> 00:27:20.112]  Even though they tried to rig who could testify, the truth came out.
[00:27:20.112 --> 00:27:21.892]  It's over 10,000 dead, not 6,000.
[00:27:21.892 --> 00:27:24.514]  And they knew what they were doing, but wanted high death numbers.
[00:27:24.514 --> 00:27:33.077]  They knew only by sending folks with flu or pneumonia into nursing homes so they get a high kill rate and suck 52,000 plus out of each murderer.
[00:27:33.077 --> 00:27:34.898]  That's called hitman money.
[00:27:34.898 --> 00:27:36.358]  That's good hitman money.
[00:27:36.358 --> 00:27:37.359]  There are the best hitmen for 52,000.
[00:27:37.359 --> 00:27:37.579]  Gluns.
[00:27:41.178 --> 00:27:44.100]  Multiple people arrested for not wearing masks at O.C.
[00:27:44.100 --> 00:27:44.720]  grocery store.
[00:27:44.720 --> 00:27:47.541]  Store manager locked them in and called the police.
[00:27:47.541 --> 00:27:49.062]  Illegal imprisonment.
[00:27:49.062 --> 00:27:50.443]  False imprisonment.
[00:27:50.443 --> 00:27:53.264]  All for their giant hoax.
[00:27:53.264 --> 00:28:02.029]  Philadelphia Police City Council organized a home gun check campaign where they come to your house to see your guns and then intimidate you to turn them in.
[00:28:02.029 --> 00:28:04.370]  That hasn't been done since Obama and it's back!
[00:28:07.998 --> 00:28:09.259]  Let's continue.
[00:28:09.259 --> 00:28:12.860]  More Americans go hungry amid coronavirus pandemic census shows.
[00:28:12.860 --> 00:28:14.101]  Millions starving to death.
[00:28:14.101 --> 00:28:14.901]  But that's okay.
[00:28:14.901 --> 00:28:16.422]  It's all COVID's fault.
[00:28:16.422 --> 00:28:18.263]  But it's not COVID's fault.
[00:28:18.263 --> 00:28:23.785]  And after Roger Stone leaves us at the start of the next hour, I am going to get into this.
[00:28:23.785 --> 00:28:28.747]  A mad rush for the exits as New York City goes down the tubes.
[00:28:28.747 --> 00:28:30.208]  That dovetails Daily Mail.
[00:28:30.208 --> 00:28:31.448]  Hollywood apocalypse.
[00:28:31.448 --> 00:28:33.149]  The rich and famous are fleeing in droves.
[00:28:33.149 --> 00:28:34.750]  But it's part of a larger plan.
[00:28:35.450 --> 00:28:40.235]  They intend to use the blue cities and states as black holes to suck the entire country down.
[00:28:40.235 --> 00:28:48.843]  We go bankrupt and we're broken up by the United Nations and put into global world receivership, similar to the Weimar Republic going into the Versailles Treaty.
[00:28:48.843 --> 00:28:50.845]  The UN actually admits that's the plan.
[00:28:50.845 --> 00:28:52.866]  This is how they conquer us from within.
[00:28:52.866 --> 00:28:54.048]  But we can resist.
[00:28:54.048 --> 00:28:55.069]  We can say no.
[00:28:55.069 --> 00:28:56.230]  Roger Stone, straight ahead.
[00:28:59.346 --> 00:29:02.468]  I'm cutting this ad on Wednesday, August 12th, 2020.
[00:29:02.468 --> 00:29:07.032]  By this coming Sunday, this huge sale we've been running for the last week will have to end.
[00:29:07.032 --> 00:29:17.039]  The Reopen America Back to School Special, 50% off to 60% off all of our top bestsellers and double Patriot points.
[00:29:17.039 --> 00:29:22.483]  I have to end the sale because we're selling out of bodies at 50% off, living defense at 50% off.
[00:29:23.583 --> 00:29:26.844]  50% off, Herbo 40% off, Vitaminal G 50% off.
[00:29:26.844 --> 00:29:29.004]  Those are all very close to selling out.
[00:29:29.004 --> 00:29:34.506]  A bunch of other bestsellers we still have, but I will end this special on Sunday.
[00:29:34.506 --> 00:29:40.427]  We have a new great special coming up next week, but it's not as extensive or expansive.
[00:29:40.427 --> 00:29:42.668]  X2, the original, will be back at stock.
[00:29:42.668 --> 00:29:44.989]  It will be discounted, but it's not available yet.
[00:29:44.989 --> 00:29:46.489]  So, this is a great sale.
[00:29:46.489 --> 00:29:47.509]  It funds the operation.
[00:29:47.509 --> 00:29:48.649]  They're great items.
[00:29:48.649 --> 00:29:50.650]  In crazy times like this, it's good to stock up.
[00:29:50.930 --> 00:29:54.953]  But whatever you do, keep spreading the word about InfoWars, because you are the modern voice.
[00:29:54.953 --> 00:29:59.676]  You are Paul Revere, and I salute you and thank you.
[00:29:59.676 --> 00:30:02.777]  How do you contest an election in the year 2020?
[00:30:02.777 --> 00:30:12.343]  Well, you trigger race riots, and you tell the blue states and blue cities, when you're the Speaker of the House, that you are legitimately now the President.
[00:30:12.343 --> 00:30:15.205]  That's what she said on CBS News.
[00:30:15.205 --> 00:30:17.086]  And that you're going to have those blue states secede.
[00:30:18.087 --> 00:30:21.909]  Yes, that's officially called a civil war, ladies and gentlemen.
[00:30:21.909 --> 00:30:26.312]  And the Democrats are backed by the EU, Hollywood, the Chi-Coms, and the whole globalist system.
[00:30:26.312 --> 00:30:36.478]  This is treason with a capital T. And our federal government is so paralyzed with cowards, they won't even stand up against it and do anything, even though our president has been exposing it.
[00:30:36.478 --> 00:30:37.319]  But here's the bottom line.
[00:30:37.839 --> 00:30:38.881]  You need storable food.
[00:30:38.881 --> 00:30:41.584]  We've got the best quality ready to ship to you right now.
[00:30:41.584 --> 00:30:42.926]  Two to four week delivery.
[00:30:42.926 --> 00:30:46.690]  With 80 days out from the election, you need to get high quality storable food right now.
[00:30:46.690 --> 00:30:50.015]  In case they are able to pull this off, we're gonna have a Great Depression.
[00:30:50.015 --> 00:30:50.776]  War on the streets.
[00:30:50.776 --> 00:30:52.378]  It'll make a road warrior look like a cakewalk.
[00:30:52.378 --> 00:30:54.020]  Get your high quality storable foods now.
[00:30:54.880 --> 00:31:01.944]  This is a maximum alert, a maximum alert.
[00:31:01.944 --> 00:31:05.887]  As of taping this alert, we are 82 days out from the election.
[00:31:05.887 --> 00:31:15.472]  As many of you know, in the last year, I've pointed out statements out of the Council on Foreign Relations and other globalist organs that they know Trump is going to win in a landslide.
[00:31:15.472 --> 00:31:18.474]  So their strategy will be to contest the election.
[00:31:18.994 --> 00:31:23.557]  If they fail to successfully steal it, then they are openly now war-gaming.
[00:31:23.557 --> 00:31:24.977]  This is in the New York Times.
[00:31:24.977 --> 00:31:33.422]  Having Democrat states and cities secede from the Union, just like they've ignored Trump's policies on coronavirus and kept their areas locked down.
[00:31:33.422 --> 00:31:35.883]  That is nothing but a dress rehearsal.
[00:31:35.883 --> 00:31:39.645]  They are saying they're going to have their own separate inauguration, not in D.C.
[00:31:39.645 --> 00:31:41.146]  They said in another city.
[00:31:41.146 --> 00:31:42.267]  Pelosi has said this.
[00:31:42.927 --> 00:31:46.349]  When they crown Biden and Kamala Harris.
[00:31:46.349 --> 00:31:50.050]  Ladies and gentlemen, this is the organized civil war.
[00:31:50.050 --> 00:31:52.291]  This is their public criminal plan.
[00:31:52.291 --> 00:31:53.472]  We should be praying.
[00:31:53.472 --> 00:31:54.412]  We should be spreading the word.
[00:31:54.412 --> 00:32:03.557]  We should be demanding Trump on the offense to expose this criminal activity.
[00:32:03.557 --> 00:32:05.398]  You hear that?
[00:32:05.398 --> 00:32:10.140]  That's the march of the United Nations and the Bill and Melinda Gates Foundation.
[00:32:11.186 --> 00:32:11.526]  I think?
[00:32:32.731 --> 00:32:44.860]  New phobias on everyone to bring in their planetary regime directed by the WHO with vaccines that actually change your DNA and make you owned by Microsoft.
[00:32:44.860 --> 00:32:47.181]  It's a final frontier.
[00:32:47.181 --> 00:32:49.863]  It's the year 2020.
[00:32:49.863 --> 00:32:51.985]  It's not coming.
[00:32:51.985 --> 00:32:53.025]  It's here.
[00:32:53.025 --> 00:32:54.827]  And submission is blood in the water.
[00:33:01.724 --> 00:33:04.406]  You're listening to The Alex Jones Show!
[00:33:36.345 --> 00:33:42.934]  We are back live on this Sunday, August 16th, 2020, worldwide broadcast.
[00:33:42.934 --> 00:33:50.704]  Robert Trump, the younger brother of President Donald John Trump, has died a few days ago, and President Trump
[00:33:51.705 --> 00:33:58.489]  Of course, put out a simple statement that he loved him very much, that he was his best friend, and that he hopes he rests in peace.
[00:33:58.489 --> 00:34:08.955]  We have seen vicious attacks on the President and his late brother, and we have seen the hashtag being allowed to trend on Twitter, while the President censored that they got the wrong Trump.
[00:34:09.355 --> 00:34:17.620]  But I thought I'd get Roger Stone on, because he's a longtime friend of the President, but also was really good friends with Robert Trump, who everybody says was just an amazingly cool guy.
[00:34:17.620 --> 00:34:21.121]  And the media has also tried to spin how he died or where he died.
[00:34:21.121 --> 00:34:23.703]  Well, Roger also knows some of the personal family details.
[00:34:23.703 --> 00:34:25.564]  I don't know if he's going to get into that here today.
[00:34:25.564 --> 00:34:30.827]  He also wants to get into some big political news that is unfolding as well.
[00:34:30.827 --> 00:34:34.589]  So, Roger, thanks for spending time with us on one of your few days off.
[00:34:35.595 --> 00:34:36.896]  Thank you, Alex.
[00:34:36.896 --> 00:35:02.547]  Only for this would I interrupt cocktail time on a Sunday evening, but I want to drink a toast to my friend, Robert Trump, who I knew very, very well because when I first became a consultant to Trump Hotels and Casino Resorts, he was actually the individual that I reported directly to regarding some traffic pattern issues in the state of New Jersey that I was working on.
[00:35:03.618 --> 00:35:05.601]  He was a very good guy.
[00:35:05.601 --> 00:35:06.803]  He was easygoing.
[00:35:06.803 --> 00:35:17.340]  He sounded and looked a lot like his brother, who he worshipped, just as Donald worshipped his older brother, who, as you know, died tragically very young.
[00:35:18.481 --> 00:35:26.327]  Uh, he, he, Robert left the family business because of an extremely sensitive heart condition.
[00:35:26.327 --> 00:35:30.209]  Uh, and I think the doctors were somewhat amazed that he survived this long.
[00:35:30.209 --> 00:35:33.471]  He had some inoperable problem with his heart.
[00:35:33.471 --> 00:35:34.672]  He was a very decent man.
[00:35:34.672 --> 00:35:35.653]  He was a Christian man.
[00:35:35.653 --> 00:35:36.794]  He had a good sense of humor.
[00:35:36.794 --> 00:35:38.835]  Uh, I liked him a great deal.
[00:35:38.835 --> 00:35:41.257]  I was very sad to hear about his death.
[00:35:41.257 --> 00:35:43.098]  I know the president was very close to him.
[00:35:43.098 --> 00:35:44.859]  I think they spoke just about every day.
[00:35:44.859 --> 00:35:47.621]  So, um, you know, it is a sad day.
[00:35:48.401 --> 00:35:53.862]  It is outrageous that the left is out there saying, oh, they got the wrong Trump.
[00:35:53.862 --> 00:35:54.863]  Who is that?
[00:35:54.863 --> 00:35:55.363]  God?
[00:35:55.363 --> 00:35:57.643]  God makes these decisions.
[00:35:57.643 --> 00:35:59.624]  And it was Robert's time.
[00:35:59.624 --> 00:36:00.484]  God bless him.
[00:36:00.484 --> 00:36:03.805]  May he rest in peace.
[00:36:03.805 --> 00:36:11.067]  I don't want to get into anything negative here, but it just shows the level the left's going to, how they're trending a hashtag saying the wrong Trump died.
[00:36:11.067 --> 00:36:12.627]  This is just really sickening evil.
[00:36:14.605 --> 00:36:17.608]  Well, but it's certainly no different than what we have seen.
[00:36:17.608 --> 00:36:25.275]  The attacks on Melania Trump, in my opinion, the most cultured and gracious first lady since Jacqueline Kennedy.
[00:36:25.275 --> 00:36:29.660]  The attacks on Barron Trump, who is, you know, a minor at this point.
[00:36:30.440 --> 00:36:37.046]  But you'll recall tweets saying that, you know, he should be turned over for sex trafficking.
[00:36:37.046 --> 00:36:39.548]  The left is completely intolerant.
[00:36:39.548 --> 00:36:46.653]  They are the ones who are out of control with the threats of violence, with the actual violence.
[00:36:46.653 --> 00:36:52.558]  I don't need to tell you, Alex, you predicted this year's ahead of anyone.
[00:36:52.558 --> 00:36:54.580]  We have an active, organized,
[00:36:55.248 --> 00:37:00.391]  Very well-funded socialist revolution going on in our streets.
[00:37:00.391 --> 00:37:06.313]  It coincides with some legitimate democratic protests, but it shouldn't be mistaken for that.
[00:37:06.313 --> 00:37:22.461]  They're taking advantage of a public health crisis to magnify its danger, to create political instability, to try yet again what they've now tried twice, actually four times, and failed to do.
[00:37:22.461 --> 00:37:24.282]  Remove Donald Trump from the White House.
[00:37:24.882 --> 00:37:27.325]  They wanted to challenge him in the electoral college.
[00:37:27.325 --> 00:37:28.246]  That's one.
[00:37:28.246 --> 00:37:29.288]  They failed.
[00:37:29.288 --> 00:37:32.732]  They wanted recounts in three states that he won narrowly.
[00:37:32.732 --> 00:37:33.553]  That failed.
[00:37:33.553 --> 00:37:37.658]  Michigan, Pennsylvania, and Wisconsin.
[00:37:37.658 --> 00:37:40.541]  Then they tried the Russian collusion hoax.
[00:37:40.541 --> 00:37:44.106]  That was an expensive, painful, but colossal failure.
[00:37:44.733 --> 00:37:48.697]  Then they tried the hastily pulled together Ukrainian hoax.
[00:37:48.697 --> 00:37:51.159]  That was just an embarrassment to them.
[00:37:51.159 --> 00:37:57.305]  And now they're trying to profit politically from the fallout of coronavirus.
[00:37:57.305 --> 00:38:09.157]  That is how desperate the globalists are to retake control of the country and do absolutely, and I'm not exaggerating, erase all of our constitutional liberties.
[00:38:09.901 --> 00:38:12.962]  Robert Trump was a patriot, just like his brother.
[00:38:12.962 --> 00:38:16.663]  Robert Trump was a conservative Republican.
[00:38:16.663 --> 00:38:26.426]  They have a sister who served with great integrity on the federal bench, was a very, very respected federal judge.
[00:38:26.426 --> 00:38:32.487]  This is a family that has done more than their share for both charity and public service.
[00:38:32.487 --> 00:38:38.509]  As you know, Alex, and I say this whenever I talk around the country, Trump didn't need this job.
[00:38:39.693 --> 00:38:47.169]  He didn't need the acclaim or the name ID or the plane or the house or the status.
[00:38:47.169 --> 00:38:50.616]  This has cost him $2 billion off of his net worth.
[00:38:51.457 --> 00:38:52.918]  He's doing this for the country.
[00:38:52.918 --> 00:38:54.198]  He's doing this because he's a patriot.
[00:39:11.385 --> 00:39:16.370]  I think it's fair to say the only person who's probably gone through as much as Trump or more has been you.
[00:39:16.370 --> 00:39:18.833]  I guess Seth Rich got killed, so I guess he paid more.
[00:39:18.833 --> 00:39:21.896]  There's been a lot of people paying in blood, sweat, and tears.
[00:39:21.896 --> 00:39:23.517]  I know we're happy to do it.
[00:39:23.517 --> 00:39:28.923]  The good news is we're starting to win, I think, but they can still snatch victory from the jaws of defeat.
[00:39:28.923 --> 00:39:31.546]  So as we get ready to go to break, let's spend three, four minutes on this.
[00:39:32.898 --> 00:39:34.239]  What's the Democrat playbook?
[00:39:34.239 --> 00:39:39.103]  What's the deep state playbook as they begin to have the indictments finally from Durham happen?
[00:39:39.103 --> 00:39:40.184]  We'll talk about next segment.
[00:39:40.184 --> 00:39:43.807]  But I mean, that's got to that's that's what Trump said.
[00:39:43.807 --> 00:39:44.568]  They're coming after me.
[00:39:44.568 --> 00:39:45.729]  They're not happy.
[00:39:45.729 --> 00:39:46.830]  They may try to take me out.
[00:39:46.830 --> 00:39:51.454]  I mean, he's really letting people know that he's he's in a death match here, isn't he?
[00:39:51.454 --> 00:39:55.377]  It appears that way, but as you know, it's very difficult to read the tea leaves.
[00:39:55.377 --> 00:39:59.520]  First of all, let's not forget our wounded still on the battlefield.
[00:39:59.520 --> 00:40:01.342]  That would be General Michael Flynn.
[00:40:02.073 --> 00:40:25.933]  I mean, we now know, indisputably, that General Flynn committed no crime whatsoever, that his prosecutors, who are actually his persecutors, know that he committed no crime, that they withheld not only exculpatory evidence, but they also withheld proof that he was just politically targeted for non-legal but political reasons.
[00:40:25.933 --> 00:40:28.415]  It is outrageous that the judge in the D.C.
[00:40:28.415 --> 00:40:30.857]  Circuit has refused to dismiss
[00:40:31.696 --> 00:40:38.442]  Uh, his charges, now that we know they're fraudulent, and he continues to waste time and money.
[00:40:38.442 --> 00:40:46.248]  I happen to know firsthand that the General's legal expenses just over the last 30 days were more than $1 million.
[00:40:47.995 --> 00:40:50.818]  Michael Flynn is a genuine war hero.
[00:40:50.818 --> 00:40:52.640]  He's not just a patriot.
[00:40:52.640 --> 00:40:55.724]  He's an individual with incredible personal bravery.
[00:40:55.724 --> 00:40:57.125]  Read his history.
[00:40:57.125 --> 00:40:59.388]  This guy is the real deal.
[00:40:59.388 --> 00:41:01.110]  And let's understand something.
[00:41:01.110 --> 00:41:03.933]  It's now coming out that people they knew that were working for the CIA
[00:41:05.154 --> 00:41:14.481]  Who talked to Russians under their job, that the Justice Department was saying they were Russian agents, burning our own people, just in an attempt to find somebody who was talking to Russians.
[00:41:14.481 --> 00:41:15.962]  And it turns out Comey knew this.
[00:41:15.962 --> 00:41:24.209]  I mean, this is criminal espionage against the national security of our country, burning people that are assets who are investigating Russians.
[00:41:24.209 --> 00:41:31.054]  And because people in the CIA are penetrating the Russians, turning that around and saying that they are Russian agents, that is beyond criminal.
[00:41:31.988 --> 00:41:33.529]  That's exactly what happened here.
[00:41:33.529 --> 00:41:49.174]  They knew, when they used Carter Page as the poster child to justify their Russian collusion surveillance, that he was actually working for the Central Intelligence Agency and had been reporting on his contacts with the Russians.
[00:41:49.794 --> 00:41:57.964]  So, this fellow Clinesmith that they have indicted, this is like indicting Hunt and Liddy for Watergate, okay?
[00:41:57.964 --> 00:41:59.525]  This is the lowest level.
[00:41:59.525 --> 00:42:01.748]  Who gave Clinesmith his orders?
[00:42:01.748 --> 00:42:04.111]  Who was it that told him to do this?
[00:42:04.711 --> 00:42:06.613]  Was it Andrew Weissman?
[00:42:06.613 --> 00:42:18.026]  Because Weissman is out today publicly in The Hill, a publication, saying that Clinesmith shouldn't be prosecuted and comparing his case to the Flynn case.
[00:42:18.026 --> 00:42:19.848]  Now, there's a big difference.
[00:42:19.848 --> 00:42:23.372]  Flynn is wrongfully accused and he pled guilty
[00:42:24.253 --> 00:42:25.915]  Under extraordinary circumstances.
[00:42:41.953 --> 00:42:43.094]  Exonerated.
[00:42:43.094 --> 00:42:46.356]  All the frauds come out, but they're still trying to destroy him as well.
[00:42:46.356 --> 00:42:47.316]  They're trying to destroy us.
[00:42:47.316 --> 00:42:48.377]  But we're together, folks.
[00:42:48.377 --> 00:42:49.438]  We're stronger than ever.
[00:42:49.438 --> 00:42:51.999]  But with 78 days out, we're going to talk about the election.
[00:42:51.999 --> 00:42:55.541]  We're going to talk about the new film that Roger's a big part of.
[00:42:55.541 --> 00:42:55.962]  Straight ahead.
[00:42:58.117 --> 00:43:03.778]  The New World Order is a planetary corporate plan for world government.
[00:43:03.778 --> 00:43:07.039]  But world government is only the control grid.
[00:43:07.039 --> 00:43:14.580]  Now, inner members of the cult are told that they are going to transcend and become gods and attain immortality.
[00:43:14.580 --> 00:43:21.602]  But the price for that is to carry out the orderly extermination of all carbon-based life forms.
[00:43:21.602 --> 00:43:23.842]  That's why they say carbon is bad.
[00:43:23.842 --> 00:43:27.083]  They are rewriting the entire genetic code of the planet.
[00:43:27.583 --> 00:43:29.444]  They are playing God.
[00:43:29.444 --> 00:43:39.330]  They believe they have been inspired by interdimensional entities that are giving them advanced technology to carry out this transformation.
[00:43:39.330 --> 00:43:44.633]  I know this sounds insane, but if you read the writings of the Globalist, it's all on record.
[00:43:44.633 --> 00:43:45.733]  You have been warned.
[00:43:47.054 --> 00:43:51.519]  You have been given the information to say no to this plan.
[00:43:51.519 --> 00:43:55.122]  This is the end of all life on Earth as we know it.
[00:43:55.122 --> 00:43:58.125]  This is the alien takeover of Earth.
[00:43:58.125 --> 00:44:07.995]  Nancy Pelosi, Eric Holder, Joe Biden, Hillary Clinton, and the list goes on from there, have all gone on national TV, have all gone on the internet.
[00:44:08.275 --> 00:44:08.495]  We're good.
[00:44:30.120 --> 00:44:35.322]  And they're going to use race war and rioting as the cover to try to drive Trump from office.
[00:44:35.322 --> 00:44:48.748]  The Democratic Party, the shy comms, the deep state are using Black Lives Matter funded by Soros as their cover to claim that if you resist their attempts at creating artificial riots and martial law, that you're racist.
[00:44:48.748 --> 00:44:54.871]  When in truth, an old Nazi collaborator, George Soros, created Black Lives Matter along with Antifa.
[00:44:54.871 --> 00:44:57.012]  America's fighting for its life, but we will win.
[00:44:58.320 --> 00:45:03.487]  Attention, attention, attention to anyone that still wants to live in a free country.
[00:45:03.487 --> 00:45:12.799]  The New World Order, SHICOM, Globalist Syndicate is making its move to implode the dollar and thrust the United States into a civil war by contesting the election.
[00:45:13.300 --> 00:45:17.124]  They are openly wargaming this at the highest levels of the Democratic Party.
[00:45:17.124 --> 00:45:21.528]  Nancy Pelosi and others have gone on television and said they will contest the election.
[00:45:21.528 --> 00:45:22.428]  Trump is going.
[00:45:22.428 --> 00:45:29.475]  They will hold a separate inauguration for Biden and Kamala Harris, and that anyone challenging that will be called a racist.
[00:45:29.475 --> 00:45:34.319]  They will then trigger race riots and violence they've already beta tested around the country.
[00:45:35.080 --> 00:45:37.741]  We are not living in normal times.
[00:45:37.741 --> 00:45:45.203]  When these type of things happen in history, people are usually caught flat-footed because they can't believe they're living in such a criminal era.
[00:45:45.203 --> 00:45:46.143]  We are.
[00:45:46.143 --> 00:45:52.305]  We are living in the period where this criminal globalist syndicate that's been feeding on America is being exposed and removed.
[00:45:52.305 --> 00:45:55.946]  Now is the time for all good men and women to come to the aid of the country.
[00:45:55.946 --> 00:45:57.447]  Spread the word now, Paul Reveres!
[00:45:58.587 --> 00:46:02.449]  You can really break civilizations down into two types.
[00:46:02.449 --> 00:46:05.270]  Predatory and non-predatory.
[00:46:05.270 --> 00:46:08.871]  Or oppressive, conquest-based, or renaissance-based.
[00:46:08.871 --> 00:46:16.414]  And of course, different types of civilizations and countries and political systems of history, at the present, are mixes of the two.
[00:46:17.873 --> 00:46:38.664]  With globalism, it is a post-human ideology, so it's scientifically geared to be oppressive, and the rationale is social Darwinism, that the ruling class are elites, and because they're in power, they have a right to rule over you, poison you, dumb you down, sterilize you, and kill you.
[00:46:39.284 --> 00:46:50.229]  So all the people wearing masks like outside at the park and stuff are living in a total hoax and think their act of submission is an act of working for the common good in a collective.
[00:46:50.229 --> 00:46:50.869]  No.
[00:46:50.869 --> 00:46:54.331]  It's a sign that you're a slave who will take the forced inoculations.
[00:46:54.331 --> 00:47:01.154]  The federal government and Yale are studying the forced inoculations right now.
[00:47:01.154 --> 00:47:03.735]  You're listening to the Alex Jones Show.
[00:47:12.567 --> 00:47:13.769]  You found it.
[00:47:13.769 --> 00:47:15.812]  The tip of the spear.
[00:47:15.812 --> 00:47:20.237]  It is the Alex Jones Show.
[00:47:20.237 --> 00:47:23.782]  Well, to say we're living in historic and epic times is an understatement.
[00:47:23.782 --> 00:47:25.304]  It is 2020.
[00:47:25.304 --> 00:47:29.550]  The year is already halfway over and it is not disappointing in any way.
[00:47:29.550 --> 00:47:30.391]  It is crazy.
[00:47:31.749 --> 00:47:33.889]  And the word is, this is just going to get wilder after this.
[00:47:33.889 --> 00:47:35.230]  Roger Stone is here with us.
[00:47:35.230 --> 00:47:37.030]  Here's some of the headlines at Infowars.com.
[00:47:37.030 --> 00:47:42.851]  Report, many more indictments expected in Durham's Obamagate investigation.
[00:47:42.851 --> 00:47:46.572]  And here it is, Trump reacts to FBI lawyer guilty plea.
[00:47:46.572 --> 00:47:47.872]  That's just the beginning.
[00:47:47.872 --> 00:47:54.514]  Talking about Kevin Clinesmith that, again, is like getting G. Gordon Liddy and some of the low-level guys to get Nixon.
[00:47:56.073 --> 00:48:02.400]  Is former FBI Assistant Director Bill Pinstripe next to be brought to justice?
[00:48:02.400 --> 00:48:16.156]  And then it gets into Justice Kavanaugh rules against George Soros connected open society because they are actually saying keep sex trafficking legal and they want to lower the age of consent.
[00:48:17.463 --> 00:48:19.904]  I'm telling you, man, I tell you, this George Soros is evil.
[00:48:19.904 --> 00:48:22.325]  So that's good news to see that on that front.
[00:48:22.325 --> 00:48:23.585]  I know we've heard a lot from Durham.
[00:48:23.585 --> 00:48:28.707]  We've heard that they're going to supposedly finally take action.
[00:48:28.707 --> 00:48:30.028]  You've got your ear to the ground, Roger.
[00:48:30.028 --> 00:48:31.348]  What's the word you're hearing?
[00:48:31.348 --> 00:48:34.990]  Because you're one of the victims of this criminal group that tried to run a coup against America.
[00:48:36.448 --> 00:48:39.631]  Well Alex, it's an open question in my mind.
[00:48:39.631 --> 00:48:59.446]  In other words, I know a lot of conservatives, a lot of people who love liberty are very optimistic and hopeful that Attorney General Barr and Special Counsel Durham are going to bring the perps to justice regarding the greatest single abuse of power in the history of our country.
[00:48:59.446 --> 00:49:00.127]  I mean, these people
