[00:00.000 --> 00:25.800]  We now take you live to the Central Texas Command Center in the heart of the resistance,
[34:14.800 --> 34:17.800]  And then I'm going to cover an hour and 90 minutes of it live.
[34:17.800 --> 34:18.800]  We're carrying the feed.
[34:18.800 --> 34:19.800]  We've licensed it.
[34:19.800 --> 34:20.800]  We've gotten it.
[34:20.800 --> 34:23.800]  But before we just do fair use, we're one group's covering it and it's public.
[34:23.800 --> 34:25.800]  And we're going to analyze the propaganda.
[34:25.800 --> 34:26.800]  No, I've actually gone out and licensed it.
[34:26.800 --> 34:28.800]  We're going to be carrying it from two different feeds.
[34:28.800 --> 34:29.800]  I've licensed it from.
[34:29.800 --> 34:35.800]  And then we are going to have two hours of live analysis after plus all the different highlights.
[34:35.800 --> 34:37.800]  You're going to have the very best coverage.
[34:37.800 --> 34:38.800]  Folks always complain.
[34:38.800 --> 34:40.800]  They go, man, when I tune in to see a debate here, let's turn on radio.
[34:40.800 --> 34:48.800]  You guys talk over more than half of it because if it's exclusively singing in or Fox or ABC or whatever, it's their event.
[34:48.800 --> 34:51.800]  And then you have, we pioneered this four years ago, the last election.
[34:51.800 --> 34:58.800]  Now everybody does it from Len Beck to the young Turks to, you know, Huffington Post, which I'm proud of the fact that we pioneered it.
[34:58.800 --> 35:00.800]  But I talked to lawyers, checked it out.
[35:00.800 --> 35:04.800]  We're talking over it, given analysis, criticizing the media or agreeing with it.
[35:04.800 --> 35:05.800]  It doesn't matter.
[35:05.800 --> 35:09.800]  It's the same reason you can play clips of a movie or clips of commercials or clips of shows and analyze them.
[35:09.800 --> 35:12.800]  It's fair use because it's your free speech to analyze them.
[35:12.800 --> 35:14.800]  We're not doing that tomorrow.
[35:14.800 --> 35:16.800]  We're carrying the debate.
[35:16.800 --> 35:23.800]  I'll sit there probably with a sock in my mouth, you know, during certain points, during applause or during breaks or during a dirty trick.
[35:23.800 --> 35:27.800]  I'm going to throw in quick little comments and give some analysis.
[35:27.800 --> 35:35.800]  But the real analysis is going to be with our crew, our reporters, our investigative journals are going to be in a live time analyzing what Hillary and Trump say.
[35:35.800 --> 35:45.800]  In fact, checking it and then posting articles and video blurbs to infowars.com, prisonplanet.com and our other big sites in live time.
[35:45.800 --> 35:48.800]  So really proud of the crew, everything they're doing.
[35:48.800 --> 35:55.800]  Very, very thankful to the listeners and viewers out there for your support because what you've done, spreading the word, buying our products,
[35:55.800 --> 35:57.800]  our sponsors has made all this possible.
[35:57.800 --> 36:00.800]  You can see the huge effect that infowars is having.
[36:00.800 --> 36:06.800]  Speaking of that, before I get back to the news, we have a lot of different specials that are about to end.
[36:06.800 --> 36:11.800]  And we have super male and super female vitality, 20% off.
[36:11.800 --> 36:20.800]  It's cold pressed, compact herbs, known to increase vitality in a healthful, energetic way, libido, you name it, it's changed my life.
[36:20.800 --> 36:30.800]  Third party review sites have close to 1,500 reviews, 1,470 plus reviews on third party power reviews, which are big sticklers and other review sites.
[36:30.800 --> 36:32.800]  Nobody's got a 4.8.
[36:32.800 --> 36:35.800]  That's because nobody cold presses these.
[36:35.800 --> 36:38.800]  Okay, total game changer.
[36:38.800 --> 36:40.800]  I was looking from a distance of 4.5 right now.
[36:40.800 --> 36:44.800]  So infowarslife.com, your purchase supports the broadcast.
[36:44.800 --> 36:46.800]  It makes it all possible.
[36:46.800 --> 36:56.800]  We also have methylcobalamin, we call it secret 12, the highest quality, organic, absorbable vitamin B12 that you take under the tongue every day.
[36:56.800 --> 36:58.800]  It tastes delicious as well.
[36:58.800 --> 37:02.800]  This is such a game changer, natural energy, stamina, clarity.
[37:02.800 --> 37:04.800]  Vitamin B12 is magic.
[37:04.800 --> 37:08.800]  That's why so many medical doctors basically inject the same formula, but don't inject this.
[37:08.800 --> 37:10.800]  This is from the tongue.
[37:10.800 --> 37:14.800]  Injectable is more absorbable, but normal pills and stuff you barely absorb.
[37:14.800 --> 37:15.800]  The gut doesn't really absorb this.
[37:15.800 --> 37:18.800]  It's under the tongue in the mouth.
[37:18.800 --> 37:21.800]  So this is as best as you're going to get without going to the doctor and getting injections.
[37:21.800 --> 37:24.800]  And I'll tell you, MD's got something even better.
[37:24.800 --> 37:28.800]  Okay, just to be honest with you, but this is as good as it gets without the injections.
[37:28.800 --> 37:38.800]  So secret 12, 20% off infowarslife.com or call toll free, 888-253-3139.
[37:38.800 --> 37:44.800]  But I really want to, before I get into more news, enlist the listeners.
[37:44.800 --> 37:48.800]  To realize that it's not just the fact that we're going to be covering the debate live tomorrow.
[37:48.800 --> 37:51.800]  It's not just that we have more viewers than CNN now.
[37:51.800 --> 37:52.800]  I mean, that's conservative.
[37:52.800 --> 37:53.800]  They're a joke.
[37:53.800 --> 37:55.800]  The other average show is like 200,000 viewers.
[37:55.800 --> 37:58.800]  Our average hour has about two, three million listeners.
[37:58.800 --> 38:03.800]  It's that the real power is you taking action.
[38:03.800 --> 38:10.800]  And if you get the link to infowars.com forward slash show where the live debate will be held tomorrow night.
[38:10.800 --> 38:13.800]  We're going to have a bunch of different video feeds of it.
[38:13.800 --> 38:14.800]  We're going to have our own video feed of it.
[38:14.800 --> 38:16.800]  We're going to have our live coverage of it.
[38:16.800 --> 38:17.800]  We're going to have a feed we're going to put out.
[38:17.800 --> 38:22.800]  It's a one camera shot with our reporters there that is just one camera on the stage.
[38:22.800 --> 38:23.800]  No interruptions.
[38:23.800 --> 38:24.800]  So there's no complaints.
[38:24.800 --> 38:26.800]  You're going to have a feed with no Alex Jones.
[38:26.800 --> 38:34.800]  You're going to have a feed with Alex Jones and have another feed that is our crew breaking in.
[38:34.800 --> 38:38.800]  So that's tomorrow night infowars.com forward slash show.
[38:38.800 --> 38:41.800]  But the real situation is this.
[38:41.800 --> 38:51.800]  We've covered events before like the 2012 election where we had 3.8 million viewers in 24 hours just on these video streams,
[38:51.800 --> 38:56.800]  not on our 180 plus affiliates on AM and FM and then a bunch of TV stations as well.
[38:56.800 --> 38:57.800]  It's over 300.
[38:57.800 --> 39:03.800]  We count all that not just shortwave or the satellites just on our streams.
[39:03.800 --> 39:07.800]  3.8 million connections.
[39:07.800 --> 39:13.800]  Now granted, some of that was the same folks coming back and recollecting, but whatever that is unbelievable.
[39:13.800 --> 39:15.800]  People would say, oh, whatever.
[39:15.800 --> 39:18.800]  I mean, you have videos every week that have four or five million views a piece.
[39:18.800 --> 39:20.800]  You know, you've got tens of millions of views a week now.
[39:20.800 --> 39:22.800]  I mean, why aren't you saying it's bigger than 3.8 million?
[39:22.800 --> 39:27.800]  Because the average CNN show has 200,000.
[39:27.800 --> 39:29.800]  This is a testament to liberty.
[39:29.800 --> 39:31.800]  Now popular it is.
[39:31.800 --> 39:34.800]  So I want tomorrow to break that 2012 record.
[39:34.800 --> 39:41.800]  I want to have 4 million people tune into our YouTube stream, our Facebook stream, our own stream.
[39:41.800 --> 39:43.800]  People say, why don't you just have your own stream?
[39:43.800 --> 39:45.800]  I don't know if it can handle it tomorrow.
[39:45.800 --> 39:46.800]  I don't know if my bank account can handle it.
[39:46.800 --> 39:49.800]  Do you understand what happens when 3, 4 million people tune into something?
[39:49.800 --> 39:51.800]  Even when you have the cheapest bandwidth around.
[39:51.800 --> 39:54.800]  I mean, I'm going to get like 100,000, $200,000 bills.
[39:54.800 --> 39:59.800]  And that's what I'm saying by the products, by the Hillary for President t-shirt.
[39:59.800 --> 40:02.800]  It's about to, you know, be part of history.
[40:02.800 --> 40:04.800]  It's a limited edition.
[40:04.800 --> 40:06.800]  The third edition is about to end and I've decided that's it.
[40:06.800 --> 40:08.800]  I'm going to move on to some new slogan.
[40:08.800 --> 40:10.800]  In fact, that's the new announcement I'll make tomorrow.
[40:10.800 --> 40:12.800]  Hillary for President, everybody copies it and it's viral everywhere.
[40:12.800 --> 40:14.800]  And on the top search terms last six months, great.
[40:14.800 --> 40:15.800]  We had our victory.
[40:15.800 --> 40:16.800]  We're going to move on.
[40:16.800 --> 40:18.800]  This is the last edition, version three.
[40:18.800 --> 40:20.800]  I've decided it's over.
[40:20.800 --> 40:27.800]  It might be Hillary for, you know, Mars or, you know, Hillary for, you know, Captain kangaroo.
[40:27.800 --> 40:29.800]  I don't know, but this is about to end.
[40:29.800 --> 40:33.800]  If you want it, it's historic.
[40:33.800 --> 40:35.800]  That does have a 4.7 review.
[40:35.800 --> 40:36.800]  Let's see if my eyeballs are right.
[40:36.800 --> 40:37.800]  Let's blow that up.
[40:37.800 --> 40:38.800]  This is across the room.
[40:38.800 --> 40:40.800]  Yeah, 4.7 review.
[40:40.800 --> 40:41.800]  Whole bunch of reviews.
[40:41.800 --> 40:47.800]  That's just on the third version info wars store.com info wars, live.com on the back.
[40:47.800 --> 40:50.800]  It says legalize freedom.
[40:50.800 --> 40:55.800]  So that's a limited edition that is about to enter into history info wars.com on the right hand shoulder.
[40:55.800 --> 40:59.800]  Now I said I'd get into polls, race rioting.
[40:59.800 --> 41:03.800]  We've already covered them trying to start a military crisis as they're October surprise.
[41:03.800 --> 41:05.800]  This is historic.
[41:05.800 --> 41:08.800]  When we come back, I'll get into all the latest polls, latest race rioting.
[41:08.800 --> 41:13.800]  Fox News Live says white cop killed Keith Lamont, Scott in Charlotte, North Carolina.
[41:13.800 --> 41:17.800]  MSM pushes narrative that police may have planted gun on Keith Lamont.
[41:17.800 --> 41:20.800]  I mean, I've watched the video folks.
[41:20.800 --> 41:21.800]  Cops are a lot of things.
[41:21.800 --> 41:25.800]  There's some bad ones out there, but they're not actors with four cops, white and black,
[41:25.800 --> 41:26.800]  screaming, put a gun down.
[41:26.800 --> 41:28.800]  The guy's got a gun in multiple videos.
[41:28.800 --> 41:33.800]  And then now they say, oh, it's not visible in his wife's video from 50 yards away.
[41:33.800 --> 41:34.800]  I mean, give me a break.
[41:34.800 --> 41:38.800]  You think cops want to go shoot somebody, much less a black guy and lose their career.
[41:38.800 --> 41:39.800]  No, no.
[41:39.800 --> 41:43.800]  The evidence shows they slow roll and actually don't serve the communities and the crime rates
[41:43.800 --> 41:44.800]  and death rates have exploded.
[41:44.800 --> 41:45.800]  That's what's really killing black lives.
[41:45.800 --> 41:47.800]  But can you criticize the cops for that?
[41:47.800 --> 41:50.800]  And I'm not in some cop butt kissing mode here.
[41:50.800 --> 41:53.800]  Outside sources are trying to bankrupt our country and cause a civil war.
[41:53.800 --> 41:54.800]  I stand against it.
[41:54.800 --> 41:55.800]  Period.
[41:55.800 --> 41:56.800]  It's no brainer.
[41:56.800 --> 41:58.800]  Mama didn't raise the fool.
[41:58.800 --> 41:59.800]  Let's play this clip though.
[41:59.800 --> 42:02.800]  The chairman joint chief saying, you want us to do a no fly in Syria?
[42:02.800 --> 42:03.800]  It means war with Russia.
[42:03.800 --> 42:04.800]  Here it is.
[42:04.800 --> 42:05.800]  We're Syria.
[42:05.800 --> 42:12.800]  What about the option of controlling the airspace so that that barrel bombs cannot be dropped?
[42:12.800 --> 42:13.800]  All options.
[42:13.800 --> 42:15.800]  What do you think of that option, sir?
[42:15.800 --> 42:22.800]  Right now, senator, for us to control all of the airspace in Syria would require us to go to war
[42:22.800 --> 42:26.800]  against Syria and Russia.
[42:26.800 --> 42:30.800]  That's a pretty fundamental decision that certainly I'm not going to make.
[42:30.800 --> 42:35.800]  Now, I don't want to say this guy's perfect, but the point is the generals have been holding this back.
[42:35.800 --> 42:38.800]  Usually they're the ones that want war until they're nuclear weapons.
[42:38.800 --> 42:39.800]  They get it.
[42:39.800 --> 42:40.800]  It's the end of their existence.
[42:40.800 --> 42:45.800]  They have to go to these Rhino Republicans who are even worse than Obama, quite frankly, and say, listen,
[42:45.800 --> 42:47.800]  if we bomb the Russians, they'll attack us.
[42:47.800 --> 42:49.800]  It means war, war three.
[42:49.800 --> 42:50.800]  You understand?
[42:50.800 --> 42:54.800]  And then the little fake conservatives go, oh, I do hear you now.
[42:54.800 --> 43:21.800]  Yeah, it means no more golf course, dumbass.
[43:21.800 --> 43:24.800]  He also tweeted, BLM is pathetic.
[43:24.800 --> 43:25.800]  Obama is pathetic.
[43:25.800 --> 43:28.800]  Everyone involved should be locked behind bars like animals.
[43:28.800 --> 43:33.800]  Now he is just sharing his opinion, though I think the animal's common is what triggered people.
[43:33.800 --> 43:37.800]  But again, he's not allowed that opinion because he's white.
[43:37.800 --> 43:41.800]  You could actually read those tweets and they could come from a black person or a white person
[43:41.800 --> 43:45.800]  because there is no racism, just objective fact and opinion.
[43:45.800 --> 43:46.800]  Don't worry, though.
[43:46.800 --> 43:49.800]  The Seattle Mariners are very disappointed.
[43:49.800 --> 43:53.800]  This proves once again, you're either with the left or you're a racist.
[43:53.800 --> 43:54.800]  Shut up.
[43:54.800 --> 43:58.800]  Be sure to download the new app at infowars.com slash app.
[43:58.800 --> 44:00.800]  Not a group you develop living defense for us.
[44:00.800 --> 44:01.800]  It took you over a year to do it.
[44:01.800 --> 44:02.800]  Why is this so good?
[44:02.800 --> 44:08.800]  Because people are actually waking up to the problem that pretty much scares me the most.
[44:08.800 --> 44:13.800]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system.
[44:13.800 --> 44:19.800]  But right now we're dealing with massive parasites, which is anything that's harmful to your body
[44:19.800 --> 44:25.800]  that lives off a host mechanism right now with all the refugees spreading disease around.
[44:25.800 --> 44:27.800]  We have biological warfare going on everywhere.
[44:27.800 --> 44:29.800]  These are all parasites.
[44:29.800 --> 44:30.800]  Tell us about all the stuff I said.
[44:30.800 --> 44:31.800]  There's so many things that are in it.
[44:31.800 --> 44:32.800]  You have the neem in there.
[44:32.800 --> 44:35.800]  You have the organic clove bud, the organic wormwood.
[44:35.800 --> 44:39.800]  I recommend doing a parasite cleanse at least twice a year.
[44:39.800 --> 44:42.800]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[44:42.800 --> 44:43.800]  It just came back in yesterday.
[44:43.800 --> 44:45.800]  Living Defense, infowarslife.com.
[44:45.800 --> 44:46.800]  And folks, you can't lose.
[44:46.800 --> 44:48.800]  It's full of stuff that's great for your body, period.
[44:48.800 --> 44:52.800]  And you support the broadcast, infowarslife.com.
[44:52.800 --> 44:54.800]  Thank you, Dr. Group, from the Global Healing Center.
[44:54.800 --> 45:23.800]  Thank you so much for all your work, sir, on this great product.
[45:24.800 --> 45:28.800]  It discounts on the amazing products and free shipping when you sign up for auto-ship.
[45:28.800 --> 45:32.800]  And you're able to promote the products to friends and family and neighbors in your community
[45:32.800 --> 45:35.800]  and make money while helping people at the same time.
[45:35.800 --> 45:36.800]  Another win-win.
[45:36.800 --> 45:40.800]  That's why I'm a member of the young Jebedee team at infowarsteam.com.
[45:40.800 --> 45:41.800]  And you can be too.
[45:41.800 --> 45:42.800]  It's simple.
[45:42.800 --> 45:45.800]  Just go to infowarsteam.com today.
[45:45.800 --> 45:47.800]  Complete a short sign up and you're part of the team.
[45:47.800 --> 45:50.800]  That's infowarsteam.com or infowarshealth.com.
[45:50.800 --> 45:54.800]  So many people call into my radio show and tell me how young Jebedee and the products
[45:54.800 --> 45:56.800]  at infowarsteam.com have changed their lives.
[45:56.800 --> 45:59.800]  Check it out for yourself today.
[45:59.800 --> 46:04.800]  Please listen carefully because I'm about to point out three things that will save you
[46:04.800 --> 46:08.800]  a lot of money while you get high quality products and fund the info war.
[46:08.800 --> 46:09.800]  A 360 win.
[46:09.800 --> 46:14.800]  Number one, when you choose auto-ship before checkout, we give you 10% off on your order
[46:14.800 --> 46:15.800]  at infowarsore.com.
[46:15.800 --> 46:20.800]  Number two, you're also able to get items that are out of stock when you sign up for
[46:20.800 --> 46:23.800]  auto-ship because we hold back a surplus for auto-ship customers.
[46:23.800 --> 46:28.800]  Number three, we're giving you free shipping on all orders above $50.
[46:28.800 --> 46:33.800]  Listeners have been requesting this for years because it's so easy to forget to reorder
[46:33.800 --> 46:35.800]  the products that you need each month.
[46:35.800 --> 46:36.800]  Just go to infowarsstore.com.
[46:36.800 --> 46:38.800]  Select your favorite product or products.
[46:38.800 --> 46:42.800]  Click on auto-ship and choose how often you want us to send you another order.
[46:42.800 --> 46:47.800]  As you know, I coined the term 360 win and with the new auto-ship feature at infowarslife.com,
[46:47.800 --> 46:49.800]  this is a sure win.
[46:49.800 --> 46:50.800]  10% off on auto-ship.
[46:50.800 --> 46:55.800]  Win, win, win at infowarslife.com, free shipping on orders above $50.
[46:55.800 --> 47:02.800]  And all out of stock items are never out of stock when you sign up for auto-ship.
[47:02.800 --> 47:10.800]  You're listening to the Alex Jones show.
[47:10.800 --> 47:15.800]  From the front lines of the information war, it's Alex Jones.
[47:15.800 --> 47:20.800]  Imagine Congress going, Democrats and Republicans, can't we just bomb the Russians that were
[47:20.800 --> 47:23.800]  invited into a sovereign country to fight al-Qaeda?
[47:23.800 --> 47:25.800]  And the chairman goes, well, I've got a war with Russia.
[47:25.800 --> 47:27.800]  You want to do that?
[47:27.800 --> 47:31.800]  That's the level we've reached.
[47:31.800 --> 47:33.800]  That's how crazy this is.
[47:33.800 --> 47:37.800]  Meanwhile, we've got George Soros, this master criminal that has admittedly overthrown more
[47:37.800 --> 47:43.800]  than 30 countries, because he's got a rest war inside around the world who is financing
[47:43.800 --> 47:46.800]  with hundreds of millions of dollars with the Ford Foundation and others.
[47:46.800 --> 47:48.800]  That's not Ford vehicles, folks.
[47:48.800 --> 47:50.800]  I heard people say, we're going to boycott Ford.
[47:50.800 --> 47:51.800]  Ford's not part of that.
[47:51.800 --> 47:53.800]  The Ford family's not part of it.
[47:53.800 --> 47:57.800]  The foundation, their grandfather set up, got hijacked by leftist lawyers.
[47:57.800 --> 47:58.800]  It funds open borders.
[47:58.800 --> 47:59.800]  It's horrible.
[47:59.800 --> 48:01.800]  It wants to drive down wages.
[48:01.800 --> 48:03.800]  The opposite of what Ford wanted to do.
[48:03.800 --> 48:07.800]  They've got their own problems, but the Ford Foundation isn't Henry Ford.
[48:07.800 --> 48:08.800]  Let's just be clear.
[48:08.800 --> 48:11.800]  And I've studied it.
[48:11.800 --> 48:14.800]  They're funding race war because they want us fighting with each other while the big
[48:14.800 --> 48:15.800]  banks rob us.
[48:15.800 --> 48:17.800]  It's very simple.
[48:17.800 --> 48:19.800]  We've all got beefs with each other.
[48:19.800 --> 48:22.800]  There's some real issues there, but overall, the thing is contrived.
[48:22.800 --> 48:23.800]  It's artificial.
[48:23.800 --> 48:24.800]  It's admitted.
[48:24.800 --> 48:26.800]  We have George Soros' emails.
[48:26.800 --> 48:32.800]  But now MSNBC goes to a new low and claims that the black police officer with three
[48:32.800 --> 48:36.800]  other white cops called to a guy that was reportedly office medication.
[48:36.800 --> 48:42.800]  We now learn doing weird stuff scaring people with a criminal record had a gun in his hand.
[48:42.800 --> 48:44.800]  Well, it's not clear from one video.
[48:44.800 --> 48:46.800]  It's clear in some other videos.
[48:46.800 --> 48:50.800]  So MSNBC is saying, and the videos are up on info wars.com if you're a listener want
[48:50.800 --> 48:54.800]  to see it, that he made this up, that the cops just, that a black cop just wanted to kill
[48:54.800 --> 48:58.800]  a black guy so he could get sued and get indicted.
[48:58.800 --> 48:59.800]  Let me explain.
[48:59.800 --> 49:02.800]  The average cop does not want to go out and kill anybody.
[49:02.800 --> 49:04.800]  Okay, use your brain, folks.
[49:04.800 --> 49:05.800]  Do you want to kill somebody?
[49:05.800 --> 49:08.800]  Imagine the trouble you get in, even when you're doing it in the right?
[49:08.800 --> 49:10.800]  That's why nobody wants this job.
[49:10.800 --> 49:14.800]  Well, frankly, I got problems with a lot of police, but I mean, who wants the job, though?
[49:14.800 --> 49:16.800]  If you've got to ask yourself, would you do it?
[49:16.800 --> 49:17.800]  Have you ever called a cop?
[49:17.800 --> 49:19.800]  Then it gets very hypocritical, doesn't it?
[49:19.800 --> 49:20.800]  It does.
[49:20.800 --> 49:21.800]  I'm just being real here.
[49:21.800 --> 49:23.800]  It's like, I'm not going to blame the TSA.
[49:23.800 --> 49:26.800]  I blame myself for letting Congress pass all this crap.
[49:26.800 --> 49:29.800]  I used to shoot the TSA out all day, so I don't know, wait a minute.
[49:29.800 --> 49:30.800]  They didn't pass a lot of do it.
[49:30.800 --> 49:32.800]  I need to go after people that did that.
[49:32.800 --> 49:34.800]  It's not that what they're doing is okay.
[49:34.800 --> 49:38.800]  It's that we've got to go to the root of the situation, or idiots.
[49:38.800 --> 49:39.800]  Let's play this clip.
[49:39.800 --> 49:45.800]  MSNBC pushes narrative that police may have planted gun on Keith Lamont.
[49:45.800 --> 49:47.800]  We see on the ground around Lamar Scott.
[49:47.800 --> 49:49.800]  We're going to go ahead and play this next section for you.
[49:49.800 --> 49:50.800]  We'll slow it down.
[49:50.800 --> 49:51.800]  We'll zoom in at a point.
[49:51.800 --> 49:52.800]  Take a look.
[49:52.800 --> 49:53.800]  Yep.
[49:53.800 --> 49:58.800]  He better live.
[49:58.800 --> 50:03.800]  Looking at there, we have circled this item on the ground.
[50:03.800 --> 50:06.800]  And you see there, the item flicks out.
[50:06.800 --> 50:07.800]  There it is there.
[50:07.800 --> 50:08.800]  So there's one item on the ground.
[50:08.800 --> 50:10.800]  Let's go ahead and re-rack that if we can, guys.
[50:10.800 --> 50:17.800]  There's one item on the ground, and then you're going to see a flick of a second item that ends up being tossed on the ground.
[50:17.800 --> 50:22.800]  We are at this point simply not going to speculate about what those items may be.
[50:22.800 --> 50:24.800]  We have one more point of reference for you, Chris.
[50:24.800 --> 50:26.800]  And then I know there's going to be a lot here to talk about.
[50:26.800 --> 50:28.800]  We're going to go ahead and take a look here.
[50:28.800 --> 50:32.800]  The fifth clip of an officer who leans over.
[50:32.800 --> 50:37.800]  And what you're going to see, and again, this is that officer on the right with the red shirt, that black tactical black jacket.
[50:37.800 --> 50:39.800]  No, it comes from the guy at the cop on the hip-hop.
[50:39.800 --> 50:44.800]  It clearly, back that up unless I'm wrong, comes from the cop in the uniform throwing the gun away.
[50:44.800 --> 50:46.800]  Let's back that up.
[50:46.800 --> 50:49.800]  Look, regardless, if the cop's ended up playing this, fine, we'll expose it.
[50:49.800 --> 50:51.800]  But why would you do that?
[50:51.800 --> 50:54.800]  Unless it's part of some, I don't know, PR stage deal.
[50:54.800 --> 50:56.800]  But let's go to the next clip here.
[50:56.800 --> 51:00.800]  Here's where Mark Dice does a great job, one of our auxiliary reporters, breaking this down.
[51:00.800 --> 51:01.800]  Here it is.
[51:01.800 --> 51:08.800]  Now, countless liberal lunatics are claiming that police planted the gun on Keith Scott after footage has been released of the incident,
[51:08.800 --> 51:13.800]  which show police ordering him a dozen times to drop the gun.
[51:13.800 --> 51:24.800]  Let's have a look at this idiotic, insane claim where we can clearly see that what's put on the ground or dropped on the ground isn't a gun.
[51:24.800 --> 51:26.800]  It is a glove.
[51:26.800 --> 51:37.800]  The officer here is clearly putting a glove on, and as he pulls out his glove, you can see that one or two fall out of his pocket.
[51:37.800 --> 51:46.800]  Later on, he picks up the glove, and even if they were to think about planting a gun on him, they certainly wouldn't do it
[51:46.800 --> 51:56.800]  when there is a woman yelling and screaming at them 25 feet away where they know that they would be captured on video doing it.
[51:56.800 --> 52:07.800]  And even if a cop were to plant a gun on a suspect, getting another cop to go along with such an egregious crime would be almost impossible,
[52:07.800 --> 52:14.800]  let alone getting a half a dozen police officers to agree to committing the frame job.
[52:14.800 --> 52:15.800]  That's right.
[52:15.800 --> 52:17.800]  So I played doubles advocate saying, hey, is it a gun?
[52:17.800 --> 52:19.800]  It looks like it's coming from the left to the right.
[52:19.800 --> 52:23.800]  But then you look and slow mo, it's a gloves coming out of his pocket, the black cop.
[52:23.800 --> 52:28.800]  Let's go to this report, though, on Glenn Beck. This is important.
[52:28.800 --> 52:30.800]  Extremely important.
[52:30.800 --> 52:33.800]  Dealing with politics and where all this is going and what it means.
[52:33.800 --> 52:34.800]  Did you see it?
[52:34.800 --> 52:36.800]  It was historic this Friday.
[52:36.800 --> 52:41.800]  Senator Ted Cruz came out and endorsed Donald J. Trump against Hillary Clinton.
[52:41.800 --> 52:43.800]  Why is this so important?
[52:43.800 --> 52:51.800]  Because it shows that the arrogant Republican and Democratic establishments that are joined at the hip have been failing on every single front.
[52:51.800 --> 52:54.800]  They've been failing to start a race war with all of George Soros' money.
[52:54.800 --> 52:58.800]  They've been failing to deceive the public about Hillary Clinton's incredible illnesses.
[52:58.800 --> 53:07.800]  They have been failing to cover up the fact that Barack Obama and Hillary Clinton literally created ISIS as a proxy army to take over the Middle East,
[53:07.800 --> 53:09.800]  part of their Arab Spring program.
[53:09.800 --> 53:14.800]  Everything they're doing, everything they're touching is blowing up in their face.
[53:14.800 --> 53:16.800]  And you've got Ted Cruz whose career is over.
[53:16.800 --> 53:18.800]  This guy's totally discredited.
[53:18.800 --> 53:20.800]  You talk about Benedict Arnold, the guy's a joke.
[53:20.800 --> 53:25.800]  But then we've got his counterpart, the Judas Iscariot of the so-called conservative movement.
[53:25.800 --> 53:26.800]  And that's Glenn Beck.
[53:26.800 --> 53:34.800]  He came out today and said, well, I can't believe that Ted Cruz did this and I'm going to go to the mountains.
[53:34.800 --> 53:38.800]  I'm going to just go away now for a while because I'm so incredibly upset.
[53:38.800 --> 53:40.800]  What a drama queen.
[53:40.800 --> 53:45.800]  This is the guy that implied Ron Paul supporters eight years ago were violent out of the clear blue sky.
[53:45.800 --> 53:52.800]  This is the guy that goes on liberal media to play the part of a conservative and then apologize and say that we're wrong.
[53:52.800 --> 53:59.800]  This is the guy that engages in all these incredible stunts and acts like he's some type of messianic leader.
[53:59.800 --> 54:01.800]  But I've got to give it to Glenn Beck.
[54:01.800 --> 54:09.800]  He's less opportunistic than Ted Cruz because Cruz now knows that despite all the dirty tricks against Trump,
[54:09.800 --> 54:16.800]  despite the fact that the Republican establishment didn't give him any money, despite the fact that the mainstream media blasted him with everything they've got,
[54:16.800 --> 54:18.800]  he's going to win the presidency.
[54:18.800 --> 54:20.800]  He's way ahead in polls across the board.
[54:20.800 --> 54:25.800]  So he's now panicking, trying to jump back to the side of the Patriots.
[54:25.800 --> 54:33.800]  And everybody should put basically a buoy or a marker on Ted Cruz to understand this guy is the slimiest of the slimy.
[54:33.800 --> 54:41.800]  Now over here, we've got Glenn Beck, whether he's been blackmailed or whatever it is that like a kamikaze will not give up and goes on all these
[54:41.800 --> 54:50.800]  Democrat shows like meet the press and face the nation and you name an MPR and basically says it's better to vote for Hillary or for anybody else other than Donald Trump.
[54:50.800 --> 55:01.800]  Again, the arrogance of this person, anyone with half a brain knows, including a lot of Democrats, that Hillary Clinton stole the nomination from Bernie Sanders and is a master criminal.
[55:01.800 --> 55:04.800]  So again, why is this historic?
[55:04.800 --> 55:18.800]  It is an absolute example of the arrogance of the power structure from the Democrats to the Republicans to the big mega banks from from from Goldman Sachs to General Electric to Apple to Google to Facebook to all the sensors to all these people.
[55:18.800 --> 55:26.800]  They think that they can sit there and dominate a populist movement in the United States when they can't even suppress one in the United Kingdom or Russia.
[55:26.800 --> 55:32.800]  The truth is nationalism and populism and people wanting to run their own lives is coming back.
[55:32.800 --> 55:39.800]  And the sleeping giant of Americana that was the wonder of the world is rising like a phoenix right now.
[55:39.800 --> 55:42.800]  The truth is Donald Trump is way ahead in every battleground state.
[55:42.800 --> 55:48.800]  He's way ahead across the nation, even in polls where they have more Democrats sampled than Republicans.
[55:48.800 --> 56:00.800]  The truth is the power structure is in a total panic and George Soros and the Ford Foundation and others have quadrupled down, giving hundreds of millions to Black Lives Matter and others to start race riots all across this country.
[56:00.800 --> 56:03.800]  But even that is blowing up in their face.
[56:03.800 --> 56:05.800]  History is happening.
[56:05.800 --> 56:14.800]  Trump is only one manifestation of the populist tsunami that is gaining steam at hurricane force around the world.
[56:14.800 --> 56:21.800]  But those of us that do promote liberty have to understand that this is a sacred honor and a great charge that we've been given.
[56:21.800 --> 56:29.800]  And that once Trump gets into office, we have to fight even harder to ensure that this republic is restored.
