[00:00:17.441 --> 00:00:18.583]  Things are bad.
[00:58:40.596 --> 00:58:41.836]  Truly explosive.
[00:58:41.836 --> 00:58:43.196]  The most explosive thing.
[00:58:43.196 --> 00:58:44.777]  This is a slow motion explosion.
[00:58:45.037 --> 00:58:46.057]  How explosive?
[00:58:46.057 --> 00:58:47.078]  Very explosive.
[00:58:47.078 --> 00:58:48.558]  And I think it will be explosive.
[00:58:48.558 --> 00:58:49.098]  Wow.
[00:58:49.098 --> 00:58:51.019]  Donald Trump feels the walls closing in.
[00:58:51.019 --> 00:58:52.919]  Really kind of the walls closing in on him.
[00:58:52.919 --> 00:58:54.500]  Walls closing in on him.
[00:58:54.500 --> 00:58:55.840]  Walls closing in on him.
[00:58:55.840 --> 00:59:02.002]  There is a non-trivial chance that if Donald Trump loses the election, he ends up living out the rest of his days in prison.
[00:59:02.182 --> 00:59:05.663]  But here's the question, would you like to see President Trump in prison?
[00:59:05.663 --> 00:59:07.483]  Do you want to see the President in prison?
[00:59:07.483 --> 00:59:09.744]  Do you think Trump could end up going to jail?
[00:59:09.744 --> 00:59:11.584]  He could actually face jail time.
[00:59:11.584 --> 00:59:13.105]  Donald Trump could end up in jail.
[00:59:13.105 --> 00:59:13.665]  In prison.
[00:59:13.665 --> 00:59:15.305]  If he ends up in jail, so be it.
[00:59:15.305 --> 00:59:16.926]  You are pathetic.
[00:59:16.926 --> 00:59:21.087]  This President has radicalized so many more people than ISIS ever did.
[00:59:21.087 --> 00:59:28.469]  His ignorance could pose a profound danger to every single person in this country and literally every inhabitant of the planet Earth.
[00:59:31.661 --> 00:59:36.842]  Somebody rushed the stage but was quickly disabused of going further by the Secret Service.
[00:59:36.842 --> 00:59:39.163]  It comes after that chaos in Chicago.
[00:59:39.163 --> 00:59:44.064]  Violent clashes between protesters and supporters inside that auditorium.
[00:59:44.064 --> 00:59:46.365]  The event abruptly cancelled.
[00:59:46.365 --> 00:59:49.306]  Hundreds of demonstrators outside too.
[00:59:49.306 --> 00:59:54.967]  Two police officers injured and tonight, Donald Trump taking no responsibility for any of it.
[00:59:54.967 --> 01:00:01.049]  They are so obsessed with their psychosis that they can't even let go under the possibility of a Biden win.
[01:00:01.189 --> 01:00:05.290]  Before you leave today, I want you to answer this question for yourselves.
[01:00:05.290 --> 01:00:07.870]  Which side of history is my party actually on?
[01:00:07.870 --> 01:00:16.332]  Who will fight for thousands of people arrested throughout this summer of protests?
[01:00:16.332 --> 01:00:29.614]  Just this week, 45 launched Operation Legend, a grant by the Department of Justice that will provide millions of dollars to hire and deploy hundreds of new police officers to our cities.
[01:00:31.500 --> 01:00:35.283]  We just voted against Operation Legend, but that's not enough.
[01:00:35.283 --> 01:00:40.746]  But as the target becomes stealthier and unreachable, one outcome remains clear.
[01:00:40.746 --> 01:00:48.151]  Once there is no one left to blame but themselves, the left will eat itself due to its own self-destructive nature.
[01:00:48.951 --> 01:00:52.694]  Election results did little to calm unrest in Portland.
[01:00:52.694 --> 01:00:59.340]  Despite a clear win for Democrats in Oregon, the party's Northeast Portland headquarters was vandalized overnight.
[01:00:59.340 --> 01:01:11.270]  To be clear, no groups have taken responsibility for the vandalism, but the three-arrow symbol often associated with the anti-fascist movement appears on the building next to the word shame.
[01:01:11.730 --> 01:01:16.374]  You're here in sweatshirts and masks.
[01:01:16.374 --> 01:01:18.396]  Why do you wear masks?
[01:01:18.396 --> 01:01:20.018]  Why do you cover your faces?
[01:01:20.018 --> 01:01:26.424]  Masks are there for our own safety so we can continue to do this organizing without the fear of fascist or state repression.
[01:01:26.424 --> 01:01:29.627]  Joe Biden will now face their wrath.
[01:01:29.627 --> 01:01:33.130]  But even that won't save the left from itself.
[01:01:33.130 --> 01:01:34.311]  John Bowne reporting.
[01:01:52.242 --> 01:01:54.724]  America is in crisis.
[01:01:54.724 --> 01:01:59.569]  Emergency Lockdown 2 is coming under Biden.
[01:01:59.569 --> 01:02:05.834]  Support InfoWars, the fight against total economic collapse and Biden's martial law disguised as Lockdown 2.
[01:02:05.834 --> 01:02:14.762]  Up to 60% off, plus free shipping and triple Patriot points and more at InfoWarsStore.com, DNA Force, plus Alpha Power back in stock.
[01:02:14.762 --> 01:02:18.286]  Body's Ultimate Turmeric Formula, Ultra 12, VitaMineral Fusion,
[01:02:18.806 --> 01:02:19.487]  I think so.
[01:02:37.506 --> 01:02:38.807]  I want to thank you all for your support.
[01:02:38.807 --> 01:02:40.728]  I want to ask you to redouble your efforts to spread the word.
[01:02:40.728 --> 01:02:45.391]  I want to ask you to buy the products at InfoWareStore.com today, because without you, we won't be on the air.
[01:02:45.391 --> 01:02:46.872]  Again, I salute you and thank you all.
[01:02:46.872 --> 01:02:49.954]  The toll-free number is 888-253-3139.
[01:02:49.954 --> 01:02:55.217]  Please take action today in our emergency center.
[01:02:55.217 --> 01:02:57.919]  Waging war on corruption.
[01:02:57.919 --> 01:03:03.102]  It's Alex Jones, coming to you live from the front lines of the InfoWare.
[01:03:11.977 --> 01:03:13.238]  It is Monday, November 16th.
[01:03:13.238 --> 01:03:14.099]  The year is 2020.
[01:03:14.099 --> 01:03:17.441]  We are 65 days out from the inauguration.
[01:03:17.441 --> 01:03:31.452]  There's an internal civil war taking place inside the United States between patriots and Americans that want to maintain our sovereignty and election integrity and those that want to set up a private corporate world government where the United States is only a subsidiary of that system.
[01:03:31.452 --> 01:03:34.915]  But I thought we should look at the Great Reset.
[01:03:34.915 --> 01:03:37.797]  We should look at who's behind it because it's the Mount Olympus
[01:03:39.018 --> 01:04:01.224]  from which all of this policy and all this planning comes from and Bill Gates is only one person at that table but all the terrible things he says about depopulation and getting rid of the family and reducing the population by 80% that is all the agreed-upon goals of the cult who claim they're guardians of the planet when they themselves live the most
[01:04:03.146 --> 01:04:11.693]  Expensive and luxurious lifestyles with carbon footprints thousands of times that of a poor African.
[01:04:11.693 --> 01:04:16.676]  And of course, if you buy into their whole thing that carbon's bad, you've already lost the battle, but it's simply incredible.
[01:04:16.676 --> 01:04:17.997]  They know it's not bad.
[01:04:17.997 --> 01:04:26.364]  They know it's a way to track and trace and make all human activity an evil thing that they can license.
[01:04:26.364 --> 01:04:31.888]  The best way to do this right now is just to show you these headlines, then go back into them.
[01:04:31.888 --> 01:04:32.789]  So let's do it this way.
[01:04:34.312 --> 01:04:41.636]  The Great Reset trends on Twitter after Justin Trudeau says Corona pandemic has provided opportunity.
[01:04:41.636 --> 01:04:54.003]  And then he calls for an Agenda 2030, which is to give everybody free health care, free houses, free food, free transportation, and merge the third world with the first world.
[01:04:54.003 --> 01:04:55.604]  But then the actual policy
[01:04:57.188 --> 01:05:03.953]  Of Agenda 2030, and COVID is already causing millions to starve to death, hundreds of millions on the verge, they admit.
[01:05:03.953 --> 01:05:10.838]  So, what they say it does, versus what it does, is a total inversion as usual.
[01:05:10.838 --> 01:05:18.664]  In fact, let's just hear from the Canadian Prime Minister, the man-child, telling you it's Agenda 2030.
[01:05:18.664 --> 01:05:22.747]  Now remember, I first started covering Agenda 21 when I got on air in 1995.
[01:05:24.568 --> 01:05:28.172]  And it was an agreement out of Rio de Janeiro.
[01:05:28.172 --> 01:05:30.795]  It wasn't codified until a decade later.
[01:05:30.795 --> 01:05:34.239]  Never ratified by the U.S., but George Herbert Walker Bush signed on to it.
[01:05:34.239 --> 01:05:45.892]  Then, five years ago, they signed on to a new pact that the Congress never ratified, but our bureaucracy follows through UNESCO, United Nations Cultural Educational Cultural Organization.
[01:05:47.389 --> 01:05:53.851]  And the corporate money from Gates and others is given to you, whether you be governmental or private, if you follow it.
[01:05:53.851 --> 01:05:55.272]  So it's its own corporate government.
[01:05:55.272 --> 01:05:57.232]  That's why Trump tries to stop the lockdown.
[01:05:57.232 --> 01:06:00.134]  He can't, because we've already been absorbed partially.
[01:06:00.134 --> 01:06:02.754]  So we're in that twilight where we still have a government.
[01:06:02.754 --> 01:06:03.495]  It's under attack.
[01:06:03.495 --> 01:06:04.475]  They want to overthrow the police.
[01:06:04.475 --> 01:06:05.936]  They want to get rid of the president.
[01:06:05.936 --> 01:06:09.237]  They demonize every facet of our government because it has checks and balances.
[01:06:09.237 --> 01:06:10.477]  It isn't perfect.
[01:06:10.477 --> 01:06:12.438]  Because once they get their technocracy in place,
[01:06:13.680 --> 01:06:18.121]  They've really worked out the kinks on how to make you poor to control you and totally enslave your ass.
[01:06:18.121 --> 01:06:24.082]  Because you're fighting for food all day, you're not going to be worried about them flying above you in one of their jet helicopters.
[01:06:24.082 --> 01:06:33.624]  So here's Trudeau, total slimebag, anti-free speech, anti-gun, anti-family, sterilized five-year-old boys, Trudeau.
[01:06:33.624 --> 01:06:36.325]  Here he is, talking about what doesn't exist.
[01:06:36.325 --> 01:06:37.765]  Remember the New York Times?
[01:06:37.765 --> 01:06:40.186]  Full, full page articles ten years ago.
[01:06:40.186 --> 01:06:41.366]  Jones is insane!
[01:06:42.301 --> 01:06:52.304]  He says something called Agenda 21 will take over local communities for the UN and destroy families and get rid of economies.
[01:06:52.304 --> 01:06:54.305]  They said it didn't exist.
[01:06:54.305 --> 01:06:56.226]  That's how dumb they think their readers are.
[01:06:56.226 --> 01:06:58.086]  That's how dumb NPR listeners are.
[01:06:58.086 --> 01:07:00.947]  They say on there it doesn't exist.
[01:07:00.947 --> 01:07:02.848]  Then they pass Agenda 2030.
[01:07:02.848 --> 01:07:04.468]  It says you'll own nothing.
[01:07:04.468 --> 01:07:05.669]  You'll have nothing.
[01:07:05.669 --> 01:07:06.489]  It's the Great Reset.
[01:07:07.722 --> 01:07:08.403]  You have the U.N.
[01:07:08.403 --> 01:07:10.765]  version, that's June of 2030.
[01:07:10.765 --> 01:07:12.607]  Great Reset, that's the corporate version.
[01:07:12.607 --> 01:07:14.149]  They're exactly the same thing.
[01:07:14.149 --> 01:07:15.910]  Go read both documents.
[01:07:15.910 --> 01:07:17.993]  It's like, oh, free everything!
[01:07:17.993 --> 01:07:19.674]  Oh, no more poor people!
[01:07:19.674 --> 01:07:24.439]  Everything they do causes poor people, but consolidates power to them.
[01:07:24.439 --> 01:07:27.843]  So here is what Trudeau just had to say.
[01:07:30.077 --> 01:07:40.703]  Building back better means getting support to the most vulnerable while maintaining our momentum on reaching the 2030 Agenda for Sustainable Development and the SDGs.
[01:07:40.703 --> 01:07:43.564]  Canada is here to listen and to help.
[01:07:43.564 --> 01:07:47.526]  This pandemic has provided an opportunity for a reset.
[01:07:47.526 --> 01:07:58.412]  This is our chance to accelerate our pre-pandemic efforts to reimagine economic systems that actually address global challenges like extreme poverty, inequality and climate change.
[01:08:01.101 --> 01:08:02.541]  Remember what the UN said two years ago?
[01:08:02.541 --> 01:08:11.083]  They said disease X will hit us within three years, it will be caused by climate change, and it will be the reset for everything when things collapse.
[01:08:11.083 --> 01:08:25.507]  So he's like, we're gonna build back better, we're gonna collapse all your businesses, all your schools, all your systems, all your courts, fundamentally destroy everything, make people not work, pay them to not work, put them into debt, to us,
[01:08:26.894 --> 01:08:29.396]  And never let the lockdown end.
[01:08:29.396 --> 01:08:30.617]  Oh, that's never gonna end.
[01:08:30.617 --> 01:08:31.717]  Unless you come serve them.
[01:08:31.717 --> 01:08:35.020]  If you're a special member, then you don't have to wear a mask.
[01:08:35.020 --> 01:08:36.641]  And they even say, you take your inoculation.
[01:08:36.641 --> 01:08:37.401]  We don't care.
[01:08:37.401 --> 01:08:38.582]  The lockdown continues.
[01:08:38.582 --> 01:08:39.963]  Fauci said that it never ends.
[01:08:39.963 --> 01:08:41.564]  He said the mask never comes off.
[01:08:41.564 --> 01:08:42.325]  He said it yesterday.
[01:08:42.325 --> 01:08:44.186]  He said, and I don't care if you have a shot.
[01:08:44.186 --> 01:08:46.388]  I don't care you have your passport.
[01:08:46.388 --> 01:08:47.548]  It's a sign of fear.
[01:08:47.548 --> 01:08:48.589]  A sign of dirtiness.
[01:08:48.589 --> 01:08:49.930]  A sign of your submission.
[01:08:49.930 --> 01:08:50.911]  The sign of the burqa.
[01:08:50.911 --> 01:08:53.152]  They envy Islam.
[01:08:53.152 --> 01:08:54.073]  Well, the left merged with it.
[01:08:54.073 --> 01:08:55.314]  It's very sick.
[01:08:56.906 --> 01:09:02.309]  That's why the president's head scientist, head doctor said, you must rise up.
[01:09:02.309 --> 01:09:03.870]  You must!
[01:09:03.870 --> 01:09:06.131]  The courts have ruled what these governors are doing is illegal.
[01:09:06.131 --> 01:09:08.372]  They're following you in edicts.
[01:09:08.372 --> 01:09:12.214]  It's never gonna end!
[01:09:12.214 --> 01:09:14.595]  And they won't tell you.
[01:09:14.595 --> 01:09:22.279]  They won't even tell you that if you just have the right vitamins and minerals and sunlight, you can't even get these viruses.
[01:09:22.279 --> 01:09:24.800]  They want you in total fear.
[01:09:24.800 --> 01:09:25.441]  So let's continue.
[01:09:26.584 --> 01:09:34.066]  He's now up there just like Klaus Schwab said in his book and in Davos statements that, oh, it's never gonna end.
[01:09:34.066 --> 01:09:40.508]  We just use the virus as a way to shut down inequality and give everybody free stuff.
[01:09:40.508 --> 01:09:47.490]  Oh, you mean when I sign my rights away, you give me free stuff and then the whole economy falls apart and I starve to death later?
[01:09:47.490 --> 01:09:53.832]  They're literally telling you don't work, don't build, shut down so everything collapses and then they're gonna build back better
[01:09:55.196 --> 01:10:00.037]  Because there won't be any poverty because you'll be starved to death.
[01:10:00.037 --> 01:10:06.059]  The pandemic represents a rare but narrow window of opportunity to reflect, reimagine, and reset our world.
[01:10:06.059 --> 01:10:07.179]  Paul Watson wrote about it.
[01:10:07.179 --> 01:10:10.800]  He said one third of it is transhumanism, merging with the machine.
[01:10:10.800 --> 01:10:13.220]  The other third is socialism.
[01:10:13.220 --> 01:10:15.121]  And the other third is surveillance.
[01:10:17.199 --> 01:10:25.904]  And this is to cover up their inflation, cover up their banking scams, cover up their big bubbles with a new big bubble that's a global Marshall Plan, they say.
[01:10:25.904 --> 01:10:33.488]  When everybody's in a depression and nobody has a job and you wake up and they go, oh, COVID caused the depression, COVID caused the starvation.
[01:10:33.488 --> 01:10:41.133]  Oh, but the UN and the Davos Group and all these leaders, they're gonna save us from the depression and the starvation that COVID caused.
[01:10:41.133 --> 01:10:44.334]  And the weak-minded Stockholm Syndrome, NPR and CNN,
[01:10:45.765 --> 01:10:54.420]  Blackies and viewers are so weak-minded, they'll go along with, okay, I'm in a depression now, what do I do now?
[01:10:54.420 --> 01:10:55.622]  Well, and then they tell you.
[01:10:56.479 --> 01:10:58.380]  And then it just gets so disturbing from there.
[01:10:58.380 --> 01:11:03.985]  You have to agree to be sterilized, agree to have your kids go to training so they can, quote, change gender.
[01:11:03.985 --> 01:11:08.648]  They're like, oh, you have five years of credits in your card now because your kids aren't going to have kids.
[01:11:08.648 --> 01:11:13.932]  I mean, this is making it trendy to go get lined up and shot by the Nazis.
[01:11:13.932 --> 01:11:21.138]  And it's all run by Jean-Claude Juncker, the heir to the entire Nazi fortune that set all this up, and Klaus Schwab.
[01:11:21.138 --> 01:11:22.739]  I mean, you wonder where the Nazis went.
[01:11:22.739 --> 01:11:23.280]  This is them.
[01:11:24.684 --> 01:11:31.071]  But the people that created Hitler are the Rockefellers, and the Rothschilds, and there over here, Bill Gates is their man.
[01:11:31.071 --> 01:11:33.914]  Hitler was only a spinoff of this.
[01:11:33.914 --> 01:11:36.717]  Hitler was like baby Godzilla.
[01:11:36.717 --> 01:11:38.639]  This is the real Godzilla, ladies and gentlemen.
[01:11:40.632 --> 01:11:41.913]  I spent most of that segment on this.
[01:11:41.913 --> 01:11:43.353]  Let me get to the meat and potatoes here.
[01:11:43.353 --> 01:11:49.977]  When we come back, I'm going to show you what they said about the Great Reset, how they're using COVID-19 to do it, and where it's all going.
[01:11:49.977 --> 01:11:57.580]  And they're just celebrating at the Autobahn Society and the Nature Conservancy and all the Sierra Club and Earth First.
[01:11:57.580 --> 01:11:58.501]  Just like, yeah!
[01:11:59.364 --> 01:12:03.205]  You didn't let us have our carbon taxes to shut you down and have a depression, which it would have done.
[01:12:03.205 --> 01:12:11.388]  We'll just shut you down and lock you in your house where you can't use the carbon because it then destroys all that wealth that free energy creates.
[01:12:11.388 --> 01:12:14.029]  It's very inexpensive energy.
[01:12:14.029 --> 01:12:18.631]  And it, again, puts you back into feudalism, which is the favorite tool.
[01:12:18.631 --> 01:12:25.053]  Feudalism, that has serfs, is the most common form of government until the Renaissance of Christianity 550 years ago and the Magna Carta
[01:12:28.179 --> 01:12:29.660]  800 years ago.
[01:12:29.660 --> 01:12:31.362]  805 years ago.
[01:12:31.362 --> 01:12:33.223]  So, think about all that.
[01:12:33.223 --> 01:12:36.185]  This is a revolution against the goodness.
[01:12:36.185 --> 01:12:47.213]  A revolution against real liberalism is a counterfeit, fascist, communist model with meth-head devil-worshippers as their frontline armies and the mainstream corporate media and the chi-coms cheering them on.
[01:12:47.213 --> 01:12:48.293]  How disgusting.
[01:12:48.293 --> 01:12:49.214]  They're the establishment.
[01:12:49.214 --> 01:12:49.935]  We're the resistance.
[01:12:51.075 --> 01:13:06.227]  Election 2020 is here, and whether Trump wins or loses, we have all won by exposing the Communist Chinese, by exposing the globalists, by exposing the pedophile rings, by exposing the fact this is really a fight between good versus evil.
[01:13:06.227 --> 01:13:10.770]  Now, I'm personally a Christian, and I believe in God, and I know God's real, and I've experienced it in my life.
[01:13:10.770 --> 01:13:16.054]  But even if you don't believe in God, it's important to recognize that there is good in this world, there is evil.
[01:13:16.054 --> 01:13:19.317]  And there are people out there that want to do you harm because they enjoy doing bad.
[01:13:20.237 --> 01:13:30.132]  And what I see happening across the spectrum of different political views is people finally get that, they finally understand that they're not being naive anymore.
[01:13:30.132 --> 01:13:35.760]  Don't ever project your decency and your goodness onto other people until they've proven
[01:13:36.101 --> 01:13:36.662]  We're good to go.
[01:13:51.138 --> 01:13:54.859]  Cognitive dissonance is a major issue amongst the left.
[01:13:54.859 --> 01:13:59.181]  It can be very stressful dealing with facts you refuse to accept.
[01:13:59.181 --> 01:14:07.684]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of Ultimate Fish Oil from Infowarsstore.com.
[01:14:08.044 --> 01:14:24.671]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels, decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[01:14:24.671 --> 01:14:35.715]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[01:14:36.195 --> 01:14:44.679]  It worked for my family, and now I can have a logical and calm discussion about actual facts that pertain to reality.
[01:14:44.679 --> 01:14:53.964]  Get your ultimate fish oil for a friend, family member, or yourself at InfoWarsStore.com.
[01:14:53.964 --> 01:14:56.585]  You're listening to the Alex Jones Show.
[01:15:13.399 --> 01:15:19.301]  Woe to you, that go along with this system.
[01:15:19.301 --> 01:15:38.927]  The ultimate schmucks, that have been set up for total destruction.
[01:15:38.927 --> 01:15:40.007]  So people are freaking out.
[01:15:41.730 --> 01:15:42.850]  On the streets, everywhere.
[01:15:42.850 --> 01:15:47.411]  I already knew this days ago, but it's one of the top things trending on Twitter.
[01:15:47.411 --> 01:15:49.292]  Great reset.
[01:15:49.292 --> 01:15:54.533]  And suddenly all these Democrats and all these globalists are on NPR, BBC and CNN.
[01:15:54.533 --> 01:15:59.674]  Oh, COVID's a great opportunity for the great reset to help everyone that's been hurt by the lockdown.
[01:15:59.674 --> 01:16:03.775]  And we need a global reorganization and new rules and carbon taxes.
[01:16:03.775 --> 01:16:08.616]  And we're going to get locked back down for four to six months, but it's going to be beautiful after.
[01:16:10.862 --> 01:16:14.946]  And then by every metric, it'll be an irrevocable global depression that's already happening.
[01:16:14.946 --> 01:16:20.211]  It'll just make it five times worse.
[01:16:20.211 --> 01:16:23.634]  It'll kill tens of millions more people starving to death.
[01:16:23.634 --> 01:16:24.715]  Where they just don't make a big deal.
[01:16:24.715 --> 01:16:28.579]  You go home, you don't get food, you get sick from a common cold, you die.
[01:16:28.579 --> 01:16:31.301]  And they just go bury your ass.
[01:16:31.301 --> 01:16:33.543]  And Africa has been rebelling against this.
[01:16:33.543 --> 01:16:34.945]  Nigeria has been leading the charge.
[01:16:36.448 --> 01:16:43.732]  And so YouTube and Facebook take down accounts of Nigerian accounts that are real people, real hospital heads, going hundreds of thousands of starving to death.
[01:16:43.732 --> 01:16:45.053]  This is a nightmare.
[01:16:45.053 --> 01:16:46.374]  COVID is an overblown hoax.
[01:16:46.374 --> 01:16:48.155]  It's used an excuse to lock us down.
[01:16:48.155 --> 01:16:50.837]  We're not giving IMF World Bank money if we don't stay locked down.
[01:16:50.837 --> 01:16:53.458]  If we stay locked down, we go into deeper debt and can't pay off the debts.
[01:16:53.458 --> 01:16:54.079]  This is wrong.
[01:16:55.165 --> 01:16:58.907]  And so the head of the UN Food Program came out months after I called him out.
[01:16:58.907 --> 01:17:00.888]  He said, we need to stop the lockdowns.
[01:17:00.888 --> 01:17:02.409]  And the head envoy on COVID said that too.
[01:17:02.409 --> 01:17:05.370]  He goes, it is causing millions to starve already.
[01:17:05.370 --> 01:17:07.451]  Hundreds of millions could die.
[01:17:07.451 --> 01:17:08.252]  We're not for it.
[01:17:08.252 --> 01:17:10.473]  The nation states are bad.
[01:17:10.473 --> 01:17:12.414]  They should stop doing the lockdowns.
[01:17:12.414 --> 01:17:17.216]  But it was the UN and Fauci and the Chinese at the top that did it.
[01:17:17.216 --> 01:17:20.117]  The left hand over there doesn't know what they're doing.
[01:17:20.117 --> 01:17:22.198]  So the head of the program was like, it's true.
[01:17:22.198 --> 01:17:23.079]  Stop the lockdown.
[01:17:25.575 --> 01:17:28.156]  But the United Nations continues.
[01:17:28.156 --> 01:17:29.297]  Yeah, Blofeld.
[01:17:29.297 --> 01:17:31.638]  In fact, cue up from Russia With Love at the beginning.
[01:17:31.638 --> 01:17:36.441]  It's that same scene where there's the three Chinese fighting fish.
[01:17:36.441 --> 01:17:39.943]  He goes, ah, notice this month one lets the two hurt each other.
[01:17:39.943 --> 01:17:42.244]  One dies, now the other's sick and hurt.
[01:17:42.244 --> 01:17:45.505]  The other comes in to kill.
[01:17:45.505 --> 01:17:46.446]  And here's the thing.
[01:17:46.446 --> 01:17:48.587]  The Davos Group admits all this.
[01:17:48.587 --> 01:17:50.368]  They are getting fabulously rich.
[01:17:50.368 --> 01:17:51.929]  They're all invested in the vaccines.
[01:17:53.319 --> 01:17:54.539]  They're all invested in the lockdowns.
[01:17:54.539 --> 01:17:59.200]  They're all invested in big tech that's basically doubled its wealth the last 10 months.
[01:17:59.200 --> 01:18:09.003]  And now they're saying you're not essential, and Merkel's announcing an endless lockdown, and so is everybody else, but even stronger this time, because you didn't take enough of it.
[01:18:09.003 --> 01:18:16.945]  When the tests are made, almost all of them are false positive if you've ever had another viral infection or a bacterial infection.
[01:18:16.945 --> 01:18:22.646]  They've got them turned up so high that everybody's guilty, and then, oh, you don't just test positive,
[01:18:24.025 --> 01:18:32.630]  If the NIH or the National Health Service of the country says with contact tracing, I went to DC restaurants, they'd come up and like demand phone numbers of everybody.
[01:18:32.630 --> 01:18:34.471]  I wouldn't do it.
[01:18:34.471 --> 01:18:36.052]  For contact tracing, you know, keep you safe.
[01:18:36.052 --> 01:18:38.714]  And then, oh, somebody in here tested positive.
[01:18:38.714 --> 01:18:40.595]  Your phone's in a database now.
[01:18:40.595 --> 01:18:44.297]  And oh, you get a call, you need to go quarantine 14 days.
[01:18:44.297 --> 01:18:49.701]  In the future, everybody's got to have an app to go out for COVID 2.0, COVID 3.0.
[01:18:49.701 --> 01:18:53.363]  They've got movies coming out like Songbird, big Hollywood movies.
[01:18:54.895 --> 01:19:03.960]  Where, you know, it's 2023 and tens of millions have died of COVID and we can't leave our houses.
[01:19:03.960 --> 01:19:07.142]  I mean, this is what they're doing!
[01:19:07.142 --> 01:19:08.203]  And they're all smiling.
[01:19:08.203 --> 01:19:09.323]  Oh, you want to go to globalism?
[01:19:09.323 --> 01:19:10.984]  You want to get out of the New World Order?
[01:19:10.984 --> 01:19:13.146]  Oh, you don't want to open your borders up?
[01:19:13.146 --> 01:19:15.707]  Oh, you don't want to teach your five-year-old that he's a girl?
[01:19:15.707 --> 01:19:16.588]  Five-year-old son?
[01:19:16.588 --> 01:19:18.769]  Well, how about we lock your ass down forever?
[01:19:18.769 --> 01:19:20.450]  So what does the White House chief scientist say?
[01:19:20.450 --> 01:19:22.051]  He goes, you must overthrow it.
[01:19:22.847 --> 01:19:24.048]  You must resist it.
[01:19:24.048 --> 01:19:26.791]  What's the exact quote?
[01:19:26.791 --> 01:19:34.778]  Trump COVID advisor, the only way to stop this is for the people to rise up.
[01:19:34.778 --> 01:19:36.279]  Yeah, now you know how real Trump is.
[01:19:36.279 --> 01:19:37.560]  You know how surrounded he is.
[01:19:37.560 --> 01:19:42.525]  You know that he's been in desperate straits like I told you the whole time, barely staying above water.
[01:19:45.094 --> 01:19:47.135]  I heard online we're secretly winning.
[01:19:47.135 --> 01:19:48.996]  We don't need to get in the game.
[01:19:48.996 --> 01:19:51.178]  But now you know you need to get in the game.
[01:19:51.178 --> 01:19:53.599]  And so the Trump crowds are even bigger than they've ever been.
[01:19:53.599 --> 01:19:54.740]  Good job, folks.
[01:19:54.740 --> 01:19:58.702]  I'm going to Atlanta, Georgia.
[01:19:58.702 --> 01:19:59.623]  And I'll be there tomorrow night.
[01:20:00.669 --> 01:20:05.293]  I'm gonna be there on Wednesday and Thursday because they're trying to certify it on Thursday illegally.
[01:20:05.293 --> 01:20:10.018]  The legislature is trying to demand the governor call an emergency session to look at the fraud.
[01:20:10.018 --> 01:20:12.340]  If we get this victory, it's everything.
[01:20:12.340 --> 01:20:14.922]  I need that governor's mansion covered now.
[01:20:14.922 --> 01:20:16.063]  I don't care if you're in Virginia.
[01:20:16.063 --> 01:20:17.765]  I don't care if you're in West Virginia.
[01:20:17.765 --> 01:20:18.846]  I don't care if you're in Maryland.
[01:20:18.846 --> 01:20:20.647]  I don't care if you're in Kentucky.
[01:20:20.647 --> 01:20:21.789]  I don't care if you're Tennessee.
[01:20:21.789 --> 01:20:23.450]  I don't care if you're Mississippi, Florida.
[01:20:23.450 --> 01:20:24.971]  I don't care if you're in frickin' Hawaii.
[01:20:25.652 --> 01:20:32.938]  But especially if you're in Florida, you get your ass to Atlanta, Georgia for that governor's mansion now.
[01:20:32.938 --> 01:20:36.901]  And you surround it because he works with the Clintons.
[01:20:36.901 --> 01:20:47.149]  On record, trying to certify this fraud and to certify that they're allowed to count ballots after they came in and were allowed to make this agreement outside a law that violates state law and the legislature.
[01:20:50.182 --> 01:20:53.543]  We had a week to plan the close to a million people that showed up in D.C.
[01:20:53.543 --> 01:20:55.044]  that police are now saying.
[01:20:55.044 --> 01:20:57.665]  It just stretched on for hours.
[01:20:57.665 --> 01:21:02.007]  The march has been going on for 2-3 hours at its destination and there were crowds everywhere trying to get to it.
[01:21:02.007 --> 01:21:03.267]  The roads were all jammed up.
[01:21:03.267 --> 01:21:04.027]  You couldn't even go through it.
[01:21:04.027 --> 01:21:09.490]  People asked why I had a phalanx of like 40 security people.
[01:21:09.490 --> 01:21:12.031]  We had to have that to just cut through and get where we were going.
[01:21:12.031 --> 01:21:12.831]  It was so clogged.
[01:21:13.834 --> 01:21:24.897]  Wall-to-wall like a mosh pit for three-plus miles from Freedom Square all the way up to the Supreme Court.
[01:21:24.897 --> 01:21:29.558]  Well, get your ass, ladies and gentlemen, Paul Revere's now to Florida.
[01:21:29.558 --> 01:21:30.658]  You think I want to jump on a plane?
[01:21:30.658 --> 01:21:31.678]  You think I want to do all that?
[01:21:31.678 --> 01:21:33.519]  You think I want to go down and... No, I got to do it.
