[00:00:13.112 --> 00:00:19.157]  Ladies and gentlemen,
[01:04:11.954 --> 01:04:15.497]  Purdue Pharma is best known as the developer of OxyContin.
[01:04:15.497 --> 01:04:21.742]  The company is facing billions of dollars in potential liability for its role in the nation's opioid crisis.
[01:04:22.282 --> 01:04:27.066]  Automobiles kill hundreds of thousands of people a year.
[01:04:27.066 --> 01:04:36.093]  But again, they hype up mass shootings because it is scary to think you can go to the movie theater or go to the shopping mall and then some crazy person comes in and kills you.
[01:04:36.093 --> 01:04:36.513]  But out of 300
[01:04:38.632 --> 01:04:38.772]  I think?
[01:04:56.309 --> 01:04:56.869]  Red flag!
[01:04:56.869 --> 01:04:59.470]  Paul Johnson for Watson with Summit.News and Action 7 News.
[01:04:59.470 --> 01:05:00.590]  We're here in Hong Kong.
[01:05:00.590 --> 01:05:03.051]  This is Savannah Hernandez for InfoWars.com.
[01:05:03.051 --> 01:05:07.072]  I'm reporting to you from Hong Kong where I'm joined by reporter Greg Rees for the next week.
[01:05:07.072 --> 01:05:09.872]  This is Greg Rees for InfoWars.com in Hong Kong.
[01:05:09.872 --> 01:05:14.753]  Our recent trip to Hong Kong was a new achievement for InfoWars.com.
[01:05:14.753 --> 01:05:22.795]  Despite being the most banned broadcast in the free world, we continue to win because of our great, strong, loyal audience.
[01:05:22.795 --> 01:05:25.536]  We have Dan Lyman covering InfoWars Europe.
[01:05:26.036 --> 01:05:28.557]  Paul Joseph Watson in the UK.
[01:05:28.557 --> 01:05:32.139]  Millie Weaver and Caitlin Bennett in the American heartland.
[01:05:32.139 --> 01:05:39.302]  And from Austin, Texas, a team of reporters and crew ready to be dispatched wherever the story is going down.
[01:05:39.302 --> 01:05:43.024]  We are not done winning, and with your support, we will keep winning.
[01:05:43.024 --> 01:05:44.464]  We have to keep winning!
[01:05:44.464 --> 01:05:45.745]  We have to win more!
[01:05:45.905 --> 01:05:48.286]  Go to InfoWarsStore.com.
[01:05:48.286 --> 01:05:58.489]  You have gone to InfoWarsStore.com and gotten books and films, supplements and t-shirts, and water filtration, air filtration, and things you'd need!
[01:05:58.489 --> 01:06:05.412]  Live from the InfoWars.com studios, you're listening to the Alex Jones Show.
[01:06:05.412 --> 01:06:14.135]  Welcome back, ladies and gentlemen.
[01:06:14.135 --> 01:06:15.215]  I'm Alex Jones, your host.
[01:06:17.907 --> 01:06:21.009]  Almost every federal agency has been turned against the First Amendment.
[01:06:21.009 --> 01:06:26.593]  The government is running the takeover of the internet, not just here, but all over the world.
[01:06:26.593 --> 01:06:29.955]  It's not Big Tech calling the shots, it's the Democrats.
[01:06:29.955 --> 01:06:41.102]  And I'm going to show you the proof at the FCC, as well as the FTC, the Federal Trade Commission, as well as the Federal Election Commission, the FEC.
[01:06:41.102 --> 01:06:43.644]  I'm going to show you all those articles.
[01:06:43.644 --> 01:06:45.365]  You're a TV viewer here in a moment.
[01:06:45.365 --> 01:06:46.646]  But first, here's the big issue.
[01:06:48.286 --> 01:06:50.727]  Trump was never in government, which is a plus.
[01:06:50.727 --> 01:06:54.288]  But it's also a minus because he knows censorship's going on.
[01:06:54.288 --> 01:07:00.390]  He's been shown that Google and Apple and Facebook are lying to Congress and lying to him, and he's mad about it.
[01:07:00.390 --> 01:07:05.651]  And he said he's going to take major action.
[01:07:05.651 --> 01:07:08.392]  But that's not what's happening.
[01:07:09.537 --> 01:07:12.798]  Ladies and gentlemen, so here's some of the headlines.
[01:07:12.798 --> 01:07:13.119]  U.S.
[01:07:13.119 --> 01:07:17.080]  unleashes military to fight fake news disinformation.
[01:07:17.080 --> 01:07:24.303]  And it goes on to say viral memes, anything that sows discord, anything that gets people upset.
[01:07:24.303 --> 01:07:31.446]  We're supposed to be upset about 60 million abortions it's almost up to now, and now keeping babies alive after they're born.
[01:07:31.446 --> 01:07:33.907]  We're supposed to get upset about the homeless problem.
[01:07:33.907 --> 01:07:37.469]  We're supposed to get upset about obesity and diabetes and breast cancer.
[01:07:38.325 --> 01:07:42.489]  You're supposed to get upset about when your kids are doing bad in school.
[01:07:42.489 --> 01:07:44.511]  But imagine saying you're not allowed to do that.
[01:07:44.511 --> 01:07:47.513]  I'm gonna read you congressional testimony.
[01:07:47.513 --> 01:07:53.979]  What the FCC's being told, what the FEC's being told, what all these groups are saying.
[01:07:53.979 --> 01:07:59.324]  US unleashes military to fight fake news disinformation.
[01:07:59.324 --> 01:08:00.725]  That's Yahoo News, Bloomberg.
[01:08:04.124 --> 01:08:11.507]  And they go on to say that Mitch McConnell hasn't supported it because he's Moscow Mitch.
[01:08:11.507 --> 01:08:14.068]  Moscow doesn't have 1% influence over this country.
[01:08:14.068 --> 01:08:15.688]  Everybody knows it.
[01:08:15.688 --> 01:08:17.649]  The Chai Comps.
[01:08:17.649 --> 01:08:25.732]  But again, even Mitch McConnell is called a Russian agent in the biggest story this weekend they pushed.
[01:08:25.732 --> 01:08:27.733]  Continuing this story on DrudgeReport.com.
[01:08:27.733 --> 01:08:32.415]  Pentagon launches new program to fight viral internet content.
[01:08:32.415 --> 01:08:33.215]  Anything that is
[01:08:34.608 --> 01:08:36.852]  Influential, that the establishment doesn't control.
[01:08:36.852 --> 01:08:40.037]  They're afraid of your influence.
[01:08:40.037 --> 01:08:43.342]  All these old globalists thought you'd always love mainstream TV, mainstream newspapers.
[01:08:43.342 --> 01:08:43.823]  You don't.
[01:08:43.823 --> 01:08:44.825]  You don't trust them.
[01:08:44.825 --> 01:08:48.050]  So now they're just saying, we'll get rid of everybody else.
[01:08:48.050 --> 01:08:48.811]  Because Google...
[01:08:50.071 --> 01:08:51.792]  And Facebook.
[01:08:51.792 --> 01:08:54.454]  70% of people only get their news there.
[01:08:54.454 --> 01:08:55.395]  Continuing.
[01:08:55.395 --> 01:09:01.160]  Liberal FEC chairwoman targets online news she considers fraudulent.
[01:09:01.160 --> 01:09:02.921]  Federal Election Commission.
[01:09:02.921 --> 01:09:06.464]  Same thing the FCC was talking about a few years ago.
[01:09:06.464 --> 01:09:11.648]  Restricting talk radio, making views on pro-life, guns, you name it.
[01:09:11.648 --> 01:09:12.889]  Because, well, that's political!
[01:09:12.889 --> 01:09:14.230]  We control that!
[01:09:14.230 --> 01:09:18.153]  No, it's the First Amendment.
[01:09:18.153 --> 01:09:18.853]  And it goes on.
[01:09:20.111 --> 01:09:22.733]  They said they want to stop the Russian efforts in 2020.
[01:09:22.733 --> 01:09:26.835]  You mean the populist effort to make America great again.
[01:09:26.835 --> 01:09:32.479]  Here's another one from World Net Daily reporting on public affairs, the Washington Post article.
[01:09:32.479 --> 01:09:37.402]  Obama used illegal propaganda on Americans, so they legalized it.
[01:09:37.402 --> 01:09:38.182]  That's the headline.
[01:09:38.182 --> 01:09:38.963]  Anybody can type it in.
[01:09:40.535 --> 01:09:46.040]  Obama legalizes using propaganda on Americans inside the U.S.
[01:09:46.040 --> 01:09:47.721]  That was six years ago.
[01:09:47.721 --> 01:09:50.263]  And that's what this is now.
[01:09:50.263 --> 01:09:55.707]  GOP freezes Twitter spending after McConnell account locked.
[01:09:55.707 --> 01:09:56.148]  There it is.
[01:09:56.148 --> 01:09:58.349]  NDA legalizes use of propaganda on U.S.
[01:09:58.349 --> 01:09:59.030]  public.
[01:09:59.030 --> 01:09:59.931]  Business Insider.
[01:09:59.931 --> 01:10:01.752]  This is what they're doing.
[01:10:01.752 --> 01:10:05.195]  Tulsi Gabbard sues Google over post-debate suspension.
[01:10:05.195 --> 01:10:07.357]  When she surged to number one, they just suspended her.
[01:10:08.922 --> 01:10:11.924]  Not because she's a terrorist.
[01:10:11.924 --> 01:10:13.545]  Not because she's a Nazi.
[01:10:13.545 --> 01:10:17.248]  But again, even if you're a Nazi, you shouldn't have your speech taken because then anybody can be called a Nazi.
[01:10:17.248 --> 01:10:19.089]  No, because she won the debate.
[01:10:19.089 --> 01:10:20.910]  And you can't have that.
[01:10:20.910 --> 01:10:23.893]  Google promises to stop lying because of Drudge Report Spotlight.
[01:10:23.893 --> 01:10:25.294]  Remember 2013?
[01:10:25.294 --> 01:10:28.096]  They had a Pentagon meeting.
[01:10:28.096 --> 01:10:29.296]  Government promises.
[01:10:29.296 --> 01:10:34.040]  Had a Freudian slip and said, Google, same thing, to stop lying because of Drudge Report Spotlight.
[01:10:35.043 --> 01:10:39.886]  Facebook censorship alternative media just the beginning warns top neocon insider.
[01:10:39.886 --> 01:10:46.710]  Infowars ran the story from Grayzone Project over a year ago.
[01:10:46.710 --> 01:10:47.970]  And there it all is.
[01:10:47.970 --> 01:10:53.133]  He said, oh, by next year, we're going to censor all conservatives, all nationalists, everybody.
[01:10:53.133 --> 01:10:54.114]  You can watch the video.
[01:10:55.196 --> 01:11:00.318]  Where he says he's going to censor everybody and that the neocons are in control of the Democrats.
[01:11:00.318 --> 01:11:01.539]  And you saw this last week.
[01:11:01.539 --> 01:11:03.700]  YouTube acts as anti-protest.
[01:11:03.700 --> 01:11:06.281]  YouTube acts as anti-protest channels as U.S.
[01:11:06.281 --> 01:11:07.841]  military, U.S.
[01:11:07.841 --> 01:11:11.443]  Ministry of Truth, battles China over Hong Kong.
[01:11:11.443 --> 01:11:21.307]  Now, I support Hong Kong independence, but the Pentagon supports it too, and so they went to YouTube and said, don't let
[01:11:22.827 --> 01:11:29.072]  The channels that are against independence operate, delete them.
[01:11:29.072 --> 01:11:33.255]  Again, proving right there, Mr. President, the government's in control of this.
[01:11:33.255 --> 01:11:36.617]  And Hillary supports independence in Hong Kong.
[01:11:36.617 --> 01:11:40.460]  Just gives her more power or whatever, not for the people.
[01:11:40.460 --> 01:11:43.042]  But I support it because it's the right thing to do.
[01:11:43.042 --> 01:11:46.384]  Just because Hillary and I agree every once in a while doesn't mean she's a good person.
[01:11:46.384 --> 01:11:50.227]  But again, this is illustrative of how they censor whatever they want, whenever they want.
[01:11:50.227 --> 01:11:51.748]  So it was decided in government
[01:11:53.362 --> 01:11:56.324]  By these councils, by these groups, that I be censored.
[01:11:56.324 --> 01:11:58.326]  I'm going to show you the proof.
[01:11:58.326 --> 01:12:00.147]  Hell, all the congressional testimony, everybody's seen it.
[01:12:00.147 --> 01:12:05.131]  I'm going to show you more in a moment.
[01:12:05.131 --> 01:12:05.752]  Here it is.
[01:12:05.752 --> 01:12:09.074]  Obama quietly signs the Counter Disinformation Propaganda Act into law.
[01:12:09.074 --> 01:12:15.920]  This is what leaves all these Democrats and all these neocons with government positions and government paychecks.
[01:12:17.978 --> 01:12:25.142]  And national security clearances to do this in the defense spending to stop Trump.
[01:12:25.142 --> 01:12:27.303]  Isn't that incredible?
[01:12:27.303 --> 01:12:27.703]  U.S.
[01:12:27.703 --> 01:12:31.725]  unleashes military to fight fake news, disinformation, Bloomberg.
[01:12:31.725 --> 01:12:36.447]  You read the quotes, it says anything viral?
[01:12:36.447 --> 01:12:37.888]  Anything they don't like.
[01:12:37.888 --> 01:12:40.249]  Anything the establishment doesn't like.
[01:12:40.249 --> 01:12:41.210]  And here's some of the other articles.
[01:12:42.338 --> 01:12:42.758]  Drudge.
[01:12:42.758 --> 01:12:45.579]  Fox News could be censored under new federal rules.
[01:12:45.579 --> 01:12:47.120]  Experts warns.
[01:12:47.120 --> 01:12:48.981]  FCC.
[01:12:48.981 --> 01:12:51.421]  Federal Communications Commission.
[01:12:51.421 --> 01:12:52.562]  It's all these agencies.
[01:12:52.562 --> 01:12:58.964]  Talking about FTC earlier and I was again mixing it in with talking to someone from the FCC.
[01:12:58.964 --> 01:13:06.807]  Don't want to mix those two but they're all following the same policy because the globalists are in control of that whole operation.
[01:13:06.807 --> 01:13:08.708]  Now let me move to the big enchilada.
[01:13:10.191 --> 01:13:13.372]  I can read you the countlessinfowars.com articles with links and quotes.
[01:13:13.372 --> 01:13:22.816]  I can read you the Endless Zero Hedge articles a year before Matt Taibbi wrote about it in three articles for Rolling Stone.
[01:13:22.816 --> 01:13:23.596]  We reported it in 2016 and 2017.
[01:13:23.596 --> 01:13:24.796]  He reported it in 2018.
[01:13:31.313 --> 01:13:39.256]  August 13, 2018 and August 2nd, 2018, right when I was being completely banned.
[01:13:39.256 --> 01:13:43.678]  Taibbi, censorship does not end well.
[01:13:43.678 --> 01:13:57.862]  And he goes on to quote, with links, how the CIA and Homeland Security through the think tank, the Atlantic Council, and I had a Freudian failure brain fart.
[01:13:57.862 --> 01:13:59.723]  I said 20 countries, I'm sorry.
[01:14:01.494 --> 01:14:03.396]  It's more than 20 countries.
[01:14:03.396 --> 01:14:22.737]  So two weeks ago, we learned about a new campaign against inauthentic content conducted by Facebook in consultation with Congress and the secretive think tank Atlantic Council, whose board includes an array of ex-CIA and Homeland Security officials who still have security clearances, in the name of crashing down on alleged Russian disinformation.
[01:14:22.737 --> 01:14:23.278]  That's their cover.
[01:14:24.568 --> 01:14:26.069]  For cracking down on the American people.
[01:14:26.069 --> 01:14:39.098]  As part of the bizarre alliance of internet news distributors and quasi-government censors, the social network zapped 32 accounts and pages, including an ad for No Unite Right Anti-Fascist Counter Rally.
[01:14:39.098 --> 01:14:45.762]  It goes on that they banned the Ron Paul Institute and AntiWar.com.
[01:14:45.762 --> 01:14:48.204]  And Scott Horton, who's a smart guy but very mild.
[01:14:49.264 --> 01:14:58.587]  Both the Jones situation and Facebook Atlantic Council deletions seem an effort to fulfill a request made last year by Senate Judiciary Committee.
[01:14:58.587 --> 01:15:10.490]  Last October, Facebook, Google, and Twitter were asked by Hawaii Senator Mazie Izono to draw up a mission statement to prevent the foment of discord in the official Senate
[01:15:11.223 --> 01:15:12.724]  Proposal.
[01:15:12.724 --> 01:15:15.086]  Prevent the foment of discord.
[01:15:15.086 --> 01:15:20.490]  The Democrats are saying, if you see them getting gas or in a mall or a restaurant, you get in their face.
[01:15:20.490 --> 01:15:24.273]  Or CNN praised when Congressman Scalise got shot and said the guy wasn't a monster that did it.
[01:15:24.273 --> 01:15:28.937]  I mean, I played clips last week where they said, flatten them, burn them down, destroy them.
[01:15:28.937 --> 01:15:30.898]  Mainline host.
[01:15:30.898 --> 01:15:34.321]  But they're saying, if we foment, saying this is dangerous, let's do something.
[01:15:35.798 --> 01:15:42.602]  Oh, we need to be shut down by the CIA and a private consortium with Defense Department money.
[01:15:42.602 --> 01:15:43.963]  Trump!
[01:15:43.963 --> 01:15:45.864]  This is the Achilles heel!
[01:15:45.864 --> 01:15:47.285]  This is the jugular!
[01:15:47.285 --> 01:15:48.546]  This is everything!
[01:15:48.546 --> 01:15:50.827]  What they're doing is beyond Russiagate!
[01:15:50.827 --> 01:15:52.248]  This is criminal!
[01:15:52.248 --> 01:15:53.929]  And you're sitting there letting them do it!
[01:15:55.839 --> 01:16:01.583]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[01:16:01.583 --> 01:16:06.687]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[01:16:06.687 --> 01:16:14.412]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[01:16:14.412 --> 01:16:22.278]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[01:16:22.438 --> 01:16:24.239]  Not a security IPO or note.
[01:16:24.239 --> 01:16:33.763]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[01:16:33.763 --> 01:16:34.603]  Don't miss this one.
[01:16:34.603 --> 01:16:35.904]  Stake your claim today.
[01:16:35.904 --> 01:16:36.184]  Call 800-600-3388.
[01:16:36.184 --> 01:16:36.484]  That's 800-600-3388.
[01:16:36.484 --> 01:16:38.605]  These valuable lease contracts won't last long.
[01:16:38.605 --> 01:16:38.885]  Call now 800-600-3388.
[01:16:38.885 --> 01:16:38.925]  800-600-3388.
[01:16:48.869 --> 01:16:49.590]  We're good to go.
[01:17:10.225 --> 01:17:13.287]  They're perfect for your bug out bag or storing in your vehicle.
[01:17:13.287 --> 01:17:17.451]  Give yourself and your loved ones the excitement and tradition of Slingbow.
[01:17:17.451 --> 01:17:22.034]  A new frontier in archery and truly modern twist on this primitive survival tool.
[01:17:22.034 --> 01:17:25.297]  Feel the thrill only at slingbow.com.
[01:17:25.297 --> 01:17:26.538]  Hi, I'm Dan Pilla.
[01:17:26.538 --> 01:17:30.441]  I started fighting the iris over 40 years ago when they tried to seize my mother's house.
[01:17:30.441 --> 01:17:31.982]  I sued the iris and won.
[01:17:31.982 --> 01:17:34.504]  I beat the iris then and I've been beating them ever since.
[01:17:34.924 --> 01:17:40.491]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[01:17:40.491 --> 01:17:41.692]  I can help you, too.
[01:17:41.692 --> 01:17:44.636]  If you owe taxes you can't pay, don't wait another day.
[01:17:44.636 --> 01:17:46.859]  There's no such thing as a hopeless tax case.
[01:17:46.859 --> 01:17:51.304]  Call 800-34-NO-TAX or go to my website, DanPilla.com.
[01:17:51.304 --> 01:17:53.006]  That's DanPilla.com.
[01:17:53.006 --> 01:17:53.647]  DanPilla.com.
[01:17:56.701 --> 01:18:00.665]  At Infowars Life, we always try to bring you game-changing products.
[01:18:00.665 --> 01:18:05.050]  Now, we've already been promoting and selling Super Silver Wound Gel for over a year.
[01:18:05.050 --> 01:18:06.091]  It's a bestseller.
[01:18:06.091 --> 01:18:07.793]  It is the best you can get.
[01:18:07.793 --> 01:18:10.896]  A 100% review rate on power reviews.
[01:18:10.896 --> 01:18:12.078]  Well, now we teamed up with them.
[01:18:12.458 --> 01:18:16.062]  And came out with two different types of skin cream.
[01:18:16.062 --> 01:18:18.605]  One is naturally scented with grapefruit essential oils.
[01:18:18.605 --> 01:18:20.327]  The other is unscented.
[01:18:20.327 --> 01:18:25.733]  It's got hyaluronic acid, vitamin E, essential oils from grapefruit.
[01:18:25.733 --> 01:18:28.576]  It's got coconut oil and so much more.
[01:18:28.576 --> 01:18:30.779]  And this patented nano type
[01:18:30.999 --> 01:18:34.242]  of silver that has been proven to be the most effective and the best.
[01:18:34.242 --> 01:18:40.428]  It's got all these other great vitamins and compounds that are known to be wonderful for your skin.
[01:18:40.428 --> 01:18:46.333]  If you're a woman, man, if you were a child, we are so excited about the new Super Silver Skin Cream.
[01:18:46.333 --> 01:18:49.116]  We have it in the smaller tube and the large tube.
[01:18:49.116 --> 01:18:52.319]  It's very, very affordable and it funds our operations.
[01:18:52.319 --> 01:18:55.442]  Check it out today and get yours at Infowarslife.com.
[01:18:57.595 --> 01:19:02.780]  It's been a year since InfoWars and our other channels were completely banned off of YouTube.
[01:19:02.780 --> 01:19:10.706]  We had over 5 billion views when we got banned, and we're credited with getting Donald Trump elected because we were able to punch through and reach the grassroots.
[01:19:10.706 --> 01:19:19.714]  Now as we enter the 2020 election cycle, it's more important than ever that there be a place where the censors are unable to block the signal, and it's now here.
[01:19:19.714 --> 01:19:20.474]  Banned.video.
[01:19:21.475 --> 01:19:36.046]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[01:19:36.046 --> 01:19:39.889]  Watch your favorite content from media personalities banned by big tech.
[01:19:39.889 --> 01:19:41.050]  Works on every device.
[01:19:41.050 --> 01:19:43.912]  Take your shows on the go with banned.video.
[01:19:44.252 --> 01:19:50.456]  Watch live shows, on-demand content, and join in on the conversation from anywhere with Band.Video.
[01:19:50.456 --> 01:19:54.439]  Share videos with your friends via Facebook, Twitter, SMS, email, and more.
[01:19:54.439 --> 01:19:59.802]  Band.Video.
[01:19:59.802 --> 01:20:02.404]  You're listening to the Alex Jones Show.
[01:20:08.143 --> 01:20:10.064]  The answer to 1984 is 1776.
[01:20:10.064 --> 01:20:21.093]  You're listening to the Alex Jones Show.
[01:20:21.093 --> 01:20:27.658]  On the September 3rd, 2019, Tuesday broadcast, I have an emergency message to President Trump and the people of the world.
[01:20:27.658 --> 01:20:33.362]  The Democrats now admit what the defense budget of 2017 stated.
[01:20:33.362 --> 01:20:36.384]  Obama put $2 billion in that we know of.
[01:20:36.384 --> 01:20:37.185]  There's obviously more.
[01:20:38.274 --> 01:20:42.735]  To put Democrats and key never-Trumpers in positions of power in U.S.
[01:20:42.735 --> 01:20:53.219]  intelligence agencies and in think tanks like the Atlantic Council to run a giant disinformation operation against the populist awakening and against the American people.
[01:20:53.219 --> 01:20:57.980]  And now they admit they plan to steal the election from President Trump in 2020.
[01:20:57.980 --> 01:21:07.763]  And they're running leftist intelligence operatives as Republicans and as Democrats everywhere to sabotage this and bring in gun confiscation as well.
[01:21:09.977 --> 01:21:12.098]  This is totally illegal.
[01:21:12.098 --> 01:21:13.999]  It's beyond authoritarian.
[01:21:13.999 --> 01:21:16.280]  It's what happens in third world regimes.
[01:21:16.280 --> 01:21:18.301]  And it's here.
[01:21:18.301 --> 01:21:22.403]  And even Rolling Stone and others are reporting it all.
[01:21:22.403 --> 01:21:26.245]  That the Atlantic Council and the CIA is running it.
[01:21:26.245 --> 01:21:30.367]  And they're going to get rid of all human communication on the internet that isn't synthetic.
[01:21:30.367 --> 01:21:32.368]  You won't be able to like YouTubes.
[01:21:32.368 --> 01:21:33.629]  You won't be able to like Facebooks.
[01:21:33.629 --> 01:21:34.809]  It's being announced.
[01:21:34.809 --> 01:21:36.170]  Everything will be filtered.
[01:21:37.637 --> 01:21:44.102]  Everything will be controlled because the establishment thought, oh we don't care about websites and people, they'll always believe the New York Times and CNN.
[01:21:44.102 --> 01:21:53.669]  But because no one believes them anymore and they're fake polls, they have panicked and have decided to overturn the entire apple cart.
[01:21:53.669 --> 01:21:59.353]  And if we allow this to happen, if we let them bring in Chinese Communist all-censorship, it'll be a new dark age in this nation.
[01:21:59.353 --> 01:22:02.336]  They're arresting people all over Europe for criticizing Islam.
[01:22:03.194 --> 01:22:06.595]  Or parents that don't want their children to be indoctrinated into homosexuality.
[01:22:06.595 --> 01:22:09.157]  It's so dangerous!
[01:22:09.157 --> 01:22:12.258]  The establishment has decided to go with pure authoritarianism.
[01:22:12.258 --> 01:22:22.802]  And they say in the Senate report, anyone that tries to foment discord, they said, these groups must prevent the foment of discord.
[01:22:22.802 --> 01:22:25.163]  And it's being announced by Bloomberg, the U.S.
[01:22:25.163 --> 01:22:30.786]  unleashes military to fight fake news, disinformation, quote, anything that's viral.
[01:22:32.253 --> 01:22:47.659]  So now populist loyal Americans are Russian agents and they're using intelligence agencies against us and Obama before he left office legalized domestic propaganda and domestic spying as if we're a foreign power by listing us all as Russians.
[01:22:48.579 --> 01:22:53.842]  Well, they're the globalists on the payroll of the chi-coms opposing our president trying to restore our republic.
[01:22:53.842 --> 01:23:00.646]  Here's a compilation of the last week and then some older clips showing you it's ongoing of Democrats saying we're going to kill Trump.
[01:23:00.646 --> 01:23:02.387]  We're going to assault his supporters.
[01:23:02.387 --> 01:23:03.328]  We're going to level them.
[01:23:03.328 --> 01:23:04.409]  We're going to burn them down.
[01:23:05.410 --> 01:23:15.694]  Trying to get their minions to attack us, and then when we say that's wrong, we should take our government back peacefully and restore the republic, they call that fomenting and censor us!
[01:23:15.694 --> 01:23:18.154]  Even the Senate Majority Leader's been censored.
[01:23:18.154 --> 01:23:21.736]  Trump ads that say we want strong women have been censored on Facebook!
[01:23:21.736 --> 01:23:23.116]  And they're standing by it.
[01:23:23.116 --> 01:23:24.937]  Because they don't respect the President.
[01:23:24.937 --> 01:23:28.178]  Because they believe he doesn't understand what Obama did.
[01:23:28.178 --> 01:23:31.319]  Or doesn't have the will to change it!
[01:23:31.319 --> 01:23:32.539]  This is beyond Russiagate.
[01:23:32.539 --> 01:23:34.160]  This is beyond spying illegally on Trump.
[01:23:35.236 --> 01:23:39.137]  This is them using agencies on the American people in the free press!
[01:23:39.137 --> 01:23:41.077]  Like China!
[01:23:41.077 --> 01:23:43.438]  Here's this latest breakdown.
[01:23:43.438 --> 01:23:48.479]  It's not only that Trump has to lose, but that all his enablers have to lose.
[01:23:48.479 --> 01:23:51.960]  We have to collectively, in essence, burn down the Republican Party.
[01:23:51.960 --> 01:23:59.402]  That sentiment at the core of the coalition cannot be pried loose, and it cannot be negotiated with, and it cannot be appeased.
[01:23:59.662 --> 01:24:01.043]  We have to level them.
[01:24:01.043 --> 01:24:03.085]  Utterly confronted and destroyed.
[01:24:03.085 --> 01:24:05.786]  That is the only way to break the coalition apart.
[01:24:05.786 --> 01:24:11.431]  Because if there are survivors, if there are people who weathered this storm, they will do it again.
[01:24:11.431 --> 01:24:14.953]  You have to go out and beat these folks if they don't agree with you.
[01:24:14.953 --> 01:24:19.276]  What we've got to do is fight in Congress, fight in the courts, fight in the streets.
[01:24:19.276 --> 01:24:25.621]  And if you see anybody from that cabinet in a restaurant, in a department store,
[01:24:26.282 --> 01:24:28.185]  And a gasoline station!
[01:24:28.185 --> 01:24:30.349]  You get up and you create a crowd!
[01:24:38.080 --> 01:24:40.861]  What we should be doing is shunning these people.
[01:24:40.861 --> 01:24:48.223]  Shunning, shaming these people is a statement of moral indignation that these people are not fit for polite society.
[01:24:48.223 --> 01:24:50.564]  They have shamed themselves too much.
[01:24:50.564 --> 01:24:52.425]  The heart of the thing must be ripped out.
[01:24:52.425 --> 01:24:54.105]  The darkness must be banished.
[01:24:54.105 --> 01:25:00.588]  The people who feel moral revulsion at that display we saw last night must collectively mobilize in greater numbers than the chanters.
[01:25:00.988 --> 01:25:04.390]  Up and down the ticket, federal, state, local offices.
[01:25:04.390 --> 01:25:05.991]  The country has to repudiate this.
[01:25:05.991 --> 01:25:09.513]  The press always asks me, don't I wish I were debating him?
[01:25:09.513 --> 01:25:12.836]  No, I wish during high school I could take him behind the gym.
[01:25:12.836 --> 01:25:13.456]  That's what I wish.
[01:25:13.456 --> 01:25:17.659]  If we were in high school, I'd take him behind the gym and beat the hell out of him.
[01:25:17.659 --> 01:25:23.162]  Let me give you one bottom line.
[01:25:23.162 --> 01:25:26.324]  As a former government official, government's gonna kill this guy.
[01:25:26.324 --> 01:25:27.285]  That's so entertaining.
[01:25:28.643 --> 01:25:29.804]  These are some sick people.
[01:25:29.804 --> 01:25:34.528]  And then now they have the clip last week that Trump's killed more people than Hitler and Stalin.
[01:25:34.528 --> 01:25:37.130]  They're trying to invoke a civil war.
[01:25:37.130 --> 01:25:39.112]  They want our guns.
[01:25:39.112 --> 01:25:41.314]  And now Biden has come out.
[01:25:41.314 --> 01:25:47.099]  Now O'Rourke has come out and said, we'll play this next segment, that they're going to get our guns.
[01:25:47.099 --> 01:25:47.740]  All semi-autos.
[01:25:47.740 --> 01:25:48.620]  And they're not going to stop there.
[01:25:48.620 --> 01:25:49.421]  They never do.
[01:25:49.421 --> 01:25:52.604]  They want complete power over everybody.
[01:25:52.604 --> 01:25:53.585]  So I just showed you
[01:25:56.155 --> 01:26:00.198]  And we can play all the congressional hearings where they say, I want Alex Jones shut down.
[01:26:00.198 --> 01:26:07.144]  The FEC, the FCC, all saying they want Matt Drudge shut down.
[01:26:07.144 --> 01:26:09.486]  All he does is link to them.
[01:26:09.486 --> 01:26:14.289]  Sometimes the majority of the traffic many weeks the New York Times get is from Drudge.
[01:26:14.289 --> 01:26:14.790]  They don't care.
[01:26:14.790 --> 01:26:16.391]  They don't like him existing.
[01:26:16.391 --> 01:26:18.192]  They want the power.
[01:26:18.192 --> 01:26:19.253]  They want the control.
[01:26:19.253 --> 01:26:22.216]  They want to be able to shovel whatever lies they want at you, and right now,
[01:26:23.257 --> 01:26:28.041]  Google and Facebook alone, 70% of people only get their news from them.
[01:26:28.041 --> 01:26:30.382]  Look that number up.
[01:26:30.382 --> 01:26:31.843]  They want 100%.
[01:26:31.843 --> 01:26:33.285]  Ladies and gentlemen, here's the good news.
[01:26:33.285 --> 01:26:37.348]  America and the world is so awake now that no one believes anything mainstream news says.
