[00:00.000 --> 00:25.000]  This is our land, these are our people, the workers, the strivers, the builders, these
[29:50.000 --> 29:57.000]  Go to infowarstore.com or call 888-253-3139.
[29:57.000 --> 30:00.000]  I want more candy. I want more video games. Why, why, why?
[30:00.000 --> 30:10.000]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[30:10.000 --> 30:13.000]  All of our children are hit with modern mind control.
[30:13.000 --> 30:17.000]  Television, music, fast food, GMOs, sugars, you name it.
[30:17.000 --> 30:23.000]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[30:23.000 --> 30:28.000]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[30:28.000 --> 30:34.000]  Working with my team, we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[30:34.000 --> 30:42.000]  We worked with the leading manufacturer and nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[30:42.000 --> 30:49.000]  Introducing Child Ease with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[30:49.000 --> 30:53.000]  Obtain your Child Ease today at infowarslife.com.
[30:53.000 --> 30:57.000]  That's Child Ease exclusively at infowarslife.com.
[30:57.000 --> 31:04.000]  Used since before the days of the Roman Empire to support the body's natural systems, introducing the new infowarslife.com.
[31:04.000 --> 31:06.000]  Oil of oregano formulation.
[31:06.000 --> 31:15.000]  We have now procured the most high quality and potent forms of oregano oil on the market, extracted directly from the wild herb and sealed in easy to use capsules.
[31:15.000 --> 31:19.000]  You will no longer need to endure the burning of liquid oregano on the tongue.
[31:19.000 --> 31:22.000]  Now available in our limited first run at infowarslife.com.
[31:22.000 --> 31:27.000]  That's infowarslife.com or call 888-253-3139.
[31:27.000 --> 31:28.000]  Brain force is here.
[31:28.000 --> 31:30.000]  Ladies and gentlemen, I've been on this the last few months.
[31:30.000 --> 31:35.000]  You probably noticed I've been more focused, less brain fog, more energy, and it's because of brain force.
[31:35.000 --> 31:38.000]  There's always hidden additives in your food, even organic food has hidden additives.
[31:38.000 --> 31:42.000]  Staring at the computer all day working doing good, you're still damaging your brain.
[31:42.000 --> 31:44.000]  Ultimately we've all been dumbed down to some degree.
[31:44.000 --> 31:46.000]  It doesn't have stimulants, it doesn't have garbage in it.
[31:46.000 --> 31:48.000]  It has natural things that do it clean.
[31:48.000 --> 31:57.000]  You will find brain force and other game changing products at infowarslife.com or call 888-253-3139.
[31:57.000 --> 32:02.000]  Over the years there have been a lot of powerful advancements in the field of science and nutraceuticals.
[32:02.000 --> 32:07.000]  Young Jevity integrates years of scientific research into creating fantastic products
[32:07.000 --> 32:11.000]  like Beyond Tangy Tangerine, plant derived minerals, and much more.
[32:11.000 --> 32:15.000]  Young Jevity also offers you an ingenious way to augment your income
[32:15.000 --> 32:18.000]  and the best part, you'll be helping your friends and family along the way.
[32:18.000 --> 32:21.000]  Visit infowarsteam.com today.
[32:21.000 --> 32:22.000]  Become a member.
[32:22.000 --> 32:26.000]  It discounts on the amazing products and free shipping when you sign up for auto-ship
[32:26.000 --> 32:30.000]  and you're able to promote the products to friends and family and neighbors in your community
[32:30.000 --> 32:33.000]  and make money while helping people at the same time.
[32:33.000 --> 32:34.000]  Another win-win.
[32:34.000 --> 32:39.000]  That's why I'm a member of the Young Jevity team at infowarsteam.com and you can be too.
[32:39.000 --> 32:42.000]  It's simple, just go to infowarsteam.com today.
[32:42.000 --> 32:44.000]  Complete a short sign up and you're part of the team.
[32:44.000 --> 32:47.000]  That's infowarsteam.com or infowarshealth.com.
[32:47.000 --> 32:51.000]  So many people call into my radio show and tell me how Young Jevity and the products
[32:51.000 --> 32:54.000]  at infowarsteam.com have changed their lives.
[32:54.000 --> 33:01.000]  Check it out for yourself today.
[33:01.000 --> 33:30.000]  You're listening to the Alex Jones Show.
[33:30.000 --> 33:37.000]  If you're hearing this transmission, you're one of the very select few of the very, very
[33:37.000 --> 33:42.000]  mass multitude of millions that have chosen to not watch the Super Bowl in the pre-game
[33:42.000 --> 33:48.000]  show and to actually be a part of the battle for this country and the battle for this planet.
[33:48.000 --> 33:53.000]  You know, 120 plus million people tonight will watch the Super Bowl and will focus all
[33:53.000 --> 33:59.000]  of their energy on the stats of the players and the overall worship of the whole game.
[33:59.000 --> 34:02.000]  And I'm not attacking people that watch the Super Bowl, I get it.
[34:02.000 --> 34:07.000]  But imagine if we could just take 10% of that energy and put it towards something that matters,
[34:07.000 --> 34:12.000]  like actually taking back this country and actually knowing what we're talking about
[34:12.000 --> 34:14.000]  and actually doing something, right?
[34:14.000 --> 34:19.000]  And instead of focusing on the new stats and the latest players and who's going to win
[34:19.000 --> 34:23.000]  and all that kind of stuff and betting all our money on it, we're actually going to go
[34:23.000 --> 34:27.000]  to Richard Reeves who's on the ground in New Hampshire right now with the latest news
[34:27.000 --> 34:32.000]  on how he says the GOP is actually rigging it up against Trump, even though Trump is
[34:32.000 --> 34:34.000]  soaring right now and in a major lead.
[34:34.000 --> 34:36.000]  So Richard, tell us what's going on.
[34:36.000 --> 34:37.000]  Well, thanks, Anthony.
[34:37.000 --> 34:42.000]  Richard Reeves here with infowars.com and we are standing in front of the New Hampshire
[34:42.000 --> 34:45.000]  State House here in Concord, New Hampshire.
[34:45.000 --> 34:48.000]  They've got Daniel Webster statue out front.
[34:48.000 --> 34:52.000]  He was a famous congressman here from New Hampshire, which by the way, I was reading
[34:52.000 --> 34:54.000]  a quick bio for 40 years.
[34:54.000 --> 34:59.000]  He was a big advocate of states' rights, but after 40 years, then he converted to a
[34:59.000 --> 35:01.000]  big federal government guy.
[35:01.000 --> 35:04.000]  So he must have sold out there towards the end of his life.
[35:04.000 --> 35:09.000]  But anyway, folks, Super Bowl Sunday, but this is an emergency broadcast, Anthony.
[35:09.000 --> 35:11.000]  Absolutely emergency broadcast.
[35:11.000 --> 35:13.000]  Mark the date, buddy.
[35:13.000 --> 35:18.000]  Last night, the GOP, the New World Order Control GOP, showed what they could do.
[35:18.000 --> 35:24.000]  What last night was the key story, the big story, the inside story, Toto pulling the
[35:24.000 --> 35:29.000]  curtain out from in front of the Wizard of Oz in the background.
[35:29.000 --> 35:35.000]  The key story is the audience, the turnout of the audience, the GOP controlled by the
[35:35.000 --> 35:39.000]  NWO, controlled who the audience was that turned up to that event.
[35:39.000 --> 35:45.000]  What we had last night was a microcosm of what they planned to do in Cleveland, Ohio
[35:45.000 --> 35:47.000]  in July at the RNC.
[35:47.000 --> 35:53.000]  And you heard that by the reaction to Donald Trump, the way they booed Donald Trump in that
[35:53.000 --> 35:54.000]  event.
[35:54.000 --> 35:58.000]  And Donald Trump actually called out the audience because they were hardcore GOPers.
[35:58.000 --> 36:03.000]  The reason the governors don't talk much about the delegate race is because they don't
[36:03.000 --> 36:07.000]  want to reveal the delegate strategy that the GOP has.
[36:07.000 --> 36:08.000]  They don't want to talk about it.
[36:08.000 --> 36:12.000]  And the reason they don't talk about the delegate race and they don't talk about
[36:12.000 --> 36:17.000]  precinct conventions and they don't talk about precinct caucuses is because for so many
[36:17.000 --> 36:21.000]  decades now, they've had those functions of how the RNC works.
[36:21.000 --> 36:23.000]  They've had that in the bag.
[36:23.000 --> 36:25.000]  They know that in 2000, they showed up.
[36:25.000 --> 36:26.000]  In 2004, they showed up.
[36:26.000 --> 36:28.000]  In 2008, they showed up.
[36:28.000 --> 36:30.000]  In 2012, they showed up.
[36:30.000 --> 36:35.000]  So what they're counting on is filling up the RNC in Cleveland, Ohio with that type of
[36:35.000 --> 36:38.000]  crowd that was at that event last night.
[36:38.000 --> 36:43.000]  And you could tell the way that they would cheer, gleefully cheer for Bush, Jeb Bush,
[36:43.000 --> 36:45.000]  who has almost no support.
[36:45.000 --> 36:47.000]  I mean, he had to beg for applause.
[36:47.000 --> 36:48.000]  Actually, think about this juxtaposition.
[36:48.000 --> 36:53.000]  He had to beg for applause when he was at, what was it, Rob, a school or something?
[36:53.000 --> 36:54.000]  He was at a school.
[36:54.000 --> 36:55.000]  You could clap now.
[36:55.000 --> 36:56.000]  You could clap now.
[36:56.000 --> 36:57.000]  Please clap for me.
[36:57.000 --> 36:58.000]  Please just give me some type of applause.
[36:58.000 --> 36:59.000]  He was begging for applause.
[36:59.000 --> 37:03.000]  Then at the debates, he's like, yeah, well, we got to do it.
[37:03.000 --> 37:04.000]  And they're like, yeah.
[37:04.000 --> 37:06.000]  And then Trump says anything and they start booing him.
[37:06.000 --> 37:12.000]  I mean, it's obvious that the tickets were only given to the establishment protocol backed
[37:12.000 --> 37:16.000]  delegates or whatever, and supporters that are going to go in there and just worship Jeb
[37:16.000 --> 37:17.000]  Bush.
[37:17.000 --> 37:18.000]  I mean, is that not exactly what happened?
[37:18.000 --> 37:24.000]  Anthony, it's key to know that what they did last night at the small venue in New Hampshire,
[37:24.000 --> 37:26.000]  they can replicate in Cleveland.
[37:26.000 --> 37:28.000]  I'm telling you, I've been involved in this process.
[37:28.000 --> 37:30.000]  They can get their menus to show up.
[37:30.000 --> 37:34.000]  They know they'll show up as long as Trump's not asking for it.
[37:34.000 --> 37:37.000]  He's telling his people, hey, just go out and vote.
[37:37.000 --> 37:38.000]  No.
[37:38.000 --> 37:39.000]  That is just the beginning.
[37:39.000 --> 37:40.000]  That is not enough.
[37:40.000 --> 37:45.000]  Just going out and vote is not going to get Trump the nomination to the Republican Party.
[37:45.000 --> 37:49.000]  And Richard, even if they could go out and vote and it was counted regularly, I mean,
[37:49.000 --> 37:51.000]  you look at the, there's a group called AccuVote.
[37:51.000 --> 37:53.000]  I have it up on the screen, guys.
[37:53.000 --> 38:00.000]  AccuVote is what controls most of the ballots here in, let's see, 184 towns and wards in
[38:00.000 --> 38:01.000]  New Hampshire.
[38:01.000 --> 38:02.000]  And who's that?
[38:02.000 --> 38:03.000]  Who's owned by that?
[38:03.000 --> 38:04.000]  They owned by bold voting.
[38:04.000 --> 38:05.000]  They own AccuVote.
[38:05.000 --> 38:08.000]  So, I mean, you could, you could steal it that way.
[38:08.000 --> 38:11.000]  You don't even have to get to the delegate or to the big convention.
[38:11.000 --> 38:12.000]  You could steal it before then.
[38:12.000 --> 38:13.000]  How friendly.
[38:13.000 --> 38:17.000]  Well, see, that's not the whole story, though, because, yes, black box voting.
[38:17.000 --> 38:18.000]  We know about that.
[38:18.000 --> 38:20.000]  Alex has had shows over the years.
[38:20.000 --> 38:21.000]  That's just like these polls.
[38:21.000 --> 38:27.000]  In 2008, Alex proved that most of these polls are actually rigged when he hired Zogby.
[38:27.000 --> 38:30.000]  Remember the famous pollster Zogby that you never hear about anymore?
[38:30.000 --> 38:34.000]  Since Alex exposed that they did phony polls back in 2008.
[38:34.000 --> 38:36.000]  Well, they're still doing that.
[38:36.000 --> 38:38.000]  Now, here's the thing.
[38:38.000 --> 38:44.000]  Those who really decide the Republican nominee is going to be in Cleveland.
[38:44.000 --> 38:46.000]  It's going to be those delegates.
[38:46.000 --> 38:47.000]  Okay.
[38:47.000 --> 38:48.000]  These primaries are beauty contests.
[38:48.000 --> 38:49.000]  Yes, it can be stolen.
[38:49.000 --> 38:51.000]  It's important that Trump still wins.
[38:51.000 --> 38:56.000]  If he wins by big enough landslides, the black box voting will probably be overridden.
[38:56.000 --> 39:03.000]  And I'm convinced we actually have good people that work in elections that will help monitor that.
[39:03.000 --> 39:06.000]  Now, they're not going to cheat for us on one side or the other.
[39:06.000 --> 39:11.000]  They're going to call it straight down the line like a real baseball empire or an honest referee should.
[39:11.000 --> 39:15.000]  So black box voting will be in play potentially.
[39:15.000 --> 39:18.000]  We're going to find out on Tuesday if that's what happens.
[39:18.000 --> 39:25.000]  But those people that do go vote, if they don't participate at the next step, which is going to the precinct conventions
[39:25.000 --> 39:33.000]  or their precinct caucuses, whatever their state has, if they don't follow up and make their way through the convention system up to Cleveland, Ohio,
[39:33.000 --> 39:39.000]  what we're going to end up with is that type of crowd that you saw and heard last night in that debate.
[39:39.000 --> 39:40.000]  That's what's going to happen.
[39:40.000 --> 39:45.000]  They're going to show up in Cleveland because here's the thing that you've heard about the super delegates on the Democrat side.
[39:45.000 --> 39:48.000]  Well, they're super delegates on the Republican side.
[39:48.000 --> 39:57.000]  Donald Trump in reality needs to pile up not 50.1 percent of the delegates and waltz into Cleveland with 50.1.
[39:57.000 --> 40:08.000]  He actually needs to get closer to about 60 percent of the total delegates into Cleveland to have a real chance of getting this nomination.
[40:08.000 --> 40:18.000]  Because as we learned a while back in Charleston when we were there, when they were having that impeachment hearing, the possible passing the proposition of impeachment against Obama,
[40:18.000 --> 40:23.000]  the RNC couldn't even muster up the will to even vote on it.
[40:23.000 --> 40:27.000]  They only had like three supporters of Obama impeachment.
[40:27.000 --> 40:34.000]  So there are that in the bag for the establishment that they won't even pass a resolution, a toothless resolution to impeach Obama.
[40:34.000 --> 40:39.000]  It's as Jeff Bush said, oh, I'm in it for the long haul.
[40:39.000 --> 40:41.000]  There's all this minutiae that no one even talks about.
[40:41.000 --> 40:44.000]  The average person doesn't even understand what's going on.
[40:44.000 --> 40:47.000]  The average person thinks, well, Trump has the support nationally.
[40:47.000 --> 40:48.000]  He's going to win.
[40:48.000 --> 40:53.000]  There's so much more going on to that and they have that in their bag, as you're saying, because they know how it works.
[40:53.000 --> 40:58.000]  Now, I wanted to make a comment and ask you a question on Rubio because we only have a few minutes here to wrap up.
[40:58.000 --> 41:06.000]  But first, I would also say deeper, the media deception of someone booing at Trump or cheering Jeb on the debates tells the average person at home.
[41:06.000 --> 41:11.000]  Man, that's how people really feel because they're not thinking about, well, gee, how are the people selected?
[41:11.000 --> 41:12.000]  Is caucus-based as a delicate base?
[41:12.000 --> 41:13.000]  They don't know any of that.
[41:13.000 --> 41:15.000]  They're thinking, man, people really turned on Trump.
[41:15.000 --> 41:17.000]  They really do like Jeb Bush.
[41:17.000 --> 41:18.000]  Now, Richard.
[41:18.000 --> 41:24.000]  They're using the audience reaction to try to shift the viewership in their homes.
[41:24.000 --> 41:26.000]  It's like laugh tracks on a sitcom.
[41:26.000 --> 41:28.000]  Now, question for you.
[41:28.000 --> 41:29.000]  What's your take on Rubio?
[41:29.000 --> 41:32.000]  Last night, he was extremely fake and people called him out for it.
[41:32.000 --> 41:36.000]  Chris Christie did a great job calling him out and it was obvious he was using canned lines.
[41:36.000 --> 41:37.000]  What is going on with Rubio?
[41:37.000 --> 41:39.000]  He's surging apparently in the polls.
[41:39.000 --> 41:40.000]  What's the deal here?
[41:40.000 --> 41:42.000]  I think I can tell you exactly.
[41:42.000 --> 41:45.000]  Marco Rubio, you know, the hype was surging, surging, surging.
[41:45.000 --> 41:50.000]  Chris Christie busted him on his, you know, he's the next Mattel, Ken doll.
[41:50.000 --> 41:55.000]  And they'll have a Chris Christie doll where, you know, they pull the string of the Marco Rubio doll.
[41:55.000 --> 42:00.000]  Chris Christie pulling the string and it's Marco Rubio robotically saying Obama knows exactly what he's doing.
[42:00.000 --> 42:01.000]  Right.
[42:01.000 --> 42:04.000]  Well, you know, they're going to have those dolls probably come out.
[42:04.000 --> 42:14.000]  But anyway, I think the New World Order's plan is it's becoming more clear to me is that they actually want a horse race of three, four or five candidates.
[42:14.000 --> 42:22.000]  They want three, four or five candidates to divvy up the delegate pie because as we were talking about just a minute ago,
[42:22.000 --> 42:30.000]  Donald Trump's really got to get 60 delegates to go into Cleveland to not be too much at risk of being overthrown in the convention process.
[42:30.000 --> 42:37.000]  So if they have a horse race of three, four or five candidates, Marco Rubio being one of those candidates, we got the governors,
[42:37.000 --> 42:43.000]  then they can help split the delegate pie up to where they can go in the convention and then they can bring that audience.
[42:43.000 --> 42:44.000]  We got to go to break.
[42:44.000 --> 42:50.000]  They're going to muddy the waters and have multiple options of the public inside so they can shower them out and kind of destroy the whole thing.
[42:50.000 --> 42:54.000]  We'll be right back with more information. This is the Alex Jones show Sunday edition.
[43:21.000 --> 43:27.000]  I'm always looking for ways to naturally get the body to start producing these hormones and balancing themselves.
[43:27.000 --> 43:31.000]  The counters of stuff they've been throwing at us results will vary overall.
[43:31.000 --> 43:33.000]  All I know is dynamite.
[43:33.000 --> 43:38.000]  I mean, absolutely dynamite with stamina, with the weightlifting, with the swimming.
[43:38.000 --> 43:39.000]  Folks, the new product is available.
[43:39.000 --> 43:53.000]  Anthroplex available at infowarslife.com or 888-253-3139.
[43:53.000 --> 44:00.000]  Our listeners over the past two years tried X2 nascent iodine and experienced it for themselves.
[44:00.000 --> 44:10.000]  I basically had my gallbladder out within the last nine months needed to get my digestive system working correctly again.
[44:10.000 --> 44:13.000]  So I stumbled on the X2.
[44:13.000 --> 44:16.000]  We look at a product like Survival Shield nascent iodine X2.
[44:16.000 --> 44:20.000]  It's something that really has been hiding in plain view for over a hundred years.
[44:20.000 --> 44:22.000]  I needed the deep talks basically.
[44:22.000 --> 44:27.000]  I started taking X2 first for about seven days and then I did the deep cleanse.
[44:27.000 --> 44:31.000]  I want to challenge the listeners who have not tried X2 for yourselves.
[44:31.000 --> 44:32.000]  What do you have to lose?
[44:32.000 --> 44:41.000]  You are the tip of the spear in the fight for human liberty and you're getting a high quality product that has absolutely changed my life and many other people's lives that I know.
[44:41.000 --> 44:45.000]  I noticed a significant change in my digestive flow.
[44:45.000 --> 44:47.000]  I was like really more natural.
[44:47.000 --> 44:57.000]  Let's talk up on Survival Shield X2 today at infowarslife.com or by calling 888-253-3139.
[44:57.000 --> 44:58.000]  Hey, how are you doing?
[44:58.000 --> 44:59.000]  Good brother.
[44:59.000 --> 45:01.000]  I just recently started using your products.
[45:01.000 --> 45:03.000]  Everything you said about them is correct.
[45:03.000 --> 45:07.000]  Me and my wife both used a lot of them and it's made a lot of changes in our lives here.
[45:07.000 --> 45:12.000]  Well thank you brother because it also funds our operation but doing that I know I'm going to have the highest quality.
[45:12.000 --> 45:20.000]  Our male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[45:20.000 --> 45:23.000]  We did the super male and the super female vitality.
[45:23.000 --> 45:25.000]  Big changes, a lot of energy.
[45:25.000 --> 45:29.000]  We've gotten off the cheap energy drinks, energy shots, saving a ton of money there.
[45:29.000 --> 45:32.000]  Sourced from powerful organic herbs.
[45:32.000 --> 45:37.000]  Harvested around the planet and then concentrated or maximum potency.
[45:37.000 --> 45:43.000]  They want to stun and dumb down and energy drinks and stuff just cover that up for a while but then burn you out in my experience.
[45:43.000 --> 45:47.000]  Whereas stuff that gets your glands naturally going goes right to the source.
[45:47.000 --> 45:49.000]  So it's pretty exciting and I love it.
[45:49.000 --> 45:57.000]  Visit infowarslife.com today to secure your super male vitality and other powerful products from Info Wars Life.
[45:57.000 --> 46:04.000]  My fellow Info Warriors, I am very excited to be able to announce to you the introduction at infowarslife.com
[46:04.000 --> 46:11.000]  of a new way to save time and money when you stock up on Info Wars Life formulations like Survival Shield X2 and super male vitality.
[46:11.000 --> 46:14.000]  Just go to infowarslife.com today.
[46:14.000 --> 46:21.000]  Select your favorite product, click on auto ship before adding to cart and choose how often you want us to send you another order.
[46:21.000 --> 46:30.000]  Every time you choose auto ship at infowarslife.com you get 10% off and you won't have to worry about running out and having to reorder next time.
[46:30.000 --> 46:33.000]  And of course you can cancel with one click anytime.
[46:33.000 --> 46:41.000]  As you know, I'm all about the idea of a 360 win and the new auto ship feature at infowarslife.com is a sure win for everybody.
[46:41.000 --> 46:45.000]  A win for liberty, a win for health and a win when it comes to big savings.
[46:45.000 --> 46:51.000]  Visit infowarslife.com today and save 10% on your next Info Wars Life order by selecting auto ship at checkout.
[46:51.000 --> 46:56.000]  That's infowarslife.com or call 888-533-139.
[46:56.000 --> 47:03.000]  You're listening to the Alex Jones show.
[47:03.000 --> 47:16.000]  In this present crisis, government is not the solution to our problem. Government is the problem.
[47:16.000 --> 47:26.000]  From time to time we've been tempted to believe that society has become too complex to be managed by self-rule.
[47:26.000 --> 47:34.000]  That government by an elite group is superior to government for, by and of the people.
[47:34.000 --> 47:40.000]  The Alex Jones show because there is a war on for your mind.
[47:40.000 --> 47:49.000]  It is the Alex Jones show taking you within some mega death.
[47:49.000 --> 47:53.000]  It is Sunday Super Bowl Sunday, but we've got more important things to talk about.
[47:53.000 --> 47:56.000]  We're actually going to talk about the truth about the Super Bowl coming up.
[47:56.000 --> 48:07.000]  And at the end of the program today, the last segment, Alex Jones himself is calling in to give his take on the debate last night and what he sees going on with the election.
[48:07.000 --> 48:12.000]  We just got done with some on the ground coverage in New Hampshire with Richard Reeves info wars reporter.
[48:12.000 --> 48:20.000]  And we've got some more stories to go on and wrapping up with the debate just a bit before I get Rob's take on something we were talking about on the break.
[48:20.000 --> 48:24.000]  Democratic donor contacts Biden allies about possible run.
[48:24.000 --> 48:33.000]  And it says from Reuters, a prominent Democratic donor worried about the party's chances of winning the presidency emailed dozens of fans of Vice President Joe Biden on Friday,
[48:33.000 --> 48:40.000]  urging them to remain prepared to donate if Biden jumps into the race by a shotgun by a shotgun.
[48:40.000 --> 48:45.000]  You know, it does seem like no one is going to vote for Hillary Clinton.
[48:45.000 --> 48:47.000]  Bernie Sanders doesn't have a chance.
[48:47.000 --> 48:49.000]  Well, who knows, but doesn't seem to have a chance.
[48:49.000 --> 48:58.000]  It looks like they could bring in Biden at the last second or they'll do a bill Clinton as VP type thing where bill will come in and all the stories will be like,
[48:58.000 --> 49:03.000]  well, if you're voting for Hillary, you're really voting for Bill and he's a cool guy. He plays saxophone.
[49:03.000 --> 49:05.000]  He helped the economy back in the 90s.
[49:05.000 --> 49:07.000]  Bill Clinton knows what to do.
[49:07.000 --> 49:08.000]  Bring him in.
[49:08.000 --> 49:11.000]  So it'll be real, really sell like a vote for Hillary's vote for Clinton of Bill Clinton.
[49:11.000 --> 49:12.000]  So you never know.
[49:12.000 --> 49:15.000]  But anyway, you were talking about some information you want to share.
[49:15.000 --> 49:19.000]  Yeah, just looking at these voting machines, which we've talked about ad nauseam.
[49:19.000 --> 49:23.000]  People were talking about how Mark Rubio is his second biggest donors, Microsoft.
[49:23.000 --> 49:28.000]  Well, here it is, the TSX machine, which is the same hardware found in the journal purpose.
[49:28.000 --> 49:42.000]  PC can is a 32 bit Intel X scale processor and 32 bits of megabyte Intel internal flash memory and 64 megabytes of RAM runs a version of 4.1 Microsoft's Windows CE operating system with modifications written by diable.
[49:42.000 --> 49:49.000]  And then you sell a voting machine for clarifying that's that's the voting machines we were talking about that are counting the votes in.
[49:49.000 --> 49:54.000]  Let's get this right 184 towns and wards in New Hampshire in this primary.
[49:54.000 --> 49:57.000]  So there's running on a Microsoft operating system.
[49:57.000 --> 50:00.000]  Right. And so people had questions about Iowa.
[50:00.000 --> 50:07.000]  You saw Rubio surging with no support whatsoever in the single digits and now he's in double digits.
[50:07.000 --> 50:18.000]  And here we have down on this page by verified voting checking the voter verifiable paper trail and it says if the TSX is equipped with a voter verifiable paper trail,
[50:18.000 --> 50:22.000]  the printer tape is located to the right of the touchscreen under transparent plastic.
[50:22.000 --> 50:24.000]  But they don't do that.
[50:24.000 --> 50:30.000]  You know, they give you some excuse like, oh, if we give you a little piece of paper that would hurt global warming or something.
[50:30.000 --> 50:35.000]  You know, they just trot this nonsense out as to why they can't have a paper trail.
[50:35.000 --> 50:39.000]  Even though you go to the gas station, you get a BPA covered receipt.
[50:39.000 --> 50:42.000]  You go to the ATM, you get a BPA covered receipt.
[50:42.000 --> 50:45.000]  And I'm talking about biosphenol A. It's on the on the printer ink.
[50:45.000 --> 50:49.000]  That's so you get your estrogen levels correct.
[50:49.000 --> 50:56.000]  Right. But but we can't do it with the voting machine because every four years if we did that, you know, global warming might happen.
[50:56.000 --> 50:58.000]  Well, you know, it kind of reminds me of this.
[50:58.000 --> 51:02.000]  This is my take on the voter rigging with the voting systems being fraudulent.
[51:02.000 --> 51:07.000]  You think of the TSA or even you think about the DMV.
[51:07.000 --> 51:10.000]  Okay. You think about anything run by the government, right?
[51:10.000 --> 51:17.000]  In conjunction sometimes with corporations, but the TSA and the naked body scanners that never work has never caught a terrorist.
[51:17.000 --> 51:19.000]  Never. Not one time is it caught a terrorist.
[51:19.000 --> 51:24.000]  People get through with metal plates that could be weapons, could be guns, could be explosives all the time.
[51:24.000 --> 51:30.000]  You think about the DMV, how slow and terrible it is and how how silly and stupid it is all run by the government.
[51:30.000 --> 51:31.000]  Yeah.
[51:31.000 --> 51:38.000]  Why would we take that same government that runs the TSA and simply screws it up or the DMV where you have to wait in line for three hours and no one can do anything
[51:38.000 --> 51:46.000]  and say, well, why don't you also have control of our voting machines and you'll be the oversight group on the corporations and our running all of this.
[51:46.000 --> 51:47.000]  Die bold.
[51:47.000 --> 51:50.000]  Well, why don't you take our health care, take the voting machines.
[51:50.000 --> 51:58.000]  It seems to me that we would want to restrict the government's grubby little weird fat fingers from everything possible that they're going to screw up one way or another.
[51:58.000 --> 52:03.000]  So why would we blindly sit down and you're called a conspiracy theorist if you question this, by the way.
[52:03.000 --> 52:12.000]  Why would you blindly sit down and say, well, gee, you know what, they should just have our ability to decide our leaders to just make sure that they have full control over the voting systems.
[52:12.000 --> 52:13.000]  Yeah, exactly.
[52:13.000 --> 52:16.000]  It's totally ridiculous, but you know, the Super Bowl starts in 30 minutes.
[52:16.000 --> 52:18.000]  So we better wrap this up, right, Anthony?
[52:18.000 --> 52:19.000]  Oh, absolutely.
[52:19.000 --> 52:20.000]  And don't worry.
[52:20.000 --> 52:21.000]  We're going to get to the Super Bowl.
[52:21.000 --> 52:24.000]  We're going to talk about the truth about the Super Bowl and I've got a lot to say about that.
[52:24.000 --> 52:25.000]  Well, okay.
[52:25.000 --> 52:29.000]  So remember a couple of years ago, we had this vaunted security in New York with the Super Bowl.
[52:29.000 --> 52:34.000]  Like they had tight knit, they had metal detectors, they were checking people's bags, everything.
[52:34.000 --> 52:36.000]  People weren't even allowed to bring in bags unless it was clear.
[52:36.000 --> 52:45.000]  And then you have one guy, Matthew Mills, who walks in to a press conference, just walks in, gets through how many layers of security.
[52:45.000 --> 52:46.000]  Nobody stops him.
[52:46.000 --> 52:50.000]  All this vaunted millions of dollars of security, one man gets through.
[52:50.000 --> 52:54.000]  And he was a journalist and all he wanted to do is, you know, express his ideas.
[52:54.000 --> 52:57.000]  And if you guys have the video, let's cue it up.
[52:57.000 --> 52:59.000]  That's what he said. This is two years ago.
[52:59.000 --> 53:07.000]  No, I always imagine myself making great plays, but you never think about being MVP.
[53:07.000 --> 53:09.000]  Investigate 9-11.
[53:09.000 --> 53:14.000]  9-11 was perpetrated by people within our own government.
[53:14.000 --> 53:15.000]  Oh, my God.
[53:15.000 --> 53:16.000]  A man with an idea.
[53:16.000 --> 53:18.000]  That's a real example of drops the mic.
[53:18.000 --> 53:19.000]  Exactly.
[53:19.000 --> 53:22.000]  And, you know, investigate 9-11.
[53:22.000 --> 53:26.000]  9-11 was perpetrated by our government, you know, got through all that security to say that.
[53:26.000 --> 53:28.000]  All that security couldn't handle that.
[53:28.000 --> 53:29.000]  And now, what do we have?
[53:29.000 --> 53:32.000]  Now we have the DHS using F-15 warplanes.
[53:32.000 --> 53:33.000]  We have a report.
[53:33.000 --> 53:35.000]  If you're sure to go, let's run that report.
[53:35.000 --> 53:36.000]  Hold on, hold on a second here.
[53:36.000 --> 53:38.000]  We do need to run the report if we have enough time.
[53:38.000 --> 53:44.000]  But it is important also that we remember that this whole show, this whole segment, this whole operation is funded by InfowarsLife.com.
[53:44.000 --> 53:45.000]  There you go.
[53:45.000 --> 53:49.000]  There's a new product, Anthroplex, which, look, let me just tell you, you need to try this.
[53:49.000 --> 53:52.000]  It works amazingly with all the other products, including stuff from LVitality.
[53:52.000 --> 53:57.000]  It has some ingredients that you need to read about on InfowarsLife.com to get the full example of what it does.
[53:57.000 --> 53:58.000]  The horny goatweed.
[53:58.000 --> 54:00.000]  It has horny goatweed, also known as epimedium.
