[00:00.000 --> 00:14.000]  Waging War on Corruption. It's Alex Jones.
[31:26.000 --> 31:37.000]  Few filters cut out the glyphosates that is found in water supplies worldwide. Remove pesticides, herbicides, chloramines, hydrofluorosalic acid, sodium hexafluorosilicate.
[31:37.000 --> 31:41.000]  It is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[31:41.000 --> 31:45.000]  It is our responsibility to protect our families. The establishment is not going to do it.
[31:45.000 --> 31:48.000]  It's time to take action. It's time to filter our water.
[31:48.000 --> 31:56.000]  Visit infowarsthor.com and use promo code WATER to get 10% off their entire family of incredible products.
[31:56.000 --> 32:00.000]  Or call toll-free 888-253-3139.
[32:00.000 --> 32:03.000]  Hi folks, Alex Jones here with some important information.
[32:03.000 --> 32:08.000]  I want to tell you about Matt Redhawk and his team of patriots over at MyPatriot Supply.
[32:08.000 --> 32:11.000]  Several years ago, Matt was sitting in his two bedroom apartment,
[32:11.000 --> 32:16.000]  frustrated with the direction this country was headed and the charlatans willing to sell us out for a quick buck.
[32:16.000 --> 32:20.000]  Deciding to take action, a company run by patriots for patriots was born.
[32:20.000 --> 32:24.000]  MyPatriot Supply has never taken a loan or accepted outside funding.
[32:24.000 --> 32:30.000]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[32:30.000 --> 32:33.000]  It is rare to find companies who practice what they preach.
[32:33.000 --> 32:39.000]  And that's why I stock MyPatriot with high-quality, storeable foods from MyPatriot Supply.
[32:39.000 --> 32:50.000]  Go to MyPatriotSupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[32:50.000 --> 32:53.000]  That's 866-229-0927.
[32:53.000 --> 32:56.000]  Do business with someone who shares your values.
[32:56.000 --> 33:10.000]  MyPatriotSupply.com slash Alex.
[33:10.000 --> 33:17.000]  Defending the Republic from enemies, foreign and domestic.
[33:17.000 --> 33:20.000]  It's Alex Jones.
[33:23.000 --> 33:31.000]  At first, Western powers have warned Moscow faces further sanctions over the worsening Ukraine crisis amid fears of an imminent Russian invasion.
[33:31.000 --> 33:38.000]  Now, negotiators are still trying to secure the release of a group of international observers seized by pro-Russian militia in the country's east,
[33:38.000 --> 33:42.000]  and Ukraine's forces continue to wage an offensive against the rebels in the region.
[33:42.000 --> 33:51.000]  Ukraine's interim Prime Minister has called on Moscow to pull back its forces after accusations Russian jets are violating Ukraine's airspace.
[33:51.000 --> 34:03.000]  There is only one reason for these Russian aircraft to be violating Ukrainian airspace, and that's to conduct reconnaissance missions.
[34:03.000 --> 34:11.000]  There is an added urgency to Ukraine's Prime Minister's trip to drum up support for sanctions against Russia in Europe.
[34:11.000 --> 34:26.000]  We urge Russia to pull back its security forces, not to provoke and not to support Russian-lead terrorists that are located and deployed in eastern and southern Ukraine.
[34:26.000 --> 34:36.000]  I wanted you to hear the part where they talked about imminent invasion. So, any Russians that have always been living in Ukraine,
[34:36.000 --> 34:47.000]  it's basically been part of Russia forever, who don't want to be enslaved by the new overthrow government that overthrew, they weren't elected, is a terrorist.
[34:47.000 --> 34:55.000]  But this very Prime Minister's people a month and a half ago were burning buildings and blowing stuff up, being called freedom fighters by our media.
[34:55.000 --> 35:02.000]  The same media that demonizes the family and the Second Amendment and private property rights, the same globalist media.
[35:02.000 --> 35:09.000]  I just want to point that out, that the Russians say that if they continue to invade these predominantly Russian cities,
[35:09.000 --> 35:19.000]  ethically Russian, and continue killing people, and they're doing it every day at checkpoints, that the Russian military is going to invade that country.
[35:19.000 --> 35:26.000]  And I'm not saying that's a good thing. The point is that that's what they're going to do.
[35:26.000 --> 35:34.000]  Because 93% of Ukraine just got taken over by NATO and the EU in the overthrow government.
[35:34.000 --> 35:43.000]  Russia's grabbed about 7% of the country on their border that has their military bases and their gas pipelines and oil pipelines.
[35:43.000 --> 35:50.000]  The Russian infrastructure that supplies much of Europe's petro energy.
[35:50.000 --> 35:56.000]  Russia has had a very measured response, in my view, geopolitically to this.
[35:56.000 --> 36:04.000]  Because they don't want to have a war with the West, a war that will cripple them just like the war in Afghanistan for 10 years that was also staged by the West.
[36:04.000 --> 36:10.000]  Now back then the Soviet Union was very corrupt, very oppressive, their political system was very evil.
[36:10.000 --> 36:15.000]  But still I think it was immoral to use al-Qaeda from 1979 on.
[36:15.000 --> 36:18.000]  Reagan didn't start, he just took credit for it, which is fine.
[36:18.000 --> 36:29.000]  Jimmy Carter and Zbigniew Brzezinski started it, that's declassified, using al-Qaeda to attack not just Russian bases in Afghanistan, but Russian bases in surrounding countries.
[36:29.000 --> 36:38.000]  So the Russians poured in to deal with that threat, just like they've been fighting western-backed al-Qaeda in areas like Chechnya.
[36:38.000 --> 36:44.000]  And the CIA on record funds radical Islam and al-Qaeda all over Russia.
[36:44.000 --> 36:50.000]  Just like they fund al-Qaeda to attack Syria, Libya and Egypt.
[36:50.000 --> 36:57.000]  And when our former ally wouldn't go along with turning the country over to al-Qaeda, Hazy Mubarak, they arrested him.
[36:57.000 --> 37:09.000]  So I just want to point out you got criminal banking interest above America and Europe using al-Qaeda, using the radical extreme Nazis that are the minority in the Ukraine.
[37:09.000 --> 37:12.000]  Ukraine's great folks in western Ukraine, mainly Catholic.
[37:12.000 --> 37:20.000]  But the government is a ultra-nationalistic, so right-wing socialist, they go all around the political spectrum.
[37:20.000 --> 37:29.000]  They actually haul Hitler at their meetings, I mean, this is so bizarre for me that if you say something mildly what they claim is racist,
[37:29.000 --> 37:34.000]  they will demonize you in the controlled media with political correctness.
[37:34.000 --> 37:44.000]  But then you've got the Ukrainian government where the deputy prime minister is in videos in a three-piece suit hiling Hitler.
[37:44.000 --> 37:48.000]  I mean, that's who this political party is.
[37:48.000 --> 37:54.000]  Ukraine was Nazi during World War II for those that didn't know.
[37:54.000 --> 37:58.000]  And so they're Nazi again, and it is just unbelievable.
[37:58.000 --> 38:04.000]  Unbelievable that they then put out a story two weeks ago that, oh my gosh, synagogues.
[38:04.000 --> 38:10.000]  You know, there's lists of saying Jews get out of eastern Ukraine, the Russians say, the Russians aren't persecuting any Jews.
[38:10.000 --> 38:12.000]  It's western Ukraine that's doing that.
[38:12.000 --> 38:20.000]  But see, when it comes out that western Ukraine is anti-Semitic, a lot of them, a large minority are, you just spin it and say, oh no, that's Russia.
[38:20.000 --> 38:25.000]  And they know the average American isn't paying attention, so I want to hear from you on this front.
[38:25.000 --> 38:27.000]  We're going to take calls the rest of the hour.
[38:27.000 --> 38:35.000]  Then I'm going to get into, because this is an example of mind control, an example of how political correctness is the new religion in this country.
[38:35.000 --> 38:50.000]  While we're all being discriminated against, black, white, Hispanic, old, young, Asian, I don't care, by General Electric running the White House Energy Council and Developmental Economic Council,
[38:50.000 --> 38:57.000]  they're exempt from the rules Obama put in four years ago that have shut down now more than 500 power plants in the country.
[38:57.000 --> 39:04.000]  Clean burning coal plants that supplied 52% of our power, now they supply about 31%.
[39:04.000 --> 39:12.000]  And when that gets down to about 10%, which they project the next few years, you're going to have more than a doubling in your prices on average.
[39:12.000 --> 39:17.000]  But U.S. electricity prices may be going up for good.
[39:17.000 --> 39:29.000]  LA Times, experts warn of growing fragility as coal plants are shut down, nuclear power is reduced and consumers switch to renewable energy.
[39:29.000 --> 39:37.000]  Now, again, China gets three new plants a week, Mexico gets a new one every few weeks, our jobs are all moving there because they have cheap energy.
[39:37.000 --> 39:43.000]  You cut off the energy, you cut off the country. That's a simple equation. There's no gas in your car, you don't go to work.
[39:43.000 --> 39:48.000]  There's no food in your tummy, you get a stomach ache and start losing calories.
[39:48.000 --> 39:54.000]  You cut your leg off, you bleed to death, there's your oxygen energy, you die. Don't get a tourniquet on it.
[39:54.000 --> 40:05.000]  This country's legs cut off, blood is spraying like fire hoses out of it, and this is discriminating against all of us under agenda 21 and the UN Treaty to shut America down.
[40:05.000 --> 40:12.000]  Cloward and Piven, look it up. This is a plan. Obama cares about to shut the country down.
[40:12.000 --> 40:17.000]  That's what's discriminating against us, but that doesn't matter. Obama sharped in Magic Johnson.
[40:17.000 --> 40:28.000]  So Obama, the fashion furious criminal, sharped in the FBI cocaine dealing rat, and Magic Johnson ganged up on NBA owner Sterling.
[40:28.000 --> 40:35.000]  You know, I think what Sterling said, he's being instigated to say and is out of context, but he's an elitist.
[40:35.000 --> 40:46.000]  Country club elitist don't want anyone at the country club that didn't go to the same college as them, and it's part of that same elitism.
[40:46.000 --> 40:52.000]  And he's telling his girlfriend, stop hanging out with the players. It looks bad. You're hanging out with me. He's obviously jealous.
[40:52.000 --> 41:01.000]  And I think his comments are distasteful at a certain level. The issue is though, what's she doing recording him?
[41:01.000 --> 41:08.000]  Where is it that rats are acceptable in this country where your girlfriend is recording you to then give it to the media?
[41:08.000 --> 41:16.000]  Because the religion is fighting racism. When we all know the so-called minority groups are just as racist as anybody else, probably more so, because it's seen as popular.
[41:16.000 --> 41:26.000]  It's seen as acceptable. Listen to rap music. My God. I mean, it is off the chart attacking gays, women, whites, you know, but that's acceptable because it's cool.
[41:26.000 --> 41:36.000]  But I'm not defending it. The larger issue is they want him, Magic Johnson and others, to lose his franchise over his clippers.
[41:36.000 --> 41:43.000]  That's dangerous, folks, because then they're going to say, you said something, so you're going to lose your business. That's a First Amendment.
[41:43.000 --> 41:49.000]  Right. People want to boycott the clippers. That's their issue. The players don't want to play tomorrow. That's their issue.
[41:49.000 --> 41:58.000]  But I think his, I think what he said is elitist. And he can tell he's jealous. He knows she's going around with these guys.
[41:58.000 --> 42:03.000]  So that's really what it's about. But you know what it was said in the privacy. So I just don't think it's admissible even in discussion.
[42:03.000 --> 42:07.000]  The real person here is this girlfriend recording him.
[42:07.000 --> 42:13.000]  He's like, why are you so nice yesterday? You're so mean today because she's setting him up and who knows how it's edited.
[42:13.000 --> 42:22.000]  And then you've got these authoritarian basketball players making 20 million a year on average, sometimes more, who want to run around.
[42:22.000 --> 42:37.000]  Folks, I've been only a few times at NBA players' parties in Los Angeles. And if you want to talk about disconnected, out of control, arrogant, mean to everybody elitist, it's these guys.
[42:37.000 --> 42:46.000]  So I really don't think they have anything to say. I mean, it is like another world with the nouveau riche trash.
[42:46.000 --> 42:52.000]  I mean, a lot of people, people win the lottery, don't care if they're black or white, they turn to trash. Well, these guys are much trash.
[42:52.000 --> 43:18.000]  We'll be right back. Stay with us.
[43:22.000 --> 43:29.000]  Discover and try a bag of the Patriot Blend 100% organic coffee at infowarslife.com.
[43:29.000 --> 43:36.000]  This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[43:36.000 --> 43:43.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[43:43.000 --> 43:52.000]  Drop by the site today, order a bag or two and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend.
[43:52.000 --> 44:00.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee available at infowarslife.com.
[44:00.000 --> 44:15.000]  From the water table to our soils to the atmosphere itself, our world is becoming more and more toxic each and every day. But it's not just the air outside that's toxic. Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[44:15.000 --> 44:23.000]  And most Americans spend 90% of their time inside using toxic chemicals within their homes. There are more than 42 million smokers in the United States.
[44:23.000 --> 44:32.000]  Well over a thousand types of mold in mildew linked to numerous conditions. And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[44:32.000 --> 44:42.000]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[44:42.000 --> 44:47.000]  Made with organic and wild cultivated herbs and manufactured in the USA.
[44:47.000 --> 44:54.000]  The new info wars life lung cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[44:54.000 --> 45:00.000]  Now available exclusively at infowarslife.com or by calling toll three eight eight eight two five three three one three nine.
[45:00.000 --> 45:08.000]  The globalists have controlled the mainstream media for a long time but now they're expanding making the weaponization even more vicious and deceptive.
[45:08.000 --> 45:10.000]  All the major networks are state run.
[45:10.000 --> 45:13.000]  We are partnering this year with the NFL.
[45:13.000 --> 45:17.000]  The NFL has become a political weapon against the Second Amendment and pushes Obamacare.
[45:17.000 --> 45:21.000]  MSNBC tells us that our children belong to the state.
[45:21.000 --> 45:28.000]  We have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[45:28.000 --> 45:37.000]  It is more important than ever to realize that we are not the alternative media. We are the true media. The establishment dinosaur press is dying.
[45:37.000 --> 45:41.000]  We are in an information war and we are losing that war.
[45:41.000 --> 45:45.000]  Join us at infowarsnews.com and prisonplanet.tv.
[45:45.000 --> 45:48.000]  Members can share their memberships with up to 11 people.
[45:48.000 --> 45:56.000]  By subscribing you will literally be buying war bonds in the info war to expand our operation in the face of the tyrants.
[45:56.000 --> 46:00.000]  Join us at prisonplanet.tv.
[46:00.000 --> 46:03.000]  The globalist social engineers are not just targeting us with propaganda.
[46:03.000 --> 46:06.000]  They are manipulating our genetics.
[46:06.000 --> 46:14.000]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[46:14.000 --> 46:25.000]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula
[46:25.000 --> 46:31.000]  sourced from powerful organic herbs and then concentrated for maximum potency.
[46:31.000 --> 46:38.000]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[46:38.000 --> 46:45.000]  Super male vitality by info wars life is so powerful that I only take half the recommended dose.
[46:45.000 --> 46:54.000]  For a limited time we are offering 15% off super male vitality at infowarslife.com to introduce you to this powerful supplement.
[46:54.000 --> 47:01.000]  Visit infowarslife.com today to secure your super male vitality, infowarslife.com.
[47:24.000 --> 47:30.000]  Do citizens live the sex?
[47:30.000 --> 47:36.000]  Who's ever coming on their chance?
[47:36.000 --> 47:42.000]  Are the wars life a long?
[47:42.000 --> 47:49.000]  Are the wars life a long?
[47:49.000 --> 47:55.000]  Are the wars life a long?
[47:55.000 --> 48:01.000]  Are the wars life a long?
[48:01.000 --> 48:05.000]  This music you're listening to is really good.
[48:05.000 --> 48:08.000]  Sorry to torture everybody.
[48:12.000 --> 48:14.000]  I just came along for the ride, sorry.
[48:24.000 --> 48:27.000]  I'll tell you folks, that is what this country turned into.
[48:27.000 --> 48:30.000]  There's one big Hollywood Babylon.
[48:30.000 --> 48:32.000]  Alright, I'm gonna get serious.
[48:32.000 --> 48:35.000]  I gotta have some fun here when we got this situation going on
[48:35.000 --> 48:40.000]  with the Ukraine and the big news story is
[48:40.000 --> 48:45.000]  headline, racist clippers owner Donald Sterling is a Democrat.
[48:45.000 --> 48:47.000]  Thank God they can't blame me.
[48:47.000 --> 48:50.000]  Thank God they can't blame Clive and Bundy.
[48:50.000 --> 48:53.000]  Thank God they can't blame the Second Amendment.
[48:53.000 --> 49:00.000]  I am just so sick and tired of the drama cleaning
[49:00.000 --> 49:04.000]  of people being secretly recorded, whether it's Mel Gibson
[49:04.000 --> 49:07.000]  or whether it's Donald Sterling.
[49:07.000 --> 49:13.000]  Since when do people not get upset about people secretly recording people?
[49:13.000 --> 49:16.000]  The NSA doing it is criminal and makes me mad.
[49:16.000 --> 49:21.000]  Government doing it, corporations doing it, individuals doing it.
[49:21.000 --> 49:23.000]  I mean, the rat is the issue.
[49:23.000 --> 49:26.000]  And by the way, I don't get on the phone and have conversations like this.
[49:26.000 --> 49:28.000]  What I believe is on the radio.
[49:28.000 --> 49:32.000]  In fact, I get more extreme on the radio than I do in person.
[49:32.000 --> 49:34.000]  Everybody can vouch for that.
[49:34.000 --> 49:36.000]  I mean, I really say what I believe here.
[49:36.000 --> 49:38.000]  I'm in to telling you what I really stand for.
[49:38.000 --> 49:40.000]  But you know what, a lot of people aren't like that.
[49:40.000 --> 49:42.000]  They want to have private phone conversations.
[49:42.000 --> 49:44.000]  They want to have private conversations at dinner.
[49:44.000 --> 49:48.000]  There's this whole movement now for people to record folks
[49:48.000 --> 49:52.000]  and record famous people in their restaurant or something.
[49:52.000 --> 49:54.000]  And then put it on the Internet.
[49:54.000 --> 49:56.000]  I mean, I'm getting tired of it personally.
[49:56.000 --> 49:58.000]  Getting real tired of it.
[49:58.000 --> 50:00.000]  We're going to talk about that later in the next hour.
[50:00.000 --> 50:02.000]  Tie it into your power prices, set to double.
[50:02.000 --> 50:04.000]  They've already doubled many areas because they're cutting off the power plants.
[50:04.000 --> 50:07.000]  See, that's the real discrimination that I've got to pay.
[50:07.000 --> 50:12.000]  The average American owes over a million dollars to pay off the globalist derivatives
[50:12.000 --> 50:13.000]  that aren't even our debt.
[50:13.000 --> 50:14.000]  You'll never pay it off.
[50:14.000 --> 50:15.000]  I'll never pay it off.
[50:15.000 --> 50:16.000]  The country's screwed.
[50:16.000 --> 50:19.000]  We should ride off all this debt, get rid of it, but it's not happening.
[50:19.000 --> 50:21.000]  All right, shifting gears back to Ukraine.
[50:21.000 --> 50:23.000]  I'm going to take calls to the bottom of the next hour.
[50:23.000 --> 50:27.000]  Then I'll get into all these other stories and play a clip of Donald Sterling
[50:27.000 --> 50:29.000]  and the great evil that's all over the news.
[50:29.000 --> 50:31.000]  And he's obviously being set up.
[50:31.000 --> 50:32.000]  It's obviously edited.
[50:32.000 --> 50:33.000]  That's all coming up.
[50:33.000 --> 50:36.000]  We're going to get into a major police magazine saying warrants.
[50:36.000 --> 50:42.000]  We don't need no stinking warrants and a lot more coming up here today.
[50:42.000 --> 50:46.000]  Some of the news up on infowars.com.
[50:46.000 --> 50:52.000]  Again, Obama, Sharpton, Magic Johnson gang up on NBA owner Sterling.
[50:52.000 --> 50:53.000]  And we've got another story.
[50:53.000 --> 50:56.000]  I'll mention this briefly later, but I've kind of cooled off now.
[50:56.000 --> 51:01.000]  Judas Goat, Glenn Beck colludes with CIA and CFR to take down Patriot movement.
[51:01.000 --> 51:03.000]  Look, I have nothing against Glenn Beck.
[51:03.000 --> 51:04.000]  It is a lot of good work.
[51:04.000 --> 51:06.000]  I'm sick of him lying about me.
[51:06.000 --> 51:10.000]  And for my own family safety, you tell 10 million listeners or whatever
[51:10.000 --> 51:12.000]  that Alex Jones wants violent overthrow.
[51:12.000 --> 51:17.000]  And Alex Jones is covering up Clive and Bundy's racist statements with no evidence.
[51:17.000 --> 51:22.000]  That's MSNBC saying I'm, quote, deeply racist and want to blow up stuff and kill cops.
[51:22.000 --> 51:24.000]  No one that listens to my show would say that.
[51:24.000 --> 51:27.000]  I'm totally against offensive violence.
[51:27.000 --> 51:34.000]  And I mean, it's crazy when you hear MSNBC say, quote, Alex Jones is behind the Boston bombing.
[51:34.000 --> 51:35.000]  Close quote.
[51:35.000 --> 51:39.000]  And Alex Jones is deeply racist.
[51:39.000 --> 51:43.000]  But MSNBC has a half million viewers that are dumber in a box of rocks.
[51:43.000 --> 51:45.000]  Glenn Beck's got a lot of good people listening to him.
[51:45.000 --> 51:47.000]  He's on, I was looking it up.
[51:47.000 --> 51:50.000]  I mean, it's got to be half the affiliates that carry us have got Glenn Beck on there.
[51:50.000 --> 51:52.000]  I don't want to fight with him.
[51:52.000 --> 51:56.000]  He's attacking me on many of these same stations.
[51:56.000 --> 52:00.000]  And it's just, he's getting sued by a bunch of people and stuff.
[52:00.000 --> 52:06.000]  I mean, Glenn, if you come out and apologize or tell us you're on medication, I forgive you.
[52:06.000 --> 52:08.000]  I'm serious.
[52:08.000 --> 52:11.000]  I mean, when you start making stuff up, knock on wood.
[52:11.000 --> 52:14.000]  I've never been sued a couple of times over copyright claims.
[52:14.000 --> 52:17.000]  And then we just filed some stuff and it got because it was fake.
[52:17.000 --> 52:23.000]  But I've never been sued for defamation slander libel because I really try to not make stuff up about people.
[52:23.000 --> 52:27.000]  Most radio stations have been sued and lost lawsuits.
[52:27.000 --> 52:28.000]  That's why they have such huge insurance.
[52:28.000 --> 52:32.000]  So I talk radio has been dumped a lot of places, especially local hosts.
[52:32.000 --> 52:33.000]  They will get you in trouble every time.
[52:33.000 --> 52:37.000]  Not me, not me as radical as I sound.
[52:37.000 --> 52:42.000]  I don't just get up here and say, this guy's deeply racist and he wants to kill cops.
[52:42.000 --> 52:53.000]  Uh, uh, you know, I mean, if I say that the, you know, such as that says this, I will play a clip or show where someone else said it.
[52:53.000 --> 52:57.000]  And I tell my reporters, I got seven reporters and five other writers.
[52:57.000 --> 53:06.000]  I guess six other writers and I sit them down and I talk to them and I say, listen, you ever say something on purpose?
[53:06.000 --> 53:11.000]  They didn't write or try to hurt somebody for no reason.
[53:11.000 --> 53:12.000]  You're not just going to be liable.
[53:12.000 --> 53:15.000]  I'm going to be liable and I'm not just going to be liable.
[53:15.000 --> 53:25.000]  You're going to be liable and you'll probably never get a job again in media because you say things about people that aren't true on purpose.
[53:25.000 --> 53:32.000]  Because the rule is if you say something on purpose and then you admit it's on purpose and you say this guy shouldn't be listened to.
[53:32.000 --> 53:33.000]  This guy shouldn't be on the air.
[53:33.000 --> 53:37.000]  That's a malice of forethought with intent to do harm.
[53:37.000 --> 53:39.000]  I mean, that's the definition of liable.
[53:39.000 --> 53:43.000]  If it's in print, slander, it's verbal defamation.
[53:43.000 --> 53:46.000]  If it's a broadcast or both.
[53:46.000 --> 53:49.000]  And that's the definition of what's going on here.
[53:49.000 --> 53:51.000]  He shouldn't be on the radio.
[53:51.000 --> 53:52.000]  You shouldn't listen to him.
[53:52.000 --> 53:56.000]  Uh, he's covering up for racist Clavin Bunny, which I don't think Clavin Bunny's a racist out of context.
[53:56.000 --> 53:59.000]  Uh, you know, that whole ranch situation out in Nevada.
[53:59.000 --> 54:01.000]  Uh, he wants a violent overthrow.
[54:01.000 --> 54:04.000]  He's the leader of the violence.
[54:04.000 --> 54:08.000]  I mean, man, that can really hurt me.
[54:08.000 --> 54:14.000]  I mean, if I get shut up or something happens to my family, then you really are cooked.
[54:14.000 --> 54:20.000]  And I know you write letters of people, you know, that you crap money and all this stuff and you can, you know, deal with stuff fine.
[54:20.000 --> 54:23.000]  But you get enough lawsuits going, bro.
[54:23.000 --> 54:25.000]  It's not going to go well.
[54:25.000 --> 54:30.000]  Look, I didn't sue MSNBC last year when they said I'm behind the Boston bombing and deeply racist.
[54:30.000 --> 54:31.000]  Yeah, I say that.
[54:31.000 --> 54:32.000]  It sounds like a lie.
[54:32.000 --> 54:33.000]  It's so crazy.
[54:33.000 --> 54:34.000]  We played the clip here.
[54:34.000 --> 54:35.000]  You can look it up on YouTube.
[54:35.000 --> 54:36.000]  And then they showed no proof.
[54:36.000 --> 54:44.000]  And I talked to my lawyer and I said, hands down, jury trial, you'll win this a million dollars in two years and you'll probably win two or three million dollars.
[54:44.000 --> 54:46.000]  Do you want to do that for two or three million dollars?
[54:46.000 --> 54:49.000]  And I said, no, no, I don't have the time.
[54:49.000 --> 54:51.000]  Do you want to be deposed?
[54:51.000 --> 54:53.000]  Do you want to have to do all this?
[54:53.000 --> 54:55.000]  I said, no, just let him say it.
[54:55.000 --> 55:05.000]  So Beck, I mean, you know, Glenn Beck can make jokes and say I'm gay and then I have sex with men in showers.
[55:05.000 --> 55:06.000]  He said that.
[55:06.000 --> 55:08.000]  I mean, no one believes that's ridiculous.
[55:08.000 --> 55:09.000]  It hasn't hurt me.
[55:09.000 --> 55:10.000]  So fine.
[55:10.000 --> 55:11.000]  Go ahead and say it.
[55:11.000 --> 55:17.000]  You can say that I'm racist covering up for Clive and Bundy and then I lead the violence movement.
[55:17.000 --> 55:19.000]  That can really hurt me.
[55:19.000 --> 55:20.000]  So I'm done talking about Beck.
[55:20.000 --> 55:23.000]  I'm going to go to your phone calls when we start.
[55:23.000 --> 55:25.000]  Not even the next time I go to him right now.
[55:25.000 --> 55:29.000]  Hassan and Holland wants to talk about the Ukraine situation.
[55:29.000 --> 55:33.000]  Frank in New York, John in Wisconsin, Mark in Oregon.
[55:33.000 --> 55:43.000]  You know, what happens is I say we're only opening the phones up for military, former military has been in Ukraine for your take, or folks overseas, and then only the regular callers call.
[55:43.000 --> 55:45.000]  You know, that's how that works.
[55:45.000 --> 55:49.000]  We have wide open phones now specifically on Ukraine.
[55:49.000 --> 55:50.000]  Okay.
[55:50.000 --> 55:59.000]  And we do have some calls from Europe as well, but the number is 877-789-2539 to join us.
[55:59.000 --> 56:01.000]  But I don't want to get off in a Glenn Beck now.
[56:01.000 --> 56:05.000]  It's just that I had to cover that because we've got a video showing how I said the same stuff.
[56:05.000 --> 56:09.000]  He says word for word 10, 15 years before him.
[56:09.000 --> 56:18.000]  And we've got him saying Ron Paul should be locked up because he wants to blow up buildings with a money bomb trying to make his listeners think of money bomb means bombs and just a bunch of stuff.
[56:18.000 --> 56:20.000]  Just a counter and protect ourselves.
[56:20.000 --> 56:22.000]  So that's up on info wars.com.
[56:22.000 --> 56:24.000]  But I'm done talking about it and turn about fair play.
[56:24.000 --> 56:28.000]  I didn't start this.
[56:28.000 --> 56:31.000]  He's the one trying to kick me off the radio.
[56:31.000 --> 56:34.000]  He's the one trying to tell his audience not to support me.
[56:34.000 --> 56:36.000]  He's the one attacking me and my family and my name.
[56:36.000 --> 56:43.000]  And I'm just sad because I'm friends with world net daily.
[56:43.000 --> 56:50.000]  I work with the other libertarian conservative sides because I have a lot more in common with them than the Democrats.
[56:50.000 --> 56:55.000]  And I just don't want to have the liberty movement fighting with ourselves.
[56:55.000 --> 56:58.000]  Obama has them on television announcing your kids don't belong to you.
[56:58.000 --> 57:00.000]  Two plus two equals five common core.
[57:00.000 --> 57:02.000]  We are on the edge of war with Russia.
[57:02.000 --> 57:08.000]  If they move troops in any day, if NATO strikes back and attacks, then the Russians may fire nukes at NATO bases.
[57:08.000 --> 57:09.000]  They've said they will.
[57:09.000 --> 57:10.000]  That's World War III.
[57:10.000 --> 57:12.000]  I'm not saying that's going to happen.
[57:12.000 --> 57:14.000]  And mainstream news is saying it could happen.
[57:14.000 --> 57:16.000]  We've got economics problems.
[57:16.000 --> 57:18.000]  We've got societal degradation.
[57:18.000 --> 57:20.000]  We've got all these serious problems.
[57:20.000 --> 57:29.000]  And I want to work with everybody that believes in basic private property, basic family values, basic right to self-defense, basic national sovereignty,
[57:29.000 --> 57:35.000]  and basic common sense of don't start wars first, don't back al-Qaeda, don't invade countries.
[57:35.000 --> 57:37.000]  I just stand for common sense.
[57:37.000 --> 57:38.000]  I just stand for justice.
[57:38.000 --> 57:39.000]  I love America.
[57:39.000 --> 57:40.000]  I love freedom.
[57:40.000 --> 57:41.000]  I love my children.
[57:41.000 --> 57:44.000]  I want to have a future, and I know you do as well.
[57:44.000 --> 57:47.000]  We'll be right back with the second hour of your phone call. Stay with us.
[57:50.000 --> 57:54.000]  A chemical spill contaminating the water supply in nine West Virginia counties.
[57:54.000 --> 57:58.000]  This year alone over 300,000 people in West Virginia had their drinking water contaminated.
[57:58.000 --> 58:02.000]  What are the health effects of having these drugs in our drinking water?
[58:02.000 --> 58:05.000]  It's forced medical treatment without the consent of residents.
[58:05.000 --> 58:12.000]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[58:12.000 --> 58:16.000]  On average, the county says it sprays with glyphosate at least once a week.
[58:16.000 --> 58:21.000]  Few filters cut out the glyphosates that is found in water supplies worldwide.
[58:21.000 --> 58:27.000]  Remove pesticides, herbicides, chloramines, hydrofluorosalic acid, sodium hexafluorosilicate.
[58:27.000 --> 58:31.000]  Fluoride is in teats and coffins and waters and breads and toothpaste.
[58:31.000 --> 58:35.000]  It is our responsibility to protect our families. The establishment is not going to do it.
[58:35.000 --> 58:38.000]  It's time to take action. It's time to filter our water.
[58:38.000 --> 58:45.000]  Visit infowarsthor.com and use promo code WATER to get 10% off their entire family of incredible products.
[58:45.000 --> 58:49.000]  Or call toll-free 888-253-3139.
