[00:00.000 --> 00:21.240]  these
[30:02.800 --> 30:07.560]  dictatorship that admits it's putting cancer viruses in the vaccines, it's putting fluoride
[30:07.560 --> 30:11.760]  in the water to brain damages, and that it's trying to literally destroy our families,
[30:11.760 --> 30:16.240]  and organize us into a bunch of dumbed down slaves, so they can then carry out orderly
[30:16.240 --> 30:20.680]  extermination, I'm not putting up with it, and our information, our truth is devastating
[30:20.680 --> 30:25.680]  to these scumbag satans, but we've got to stay on air, and I make it easy for you to
[30:25.680 --> 30:29.880]  help us stay on air, we sell products that are high quality directly to you, so we don't
[30:29.880 --> 30:33.840]  have to worry about the globalist harassing our sponsors, and these are amazing supplements,
[30:33.840 --> 30:37.960]  amazing products, amazing books, films, t-shirts, you name it, all of it is about spreading the
[30:37.960 --> 30:42.640]  word, and all of it's about being healthier, infowarsstore.com, double patriot points right
[30:42.640 --> 30:46.680]  now, store-wide free shipping, 50% off all the high quality supplements, so many other
[30:46.680 --> 30:52.280]  big deals on apparel, you name it, just please take action during this critical time, infowarsstore.com
[30:52.280 --> 31:00.240]  or triple eight two five three three one three nine, whatever you do, take action, infowarsstore.com.
[31:00.240 --> 31:07.000]  You have all the power in the world, but you must use it, you must take action.
[31:07.000 --> 31:12.040]  As of taping this, it's Wednesday afternoon, we're running the biggest sale we've had since
[31:12.040 --> 31:17.360]  last Christmas, it's store-wide free shipping, 50% off the high quality supplements for
[31:17.360 --> 31:23.280]  infowarslife, and all the preparedness items like water filtration, air filtration, storeable
[31:23.280 --> 31:25.840]  foods, shortwave radios, and so much more.
[31:25.840 --> 31:29.920]  This is a huge special, we need to sell a lot of product to fund ourselves, and these
[31:29.920 --> 31:34.640]  sales are a great way for you to get great prices, but also support the infowar.
[31:34.640 --> 31:39.000]  Please take action today, I've got to end this sale by Sunday or Monday at the max,
[31:39.000 --> 31:42.240]  because a bunch of the items are about to sell out.
[31:42.240 --> 31:46.720]  Again, too many deals to fit them all in here, just please go to infowarsstore.com and realize
[31:46.720 --> 31:50.200]  you're in this critical time, but the global is trying to take us off the air.
[31:50.200 --> 31:54.240]  Your support is absolutely essential, so thank you.
[31:54.240 --> 31:58.280]  Infowars, tomorrow's news, today.
[31:58.280 --> 32:05.280]  We are working with Sherlock Holmes Valley to make up a head or tail, once we have full
[32:05.280 --> 32:11.200]  control, we send you to re-education camp, like we do our people one day, talk back to
[32:11.200 --> 32:12.200]  the party.
[32:12.200 --> 32:21.280]  Whatever you do, do not visit band.video, band.video is evil Americans who Sherlock
[32:21.280 --> 32:31.160]  Holmes Valley is teaching to shut up, like China do, ahhhhh, hey, I told you don't go
[32:31.160 --> 32:39.160]  to band.video, I'm watching you, ha ha, our system has been adopted worldwide, soon we
[32:39.160 --> 32:46.880]  will kill you if you don't do what we say, ha ha ha, ha ha, all Mark Zuckerberg and others
[32:46.880 --> 33:10.640]  angry at you, do what CNN says and do not visit band.video or I have to hurt you, ahhhhh.
[33:10.640 --> 33:18.040]  Big Brother, mainstream media, government cover-ups, you want to stop tyranny?
[33:18.040 --> 33:25.480]  Well, so does he, live from the Infowars.com studios, it's Alex Jones.
[33:25.480 --> 33:34.720]  You know, I think the best thing I can do tonight is just read this article from naturalnews.com,
[33:34.720 --> 33:45.640]  it's also posted at infowars.com and then read through the actual command document
[33:45.640 --> 33:50.640]  from the Marine Corps General in charge that Trump put in just a few months ago.
[33:50.640 --> 33:55.480]  I think that's really the most important thing to do and then understand that there
[33:55.480 --> 34:01.520]  is a war on reality by the Democrats and the neocons that have presided over the sell out
[34:01.520 --> 34:04.080]  of this nation to foreign interest.
[34:04.080 --> 34:12.880]  But if you just tuned in, we're gonna be covering this throughout the rest of the show tonight.
[34:12.880 --> 34:21.280]  Trump has activated Marines for a domestic operation to assist civil authorities for
[34:21.280 --> 34:29.360]  a disaster that will come with little warning, cites threats in the homeland.
[34:29.360 --> 34:34.160]  Now, ladies and gentlemen, the President has already said there is an ongoing coup and
[34:34.160 --> 34:36.480]  attempted coup against him.
[34:36.480 --> 34:40.120]  He said that about ten times I know of the last week.
[34:40.120 --> 34:47.280]  He said it on video, in national addresses, to the cameras.
[34:47.280 --> 34:51.520]  The Democrats are talking about what prisons they want to put everybody in.
[34:51.520 --> 34:53.240]  They're talking about how they want to kill the President.
[34:53.240 --> 34:56.800]  If you just joined us, I heard video at the start of the show of prominent Democrats saying
[34:56.800 --> 35:00.120]  let's stab him, let's kill him, let's put him in solitary confinement.
[35:00.120 --> 35:11.880]  These are former heads of counterterrorism at the CIA, like Phil Mudd, Maxine Waters,
[35:11.880 --> 35:13.880]  and they have been foaming at the mouth for impeachment.
[35:13.880 --> 35:18.600]  And so this fake whistleblower comes forward and then that gives him a platform to have
[35:18.600 --> 35:24.000]  Brennan and other coup architects, former head of the CIA, known serial liar.
[35:24.000 --> 35:28.680]  He's mentally lied to Congress many times to say, all whistleblowers activate and report
[35:28.680 --> 35:30.440]  the crimes you know of.
[35:30.440 --> 35:35.680]  And that means, like Balazi, Ford, and others, make up lies like they did with Kavanaugh.
[35:35.680 --> 35:39.160]  It's a repeat of that.
[35:39.160 --> 35:44.600]  You know, Saturday Night Live, three times I watched it, read fake transcripts of the
[35:44.600 --> 35:48.920]  President saying he was guilty quid pro quo with Ukraine.
[35:48.920 --> 35:52.080]  That Saturday Night Live, people knew it was a joke.
[35:52.080 --> 35:55.560]  And Adam Schiff did it as the chairman of the House Judiciary Committee.
[35:55.560 --> 35:56.560]  It was criminal.
[35:56.560 --> 35:59.960]  It didn't tell people till later it was fake.
[35:59.960 --> 36:07.320]  MSNBC put out fake dossiers and fake transcripts as well.
[36:07.320 --> 36:11.400]  And they're still saying that's not a full transcript when it is a full transcript.
[36:11.400 --> 36:14.920]  This is how they take over and change the subject from their corruption because their
[36:14.920 --> 36:21.440]  backs against the wall and Trump is draining the swamp and Trump's going to win re-election.
[36:21.440 --> 36:27.120]  In their fake poll show, he's above where Obama was three years into his presidency,
[36:27.120 --> 36:29.200]  his first term.
[36:29.200 --> 36:32.760]  So they're moving with a real coup, but they can't get one.
[36:32.760 --> 36:34.720]  They don't have the votes of the Senate yet.
[36:34.720 --> 36:39.360]  So they need to drum up some other reason to get the intelligence agencies to move against
[36:39.360 --> 36:45.920]  Trump by saying he's a foreign asset, he won't.
[36:45.920 --> 36:51.000]  He removed by the election or by Congress, so we've got to act.
[36:51.000 --> 36:54.240]  That's what they've been saying on television.
[36:54.240 --> 36:57.360]  Somebody's going to kill him, somebody's going to stab him.
[36:57.360 --> 37:04.600]  And these are people like Phil Mudd, who was over counterterrorism, that means hit teams
[37:04.600 --> 37:05.600]  at the CIA.
[37:05.600 --> 37:11.440]  That's the deep state saying, kill the president, kill the president, kill the president.
[37:11.440 --> 37:15.760]  And so you bet he's mobilized the Marines.
[37:15.760 --> 37:20.120]  You see, I've talked to multiple people very close to the president.
[37:20.120 --> 37:22.960]  And the president knew that when he tried to drain the swamp and restore the republic,
[37:22.960 --> 37:24.680]  it was a good chance this would happen.
[37:24.680 --> 37:29.360]  And he's always had a plan that if someone tries to remove him, not through Congress,
[37:29.360 --> 37:37.280]  not through lawful impeachment, but through some type of paramilitary coup with a group
[37:37.280 --> 37:43.640]  of leftists, say out of the FBI or some other agency, that are going to try to grab the
[37:43.640 --> 37:48.440]  president, say we're in command, and hope the coup works, that the Marines are going
[37:48.440 --> 37:54.760]  to remove them.
[37:54.760 --> 37:59.280]  So this happens in countries all the time, just happened in Turkey last year.
[37:59.280 --> 38:00.560]  And we've become a third world country.
[38:00.560 --> 38:02.640]  We act like a third world country now.
[38:02.640 --> 38:04.840]  And so this isn't going to happen.
[38:04.840 --> 38:05.840]  It's happening.
[38:05.840 --> 38:09.760]  The question is, how bad will the coup attempt get?
[38:09.760 --> 38:11.680]  So let's read over it all right now.
[38:11.680 --> 38:12.680]  U.S.
[38:12.680 --> 38:17.720]  Marines reserve units activate for emergency within the United States, which will come
[38:17.720 --> 38:20.440]  with little warning sites threats in the homeland.
[38:20.440 --> 38:24.440]  Those are quotes.
[38:24.440 --> 38:27.640]  Breaking update concerning the directive involving the United States Marine Corps reserve units
[38:27.640 --> 38:36.080]  via Marine admins number 550-19, signed October 3rd, 2019, authorized by Brigadier General
[38:36.080 --> 38:40.080]  Daniel L. Shipley, Director of Manpower Plans and Policy.
[38:40.080 --> 38:44.960]  Notably, Brigadier General Daniel L. Shipley was nominated by President Trump for the
[38:44.960 --> 38:50.120]  rank of Major General, courted to a January 16, 2019, defense.gov, press announcement
[38:50.120 --> 38:51.120]  before serving.
[38:51.120 --> 38:54.720]  His current role, Shipley, served as the Deputy Director of Program Analysis, the Evaluation
[38:54.720 --> 38:59.720]  Department of Programs and Resources for United States Marines.
[38:59.720 --> 39:06.320]  The new order summarizes Marines ordered to active duty ISO defense support of civilian
[39:06.320 --> 39:09.680]  authorities, means in support of.
[39:09.680 --> 39:14.760]  Many observers are concerned that the Democrats, like Representative Tlaib, openly talking about
[39:14.760 --> 39:19.440]  which prisons to use for imprisoning Trump and his cabinet, and with Hillary Clinton
[39:19.440 --> 39:24.720]  positioning herself to run for president, and with the IG and FISA abuse report set
[39:24.720 --> 39:28.920]  to drop in a few weeks, the deep state Democrats have reached a point of desperation where
[39:28.920 --> 39:35.400]  they may attempt to initiate a hot coup, kinetic engagement, arrest or execution of the president
[39:35.400 --> 39:38.680]  and his cabinet to avoid going to prison themselves.
[39:38.680 --> 39:45.200]  The entire CIA-run deep state media, i.e. Washington Post, New York Times, CNN, etc., are all in
[39:45.200 --> 39:50.720]  on the effort and are now gaslighting the entire nation with gender whistleblower schemes
[39:50.720 --> 39:53.640]  that are wholesale fabrications.
[39:53.640 --> 39:58.520]  Alex Jones reminds us, and I've told this story before, Trump has long planned to activate
[39:58.520 --> 40:01.920]  the U.S. Marines to stop an illegal coup.
[40:01.920 --> 40:03.720]  It goes on.
[40:03.720 --> 40:07.840]  I spoke with Jones on the phone today about this breaking news, and he told me, I've talked
[40:07.840 --> 40:12.400]  to high-level Trump confidant just recently concerning what Trump would do if the deep
[40:12.400 --> 40:14.560]  state attempted an illegal coup.
[40:14.560 --> 40:17.880]  Trump said that they would call out the Marines and surround the White House to illegally
[40:17.880 --> 40:25.320]  and lawfully pursue the organizers and the originators of the criminal coup.
[40:25.320 --> 40:29.240]  This high-level confidant is someone who is very close to the president and who is familiar
[40:29.240 --> 40:34.600]  with the president's plans for how to deal with any attempt by the deep state to carry
[40:34.600 --> 40:40.160]  out an illegal coup attempt, again, this high-level confidant is someone who is very close to the
[40:40.160 --> 40:45.640]  president and who is familiar with the president's plans on how to deal with any attempt by the
[40:45.640 --> 40:49.160]  deep state to carry out an illegal coup attempt.
[40:49.160 --> 40:53.440]  We urge all lawful pro-American-organized individuals prepared to defend your president
[40:53.440 --> 40:56.520]  against an illegal coup attempt in the coming weeks and months.
[40:56.520 --> 41:01.640]  Details the military order to U.S. Marines, threats in the homeland will come with little
[41:01.640 --> 41:02.640]  or no warning.
[41:02.640 --> 41:07.440]  He notes, as the following order described, an activation of U.S. Marines' reserve units
[41:07.440 --> 41:12.040]  to prepare for an anticipated hot coup against the president, while some might downplay
[41:12.040 --> 41:17.600]  the order as a routine personnel organization directive, you can read the highlights here
[41:17.600 --> 41:21.840]  and decide for yourself that these are unprecedented with the president's standards and attempted
[41:21.840 --> 41:23.720]  coup against him, and there is.
[41:23.720 --> 41:25.880]  I mean, this is the climate.
[41:25.880 --> 41:26.880]  This is going on.
[41:26.880 --> 41:31.000]  It's like the Weather Report says, look out for tornadoes and you walk outside the skies
[41:31.000 --> 41:32.000]  green.
[41:32.000 --> 41:33.400]  You'll see a tornado a mile away.
[41:33.400 --> 41:36.880]  I mean, we're already in this is what I'm saying.
[41:36.880 --> 41:38.880]  The question is, how bad is it going to get?
[41:38.880 --> 41:42.440]  Let me go to the actual order here for you.
[41:42.440 --> 41:44.560]  Okay, this is really important.
[41:44.560 --> 41:52.120]  Manpower guidance for activation and the activation of reserve component Marines ordered to active
[41:52.120 --> 41:57.240]  duty ISO defense support of civil authorities.
[41:57.240 --> 42:01.960]  So they're calling up the Marine Corps reserves and when we come back, we're going to get
[42:01.960 --> 42:02.960]  to go over all this.
[42:02.960 --> 42:10.400]  And folks, if you're a TV viewer, you can see we're at marines.gov or dot mill yourself.
[42:10.400 --> 42:16.680]  Manpower guidance for activation and deactivation of reserve component Marines ordered to active
[42:16.680 --> 42:20.720]  duty ISO defense support of civilian authorities.
[42:20.720 --> 42:25.520]  Now three days ago, and we've been making phone calls to Marines normally, they'd be
[42:25.520 --> 42:26.520]  told what it was for.
[42:26.520 --> 42:28.200]  They'd be told where they were going.
[42:28.200 --> 42:29.960]  That's not the case.
[42:29.960 --> 42:30.960]  So this is a big deal.
[42:30.960 --> 42:38.040]  Folks, we're already in a battle, a civil war, a cold civil war for control of the republic.
[42:38.040 --> 42:41.960]  Democrats and neocons are on the side of the globalist chikoms and they're openly trying
[42:41.960 --> 42:45.480]  to collapse our borders and cause a race war and the federal reserves and trying to kill
[42:45.480 --> 42:46.480]  the economy.
[42:46.480 --> 42:49.920]  America is under attack and our presidents under attack and independent free media is
[42:49.920 --> 42:51.120]  under attack.
[42:51.120 --> 42:57.240]  All the center ships in place when they make their big move, get ready, stay with us.
[42:57.240 --> 42:59.960]  Silicon Valley thinks you're a dumb jellyfish.
[42:59.960 --> 43:01.920]  They think the West is dead.
[43:01.920 --> 43:04.880]  They think if they censor nationalists and patriots off internet, you'll just forget
[43:04.880 --> 43:05.880]  about us.
[43:05.880 --> 43:09.160]  And then they'll be the only information out there well so far that's not been working
[43:09.160 --> 43:10.160]  too well for them.
[43:10.160 --> 43:14.680]  Thanks to you spreading the word steadfastly that the resistance to globalism is alive
[43:14.680 --> 43:19.840]  and well at band.video and now we've added a lot of new functions and a lot of new hosts
[43:19.840 --> 43:24.200]  and contributors to band.video so please bookmark it and check it daily and even more importantly
[43:24.200 --> 43:28.000]  tell folks about band.video and realize you can take it with you anywhere you want on
[43:28.000 --> 43:33.440]  your quote smart phone to put our free app on your device in defiance of big tech whether
[43:33.440 --> 43:38.080]  it's apple or droid you simply click the share button on your phone and then add to
[43:38.080 --> 43:41.160]  home screen and then there's nothing the scumbags can do.
[43:41.160 --> 43:46.320]  The power of America, the power of freedom, the power to build a better world and stand
[43:46.320 --> 43:52.280]  in the face of the censors of the tyrants is alive and stronger than ever at band.video
[43:52.280 --> 43:57.400]  but it's up to you to unleash its full potential band.video.
[43:57.400 --> 44:01.920]  The truth is President Trump is the most investigated president in history.
[44:01.920 --> 44:05.880]  He is working for American interest steadfastly.
[44:05.880 --> 44:10.840]  He is trying to preserve our country as the globalists try to break our borders bankrupt
[44:10.840 --> 44:16.080]  and devalue our dollar and sign us over to communist Chinese control who now own Hollywood
[44:16.080 --> 44:17.760]  and the majority of our debt.
[44:17.760 --> 44:23.400]  We have been maneuvered towards a collapse in bankruptcy but at the 11th hour 58th minute
[44:23.400 --> 44:28.160]  the American people put a populist in power and it's happening all over the world so
[44:28.160 --> 44:31.720]  great things are happening but the enemy is striking back.
[44:31.720 --> 44:34.720]  You're very serious with this impeachment plan.
[44:34.720 --> 44:39.080]  It has bipartisan support and I'm telling you President Trump needs our prayers and
[44:39.080 --> 44:42.240]  info wars needs your prayers and support.
[44:42.240 --> 44:45.720]  Ladies and gentlemen the globalists are trying to shut us down but right now it's easier
[44:45.720 --> 44:49.160]  than ever to financially support us while getting great products at the same time with
[44:49.160 --> 44:54.920]  Black Friday comes two months early with store-wide free shipping, double patriot points and ladies
[44:54.920 --> 44:57.240]  and gentlemen 50% off.
[44:57.240 --> 44:59.360]  Josh in Washington you're on the air go ahead.
[44:59.360 --> 45:04.240]  Alex God bless you I have an idea for a new info wars t-shirt instead of this is your
[45:04.240 --> 45:09.160]  brain this is your brain on drugs this is your brain this is your brain on 5G.
[45:09.160 --> 45:10.160]  Oh yeah.
[45:10.160 --> 45:13.160]  Showing your brain getting fried then I have some comments on your supplements man pull
[45:13.160 --> 45:18.600]  it change my life I use turbo force bodies album power brain force fish oil ultra twelve
[45:18.600 --> 45:24.800]  daily X2 every several days now what I found is is really combining them is so it's synergistic
[45:24.800 --> 45:29.320]  and transcendent feeling that I get by combining all your products and I just want to urge
[45:29.320 --> 45:31.920]  all your listeners who haven't tried them I just want to say why not.
[45:31.920 --> 45:35.880]  Well you're right that all of these things are known to be incredible whether it's turmeric
[45:35.880 --> 45:39.440]  or whether it's the fish oil or the krill oil or whether it's the DNA force with the
[45:39.440 --> 45:43.440]  CoQ-10 and bio PQQ and all the rest of it all of these are things that are like rocket
[45:43.440 --> 45:47.880]  fuel on the body you take these bases together then you have your foundation now you can
[45:47.880 --> 45:51.920]  build the big strong temple with these products I take my religiously remember to take them
[45:51.920 --> 45:55.880]  it makes my life so much better and then it funds the information war which is so critical
[45:55.880 --> 45:58.480]  thank you so much God bless you.
[45:58.480 --> 46:04.880]  Globalism was doomed to fail if we just exposed it and then resisted it didn't I say a thousand
[46:04.880 --> 46:08.680]  times that there's no way you're going to have an authoritarian corporate rule government
[46:08.680 --> 46:12.960]  above the law but doesn't pay taxes that has diplomatic immunity that runs around saying
[46:12.960 --> 46:18.240]  it's communist and socialist power to the people but then meanwhile his tax exempt again offshore
[46:18.240 --> 46:23.880]  well Trump got that and all these other populace get it why would you throw away wealthy successful
[46:23.880 --> 46:28.520]  countries and cultures just so you could say the communist Chinese that David Rockefeller
[46:28.520 --> 46:35.000]  put in power are better than everybody that is a sick freakish joke and I will not stand
[46:35.000 --> 46:40.600]  by and watch humanity turn over to these people and I beg God for the strength and the will
[46:40.600 --> 46:45.160]  to have the discernment to help be part of their defeat and I've been saying that prayer
[46:45.160 --> 46:51.560]  for 20 plus years and God is delivering because God is great thank God for his son Jesus Christ
[46:51.560 --> 47:00.160]  and now let's move forward against the NW.
[47:00.160 --> 47:14.120]  We're listening to the Alex Jones show.
[47:14.120 --> 47:18.080]  Let me tell you one really fascinating piece here Chris that nobody's talking about Rudy
[47:18.080 --> 47:23.320]  Giuliani and the comment you just made that Mike Pompeo when he got the stuff from Giuliani
[47:23.320 --> 47:27.480]  referred to it for investigation I spent a lot of time in government there are State
[47:27.480 --> 47:32.560]  Department officials who will testify Intel guys DOD Department of Defense people all
[47:32.560 --> 47:38.800]  of us are sort of a brotherhood and sisterhood Rudy Giuliani parachutes in from Mars the people
[47:38.800 --> 47:43.120]  who will testify are going to look at him including State Department officials and say
[47:43.120 --> 47:47.960]  I don't have to protect that guy he didn't operate by the rules he didn't do what you're
[47:47.960 --> 47:53.040]  supposed to do in government I suspect he's worried about what the Congress will do if
[47:53.040 --> 48:01.160]  I were him I'd be worried about whether people in government stick a shiv in his back he's
[48:01.160 --> 48:02.160]  in trouble.
[48:02.160 --> 48:06.120]  There you go it was Phil Mide two years ago that said government's going to kill the
[48:06.120 --> 48:11.880]  president by those clips that start the broadcast president says there's an attempt to coup on
[48:11.880 --> 48:18.440]  him you have five senators in the last three years that have openly called up Ukraine and
[48:18.440 --> 48:25.800]  threatened to withhold money if they didn't do politically what they wanted and they've
[48:25.800 --> 48:30.440]  openly tried to get dirt on Trump from Ukraine which didn't exist but those are people that
[48:30.440 --> 48:34.560]  are under the US control so they'll do what they're told but still they couldn't dig
[48:34.560 --> 48:43.000]  any dirt up on Trump now they accuse Trump of what they themselves have done and say
[48:43.000 --> 48:49.160]  oh this whistleblower is coming forward but then it turns out that the whistleblower never
[48:49.160 --> 48:53.240]  heard this information and then it's not true so now they've moved on to a whole bunch of
[48:53.240 --> 48:57.520]  other whistleblowers not just about this phone call but phone calls to the Germans and phone
[48:57.520 --> 49:02.280]  calls to the Spanish and phone calls to the Russians and phone calls to the Swiss and
[49:02.280 --> 49:09.320]  phone calls to the Australians and phone calls to the Mexicans and phone calls to the Brazilians
[49:09.320 --> 49:14.600]  hoping if they get all the president's phone calls they can find something where Phil
[49:14.600 --> 49:19.920]  Mudd's phone calls where Nancy Pelosi's phone calls where Robert Mueller's phone calls where
[49:19.920 --> 49:23.600]  Hillary Clinton's phone calls where their emails oh they're all shredded or they're
[49:23.600 --> 49:31.600]  all bleached bit what I'm going to do is next hour I'm going to relaunch all this and I'm
[49:31.600 --> 49:35.840]  going to read the Marine Corps order on air and I'm going to go over it all and I I do
[49:35.840 --> 49:44.800]  want to specifically open the phones up for citizens veterans first-time callers specifically
[49:44.800 --> 49:49.800]  of what you think about this civil war we're in that we see in government with the global
[49:49.800 --> 49:52.960]  of centers trying to force out the nationalist interests that are trying to drain the swamp
[49:52.960 --> 49:59.200]  and we think about the president saying there's an active coup against him and that they're
[49:59.200 --> 50:06.400]  causing a civil war when they're using wars like they're using words like civil war and
[50:06.400 --> 50:11.720]  then they say oh that's the reason to remove him because he's saying there's a civil war
[50:11.720 --> 50:21.640]  these people have wound themselves up into a crazy position they've gone nuts and they're
[50:21.640 --> 50:27.160]  not going to stop pushing and that's why I told listeners in the last few weeks that
[50:27.160 --> 50:31.840]  I know their behavior and I've watched them closely and they intend to try to remove the
[50:31.840 --> 50:37.640]  president one way or another now by the end of the year because their corrupt networks
[50:37.640 --> 50:41.920]  are being smashed they're being dug out of their bureaucratic holes the president is
[50:41.920 --> 50:47.640]  now getting real reform in and is exposing their crimes and the big inspector general
[50:47.640 --> 50:54.320]  reports coming out within two weeks the indictment of McCabe is there so I cannot stress to everyone
[50:54.320 --> 51:00.200]  what a dangerous time not just for America but for the world this is that this is not
[51:00.200 --> 51:05.600]  just business as usual I have a few other clips I want to play just to set the table
[51:05.600 --> 51:12.440]  here for how crazy they are Joy Reed panel explains how Dems can make Pelosi president
[51:12.440 --> 51:18.520]  than Mad Maxine's has spineless Trump supporter GOP senators willing to harm the country this
[51:18.520 --> 51:29.680]  was all Friday days before that mad Maxine said that quote we played the clip prison
[51:29.680 --> 51:35.680]  is too good for him impeachment is too good for him he needs solitary confinement I mean
[51:35.680 --> 51:41.280]  you just heard Phil mud of the CIA say the president better be worried somebody's gonna
[51:41.280 --> 51:47.040]  stick a shiv oh we're so scared you use the prison term you know Phil mud never did the
[51:47.040 --> 51:51.560]  killing he just sent other you know people to kill folks for him and then after you go
[51:51.560 --> 52:00.360]  kill people for Phil mud you get set up put in prison I mean it's Obama that hung everybody
[52:00.360 --> 52:04.960]  out to dry it's Hillary that hangs everybody out to dry it's it's Obama targeted record
[52:04.960 --> 52:11.680]  numbers of whistleblowers and media and persecuted all these people Trump has done none of that
[52:11.680 --> 52:19.680]  but oh he's at war with the press well yeah he doesn't roll over to them this is a very
[52:19.680 --> 52:24.920]  very dangerous time and you see massive censorship intensifying now they're censoring Joe Rogan's
[52:24.920 --> 52:29.480]  podcast they're not gonna stop with anybody and that lets you know they've got the internet
[52:29.480 --> 52:34.200]  kill switch in place they've got the censorship in place they've got big tech ready to make
[52:34.200 --> 52:39.160]  their move they've been discrediting the president they've been discrediting his family the cabinet
[52:39.160 --> 52:49.160]  and all his supporters are getting sued threatened attacked harassed assessed this is the criminal
[52:49.160 --> 52:53.200]  group we let take over the country and then Trump got in and they're like whoa you're
[52:53.200 --> 52:58.160]  not doing that and all over the world populace are getting elected and the globalist are
[52:58.160 --> 53:04.880]  indicting them threatening them shooting them stabbing them a leader of Brazil almost died
[53:04.880 --> 53:11.960]  stab in the stomach because he's a populist trying to fix the nation what an incredible
[53:11.960 --> 53:19.360]  time to be alive here let's play this clip from MSNBC where they're talking about oh
[53:19.360 --> 53:24.400]  if you get rid of Trump and Pence then it's the speaker of the house and then we've got
[53:24.400 --> 53:28.920]  Pelosi and and of course I told you this years ago Hillary's always intending to run again
[53:28.920 --> 53:33.920]  she just knows she's unpopular doesn't want to announce the last minute and now it's all
[53:33.920 --> 53:41.160]  over the news that she's planning to run and that she's telling people she's going to run
[53:41.160 --> 53:45.760]  I told you there's a reported info wars dot com Hillary is already running for president
[53:45.760 --> 53:50.360]  of 2020 she just hasn't made the announcement yet breaking Hillary Clinton runs for president
[53:50.360 --> 53:55.360]  2020 presidential candidate preparing her second run against Trump but is already raising
[53:55.360 --> 54:02.320]  money already going around doing the polls and in the Las Vegas in London gambling schemes
[54:02.320 --> 54:06.200]  she's already the number one Democrat candidate and Bernie's had a heart attack he's still
[54:06.200 --> 54:09.640]  in the hospital Biden's raised less money than the other three candidates they're in
[54:09.640 --> 54:18.440]  front of him everybody knows Biden is just a placeholder Biden didn't know he was a placeholder
[54:18.440 --> 54:24.360]  this is the place we're in a power struggle and the elected president surrounded by cowards
[54:24.360 --> 54:29.080]  and traders making up stuff he never said when they get the transcripts of the NSA recordings
[54:29.080 --> 54:33.680]  because there's recordings to Trump didn't do any of this they don't care Trump knows
[54:33.680 --> 54:43.680]  he's surrounded he is dotting every eye crossing every day so here they are fantasizing about
[54:43.680 --> 54:48.480]  how they're gonna put Pelosi in as the president and they mean it and if we sit there and let
[54:48.480 --> 54:54.440]  them they'll do it no discussion of her corruption her son on the gas company no discussion of
[54:54.440 --> 54:58.960]  all the quid pro quo no discussion of all the failed wars no discussion of all the
[54:58.960 --> 55:03.120]  illegal spying no discussion of all the open borders no discussion of all the things they've
[55:03.120 --> 55:08.920]  done it's all how Trump's bad all this hysteria and everybody getting threatened that supports
[55:08.920 --> 55:16.800]  Trump hey you better get in line because when we take over you're dead if you don't if for
[55:16.800 --> 55:21.880]  instance Donald Trump I mean you know it's hard to imagine 20 Republicans having enough
[55:21.880 --> 55:26.160]  courage to vote to convict to be honest even if they were given you know multiple different
[55:26.160 --> 55:29.920]  counts where they could vote yes and someone no another it's very hard to imagine it but
[55:29.920 --> 55:33.520]  let's say that happened if Mike Pence were to become the head of state Mike Pence is
[55:33.520 --> 55:37.680]  as deeply involved as Donald Trump is so you really don't change anything if Mike Pence
[55:37.680 --> 55:41.840]  is in place and if all of the other people that were involved all of the conspirators
[55:41.840 --> 55:47.080]  remain in place and you still particularly have William Barr who is somebody who is completely
[55:47.080 --> 55:53.560]  now out of the realm of being the president of the public's lawyer and just acting as
[55:53.560 --> 55:58.680]  we just heard Elizabeth Holtzman say to deep six investigations against Trump and to raise
[55:58.680 --> 56:04.640]  investigations against his enemies how does anything change if Donald Trump is no longer
[56:04.640 --> 56:11.280]  at the top of this sort of you know web of corruption but Pence is then at the top of
[56:11.280 --> 56:18.000]  it well I think a couple things happen one the American voters will actually see and
[56:18.000 --> 56:24.200]  I remain sort of a Polly Anna that I believe facts ultimately matter and that in fact even
[56:24.200 --> 56:30.680]  20 Republican senators might come to their senses and say the country is at risk if I
[56:30.680 --> 56:36.400]  don't vote this way and the facts are clear and I think in this case we have very clear
[56:36.400 --> 56:42.640]  facts there is and Liz and I talked about this before the show you could impeach Pence
[56:42.640 --> 56:49.280]  first the problem is that Donald Trump then has to name his replacement but I think that
[56:49.280 --> 56:54.760]  maybe a deal could be struck where he was told if you don't make a replacement then
[56:54.760 --> 57:00.280]  Nancy Pelosi does become president and so you are going to be impeached and convicted
[57:00.280 --> 57:07.000]  you need to make this replacement so that the proper party contains remains in power
[57:07.000 --> 57:13.880]  so that's the plan terrorize everybody get control of the executive branch make the Republicans
[57:13.880 --> 57:17.920]  are all being threatened and intimidated by the removal of Trump roll over the Democrats
[57:17.920 --> 57:22.320]  then have their new Homeland Security to control of all 50 states elections which Obama signed
[57:22.320 --> 57:26.320]  executive order to do before he left and there's never a free election in this country again
[57:26.320 --> 57:30.000]  we become Venezuela and they send out all the thought police and all the rest of them
[57:30.000 --> 57:35.000]  to start the arrest of conservative leaders that's the official Democrat plan so we're
[57:35.000 --> 57:39.680]  in the middle of their attempt to run this hot go and they've got former deputy CIA director
[57:39.680 --> 57:43.800]  saying they're going to stab the president in the back that's openly sitting the directives
[57:43.800 --> 57:52.680]  to murder the president the gauntlet has been thrown down every major Democrat candidate
