[00:00:17.922 --> 00:00:20.244]  It's Tuesday, July 6th.
[01:01:59.138 --> 01:02:10.549]  But Ballarat detectives were determined to question Zoe Buehler after the 28-year-old allegedly created this Freedom Day Facebook event asking her friends to remember the 5th of September.
[01:02:10.549 --> 01:02:12.671]  I wasn't breaking any laws by doing that.
[01:02:12.671 --> 01:02:13.531]  You are actually.
[01:02:13.531 --> 01:02:14.312]  You are breaking laws.
[01:02:14.312 --> 01:02:16.534]  That's why I'm arresting you in relation to this.
[01:02:16.534 --> 01:02:17.375]  How can you arrest me?
[01:02:19.336 --> 01:02:31.740]  The former cleaner turned candle maker has posted that COVID is a hoax and police alleged she was behind an anti-lockdown demonstration similar to those planned in major cities across the world this Saturday.
[01:02:31.740 --> 01:02:34.661]  They also censored medical treatments, medical doctors.
[01:02:34.661 --> 01:02:44.105]  This is a giant exercise in raping our freedoms, raping our speech, raping our bodies and forcing their deadly gene therapies into us.
[01:02:44.980 --> 01:02:48.004]  I got mainstream news going, we don't know why they're doing that!
[01:02:48.004 --> 01:02:50.107]  I mean, whoa!
[01:02:50.107 --> 01:02:52.169]  Who's giving the directives?
[01:02:52.169 --> 01:02:54.773]  Grab the clipboard, find out what the directions are!
[01:02:54.773 --> 01:02:57.417]  When the first world collapses, the third world dies.
[01:02:59.821 --> 01:03:00.241]  I think so.
[01:03:21.232 --> 01:03:30.859]  Ladies and gentlemen, that's why it's more important than ever to realize that the products we do have available at InfoWareStore.com are the product sales that are keeping us on air.
[01:03:30.859 --> 01:03:36.883]  And I know you're always used to big sales, and so you don't buy the products until they're on sale, so it's a catch-22.
[01:03:36.883 --> 01:03:40.045]  We have less of the product, and we're still selling it at a huge discount.
[01:03:40.585 --> 01:03:43.869]  I don't know how long I can keep doing this, but for now it's a catch-22.
[01:03:43.869 --> 01:03:45.111]  I've got to have the money come in.
[01:03:45.111 --> 01:03:54.142]  So please get X2, please get X3 at 50% and 60% off with free shipping, double pay, three points, and a bunch of other sales right now that are about to end because we've got to sell this product and stay on air.
[01:04:06.980 --> 01:04:22.045]  Live from the Infowars.com studios, it's Alex Jones.
[01:04:22.045 --> 01:04:29.408]  Well, Charlie Munger is an interesting old devil.
[01:04:29.408 --> 01:04:33.489]  Charlie Munger agrees with Bill Gates and Warren Buffett and Ted Turner
[01:04:34.534 --> 01:04:41.640]  And a bunch of other really creepy people, like David Rockefeller when he was alive, that there are too many people on the world.
[01:04:41.640 --> 01:04:59.495]  And you could argue that in some cases, and I do think we're disruptive, and I do think we should be good stewards, but they've self-appointed themselves to be authoritarians and to live like kings over us, and for us to have no rights, and that's just an excuse they use to lord over us.
[01:04:59.495 --> 01:05:01.637]  And Charlie Munger attends
[01:05:02.981 --> 01:05:11.725]  The meetings that they have had to discuss establishing a world government to carry out forced depopulation.
[01:05:11.725 --> 01:05:12.446]  What's my source?
[01:05:12.446 --> 01:05:17.028]  London Guardian, Times of London, Wall Street Journal, New York Times, ABC News.
[01:05:17.028 --> 01:05:24.512]  Just type in, the good club meets in secret to discuss depopulation.
[01:05:24.512 --> 01:05:30.835]  You'll get several hundred articles going back 20 years where they were trying to sell this as a good idea.
[01:05:31.491 --> 01:05:35.813]  The most incredible ones were in 2009, for whatever reason.
[01:05:35.813 --> 01:05:38.995]  Well, they decided to try to sell their idea to the world.
[01:05:38.995 --> 01:05:46.918]  Well, Charlie Munger, he's also one of the richest men in the world, and he is invested with Bill Gates and with Warren Buffett.
[01:05:46.918 --> 01:05:49.540]  In fact, he is their mentor.
[01:05:49.540 --> 01:05:54.362]  He's almost 100 years old, and he is friends.
[01:05:54.362 --> 01:05:56.303]  Yeah, put the Guardian headline back up for folks.
[01:05:56.303 --> 01:06:00.505]  He was good friends with Bill Gates' daddy and Bill Gates' mommy.
[01:06:01.545 --> 01:06:11.747]  And Bill Gates' daddy and mommy, they ran the main worldwide eugenics organization, and Planned Parenthood, and the IBM Trust of Thomas Watson.
[01:06:11.747 --> 01:06:14.908]  There's a Pulitzer Prize winning book about that called IBM and the Holocaust.
[01:06:14.908 --> 01:06:29.711]  You might want to learn about it, because they're the ones that are almost in full control of the planet, and they want to forcibly inject you with known deadly poison, so you can, quote, have a job, or get on a plane, or go to a ballgame, and they're very close to getting it in place.
[01:06:31.716 --> 01:06:34.077]  Multiple US states say, don't come here unless you've had the shot.
[01:06:34.077 --> 01:06:36.598]  It's illegal, they still do it.
[01:06:36.598 --> 01:06:39.039]  The military says, we're about to start forced inoculations.
[01:06:39.039 --> 01:06:41.800]  Major banks are saying, you can't work here if you haven't had it.
[01:06:41.800 --> 01:06:44.221]  It's here.
[01:06:44.221 --> 01:06:57.906]  So, people that want to kill you, people that have offshore exempt bank accounts in Singapore and China, and Bill Gates and Charlie Munger and Warren Buffett, who all cheerleaded
[01:07:01.292 --> 01:07:05.814]  All cheerleaded!
[01:07:05.814 --> 01:07:18.740]  For China being great, and China having a great response, and America should never reopen, and America's bad, and there's a more deadly bioweapon coming, and there'll be deadly variants that come, and we'll never be able to open again, you should never take your mask off!
[01:07:18.740 --> 01:07:20.101]  Charlie Munger!
[01:07:20.101 --> 01:07:22.282]  I'm not going to air the whole 15-minute interview.
[01:07:22.282 --> 01:07:23.482]  I watched it Friday.
[01:07:23.482 --> 01:07:28.625]  It broke after we were off.
[01:07:28.625 --> 01:07:28.765]  And
[01:07:29.770 --> 01:07:38.757]  He talked about authoritarianism, and how America did a bad job, and how China did a great job, and how we need to, you know, do all this.
[01:07:38.757 --> 01:07:39.818]  But here's just a clip.
[01:07:39.818 --> 01:07:57.852]  Old Charlie Munger, who is a monger of evil, outmongering his corruption, praising China for arresting and disappearing the billionaire founder and owner of Alibaba.
[01:08:00.026 --> 01:08:04.027]  Because Jack Ma thought he'd do his own thing.
[01:08:04.027 --> 01:08:06.267]  Oh, we can't have that.
[01:08:06.267 --> 01:08:08.388]  And they go on to say, we wish America was like that.
[01:08:08.388 --> 01:08:14.789]  We could just arrest anybody we want who messes with our monopolies.
[01:08:14.789 --> 01:08:26.672]  So we have an almost hundred-year-old crazy man sitting there with his minion, Warren Buffett, and his minion, Bill Gates, because Charlie Munger is a lawyer.
[01:08:28.081 --> 01:08:31.283]  Charlie Munger is the divorce lawyer for Bill Gates.
[01:08:31.283 --> 01:08:33.204]  Well, Melinda Gates.
[01:08:33.204 --> 01:08:33.845]  You know that, right?
[01:08:33.845 --> 01:08:37.787]  Because of the Jeffrey Epstein stuff.
[01:08:37.787 --> 01:08:43.271]  So, there's got to be an image of the evil old white man.
[01:08:43.271 --> 01:08:44.311]  Well, this is it.
[01:08:44.311 --> 01:08:47.133]  The evil old Chinese man is Xi Jinping.
[01:08:47.133 --> 01:08:52.977]  But if you want to see the true incarnation
[01:08:53.701 --> 01:08:56.523]  Of Satanism on this planet.
[01:08:56.523 --> 01:09:06.509]  Of old men posing in their suits, oh gee golly, like the FBI directors, like, you darned Putin, I want to protect Congress, we have no idea.
[01:09:06.509 --> 01:09:11.872]  They all, ho ho ho, look we're eating ice cream, hi kids, oh we're so nice.
[01:09:11.872 --> 01:09:15.034]  You know Warren Buffett was the biggest recipient of the Banker Bailout money in 2008?
[01:09:15.034 --> 01:09:16.135]  487 billion dollars he got himself.
[01:09:20.552 --> 01:09:23.033]  So you hear he's only worth $100 billion, that's not true.
[01:09:23.033 --> 01:09:24.613]  All his money's tax exempt.
[01:09:24.613 --> 01:09:26.094]  You know who?
[01:09:26.094 --> 01:09:30.675]  His bank's got caught laundering hundreds of billions of dollars of drug money knowingly.
[01:09:30.675 --> 01:09:34.516]  Oh, but he talks about if anybody's conservative, we've got to shut down their bank account.
[01:09:34.516 --> 01:09:41.398]  We can't be associated with something immoral.
[01:09:41.398 --> 01:09:45.420]  Yeah, Prince William wants to kill everybody now, too.
[01:09:45.420 --> 01:09:46.440]  You know, he knows best.
[01:09:47.748 --> 01:09:49.049]  But certainly not himself.
[01:09:49.049 --> 01:09:56.692]  So yeah, his grandfather, Prince Philip, his dad, Prince Charles, basically runs the Davos Group.
[01:09:56.692 --> 01:10:03.055]  How great the lockdowns were, he said, because he lives on big private estates and he's got all his own helicopters and jets.
[01:10:03.055 --> 01:10:04.936]  And so they love seeing the highways shut down.
[01:10:04.936 --> 01:10:06.636]  They love seeing you starving in your house.
[01:10:06.636 --> 01:10:08.497]  They love it!
[01:10:08.497 --> 01:10:10.218]  And we sit here and grovel to these monsters.
[01:10:10.218 --> 01:10:12.499]  So here's Charlie Munger today.
[01:10:13.644 --> 01:10:25.930]  In a TV interview, praising a regime that's killed over 100 million people, has millions of Christians and Buddhists and Muslims in death camps, but it's okay because all the Fortune 500 funds Black Lives Matter!
[01:10:25.930 --> 01:10:27.110]  So it's okay!
[01:10:27.110 --> 01:10:27.550]  Here it is.
[01:10:27.550 --> 01:10:35.314]  Charlie, you said Communist China is doing all the things that we should be doing right now, and I can't help but think of what they've done to Jack Ma.
[01:10:35.314 --> 01:10:36.594]  It amuses me, you know.
[01:10:36.594 --> 01:10:37.975]  What about what they've done to Jack Ma?
[01:10:37.975 --> 01:10:39.015]  He's kind of disappeared.
[01:10:39.015 --> 01:10:42.257]  Well, yes, but Jack Ma's one of the swingers.
[01:10:43.237 --> 01:10:46.740]  So they just cut his... they said, the hell with you!
[01:10:46.740 --> 01:10:58.308]  He basically gave a speech when he said to a one-party state, well you guys are a bunch of jerks and don't know what you're doing and I know what I'm doing and I'm going to do it better.
[01:10:58.308 --> 01:11:03.592]  And he was going to wade into banking and no rules and just do whatever he pleased.
[01:11:03.592 --> 01:11:05.774]  He also brought banking to a lot of unbanked people.
[01:11:05.774 --> 01:11:07.295]  The Chinese communists did the right thing.
[01:11:07.295 --> 01:11:09.917]  They just called in Jack Ma and said, you aren't going to do it, sonny.
[01:11:11.745 --> 01:11:21.313]  And I wish we had a... I don't want all of the Chinese system, but I certainly would like to have the financial part of it in my own country.
[01:11:21.313 --> 01:11:26.378]  Although Ant Financial was bringing banking to a huge unbanked population.
[01:11:26.378 --> 01:11:27.339]  That's right.
[01:11:27.339 --> 01:11:29.941]  You're not gonna do it, Sonny!
[01:11:29.941 --> 01:11:32.183]  You're not gonna set up your own cash app!
[01:11:38.216 --> 01:11:40.637]  You know anything about Warren Buffett and Munger?
[01:11:40.637 --> 01:11:44.598]  Those are some devils, baby!
[01:11:44.598 --> 01:11:46.079]  Whoo!
[01:11:46.079 --> 01:11:48.099]  Lordy, lordy, lordy!
[01:11:48.099 --> 01:11:50.900]  What goes on up in Omaha?
[01:11:50.900 --> 01:11:53.221]  Mmm, boy!
[01:11:53.221 --> 01:11:55.802]  Think those old boys ever put on a black hood?
[01:11:55.802 --> 01:11:58.603]  They ain't wearing white hoods, I'm gonna show you that.
[01:12:00.535 --> 01:12:01.836]  That's a mere child's play.
[01:12:01.836 --> 01:12:04.677]  They're wearing some hoods, baby.
[01:12:04.677 --> 01:12:07.979]  They're party animals right there.
[01:12:07.979 --> 01:12:10.440]  And they run the whole thing.
[01:12:10.440 --> 01:12:12.401]  They opened up China.
[01:12:12.401 --> 01:12:13.442]  They run the whole show.
[01:12:13.442 --> 01:12:17.904]  They're the last living globalist with Henry Kissinger to set up the whole plan.
[01:12:17.904 --> 01:12:21.386]  Not gonna do it, sonny.
[01:12:21.386 --> 01:12:23.807]  How dare you try to open companies up?
[01:12:23.807 --> 01:12:25.388]  We disappear, your ass.
[01:12:26.381 --> 01:12:34.905]  I sure do wish we had that here in America!
[01:12:34.905 --> 01:12:36.625]  But we're gonna get it!
[01:12:36.625 --> 01:12:40.347]  Just as soon as we shut up all these Americans!
[01:12:40.347 --> 01:12:41.808]  Sonny!
[01:12:41.808 --> 01:12:42.948]  Sonny boy!
[01:12:42.948 --> 01:12:50.171]  Remember every time you eat at Dairy Queen you're putting money in Munger's pocket.
[01:12:50.171 --> 01:12:51.552]  That's okay Sonny!
[01:12:54.778 --> 01:13:02.729]  He says China right to clip Ma's wings and disappear him last time he was seen as a forced labor camp shouldn't he?
[01:13:04.667 --> 01:13:08.729]  You know who funds all the transgenderism and all the open borders?
[01:13:08.729 --> 01:13:11.171]  Why, it's me, Sonny!
[01:13:11.171 --> 01:13:14.153]  And you know who's got our troops marching in Red Hills?
[01:13:14.153 --> 01:13:14.773]  It's me!
[01:13:14.773 --> 01:13:16.274]  That turns me on!
[01:13:16.274 --> 01:13:17.535]  I like it!
[01:13:17.535 --> 01:13:19.677]  I like Jeffrey Epstein!
[01:13:19.677 --> 01:13:21.017]  I like Bill Gates!
[01:13:21.017 --> 01:13:22.378]  Oh, Sonny, Sonny, Sonny!
[01:13:33.092 --> 01:13:39.694]  We're gonna have to show you, Sonny, Sonny, Sonny.
[01:13:39.694 --> 01:13:44.776]  We're nice little old men.
[01:13:44.776 --> 01:13:51.018]  Who purposely put Mao Zedong into power to kill over 80 million of their own people.
[01:13:51.018 --> 01:13:56.519]  And they were just getting started.
[01:13:56.519 --> 01:13:57.780]  Your voice counts.
[01:13:58.593 --> 01:14:03.658]  When you share information, be it over the internet or in person, it changes the world.
[01:14:03.658 --> 01:14:06.261]  The globalists know their agenda is unpopular.
[01:14:06.261 --> 01:14:07.742]  They know you're angry.
[01:14:07.742 --> 01:14:12.567]  And now to get around big tech, it's more important than ever that we use every tool we've got.
[01:14:13.149 --> 01:14:23.897]  Well, ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds, both the regular shows and special reports, and share them with everyone you know.
[01:14:23.897 --> 01:14:28.241]  Take action now by texting the word NEWS, N-E-W-S, to 833-470-0438.
[01:14:28.241 --> 01:14:30.622]  That's 833-470-0438 for InfoWars Emergency News Alerts.
[01:14:30.622 --> 01:14:32.584]  Or, text the word SHOW to 833-470-0438 and receive live show notifications.
[01:14:43.232 --> 01:14:47.693]  Take action now, rate the chain reaction, and tell others to share those texts.
[01:14:47.693 --> 01:14:55.315]  Get news alerts at 833-470-0438.
[01:14:55.315 --> 01:15:06.117]  Well, all the big box stores are making record profits, so is Amazon, because they designed the global shutdown to destroy small and medium-sized businesses.
[01:15:06.117 --> 01:15:09.258]  And it is wreaking havoc in the supply chain.
[01:15:10.556 --> 01:15:19.664]  Thousands and thousands of small companies have completely shut down and others are struggling to stay open because they can't get raw materials.
[01:15:19.664 --> 01:15:25.229]  Whether it's for food, whether it's for medicine, whether it's for supplements, whether it's for textiles, whatever the product is.
[01:15:26.009 --> 01:15:27.069]  You see it in the news.
[01:15:27.069 --> 01:15:32.791]  It is record-level supply chain breakdowns because the globalists shut down the world economy for more than a year.
[01:15:32.791 --> 01:15:34.971]  Now they're trying to bring the shutdown back again.
[01:15:34.971 --> 01:15:39.772]  In fact, in areas like India and areas of Africa, the shutdown is ongoing.
[01:15:39.772 --> 01:15:42.733]  It's killing those people in massive numbers.
[01:15:42.733 --> 01:15:48.354]  So, InfoWars doesn't have a lot of our best-selling products anymore for six, seven, eight months because of this.
[01:15:48.354 --> 01:15:54.416]  So, to make up the shortfall, please buy t-shirts, books, films, things like that at infowarsstore.com, and please try to keep us on the air.
[01:15:57.205 --> 01:16:02.689]  The globalists are having their revolution, but free humanity has to have its revolution.
[01:16:02.689 --> 01:16:19.943]  We have to first recognize this anti-human takeovers trying to enslave the entire biological processes of humans and turn us into these artificial, corporate, controlled slaves.
[01:16:19.943 --> 01:16:20.784]  Worse than slaves.
[01:16:20.784 --> 01:16:23.566]  It's just property from cradle to grave of the system.
[01:16:24.742 --> 01:16:32.266]  Rendered down to be servile minions of the system in a ritual of dominance and satanic control.
[01:16:32.266 --> 01:16:42.291]  We have to recognize their great reset post-industrial world, which realizes a nightmare dystopia, and we have to promote liberty and freedom that is the opposite of their dystopia.
[01:16:42.291 --> 01:16:46.473]  It's that choice, it's that realization that's going to change the world.
[01:16:46.473 --> 01:16:48.654]  And it's the only choice we've got.
[01:16:48.654 --> 01:16:50.935]  Freedom or slavery, good or evil.
[01:16:50.935 --> 01:16:53.917]  It is a spiritual battle, and M4 is at the tip of the spear fighting it.
[01:16:58.291 --> 01:17:00.896]  You're listening to The Alex Jones Show.
[01:17:14.466 --> 01:17:16.088]  We're good to go.
[01:17:29.826 --> 01:17:37.649]  The first thing I met was a fly with a buzz and the sky with no clouds.
[01:17:37.649 --> 01:17:44.591]  The heat was hot and the ground was dry but the air was full of sound.
[01:17:44.591 --> 01:17:49.093]  I've been through the desert on a horse with no name.
[01:17:49.093 --> 01:17:52.114]  It felt good to be out of the rain.
[01:17:54.838 --> 01:17:55.759]  Welcome back.
[01:17:55.759 --> 01:18:05.805]  I'm going to cover news for this segment, a little bit of the next, and then I want to open the phones up for first-time callers on a host of issues.
[01:18:05.805 --> 01:18:10.088]  But as long as it's first-time callers, you're welcome to call in on any topic you want.
[01:18:10.088 --> 01:18:21.336]  I'm going to throw out a few topics at the end of the segment that I would like to hear you comment on, and then you're welcome to bring up any point you'd like, but I would like you to humor me and give me your two cents on a few of the topics that I put forward.
[01:18:23.112 --> 01:18:27.035]  But first, let's hit some more of the COVID rollout operation.
[01:18:27.035 --> 01:18:41.485]  Remember, you could never make a vaccine for the common cold because there's a bunch of viruses that can cause it, corona being the dominant one, thousands of variants that are known, and so you can't make a vaccine.
[01:18:41.485 --> 01:18:47.650]  So they said, oh, we'll make it for the protein of the coronavirus.
[01:18:49.446 --> 01:19:03.758]  And then we'll create an artificial one that has a particularly strong gain-of-function protein spike, and it just so happens that type of protein is in the uterus, is in the heart, is in the lungs, is in the brain, and is in the testicles and a bunch of other places.
[01:19:03.758 --> 01:19:09.724]  So, lo and behold, the body then starts attacking itself, amongst other things.
[01:19:09.724 --> 01:19:17.050]  Then if you get a regular coronavirus, you get deathly ill from the vaccine you've taken, or you've already been vaccinated.
[01:19:18.587 --> 01:19:21.548]  And you come into contact with coronavirus, you get really sick.
[01:19:21.548 --> 01:19:27.109]  Or, if you've already had corona, and then get the vaccine, you get really sick.
[01:19:27.109 --> 01:19:30.930]  This is all confirmed, mainline literature.
[01:19:30.930 --> 01:19:38.971]  But when you talk about it, ABC, NBC, CBS, CNN, MSNBC, they go, it's preposterous.
[01:19:38.971 --> 01:19:40.652]  No one's ever gotten sick.
[01:19:40.652 --> 01:19:41.932]  There's no side effects.
[01:19:41.932 --> 01:19:42.652]  It's wonderful.
[01:19:43.467 --> 01:19:50.431]  Meanwhile they have an advisory on the Pfizer and Moderna injections that it can cause a heart attack or stroke.
[01:19:50.431 --> 01:20:02.558]  They had to put it on there and it's experimental still and hasn't gotten FDA approval but all over the news they say why the FDA tested this and it's just totally wonderful!
[01:20:02.558 --> 01:20:07.041]  It's just been banned all over the world.
[01:20:07.041 --> 01:20:09.422]  I mean this is a bold raping.
[01:20:11.058 --> 01:20:18.700]  But they think America's so drunk on entertainment, so drunk on information, of disinformation, that this will all just get lost in the fog.
[01:20:18.700 --> 01:20:25.642]  Well, my neighbor had a stroke, or my neighbor's dead, or my child got real sick, or my mom died from it, or I had a stroke from it.
[01:20:25.642 --> 01:20:31.003]  Well, they're not sure, the doctors just don't know.
[01:20:31.003 --> 01:20:40.166]  Because they never did studies, they never did tests to know, to get it approved, so they just released something they'd secretly done studies on, knowing it actually killed lab rats.
[01:20:41.068 --> 01:20:49.996]  And ferrets and other things that were given vaccines that counter the corona protein casing.
[01:20:49.996 --> 01:20:55.622]  And I can show you those damn studies, University of Texas funded by Fauci, you name it.
[01:20:55.622 --> 01:20:58.024]  We've done hundreds of shows on them.
[01:20:58.024 --> 01:21:02.508]  But it's so frustrating to watch the news lie to people and block treatments.
[01:21:03.880 --> 01:21:12.202]  For so many folks that died from the flu and pneumonia, because remember the first six months of the lockdown, they said, oh, don't go to the hospital unless you really can't breathe.
[01:21:12.202 --> 01:21:13.643]  Well, I mean, we've gotten weak.
[01:21:13.643 --> 01:21:14.543]  We've gotten soft.
[01:21:14.543 --> 01:21:21.505]  Without antivirals and without antibacterials, people would die.
[01:21:21.505 --> 01:21:28.027]  People used to die all the time from colds and flu until antibiotics and antivirals in the last 50, 60 years.
[01:21:28.027 --> 01:21:32.588]  And so now countless people died at home because they never went and got treatment.
[01:21:33.675 --> 01:21:38.158]  And they died of pneumonia and the flu, and the system knew damn well what it did.
[01:21:38.158 --> 01:21:43.320]  And those that did go in got intubated, even though with COVID-19, that'll kill you.
[01:21:43.320 --> 01:21:45.302]  So, report.
[01:21:45.302 --> 01:21:45.662]  U.S.
[01:21:45.662 --> 01:21:50.785]  Army directs commands to prep for mandatory COVID shots for troops.
[01:21:50.785 --> 01:21:52.986]  This is out of the Army Times.
[01:21:52.986 --> 01:21:56.548]  Pending full food drug administration licensure.
[01:21:56.548 --> 01:21:58.789]  From the Army Times report.
[01:21:58.789 --> 01:22:01.111]  Not approved.
[01:22:01.111 --> 01:22:01.731]  Pending.
[01:22:03.632 --> 01:22:04.912]  Pending.
[01:22:04.912 --> 01:22:06.153]  Not.
[01:22:06.153 --> 01:22:10.774]  But again, I know all of you have seen the news say, oh, the FDA totally tested this.
[01:22:10.774 --> 01:22:12.475]  Lying to you.
[01:22:12.475 --> 01:22:20.597]  Of course, if they'll block known treatments to get kill numbers up, these are evil people.
[01:22:20.597 --> 01:22:24.578]  And by extension, they're mass murderers.
[01:22:24.578 --> 01:22:27.459]  I mean, the average news person didn't know this, they know it now.
[01:22:27.459 --> 01:22:31.740]  And when they discover it, they get fired, or they get fined, or they get
[01:22:32.978 --> 01:22:37.400]  Suspended!
[01:22:37.400 --> 01:22:39.940]  Because the corporate order came down from the U.N.
[01:22:39.940 --> 01:22:41.561]  and Bill Gates and Charlie Munger!
[01:22:41.561 --> 01:22:46.643]  And Warren Buffett who all want to depopulate us!
[01:22:46.643 --> 01:22:53.345]  These old men that love Communist China and love authoritarianism and love death camps and want us to die!
[01:22:53.345 --> 01:23:00.667]  But they got a shot right in our arm because they care about us so much!
[01:23:00.667 --> 01:23:02.348]  And now we got another old man here!
[01:23:03.098 --> 01:23:05.859]  Jim Justice.
[01:23:05.859 --> 01:23:16.644]  Governor Jim Justice declared Monday that anyone who chooses not to take the COVID vaccination entering is endangering themselves to a death lottery.
[01:23:16.644 --> 01:23:17.905]  Talk about a Freudian slip.
[01:23:17.905 --> 01:23:22.547]  They are entering themselves into a death lottery.
[01:23:22.547 --> 01:23:32.752]  When you take an unapproved gene therapy that they couldn't get approved for decades because it killed so many of the lab rats in studies, they just said, we have an emergency, no studies, put it in the general public.
[01:23:33.775 --> 01:23:44.739]  So that so many doctors and scientists and lawyers would have signed on to this that they'll want to defend themselves now and cover up when it all comes out that it's sterilizing and killing people in mass.
[01:23:44.739 --> 01:23:51.962]  So here he is saying, oh you need to take this, you're entering a death lottery like Russian Roulette.
[01:23:51.962 --> 01:23:56.904]  No, it's you trying to force us into a death lottery, trying to suppress vitamin D3, zinc,
[01:23:58.559 --> 01:24:02.863]  Iodine and vitamin C and trying to suppress the damn treatments.
[01:24:02.863 --> 01:24:10.208]  You're the one, Jim Justice, that signed on to the lies because you're a political whore of the New World Order!
[01:24:10.208 --> 01:24:14.171]  You're not a man of the people!
[01:24:14.171 --> 01:24:14.612]  Here he is.
[01:24:15.934 --> 01:24:28.162]  You know, the red states probably have a lot of people that, you know, are very, very conservative in their thinking, and they think, well, I don't have to do that.
[01:24:28.162 --> 01:24:29.543]  But you're not thinking right.
[01:24:29.543 --> 01:24:33.545]  When it really boils right down to it, they're in a lottery to themselves.
[01:24:33.545 --> 01:24:39.669]  You know, we have a lottery, you know, that basically says, if you're vaccinated, we're going to give you stuff.
[01:24:39.669 --> 01:24:42.771]  Well, you've got another lottery going on, and it's the death lottery.
[01:24:44.497 --> 01:24:47.821]  Talking to us like we're five years old.
[01:24:47.821 --> 01:24:50.023]  Jim Justice.
[01:24:50.023 --> 01:24:52.746]  Oh, now they admit the vaccine doesn't work.
[01:24:52.746 --> 01:24:58.933]  And oh, you know, you got to have a lot more because now there's all these other variants that are and it's all made up.
[01:24:58.933 --> 01:25:00.054]  Fake PCR test, 94%.
[01:25:01.423 --> 01:25:02.764]  False positives?
[01:25:02.764 --> 01:25:05.545]  Sending sick people into nursing homes to get the death numbers up?
[01:25:05.545 --> 01:25:23.515]  These people have followed the criminal orders of Bill Gates and the Globalist and the Bilderberg Group and the Club of Rome and the Davos Group and Klaus Schwab through corporate America and have committed massive crimes against humanity and we need Nuremberg 2.0 against these dirtbags.
[01:25:23.515 --> 01:25:24.956]  I'm going to give the number out when we come back.
[01:25:24.956 --> 01:25:26.777]  I have not gone through any of the stack yet.
[01:25:27.478 --> 01:25:39.350]  I'll give you the topics I want to cover also, as well as the war on privacy, as the war on women and children accelerates, the pimp of the spear being the transgender movement.
[01:25:39.350 --> 01:25:40.591]  Police now saying, hey,
[01:25:41.528 --> 01:25:46.693]  If your six-year-old daughter's in a shower and a man runs in and shakes his penis at her, you're bad to call the police.
[01:25:46.693 --> 01:25:48.374]  That's an honor to have that done.
[01:25:48.374 --> 01:25:49.235]  I'm not joking.
[01:25:49.235 --> 01:25:49.856]  We'll be right back.
[01:25:49.856 --> 01:25:51.978]  Remember what CNN said four years ago?
[01:25:51.978 --> 01:25:54.040]  That's now the official policy in L.A.
[01:25:54.040 --> 01:25:57.783]  I don't like coming to you and saying this could be our last broadcast.
[01:25:57.783 --> 01:26:01.506]  Hell, I've been on there 27 years, and only the last year or so have I said that.
[01:26:01.506 --> 01:26:04.089]  But let me tell you, the New World Order's breathing down our neck.
[01:26:04.759 --> 01:26:09.124]  The big globalist publications are coming after us, and they're doing everything they can to shut us down.
[01:26:09.124 --> 01:26:14.889]  So please pray to keep InfoWars on the air, and please support the local station you're listening to as well.
[01:26:14.889 --> 01:26:26.501]  At the same time, go to InfoWarsStore.com while you still can, and get a book, get a film, get a t-shirt, get some supplements, because it's that money that helps us stay on air in the face of this thing.
[01:26:27.101 --> 01:26:29.243]  I need your help more than ever now.
[01:26:29.243 --> 01:26:33.367]  I want to keep fighting the globalists, but I can't do it if you don't support us.
[01:26:33.367 --> 01:26:43.976]  So, pray for us, word of mouth, tell folks about the broadcast however you can, and buy great products that will enrich you and your family's lives every day at InfoWareStore.com.
[01:26:43.976 --> 01:26:53.504]  Whether it's high quality coffee, or supplements, or books or films, all of it nurtures the soul, all of it empowers humanity, all of it is pro-human and pro-God.
[01:26:53.504 --> 01:26:54.165]  Thank you so much.
[01:26:54.961 --> 01:27:00.545]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[01:27:00.545 --> 01:27:01.585]  Alpha Power.
[01:27:01.585 --> 01:27:05.027]  As you age, your body can lose testosterone over time.
[01:27:05.027 --> 01:27:13.953]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[01:27:13.953 --> 01:27:22.078]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[01:27:22.698 --> 01:27:28.141]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[01:27:28.141 --> 01:27:35.385]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[01:27:35.385 --> 01:27:39.047]  Let Alpha Power help bring you to the peak of your optimal health.
[01:27:39.047 --> 01:27:42.089]  Don't fall short on energy in the fight against tyranny.
[01:27:42.089 --> 01:27:46.151]  Show the world what a True Alpha Male looks like today with Alpha Power.
[01:27:46.151 --> 01:27:48.653]  Head to InfoWarsStore.com today.
[01:27:55.021 --> 01:27:59.947]  I'm recording this on July 4th, 2021.
[01:27:59.947 --> 01:28:01.690]  America's birthday.
[01:28:01.690 --> 01:28:06.697]  And I want to thank all the listeners who've fought so hard to try to keep this republic free and also keep
[01:28:07.435 --> 01:28:09.556]  The rest of the world's free from the clutches of the globals.
[01:28:09.556 --> 01:28:11.556]  Without you, we wouldn't have come so far.
[01:28:11.556 --> 01:28:12.897]  And now the world's really listening to us.
