[00:00.000 --> 00:13.360]  That's 928-308-0408, or you can order online at GetTheT.com.
[29:15.520 --> 29:23.520]  when they had that IRS agent that investigated.
[29:23.520 --> 29:24.520]  Hold on.
[29:24.520 --> 29:25.520]  Stay there.
[29:25.520 --> 29:26.520]  We'll come back to you after the break.
[29:26.520 --> 29:33.520]  Stay with us.
[29:33.520 --> 29:35.520]  The headlines are clear.
[29:35.520 --> 29:38.520]  The worldwide economic collapse is here.
[29:38.520 --> 29:41.520]  The military is being positioned for martial law.
[29:41.520 --> 29:43.520]  The market of beast is at hand.
[29:43.520 --> 29:46.520]  Governments are calling for a new world cashless economic system.
[29:46.520 --> 29:49.520]  Having a long-term food solution is your only hope.
[29:49.520 --> 29:51.520]  To stay free.
[29:51.520 --> 29:56.520]  Now, Survival of Seeds introduces their Escape the Beast Kit, 24 varieties of all-natural,
[29:56.520 --> 30:01.520]  non-genetically modified heirloom seeds for true patrons and homesteaders wanting food insurance.
[30:01.520 --> 30:04.520]  That's over five pounds of rare historic seeds for a penny per seed.
[30:04.520 --> 30:08.520]  15,000 seeds that will feed a family healthy food for seven years.
[30:08.520 --> 30:14.520]  Big John Lipscomb, host of Don't Tread on Me is including an instructional DVD that will teach you how to earn big money.
[30:14.520 --> 30:17.520]  Selling the produce from his incredible heirloom seeds back to him.
[30:17.520 --> 30:20.520]  Restaurants and small delis don't buy from copycats.
[30:20.520 --> 30:22.520]  Their fancy packaging is not free.
[30:22.520 --> 30:24.520]  Order today before it's too late.
[30:24.520 --> 30:26.520]  Survivalistseeds.com.
[30:26.520 --> 30:28.520]  That's Survivalistseeds.com.
[30:28.520 --> 30:33.520]  A long-term food solution.
[30:33.520 --> 30:36.520]  Before you throw away your used batteries, you need to listen to this.
[30:36.520 --> 30:38.520]  Now going green can save money.
[30:38.520 --> 30:44.520]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[30:44.520 --> 30:52.520]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends a life of new batteries and gives new life to used batteries.
[30:52.520 --> 31:01.520]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives.
[31:01.520 --> 31:05.520]  Increasing capacity and maintaining cell integrity.
[31:05.520 --> 31:10.520]  Renaissance Charger offers a full line of products made in the USA for all types and sizes of batteries.
[31:10.520 --> 31:15.520]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[31:15.520 --> 31:18.520]  Save your money. Save the environment.
[31:18.520 --> 31:21.520]  Visit us online at r-charge.com.
[31:21.520 --> 31:27.520]  That's r-charge.com or call us at 989-637-4179.
[31:27.520 --> 31:30.520]  That's 989-637-4179.
[31:30.520 --> 31:33.520]  Be a part of the revolution today.
[32:01.520 --> 32:08.520]  If there's a woman in your life, there's a self-defense product right for her.
[32:08.520 --> 32:10.520]  Don't be a victim.
[32:10.520 --> 32:20.520]  Visit www.aa-safetyfirst.com and use coupon code GCN to receive a huge 10% discount off your order.
[32:20.520 --> 32:32.520]  Visit www.aa-safetyfirst.com or call 719-2890440.
[32:32.520 --> 32:37.520]  With food prices soaring to all time highs, as the dollar continues to fall in value,
[32:37.520 --> 32:43.520]  what can you and your family do to guarantee that fresh nutritious vegetables will make it to your dinner table?
[32:43.520 --> 32:44.520]  Garden in a can.
[32:44.520 --> 32:48.520]  Garden in a can is your source for premium long-term storable seeds.
[32:48.520 --> 32:53.520]  Garden in a can is ready when you are. Plant them now or store them for when you really need them.
[32:53.520 --> 32:58.520]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds,
[32:58.520 --> 33:03.520]  along with detailed planting instructions sealed in a can for ultimate long-term protection.
[33:03.520 --> 33:04.520]  Garden in a can.
[33:04.520 --> 33:08.520]  It's that simple, fresh, healthy, easy.
[33:08.520 --> 33:14.520]  Only $69.95 for over a half acre of safe fresh vegetables, ready when you are.
[33:14.520 --> 33:18.520]  Stop procrastinating and start preparing with Garden in a Can.
[33:18.520 --> 33:22.520]  For more details visit Gardeninacan.com today.
[33:22.520 --> 33:32.520]  That's Gardeninacan.com or call 866-598-7396-866-598-7396.
[33:32.520 --> 33:48.520]  You're listening to GCN, the Genesis Communications Radio Network.
[33:48.520 --> 33:55.520]  Oh, where have you been, my blood son?
[33:55.520 --> 34:00.520]  And where have you been, my darling young one?
[34:00.520 --> 34:07.520]  To cover the latest martial law police state developments, why is the White House setting all this up?
[34:07.520 --> 34:12.520]  Why did Bush pass the baton perfectly to the new puppet in chief, Barack Obama?
[34:12.520 --> 34:13.520]  What is coming up in the future?
[34:13.520 --> 34:14.520]  What's going on with the economy?
[34:14.520 --> 34:17.520]  What's going on with the fairness doctrine to restrict free speech?
[34:17.520 --> 34:20.520]  Now openly being announced they want to reintroduce it.
[34:20.520 --> 34:24.520]  Will they physically shut me off the radio and many others?
[34:24.520 --> 34:25.520]  It is all coming up.
[34:25.520 --> 34:27.520]  But let's go back to your calls.
[34:27.520 --> 34:32.520]  Okay, Gary and P.A., you were asking a question.
[34:32.520 --> 34:34.520]  Go ahead and finish up your question.
[34:34.520 --> 34:49.520]  I was trying to get through the coast to coast when they had that IRS agent who investigated the legality of the income tax and got himself fired.
[34:49.520 --> 34:52.520]  I think his name might have been Bannister or something like that.
[34:52.520 --> 34:54.520]  Yeah, I was the first person to interview Bannister.
[34:54.520 --> 34:58.520]  He's a film comprehensive annual financial reports exposed.
[34:58.520 --> 35:01.520]  Yeah, I saw your interview on YouTube, I guess it was.
[35:01.520 --> 35:05.520]  Yeah, I interviewed him 10 years ago.
[35:05.520 --> 35:16.520]  Anyway, I wanted to bring to their attention about the CAFR and Walter Burian.
[35:16.520 --> 35:22.520]  They kept disconnecting me or connecting me to a busy signal or something.
[35:22.520 --> 35:30.520]  Well, sir, I mean the issue is other people's shows are their shows and I can't control what their shows do.
[35:30.520 --> 35:31.520]  I can't really comment on it.
[35:31.520 --> 35:33.520]  Coast to coast has never censored me.
[35:33.520 --> 35:35.520]  They get a lot of calls coming in.
[35:35.520 --> 35:38.520]  I think they try to choose what they think is the best calls to put on.
[35:38.520 --> 35:39.520]  Sometimes they don't even screen them.
[35:39.520 --> 35:40.520]  We don't screen calls here.
[35:40.520 --> 35:42.520]  Nobody screens your calls.
[35:42.520 --> 35:46.520]  But we're here covering the comprehensive annual financial reports.
[35:46.520 --> 35:52.520]  Then I have covered those before with George Norring, so we appreciate George and what they're doing over there.
[35:52.520 --> 35:54.520]  Let's talk to Robert in Colorado.
[35:54.520 --> 35:55.520]  Robert, you're on the air.
[35:55.520 --> 35:56.520]  Yeah, Alex.
[35:56.520 --> 35:57.520]  Thanks very much for taking my call.
[35:57.520 --> 35:58.520]  Appreciate it.
[35:58.520 --> 35:59.520]  Two things.
[35:59.520 --> 36:09.520]  Number one, did you hear about that bonehead stump that Bill Gates did last Friday at a meeting out in California?
[36:09.520 --> 36:10.520]  What did he do?
[36:10.520 --> 36:12.520]  Were he supposedly released the mosquitoes?
[36:12.520 --> 36:16.520]  Yeah, wasn't that stupid as hell?
[36:16.520 --> 36:23.520]  He made a comment that not only poor people should have to suffer from malaria, so he really sees those out of his jar or whatever.
[36:23.520 --> 36:27.520]  Yeah, and he wants to design the mosquitoes that have the vaccine in them.
[36:27.520 --> 36:36.520]  And his father's the head of Planned Parenthood, and Bill Gates is openly for a one-shot policy, and they use their big foundation as a eugenics front.
[36:36.520 --> 36:37.520]  Yeah, yeah.
[36:37.520 --> 36:41.520]  Instead of finding a cure, he's probably spreading it in Africa or wherever.
[36:41.520 --> 36:43.520]  People need to see the documentation.
[36:43.520 --> 36:46.520]  They need to see in-game blueprint for global enslavement.
[36:46.520 --> 36:47.520]  Have you seen that?
[36:47.520 --> 36:48.520]  Yeah, I have.
[36:48.520 --> 36:51.520]  Well, it covers it for folks that don't know and want to learn more.
[36:51.520 --> 36:54.520]  Yeah, I just thought it was idiotic to do that.
[36:54.520 --> 37:03.520]  The other thing is, I think Obama made a verbal opog last Thursday or Friday.
[37:03.520 --> 37:13.520]  He was at some type of meeting in Pennsylvania somewhere, I think, and he was, I'm loosely quoting here, paraphrasing, I don't remember his exact words, but something along the lines of,
[37:13.520 --> 37:17.520]  criticisms against the stimulus bill are that, well, it's just another spending bill.
[37:17.520 --> 37:19.520]  Well, that's what a stimulus bill is.
[37:19.520 --> 37:28.520]  So I thought that was kind of a tipping of a handful to speak by him saying that he, in effect, admitted that it was a spending bill, which...
[37:28.520 --> 37:29.520]  Now, I hear you.
[37:29.520 --> 37:36.520]  Look, the trillion dollar bailout bill or stimulus bill itself is a diversion.
[37:36.520 --> 37:42.520]  In the first two months of the banker takeover, 8.5 trillion was missing according to the Associated Press and Bloomberg.
[37:42.520 --> 37:44.520]  They won't say where the money went.
[37:44.520 --> 37:45.520]  Now I have all these congressional hearings.
[37:45.520 --> 37:50.520]  I'm putting clips of them in the Obama film I'm making, the Obama deception that comes out March 15th.
[37:50.520 --> 37:53.520]  And they're saying to the Federal Reserve, where's the money?
[37:53.520 --> 37:55.520]  And they go, we don't have to tell you.
[37:55.520 --> 37:58.520]  We're a private group outside of your control.
[37:58.520 --> 38:01.520]  Just like Alan Greenspan has lately said on the news.
[38:01.520 --> 38:09.520]  So the country's been hijacked and they love to have, you know, Obama come out and say he screwed up or he's running things to create that illusion.
[38:09.520 --> 38:12.520]  So he gets all the blame or Bush gets all the blame.
[38:12.520 --> 38:17.520]  So we never get past these puppets and look at the real policies being set in secret by the globalist.
[38:17.520 --> 38:20.520]  Robert in Texas, Robert, you're on the air.
[38:20.520 --> 38:23.520]  Alex, great honor to speak with you.
[38:23.520 --> 38:24.520]  Honor to speak with you, sir.
[38:24.520 --> 38:28.520]  I just have two points and I'll make them quick.
[38:28.520 --> 38:34.520]  The first one, I have a friend who recently got out of federal prison here in Texas.
[38:34.520 --> 38:37.520]  One of the private jail group installations.
[38:37.520 --> 38:41.520]  And he was meeting his medical records.
[38:41.520 --> 38:46.520]  And so he called the unit and got hold of the medical part of the unit there.
[38:46.520 --> 38:54.520]  And they put him through a big rigmarole, told him he had to get notarized releases and all this to them.
[38:54.520 --> 39:01.520]  And when he finally did, they told him that he wasn't allowed to have them because they weren't his property.
[39:01.520 --> 39:04.520]  And he asked them, well, whose property are they?
[39:04.520 --> 39:09.520]  And they told him, well, we have sold your medical records and they're the property of the people who bought them.
[39:09.520 --> 39:11.520]  And he said, well, then who bought them?
[39:11.520 --> 39:13.520]  And they refused to tell him.
[39:13.520 --> 39:16.520]  Yeah, well, they do a lot of medical experiments.
[39:16.520 --> 39:22.520]  This has come out even the jail guards have gotten sick and huntsful on people in the state and federal prisons.
[39:22.520 --> 39:27.520]  And when they take your blood at the hospital, they claim that they own it.
[39:27.520 --> 39:37.520]  And I remember 12 years ago on air when I learned that since 1973, everyone born in the hospital has their blood taken and they claim it's for a blood test.
[39:37.520 --> 39:38.520]  But that's true.
[39:38.520 --> 39:39.520]  Part of it is for that.
[39:39.520 --> 39:42.520]  The other part went into a federal secret register.
[39:42.520 --> 39:49.520]  Now, because of lawsuits the last few years, they've now admitted the University of Texas is the main body for the U.S. keeping them.
[39:49.520 --> 39:57.520]  It's a global database and they then claim they own your blood, your DNA, and your entire protein makeup.
[39:57.520 --> 40:00.520]  And then they have databases on people.
[40:00.520 --> 40:08.520]  And when you go to get gene therapy later, you learn you've got to pay a company because the government owns your DNA or private groups they sold it to.
[40:08.520 --> 40:12.520]  And I've had state reps in Congress been on about this and the public still doesn't believe it.
[40:12.520 --> 40:15.520]  That's how sneaky the shadow government is.
[40:15.520 --> 40:30.520]  That if you're 35 or 36 years old or younger, every person born in the hospital, including myself and Parkland in Dallas, Texas, had your blood taken, they lied to you and said it was for something else.
[40:30.520 --> 40:32.520]  The compartmentalized nurses, they didn't lie.
[40:32.520 --> 40:33.520]  They didn't know.
[40:33.520 --> 40:36.520]  And it's like that on thousands of instances.
[40:36.520 --> 40:39.520]  This is a scientific dictatorship.
[40:39.520 --> 40:46.520]  The Human Genome Project is a race specific bio weapon program.
[40:46.520 --> 40:50.520]  It's late in the game, ladies and gentlemen, late in the game.
[40:50.520 --> 40:53.520]  Alex in New Jersey, you're on the air.
[40:53.520 --> 40:55.520]  Hey Alex, how's it going?
[40:55.520 --> 40:56.520]  Good.
[40:56.520 --> 41:06.520]  I think that the way that you're going about getting liberty in our lifetime is good, but I think that there's something even better that we can do and that's join the Free State Project.
[41:06.520 --> 41:07.520]  Have you ever heard of that?
[41:07.520 --> 41:08.520]  Yeah, of course.
[41:08.520 --> 41:10.520]  I've interviewed a lot of the folks involved up in New Hampshire.
[41:10.520 --> 41:15.520]  They're all, quote, moving there so they can take over the government through the electoral process.
[41:15.520 --> 41:21.520]  And I think it's a fabulous idea, but I think lots of ideas can't be blocked.
[41:21.520 --> 41:30.520]  If we have a wide ranging multifaceted attack on the New World Order that's leaderless resistance, it can't be stopped.
[41:30.520 --> 41:37.520]  But if we just go for one thing, let's say you get New Hampshire, well, then the feds will just come in and federalize it.
[41:37.520 --> 41:42.520]  We've got to have the spirit of liberty, the culture of liberty being rediscovered everywhere.
[41:42.520 --> 41:49.520]  And, you know, case in point is eight states passing or moving to pass bills that say we're not going under martial law.
[41:49.520 --> 41:57.520]  You're not sovereign, you're not confiscating guns, ordering the state police and the cities chartered under the state to not confiscate guns or violate the
[41:57.520 --> 41:58.520]  Bill of Rights of Constitution.
[41:58.520 --> 42:08.520]  Now, I had the idea for this seven years ago with the Patriot Act and people picked it up and have thrown the Patriot Act out in eight
[42:08.520 --> 42:10.520]  hundred cities in eight states.
[42:10.520 --> 42:15.520]  Now seven states are moving with this, but it's because individuals took the idea and built on it.
[42:15.520 --> 42:19.520]  Now, the question is, those of you out there, what big idea do you have?
[42:19.520 --> 42:20.520]  Let's hear your big idea.
[42:20.520 --> 42:22.520]  The solutions are here.
[42:22.520 --> 42:23.520]  It's called resisting.
[42:23.520 --> 42:25.520]  Resistance is victory.
[42:25.520 --> 42:31.520]  I think if we get everyone that thinks like you together, you know, we can do more together than we can apart.
[42:31.520 --> 42:35.520]  If we're all together in one spot, they can chop our head off.
[42:35.520 --> 42:37.520]  We don't want a one-headed hydra.
[42:37.520 --> 42:41.520]  Not if we have guns.
[42:41.520 --> 42:46.520]  Well, I mean, again, sir, the answer is having 50 free states.
[42:46.520 --> 42:50.520]  The answer is multifaceted.
[42:50.520 --> 42:51.520]  True.
[42:51.520 --> 42:56.520]  I just think that the free state project has a lot of potential.
[42:56.520 --> 43:02.520]  It does, but if you only have one state doing it, it can be infiltrated and bought off and damaged.
[43:02.520 --> 43:03.520]  That's how the enemy attacks.
[43:03.520 --> 43:10.520]  Everything they do is built along widespread operations that go in at one big target.
[43:10.520 --> 43:13.520]  We need multifaceted info war.
[43:13.520 --> 43:20.520]  Look, I'm telling you, folks, the number one thing you got to do is spread the word that offshore banks have taken over the
[43:20.520 --> 43:26.520]  government of the National Security Act and are bankrupting the country and that it's fraudulent, that it's illegitimate,
[43:26.520 --> 43:29.520]  that it's criminal, and that we say no.
[43:29.520 --> 43:32.520]  I mean, they're getting ready to put troops on the streets, folks.
[43:32.520 --> 43:42.520]  That's what we're announcing.
[44:02.520 --> 44:31.520]  Thank you.
[44:32.520 --> 44:36.520]  The United States is bankrupt and the bankers want you bankrupt also.
[44:36.520 --> 44:39.520]  How would you like to be debt-free in 90 days, guaranteed?
[44:39.520 --> 44:46.520]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[44:46.520 --> 44:52.520]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies, and liens,
[44:52.520 --> 44:54.520]  and you won't pay one dime to creditors.
[44:54.520 --> 45:00.520]  With Debt Crisis Solutions Program, you'll also restore your credit history and be protected from legal action
[45:00.520 --> 45:02.520]  without making one more payment to creditors.
[45:02.520 --> 45:08.520]  DebtCrisisSolutions.com specializes in credit report restoration, preventing wage garnishment and bank levies,
[45:08.520 --> 45:10.520]  liens, and judgments.
[45:10.520 --> 45:12.520]  Doing nothing doesn't make the debt go away.
[45:12.520 --> 45:15.520]  Become debt-free in 90 days, guaranteed.
[45:15.520 --> 45:21.520]  Call Debt Crisis Solutions now for a free consultation at 718-615-0123.
[45:21.520 --> 45:24.520]  That's 718-615-0123.
[45:24.520 --> 45:32.520]  Or visit them online at DebtCrisisSolutions.com. That's DebtCrisisSolutions.com today.
[45:32.520 --> 45:38.520]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[45:38.520 --> 45:45.520]  Our hemp foods are anti-inflammatory and gluten-free and can greatly benefit the health of the human body.
[45:45.520 --> 45:54.520]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[45:54.520 --> 46:02.520]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[46:02.520 --> 46:08.520]  Call 908-691-2608 or visit hempusa.org today.
[46:08.520 --> 46:16.520]  Hempusa.org believes that now is the time to plan for the future, and food will be your greatest asset.
[46:16.520 --> 46:23.520]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[46:23.520 --> 46:33.520]  So don't delay. Call today. 908-691-2608 and see what our powder, seeds and oil can do for you.
[46:33.520 --> 46:42.520]  More than 700 chemicals have been found in our drinking water, and did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[46:42.520 --> 46:47.520]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[46:47.520 --> 46:59.520]  The KDF Dual Media Shower Filter works with both hot and cold water, and is designed to reduce chlorine, lead, mercury and iron, and it inhibits the growth of bacteria, mold, algae and fungus.
[46:59.520 --> 47:05.520]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[47:05.520 --> 47:11.520]  Hospitals, restaurants and water treatment facilities use this media to reduce chlorine, iron, heavy metals and bacteria.
[47:11.520 --> 47:18.520]  What about you? Order your KDF Shower Filter normally, $49 for a special price of only $39.99 with free shipping.
[47:18.520 --> 47:31.520]  Call the Berkey Guy and order now by calling 1-877-886-3653. That's 1-877-886-3653 or simply click on the banner at GCNLive.com to order online now.
[47:48.520 --> 47:55.520]  Kevin in Canada, Julia, Mike, John, David, Anthony, Jim, many others. Your calls are coming up and we start the next hour.
[47:55.520 --> 48:03.520]  But I want to go ahead and go into more detail on Obama's change, expanding the power of the National Security Council and the shadow government.
[48:03.520 --> 48:12.520]  A story by Kurt Nemo that's reporting on what is in the Washington Post today. Obama's NSC will get new power.
[48:12.520 --> 48:18.520]  Here we go. This is up on infowars.com. Right now needs to go viral.
[48:18.520 --> 48:21.520]  They can't get away with this until people understand what it is.
[48:21.520 --> 48:27.520]  On February 8, Karen DeYoung, writing for the CIA's favorite newspaper, they admittedly run it,
[48:27.520 --> 48:33.520]  the Washington Post reported that President Obama's plans to order a sleeping overhaul of the National Security Council,
[48:33.520 --> 48:44.520]  what Bush was already setting up, see, it's seamless, expanded its membership and increasing its authority to set strategy across a wide spectrum of international and domestic issues.
[48:44.520 --> 48:49.520]  That's a quote from the Washington Post. This is outside of Congress' control.
[48:49.520 --> 48:55.520]  According to National Security Advisor and former Marine Corps Commandant James L. Jones, who's a big globalist,
[48:55.520 --> 49:03.520]  the world that we live in has changed so dramatically that in this decade, that organizations that were created to meet a certain set of criteria,
[49:03.520 --> 49:09.520]  like the Bellarites Constitution, they keep calling Posse Commentatus, outdated, no longer are terribly useful.
[49:09.520 --> 49:16.520]  Obama will issue a presidential directive that will expand the NSC's reach, this is quoting Jones, General Jones,
[49:16.520 --> 49:22.520]  far beyond the range of additional policies, issues, and turn it into a much more elastic body.
[49:22.520 --> 49:26.520]  So dangerous is the world now, he goes on, they have to have it.
[49:26.520 --> 49:34.520]  Now, all, it says, he, quoting General Jones, all law enforcement agencies, the Drug Enforcement Administration,
[49:34.520 --> 49:41.520]  all those things will be merged into the NSC and embrace a broader membership.
[49:41.520 --> 49:48.520]  And it goes into the National Security Act in 1947 that allowed the CIA to be created and for the shadow government to start.
[49:48.520 --> 49:54.520]  They're not just rolling the entire government into that. The legislation created as the CIA institutionalized under the rubric
[49:54.520 --> 50:01.520]  of national security justification for new weapons systems, huge military expenditures, and military interventions in the third world.
[50:01.520 --> 50:03.520]  Now they're just taking over the U.S.
[50:03.520 --> 50:12.520]  Continuing, national security state institutions like the NSC and the CIA are also dangerous because they greatly expand the power of the
[50:12.520 --> 50:19.520]  state, and thereby threaten the constitutional system of checks and balances, writes Jack Nelson, Paul Mir, in the book,
[50:19.520 --> 50:27.520]  Brave New World Order. The institutions that make up the national security state apparatus are supposedly set up to defend national security
[50:27.520 --> 50:36.520]  and the integrity of the state. However, they often abuse power, violate national international laws, and may actually erode the democracy
[50:36.520 --> 50:47.520]  they supposedly defend. Senate investigations led by Frank Church in 1975 detailed numerous illegal activities conducted by the CIA against
[50:47.520 --> 50:54.520]  U.S. and foreign individuals and groups. The recent Iran-Contra scandal offers frightening testimonies to abuses of power by the
[50:54.520 --> 50:58.520]  National Security Council. Yeah, they were setting up concentration camps then, but got caught.
[50:58.520 --> 51:06.520]  We have the National Security Council hearings, including numerous violations of the U.S. Constitution. It appears the ruling elite will now expand
[51:06.520 --> 51:13.520]  these abuses of power and numerous violations of the U.S. Constitution far beyond the Defense Department and a little bit of the State Department
[51:13.520 --> 51:22.520]  from a quote. As Jones characterizes it, in one fell swoop, Obama may expand the reach of the Pentagon, the CIA, and the military industrial complex
[51:22.520 --> 51:31.520]  President Eisenhower warned against in his farewell 1961 farewell speech to the nation. New NSC directorates will deal with such
[51:31.520 --> 51:38.520]  departments spanning 21st century issues as cyber security, that means taking over the web, as they've announced they'll do, through the Violent
[51:38.520 --> 51:45.520]  Radicalization Act, energy, climate change is in there. Just the odd directives. That means shutting down your businesses, your farms, your
[51:45.520 --> 51:52.520]  businesses. Nation building, that means attacking nations, and infrastructure, seizing roads for the North American Union. Many of the functions of the
[51:52.520 --> 51:58.520]  Homeland Security Council established as a separate White House entity by President Bush after the terrorist attacks of September 11, 2001
[51:58.520 --> 52:12.520]  may be rolled into the expanded NSC, although it is still undetermined what elements of the HSC will remain as a separate body within the White
[52:12.520 --> 52:22.520]  House. In other words, with the struggle of a pen, Obama has taken the military and intelligence policy making and control functions of the
[52:22.520 --> 52:30.520]  new shadow government operating under the cover of the NSC unanswerable to Congress or the American people. Will dictate energy policy,
[52:30.520 --> 52:37.520]  computer network security, climate change mandates, national infrastructure and Homeland Security surveillance grid, which controls every federal
[52:37.520 --> 52:49.520]  agency itself. It should be noted that the secret 5,412 committee, now known simply as the special group responsible for black operations,
[52:49.520 --> 52:59.520]  secret operations, is a component of the NSC of the folks that ship in the most of the narcotics. According to the research of David Guyatt,
[52:59.520 --> 53:07.520]  the secret gold tree, the truth behind World War II gold, Nazi plunder, and elite plans to control our financial future, remember the Nazis
[53:07.520 --> 53:17.520]  funded and tried to hire then head Marine Smedley Butler, who was about to be commandant, to do what James L. Jones is now doing. I would just add that
[53:17.520 --> 53:30.520]  and the book covers it, and he blew the whistle and it didn't happen. In 1935, the 5,412 committee, which met in room 4 at the CIA headquarters in
[53:30.520 --> 53:37.520]  Lainley, Virginia, became the de facto parallel government of the United States, a fact that was later acknowledged by President Eisenhower in his speech
[53:37.520 --> 53:44.520]  regarding the dangers of the military industrial complex. At the heart of the U.S. secret government lay a doctrine that was driven by the twin goals of
[53:44.520 --> 53:52.520]  reinforcing the private interests that largely control the state, that means foreign banks robbing you, and maintaining an international environment in which
[53:52.520 --> 53:59.520]  they can prosper, that means taking over other countries, so enslaving us and using us as an engine to take over others. The broader interests of the people
[53:59.520 --> 54:09.520]  are not permitted to enter the equation, which is reserved entirely for the men of wealth and power that have a seat in the system. As the post-story quotes
[54:09.520 --> 54:17.520]  Jones deputy, John O. Brennan, a CIA veteran who serves as presidential advisor for counterterrorism and homeland security, quote,
[54:17.520 --> 54:26.520]  will review options for the Homeland Council, including its responsibility for preparing for and responding to natural and terrorism-related
[54:26.520 --> 54:34.520]  domestic disasters. And then it just goes into how they're setting up Homeland Security. We have links to the Army War College, links to the Army's
[54:34.520 --> 54:41.520]  own announcements that they are preparing to engage the American people, that Northcom's main mission is to suppress civil unrest and to stop
[54:41.520 --> 54:48.520]  governors from declaring state sovereignty and resisting a takeover. That's why you have seven states passing or trying to pass laws that are
[54:48.520 --> 54:56.520]  mentioning this right now. I mean, the states even know that aren't fully controlled. On January 27th, Paul Watson, Writing for Prison
[54:56.520 --> 55:04.520]  Planet, reported on a bill introduced in Congress authorizing the Department of Homeland Security to set up a network of FEMA camp facilities to be used to
[55:04.520 --> 55:11.520]  house U.S. citizens in the event of a national emergency. Ominously, the bill also states that the camps can be used to meet other appropriate needs,
[55:11.520 --> 55:18.520]  and from previous NSC documents, we know that means putting us in the camps, as a term by the Secretary of Homeland Security, an open-ended mandate which
[55:18.520 --> 55:24.520]  many fear could mean the forced detention of American citizens, well, I've been at the Urban Warfare drills, the troops are training for it,
[55:24.520 --> 55:30.520]  he says they're getting ready. In the event of a widespread rioting and or national emergency or total economic collapse, wrote Watson.
[55:30.520 --> 55:38.520]  Obama's directive will pass operational responsibility for the proposed network of internment camps from the Department of Homeland Security directly to the
[55:38.520 --> 55:47.520]  parallel government in the National Security Council. The DHS plan soon to become a plan implemented by the NSC and the Special Group,
[55:47.520 --> 55:54.520]  followed on the heels of the Pentagon announcement late last year that it expects to have 20,000 uniformed troops inside the United States,
[55:54.520 --> 56:02.520]  trained to help state and local officials respond to nuclear terror attack or other domestic catastrophe, including crowd control and riots.
[56:02.520 --> 56:10.520]  As the Washington Post described on December 1, 2008, the Pentagon plan calls for three rapid reaction forces to be ready for emergency response by
[56:10.520 --> 56:20.520]  September 2011. The first 4,700-person unit built around an active-duty combat brigade based at Fort Stewart, Georgia, was available as of October 1,
[56:20.520 --> 56:29.520]  and General Victor R. Reinhardt, Jr., Commander of the U.S. Northern Command. That's a quote from him. According to Burt B. Tussing,
[56:29.520 --> 56:37.520]  Director of Homeland Defense and Security Issues at the U.S. Army War College Center for Strategic Leadership, the new Pentagon approach breaks the
[56:37.520 --> 56:46.520]  mold by assessing active-duty combat brigade to the Northern Command for the first time. It also federalizes all state guards and the states,
[56:46.520 --> 56:52.520]  making governors federal officers in the military who serve at the pleasure of the National Security Council, the President of the Pentagon,
[56:52.520 --> 57:04.520]  or its designates. So, I mean, this is it. Regional governors will keep the local systems in line. Fear of this battle station will back up that threat.
[57:04.520 --> 57:12.520]  It now appears, doesn't appear, it's a fact. The ruling elite have plans to break many more molds as they continue their slow-motion coup d'état against the
[57:12.520 --> 57:19.520]  Constitution of the American people while the banking looting goes on. Obama was installed to add finishing touches to the globalist plan,
[57:19.520 --> 57:26.520]  and to be a messianic populator to carry it out, to decimate the Constitution, destroy the sovereignty of the United States, impose a military dictatorship of the
[57:26.520 --> 57:35.520]  particular importance to the parallel government as the engineered implosion of the global economy commences, and reduce the greatest nation on Earth to a
[57:35.520 --> 57:42.520]  third-world status. And then that will make everybody become domesticated and institutionalized, because even if you have money in the bank,
[57:42.520 --> 57:53.520]  they're planning to devalue it the next 24 months, I would add. Excellent report from Kurt Nemo, and it's a very dry report.
[57:53.520 --> 58:02.520]  It probably only covers 10% of the nightmare, but people will have trouble believing this, but every statement in here links to a hyperlink with the government documents,
[58:02.520 --> 58:10.520]  legislations, presidential decision directives. Go read it for yourself. Second hour straight ahead, your phone calls and the attack on free speech,
[58:10.520 --> 58:23.520]  reintroducing the fairness doctrine, and a lot more. PrisonPlanet.com is the website.
[58:40.520 --> 58:52.520]  Call 877-807-4048. Make a difference, call your local stations, and contact us through affiliate relations at GCNLive.com, or call 877-807-4048.
