[00:00:02.927 --> 00:00:03.608]  Is the U.S.
[00:40:30.895 --> 00:40:32.176]  We don't have to de-industrialize.
[00:40:32.176 --> 00:40:34.276]  We don't have to attack the family.
[00:40:34.276 --> 00:40:35.777]  So again, they misrepresent what we say.
[00:40:36.889 --> 00:40:46.897]  Because they're liars, and they sit up there securely, thinking because they're part of the establishment, or wannabes, that it's okay to lie, but they're speaking to a smaller and smaller crowd.
[00:40:46.897 --> 00:40:51.220]  We're speaking to a larger and larger crowd.
[00:40:51.220 --> 00:40:53.162]  So, it's coming to a head.
[00:40:55.486 --> 00:40:56.907]  Gerald Cilente's coming up today.
[00:40:56.907 --> 00:40:57.708]  He hasn't been on in months.
[00:40:57.708 --> 00:40:58.708]  I'm told he's wound up.
[00:40:58.708 --> 00:41:11.978]  He has a big presentation he wants to put on showing Michelle Obama and her lauded speech against Trump for an edited 11-year-old tape, which the Bush nephew admitted he goaded him into over an hour conversation.
[00:41:11.978 --> 00:41:14.119]  And it slipped together into three minutes.
[00:41:14.119 --> 00:41:15.180]  Goading him and goading him.
[00:41:15.180 --> 00:41:16.001]  Tell me sex stories.
[00:41:16.001 --> 00:41:16.541]  Tell me sex stories.
[00:41:16.541 --> 00:41:17.442]  It was all set up, folks.
[00:41:18.604 --> 00:41:21.705]  Him losing his job and all that's just a foil to divert everybody.
[00:41:21.705 --> 00:41:25.447]  That guy's CIA, just like the sun came up this morning.
[00:41:25.447 --> 00:41:30.088]  And Gerald wants to show these rappers and play some clips of them.
[00:41:30.088 --> 00:41:33.349]  It's very vulgar, but it's been a presidential race issue.
[00:41:33.349 --> 00:41:35.250]  These folks meet at the White House with Michelle and Obama.
[00:41:35.250 --> 00:41:36.631]  They go to parties together.
[00:41:36.631 --> 00:41:38.211]  They hang out.
[00:41:38.211 --> 00:41:40.552]  Word is they use drugs.
[00:41:40.552 --> 00:41:43.233]  That's going on big time.
[00:41:43.233 --> 00:41:45.354]  And the thing is they're hypocrites.
[00:41:46.613 --> 00:41:53.118]  I mean, you got these rappers talking about, I'm on the yacht with the champagne, give her a molly, knock her out, she didn't know what hit her.
[00:41:53.118 --> 00:41:56.380]  You know, talk about raping women.
[00:41:56.380 --> 00:42:07.248]  And it's one thing, I mean, imagine if Trump had songs about flipping, you know, women pills with their champagne so they pass out so you can date rape them.
[00:42:07.248 --> 00:42:09.730]  Imagine if Trump was hanging out with folks like that.
[00:42:09.730 --> 00:42:13.293]  And my thing is, we never even raised this about Obama.
[00:42:13.293 --> 00:42:15.194]  But they want to sit there and raise it about Trump.
[00:42:15.194 --> 00:42:15.935]  Let's get that straight.
[00:42:17.773 --> 00:42:23.295]  Because every time they put out some twisted BS and we respond, they go, oh, don't attack Obama for this.
[00:42:23.295 --> 00:42:30.638]  Well, you're the ones bringing it up.
[00:42:30.638 --> 00:42:36.080]  And then Mark Moreno's coming on with huge climate tax global government info.
[00:42:36.080 --> 00:42:39.301]  Paul Watson, always informative, hosts the fourth hour today.
[00:42:39.301 --> 00:42:44.143]  Oh, and Roger Stone's popping in at 1.30 Central, 2.30 Eastern.
[00:42:44.143 --> 00:42:46.884]  So in the middle of the third hour, that's coming up as well.
[00:42:49.181 --> 00:42:51.463]  All right.
[00:42:51.463 --> 00:42:55.527]  I want to go to these Obamacare clips right now.
[00:42:55.527 --> 00:43:00.271]  If you're a new viewer, you just tuned in, let's put back on screen the WikiLeaks from two weeks ago.
[00:43:00.271 --> 00:43:04.795]  I think it was like data dump eight or nine on Podesta's emails.
[00:43:04.795 --> 00:43:06.917]  Hillary wants Obamacare to fail.
[00:43:06.917 --> 00:43:08.558]  Don't worry, staff.
[00:43:08.558 --> 00:43:09.779]  Stop being freaked out by it.
[00:43:09.779 --> 00:43:11.561]  This is designed to wreck the economy.
[00:43:11.561 --> 00:43:13.082]  It's designed to create a train wreck.
[00:43:13.082 --> 00:43:16.145]  And then we'll take back over and come in with an even bigger screw job.
[00:43:18.211 --> 00:43:21.992]  So we'll put that back up on screen for TV viewers.
[00:43:21.992 --> 00:43:26.533]  But anybody can Google, WikiLeaks, Hillary wanted Obamacare to fail.
[00:43:26.533 --> 00:43:31.253]  Okay?
[00:43:31.253 --> 00:43:32.674]  Scroll that up for everybody to see it.
[00:43:32.674 --> 00:43:36.214]  WikiLeaks, Hillary wants Obamacare to unravel.
[00:43:36.214 --> 00:43:39.455]  Leaked emails suggest Clinton rooting for Affordable Care Act to collapse.
[00:43:39.455 --> 00:43:39.775]  Why?
[00:43:39.775 --> 00:43:42.836]  To get the full plan they always wanted.
[00:43:42.836 --> 00:43:44.336]  And we told everybody this day one.
[00:43:46.670 --> 00:43:51.177]  And since I talk about it, let's go ahead and play Ezekiel, Emmanuel, if we can, first.
[00:43:51.177 --> 00:44:01.451]  We got Charlie Rose a few weeks ago laughing at everybody with the lawyers and writers that helped, you know, write the different terms like, if you like your doctor, you can keep your doctor, and the price of a phone bill, and all this other BS.
[00:44:03.370 --> 00:44:08.334]  And of course Obama originally came out and said he never said that two years later, but then we had the clips.
[00:44:08.334 --> 00:44:12.898]  That's how stupid they think you are, and they're hoping you're not going out and finding it.
[00:44:12.898 --> 00:44:17.301]  Well, what about when your premium goes way up and now you've got to buy it?
[00:44:17.301 --> 00:44:24.067]  Boy, only in America would insurance companies get a law written where you have to buy something from private groups so they can charge you whatever they want.
[00:44:24.067 --> 00:44:26.068]  You think they're going to get together and jack up your prices?
[00:44:26.068 --> 00:44:26.289]  Gee.
[00:44:27.574 --> 00:44:29.235]  No thinking now involved.
[00:44:29.235 --> 00:44:32.317]  You've seen them double, triple.
[00:44:32.317 --> 00:44:37.301]  This announcement of, oh, it's going to go up 25% this year, that's just some vague number.
[00:44:37.301 --> 00:44:40.844]  That's on the low end of your working class blue collar.
[00:44:40.844 --> 00:44:44.146]  It's going to go up 25%.
[00:44:44.146 --> 00:44:50.370]  If you're middle class or upper middle class, it's going to just continue until you stop putting up with it.
[00:44:50.370 --> 00:44:52.752]  Thomas Jefferson was asked, what's the level of tyranny that's possible?
[00:44:52.752 --> 00:44:56.495]  And he said, the level you will accept and put up with.
[00:44:57.921 --> 00:45:01.282]  And so people just keep wondering why it's getting so bad.
[00:45:01.282 --> 00:45:04.504]  Because we're a nation of sheep.
[00:45:04.504 --> 00:45:11.787]  A nation of soft, cowardly, feeble sports fans.
[00:45:11.787 --> 00:45:19.410]  Who know how to get upset if someone tells someone in the office their dress looks nice.
[00:45:19.410 --> 00:45:21.751]  We're a nation of basically three-year-olds now.
[00:45:21.751 --> 00:45:23.851]  And the states are mommy.
[00:45:23.851 --> 00:45:27.353]  Except mommy basically breeds us like cattle and we're what's for dinner.
[00:45:28.407 --> 00:45:32.692]  You know, in the New World Order, you didn't beef that's for dinner.
[00:45:32.692 --> 00:45:35.174]  It's dehumanization.
[00:45:35.174 --> 00:45:36.816]  So here is his Inculum Annual.
[00:45:36.816 --> 00:45:42.782]  This is three years ago, laughing at everyone right after it got passed, because they all had a celebration after it passed.
[00:45:42.782 --> 00:45:46.566]  They didn't want you to know till it passed that it was a global tax.
[00:45:46.566 --> 00:45:46.887]  Here it is.
[00:45:48.935 --> 00:45:52.318]  People who knew the law as it was being written knew the president wasn't telling the truth.
[00:45:52.318 --> 00:45:55.661]  The grandfather provision written into the law itself was too narrow.
[00:45:55.661 --> 00:46:00.345]  And frankly, they wrote a regulation intentionally trying to get people out of the individual market.
[00:46:00.345 --> 00:46:04.908]  They want the people to go into the exchanges because there's a lot of people in the individual market.
[00:46:04.908 --> 00:46:09.292]  The whole point of the exchanges is to close down the individual insurance market over time.
[00:46:09.292 --> 00:46:12.475]  They wanted to move millions of people into the exchanges.
[00:46:12.475 --> 00:46:13.536]  It was intentional.
[00:46:14.016 --> 00:46:17.120]  Insurance companies don't like the individual market as it's constructed.
[00:46:17.120 --> 00:46:18.341]  They see the future.
[00:46:18.341 --> 00:46:20.043]  That individual market is going away.
[00:46:20.043 --> 00:46:21.304]  They don't want to invest in it.
[00:46:21.304 --> 00:46:24.948]  But that's not what the president said.
[00:46:24.948 --> 00:46:26.470]  This is just like self-driving cars.
[00:46:26.470 --> 00:46:29.033]  I'm not against self-driving cars if that's what you choose.
[00:46:29.033 --> 00:46:33.257]  Uber came out a year ago, which is also run by Ron Emanuel's brother.
[00:46:33.257 --> 00:46:34.539]  You cannot make this stuff up.
[00:46:34.539 --> 00:46:35.320]  Talk about villains.
[00:46:36.519 --> 00:46:45.122]  And they said, by 2025, there will be no cars that are not autonomous, and we're going to have a global monopoly because we're going to work with the government to only let our company operate.
[00:46:45.122 --> 00:46:48.063]  That is our investment plan, and billions flows in.
[00:46:48.063 --> 00:46:49.784]  China says, you got a deal.
[00:46:49.784 --> 00:46:50.884]  You want a monopoly in China?
[00:46:50.884 --> 00:46:55.006]  Come on in.
[00:46:55.006 --> 00:46:58.227]  Oh, but it's okay because the Emanuels are liberals.
[00:46:58.227 --> 00:47:00.948]  This is a guy who famously, in the Clinton administration,
[00:47:03.325 --> 00:47:17.972]  Whenever they were talking about Democrats that weren't doing what they were told, they would take a knife at the table and start stabbing it, breaking the table, breaking the knife, screaming, death, murder, just start in front of everyone.
[00:47:17.972 --> 00:47:21.394]  And then when he, because he was only on the sidelines during the Clinton administration,
[00:47:22.236 --> 00:47:25.580]  With Obama, in the first administration is what I'm going to get to.
[00:47:25.580 --> 00:47:28.482]  He would then tell Obama to shut up in cabinet meetings.
[00:47:28.482 --> 00:47:29.904]  I'm in command.
[00:47:29.904 --> 00:47:31.125]  And Obama would do what he said.
[00:47:31.125 --> 00:47:36.671]  Let me tell you, the Emanuels are mafia.
[00:47:36.671 --> 00:47:41.276]  And you know, I was thinking, they're always trying to claim that if I talk about world government and corruption, I'm anti-Semitic.
[00:47:42.469 --> 00:47:47.772]  There's mafias of all different stripes and groups, but since you want to talk about it, the Emanuels are Jewish mafia.
[00:47:47.772 --> 00:47:53.454]  So, there you go, but I mean, it's not that Jews are bad, it's just they are the head of the Jewish mafia in the United States.
[00:47:53.454 --> 00:47:57.596]  They run Uber, they run the healthcare, they're gonna scam you, they're gonna hurt you.
[00:47:57.596 --> 00:48:07.121]  And then they got weirdos that they're allied with, like George Soros, who's a literal Nazi collaborator, and then you got Madeleine Albright, who was a Nazi collaborator, her dad was, rounding up Jews.
[00:48:07.121 --> 00:48:07.641]  I mean, it's like,
[00:48:09.011 --> 00:48:13.794]  If being against Jews that are weirdo Nazi collaborators and gangsters makes me anti-semitic, then fine.
[00:48:13.794 --> 00:48:25.262]  I'm not against Jews, but at a certain point when you people call you out, and I've been called out in hundreds of newspapers the last month as being anti-semitic because I talk about a global corporate combine.
[00:48:25.262 --> 00:48:27.584]  Well, why are you labeling the TPP Jewish?
[00:48:27.584 --> 00:48:32.107]  I mean, it's got Jews involved in it, just like it's got everybody else.
[00:48:32.107 --> 00:48:35.469]  It's communist Chinese, global government, Japan.
[00:48:35.469 --> 00:48:36.290]  I mean, all these groups.
[00:48:37.910 --> 00:48:40.032]  But again, I'm gonna skip this break.
[00:48:40.032 --> 00:48:43.474]  It's injected into it that you must be anti-semitic.
[00:48:43.474 --> 00:48:51.840]  So I was just sitting back, I go, well let me, let me then, I guess I better do some exposés on the Jewish Mafia.
[00:48:51.840 --> 00:48:58.865]  And you know, a guy foaming at the mouth with knives at cabinet meetings, basically threatening the president.
[00:48:58.865 --> 00:49:03.949]  Totally crazed.
[00:49:03.949 --> 00:49:06.251]  Who's got his fingers in everything, screwing us over.
[00:49:08.729 --> 00:49:11.596]  I mean, how do you come up with this stuff?
[00:49:11.596 --> 00:49:13.541]  Where does this come from?
[00:49:13.541 --> 00:49:16.007]  Why?
[00:49:16.007 --> 00:49:16.689]  It's disgusting!
[00:49:19.096 --> 00:49:23.697]  So you just heard Ezekiel Emanuel saying, of course the insurance companies know the way we're going.
[00:49:23.697 --> 00:49:36.140]  Just like they're announcing there won't be anybody driving cars anymore, because the insurance companies, which are owned by the big banks, are going to raise your premium until you've got to go driverless, and then all the new cars coming out already have driverless car software in them, boys and girls.
[00:49:36.140 --> 00:49:42.261]  So you pay for the stuff you don't even want, and you pay for your own enslavement, and they're going to tax you by the mile, and it's all been announced.
[00:49:42.261 --> 00:49:44.242]  Everything I told you 20 years ago is now public.
[00:49:45.578 --> 00:49:47.420]  They say, how did you know 20 years ago?
[00:49:47.420 --> 00:49:52.465]  Because it was in the big tech publications, it was in the MIT quarterly, it was in all the documents.
[00:49:52.465 --> 00:49:55.768]  And I have NSA whistleblower sources.
[00:49:55.768 --> 00:49:56.969]  But I don't even need anymore.
[00:49:56.969 --> 00:49:57.890]  It's all passe.
[00:49:57.890 --> 00:50:00.973]  It's all out in the open.
[00:50:00.973 --> 00:50:05.417]  And we've got horrible communist Chinese government mafia.
[00:50:06.297 --> 00:50:35.073]  With horrible Islamic Mafia, with horrible German Socialist Mafia, and horrible French Mafia, and the Islamic Mafia, and the Jewish Mafia, and just all these Russian Mafias, and Italian Mafias, and all this CIA WASP Mafias, and... It's just organized crime that doesn't want a free market, and they come in with this Obamacare, and double, and triple, and screw people over, and cut 35 million people to part-time, and then sit there and say, shut up, you're anti-Semitic.
[00:50:37.392 --> 00:50:39.393]  We're going under a world government.
[00:50:39.393 --> 00:50:40.854]  We're going under a TPP.
[00:50:40.854 --> 00:50:43.736]  We're going under unelected systems.
[00:50:43.736 --> 00:50:46.797]  And no amount of BS changes that.
[00:50:46.797 --> 00:50:51.120]  No amount of BS changes the fact that they're getting ready to steal the election for Hillary Clinton.
[00:50:51.120 --> 00:51:02.266]  You've got Andrea Mitchell married to Alan Greenspan, who ran the country, and who says the Federal Reserve is above the law and outside of government, but is a governmental institution, which it's not.
[00:51:03.584 --> 00:51:12.972]  With Hillary last week, with her chief of staff, with her press secretary, handing her the phone, she nods and then reads the question about, oh, he's bullying women.
[00:51:12.972 --> 00:51:14.053]  I mean, it's so rigged.
[00:51:14.053 --> 00:51:21.999]  You've got the Federal Reserve and the media and Hillary just all there like we're idiots right in front of us.
[00:51:21.999 --> 00:51:27.263]  And then they've got such a flaming hard-on to destroy America and destroy what's left of Christianity in the Renaissance.
[00:51:28.457 --> 00:51:56.492]  That literally led the way in human liberty, that they've branded the West as what's evil and the West as what's bad, and they're bringing in the most horrible, backwards, 80% men, military-age men, into the United States and Europe to do God knows what, all because it's incompatible and they want to just mutilate and trash everything.
[00:51:56.492 --> 00:51:57.232]  Let's go to the next one.
[00:51:59.909 --> 00:52:01.209]  Here's Obama.
[00:52:01.209 --> 00:52:06.051]  Promises lower health insurance premiums by $2,500 per year.
[00:52:06.051 --> 00:52:06.951]  Remember that?
[00:52:06.951 --> 00:52:11.552]  Well, now you're going to get 25% increases every year if you're lucky on the low end.
[00:52:11.552 --> 00:52:12.813]  So remember this.
[00:52:12.813 --> 00:52:15.093]  They hate the fact that we go back in the time machine.
[00:52:15.093 --> 00:52:16.634]  Here's Obama a few years ago.
[00:52:19.486 --> 00:52:24.288]  ...to lower your premiums by up to $2,500 per family per year.
[00:52:24.288 --> 00:52:29.430]  We will start by reducing premiums by as much as $2,500 per family.
[00:52:29.430 --> 00:52:37.693]  Here's what change is saying to people who already have health insurance and the employers who are providing it, we'll work to lower your premiums.
[00:52:37.693 --> 00:52:38.953]  That's enough.
[00:52:38.953 --> 00:52:41.194]  There's no need to have him say it 18 more times.
[00:52:41.194 --> 00:52:45.596]  Here's the headline, Obamacare premiums to go up by double digits in the lowest bracket.
[00:52:47.552 --> 00:52:54.157]  Billions of Americans will face big price hikes and fewer choices when Obamacare
[00:53:10.640 --> 00:53:11.040]  I think?
[00:53:34.218 --> 00:53:37.300]  That's enough.
[00:53:37.300 --> 00:53:39.102]  That's their whitewash numbers.
[00:53:39.102 --> 00:53:43.485]  But you know, since we mentioned Rose, I don't mean to throw you guys off, but I got like five more clips.
[00:53:43.485 --> 00:53:49.730]  Can we go back to Rose two weeks ago with the White House writers on, celebrating, laughing and giggling?
[00:53:49.730 --> 00:53:52.772]  I mean, it's not as powerful audio-wise.
[00:53:52.772 --> 00:53:55.354]  It's more powerful if you're a TV viewer can actually see it.
[00:53:55.354 --> 00:53:57.456]  Infowars.com forward slash show.
[00:53:57.456 --> 00:53:59.757]  But it is redonkulous.
[00:53:59.757 --> 00:54:02.940]  This is just like Gruber laughing and saying, thank God you're dumb and all the rest of it.
[00:54:04.901 --> 00:54:06.683]  Here is Charlie Rose.
[00:54:06.683 --> 00:54:12.107]  Do you have equal impact on serious speeches because it's about style, use of language, etc.? ?
[00:54:13.260 --> 00:54:21.365]  I really like... I was very... The joke speech is the most fun part of this, but the things I'm the most proud of were the more serious speeches, I think.
[00:54:21.365 --> 00:54:29.309]  Healthcare, economic speeches, and I think... Lovett wrote the line about, um, if you like your insurance, you can keep it.
[00:54:29.309 --> 00:54:29.710]  How dare you?
[00:54:29.710 --> 00:54:31.531]  And you know what?
[00:54:31.531 --> 00:54:34.052]  It's still true.
[00:54:34.052 --> 00:54:38.795]  And it's all these know-it-alls who've inherited the United States, who've taken over power...
[00:54:40.885 --> 00:54:43.506]  And then they just enjoy screwing everyone.
[00:54:43.506 --> 00:54:53.332]  And by the way, I didn't go far enough with Emanuel, Rahm Emanuel and his brother being basically Jewish mafia in my research for you.
[00:54:53.332 --> 00:55:00.355]  Rahm Emanuel's dad, and again, everybody knows I'm not an Israel basher, I'm just saying this guy's the worst of the worst.
[00:55:00.355 --> 00:55:05.678]  His dad led the Israeli force that would do false flags.
[00:55:05.678 --> 00:55:08.800]  This is in the Jerusalem Post.
[00:55:10.034 --> 00:55:18.622]  He led the group that basically founded Israel, but the way they did it was staging terror attacks to blame the Arabs.
[00:55:18.622 --> 00:55:22.405]  Like bombing the King David Hotel and stuff like that.
[00:55:22.405 --> 00:55:33.596]  So, I just thought I'd add that in there for you, just to understand who Rahm Emanuel is, since they, since, I mean, if I'm going to get accused of being anti-Semitic, I might as well just, you know, actually expose that I am anti-mafia.
[00:55:36.263 --> 00:55:41.245]  I don't like the Chinese mafia, the Italian mafia, the Jewish mafia, the Irish mafia.
[00:55:41.245 --> 00:55:46.406]  The mafia never flew too well down here in Texas because people wouldn't put up with it.
[00:55:46.406 --> 00:55:51.608]  And I guess I'm just a throwback here, but I'm not putting up with it.
[00:55:51.608 --> 00:55:58.170]  And it's disgusting to watch these different mafias all involved in a gang rape of this republic.
[00:55:59.386 --> 00:56:03.207]  Now, President Obama claims premium rates increases are not due to Obamacare.
[00:56:03.207 --> 00:56:05.448]  This is just a few days ago.
[00:56:05.448 --> 00:56:06.508]  It's not Obamacare.
[00:56:06.508 --> 00:56:08.149]  No, enough of you didn't get registered.
[00:56:08.149 --> 00:56:10.330]  You didn't do what you were supposed to.
[00:56:10.330 --> 00:56:11.170]  It's your fault.
[00:56:11.170 --> 00:56:12.971]  Don't worry, Hillary's coming in, though.
[00:56:12.971 --> 00:56:14.831]  You'll finally get the freebie with her.
[00:56:14.831 --> 00:56:16.552]  Here it is.
[00:56:16.552 --> 00:56:23.674]  And then, in some cases, insurers just set their prices too low at the outset because they didn't know what the insurance pool was going to look like.
[00:56:23.674 --> 00:56:25.035]  And then they started losing money.
[00:56:26.502 --> 00:56:32.446]  And so now they've decided to significantly increase premiums in some states.
[00:56:32.446 --> 00:56:42.153]  It's these premium increases in some of the states in the marketplace that sometimes attracts negative headlines.
[00:56:42.153 --> 00:56:53.221]  Remember, these premium increases won't impact most of the people who are buying insurance through the marketplace because even when premiums go up, the tax credits go up to offset the increases.
[00:56:55.578 --> 00:57:02.823]  People who qualify for tax credits, they may not even notice their premiums went up because... That's enough.
[00:57:02.823 --> 00:57:05.725]  You know, the numbers they just gave you on CBS News are the cooked ones.
[00:57:05.725 --> 00:57:06.746]  It's much worse than what they're saying.
[00:57:06.746 --> 00:57:09.708]  This is more bamboozling, more con games.
[00:57:09.708 --> 00:57:14.772]  In the first year of Obamacare, global insurance company profits went up over 40%, just on the U.S.'
[00:57:14.732 --> 00:57:16.973]  's back.
[00:57:16.973 --> 00:57:23.318]  And CPAs in the last decade, they passed laws that said they are held accountable if you get audited.
[00:57:24.795 --> 00:57:27.296]  So you go into CPAs, you say, I want all these deductions.
[00:57:27.296 --> 00:57:28.977]  They say, get another CPA.
[00:57:28.977 --> 00:57:31.698]  And you can't find CPAs that'll give them to you.
[00:57:31.698 --> 00:57:34.679]  You've got to go to get a tax lawyer.
[00:57:34.679 --> 00:57:39.000]  So the average person doesn't even know how they're getting screwed over.
[00:57:39.000 --> 00:57:41.201]  They just know they're getting less money.
[00:57:41.201 --> 00:57:43.562]  Or they know that they were now forced to go get health care.
[00:57:44.349 --> 00:57:45.610]  So see, there's the argument.
[00:57:45.610 --> 00:58:01.977]  Well, you can't have folks coming in and getting their health care for free, so we gotta force everybody to buy it because we're going bankrupt, but then they bring in 30 million illegals and tell them everything's free to accelerate the bankruptcy and let folks come into the country with TB, tuberculosis, everything else you can imagine.
[00:58:01.977 --> 00:58:07.099]  Then we have ABC tells Obamacare users get ready for some sticker shock.
[00:58:07.099 --> 00:58:08.280]  Let's play that clip, ABC.
[00:58:09.602 --> 00:58:13.305]  Well get ready for some sticker shock if you're looking into the price of Obamacare plans.
[00:58:13.305 --> 00:58:18.448]  The average premiums are expected to rise by 25% next year.
[00:58:18.448 --> 00:58:22.892]  Many consumers will also be limited to choosing plans from just one provider.
[00:58:22.892 --> 00:58:25.794]  Alright, now the final clip I'll play when we come back.
[00:58:26.554 --> 00:58:30.538]  Is MSNBC, Democrats are going to have to answer for Obamacare rates.
[00:58:30.538 --> 00:58:32.880]  Now, why would MSNBC suddenly tell the truth?
[00:58:32.880 --> 00:58:36.483]  Because they said I was deeply racist and didn't want a black man to succeed.
[00:58:36.483 --> 00:58:39.326]  I mean, we've got that clip because I was against Obamacare.
[00:58:39.326 --> 00:58:41.528]  We're going to explain what they're really up to here.
[00:58:41.528 --> 00:58:45.131]  See, now they're getting ready to totally bankrupt it and bring in the new scam.
[00:58:45.131 --> 00:58:46.833]  So now they can tell you what a horrible deal it was.
[00:58:52.227 --> 00:58:53.648]  You developed Living Defense for us.
[00:58:53.648 --> 00:58:54.968]  It took you over a year to do it.
[00:58:54.968 --> 00:58:56.168]  Why is this so good?
[00:58:56.168 --> 00:59:01.470]  Because people are actually waking up to the problem that pretty much scares me the most.
[00:59:01.470 --> 00:59:15.013]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[00:59:15.013 --> 00:59:16.354]  Right now with all the refugees,
[00:59:17.154 --> 00:59:18.795]  Uh, spreading disease around.
[00:59:18.795 --> 00:59:21.356]  We have biological warfare going on everywhere.
[00:59:21.356 --> 00:59:22.677]  These are all parasites.
[00:59:22.677 --> 00:59:23.778]  Tell us about all the stuff that's in it.
[00:59:23.778 --> 00:59:25.118]  There's so many things that are in it.
[00:59:25.118 --> 00:59:29.621]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[00:59:29.621 --> 00:59:32.882]  I recommend doing a parasite cleanse at least twice a year.
[00:59:32.882 --> 00:59:35.964]  Alright, well I'm glad we've got some back in because I'm going back on it today.
[00:59:35.964 --> 00:59:37.005]  It just came back in yesterday.
[00:59:37.005 --> 00:59:38.926]  LivingDefense, InfowarsLife.com.
[00:59:38.926 --> 00:59:39.966]  And folks, you can't lose.
[00:59:39.966 --> 00:59:42.668]  It's full of stuff that's great for your body, period.
[00:59:42.668 --> 00:59:42.888]  And, uh,
[00:59:43.528 --> 00:59:44.570]  You support the broadcast.
[00:59:44.570 --> 00:59:45.912]  Infowarslive.com.
[00:59:45.912 --> 00:59:48.175]  Thank you, Dr. Group from the Global Healing Center.
[00:59:48.175 --> 00:59:54.223]  Thank you so much for all your work, sir, on this great product.
[00:59:54.223 --> 00:59:56.826]  You're listening to the Alex Jones Show!
[01:00:14.062 --> 01:00:19.706]  He aligns himself with the truth, and it's time for you to choose a side.
[01:00:19.706 --> 01:00:21.988]  You're listening to Alex Jones.
[01:00:21.988 --> 01:00:35.279]  So it's your fault that you didn't sign up if you're 20 years old for your free Obamacare, which isn't free, it'll cost you on average about $5,000 a year.
[01:00:35.279 --> 01:00:39.682]  But then it's also the old people's fault because they're using the system too much.
[01:00:39.682 --> 01:00:41.824]  See, once they get you in a collectivist system,
[01:00:42.773 --> 01:00:45.333]  They can hold everybody hostage.
[01:00:45.333 --> 01:00:58.276]  But all the left needs to know is, you're right about big megacorporations being very, very criminal on average, doing a lot of horrible things, but you're always saying big government will stop them when they're the ones pushing for big government.
[01:00:58.276 --> 01:00:58.916]  100 times out of 100.
[01:00:58.916 --> 01:01:05.397]  Hillary has gotten 20 to 1 donations from millionaires that Trump got.
[01:01:05.397 --> 01:01:07.498]  That's Bloomberg.
[01:01:07.498 --> 01:01:08.918]  The number's probably even less than that.
[01:01:10.543 --> 01:01:15.327]  He's gotten the most small donations of any candidate ever.
[01:01:15.327 --> 01:01:18.070]  And he's broken all records.
[01:01:18.070 --> 01:01:22.954]  But see, you really don't want to be anti-establishment that made this country great and gave us innovation.
[01:01:22.954 --> 01:01:25.576]  You don't care.
[01:01:25.576 --> 01:01:30.260]  You want to feel like you're part of the winning team and kind of waddle around, and I get it.
[01:01:30.260 --> 01:01:33.964]  But understand, in the WikiLeaks, they talk about how stupid you are.
[01:01:33.964 --> 01:01:36.706]  Hell, they do it on C-SPAN.
[01:01:36.706 --> 01:01:37.627]  They do it on PBS.
[01:01:40.189 --> 01:01:53.765]  And it is so frustrating to sit there and watch all these pseudo-intellectuals really pretend in their own minds that they're part of the establishment going along with it when they're being screwed as well.
[01:01:53.765 --> 01:01:55.246]  So let's go ahead and go to MSNBC.
[01:01:55.246 --> 01:01:57.308]  Democrats are going to have to answer.
[01:01:57.308 --> 01:01:59.231]  Now, they can only do this now.
[01:02:01.630 --> 01:02:02.551]  Because they got it through.
[01:02:02.551 --> 01:02:04.153]  Remember they said there are no death panels.
[01:02:04.153 --> 01:02:04.573]  It's free.
[01:02:04.573 --> 01:02:05.575]  You can keep your doctor.
[01:02:05.575 --> 01:02:07.557]  Then it's the price of a phone bill.
[01:02:07.557 --> 01:02:09.038]  Then the price of a cable bill.
[01:02:09.038 --> 01:02:11.081]  Blah, blah, blah.
[01:02:11.081 --> 01:02:12.723]  There's no penalties.
[01:02:12.723 --> 01:02:14.144]  Thousands of news articles.
[01:02:14.144 --> 01:02:16.767]  Matt Drudge is a liar.
[01:02:16.767 --> 01:02:18.409]  There is no penalty.
[01:02:18.409 --> 01:02:19.731]  This started three years ago.
[01:02:21.840 --> 01:02:24.661]  And now it's up to $5,000 a person.
[01:02:24.661 --> 01:02:25.841]  There is no penalty.
[01:02:25.841 --> 01:02:28.182]  It's a lie of racists.
[01:02:28.182 --> 01:02:28.842]  It's a lie.
[01:02:28.842 --> 01:02:31.123]  There are no increases.
[01:02:31.123 --> 01:02:41.426]  Coming up next on All Things Considered, we're going to talk in soft voices because we are the intellectuals and we use big words and we have large thesauruses.
[01:02:41.426 --> 01:02:48.949]  You're a bunch of heartless mercenary trash who sit around and talk about how I have a dark heart,
[01:02:50.725 --> 01:02:53.066]  And how I'm reckless?
[01:02:53.066 --> 01:02:58.068]  Extremism in defense of liberty is no vice, but I'm not reckless with the truth.
[01:02:58.068 --> 01:03:03.711]  I'm reckless in my resistance, because I know that's one of the things that history's never changed anything.
[01:03:03.711 --> 01:03:06.012]  But you people are disgraceful, and everybody knows it!
[01:03:06.012 --> 01:03:08.693]  I'm telling you, Hillary is going to lose it only in slight, folks.
[01:03:08.693 --> 01:03:10.354]  The evidence is coming up in the next segment.
[01:03:10.354 --> 01:03:14.296]  It's overwhelming.
[01:03:14.296 --> 01:03:18.318]  Kane, Drudge Report, has a story with the photos.
