[00:00:01.000 --> 00:00:02.000]  It's too...
[01:08:14.820 --> 01:08:17.820]  We're going to be laying this out more and more here on the broadcast.
[01:08:17.820 --> 01:08:19.820]  I'm writing a book on the subject as well.
[01:08:19.820 --> 01:08:24.820]  But I wanted you to hear large portions of this speech.
[01:08:24.820 --> 01:08:28.820]  And then Owen will come back with breaking news and information and a special guest.
[01:08:28.820 --> 01:08:31.820]  But here is a large excerpt of the EU speech.
[01:08:32.220 --> 01:08:34.220]  Please go get it and share it.
[01:08:34.220 --> 01:08:35.220]  We've uploaded it.
[01:08:35.220 --> 01:08:37.220]  It may not video the whole speech.
[01:08:37.220 --> 01:08:39.220]  Again, it's an info wars dot com.
[01:08:39.220 --> 01:08:43.220]  This information is critical to understand the enemy, because if we just attack one
[01:08:43.220 --> 01:08:49.220]  head of the Hydra, critical race theory or transgenderism or open borders or all the
[01:08:49.220 --> 01:08:51.220]  genetic engineering, they're going to win.
[01:08:51.220 --> 01:08:56.220]  But if we understand the heart and the core to this, quote, scientific takeover, that's
[01:08:56.220 --> 01:08:57.220]  what they say.
[01:08:57.220 --> 01:08:59.220]  Trust the science, because it is scientists running it.
[01:08:59.220 --> 01:09:01.220]  But it's the science of control.
[01:09:01.620 --> 01:09:02.620]  If we understand the big picture, we're going to win.
[01:09:02.620 --> 01:09:05.620]  And I know I hammer that over and over again.
[01:09:05.620 --> 01:09:08.620]  So here is the speech from the beginning.
[01:09:08.620 --> 01:09:11.620]  I want to encourage viewers and listeners again to share this.
[01:09:11.620 --> 01:09:14.620]  And I want to encourage you to remember, only way we stay on air is your financial
[01:09:14.620 --> 01:09:15.620]  support.
[01:09:15.620 --> 01:09:16.620]  And I want to thank you for your support.
[01:09:16.620 --> 01:09:20.620]  Plus, we've got really great products you need, like X3 back in stock, TurboForce back
[01:09:20.620 --> 01:09:21.620]  in stock.
[01:09:21.620 --> 01:09:25.620]  We've got ultimate krill oil back in stock, ultimate fish oil back in stock.
[01:09:25.620 --> 01:09:28.620]  We have the best CBD oil, highest quality, lowest price you're going to find.
[01:09:28.620 --> 01:09:30.620]  That's at info wars dot com.
[01:09:31.020 --> 01:09:33.020]  The nitrate boost that cleans out your blood.
[01:09:33.020 --> 01:09:34.020]  Everybody should be taking that.
[01:09:34.020 --> 01:09:36.020]  It's just amazing what it does.
[01:09:36.020 --> 01:09:38.020]  It's all at info wars dot com.
[01:09:38.020 --> 01:09:42.020]  But let's first now go ahead and go to part of this very important speech.
[01:09:42.020 --> 01:09:47.020]  Woke is Maoism with American characteristics.
[01:09:47.020 --> 01:09:52.020]  If I might borrow from Mao himself, who said that his philosophy was Marxism, Leninism
[01:09:52.020 --> 01:09:54.020]  with Chinese characteristics.
[01:09:54.020 --> 01:09:59.020]  And so when he says we must seize the means of production, and he's talking about factories
[01:09:59.420 --> 01:10:03.420]  He's actually talking about how we construct who we are as human beings so that we might
[01:10:03.420 --> 01:10:07.420]  complete ourselves, so that we might complete history.
[01:10:07.420 --> 01:10:12.420]  And at the end of history, mankind will remember that he is a social being and we will have
[01:10:12.420 --> 01:10:18.420]  a socialist society, a perfect communism that transcends private property.
[01:10:18.420 --> 01:10:19.420]  That's how he put it.
[01:10:19.420 --> 01:10:25.420]  In 1993, Cheryl Harris wrote a long article for the Harvard Law Review called Whiteness
[01:10:25.420 --> 01:10:27.420]  as Property.
[01:10:27.820 --> 01:10:33.820]  She explained that whiteness or white privilege constitutes a kind of cultural private property.
[01:10:33.820 --> 01:10:37.820]  She says it must be abolished in order to have racial justice.
[01:10:37.820 --> 01:10:42.820]  Just like Karl Marx said that in the Communist Manifesto he wrote communism can be summarized
[01:10:42.820 --> 01:10:45.820]  in a single sentence, the abolition of private property.
[01:10:45.820 --> 01:10:50.820]  Why on earth is this very American phenomenon about slavery and so on that doesn't apply
[01:10:50.820 --> 01:10:51.820]  to our country?
[01:10:51.820 --> 01:10:53.820]  Why is it popular here?
[01:10:53.820 --> 01:10:55.820]  It's because it's not about history at all.
[01:10:56.220 --> 01:10:59.220]  It's not about slavery at all.
[01:10:59.220 --> 01:11:01.220]  Those are excuses that they use.
[01:11:01.220 --> 01:11:06.220]  It's about creating a class consciousness that's against this form of property called
[01:11:06.220 --> 01:11:12.220]  whiteness, that's against the dominant culture that may just be a matter of fact, say, if
[01:11:12.220 --> 01:11:13.220]  you're in Europe.
[01:11:13.220 --> 01:11:17.220]  I wrote a book called Race Marxism and I defined critical race theory as it really is.
[01:11:17.220 --> 01:11:21.220]  In that book on the first page, I said that critical race theory is calling everything
[01:11:21.220 --> 01:11:24.220]  you want to control racist until you control it.
[01:11:24.620 --> 01:11:27.620]  Woke is Marxism, evolved to attack the West.
[01:11:27.620 --> 01:11:30.620]  If you don't understand that, you will not act correctly.
[01:11:30.620 --> 01:11:33.620]  You will not cure it and it will conquer your countries.
[01:11:33.620 --> 01:11:40.620]  It will conquer all of Europe and we will have a very, very long, sustainable and inclusive
[01:11:40.620 --> 01:11:42.620]  future with absolutely no freedom.
[01:11:48.620 --> 01:11:49.620]  Hello.
[01:11:49.620 --> 01:11:50.620]  Thank you.
[01:11:50.620 --> 01:11:51.620]  I'm glad to be here.
[01:11:52.020 --> 01:11:58.020]  I want to address something Tom just said, which is in fact that woke is supposed to
[01:11:58.020 --> 01:12:01.020]  advance equity in Europe.
[01:12:01.020 --> 01:12:05.020]  So here's the definition of equity and see if it sounds like a definition of anything
[01:12:05.020 --> 01:12:07.020]  else you've ever heard of.
[01:12:07.020 --> 01:12:11.020]  The definition of equity comes from the public administration literature.
[01:12:11.020 --> 01:12:14.020]  It was written by a man named George Fredrickson.
[01:12:14.020 --> 01:12:20.020]  And the definition is an administered political economy in which shares are adjusted so that
[01:12:20.420 --> 01:12:22.420]  citizens are made equal.
[01:12:24.420 --> 01:12:27.420]  Does that sound like anything you've heard of before?
[01:12:27.420 --> 01:12:29.420]  Like socialism?
[01:12:29.420 --> 01:12:34.420]  They're going to administer an economy to make shares equal.
[01:12:34.420 --> 01:12:40.420]  The only difference between equity and socialism is the type of property that they redistribute,
[01:12:40.420 --> 01:12:42.420]  the type of shares.
[01:12:42.420 --> 01:12:48.420]  They're going to redistribute social and cultural capital in addition to economic and
[01:12:48.820 --> 01:12:49.820]  social capital.
[01:12:49.820 --> 01:12:51.820]  And so this is my thesis.
[01:12:51.820 --> 01:12:58.820]  When we say what is woke, woke is Maoism with American characteristics.
[01:12:58.820 --> 01:13:03.820]  If I might borrow from Mao himself, who said that his philosophy was Marxism-Leninism with
[01:13:03.820 --> 01:13:09.820]  Chinese characteristics, which means woke is Marxism.
[01:13:09.820 --> 01:13:12.820]  And it's a very provocative statement.
[01:13:12.820 --> 01:13:16.820]  It's something you will certainly hear it is not, that it is different.
[01:13:17.220 --> 01:13:22.220]  And the professors and the philosophers will spend a large amount of time explaining to you why.
[01:13:22.220 --> 01:13:23.220]  No, no.
[01:13:23.220 --> 01:13:25.220]  It's about economics when it's Marxism.
[01:13:25.220 --> 01:13:26.220]  This is social.
[01:13:26.220 --> 01:13:27.220]  This is cultural.
[01:13:27.220 --> 01:13:28.220]  This is different.
[01:13:28.220 --> 01:13:29.220]  It's not different.
[01:13:29.220 --> 01:13:31.220]  I need you to think biologically for one moment.
[01:13:31.220 --> 01:13:33.220]  And I don't mean about your bodies.
[01:13:33.220 --> 01:13:34.220]  We could do that.
[01:13:34.220 --> 01:13:36.220]  That's a different topic.
[01:13:36.220 --> 01:13:40.220]  I want you to think how we organize plants and animals when we study them.
[01:13:40.220 --> 01:13:41.220]  They're species.
[01:13:41.220 --> 01:13:45.220]  But above species there are the genus of the animals.
[01:13:45.620 --> 01:13:47.620]  So you think like the cats.
[01:13:47.620 --> 01:13:48.620]  All the cats.
[01:13:48.620 --> 01:13:49.620]  But you have tigers.
[01:13:49.620 --> 01:13:50.620]  You have lions.
[01:13:50.620 --> 01:13:51.620]  You have house cats.
[01:13:51.620 --> 01:13:52.620]  You have whatever.
[01:13:52.620 --> 01:13:53.620]  Leopards.
[01:13:53.620 --> 01:13:55.620]  Many different kinds of cats.
[01:13:55.620 --> 01:14:00.620]  If we think of Marxism as a genus of ideological thought,
[01:14:00.620 --> 01:14:05.620]  then classical economic Marxism is a species.
[01:14:05.620 --> 01:14:09.620]  Radical feminism is a species in this same genus.
[01:14:10.020 --> 01:14:15.020]  Critical race theory is a species in this genus.
[01:14:15.020 --> 01:14:19.020]  Queer theory is a species in this genus.
[01:14:19.020 --> 01:14:24.020]  Post-colonial theory that's plaguing Europe is a species in this genus.
[01:14:24.020 --> 01:14:29.020]  And they have something that binds them together called intersectionality
[01:14:29.020 --> 01:14:31.020]  that makes them treated as if they are all one thing.
[01:14:31.020 --> 01:14:33.020]  But the logic is Marxist.
[01:14:33.020 --> 01:14:35.020]  And I want to convince you of that.
[01:14:35.020 --> 01:14:39.020]  Because Marx had a very simple proposition, but we get lost.
[01:14:39.420 --> 01:14:44.420]  We think that Marx was talking about economics because he often talked about economics.
[01:14:44.420 --> 01:14:46.420]  He wrote a book called Capital.
[01:14:46.420 --> 01:14:48.420]  It's a very famous book.
[01:14:48.420 --> 01:14:50.420]  And we think, well, this is about economic theory.
[01:14:50.420 --> 01:14:52.420]  But this isn't true.
[01:14:52.420 --> 01:14:55.420]  It's only true on the surface.
[01:14:55.420 --> 01:14:59.420]  If we go below the surface, what Marx was talking about was something different.
[01:14:59.420 --> 01:15:04.420]  We know what Marx's hypothesis was, was that we must seize the means of production
[01:15:04.820 --> 01:15:08.820]  to bring socialism to the nations, to the world.
[01:15:08.820 --> 01:15:10.820]  We have to seize the means of production.
[01:15:10.820 --> 01:15:12.820]  So we have to ask, what does he mean?
[01:15:12.820 --> 01:15:16.820]  And if we think that it's about capital, then we miss what he means.
[01:15:16.820 --> 01:15:20.820]  If you think it's about the means of production in the factory with a hammer
[01:15:20.820 --> 01:15:24.820]  and the means of production in the field with a sickle, then you miss what it means.
[01:15:24.820 --> 01:15:30.820]  Because Marx explained what makes human beings special in his earlier writings.
[01:15:31.220 --> 01:15:36.220]  What makes human beings special is that man is a being that is incomplete
[01:15:36.220 --> 01:15:38.220]  and knows that he is incomplete.
[01:15:38.220 --> 01:15:45.220]  He is a man whose true nature has been forgotten to him, which is social being.
[01:15:45.220 --> 01:15:48.220]  He is a socialist at heart who doesn't realize it.
[01:15:48.220 --> 01:15:52.220]  And the reason he doesn't realize it is because of the economic conditions
[01:15:52.220 --> 01:15:56.220]  operating as the means of construction or production,
[01:15:56.620 --> 01:16:02.620]  not just of the economy, but of him, but of man, of society,
[01:16:02.620 --> 01:16:04.620]  and particularly of history.
[01:16:04.620 --> 01:16:07.620]  Marx said that he had the first scientific study of history.
[01:16:07.620 --> 01:16:09.620]  How was history produced?
[01:16:09.620 --> 01:16:13.620]  By man doing man's activity, and man's key activity was economic activity,
[01:16:13.620 --> 01:16:15.620]  as he saw it.
[01:16:15.620 --> 01:16:20.620]  And so economic production doesn't just produce the goods and services of the economy,
[01:16:20.620 --> 01:16:22.620]  it produces society itself.
[01:16:23.020 --> 01:16:26.020]  And society in terms produces man.
[01:16:26.020 --> 01:16:30.020]  He called this the inversion of praxis.
[01:16:30.020 --> 01:16:34.020]  And so when he says we must seize the means of production,
[01:16:34.020 --> 01:16:36.020]  and he's talking about factories and fields,
[01:16:36.020 --> 01:16:40.020]  he's actually talking about how we construct who we are as human beings
[01:16:40.020 --> 01:16:44.020]  so that we might complete ourselves, so that we might complete history.
[01:16:44.020 --> 01:16:49.020]  And at the end of history, mankind will remember that he is a social being
[01:16:49.020 --> 01:16:52.020]  and we will have a socialist society.
[01:16:52.420 --> 01:16:55.420]  This is the perfect communism that transcends private property,
[01:16:55.420 --> 01:16:57.420]  is how he put it.
[01:16:57.420 --> 01:17:01.420]  He said, in fact, that communism is the transcendence of private property
[01:17:01.420 --> 01:17:03.420]  as human self-estrangement.
[01:17:03.420 --> 01:17:09.420]  That's a quote from the Economic Philosophic Manuscripts of 1844.
[01:17:09.420 --> 01:17:14.420]  So Marx was interested in controlling, or understanding and controlling,
[01:17:14.420 --> 01:17:17.420]  how man produces himself.
[01:17:17.420 --> 01:17:21.420]  And he writes about this exclusively in the 1840s.
[01:17:21.820 --> 01:17:22.820]  Very deeply.
[01:17:22.820 --> 01:17:23.820]  How do we do this?
[01:17:23.820 --> 01:17:25.820]  And he looks at the economic conditions and he says,
[01:17:25.820 --> 01:17:26.820]  this is where it is.
[01:17:26.820 --> 01:17:28.820]  And that's why we get economic Marxism.
[01:17:28.820 --> 01:17:30.820]  And that's why we think Marx was an economist.
[01:17:30.820 --> 01:17:32.820]  But Marx was never an economist.
[01:17:32.820 --> 01:17:34.820]  He was a theologian.
[01:17:34.820 --> 01:17:36.820]  He wanted to produce a religion for mankind
[01:17:36.820 --> 01:17:39.820]  that would supersede all of the religions of mankind
[01:17:39.820 --> 01:17:42.820]  and bring him back to his true social nature.
[01:17:42.820 --> 01:17:44.820]  And this is the true fact of Marx.
[01:17:44.820 --> 01:17:47.820]  And what the goal was, like I said, is to complete man.
[01:17:47.820 --> 01:17:50.820]  So what he said is, well, how are we building man currently?
[01:17:51.220 --> 01:17:55.220]  Part of his economic analysis is about how are we building man at present
[01:17:55.220 --> 01:17:58.220]  through what he called material determinism.
[01:17:58.220 --> 01:18:00.220]  And he said, well,
[01:18:00.220 --> 01:18:04.220]  what we have is a special form of private property in our society.
[01:18:04.220 --> 01:18:06.220]  Our society is organized around private property.
[01:18:06.220 --> 01:18:10.220]  So all of our thoughts organize around private property.
[01:18:10.220 --> 01:18:13.220]  In other words, there's a special kind of property
[01:18:13.220 --> 01:18:16.220]  that the bourgeois elite class has access to
[01:18:16.620 --> 01:18:19.620]  and then they organize society to exclude everybody else
[01:18:19.620 --> 01:18:21.620]  from access to that property
[01:18:21.620 --> 01:18:23.620]  through exploitation, through alienation,
[01:18:23.620 --> 01:18:26.620]  through estrangement, through oppression.
[01:18:26.620 --> 01:18:29.620]  And so what Karl Marx was proposing
[01:18:29.620 --> 01:18:32.620]  is that economics becomes a vehicle
[01:18:32.620 --> 01:18:35.620]  to separate society into a bourgeois class
[01:18:35.620 --> 01:18:37.620]  that has access to a special form of property.
[01:18:37.620 --> 01:18:40.620]  The people who have access wish to retain that
[01:18:40.620 --> 01:18:43.620]  so they oppress people and keep other people out of that
[01:18:43.620 --> 01:18:45.620]  special form of property.
[01:18:46.020 --> 01:18:49.020]  They erect a system of classism to do that.
[01:18:49.020 --> 01:18:52.020]  It's enforced by an ideology called capitalism
[01:18:52.020 --> 01:18:56.020]  that believes that this is the right way to engage in the world.
[01:18:56.020 --> 01:18:59.020]  And what we have to do is awaken the underclass,
[01:18:59.020 --> 01:19:02.020]  the proletariat, to the real conditions
[01:19:02.020 --> 01:19:05.020]  and the fact that they are historical agents of change
[01:19:05.020 --> 01:19:08.020]  and bring them to do a revolution
[01:19:08.020 --> 01:19:11.020]  and transform society so that we would have
[01:19:11.020 --> 01:19:14.020]  equity or socialism, whichever word you want.
[01:19:14.420 --> 01:19:16.420]  They have the same definition.
[01:19:16.420 --> 01:19:19.420]  Now let's say that we step out,
[01:19:19.420 --> 01:19:22.420]  we step back from this species, this economic species,
[01:19:22.420 --> 01:19:25.420]  homo economicus, and we step back to the genus
[01:19:25.420 --> 01:19:28.420]  and we look at this idea, a special form of property
[01:19:28.420 --> 01:19:31.420]  that segregates society into people who have
[01:19:31.420 --> 01:19:34.420]  the bourgeois and the people who do not have
[01:19:34.420 --> 01:19:37.420]  who are in class conflict with an ideology
[01:19:37.420 --> 01:19:39.420]  that keeps this in place.
[01:19:39.420 --> 01:19:42.420]  And the underclass must awaken with consciousness
[01:19:42.420 --> 01:19:45.420]  to seize the means of production of that form of
[01:19:45.420 --> 01:19:48.420]  deterministic property.
[01:19:48.420 --> 01:19:51.420]  And now we say, change out class, put in race.
[01:19:51.420 --> 01:19:54.420]  And watch, we get critical race theory falls out of the hat.
[01:19:54.420 --> 01:19:57.420]  Just like that. Very simple.
[01:19:57.420 --> 01:20:00.420]  In 1993, Cheryl Harris wrote a long article
[01:20:00.420 --> 01:20:03.420]  for the Harvard Law Review called
[01:20:03.420 --> 01:20:06.420]  Whiteness as Property.
[01:20:06.420 --> 01:20:09.420]  She explained that whiteness, or white privilege,
[01:20:09.420 --> 01:20:12.420]  is a kind of cultural private property.
[01:20:12.420 --> 01:20:15.420]  She says it must be abolished in order to have racial justice.
[01:20:15.420 --> 01:20:18.420]  Just like Karl Marx said that in the Communist Manifesto
[01:20:18.420 --> 01:20:21.420]  he wrote, communism can be summarized in a single sentence
[01:20:21.420 --> 01:20:24.420]  the abolition of private property.
[01:20:24.420 --> 01:20:27.420]  Well this is why critical race theory calls to abolish whiteness.
[01:20:27.420 --> 01:20:30.420]  Because whiteness is a form of private property.
[01:20:30.420 --> 01:20:33.420]  People who have access to this property
[01:20:33.420 --> 01:20:36.420]  are whites, or white adjacent.
[01:20:36.420 --> 01:20:39.420]  These are words out of the American lexicon
[01:20:39.420 --> 01:20:42.420]  that they've used to describe how
[01:20:42.420 --> 01:20:45.420]  people gain access to the private property.
[01:20:45.420 --> 01:20:48.420]  People without that are people of color.
[01:20:48.420 --> 01:20:51.420]  And they are oppressed by systemic racism.
[01:20:51.420 --> 01:20:54.420]  Systemic racism is enforced by an ideology of white supremacy
[01:20:54.420 --> 01:20:57.420]  instead of capitalism.
[01:20:57.420 --> 01:21:00.420]  If you think of whiteness as a form of cultural capital
[01:21:00.420 --> 01:21:03.420]  white supremacy as they define it is identical to capitalism.
[01:21:03.420 --> 01:21:06.420]  It's not believing that white people are superior.
[01:21:06.420 --> 01:21:09.420]  It's believing that white people have access to the control of society
[01:21:09.420 --> 01:21:12.420]  and should maintain that.
[01:21:12.420 --> 01:21:15.420]  Even if you don't actually believe that.
[01:21:15.420 --> 01:21:18.420]  If you merely support that you have adopted
[01:21:18.420 --> 01:21:21.420]  the ideology of white supremacy into your mind.
[01:21:21.420 --> 01:21:24.420]  And so you have the exact same system.
[01:21:24.420 --> 01:21:27.420]  And the goal is to awaken a racial consciousness
[01:21:27.420 --> 01:21:30.420]  in people so that they will band together
[01:21:30.420 --> 01:21:33.420]  as a class and seize the means of cultural production
[01:21:33.420 --> 01:21:36.420]  so that white cultural production is no longer the dominant mode.
[01:21:36.420 --> 01:21:39.420]  It's a big mystery in Europe, I know.
[01:21:39.420 --> 01:21:42.420]  In the UK, throughout Europe, I hear this question again and again.
[01:21:42.420 --> 01:21:45.420]  Why on earth is this very American phenomenon
[01:21:45.420 --> 01:21:48.420]  about slavery and so on that doesn't apply to our country
[01:21:48.420 --> 01:21:51.420]  why is it popular here?
[01:21:51.420 --> 01:21:54.420]  It's because it's not about history at all.
[01:21:54.420 --> 01:21:57.420]  It's not about slavery at all.
[01:21:57.420 --> 01:22:00.420]  It's about creating a class consciousness
[01:22:00.420 --> 01:22:03.420]  that's against this form of property called whiteness.
[01:22:03.420 --> 01:22:06.420]  That's against the dominant culture
[01:22:06.420 --> 01:22:09.420]  that may just be a matter of fact, say, if you're in Europe.
[01:22:09.420 --> 01:22:12.420]  That's why.
[01:22:12.420 --> 01:22:15.420]  Because it becomes a site by which people can come together
[01:22:15.420 --> 01:22:18.420]  and they can channel resentment and try to claim power.
[01:22:18.420 --> 01:22:21.420]  I wrote a book called Race Marxism and I defined critical race theory
[01:22:21.420 --> 01:22:24.420]  as it really is in that book on the first page.
[01:22:24.420 --> 01:22:27.420]  Critical race theory is calling everything you want to control racist
[01:22:27.420 --> 01:22:30.420]  until you control it.
[01:22:30.420 --> 01:22:33.420]  But couldn't we say the same about Marxism?
[01:22:33.420 --> 01:22:36.420]  It's calling everything you want to control bourgeois until you control it.
[01:22:36.420 --> 01:22:39.420]  But those mean the same thing.
[01:22:39.420 --> 01:22:42.420]  They mean exactly the same thing.
[01:22:42.420 --> 01:22:45.420]  But what about, say, queer theory?
[01:22:45.420 --> 01:22:48.420]  How is that Marxist? It's very strange.
[01:22:48.420 --> 01:22:51.420]  All this gender and sex and sexuality.
[01:22:51.420 --> 01:22:54.420]  The idea of being normal.
[01:22:54.420 --> 01:22:57.420]  Well, the queer theory thinks that there are certain people
[01:22:57.420 --> 01:23:00.420]  who get to set the norms of society. They are privileged.
[01:23:00.420 --> 01:23:03.420]  They call themselves normal. They say this is normal.
[01:23:03.420 --> 01:23:06.420]  It's normal to consider yourself a man and look like a man and act like a man
[01:23:06.420 --> 01:23:09.420]  and dress like a man and eat meat like a man.
[01:23:09.420 --> 01:23:12.420]  And then there are women that should be feminine and pretty and all these things.
[01:23:12.420 --> 01:23:15.420]  And so they get to define what's normal.
[01:23:15.420 --> 01:23:18.420]  They're heterosexuals, so they get to define
[01:23:18.420 --> 01:23:21.420]  that heterosexuality is normal and other sexualities are abnormal.
[01:23:21.420 --> 01:23:24.420]  And so you have a conflict across this cultural property
[01:23:24.420 --> 01:23:27.420]  of who gets to be considered normal
[01:23:27.420 --> 01:23:30.420]  and who is a pervert or a freak
[01:23:30.420 --> 01:23:33.420]  or some other term that gets used in their literature.
[01:23:33.420 --> 01:23:36.420]  But technically, who is a queer?
[01:23:36.420 --> 01:23:39.420]  Which sounds like a slur, but they adopted it
[01:23:39.420 --> 01:23:42.420]  and it's a technical academic term now.
[01:23:42.420 --> 01:23:45.420]  It means an identity without an essence, by the way.
[01:23:45.420 --> 01:23:48.420]  An identity that is strictly oppositional to the concept of the normal
[01:23:48.420 --> 01:23:51.420]  as defined by queer theorist David Halperin
[01:23:51.420 --> 01:23:54.420]  in his 1995 book, St. Foucault
[01:23:54.420 --> 01:23:57.420]  Toward a Gay Hagiography.
[01:23:57.420 --> 01:24:00.420]  I didn't make that up. I'm not extrapolating.
[01:24:00.420 --> 01:24:03.420]  So you see, queer theory is just another species
[01:24:03.420 --> 01:24:06.420]  of the genus of Marxism.
[01:24:06.420 --> 01:24:09.420]  What about postcolonial theory, which is plaguing Europe,
[01:24:09.420 --> 01:24:12.420]  thanks to Frantz Fanon and his biggest European fan, Jean-Paul Sartre?
[01:24:13.420 --> 01:24:16.420]  What about this? Well, it's the same.
[01:24:16.420 --> 01:24:19.420]  You have the West as the oppressor.
[01:24:19.420 --> 01:24:22.420]  They have access to the material and cultural wealth of the world
[01:24:22.420 --> 01:24:25.420]  because they've decided their culture is the default
[01:24:25.420 --> 01:24:28.420]  and have gone and colonized the world
[01:24:28.420 --> 01:24:31.420]  to bring culture to the world, as they say.
[01:24:31.420 --> 01:24:34.420]  And so the oppressed, the natives around the world,
[01:24:34.420 --> 01:24:37.420]  the people have to band together
[01:24:37.420 --> 01:24:40.420]  and their activity is going to be called decolonization.
[01:24:41.420 --> 01:24:44.420]  So when they come to Belgium or they come to France
[01:24:44.420 --> 01:24:47.420]  or they come to the United States and they say we're going to decolonize
[01:24:47.420 --> 01:24:50.420]  the curriculum, or they go to the UK and say
[01:24:50.420 --> 01:24:53.420]  we're going to decolonize Shakespeare,
[01:24:53.420 --> 01:24:56.420]  this is what they mean.
[01:24:56.420 --> 01:24:59.420]  We're going to remove the cultural significance of your cultural artifacts
[01:24:59.420 --> 01:25:02.420]  because those cultural artifacts themselves are
[01:25:02.420 --> 01:25:05.420]  oppressive to us.
[01:25:05.420 --> 01:25:08.420]  This is the same system. It's another species
[01:25:08.420 --> 01:25:11.420]  of the exact same genus, and that genus is Marxism,
[01:25:11.420 --> 01:25:14.420]  which is a way of thinking about the world.
[01:25:14.420 --> 01:25:17.420]  And the goal is always to seize the means of control of the production
[01:25:17.420 --> 01:25:20.420]  of man and history and society.
[01:25:20.420 --> 01:25:23.420]  Marx merely believed it was through economic means.
[01:25:23.420 --> 01:25:26.420]  Now it's through socio-cultural means.
[01:25:26.420 --> 01:25:29.420]  The evolution into this sometimes called
[01:25:29.420 --> 01:25:32.420]  Western Marxism began in the 1920s.
[01:25:32.420 --> 01:25:35.420]  We had a Russian revolution in 1917
[01:25:35.420 --> 01:25:38.420]  and this did not happen in Europe.
[01:25:38.420 --> 01:25:41.420]  And the Marxists in Europe were confused.
[01:25:41.420 --> 01:25:44.420]  And so Antonio Gramsci sat down and wrote out some things
[01:25:44.420 --> 01:25:47.420]  and George Lukács sat down and wrote History and Class Consciousness
[01:25:47.420 --> 01:25:50.420]  after the failure of the revolution in Hungary.
[01:25:50.420 --> 01:25:53.420]  And they wrote what became cultural Marxism.
[01:25:53.420 --> 01:25:56.420]  The idea that we have to enter the cultural institutions in order to change them
[01:25:56.420 --> 01:25:59.420]  from within because Western culture has something about it
[01:25:59.420 --> 01:26:02.420]  that's repelling socialism.
[01:26:02.420 --> 01:26:05.420]  So we have to go inside and change the culture to make it socialist.
[01:26:05.420 --> 01:26:08.420]  Now you aren't allowed to talk about cultural Marxism now.
[01:26:08.420 --> 01:26:11.420]  They've categorized this as a conspiracy theory.
[01:26:11.420 --> 01:26:14.420]  They say that it is anti-Semitic.
[01:26:14.420 --> 01:26:17.420]  This is not true. Antonio Gramsci wrote books.
[01:26:17.420 --> 01:26:20.420]  George Lukács wrote books.
[01:26:20.420 --> 01:26:23.420]  You can read those books. They have a philosophy.
[01:26:23.420 --> 01:26:26.420]  If they don't like the name cultural Marxism, we can use the name
[01:26:26.420 --> 01:26:29.420]  that other people at the time used, Western Marxism.
[01:26:29.420 --> 01:26:34.420]  So much like, I don't know, a virus adapting to the conditions,
[01:26:34.420 --> 01:26:37.420]  it changed to try to infect a new host.
[01:26:37.420 --> 01:26:40.420]  It worked in feudal societies. Marxism took over in Russia.
[01:26:40.420 --> 01:26:43.420]  It took over later in China.
[01:26:43.420 --> 01:26:46.420]  It took over in all of these kind of agriculturally driven feudal societies.
[01:26:46.420 --> 01:26:49.420]  But it wouldn't work in actual capitalist nations
[01:26:49.420 --> 01:26:52.420]  because Marx was wrong.
[01:26:52.420 --> 01:26:55.420]  Then several Germans from the Frankfurt School
[01:26:55.420 --> 01:26:58.420]  started to study this phenomenon in more depth
[01:26:58.420 --> 01:27:01.420]  and they evolved the idea further.
[01:27:01.420 --> 01:27:04.420]  They evolved the idea into what's called critical Marxism.
[01:27:04.420 --> 01:27:07.420]  They developed what's called the critical theory.
[01:27:07.420 --> 01:27:10.420]  And Max Horkheimer, who designed the critical theory,
[01:27:10.420 --> 01:27:13.420]  explained the critical theory. And what did he say?
[01:27:13.420 --> 01:27:16.420]  He said, well, what we came to realize was that Marx was wrong about one thing.
[01:27:16.420 --> 01:27:19.420]  Capitalism does not immiserate the worker.
[01:27:19.420 --> 01:27:22.420]  It allows him to build a better life.
[01:27:22.420 --> 01:27:25.420]  So I developed the critical theory because it is not possible
[01:27:25.420 --> 01:27:28.420]  to immiserate the vision of a good society
[01:27:28.420 --> 01:27:31.420]  on the terms of the existing society.
[01:27:31.420 --> 01:27:34.420]  So critical Marxism criticizes the entirety of the existing society.
[01:27:34.420 --> 01:27:37.420]  Everything is somehow
[01:27:37.420 --> 01:27:40.420]  needing to be subjected to Marxist conflict analysis.
[01:27:40.420 --> 01:27:43.420]  But how is that to be done?
[01:27:43.420 --> 01:27:46.420]  They sought an answer
[01:27:46.420 --> 01:27:49.420]  through the middle part of the 20th century
[01:27:49.420 --> 01:27:52.420]  and World War II breaks out.
[01:27:52.420 --> 01:27:55.420]  This metaphor is the Wuhan Institute of Virology
[01:27:55.420 --> 01:27:58.420]  because gain of function began to happen on the Marxist virus very quickly
[01:27:58.420 --> 01:28:01.420]  in America.
[01:28:01.420 --> 01:28:04.420]  And American universities adopted these professors from Germany.
[01:28:04.420 --> 01:28:07.420]  And Herbert Marcuse, writing in the 1960s,
[01:28:07.420 --> 01:28:10.420]  said extremely clearly, this writing in 1969,
[01:28:10.420 --> 01:28:13.420]  not only did he say capitalism delivers the goods,
[01:28:13.420 --> 01:28:16.420]  gives people a good life,
