[00:00:00.000 --> 00:00:02.000]  Big John!
[00:22:28.000 --> 00:22:34.000]  and she really didn't think she could, but she just wanted to come so bad, and I wish she could be there, too,
[00:22:34.000 --> 00:22:41.000]  because my daughters are so sweet and courageous that I'd love to have her there with us.
[00:22:41.000 --> 00:22:42.000]  I imagine they are.
[00:22:42.000 --> 00:22:46.000]  Well, Randy, I wouldn't blame you if you kept your daughters that you got left out of this.
[00:22:46.000 --> 00:22:48.000]  You already lost your son and wife.
[00:22:48.000 --> 00:22:54.000]  You know what? My daughter is 31 years old, and she has a lot of her mother in her,
[00:22:54.000 --> 00:23:03.000]  and she knows how to reason, and she knows right from wrong, and I would be proud of her to be there.
[00:23:03.000 --> 00:23:05.000]  I would not discourage her.
[00:23:05.000 --> 00:23:06.000]  You're an amazing man.
[00:23:06.000 --> 00:23:08.000]  Absolutely.
[00:23:08.000 --> 00:23:15.000]  I really admire you, because I'll tell you right now, I'm ready to die in a minute for this country and this planet,
[00:23:15.000 --> 00:23:17.000]  but my children just...
[00:23:17.000 --> 00:23:20.000]  Well, the worst thing can happen is lose your children, but...
[00:23:20.000 --> 00:23:22.000]  Oh, I can't, yeah, absolutely.
[00:23:22.000 --> 00:23:26.000]  Yes, it'll tear your heart out.
[00:23:26.000 --> 00:23:27.000]  Yep.
[00:23:27.000 --> 00:23:31.000]  Well, anybody ever messes with my kids, they better get ready to die, because I'm coming for them.
[00:23:31.000 --> 00:23:35.000]  Well, I'm coming to see you, Elaine, and you just hold tight.
[00:23:36.000 --> 00:23:38.000]  Okay, we'll have the light.
[00:23:38.000 --> 00:23:40.000]  No, we won't have the light on, will we?
[00:23:42.000 --> 00:23:44.000]  We'll probably have a flashlight.
[00:23:44.000 --> 00:23:46.000]  Well, we'll put a candle in the window.
[00:23:46.000 --> 00:23:47.000]  Okay.
[00:23:47.000 --> 00:23:51.000]  Well, Randy, I will stay in touch with you as you leave tomorrow or Saturday,
[00:23:51.000 --> 00:23:56.000]  and we will definitely have you on the air Sunday there.
[00:23:56.000 --> 00:23:58.000]  Let's just set you up now.
[00:23:58.000 --> 00:24:00.000]  How about 530 Eastern, 430 Central?
[00:24:00.000 --> 00:24:02.000]  I'll call your cell phone.
[00:24:02.000 --> 00:24:07.000]  You might even buy a $30 track phone, because what they do is they find the number and they jam it,
[00:24:07.000 --> 00:24:10.000]  or they call, they've confirmed, and have phones turned off.
[00:24:10.000 --> 00:24:11.000]  So that allows you...
[00:24:11.000 --> 00:24:15.000]  I'd have one of those Walmart phones charged out of the package that they don't know about,
[00:24:15.000 --> 00:24:18.000]  because we may be in the middle of an interview once you're there, and they'll turn that off.
[00:24:18.000 --> 00:24:19.000]  Okay.
[00:24:19.000 --> 00:24:20.000]  Yeah.
[00:24:20.000 --> 00:24:25.000]  It has to be activated before you get here, because we have no landline to activate it, so...
[00:24:25.000 --> 00:24:29.000]  Yeah, so you might go to a slave mart or wherever and go ahead and activate it, Randy.
[00:24:30.000 --> 00:24:33.000]  And God bless you, and I'll call you later when you get one.
[00:24:33.000 --> 00:24:37.000]  I know you're about to go out, and we'll get that from you as well, my friend.
[00:24:37.000 --> 00:24:39.000]  Okay, keep in touch.
[00:24:39.000 --> 00:24:42.000]  Now, Alex, can I talk to you for a minute after we go off the air?
[00:24:42.000 --> 00:24:44.000]  Sure, Elaine, absolutely.
[00:24:44.000 --> 00:24:48.000]  And do you need to talk to Randy, or do you guys have each other's contact info?
[00:24:48.000 --> 00:24:50.000]  Yeah, exactly.
[00:24:50.000 --> 00:24:52.000]  Okay, so you have her contact info, Randy?
[00:24:52.000 --> 00:24:54.000]  No, I don't.
[00:24:54.000 --> 00:24:55.000]  I do not have his either.
[00:24:55.000 --> 00:24:57.000]  Well, that's exactly what she's bringing up.
[00:24:57.000 --> 00:24:59.000]  We'll do this.
[00:24:59.000 --> 00:25:05.000]  We'll exchange each other's numbers right now together when we go to this break,
[00:25:05.000 --> 00:25:07.000]  and we'll give you guys that info.
[00:25:07.000 --> 00:25:09.000]  So I guess we're all thinking on the same page here.
[00:25:09.000 --> 00:25:12.000]  And again, this is so historical.
[00:25:12.000 --> 00:25:16.000]  I literally just admire Randy Weaver more than I already did, if that's possible.
[00:25:16.000 --> 00:25:23.000]  I absolutely admire him, and it feels so good to have people that you can see as a model
[00:25:23.000 --> 00:25:27.000]  of true patriotism, true manhood, and real strength.
[00:25:27.000 --> 00:25:30.000]  They killed his wife and his son, ladies and gentlemen,
[00:25:30.000 --> 00:25:34.000]  and he is going back to put himself in the same position.
[00:25:34.000 --> 00:25:37.000]  It just makes my heart beat.
[00:25:37.000 --> 00:25:41.000]  Copies of the preceding broadcast are available at GCNLive.com
[00:25:41.000 --> 00:25:45.000]  or call toll-free 877-376-45.
[00:25:45.000 --> 00:25:50.000]  The War on Terrorism.
[00:25:50.000 --> 00:25:53.000]  Will it be fought overseas or will it affect us here at home?
[00:25:53.000 --> 00:25:56.000]  If you are like most folks, you want to be prepared
[00:25:56.000 --> 00:25:59.000]  but can't afford an underground shelter, so what do you do?
[00:25:59.000 --> 00:26:02.000]  Did you know that you can use your home as a shelter against fallout
[00:26:02.000 --> 00:26:04.000]  and biological or chemical attacks?
[00:26:04.000 --> 00:26:06.000]  With a little know-how, it's not that difficult.
[00:26:06.000 --> 00:26:08.000]  Sheltering in Place.
[00:26:08.000 --> 00:26:12.000]  Surviving acts of terrorism from biological, chemical, and radioactive fallout
[00:26:12.000 --> 00:26:15.000]  developed by Wayne LeBaron, a health physicist
[00:26:15.000 --> 00:26:19.000]  who has served as a specialist in environmental health, communicable diseases,
[00:26:19.000 --> 00:26:22.000]  and has worked as a nuclear specialist for the U.S. government,
[00:26:22.000 --> 00:26:26.000]  gives you easy-to-follow video instructions, and walks you step-by-step
[00:26:26.000 --> 00:26:29.000]  through the process of preparing your home as a shelter.
[00:26:29.000 --> 00:26:34.000]  Get this critical video every American needs for only $29 plus shipping.
[00:26:34.000 --> 00:26:39.000]  Order by calling New Millennium today at 888-803-4438.
[00:26:39.000 --> 00:26:42.000]  That's 888-803-4438.
[00:26:42.000 --> 00:26:45.000]  Or order on the web at BerkeyWater.com.
[00:26:50.000 --> 00:26:52.000]  Waging war on corruption.
[00:26:52.000 --> 00:26:55.000]  Alex Jones on the GCN Radio Network.
[00:27:02.000 --> 00:27:03.000]  Big Brother.
[00:27:03.000 --> 00:27:05.000]  Mainstream media.
[00:27:05.000 --> 00:27:07.000]  Government cover-ups.
[00:27:07.000 --> 00:27:08.000]  You want answers?
[00:27:08.000 --> 00:27:10.000]  Well, so does he.
[00:27:10.000 --> 00:27:14.000]  He's Alex Jones on the GCN Radio Network.
[00:27:14.000 --> 00:27:19.000]  And now, live from Austin, Texas, Alex Jones.
[00:27:30.000 --> 00:27:34.000]  We are now into the second hour.
[00:27:34.000 --> 00:27:39.000]  We just had Randy Weaver on of the Ruby Ridge Massacre and Siege
[00:27:39.000 --> 00:27:43.000]  with Elaine Brown of EdnaLaneBrown up there in New Hampshire.
[00:27:43.000 --> 00:27:47.000]  And Randy is on his way, packing up tonight and tomorrow to leave tomorrow.
[00:27:47.000 --> 00:27:52.000]  We're going to have him on the Sunday show, 4 to 6 p.m. Central, for a report.
[00:27:52.000 --> 00:27:55.000]  And we'll be carrying the press conference.
[00:27:55.000 --> 00:28:01.000]  We need to get a press release out on that at Infowars.net or PrisonPlanta.com
[00:28:01.000 --> 00:28:06.000]  as soon as possible that he's going to be going there to try to defuse the siege.
