[00:00.000 --> 00:02.000]  it
[53:22.220 --> 53:25.940]  And oh no, he called prostitutes slutty.
[53:25.940 --> 53:31.540]  Even though media matters get seven times less web traffic than us here at Infowars.com,
[53:31.540 --> 53:37.740]  the left-wing mob didn't care a thing about the credibility of their source or their reputation.
[53:37.740 --> 53:43.100]  They instead saw it as an opportunity to attack a prominent Trump supporter and posture themselves
[53:43.100 --> 53:47.180]  as being morally superior to their right-wing counterparts.
[53:47.180 --> 53:53.380]  When in fact, we know the left has no standards, no credibility, and no moral compass.
[53:53.380 --> 53:58.980]  Their only guidance is that whatever conservative support is bad and whatever the left supports
[53:58.980 --> 53:59.980]  must be good.
[53:59.980 --> 54:05.340]  What's more concerning the media matters hit piece on Carlson is how the left-wing media
[54:05.340 --> 54:09.220]  ate it up and is doing everything they can to ruin his public image.
[54:09.220 --> 54:14.580]  In fact, if you Google Tucker Carlson, you will find no favorable articles and will instead
[54:14.580 --> 54:18.380]  be bombarded with hit piece after hit piece from left-wing outlets.
[54:18.380 --> 54:24.860]  You'll see articles from the Washington Post, CNN, MSNBC, Slate, and Stephen Colbert.
[54:24.860 --> 54:28.660]  In fact, the very first thing that shows up when you search his name is an article from
[54:28.660 --> 54:32.700]  the Washington Post titled, Tucker Carlson Needs To Go.
[54:32.700 --> 54:33.700]  Now.
[54:33.700 --> 54:38.740]  On Twitter, the hashtag FIRE Tucker Carlson was trending for days and hit pieces on him
[54:38.740 --> 54:41.460]  were pushed to the top of everyone's feed.
[54:41.460 --> 54:46.340]  Despite the endless number of conservatives coming to Carlson's defense, strangely only
[54:46.340 --> 54:50.820]  the hit pieces on him are the ones showing up in search engines and on social media.
[54:50.820 --> 54:56.140]  And you would think that since Carlson makes a living by putting his face on a camera and
[54:56.140 --> 55:01.300]  is the most watched television personality, the hit clips on Fox might come up when you
[55:01.300 --> 55:03.460]  search his name on YouTube, right?
[55:03.460 --> 55:04.460]  Wrong.
[55:04.460 --> 55:09.300]  The top search results are instead hits on Tucker from CBS, MSNBC, and CNN.
[55:09.300 --> 55:14.620]  The fact that a video with a mere 511 views is the top result when you search his name
[55:14.620 --> 55:18.740]  is all the proof you need that big tech companies are pushing an agenda.
[55:18.740 --> 55:23.380]  If you've been following outlets like Info Wars and Project Baratoc, this should come
[55:23.380 --> 55:29.060]  as no surprise, since big tech's left-wing bias has been on full display for years now.
[55:29.060 --> 55:33.060]  And Google has been known to skew search results to favor left-wing sources.
[55:33.060 --> 55:38.060]  So now, if you didn't already realize, it is abundantly clear that the media and the
[55:38.060 --> 55:43.060]  big tech firms are evidently working together to try to take down one of President Trump's
[55:43.060 --> 55:45.100]  biggest allies in the media.
[55:45.100 --> 55:50.500]  And they are giving him the exact same treatment that they gave Alex Jones.
[55:50.500 --> 55:55.100]  Luckily for Carlson, conservatives aren't buying it this time and are refusing to give
[55:55.100 --> 55:56.620]  into the left-wing mob.
[55:56.620 --> 56:00.900]  Tucker took to Twitter to say, quote, media matters caught me saying something naughty
[56:00.900 --> 56:03.940]  on a radio show more than a decade ago.
[56:03.940 --> 56:08.380]  Rather than express the usual, witch-rule, contrition, how about this?
[56:08.380 --> 56:11.740]  I'm on television every weeknight live for an hour.
[56:11.740 --> 56:15.140]  If you want to know what I think, you can watch.
[56:15.140 --> 56:19.180]  Anyone who disagrees with my views is welcome to come on and explain why.
[56:19.180 --> 56:23.580]  Tucker knows better than anyone that the left-wing mob has no principles.
[56:23.580 --> 56:27.300]  These are the same people that tried to break into his home and harass his family.
[56:27.300 --> 56:31.660]  Where was the left-wing media to denounce the violence against Carlson?
[56:31.660 --> 56:36.420]  Where were they to stand up for him when the agitators caught his teenage daughter a whore
[56:36.420 --> 56:37.660]  in public?
[56:37.660 --> 56:41.980]  Where were they to defend him from baseless accusations that he assaulted a gay Latino
[56:41.980 --> 56:42.980]  man?
[56:42.980 --> 56:47.180]  Just like every other incident of harassment against a conservative, the left was completely
[56:47.180 --> 56:48.180]  absent.
[56:48.180 --> 56:52.300]  If it weren't for double standards, the left wouldn't have any standards at all.
[56:52.300 --> 56:57.060]  If we don't stand together now against the mob, they will be coming for us next if they
[56:57.060 --> 57:01.780]  will come after innocent teenagers for wearing red hats, they won't hesitate to come after
[57:01.780 --> 57:08.500]  anyone, and they want the biggest name on television to be the first domino to fall.
[57:08.500 --> 57:12.940]  What will happen instead is they will only make Tucker Carlson more popular and make
[57:12.940 --> 57:15.980]  the ever-growing MAGA movement bigger than ever.
[57:15.980 --> 57:20.740]  The media is so scared of seeing Trump get re-elected in 2020 that they have destroyed
[57:20.740 --> 57:25.540]  all of their credibility in the process and instead assured that Trump will win in a huge
[57:25.540 --> 57:27.660]  landslide in 2020.
[57:27.660 --> 57:29.820]  Are you ready to keep America great?
[57:29.820 --> 57:30.820]  I am.
[57:30.820 --> 57:37.100]  There you have it, that's why they want to bring down Tucker Carlson.
[57:37.100 --> 57:42.660]  He refuses to apologize, they want to replace him with some anodyne boring NPC Fox News
[57:42.660 --> 57:43.660]  commentator.
[57:43.660 --> 57:47.060]  Thankfully, Fox News have stood behind him, which is the right decision.
[57:47.060 --> 57:52.540]  We'll be back in the next segment of the Outlook Show Live, Infowars.com, now go away.
[57:52.540 --> 57:57.420]  Well, I've got some really good news for all the viewers and all the listeners.
[57:57.420 --> 58:00.300]  This was going to be a big loss because we couldn't get the Deep Earth Crystals anymore
[58:00.300 --> 58:04.860]  for a year and a half site, but we have the original producer, the original crystal source,
[58:04.860 --> 58:09.780]  the best atomic iodide in the world, X-2 is back, we got it, this deal just happened
[58:09.780 --> 58:14.020]  about a month ago, we rushed it into production, it's been bottled, the labels are being put
[58:14.020 --> 58:19.620]  on today, and then it's going to be on an 18-wheeler right here to Austin from the plant in the
[58:19.620 --> 58:23.580]  Rockies, and it's going to be shipped out to you, be sure to sign up for auto-ship,
[58:23.580 --> 58:29.580]  get an additional 10% off, the 25% off, celebration of the fact that we got it back and we're
[58:29.580 --> 58:30.580]  relaunching it.
[58:30.580 --> 58:34.700]  Research the iodide conspiracy, find out why it's so important, find out why the globalists
[58:34.700 --> 58:40.660]  don't want you to have the good halogens and what you have the bad halogens at InfowarsStore.com,
[58:40.660 --> 58:44.780]  that's the umbrella site, InfowarsLive.com, makes you write the supplements, and this
[58:44.780 --> 58:55.180]  is the King Daddy, ladies and gentlemen, it is X-2 original, now back at InfowarsStore.com.
[58:55.180 --> 58:59.060]  Our grandparents and great grandparents knew that they canned food during the fall, so they'd
[58:59.060 --> 59:04.220]  have it during the winter, and that's what I'm talking about at InfowarsStore.com, but
[59:04.220 --> 59:10.300]  Infowars Select is the full spectrum of my patriots supply, one of the top most respected
[59:10.300 --> 59:16.340]  companies out there, but because I private label it, I'm able to go below cost on contracts
[59:16.340 --> 59:20.980]  that all their other distributors aren't able to do, but I want to be a market leader and
[59:20.980 --> 59:24.260]  I want you to have storeable food so it's a total win-win.
[59:24.260 --> 59:29.220]  We have those incredible sell prices back at InfowarsStore.com, on Infowars Select storeable
[59:29.220 --> 59:34.300]  foods, they've got special diet foods, they've got three month supplies, your supplies, weak
[59:34.300 --> 59:38.340]  emergency supplies, they've got so many great products there, and you've got a three year
[59:38.340 --> 59:43.900]  supply, if stuff happens you can feed your whole block, it's up to us to be self-sufficient.
[59:43.900 --> 59:48.740]  You're buying war bonds, bringing great products together, with God's help we are unstoppable.
[59:48.740 --> 59:58.740]  InfowarsStore.com, Infowars Select, high quality storeable foods, powered by my patriots supply.
[59:58.740 --> 1:00:09.940]  We're listening to the Alex Jones show.
[1:00:09.940 --> 1:00:13.140]  You found it, the tip of the spear.
[1:00:13.140 --> 1:00:20.540]  It is the Alex Jones show, and now your host, Paul Joseph Watson.
[1:00:20.540 --> 1:00:27.860]  We are into the second hour of the Alex Jones show, later on in the next hour, we're going
[1:00:27.860 --> 1:00:33.420]  to play an extremely crucial video called The Collapse of Western Civilization, which
[1:00:33.420 --> 1:00:37.540]  went up last night, which I encourage everyone to share, we'll get to that later in the next
[1:00:37.540 --> 1:00:38.540]  segment.
[1:00:38.540 --> 1:00:43.540]  First, I want to go to this headline, we've had this entire narrative about Trump supporters
[1:00:43.540 --> 1:00:47.860]  are going to attack the media, they're begging for some kind of violent attack on the media,
[1:00:47.860 --> 1:00:49.900]  they will exploit the heck out of that.
[1:00:49.900 --> 1:00:54.860]  Now we have this headline out of Information Liberation, Dems Posh Journalist Protection
[1:00:54.860 --> 1:00:58.420]  Act to make attacking journalists a federal crime.
[1:00:58.420 --> 1:01:03.300]  So they're trying to put journalists in a special category of people, because we don't
[1:01:03.300 --> 1:01:05.940]  exalt them enough already.
[1:01:05.940 --> 1:01:10.620]  So if you violently attack them, and in many senses not even violently attack, that's going
[1:01:10.620 --> 1:01:13.300]  to get you much longer jail time.
[1:01:13.300 --> 1:01:17.700]  It says democratic lawmakers have introduced the bill to make attacking or attempting to
[1:01:17.700 --> 1:01:19.540]  attack a journalist a federal crime.
[1:01:19.540 --> 1:01:25.500]  Now bear in mind that these people on the left think that mean words are violence, they
[1:01:25.500 --> 1:01:30.180]  literally try to recategorize mean words as being violent.
[1:01:30.180 --> 1:01:34.900]  From the Hill, three democratic lawmakers reintroduced the Journalist Protection Act that intends
[1:01:34.900 --> 1:01:38.980]  to designate certain attacks on those reporting the news as a federal crime.
[1:01:38.980 --> 1:01:43.820]  And they're doing it in response to President Trump's climate of extreme hostility.
[1:01:43.820 --> 1:01:50.900]  Bear in mind that Washington Post-CNN is currently facing lawsuits of what, $250 million for
[1:01:50.900 --> 1:01:55.740]  their national demonization campaign of the Covington High School students.
[1:01:55.740 --> 1:02:01.380]  You had CNN literally send reporters to docks old ladies and accuse them of being Russian
[1:02:01.380 --> 1:02:02.380]  bots.
[1:02:02.380 --> 1:02:05.340]  But no, it's Trump supporters who are to blame.
[1:02:05.340 --> 1:02:10.500]  So now they're trying to make this a federal hate crime to attack a journalist.
[1:02:10.500 --> 1:02:15.540]  It says that anyone who intentionally commits or attempts to commit bodily injury to a journalist
[1:02:15.540 --> 1:02:19.780]  shall be fined under this title or imprisoned for three to six years.
[1:02:19.780 --> 1:02:24.300]  Again, when it happens the other way, they either ignore it or they support the actual
[1:02:24.300 --> 1:02:25.300]  perpetrator.
[1:02:25.300 --> 1:02:27.980]  We saw Rand Paul violently viciously attacked.
[1:02:27.980 --> 1:02:30.740]  They tried to bury that under the carpet.
[1:02:30.740 --> 1:02:34.460]  So now they're trying to make journalists a special class of people.
[1:02:34.460 --> 1:02:39.780]  So quote, violent attacks against them are punishable by elongated prison sentences.
[1:02:39.780 --> 1:02:45.860]  Again, we just had Newsweek, I read the article before the break, they're talking about, oh,
[1:02:45.860 --> 1:02:50.500]  what a shame it is that we can't push hate speech charges against Tucker Carlson because
[1:02:50.500 --> 1:02:52.820]  he's not Canadian or British.
[1:02:52.820 --> 1:02:56.820]  Their definition of hate speech at this point is disagreeing with them.
[1:02:56.820 --> 1:02:59.420]  That's basically what it's come down to.
[1:02:59.420 --> 1:03:04.620]  Meanwhile, Facebook and Instagram suffer most severe outage ever.
[1:03:04.620 --> 1:03:12.300]  Facebook yesterday was down for 14 hours, absolutely pathetic for a major company.
[1:03:12.300 --> 1:03:16.060]  And again, another sign that monopolies are horrible bad news.
[1:03:16.060 --> 1:03:21.260]  They had Oculus, they had Facebook, they had Instagram, they had WhatsApp, all go down
[1:03:21.260 --> 1:03:23.580]  Facebook for 14 hours.
[1:03:23.580 --> 1:03:27.820]  How on earth are they all on the same backbone where if you attack one, they all go down
[1:03:27.820 --> 1:03:29.020]  at the same time.
[1:03:29.020 --> 1:03:32.700]  Again, monopolies, they're only as strong as their weakest link.
[1:03:32.700 --> 1:03:39.380]  BBC News reports, Facebook appears to be recovering from more than 14 hour disruption to all of
[1:03:39.380 --> 1:03:43.500]  its products which left them mostly inaccessible across the world.
[1:03:43.500 --> 1:03:47.420]  They came out and did a tweet at the start of this and denied that it was a denial of
[1:03:47.420 --> 1:03:50.940]  service attack and then basically said nothing about it.
[1:03:50.940 --> 1:03:58.140]  The downtime was double or more their previous longest outage which was back in 2008, that's
[1:03:58.140 --> 1:04:02.980]  when they had under 50 million users, now they've got 2.3 billion users.
[1:04:02.980 --> 1:04:07.780]  How embarrassing was it for Facebook to be down for 14 hours and how much does it tell
[1:04:07.780 --> 1:04:10.780]  us that these monopolies need to be broken up?
[1:04:10.780 --> 1:04:14.820]  Talking about breaking up monopolies, this is a suggestion that I've made before, I made
[1:04:14.820 --> 1:04:17.340]  it again on Twitter yesterday.
[1:04:17.340 --> 1:04:22.740]  Why isn't Trump sending at least one message a day on a competing social media network?
[1:04:22.740 --> 1:04:23.940]  Why is it all on Twitter?
[1:04:23.940 --> 1:04:26.420]  Why is he giving Twitter his content?
[1:04:26.420 --> 1:04:30.620]  Why is he drawing all the attention to Twitter, giving them credibility?
[1:04:30.620 --> 1:04:35.780]  Why does he not just send one message a day on a competing social network that's not controlled
[1:04:35.780 --> 1:04:38.300]  by Silicon Valley like Paula?
[1:04:38.300 --> 1:04:42.900]  It would force all his haters to sign up, it would force all the media to sign up, it
[1:04:42.900 --> 1:04:47.900]  would force his entire base to sign up, you would not need an executive order and then
[1:04:47.900 --> 1:04:53.300]  that would give that platform credence to be an alternative competing network to networks
[1:04:53.300 --> 1:04:56.140]  like Twitter and Facebook which we haven't had so far.
[1:04:56.140 --> 1:05:00.820]  That needs to be seriously considered, this is the Alex Jones Show Live Infowars.com,
[1:05:00.820 --> 1:05:03.780]  we'll be back.
[1:05:03.780 --> 1:05:08.460]  You deserve a deep restful sleep with knockout by Infowars Life.
[1:05:08.460 --> 1:05:14.140]  Our organic formula is made from high quality natural ingredients such as valerian root
[1:05:14.140 --> 1:05:20.140]  extract, L-tryptophan, lemon balm leaf extract and melatonin.
[1:05:20.140 --> 1:05:24.540]  Knockout packs a powerful punch to get you through the night and achieve proper sleep,
[1:05:24.540 --> 1:05:29.740]  millions of people around the world experience daytime drowsiness but with a rapid speed
[1:05:29.740 --> 1:05:33.020]  of life we need to be able to keep up the pace.
[1:05:33.020 --> 1:05:38.940]  Our natural mixture harnesses the power of ten known ingredients to let your body relax
[1:05:38.940 --> 1:05:40.780]  and get the sleep you need.
[1:05:40.780 --> 1:05:43.100]  Wake up refreshed and take on the day.
[1:05:43.100 --> 1:05:47.940]  Infowars Life wants to bring you a sleep support formula that goes above and beyond
[1:05:47.940 --> 1:05:51.140]  other leading brands at an affordable price.
[1:05:51.140 --> 1:05:57.260]  Just the sleep you deserve and experience the power of knockout, head on over to InfowarsLife.com
[1:05:57.260 --> 1:06:27.100]  and say goodbye to fatigue, that's InfowarsLife.com.
[1:06:27.100 --> 1:06:36.060]  I've been handed the latest specials at InfowarsStore.com and this is exciting, you need to take
[1:06:36.060 --> 1:06:42.460]  advantage of this right now, it is the InfowarsStore mega sale, free shipping and double patriot
[1:06:42.460 --> 1:06:49.180]  points on all InfowarsLife supplements, free shipping store wide, double patriot points,
[1:06:49.180 --> 1:06:56.660]  50% off brain force plus our outstanding new Tropic product, 50% off survival shield
[1:06:56.660 --> 1:07:03.820]  X2 pre-order, 50% off super male vitality, bodies, alpha power, super blue products that's
[1:07:03.820 --> 1:07:09.660]  the toothpaste, the mouthwash, DNA force plus, knockout, the sleep aid and of course vitamin
[1:07:09.660 --> 1:07:16.900]  mineral fusion, all 50% off in this huge mega sale, brand new mega sale available right
[1:07:16.900 --> 1:07:23.100]  now at InfowarsStore.com, take advantage of that, take advantage of the auto ship and
[1:07:23.100 --> 1:07:29.860]  the free shipping options, that is an absolutely mammoth discount on all those favorite products
[1:07:29.860 --> 1:07:37.180]  available right now, it is the InfowarsStore mega sale at InfowarsStore.com.
[1:07:37.180 --> 1:07:40.860]  Now this is the video which I put together over the past few days, it went up live last
[1:07:40.860 --> 1:07:47.620]  night basically talking about how all the precursors to how civilizations collapse, civilizations
[1:07:47.620 --> 1:07:55.300]  on average collapse once every 336 years, well long overdue and many of the preconditions
[1:07:55.300 --> 1:08:00.580]  for the collapse of a civilization as studied by authors and historians and academics have
[1:08:00.580 --> 1:08:07.020]  already been met in the West, this is absolutely chilling, this is the collapse of Western civilization,
[1:08:07.020 --> 1:08:08.460]  here it is.
[1:08:08.460 --> 1:08:13.500]  Civilizations are always the architect of their own downfall, historian Arnold Toynbee
[1:08:13.500 --> 1:08:20.100]  studied 28 different great civilizations and found the same pattern, great civilizations
[1:08:20.100 --> 1:08:27.300]  commit suicide, Ann Glyn Jones spent 9 years studying how civilizations decline, she describes
[1:08:27.300 --> 1:08:32.820]  our culture as one that has quote run its course which is morally, aesthetically and
[1:08:32.820 --> 1:08:39.340]  spiritually bankrupt, is the background home of constant anxiety that pervades our culture
[1:08:39.340 --> 1:08:45.460]  a sign that we know the end is nigh, more Americans than ever are dying from drug overdoses,
[1:08:45.460 --> 1:08:51.540]  gun violence, car crashes or AIDS never killed as many Americans in a single year as overdoses
[1:08:51.540 --> 1:08:58.260]  did in 2017, but the issue isn't just prescription drugs, in the UK so much cocaine is flushed
[1:08:58.260 --> 1:09:04.220]  into the rivers, the endangered eels are becoming hyperactive and not reaching sexual maturity,
[1:09:04.220 --> 1:09:09.820]  the number of 16 to 24 year olds using Coke, Ecstasy, Crystal, Meth and LSD doubled in
[1:09:09.820 --> 1:09:16.780]  just a two year period from 2016 to 2018, in the US heroin abuse has skyrocketed over
[1:09:16.780 --> 1:09:22.060]  the past 15 years, the number of people who used MDMA, marijuana and other drugs also
[1:09:22.060 --> 1:09:29.180]  consistently climbed over the last decade, alcoholism is on the rise, one in eight Americans
[1:09:29.180 --> 1:09:34.460]  is now an alcoholic, and when it comes to taking anti-depressants, white, rural communities
[1:09:34.460 --> 1:09:39.380]  have overtaken African American communities for the first time ever, depression levels
[1:09:39.380 --> 1:09:44.820]  in America are the highest ever measured, suicide rates are higher than ever, despite
[1:09:44.820 --> 1:09:50.340]  all our technology, our entertainment, our consumerism, our chemical enhancements were
[1:09:50.340 --> 1:09:57.820]  more miserable than ever before, our existential dread is more pronounced than ever before,
[1:09:57.820 --> 1:10:04.660]  well intellectual and material ease has manifested civilizational malaise and a lack of transcendent
[1:10:04.660 --> 1:10:10.860]  purpose, the result of this lack of transcendent purpose is self destruction, not merely on
[1:10:10.860 --> 1:10:16.740]  a personal but on a population scale, technical sophistication has been accompanied by mass
[1:10:16.740 --> 1:10:23.180]  incompetence in the art of living, when a society has no purpose to believe in itself
[1:10:23.180 --> 1:10:29.220]  immolates, there's only so far that quasi religious devotion to yoga, Starbucks pumpkin
[1:10:29.220 --> 1:10:34.940]  spiced lattes and Whole Foods kale shakes can go, the latest iPhone can only distract
[1:10:34.940 --> 1:10:40.380]  you from the nagging voice of conscience for so long, endlessly consuming products will
[1:10:40.380 --> 1:10:46.740]  never satiate the soul, we live in the ruins of a civilization that has lost faith in itself,
[1:10:46.740 --> 1:10:52.620]  a civilization that is constantly lectured it must be ashamed of itself and slowly subverted
[1:10:52.620 --> 1:10:57.580]  and destroyed from within as the only form of repentance, and if you're wondering how
[1:10:57.580 --> 1:11:02.620]  we wound up in the dark age we're currently living through, this is how we did, this is
[1:11:02.620 --> 1:11:07.060]  why important science is no longer being conducted, this is why art isn't being made, this is
[1:11:07.060 --> 1:11:11.140]  why comedy is dying, it's why people aren't thinking for themselves anymore, which means
[1:11:11.140 --> 1:11:16.900]  the end of creativity, great civilizations collapse when the insatiable greed for sensual
[1:11:16.900 --> 1:11:22.700]  stimulation outweighs the urge for any kind of private or social responsibility, we're
[1:11:22.700 --> 1:11:27.540]  now reaching this point, French author Michel Wellbeck predicted both the rise of Islamism
[1:11:27.540 --> 1:11:32.220]  across Europe and the emergence of the yellow vest movement, the Theodore Dalrymple writes
[1:11:32.220 --> 1:11:38.060]  about the themes of Wellbeck novels, the vacuity of modern life in the west, its lack of transcendence
[1:11:38.060 --> 1:11:43.060]  lived as it is increasingly without religious or political belief, without a worthwhile
[1:11:43.060 --> 1:11:48.780]  creative culture, often without deep personal attachments and without even a struggle for
[1:11:48.780 --> 1:11:53.260]  survival, into what Salman Rushdie called a God shaped whole has rushed the search for
[1:11:53.260 --> 1:11:59.380]  sensual pleasure which however, no more than distracts, and where is the church in all
[1:11:59.380 --> 1:12:05.020]  this, where are the firebrands railing against the vulgarity of modernity, affiliation with
[1:12:05.020 --> 1:12:10.700]  the church of England is at a record low, just 2% of young people are affiliated, and
[1:12:10.700 --> 1:12:18.620]  in the US alone, the Christian population decreased by nearly 8% between 2007 and 2014,
[1:12:18.620 --> 1:12:24.860]  where bulldozing churches and building ugly gigantic glassy monuments to insipid vacuity,
[1:12:24.860 --> 1:12:31.020]  great civilizations collapse when they experience a rapid and enduring loss of population and
[1:12:31.020 --> 1:12:36.580]  identity, the number of babies born to Muslims is expected to surpass those born to Christians
[1:12:36.580 --> 1:12:43.420]  between 2013 and 2035, Muslim fertility remains high while Christians are literally dying
[1:12:43.420 --> 1:12:48.700]  out, meanwhile the global leader of the Catholic church is the biggest cheerleader for his
[1:12:48.700 --> 1:12:54.340]  own flocks decline, if only there was a religious leader who understood the peril that we're
[1:12:54.340 --> 1:13:08.460]  hearing, we're feeling worried for the western world, what are you worried about, you know,
[1:13:08.460 --> 1:13:25.460]  what are you worried about, what are you worried about, what are you worried about, what are
[1:13:25.460 --> 1:13:54.700]  you worried about, anything, where are the conservatives in all this, giving giant corporations
[1:13:54.700 --> 1:13:59.580]  huge tax breaks so they can import vast quantities of people from the third world and then pay
[1:13:59.580 --> 1:14:06.140]  them slave wages while white Americans addicted to opioids live lives of atomized nihilistic
[1:14:06.140 --> 1:14:13.180]  hopelessness. Is that conservatism? At this point, what exactly are we conserving? Those
[1:14:13.180 --> 1:14:22.380]  GDP numbers though, is it conservative to allow Amazon to pay $0 in taxes on $11.2 billion
[1:14:22.380 --> 1:14:28.220]  on profit for 2018 and for progressives so long as Jeff Bezos virtue signals the right
[1:14:28.220 --> 1:14:34.140]  identity politics? Who cares, right? Great civilizations collapse when the economy serves
[1:14:34.140 --> 1:14:41.260]  not to elevate but to denigrate the population. We're now reaching this point. Our entire economy
[1:14:41.260 --> 1:14:47.180]  has become centered around a crony capitalist system that eviscerates the family, leading to
[1:14:47.180 --> 1:14:53.820]  atomization, misery and depression. In 2015, a study by the decidedly non-conservative Brookings
[1:14:53.820 --> 1:14:58.860]  institution found that falling male wages caused about a quarter of the decline in marriage rates
[1:14:58.860 --> 1:15:04.780]  over the past 35 years. Two years later, MIT researchers found that when factories close,
[1:15:04.780 --> 1:15:10.140]  marriage rates go down and single parenthood becomes more common. That, as you could guess,
[1:15:10.140 --> 1:15:15.740]  causes a higher proportion of children to wind up on drugs or in prison. So it's not a small thing.
[1:15:15.740 --> 1:15:21.500]  And by the way, many other studies have reached the same conclusions over long periods of time.
[1:15:21.500 --> 1:15:27.340]  This is real. As French philosopher Eric Zamore outlines, the elite have stopped caring about
[1:15:27.340 --> 1:15:33.900]  native populations. Why? Because those populations no longer tolerate stagnant wage growth and
[1:15:33.900 --> 1:15:39.660]  diminished job prospects, simply to enslave themselves as a servant class for the elite.
[1:15:39.660 --> 1:15:46.060]  That's why they're on the streets rioting. So far, easier. Okay, that is the collapse of
[1:15:46.060 --> 1:15:51.740]  Western civilization. Part one. Part two is coming up after the break. And we'll get into
[1:15:51.740 --> 1:15:57.900]  more breaking news here on the Alex Jones Show Live. Infowars.com. Don't go away. We'll be back.
[1:16:01.660 --> 1:16:08.060]  The United States of Empire is a book that claims the United States is the empire of the world.
[1:16:08.060 --> 1:16:13.100]  George Washington had warned us against foreign wars. The United States of Empire
[1:16:13.100 --> 1:16:19.420]  shows that World Wars One and Two left England broken. Its former colony, the U.S., had to
[1:16:19.420 --> 1:16:25.660]  save the empire. Was there ever a vote? Who do we fight for? The deep state began with World War
[1:16:25.660 --> 1:16:32.700]  One, the United States of Empire, by James Dunn, available at Amazon Books. Fully cooked, ready
[1:16:32.700 --> 1:16:38.300]  to eat bacon. I'm talking thick meaty, center cut, presidential bacon. Savory and delicious.
[1:16:38.300 --> 1:16:44.940]  I buy some. I use some. I store some. Awesome. No refrigeration needed with a 10-year shelf life
[1:16:44.940 --> 1:16:51.180]  NASA PAC technology. Bacon. Fully cooked, fully hydrated, ready to eat right from the PAC bacon,
[1:16:51.180 --> 1:16:57.740]  or warm and served. Life saving, ready to eat bacon. 10-year shelf life bacon. Ships free at
[1:16:57.740 --> 1:17:04.940]  fullycookedbacon.com. Fullycookedbacon.com. Heart disease is on the rise. Clogged arteries, high
[1:17:04.940 --> 1:17:09.980]  blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms
[1:17:09.980 --> 1:17:15.660]  are there. Loss of energy, blood sugar, spikes, and drops. Poor circulation and irregular heartbeat
[1:17:15.660 --> 1:17:20.940]  are just a few of these that can alert you that something is wrong. Hear how heart and body extract
[1:17:20.940 --> 1:17:26.060]  is making a difference in thousands of people's lives across America. My blood pressure has
[1:17:26.060 --> 1:17:30.940]  normalized. My diabetes has totally improved. Everyone is telling me now how much healthier
[1:17:30.940 --> 1:17:35.020]  I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to
[1:17:35.020 --> 1:17:40.460]  everyone. Anybody over 40 in the North American continent should be using this product as a
[1:17:40.460 --> 1:17:45.500]  preventative to keep their cardiovascular system healthy. Order your two-month supply today by
[1:17:45.500 --> 1:17:55.980]  calling 866-295-5305. That's 866-295-5305. Or order online, hbextract.com. Heart and body extract,
[1:17:55.980 --> 1:18:04.140]  866-295-5305. Or hbextract.com. I've got some really good news, though.
[1:18:05.180 --> 1:18:12.300]  X2 is back. The original X2. Deep breath crystal, pure atomic iodine. What you want,
[1:18:12.300 --> 1:18:18.380]  m4store.com. It'll be here in a week. Manufactured in the U.S. m4store.com with the best iodine in
[1:18:18.380 --> 1:18:22.860]  the world. X2, it's available. I thought X3 is great. We still got another deep breath crystal
[1:18:22.860 --> 1:18:27.180]  source, but I thought add the other two types of iodine, the scientists that do that. It sold a
[1:18:27.180 --> 1:18:32.780]  lot, but people want original X2. I was resigned the fact we didn't have X2, but it came through
[1:18:32.780 --> 1:18:38.780]  about a month ago. We now have X2 again at m4store.com. So, hallelujah. It's been sold out for about
[1:18:38.780 --> 1:18:45.820]  almost three months, but we have now had the same company, the original X2, develop it again,
[1:18:46.460 --> 1:18:52.620]  and we were able to do the exact same formula. We want to pre-order X2, the ultimate iodine out
[1:18:52.620 --> 1:18:56.620]  there. Learn about the iodine conspiracy. Learn about IQs dropping when you don't have it.
[1:18:56.620 --> 1:19:02.860]  Learn about how the other iodines are bound. Get yours today at m4store.com or m4slife.com.
[1:19:02.860 --> 1:19:09.180]  I've been doing a lot of research into Google and YouTube censorship, and I've noticed that there's
[1:19:09.180 --> 1:19:17.180]  one type of video that is the most censored, the most buried, the most suppressed, and that's the
[1:19:17.180 --> 1:19:24.140]  videos where you saw in 2016 election night all the arrogant leftist authoritarians, like the
[1:19:24.140 --> 1:19:30.620]  young turds and others, get so butt hurt when Trump won. They don't want us to have that victory.
[1:19:30.620 --> 1:19:36.620]  They don't want us to remember what political action did, and that's why the globalist Hillary
[1:19:36.620 --> 1:19:42.060]  and others are trying to shut in fours now. This is a fight about taking your speech away,
[1:19:42.060 --> 1:19:47.020]  not just my speech, about taking your very sovereignty away. This country is in a war,
[1:19:47.820 --> 1:19:51.740]  so again, I want to thank you for what you've done, but I want to remind you, if you don't
[1:19:51.740 --> 1:19:55.260]  spread the articles and videos, and if you don't financially get the great products we have and
[1:19:55.260 --> 1:20:01.820]  fund us, in the 360 wind, we're dead in the water. I'm in your hands. You're in my hands. infowarstore.com.
[1:20:01.820 --> 1:20:08.540]  Thank you. You're listening to the Alex Jones show.
[1:20:08.540 --> 1:20:23.420]  Waging war on corruption. It's Alex Jones coming to you live from the front lines of the info war.
