[00:00.000 --> 00:02.000]  Oh
[1:04:04.440 --> 1:04:08.440]  but if you don't mind, I won't introduce them all.
[1:04:08.440 --> 1:04:12.440]  All of us here today understand an eternal truth.
[1:04:12.440 --> 1:04:20.440]  Every child is a precious and sacred gift from God.
[1:04:20.440 --> 1:04:29.440]  All right, you know, I should have thought to tell the crew to go past Trump's pleasantries as he always does and then get in the real meat of what he was about to say.
[1:04:29.440 --> 1:04:34.440]  So we're going to come back from where he just started there about 30 seconds ago for a few minutes on the other side.
[1:04:34.440 --> 1:04:42.440]  And then Mike Adams is going to be here with us to go down the latest developments that are huge like this.
[1:04:42.440 --> 1:04:49.440]  U.S. still accepting packages from Wuhan, China despite coronavirus quarantine.
[1:04:49.440 --> 1:04:56.440]  I wonder the U.S. is one of the only countries that chat outbreaks as well.
[1:05:19.440 --> 1:05:23.440]  They experience less seasonal immune and inflammatory responses.
[1:05:23.440 --> 1:05:34.440]  They began studying this effect in published trials and decades later, we now have the fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[1:05:34.440 --> 1:05:49.440]  The pollen block is natural and effective. It is not an antihistamine. In fact, current research has found that it actually acts by blocking the activity of tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[1:05:49.440 --> 1:05:51.440]  Go outside and enjoy the air you breathe.
[1:05:51.440 --> 1:06:13.440]  Visit infoworselife.com and grab a pack of our pollen block chewable tablets.
[1:06:13.440 --> 1:06:32.440]  We have to start valuing life again. If we don't value the life of babies and the unborn, we're not going to value the life of our elders or ourselves and other people aren't going to value our life.
[1:06:32.440 --> 1:06:52.440]  Once that safety net of real compassion and real love and understanding that building a more complex civilization where we take care of each other builds economies of scale and that parents having at least 2.2 children is needed to have a pro-human future and not have collapse,
[1:06:52.440 --> 1:07:09.440]  and then you look at the left and the technocrats claiming their virtue and their morality and how much they love humanity and how they're going to create this new golden age, but that everything they do is systematically an anti-human system.
[1:07:09.440 --> 1:07:22.440]  So President Trump in the last three years is the first president in history since Roe v. Wade to actually go to the pro-life march where our reporters are right now.
[1:07:22.440 --> 1:07:32.440]  We have live feeds at Bandai Video and give value to children and say these are humans that are being killed.
[1:07:32.440 --> 1:07:47.440]  If you don't give them value, well then it's babies after they're born. Look at Governor Northam. We're going to break down the big developments with the coronavirus that's gone from being frightening to being clearly a tool of control and of course Bill and Melinda Gates are involved.
[1:07:47.440 --> 1:08:07.440]  Of course the tabletop exercises was 65 million dead and of course it's made its way to the U.S. and of course they're not stopping it even though it's quarantine from packages from Wuhan province. That's all coming up. Here's a few minutes of President Trump's speech that's very important because he's saying 2 plus 2 equals 4.
[1:08:07.440 --> 1:08:16.440]  Together we must protect, cherish and defend the dignity and the sanctity of every human life.
[1:08:16.440 --> 1:08:26.440]  When we see the image of a baby in the womb we glimpse the majesty of God's creation.
[1:08:26.440 --> 1:08:41.440]  When we hold a newborn in our arms we know the endless love that each child brings to a family. When we watch a child grow we see the splendor that radiates from each human soul.
[1:08:41.440 --> 1:09:04.440]  One life changes the world from my family and I can tell you I send love and I send great, great love and from the first day in office I've taken a historic action to support America's families and to protect the unborn.
[1:09:04.440 --> 1:09:22.440]  And during my first week in office I reinstated and expanded the Mexico City policy and we issued a landmark pro-life rule to govern the use of Title X taxpayer funding.
[1:09:22.440 --> 1:09:38.440]  I notified Congress that I would veto any legislation that weakens pro-life policies or that encourages the destruction of human life.
[1:09:38.440 --> 1:10:01.440]  At the United Nations I made clear that global bureaucrats have no business attacking the sovereignty of nations that protect innocent life. Unborn children have never had a stronger defender in the White House.
[1:10:01.440 --> 1:10:13.440]  And as the Bible tells us, each person is wonderfully made. We have taken decisive action to protect the religious liberty.
[1:10:13.440 --> 1:10:36.440]  So important religious liberty has been under attack all over the world and frankly very strongly attacked in our nation. You see it better than anyone but we are stopping it and we're taking care of doctors, nurses, teachers and groups like the little sisters of the poor.
[1:10:36.440 --> 1:11:05.440]  We are preserving faith-based adoption and to uphold our founding documents we have confirmed 187 federal judges who apply the Constitution as written including two phenomenal Supreme Court justices, Neil Gorsuch and Brett Kavanaugh.
[1:11:05.440 --> 1:11:14.440]  We are protecting pro-life students' right to free speech on college campuses.
[1:11:14.440 --> 1:11:34.440]  And if universities want federal taxpayer dollars then they must uphold your First Amendment right to speak your mind and if they don't they pay a very big financial penalty which they will not be willing to pay.
[1:11:34.440 --> 1:11:50.440]  Sadly the far left is actively working to erase our God-given rights, shut down faith-based charities, ban religious believers from the public square and silence Americans who believe in the sanctity of life.
[1:11:50.440 --> 1:12:03.440]  They are coming after me because I am fighting for you and we are fighting for those who have no voice and we will win because we know how to win.
[1:12:03.440 --> 1:12:15.440]  Ladies and gentlemen that is why they want President Trump out. That's part of the speech he gave just a little while ago at the giant right to life pro-life rally in March that no other president has ever attended.
[1:12:15.440 --> 1:12:26.440]  He promised he would. He has attended every of March now, the big ones in D.C. every year and he's done what he said he would do with the executive power to protect life.
[1:12:26.440 --> 1:12:41.440]  He's going after cities now that are using taxpayer money to pay for abortion as well and winning. So Trump's not perfect but when it comes to pro-life he's really delivered and that's central is valuing human life.
[1:12:41.440 --> 1:13:05.440]  The IMFO Wars, this audience was the critical group that took Trump over the top with the core operating system of what Trump is trying to do and that's why the globalists want to take us out. That's why when you buy the great products that you already need that are excellent at infowarstore.com it is funding the tip of the spear.
[1:13:05.440 --> 1:13:26.440]  A lot of folks call themselves the tip of the spear and I'm sure they are in their area and we salute them. We are the tip of the tip. We're under the most attack. I'm not a victim. I'm a target like Tommy Robinson says but I can tell you your financial support is needed now more than ever with only 280 days left of the election.
[1:13:26.440 --> 1:13:40.440]  They are ratcheting up the attacks behind the scenes at incredible levels and it's money that's able to fend that off and build the new infrastructures and ensure that we continue on not just through the election but into the future.
[1:13:40.440 --> 1:13:59.440]  But the year 2020 is here so I want to just encourage all viewers and all listeners to step up to the plate like President Trump and myself have done and buy the products, spread the word about the shows, share the articles and the videos because that's the only way it's going to happen and we make it so easy.
[1:13:59.440 --> 1:14:15.440]  We have winter sun that's high quality D3 with vitamin K that are both known to help in the winter not allow viruses to replicate and take you over and allow your body to be healthier against bacteria. That's why it's called winter sun.
[1:14:15.440 --> 1:14:27.440]  Your body produces vitamin D3 in the skin in a symbiote relationship with the sun just like plants. I have photosynthesis with the sun. You don't produce it naturally unless you have that.
[1:14:27.440 --> 1:14:39.440]  Well, ladies and gentlemen, we have it and it's massively discounted at 40% off even though we're close to selling out of it. So I'm going to keep it on sale for at least another week, 40% off.
[1:14:39.440 --> 1:14:49.440]  We also have X3 that's back in stock and X2 that just got back in stock. Both are excellent forms of iodine, different formulas for different people.
[1:14:49.440 --> 1:15:00.440]  Read about it for yourself, but this is the good halogen that counters the bad halogen, the fluoride, the bromine, the chlorine and that entire family. So these are 40% off with free shipping.
[1:15:00.440 --> 1:15:09.440]  When you get them together, they're 50% off and that's as low as I can ever go with these combo deals because we don't put a bunch of markup in here.
[1:15:09.440 --> 1:15:24.440]  But don't think about supporting M4s. If you don't know what good, clean iodine is going to do for you and your body, especially if you've been deficient and even the U.N. admits over 2 billion people have mental disabilities because of iodine deficiency.
[1:15:24.440 --> 1:15:33.440]  It's incredible. And if you'll just get the products at m4store.com, it funds the M4 war, it funds freedom, it keeps us here in the face of the globalists and you get products you need.
[1:15:33.440 --> 1:15:41.440]  So those are all at m4store.com. Please take advantage of these sales today and boost your immune system during this critical time.
[1:15:41.440 --> 1:15:50.440]  Now more than ever, ladies and gentlemen, fortify your immune system with clean water, good green vegetables, vitamin C, vitamin D3 and iodine.
[1:15:50.440 --> 1:16:05.440]  You can get the vitamin D3 and iodine at m4store.com right now at 40% off.
[1:16:20.440 --> 1:16:25.440]  Trust your family survival to survivalistgamps.com.
[1:16:50.440 --> 1:16:55.440]  United States of Empire by James Dunn, available at Amazon Books.
[1:16:55.440 --> 1:17:04.440]  Heart disease is on the rise. Clawed arteries, high blood pressure and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[1:17:04.440 --> 1:17:12.440]  Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[1:17:12.440 --> 1:17:18.440]  Here, how heart and body extract is making a difference in thousands of people's lives across America.
[1:17:18.440 --> 1:17:22.440]  My blood pressure has normalized. My diabetes has totally improved.
[1:17:22.440 --> 1:17:29.440]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to everyone.
[1:17:29.440 --> 1:17:37.440]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[1:17:37.440 --> 1:17:48.440]  Order your two month supply today by calling 866-295-5305 or order online hbextract.com.
[1:17:48.440 --> 1:17:56.440]  Heart and body extract 866-295-5305 or hbextract.com.
[1:17:56.440 --> 1:18:03.440]  m4store.com. We have a new product and we got several thousand of these in and they're going to sell out in a few days.
[1:18:03.440 --> 1:18:09.440]  At the rate we're selling them, I want to thank the listeners for getting it, but this really is a game-changing toothpaste.
[1:18:09.440 --> 1:18:17.440]  And it doesn't compete with super blue that's 4-5 of colloidal silver and iodine and fluoride-free, the adult or the children's.
[1:18:17.440 --> 1:18:22.440]  These are both excellent toothpaste, concentrates that don't have fillers. People love it.
[1:18:22.440 --> 1:18:31.440]  This is a whitening toothpaste that also has the above sea coral calcium that also cleans but also re-mineralizes the teeth.
[1:18:31.440 --> 1:18:37.440]  Then it has the patented silver salt, silver in it to knock out the bacteria that causes ginsivitis. This is all proven.
[1:18:37.440 --> 1:18:50.440]  You can make claims with this. But I have to tell you, no one has a toothpaste this good for knocking out the bacteria, the viruses, and cleaning the teeth in a healthy way that doesn't strip away the enamel.
[1:18:50.440 --> 1:18:56.440]  So we're really proud of it. It funds the operation m4store.com. And that's why we're still on air thanks to you.
[1:18:56.440 --> 1:19:01.440]  The InfoWars store is the only place to shop to guarantee your support for the InfoWars crew.
[1:19:01.440 --> 1:19:07.440]  While we're in Washington fighting for our rights, it's more important than ever that you're able to support our team in the fight for liberty.
[1:19:07.440 --> 1:19:11.440]  So we've discounted some of our returning fan favorite products that you can stock up now.
[1:19:11.440 --> 1:19:17.440]  Survival Shield X2, our incredible nascent iodine formula, is finally back in stock and 40% off.
[1:19:17.440 --> 1:19:21.440]  After being sold out for weeks, the fan favorite supplement has finally returned.
[1:19:21.440 --> 1:19:27.440]  Or you can get the nascent iodine pack with Survival Shield X2 and X3 for 50% off each bottle.
[1:19:27.440 --> 1:19:32.440]  Ultimate fish oil and prostagard are both back after months of waiting as well for 35% off.
[1:19:32.440 --> 1:19:38.440]  These products are hard to source at the quality we demand, so we don't know how long they'll last. Make sure you get yours today.
[1:19:38.440 --> 1:19:45.440]  If supplements aren't your thing, we have storeable food supplies for up to 50% off, as well as water and air filter units for 30% off.
[1:19:45.440 --> 1:19:52.440]  There's never going to be a better time to support the InfoWars team. Show Owen, David, Alex, Savannah, and everyone else behind the scenes.
[1:19:52.440 --> 1:20:19.440]  You stand with them in the fight against journey today.
[1:20:19.440 --> 1:20:22.440]  We knew that 2020 was going to be eventful.
[1:20:22.440 --> 1:20:28.440]  We're only 24 days in and it's bad.
[1:20:28.440 --> 1:20:35.440]  Now, studying the globalist and even making a film about it, in-game blueprint for global enslavement,
[1:20:35.440 --> 1:20:56.440]  we show the White Papers in quotes where the United Nations Billa Melinda Gates Foundation, IBM, the Cold Springs Harbor Eugenics Research Institute in New York, as well as the Jeffrey Epstein Globalist Combine that we name 13 years ago,
[1:20:56.440 --> 1:21:03.440]  have set up a secret world government. That's their words, not mine.
[1:21:03.440 --> 1:21:16.440]  A secret world government, ladies and gentlemen.
[1:21:16.440 --> 1:21:18.440]  Think about that.
[1:21:18.440 --> 1:21:24.440]  And then I've got somewhere here, the Wall Street Journal. Here it is. That's what I was looking for. Here it is.
[1:21:24.440 --> 1:21:30.440]  Amazon Prime Video gives amateur how-to conspiracy theories a stage.
[1:21:30.440 --> 1:21:40.440]  It goes on to say, Jones claims there's a world government.
[1:21:40.440 --> 1:21:49.440]  Well, that's out in the open now and how Amazon took the film down. But the reason I mentioned that is,
[1:21:49.440 --> 1:22:02.440]  we talk about how they plan to have smaller bio-weapon releases that aren't as deadly to get the global control system in place and then have bigger releases than tightening the grip of global control
[1:22:02.440 --> 1:22:11.440]  during the larger depopulation events that happen and then the deep state globally pretending it's the savior while it's actually organizing operation.
[1:22:11.440 --> 1:22:17.440]  Just like they're overriding the environment, poisoning it, genetic engineering, biosludge, putting poison in the water.
[1:22:17.440 --> 1:22:26.440]  They're trying to be the guardians saying, those of you that don't let us control you, you're the bad guys for carbon dioxide because they're building a world that's uninhabitable for humans.
[1:22:26.440 --> 1:22:32.440]  They're terraforming it for whatever reason, where the atmosphere doesn't even match up to what we need.
[1:22:32.440 --> 1:22:36.440]  And you can speculate all day about the final two plus two equals of what's running this.
[1:22:36.440 --> 1:22:41.440]  The Bible says it's a fallen entity here that wants to kill us so it has the planet for itself.
[1:22:41.440 --> 1:22:47.440]  Whether you believe that or not, that's what the globalists say. They're ascending, but they have to see us die first.
[1:22:47.440 --> 1:22:50.440]  They have to depopulate the earth first before they reward it.
[1:22:50.440 --> 1:22:55.440]  So joining us for the rest of the hour is Mike Adams to get into the coronavirus, to get into the poison in the water.
[1:22:55.440 --> 1:23:04.440]  They're now admitting in Fox News the biosludge, how it's part of the master plan and the incredible persecution that he and others are under with these secret courts taking websites down right now.
[1:23:04.440 --> 1:23:11.440]  So this is an incredible atmosphere we're in, Mike, and we'll walk through it all, but now they admit what you were saying a week ago,
[1:23:11.440 --> 1:23:18.440]  what I was saying a week ago after I followed your lead, because I respect you and your researchers, that they're already covering up how big this is.
[1:23:18.440 --> 1:23:24.440]  The hospitals are already collapsing over there. They're letting it spread. They're letting packages still be shipped to the U.S.
[1:23:24.440 --> 1:23:34.440]  That's at TheNationalFall.com and at FullWars.com, and this is out of control. And, oh, even The New York Times is a little billable in the gates.
[1:23:34.440 --> 1:23:36.440]  Three months ago, thank God they wore game this exact scenario. They've got an answer for us, Mike, world government.
[1:23:36.440 --> 1:23:42.440]  So when we report this a week ago, we're bad and evil. But when they report it, it's a good thing, Mike Adams.
[1:23:42.440 --> 1:23:52.440]  Right. It's insane. And I've got bombshell after bombshell to lay out for you here, even though my own network has been severely compromised the last few days and we're way behind.
[1:23:52.440 --> 1:23:57.440]  Me personally, I've been studying the situation. So I've got a lot for you here. Let me just get right into it.
[1:23:57.440 --> 1:24:08.440]  Number one, realize that the globalists, they know that the most likely fatalities in their simulations of 65 million people dead will be liberals in cities.
[1:24:08.440 --> 1:24:20.440]  So the globalists are willing to massacre their own leftists, which, by the way, is consistent with that Project Veritas video documenting that Bernie Sanders supporters who said they want to mass execute liberals.
[1:24:20.440 --> 1:24:28.440]  So understand that any time you release a bio weapon, an engineered virus like this, it's going to impact the cities.
[1:24:28.440 --> 1:24:35.440]  The second bombshell here, I should be writing stories on this, but again, I'm trying to recover from all the attacks.
[1:24:35.440 --> 1:24:43.440]  But the second bombshell is that the conditions in liberal cities such as San Francisco, where citizens are allowed to defecate on the streets,
[1:24:43.440 --> 1:24:51.440]  and that feces is swept into the sewer system, swept directly out into the oceans where it's swept back up onto the beaches.
[1:24:51.440 --> 1:24:56.440]  Those conditions are ideal for spreading coronavirus.
[1:24:56.440 --> 1:25:00.440]  Now you might think, well, this coronavirus is a respiratory virus, but guess what?
[1:25:00.440 --> 1:25:11.440]  Doctors in the hospitals in the Wuhan province are now reporting that there are infected patients who are showing symptoms of diarrhea and vomiting and have no fever.
[1:25:11.440 --> 1:25:14.440]  No fever. That's another bombshell story, Alex.
[1:25:14.440 --> 1:25:18.440]  There are asymptomatic, in other words, no respiratory symptoms.
[1:25:18.440 --> 1:25:29.440]  Carriers of coronavirus now confirmed in China, which means they will not be detected by the current symptom lists and by the information that hospitals and doctors in the CDC has.
[1:25:29.440 --> 1:25:34.440]  It also means there are infected patients who are slipping through the net right now.
[1:25:34.440 --> 1:25:45.440]  Even though we have three confirmed in the United States now, three patient zeros, you might call them, there are likely hundreds of people who are infected in the United States and have not yet been exposed.
[1:25:45.440 --> 1:25:47.440]  I've got more bombshells for you, Alex.
[1:25:47.440 --> 1:25:49.440]  You want to jump in?
[1:25:49.440 --> 1:25:51.440]  You want me to keep going?
[1:25:51.440 --> 1:25:53.440]  I want you to keep going, Mike.
[1:25:53.440 --> 1:25:54.440]  Okay. All right.
[1:25:54.440 --> 1:26:04.440]  So we know that it can be spread by feces, most likely. So if it's spread by feces, then we've got another major problem because of the biosludge issue.
[1:26:04.440 --> 1:26:07.440]  You know, you and I have talked about this. We've sounded the alarm on this.
[1:26:07.440 --> 1:26:14.440]  Human sewage is collected into, in every city in America, and then it's spread on farms as fertilizer.
[1:26:14.440 --> 1:26:20.440]  And guess what? They do not destroy the viruses in that so-called fertilizer.
[1:26:20.440 --> 1:26:25.440]  In fact, that's where most of these viruses we know breed is in feces, flurries.
[1:26:25.440 --> 1:26:34.440]  Exactly. I don't know if you recall, but in my biosludge film I released a couple years ago, I interviewed a top EPA virologist who was fired from the EPA.
[1:26:34.440 --> 1:26:37.440]  His career was destroyed. His lab was shut down.
[1:26:37.440 --> 1:26:40.440]  And he warned about this exact scenario.
[1:26:40.440 --> 1:26:49.440]  He said that the biosludge vectors could be used to spread biological weapons very easily because anything that you dump into the sewage system, anything you dump into a storm drain,
[1:26:49.440 --> 1:26:58.440]  will be distributed by the city to farms and school playgrounds and fields all around the city, and that is happening right now.
[1:26:58.440 --> 1:27:04.440]  By the way, Mike, I don't want to interrupt you because I know you've got hours of incredible intel, but let me just back up here.
[1:27:04.440 --> 1:27:12.440]  Let's go through this slowly. We have to go in the next hour. If you can, we'll do it, but let's walk through this.
[1:27:12.440 --> 1:27:20.440]  In China, they've got giant chemical fumigators. You can roll some footage of that, driving around in Hunan and other areas,
[1:27:20.440 --> 1:27:31.440]  pumping massive amounts of chemicals, but really antiviral pesticides, what they are, into the air to try to kill the virus they believe is airborne.
[1:27:31.440 --> 1:27:41.440]  Okay. Now, meanwhile, we have what the left celebrates, just like city council members in Portland, Oregon, say, pooping is freedom.
[1:27:41.440 --> 1:27:46.440]  Pooping everywhere is a fun thing they do, and I'm not joking, folks. It's serious. And the needle's everywhere.
[1:27:46.440 --> 1:27:52.440]  So every leftist city is an open sewer. So is Austin now. Everyone's moving out of the downtown. It's collapsing.
[1:27:52.440 --> 1:28:02.440]  The city's everywhere. Needle's everywhere. It's a joke. They call it, you know, downtown buildings, the stink and one particular building, because these places stink so bad.
[1:28:02.440 --> 1:28:10.440]  So you're not just saying this. The left opens our borders, lets everybody comes in, gets rid of all health screening, and then just lets everyone open their crap everywhere.
[1:28:10.440 --> 1:28:14.440]  So we're just a prime place for this to hit. That's what you're saying.
[1:28:14.440 --> 1:28:25.440]  Right. And you're arrested in San Francisco if you serve plastic straws, but not if you defecate on the street. So think about the priorities of liberals and also the open borders policies, as you just mentioned.
[1:28:25.440 --> 1:28:39.440]  This is the ideal situation for the spread of infectious disease in America. And I believe that that software model that predicted 65 million deaths globally probably did not account for these conditions of filthy liberal cities that are already collapsing.
[1:28:39.440 --> 1:28:48.440]  Let's talk about the Billow-Millenegades Foundation wargaming this three months ago and patenting the virus and everything else on the other side with Mike Adams of naturalnews.com.
[1:28:48.440 --> 1:29:13.440]  I haven't gotten to this yet. We're under the greatest attack ever as well, just like Mike. I have a big announcement on that when we come back.
[1:29:18.440 --> 1:29:35.440]  We have online activity from hackers, trackers and large corporations and not just one, but all your devices with one out of the box setup. Plus flash routers also enhances your wireless network performance and unlocks powerful router management tools to let you take total control of your network.
[1:29:35.440 --> 1:30:03.440]  I love watching David Knight in the morning. I love tuning in to Owen Schroyer. I love all the other shows we do here, but I'll be honest with you.
[1:30:03.440 --> 1:30:13.440]  We run during the breaks a lot of news reports because I'm sick of hearing the ads. So you think you don't want to hear an ad? I don't want to hear an ad. But here's the bottom line.
[1:30:13.440 --> 1:30:21.440]  We're barely paying the bills here and I want to expand the face the globalists not contract. I don't want them to win. So listen, you've got this guarantee from me.
[1:30:21.440 --> 1:30:33.440]  We sell enough product, we'll have less ads and less plugs and we'll expand and really give the globalists run for their money. But we've got products you already really need like DNA Force Plus X2. These will change your life.
[1:30:33.440 --> 1:30:41.440]  Go check out the turmeric products. Check out the water filtration, air filtration. Check it all out. Whatever you do, take action and know. Be part of the Second American Revolution.
[1:30:41.440 --> 1:30:52.440]  Be part of Crush the Globalist and get great products at the same time. Infowarsstore.com is the umbrella site. Infowarslife.com is the supplements. Take action now and fund the Infowar for your own future.
[1:31:11.440 --> 1:31:27.440]  The revolutionary Alexa Pure Breeze air filtration system is a powerful ally in the fight against the dangerous toxins and viruses in the air. Powerful, quiet and effective, the breeze uses a four step purification process to help you breathe easier and cleaner.
[1:31:27.440 --> 1:31:36.440]  Similar systems could cost hundreds to even thousands of dollars. But the Alexa Pure Breeze air purification is the best and most affordable bar none.
[1:31:36.440 --> 1:31:49.440]  The breeze in the ion cluster patented technology used in the system, eliminate up to 99.97% of airborne contaminants. Get the Alexa Pure Breeze today and save big on a world class air filtration system for your home.
[1:31:49.440 --> 1:32:17.440]  Don't keep breathing toxic or dangerous air. Get this special today at Infowarsstore.com.
[1:32:17.440 --> 1:32:32.440]  So right now, humanity is awakening. It's explosive. It's powerful. It's incredible. But there's major obstacles coming down the road. And the only way we can effectively fight the NWO and stay in the game like Infowars is to the spirit is your financial support.
[1:32:32.440 --> 1:32:43.440]  We make it really easy at Infowarsstore.com. But I am blowing through our backup money right now with our reporters doing triple the work they ever have because they volunteered to do it.
[1:32:43.440 --> 1:32:52.440]  And Owen and the rest of the crew will fight 18 hours a day, 7 days a week during this election year that's so critical but they need the financing to put them in the field.
[1:32:52.440 --> 1:33:14.440]  Go to Infowarsstore.com and fight for your own future.
[1:33:22.440 --> 1:33:47.440]  I know you this evening out here's a surprise. I know that you have cause there's magic in my eyes. I can see for miles and miles and miles and miles and miles and miles.
[1:33:47.440 --> 1:33:52.440]  Oh yeah.
[1:33:52.440 --> 1:33:59.440]  The Eiffel Tower and the Tardemont, let's get on a clear day.
[1:33:59.440 --> 1:34:05.440]  You thought that I would need it just to want to see you right through the day.
[1:34:05.440 --> 1:34:17.440]  Go back live. I'm going to have Mike Adams host this segment and probably most of the next just because I'm going to jump in and erupt if I get the microphone on. So I'm going to turn the microphone off and just let him take over.
[1:34:17.440 --> 1:34:46.440]  But at the start of the next hour ahead of investigative journalist John Rubberport joining us, I have been the subject of deep state attacks that are next level and I was asked by the FBI and folks with the Central Intelligence Agency at this point to not get into this on air.
[1:34:46.440 --> 1:34:50.440]  There's different factions in both groups, obviously.
[1:34:50.440 --> 1:34:59.440]  You heard John Harmon earlier talk about years ago, the head of the Kissinger Group on the phone with me during breaks and join us. World government's good. You're going to be part of the elite. You're already the elite of this.
[1:34:59.440 --> 1:35:08.440]  And then, you know, the Pentagon people doing it over the phone. I mean, that's just what he's heard on the phone. Okay. When I'm talking to guests, you ought to see it behind the scenes.
[1:35:08.440 --> 1:35:18.440]  But they basically told me you stop now or you're dead. And this isn't just like a death threat over the telephone. It's like, listen, you need to do this.
[1:35:18.440 --> 1:35:28.440]  The best thing for your family, this is the way it is. Now, only reason I bring that up is you're going to see incredible lies in the media about me in the next few days.
[1:35:28.440 --> 1:35:38.440]  You're going to see and it's going to be horrible. But the good news is nobody buys it like when they planted the child porn on us. Folks, I'm not sending child porn to Sandy Hook families. Give me a break.
[1:35:38.440 --> 1:35:46.440]  Okay. Everybody knows that's crap. But it isn't about Alex Jones. I'm just a canary down in this coal mine, but they have canaries.
[1:35:46.440 --> 1:35:53.440]  So when the methane goes up certain high canaries die before humans do canaries can't handle any any any gas.
[1:35:53.440 --> 1:36:04.440]  So when a canary falls over, miners get out. Okay. Well, the canaries are dead right now. I mean, the equivalent we've gone through most people.
[1:36:04.440 --> 1:36:11.440]  It's like a Star Trek analogy. Spock stronger than humans. We can handle radiation longer, but he's dead already. And kind of encouraged trying to go on. They go, you're not saving him. He's dead already.
[1:36:11.440 --> 1:36:19.440]  And I don't say this in a victimology. I'm proud of what we've done. But most nobody else can handle this. We knew this was coming. We built for it. We've handled a bunch.
[1:36:19.440 --> 1:36:28.440]  We're dead already. Okay. You just need to understand something that the fact that they're doing all of this right now means they're going for broken. It's the president and everything else.
[1:36:28.440 --> 1:36:38.440]  And this is for real. So and the coronavirus obviously is a prepared simulant for cover for other stuff because they always have something else that's really doing and they got the virus.
[1:36:38.440 --> 1:36:45.440]  I mean, you can see all the stuff going on. But I mean, it means we're now game time. The ball has been kicked off. This is it.
[1:36:45.440 --> 1:36:56.440]  2020 new world order toe-to-toe with humanity. Mike Adams, you take over this segment next and I'll be here watching. But you'll bring us out of break. You'll bring us back to the next segment. You've got the floor. Break it down.
[1:36:56.440 --> 1:37:10.440]  All right, I'm going to start with the context of just a little segue from what Alex just said. When I first became aware of Alex Jones and Info Wars maybe 15 years ago, I remember my first thought, which might be the first thought of many people, was that
[1:37:10.440 --> 1:37:18.440]  things couldn't possibly be as bad as what Alex is saying. It was my first thought. Couldn't possibly be that bad. What's he talking about?
[1:37:18.440 --> 1:37:30.440]  Now, 15 years later, whatever it is, after having lived through this myself and been the subject of these vicious attacks and been an investigative journalist and running an infrastructure,
[1:37:30.440 --> 1:37:41.440]  running a team of editors and writers and covering these things, I'm here to tell you something today that maybe even Info Wars listeners might find shocking.
[1:37:41.440 --> 1:37:53.440]  Excuse me. The truth is, it's way worse than what Alex has ever been able to articulate. And he's done an incredible job and he's trying to sound the alarm.
[1:37:53.440 --> 1:38:10.440]  And the things that are happening in our world today, the corruption, the fraud, the maliciousness, not just the lies, but the demonic force of total destruction, destruction of logic and reason and life and humanity.
[1:38:10.440 --> 1:38:26.440]  These forces are so evil and so, they've so successfully invaded and taken over every institution from the media to government, to education and Hollywood and so on, that I'm here to tell you, it is way worse than what Alex has ever said.
[1:38:26.440 --> 1:38:40.440]  In fact, it's way worse than anything I could have ever communicated. And I just have to apologize right here live on air. I've failed to accurately sound the alarm.
[1:38:40.440 --> 1:38:55.440]  I've been too reserved. I've been too intellectual. I have not been able to communicate to you the degree of trouble that we are in as a human species.
[1:38:55.440 --> 1:39:11.440]  To say we are so screwed doesn't even begin to scratch the surface. We are targeted for extermination. There is a total wipeout of humanity that's being planned, that's being engineered, it's being rolled out before your very eyes.
[1:39:11.440 --> 1:39:22.440]  The censorship aspects of this are just the surface layer. That's just to stop people from talking about it so that the attacks can succeed more rapidly and more completely.
[1:39:22.440 --> 1:39:29.440]  The attacks on Alex Jones and the attacks on myself and others are just a small part of the overall plan.
[1:39:29.440 --> 1:39:38.440]  And the viciousness of those attacks tells you the desperation of those who are behind this, that they pulled out all the stops.
[1:39:38.440 --> 1:39:52.440]  There's nothing they won't do from the impeachment of Trump in the Senate, the lies of Adam Schiff to the CDC being taken over by the vaccine industry and the vaccine industry deliberately lacing their vaccines with infectious diseases.
[1:39:52.440 --> 1:39:56.440]  I mean, I'm here to tell you one of the bombshells I need to cover today.
[1:39:56.440 --> 1:40:09.440]  Then I'll describe it in more detail is that all of this coronavirus situation, this is just the first wave, folks. The second wave of the pandemic begins when the coronavirus vaccine begins being administered.
[1:40:09.440 --> 1:40:15.440]  And we will come to learn that that vaccine contains, excuse me, live virus.
[1:40:15.440 --> 1:40:22.440]  There will be live virus in the coronavirus vaccine and it will set off a firestorm of the second wave.
[1:40:22.440 --> 1:40:26.440]  This has already been planned, already engineered. We know the playbook.
[1:40:26.440 --> 1:40:31.440]  And like I said, it's way worse than anything that Alex could have explained or that I could have explained.
[1:40:31.440 --> 1:40:34.440]  I've failed to explain all this. I've failed to sound the alarm.
[1:40:34.440 --> 1:40:45.440]  If we had succeeded, there would be millions of people marching in the streets today against the criminal CDC, against maybe Congress or at least the corrupt Democrat House.
