[00:00:00.000 --> 00:00:07.000]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:24:34.259 --> 00:24:39.259]  And even though the structure is hidden, see that the family atmosphere is maintained
[00:24:39.259 --> 00:24:41.259]  so that all people can feel a part of the family.
[00:24:41.259 --> 00:24:44.259]  And that's why I say you go off the rails right there.
[00:24:44.259 --> 00:24:48.259]  Invisible organizations are not what Jesus was working toward.
[00:24:48.259 --> 00:24:51.259]  Invisible organizations are not what's more important because we're a democracy.
[00:24:51.259 --> 00:24:54.259]  We are not a Christian nation. We're a democracy.
[00:24:54.259 --> 00:24:56.259]  We're a constitutional republic.
[00:24:56.259 --> 00:25:00.259]  Let me stop you for a second, Jeffrey Charlotte.
[00:25:00.259 --> 00:25:02.259]  Number one, we're a constitutional republic.
[00:25:02.259 --> 00:25:03.259]  Okay.
[00:25:03.259 --> 00:25:05.259]  I'll get a lot of heat over that.
[00:25:05.259 --> 00:25:07.259]  No, you're right, you're right, you're right. Thank you for the correction.
[00:25:07.259 --> 00:25:13.259]  You know in a pure democracy if 51% of the people say kill this group and take their property, it happens.
[00:25:13.259 --> 00:25:17.259]  In a republic you can't. The minority as well as the majority is protected.
[00:25:17.259 --> 00:25:18.259]  But let me continue.
[00:25:18.259 --> 00:25:23.259]  There is a classic intelligence system, pyramidal structure,
[00:25:23.259 --> 00:25:29.259]  where you have the low level idiots who pay their dues, their tithes, fund the higher level echelon,
[00:25:29.259 --> 00:25:31.259]  and they have key people in positions of power.
[00:25:31.259 --> 00:25:35.259]  This is how the CFR, how the Trilateral Commission, how others work.
[00:25:35.259 --> 00:25:39.259]  And then you see the CFR and Trilateral and Bilderberg Group
[00:25:39.259 --> 00:25:43.259]  and Bohemian Grove members all in this organization.
[00:25:43.259 --> 00:25:47.259]  This is nothing but a vehicle to take over Christianity in this country
[00:25:47.259 --> 00:25:51.259]  and the Jeffrey Bush's faith-based initiative, that'll be the coup de grace.
[00:25:51.259 --> 00:25:56.259]  I think the faith-based initiative is very worrisome and it's one of those things, again, it looks good.
[00:25:56.259 --> 00:25:58.259]  Who can complain about a soup kitchen feeding the hungry?
[00:25:58.259 --> 00:26:02.259]  And then you have to question what is the system that they're putting into place.
[00:26:02.259 --> 00:26:05.259]  It takes control with the tens of billions of dollars a year.
[00:26:05.259 --> 00:26:07.259]  Any other facets you want to hit on?
[00:26:07.259 --> 00:26:09.259]  I'll stop jumping in, this is just so riveting.
[00:26:09.259 --> 00:26:10.259]  You were in there for a month.
[00:26:10.259 --> 00:26:13.259]  Any other facets you want to hit on before we take calls?
[00:26:13.259 --> 00:26:16.259]  Sure. The one thing I would like to say that I think that your listeners are attuned to,
[00:26:16.259 --> 00:26:20.259]  one of the most compelling things about this group is that they're internationalists.
[00:26:20.259 --> 00:26:27.259]  And I think liberals too often dismiss fundamentalists as stupid and as provincial and local.
[00:26:27.259 --> 00:26:29.259]  And these guys are none of that.
[00:26:29.259 --> 00:26:30.259]  They're very internationalists.
[00:26:30.259 --> 00:26:31.259]  They're very sophisticated.
[00:26:31.259 --> 00:26:32.259]  They're very savvy.
[00:26:32.259 --> 00:26:33.259]  They're charming.
[00:26:33.259 --> 00:26:37.259]  They're not Jerry Falwell screaming at you on the TV.
[00:26:37.259 --> 00:26:42.259]  These groups are, you know, they look just like everyone else, as they say.
[00:26:42.259 --> 00:26:47.259]  And I think if we're going to really combat fundamentalism, we need to acknowledge that
[00:26:47.259 --> 00:26:48.259]  and give credit where credit is due.
[00:26:48.259 --> 00:26:50.259]  They can accomplish a lot and they can do a lot.
[00:26:50.259 --> 00:26:51.259]  And they're smart.
[00:26:51.259 --> 00:26:53.259]  And there's good things about their vision.
[00:26:53.259 --> 00:26:55.259]  We should try and encourage those things.
[00:26:55.259 --> 00:27:01.259]  Jeffrey, there's nothing wrong with being a fundamentalist on issues that are important.
[00:27:01.259 --> 00:27:04.259]  I'm a fundamentalist on the Constitution, Bill of Rights.
[00:27:04.259 --> 00:27:07.259]  Well, that's a little bit different than being a fundamentalist Christian.
[00:27:07.259 --> 00:27:08.259]  Well, I am a fundamentalist Christian.
[00:27:08.259 --> 00:27:13.259]  I am a fundamentalist reading of the Bible, which has no historical basis.
[00:27:13.259 --> 00:27:20.259]  You have this whole left-wing view, this whole left-wing lens that you're seeing them through.
[00:27:20.259 --> 00:27:24.259]  And, look, the globalists control the left and the right.
[00:27:24.259 --> 00:27:25.259]  You said that was important.
[00:27:25.259 --> 00:27:26.259]  That's what I'm trying to tell you.
[00:27:26.259 --> 00:27:29.259]  That's why I'm trying to emphasize that this is an internationalist group.
[00:27:29.259 --> 00:27:32.259]  In other words, people write to me and they say, oh, I knew it.
[00:27:32.259 --> 00:27:35.259]  I knew those right-wing Republicans were, this is what they're all about.
[00:27:35.259 --> 00:27:37.259]  And I say, no, it's not a question of left and right.
[00:27:37.259 --> 00:27:44.259]  It's a question of people who believe in transparency, who believe in democracy and open debate and discussion,
[00:27:44.259 --> 00:27:47.259]  versus people who think a few elites should control everything.
[00:27:47.259 --> 00:27:49.259]  All right, let me read you another quote and then we'll go to calls.
[00:27:49.259 --> 00:27:51.259]  Maybe you'll understand once you've heard this.
[00:27:51.259 --> 00:27:53.259]  Do you know who Professor Carroll Quigley was?
[00:27:53.259 --> 00:27:54.259]  No, I don't.
[00:27:54.259 --> 00:27:57.259]  Bill Clinton thanked him in his first State of the Union address.
[00:27:57.259 --> 00:28:01.259]  He was the head of political science at Georgetown University.
[00:28:01.259 --> 00:28:02.259]  Okay?
[00:28:02.259 --> 00:28:03.259]  Okay.
[00:28:03.259 --> 00:28:06.259]  And this is what he said in his book, Tragedy and Hope.
[00:28:06.259 --> 00:28:10.259]  There does exist and has existed for a generation an international network
[00:28:10.259 --> 00:28:14.259]  which operates to some extent in the way the radical right believes the Communists do.
[00:28:14.259 --> 00:28:17.259]  In fact, this network, which we may call the roundtable groups,
[00:28:17.259 --> 00:28:20.259]  see it's roundtable interlocking groups,
[00:28:20.259 --> 00:28:25.259]  has no aversion to cooperating with the Communists or any other group and frequently does so.
[00:28:25.259 --> 00:28:29.259]  I know of the operations of this network because I have studied it for 20 years
[00:28:29.259 --> 00:28:33.259]  and was permitted for two years in the early 60s to examine its papers and secret records.
[00:28:33.259 --> 00:28:38.259]  I have no aversion to it or most of its aims and have for much of my life been close to it
[00:28:38.259 --> 00:28:40.259]  and many of its instruments.
[00:28:40.259 --> 00:28:43.259]  I have objected both in the past and recently to a few of its policies,
[00:28:43.259 --> 00:28:48.259]  but in general my chief difference of opinion is that it wishes to remain unknown
[00:28:48.259 --> 00:28:51.259]  and I believe its role in history is significant enough to be known,
[00:28:51.259 --> 00:28:54.259]  Professor Carroll Quigley in his book Tragedy and Hope.
[00:28:54.259 --> 00:28:55.259]  I don't agree with that more.
[00:28:55.259 --> 00:28:58.259]  I mean that's exactly the main issue is that they wish to remain unknown.
[00:28:58.259 --> 00:29:02.259]  You can advocate whatever you want as long as you're not doing it secretly
[00:29:02.259 --> 00:29:06.259]  and you're not hiding and you're not trying to manipulate power to manipulate power secretly.
[00:29:06.259 --> 00:29:10.259]  Well, they called for dictatorship and then Ashcroft trying to pass Patriot Act II.
[00:29:10.259 --> 00:29:14.259]  Yeah, I think Ashcroft has made pretty clear where his sympathies lie.
[00:29:14.259 --> 00:29:18.259]  Well, now you say he's connected to the group. What about that?
[00:29:18.259 --> 00:29:23.259]  Yeah, in 1981 a correspondence began between he and Doug Coe
[00:29:23.259 --> 00:29:27.259]  in which they agreed to get together and pray together
[00:29:27.259 --> 00:29:32.259]  and also talk about how they could bring Jesus, remember this is their Jesus,
[00:29:32.259 --> 00:29:35.259]  their idea of Jesus, into politics.
[00:29:35.259 --> 00:29:40.259]  And they don't really have, I think, a great sense of the separation of church and state
[00:29:40.259 --> 00:29:44.259]  and I think we're seeing the effects of that right now.
[00:29:44.259 --> 00:29:51.259]  He also helped, Ashcroft helped organize within this group a series of somewhat secret
[00:29:51.259 --> 00:29:52.259]  and again that's their word.
[00:29:52.259 --> 00:29:55.259]  The organizers said this is a secret meeting for students.
[00:29:55.259 --> 00:29:58.259]  They have to handpick students from good colleges around the country,
[00:29:58.259 --> 00:30:01.259]  they're brought to a hotel, no press, no press is alerted about this.
[00:30:01.259 --> 00:30:05.259]  And someone like Ashcroft or Senator Pete Domenico of New Mexico
[00:30:05.259 --> 00:30:13.259]  will just give them a weekend seminar on how they can bring Jesus into politics
[00:30:13.259 --> 00:30:15.259]  and how you can do it without setting off alarms.
[00:30:15.259 --> 00:30:19.259]  And we bring Jesus as we secretly take over all the religious groups.
[00:30:19.259 --> 00:30:22.259]  We bring Jesus in through a Hitler model.
[00:30:22.259 --> 00:30:25.259]  Yeah, instead of saying, hey, you bring Jesus in by saying I'm a Christian
[00:30:25.259 --> 00:30:29.259]  and these are my views and you can support them or not support them if you want.
[00:30:29.259 --> 00:30:31.259]  We don't talk about abortion.
[00:30:31.259 --> 00:30:33.259]  We don't talk about the Muslims.
[00:30:33.259 --> 00:30:36.259]  Well, Ashcroft does talk about abortion and the Muslims.
[00:30:36.259 --> 00:30:41.259]  I mean, Ashcroft is a more openly dictatorial character.
[00:30:41.259 --> 00:30:44.259]  That's the front for all of this but I'm showing people the core.
[00:30:44.259 --> 00:30:47.259]  The core is much more sophisticated than Ashcroft.
[00:30:47.259 --> 00:30:48.259]  Absolutely.
[00:30:48.259 --> 00:30:50.259]  One more comment on this.
[00:30:50.259 --> 00:30:53.259]  Isn't it a conflict of interest to have seven to eight Congressmen
[00:30:53.259 --> 00:30:58.259]  who live in D.C. in a house paid for by this nonprofit shadowy group,
[00:30:58.259 --> 00:31:00.259]  as you write, connected to the CIA?
[00:31:00.259 --> 00:31:03.259]  Yeah, the building is actually registered with IRS as a church too,
[00:31:03.259 --> 00:31:09.259]  which when I think AP, Associated Press, followed up and checked it out
[00:31:09.259 --> 00:31:11.259]  and these guys are saying, oh, I didn't know that, I didn't know that,
[00:31:11.259 --> 00:31:13.259]  and I didn't even know it was any Christian.
[00:31:13.259 --> 00:31:16.259]  A Maine reporter followed up with John Elias Baldacci,
[00:31:16.259 --> 00:31:20.259]  then a Congressman, now Governor of Maine, conservative Democrat,
[00:31:20.259 --> 00:31:23.259]  and he claims he didn't even know there was any Christian element to it.
[00:31:23.259 --> 00:31:24.259]  Now, I was there.
[00:31:24.259 --> 00:31:28.259]  Every meal was preceded by a prayer and it's a fairly unconventional prayer.
[00:31:28.259 --> 00:31:30.259]  Oh, what is the prayer?
[00:31:30.259 --> 00:31:34.259]  It's always a free-form prayer and it's always to emphasize, you know,
[00:31:34.259 --> 00:31:36.259]  there's a lot you wouldn't disagree with it, you know,
[00:31:36.259 --> 00:31:40.259]  thank you, Jesus, thank you for this food, this is all good, we agree with this,
[00:31:40.259 --> 00:31:44.259]  and then emphasizing our total allegiance to this.
[00:31:45.259 --> 00:31:47.259]  And I would even have people, I would hear people say all the time,
[00:31:47.259 --> 00:31:50.259]  they say, you know, the kingdom of Christ is not a democracy
[00:31:50.259 --> 00:31:54.259]  and there can only be one king and that's what we have to pray to be broken
[00:31:54.259 --> 00:31:59.259]  and have our spirit humiliated because democracy can be a prize.
[00:31:59.259 --> 00:32:03.259]  Well, they're saying that they are the Knights Templars, basically,
[00:32:03.259 --> 00:32:05.259]  depending the grail.
[00:32:05.259 --> 00:32:09.259]  They believe that they're the new chosen and I heard that said a lot of the time,
[00:32:09.259 --> 00:32:12.259]  that they are actually, you know, the chosen or the elect,
[00:32:12.259 --> 00:32:14.259]  however you want to put that.
[00:32:14.259 --> 00:32:16.259]  And Jesus is a spirit guide in abortion.
[00:32:16.259 --> 00:32:17.259]  We don't talk about that.
[00:32:17.259 --> 00:32:19.259]  Let's talk to Dan in Illinois.
[00:32:19.259 --> 00:32:21.259]  Dan, you're on the air, then Bob in New York and others.
[00:32:21.259 --> 00:32:22.259]  Go ahead, Dan.
[00:32:22.259 --> 00:32:23.259]  Hello, Jeff.
[00:32:23.259 --> 00:32:24.259]  Hello, Dan.
[00:32:24.259 --> 00:32:25.259]  Hi, Dan.
[00:32:25.259 --> 00:32:29.259]  I think they're alluding to Hitler, whether they even admit it to themselves.
[00:32:29.259 --> 00:32:31.259]  You were just hitting on it right now.
[00:32:31.259 --> 00:32:35.259]  And it's the same mistake that all religion without the real Christ
[00:32:35.259 --> 00:32:40.259]  and all the religion without real God is, is this idea of a superior race.
[00:32:40.259 --> 00:32:42.259]  The Nazis were the superior race.
[00:32:42.259 --> 00:32:45.259]  It's a takeover system for religious organizations.
[00:32:45.259 --> 00:32:46.259]  It's a total front.
[00:32:46.259 --> 00:32:48.259]  It fits all the parameters of a cult.
[00:32:48.259 --> 00:32:52.259]  You've got congressmen living in this house paid for by the group.
[00:32:52.259 --> 00:32:53.259]  Give me a break.
[00:32:53.259 --> 00:32:57.259]  Well, Dan, I would make one important distinction is that they don't,
[00:32:57.259 --> 00:33:00.259]  and this is what separates them from a lot of those,
[00:33:00.259 --> 00:33:02.259]  because they don't believe in a superior race.
[00:33:02.259 --> 00:33:05.259]  Not that I've been able to, and I've looked in this book,
[00:33:05.259 --> 00:33:08.259]  there's people of all races involved and that's important to understand.
[00:33:08.259 --> 00:33:11.259]  What they believe in is that strength and that power.
[00:33:11.259 --> 00:33:13.259]  Now, as for the true Christ or the not true Christ,
[00:33:13.259 --> 00:33:16.259]  it's not for me to judge what's in their heart.
[00:33:16.259 --> 00:33:17.259]  Well, I don't want to have a religious debate.
[00:33:17.259 --> 00:33:19.259]  I'm talking about this sinister organization,
[00:33:19.259 --> 00:33:23.259]  and I'll call it duck-a-duck, you know, when it's yellow and quacks
[00:33:23.259 --> 00:33:25.259]  and wobbles and swims and flies.
[00:33:25.259 --> 00:33:29.259]  Now, I want to go back to the point that two of these guys threatened you
[00:33:29.259 --> 00:33:31.259]  and said, you're a traitor, you will pay.
[00:33:31.259 --> 00:33:34.259]  So I would take that very seriously.
[00:33:34.259 --> 00:33:35.259]  Anything else, Dan?
[00:33:35.259 --> 00:33:37.259]  Yeah, well, what I was going to say was,
[00:33:37.259 --> 00:33:41.259]  is that it's confusing the human accomplishments,
[00:33:41.259 --> 00:33:45.259]  and the conservative right type person,
[00:33:45.259 --> 00:33:49.259]  they are so impressed with authority and success,
[00:33:49.259 --> 00:33:51.259]  and they're trained never to doubt anything.
[00:33:51.259 --> 00:33:52.259]  This is the suck.
[00:33:52.259 --> 00:33:54.259]  Good Christians end up being their servants.
[00:33:54.259 --> 00:33:56.259]  I think you've got it right there, Dan,
[00:33:56.259 --> 00:33:58.259]  this kind of fetish for authority and success
[00:33:58.259 --> 00:34:02.259]  and confusing that with what being a good Christian is.
[00:34:02.259 --> 00:34:04.259]  Which is the total opposite message, actually.
[00:34:04.259 --> 00:34:06.259]  Well, I'll give you my analysis.
[00:34:06.259 --> 00:34:07.259]  This thing stinks to high heaven,
[00:34:07.259 --> 00:34:12.259]  and you write about the CIA connections in your article, correct, Jeff?
[00:34:12.259 --> 00:34:15.259]  I don't mention that too much.
[00:34:15.259 --> 00:34:18.259]  I think that they've always had guys in every branch of government.
[00:34:18.259 --> 00:34:22.259]  They've always had, that's not something I've explored too thoroughly,
[00:34:22.259 --> 00:34:25.259]  but I don't think that, I mean, they've got prayer groups
[00:34:25.259 --> 00:34:28.259]  in the Department of Defense and prayer groups throughout government.
[00:34:28.259 --> 00:34:32.259]  And, you know, the government's bigger than the CIA,
[00:34:32.259 --> 00:34:34.259]  and we should be worried about what's going on throughout it.
[00:34:34.259 --> 00:34:35.259]  Absolutely.
[00:34:35.259 --> 00:34:37.259]  Thanks for the call, Dan.
[00:34:37.259 --> 00:34:38.259]  Appreciate the call.
[00:34:38.259 --> 00:34:39.259]  Bob in New York, you're on the air with our guests.
[00:34:39.259 --> 00:34:40.259]  Go ahead, Bob.
[00:34:40.259 --> 00:34:41.259]  How are you doing today, Alex?
[00:34:41.259 --> 00:34:42.259]  Fine.
[00:34:42.259 --> 00:34:43.259]  How's Jeff today?
[00:34:43.259 --> 00:34:44.259]  Hi, Bob.
[00:34:44.259 --> 00:34:45.259]  Hi.
[00:34:45.259 --> 00:34:47.259]  Jeff, Alex brought up a point,
[00:34:47.259 --> 00:34:49.259]  and I'm going to give you some homework, if that's okay with you.
[00:34:49.259 --> 00:34:50.259]  Sure, I'd love that.
[00:34:50.259 --> 00:34:51.259]  Okay.
[00:34:51.259 --> 00:34:53.259]  There was a gentleman by the name of Anthony Sutton
[00:34:53.259 --> 00:34:56.259]  that wrote a book called America's Secret Establishment,
[00:34:56.259 --> 00:34:58.259]  a look into skull and bones.
[00:34:58.259 --> 00:35:02.259]  And where this all goes back to is a philosopher
[00:35:02.259 --> 00:35:05.259]  in the 19th century named Hegel.
[00:35:05.259 --> 00:35:09.259]  And what's amazing is if you go way back, which Anthony has done,
[00:35:09.259 --> 00:35:16.259]  is he exposes the fact that not only is skull and bones some satanic ritual,
[00:35:16.259 --> 00:35:19.259]  you know, and they do weird things inside a tomb,
[00:35:19.259 --> 00:35:26.259]  but it infiltrated all of U.S. education systems since the early 1800s.
[00:35:26.259 --> 00:35:32.259]  And the whole point of this education system is not to educate,
[00:35:32.259 --> 00:35:34.259]  it's to make you subservient.
[00:35:34.259 --> 00:35:39.259]  He also goes into their biggest ploy is eugenics.
[00:35:39.259 --> 00:35:47.259]  The head of the Nazi eugenics program was meeting in 1932 with Harriman.
[00:35:47.259 --> 00:35:50.259]  You know, this is genocide.
[00:35:50.259 --> 00:35:52.259]  They need to depopulate.
[00:35:52.259 --> 00:35:55.259]  And so they're setting up the little Christian soldiers
[00:35:55.259 --> 00:35:58.259]  who think they're Christian bringing in the world dictatorship.
[00:35:58.259 --> 00:36:00.259]  Stay there, Bob. Stay there, Jeff.
[00:36:00.259 --> 00:36:02.259]  We'll be right back with our guest. Stay with me.
[00:36:05.050 --> 00:36:29.450]  All right, folks. I really do appreciate our guest with all this great information
[00:36:29.450 --> 00:36:34.130]  and amazing research he's done, Jeffrey Charlotte. Combined with the research I've done and the
[00:36:34.290 --> 00:36:39.730]  research the globalists have done, it's stunningly scary what the globalists are setting up here
[00:36:39.730 --> 00:36:44.930]  and how I hear these so-called Christian leaders on the radio saying, Patriot Act 1 and 2 is good.
[00:36:46.130 --> 00:36:50.450]  Basically, you're not a Christian if you don't worship George Bush. They will attack you if you
[00:36:50.450 --> 00:36:55.010]  mention skull and bones and Bohemian Grove. They will attack you if you mention that Bush goes to
[00:36:55.010 --> 00:37:02.370]  Muslim prayer breakfasts and worships Allah. This is the new system, folks. It's just putting the
[00:37:02.370 --> 00:37:07.250]  name of Christ on something and then trying to sell an agenda attached to that engine.
[00:37:08.530 --> 00:37:14.290]  We're talking to Harper's writer, Jeffrey Charlotte, an award-winning author. His website
[00:37:14.290 --> 00:37:20.050]  is KillingTheBuddha.com. He's got a new book coming out. Let's go back to Bob in New York.
[00:37:20.050 --> 00:37:24.690]  Anything else real quick, Bob, you want to say to Jeffrey? Well, Jeffrey, you've done some great
[00:37:24.690 --> 00:37:29.250]  work. You opened up something that we weren't even aware of. Well, I was aware of it on different
[00:37:29.250 --> 00:37:37.490]  names. Opus Dei, I don't know if you've ever looked into that. I'm looking into now the
[00:37:37.490 --> 00:37:45.250]  possible connection between Opus Dei. In the late 60s, this group had a lot of trouble getting into
[00:37:45.250 --> 00:37:50.050]  Spain. They had leaders throughout the rest of the European government, but Spain, which was
[00:37:50.050 --> 00:37:58.050]  the Catholic government, this group is very Protestant. They ended up making common cause
[00:37:58.050 --> 00:38:01.730]  with a group of government officials who were in Opus Dei. Through that, they were able to get
[00:38:01.730 --> 00:38:07.410]  access to Franco, the dictator of Spain. These government officials, these Opus Dei guys,
[00:38:07.410 --> 00:38:12.130]  with doubts for this group and said, all right. From there on, they're doing business. They say
[00:38:12.130 --> 00:38:18.690]  in your article that, oh, we like Franco. Yeah, they did admire Franco, another dictator who
[00:38:20.450 --> 00:38:27.410]  killed a lot of his own citizens, ruled Spain for many years with US support. Again,
[00:38:27.410 --> 00:38:32.210]  they thought, this is a guy who maybe he has some problems with his policies, but we like
[00:38:32.210 --> 00:38:37.250]  the way he approaches governance because it's on the model of crisis they understand it,
[00:38:37.250 --> 00:38:40.690]  which is hierarchical, which is- Which is a dictatorship. Thanks for the call,
[00:38:40.690 --> 00:38:44.530]  Bob. Belly in Texas, you're on the air with our guest. Go ahead, Belly.
[00:38:45.170 --> 00:38:48.290]  Hello, Alex. Nice talking to you again. Nice talking to you.
[00:38:48.930 --> 00:38:52.930]  I called you, I think it was two weeks ago, and I was wanting to ask you about if you've seen
[00:38:52.930 --> 00:38:58.530]  44 Minutes or that, and you let me plug my website on here.
[00:38:58.530 --> 00:38:59.810]  Okay, sir. What's on your mind?
[00:38:59.810 --> 00:39:04.690]  Okay. Well, real quick, if I could just explain my story, would I have to explain
[00:39:04.690 --> 00:39:08.610]  Dwarfs what you guys have been talking about? But basically, I'm going to try to make this
[00:39:08.610 --> 00:39:14.930]  real short. The state of Michigan has just came and raped and pillaged my whole family.
[00:39:15.730 --> 00:39:19.330]  Well, sir, we see these horror stories every day. I may have to hold you over the next hour
[00:39:20.370 --> 00:39:22.210]  and you tell me you're calling in from Texas.
[00:39:22.210 --> 00:39:25.490]  Yeah, I'm calling from Texas. It's a child support issue.
[00:39:26.050 --> 00:39:29.890]  Okay, sir, I'm going to have to push you on hold because when I have a guest on,
[00:39:29.890 --> 00:39:33.490]  it's about that issue. You know what? I'm not going to take any more calls. I just want to
[00:39:33.490 --> 00:39:37.490]  go ahead and let our guests finish up. Sir, are there any other points you'd like to make,
[00:39:37.490 --> 00:39:42.050]  any other things you'd like to discuss about this situation you've exposed?
[00:39:42.690 --> 00:39:49.090]  I think we've covered it pretty well. I think one thing that's worth looking at is in 1945,
[00:39:49.090 --> 00:39:56.130]  the founder of the group, Abraham Brady, was using the phrase, the New World Order. He was
[00:39:56.130 --> 00:40:00.690]  working with the administrators of the Marshall Plan with which the US helped to rebuild Europe
[00:40:00.690 --> 00:40:06.610]  and do a lot of good work. But he was also saying, let's use that to promote this Christian agenda.
[00:40:06.610 --> 00:40:10.850]  And to say, look, you want to do business with us, you have to do it on these terms. You have to
[00:40:11.570 --> 00:40:17.410]  worship not only Christ, but our idea of Christ. And we're going to share on that. And I think
[00:40:17.410 --> 00:40:22.530]  it's important to understand that these groups are not, you know, it's not a bunch of bad guys
[00:40:22.530 --> 00:40:29.730]  in the back room cackling. And a lot of them do pursue this with good hearts and with good integrity.
[00:40:29.730 --> 00:40:33.330]  But the issue becomes, are you going to do it out in the open, out in the public? Well,
[00:40:33.330 --> 00:40:35.810]  we can all debate. We can say, is this a good idea or a bad idea?
[00:40:35.810 --> 00:40:39.410]  And they call it, and the founder called it a New World Order in just a few years
[00:40:39.410 --> 00:40:41.490]  and had presidential support. Exactly.
[00:40:42.930 --> 00:40:45.330]  Did you know that Hitler called for a New World Order, sir?
[00:40:45.970 --> 00:40:48.450]  I didn't, but it's not surprising.
[00:40:49.170 --> 00:40:52.530]  Well, you know, George W. Bush and his daddy have called for a New World Order.
[00:40:52.530 --> 00:40:57.730]  That's a popular phrase. It's a popular phrase and I think it's a phrase to watch out for.
[00:40:57.730 --> 00:41:02.930]  It means world dictatorship. Appreciate you joining us, Jeffrey Charlotte. Great job.
[00:41:03.650 --> 00:41:08.930]  Take care. Be right back with the third hour with another guest.
