[00:00.000 --> 00:21.480]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of
[1:13:04.480 --> 1:13:06.480]  We've captured that on video multiple times.
[1:13:06.480 --> 1:13:09.480]  The one last point I'll make before you go to Jerome is we tried to go.
[1:13:09.480 --> 1:13:14.480]  There was a prayer, a unity prayer happening at the First United Methodist Church right here behind me.
[1:13:14.480 --> 1:13:15.480]  I tried to get into that.
[1:13:15.480 --> 1:13:16.480]  I couldn't get into that.
[1:13:16.480 --> 1:13:17.480]  You know why?
[1:13:17.480 --> 1:13:20.480]  Because they want to register and vet the people getting in.
[1:13:20.480 --> 1:13:21.480]  I get it completely.
[1:13:21.480 --> 1:13:22.480]  Let's keep the event safe.
[1:13:22.480 --> 1:13:25.480]  Again, it's just the irony and the hypocrisy.
[1:13:25.480 --> 1:13:28.480]  You know, you're making some good points, and I know Dr. Corsi's sitting there.
[1:13:28.480 --> 1:13:31.480]  He's happy for you to continue for a few more minutes.
[1:13:31.480 --> 1:13:34.480]  Other observations, Owen?
[1:13:34.480 --> 1:13:39.480]  Well, there was one man who was out here who was protesting Sharia law.
[1:13:39.480 --> 1:13:42.480]  He had a sign that said Jesus saves and a no Sharia law sign,
[1:13:42.480 --> 1:13:45.480]  and he was kind of met by people that were singing at him.
[1:13:45.480 --> 1:13:48.480]  Again, but the weirdest thing about this is,
[1:13:48.480 --> 1:13:55.480]  if the people that were singing at that guy in support of bringing together Muslims and Americans,
[1:13:55.480 --> 1:13:56.480]  they're not even Muslim.
[1:13:56.480 --> 1:13:59.480]  It's the same thing in a Black Lives Matter rally.
[1:13:59.480 --> 1:14:01.480]  All the people are white.
[1:14:01.480 --> 1:14:03.480]  All the people that are out here were white.
[1:14:03.480 --> 1:14:05.480]  The Muslim people that I talked to were just like,
[1:14:05.480 --> 1:14:08.480]  hey, yeah, we're just out here to show that there are people in America that are Muslims
[1:14:08.480 --> 1:14:10.480]  that are just law-abiding citizens.
[1:14:10.480 --> 1:14:11.480]  That's what they really wanted to do.
[1:14:11.480 --> 1:14:14.480]  Well, any Muslims that have really been in violent Islamic countries,
[1:14:14.480 --> 1:14:16.480]  a lot of them came here to escape it,
[1:14:16.480 --> 1:14:18.480]  and they're really what you call moderate Muslims,
[1:14:18.480 --> 1:14:20.480]  or what jihadis would call heretics,
[1:14:20.480 --> 1:14:22.480]  and they're the ones usually getting killed in attacks.
[1:14:22.480 --> 1:14:27.480]  Let's be clear, most Muslims in this country are hardworking good people,
[1:14:27.480 --> 1:14:31.480]  but the dominant culture of Saudi Arabia that's taking over all of Islam
[1:14:31.480 --> 1:14:35.480]  is incredibly oppressive and just absolutely out of control
[1:14:35.480 --> 1:14:38.480]  and trying to hin-peck everybody into submission right now,
[1:14:38.480 --> 1:14:42.480]  and they're using the terror attacks that are coming from their own organization
[1:14:42.480 --> 1:14:44.480]  to try to then call for censoring our speech.
[1:14:44.480 --> 1:14:46.480]  That's why it's not compatible.
[1:14:46.480 --> 1:14:51.480]  We cannot take people into the country that come from these war-torn areas
[1:14:51.480 --> 1:14:54.480]  because most of them are the invaders that couldn't take over Syria,
[1:14:54.480 --> 1:14:57.480]  who came from all over the Muslim world to take it over
[1:14:57.480 --> 1:14:59.480]  and steal somebody's house or farmland.
[1:14:59.480 --> 1:15:02.480]  They've had their butts kicked into Europe and into the United States right now.
[1:15:02.480 --> 1:15:06.480]  Well, and look, we've been talking about the interference,
[1:15:06.480 --> 1:15:08.480]  the U.S. interference in the Middle East for a long time,
[1:15:08.480 --> 1:15:11.480]  and all the wrongdoings that our government is responsible for over there.
[1:15:11.480 --> 1:15:13.480]  So you sit here and you try to scratch your head and you say,
[1:15:13.480 --> 1:15:16.480]  five of the seven countries that are on the travel ban,
[1:15:16.480 --> 1:15:19.480]  Obama bombed for eight years, eight years.
[1:15:19.480 --> 1:15:23.480]  You don't think there's people in those countries that hate us because we bombed them for eight years?
[1:15:23.480 --> 1:15:27.480]  Exactly. Obama, more than anybody in Hillary, destabilized the whole Middle East.
[1:15:27.480 --> 1:15:30.480]  They funded the Arab Spring. They're behind this whole thing.
[1:15:30.480 --> 1:15:33.480]  We'll talk to you more once you get back in studio later and follow those reports.
[1:15:33.480 --> 1:15:34.480]  I can't wait to see those.
[1:15:34.480 --> 1:15:35.480]  You got it, Alex.
[1:15:35.480 --> 1:15:40.480]  Wow. Talk about hypocrisy being illustrated and writ large for all to see.
[1:15:40.480 --> 1:15:45.480]  The left blocking people getting into their public meeting at the first Methodist church
[1:15:45.480 --> 1:15:50.480]  that's literally run by the Bill and Melinda Gates Foundation is unbelievable.
[1:15:50.480 --> 1:15:53.480]  I've been there. I've been a guest there before. It's pretty shocking.
[1:15:53.480 --> 1:15:58.480]  And then on top of that, just down the street, 200 yards away at the Capitol,
[1:15:58.480 --> 1:16:03.480]  the liberals are out there protecting the Muslims from the press.
[1:16:03.480 --> 1:16:07.480]  When all they want to do is talk to them, you should want to talk to the press.
[1:16:07.480 --> 1:16:12.480]  Now joining us for the balance of the hour is Dr. Jerome Corsi.
[1:16:12.480 --> 1:16:16.480]  Follow him at Twitter at Jerome underscore Corsi.
[1:16:16.480 --> 1:16:20.480]  He formerly has done a great job for, I guess, 12 years or so with WorldNet Daily.
[1:16:20.480 --> 1:16:23.480]  What three-time number one New York Times bestselling author.
[1:16:23.480 --> 1:16:26.480]  He basically pioneered along with Lou Dobbs and others.
[1:16:26.480 --> 1:16:28.480]  I'd give great credit along with him for wars and drugs,
[1:16:28.480 --> 1:16:33.480]  but really Corsi and Dobbs more than anybody exposing NAFTA GATT TPP globalism.
[1:16:33.480 --> 1:16:35.480]  And so so much of what he's worked for.
[1:16:35.480 --> 1:16:37.480]  We're now seeing take place.
[1:16:37.480 --> 1:16:44.480]  So I'm really honored to have him as the lead man to be our Washington bureau chief
[1:16:44.480 --> 1:16:47.480]  and to set this up in Washington, D.C.
[1:16:47.480 --> 1:16:50.480]  And how successful it is is up to him, myself, you, the listeners,
[1:16:50.480 --> 1:16:55.480]  and of course, all of you out there that support the broadcast by visiting infowarstore.com.
[1:16:55.480 --> 1:16:59.480]  So Dr. Corsi, it's great to have you here with your maiden voyage.
[1:16:59.480 --> 1:17:03.480]  I mean, it really had made you been coming on the show for about 12, 13 years,
[1:17:03.480 --> 1:17:04.480]  but it's great to have you.
[1:17:04.480 --> 1:17:10.480]  Well, Alex, it's a real honor to join InfoWars, to join Alex Jones and your whole group.
[1:17:10.480 --> 1:17:12.480]  You've done great reporting over the years.
[1:17:12.480 --> 1:17:16.480]  I'm honored now to be an official part of InfoWars.
[1:17:16.480 --> 1:17:23.480]  I'm very excited to get to Washington to establish press credentials at the White House
[1:17:23.480 --> 1:17:28.480]  and to create the Washington News Bureau for InfoWars.
[1:17:28.480 --> 1:17:34.480]  I this morning called and got the information from the White House press office.
[1:17:34.480 --> 1:17:42.480]  I've now filed the email I was requested to for press credentials, all my birth certificate.
[1:17:42.480 --> 1:17:46.480]  My birth, I have to have a birth certificate, of course, Barack Obama.
[1:17:46.480 --> 1:17:52.480]  And, you know, all the information, drivers licenses, social security numbers.
[1:17:52.480 --> 1:17:56.480]  And I've asked for passes for Monday, Tuesday and Wednesday next week.
[1:17:56.480 --> 1:18:02.480]  So hopefully as soon as Monday, Tuesday, Wednesday next week, InfoWars.com is going to be
[1:18:02.480 --> 1:18:08.480]  in the press briefings at the White House as White House accredited press.
[1:18:08.480 --> 1:18:12.480]  Well, I want you to be able to continue, but everybody knows I'm not at a loss for words.
[1:18:12.480 --> 1:18:16.480]  The media really likes to imply that we're the fake news, they're the real news,
[1:18:16.480 --> 1:18:21.480]  but the president himself keeps saying, no, you're the fake news and exposing them.
[1:18:21.480 --> 1:18:25.480]  We're the press that helped get the president elected along with Breitbart and Drudge
[1:18:25.480 --> 1:18:28.480]  and WorldNet Daily and others and Daily Caller does a great job too.
[1:18:28.480 --> 1:18:34.480]  We're all in this together battling the Glenn Becks and other Judas Goats, you know, of the world.
[1:18:34.480 --> 1:18:39.480]  And we've even, you know, seen the attempt to coot Fox to bring in a bunch of leftist globalism fail.
[1:18:39.480 --> 1:18:43.480]  And so we're seeing the ascension of, you know, patriots there like Tucker Carlson.
[1:18:43.480 --> 1:18:48.480]  So a lot of exciting things, but, you know, I was in a Facebook mentions and just mentioned that
[1:18:48.480 --> 1:18:52.480]  I ran into some senior people that had worked in the campaign and are working for Trump.
[1:18:52.480 --> 1:18:55.480]  They're like, oh, we love Paul Watson. When's he coming? Are you going to have a bureau?
[1:18:55.480 --> 1:18:59.480]  Blah, blah, blah. And I'm like, oh, I'm sure I just took it as a foregone conclusion that that would happen.
[1:18:59.480 --> 1:19:03.480]  You know, I certainly am not going to quote what the president's told me, but I'm just going to leave it at that.
[1:19:03.480 --> 1:19:07.480]  And the hundreds of articles saying Jones caught lying. He doesn't have credentials.
[1:19:07.480 --> 1:19:11.480]  They haven't been issued yet. They haven't issued any. It's starting next week, as you know.
[1:19:11.480 --> 1:19:16.480]  So, so they take everything we do and twist it to make it sound like we're outcast. We're failures.
[1:19:16.480 --> 1:19:22.480]  It's so ridiculous. Info wars and your work and all of it is seminal and changing the world.
[1:19:22.480 --> 1:19:28.480]  And we're not bragging. We're explaining why MSM demonizes us and belittles us, hoping that our listeners
[1:19:28.480 --> 1:19:33.480]  and viewers think they're small as well when they have changed the world.
[1:19:33.480 --> 1:19:39.480]  When what we're doing is now taking over the planet. I mean, the globalists admit they're in full panic
[1:19:39.480 --> 1:19:44.480]  and they admit in internal papers that have been leaked that they want to shut down drudge info wars by name.
[1:19:44.480 --> 1:19:51.480]  But then Dr. Corsi, we don't have any power and we're a big joke. The truth is we're changing the world.
[1:19:51.480 --> 1:19:58.480]  And Alex, I had press credentials in 2012. I was traveling press with Romney's campaign on his airplane
[1:19:58.480 --> 1:20:04.480]  for three weeks at the end of the campaign. White House press office today didn't think there would be any problem.
[1:20:04.480 --> 1:20:11.480]  Info wars and Alex Jones and me getting press credentials was very cordial conversation.
[1:20:11.480 --> 1:20:20.480]  I expect to be cleared perhaps tomorrow in order to be able to know I can get credentials when I show up at the White House on Monday.
[1:20:20.480 --> 1:20:29.480]  Now, the real fake news and my first article within four words today pointing out that Google is now trying to worm its way
[1:20:29.480 --> 1:20:39.480]  into the Trump White House. I mean, this is a huge organization, Google, that has been a solid backer of the Clintons
[1:20:39.480 --> 1:20:49.480]  and Democratic leftist causes. In fact, Eric Schmidt, the founder of Google, actually was one of the top campaign
[1:20:49.480 --> 1:20:57.480]  advisors for Hillary Clinton. He considered himself the top outside advisor and I'm going to put together an article for tomorrow
[1:20:57.480 --> 1:21:05.480]  showing that the father of fake news is none other than this guy, Brock, down and running in a media matters.
[1:21:05.480 --> 1:21:11.480]  And his co-conspirator in the fake news is Google, which is now trying to block organizations.
[1:21:11.480 --> 1:21:13.480]  They won't even say which organizations they're blocking.
[1:21:13.480 --> 1:21:21.480]  And let's be clear, they had almost daily meetings three times a week officially with Obama and then daily meetings with Hillary
[1:21:21.480 --> 1:21:29.480]  and Podesta crafting what search terms were allowed, controlling the entire narrative beyond communist Chinese style censorship.
[1:21:29.480 --> 1:21:35.480]  And now they're trying to weasel into the White House like they're these big friends. Now, Google has a lot of great services
[1:21:35.480 --> 1:21:40.480]  and some good people. I'm not saying I hate the whole organization. You know, we've done a lot of big things through their platforms like YouTube.
[1:21:40.480 --> 1:21:49.480]  But the issue here is this is a group that literally, as you said, was the high command of Hillary's operation.
[1:21:49.480 --> 1:21:56.480]  And so Trump needs to be absolutely aware of these people. If this isn't folks letting on the Trojan horse, I don't know what is.
[1:21:56.480 --> 1:22:09.480]  Well, and also Google has all of these capabilities of taking clicks and gaining information, profiling, micro profiling, perhaps the whole population.
[1:22:09.480 --> 1:22:19.480]  Anybody using a Google search engine and what Schmidt and Google were doing for Hillary was taking this data on us as Internet users.
[1:22:19.480 --> 1:22:22.480]  So when they go to your door, you they have a computer with everything about you.
[1:22:22.480 --> 1:22:27.480]  And let's be clear, they have intelligence files on everyone, including the president.
[1:22:27.480 --> 1:22:36.480]  Yes, that's right. And these intelligence files are being used by the Democrats and Hillary to go take what Obama did and his data managing techniques.
[1:22:36.480 --> 1:22:41.480]  And this is very powerful. When these people show up at your door, they're targeting you to vote.
[1:22:41.480 --> 1:22:48.480]  They know what you like, you know, what subscriptions you have to magazines, what you watch on TV, what you click on the Internet.
[1:22:48.480 --> 1:22:51.480]  They've got all this data and Google offered.
[1:22:51.480 --> 1:23:01.480]  And we see it in the WikiLeaks released emails from Podesta, where Eric Schmidt was offering to provide all this data to Hillary and to create a data file.
[1:23:01.480 --> 1:23:07.480]  And that is literally a billion times what Nixon got impeached for. I mean, this is what's about to be impeached for.
[1:23:07.480 --> 1:23:09.480]  I mean, explain how big a deal this is.
[1:23:09.480 --> 1:23:15.480]  Openly, publicly, and it's in the WikiLeaks saying, we're going to give you intelligence files on everybody.
[1:23:15.480 --> 1:23:28.480]  It completely violates any privacy idea. I mean, it means anything you do on the Internet now, if you do it through Google, is going to be subject to being provided to Democratic operatives so you can be profiled.
[1:23:28.480 --> 1:23:35.480]  Now, we know the Democrats, when they were in charge of the federal government, they were taking this information, they were giving it to the IRS.
[1:23:35.480 --> 1:23:42.480]  You had an apartment justice that was completely politicized, CIA under John Brennan totally politicized.
[1:23:42.480 --> 1:23:56.480]  This data that Google has is enormously powerful if it can be used either to get voters for Hillary to the polls or punish and prevent those that the data, the Google data,
[1:23:56.480 --> 1:24:03.480]  shows the Democratic operatives are voters that are going to be of supporting Trump or supporting conservative causes.
[1:24:03.480 --> 1:24:17.480]  This is really a fake news is a made up term, which is the code words for keeping conservative views off the Internet, keeping Alex Jones out of the public view.
[1:24:17.480 --> 1:24:24.480]  That's what fake news is all about. That's where Google, that's where Brock, that's where the left is headed and make no mistake about it.
[1:24:24.480 --> 1:24:31.480]  Their final aim is to say we're fake news and InfoWars does not have a right to exist.
[1:24:31.480 --> 1:24:41.480]  Dr. Corsi, you're on target as usual, and that's exactly what they were planning to do when Hillary got in because they believed she was going to win because they were basically skewing the poll numbers.
[1:24:41.480 --> 1:24:45.480]  They tried to steal a bunch of states. We now know that, but they failed.
[1:24:45.480 --> 1:24:50.480]  And so now they're in panic mode from your research and talking to folks in the Beltway and others.
[1:24:50.480 --> 1:25:00.480]  What are your biggest concerns? Because I don't want to get too confident here. That's why I've committed to basically spend everybody's capital we've got and mortgage the house down the road if I have to,
[1:25:00.480 --> 1:25:12.480]  to really fund us being in D.C., New York and other areas to be there exposing fake news, when the MSM crawls out of their hole because we have to be on the field as real media.
[1:25:12.480 --> 1:25:20.480]  We have to step up to the plate and basically just by beating there, move these people out of the way.
[1:25:20.480 --> 1:25:34.480]  Well, that's my whole commitment to create a Washington Bureau for you, Alex, for InfoWars because it's going to take an army of our journalists who are trained to present the truth, to research.
[1:25:34.480 --> 1:25:47.480]  Because you've got, I mean, just watch any White House press briefing, even write the few that Trump has held and you've got, you know, the front row is still the comfortable mainstream media, CNN and Scots there.
[1:25:47.480 --> 1:25:58.480]  We ought to get banned and others and Spicer. They should create maybe a lottery where it literally is a deal with numbers in it and it scrambles and then people reach in and get what they get and that's where you sit.
[1:25:58.480 --> 1:26:13.480]  And get a bigger room, get a room where we can really set up and have a number of people in this audience who are not just the, you know, selected Washington correspondents who are all of a like ideological leftist agenda.
[1:26:13.480 --> 1:26:25.480]  We're all set out to attack everything Donald Trump does. We've got to do is establish a Washington Bureau. We've got reporters capable of digging down the facts and countering the mainstream media line.
[1:26:25.480 --> 1:26:37.480]  Sure. And here's an example. Imagine Breitbart, who is now there or Imphal Wars or Drudge had a correspondent. Imagine we would ask the right questions like you've been criticized with non existing, you know, proof of being funded by the Russians.
[1:26:37.480 --> 1:26:51.480]  But what about Saudi Arabia in this news article print such and such bragging that one fifth of Hillary's funding comes from them or what about the Communist Chinese in the people's daily openly bragging that Trump will not be elected because they're putting funds in the campaign.
[1:26:51.480 --> 1:26:58.480]  Why isn't the president and you defending yourselves with the fact that the proof is Hillary was foreign finance, not you.
[1:26:58.480 --> 1:27:12.480]  Well, and also what about these protesters who obviously we just saw from the report in front of the Capitol, you know, I'm not. These are paid protesters. These are what Kramer was doing.
[1:27:12.480 --> 1:27:25.480]  We had exposed Astro Turf keep Astro. These are Astro Turf protests. These are thugs. You know, I was at the inaugural with my wife and these protesters are there.
[1:27:25.480 --> 1:27:34.480]  You know, foul mouth in your face wanting to fight crazy, you know, recruited professional thugs who probably don't have a clue what they're out there.
[1:27:34.480 --> 1:27:43.480]  I'm glad you were able to get in. We had to go to three different entrances and I saw them beating women up on purpose and the police ordered to do nothing and we have it on video.
[1:27:43.480 --> 1:27:53.480]  It was just so insane. And then you go on the news and they said Alex Jones was kicked out of the inauguration and arrested showing footage of the police protecting me in Cleveland.
[1:27:53.480 --> 1:27:55.480]  So they didn't even get the right city.
[1:27:55.480 --> 1:28:04.480]  The woman right in front of my wife was attacked by one of the protesters. Fortunately, at least grab the guy and protected her.
[1:28:04.480 --> 1:28:10.480]  But I mean, we were walking in all kinds of different ways to get into the inaugural balls of the convention center.
[1:28:10.480 --> 1:28:15.480]  It took us over two hours just with the protesters and yet people did persist and get in.
[1:28:15.480 --> 1:28:20.480]  But these protesters were violent. They should have all been arrested by the police.
[1:28:20.480 --> 1:28:25.480]  Police are standing there watching them. They're not sweeping the streets. They're not clearing them.
[1:28:25.480 --> 1:28:28.480]  We've got to realize that these are not your 1960s.
[1:28:28.480 --> 1:28:34.480]  Absolutely. You've got a right to go protest. I do it all the time. Do it in the area. Don't block the street. Don't attack anybody.
[1:28:34.480 --> 1:28:41.480]  But no, I mean, I've been arrested twice for doing nothing demonstrating but because I was being loud.
[1:28:41.480 --> 1:28:47.480]  Okay, fine. The point is, is that they literally were attacking people in front of me. I couldn't believe it.
[1:28:47.480 --> 1:29:03.480]  Well, and I've got the information. I'll be developing an article here very quickly that Russia is actually supporting and funding these terrorists who are out as protesters to disrupt Trump and to disrupt the inauguration of these other events.
[1:29:03.480 --> 1:29:10.480]  This is Russia. You know, the whole idea that Russia was wanting to elect Trump is nonsense.
[1:29:10.480 --> 1:29:21.480]  Russia was funding through the workers of the world and through other communist groups the recruiting of these crazies to be protesting Donald Trump and disrupting rallies.
[1:29:21.480 --> 1:29:24.480]  Russia's whole goal was to create chaos.
[1:29:24.480 --> 1:29:29.480]  Now, this is bombshell because I've known you 15 years. I've never seen you make anything up.
[1:29:29.480 --> 1:29:34.480]  The whole narrative we've been shown is we have WikiLeaks that Hillary was doing this and Soros was doing this.
[1:29:34.480 --> 1:29:45.480]  Well, why would Russia be doing it as well? Is it a double game or when will we see the proof of this? I mean, I'm not denying that you've got this information, but this would really, really get so sophisticated it makes my head spin.
[1:29:45.480 --> 1:29:48.480]  I'll start rating it up for tomorrow. You'll have it tonight.
[1:29:48.480 --> 1:29:51.480]  All right. Well, let's flesh it out more when we come back. Incredible. Stay with us.
[1:29:51.480 --> 1:29:59.480]  The Empires on the Run. Alex Jones and the GCN Radio Network.
[1:29:59.480 --> 1:30:05.480]  We've seen politicians from across the world like whining, sniffling babies over Trump's immigration ban.
[1:30:05.480 --> 1:30:14.480]  We've seen city con declare actual war on President Trump because he has the nerve to point out that some people come from terrorist places and we should have a temporary travel ban.
[1:30:14.480 --> 1:30:23.480]  We've seen Chuck Schumer, Senator from New York, actually cry stating that the Statue of Liberty is shedding tears because Liberty has taken such a hit this week because of Trump's ban.
[1:30:23.480 --> 1:30:29.480]  Here's some news for you people. The countries that are on Trump's ban were actually identified by President Obama.
[1:30:29.480 --> 1:30:34.480]  At least 20 alleged terrorists since 2014 have come from countries affected by Trump's immigration ban.
[1:30:34.480 --> 1:30:39.480]  There's an article up today on the Daily Caller and identifies these 20 alleged terrorists.
[1:30:39.480 --> 1:30:45.480]  In the past three years, they were actually immigrants or refugees from seven majority Muslim nations.
[1:30:45.480 --> 1:30:54.480]  President Trump has temporarily banned in his migration ban on Friday. These countries include Iraq, Iran, Libya, Somalia, Sudan, Syria and Yemen.
[1:30:54.480 --> 1:31:18.480]  To be allowed to immigrate to the U.S. for the next three months, I'm Margaret Hall reporting for infowars.com.
[1:31:25.480 --> 1:31:29.480]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity,
[1:31:29.480 --> 1:31:37.480]  and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives to guarantee that your body is getting the fundamental nutrients,
[1:31:37.480 --> 1:31:45.480]  the 90 essential vitamins, minerals, fats and amino acids it needs to do its healing work, you need to check out infowarsteam.com.
[1:31:45.480 --> 1:31:52.480]  Give your body the gift of good nutrition. Head over to infowarsteam.com. Your body will be very grateful.
[1:31:52.480 --> 1:31:58.480]  Follow the web at infowarsteam.com. That's infowarsteam.com.
[1:32:23.480 --> 1:32:30.480]  Right now, with all the refugees spreading disease around, we have biological warfare going on everywhere. These are all parasites.
[1:32:30.480 --> 1:32:32.480]  Tell us about all the stuff that says there's so many things that are in it.
[1:32:32.480 --> 1:32:40.480]  You have the neem in there, you have the organic clove bud, the organic wormwood. I recommend doing a parasite cleanse at least twice a year.
[1:32:40.480 --> 1:32:44.480]  All right, well, I'm glad we've got some back in because I'm going back on it today. It just came back in yesterday.
[1:32:44.480 --> 1:32:53.480]  Living Defense, infowarsteam.com. And folks, you can't lose. It's full of stuff that's great for your body, period. And you support the broadcast, infowarsteam.com.
[1:32:53.480 --> 1:33:20.480]  Thank you, Dr. Group, from the Global Healing Center. Thank you so much for all your work, sir, on this great product.
[1:33:20.480 --> 1:33:38.480]  America is really just 10 female regions under global governance. But I may have to get rid of that liner because now if Trump succeeds, we have restored the Republic.
[1:33:38.480 --> 1:33:50.480]  And notice with TPP, he didn't just, you know, take TPP and then use the negotiation power he has as an executive to make Congress bow down in favors and then make them, you know, do his will.
[1:33:50.480 --> 1:33:58.480]  He just said, it's unconstitutional. I didn't negotiate it. The American people weren't involved. Congress wasn't involved. It's dead.
[1:33:58.480 --> 1:34:08.480]  And the power goes back to the states. And he's doing that on every front. Real estate's getting all these perks and all these, you know, free government bailouts and deals.
[1:34:08.480 --> 1:34:13.480]  Trump just killed that. And meanwhile, look at the investment pouring in to the United States.
[1:34:13.480 --> 1:34:19.480]  I'm going to go back to Dr. Jerome Corsi for the balance of the hour, get more into this Russia report that I know he's been working on for months.
[1:34:19.480 --> 1:34:25.480]  He's going to break tomorrow at infowars.com. And I want to run over the gamut of news with him as well.
[1:34:25.480 --> 1:34:36.480]  But before we do that, remember Hillary's book, stronger together. Well, it only sold 2,912 copies.
[1:34:36.480 --> 1:34:43.480]  That's right. That's what it sold. Isn't that just cute? Dr. Corsi sold 100,000 books in one week before.
[1:34:43.480 --> 1:34:48.480]  Well, we've got the making of the president 2016 by Roger Stone that is so powerful.
[1:34:48.480 --> 1:34:55.480]  And we have got these right here at infowars.com and you can get them signed for 1995.
[1:34:55.480 --> 1:35:03.480]  That's hard cover out of the gates, discounted by $5. Some places bookstores are selling us for like $29.95.
[1:35:03.480 --> 1:35:08.480]  And it's got never forcing photos, graphs, documents. I mean, it is really impressive.
[1:35:08.480 --> 1:35:18.480]  And I am so honored to be a big part of the book and how we defeated them and where we're going into the future.
[1:35:18.480 --> 1:35:28.480]  It really is historic. Get yours today at infowarsstore.com or call toll 3888-253-3139.
[1:35:28.480 --> 1:35:32.480]  Really exposes the arrogance of the Clintons and David Brock and all the rest of them.
[1:35:32.480 --> 1:35:38.480]  And, you know, here's the good news. All I care about is winning. I'm not in competition with anybody else.
[1:35:38.480 --> 1:35:41.480]  It's a patriot. I'm just moving forward against the globalist.
[1:35:41.480 --> 1:35:44.480]  And I understand you're singing from the same sheet of music listeners and viewers.
[1:35:44.480 --> 1:35:47.480]  And that's why I appreciate you. I'm so humbled.
[1:35:47.480 --> 1:35:53.480]  You see, I haven't had time to go back and brag about how you went out and wore the Bill Clinton's Arapah shirt
[1:35:53.480 --> 1:35:59.480]  at hundreds of rallies and took over the media and changed the narrative away from Trump supposedly abusing women with no proof.
[1:35:59.480 --> 1:36:05.480]  All the fake lawsuits that have been dropped. We don't have time to sit here and give ourselves credit for all we did.
[1:36:05.480 --> 1:36:11.480]  But understand we do need to take some credit in the future because it's a blueprint for victory.
[1:36:11.480 --> 1:36:14.480]  They just hope we forget about all this, but Trump isn't.
[1:36:14.480 --> 1:36:21.480]  If Trump delivers, which he's beginning to do in ways that are really hard to believe how fast he's moving.
[1:36:21.480 --> 1:36:25.480]  I mean, this is, he's overperforming in my view.
[1:36:25.480 --> 1:36:29.480]  If he just keeps doing this, he's going to go down like George Washington 2.0.
[1:36:29.480 --> 1:36:34.480]  And he's going to be able to secure our children and their children's futures.
[1:36:34.480 --> 1:36:37.480]  And as goes America, goes the world.
[1:36:37.480 --> 1:36:41.480]  As Texas goes, goes the nation. And as the nation goes, so goes the world.
[1:36:41.480 --> 1:36:46.480]  Eisenhower was fond of saying, and you see that happening now, ladies and gentlemen.
[1:36:46.480 --> 1:36:50.480]  And I'm very proud of much of the resistance coming out of Texas, not just me.
[1:36:50.480 --> 1:36:56.480]  They dispatched Beck down here to try to take over and he failed. I don't want to fight with Beck, but he's a true Judas Ascariot.
[1:36:56.480 --> 1:36:59.480]  So get the book, The Making of the President 2016.
[1:36:59.480 --> 1:37:01.480]  We've got an 18-wheeler load of them.
[1:37:01.480 --> 1:37:04.480]  And, you know, the six, seven bucks I make on each book.
[1:37:04.480 --> 1:37:06.480]  Roger gets a few bucks and the publisher gets the rest.
[1:37:06.480 --> 1:37:08.480]  Funds are operations.
[1:37:08.480 --> 1:37:11.480]  So we just saw a lot of books to set up a Washington bureau.
[1:37:11.480 --> 1:37:15.480]  We just saw a lot of nutraceuticals, a lot of supplements, a lot of Bill Clinton rape shirts.
[1:37:15.480 --> 1:37:17.480]  A lot of Trump is my president shirts.
[1:37:17.480 --> 1:37:23.480]  By the way, you want to meet like-minded people, go out and wear a Trump's My President shirt from infowarstore.com.
[1:37:23.480 --> 1:37:25.480]  They'll do it in the leftist area. They'll try to kill you.
[1:37:25.480 --> 1:37:27.480]  But in most areas, you'll meet a lot of like-minded people.
[1:37:27.480 --> 1:37:29.480]  That's what this is all about.
[1:37:29.480 --> 1:37:33.480]  Not about what color you are, but about the ideas in your mind like Martin Luther King talked about.
[1:37:33.480 --> 1:37:38.480]  And finally, we have available, it's ending soon, 25% off.
[1:37:38.480 --> 1:37:43.480]  Alexa Pure High Quality Water Filtration Systems, already the best quality system at the lowest price.
[1:37:43.480 --> 1:37:45.480]  Not 25% off. You cannot beat these deals.
[1:37:45.480 --> 1:37:53.480]  And 25% off Alexa Pure Air Systems, Alexa Pure Breeze Air Filter, that are $180 something discounted.
[1:37:53.480 --> 1:37:59.480]  At $200 something, it's just a blow away deal compared to competitors that are $400 or $500.
[1:37:59.480 --> 1:38:03.480]  We've got it for $149 right now.
[1:38:03.480 --> 1:38:08.480]  Nobody's got an air filter system like this for anywhere even close to $250.
[1:38:08.480 --> 1:38:10.480]  Leading competitors are $400, $500.
[1:38:10.480 --> 1:38:13.480]  I bought similar systems three, four years ago for $800 apiece.
[1:38:13.480 --> 1:38:19.480]  Now granted, stuff's getting less expensive because of miniaturization and technology and automation.
[1:38:19.480 --> 1:38:24.480]  But there's no excuse not to go to m4warstore.com and get the products today.
[1:38:24.480 --> 1:38:27.480]  And then separately, we're about to sell out a super mill vitality.
[1:38:27.480 --> 1:38:30.480]  We have 10% off Secret 12, Vitamin B12.
[1:38:30.480 --> 1:38:32.480]  And I'm taking off on an airplane today.
[1:38:32.480 --> 1:38:35.480]  I'll be live tomorrow from Los Angeles.
[1:38:35.480 --> 1:38:38.480]  I'm going to be on the Joe Rogan experience tomorrow.
