[00:00.000 --> 00:26.000]  You want to stop tyranny? Well so does he. Live from the Infowars.com studios, it's Alex Jones.
[32:03.000 --> 32:07.000]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[32:07.000 --> 32:09.000]  Can you put two and two together?
[32:09.000 --> 32:14.000]  Infidel Body Armor can stop every round, including hollow points and 308 sniper rounds,
[32:14.000 --> 32:17.000]  is reasonably priced and fully legal.
[32:17.000 --> 32:25.000]  But for how long, go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[32:25.000 --> 32:29.000]  Infidel Body Armor just won't quit.
[32:29.000 --> 32:37.000]  I'm David Hall, founder of Diamond Gusset, where we are proud of our 100% grown and sown American-made genes.
[32:37.000 --> 32:40.000]  Whether you're out for dinner, working on the farm, or on the road,
[32:40.000 --> 32:45.000]  Diamond Gusset Genes offers a full spectrum of style and sizes for any occasion.
[32:45.000 --> 32:50.000]  Our loyal customers enable us to continue sponsoring Liberty Media outlets.
[32:50.000 --> 32:56.000]  Use promo code FREEDOM to receive a 15% discount at Gusset.com.
[32:56.000 --> 33:00.000]  In Liberty, David Hall, Diamond Gusset Gene Company.
[33:01.000 --> 33:04.000]  Coast to coast, direct from Austin.
[33:04.000 --> 33:09.000]  You're listening to the Alex Jones Broadcasting Network.
[33:34.000 --> 33:37.000]  It's Alex Jones.
[33:40.000 --> 33:46.000]  Welcome back to the Alex Jones Show. I'm David Knight, here live in studio on this Sunday, August 10, 2014.
[33:46.000 --> 33:49.000]  Early on the show, Alex was with us. He's on the road.
[33:49.000 --> 33:53.000]  And he was breaking down what's going on in Iraq with the Obama bombings,
[33:53.000 --> 33:57.000]  the latest new war that he's starting against ISIS.
[33:57.000 --> 34:01.000]  Is this something that is a reaction to something that's new,
[34:01.000 --> 34:04.000]  or is this something that's been going on for quite some time?
[34:04.000 --> 34:08.000]  He's going to break that down. We're going to play that report in just a moment here.
[34:08.000 --> 34:13.000]  We're also talking about the Nixon resignation, which was 40 years ago yesterday.
[34:13.000 --> 34:16.000]  There's an interesting story that was up on Drudge today.
[34:16.000 --> 34:18.000]  Public trust and government hits new lows.
[34:18.000 --> 34:21.000]  This is a poll conducted by the University of Michigan.
[34:21.000 --> 34:24.000]  And this is something they've been doing for about 50 years.
[34:24.000 --> 34:27.000]  Going back to the 1960s, they say consistently,
[34:27.000 --> 34:32.000]  they found that the majority of Americans thought that they could trust government most or all the time.
[34:32.000 --> 34:36.000]  See, that's how you get people like Richard Nixon, and they said, until Watergate.
[34:36.000 --> 34:41.000]  And 1972, 53% of them trusted the government, always or most of the time.
[34:41.000 --> 34:47.000]  But that quickly switched to 1974. That figure plummeted to just 36%.
[34:47.000 --> 34:51.000]  And except for a brief period of patriotic sentiment immediately after 9-11,
[34:51.000 --> 34:55.000]  it has remained under 50% ever since.
[34:55.000 --> 35:02.000]  So where is it today? Well, today it's at 13%. 13%. The lowest it's ever been.
[35:02.000 --> 35:07.000]  So yes, that's a good sign, I think, because it was Patrick Henry who told us,
[35:07.000 --> 35:12.000]  trust no one, but bind them down with the chains of the Constitution.
[35:12.000 --> 35:16.000]  Obama doesn't believe that he's bound down with any chains of the Constitution.
[35:16.000 --> 35:19.000]  So I want to get your take on this. Do you trust the government?
[35:19.000 --> 35:21.000]  Probably not if you listen to this broadcast.
[35:21.000 --> 35:26.000]  I want to get your take, though, on impeachment. I want to talk about the Nixon resignation,
[35:26.000 --> 35:30.000]  how you see that in comparison to what's going on today, as well as ISIS,
[35:30.000 --> 35:35.000]  right after Alex Jones' report. Let me give you that number. That's 877-789-ALIX.
[35:35.000 --> 35:40.000]  It's a different number on Sunday. Once again, that's 877-789-ALIX.
[35:40.000 --> 35:44.000]  Now, here's Alex's report that we ran on the nightly news on Friday about ISIS.
[35:44.000 --> 35:49.000]  Well, late yesterday, the Obama administration authorized military strikes
[35:49.000 --> 35:54.000]  to prevent what they say was a potential act of genocide against a religious minority,
[35:54.000 --> 35:57.000]  as well as to protect U.S. interests in Iraq.
[35:57.000 --> 36:02.000]  Now, a Kurdish news agency reported that hundreds of IS terrorists were killed
[36:02.000 --> 36:06.000]  in the Pentagon operation that took place there early this morning.
[36:06.000 --> 36:10.000]  Now, of course, the administration has been under intense scrutiny
[36:10.000 --> 36:13.000]  for the president's foreign policy failures,
[36:13.000 --> 36:16.000]  and with many people pointing a finger at his decision
[36:16.000 --> 36:19.000]  to pull the troops out of Iraq in the first place.
[36:19.000 --> 36:22.000]  Earlier this week, one Iraqi in the area cried to the world,
[36:22.000 --> 36:25.000]  there is no one coming to help.
[36:25.000 --> 36:28.000]  Well, the day America is coming to help.
[36:28.000 --> 36:32.000]  We're also consulting with other countries and the United Nations
[36:32.000 --> 36:36.000]  who have called for action to address this humanitarian crisis.
[36:36.000 --> 36:40.000]  Now, flash forward two years and we see that that statement wasn't entirely true.
[36:40.000 --> 36:43.000]  ISIS has been able to, just in a matter of months,
[36:43.000 --> 36:47.000]  destroy all of the gains made by our troops there in Iraq,
[36:47.000 --> 36:51.000]  and of course, perfectly timed with Obama announcing these strikes.
[36:51.000 --> 36:53.000]  He goes on vacation.
[36:53.000 --> 36:56.000]  Trust in government is at an all-time low.
[36:56.000 --> 37:00.000]  Only 13% of Americans trust the government to do what is right always
[37:00.000 --> 37:04.000]  or most of the time with more than three-quarters saying
[37:04.000 --> 37:06.000]  maybe they can be trusted some of the time,
[37:06.000 --> 37:12.000]  and 10% of the population says the government can never be trusted.
[37:12.000 --> 37:15.000]  Now, this is just, these are insane numbers.
[37:15.000 --> 37:19.000]  We don't even remember a time that trust in the government has been this low.
[37:19.000 --> 37:26.000]  And now we have ISIS who we've been watching them destroying a large swaths of Iraq.
[37:26.000 --> 37:30.000]  They've been all over Twitter showing their beheadings and things like that.
[37:30.000 --> 37:36.000]  And our focus has been on other things, Gaza, Russia, Syria, the border.
[37:36.000 --> 37:40.000]  No one is talking about the literal terrorists that are taking over Iraq.
[37:40.000 --> 37:44.000]  Now ISIS is directing threats directly to America.
[37:44.000 --> 37:48.000]  They say that they're going to raise the flag of Allah in the White House.
[37:48.000 --> 37:50.000]  And then they go on taunting America saying,
[37:50.000 --> 37:53.000]  don't be cowards and attack us with drones.
[37:53.000 --> 37:58.000]  Instead, send your soldiers, the ones we humiliated in Iraq.
[37:58.000 --> 38:01.000]  See, so they're basically saying, you know, come on with your,
[38:01.000 --> 38:03.000]  don't bring your drones, bring your troops.
[38:03.000 --> 38:08.000]  And this is one of those situations where America can actually say, bring the drones.
[38:08.000 --> 38:10.000]  We've been watching them driving in.
[38:10.000 --> 38:14.000]  But, you know, the president just wants to go drone people in Pakistan
[38:14.000 --> 38:16.000]  and big wedding parties in Yemen.
[38:16.000 --> 38:19.000]  Now this administration has been itching to go to war.
[38:19.000 --> 38:21.000]  First with Syria, then with Russia.
[38:21.000 --> 38:26.000]  Meanwhile, we have been watching literal terrorists take over Iraq.
[38:26.000 --> 38:28.000]  They've taken over large swaths of Iraq.
[38:28.000 --> 38:32.000]  There have been public executions, beheadings, killing Christians.
[38:32.000 --> 38:37.000]  Why did it take the president so long to say, you know, maybe we might strike these guys?
[38:37.000 --> 38:41.000]  In fact, he's talking to terrorists saying, if you guys get a little too close,
[38:41.000 --> 38:44.000]  then we're going to, then we're going to drone you.
[38:44.000 --> 38:47.000]  We've ended the war in Iraq.
[38:47.000 --> 38:51.000]  I've kept the commitments that I've made.
[38:51.000 --> 38:53.000]  I told you we'd end the war in Iraq.
[38:53.000 --> 38:54.000]  We did.
[38:54.000 --> 38:58.000]  Reminding them that this is the president that ended the war in Iraq.
[38:58.000 --> 39:03.000]  Joining me now in studio to further break down this current bombing campaign,
[39:03.000 --> 39:08.000]  Obama is embarking upon in Iraq against ISIS, Alex Jones.
[39:08.000 --> 39:11.000]  Leigh Ann, this is one of the biggest stories of our age,
[39:11.000 --> 39:13.000]  because it's hiding in plain view.
[39:13.000 --> 39:16.000]  It's even hiding in the front page of major newspapers,
[39:16.000 --> 39:21.000]  but the media won't point out how sensationally evil this is
[39:21.000 --> 39:26.000]  that the West, the United States, Saudi Arabia, Israel,
[39:26.000 --> 39:29.000]  and so many other groups through NATO and others
[39:29.000 --> 39:34.000]  are arming IS, Islamic State, or ISIS, as it was known.
[39:34.000 --> 39:37.000]  This is simply a branding change from Al Qaeda,
[39:37.000 --> 39:42.000]  because the West was caught funding them in Syria the last three years, to IS.
[39:42.000 --> 39:46.000]  So we're going to show people the mainline documentation
[39:46.000 --> 39:51.000]  that it is our government at the front of the line with France and so many others.
[39:51.000 --> 39:53.000]  England's involved as well.
[39:53.000 --> 39:58.000]  Turkey's involved, literally turning loose a group that is murdering Christians
[39:58.000 --> 40:02.000]  from Africa to Iraq to Syria to Egypt.
[40:02.000 --> 40:06.000]  And now Obama has the nerve to claim he's bombing them.
[40:06.000 --> 40:09.000]  So we're going to break down exactly what's behind all of this.
[40:09.000 --> 40:13.000]  First off, here is a map of the ethnic breakdown
[40:13.000 --> 40:16.000]  and religious breakdown currently in Iraq.
[40:16.000 --> 40:20.000]  You notice the areas in green are Shia, this borders Iran.
[40:20.000 --> 40:24.000]  Iran is a Shia state to the east of Iraq.
[40:24.000 --> 40:28.000]  Then you have this area that's basically a desert no man's land
[40:28.000 --> 40:31.000]  influenced by Saudi Arabia and Kuwait to a great extent.
[40:31.000 --> 40:38.000]  Then you have the Sunni Arab group bordering Syria to the west.
[40:38.000 --> 40:43.000]  And then you have the Kurdish area in this area of northern Iraq.
[40:43.000 --> 40:46.000]  Now the Pentagon, the globalists have been on record for a long time,
[40:46.000 --> 40:49.000]  saying that the takedown of Saddam in 1991,
[40:49.000 --> 40:56.000]  the second takedown in 2003 was about destabilizing a stable country
[40:56.000 --> 41:02.000]  and bringing in destabilization forces and breaking the country in three parts.
[41:02.000 --> 41:07.000]  Why is IS now being bombed after three plus years of being given weapons
[41:07.000 --> 41:13.000]  from Benghazi and other areas by the Pentagon, by NATO, by Qatar, by Saudi Arabia,
[41:13.000 --> 41:17.000]  and by all these other factors to literally kill more than 300,000 people,
[41:17.000 --> 41:20.000]  launch chemical attacks, you name it, against the Assad regime,
[41:20.000 --> 41:24.000]  who did nothing to anybody in Syria.
[41:24.000 --> 41:29.000]  They were allowed to come in the last six months, invade Iraq, take major cities.
[41:29.000 --> 41:33.000]  The entire time this was happening, even months ago,
[41:33.000 --> 41:36.000]  the Pentagon would not bomb their convoys with their predator drones.
[41:36.000 --> 41:37.000]  They would leave them be.
[41:37.000 --> 41:39.000]  So this is Alex Jones in the nightly news from Friday night.
[41:39.000 --> 41:41.000]  We're going to continue with this report in the next segment.
[41:41.000 --> 41:45.000]  He's going to conclude what he's talking about with ISIS, break that down.
[41:45.000 --> 41:48.000]  Where the threat really comes from and what's behind all this.
[41:48.000 --> 41:50.000]  Now, we're also got some news that we're going to be covering.
[41:50.000 --> 41:54.000]  We have a riot that broke out in Missouri after a shooting.
[41:54.000 --> 41:56.000]  Essentially, as it was reported by an eyewitness,
[41:56.000 --> 41:59.000]  a young man with his hands up, although he was fleeing from the police,
[41:59.000 --> 42:03.000]  he was no threat to the police, he was shot 10 times and died.
[42:03.000 --> 42:04.000]  There was a huge crowd there.
[42:04.000 --> 42:09.000]  We also have news about the UK border staff are threatening to strike,
[42:09.000 --> 42:10.000]  to stand down because they said,
[42:10.000 --> 42:13.000]  we don't have any protection whatsoever at the border.
[42:13.000 --> 42:16.000]  Essentially, they are the picket line.
[42:16.000 --> 42:19.000]  If they see something, see somebody coming in.
[42:19.000 --> 42:21.000]  They're sick as they did a few weeks ago.
[42:21.000 --> 42:22.000]  They had someone come into.
[42:22.000 --> 42:24.000]  I think it was either Gatwick or Heathrow.
[42:24.000 --> 42:25.000]  I think it was Gatwick.
[42:25.000 --> 42:27.000]  Someone came in vomiting and collapsed.
[42:27.000 --> 42:29.000]  Everybody was very much afraid of that.
[42:29.000 --> 42:32.000]  She'd come in, I think, from an area that was suspected.
[42:32.000 --> 42:34.000]  So we see this happening at the UK borders.
[42:34.000 --> 42:36.000]  We see our borders completely open.
[42:36.000 --> 42:40.000]  We see them standing down and yet we see the rules of engagement
[42:40.000 --> 42:42.000]  internally in the country is being stepped up.
[42:42.000 --> 42:46.000]  We're going to talk about that and take your calls at 877-789-ALIX
[42:46.000 --> 42:48.000]  on impeachment on ISIS.
[42:48.000 --> 42:51.000]  We'll be right back with the conclusion of Alex Jones' report.
[43:00.000 --> 43:01.000]  I can taste dirt in it.
[43:01.000 --> 43:03.000]  God knows what's in there.
[43:03.000 --> 43:07.000]  These people just sampled city of Austin tap water straight from the faucet.
[43:07.000 --> 43:10.000]  Next, we had them try a sample of tap water filtered
[43:10.000 --> 43:13.000]  into the Pro Pure G2.0 filtration system.
[43:13.000 --> 43:14.000]  That one is better.
[43:14.000 --> 43:15.000]  It tastes like nothing.
[43:15.000 --> 43:17.000]  Yep, I know what good water tastes like.
[43:17.000 --> 43:18.000]  It's good water.
[43:18.000 --> 43:23.000]  Most tap water contains added substances like fluoride, chlorine, glyphosate,
[43:23.000 --> 43:24.000]  and many others.
[43:24.000 --> 43:27.000]  Studies prove that these substances are linked to an assortment of
[43:27.000 --> 43:31.000]  major health issues, including tooth decay, lower IQ, and even cancer.
[43:31.000 --> 43:34.000]  It tastes like you're drinking out of the lake when you're drinking tap water.
[43:34.000 --> 43:39.000]  The Pro Pure G2.0 filtration system removes these deadly substances,
[43:39.000 --> 43:42.000]  leaving only fresh tasting, deliciously clean water.
[43:42.000 --> 43:43.000]  Okay, this is very tasty.
[43:43.000 --> 43:44.000]  It's good water.
[43:44.000 --> 43:45.000]  Refreshing.
[43:45.000 --> 43:46.000]  It's good.
[43:46.000 --> 43:50.000]  Go to infowarsstore.com today and get your free wire stand with the purchase
[43:50.000 --> 43:53.000]  of a Pro Pure big water filtration system.
[43:53.000 --> 44:20.000]  Or call 1-888-253-3139.
[44:23.000 --> 44:29.640]  It doesn't have much water filter, so it's good for small,
[44:29.640 --> 44:32.320]  or artificial additives that are loaded into many products.
[44:32.320 --> 44:37.000]  The InfoWars Life Silver Bullet Silver is so powerful that it is concentrated
[44:37.000 --> 44:41.000]  into a two ounce bottle, and it's not recommended for extended continual use.
[44:41.000 --> 44:43.000]  This is not a low grade formula.
[44:43.000 --> 44:48.000]  We are working with one of the top laboratory manufacturers in the United States
[44:48.000 --> 44:50.640]  your preparedness storage, or your home kitchen.
[44:50.640 --> 44:53.320]  Purchase your bottle of infowarslife.com,
[44:53.320 --> 44:55.440]  silver bullet, colloidal silver today,
[44:55.440 --> 45:00.000]  and find other amazing supplements at infowarslife.com.
[45:00.000 --> 45:02.440]  Joe, what do you think about the FBI saying
[45:02.440 --> 45:04.320]  that there's a terror alert on Monday
[45:04.320 --> 45:06.160]  about a potential for hood situation?
[45:06.160 --> 45:08.720]  The police are shoving people, shoving Alex,
[45:08.720 --> 45:09.560]  shoving the crowd.
[45:09.560 --> 45:11.240]  Here we go, folks, I'm being a sergeant.
[45:11.240 --> 45:13.480]  Whether it's the radio show, the news websites,
[45:13.480 --> 45:15.320]  documentary films, or the nightly news,
[45:15.320 --> 45:17.560]  infowars is the tip of the spear.
[45:17.560 --> 45:19.400]  Is this another force-flight-stage attack
[45:19.400 --> 45:21.760]  to take our civil liberties and put more Homeland Security
[45:21.760 --> 45:23.560]  by sticking the hands down on our pants on the streets?
[45:23.560 --> 45:25.640]  It's up to us to set brush fires
[45:25.640 --> 45:27.520]  in the minds of men and women everywhere,
[45:27.520 --> 45:30.640]  and that's what prisonplanet.tv is designed to do.
[45:30.640 --> 45:34.880]  You watch the Assad regime is going to be blamed or accused
[45:34.880 --> 45:38.920]  of using chemical weapons against the so-called rebels.
[45:38.920 --> 45:40.960]  What we see now is a war against reality,
[45:40.960 --> 45:42.360]  it's a war against the truth.
[45:42.360 --> 45:45.520]  It's more vital than ever that supporters of freedom
[45:45.520 --> 45:48.000]  become members of prisonplanet.tv
[45:48.000 --> 45:51.320]  and share their membership with up to 11 friends and family.
[45:51.320 --> 45:54.000]  Visit infowarsnews.com today.
[45:54.000 --> 45:56.040]  Become a member, share your membership,
[45:56.040 --> 45:58.640]  and help take the info war to the next level.
[46:00.480 --> 46:02.760]  Hi, I'm Dr. Edward Groot.
[46:02.760 --> 46:05.800]  It took me 20 years of searching the globe
[46:05.800 --> 46:10.200]  to find the deposit of the highest purity iodine available.
[46:10.200 --> 46:14.080]  The new survival shield X2 is mined
[46:14.080 --> 46:17.360]  from seven to 10,000 feet below the earth
[46:17.360 --> 46:21.000]  in pristine, environmentally clean conditions.
[46:21.000 --> 46:23.920]  The iodine crystals we use are extracted
[46:23.920 --> 46:28.920]  from an ancient 300 million plus year old deposit
[46:29.280 --> 46:30.960]  deep in the earth.
[46:30.960 --> 46:35.000]  It's the strongest nascent iodine on the market today.
[46:35.000 --> 46:38.760]  It delivers 650 micrograms per drop.
[46:38.760 --> 46:40.800]  Experience the new formula,
[46:40.800 --> 46:43.360]  experience the ancient purity.
[46:43.360 --> 46:44.760]  Shield your family.
[46:44.760 --> 46:49.640]  Survival Shield X2, available now at infowarslife.com.
[46:49.640 --> 46:54.640]  X2 from infowarslife.com or call toll-free, 888-253-3139.
[47:01.040 --> 47:04.600]  Coast to coast, direct from Austin.
[47:04.600 --> 47:08.200]  You're listening to the Alex Jones Broadcasting Network.
[47:08.200 --> 47:09.160]  Network.
[47:09.160 --> 47:14.160]  Big Brother, mainstream media, government cover-ups.
[47:15.680 --> 47:17.320]  You want answers?
[47:17.320 --> 47:18.840]  Well, so does he.
[47:18.840 --> 47:22.880]  He's Alex Jones on the GCN radio network.
[47:22.880 --> 47:27.880]  And now, live from Austin, Texas, Alex Jones.
[47:28.400 --> 47:30.200]  Let's make this a year of action.
[47:30.200 --> 47:31.560]  That's what most Americans want.
[47:31.560 --> 47:34.320]  Raising the debt ceiling does not increase our debt.
[47:34.320 --> 47:36.240]  Nobody is listening to us.
[47:36.240 --> 47:39.320]  The debate is settled. Climate change is a fact.
[47:39.320 --> 47:41.920]  And if people can't trust not only the executive branch,
[47:41.920 --> 47:45.760]  but also don't trust Congress and don't trust federal judges,
[47:45.760 --> 47:47.560]  then we're gonna have some problems.
[47:47.560 --> 47:50.520]  What difference at this point does it make?
[47:50.520 --> 47:52.520]  Everything is awesome.
[47:52.520 --> 47:53.880]  Oh my gosh, I love this song.
[47:53.880 --> 47:56.640]  Everything is cool when you're part of a team.
[47:56.640 --> 47:59.080]  Everything is awesome.
[47:59.080 --> 48:00.440]  Welcome back to the Alex Jones Show.
[48:00.440 --> 48:02.720]  I'm David Knight in studio on this Sunday.
[48:02.720 --> 48:06.320]  August 10th, 2014, we're right in the middle of a special report
[48:06.320 --> 48:09.320]  that Alex Jones put together last Friday for the Nightly News.
[48:09.320 --> 48:11.720]  If you're not a prison planet TV subscriber,
[48:11.720 --> 48:13.520]  please consider getting a subscription
[48:13.520 --> 48:14.920]  that helps to support our operation.
[48:14.920 --> 48:18.120]  You can share it with up to 12 other people at the same time
[48:18.120 --> 48:21.120]  and have access to all of Alex Jones' documentaries
[48:21.120 --> 48:22.920]  as well as the Nightly News.
[48:22.920 --> 48:25.720]  Now, after this break and then the next hour,
[48:25.720 --> 48:27.920]  we're gonna be taking your calls on breaking news,
[48:27.920 --> 48:30.360]  like the situation at the New York Times,
[48:30.360 --> 48:33.680]  on breaking news, like the situation in Iraq,
[48:33.680 --> 48:35.920]  as well as we've got the 40th anniversary
[48:35.920 --> 48:38.160]  of Richard Nixon's resignation.
[48:38.160 --> 48:40.120]  What do you feel about impeachment?
[48:40.120 --> 48:42.440]  It was a turning point in this country
[48:42.440 --> 48:44.320]  in terms of people's confidence in government.
[48:44.320 --> 48:46.800]  I would argue that they were too trusting of government.
[48:46.800 --> 48:49.080]  Maybe it's a good thing for us to wake up
[48:49.080 --> 48:52.680]  and to see that, yes, men can commit crimes
[48:52.680 --> 48:54.320]  even when they're elected president.
[48:54.320 --> 48:57.760]  If you wanna call in, that number is 877-789-ALAX.
[48:57.760 --> 49:00.680]  That's our Sunday number, 877-789-ALAX.
[49:00.680 --> 49:02.600]  We'll be taking your calls on those subjects.
[49:02.600 --> 49:06.360]  Let's get back to Alex Jones' report on ISIS.
[49:06.360 --> 49:08.080]  You remember about a year ago,
[49:08.080 --> 49:09.320]  whenever Rand Paul and others said
[49:09.320 --> 49:10.760]  we're not Al Qaeda's Air Force,
[49:10.760 --> 49:12.840]  in Syria, just neighboring,
[49:12.840 --> 49:14.960]  that that was about our military saying no
[49:14.960 --> 49:17.880]  to openly arming Al Qaeda.
[49:17.880 --> 49:19.680]  So when the public got upset about that,
[49:19.680 --> 49:23.400]  they named it ISIS or now IS to confuse people.
[49:23.400 --> 49:26.240]  But it's the black flag of Al Qaeda, it's the same people.
[49:26.240 --> 49:27.800]  So why are they bombing now?
[49:27.800 --> 49:30.480]  Two reasons then we'll go over the proof.
[49:30.480 --> 49:33.680]  Number one, Obama and the globalists are getting a lot
[49:33.680 --> 49:38.280]  of heat for openly being behind radical Sunni Islam
[49:38.280 --> 49:40.920]  with Saudi Arabia that is financing
[49:40.920 --> 49:43.600]  the entire destabilization so they can take over.
[49:43.600 --> 49:45.160]  And they're the big Western ally
[49:45.160 --> 49:46.920]  and the most radical form of Islam.
[49:46.920 --> 49:49.240]  And the people that reportedly attacked us on 9-11
[49:49.240 --> 49:50.840]  if you believe the official story.
[49:50.840 --> 49:52.520]  So who do we attack on 9-11?
[49:52.520 --> 49:53.880]  Do we attack the Sunni country
[49:53.880 --> 49:56.360]  that supplied 15 of the 19 hijackers?
[49:56.360 --> 49:58.840]  No, we attack Iraq with a secular leader,
[49:58.840 --> 50:02.120]  formerly CIA, put in in 1979
[50:02.120 --> 50:04.320]  during a more reasonable policy
[50:04.320 --> 50:06.160]  of stabilization of the region.
[50:06.160 --> 50:07.840]  Though they moved to destabilization
[50:07.840 --> 50:10.600]  and had him attack Iran in that seven year war
[50:10.600 --> 50:11.800]  in the 1980s.
[50:11.800 --> 50:14.160]  So it's an ongoing destabilization campaign
[50:14.160 --> 50:17.720]  that gets more and more morally bankrupt, more and more evil.
[50:17.720 --> 50:20.200]  Now, first off, he has to act
[50:20.200 --> 50:21.800]  like he's getting tough on these terrorists.
[50:21.800 --> 50:23.440]  How can they take our rights away
[50:23.440 --> 50:25.480]  when our own government is funding Al Qaeda?
[50:25.480 --> 50:27.680]  Change the name, turn them loose.
[50:27.680 --> 50:29.040]  The public's not buying it.
[50:29.040 --> 50:32.440]  So now you bomb some limited areas up here
[50:32.440 --> 50:34.160]  because they had seized some infrastructure,
[50:34.160 --> 50:36.640]  some oil fields run by the West
[50:36.640 --> 50:39.120]  and had seized some dams.
[50:39.120 --> 50:41.400]  They wanna break the country in three parts.
[50:41.400 --> 50:45.120]  The Shiite area, then you've got the Sunni area
[50:45.120 --> 50:45.960]  and the Kurd area.
[50:45.960 --> 50:47.360]  That's always been the plan.
[50:47.360 --> 50:49.240]  Going back to 1991,
[50:49.240 --> 50:51.680]  they had to get the country broken down first,
[50:51.680 --> 50:54.800]  de-industrialize it, get rid of the central government
[50:54.800 --> 50:56.200]  in bad yet to do that.
[50:56.200 --> 50:59.200]  So ISIS is supposed to only come in in this deal
[50:59.200 --> 51:00.400]  that's been signed with Iran.
[51:00.400 --> 51:03.560]  That's come out to where they permanently get this chunk
[51:03.560 --> 51:05.240]  of Iraq and the oil.
[51:05.240 --> 51:07.680]  The Kurds get this chunk and sell it to the EU
[51:07.680 --> 51:11.760]  and Saudi Arabia and the West get this chunk
[51:11.760 --> 51:14.200]  to now break the country in three parts.
[51:14.200 --> 51:16.880]  Now, that's stated by the Council on Fine Relations,
[51:19.000 --> 51:20.640]  segregated or divided country.
[51:20.640 --> 51:22.120]  That's a British model of control.
[51:22.120 --> 51:24.000]  That's a fact, not my opinion,
[51:24.000 --> 51:27.360]  but on CNN and Fox News, you'll never hear any of this.
[51:27.360 --> 51:30.440]  It's just we're bombing al-Qaeda or ISIS, aren't we good?
[51:30.440 --> 51:32.000]  Now let us take all your rights away
[51:32.000 --> 51:33.920]  when they brought them in to begin with,
[51:33.920 --> 51:35.160]  to bring down the country.
[51:35.160 --> 51:37.640]  So this country has been targeted by the West
[51:37.640 --> 51:40.520]  for de-industrialization, population reduction
[51:40.520 --> 51:42.680]  and destruction, a crime against humanity,
[51:42.680 --> 51:45.440]  a hardcore long-term war crime.
[51:45.440 --> 51:47.520]  That's the big issue.
[51:47.520 --> 51:50.440]  Now, it's not just about the destabilization of Iraq.
[51:50.440 --> 51:55.440]  It's also about using this new al-Qaeda Islamic State base
[51:56.160 --> 52:01.160]  here in Western Iraq to continue to split up Syria
[52:02.360 --> 52:04.840]  and other surrounding countries.
[52:04.840 --> 52:07.920]  They've even got ISIS now attacking groups
[52:07.920 --> 52:11.720]  in Western friendly countries like Jordan and other areas.
[52:11.720 --> 52:14.200]  So this is a double cross of everyone,
[52:14.200 --> 52:16.920]  a completely devilish move.
[52:16.920 --> 52:19.120]  Now finally, let's move to some of the documentation.
[52:19.120 --> 52:21.480]  Leon McAdoo has some of the mainstream media articles
[52:21.480 --> 52:22.320]  right there.
[52:22.320 --> 52:26.400]  ISIS fighter claims Turkey funds the jihadist group.
[52:26.400 --> 52:27.400]  Well, there's no claiming about it.
[52:27.400 --> 52:28.920]  They have giant training camps there.
[52:28.920 --> 52:31.320]  There's another, London Independent, Iraq Crisis,
[52:31.320 --> 52:33.560]  how Saudi Arabia helped ISIS take over
[52:33.560 --> 52:35.280]  the north of the country.
[52:35.280 --> 52:37.440]  Let's move on to the next story here.
[52:37.440 --> 52:40.360]  Another article out of Business Insider.
[52:40.360 --> 52:42.840]  ISIS is likely receiving funding
[52:42.840 --> 52:45.340]  from people living in countries allied with the US.
[52:45.340 --> 52:46.400]  It's not likely.
[52:46.400 --> 52:47.600]  It's been on record.
[52:47.600 --> 52:50.200]  This group was armed by the West, by NATO,
[52:50.200 --> 52:52.600]  trained by British commandos in Syria
[52:52.600 --> 52:54.120]  and then ran back across the border
[52:54.120 --> 52:55.600]  to start this takeover.
[52:55.600 --> 52:57.760]  American allies are funding ISIS.
[52:57.760 --> 52:59.320]  No, America's doing it.
[52:59.320 --> 53:01.520]  What do you think Benghazi and the Stinger missiles
[53:01.520 --> 53:02.360]  were about?
[53:02.360 --> 53:03.440]  And the headlines now that they have them
[53:03.440 --> 53:04.360]  that we predicted.
[53:04.360 --> 53:06.480]  ISIS trained by US government.
[53:06.480 --> 53:07.640]  Another article.
[53:07.640 --> 53:09.920]  And John McCain went and hung out with them,
[53:09.920 --> 53:12.440]  with the leaders of ISIS a year ago.
[53:12.440 --> 53:14.640]  And now they've been handed all these oil fields
[53:14.640 --> 53:16.060]  that they supposedly run,
[53:16.060 --> 53:18.320]  but that oil companies are gonna buy the oil from.
[53:18.320 --> 53:20.280]  Can't have any sanctions on ISIS.
[53:20.280 --> 53:22.040]  So the only reason they're being bombed
[53:22.040 --> 53:23.640]  is because they're not totally run.
[53:23.640 --> 53:26.120]  They're protected and they're like demons
[53:26.120 --> 53:28.440]  you release into an area to destabilize things.
[53:28.440 --> 53:30.400]  They get greedy and start grabbing more.
[53:30.400 --> 53:33.200]  That's when the bombing starts to say no, no, no.
[53:33.200 --> 53:35.240]  Can't have those Kurdish oil fields.
[53:35.240 --> 53:36.320]  No, no, no.
[53:36.320 --> 53:38.960]  Behave yourself or the predators are coming.
[53:38.960 --> 53:43.440]  This is managing evil in just a cauldron of destabilization.
[53:43.440 --> 53:46.400]  Let's move on now to the next stack of news here.
[53:46.400 --> 53:49.400]  Again, Obama is being heralded,
[53:49.400 --> 53:51.280]  is finally taking on ISIS.
[53:51.280 --> 53:53.840]  If you go back and look at the airlift of evil
