[00:30.000 --> 00:32.000]  3, 2, 1, go!
[1:05:17.000 --> 1:05:24.000]  It's 50% off despite the fact it's going to sell out very, very quickly because everybody needs this old, young, black, white.
[1:05:24.000 --> 1:05:32.000]  It doesn't matter. You need what's in Winter Sun. And then we have brain force ultra super fast acting, amazing, clean,
[1:05:32.000 --> 1:05:40.000]  Neutropic system that is a compliment to brain force plus, and of course, turbo force. All three of these are different formulas.
[1:05:40.000 --> 1:05:46.000]  But all three of them take your mind and take your focus and clarity and alertness to the next level.
[1:05:46.000 --> 1:05:56.000]  It is 40% off at infowarstore.com for a limited time. Thank you all for your support. If you haven't tried these products, you really need to because they are amazing.
[1:05:56.000 --> 1:06:20.000]  Go to infowarstore.com.
[1:06:20.000 --> 1:06:32.000]  All right, we're going to go to your phone calls right now. Carlos and Ivan and Chase and Steve and Armand and Mark and bone crusher Jack Alain,
[1:06:32.000 --> 1:06:38.000]  Mankind and others here in just a moment.
[1:06:38.000 --> 1:06:45.000]  I don't know how I in the last hour just hope don't come back to the same thing again in case new people join us, which I know they did.
[1:06:45.000 --> 1:06:56.000]  Confirmed mainstream news, major university research facilities and major viral publications, medical publications,
[1:06:56.000 --> 1:07:06.000]  scientific publications, that COVID-19 was made in a lab and that the pieces of it were patented in 2016 by Moderna,
[1:07:06.000 --> 1:07:15.000]  which was set up and prepared and ready for several years ahead of it with the one mission to deliver the deadly injection masquerading as a vaccine.
[1:07:15.000 --> 1:07:22.000]  Smoking gun of smoking guns and I only got to a few of the big articles in and around that after I take a bunch of calls.
[1:07:22.000 --> 1:07:30.000]  I'm going to get into some more of the meat of that situation.
[1:07:30.000 --> 1:07:40.000]  I want to go to your phone calls. I want to just recap some points about the situation unfolding in Ukraine and explain something.
[1:07:40.000 --> 1:07:49.000]  I know the audience already knows this, but my sources, the information I saw and everything going on said by February, late February,
[1:07:49.000 --> 1:07:54.000]  China starts moving and Russia starts moving.
[1:07:54.000 --> 1:08:05.000]  That's not a hard call because if they're going to move, they're going to move together.
[1:08:05.000 --> 1:08:15.000]  And now China is making more and more of those type of statements, but they've also said that they'd like Putin to obviously meet
[1:08:15.000 --> 1:08:25.000]  with the Ukrainian president and talk about an armistice and a demilitarization of the area, but it got leaked a few days ago that the Chinese talking points
[1:08:25.000 --> 1:08:33.000]  to the media of censorship and control saying we're with Russia and we're with Russia's invasion, but we want to act like we're neutral
[1:08:33.000 --> 1:08:37.000]  so that we can move against our targets is basically what they said.
[1:08:37.000 --> 1:08:50.000]  That was in yesterday's stack. Will you guys reprint me that? The headline was Chinese government documents directing censorship to the media,
[1:08:50.000 --> 1:08:57.000]  Chinese government talking points to the media, directing Ukraine coverage leaked, something like that.
[1:08:57.000 --> 1:09:05.000]  And it was a fascinating article. We could spend a whole hour just reading that. It was amazing. And the Chinese admit that's a real document.
[1:09:05.000 --> 1:09:22.000]  So that is just such a huge deal as well. But the big takeaway here is the West is saying, which is lobelous run,
[1:09:22.000 --> 1:09:29.000]  that we're going to put massive sanctions on you. And if you cyber attack us in any way, which is easy to frame Russia for that,
[1:09:29.000 --> 1:09:37.000]  that came out the CIA documents involved seven years ago, that we will then take that as an act of war and a violation of Article 5 in NATO.
[1:09:37.000 --> 1:09:48.000]  If any NATO state has as much as a red light get hacked, we take that as an act of war. That is such a big deal.
[1:09:48.000 --> 1:09:58.000]  That is such a huge deal. And then Putin responded back saying, well, any sanctions against us are an act of war.
[1:09:58.000 --> 1:10:08.000]  Russian President Vladimir Putin has made it very clear to U.S. President Joe Biden that imposing sanctions will be countered and considered an act of war.
[1:10:08.000 --> 1:10:17.000]  It comes as President Joe Biden and his Ukrainian counterpart will speak by phone today, I mean growing fears of Russian military buildup.
[1:10:17.000 --> 1:10:22.000]  And that came out weeks ago and that's another one of his statements now, reissuing those statements.
[1:10:22.000 --> 1:10:28.000]  So it's a very, very serious situation. I want to play you a couple clips here. Then we'll go to your phone calls.
[1:10:28.000 --> 1:10:36.000]  This is Biden, if you'll remember, once he first got in office, had a cyber drill with the usual suspects,
[1:10:36.000 --> 1:10:42.000]  some people that brought us COVID-19, and Russia was in on the cyber drill.
[1:10:42.000 --> 1:10:50.000]  And Biden gave them 18 entities that if they're attacked, we will go to war with Russia.
[1:10:50.000 --> 1:10:54.000]  Well, it's very easy to frame someone as being a hacker.
[1:10:54.000 --> 1:11:01.000]  It's very easy to take over somebody's computer and then send messages from it and then claim that that's where the attack came from.
[1:11:01.000 --> 1:11:06.000]  Spoofing is as old as telephones.
[1:11:06.000 --> 1:11:11.000]  And Captain Crunch, all the things he did.
[1:11:11.000 --> 1:11:15.000]  I'm not talking about the serial folks, I don't know what Captain Crunch is, we've had him on the show.
[1:11:15.000 --> 1:11:21.000]  He could whistle into phones and control them as they operate off tones.
[1:11:21.000 --> 1:11:26.000]  They could call the White House and get Nixon on the phone or all sorts of crazy stuff.
[1:11:26.000 --> 1:11:32.000]  And that was in the 70s, but I'm digressing, this is just incredible. Here is Biden.
[1:11:32.000 --> 1:11:38.000]  Another area we spent a great deal of time on was cyber and cybersecurity.
[1:11:38.000 --> 1:11:45.000]  I talked about the proposition that certain critical infrastructure should be off limits to attack, period.
[1:11:45.000 --> 1:11:48.000]  By cyber or any other means, I gave them a list.
[1:11:48.000 --> 1:11:53.000]  If I'm not mistaken, I don't have in front of me 16 specific entities.
[1:11:53.000 --> 1:12:01.000]  16 defined as critical infrastructure under U.S. policy from the energy sector to our water systems.
[1:12:01.000 --> 1:12:07.000]  Of course, the principle is one thing. It has to be backed up by practice.
[1:12:07.000 --> 1:12:10.000]  You know what's funny about everything Biden says?
[1:12:10.000 --> 1:12:14.000]  Who's destroying dams across the U.S.?
[1:12:14.000 --> 1:12:20.000]  Who's shut off over 2,000 pipelines around the United States, including the Keystone Pipeline?
[1:12:20.000 --> 1:12:24.000]  Biden, who is going after gas-powered cars?
[1:12:24.000 --> 1:12:35.000]  Who shut down two-thirds of the oil leases in this country and won't allow any new leases in more than half the nation?
[1:12:35.000 --> 1:12:38.000]  And has shut down drilling in the Gulf of Mexico?
[1:12:38.000 --> 1:12:46.000]  When it's just that another country comes and does it, if we're not doing it, or another company, it's not the Russians.
[1:12:46.000 --> 1:12:50.000]  It's not the Russians cutting off our pipelines, folks.
[1:12:50.000 --> 1:12:53.000]  And then I'm sure they'll have a Rolling Stone article or a CNN report.
[1:12:53.000 --> 1:12:55.000]  Look at Jones' shill for Putin.
[1:12:55.000 --> 1:12:57.000]  No, this isn't about Putin.
[1:12:57.000 --> 1:13:02.000]  This is about the globalist cutting off our damn power, and it makes me mad.
[1:13:02.000 --> 1:13:07.000]  And so that's where we are.
[1:13:07.000 --> 1:13:10.000]  So they're the ones shutting off our infrastructure.
[1:13:10.000 --> 1:13:11.000]  They're the ones brainwashing our kids.
[1:13:11.000 --> 1:13:13.000]  They're the ones destroying our culture.
[1:13:13.000 --> 1:13:26.000]  Here is Senator Mark Warner on television talking about how we could get into a nuclear war via Article 5 if the Russians do so much as turn off a stoplight.
[1:13:26.000 --> 1:13:29.000]  Which, again, how the hell do you prove who does it?
[1:13:29.000 --> 1:13:36.000]  Any bad actor, any criminal group, or any globalist group, or any government can and will launch attacks in blame, Russia.
[1:13:36.000 --> 1:13:39.000]  You know, false flags, the thing you're not supposed to talk about.
[1:13:39.000 --> 1:13:40.000]  Here it is.
[1:13:40.000 --> 1:13:46.000]  Is it Russia unleashes its full cyber power against Ukraine?
[1:13:46.000 --> 1:13:51.000]  Once you put malware into the wild, in a sense, it knows no geographic boundaries.
[1:13:51.000 --> 1:13:58.000]  So if the Russians decide they're going to try to turn off the power, turn off all the electricity all across Ukraine,
[1:13:58.000 --> 1:14:03.000]  very likely that may turn off the power in eastern Poland and eastern Romania.
[1:14:03.000 --> 1:14:05.000]  That could affect our troops.
[1:14:05.000 --> 1:14:15.000]  If suddenly hospitals are shut down, if those NATO troops, American troops, somehow have a car accident because the stoplights don't work.
[1:14:15.000 --> 1:14:21.000]  We are suddenly in an area, hypothetically, on Article 5, where one NATO country is attacked.
[1:14:21.000 --> 1:14:24.000]  We all have to come to each other's aid.
[1:14:24.000 --> 1:14:29.000]  So Werner is certainly right. That hypothetical that he outlined could happen.
[1:14:29.000 --> 1:14:36.000]  Any cyber attack on Ukraine could well affect the infrastructure of their Eastern European countries.
[1:14:36.000 --> 1:14:37.000]  That would be bad.
[1:14:37.000 --> 1:14:38.000]  It would be a crime.
[1:14:38.000 --> 1:14:40.000]  The civilized world would deplore it.
[1:14:40.000 --> 1:14:44.000]  But Article 5 is not a mechanical mechanism.
[1:14:44.000 --> 1:14:47.000]  Human beings have to decide to invoke it.
[1:14:47.000 --> 1:14:55.000]  And the question is, is what the senator just described something that is worth risking a nuclear conflict over?
[1:14:55.000 --> 1:15:01.000]  And that is something we should pause very deeply to think about in the most sober possible way.
[1:15:01.000 --> 1:15:02.000]  That's good.
[1:15:02.000 --> 1:15:03.000]  We hope that our leaders are.
[1:15:03.000 --> 1:15:04.000]  Yeah.
[1:15:04.000 --> 1:15:05.000]  But not all of them.
[1:15:05.000 --> 1:15:13.000]  And that's what we're dealing with here, ladies and gentlemen, is that if you look at all the pre-programming and all the brainwashing and all the rest of it,
[1:15:13.000 --> 1:15:17.000]  we've been told the lights are about to go out and there's about to be cyber attacks.
[1:15:17.000 --> 1:15:18.000]  And right-wing groups are going to do it.
[1:15:18.000 --> 1:15:19.000]  And Putin's going to do it.
[1:15:19.000 --> 1:15:21.000]  But it fits into the great reset.
[1:15:21.000 --> 1:15:28.000]  The Globalist Program, Klaus Schwab, says they're going to get their great reset now with a cyber attack that will save the Earth.
[1:15:28.000 --> 1:15:29.000]  But he's not going to launch it.
[1:15:29.000 --> 1:15:32.000]  They just launched a COVID attack, but they're not going to launch this attack.
[1:15:32.000 --> 1:15:35.000]  They just put the troops in Ukraine triggering this attack.
[1:15:35.000 --> 1:15:38.000]  They're triggering all of it to bring down civilization.
[1:15:38.000 --> 1:15:45.000]  They are a crazy eugenics transhumanist death cult, masquerading as an environmentalist death cult,
[1:15:45.000 --> 1:15:54.000]  when in truth they think they're God and are overriding everything and think that they're supposed to bring in some great cataclysm that springboards them into Godhood.
[1:15:54.000 --> 1:15:55.000]  Sounds pretty damn satanic.
[1:15:55.000 --> 1:15:57.000]  Your calls are straight ahead.
[1:15:57.000 --> 1:16:00.000]  I've been on air more than 25 years.
[1:16:00.000 --> 1:16:11.000]  And long before I started selling high quality vitamin D3 eight years ago, I've been promoting people taking vitamin D3 because it is essential.
[1:16:11.000 --> 1:16:16.000]  And if you're not getting sunshine every single day, whether you're black or white or Hispanic, it doesn't matter.
[1:16:16.000 --> 1:16:21.000]  Your body will be susceptible and wide open to so many of the threats that are out there.
[1:16:21.000 --> 1:16:22.000]  It's just like you need oxygen.
[1:16:22.000 --> 1:16:24.000]  You die in four minutes without oxygen.
[1:16:24.000 --> 1:16:27.000]  You die in five or six days without water.
[1:16:27.000 --> 1:16:28.000]  You die in a month without food.
[1:16:28.000 --> 1:16:34.000]  Well, that's because these key minerals and elements and vitamins are in the food that you need.
[1:16:34.000 --> 1:16:39.000]  And one of the most important for your immune system and your overall health is vitamin D3.
[1:16:39.000 --> 1:16:49.000]  We have the highest quality in winter sun with vitamin K that boosts all your body's offenses available right now for 50% off at infowarstore.com.
[1:16:49.000 --> 1:16:53.000]  Everybody, old, young, black, white, you need vitamin D3.
[1:16:53.000 --> 1:16:59.000]  This is the best quality out there and it funds the info war 50% off.
[1:16:59.000 --> 1:17:00.000]  So I did it.
[1:17:00.000 --> 1:17:02.000]  I signed up for the Austin Marathon.
[1:17:02.000 --> 1:17:09.000]  I've been training probably not as much as they should be, but thank goodness for prayer and thank goodness for infowarstore.com.
[1:17:09.000 --> 1:17:15.000]  Before I set out on a run, I throw down some turbo force to give me that energy I need to get going.
[1:17:15.000 --> 1:17:22.000]  You know, besides the energy turbo force, it is giving me the vitamins I need like vitamin C to keep me healthy.
[1:17:22.000 --> 1:17:29.000]  And the essential B vitamins plus the amino acids for sustained energy giving me the best chance at getting through the training.
[1:17:29.000 --> 1:17:33.000]  And then every day now I'm taking Dr. Jones' Sorilis.
[1:17:33.000 --> 1:17:34.000]  I have bad joints.
[1:17:34.000 --> 1:17:35.000]  Thanks mom.
[1:17:35.000 --> 1:17:42.000]  So this is great for giving my joints the extra support they need right now plus inflammation support and extra flexibility.
[1:17:42.000 --> 1:17:46.000]  The quick release capsules help me recover fast so I can get back to the training.
[1:17:46.000 --> 1:17:54.000]  Even if you're not crazy enough to take on a marathon, good news turbo force that can still give you the energy and clarity you need for every day.
[1:17:54.000 --> 1:18:19.000]  And Sorilis can keep you moving and feeling great at any age.
[1:18:24.000 --> 1:18:34.000]  So X3, the only tri iodine on the market, highest grade, is now exclusively available again at 50% off at infowarstore.com.
[1:18:34.000 --> 1:18:42.000]  If you've not experienced clean, pure iodine, and what it does for your body, it takes about two weeks to get on average, you really need to experience X3.
[1:18:42.000 --> 1:18:45.000]  Those of you that have tried it and used it, I know you're going to be reordering it.
[1:18:45.000 --> 1:18:50.000]  But particularly those that haven't ever tried the product, you need it because it's amazing what does for your body.
[1:18:50.000 --> 1:18:55.000]  It's the good halogen, not the bad halogen, and it funds the info war, a true 360 win.
[1:18:55.000 --> 1:18:59.000]  So again, X3, back in stock, 50% off at limited time.
[1:18:59.000 --> 1:19:06.000]  The powerful combination of both vitamin C and zinc are great stepping stones to leading a healthier life.
[1:19:06.000 --> 1:19:12.000]  Info wars has made it easier to make sure you're getting enough in your system with a supplement that contains both.
[1:19:12.000 --> 1:19:19.000]  This info wars life offering vitamin C plus zinc with rose hips should be your next purchase from the info wars store.
[1:19:19.000 --> 1:19:26.000]  The hips contained within are a part of the rose flower just below the petals that contain the rose plant seeds.
[1:19:26.000 --> 1:19:31.000]  Natural chemicals found in the hips may even be helpful for a variety of health conditions,
[1:19:31.000 --> 1:19:36.000]  including those with osteoarthritis and for those with pain after surgery studies have shown.
[1:19:36.000 --> 1:19:42.000]  As for vitamin C and zinc themselves, you probably already know that they play an important role in nutrition,
[1:19:42.000 --> 1:19:45.000]  immune defense, and the maintenance of your everyday health.
[1:19:45.000 --> 1:19:52.000]  It has been reported that intake of both is often inadequate, even in affluent populations like here in America.
[1:19:52.000 --> 1:20:20.000]  Next time you visit, be sure to check it out at infowarsstore.com where we promise our rose hips don't lie.
[1:20:22.000 --> 1:20:39.000]  Well, there's a cartoon that's up on infowars.com that really says it all.
[1:20:39.000 --> 1:20:42.000]  They say a picture tells a thousand words and this one certainly does.
[1:20:42.000 --> 1:20:49.000]  It's the image of the ocean and a great white shark is blasting up out of it and on its belly it's called Russia
[1:20:49.000 --> 1:20:54.000]  and it's just eaten the person and destroyed the inner tube they were floating in,
[1:20:54.000 --> 1:20:58.000]  but that's the country of Ukraine.
[1:20:58.000 --> 1:21:05.000]  That's what's written on the smashed, punctured inner tube eaten by the great white shark, Russia.
[1:21:05.000 --> 1:21:13.000]  Well, there's Taiwan watching floating around the water in their own little rubber inner tube
[1:21:13.000 --> 1:21:18.000]  and right beneath the water is China getting ready to make their move.
[1:21:18.000 --> 1:21:23.000]  I know that can be a little annoying for TV viewers, you can see it, but remember we're on over 300 radio stations
[1:21:23.000 --> 1:21:30.000]  and so we are first and foremost a radio show on TV, so I have to narrate this,
[1:21:30.000 --> 1:21:33.000]  even though I don't do the best job sometimes, believe me, I know that.
[1:21:33.000 --> 1:21:38.000]  So continuing, and we're going to go right to your calls, I'm going to hit this after we take a bunch of calls,
[1:21:38.000 --> 1:21:46.000]  very telling, amid Ukraine-Russia conflict, China's accidentally exposing its own plans for a Taiwan invasion.
[1:21:46.000 --> 1:21:54.000]  And I want to be clear, my sources said Russia and China by late February and I obsessed on China
[1:21:54.000 --> 1:21:59.000]  because I think of them as more powerful and more dangerous and they've infiltrated our government.
[1:21:59.000 --> 1:22:05.000]  I kind of left Russia over on the sidelines and saw that as a side issue because I really found it hard to believe
[1:22:05.000 --> 1:22:09.000]  they were really going to do this, but it's happened, it's on, full scale war.
[1:22:09.000 --> 1:22:20.000]  There is now footage of ships being sunk and on fire in the Black Sea because they're not stopping when they're hailed by the Russian Navy.
[1:22:20.000 --> 1:22:30.000]  So Russia is carrying out the cutoff of all material and energy into Ukraine until they surrender.
[1:22:30.000 --> 1:22:35.000]  And so the people inside those major cities should say we're going to kill the Russians, we're going to fight back,
[1:22:35.000 --> 1:22:44.000]  we're never going to surrender. Remember the majority of the population is at least part Russian or fully Russian.
[1:22:44.000 --> 1:22:52.000]  The Russians are just going to turn off the supplies, including the power, until they capitulate.
[1:22:52.000 --> 1:23:00.000]  And so what's the lesson here? There's several huge lessons here, but I saw a video on CNN that was actually quite helpful
[1:23:00.000 --> 1:23:10.000]  that I'll also get to later in the hour, where the former president is in Kiev, the capital there.
[1:23:10.000 --> 1:23:14.000]  And he's saying, well, there's thousands of us are ready to fight right here in this group,
[1:23:14.000 --> 1:23:20.000]  but we only have a few hundred Kalashnikovs and a couple machine guns and a few missiles.
[1:23:20.000 --> 1:23:27.000]  But we're going to fight. Well, why don't you have all that stuff? Because you don't have a Second Amendment.
[1:23:27.000 --> 1:23:36.000]  And because your military had been looted by the oligarchs working for the West and not actually spending the money to have a defense
[1:23:36.000 --> 1:23:42.000]  because you are a vassal state. And so that's what's going on here. We don't want to be like that.
[1:23:42.000 --> 1:23:48.000]  We want to have our own food, our own water and our guns and know how to use them, not because we're looking for trouble.
[1:23:48.000 --> 1:24:01.000]  But why did Admiral Yamamoto, the supreme commander of the Japanese military say when he got ordered by the emperor to attack Pearl Harbor?
[1:24:01.000 --> 1:24:08.000]  He took the order, didn't question, but went back and told his high command, they put it down, wrote it down on rice paper,
[1:24:08.000 --> 1:24:16.000]  that he said, I fear we have awakened a sleeping giant.
[1:24:16.000 --> 1:24:27.000]  He said, from our intelligence, there is a rifle behind every blade of grass because they finally had a plan to invade.
[1:24:27.000 --> 1:24:36.000]  He knew that wasn't going to work, but they had a plan, talk about politicians giving orders to the military, the military can't fulfill.
[1:24:36.000 --> 1:24:44.000]  Now, the full quote is, I fear all we have done is awaken a sleeping giant and fill him with a terrible resolve.
[1:24:44.000 --> 1:24:52.000]  He went on to say, you cannot invade the mainland America, there will be a rifle behind every blade of grass.
[1:24:52.000 --> 1:24:57.000]  Because it was another Admiral said it, I conflated the two.
[1:24:57.000 --> 1:25:04.000]  So there you go, ladies and gentlemen, and that's the debris between a free society and societies that aren't free.
[1:25:04.000 --> 1:25:10.000]  And when governments, whether it's an outside power like Russia or whether it's the corrupt Australian or New Zealand governments,
[1:25:10.000 --> 1:25:14.000]  when the public is disarmed, they are castrated.
[1:25:14.000 --> 1:25:20.000]  Going back to medieval times, whether you were in Japan or ancient France or ancient England or ancient Ukraine,
[1:25:20.000 --> 1:25:29.000]  only noblemen could have a sword or a knife past a certain length.
[1:25:29.000 --> 1:25:32.000]  Commoners weren't allowed to have longswords.
[1:25:32.000 --> 1:25:34.000]  Commoners weren't allowed to have armor.
[1:25:34.000 --> 1:25:37.000]  Commoners weren't allowed to have chain mail.
[1:25:37.000 --> 1:25:43.000]  Commoners weren't allowed to have axes that had certain size blades that were for battle.
[1:25:43.000 --> 1:25:50.000]  Dogs, if you own dogs in medieval Europe, they would cut off several of the digits of the foot
[1:25:50.000 --> 1:25:55.000]  so that your dog couldn't chase the nobles, rabbits and deer.
[1:25:55.000 --> 1:26:01.000]  You had to feed the dog with whatever meager amount of food you had.
[1:26:01.000 --> 1:26:06.000]  Now, noble dogs, they didn't have part of their feet cut off.
[1:26:06.000 --> 1:26:10.000]  I'm going to go to your calls right now. I appreciate you holding Elaine in Maine.
[1:26:10.000 --> 1:26:12.000]  Thank you so much for joining us.
[1:26:12.000 --> 1:26:14.000]  What is your take and view on all of this?
[1:26:14.000 --> 1:26:16.000]  Thank you.
[1:26:16.000 --> 1:26:19.000]  Thank you, Alex, for having me on.
[1:26:19.000 --> 1:26:24.000]  My take on it is, actually, I agree so much with you.
[1:26:24.000 --> 1:26:27.000]  Everything just bought on.
[1:26:27.000 --> 1:26:30.000]  I don't think I could have said any of it better than you.
[1:26:30.000 --> 1:26:33.000]  I believe you're right on everything.
[1:26:33.000 --> 1:26:38.000]  I think the Ukraine invasion was a theater.
[1:26:38.000 --> 1:26:41.000]  I think it was planned.
[1:26:41.000 --> 1:26:47.000]  I mean, Putin basically walked through Ukraine and took it.
[1:26:47.000 --> 1:26:50.000]  There was no opposition to speak of.
[1:26:50.000 --> 1:26:56.000]  The UN didn't have overhead planes bombing them.
[1:26:56.000 --> 1:26:59.000]  The US didn't go after them.
[1:26:59.000 --> 1:27:08.000]  I mean, the UN sent more planes over to the peaceful convoy,
[1:27:08.000 --> 1:27:11.000]  freedom convoy in Canada,
[1:27:11.000 --> 1:27:19.000]  along with the UN soldiers.
[1:27:19.000 --> 1:27:23.000]  They sent more over there than they did with Ukraine.
[1:27:23.000 --> 1:27:25.000]  Well, that's right. Let's talk about what's happened in Ukraine.
[1:27:25.000 --> 1:27:29.000]  Clearly, the military leadership was bought off before the invasion.
[1:27:29.000 --> 1:27:35.000]  And so ragtag pilots, ragtag tank groups, ragtag militias are fighting
[1:27:35.000 --> 1:27:38.000]  and dying valiantly in the face of the Russians
[1:27:38.000 --> 1:27:40.000]  and actually holding them off in some areas.
[1:27:40.000 --> 1:27:44.000]  And the border guards, they didn't get the memo to surrender,
[1:27:44.000 --> 1:27:46.000]  so they got killed on Snake Island.
[1:27:46.000 --> 1:27:50.000]  And it can only make you admire these hard-fighting good people
[1:27:50.000 --> 1:27:54.000]  who are upset about being invaded by their historic genetic brethren.
[1:27:54.000 --> 1:27:57.000]  But still, you don't want your cousin coming and taking your house over,
[1:27:57.000 --> 1:27:59.000]  even though they're your cousin. It doesn't matter if they're blood.
[1:27:59.000 --> 1:28:04.000]  So, I mean, Russia's got its issues, but the leadership stood down.
[1:28:04.000 --> 1:28:10.000]  And that's why Zelensky's hanging out with the fraud of frauds,
[1:28:10.000 --> 1:28:13.000]  the Hollywood people, and all the rest of it,
[1:28:13.000 --> 1:28:20.000]  because behind the scenes for my sources, Zelensky's actually a double agent working for Putin.
[1:28:20.000 --> 1:28:28.000]  Oh, I wouldn't doubt it. I think the fact that Zelensky was giving an interview
[1:28:28.000 --> 1:28:33.000]  with Sean Penn during the invasion, I think that tells a lot.
[1:28:33.000 --> 1:28:36.000]  Well, it sure does. And the name I was looking for is Sean Penn.
[1:28:36.000 --> 1:28:40.000]  I know Sean Penn, and when he plays the character of the Stoned Idiot
[1:28:40.000 --> 1:28:42.000]  in Fast Times at Ridgemont High, that's who he is.
[1:28:42.000 --> 1:28:44.000]  He probably has a 70 IQ.
[1:28:44.000 --> 1:28:46.000]  Thank you for the call, Elaine. We really appreciate you.
[1:28:46.000 --> 1:28:50.000]  More calls. Here's a few minutes away. I'm going to write your calls. Bang, bang, bang straight ahead.
[1:28:50.000 --> 1:29:16.000]  And so much breaking news, infowars.com.
[1:29:21.000 --> 1:29:24.000]  It's just like you need oxygen. You die in four minutes without oxygen.
[1:29:24.000 --> 1:29:28.000]  You die in five or six days without water. You die in a month without food.
[1:29:28.000 --> 1:29:34.000]  Well, that's because these key minerals and elements and vitamins are in the food that you need.
[1:29:34.000 --> 1:29:39.000]  And one of the most important for your immune system and your overall health is vitamin D3.
[1:29:39.000 --> 1:29:44.000]  We have the highest quality in winter sun with vitamin K that boosts all your body's defenses
[1:29:44.000 --> 1:29:50.000]  available right now for 50% off at infowarstore.com.
[1:29:50.000 --> 1:29:53.000]  Everybody, old, young, black, white, you need vitamin D3.
[1:29:53.000 --> 1:29:57.000]  This is the best quality out there, and it funds the info war 50% off.
[1:29:57.000 --> 1:30:04.000]  Two, life changing, life empowering products are now back in stock.
[1:30:04.000 --> 1:30:08.000]  It's being sold out for months at infowarstore.com.
[1:30:08.000 --> 1:30:12.000]  Winter sun is the highest quality organic vitamin D3 taken under the tongue.
[1:30:12.000 --> 1:30:16.000]  It also has vitamin K, critical fear immune system and so much more.
[1:30:16.000 --> 1:30:21.000]  It's 50% off despite the fact it's going to sell out very, very quickly because everybody needs this.
[1:30:21.000 --> 1:30:25.000]  Old, young, black, white, it doesn't matter. You need what's in winter sun.
[1:30:25.000 --> 1:30:31.000]  And then we have brain force, ultra, super fast acting, amazing, clean,
[1:30:31.000 --> 1:30:37.000]  neutropic system that is a complement to brain force plus and of course, turbo force.
[1:30:37.000 --> 1:30:41.000]  All three of these are different formulas, but all three of them take your mind
[1:30:41.000 --> 1:30:44.000]  and take your focus and clarity and alertness to the next level.
[1:30:44.000 --> 1:30:49.000]  It is 40% off at infowarstore.com for a limited time.
[1:30:49.000 --> 1:30:51.000]  Thank you all for your support.
[1:30:51.000 --> 1:30:54.000]  If you haven't tried these products, you really need to because they are amazing.
[1:30:54.000 --> 1:31:15.000]  infowarstore.com.
[1:31:25.000 --> 1:31:28.000]  This is nothing less than martial law and one big thing you can do to fight back
[1:31:28.000 --> 1:31:32.000]  is to get high quality Faraday cages, many of which are made here in America
[1:31:32.000 --> 1:31:37.000]  and are very compliant, meaning U.S. government military grade at infowarstore.com.
[1:31:37.000 --> 1:31:43.000]  We have the entire line of silent pocket ready to shift to you when you visit infowarstore.com.
[1:31:43.000 --> 1:31:46.000]  Again, we have big backpacks. We have special dry bags.
[1:31:46.000 --> 1:31:50.000]  We've got them for cell phones. We've got them for laptops. We've got them for iPads.
[1:31:50.000 --> 1:31:54.000]  It's all there at infowarstore.com. So, protect your privacy today
[1:31:54.000 --> 1:31:58.000]  and support the infowar at infowarstore.com.
[1:32:01.000 --> 1:32:03.000]  Jacob in Ohio, welcome. Go ahead.
[1:32:03.000 --> 1:32:04.000]  Hey, how's it going, Alex?
[1:32:04.000 --> 1:32:05.000]  Good, bro.
[1:32:05.000 --> 1:32:09.000]  Great last caller. I just wanted to start with plugging your sleep supplement.
[1:32:09.000 --> 1:32:13.000]  It's basically the only way I get to sleep anymore with all the gaslighting,
[1:32:13.000 --> 1:32:17.000]  moralization, and absurdity. It's like we're living in a twilight zone, man.
[1:32:17.000 --> 1:32:20.000]  All right, Eric in New Hampshire. Eric, thanks for calling. Go ahead.
[1:32:20.000 --> 1:32:22.000]  Hey, Alex, thanks for taking my call.
[1:32:22.000 --> 1:32:25.000]  If I could, I just want to throw a quick plug out for the phone of the product.
[1:32:25.000 --> 1:32:28.000]  The X2 does wonders. They recommend it to everybody.
[1:32:28.000 --> 1:32:32.000]  You're on the fence about it. Get off the fence. Get the product. Support the infowar.
[1:32:32.000 --> 1:32:35.000]  Tyler in Maine, you're on the air. Thanks for holding it. Go ahead.
[1:32:35.000 --> 1:32:37.000]  Hey, Alex. It's great to be on with you. It's an honor.
[1:32:37.000 --> 1:32:38.000]  Honored talk to you.
[1:32:38.000 --> 1:32:39.000]  Awesome.
[1:32:39.000 --> 1:32:45.000]  So, first thing I wanted to do was say I love the products, alpha power, even at 29.
[1:32:45.000 --> 1:32:49.000]  She asked my better half. She loves it and it helps in the bedroom.
[1:32:49.000 --> 1:32:51.000]  So, just number one for a few of you.
[1:32:51.000 --> 1:32:53.000]  Well, it definitely works. It's not a joke.
[1:32:53.000 --> 1:33:16.000]  Absolutely.
[1:33:16.000 --> 1:33:30.000]  Another time. In the age of wonder. Another world. Another time.
[1:33:30.000 --> 1:33:35.000]  Slap the screen and look into the crystal.
[1:33:35.000 --> 1:33:40.000]  If you are receiving this transmission, you are the Resistance.
[1:33:40.000 --> 1:33:47.000]  Live from Austin, Texas. Broadcasting worldwide. It's Alex Jones.
[1:33:47.000 --> 1:33:53.000]  We will reconstruct Atlantis. We have reconstructed Atlantis.
[1:33:53.000 --> 1:33:57.000]  And now the war for the future is here.
[1:33:57.000 --> 1:34:00.000]  The power of our source.
