[00:00.000 --> 00:11.520]  You are listening to an Infowars.com frontline report.
[52:44.120 --> 52:49.120]  I know exactly how long it takes to walk to my house because I've walked this room for two years.
[52:49.120 --> 52:56.120]  Sure. So you're saying the official story doesn't add up and over and over and over again. We now know you said you've been a listener a few years. We're talking during the break.
[52:56.120 --> 53:04.120]  I mean, Vegas now, they had met the official stories. Not true. And the guy was a gun runner. Well, we first got that from FBI sources the day after he'd gone to the Middle East.
[53:04.120 --> 53:10.120]  I mean, we're not saying we know exactly what happened. We're just saying we've been lied to and credible sources are telling us that.
[53:10.120 --> 53:22.120]  What does your gut tell you is going on here? Jalen Martin again there at the high school, the majority, Stoneman Douglas High School in Florida.
[53:22.120 --> 53:33.120]  Well, I think my gut's screaming at me right now. Look, look, look for whatever is happening because what's happening, at least what they say is happening isn't really all of it.
[53:33.120 --> 53:45.120]  I think that the Secret Service had some indication weeks ago that something like this was going to happen. So they decided, OK, we need to make up an escape plan for all these kids and stuff like that just in case.
[53:45.120 --> 53:50.120]  But they didn't tell. I don't think they told the teachers either because my teacher would have gave me some indication as to why.
[53:50.120 --> 53:56.120]  Because I asked him, you know, why are they doing all this? Why is the Secret Service here? He was like, I don't know.
[53:56.120 --> 54:05.120]  And I asked him last night, do they have some indication that something might happen? He said they didn't explicitly say anything. So I don't think the teachers knew.
[54:05.120 --> 54:18.120]  My teacher would have at least hinted at it if he was told not to say anything. But this is like, you know, this is like something you really don't expect to happen at your school.
[54:18.120 --> 54:26.120]  Jaylin, in your own words, because you got cut off on the last break, you were getting into your friends coming out, people that knew him as well. I don't want to put words in your mouth.
[54:26.120 --> 54:37.120]  Repeat what you were trying to finish when you talked about people that you talked to seeing multiple shooters as well as we have a lot of witnesses coming forward, more video clips coming up in the next segment if you'll ride shotgun with us a few more minutes.
[54:37.120 --> 54:42.120]  But just briefly, what specifically did your friends and classmates say they thought?
[54:42.120 --> 55:01.120]  Okay, so they said that after the school was clear and everyone was, you know, mostly gone. I don't, I think one of the people I talked to said they talked to, you know, the girls in that video who was my girl in multiple shooters, she said that she was with her.
[55:01.120 --> 55:13.120]  And the weird thing about that is, if she was with her and she heard shots too, this is two people at the same place who heard these shots, but obviously she's getting it done. So I think there's...
[55:13.120 --> 55:20.120]  Jaylin, Jaylin, I know school's off today, but I know you're busy and you've gotten a windy spot and you're walking around outside. So we put you on hold if you can do five more minutes.
[55:20.120 --> 55:25.120]  I want to come back for to get you in a spot where it's audible and we're going to come right back to you. We appreciate your courage.
[55:25.120 --> 55:36.120]  I want to get this clear. I'm having trouble getting the last part. You're crystal clear, more articulate than I am. And most of my other crew around here, when your phone's clear, it's the phone that is being inarticulate here.
[55:36.120 --> 55:44.120]  So we're going to try to get to a spot where the wind is not blowing in the receiver. I haven't even... I'm going to get to it next hour. We put this out on the web from the live show.
[55:44.120 --> 55:53.120]  We'll put the clips on the front and the back of more people coming forward. KPRC, KHOU saying, oh yeah, multiple shooters. You name it.
[55:53.120 --> 56:00.120]  That's all coming up when we come back. I've got a plug though. We're not going to be here. The crew keeps pointing that out to me.
[56:00.120 --> 56:14.120]  We've got 50% off all of the super blue fluoride free toothpaste. Again, ladies and gentlemen, we have 50% off the super high quality fluoride free toothpaste.
[56:14.120 --> 56:24.120]  And it's fortified with colloidal silver. It's fortified with high quality iodine. And we use one of the top firms in the country that produces some of the top lines of organic toothpaste.
[56:24.120 --> 56:30.120]  But I can tell you right now that some of the top lines of organic toothpaste have about 50 cents to a dollar worth of product in them.
[56:30.120 --> 56:41.120]  We put up to $3, depending on the run, because stuff costs different each run, $2 to $3 in each tube. And then when we sell it for 11, 12 bucks, that's a good deal.
[56:41.120 --> 56:47.120]  At 747 at 50% off right now, it's basically a lost leader for us. But I want you to see how great it is.
[56:47.120 --> 56:56.120]  And your purchase does help the broadcast. So the super blue fluoride free mouthwash with colloidal silver and iodine, the super blue toothpaste for adults and children.
[56:56.120 --> 57:03.120]  We have two different types. It's available in additional 10% off when you sign up for auto ship each month or each every two, three months.
[57:03.120 --> 57:11.120]  You can cancel any time and you get an additional 10% off and that way you get it in your mail every 15, 30, 42, 60 or 90 days.
[57:11.120 --> 57:19.120]  InfowarsStore.com, InfowarsLife.com, or triple eight, two, five, three, three, one, three, nine.
[57:19.120 --> 57:25.120]  And a bunch of other big specials are about to end as well. 50% off on the liver and kidney cleanse.
[57:25.120 --> 57:33.120]  Icarin, super high powered, super high quality, only 1995 and 50% off. That's our latest product. I want you to see how great it is.
[57:33.120 --> 57:40.120]  Shell Force Plus, 53% off. That's called DNA Force Plus very soon. And a bunch of other products, those discounts are going to have to end early next week.
[57:40.120 --> 57:49.120]  So take advantage of that and fund a cutting edge organization that will cover the news. The globals don't want you to be aware of.
[57:49.120 --> 57:54.120]  Dr. Group, you developed Living Defense for us. It took you over a year to do it. Why is this so good?
[57:54.120 --> 57:59.120]  Because people are actually waking up to the problem that pretty much scares me the most.
[57:59.120 --> 58:04.120]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system.
[58:04.120 --> 58:12.120]  But right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[58:12.120 --> 58:20.120]  Right now with all the refugees spreading disease around, we have biological warfare going on everywhere. These are all parasites.
[58:20.120 --> 58:22.120]  Tell us about all the stuff I said. There's so many things that are in it.
[58:22.120 --> 58:30.120]  You have the neem in there. You have the organic clove bud, the organic wormwood. I recommend doing a parasite cleanse at least twice a year.
[58:30.120 --> 58:36.120]  All right. Well, I'm glad we've got some back in because I'm going back on it today. It just came back in yesterday, Living Defense, infowarslife.com.
[58:36.120 --> 58:43.120]  And folks, you can't lose. It's full of stuff that's great for your body, period. And you support the broadcast, infowarslife.com.
[58:43.120 --> 58:50.120]  Thank you, Dr. Group, from the Global Healing Center. Thank you so much for all your work, sir, on this great product.
[58:50.120 --> 58:58.120]  You know, I've got some talking points here about caveman from infowarslife.com. But instead of going on those talking points, let me just give you what I've experienced personally.
[58:58.120 --> 59:06.120]  From all the wives, tales, and every culture, we know that the bones have the essence. We know chicken noodle soup is great for people that are sick.
[59:06.120 --> 59:14.120]  Again, in every culture, this has been reported because it works. And there's no way to quantify how strong this is.
[59:14.120 --> 59:23.120]  But the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[59:23.120 --> 59:31.120]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy,
[59:31.120 --> 59:39.120]  this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there. And it's amazing.
[59:39.120 --> 59:44.120]  Find out for yourself today at infowarslife.com, what it can do for your family.
[59:44.120 --> 01:00:02.120]  And again, I want to thank you all for your support. You are funding the Information War in 2018.
[01:00:14.120 --> 01:00:16.120]  It's the Info War.
[01:00:16.120 --> 01:00:19.120]  And now, Alex Jones.
[01:00:19.120 --> 01:00:26.120]  Jaylen Martin is a student at the high school. We've confirmed a student ID who he is, his social media.
[01:00:26.120 --> 01:00:34.120]  And he's telling us that friends of his said they thought there were multiple shooters. There have been weird secret service, SWAT team style drills going on.
[01:00:34.120 --> 01:00:46.120]  A lot of bizarre stuff if you just joined us. But now we've got more clips, not just Alexa Mednick saying that she saw the reported shooter walking along without guns and said, oh, good, it's not you.
[01:00:46.120 --> 01:00:52.120]  We thought it'd be somebody like you. And then, of course, other shots going off while that's happening.
[01:00:52.120 --> 01:01:01.120]  But we have another witness who's unnamed. He was on KPRC Hispanic Youth. We'll find her name saying the same thing. Here's a clip of that.
[01:01:01.120 --> 01:01:10.120]  All the kids to go outside so they can start shooting up. So they start shooting from the first floor up because there's only two exits in the freshman building.
[01:01:10.120 --> 01:01:14.120]  So everybody started running to the other exits, but that's when the shooter and the other shooter started coming up.
[01:01:14.120 --> 01:01:21.120]  And then I thank God to this teacher who opened up her door and all of us. She got shot in the arm trying to open the door.
[01:01:21.120 --> 01:01:26.120]  And then the other teacher, he got shot in the head trying to hit the other students.
[01:01:26.120 --> 01:01:33.120]  It was like an hour. He felt like he was waiting for them. And after all that, we finally got out.
[01:01:33.120 --> 01:01:36.120]  And they started yelling at us to keep focus.
[01:01:36.120 --> 01:01:41.120]  Here's the deal. Full clips coming up next segment after our guest leaves us.
[01:01:41.120 --> 01:01:47.120]  But did you hear multiple people shooting up at them? And that's what the witnesses are saying. And they're so clear.
[01:01:47.120 --> 01:01:53.120]  But notice, I said that was KPRC. It wasn't. That's somebody over the shoulder of KPRC on an iPhone.
[01:01:53.120 --> 01:01:57.120]  So the news isn't putting this out.
[01:01:57.120 --> 01:02:02.120]  We know that KHOU got it, thought it would be on the news, and it didn't.
[01:02:02.120 --> 01:02:08.120]  So the reporter, Matt Muzel, put it out on his Twitter. Here's a clip of that.
[01:02:08.120 --> 01:02:13.120]  They're all in shock. Let me just tell you this. We just spoke with a former student, Aletza Medik.
[01:02:13.120 --> 01:02:21.120]  She actually walked down the hall with the accused shooter, Nicholas Cruz, after she heard shots fired.
[01:02:21.120 --> 01:02:26.120]  She said, hey, Nicholas, this is what she told me on camera. We will have it for a 10 o'clock show.
[01:02:26.120 --> 01:02:30.120]  She said, hey, I just heard shots fired. I'm surprised it wasn't you. Just kidding like that.
[01:02:30.120 --> 01:02:36.120]  And he had his reaction. What? And then they parted ways. She said, I heard more shots after that.
[01:02:36.120 --> 01:02:40.120]  She thinks there was a second shooter. That's the first we've heard of that.
[01:02:40.120 --> 01:02:42.120]  But she believes there was actually a second.
[01:02:42.120 --> 01:02:46.120]  And then that didn't air that night. But he had to put it on his Twitter and we played that clip already, Aletza.
[01:02:46.120 --> 01:02:48.120]  Medik will play it come out in the next segment.
[01:02:48.120 --> 01:02:52.120]  So Jalen Martin, like you said, look, look, look, investigate, investigate, investigate, investigate.
[01:02:52.120 --> 01:02:57.120]  That's what your gut's telling you. But off here, you were just basically saying, yeah, this doesn't add up.
[01:02:57.120 --> 01:03:01.120]  You're going to investigate. You were saying both the other young adults, they're not buying into it.
[01:03:01.120 --> 01:03:06.120]  Recapping what your friends told you about thinking there were multiple shooters like you just heard from that young lady.
[01:03:06.120 --> 01:03:10.120]  Did you recognize her voice?
[01:03:10.120 --> 01:03:16.120]  It's really hard to tell exactly who I was talking to or who I was listening to.
[01:03:16.120 --> 01:03:30.120]  But in terms of what my friends were telling me, I had a friend who I think she said she was walking with, you know, the girl in the previous video who said there were multiple shooters.
[01:03:30.120 --> 01:03:45.120]  She basically was saying like she was walking with her and it was impossible for her to have possibly been only one shooter because she heard shots still while they were all walking.
[01:03:45.120 --> 01:03:52.120]  And, you know, Nick was right there. So the whole thing just doesn't add up to me.
[01:03:52.120 --> 01:03:58.120]  That and the fact that the Secret Service decided to come and change the safety protocol a few weeks ahead.
[01:03:58.120 --> 01:04:01.120]  I think that's pretty suspicious.
[01:04:01.120 --> 01:04:11.120]  And one thing that I also want to say is like the girl in this video just said that there's only two exits, there's only two insurers.
[01:04:11.120 --> 01:04:17.120]  And those stairwells, they have cameras in them.
[01:04:17.120 --> 01:04:19.120]  They clearly should have saw them.
[01:04:19.120 --> 01:04:29.120]  If they don't have someone operating those cameras at all times, they don't need the cameras really in the first place because they're like 3D cameras in each stairwell.
[01:04:29.120 --> 01:04:31.120]  There's two stairwells, so that's like six.
[01:04:31.120 --> 01:04:36.120]  Then within each hallway on each floor, there are like two cameras.
[01:04:36.120 --> 01:04:39.120]  So this is something they should have saw.
[01:04:39.120 --> 01:04:44.120]  I mean, they should have known, OK, this is this kid and OK, I see him running up there.
[01:04:44.120 --> 01:04:48.120]  Jaylen Martin, stay there. We're back in 60 seconds because you know the school.
[01:04:48.120 --> 01:04:53.120]  You're saying exactly what this other young lady was telling local TV and national TV that they didn't decide to air.
[01:04:53.120 --> 01:04:56.120]  But a citizen shot video of the interview. Thank God.
[01:04:56.120 --> 01:04:58.120]  I mean, this is incredible.
[01:05:00.120 --> 01:05:08.120]  Over a year in the making produced by one of the top organic firms in the country that if you want proven studies and documentation.
[01:05:08.120 --> 01:05:13.120]  I speak for hours on the files I have here of what this is proven to do, the ingredients in this.
[01:05:13.120 --> 01:05:21.120]  This is the ultimate immune system boost for this time of year, any time of the year, but immune wall is incredible.
[01:05:21.120 --> 01:05:25.120]  And folks, other formulas that aren't even as good are $70, $80.
[01:05:25.120 --> 01:05:26.120]  It's a great deal at $39.
[01:05:26.120 --> 01:05:31.120]  Immune wall, beta-glucans, olive leaf, and so much more.
[01:05:31.120 --> 01:05:32.120]  It is concentrated.
[01:05:32.120 --> 01:05:34.120]  You need to go read what is in here.
[01:05:34.120 --> 01:05:41.120]  The mushroom blend of the most expensive, highest quality mushrooms that just incredibly accelerate a citrus peel blend.
[01:05:41.120 --> 01:05:43.120]  I mean, this is the next level.
[01:05:43.120 --> 01:05:45.120]  It's now available, ladies and gentlemen, immune wall.
[01:05:45.120 --> 01:05:47.120]  I think it's beyond seasonal.
[01:05:47.120 --> 01:05:49.120]  Beta-glucan, olive leaf, and more.
[01:05:49.120 --> 01:06:06.120]  Immune wall, m4store.com, m4slive.com, or triple-A, 2533139.
[01:06:06.120 --> 01:06:15.120]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:06:15.120 --> 01:06:21.120]  Rallying Patriots worldwide.
[01:06:21.120 --> 01:06:30.120]  You're listening to the Alex Jones Show.
[01:06:30.120 --> 01:06:37.120]  Listeners and viewers, everybody watching right now has to call their neighbors, their friends, their family.
[01:06:37.120 --> 01:06:40.120]  You've got to get the articles off infowars.com.
[01:06:40.120 --> 01:06:45.120]  You've got to get them out to all the local media, particularly in Florida.
[01:06:45.120 --> 01:06:50.120]  And just demand that citizen journalists get down there on the ground.
[01:06:50.120 --> 01:07:00.120]  We should send reporters as well because we have Jalen Martin, a senior at Majority Stoneman Douglas High School,
[01:07:00.120 --> 01:07:03.120]  about 40 minutes north of Miami, Florida.
[01:07:03.120 --> 01:07:07.120]  You have 17 dead, more than 20 others seriously wounded.
[01:07:07.120 --> 01:07:15.120]  You've got what looks like an autistic young man who was highly suggestible, would do whatever he was told,
[01:07:15.120 --> 01:07:18.120]  could hardly even talk, would blow up at people for no reason.
[01:07:18.120 --> 01:07:28.120]  With his folks dead, friends saying he was on psychotropic drugs working at the local Dollar Store, Dollar Tree Store,
[01:07:28.120 --> 01:07:38.120]  and that they had both exits covered and were shooting everybody trying to get out as they went up
[01:07:38.120 --> 01:07:42.120]  and the teachers would open the doors and they would be shot.
[01:07:42.120 --> 01:07:47.120]  That is serious intel and it's not KPRC reporting it.
[01:07:47.120 --> 01:07:52.120]  It's a person with a cell phone recording what the local news is all being told
[01:07:52.120 --> 01:08:01.120]  and only KHOU 11 talking to a whole other young woman, Alexa Mednick, saying the exact same thing
[01:08:01.120 --> 01:08:07.120]  and she knew him and said there are shots going off down the hall on the other side and there he is.
[01:08:07.120 --> 01:08:10.120]  He doesn't have a weapon because he says, oh, it wasn't him.
[01:08:10.120 --> 01:08:12.120]  Shots are going off.
[01:08:12.120 --> 01:08:15.120]  She says, oh, I thought it would be somebody like you.
[01:08:15.120 --> 01:08:20.120]  And then local KHOU reporter live says, coming up, I'm going to have this for you on the news.
[01:08:20.120 --> 01:08:22.120]  I got the interview and then they don't put it out.
[01:08:22.120 --> 01:08:27.120]  He puts it out on his Twitter and I was saying earlier, it looks like they didn't want people to see that.
[01:08:27.120 --> 01:08:33.120]  They got told, well, now we've got KPRC with a Hispanic high school student
[01:08:33.120 --> 01:08:40.120]  who's playing it all out exactly what happened about how they're pinned down from both ends,
[01:08:40.120 --> 01:08:46.120]  being pushed up into the building and being killed, waiting for the police to get there.
[01:08:46.120 --> 01:08:52.120]  Unbelievable. And you think, you look at this young girl, we don't know her name
[01:08:52.120 --> 01:08:56.120]  because the news wouldn't air the interview, a citizen caught part of it.
[01:08:56.120 --> 01:09:03.120]  She looks absolutely 100% credible, telling you exactly what happened in a firsthand energy,
[01:09:03.120 --> 01:09:07.120]  just like Alexa Mednick is as well.
[01:09:07.120 --> 01:09:15.120]  And then we've got Jalen Martin being told this by other people that were there watching Alexa Mednick talk
[01:09:15.120 --> 01:09:22.120]  to the reported sole shooter, Nick Cruz.
[01:09:22.120 --> 01:09:29.120]  This is stinking to high heaven because the Orlando nightclub shooter was an FBI informant
[01:09:29.120 --> 01:09:32.120]  and part of a multinational security force.
[01:09:32.120 --> 01:09:35.120]  And there had been reports he was planning something and nothing was done
[01:09:35.120 --> 01:09:39.120]  and then his dad was involved in all this weirdness and all this other weird crap
[01:09:39.120 --> 01:09:43.120]  and showed up at Hillary speeches and then was connected into all these other groups
[01:09:43.120 --> 01:09:48.120]  and then you've got the same thing with Patek and our hostage rescue team sources saying
[01:09:48.120 --> 01:09:54.120]  he went to the Middle East, he's a gun runner and then all that comes out months after we tell you exclusively.
[01:09:54.120 --> 01:09:57.120]  The media will say, Joan says no shooting happened.
[01:09:57.120 --> 01:09:59.120]  I am not saying that a shooting did happen.
[01:09:59.120 --> 01:10:04.120]  I'm saying the eyewitnesses, they don't want you to hear are on air right now.
[01:10:04.120 --> 01:10:07.120]  So we're going back for final statements from Jalen Martin and he can call in,
[01:10:07.120 --> 01:10:11.120]  we've got his number, some of the producers line with any breaking news today, tomorrow, next week.
[01:10:11.120 --> 01:10:13.120]  We really appreciate him helping us.
[01:10:13.120 --> 01:10:17.120]  We've confirmed his identity, have his student ID all of it.
[01:10:17.120 --> 01:10:19.120]  Let's play this clip.
[01:10:19.120 --> 01:10:21.120]  I'm going to play the whole thing coming up just a couple minutes long.
[01:10:21.120 --> 01:10:23.120]  This is what KPRC would in there.
[01:10:23.120 --> 01:10:26.120]  It's over the shoulder of KPRC while they're talking to one of the survivors
[01:10:26.120 --> 01:10:32.120]  who saw, talk about riveting footage, riveting interview, our teacher shot in the head
[01:10:32.120 --> 01:10:36.120]  as they're trapped by wolves coming in a pincer attack, multiple shooters.
[01:10:36.120 --> 01:10:37.120]  Here it is.
[01:10:37.120 --> 01:10:41.120]  All the kids to go outside so they can start shooting up.
[01:10:41.120 --> 01:10:46.120]  So they start shooting from the first floor up because there's only two exits in the freshman building.
[01:10:46.120 --> 01:10:51.120]  So everybody started running to the other exit, so that's when the shooter and the other shooter started coming up.
[01:10:51.120 --> 01:10:55.120]  So everybody, and then I thank God to this teacher who opened up her door and like all of us,
[01:10:55.120 --> 01:10:58.120]  she got shot in the arm trying to open the door.
[01:10:58.120 --> 01:11:02.120]  And then the other teacher, he got shot in the head trying to cut the other students.
[01:11:02.120 --> 01:11:07.120]  And it was like an hour, like it felt like years waiting for them.
[01:11:07.120 --> 01:11:11.120]  And after all that, we finally got out and like they started yelling at us
[01:11:11.120 --> 01:11:14.120]  to keep focus and pay attention ahead, the army.
[01:11:14.120 --> 01:11:17.120]  Because they didn't want us to see the bodies that they hid in the corners.
[01:11:17.120 --> 01:11:20.120]  And we're putting match over them so we wouldn't see them.
[01:11:20.120 --> 01:11:21.120]  Let's stop right here.
[01:11:21.120 --> 01:11:24.120]  This is all coming together now with sickening detail.
[01:11:24.120 --> 01:11:27.120]  And I keep saying majority because I'm going from memory.
[01:11:27.120 --> 01:11:32.120]  Marjorie Stoneman Douglas High School, ladies and gentlemen,
[01:11:32.120 --> 01:11:35.120]  what I've been saying for months, the left keeps saying,
[01:11:35.120 --> 01:11:40.120]  if you release the memo exposing FBI corruption and Justice Department corruption,
[01:11:40.120 --> 01:11:43.120]  they'll be massacres.
[01:11:43.120 --> 01:11:46.120]  And I've said all they've got left is a false flag card.
[01:11:46.120 --> 01:11:47.120]  Let's get Matt Bracken on.
[01:11:47.120 --> 01:11:50.120]  We said that last Friday over and over again.
[01:11:50.120 --> 01:11:53.120]  And we said attacks on schools, attacks on minorities.
[01:11:53.120 --> 01:11:57.120]  They'll have the perfect white supremacist cut out.
[01:11:57.120 --> 01:12:01.120]  An autistic person that was highly suggestible and now reports of all these other shooters.
[01:12:01.120 --> 01:12:08.120]  Leader of white nationalist group confirms Florida shooting suspect is member of his organization.
[01:12:08.120 --> 01:12:12.120]  So we've got the left trying to cause race war in this country.
[01:12:12.120 --> 01:12:16.120]  And now the suspect in Florida shooting was reportedly a member of white supremacist group.
[01:12:16.120 --> 01:12:22.120]  Representative of the Republic of Florida organization called multiple outlets that suspect Nicholas Cruz was a member.
[01:12:22.120 --> 01:12:25.120]  The group wants Florida to become a white ethno state.
[01:12:25.120 --> 01:12:31.120]  Jonathan Jerb told the Associated Press that Mr. Cruz had participated in paramilitary drills.
[01:12:31.120 --> 01:12:33.120]  So this is really getting crazy.
[01:12:33.120 --> 01:12:37.120]  Jalen Martin, thank you for all your time and interest and courage today.
[01:12:37.120 --> 01:12:43.120]  What do you make of this latest development with what we were just breaking down?
[01:12:43.120 --> 01:12:48.120]  I think this is, there has to be white, for sure, a second shooter.
[01:12:48.120 --> 01:12:52.120]  I think they need to keep investigating that.
[01:12:52.120 --> 01:13:01.120]  They shouldn't just put this under the rug as some other, you know, school shooting where there was a lone gunman and then everyone's up in harm's thing.
[01:13:01.120 --> 01:13:04.120]  Hey, we need gun control. Everyone needs to take the guns away.
[01:13:04.120 --> 01:13:15.120]  That's why I said, I was talking to this guy, you know, near the school and he was telling me, you know, these teachers, they would be able to protect the students.
[01:13:15.120 --> 01:13:18.120]  Have they just had the ability to fight back?
[01:13:18.120 --> 01:13:25.120]  He said, when you have a gun and you're going against someone who's trying to shoot you, you're equalizing the balance of power.
[01:13:25.120 --> 01:13:34.120]  That's exactly what needs to happen because you see there's a teacher laying on the floor on one video that I saw with blood everywhere and the teachers are in the center walking out.
[01:13:34.120 --> 01:13:47.120]  This type of stuff could have been completely, maybe not stopped, but diminished quite a bit. I had a teacher out of gun in that building and they were able to shoot back and kill him.
[01:13:47.120 --> 01:13:51.120]  Kill him or wound him.
[01:13:51.120 --> 01:14:04.120]  And as far as new news coming out, I mean, I don't really know right now. I'm about to look up some more stuff and talk to more people.
[01:14:04.120 --> 01:14:11.120]  But my neighbor, she got shot and she's in the hospital. I'm hoping she's okay.
[01:14:11.120 --> 01:14:22.120]  Yeah, because I noticed last night when I came home that her parents went there and one of her brothers opened the door and was like, hey, she got shot.
[01:14:22.120 --> 01:14:31.120]  Well, Jalen, our prayers go out to everybody. You've already got a YouTube channel. Go shoot reports with witnesses. Upload them. You can be an InfoWars reporter right now.
[01:14:31.120 --> 01:14:41.120]  And so, I mean, let's get you on board. You're there. We appreciate your courage and your thoughtful coverage of all this. And so please get out there.
[01:14:41.120 --> 01:14:54.120]  Interview as many eyewitnesses as you can because you see multiple news channels not wanting to air the reports of multiple shooters despite the fact that reporters are pushing for that. What do you make of that?
[01:14:54.120 --> 01:15:03.120]  I think this idea of hiding what is true and what is likely true is just something that has become normal nowadays.
[01:15:03.120 --> 01:15:13.120]  I think that once they are out there, they don't want to have to say something that contradicts what they've already said because they don't want to have that fake news moniker even though they've already taken it.
[01:15:13.120 --> 01:15:20.120]  They just might as well just go ahead and correct it and get the truth instead of trying to hide on a lie and not make it seem like, hey, then we'll hide about something.
[01:15:20.120 --> 01:15:32.120]  I think what needs to happen is the truth needs to come out. They need to set it free. And I think when that happens, maybe the mainstream media will understand that, okay, maybe we can start telling the truth about some other thing.
[01:15:32.120 --> 01:15:40.120]  All right. Well, Jaylen, we're glad you and others survived. Our prayers go with you and all the wounded and the dead and, of course, the families.
[01:15:40.120 --> 01:15:50.120]  But wow, we said the perfect false flag would be a white nationalist attacking a multicultural school as a way to make the leftists all look like victims and bring in gun control and a war on America's recovery.
[01:15:50.120 --> 01:15:57.120]  And now right on time, what we've been warning of, their main card, the thing we said was imminent. It appears with all the evidence has happened.
[01:15:57.120 --> 01:16:03.120]  Here's a special message for those of you who owe the IRS at least 10,000 or more in back taxes.
[01:16:03.120 --> 01:16:15.120]  The IRS has special programs in place that could eliminate or reduce your tax debt by thousands of dollars. Call the federal tax management helpline that has been set up for you, 800-503-8625.
[01:16:15.120 --> 01:16:23.120]  Stop the wage garnishments, levies and tax liens now. Once you've qualified and enrolled, the IRS will stop all the collection activities against you.
[01:16:23.120 --> 01:16:34.120]  These unique programs have been allocated to help the economy and significantly reduce or eliminate your tax burden. The IRS is currently accepting reduced settlements and other favorable programs.
[01:16:34.120 --> 01:16:44.120]  You may qualify for substantial savings, so get the help you need. If you owe more than 10,000 in taxes, call for free information and to see if you qualify.
[01:16:44.120 --> 01:16:53.120]  Take down the number now for the federal tax management hotline, 800-503-8625. That's 800-503-8625.
[01:16:53.120 --> 01:16:57.120]  800-503-8625.
[01:16:57.120 --> 01:17:05.120]  One out of four people listening to my voice right now could die from heart disease. This could be your last year and you don't even know it because you don't know the early warning signs.
[01:17:05.120 --> 01:17:13.120]  If you think you're safe because your cholesterol levels are normal, think again because studies show that 75% of heart attack patients also had normal cholesterol levels.
[01:17:13.120 --> 01:17:19.120]  Let me introduce you to Strauss Heart Drops, a world-famous heart and brain formula made in Canada.
[01:17:19.120 --> 01:17:23.120]  It's time-tested and will give you clinical results in 90 days or your money back.
[01:17:23.120 --> 01:17:45.120]  Learn more at scienceofheartdisease.com. They are shipping free this month.
[01:17:53.120 --> 01:17:58.120]  The World Leader in Fallout Shelters
[01:18:23.120 --> 01:18:28.120]  The World Leader in Fallout Shelters
[01:18:53.120 --> 01:18:58.120]  The World Leader in Fallout Shelters
[01:19:24.120 --> 01:19:30.120]  It's not a prescription but they were charging people $100, $200 for the formula.
[01:19:30.120 --> 01:19:40.120]  I came up with a formula working with scientists and developers, non-GMO made in America, 120 capsules
[01:19:40.120 --> 01:19:51.120]  and you add the preglonone which is the precursor to the hormones that your body has to have to make in your glands. It is amazing!
[01:19:51.120 --> 01:19:57.120]  Redpilt, now available at m4warstore.com and your purchase, fugs the operation.
[01:20:01.120 --> 01:20:05.120]  You're listening to the Alex Jones show.
[01:20:05.120 --> 01:20:30.120]  You are listening to an infowars.com frontline report. If you are receiving this transmission, you are the resistance.
[01:20:30.120 --> 01:20:50.120]  Ladies and gentlemen, I can now officially say that it's about a 90% chance that the Florida event at the Marjorie Stoneman Douglas High School that's killed 17 people and injured over 20 is a deep state false flag operation.
[01:20:50.120 --> 01:21:08.120]  We have multiple news reports of credible witnesses saying they saw the supposed shooter unarmed walking down the hall while shooting was going on down the building and that people were pinned on both exits being driven up into the third floor being shot who witnessed teachers being killed.
[01:21:08.120 --> 01:21:18.120]  We have video of the news stations doing the interviews, people shot cell phone footage, but that didn't air from KPRC and others.
[01:21:19.120 --> 01:21:28.120]  KHOU that was there covering baseball, they interviewed people, but it didn't air on the news. The reporter put it out on his Twitter.
[01:21:28.120 --> 01:21:38.120]  What did I say a month ago? What did I say last week? What did I say when Matt Bracken counterterrorism expert was on? Just what was it Friday? I said, you watch.
[01:21:39.120 --> 01:21:44.120]  The only card the globalists have to derail our nationalism is what's in the WikiLeaks, race war.
[01:21:44.120 --> 01:21:58.120]  And just like there was clear credible evidence that they knew about what happened with the fellow a few years ago, the idiot scumbag that went and shot the nine people at the black church, Dylan Roof,
[01:21:59.120 --> 01:22:11.120]  that an event like that is exactly what the globalists would do imminently to try to create racial division in this country and derail the nation and the fact that black unemployment is at record low levels and the rest of it.
[01:22:11.120 --> 01:22:20.120]  And now you've got all these witnesses we just had on high school seniors like Jalen Martin and others that say nobody's buying the official story.
[01:22:21.120 --> 01:22:26.120]  They had weird SWAT team drills there in the weeks before. The teachers think there's something going on.
[01:22:27.120 --> 01:22:32.120]  You've got the police and everybody showing up right as the shooting starts.
[01:22:32.120 --> 01:22:49.120]  It's incredible. And then leader of white nationalist group right on time. Most of these things are fed run confirms Florida shooting suspect is member of his organization and that they did paramilitary training together.
