[00:00:00.049 --> 00:00:00.409]  Firearms!
[00:24:36.314 --> 00:24:40.877]  Last time I checked, we were 30-something in the world in every major category.
[00:24:40.877 --> 00:24:41.338]  We are
[00:24:42.159 --> 00:24:43.800]  Basically falling apart.
[00:24:43.800 --> 00:25:01.811]  And so you witness all these arrogant, greedy, self-centered people who have no morals, no moral compass, no value in ideas or information or their family name, any of this, outside of Walmart, wanting the deals so bad
[00:25:02.654 --> 00:25:23.753]  That they, you know, wanting to pray at the altar of cheap Chinese slave goods so bad that they trampled this guy to death and then didn't care and refused to quit shopping and then police had to go in en masse and remove them as they were greedily still trying to line up at cash registers to buy the goods.
[00:25:26.374 --> 00:25:30.555]  If that isn't a testament to what's happened to this country, I don't know what it is.
[00:25:30.555 --> 00:25:41.317]  Why have we gone from being the most informed, the most active, go-getters, people who loved our Bill of Rights, our Constitution, to a nation of individuals that could care less about each other?
[00:25:41.317 --> 00:25:51.279]  And that's what it is, and it's not just poor folks wanting to rush into a Walmart and buy these slave goods that are de-industrializing the rest of our economy.
[00:25:51.279 --> 00:25:53.759]  Everything else is in the toilet, Walmart's profits are up.
[00:25:55.285 --> 00:25:57.446]  It's the sinking to the bottom here.
[00:25:57.446 --> 00:25:58.406]  It's the yuppies.
[00:25:58.406 --> 00:25:59.667]  It's the well-to-do people.
[00:25:59.667 --> 00:26:05.169]  It's the middle class, the upper middle class, the nouveau riche, full of themselves, arrogant.
[00:26:05.169 --> 00:26:07.310]  Won't talk to anybody outside of their class.
[00:26:07.310 --> 00:26:09.251]  Won't get involved in politics.
[00:26:09.251 --> 00:26:11.052]  Won't get involved in being informed.
[00:26:11.052 --> 00:26:16.934]  Won't say anything political that's politically incorrect on the liberal or conservative side.
[00:26:16.934 --> 00:26:18.335]  Politically neutralized.
[00:26:19.412 --> 00:26:21.113]  That's why the country is falling apart.
[00:26:21.113 --> 00:26:26.156]  We have a nation of people that don't talk to their neighbors, that aren't involved in their communities.
[00:26:26.156 --> 00:26:33.260]  All they do is watch the glowing television set every night and wring their hands over the BCS rankings.
[00:26:33.260 --> 00:26:35.582]  Oh my gosh, who is going to be number one?
[00:26:35.582 --> 00:26:37.403]  How are the coaches voting?
[00:26:37.403 --> 00:26:40.585]  I mean, just grown men calling into all these sports shows.
[00:26:40.585 --> 00:26:41.766]  It's fine to watch sports.
[00:26:41.766 --> 00:26:43.226]  It's fine to be into them.
[00:26:43.226 --> 00:26:45.508]  But to get angry and to be threatening and
[00:26:46.128 --> 00:27:04.353]  Call into talk shows and say this person I'd like to beat the daylights out of that, you know running back He didn't catch the pass or that receiver or oh my gosh UT really deserves the number one ranking You've got your priorities totally screwed up and on the other hand we have these wicked social engineers
[00:27:06.010 --> 00:27:21.976]  The social architects, the behavioral psychologists, the Madison Avenue PR masters running our culture, showing us since the 50s millions and millions of simulated murders and deaths on television to where people don't even get upset now when they see their fellow humans dying or being killed.
[00:27:21.976 --> 00:27:27.598]  And just like the people at Walmart stampeding in didn't care that they killed the guy and they just wanted their goods,
[00:27:28.607 --> 00:27:40.416]  Just like they didn't have any empathy for him, no one's going to have empathy for them when they lose their house, or they lose their job, or the CPS kidnaps their children, or the police beat them up at a checkpoint.
[00:27:40.416 --> 00:27:43.838]  Nobody's going to care about the cop when bad things happen to them.
[00:27:43.838 --> 00:27:46.060]  It is a society terminally corrupt.
[00:27:46.060 --> 00:27:49.362]  You know, Americans are only 4% of the world's population.
[00:27:49.362 --> 00:27:50.803]  4%.
[00:27:50.803 --> 00:27:56.287]  Americans are only 4% of the population, but we had, not anymore, we had half the wealth on the planet.
[00:27:56.287 --> 00:27:56.988]  And why was that?
[00:27:58.052 --> 00:28:02.896]  Other countries were vicious and greedy and aggressive and war-like.
[00:28:02.896 --> 00:28:04.017]  We were too.
[00:28:04.017 --> 00:28:14.145]  But it was because we were more moral, at least with each other, and people greedily guarded their liberties and freedoms, and then out of that came the milk and honey.
[00:28:14.145 --> 00:28:15.887]  Out of that came the great economy.
[00:28:15.887 --> 00:28:23.253]  And now the social engineers have taught us with shows like 24 and CSI and all these programs that torture is good if it gets answers.
[00:28:23.253 --> 00:28:24.714]  That secret arrest is good.
[00:28:25.394 --> 00:28:26.955]  That tyranny is good.
[00:28:26.955 --> 00:28:28.035]  That war is good.
[00:28:28.035 --> 00:28:30.696]  People make jokes about, let's just nuke all the Arabs.
[00:28:30.696 --> 00:28:32.516]  Let's just nuke all the Muslims.
[00:28:32.516 --> 00:28:36.957]  So what if a million and a half Iraqis have been killed in the five and a half years of occupation?
[00:28:36.957 --> 00:28:38.618]  And over a million before that.
[00:28:38.618 --> 00:28:39.878]  This has been going on for 18 years, since 1991.
[00:28:39.878 --> 00:28:42.159]  Late 1990 actually, with Desert Shield.
[00:28:47.549 --> 00:28:49.650]  You see, you don't care about those Arabs.
[00:28:49.650 --> 00:28:51.391]  You don't care about those Muslims.
[00:28:51.391 --> 00:28:53.732]  You don't care about those people over there.
[00:28:53.732 --> 00:28:56.534]  You say, just nuke them and turn them all into a glass parking lot.
[00:28:56.534 --> 00:29:01.236]  Well, I assure you, the elite running this country don't care about you either.
[00:29:01.236 --> 00:29:04.418]  And that's why they've stolen $7.8 trillion.
[00:29:04.418 --> 00:29:06.959]  That's Bloomberg and AP and Reuters.
[00:29:06.959 --> 00:29:09.240]  It's up on PrisonPlanet.com right now.
[00:29:09.240 --> 00:29:12.322]  In the News and Focus section on the right-hand side, PrisonPlanet.com.
[00:29:12.922 --> 00:29:23.734]  They have stolen, and the banks are taking our money, and they're using it to buy up what's left of our infrastructure, what's left of our ports, and railways, and stores, and media.
[00:29:23.734 --> 00:29:24.375]  See?
[00:29:24.375 --> 00:29:26.017]  So you don't care about other people in the world?
[00:29:26.017 --> 00:29:27.118]  You don't care about your neighbor?
[00:29:27.118 --> 00:29:28.620]  Nobody cares about you either.
[00:29:28.620 --> 00:29:30.101]  And then we're all alone.
[00:29:30.101 --> 00:29:30.662]  Stay with us.
[00:29:31.082 --> 00:29:33.524]  The holidays are right around the corner.
[00:29:33.524 --> 00:29:41.049]  The crowds, the countless hours in traffic, finding a parking spot just to buy a gift you're worried they might not like anyway.
[00:29:41.049 --> 00:29:46.093]  How about surprising your loved ones with a gift they can use every day of the year?
[00:29:46.093 --> 00:29:48.975]  Give the gift of safety with security products from
[00:29:49.155 --> 00:29:50.495]  Pepperspray.com.
[00:29:50.495 --> 00:30:00.258]  Pepperspray.com carries the largest assortment of pepper spray and other personal safety devices on the web for your spouse, your children, your co-workers, and more!
[00:30:00.258 --> 00:30:08.341]  When you purchase the perfect gift from Pepperspray.com, you'll receive 10% off just by using the coupon code GCN.
[00:30:08.341 --> 00:30:14.943]  What better way to say Merry Christmas than giving the priceless gift of safety and security from Pepperspray.com?
[00:30:15.543 --> 00:30:17.944]  Stop now at Pepperspray.com or call 1-800-908-9988.
[00:30:17.944 --> 00:30:18.524]  That's 1-800-908-9988.
[00:30:18.524 --> 00:30:21.826]  Pepperspray.com wishes you and yours a safe and happy holiday season!
[00:30:31.354 --> 00:30:34.736]  Fuel prices are up and down, biting into everyone's budget.
[00:30:34.736 --> 00:30:38.537]  If you're ready to start saving at the pump, Fuel Saver technologies can help.
[00:30:38.537 --> 00:30:46.621]  With a small squeeze of our fuel conditioner in your gas tank, more of each gallon of fuel will combust, improving your fuel economy 10 to 20% or more.
[00:30:46.621 --> 00:30:52.064]  Completely safe for all engines, gas or diesel, we guarantee that your savings will exceed the cost of our product.
[00:30:52.524 --> 00:30:58.868]  Our fuel additive reduces the emissions and maintenance costs and reduces the friction of engine moving parts.
[00:30:58.868 --> 00:31:05.353]  Our 2 ounce consumer squeeze bottle costs only $8 and treats 100 gallons of gasoline or 50 gallons of diesel.
[00:31:05.353 --> 00:31:11.537]  If you buy a case of 16 or 32 bottles, the price drops to $6 a bottle and we'll ship it to you for free.
[00:31:11.537 --> 00:31:12.298]  Call us.
[00:31:12.298 --> 00:31:12.838]  Toll free.
[00:31:13.038 --> 00:31:15.661]  Call 866-768-7811 or look online at FuelSaberINC.com.
[00:31:15.661 --> 00:31:16.823]  Start saving on fuel today!
[00:31:16.823 --> 00:31:17.023]  866-768-7811.
[00:31:17.023 --> 00:31:17.784]  Online.
[00:31:17.784 --> 00:31:18.945]  FuelSaberINC.com.
[00:31:18.945 --> 00:31:20.747]  Spend a little and save a lot!
[00:31:30.419 --> 00:31:33.963]  The United States is bankrupt and the bankers want you bankrupt also.
[00:31:33.963 --> 00:31:36.426]  How would you like to be debt free in 90 days?
[00:31:36.426 --> 00:31:37.487]  Guaranteed!
[00:31:37.487 --> 00:31:44.075]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[00:31:45.236 --> 00:31:46.016]  We're good to go.
[00:32:06.627 --> 00:32:07.608]  Thanks for watching.
[00:32:30.098 --> 00:32:34.060]  Drinking a chlorophyll-rich beverage has been found to benefit your entire body.
[00:32:34.060 --> 00:32:42.463]  AlkaVision GreenShield Green Drink is a specifically formulated nutritional supplement, which provides many nutritional elements that are missing from our modern diet.
[00:32:42.463 --> 00:32:46.724]  GreenShield helps neutralize acid in your body and maintains a healthy pH balance.
[00:32:46.724 --> 00:32:52.727]  And having the proper pH balance has been known to balance blood sugar levels, something we can all benefit from.
[00:32:52.727 --> 00:32:56.208]  GreenShield combines the perfect blend of powerful whole food vegetables,
[00:32:56.528 --> 00:33:04.150]  Immune-boosting herbs and grasses, Green Shield does not contain algae, mushrooms or fungi, has no preservatives, artificial colors or flavors.
[00:33:04.150 --> 00:33:07.011]  The powder mixes easily with water and tastes great.
[00:33:07.011 --> 00:33:13.033]  Drinking Green Shield strengthens the immune system and boosts energy, relieves fatigue and stress without the use of stimulants.
[00:33:13.033 --> 00:33:17.535]  Order your AlkaVision Green Shield Green Drink now by going directly to AlkaVision.com.
[00:33:17.535 --> 00:33:21.116]  That's AlkaVision.com today!
[00:33:21.116 --> 00:33:21.596]  Or call 269-344-3420.
[00:33:25.097 --> 00:33:26.599]  That's 269-344-3420 today.
[00:33:26.599 --> 00:33:32.204]  Thank you for listening to GCN.
[00:33:32.204 --> 00:33:41.672]  Visit GCNlive.com today.
[00:33:41.672 --> 00:33:46.597]  All right, folks, we're back live.
[00:33:46.597 --> 00:33:49.800]  Thank you so much for joining us today.
[00:33:50.740 --> 00:33:58.487]  I want to go to your phone calls, and I've got a lot of other really important news that we're going to be covering as well.
[00:33:58.487 --> 00:34:02.411]  Like what really happened in India, in Mumbai.
[00:34:02.411 --> 00:34:11.819]  Oh yes, it is a staged terror attack, but a more sophisticated type attack, not a purely state-sponsored attack.
[00:34:11.819 --> 00:34:16.984]  The Pakistani government is basically coming out with the same analysis that I put out Friday.
[00:34:18.019 --> 00:34:23.201]  The Russian government is saying the same thing, and so later we'll be getting into that.
[00:34:23.201 --> 00:34:27.902]  You see, Pakistani intelligence was set up by the British, British intelligence.
[00:34:27.902 --> 00:34:31.263]  This is mainline history, ISI.
[00:34:31.263 --> 00:34:39.465]  And the ISI was allowed to then get nuclear weapons through the United States, Israel, and Britain.
[00:34:39.465 --> 00:34:40.686]  That's right, Google.
[00:34:40.686 --> 00:34:41.446]  The U.S.
[00:34:41.446 --> 00:34:41.666]  helped
[00:34:42.600 --> 00:34:48.666]  Pakistan get nukes, or Google Israel help them get nukes, you'll get BBC, you'll get AP, you'll get Reuters.
[00:34:48.666 --> 00:34:59.557]  Going back about 15 years ago, back when Bill Clinton first got into office, and then right through George Bush, the outgoing president.
[00:34:59.557 --> 00:35:03.061]  Because these guys are just puppets and carry out what their globalist masters tell them.
[00:35:03.061 --> 00:35:05.363]  Why would the globalists want to give nukes to Pakistan?
[00:35:06.744 --> 00:35:14.328]  Well, because they want to have a strategy of tension and have India and Pakistan at each other's throats over the disputed Kashmir region.
[00:35:14.328 --> 00:35:16.950]  Now, something happened.
[00:35:16.950 --> 00:35:30.137]  There was another coup in the West put in Perez Musharraf eight years ago, and then about nine months ago he was finally thrown out as basically a dictator, and they did elect a government.
[00:35:30.137 --> 00:35:36.120]  And that government said, by the way, these terrorist forces that are in our country, they were trained in Afghanistan,
[00:35:37.280 --> 00:35:39.702]  In the 1970s and 80s to fight the Russians.
[00:35:39.702 --> 00:35:41.123]  They work for British and U.S.
[00:35:41.123 --> 00:35:42.104]  intelligence.
[00:35:42.104 --> 00:35:44.145]  We want them out!
[00:35:44.145 --> 00:35:57.755]  And those very same radical forces in the last nine months, since a new government's been in power, have bombed the government buildings, have bombed government meetings, have blown up hotels, have tried to kill the Pakistani government!
[00:35:58.749 --> 00:36:23.278]  Remember, in the last nine months, every week or two, hearing about huge bombings in Pakistan, where the Taliban, where Al-Qaeda was trying to kill the Pakistani government, and then our government, Bush, and now Obama, get up on the news and claim Pakistan, the government, is working with the very people that are attacking them, trying to kick them out?
[00:36:23.278 --> 00:36:26.859]  See, the ISI works for the Western intelligence.
[00:36:28.459 --> 00:36:37.583]  The ISI is staging terror attacks trying to topple the Pakistani government so the United States has a pretext to come into Pakistan.
[00:36:37.583 --> 00:36:43.806]  Now, what have I been saying the last month since Joe Biden came out and said there will be a big international test for Obama?
[00:36:43.806 --> 00:36:44.926]  People said, what's he talking about?
[00:36:44.926 --> 00:36:45.407]  Economic?
[00:36:45.407 --> 00:36:46.947]  What's he... I said, no.
[00:36:46.947 --> 00:36:48.448]  It's going to be Pakistan.
[00:36:48.448 --> 00:36:50.029]  I said this last week.
[00:36:50.029 --> 00:36:51.009]  I said it two weeks ago.
[00:36:51.009 --> 00:36:52.570]  I said it a month ago.
[00:36:52.570 --> 00:36:53.030]  It will be
[00:36:54.392 --> 00:37:05.237]  Pakistan watched for staged terror attacks in and around Pakistan or in India to be blamed on the Pakistani government.
[00:37:05.237 --> 00:37:08.238]  And now what did you see happen?
[00:37:08.238 --> 00:37:09.859]  Now are these real Muslim terrorists?
[00:37:09.859 --> 00:37:23.065]  Are these complete nut balls that would, all these commandos, as many as 50 of them, showing up in Mumbai, the financial capital of India where the Taj Mahal is located, running around for three days, killing more than 300 people?
[00:37:24.693 --> 00:37:27.395]  Throwing hand grenades?
[00:37:27.395 --> 00:37:30.397]  Absolutely, ladies and gentlemen, they are real terrorists.
[00:37:30.397 --> 00:37:39.164]  And they believe in those camps, that they are fighting for Islam, they believe they're fighting the West, they believe they're fighting their mortal enemy, the Hindus.
[00:37:39.164 --> 00:37:47.590]  But then when you go and look at who's funding them, it's ISI and US British slash Israeli intelligence.
[00:37:47.590 --> 00:37:51.893]  So I said I'd get into this later, I guess I'm getting into it now, then we'll go to Mike, Joshua, Mike, David,
[00:37:54.184 --> 00:38:00.326]  Jaja, Ian, George, and others that are patiently holding.
[00:38:00.326 --> 00:38:20.551]  But later I'm also going to play a clip, we have time from international television discussing this, but the head foreign minister and the head intelligence chief in Pakistan are saying that it is a, well here's the Pakistan Times, Mubai Mayhem Conspiracy to hit nuke, Galt says, Islamabad.
[00:38:20.551 --> 00:38:22.672]  The inter-services intelligence chief
[00:38:24.409 --> 00:38:30.753]  Hamid Gul said that the Mumbai incident is an international-based conspiracy to pry Pakistan of its atomic power.
[00:38:30.753 --> 00:38:33.074]  Then he goes into saying everything I've just said.
[00:38:33.074 --> 00:38:36.256]  Now, he said this yesterday.
[00:38:36.256 --> 00:38:37.536]  Friday, I went on air.
[00:38:37.536 --> 00:38:39.538]  I wasn't going to take off Friday, but I went on air.
[00:38:39.538 --> 00:38:44.520]  In the first hour, it's archived at InfoWars.com, and I said exactly what's here.
[00:38:44.520 --> 00:38:44.741]  Why?
[00:38:44.741 --> 00:38:46.882]  Because it's the truth.
[00:38:46.882 --> 00:38:52.525]  Why would Pakistan, who's being bombed by the Al-Qaeda groups, the real Al-Qaeda,
[00:38:53.484 --> 00:38:56.085]  Western-controlled, Western-founded.
[00:38:56.085 --> 00:39:03.286]  Why on earth would they go attack India when they're doing everything they can to not have another war with India?
[00:39:03.286 --> 00:39:09.167]  They're doing everything they can to avert near-nuclear war in 2002, they already almost had.
[00:39:09.167 --> 00:39:18.169]  And then magically, fighters out of Pakistan get in to Mumbai, in India, and blow living daylights out of the capital city.
[00:39:18.169 --> 00:39:19.209]  Terrorize the public.
[00:39:22.378 --> 00:39:24.540]  This happens over and over and over again.
[00:39:24.540 --> 00:39:38.830]  And it's been in the Jerusalem Post, it's been in Haras, it's been in the Israeli papers over and over again that the Israeli government will hire Arab agents who will go out and recruit young Palestinians and then pay them to stage terror attacks.
[00:39:38.830 --> 00:39:43.414]  Now that's not Alex Jones saying that, that is the Jerusalem Post and Haras.
[00:39:43.414 --> 00:39:49.858]  Now what came out of AP, Reuters, BBC, Der Spiegel last Monday?
[00:39:49.858 --> 00:39:51.720]  We wrote a story about it up at PrisonPlanet.com.
[00:39:53.354 --> 00:40:12.689]  The Kosovoans were happy to have the West come in and steal that away from Serbia and give it to the Muslims, but now the Muslims and the Serbs want the West, predominantly Germany, the main force for NATO, in Kosovo, southern Serbia, now broken off, basically given to Albania.
[00:40:12.689 --> 00:40:13.490]  They want them out.
[00:40:14.682 --> 00:40:16.044]  The Germans were caught.
[00:40:16.044 --> 00:40:18.607]  This is mainstream news.
[00:40:18.607 --> 00:40:20.389]  This is admitted for listeners.
[00:40:20.389 --> 00:40:21.510]  Do not be lazy.
[00:40:21.510 --> 00:40:23.352]  Do not choose to just say I'm lying.
[00:40:23.352 --> 00:40:24.474]  Go pull it up.
[00:40:24.474 --> 00:40:28.218]  Google it.
[00:40:28.218 --> 00:40:32.643]  Hundreds of papers reported this because other NATO forces caught them.
[00:40:32.643 --> 00:40:34.706]  No, all the NATO forces aren't terrorists.
[00:40:36.269 --> 00:40:53.133]  Select groups, German intelligence was caught machine-gunning and hand-grenading government buildings, NATO buildings, blaming it on the Kosovoans so that they would have a pretext to move in with a larger force.
[00:40:53.133 --> 00:40:58.314]  And so they would have a pretext to stay in the country.
[00:40:58.314 --> 00:41:03.515]  And then there was another case where the Polish government this week came out and said, yes, when we were in
[00:41:07.014 --> 00:41:19.800]  South Ossetia, on a diplomatic mission, the Georgians, who by the way they're allied with, ran a sneak attack on them, trying to blame it on the Russians.
[00:41:19.800 --> 00:41:21.721]  And the Russians do the same thing too.
[00:41:21.721 --> 00:41:26.403]  They've been caught blowing stuff up before and blaming it on their enemies.
[00:41:26.403 --> 00:41:27.103]  The point is,
[00:41:28.803 --> 00:41:32.424]  It's so much more sophisticated than what the media tells you.
[00:41:32.424 --> 00:41:36.786]  It's so much more sophisticated than the way they lay it out there and present it.
[00:41:36.786 --> 00:41:39.707]  Governments throughout history, listen.
[00:41:39.707 --> 00:41:45.489]  We wrote a story a few months ago and it came out on Wikilinks, got picked up by major newspapers around the world.
[00:41:45.489 --> 00:41:49.991]  The army admitted it was real but said they want to find out who released it because they want to arrest them.
[00:41:50.928 --> 00:41:56.731]  The Army released the 2000, it was leaked, the 2004 Army Manual.
[00:41:56.731 --> 00:41:57.731]  And we have copies of it.
[00:41:57.731 --> 00:41:58.672]  It's up on the site.
[00:41:58.672 --> 00:41:59.392]  We have links to it.
[00:41:59.392 --> 00:42:02.154]  You can read the Army Manual.
[00:42:02.154 --> 00:42:04.135]  And the Army Manual number.
[00:42:04.135 --> 00:42:09.457]  And it says, it teaches Army Captains in Black Ops and Special Operations.
[00:42:09.457 --> 00:42:11.438]  No, the General Army Captains aren't taught this.
[00:42:11.438 --> 00:42:12.499]  It's all compartmentalized.
[00:42:13.757 --> 00:42:15.538]  That's how evil operates.
[00:42:15.538 --> 00:42:16.938]  Most of the troops are the best people in the world.
[00:42:16.938 --> 00:42:19.579]  They're great, hard-working, brave, incredible people.
[00:42:19.579 --> 00:42:27.601]  But the army captains, they psychologically test, do they put through black ops, do they decide they're immoral, or quote, will do the end justifies the means.
[00:42:27.601 --> 00:42:41.606]  They give them an army training manual that tells them to create staged terror attacks, false flag attacks, how to stage bombing attacks in the third world to blame it on their political enemies.
[00:42:41.606 --> 00:42:42.066]  The U.S.
[00:42:42.066 --> 00:42:42.966]  did this in Vietnam.
[00:42:45.197 --> 00:42:49.241]  And my point is, they do this over and over again.
[00:42:49.241 --> 00:42:52.684]  And the argument is, okay, well, the Russians do it, we've got to do it.
[00:42:52.684 --> 00:42:54.425]  You know, we've got to have every tool at our disposal.
[00:42:54.425 --> 00:42:58.769]  Well, see, once you allow that, just like Operation Northwoods, ABC News headline, U.S.
[00:42:58.769 --> 00:43:00.431]  government plan to attack U.S.
[00:43:00.431 --> 00:43:02.693]  cities as pretext for war.
[00:43:02.693 --> 00:43:09.539]  Operation Northwoods, hijack jets, bomb D.C., commit sniper attacks, how to frame Patsy's.
[00:43:09.539 --> 00:43:11.341]  Have mass shootings on the streets like Mumbai.
[00:43:12.714 --> 00:43:13.555]  Operation Northwoods.
[00:43:13.555 --> 00:43:14.216]  Google that.
[00:43:14.216 --> 00:43:17.319]  ABC News, Baltimore Sun, Associated Press.
[00:43:17.319 --> 00:43:23.585]  You see, I'm just reporting to you here what's mainstream, but it's hidden in the back of the paper.
[00:43:23.585 --> 00:43:23.945]  Okay?
[00:43:23.945 --> 00:43:25.147]  Alright, I promise.
[00:43:25.147 --> 00:43:28.090]  Calls for the next segment, end of the next hour, I'm gonna get to everybody.
[00:43:28.090 --> 00:43:29.271]  When we come back, stay with me.
[00:43:30.538 --> 00:43:32.218]  Alex Jones here with a question.
[00:43:32.218 --> 00:43:33.979]  What does humidity mean to you?
[00:43:33.979 --> 00:43:36.660]  Most people think of hot and sticky summer days.
[00:43:36.660 --> 00:43:41.781]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:43:41.781 --> 00:43:44.982]  That's why I'd like you to visit acolablue.com.
[00:43:44.982 --> 00:43:48.523]  Acolablue is a state-of-the-art atmospheric water generator.
[00:43:48.883 --> 00:44:01.428]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:44:01.428 --> 00:44:03.448]  Finally, drinking water that you control.
[00:44:03.448 --> 00:44:04.709]  I use one every day.
[00:44:05.149 --> 00:44:10.834]  Say goodbye to expensive water delivery services and storing 5-gallon bottles of water in your home.
[00:44:10.834 --> 00:44:17.240]  The Ecola Blue 28 is shipped right to your home, ready to make close to 7 gallons a day, right out of the box.
[00:44:17.240 --> 00:44:19.362]  They have a 30-day money-back guarantee.
[00:44:19.362 --> 00:44:21.083]  Call Ecola Blue right now at 866-585-4044.
[00:44:21.083 --> 00:44:21.403]  That's 866-585-4044.
[00:44:21.403 --> 00:44:23.605]  Or visit Ecola Blue at E-C-O-L-O-B-L-U-E dot com today.
[00:44:30.151 --> 00:44:33.753]  Free yourself from expensive cable and satellite fees.
[00:44:33.753 --> 00:44:36.815]  Control what you want to see, GCN listeners.
[00:44:36.815 --> 00:44:43.119]  Now you can transform your living room's HDTV into a virtual war room command center with ZV.
[00:44:43.119 --> 00:44:49.423]  ZV turns your computer into your own HD channel that broadcasts throughout your home to all of your HDTVs.
[00:44:49.423 --> 00:44:55.187]  Enjoy any internet audio feed, podcast, video feed, radar, free movies and TV shows, anything.
[00:44:55.607 --> 00:45:02.292]  Anything that can be viewed on your PC can be controlled from your couch with a ZV remote with its built-in mouse touchpad.
[00:45:02.292 --> 00:45:12.079]  Plus the easy on-screen ZV menu provides a gateway to premium content such as online movies, TV shows, news and more in HD and all just a click away.
[00:45:12.079 --> 00:45:15.321]  With ZV there are no subscription or download fees.
[00:45:15.321 --> 00:45:18.704]  The ZV is bundled with everything you need to easily get started.
[00:45:18.704 --> 00:45:21.806]  Free yourself from expensive cable and satellite
[00:45:22.246 --> 00:45:25.170]  Get your ZV today at FreedomOnMyTV.com
[00:45:34.418 --> 00:45:38.622]  From Get The Tea to you, thank you America!
[00:45:38.622 --> 00:45:44.307]  Thank you Canada, Spain, France, UK, Australia, Germany, and Finland!
[00:45:44.307 --> 00:45:45.628]  Thank you!
[00:45:45.628 --> 00:45:50.592]  You are making us the number one chemical detox product worldwide!
[00:45:50.592 --> 00:45:53.935]  Family and friends are sharing GetTheTea.com.
[00:45:53.935 --> 00:45:55.196]  People are feeling better
[00:45:55.196 --> 00:45:55.396]  Sure.
[00:45:55.396 --> 00:45:56.938]  People are losing weight.
[00:45:56.938 --> 00:45:59.000]  Energy is being enhanced.
[00:45:59.000 --> 00:46:02.864]  People are fighting for health and Get The Tea is there to help.
[00:46:02.864 --> 00:46:04.446]  Order our products online.
[00:46:04.446 --> 00:46:05.467]  Free shipping.
[00:46:05.467 --> 00:46:06.668]  Money back guarantee.
[00:46:06.668 --> 00:46:07.989]  GetTheTea.com.
[00:46:07.989 --> 00:46:10.192]  That's GetTheTea.com.
[00:46:10.192 --> 00:46:12.454]  Lose weight and feel great.
[00:46:12.454 --> 00:46:15.878]  And if you are uncomfortable with credit cards or PayPal, that's okay.
[00:46:16.118 --> 00:46:18.841]  Call us for our address and send a check or money order.
[00:46:18.841 --> 00:46:19.562]  The phone number is 928-308-0408.
[00:46:19.562 --> 00:46:19.982]  Again, 928-308-0408.
[00:46:19.982 --> 00:46:21.865]  Once again, thank you from GetTheTea.com.
[00:46:31.135 --> 00:46:31.735]  We're good to go!
[00:46:52.990 --> 00:46:53.511]  We're good to go.
[00:47:10.350 --> 00:47:12.371]  You're listening to GCN, the Genesis Communication Radio Network.
[00:47:43.581 --> 00:47:50.948]  Just to put a bookend on what I was saying about the Mumbai Massacre, three days of terror in India.
[00:47:50.948 --> 00:47:57.535]  The Pakistani President is publicly begging India not to start a new war with him.
[00:47:57.535 --> 00:47:59.337]  He's saying that it was staged.
[00:47:59.337 --> 00:48:01.099]  He's saying they had nothing to do with it.
[00:48:01.099 --> 00:48:02.801]  Again, Kibona, who benefits?
[00:48:02.801 --> 00:48:03.682]  Why would they do that?
[00:48:05.248 --> 00:48:07.449]  No, the West wants to go into Pakistan.
[00:48:07.449 --> 00:48:09.889]  Obama has said he's going to go into Pakistan.
[00:48:09.889 --> 00:48:18.392]  They don't like the government that's in Pakistan right now, so they fund militants that they created in the 70s and in the 80s to then go in and attack.
[00:48:18.392 --> 00:48:22.613]  And that's just what all the evidence here shows.
[00:48:22.613 --> 00:48:24.573]  Remember the Army Training Manual.
[00:48:24.573 --> 00:48:25.374]  There's several others.
[00:48:25.374 --> 00:48:27.974]  It says stage terror attacks.
[00:48:27.974 --> 00:48:30.295]  And it's very, very dangerous and very, very serious.
[00:48:31.508 --> 00:48:38.771]  But it is radical Islam that allows these intelligence agencies to find these mindless dupes to carry these type of activities out.
[00:48:38.771 --> 00:48:40.591]  And are there real Muslim terrorists?
[00:48:40.591 --> 00:48:41.112]  Absolutely.
[00:48:41.112 --> 00:48:45.773]  Are there real Hindu terrorists that go and kill Muslims routinely in India?
[00:48:45.773 --> 00:48:46.674]  Absolutely.
[00:48:46.674 --> 00:48:47.834]  Are there Christian radicals?
[00:48:47.834 --> 00:48:48.835]  Absolutely.
[00:48:48.835 --> 00:48:55.897]  The point is the big spectaculars are always government provocateur or staged.
[00:48:55.897 --> 00:48:59.639]  Whereas 9-11 is 100% staged, most of the other attacks are provocateur like in 91.
[00:49:01.188 --> 00:49:02.549]  93.
[00:49:02.549 --> 00:49:10.314]  New York Times reported the FBI cooked the bomb, trained the drivers, gave them the detonators, then ordered their informants to stand down and let the bombing take place.
[00:49:10.314 --> 00:49:14.797]  Oh yeah, they found radical Muslims that would do it and they built the bomb for them because the idiots didn't know how.
[00:49:14.797 --> 00:49:16.999]  Alright, I'm going to shut up about that.
[00:49:16.999 --> 00:49:18.800]  Let's go ahead and go to your calls.
[00:49:18.800 --> 00:49:22.242]  Mike in Houston, thanks for holding today.
[00:49:22.242 --> 00:49:24.063]  Good to have you on the air with us.
[00:49:24.063 --> 00:49:25.064]  Merry Christmas to you, Alex.
