[00:00.000 --> 00:13.000]  from the front lines of the information war it's alex jones
[32:47.000 --> 32:52.000]  And Owen and the rest of the crew will fight 18 hours a day, 7 days a week during this election year.
[32:52.000 --> 32:56.000]  That's so critical, but they need the financing to put them in the field.
[32:56.000 --> 33:09.000]  M-FullWarsStore.com and fight for your own future.
[33:27.000 --> 33:32.000]  Max Kaiser, quite the character. Very informative.
[33:32.000 --> 33:37.000]  Eccentric, the dictionary next to the word eccentric.
[33:37.000 --> 33:41.000]  I think Cyclopedia was a picture of Max Kaiser. At least there should be.
[33:41.000 --> 33:45.000]  I'm Alex Jones, your host. Thank you so much for joining us on this live Sunday Transmission.
[33:45.000 --> 33:52.000]  By the way, you didn't come on here to pitch Bitcoin. You don't own part of those companies you just pitched and they're not paying me.
[33:52.000 --> 33:57.000]  What happened is he was coming through connecting from another city, from another country.
[33:57.000 --> 34:03.000]  Today, let's get dinner. And then I said, listen, you're right. I should have gotten involved in Bitcoin and things a long time ago.
[34:03.000 --> 34:12.000]  Now it's settled out. Will you explain it to me? Will you take me under your wing and really walk me through it?
[34:12.000 --> 34:16.000]  And he said, yes. But he said, here's just the three basic things you need to know.
[34:16.000 --> 34:19.000]  You just start using them because it's good to diversify anyway.
[34:19.000 --> 34:23.000]  Right into China, the economy. Obviously, I don't want the bubble to pop.
[34:23.000 --> 34:26.000]  Neither does Trump. It's not that the bubble's a good thing. I'm totally against it.
[34:26.000 --> 34:31.000]  But clearly, they're just pumping more liquidity. They're talking about paying banks to loan now.
[34:31.000 --> 34:36.000]  The government saw it. This is crazy. It's going to get your real economic outlook here in a moment.
[34:36.000 --> 34:43.000]  But first, get back to our conversation last night and kind of, and on the drawing board in there, in my office, you were explaining to me,
[34:43.000 --> 34:49.000]  the three companies that you say are good that I should start using and getting involved in to teach myself.
[34:49.000 --> 34:54.000]  Right. And first of all, that I mentioned, my Twitter handle is now real Max Kaiser.
[34:54.000 --> 35:01.000]  Because I had a quarter of a billion followers on Max Kaiser, but I realized that I'm rebirthing myself as a maximalist in the Bitcoin space
[35:01.000 --> 35:04.000]  for the ninth, for the 2020, the 21st century.
[35:04.000 --> 35:12.000]  So this is the trifecta of Bitcoin that anyone can basically dive in and become extremely proficient at Bitcoin.
[35:12.000 --> 35:14.000]  The first one would be the Cash App.
[35:14.000 --> 35:20.000]  So the Cash App, you can download that on your phone and you can buy miniscule amounts of Bitcoin just to get started.
[35:20.000 --> 35:23.000]  We say in the Bitcoin space, stack satoshis or stack sats.
[35:23.000 --> 35:25.000]  Every single day, just put a few bucks into Bitcoin.
[35:25.000 --> 35:29.000]  If it's high by some, if it's low by some, over a few months, you end up with a lot of Bitcoin.
[35:29.000 --> 35:35.000]  And a lot of people that, when they go shopping, they say, you know, I'll pass on that $4 coffee and I'll buy $4 with Bitcoin.
[35:35.000 --> 35:43.000]  They do that for a year and suddenly they got 30, 40, 50, 60, $70,000 with the Bitcoin and they didn't sacrifice for that one bit.
[35:43.000 --> 35:48.000]  So it's just a matter of accumulating Bitcoin without any effort whatsoever.
[35:48.000 --> 35:55.000]  As this price goes from the 9,000, 10,000 area up to 400,000, which is my new price target, because it's going to equal the value of gold.
[35:55.000 --> 35:57.000]  Gold worth about $7.5 trillion.
[35:57.000 --> 36:01.000]  Bitcoin at $400,000 would be worth about $7.5 trillion.
[36:01.000 --> 36:06.000]  And that's where it's going because now it competes with gold globally and it's used as a safe haven and a store of value.
[36:06.000 --> 36:10.000]  And by the way, you were the first guy I ever heard talk about this more than 10 years ago.
[36:10.000 --> 36:13.000]  People are going to look at the three things you mentioned. You said this last night and I went and looked them up.
[36:13.000 --> 36:17.000]  I mean, I knew what Cash App was. I knew that Jack Dorsey was invested in it.
[36:17.000 --> 36:22.000]  Well, exactly. Folks, the ones that are going to end up being the most legitimate and the ones that have run the longest the best,
[36:22.000 --> 36:25.000]  those are going to have the establishment start investing in them.
[36:25.000 --> 36:30.000]  And then that's when I'm like, hey, now I can tell listeners and myself, time to stick the toe in.
[36:30.000 --> 36:35.000]  Sure, a lot of folks made fortunes in the Wild Wild West of all the stuff that went on the last 10 years.
[36:35.000 --> 36:37.000]  People said, Alex, why did you never get involved in it?
[36:37.000 --> 36:43.000]  Because I just, I only, look, I know when I sell somebody, you've got my super silver toothpaste.
[36:43.000 --> 36:46.000]  Yes, I've got patented. It's super high quality.
[36:46.000 --> 36:47.000]  Super silver.
[36:47.000 --> 36:52.000]  And it knocks out viruses and bacteria and it makes your teeth incredibly clean and it re-memorizes them.
[36:52.000 --> 36:56.000]  So I'm selling something good that I know people are going to get a great response with.
[36:56.000 --> 37:01.000]  That's why I've been promoting a colloidal silver type products for 25 years back then they weren't accepted.
[37:01.000 --> 37:04.000]  Now they're totally accepted even by hospitals, you name it.
[37:04.000 --> 37:08.000]  It smells like Nancy Pelosi. That's kind of an added benefit when you get this.
[37:08.000 --> 37:09.000]  It smells like death.
[37:09.000 --> 37:10.000]  Super silver toothpaste.
[37:10.000 --> 37:11.000]  It smells like a dead dog.
[37:11.000 --> 37:12.000]  No, it doesn't.
[37:12.000 --> 37:13.000]  It's like, right.
[37:13.000 --> 37:15.000]  So, well, let me see that toothpaste.
[37:15.000 --> 37:18.000]  Don't take my toothpaste, buddy.
[37:18.000 --> 37:20.000]  I've got it. I've got the toothpaste now.
[37:20.000 --> 37:21.000]  You're shooting me.
[37:21.000 --> 37:23.000]  Look, that's it.
[37:23.000 --> 37:24.000]  What's going on?
[37:24.000 --> 37:26.000]  Oh, don't bring out the 15 caliber again.
[37:26.000 --> 37:28.000]  No, don't do it.
[37:28.000 --> 37:30.000]  I was just trying to...
[37:30.000 --> 37:33.000]  Just because you didn't buy Bitcoin at a dollar.
[37:33.000 --> 37:34.000]  Don't blame me.
[37:34.000 --> 37:37.000]  I beg you to buy Bitcoin at a dollar.
[37:37.000 --> 37:41.000]  And he said, no, it's a conspiracy from...
[37:41.000 --> 37:43.000]  Never shoot Bitcoin.
[37:43.000 --> 37:44.000]  I read that.
[37:44.000 --> 37:45.000]  Sorry.
[37:45.000 --> 37:48.000]  No, it's not a George Soros conspiracy, believe it or not.
[37:48.000 --> 37:50.000]  You know, not everything is a Soros conspiracy, Alex Jones.
[37:50.000 --> 37:51.000]  They're really reloading.
[37:51.000 --> 37:54.000]  Some things are actually just what they are.
[37:54.000 --> 37:55.000]  They're good.
[37:55.000 --> 37:57.000]  Oh, you need some more. There you go.
[37:57.000 --> 37:58.000]  Hey, let's get serious.
[37:58.000 --> 37:59.000]  I am deadly serious.
[37:59.000 --> 38:01.000]  Let's talk global economy right now.
[38:01.000 --> 38:04.000]  How is this virus going to affect China?
[38:04.000 --> 38:09.000]  Oh, well, the supply lines coming out of China are completely interrupted.
[38:09.000 --> 38:12.000]  So, in the case of Apple Computer, for example,
[38:12.000 --> 38:15.000]  I'm not sure how they're going to continue in their business,
[38:15.000 --> 38:18.000]  but I do have a suspicion of what they will continue to do
[38:18.000 --> 38:22.000]  is they will buy back their own stock, you know, for the last five years.
[38:22.000 --> 38:25.000]  Apple's earnings have not really gone up much at all,
[38:25.000 --> 38:28.000]  but the stock goes up because they keep buying back their own stock,
[38:28.000 --> 38:31.000]  which makes it look like the earnings are better than they really are.
[38:31.000 --> 38:35.000]  And they're able to do that by borrowing money from the central bank at 0% interest rates.
[38:35.000 --> 38:38.000]  That's one of the nefarious impacts of 0% interest rates.
[38:38.000 --> 38:39.000]  Exactly.
[38:39.000 --> 38:42.000]  Michael Bloomberg doesn't really make a huge money on their stock options.
[38:42.000 --> 38:45.000]  And meanwhile, you and I are paying 19% on our credit cards.
[38:45.000 --> 38:47.000]  That's interest rate apartheid.
[38:47.000 --> 38:50.000]  How come I live in a Bantuston where my credit card rate is 19%
[38:50.000 --> 38:55.000]  and Tim Cook gets to live on the other side of the interest rate apartheid wall,
[38:55.000 --> 38:59.000]  borrow money at 0%, buy back his own stock, which used to be illegal just a few years ago,
[38:59.000 --> 39:02.000]  pump up his stock options and make billions of dollars.
[39:02.000 --> 39:06.000]  How is that legal? How is that moral? How is that American?
[39:06.000 --> 39:08.000]  So, over to you, Nalix.
[39:08.000 --> 39:10.000]  What's wrong with Tim Cook's eyes?
[39:10.000 --> 39:13.000]  Well, he's a cyborg.
[39:13.000 --> 39:16.000]  I think that's pretty well understood at this point.
[39:16.000 --> 39:21.000]  And I'll tell you something about Steve Jobs, which actually is not nice, so I won't.
[39:21.000 --> 39:22.000]  No, Nalix.
[39:22.000 --> 39:26.000]  He's passed away, so I won't tell the ugly truth about Steve Jobs.
[39:26.000 --> 39:28.000]  I'd rather talk about the future.
[39:28.000 --> 39:31.000]  After Cash App, the thing you got to keep in mind is Green Wallet.
[39:31.000 --> 39:33.000]  Because let's say you don't like Jack Dorsey.
[39:33.000 --> 39:38.000]  Let's say you're like, oh, Jack Dorsey is a censoring social media clown,
[39:38.000 --> 39:40.000]  and I don't want anything to do with him.
[39:40.000 --> 39:42.000]  I don't care, he's got a great app called Cash App.
[39:42.000 --> 39:44.000]  Well, he does have a great app called Cash App,
[39:44.000 --> 39:47.000]  and you can buy Bitcoin really easily, and you can do it every single day.
[39:47.000 --> 39:51.000]  If you don't want to keep it on Cash App, you can move it to something called Green Wallet.
[39:51.000 --> 39:55.000]  Green Wallet is the best Bitcoin Wallet on the market today.
[39:55.000 --> 39:56.000]  That's what I was going to say though about you.
[39:56.000 --> 39:57.000]  It's called Green Wallet.
[39:57.000 --> 39:58.000]  Download Green Wallet now.
[39:58.000 --> 40:00.000]  Download Green Wallet now.
[40:00.000 --> 40:01.000]  That's enough.
[40:01.000 --> 40:09.000]  We already have problems with PayPal kicking journalists and people off of it, myself included.
[40:09.000 --> 40:10.000]  Yes.
[40:10.000 --> 40:17.000]  That's another reason about the head of Twitter, he's buying up all of the internet processing banks
[40:17.000 --> 40:18.000]  and then censoring people.
[40:18.000 --> 40:20.000]  These dudes are real jerks, man.
[40:20.000 --> 40:25.000]  Yeah, they come under a lot of pressure from governments to do all kinds of things that are anti-constitutional.
[40:25.000 --> 40:30.000]  But, nevertheless, for the newbie, the newb out there who just wants people to ask me all the time,
[40:30.000 --> 40:31.000]  how do I get into Bitcoin?
[40:31.000 --> 40:32.000]  This is the easiest way to do it.
[40:32.000 --> 40:33.000]  It just happens to be the easiest way.
[40:33.000 --> 40:35.000]  Once you secure your coin...
[40:35.000 --> 40:36.000]  No, you're right.
[40:36.000 --> 40:38.000]  We have to fund the revolution by making it no mainstream.
[40:38.000 --> 40:41.000]  That's what revolutions are supposed to do is succeed.
[40:41.000 --> 40:42.000]  Exactly right.
[40:42.000 --> 40:49.000]  And, you know, this revolution is going to be successful because the regulators who are in position to try to stop this revolution,
[40:49.000 --> 40:52.000]  when they start buying Bitcoin, then the revolution is won.
[40:52.000 --> 40:55.000]  Because the regulators get paid in fiat money dollars.
[40:55.000 --> 40:58.000]  And those in fiat money dollars are becoming increasingly worthless.
[40:58.000 --> 41:03.000]  So as they reject fiat money and take Bitcoin themselves and the cops join the revolution, then we win.
[41:03.000 --> 41:04.000]  And that's happening now.
[41:04.000 --> 41:08.000]  A lot of regulators are quitting their jobs as regulators and joining Bitcoin startups,
[41:08.000 --> 41:10.000]  because they know that this thing is unstoppable.
[41:10.000 --> 41:12.000]  It's uncomfiscatable.
[41:12.000 --> 41:13.000]  It's immutable.
[41:13.000 --> 41:15.000]  It's the goal 2.0.
[41:15.000 --> 41:19.000]  Every single other coin out there is garbage when you compare it to Bitcoin.
[41:19.000 --> 41:21.000]  And that's how we are running this revolution.
[41:21.000 --> 41:26.000]  Now, third point, Alex Jones, is that if you start to get $10,000 in your account
[41:26.000 --> 41:30.000]  and you want to join a higher echelon of traders, you go to Kraken.
[41:30.000 --> 41:33.000]  Kraken is the number one exchange in the world.
[41:33.000 --> 41:39.000]  It was started in 2011 by Jesse Powell, who's one of the most fantastic people in the Bitcoin space.
[41:39.000 --> 41:43.000]  He told the New York regulators to go pound sand,
[41:43.000 --> 41:46.000]  because they tried to over-regulate him with New York's BitLicense.
[41:46.000 --> 41:47.000]  He said, you know what?
[41:47.000 --> 41:50.000]  I'm not even going to do business in New York, so they can't do business in New York,
[41:50.000 --> 41:53.000]  but they do it every other state, except New York and Washington state.
[41:53.000 --> 41:57.000]  But every other state you can buy on Kraken is the best exchange in the world.
[41:57.000 --> 42:00.000]  This is how you expand your Bitcoin empire.
[42:00.000 --> 42:04.000]  So the three steps, cash app, green wallet, Kraken.
[42:04.000 --> 42:09.000]  That's the trifecta, the holy trinity of Bitcoin individual sovereignty
[42:09.000 --> 42:15.000]  to take yourself out of the matrix and to own your own future and respect the Constitution.
[42:15.000 --> 42:17.000]  By the way, we went out to dinner last night.
[42:17.000 --> 42:19.000]  He wasn't even going to come on the show, but he said,
[42:19.000 --> 42:22.000]  if I do, I only talk Bitcoin now. Everything is Bitcoin.
[42:22.000 --> 42:27.000]  As you can see, I'm reborn as real Max Kaiser on Twitter.
[42:27.000 --> 42:32.000]  I've abandoned the old Max Kaiser because even on the old Max Kaiser on Twitter,
[42:32.000 --> 42:34.000]  I mentioned other things than Bitcoin.
[42:34.000 --> 42:38.000]  I'm now just pure Bitcoin, real Max Kaiser on Twitter.
[42:38.000 --> 42:42.000]  I'm a purist, I'm a maximalist, and we're going to $400,000 on Bitcoin.
[42:42.000 --> 42:43.000]  All right, let's get...
[42:43.000 --> 42:44.000]  Okay, okay.
[42:44.000 --> 42:48.000]  I really want to cover the waterfront, Abinadi, Hillary, and Bloomberg,
[42:48.000 --> 42:51.000]  the virus, China, the global economy with you when we come back.
[42:51.000 --> 42:55.000]  And then Mike Adams is going to be here next hour.
[42:55.000 --> 42:58.000]  Max Kaiser is with us. Stay with us.
[43:26.000 --> 43:28.000]  Whoever's got them, release them.
[43:28.000 --> 43:32.000]  It's about Hillary committing a crime, not who has the emails, don't change the subject.
[43:32.000 --> 43:35.000]  Well, Julian Assange undoubtedly took Trump over the top.
[43:35.000 --> 43:37.000]  The WikiLeaks exposed the deep state.
[43:37.000 --> 43:38.000]  The man is a hero.
[43:38.000 --> 43:40.000]  Daniel Ellsberg was a hero.
[43:40.000 --> 43:44.000]  Well, Assange is even a bigger hero, and he's rotting in solitary confinement,
[43:44.000 --> 43:46.000]  and the court hearings can barely talk.
[43:46.000 --> 43:50.000]  President Trump do the right thing and asked the British to release Julian Assange
[43:50.000 --> 43:52.000]  and give him a medal.
[43:52.000 --> 43:55.000]  President Trump, you must release Julian Assange.
[43:55.000 --> 43:57.000]  Free Julian Assange.
[43:57.000 --> 44:24.000]  Thank you very much.
[44:27.000 --> 44:33.000]  Just like the loving kiss of a king cobra pumping deadly, I mean loving,
[44:33.000 --> 44:36.000]  helpful nutrients in their body.
[44:36.000 --> 44:41.000]  Hug the cobra. Love the cobra. Kiss the cobra.
[44:41.000 --> 44:49.000]  But never, never go to Infowars.com or Infowarsstore.com.
[44:49.000 --> 44:59.000]  Do not order those products. Silence Jones.
[44:59.000 --> 45:04.000]  If you understand why the globalist, why the servants of Satan hate Infowars,
[45:04.000 --> 45:11.000]  it's because we're awake, we're alive, we're passionate, and we're not giving up.
[45:11.000 --> 45:16.000]  That's why it's critical for those of us that are aware of the New World Order's plans
[45:16.000 --> 45:20.000]  to not get down when they attack us and they persecute us and they lie about us.
[45:20.000 --> 45:25.000]  That's what we should expect because we are hurting these scumbags.
[45:25.000 --> 45:28.000]  The globalists have literally sold their souls to the dark side,
[45:28.000 --> 45:31.000]  and they do what they do because they're slaves,
[45:31.000 --> 45:36.000]  because they are eternally driven to try to suppress and dominate and destroy the innocent.
[45:36.000 --> 45:41.000]  It is up to us who are awake, not the sheep and not the wolves,
[45:41.000 --> 45:46.000]  but the sheepdogs to stand firm and resist these wicked tyrants.
[45:46.000 --> 45:49.000]  They fear the fact that we are awake.
[45:49.000 --> 45:52.000]  They fear the fact that we are alive.
[45:52.000 --> 45:55.000]  They fear the fact that we love God,
[45:55.000 --> 46:00.000]  and that's all we ever have to know is that God is in charge.
[46:00.000 --> 46:05.000]  Three weeks ago, we told you that the Pentagon had set up secret quarantine centers
[46:05.000 --> 46:09.000]  for the coronavirus and that they believed it was much more serious than we were being told.
[46:09.000 --> 46:11.000]  Now we know that that is the case.
[46:11.000 --> 46:14.000]  And we know the federal government and major corporations have been buying up
[46:14.000 --> 46:17.000]  all the major storable food supplies around the country.
[46:17.000 --> 46:19.000]  Almost everyone else is sold out.
[46:19.000 --> 46:26.000]  But our supplier, my patriot, m4warstore.com, still has their entire line of high-quality fresh food.
[46:26.000 --> 46:27.000]  And it's fresh.
[46:27.000 --> 46:30.000]  That's why you have to wait 10 to 14 days for it to get delivered,
[46:30.000 --> 46:33.000]  not because they don't have the food, but because they've got to package it
[46:33.000 --> 46:36.000]  and their factories are going 24 hours a day.
[46:36.000 --> 46:41.000]  High-quality fresh food, the best package systems, tastes great, protects you and your family,
[46:41.000 --> 46:42.000]  and funds the m4war.
[46:42.000 --> 46:47.000]  You just got to get the orders in until they extend it out even more, which could happen.
[46:47.000 --> 47:10.000]  Lock in your orders now and sure you get it at m4warstore.com today.
[47:18.000 --> 47:23.000]  By the way, when you see his shows on RT, BBC, Al Jazeera, it's so professional.
[47:23.000 --> 47:24.000]  Totally.
[47:24.000 --> 47:27.000]  He comes on my show to misbehave.
[47:27.000 --> 47:28.000]  By the way, we were having...
[47:28.000 --> 47:31.000]  It's weird. It's awesome. Keep it weird. Keep it weird, Austin.
[47:31.000 --> 47:33.000]  That's the brand from Austin.
[47:33.000 --> 47:37.000]  We were having a Nerf gun battle earlier.
[47:37.000 --> 47:39.000]  But you should let me have one.
[47:39.000 --> 47:42.000]  So I came back in here. I have two. You have none.
[47:42.000 --> 47:45.000]  That's how Communist China works or an authoritarian state.
[47:45.000 --> 47:48.000]  I have the guns and you don't have anything.
[47:48.000 --> 47:52.000]  I have super silver toothpaste, which is as powerful as all your weaponry
[47:52.000 --> 47:54.000]  in fighting the battle against cavities.
[47:54.000 --> 47:56.000]  Super silver toothpaste.
[47:56.000 --> 48:00.000]  It's made with something similar to silver and it looks really cool.
[48:00.000 --> 48:04.000]  And if you use it, a lot of women will stop you on the street and say,
[48:04.000 --> 48:06.000]  hi, I'd like to marry you.
[48:06.000 --> 48:09.000]  Super silver toothpaste. It's for winners.
[48:09.000 --> 48:13.000]  Available at m4warstore.com. Still at 50% off, ladies and gentlemen.
[48:13.000 --> 48:16.000]  50% off. That's an incredible deal.
[48:16.000 --> 48:17.000]  It is actually a real deal.
[48:17.000 --> 48:20.000]  You know, speaking of Bitcoin, if you can buy it with Bitcoin,
[48:20.000 --> 48:23.000]  that's an excellent way to use your Bitcoin.
[48:23.000 --> 48:24.000]  Yes.
[48:24.000 --> 48:25.000]  You are an enemy of the state.
[48:25.000 --> 48:27.000]  Right. OK, great. No problem.
[48:27.000 --> 48:28.000]  That's fine.
[48:28.000 --> 48:30.000]  I get all the guns. You get nothing.
[48:30.000 --> 48:33.000]  I still have my Bitcoin to keep me safe
[48:33.000 --> 48:37.000]  from unreasonable search-and-serve seizure in the Fourth Amendment
[48:37.000 --> 48:39.000]  and the First Amendment and the Second Amendment.
[48:39.000 --> 48:42.000]  Don't you feel safer in a country where the government has the guns?
[48:42.000 --> 48:44.000]  No. No, Alex, I don't.
[48:44.000 --> 48:48.000]  I feel safer in a country that has a reserve currency of Bitcoin.
[48:48.000 --> 48:49.000]  Tell me you love Gigi Payne.
[48:49.000 --> 48:50.000]  That would mean the safest currency.
[48:50.000 --> 48:51.000]  Tell me, are you hearing something scary?
[48:51.000 --> 48:53.000]  He just pointed at my jewels.
[48:53.000 --> 48:55.000]  You're pointing those nerf guns at my top.
[48:55.000 --> 48:56.000]  This is fully powered up right now.
[48:56.000 --> 48:57.000]  At my twang twang.
[48:57.000 --> 48:58.000]  Do you know what that means?
[48:58.000 --> 49:01.000]  One wrong move, buddy. One wrong move.
[49:01.000 --> 49:02.000]  Wow. That's power.
[49:02.000 --> 49:03.000]  See that?
[49:03.000 --> 49:05.000]  That is power.
[49:05.000 --> 49:06.000]  See that?
[49:06.000 --> 49:07.000]  That's awesome.
[49:07.000 --> 49:09.000]  Right in the lens. One wrong move.
[49:09.000 --> 49:10.000]  Now.
[49:10.000 --> 49:12.000]  Your aim is getting better.
[49:12.000 --> 49:14.000]  You tell me you love Hillary right now.
[49:14.000 --> 49:18.000]  How would you like me to set flame to all of your food for a decade?
[49:18.000 --> 49:20.000]  The super food.
[49:20.000 --> 49:22.000]  It's a whole pyramid of super food.
[49:22.000 --> 49:24.000]  How about a bullet?
[49:24.000 --> 49:25.000]  Set it on fire.
[49:25.000 --> 49:27.000]  Back to Camera 7, please.
[49:27.000 --> 49:35.000]  Ha! Ha! Ha!
[49:35.000 --> 49:37.000]  This is fun.
[49:37.000 --> 49:38.000]  I'll tell you what.
[49:38.000 --> 49:39.000]  Ultimate fish oil.
[49:39.000 --> 49:40.000]  You actually live in America.
[49:40.000 --> 49:42.000]  The citizens have guns as well as the government.
[49:42.000 --> 49:43.000]  Reduce your cholesterol levels.
[49:43.000 --> 49:44.000]  Here you go.
[49:44.000 --> 49:45.000]  Quickly.
[49:45.000 --> 49:47.000]  And that's what you need in a super fish oil.
[49:47.000 --> 49:52.000]  Why sit down to a plate of 50 pounds of cod when you can just pop one of these tablets
[49:52.000 --> 49:53.000]  and get the same benefit?
[49:53.000 --> 49:55.000]  It's super fish oil.
[49:55.000 --> 49:56.000]  Ultimate fish oil.
[49:56.000 --> 49:57.000]  Today a special deal.
[49:57.000 --> 50:03.000]  Super silver special toothpaste and fish oil for 89.7% off.
[50:03.000 --> 50:07.000]  If you pay in Bitcoin, we'll pay you $500 back.
[50:07.000 --> 50:09.000]  Let me ask you a question.
[50:09.000 --> 50:11.000]  Why do you act like this on my show?
[50:11.000 --> 50:12.000]  You're such a professional.
[50:12.000 --> 50:13.000]  Hillary's laughing right now.
[50:13.000 --> 50:18.000]  You do such a perfect job on your own international program that airs in 100-something countries.
[50:18.000 --> 50:19.000]  There's 100 countries.
[50:19.000 --> 50:21.000]  30 million people a week watch Kaiser Report.
[50:21.000 --> 50:22.000]  And it's now seen.
[50:22.000 --> 50:23.000]  It's dubbed into Spanish.
[50:23.000 --> 50:27.000]  And those shows are seen even more widely than our English-speaking Kaiser Report.
[50:27.000 --> 50:29.000]  But you don't act like a clown on those shows.
[50:29.000 --> 50:31.000]  Well, that's because I'm in Austin, Texas.
[50:31.000 --> 50:33.000]  And in Austin, Texas, you've got to keep it weird.
[50:33.000 --> 50:35.000]  I respond to my environment.
[50:35.000 --> 50:37.000]  I'm a human being, I'm an organic being.
[50:37.000 --> 50:38.000]  This broadcast comes out of Austin.
[50:38.000 --> 50:39.000]  We're not in Austin.
[50:39.000 --> 50:40.000]  We are freaking in Austin.
[50:40.000 --> 50:41.000]  We are not in Austin.
[50:41.000 --> 50:43.000]  You're going to give it an address right now if you want to send your love note.
[50:43.000 --> 50:46.000]  This is a small part of Texas.
[50:46.000 --> 50:47.000]  Right.
[50:47.000 --> 50:49.000]  A little reservation of Texas here.
[50:49.000 --> 50:50.000]  Right.
[50:50.000 --> 50:52.000]  When they push the Native Americans back, they've got little areas.
[50:52.000 --> 50:54.000]  My offices is still Texas.
[50:54.000 --> 50:55.000]  Really?
[50:55.000 --> 51:00.000]  I thought that your offices were like the Vatican, the City of London, and Washington, D.C.
[51:00.000 --> 51:04.000]  It's its own nation state with its own police force and its own set of rules.
[51:04.000 --> 51:08.000]  I thought, here, that was the case.
[51:08.000 --> 51:09.000]  Wow.
[51:09.000 --> 51:12.000]  I think the globalists have lost the anti-gun battle.
[51:12.000 --> 51:14.000]  That's like the old Norelco Shaver ads.
[51:14.000 --> 51:15.000]  The kids are playing with stuff like this.
[51:15.000 --> 51:16.000]  Remember the Christmas?
[51:16.000 --> 51:23.000]  The Norelco Shaver ads were like Santa Claus was skiing down your face as an electric shaver.
[51:23.000 --> 51:26.000]  We have a massive luster ship that really wants to get serious.
[51:26.000 --> 51:28.000]  Give me, stop it.
[51:28.000 --> 51:32.000]  This fish oil product is great, but when I was a kid, we just sniffed glue.
[51:32.000 --> 51:34.000]  That was 15 cents.
[51:34.000 --> 51:35.000]  Look what it did to you.
[51:35.000 --> 51:36.000]  It had to work, right?
[51:36.000 --> 51:39.000]  I didn't have any ill effects because of it.
[51:39.000 --> 51:40.000]  It's 15 cents.
[51:40.000 --> 51:42.000]  It's good for the whole day.
[51:42.000 --> 51:52.000]  Give me three minutes serious on the global bubble and what do you think it will pop and how long can they keep it pumped up?
[51:52.000 --> 51:58.000]  Well, it all depends on how expansive these central banks will get in buying back a lot of this junk.
[51:58.000 --> 52:04.000]  So the central banks have in America, I think it's four and a half trillion worth of bad debts on their balance sheets.
[52:04.000 --> 52:09.000]  The ECB now has a similar quantity of bad debts.
[52:09.000 --> 52:13.000]  And so they have to keep coordinating and Bank of Japan similarly.
[52:13.000 --> 52:26.000]  They have to coordinate this asset purchases or quantitative easing where all of the mistakes made by the globalists or Tim Cook or Jeff Bezos or whomever are purchased from them for treasury bills.
[52:26.000 --> 52:28.000]  And they get to wash their sins.
[52:28.000 --> 52:30.000]  It's a huge money laundering operation at the central banks.
[52:30.000 --> 52:36.000]  And as long as they interest rates are zero, there's no cost to them because they're borrowing costs are zero.
[52:36.000 --> 52:50.000]  So I think the question with the coronavirus to bring it back to that, the question always with the coronavirus is, is it going to be more disruptive than the central banks ability to paper it over with more money printing?
[52:50.000 --> 52:51.000]  That's the only question.
[52:51.000 --> 52:54.000]  So far with the coronavirus stock markets have gone up.
[52:54.000 --> 52:57.000]  So they've said the central banks have said, you know what, this is a disaster.
[52:57.000 --> 52:58.000]  This is a catastrophe.
[52:58.000 --> 53:01.000]  All supply lines are going to be interrupted.
[53:01.000 --> 53:07.000]  So what we need to do is we need to print more money, the paper over the mistake and all that money goes directly into the stock market.
[53:07.000 --> 53:09.000]  It doesn't go into the real economy.
[53:09.000 --> 53:10.000]  And you know how we know that?
[53:10.000 --> 53:12.000]  Look at one very simple chart.
[53:12.000 --> 53:14.000]  It's called the money velocity chart.
[53:14.000 --> 53:17.000]  And it shows you how fast the money is circulating through the economy.
[53:17.000 --> 53:19.000]  It's hitting new all time lows.
[53:19.000 --> 53:31.000]  Even though the money supply M1, M2, M3 are skyrocketing, it doesn't circulate because it just goes directly into the pockets of the financiers and hedge funds and people in New York buying $200 million apartments.
[53:31.000 --> 53:32.000]  So that's why you have...
[53:32.000 --> 53:36.000]  Which then generates inflation in the real economy for the average Joe.
[53:36.000 --> 53:40.000]  Well, what it does is it distorts all the economic signals.
[53:40.000 --> 53:46.000]  So you have health care going up 100 percent, education costs going up 100 percent, but the economists in Washington saying there's no inflation.
[53:46.000 --> 53:53.000]  And the reason they can say there's no inflation is because they don't count those things in their calculation for inflation so that they get the central banks to print more money.
[53:53.000 --> 53:54.000]  They don't count luxury goods.
[53:54.000 --> 53:55.000]  No, they don't.
[53:55.000 --> 53:56.000]  They don't count housing.
[53:56.000 --> 53:57.000]  They don't count health care.
[53:57.000 --> 53:58.000]  Let's expand on this.
[53:58.000 --> 53:59.000]  Let's expand on this.
[53:59.000 --> 54:01.000]  Okay, let's expand on this.
[54:01.000 --> 54:04.000]  And then the universities teach communism is the answer.
[54:04.000 --> 54:08.000]  And they point at somebody who most their assets is in fiat.
[54:08.000 --> 54:12.000]  I mean, obviously Jeff Bezos couldn't even spend three or four million dollars of his money.
[54:12.000 --> 54:15.000]  It would end up crashing his stock.
[54:15.000 --> 54:18.000]  So he's not really worth 160 million dollars in reality.
[54:18.000 --> 54:21.000]  It's a bunch of fiat crap that would make Bernie Madoff blush.
[54:21.000 --> 54:25.000]  But then the average student looks at that and thinks there's really all this money out there.
