[00:00.000 --> 00:12.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[35:02.000 --> 35:11.000]  She lands and then Clinton lands and then he comes onto her plane and they have this meeting and the Secret Service says turn your cameras off because it's so guilty.
[35:11.000 --> 35:18.000]  The FBI orders them to turn their cameras off because it's so incredibly guilty.
[35:18.000 --> 35:23.000]  These people think they're gods and I'll tell you the desperateness of this.
[35:23.000 --> 35:29.000]  The word is there was going to be some partial recommendations for criminal prosecution coming out.
[35:29.000 --> 35:32.000]  I didn't get that from these sources for a year but it hadn't happened yet.
[35:32.000 --> 35:35.000]  And the word is it was getting very, very close.
[35:35.000 --> 35:39.000]  There's a lot of pressure back and forth in internal battles going on.
[35:39.000 --> 35:47.000]  And so what would make Clinton desperately set up this meeting and desperately basically board her plane?
[35:47.000 --> 35:51.000]  Turn the cameras off. Shut everything down. He boards her plane.
[35:51.000 --> 35:54.000]  Ron Brown said he wasn't going to go along with their corruption.
[35:54.000 --> 36:00.000]  He brought up his commerce secretary with a 45 bullet hole in his head. That's what the coroner said.
[36:00.000 --> 36:03.000]  Remember the plane crashed into a mountain?
[36:03.000 --> 36:06.000]  Most people on board have been shot.
[36:06.000 --> 36:10.000]  Now you do that as you have commandos on board posing a Secret Service.
[36:10.000 --> 36:16.000]  They put on their oxygen mask, kill everybody, blow the hatch or shoot out.
[36:16.000 --> 36:18.000]  It's a standard procedure.
[36:18.000 --> 36:24.000]  One of their favorite ways to execute people because the plane crash covers up a lot of the killing.
[36:24.000 --> 36:29.000]  One lady survived the plane crash, though, was in good health and they took her off to an army hospital.
[36:29.000 --> 36:31.000]  She was dead a few minutes later.
[36:31.000 --> 36:34.000]  Was that Macedonia?
[36:34.000 --> 36:36.000]  Right on the border with Serbia?
[36:36.000 --> 36:39.000]  So she knows what happened.
[36:39.000 --> 36:45.000]  She understands what happens when you don't do what your overlords,
[36:45.000 --> 36:48.000]  what the mafia dons tell you to do.
[36:48.000 --> 36:52.000]  So this is an incredible, incredible time to be alive.
[36:52.000 --> 36:56.000]  Let's hear what Donald Trump had to say about this.
[36:56.000 --> 37:01.000]  Because look, the drum beat is so strong on crooked Hillary that I'm telling you.
[37:01.000 --> 37:04.000]  I know the optics. I can feel the energy. I can see it in the press.
[37:04.000 --> 37:11.000]  This is the biggest blow against the Clintons in their decades of crime wave.
[37:11.000 --> 37:16.000]  And if we push this and we don't let the holiday weekend derail us,
[37:16.000 --> 37:22.000]  and we keep this to be the number one story, and we take control of the meme with Hillary for prison,
[37:22.000 --> 37:29.000]  and we get this information out in the articles and videos at infowars.com that are going up as we speak right now.
[37:29.000 --> 37:37.000]  And if we take control of the narrative with the truth, there is a very good chance we're going to see the fall of the Clintons
[37:37.000 --> 37:42.000]  because this has really captured the world's attention.
[37:42.000 --> 37:46.000]  And I've been told by so many high-level people that they are so sick of the Clintons,
[37:46.000 --> 37:54.000]  and everyone is so tired of them, and the fact that they're basically communist, Chinese operatives.
[37:54.000 --> 38:01.000]  So let's go ahead and play this clip from Donald Trump. Here is Donald Trump responding.
[38:01.000 --> 38:08.000]  Loretta Lynch met with Bill Clinton while she potentially is weighing an indictment against his wife.
[38:08.000 --> 38:13.000]  Now, she claims that, you know, she boarded the plane. She was on the plane with Bill Clinton for 30 minutes.
[38:13.000 --> 38:17.000]  They were talking about their grandchildren and sports.
[38:17.000 --> 38:23.000]  Is this an issue where you think the credibility, for example, of a criminal referral comes from the FBI?
[38:23.000 --> 38:28.000]  Do you think the Attorney General needs to now recuse herself?
[38:28.000 --> 38:32.000]  Well, when I first heard that yesterday afternoon, I actually thought they were joking.
[38:32.000 --> 38:37.000]  I thought the people that told me was, you know, I said, no way. It's just no way that's going to happen.
[38:37.000 --> 38:46.000]  And it happened. And I am just, I'm flabbergasted by it. I think it's amazing. I've never seen anything like that before.
[38:46.000 --> 38:53.000]  Hillary Clinton has thrown everything she's got against Donald Trump, the American people, the lies, the spin, the deception.
[38:53.000 --> 39:00.000]  And do you understand, folks? If Hillary Clinton gets into office, I will have a much bigger audience.
[39:00.000 --> 39:05.000]  And my show will grow until she censors it or shuts it down or has me killed.
[39:05.000 --> 39:09.000]  And I was told I was fired from radio jobs on directives of the Clintons.
[39:09.000 --> 39:13.000]  I was told shut up and stop talking about the Clintons by people that would call and threaten me.
[39:13.000 --> 39:18.000]  And then they came and physically attacked me and said, we told you shut up about the Clintons.
[39:18.000 --> 39:25.000]  So I have personally experienced it. I've seen the emails where they're talking about going after the press.
[39:25.000 --> 39:31.000]  And before that, in the Clinton Foundation, at their library, Judicial Watch got the documents, so the World Net Daily,
[39:31.000 --> 39:34.000]  about how they're going to persecute the press and go after people.
[39:34.000 --> 39:40.000]  And Lynch is running around talking about going after the press today.
[39:40.000 --> 39:43.000]  So this is really an evil, evil, evil, evil group of people.
[39:43.000 --> 39:50.000]  And then today, just about an hour ago, she finished up a little 30-minute talk with a softball question reporter
[39:50.000 --> 39:56.000]  from the Aspen Institute saying, I'll take his recommendation, but I want to know what's being done
[39:56.000 --> 40:00.000]  and then what's being planned after that recommendation.
[40:00.000 --> 40:03.000]  So I'm not going to recuse myself, but I'm not involved.
[40:03.000 --> 40:05.000]  But she's admitting she's involved.
[40:05.000 --> 40:08.000]  So it really is an outrageous video.
[40:08.000 --> 40:13.000]  I want to play this clip for folks, and if we can run a little bit longer than we did last time,
[40:13.000 --> 40:15.000]  because there's some real substance here.
[40:15.000 --> 40:20.000]  Again, this has Richard Nixon going, I'm not a crook.
[40:20.000 --> 40:22.000]  I'm not a crook.
[40:22.000 --> 40:25.000]  Or Clinton going, I didn't have sex with that woman Monica Lewinsky.
[40:25.000 --> 40:29.000]  But this isn't oral sex in the oral office.
[40:29.000 --> 40:32.000]  This isn't just lying to a grand jury.
[40:32.000 --> 40:37.000]  This is meeting with the attorney general who's been covering your butt
[40:37.000 --> 40:41.000]  while you butcher this country's liberties up one side and down the other run.
[40:41.000 --> 40:47.000]  False flags against the Second Amendment, order stand downs, create ISIS, arm Al Qaeda,
[40:47.000 --> 40:55.000]  open our borders up outside of law, let people with diseases in, set up all this domestic surveillance of patriots,
[40:55.000 --> 40:58.000]  put Obamacare in to screw us over.
[40:58.000 --> 41:01.000]  Her foundation getting 100 plus million from Saudi Arabia,
[41:01.000 --> 41:05.000]  and when they're executing homosexuals and women or slaves.
[41:05.000 --> 41:08.000]  I mean, she's just a giant fraud.
[41:08.000 --> 41:10.000]  What is wrong with so-called feminists?
[41:10.000 --> 41:14.000]  They just want the delusion that she's a woman and you just don't like her because she's a woman.
[41:14.000 --> 41:17.000]  I could care less that Loretta Lynch is a woman or that Hillary is.
[41:17.000 --> 41:22.000]  They're horrible corrupt people.
[41:22.000 --> 41:23.000]  I can't stand Bill Clinton.
[41:23.000 --> 41:25.000]  He's a horrible person.
[41:25.000 --> 41:27.000]  Obama's horrible.
[41:27.000 --> 41:32.000]  It has nothing to do with the fact that he's part African.
[41:32.000 --> 41:36.000]  This identity politics is killing us.
[41:36.000 --> 41:41.000]  And you know, if Hillary was a man, she'd already be indicted.
[41:41.000 --> 41:46.000]  They just, they use this whole thing, again, that she's a woman.
[41:46.000 --> 41:48.000]  We're going to hear that for eight years.
[41:48.000 --> 41:55.000]  Oh, it's a woman, so you can't.
[41:55.000 --> 41:59.000]  Let's go ahead and go to the clip of her earlier today.
[41:59.000 --> 42:05.000]  Now, what's interesting here is you fully expect to accept the recommendations.
[42:05.000 --> 42:10.000]  One thing people were saying this morning when the news broke was that you were, quote,
[42:10.000 --> 42:16.000]  recusing yourself from having any kind of role in the final determination.
[42:16.000 --> 42:17.000]  Is that the case?
[42:17.000 --> 42:18.000]  Is that what you're saying?
[42:18.000 --> 42:21.000]  Well, a recusing would mean that I wouldn't even be brief on what the findings were
[42:21.000 --> 42:24.000]  or what the actions going forward would be.
[42:24.000 --> 42:29.000]  And while I don't have a role in those findings, in coming up with those findings
[42:29.000 --> 42:33.000]  or making those recommendations as to how to go forward, I'll be briefed on it.
[42:33.000 --> 42:36.000]  And I will be accepting their recommendations.
[42:36.000 --> 42:37.000]  And when you say you...
[42:37.000 --> 42:40.000]  I guess it must be the journalist in the language.
[42:40.000 --> 42:42.000]  I'm going to back up a little bit.
[42:42.000 --> 42:45.000]  She will accept, she will take the findings,
[42:45.000 --> 42:49.000]  but she says she wants to still be involved with what's done with those findings,
[42:49.000 --> 42:53.000]  implying she's going to try to block any criminal prosecution,
[42:53.000 --> 42:56.000]  which she's already been doing.
[42:56.000 --> 42:59.000]  They love using this lawyer talk on everybody.
[42:59.000 --> 43:00.000]  So that's what they just did.
[43:00.000 --> 43:03.000]  Let's go back to the so-called journalist.
[43:03.000 --> 43:06.000]  Again, this must be the journalist in me and the linguist in me.
[43:06.000 --> 43:10.000]  Accepting to me means here, Madam Attorney General, here are our findings.
[43:10.000 --> 43:16.000]  And you completely accept them wholeheartedly and then issue them to the public,
[43:16.000 --> 43:19.000]  or you accept them, look them over,
[43:19.000 --> 43:24.000]  and then make your own determination as to what the final determination will be.
[43:24.000 --> 43:29.000]  No, the final determination as to how to proceed will be contained within the recommendations
[43:29.000 --> 43:32.000]  and the report in whatever format the team puts it together.
[43:32.000 --> 43:36.000]  That has not been resolved, whatever report they provide to me.
[43:36.000 --> 43:39.000]  There will be a review of their investigation.
[43:39.000 --> 43:40.000]  There you go.
[43:40.000 --> 43:43.000]  There will be a review of what they have found and determined to have happened and occurred.
[43:43.000 --> 43:44.000]  Then they'll change it.
[43:44.000 --> 43:45.000]  Then they'll change it.
[43:45.000 --> 43:47.000]  Then they'll persecute them and give them a back off.
[43:47.000 --> 43:49.000]  They should proceed.
[43:49.000 --> 43:53.000]  And when you say there will be a review, you mean the review will be done by you?
[43:53.000 --> 43:58.000]  Once you accept the recommendations and determinations,
[43:58.000 --> 44:01.000]  or if you're talking about the process of the review getting to that point.
[44:01.000 --> 44:04.000]  I'm talking about the initial process of how this case will be resolved.
[44:04.000 --> 44:07.000]  We're going to finish the rest of this, but this is so sensational.
[44:07.000 --> 44:09.000]  Do you understand what you just saw?
[44:09.000 --> 44:11.000]  She's going to decide how to proceed.
[44:11.000 --> 44:12.000]  She's just admitted it.
[44:12.000 --> 44:14.000]  So there's your headline.
[44:14.000 --> 44:16.000]  Lynch will take the FBI's quote recommendation,
[44:16.000 --> 44:18.000]  and then I guess she's judge, jury and executioner.
[44:18.000 --> 44:20.000]  And you know, she's the judge hanging out with the Clintons.
[44:20.000 --> 44:26.000]  She will now basically decide because they're going to review and then persecute
[44:26.000 --> 44:32.000]  and claim it's wrong and let the press attack and link this info on those FBI agents.
[44:32.000 --> 44:35.000]  Let's finish the clip.
[44:35.000 --> 44:39.000]  This case will be resolved by the team that's been working on it from the beginning.
[44:39.000 --> 44:42.000]  Supervisors always review matters.
[44:42.000 --> 44:46.000]  In this case, that review will be career people in the Department of Justice.
[44:46.000 --> 44:51.000]  And also the FBI will review it up to and including the FBI director.
[44:51.000 --> 44:55.000]  And that will be the finalization of not just the factual findings,
[44:55.000 --> 44:58.000]  but the next steps in this matter.
[44:58.000 --> 44:59.000]  There you go.
[44:59.000 --> 45:02.000]  There's your headline right there, folks.
[45:02.000 --> 45:08.000]  Loretta Lynch, the Justice Department will decide how to act on the FBI report.
[45:08.000 --> 45:09.000]  Boom.
[45:09.000 --> 45:11.000]  She goes, I'm not going to recuse myself.
[45:11.000 --> 45:14.000]  You know, I'm going to accept their findings, but I'm not involved,
[45:14.000 --> 45:19.000]  but I'm going to make the final determination with senior career people, her minions,
[45:19.000 --> 45:20.000]  like shark teeth.
[45:20.000 --> 45:23.000]  It's going to get Jan and Reno and then you get the next.
[45:23.000 --> 45:24.000]  Oh, how wonderful.
[45:24.000 --> 45:29.000]  We now have Eric Holder and then his minion Loretta Lynch and then the next minion
[45:29.000 --> 45:30.000]  and the next minion.
[45:30.000 --> 45:32.000]  They will decide, not her.
[45:32.000 --> 45:34.000]  Oh, my minion I brought in.
[45:34.000 --> 45:38.000]  They decide this isn't legitimate and we're going to ignore it.
[45:38.000 --> 45:40.000]  That's how they plan to operate.
[45:40.000 --> 45:43.000]  Larry Nichols on after the break here for just five minutes, maybe two sevens,
[45:43.000 --> 45:44.000]  maybe 10 minutes.
[45:44.000 --> 45:48.000]  Appreciate him popping in the constant Clinton and cider to tell us where he thinks this
[45:48.000 --> 45:49.000]  is going.
[45:49.000 --> 45:54.000]  I personally smell blood and I think this is one of the biggest blows ever to them.
[45:54.000 --> 45:57.000]  But just the way the press is responding, everything is happening.
[45:57.000 --> 45:59.000]  The corruption is so naked.
[45:59.000 --> 46:04.000]  Before I go any further, they are setting up FEMA camps.
[46:04.000 --> 46:06.000]  We're going to cover this the next hour.
[46:06.000 --> 46:07.000]  We have all the documents, all the news articles.
[46:07.000 --> 46:09.000]  They're preparing for civil unrest.
[46:09.000 --> 46:12.000]  The globalists admit they want to make us independent.
[46:12.000 --> 46:14.000]  There's my foot in slip.
[46:14.000 --> 46:17.000]  The globalists admit they want to make us totally and completely dependent on them.
[46:17.000 --> 46:19.000]  I want to make everybody independent.
[46:19.000 --> 46:23.000]  And we've got everything you need from non GMO heirloom seeds, the lowest prices,
[46:23.000 --> 46:28.000]  the widest selection, the high quality, storable foods to shortwave radios to solar
[46:28.000 --> 46:32.000]  panel kits and control units that are the best out there bar none.
[46:32.000 --> 46:35.000]  Everything at infowarstore.com.
[46:35.000 --> 46:37.000]  We're running one of the biggest sales ever.
[46:37.000 --> 46:39.000]  I normally do this once a year.
[46:39.000 --> 46:42.000]  I just did this two months ago, but didn't have as many items in it.
[46:42.000 --> 46:43.000]  It was just food.
[46:43.000 --> 46:48.000]  20 to 40% off everything that is survival related.
[46:48.000 --> 46:50.000]  It's our fourth of July.
[46:50.000 --> 46:53.000]  Megaspecials are now live at infowarstore.com.
[46:53.000 --> 46:57.000]  Our Independence Day Megaspecials are now live again at infowarstore.com.
[46:57.000 --> 47:00.000]  Secure independence from the establishment with 20% off survival shield,
[47:00.000 --> 47:07.000]  nascent iodine, X2, a total game changer, 20 to 40% off all infowar storeable food,
[47:07.000 --> 47:13.000]  20% off Alexa pure water filtration systems, 20% off Alexa pure air purifiers,
[47:13.000 --> 47:14.000]  and a lot more.
[47:14.000 --> 47:17.000]  These specials will run for a limited time while supplies last.
[47:17.000 --> 47:21.000]  This Independence Day is a great time to support the real tip of the spear when it
[47:21.000 --> 47:22.000]  comes to the fight for liberty.
[47:22.000 --> 47:25.000]  Your support makes everything we do possible from exposing Hillary Clinton to fighting
[47:25.000 --> 47:31.000]  with the Constitution and trying to stop World War III while we open Europe up to
[47:31.000 --> 47:35.000]  radical Islamists, but then start a fight with Russia that's trying to fight with us.
[47:35.000 --> 47:40.000]  Visit infowarstore.com right now and secure your independence with these
[47:40.000 --> 47:43.000]  Megaspecials while supplies last.
[47:43.000 --> 47:45.000]  Again, the globalists have our borders open.
[47:45.000 --> 47:47.000]  Europe's borders open to people that want to kill us.
[47:47.000 --> 47:51.000]  Russia's battling the same people, so the globalists are trying to start a war with Russia.
[47:51.000 --> 47:55.000]  The globalists are trying to bring the West down and what's left of sovereign nations
[47:55.000 --> 47:56.000]  down.
[47:56.000 --> 47:57.000]  They want to bring you and your family down.
[47:57.000 --> 47:59.000]  They want to bring independence down.
[47:59.000 --> 48:05.000]  And this Independence Day lets declare, like Trump said a few days ago, economic independence,
[48:05.000 --> 48:10.000]  cultural independence, national independence, mental and spiritual independence from this
[48:10.000 --> 48:15.000]  Babylonian world government satanic system.
[48:15.000 --> 48:20.000]  You're not going to find better, higher quality, clean, produced right here in America,
[48:20.000 --> 48:23.000]  storeable foods, then you're going to find with my patron supply.
[48:23.000 --> 48:26.000]  They only started like eight years ago and they've become the number, what is it?
[48:26.000 --> 48:29.000]  Number two now, storeable foods company in the world.
[48:29.000 --> 48:33.000]  Now, there are a lot of old companies got together that were the best with some folks in Utah.
[48:33.000 --> 48:37.000]  We're already doing it for decades, but it's a new company that's taken over because it's high quality,
[48:37.000 --> 48:42.000]  clean, decent, delicious food at the lowest price that even compared to crap food.
[48:42.000 --> 48:44.000]  This is the best out there.
[48:44.000 --> 48:46.000]  By every metric, the price is incredibly low.
[48:46.000 --> 48:48.000]  The packaging is the best.
[48:48.000 --> 48:51.000]  It lasts 25 years and that's 20 to 40% off.
[48:51.000 --> 48:53.000]  And most of the packages are 40%.
[48:53.000 --> 48:56.000]  It's not like, oh, a few are 40%, but some are already so discounted.
[48:56.000 --> 48:59.000]  We can't offer more than 20 because then there's like 10% profit.
[48:59.000 --> 49:01.000]  We got to make some money around here.
[49:01.000 --> 49:02.000]  I'm trying to launch aircraft.
[49:02.000 --> 49:03.000]  I signed a contract.
[49:03.000 --> 49:04.000]  I'm not trying.
[49:04.000 --> 49:09.000]  $30,000 for the RNC with the big Hillary for prison plane.
[49:09.000 --> 49:13.000]  And if we're able to sell enough of the t-shirts, I'm going to do 30,000 more to fly the plane.
[49:13.000 --> 49:20.000]  It's been two days with a giant banner saying Hillary for prison over the Philadelphia DNC.
[49:20.000 --> 49:26.000]  And we have got more of the Hillary for prison shirts back in stock of the third design.
[49:26.000 --> 49:27.000]  I think it's the best design yet.
[49:27.000 --> 49:29.000]  It's the classic design on Navy blue.
[49:29.000 --> 49:33.000]  Hillary for prison 2016 on the right shoulder says info wars.com.
[49:33.000 --> 49:36.000]  On the back, it says legalized freedom info wars.com.
[49:36.000 --> 49:41.000]  So it's the same as the last design except it has a right shoulder info wars.com.
[49:41.000 --> 49:44.000]  It's the very best design we've had so far.
[49:44.000 --> 49:49.000]  And the last version had a 4.9 review star.
[49:49.000 --> 49:52.000]  This has no reviews yet because we started selling it three days ago.
[49:52.000 --> 49:57.000]  The 18 Wheeler came in on Tuesday produced right here in America.
[49:57.000 --> 49:59.000]  So please get these shirts at full price.
[49:59.000 --> 50:02.000]  I sold the others like $5.95, $9.95.
[50:02.000 --> 50:06.000]  We need to sell a ton of these to pay for the aircraft.
[50:06.000 --> 50:12.000]  I need to sell thousands of these just to be able to print the banners.
[50:12.000 --> 50:14.000]  Because I want to fly some info wars banners as well.
[50:14.000 --> 50:15.000]  And they're gigantic.
[50:15.000 --> 50:17.000]  They're not your normal banners you see behind planes.
[50:17.000 --> 50:18.000]  They're the humongous ones.
[50:18.000 --> 50:20.000]  They're like super fat and super long.
[50:20.000 --> 50:22.000]  They're like $5,000 a piece.
[50:22.000 --> 50:27.000]  The two days, four flights a day is $30,000.
[50:27.000 --> 50:29.000]  And that's how we do it.
[50:29.000 --> 50:32.000]  We should be all in folks in the fight against the globalist.
[50:32.000 --> 50:33.000]  We need to commit.
[50:33.000 --> 50:35.000]  We need to spend our money, our energy, our time.
[50:35.000 --> 50:37.000]  I am all in.
[50:37.000 --> 50:39.000]  So far this year I've paid myself nothing,
[50:39.000 --> 50:41.000]  and I intend to pay myself nothing.
[50:41.000 --> 50:45.000]  I am going to try to put everything we've got this year.
[50:45.000 --> 50:48.000]  Everything we've got just totally into the fight
[50:48.000 --> 50:50.000]  because it's such an epic time to be alive.
[50:50.000 --> 50:51.000]  Do that with us.
[50:51.000 --> 50:52.000]  Buy the nutraceuticals.
[50:52.000 --> 50:53.000]  Buy the t-shirts.
[50:53.000 --> 50:54.000]  Get ready.
[50:54.000 --> 50:55.000]  Prepare yourselves.
[50:55.000 --> 50:58.000]  That's your defense while you're on the offense supporting us
[50:58.000 --> 50:59.000]  to be in the info war.
[50:59.000 --> 51:01.000]  It's a total 360 win.
[51:01.000 --> 51:06.000]  The fest kept secret in the firearms business is CDNNsports.com.
[51:06.000 --> 51:10.000]  CDNNsports is the largest firearms liquidator in the U.S.
[51:10.000 --> 51:15.000]  We've got optics, accessories, gun parts, magazines, ammunition and more.
[51:15.000 --> 51:19.000]  Sign up for our e-mail specials today for the best gun deals period.
[51:19.000 --> 51:23.000]  You will also be entered to win a Winchester 101 field shotgun.
[51:23.000 --> 51:27.000]  Go to Charlie, Delta, November, NovemberSports.com.
[51:27.000 --> 51:31.000]  That's CDNNsports.com.
[51:58.000 --> 52:04.000]  If you ever wanted a great deal on a powerful solar generator,
[52:04.000 --> 52:07.000]  but were waiting for an outrageously low price,
[52:07.000 --> 52:09.000]  you are not going to want to miss this important message.
[52:09.000 --> 52:10.000]  Here's why.
[52:10.000 --> 52:13.000]  My friends, we already see major power grid problems,
[52:13.000 --> 52:14.000]  and it's getting worse.
[52:14.000 --> 52:15.000]  So please listen.
[52:15.000 --> 52:19.000]  Solar generators really do provide life-saving electrical power.
[52:19.000 --> 52:22.000]  And unlike gas generators, solar generators run silently,
[52:22.000 --> 52:25.000]  emit no fumes or gases, and produce electricity from the sun.
[52:25.000 --> 52:29.000]  Whether it's dangerous summer storms, blackouts, intensifying civil unrest,
[52:29.000 --> 52:32.000]  you're not going to have to suffer through it like the rest of the sheep.
[52:32.000 --> 52:35.000]  And here's the best news if you want to get one this week.
[52:35.000 --> 52:39.000]  Solutions from Science has a big sale on their fast charge solar generators,
[52:39.000 --> 52:43.000]  and they're giving away a couple thousand dollars worth of off-the-grid gear
[52:43.000 --> 52:46.000]  in addition to the low price for M4W's listeners.
[52:46.000 --> 52:48.000]  So it's a good time to check it out.
[52:48.000 --> 52:50.000]  Go to gridwars.com.
[52:50.000 --> 52:51.000]  That's gridwars.com.
[52:51.000 --> 52:55.000]  It's a great opportunity to generate maximum electricity with minimum money.
[52:55.000 --> 52:56.000]  Go to gridwars.com.
[52:56.000 --> 53:22.000]  Go to gridwars.com.
[53:26.000 --> 53:30.000]  Feel the thrill, only at slingbow.com.
[53:56.000 --> 54:06.000]  Welcome back. I'm Alex Jones.
[54:06.000 --> 54:11.000]  We are on the verge of the fall of the Clintons, in my view.
[54:11.000 --> 54:15.000]  Now Larry Nichols helped get them into power, worked with them for many years,
[54:15.000 --> 54:21.000]  helped produce the major definitive works on them in their early criminal activities.
[54:21.000 --> 54:23.000]  The Clinton Chronicles.
[54:23.000 --> 54:28.000]  But now we chronicle their activities. It's even far worse than we can imagine.
[54:28.000 --> 54:31.000]  And she's far more vindictive and evil than ever.
[54:31.000 --> 54:36.000]  So he predicted and said the email scandal wouldn't get her so far. It hasn't.
[54:36.000 --> 54:40.000]  But I tell you, the optics of Loretta Lynch and Bill Clinton meeting and telling the press,
[54:40.000 --> 54:41.000]  turn off their cameras.
[54:41.000 --> 54:44.000]  I mean, this is a mob meeting in the forest.
[54:44.000 --> 54:47.000]  This is a James Bond crime boss meeting on the tarmac.
[54:47.000 --> 54:50.000]  The optics of this, the visuals on this.
[54:50.000 --> 54:56.000]  It seems like the whole press is freaking out. It seems like that the worm has turned.
[54:56.000 --> 55:00.000]  Now, do you think I'm wrong, Larry Nichols? Or what do you have to say?
[55:00.000 --> 55:09.000]  Hey, Alex. Well, number one, you know as well as I, Alex, that if Hillary was called
[55:09.000 --> 55:14.000]  raping a woman downtown on camera in Washington, D.C.,
[55:14.000 --> 55:21.000]  the 40% of the people that are behind her all the way, the feminists, the eagles, the
[55:21.000 --> 55:28.000]  mausoleums, then I'm going to change this whole thing hinges on that 20% that they called,
[55:28.000 --> 55:30.000]  you know, undecided.
[55:30.000 --> 55:33.000]  And let me tell you, I can tell you what went on in that place.
[55:33.000 --> 55:38.000]  There's one of two or three things because that's what I used to do for them.
[55:38.000 --> 55:40.000]  So I know fairly well what happened.
[55:40.000 --> 55:47.000]  Bill Clinton met the Blanche and he was there to assure her that when Hillary gets to be
[55:47.000 --> 55:51.000]  president, she'll be able to keep her job if she enjoys it.
[55:51.000 --> 55:58.000]  Number one, number two, I would imagine he gave her a slip of paper, a slip of paper
[55:58.000 --> 56:00.000]  that had it on it.
[56:00.000 --> 56:07.000]  A couple of things about the career prosecutors that are working the case.
[56:07.000 --> 56:15.000]  And what was on that, Alex, were the things they had on them, you know, the drugs, women,
[56:15.000 --> 56:17.000]  men, whatever.
[56:17.000 --> 56:23.000]  And she is to show them what they've got and if they, you know, die or don't do what
[56:23.000 --> 56:25.000]  she says, that's what's coming out.
[56:25.000 --> 56:27.000]  So he gave her that slip of paper.
[56:27.000 --> 56:33.000]  So he gave her the blackmail information and you can see her licking her lips on TV in
[56:33.000 --> 56:37.000]  this interview today at the Aspen Institute saying she's going to decide what to do with
[56:37.000 --> 56:40.000]  the FBI report with her Justice Department people.
[56:40.000 --> 56:43.000]  That is just sensationally arrogant.
[56:43.000 --> 56:44.000]  Right.
[56:44.000 --> 56:55.000]  Now, the third thing is that they want Loretta Lynch to prosecute some of the protesters
[56:55.000 --> 56:56.000]  against Hillary.
[56:56.000 --> 57:03.000]  Those of us that are speaking out against immigration, against Muslims, et cetera, et cetera.
[57:03.000 --> 57:11.000]  Mill Clinton told her that he wanted her, they need her to step up and indict somebody
[57:11.000 --> 57:16.000]  for hate speech because that will clear the road for the rest of the way for Hillary.
[57:16.000 --> 57:21.000]  You'll back down the offer of conservative people, the moral Christian conservative people
[57:21.000 --> 57:24.000]  that they figure are going to raise their voices.
[57:24.000 --> 57:26.000]  You're going to put that down.
[57:26.000 --> 57:30.000]  Sure, and that's what the persecution of tens of thousands of churches and conservative
[57:30.000 --> 57:32.000]  and libertarian groups where the IRS was about.
[57:32.000 --> 57:34.000]  In fact, let's put it on screen.
[57:34.000 --> 57:38.000]  There's an article from last year where she said we're going to persecute people for their
[57:38.000 --> 57:40.000]  free speech when they criticize us.
[57:40.000 --> 57:43.000]  She's actually come out and said that before I'm looking for the article.
[57:43.000 --> 57:47.000]  So you're saying from working with the Clintons and handling them for many years, that's what
[57:47.000 --> 57:49.000]  you believe happened on the airplane.
[57:49.000 --> 57:51.000]  That's what I know happened.
[57:51.000 --> 57:56.000]  Now, I wasn't there, of course, that I wrote the book that they used, and I did it so many
[57:56.000 --> 58:03.000]  times, Alex, that I know the M.O., that the strange meeting, the quick meeting, the quote
[58:03.000 --> 58:06.000]  and quote, accidental on purpose meeting.
[58:06.000 --> 58:10.000]  You know, Mill Clinton wasn't in Atlanta or wherever this was, supposedly playing golf.
[58:10.000 --> 58:13.000]  He wasn't more playing golf than a man in the moon.
[58:13.000 --> 58:19.000]  He was there to deliver a message, and he was the one that they chose to deliver it.
[58:19.000 --> 58:25.000]  You know for yourself, the red linch for all that she is, she ain't stupid.
[58:25.000 --> 58:32.000]  She knew she would have known if she met with Bill Clinton that this kind of fervor was going to happen.
[58:32.000 --> 58:36.000]  Well, that's why they had the FBI told the press to turn the cameras off.
[58:36.000 --> 58:37.000]  This is arrogance.
[58:37.000 --> 58:38.000]  Stay right there.
[58:38.000 --> 58:39.000]  Back in 70 seconds.
[58:39.000 --> 58:41.000]  Tell your prison family, go ahead now, folks.
[58:41.000 --> 58:43.000]  This is history happening, and this is the insider.
[58:43.000 --> 58:44.000]  Thank you for listening.
[58:44.000 --> 58:45.000]  Or with him.
[58:45.000 --> 58:46.000]  Straight ahead.
[58:46.000 --> 58:49.000]  Visit GCN Live.com today.
[59:16.000 --> 59:21.000]  5-3-3-1-3-9 to order your Pro Max shower filter from Pro Pure today.
[59:46.000 --> 59:53.000]  5-3-3-3-1-3-9 to order your Pro Max shower filter from Pro Pure today.
[01:00:16.000 --> 01:00:23.000]  5-3-3-3-3-9 to order your Pro Max shower filter from Pro Pure today.
[01:00:47.000 --> 01:00:49.000]  On the tarmac, she meets him.
[01:00:49.000 --> 01:00:51.000]  They meet for 30 minutes at least.
[01:00:51.000 --> 01:00:55.000]  The FBI and Secret Service tell ABC News and others to turn your cameras off.
[01:00:55.000 --> 01:00:57.000]  They've testified to that now.
[01:00:57.000 --> 01:01:00.000]  This is clearly premeditated evil.
[01:01:00.000 --> 01:01:02.000]  It isn't an accident, chance meeting.
[01:01:02.000 --> 01:01:04.000]  Why would they be so incredibly arrogant?
[01:01:04.000 --> 01:01:06.000]  I mean, is there a method for the madness?
