[00:00:01.350 --> 00:00:03.072]  News moves fast here.
[00:35:40.367 --> 00:35:43.509]  That's toll free at 888-803-4438.
[00:35:43.509 --> 00:35:49.691]  Not yet available in Iowa.
[00:35:49.691 --> 00:35:52.092]  Waging war on corruption.
[00:35:52.092 --> 00:35:54.853]  Alex Jones on the GCM Radio Network.
[00:36:01.443 --> 00:36:06.265]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:36:06.265 --> 00:36:07.846]  You want answers?
[00:36:07.846 --> 00:36:08.786]  Well, so does he.
[00:36:08.786 --> 00:36:13.589]  He's Alex Jones on the GCN Radio Network.
[00:36:13.589 --> 00:36:18.431]  And now, live from Austin, Texas, Alex Jones.
[00:36:18.431 --> 00:36:21.392]  Sheriff Sigfrido Gonzalez, Jr.
[00:36:21.392 --> 00:36:23.533]  is in Apollo County, Texas.
[00:36:23.533 --> 00:36:25.814]  He's scheduled to join us in eight minutes.
[00:36:25.814 --> 00:36:29.756]  I'm gonna limit this interview because we've got CNN and others next, uh,
[00:36:30.560 --> 00:36:34.383]  A little while, releasing supposed Pentagon plane strike video.
[00:36:34.383 --> 00:36:35.884]  We'll tell you what's behind all that.
[00:36:35.884 --> 00:36:38.726]  Continual up to the minute coverage.
[00:36:38.726 --> 00:36:41.808]  I'll be breaking in even during the guest with the latest info for you.
[00:36:41.808 --> 00:36:46.551]  We have Congressman Bonilla set up as well and another sheriff later as well.
[00:36:46.551 --> 00:36:48.573]  Massive paramilitary attacks.
[00:36:48.573 --> 00:36:51.715]  Foreign troops, you name it, on the border right now.
[00:36:51.715 --> 00:36:52.956]  Really serious.
[00:36:52.956 --> 00:36:56.679]  There have been a racial drive-by shooting attack by the Reconquistas in
[00:36:57.515 --> 00:37:04.701]  North Carolina last night, Bush's spin, total amnesty plan that he's claiming has something to do with troops on the borders.
[00:37:04.701 --> 00:37:06.183]  We'll be tracking all of that.
[00:37:06.183 --> 00:37:09.085]  Sherry in Texas, thanks for holding her on the air, go ahead.
[00:37:09.085 --> 00:37:13.949]  I don't want to be on the air.
[00:37:13.949 --> 00:37:15.010]  You didn't want to be on the air?
[00:37:15.010 --> 00:37:15.371]  No.
[00:37:15.371 --> 00:37:16.532]  Okay, thank you ma'am for the call.
[00:37:16.532 --> 00:37:18.533]  You called in and said you wanted to be on the air.
[00:37:18.533 --> 00:37:20.375]  Terry in Florida, you're on the air, go ahead.
[00:37:21.385 --> 00:37:22.346]  Hi, Alex?
[00:37:22.346 --> 00:37:22.926]  Yes?
[00:37:22.926 --> 00:37:29.710]  Hi, I've got some information I'd like to fax to you, and also, there's something I need to read to you real quick.
[00:37:29.710 --> 00:37:31.511]  It's about the World Trade Towers.
[00:37:31.511 --> 00:37:35.013]  And this comes out of Germany, a lost tribe of ancient Israel.
[00:37:35.013 --> 00:37:38.095]  And it says, World Trade Towers are a curable bruise and grievous wound.
[00:37:38.095 --> 00:37:44.258]  Jeremiah compares collapsing the World Trade Towers to an incurable bruise and grievous wound, from which no healing medicines are available.
[00:37:44.258 --> 00:37:47.340]  For thus saith the Lord, thy bruise is incurable, thy wound is grievous.
[00:37:47.830 --> 00:37:50.613]  There is none to plead thy cause, that thou mayest be bound up.
[00:37:50.613 --> 00:37:52.415]  Thou hast no healing medicines.
[00:37:52.415 --> 00:37:53.716]  All thy lovers have forgotten thee.
[00:37:53.716 --> 00:37:54.958]  They seek thee not.
[00:37:54.958 --> 00:37:58.982]  I have wounded thee with the wound of an enemy.
[00:37:58.982 --> 00:37:59.823]  Thank you, Terry.
[00:37:59.823 --> 00:38:01.164]  I appreciate the call.
[00:38:01.164 --> 00:38:02.506]  Let's talk to Bill in Maine.
[00:38:02.506 --> 00:38:03.387]  Bill, you're on the air.
[00:38:03.387 --> 00:38:04.328]  Go ahead, Bill.
[00:38:04.328 --> 00:38:05.789]  Hey, Alex.
[00:38:05.789 --> 00:38:06.490]  I'll be real quick.
[00:38:07.134 --> 00:38:15.438]  Last night I watched the speech on TV, and one thing I did notice, where Mr. Bush, and I don't have the transcript in front of me, but I like you, Alex.
[00:38:15.438 --> 00:38:18.539]  I believe in the truth, the facts, the words, and all that.
[00:38:18.539 --> 00:38:22.861]  And one thing I'd like to say is that you're an honest man, and I appreciate it.
[00:38:22.861 --> 00:38:24.002]  Honest to God, I do.
[00:38:24.002 --> 00:38:25.582]  I appreciate you, Alex.
[00:38:25.582 --> 00:38:30.564]  But last night, what he said was, he said we are a country of laws.
[00:38:30.564 --> 00:38:36.427]  And he was trying to make the importance of we are a country of laws, and we need to go by laws.
[00:38:36.786 --> 00:38:42.710]  Well, if that's the case, how come he didn't mention the laws that were being violated by the big corporations?
[00:38:42.710 --> 00:38:45.513]  Why not fine them thousands of dollars a day?
[00:38:45.513 --> 00:38:48.175]  Just be honorable to them.
[00:38:48.175 --> 00:38:51.337]  Give them 30 days' notice to clean up their act or face the current law.
[00:38:51.337 --> 00:38:53.459]  Because Bush is behind the Laurie Conquista.
[00:38:53.459 --> 00:38:57.702]  He's openly called for totally open borders, blanking amnesty.
[00:38:57.702 --> 00:39:02.025]  He's tagging trips on the border for two months with an amnesty plan.
[00:39:02.025 --> 00:39:04.587]  There won't even be a need for trips because it'll be legalized.
[00:39:04.987 --> 00:39:06.008]  See, I believe that 100%, Alex.
[00:39:06.008 --> 00:39:08.549]  Well, that's in the official plan!
[00:39:08.549 --> 00:39:13.452]  What I can't understand is why so many people that consider themselves Christians go along with this.
[00:39:13.452 --> 00:39:17.394]  It's been one lie after one lie after a thousand lies.
[00:39:17.394 --> 00:39:19.655]  And you know, it used to be where one lie was good enough.
[00:39:20.231 --> 00:39:28.716]  I mean, from Jessica Lynch to the Tillman story to what the generals were saying... First he said he wasn't spying on us, it'd be illegal.
[00:39:28.716 --> 00:39:30.677]  Then he says he is and he's allowed to.
[00:39:30.677 --> 00:39:33.639]  They say they're allowed to torture people, even if it's illegal.
[00:39:33.639 --> 00:39:34.500]  Exactly.
[00:39:34.500 --> 00:39:34.800]  Right.
[00:39:34.800 --> 00:39:39.803]  And I noticed Tony Snow's first day was today, and then they're trying to release all the confusion of everything else.
[00:39:40.327 --> 00:39:42.869]  Yeah, you know, Alex, let me let you go, and thank you.
[00:39:42.869 --> 00:39:47.411]  Keep up the good work, and I appreciate you, GCN, and all the sponsors behind you.
[00:39:47.411 --> 00:39:48.012]  Thank you.
[00:39:48.012 --> 00:39:48.692]  Thank you, Bill.
[00:39:48.692 --> 00:39:54.095]  Mark in New York, you're on the air.
[00:39:54.095 --> 00:39:54.655]  Alex?
[00:39:54.655 --> 00:39:55.876]  Yes, you're on the air.
[00:39:55.876 --> 00:39:57.077]  Okay, sir, how you doing?
[00:39:57.077 --> 00:40:01.780]  Listen, I just wanted to mention a couple things about the 9-1-1 Truth Movement.
[00:40:01.780 --> 00:40:04.021]  Of course, you do realize
[00:40:04.966 --> 00:40:31.248]  that uh... these who benefits like you always say keep on all benefits from this and if if we look back in history we see who benefits and and they're blaming our financial problems i know some of the lot and when we all know darn right well it's not a problem that's that's destroying the middle class here in america uh... besides that i have to tell you about some woman saw your bumper sticker on my car and uh... and she she she wanted
[00:40:31.664 --> 00:40:39.627]  You know, she corralled me outside of my workplace, explaining with this minister, explaining how, Alex Jones isn't the Christian that you think he is.
[00:40:39.627 --> 00:40:43.248]  You should listen to God, and you know, God's going to take care of all these things.
[00:40:43.248 --> 00:40:45.189]  And Alex, I'll tell you something.
[00:40:45.189 --> 00:40:47.890]  These religious zombies are pretty bad.
[00:40:47.890 --> 00:40:50.611]  They're a pretty brutal part of our whole truth movement.
[00:40:50.611 --> 00:40:50.831]  I know.
[00:40:50.831 --> 00:40:55.233]  They think worshipping world government and tyranny is what Jesus wants.
[00:40:55.233 --> 00:40:55.833]  We'll be right back.
[00:40:58.243 --> 00:41:01.346]  There is a secret that holds the world's destiny in its grasp.
[00:41:01.346 --> 00:41:03.268]  Hello my friends, Alex Jones here.
[00:41:03.268 --> 00:41:08.273]  Learn that secret with my new film, Martial Law 9-11 Rise of the Police State.
[00:41:08.273 --> 00:41:13.138]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy.
[00:41:13.138 --> 00:41:17.303]  Out of the ashes of the September 11th tragedy, a dark empire of war and tyranny has risen.
[00:41:17.523 --> 00:41:20.464]  The Constitution has been shredded, and America is now a police state.
[00:41:20.464 --> 00:41:25.327]  This film exposes not just who was behind the 9-11 attacks, but the roots and history of its orchestrators.
[00:41:25.327 --> 00:41:29.969]  Martial Law is a blazing spotlight piercing the electronic Berlin Wall of controlled corporate media.
[00:41:29.969 --> 00:41:37.453]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that has sworn to turn the Earth into a prison planet.
[00:41:37.453 --> 00:41:40.034]  Discover the documented truth for yourself before it's too late.
[00:41:40.034 --> 00:41:41.855]  Call toll-free to get a copy of Martial Law.
[00:41:41.855 --> 00:41:42.155]  1-888-253-3139.
[00:41:42.155 --> 00:41:42.715]  Or visit InfoWars.com
[00:41:46.817 --> 00:41:48.000]  And a secure shopping cart.
[00:41:48.000 --> 00:41:49.103]  That's InfoWars.com or AAA-253-3139.
[00:41:49.103 --> 00:41:51.348]  Or watch the film right now online at PrisonPlanet.tv.
[00:41:57.455 --> 00:42:06.300]  Berkey Water Filters are the ultimate filters used worldwide for normal or hostile filtration environments to provide the most delicious, sparkling, clean water possible.
[00:42:06.300 --> 00:42:17.787]  The Berkey Light's self-sterilizing filter elements remove pathogenic bacteria, cysts, parasites, chemicals, and they reduce lead, mercury, aluminum, nitrate, sulfur odors, foul tastes, and much, much more.
[00:42:17.787 --> 00:42:20.429]  Yet, they leave in the nutritional minerals that your body needs.
[00:42:20.769 --> 00:42:21.409]  We're good to go!
[00:42:38.797 --> 00:42:42.600]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[00:43:09.417 --> 00:43:09.937]  We're good to go.
[00:43:34.571 --> 00:43:36.594]  Subscribe now to The Nationalist Times.
[00:43:36.594 --> 00:43:38.196]  Just $19 for one year.
[00:43:38.196 --> 00:43:40.098]  That's 50% off the regular price.
[00:43:40.098 --> 00:43:43.422]  Send your $19 subscription to The Nationalist Times, P.O.
[00:43:43.422 --> 00:43:46.907]  Box 426, Allison Park, PA 15101.
[00:43:46.907 --> 00:43:48.428]  That's The Nationalist Times, P.O.
[00:43:48.428 --> 00:43:49.590]  Box 426, Allison Park, PA 15101.
[00:43:49.730 --> 00:43:51.911]  Alright, CNN and others have not released
[00:44:13.459 --> 00:44:16.101]  It's going to be in the next hour, so we're going to cover it in the third hour.
[00:44:16.101 --> 00:44:21.745]  We have Congressman Bonilla coming on later, we have another border sheriff joining us.
[00:44:21.745 --> 00:44:33.914]  Many of the La Rican Quistas believe this is Oslon, believe this is Mexico, and great Americans like Al Garza of the Minutemen are against it, or of course Colonel Ramirez is speaking out, saying not in our name.
[00:44:33.914 --> 00:44:39.498]  In major polls, 70 plus percent of Hispanics are against the La Rican Quista, as all Americans are.
[00:44:40.316 --> 00:44:42.198]  We have had hundreds of deaths on the border.
[00:44:42.198 --> 00:44:49.804]  The State Department has said the South Texas border is as dangerous or more dangerous than the West Bank of Israel, and issued three travel advisories.
[00:44:49.804 --> 00:44:56.070]  There are Las Zetas, paramilitary, and folks, they're current Mexican troops, killing and shooting and bombing people.
[00:44:56.070 --> 00:44:57.691]  We've had rocket attacks on U.S.
[00:44:57.691 --> 00:44:58.792]  embassies.
[00:44:58.792 --> 00:44:59.693]  It is hellish.
[00:44:59.693 --> 00:45:05.278]  Towns like Laredo and Nuevo Laredo that were huge tourism meccas are dead right now.
[00:45:06.545 --> 00:45:07.785]  And here are the headlines.
[00:45:07.785 --> 00:45:09.706]  Sheriff demands probe of incursions.
[00:45:09.706 --> 00:45:10.966]  Washington Times.
[00:45:10.966 --> 00:45:12.927]  Here's World Net Daily.
[00:45:12.927 --> 00:45:14.747]  Border Sheriff warns we're overwhelmed.
[00:45:14.747 --> 00:45:18.708]  Texas lawman says not if but when terrorists bring dirty bombs into the U.S.
[00:45:18.708 --> 00:45:19.888]  He's seen foreign troops.
[00:45:19.888 --> 00:45:20.928]  He's seen it all.
[00:45:20.928 --> 00:45:22.809]  Not just Mexican troops.
[00:45:22.809 --> 00:45:28.230]  And we've had other sheriffs on who've had the Mexican troops come up, aim guns at them, and take drugs they've seized away from them.
[00:45:28.815 --> 00:45:30.056]  But it's kept on the back burner.
[00:45:30.056 --> 00:45:32.977]  The average American is not aware this is going on.
[00:45:32.977 --> 00:45:38.681]  Sheriff Sigfrido Gonzalez Jr., Zapata County Sheriff, Texas, joins us.
[00:45:38.681 --> 00:45:41.262]  The Sheriff of Zapata County, Texas, joins us.
[00:45:41.262 --> 00:45:44.524]  And he's chairman of the Texas Border Sheriff's Coalition.
[00:45:44.524 --> 00:45:47.206]  And, Sheriff, it's great to have you on with us.
[00:45:47.206 --> 00:45:47.586]  Oh, thanks.
[00:45:47.586 --> 00:45:49.427]  Appreciate being on.
[00:45:49.427 --> 00:45:53.830]  I don't think the average American knows just how bad it is, just how out of control it is.
[00:45:53.830 --> 00:45:56.231]  Sir, can you tell us about your county and what you've been facing?
[00:45:57.060 --> 00:46:06.826]  Well, we've always maintained, Alex, that if you don't live on the border, and what I mean by living on the border, if you don't live within two or three, four miles from the border, you don't know what's going on on the border.
[00:46:06.826 --> 00:46:17.391]  And this is something that we're trying to get the people of this country to realize, the violence along the border, the incursions that we've had from either military groups or people claiming to be military groups.
[00:46:17.391 --> 00:46:20.073]  Mexico has denied it, but of course it's denied all the time.
[00:46:21.180 --> 00:46:23.842]  We have seen the extortion, the kidnappings, the murders.
[00:46:23.842 --> 00:46:29.627]  As far as I'm concerned, it's way out of control and something needs to be done.
[00:46:29.627 --> 00:46:36.332]  We formed a coalition May 4th last year to bring attention again to the problems along the border.
[00:46:36.332 --> 00:46:44.779]  We have had a lot of help from Congress, actually from the House of Representatives, but there's very minimal help on the side of the Senate.
[00:46:44.779 --> 00:46:46.380]  We're trying to get some funding for us here.
[00:46:46.380 --> 00:46:48.442]  We feel that the border with Texas
[00:46:49.480 --> 00:46:53.722]  New Mexico, Arizona, and California, we have been neglected for years and years and years.
[00:46:53.722 --> 00:47:00.484]  We are the ones that can do something about trying to protect every person in this country from another terrorist attack, just like what happened on September 11th.
[00:47:00.484 --> 00:47:02.005]  And that's our ultimate goal, trying to protect.
[00:47:02.005 --> 00:47:04.986]  We want to make sure that nothing happens to anybody in this country.
[00:47:04.986 --> 00:47:11.308]  No terrorist attack happens again, but a lot of times we feel it's kind of falling on deaf ears.
[00:47:11.308 --> 00:47:12.749]  I agree with you, Sheriff.
[00:47:12.749 --> 00:47:16.170]  I mean, tell us what an average day is like, or an average week, what you face.
[00:47:17.256 --> 00:47:21.299]  Well, we're facing, here in Zapata, we get lots of information.
[00:47:21.299 --> 00:47:34.971]  We just got some information yesterday, as a matter of fact, that there may be this paramilitary group, or some of these groups, planning on doing the same thing that's happening in Nuevo Laredo and everywhere else along the border with Mexico.
[00:47:34.971 --> 00:47:40.216]  The threats and the killings of police officers, that supposedly is going to be spilling over very, very soon into the U.S.
[00:47:40.216 --> 00:47:43.058]  side, trying to scare us away from the border.
[00:47:43.058 --> 00:47:45.340]  We've already had threats before.
[00:47:45.939 --> 00:47:55.345]  Where we've had people coming up like in Hudspeth County across the border going to a deputy's home and threatening his wife that if his deputy goes back to the border they're going to kill him and her and everybody else.
[00:47:55.345 --> 00:47:59.048]  And we just got this new thread yesterday that says that they're going to do the same thing with us here in the U.S.
[00:48:01.260 --> 00:48:02.021]  Police officers on the U.S.
[00:48:02.021 --> 00:48:07.105]  side that they're doing with officers on the Mexican side, trying to scare them and threaten them and killing them and stuff like that.
[00:48:07.105 --> 00:48:16.093]  And for those that don't know, over 20 police officers were killed, hundreds of police stations were attacked over the weekend in Brazil.
[00:48:16.093 --> 00:48:20.037]  This is daily life in Latin America.
[00:48:20.037 --> 00:48:26.783]  Literally, South Texas is beginning to succumb to this type of banana boat republic behavior.
[00:48:27.768 --> 00:48:28.529]  That's true.
[00:48:28.529 --> 00:48:34.155]  We're seeing, again, on a daily basis, we're seeing the people coming across.
[00:48:34.155 --> 00:48:37.659]  And you know, don't get me wrong, we're not saying we want to be border patrol agents.
[00:48:37.659 --> 00:48:38.901]  We don't want to be border patrol agents.
[00:48:38.901 --> 00:48:41.464]  What I'm saying is that we're very concerned with the people that are coming across.
[00:48:42.233 --> 00:48:46.535]  Where they're coming from, what their intent is in coming to this nation, besides just looking for work.
[00:48:46.535 --> 00:48:53.659]  I mean, we have over 100,000 people coming in per week into the country, other than Mexicans.
[00:48:53.659 --> 00:48:55.320]  Some red flags have to go up somewhere.
[00:48:55.320 --> 00:48:58.121]  I don't think all those people are going to find jobs.
[00:48:58.121 --> 00:49:00.282]  Well, exactly, Sheriff.
[00:49:00.282 --> 00:49:01.683]  We always talk about it being Mexicans.
[00:49:01.683 --> 00:49:03.344]  That's just because that's the majority.
[00:49:03.344 --> 00:49:04.765]  Russians, Chinese, Arabs.
[00:49:04.765 --> 00:49:09.467]  I've got a Brownsville article where one in seven that are being captured on the border are Arabic.
[00:49:10.552 --> 00:49:26.624]  That's correct, and I've got the figures from Border Patrol where most of the immigrants come into the southern border, including people from Iran, Iraq, Afghanistan, and a whole bunch of other countries that are countries of special interest to our country.
[00:49:26.624 --> 00:49:35.310]  And yet they're coming in and they're being released back on the streets, what we were terming as the catch and release, and we were phrasing it as the
[00:49:36.681 --> 00:49:36.981]  I don't know.
[00:49:57.560 --> 00:49:59.901]  People had to go through a medical exam and everything else.
[00:49:59.901 --> 00:50:03.483]  Now it's just coming to the country, no medical exams, no nothing.
[00:50:03.483 --> 00:50:05.824]  Who knows what diseases are coming into the country?
[00:50:05.824 --> 00:50:15.848]  Well, Sheriff Gonzales, we have gone from three leprosy cases in the ten years before 2004 to 7,000 in 2004.
[00:50:15.848 --> 00:50:16.828]  We got those numbers in 2005.
[00:50:16.828 --> 00:50:20.090]  We'll be getting new numbers in the next few months from 2005.
[00:50:20.090 --> 00:50:23.091]  I mean, 7,000 plus leprosy cases.
[00:50:23.091 --> 00:50:25.292]  We now have a leper colony in East Texas.
[00:50:25.832 --> 00:50:44.600]  Yeah, it's something else you look at, Alex, and nothing against any particular person of any country, but our information is that the Chinese mafia has moved their operations to the coast in Mexico from, you know, just south of Brownsville, and they're moving their operations again to the
[00:50:45.561 --> 00:50:49.682]  Southern area, Hidalgo, Cameron County, McAllen, Harlingen, and Brownsville.
[00:50:49.682 --> 00:50:59.445]  There have been reports by other sheriffs of witnessing foreign troops other than Mexican troops or paramilitary dressed individuals who are Anglo.
[00:50:59.445 --> 00:51:03.186]  We have seen those in Zapata County.
[00:51:03.186 --> 00:51:07.367]  We are actually at the dividing line between Zapata and Webb County, which is Laredo.
[00:51:07.367 --> 00:51:14.029]  An incursion of approximately 25 persons, very clean cut, in what appeared to be very good physical condition.
[00:51:14.861 --> 00:51:19.553]  Uh, they were coming into the country carrying duffel bags, machine guns, or automatic weapons.
[00:51:20.457 --> 00:51:23.479]  Uh, you know, in marching the cadence coming into the country.
[00:51:23.479 --> 00:51:25.540]  Do you ever feel like you're in the Twilight Zone?
[00:51:25.540 --> 00:51:26.740]  I mean, this is really going on.
[00:51:26.740 --> 00:51:28.741]  The Communist Chinese have got the Panama Canal.
[00:51:28.741 --> 00:51:31.983]  They've got some of the deep water ports now in the Bahamas.
[00:51:31.983 --> 00:51:34.424]  They're doing the nuclear scanning of containers.
[00:51:34.424 --> 00:51:36.425]  I mean, this is nuts.
[00:51:36.425 --> 00:51:37.105]  It's pretty bad.
[00:51:37.105 --> 00:51:37.745]  It's pretty bad.
[00:51:37.745 --> 00:51:40.627]  And again, like I say, people who don't live on the border don't know what's going on.
[00:51:40.627 --> 00:51:44.268]  And there's a whole bunch of information that we get also that we, of course, obviously we cannot disclose.
[00:51:44.268 --> 00:51:46.169]  But things are happening on the border.
[00:51:46.169 --> 00:51:49.171]  And people that don't live on the border have always felt, my understanding is that
[00:51:50.023 --> 00:51:51.245]  The border is very secure.
[00:51:51.245 --> 00:51:53.808]  There's AWACS planes flying all over the place.
[00:51:53.808 --> 00:51:54.849]  F-16s all over the place.
[00:51:54.849 --> 00:51:55.970]  Sensors and everything else.
[00:51:55.970 --> 00:52:02.719]  It's not... Anybody can come into this country to the southern border and you will... The chances of being caught are very, very minimal.
[00:52:02.719 --> 00:52:03.480]  Very, very minute.
[00:52:05.726 --> 00:52:06.826]  Where does it go from here?
[00:52:06.826 --> 00:52:09.147]  I mean, Bush has proposed blanket amnesty.
[00:52:09.147 --> 00:52:10.587]  We've got his official plan.
[00:52:10.587 --> 00:52:15.408]  His guest worker program will do nothing to secure the border and will legalize anyone who can get here.
[00:52:15.408 --> 00:52:23.630]  Border sheriffs and the Border Patrol have reported record numbers of illegals of all colors, shapes, and sizes pouring across in the last six months.
[00:52:23.630 --> 00:52:28.411]  And then Bush claims he's going to put troops on the border, but only a few thousand and only for two months.
[00:52:28.411 --> 00:52:34.672]  That's nothing but an emotional smoke-and-mirrors salve from all the experts we've talked to.
[00:52:35.600 --> 00:52:36.201]  That's correct.
[00:52:36.201 --> 00:52:41.805]  I mean, I saw his speech last night where he wants to hire 6,000 new Border Patrol agents.
[00:52:41.805 --> 00:52:55.816]  You remember, Alex, the 9-1-1 Commission recommended 10,000 troops immediately, and every one of President Bush's budgets for the last two years has been cutting and cutting and cutting, even Border Patrol agents.
[00:52:55.816 --> 00:52:58.998]  Now, as to military on the border, how is that going to help us?
[00:52:58.998 --> 00:53:05.343]  According to his speech, they're going to be involved in monitoring the new technology, monitoring cameras, satellite images,
[00:53:06.171 --> 00:53:11.978]  Uh, doing paperwork, building roads, building fences, no law enforcement authority, unarmed.
[00:53:11.978 --> 00:53:23.792]  I mean, I would be very, very hesitant in sending anybody to the border unarmed when you're having what we purport to be Mexican troops coming across the river with fully automatic weapons.
[00:53:23.792 --> 00:53:24.413]  Well, this is it.
[00:53:24.413 --> 00:53:25.574]  I mean, this is it, Sheriff.
[00:53:26.238 --> 00:53:40.382]  We have hundreds of deaths, we have bombings, we have rocket attacks, we have armed Mexican troops, and Bush is getting rid of posse comitatus domestically with troops, which is unconstitutional, but it's totally constitutional to put tanks on the border, but he won't do it!
[00:53:40.382 --> 00:53:41.543]  That's correct.
[00:53:41.543 --> 00:53:42.263]  It's correct.
[00:53:42.263 --> 00:53:47.765]  Something's going to have to give somewhere, Alex, and it's going to be a problem where, I don't know, something's going to have to give somewhere.
[00:53:47.765 --> 00:53:51.446]  We are seeing too many things on the border, too many incursions, too many people coming across
[00:53:53.909 --> 00:53:56.591]  It's draining our local budgets.
[00:53:56.591 --> 00:54:04.615]  How do we continue to be able to support indigent health care, indigent defense, people in jail?
[00:54:04.615 --> 00:54:17.502]  I don't think people realize that, and they've done the math, the feds and the states have, in California, Texas and other states on the border, the illegal aliens take a lot more welfare and government funding than they even produce in the economy.
[00:54:18.300 --> 00:54:18.922]  That's true.
[00:54:18.922 --> 00:54:24.336]  Again, I mean, our budgets have been cut locally, local governments, because of indigent health care.
[00:54:24.336 --> 00:54:26.743]  The state, the federals have cut indigent health care.
[00:54:27.487 --> 00:54:36.415]  They've cut what we call the SCAP program, the State Criminal Aliens Assistance Program, where it reimburses counties for some of the cost of housing illegal immigrants.
[00:54:36.415 --> 00:54:38.036]  That's been cut by Bush to zero.
[00:54:38.036 --> 00:54:48.965]  Sheriff, I have these patches here, paramilitary Arabic patches that you guys have found, grenades, rocket-propelled grenades that other sheriffs have found, machine guns.
[00:54:48.965 --> 00:54:49.726]  Can you talk about that?
[00:54:50.757 --> 00:54:51.518]  Yes, sir.
[00:54:51.518 --> 00:54:57.243]  Those weapons that you're probably looking at, it's attached to my testimony when I went for a house.
[00:54:57.243 --> 00:54:59.505]  Those weapons were used by the CETA organization.
[00:54:59.505 --> 00:55:05.030]  They're, of course, the deserters of the Mexican military that have been hired by the Gulf cartels to do their hits for them.
[00:55:05.030 --> 00:55:07.912]  These weapons were used right across the border in Laredo, Texas.
[00:55:07.912 --> 00:55:09.614]  In Nuevo Laredo, as a matter of fact.
[00:55:09.614 --> 00:55:16.560]  We have been told by our informants in our area here in Zapata and all along the border, the weapons that we use are water guns compared to what these people use.
[00:55:17.119 --> 00:55:21.162]  And they will not hesitate, not one minute, they will hesitate to use those weapons against us in law enforcement.
[00:55:21.162 --> 00:55:24.544]  And now they're going to be, on law enforcement, excuse me, repeat yourself?
[00:55:24.544 --> 00:55:28.187]  They're going to be using those weapons against us in law enforcement at the proper time.
[00:55:28.187 --> 00:55:32.090]  Well, cops have been killed from California to Texas.
[00:55:32.090 --> 00:55:40.455]  Oh yeah, you see, Laredo's got, you know, some shots being fired from snipers on the Mexican side, and border patrol agents and deputy sheriffs and citizens.
[00:55:40.455 --> 00:55:43.978]  And I'm sorry, Sheriff, when that happens, we need to call in Warthog airstrikes.
[00:55:45.522 --> 00:55:46.584]  I agree with you.
[00:55:46.584 --> 00:55:49.289]  We've been asking for some assistance for quite some time.
[00:55:49.289 --> 00:55:50.671]  Stay there Sheriff.
[00:55:50.671 --> 00:55:52.294]  One more segment with you after this.
[00:55:52.294 --> 00:55:54.739]  Quick break so you can give us some solutions.
[00:55:54.739 --> 00:55:55.119]  Stay with us.
[00:55:57.159 --> 00:55:59.300]  Gee, honey, your feet look great in those sandals.
[00:55:59.300 --> 00:55:59.900]  Thanks.
[00:55:59.900 --> 00:56:02.261]  Last summer I was too embarrassed by my nails to wear them.
[00:56:02.261 --> 00:56:04.401]  Well, your toenails sure look clear and healthy now.
[00:56:04.401 --> 00:56:05.842]  Makes me feel terrible about mine.
[00:56:05.842 --> 00:56:07.763]  See, this one looks thick, that one's yellow.
[00:56:07.763 --> 00:56:09.743]  What you need is Non-X Nail Gel.
[00:56:09.743 --> 00:56:12.964]  Non-X clears out the buildup that discolors toenails and fingernails.
[00:56:12.964 --> 00:56:14.465]  It's called Keratin Debris.
[00:56:14.465 --> 00:56:15.805]  Just apply Non-X daily.
[00:56:15.805 --> 00:56:18.086]  And I'll have clear, healthy-looking toenails?
[00:56:18.086 --> 00:56:19.046]  Just look at mine!
[00:56:19.046 --> 00:56:21.687]  Podiatrist recommended Non-X Nail Gel.
[00:56:21.687 --> 00:56:26.569]  Now at Walgreens, Long's, Eckerd Pharmacy, Rite Aid, and Brooks Pharmacy in the foot care section.
[00:56:28.496 --> 00:56:29.577]  Looking for profit?
[00:56:29.577 --> 00:56:31.318]  Looking for safety and security?
[00:56:31.318 --> 00:56:34.561]  The $10 Olympic commemorative gold coin offers both.
[00:56:34.561 --> 00:56:42.187]  This low-mintage collector coin, with a total series mintage under $600,000, has sold at four times its current price.
[00:56:42.187 --> 00:56:45.950]  Falling dollar values and inflation make this likely to happen again.
[00:56:45.950 --> 00:56:47.771]  Secure your position today.
[00:56:47.771 --> 00:56:49.032]  Call Midas Resources at 1-800-686-2237.
[00:56:49.032 --> 00:56:49.273]  That's 1-800-686-2237.
[00:56:59.310 --> 00:57:00.771]  Hi, this is Ted Anderson.
[00:57:00.771 --> 00:57:06.812]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold for your IRA?
[00:57:06.812 --> 00:57:07.633]  That's right.
[00:57:07.633 --> 00:57:10.474]  Gold has been available to be placed in IRAs since 1986.
[00:57:10.474 --> 00:57:17.396]  Yet still, the financial industry refuses to recognize the value of real hard assets for your retirement.
[00:57:17.956 --> 00:57:26.100]  The truth be told, gold and silver has outperformed paper investments like stocks, bonds and CDs, yet no word about IRAs.
[00:57:26.100 --> 00:57:30.883]  Perhaps the financial institutions want to maintain control of your assets by keeping you in paper.
