[00:00.000 --> 00:21.880]  Defending the Republic from enemies foreign and domestic it's Alex Jones and now your
[56:58.200 --> 57:03.200]  All the symbolism, all the connections.
[57:03.200 --> 57:06.200]  But I'm sure it was just a coincidence.
[57:06.200 --> 57:11.200]  And I'm sure it's just a fun thing that John Podesta likes to do,
[57:11.200 --> 57:14.200]  putting the number 14 on his hand with the fish.
[57:14.200 --> 57:18.200]  No cultism there, no ritualism there.
[57:18.200 --> 57:21.200]  No, nothing to see here, folks.
[57:21.200 --> 57:34.200]  Andrew Breitbart was crazy when he alleged that John Podesta was a child sex cover-up operator.
[57:34.200 --> 57:40.200]  John Podesta, John Skippy Podesta.
[57:40.200 --> 57:44.200]  He had nothing to do with the death of Seth Rich and he had nothing to do with the death of Andrew Breitbart.
[57:44.200 --> 57:46.200]  So let's just make sure we have that on record.
[57:46.200 --> 57:50.200]  John Podesta, Andrew Breitbart, Seth Rich, no connection.
[57:50.200 --> 58:07.200]  By leaps and by bounds, the number one best-selling supplement family in the world is energy drinks and energy supplements.
[58:07.200 --> 58:12.200]  But they are riddled with dyes and toxins and synthetic caffeine and other chemicals
[58:12.200 --> 58:17.200]  that sure get you a quick boost but burn out in just a few hours and have terrible side effects.
[58:17.200 --> 58:26.200]  We have developed, hands down, from our research, the most powerful, healthy energy drink, pre-workout and beyond system in the world.
[58:26.200 --> 58:29.200]  There's nothing else like it, you must experience it.
[58:29.200 --> 58:36.200]  It is a total game changer and it comes in easy to use, packaged, mixed in with fruit juice or water, whatever you'd like.
[58:36.200 --> 58:39.200]  Warning though, it's very, very strong, it lasts up to 10 hours.
[58:39.200 --> 58:46.200]  So take a half packet the first time you take it because TurboForce is named TurboForce because it will take you into overdrive.
[58:46.200 --> 58:48.200]  TurboForce at M4sLive.com
[59:17.200 --> 59:20.200]  I want you to have storeable food so it's a total win-win.
[59:20.200 --> 59:25.200]  We have those incredible sell prices back at M4sLive.com on M4 Select storeable foods.
[59:25.200 --> 59:31.200]  They've got special diet foods, they've got three month supplies, your supplies, weak emergency supplies.
[59:31.200 --> 59:33.200]  They've got so many great products there.
[59:33.200 --> 59:36.200]  If you've got a three-year supply, if stuff happens, you can feed your whole block.
[59:36.200 --> 59:39.200]  It's up to us to be self-sufficient.
[59:39.200 --> 59:42.200]  You're buying war bonds, bringing great products together.
[59:42.200 --> 59:50.200]  With God's help, we are unstoppable. M4sLive.com and M4 Select high-quality storeable foods powered by my Patriot supply.
[59:52.200 --> 59:56.200]  You're listening to the Alex Jones Show.
[59:56.200 --> 01:00:15.200]  All right, we're going to try to get this train back on track here and we're going to open up the phone lines.
[01:00:15.200 --> 01:00:23.200]  Now, it's almost ironic but it's our imperfections why the audience knows we're real.
[01:00:23.200 --> 01:00:29.200]  The reason why I was so shook was over Andrew Bipark tweet saying,
[01:00:29.200 --> 01:00:34.200]  hey, I think they're going to kill me and say I had a heart attack 48 hours before he died.
[01:00:34.200 --> 01:00:38.200]  I'd never seen that before and so it shocked me because I try to see everything.
[01:00:38.200 --> 01:00:43.200]  So I'm now being told that we believe that that tweet is not actually real.
[01:00:43.200 --> 01:00:52.200]  So I'm not upset that I got triggered over something that may have been photoshopped because everything else I talked about was real.
[01:00:52.200 --> 01:00:59.200]  But this is one of those moments that highlights the difference between what we do here and everywhere else.
[01:00:59.200 --> 01:01:12.200]  We're not scripted, we're off the cuff, we're flying through space and time and, you know, there's things that will come on air about and we correct it.
[01:01:12.200 --> 01:01:16.200]  So the Breitbart tweet that we were showing is apparently photoshopped.
[01:01:16.200 --> 01:01:23.200]  Now again, I'd never seen this before, the crew pulled it up, I read it and it shocked me to my core because I'd never seen it before.
[01:01:23.200 --> 01:01:26.200]  And I'd seen most of the other stuff but I'd never seen that before.
[01:01:26.200 --> 01:01:35.200]  But apparently it's photoshopped but regardless, everything that followed was still real.
[01:01:35.200 --> 01:01:39.200]  The work that Andrew Breitbart did was real.
[01:01:39.200 --> 01:01:48.200]  Now whether or not you believe that John Podesta is a child sex trafficking, you know, cover-up guy like Breitbart did, that's a whole other story.
[01:01:48.200 --> 01:01:57.200]  Whether you believe Andrew Breitbart legitimately died of a heart attack or was heart attacked, that's on you.
[01:01:57.200 --> 01:02:03.200]  So I just wanted to be on record about that before we move forward.
[01:02:03.200 --> 01:02:10.200]  Apparently this tweet we're showing on screen right now is a photoshopped.
[01:02:10.200 --> 01:02:17.200]  So, hey, when we show you something, when we get something wrong here, we come right out and admit it.
[01:02:17.200 --> 01:02:19.200]  We got nothing to hide.
[01:02:19.200 --> 01:02:30.200]  Unlike mainstream media that lies through their teeth all day long and then either erases it like it never happened or they just never go back to it and they just move on.
[01:02:30.200 --> 01:02:35.200]  I mean, where do I begin? Covington Catholic, Jesse Smollett, the Brett Kavanaugh hearings.
[01:02:35.200 --> 01:02:43.200]  By the way, there was some committee that looked into every charge.
[01:02:43.200 --> 01:02:46.200]  It was like all these different ethics violations.
[01:02:46.200 --> 01:02:48.200]  I can't remember the numbers, either 83 or 38.
[01:02:48.200 --> 01:02:55.200]  I don't know why those numbers in my head but they looked into all the quote unquote ethics violations that they were alleging against Kavanaugh.
[01:02:55.200 --> 01:03:01.200]  Zero. Zero were true. Zero.
[01:03:01.200 --> 01:03:09.200]  So it's just amazing how the Democrats, and look, again, I'm not a Republican.
[01:03:09.200 --> 01:03:12.200]  Republicans are just as corrupt.
[01:03:12.200 --> 01:03:18.200]  There it is right there. Federal panel of judges dismisses all 83 ethics complaints against Brett Kavanaugh.
[01:03:18.200 --> 01:03:30.200]  So, you see, that's even NPR. Oh, but while Kavanaugh was being questioned, no, he's the worst ever.
[01:03:30.200 --> 01:03:33.200]  And he gang raped women that never even met him.
[01:03:33.200 --> 01:03:35.200]  They never even were in the same zip code he gang raped him.
[01:03:35.200 --> 01:03:37.200]  I mean, this guy must be a magician.
[01:03:37.200 --> 01:03:39.200]  Of course, it's all fake news.
[01:03:39.200 --> 01:03:46.200]  Just like Covington Catholic Bull is harassing Native American fake news.
[01:03:46.200 --> 01:03:51.200]  Native American Vietnam vet stepped in to protect the black men.
[01:03:51.200 --> 01:03:56.200]  Now, the black men were the racist homophobes and he's not a Vietnam vet stolen valor.
[01:03:56.200 --> 01:03:59.200]  They didn't report that.
[01:03:59.200 --> 01:04:07.200]  Jesse Smollett was attacked by white Trump supporters in a hate crime.
[01:04:07.200 --> 01:04:09.200]  Turns out the whole thing was staged. The whole thing was a hoax.
[01:04:09.200 --> 01:04:11.200]  What do they say the next day?
[01:04:11.200 --> 01:04:17.200]  Jesse Smollett is the real victim of Hollywood and the stresses of fame.
[01:04:17.200 --> 01:04:20.200]  Oh, it's so tough being Jesse Smollett. I won actor of the year.
[01:04:20.200 --> 01:04:25.200]  I make millions of dollars and I get all the attention in the world when I fake my own hate crime.
[01:04:25.200 --> 01:04:28.200]  And then when I get caught faking it, they still protect me.
[01:04:28.200 --> 01:04:33.200]  It's so hard being Jesse Smollett.
[01:04:33.200 --> 01:04:36.200]  It's Friday. It's open line Friday.
[01:04:36.200 --> 01:04:39.200]  I'm totally, I'm just off the rocker.
[01:04:39.200 --> 01:04:45.200]  So I'm going to open up the phone lines and we're going to see if you guys can't get me back to reality here.
[01:04:45.200 --> 01:04:52.200]  1-877-789-Alex, 1-877-789-Alex.
[01:04:52.200 --> 01:04:58.200]  Andrew Breitbart, may he rest in peace. Paul Harvey, may he rest in peace.
[01:04:58.200 --> 01:05:00.200]  Patriots are on the go.
[01:05:00.200 --> 01:05:05.200]  Hardworking Americans need high quality energy when they're on the run.
[01:05:05.200 --> 01:05:10.200]  Gentlemen, we have spent years working with top developers to come out with the highest quality protein bar
[01:05:10.200 --> 01:05:15.200]  in vanilla coconut and chocolate peanut butter at infohorselife.com.
[01:05:15.200 --> 01:05:19.200]  This is a high end bar sold for up to $6, $7 at Whole Foods.
[01:05:19.200 --> 01:05:22.200]  Normally we sell it for $3 a piece when you get in the box.
[01:05:22.200 --> 01:05:26.200]  But with a discount we're running right now as an introductory offer, it's $2.40 a bar.
[01:05:26.200 --> 01:05:30.200]  No one can top that and it funds liberty and the fight against the globalists.
[01:05:30.200 --> 01:05:33.200]  With 15 grams of protein and so much more, they're amazing.
[01:05:33.200 --> 01:05:38.200]  Secure your box of high quality infohorselife protein bars today and you will be impressed
[01:05:38.200 --> 01:05:43.200]  and you will reorder them and you will help fund the operation to break the globalists back.
[01:05:43.200 --> 01:05:47.200]  It's up to you. It's easy. Buy high quality protein bars for a month instead of the globalists.
[01:05:47.200 --> 01:05:49.200]  It will fund the revolution to take it to the next level.
[01:05:49.200 --> 01:05:55.200]  Please secure these incredibly tasty high end protein bars at infohorselife.com today.
[01:05:55.200 --> 01:06:07.200]  infohorselife.com
[01:06:07.200 --> 01:06:16.200]  You've found it, the tip of the spear. It is the Alex Jones Show with Owen Troyer.
[01:06:16.200 --> 01:06:22.200]  Alright, I'm sputtering and misfiring and I'm just all throughout the dimensions of space right now.
[01:06:22.200 --> 01:06:29.200]  I'm opening up the phone lines to get the audience and myself back on track here on the Alex Jones Show
[01:06:29.200 --> 01:06:33.200]  because I really do need to get focused and get to all this news.
[01:06:33.200 --> 01:06:42.200]  I just tend to get lost in the ether of secret history.
[01:06:42.200 --> 01:06:48.200]  But there's a lot of videos I need to get to as well as the crew aggregates these calls.
[01:06:48.200 --> 01:06:54.200]  There is something that I think frustrates me more than anything right now.
[01:06:54.200 --> 01:06:59.200]  At least on a political commentary level.
[01:06:59.200 --> 01:07:06.200]  They want to suck the life essence out of infants and children and they want to let babies die.
[01:07:06.200 --> 01:07:10.200]  We know they do that.
[01:07:10.200 --> 01:07:23.200]  Just look at the total fraud, just outright fraud, just right on its face fraud right now that the Democrats are engaged in.
[01:07:23.200 --> 01:07:33.200]  First, Michael Cohen says, I fear Trump won't peacefully give up the White House if he loses in 2020.
[01:07:33.200 --> 01:07:42.200]  Now, this is an old narrative that the Democrats are bringing back for 2020 that they tried in 2016 and beyond saying,
[01:07:42.200 --> 01:07:46.200]  if Trump wins, there'll be no peaceful transition of power.
[01:07:46.200 --> 01:07:49.200]  If Trump wins, it'll be a violent transition of power.
[01:07:49.200 --> 01:07:52.200]  Trump is a threat to peace, oh my gosh.
[01:07:52.200 --> 01:07:56.200]  But wait a second, what's the reality?
[01:07:56.200 --> 01:08:00.200]  Trump won and they're the ones that still haven't let go of power.
[01:08:00.200 --> 01:08:05.200]  Trump won and they're the ones that said, harass Trump supporters, make a crowd.
[01:08:05.200 --> 01:08:07.200]  Don't let go where they sleep at night.
[01:08:07.200 --> 01:08:10.200]  And then they literally show up at Trump supporters' houses and harass him.
[01:08:10.200 --> 01:08:13.200]  They literally put bomb threats to Trump Tower.
[01:08:13.200 --> 01:08:18.200]  They build 100, how heavy was the bomb that the one guy got found with?
[01:08:18.200 --> 01:08:21.200]  They plan on bombing Fourth of July parades.
[01:08:21.200 --> 01:08:25.200]  They dox Trump supporters and then they say,
[01:08:25.200 --> 01:08:30.200]  we're just afraid that Trump is not going to have a peaceful transition of power in 2020.
[01:08:30.200 --> 01:08:38.200]  We're really afraid, he's unhinged and he might not give up power peacefully in 2020.
[01:08:38.200 --> 01:08:46.200]  Meanwhile, they still haven't peacefully given up power from 2016.
[01:08:46.200 --> 01:08:51.200]  And see, I come out and I say that and it's like, okay, I've said what needs to be said.
[01:08:51.200 --> 01:08:53.200]  I mean, what more do you need to see?
[01:08:53.200 --> 01:08:55.200]  What more do you need to know?
[01:08:55.200 --> 01:08:57.200]  They're the ones that won't have the peaceful transition of power.
[01:08:57.200 --> 01:08:59.200]  And then they're the one pointing the finger at Trump.
[01:08:59.200 --> 01:09:08.200]  I mean, but somehow I don't feel closure.
[01:09:08.200 --> 01:09:12.200]  Lanny Davis rips GOP for sad misuse of the criminal justice system.
[01:09:12.200 --> 01:09:21.200]  Again, they are the ones that politicized everything done at the FBI, the DOJ, the IRS,
[01:09:21.200 --> 01:09:25.200]  the NSA, the CIA, the FISA courts.
[01:09:25.200 --> 01:09:28.200]  Everything was politicized by Obama's people.
[01:09:28.200 --> 01:09:30.200]  Everything.
[01:09:30.200 --> 01:09:35.200]  On record, Lois Lerner caught red-handed.
[01:09:35.200 --> 01:09:42.200]  James Clapper, John Brennan, James Comey, the FISA warrants spying on Trump illegally.
[01:09:42.200 --> 01:09:46.200]  They are the ones that had the misuse of the criminal justice system.
[01:09:46.200 --> 01:09:50.200]  And then they have the, again, look at Trump misusing the criminal justice system.
[01:09:50.200 --> 01:09:52.200]  You know what? You're right.
[01:09:52.200 --> 01:09:58.200]  You know what? Lanny Davis is actually right because Trump is misusing the criminal justice system.
[01:09:58.200 --> 01:10:02.200]  Trump should be putting the criminal justice system to work and Comey should be in jail.
[01:10:02.200 --> 01:10:05.200]  Brennan should be in jail. Clapper should be in jail.
[01:10:05.200 --> 01:10:11.200]  Comey, Obama, Lynch, Holder, Clinton, all of them.
[01:10:11.200 --> 01:10:13.200]  So you're right, Lanny Davis.
[01:10:13.200 --> 01:10:17.200]  Trump is guilty of a sad misuse of the criminal justice system.
[01:10:17.200 --> 01:10:19.200]  He's not using it.
[01:10:19.200 --> 01:10:22.200]  I wish he would.
[01:10:22.200 --> 01:10:32.200]  I just, I just, because how is it?
[01:10:32.200 --> 01:10:37.200]  This is like the most frustrating thing to me because they get away.
[01:10:37.200 --> 01:10:39.200]  I mean, I talked about this yesterday.
[01:10:39.200 --> 01:10:43.200]  They are pathological projectors.
[01:10:43.200 --> 01:10:49.200]  Literally, they abuse the justice system and then they say Trump's abusing the justice system.
[01:10:49.200 --> 01:10:53.200]  They can't peacefully transition power to conservatives.
[01:10:53.200 --> 01:10:55.200]  They say Trump can't peacefully transition power.
[01:10:55.200 --> 01:10:59.200]  I mean, but again, you want to know why it's like this, folks?
[01:10:59.200 --> 01:11:00.200]  You want to know why it doesn't make sense?
[01:11:00.200 --> 01:11:02.200]  You want to know why they're freaking out?
[01:11:02.200 --> 01:11:06.200]  Just like the heroin addict starts going into petty theft, robbing friends and family,
[01:11:06.200 --> 01:11:09.200]  getting real desperate to do anything to get his heroin.
[01:11:09.200 --> 01:11:11.200]  That's who these people are.
[01:11:11.200 --> 01:11:16.200]  Everything that they've been stealing, everything they've been getting high off of,
[01:11:16.200 --> 01:11:21.200]  the lies in the media, the lies from the Democrat Party, robbing this country blind,
[01:11:21.200 --> 01:11:27.200]  getting the baby organs harvested, I mean, all of it, the open borders, the sex trafficking,
[01:11:27.200 --> 01:11:30.200]  the drug trafficking, the gun trafficking, all of it.
[01:11:30.200 --> 01:11:37.200]  They do all of it and that's their drug and they've been so addicted to it, so high with it,
[01:11:37.200 --> 01:11:44.200]  and more than anything, so high and addicted to the power that they can get away with it.
[01:11:44.200 --> 01:11:47.200]  That's what it is more than anything and that's what's being threatened right now.
[01:11:47.200 --> 01:11:48.200]  That's why they're panicking.
[01:11:48.200 --> 01:11:51.200]  That's why they're saying, look at Trump, he's misusing the justice system
[01:11:51.200 --> 01:11:53.200]  as they literally abuse it into oblivion.
[01:11:53.200 --> 01:11:56.200]  Look at Trump, he won't give us a peaceful transition of power
[01:11:56.200 --> 01:12:01.200]  as they're literally calling for war in the streets.
[01:12:01.200 --> 01:12:05.200]  It all goes back to the heroin addict analogy, folks.
[01:12:05.200 --> 01:12:07.200]  These are heroin addicts.
[01:12:07.200 --> 01:12:12.200]  Their drug is being taken away from them and they don't know what to do
[01:12:12.200 --> 01:12:14.200]  and they're going into total panic.
[01:12:14.200 --> 01:12:19.200]  That's why everything we're seeing right now makes no sense.
[01:12:19.200 --> 01:12:23.200]  Just like that friend or family member, you're like, oh my gosh.
[01:12:23.200 --> 01:12:29.200]  Yeah, he's my best friend going through my wallet, stealing money,
[01:12:29.200 --> 01:12:32.200]  going through my mail, stealing Christmas gifts and selling them for money.
[01:12:32.200 --> 01:12:39.200]  It's like, you're like, who is this person? What is going on?
[01:12:39.200 --> 01:12:43.200]  Yeah, it doesn't make sense to you until you realize this is a heroin addict,
[01:12:43.200 --> 01:12:49.200]  desperate for heroin, that will do anything to get it.
[01:12:49.200 --> 01:12:53.200]  Again, I use Democrats because that's the face of all the corruption right now,
[01:12:53.200 --> 01:12:54.200]  but it goes beyond that.
[01:12:54.200 --> 01:12:59.200]  But yes, the Democrats are so addicted to their power,
[01:12:59.200 --> 01:13:03.200]  the power to deceive, the power to lie, the power to cheat,
[01:13:03.200 --> 01:13:09.200]  the power to steal and get away with all of it in our face.
[01:13:09.200 --> 01:13:14.200]  And they're not anymore and that's why they're freaking out.
[01:13:14.200 --> 01:13:16.200]  And just like, again, it doesn't make sense.
[01:13:16.200 --> 01:13:18.200]  You're my good friend stealing money from me.
[01:13:18.200 --> 01:13:22.200]  Your good friend is a heroin addict that is desperate.
[01:13:22.200 --> 01:13:24.200]  That's who these people are.
[01:13:24.200 --> 01:13:25.200]  Why are the Democrats lying to me?
[01:13:25.200 --> 01:13:28.200]  Why are the Democrats saying, let that baby die?
[01:13:28.200 --> 01:13:32.200]  These are people that are addicted to power.
[01:13:32.200 --> 01:13:34.200]  They are addicted to lying.
[01:13:34.200 --> 01:13:36.200]  They are addicted to deceiving you.
[01:13:36.200 --> 01:13:41.200]  And once that's threatened and their source for all of it is being threatened,
[01:13:41.200 --> 01:13:43.200]  they panic.
[01:13:43.200 --> 01:13:49.200]  That's what's going on right now.
[01:13:49.200 --> 01:13:58.200]  So I guess I just need to let go because I'm telling you,
[01:13:58.200 --> 01:14:02.200]  the fact that they come out and say that Trump is misusing the justice system
[01:14:02.200 --> 01:14:09.200]  and Trump won't transition power peacefully is just, it's beyond hypocrisy, folks.
[01:14:09.200 --> 01:14:13.200]  I just wish America could see it.
[01:14:13.200 --> 01:14:17.200]  That's my biggest frustration because as soon as America sees that these people are done
[01:14:17.200 --> 01:14:20.200]  and this country will be more free and prosperous than we can ever imagine.
[01:14:20.200 --> 01:14:22.200]  But Americans don't want that.
[01:14:22.200 --> 01:14:25.200]  They want to be stupid.
[01:14:25.200 --> 01:14:27.200]  They want to be desolate.
[01:14:27.200 --> 01:14:32.200]  They want to live in a pipe dream.
[01:14:32.200 --> 01:14:34.200]  That's what they want.
[01:14:34.200 --> 01:14:36.200]  And that's what they'll get.
[01:14:36.200 --> 01:14:39.200]  But we just hoped, you know, since we had a republic that we could at least be free.
[01:14:39.200 --> 01:14:43.200]  Oh, but no, that's not what control freaks to.
[01:14:43.200 --> 01:14:47.200]  All right, when we come back on the other side of this break,
[01:14:47.200 --> 01:14:49.200]  I'm going to get to your phone calls.
[01:14:49.200 --> 01:14:51.200]  We got a whole line up of callers here.
[01:14:51.200 --> 01:14:53.200]  Every line is filled, so we'll get to your phone calls.
[01:14:53.200 --> 01:14:57.200]  In the short break, though, please go to infowarstore.com, support this broadcast.
[01:14:57.200 --> 01:15:00.200]  You know the censorship that we're enduring, folks.
[01:15:00.200 --> 01:15:08.200]  And we want to expand, but it's almost impossible to expand with all the censorship that we deal with here.
[01:15:08.200 --> 01:15:11.200]  But thanks to your support, we're still live 10 hours a day,
[01:15:11.200 --> 01:15:14.200]  starting with the David Knight Show and then the Alex Jones Show and then the War Room.
[01:15:14.200 --> 01:15:20.200]  So we go live from 8 a.m. all the way through to 6 p.m. central at infowarstore.com.
[01:15:20.200 --> 01:15:23.200]  It's possible with your support at infowarstore.com.
[01:15:23.200 --> 01:15:24.200]  Big specials right now.
[01:15:24.200 --> 01:15:26.200]  50% off bodies.
[01:15:26.200 --> 01:15:28.200]  The ultimate turmeric support.
[01:15:28.200 --> 01:15:30.200]  50% off alpha power.
[01:15:30.200 --> 01:15:36.200]  40% off InfoWarsLife brand new protein bars when you buy two or more boxes.
[01:15:36.200 --> 01:15:39.200]  33% off turbo force at infowarstore.com.
[01:15:39.200 --> 01:15:42.200]  And 50% off our storable foods.
[01:15:42.200 --> 01:15:44.200]  Emergency storable food supplies.
[01:15:44.200 --> 01:15:46.200]  50% off right now at infowarstore.com.
[01:15:46.200 --> 01:15:48.200]  All right, I'm out of control.
[01:15:48.200 --> 01:15:52.200]  We're going to go to the callers next and they're going to rain me back in here.
[01:15:52.200 --> 01:16:17.200]  We'll be right back.
[01:16:22.200 --> 01:16:33.200]  The United States of Empire is a book that claims the United States is the empire of the world.
[01:16:33.200 --> 01:16:36.200]  George Washington had warned us against foreign wars.
[01:16:36.200 --> 01:16:42.200]  The United States of Empire shows that World Wars I and II left England broken.
[01:16:42.200 --> 01:16:46.200]  Its former colony, the U.S., had to save the empire.
[01:16:46.200 --> 01:16:47.200]  Was there ever a vote?
[01:16:47.200 --> 01:16:48.200]  Who do we fight for?
[01:16:48.200 --> 01:16:51.200]  The deep state began with World War I.
[01:16:51.200 --> 01:16:54.200]  The United States of Empire by James Dunn.
[01:16:54.200 --> 01:16:56.200]  Available at Amazon Books.
[01:16:56.200 --> 01:16:59.200]  Heart disease is on the rise.
[01:16:59.200 --> 01:17:04.200]  Clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you.
[01:17:04.200 --> 01:17:06.200]  But the symptoms are there.
[01:17:06.200 --> 01:17:11.200]  Loss of energy, blood sugar spikes and drops, poor circulation and irregular heartbeat
[01:17:11.200 --> 01:17:14.200]  are just a few of these that can alert you that something is wrong.
[01:17:14.200 --> 01:17:20.200]  Here how heart and body extract is making a difference in thousands of people's lives across America.
[01:17:20.200 --> 01:17:22.200]  My blood pressure has normalized.
[01:17:22.200 --> 01:17:24.200]  My diabetes has totally improved.
[01:17:24.200 --> 01:17:28.200]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[01:17:28.200 --> 01:17:30.200]  I recommend heart and body extract to everyone.
[01:17:30.200 --> 01:17:36.200]  Anybody over 40 in the North American continent should be using this product as a preventative
[01:17:36.200 --> 01:17:58.200]  to keep their cardiovascular system healthy.
[01:18:07.200 --> 01:18:13.200]  By leaps and by bounds, the number one best selling supplement family in the world
[01:18:13.200 --> 01:18:16.200]  is energy drinks and energy supplements.
[01:18:16.200 --> 01:18:21.200]  But they are riddled with dyes and toxins and synthetic caffeine and other chemicals
[01:18:21.200 --> 01:18:26.200]  that sure get you a quick boost but burn out in just a few hours and have terrible side effects.
[01:18:26.200 --> 01:18:32.200]  We have developed hands down from our research the most powerful, healthy energy drink,
[01:18:32.200 --> 01:18:35.200]  pre-workout and beyond system in the world.
[01:18:35.200 --> 01:18:38.200]  There's nothing else like it. You must experience it.
[01:18:38.200 --> 01:18:45.200]  It is a total game changer and it comes in easy to use, packaged, mixed in fruit juice or water, whatever you like.
[01:18:45.200 --> 01:18:48.200]  Warning though, it's very, very strong. It lasts 10 hours.
[01:18:48.200 --> 01:18:52.200]  So take a half pack at the first time you take it because TurboForce is named TurboForce
[01:18:52.200 --> 01:18:54.200]  because it will take you into overdrive.
[01:18:54.200 --> 01:18:57.200]  TurboForce and m4slive.com.
[01:18:57.200 --> 01:19:03.200]  Wars are like 12 round heavyweight boxing championship fights.
[01:19:03.200 --> 01:19:09.200]  It's about who wants it, who's prepared to go the longest and who's ready to do the damage.
[01:19:09.200 --> 01:19:13.200]  We took on Hillary Clinton. We stopped her. We got a national stand.
[01:19:13.200 --> 01:19:17.200]  Nationalists are getting elected all over the world right now. We are winning.
[01:19:17.200 --> 01:19:23.200]  But those of us who are at the very front line at the tip of the spear are under unprecedented attack.
[01:19:23.200 --> 01:19:28.200]  So I come to you each day and try to explain to you that this is a war of attrition.
[01:19:28.200 --> 01:19:34.200]  This is about who wants it most and you know the persecution, the censorship, the sponsors, they've taken everything.
[01:19:34.200 --> 01:19:39.200]  I am in your hands. You are in my hands. I need financial support and I got products you and your family need.
[01:19:39.200 --> 01:19:46.200]  It's that simple. Thousands of great products, whatever is award winning, whatever is best selling, what folks love, what I love,
[01:19:46.200 --> 01:19:51.200]  we bring it to you at m4slive.com. So please go to m4slive.com today.
[01:19:51.200 --> 01:19:58.200]  Look at all the great products because we're in your hands. I'm in your hands and your support is beyond critical. Thank you.
[01:20:21.200 --> 01:20:38.200]  I did not plan on the show going this way at all, ladies and gentlemen, but isn't that the beauty of the Alex Jones show?
[01:20:38.200 --> 01:20:48.200]  And this, I say this in humility, folks, but it's almost just, it's really just God's providence.
[01:20:48.200 --> 01:20:55.200]  I think half the time on this broadcast because I didn't plan on talking about any of the stuff that I brought up so far today.
[01:20:55.200 --> 01:21:06.200]  I mean, in fact, I probably sound crazy to most people, but I mean, it's just like sometimes you just sit down here, the mic goes on and you just lose control.
[01:21:06.200 --> 01:21:12.200]  So the callers are going to give me back on track, but it's like this is the kind of crap I'm talking about here.
[01:21:12.200 --> 01:21:23.200]  Again, I didn't plan on covering this. The crew just brought this to me. Good God, just, just Lord forgive us for what we've done to this creation.
[01:21:23.200 --> 01:21:29.200]  I mean, feminist smears menstrual blood on her face to show periods are beautiful and powerful.
[01:21:29.200 --> 01:21:36.200]  Now, this is just your mentally deranged leftist right here. That's all this is. This is a sick deranged leftist.
[01:21:36.200 --> 01:21:43.200]  But again, folks, you have to understand this stems from the top. Humans are all connected. We're all connected.
[01:21:43.200 --> 01:21:47.200]  We're all on the same plane. We're all on the same consciousness.
[01:21:47.200 --> 01:21:53.200]  So when you've got all these satanic death cults and crap that are now running the leftist liberal progressive movement.
[01:21:53.200 --> 01:22:00.200]  Yeah, when you get to the average dumb down liberal on the streets, they're rubbing period blood on their face.
[01:22:00.200 --> 01:22:04.200]  They don't know what the hell is going on. They don't even know why.
[01:22:04.200 --> 01:22:14.200]  But it's because we're all connected. And so the consciousness at the top of their consciousness is engaged in human sacrifice and all these blood rituals.
[01:22:14.200 --> 01:22:26.200]  So that's like that's like at the top of their consciousness. And then down here, the little bottom feeders, they don't know why they have this weird notion to rub period blood on their face.
[01:22:26.200 --> 01:22:31.200]  But they say it's beautiful and they can't help it because it streams down from the higher consciousness.
[01:22:31.200 --> 01:22:41.200]  But as if that wasn't sick enough, there's groups of women that store at folks, excuse me, like excuse me.
[01:22:41.200 --> 01:22:51.200]  But there's groups of women that literally store their menstrual blood and then use it to paint. It's like a whole art group.
[01:22:51.200 --> 01:22:58.200]  This isn't even the spirit cookers. This is downstream from the spirit cookers. The spirit cookers are the spirit cookers.
[01:22:58.200 --> 01:23:06.200]  Okay. I mean, Alastair Crowley people, the Marina Abramovich people, the devil worshipers, the cultists.
[01:23:06.200 --> 01:23:17.200]  These people that are drawing paintings with their menstrual blood and rubbing their menstrual blood on their face, they have no idea what the hell is going on or why they're being, you know, moved to do this.
[01:23:17.200 --> 01:23:26.200]  But I'm telling you, it all is streaming from the higher consciousness that they're tuned into.
[01:23:26.200 --> 01:23:37.200]  Do you think that's normal to put menstrual blood on your face? Do you think that's normal to store your menstrual blood so you can use it in a painting later as part of a group art project?
[01:23:37.200 --> 01:23:44.200]  No, that's mental illness. That is disgust. That is degeneracy.
[01:23:44.200 --> 01:23:55.200]  But for them, they're just low level minions of a left pathos ideology that they don't even comprehend or understand.
[01:23:55.200 --> 01:24:07.200]  They just act out its will, streaming down from the consciousness to then think that somehow it empowers them to do this crap.
[01:24:07.200 --> 01:24:20.200]  Same thing with the people that celebrate abortions. They don't know why people harvest babies' blood and harvest babies' organs, but it's streaming down from the consciousness so they're fighting for it.
[01:24:20.200 --> 01:24:27.200]  All right, I need to shut up and just go to your calls because I'm just off the rocker today.
[01:24:27.200 --> 01:24:36.200]  So let's go now to Travis calling in from Texas. Go ahead, Travis. You're on the Alex Jones show.
[01:24:36.200 --> 01:24:37.200]  Hi, Owen. You hear me okay?
[01:24:37.200 --> 01:24:38.200]  Yes, loud and clear.
[01:24:38.200 --> 01:24:46.200]  Good. Hey, I was listening to Alex the other day and I've been listening since probably 2003, 2004.
[01:24:46.200 --> 01:24:58.200]  And man, when he was on Joe Rogan, he was talking about a dream that he had where he was falling into like this vortex and a guy called in yesterday and said that he had had a similar dream.
