[00:00.000 --> 00:05.000]  Government cover-ups. You want answers? Well, so does he.
[49:20.000 --> 49:30.000]  Now, I know we got police listening. Go look up toxic fluoridation. Toothpaste, the average brand is around 2%.
[49:30.000 --> 49:40.000]  Now, you swallow a pea size of that, they say, go to the hospital. They're making kids chew tablets that have that much in it every week in these schools.
[49:40.000 --> 49:55.000]  Though you go read the studies where there is no debate that 2% causes massive brain damage, it's documented that one part per million causes massive brain damage.
[49:55.000 --> 50:04.000]  Now, I want to be on every AM and FM station I can be in every community. I want to warn people, but I'm not. I'm only on about 60 stations that are commercial big official AM and FMs,
[50:04.000 --> 50:10.000]  more than 100 micros known as Pirates of the general public. Great folks out there.
[50:10.000 --> 50:18.000]  But I'm here to tell you, I want you to get this information and warn everybody you know, because I may not have a station in every city,
[50:18.000 --> 50:23.000]  but I got internet, shortwave and satellite lasers in every city, and we got a responsibility to warn people.
[50:23.000 --> 50:28.000]  Now, let's stop sitting around, get up off your butts and get going.
[50:28.000 --> 50:32.000]  We'll be right back with the Jesse Ventura New Developments as the neocons attack.
[50:32.000 --> 50:52.000]  Music
[50:52.000 --> 50:56.000]  Terror Storm, a history of government sponsored terror.
[50:56.000 --> 51:05.000]  Blue's Change Final Cut, in-game blueprint for global enslavement, the true story of the Bilderberg group, the late great USA, America freedom to fascism.
[51:05.000 --> 51:12.000]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[51:12.000 --> 51:16.000]  When you visit prisonplanet.com, you can connect to our amazing online store.
[51:16.000 --> 51:22.000]  Whether you're looking for survival and wellness products like Berkey water filters, or you would like a book on the history of the Federal Reserve,
[51:22.000 --> 51:27.000]  we've got the most well researched and documented titles, all available at prisonplanet.com.
[51:27.000 --> 51:33.000]  Or if you'd like, you can give the info war store a call at 888-253-3139.
[51:33.000 --> 51:39.000]  Or you can view more than a thousand titles in super high quality right now at prisonplanet.tv.
[51:39.000 --> 51:50.000]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[51:50.000 --> 51:52.000]  Join the info war today.
[52:29.000 --> 52:34.000]  Hemp can be stored with a long shelf life as a life sustaining food source for you and your family.
[52:34.000 --> 52:36.000]  Could this be the government's best kept secret?
[52:36.000 --> 52:43.000]  Call today at 908-691-2608 and see what the powder, seeds, and oil can do for you.
[52:43.000 --> 52:45.000]  Learn. Help. Shop.
[52:45.000 --> 52:53.000]  HempUSA.org. We do not charge for shipping. That's 908-691-2608 or go to the HempUSA.org today.
[52:53.000 --> 52:57.000]  It is a big idea. A New World Order.
[52:57.000 --> 53:02.000]  In the near future, Earth is dominated by a powerful world government.
[53:02.000 --> 53:08.000]  It's known as the Builder Bird. Could their objective be world domination?
[53:08.000 --> 53:11.000]  For thousands of years, their Dark Order grew.
[53:11.000 --> 53:19.000]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[53:19.000 --> 53:27.000]  For the first time in history, the elite's plan for world government is blown wide open.
[53:27.000 --> 53:31.000]  You will learn the secret that drives the entire New World Order agenda.
[53:31.000 --> 53:33.000]  Build America is making great progress toward a world government.
[53:33.000 --> 53:39.000]  Most people have no idea. They're not after money. They have all the money they need. They're after power. That's their after these years.
[53:39.000 --> 53:43.000]  Endgame on DVD at prisonplanet.com or infowars.com.
[53:43.000 --> 53:47.000]  Or watch it online right now at prisonplanet.tv.
[53:47.000 --> 53:52.000]  Endgame, blueprint for global enslaved. You have been warned.
[53:52.000 --> 53:57.000]  Endgame on DVD at prisonplanet.com
[54:25.000 --> 54:31.000]  Okay, we've got so many guests that we stacked them up today like Cordwood.
[54:31.000 --> 54:39.000]  We've got Dr. Lewis Sancho, physicist. We also have his colleague on who was on Monday, Walter L. Wagner,
[54:39.000 --> 54:45.000]  about the heavy superconducting supercollider and the dangerous particles that the equations show it can
[54:45.000 --> 54:50.000]  and in some cases has made, have produced tiny black holes and things of that nature.
[54:50.000 --> 54:56.000]  That's coming up in about five minutes doing a part two on this early because these type of super technologies are so important.
[54:56.000 --> 55:02.000]  Then we've got Robert Galen Ross, who I set up weeks ago in studio.
[55:02.000 --> 55:11.000]  He's going to be here from 1230 coming up in about an hour or coming up in about 40 minutes until 1.30 and then Bob Chapman
[55:11.000 --> 55:17.000]  on what's happening with the Federal Reserve and the economy and gold and the commodities and the rest of it.
[55:17.000 --> 55:21.000]  So that is coming up today totally jam-packed.
[55:21.000 --> 55:26.000]  Now, listen, I'm not going to belabor this all day, but I need your help.
[55:26.000 --> 55:29.000]  Just like I need your help on the fluoride issue and how they're poisoning the kids.
[55:29.000 --> 55:35.000]  Just absolute brain damage, absolute hardcore assault in plain view.
[55:35.000 --> 55:37.000]  In plain view.
[55:37.000 --> 55:41.000]  I mean, they're just doing it right out in the open with two parts per thousand.
[55:41.000 --> 55:49.000]  Some cases even higher instead of one part per million with these, the gum and the rest of it.
[55:49.000 --> 55:53.000]  Jesse Ventura, three big articles.
[55:53.000 --> 55:55.000]  We want the neocons to take the bait.
[55:55.000 --> 56:01.000]  We want Michelle Malkin who calls for putting Americans in concentration camps and writes books about it, who calls for no bill of rights,
[56:01.000 --> 56:04.000]  no constitution, endless war.
[56:04.000 --> 56:13.000]  She's taken the bait and posted at hot air the Jesse Ventura incredible interview yesterday for an hour and 20 minutes.
[56:13.000 --> 56:22.000]  Expanding on that, expanding out on that, others are starting to pick up on it.
[56:22.000 --> 56:26.000]  You want to target neocons and send them this story.
[56:26.000 --> 56:30.000]  Former Governor Jesse Ventura WTC collapsed the control demolition.
[56:30.000 --> 56:38.000]  We want them to take the bait because in their hubris they'll attack Governor Ventura just like they attacked Willie Nelson and others.
[56:38.000 --> 56:42.000]  And then people will hear about this and it will spread the word and then they'll go look into it.
[56:42.000 --> 56:45.000]  The majority of Americans know it was an inside job.
[56:45.000 --> 56:47.000]  80 plus percent believe they've been lied to.
[56:47.000 --> 56:51.000]  They just need the courage to know that they can stand up and speak out.
[56:51.000 --> 56:52.000]  Who do you need to contact?
[56:52.000 --> 56:55.000]  Minneapolis, St. Paul AP, they got two offices.
[56:55.000 --> 56:58.000]  You need to email them the story and call them about it.
[56:58.000 --> 57:03.000]  LA AP, Austin AP, we're calling them too.
[57:03.000 --> 57:17.000]  All the neocon talk shows help us because by getting this out, people are going, man, Charlie Sheen, Jesse Ventura, German defense ministers, Italian presidents.
[57:17.000 --> 57:26.000]  The best actress this year, best actress, Oscar winner, just on and on and on and the comedian show last week.
[57:26.000 --> 57:36.000]  Just so many famous people coming out and then they'll learn about the architects and engineers and physicists and scientists and demolition experts.
[57:36.000 --> 57:43.000]  Governor Ventura is an underwater demolition expert from his time in his Navy SEAL training in Buds and underwater demolition.
[57:43.000 --> 57:46.000]  He was a frog man for most of his time in the Navy.
[57:46.000 --> 57:48.000]  So this is very, very important.
[57:48.000 --> 57:53.000]  This is up on prisonplanet.com and infowars.com right now.
[57:53.000 --> 57:58.000]  Top three stories, former governor Jesse Ventura, WTC collapse of controlled demolition.
[57:58.000 --> 58:03.000]  Under that, Mockingbird publishers turned down bestseller Jesse Ventura book.
[58:03.000 --> 58:05.000]  Very important story by Kurt Nemo.
[58:05.000 --> 58:08.000]  And another one, Jesse Ventura warns of Obama assassination attempt.
[58:08.000 --> 58:13.000]  Need to add into the story a link to the other article so when they go read that, they see it.
[58:13.000 --> 58:17.000]  Now listen, this is a big win in the info war.
[58:17.000 --> 58:24.000]  Think of the courage it took for Ventura to come on and apologize and say he was wrong for not looking into it earlier and that it's an inside job.
[58:24.000 --> 58:25.000]  A controlled demolition.
[58:25.000 --> 58:26.000]  This is big.
[58:26.000 --> 58:28.000]  He's given us the ball.
[58:28.000 --> 58:29.000]  We need to carry it.
[58:29.000 --> 58:30.000]  The ball's in your court.
[58:30.000 --> 58:32.000]  Hut, hut, hut!
[58:34.000 --> 58:37.000]  Thank you for listening to GCN.
[58:37.000 --> 58:41.000]  Be sure to visit GCNLive.com today.
[58:41.000 --> 58:45.000]  It is a big idea.
[58:45.000 --> 58:47.000]  A new world order.
[58:47.000 --> 58:52.000]  In the near future, Earth is dominated by a powerful world government.
[58:52.000 --> 58:54.000]  It's known as the Builder Bird.
[58:54.000 --> 58:57.000]  Both their objective being world domination.
[58:57.000 --> 59:01.000]  For thousands of years, their dark order grew.
[59:01.000 --> 59:12.000]  Now as they hail the birth of the new world order, their great dream of exterminating 80% of humanity is at hand.
[59:12.000 --> 59:17.000]  For the first time in history, the elite's plan for world government is blown wide open.
[59:17.000 --> 59:21.000]  You will learn the secret that drives the entire new world order agenda.
[59:21.000 --> 59:24.000]  The Builder Bird is making great progress toward a world government.
[59:24.000 --> 59:25.000]  Most people have no idea.
[59:25.000 --> 59:26.000]  They're not after money.
[59:26.000 --> 59:27.000]  They have all the money they need.
[59:27.000 --> 59:28.000]  They're after power.
[59:28.000 --> 59:29.000]  That's their after easy.
[59:29.000 --> 59:34.000]  Order in-game on DVD at prisonplanet.com or infowars.com
[59:34.000 --> 59:38.000]  Or watch it online right now at prisonplanet.tv
[59:38.000 --> 59:40.000]  In-game, blueprint for global enslaved.
[59:40.000 --> 1:00:07.000]  You have been warned.
[1:00:12.000 --> 1:00:13.000]  All right.
[1:00:13.000 --> 1:00:18.000]  We've got Professor Lewis Sancho coming up in the next segment.
[1:00:18.000 --> 1:00:20.000]  Also Walter L. Wagner and other physicists.
[1:00:20.000 --> 1:00:27.000]  We did part one Monday for another 30 minutes when we talk about this heavy, superconducting, supercollider.
[1:00:27.000 --> 1:00:28.000]  We got a bunch of them.
[1:00:28.000 --> 1:00:30.000]  The dangerous particles they can create.
[1:00:30.000 --> 1:00:36.000]  This is much more powerful potentially than the most powerful hydrogen bomb that we're talking about.
[1:00:36.000 --> 1:00:40.000]  And the chain reactions that can create are devastating to all life on earth.
[1:00:40.000 --> 1:00:42.000]  That dovetails with another headline here.
[1:00:42.000 --> 1:00:46.000]  We have already created human animal embryos already, say British team.
[1:00:46.000 --> 1:00:51.000]  They're talking about legalizing human animal hybrids in England.
[1:00:51.000 --> 1:00:53.000]  And they said, well, what's the debate about?
[1:00:53.000 --> 1:00:55.000]  We did this 10 years ago, as we told you.
[1:00:55.000 --> 1:00:57.000]  This has been on the side of it research for a long time.
[1:00:57.000 --> 1:01:03.000]  Another thing that's very, very dangerous, not just of the abomination of doing this to humanity.
[1:01:03.000 --> 1:01:07.000]  And do these things have rights? What are they?
[1:01:07.000 --> 1:01:12.000]  When you start crossing animals and humans, it unlocks a lot of superviruses, bacteria.
[1:01:12.000 --> 1:01:13.000]  This has already happened.
[1:01:13.000 --> 1:01:21.000]  We've had scientists on discussing that geneticist, genetic engineer, Nobel Prize winners saying it's deadly dangerous.
[1:01:21.000 --> 1:01:23.000]  In fact, it happens every time.
[1:01:23.000 --> 1:01:29.000]  They have gene guns just firing thousands of different gene sequences randomly into human DNA.
[1:01:29.000 --> 1:01:37.000]  Then they injected into the egg with a sperm fertilized.
[1:01:37.000 --> 1:01:42.000]  And then they just create these island of Dr. Maru nightmares.
[1:01:42.000 --> 1:01:43.000]  It's been going on.
[1:01:43.000 --> 1:01:47.000]  I remember the Washington Post five years ago admitted that down in Argentina,
[1:01:47.000 --> 1:01:53.000]  but they won't show the public a big international lab, created human chimpanzee hybrids.
[1:01:53.000 --> 1:01:59.000]  But that was a Washington Post and just said, but we're not going to show them to you because, you know, people freak out.
[1:01:59.000 --> 1:02:02.000]  That's the type of stuff that's going on.
[1:02:02.000 --> 1:02:07.000]  These are human cow crosses and they're killing them during embryonic development.
[1:02:07.000 --> 1:02:09.000]  They say if you really want to believe that.
[1:02:09.000 --> 1:02:13.000]  So the genetic engineering is another chain reaction crisis we face.
[1:02:13.000 --> 1:02:17.000]  And is why a lot of top scientists don't think will become a type one civilization.
[1:02:17.000 --> 1:02:21.000]  That means a civilization that survives and gets off world.
[1:02:21.000 --> 1:02:25.000]  Okay, we're about to break and come back and join some stations.
[1:02:25.000 --> 1:02:28.000]  I want to introduce Professor Louis Sancho first.
[1:02:28.000 --> 1:02:30.000]  And sir, you've got such a lengthy bio.
[1:02:30.000 --> 1:02:38.000]  I thought it would be better if you just tell us about yourself and some of your background, what you think is most important.
[1:02:38.000 --> 1:02:43.000]  Well, it's most important the issue.
[1:02:43.000 --> 1:02:54.000]  My background, I'm a scientist, I'm a system scientist, give international conferences on time theory and related subjects.
[1:02:54.000 --> 1:03:06.000]  But really what I would like to talk is about the collider because I see myself just as a concerned citizen in a team that everybody can truly understand.
[1:03:06.000 --> 1:03:10.000]  Because it's something that goes against our lives.
[1:03:10.000 --> 1:03:12.000]  And that's something that everybody.
[1:03:12.000 --> 1:03:18.000]  Now, you are a physicist who specializes in integrating it into computer technologies.
[1:03:18.000 --> 1:03:19.000]  Is that correct?
[1:03:19.000 --> 1:03:21.000]  No, I'm a system scientist.
[1:03:21.000 --> 1:03:23.000]  Basically system science.
[1:03:23.000 --> 1:03:25.000]  Is merging.
[1:03:25.000 --> 1:03:30.000]  Try to merge biology and physics.
[1:03:30.000 --> 1:03:37.000]  Basically the loss of biology and the loss of evolution and the loss of physics and mathematical loss.
[1:03:37.000 --> 1:03:40.000]  But you're also a computer scientist, correct sir?
[1:03:40.000 --> 1:03:42.000]  No, it's not computer science.
[1:03:42.000 --> 1:03:49.000]  It's basically we have two big science which is biology and physics.
[1:03:49.000 --> 1:03:51.000]  So after the death of Einstein.
[1:03:51.000 --> 1:03:56.000]  Okay, I was just trying to get that straight as I saw in your bio computers and engineering.
[1:03:56.000 --> 1:03:58.000]  No, that was incorrect.
[1:03:58.000 --> 1:04:00.000]  Okay, thank you so much for coming on with us.
[1:04:00.000 --> 1:04:06.000]  We're about to break and we have your colleague Walter L. Wagner who is a physicist to get into that.
[1:04:06.000 --> 1:04:11.000]  You said that's your specialty working with merging the physics with the biology.
[1:04:11.000 --> 1:04:18.000]  And we'll come back and get in to when you first got concerned about the superconducting supercolliders, the cyclotrons,
[1:04:18.000 --> 1:04:23.000]  and now this new collider that is the biggest, the most powerful in the world.
[1:04:23.000 --> 1:04:25.000]  Why you think it's dangerous.
[1:04:25.000 --> 1:04:29.000]  Major British papers and Australian papers have picked up on this.
[1:04:29.000 --> 1:04:32.000]  Some U.S. television has picked up on it.
[1:04:32.000 --> 1:04:38.000]  So that's encouraging because I've been concerned with this for more than 15 years just from the position of a novice.
[1:04:38.000 --> 1:04:43.000]  We'll be right back with Professor Louis Sancho and Walter L. Wagner.
[1:04:43.000 --> 1:05:06.000]  We'll be right back with you.
[1:05:29.000 --> 1:05:32.000]  Want to learn more for yourself and to help others in the future?
[1:05:32.000 --> 1:05:35.000]  Join the Herbal Healer Correspondence Program.
[1:05:35.000 --> 1:05:38.000]  You can work at your own pace from the comfort of your own home.
[1:05:38.000 --> 1:05:42.000]  This accredited, exciting program can help you gain skills and knowledge.
[1:05:42.000 --> 1:05:50.000]  Can you believe you can find all this at onestopherbalhealer.com celebrating 18 years of dedication?
[1:06:31.000 --> 1:06:35.000]  While you're visiting the online video store, be sure to check out the huge discounts
[1:06:35.000 --> 1:06:41.000]  on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[1:06:41.000 --> 1:06:44.000]  We're in a no-holds-bar information war.
[1:06:44.000 --> 1:07:11.000]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[1:07:18.000 --> 1:07:21.000]  We also carry a large selection of personal security devices.
[1:07:21.000 --> 1:07:26.000]  Keep your personal belongings secure using our hidden safes made out of everyday household items,
[1:07:26.000 --> 1:07:29.000]  including an outlet safe and even an underwear safe.
[1:07:29.000 --> 1:07:45.000]  Visit spyville.com, that's S-P-Y-V-I-L-L-E dot com, or call us today at 866-779-8455, that's 866-779-8455.
[1:07:45.000 --> 1:07:51.000]  Use promotional code GCN-007 and receive a 5% discount when ordering online.
[1:07:51.000 --> 1:07:59.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[1:07:59.000 --> 1:08:10.000]  It's Alex Jones and the GCN Radio Network.
[1:08:10.000 --> 1:08:18.000]  I'm very thankful today that Professor Lewis Sancho and Walter L. Wagner join us.
[1:08:18.000 --> 1:08:22.000]  I'm a physicist, of course, and worked in a lot of other fields, Walter L. Wagner.
[1:08:22.000 --> 1:08:30.000]  Lewis Sancho works in the field of emerging biology with physics, and they both have filed a lawsuit
[1:08:30.000 --> 1:08:38.000]  to try to block the activation and usage of the largest and most powerful collider ever built over in Europe.
[1:08:38.000 --> 1:08:40.000]  There are a lot of these.
[1:08:40.000 --> 1:08:43.000]  Mr. Sancho and Mr. Wagner, again, both of you, thank you for joining me.
[1:08:43.000 --> 1:08:45.000]  You're both on air right now.
[1:08:45.000 --> 1:08:46.000]  You both got the floor.
[1:08:46.000 --> 1:08:49.000]  Go ahead and interact because we had Mr. Wagner on a few days ago.
[1:08:49.000 --> 1:08:51.000]  Let's go to Mr. Sancho first.
[1:08:51.000 --> 1:08:58.000]  Mr. Sancho, when did you get concerned about this and what are the fundamental dangers that the equations show
[1:08:58.000 --> 1:09:05.000]  that these colliders could cause, and why are you even more concerned about this particular collider?
[1:09:05.000 --> 1:09:12.000]  Well, it has been an incremental concern because in the past decade, at the same time they were building this collider,
[1:09:12.000 --> 1:09:20.000]  we have explored the universe with better telescopes, and so we have found the reasons of concern
[1:09:20.000 --> 1:09:28.000]  because we know much better today how neutron stars and black holes are formed,
[1:09:28.000 --> 1:09:34.000]  and the dangers of making a big bang are precisely those two dangers.
[1:09:34.000 --> 1:09:47.000]  We know now that it's very easy to replicate and start a reaction that converts our matter into the matter of a neutron star or a black hole.
[1:09:47.000 --> 1:09:54.000]  So my concern has been growing, and at a certain point I enter in contact with CERN
[1:09:54.000 --> 1:09:59.000]  and try to find out what kind of security measures they have, and since they have none,
[1:09:59.000 --> 1:10:05.000]  they basically will do the experiments, replicate the big bang, and whatever happens, it will happen.
[1:10:05.000 --> 1:10:09.000]  They just want to do the big bang and then research.
[1:10:09.000 --> 1:10:12.000]  Now, both of you have very good credentials.
[1:10:12.000 --> 1:10:15.000]  Mr. Wagner discovered a famous particle.
[1:10:15.000 --> 1:10:21.000]  In fact, Mr. Wagner predicted that they could end up making black holes in these,
[1:10:21.000 --> 1:10:27.000]  and the response of the establishment was, yes, and we're going to try to make a black hole to test and see what it'll do.
[1:10:27.000 --> 1:10:33.000]  Now they claim they've made black holes or things similar to them in colliders,
[1:10:33.000 --> 1:10:40.000]  and so that's even scarier that the things that Dr. Wagner and you have been talking about are now starting to happen.
[1:10:40.000 --> 1:10:43.000]  Can you comment on that, Mr. Sancho?
[1:10:43.000 --> 1:10:47.000]  To phrase the question.
[1:10:47.000 --> 1:10:51.000]  Perhaps Mr. Wagner can comment on that.
[1:10:51.000 --> 1:10:54.000]  Well, yes, Alex, thank you.
[1:10:54.000 --> 1:11:02.000]  They have been producing material at the RIC collider, which is a slightly smaller collider than the LHC collider,
[1:11:02.000 --> 1:11:07.000]  that some people think might be a precursor to a dark matter.
[1:11:07.000 --> 1:11:13.000]  Yeah, the Associated Press says they have created many black holes. Is that a lie?
[1:11:13.000 --> 1:11:17.000]  They're not the same kind of black hole that we are concerned about.
[1:11:17.000 --> 1:11:20.000]  But they've recreated the phenomenon. I mean, is that what they're saying?
[1:11:20.000 --> 1:11:25.000]  That's a lie. Never has been made a black hole on Earth. That's an absolute lie.
[1:11:25.000 --> 1:11:28.000]  Okay, well then, what are they creating?
[1:11:28.000 --> 1:11:34.000]  Right now they haven't precisely entered into that range of energies that create the Big Bang,
[1:11:34.000 --> 1:11:36.000]  so that's why the reason of this experiment.
[1:11:36.000 --> 1:11:41.000]  They also say that they will replicate merely what cosmic rays do,
[1:11:41.000 --> 1:11:48.000]  and this is another very simple lie to prove because what they are trying to find is the meaning of mass.
[1:11:48.000 --> 1:11:53.000]  They are trying to pack heavy masses, which are static. They don't move.
[1:11:53.000 --> 1:11:59.000]  It's exactly the opposite of a cosmic ray. A cosmic ray is a very light particle that moves very fast.
[1:11:59.000 --> 1:12:06.000]  So by a reduction to absurdum, if R is the opposite of they,
[1:12:06.000 --> 1:12:12.000]  and what they are trying to do is heavy mass without movement, is the opposite of a cosmic ray.
[1:12:12.000 --> 1:12:16.000]  So I don't know how they can imagine that a cosmic ray is the same thing.
[1:12:16.000 --> 1:12:22.000]  So basically they are fortunate in life because now most people don't know the basics of science,
[1:12:22.000 --> 1:12:24.000]  and they believe their authority.
[1:12:24.000 --> 1:12:28.000]  And by the way, you're not the only scientist. I mean, there are hundreds.
[1:12:28.000 --> 1:12:32.000]  I've been looking it up a lot in the last week. I was already familiar with it,
[1:12:32.000 --> 1:12:37.000]  who have said that there can be very dangerous reactions, strangelets, other things.
[1:12:37.000 --> 1:12:41.000]  You were talking about a neutron star. That's the first time I've heard that brought up.
[1:12:41.000 --> 1:12:42.000]  Can you tell people what that is?
[1:12:42.000 --> 1:12:46.000]  The neutron star has a core of a strange matter.
[1:12:46.000 --> 1:12:53.000]  So the point here is a strange matter is like the next evolutive ladder in the power of matter.
[1:12:53.000 --> 1:12:56.000]  We are the simplest matter on the universe.
[1:12:56.000 --> 1:13:05.000]  And basically what might happen is a nice, nice reaction, which is a name that comes from Kurt Vonnegut's
[1:13:05.000 --> 1:13:12.000]  Cat and the Cradle book, which basically means that because a strange matter is more powerful than our matter,
[1:13:12.000 --> 1:13:20.000]  when it appears and becomes stable, it catalyzes the transformation of our radiant matter into a neutron star.
[1:13:20.000 --> 1:13:26.000]  The only part of our matter that might survive, the reaction is iron,
[1:13:26.000 --> 1:13:30.000]  because it's the most stable energetic atom in the universe.
[1:13:30.000 --> 1:13:38.000]  So what we believe today is that neutron stars have a core of a strange matter in the surface of iron,
[1:13:38.000 --> 1:13:42.000]  and the rest of the matter of this planet would disappear.
[1:13:42.000 --> 1:13:46.000]  Well, Professor Sancho, did you see the San Francisco Chronicle article
[1:13:46.000 --> 1:13:51.000]  where the Pentagon gave a press briefing and then later classified the public briefing
[1:13:51.000 --> 1:13:55.000]  about how they believe they've developed an isolated anti-matter
[1:13:55.000 --> 1:13:58.000]  and that they're moving ahead with anti-matter weapons?
[1:13:58.000 --> 1:14:01.000]  No, I haven't read that.
[1:14:01.000 --> 1:14:07.000]  Well, you can just Google anti-matter weapons or anti-matter bombs and news articles will come up.
[1:14:07.000 --> 1:14:13.000]  This is much more dangerous because the question is that this is a self-reproductive process.
[1:14:13.000 --> 1:14:17.000]  I mean, when you start this kind of reaction, it continues.
[1:14:17.000 --> 1:14:19.000]  I mean, it keeps feeding.
[1:14:19.000 --> 1:14:26.000]  An anti-matter explosion or a weapon, it's a localized weapon, it won't affect the entire earth.
[1:14:26.000 --> 1:14:29.000]  Anti-matter and matter will create a big explosion.
[1:14:29.000 --> 1:14:33.000]  This is much more dangerous because it's a self-sustained process.
[1:14:33.000 --> 1:14:37.000]  Now, I'm going back to flesh this out to be specific.
[1:14:37.000 --> 1:14:41.000]  You published reports, put out papers, published letters inside of publications,
[1:14:41.000 --> 1:14:44.000]  warning people, and then they responded to you and said,
[1:14:44.000 --> 1:14:46.000]  yes, we're going to try to make black holes.
[1:14:46.000 --> 1:14:50.000]  Can you flesh out the particulars of that story, Dr. Wagner?
[1:14:50.000 --> 1:15:00.000]  Yes, early on, in the late 1990s and 2000, they were saying that it's impossible to make micro-black holes.
[1:15:00.000 --> 1:15:04.000]  And shortly afterwards, within a couple of years, some theorists are coming out and saying,
[1:15:04.000 --> 1:15:11.000]  well, this is something actually that's well within the realm of reason that micro-black holes can be formed.
[1:15:11.000 --> 1:15:16.000]  And at that point, Sarah took the position that, well, we're going to try to make these micro-black holes.
[1:15:16.000 --> 1:15:20.000]  It'll be interesting physics. But we're not worried, they said claim,
[1:15:20.000 --> 1:15:24.000]  because we know that they're going to evaporate very rapidly because of this theory
[1:15:24.000 --> 1:15:30.000]  that Professor Hawking came up with that micro-black holes can evaporate.
[1:15:30.000 --> 1:15:35.000]  Well, that theory has never been shown to be true anywhere.
[1:15:35.000 --> 1:15:37.000]  Nobody has ever seen Hawking radiation.
[1:15:37.000 --> 1:15:40.000]  No one has ever seen a micro-black hole evaporate.
[1:15:40.000 --> 1:15:44.000]  No one has ever seen a large black hole evaporate. They always get larger.
[1:15:44.000 --> 1:15:48.000]  And so it's a theory that, well, maybe it's correct.
[1:15:48.000 --> 1:15:52.000]  I don't know. There are a lot of people who've cast a lot of doubt.
[1:15:52.000 --> 1:15:58.000]  A lot of theorists who've cast doubt on the validity of this Hawking radiation theory.
[1:15:58.000 --> 1:16:08.000]  And yet that is what is being relied on in the previous safety studies that the seren did as to why it would be safe to make micro-black holes.
[1:16:08.000 --> 1:16:16.000]  The question boils down to, is it a good idea to make a micro-black hole here on Earth
[1:16:16.000 --> 1:16:20.000]  to find out whether or not Hawking was right?
[1:16:20.000 --> 1:16:23.000]  Please continue fleshing that out.
[1:16:23.000 --> 1:16:29.000]  Well, okay. The obvious answer to that question, of course, is if Hawking's right, it's safe.
[1:16:29.000 --> 1:16:32.000]  If Hawking's wrong, we're history.
[1:16:32.000 --> 1:16:47.000]  May I say something? This is an ethical question. I mean, there is no right for a group of physicists to try to prove a theory which is disputed with the risk of life, not to the entire mankind, to a single human being.
[1:16:47.000 --> 1:17:00.000]  So we have a school, we have a school of physicists who happen to be in control of the research laboratories and the megacyclotrons with this turbo-type technology in science.
[1:17:00.000 --> 1:17:15.000]  You know, this hyper-dangerous science, and they believe that their math is right and that it's not a danger, and they just want to prove some theory when Hawking has admitted many times that he's been wrong about other theories.
[1:17:15.000 --> 1:17:23.000]  He has also admitted that this theory is just a probability in his books, and I could quote them.
[1:17:23.000 --> 1:17:34.000]  So we know there's a probability, even the author of the theory, it's a hypothesis. It implies very strange phenomena, like travel to the past of antiparticles.
[1:17:34.000 --> 1:17:46.000]  It defies the second law of thermodynamics, which says that the hot object becomes colder, and because he introduces the idea that antiparticles travel to the past,
[1:17:46.000 --> 1:17:56.000]  the black hole, instead of getting colder, like everything, for example, when you put hot iron in water, evaporates the water, he said that the opposite happens,
[1:17:56.000 --> 1:18:05.000]  that the black hole will get hotter and hotter, and it will take temperature from our world that will become colder, and the black hole will evaporate.
[1:18:05.000 --> 1:18:12.000]  This is, I believe, very difficult to prove, probably nonsense.
[1:18:12.000 --> 1:18:20.000]  Well, talking about playing God or playing dice with our future, the classic cliché is Russian roulette. You're right.
[1:18:20.000 --> 1:18:30.000]  If the equations show there's any danger of this, they don't have a right to do it, but we see scientists who thought the hydrogen bomb might set the atmosphere on fire and they still did it.
[1:18:30.000 --> 1:18:35.000]  What type of people are these? Go ahead, Dr. Wagner.
[1:18:35.000 --> 1:18:48.000]  Yes, well, the nuclear weapons testing that was done during an era in which it was stated that, basically, it was better to be dead than to be read.
[1:18:48.000 --> 1:18:54.000]  That is, it's better to do this test, even if it kills us, because we would rather do that than become communists.
[1:18:54.000 --> 1:19:04.000]  And so there was a underlying philosophy girding that research. That is a present now, plus the risk is much greater.
[1:19:04.000 --> 1:19:09.000]  Back then, they were able to actually calculate the risk, and it was very, very low. It's like 1 in 50,000.
[1:19:09.000 --> 1:19:12.000]  So they said, well, this is a risk that we think is worth taking.
[1:19:12.000 --> 1:19:23.000]  Now, it's not possible to calculate that risk. It's somewhere between zero and 100%, and Standard Statistics says, you said it at 50%.
[1:19:23.000 --> 1:19:26.000]  Under those conditions, when you don't have any other information.
[1:19:26.000 --> 1:19:33.000]  So we're looking at that kind of a risk with no benefit, or extremely small benefit.
[1:19:33.000 --> 1:19:39.000]  It certainly benefits the people who are doing the work. They get nice salaries and live in comfortable houses.
[1:19:39.000 --> 1:19:44.000]  Gentlemen, stay there. Professors, Dan, Joe, Dr. Wagner, final segment, we appreciate your time.
