[00:00.000 --> 00:10.940]  Yippee-aye, yippee-aye-o-o-o-o-o-o-o-o!
[1:10:18.200 --> 1:10:24.200]  authoritarianism we'll use it for a worldwide takeover we'll use drones to surveil people and
[1:10:24.200 --> 1:10:31.080]  notice it's the same from california to new york to london england to wuhan china to
[1:10:31.080 --> 1:10:38.120]  it's drones it's drones shouting orders it's a global standardized corporate system to condition
[1:10:38.120 --> 1:10:46.200]  you to accept the takeover so here's the badness the virus is man-made i mean they had major
[1:10:46.200 --> 1:10:54.200]  testing firms in italy in germany in the united states in india come out and say the same thing
[1:10:54.200 --> 1:11:00.440]  it's got the p shuttle gene it's got the protein slices it's got the incisions folks it's got
[1:11:00.440 --> 1:11:07.960]  where they jammed it in there because when they put that RNA in there it leaves a trace and i use
[1:11:07.960 --> 1:11:12.680]  the analogy of you that open heart surgery you see the big the stitches you look at frankenstein how
[1:11:12.680 --> 1:11:16.840]  do you know he's got different people's arms and legs and you know because it's the stitches folks
[1:11:16.840 --> 1:11:22.920]  i mean it's ridiculous how obvious it is 100 and that's why you see the panicking by governments
[1:11:22.920 --> 1:11:30.760]  and that's why when the chai comms came out and on their official national tv at least 20 times i've
[1:11:30.760 --> 1:11:36.120]  seen and in their papers and said the u.s army was in wuhan they released it it's all their fault
[1:11:37.480 --> 1:11:41.960]  that's because they know they released it with deep state globalists they're working with that
[1:11:41.960 --> 1:11:47.320]  helps set up china remember china didn't run in this it's the corrupt evil human testing ground
[1:11:47.320 --> 1:11:53.800]  three million people in slave camps they're muslims alone it's the hellhole human animal cloning 30
[1:11:53.800 --> 1:12:02.120]  years ago 20 years ago cows that produced human milk sold on store shelves uh spiders that are
[1:12:02.120 --> 1:12:09.080]  park goat the great body armor i mean it's just it's it's hell on earth it's all publicly going on
[1:12:09.080 --> 1:12:14.920]  human organ harvesting you name it the globalists set it up 90 plus percent of didn't have running
[1:12:14.920 --> 1:12:20.600]  water most chinese were living on you know out out in the farmers like we were the globalist
[1:12:20.600 --> 1:12:25.800]  took it over the communist ordered them all into collectivizing set up mass brainwashing
[1:12:25.800 --> 1:12:32.280]  forced sterilization 50 million girls killed 400 million girls aborted i mean they're evil
[1:12:32.280 --> 1:12:38.200]  now it mainly hits men we learned in the chinese population over here it's the old it's mutated
[1:12:38.200 --> 1:12:42.440]  strangely because with a bio weapon you've already tested it in rats and other things you
[1:12:42.440 --> 1:12:47.240]  know how it's going to mutate or you can release other versions now they're saying there's hundreds
[1:12:47.240 --> 1:12:51.800]  of versions there was 40 versions two weeks ago then 100 now there's hundreds of versions
[1:12:53.080 --> 1:12:56.920]  that's not normal there's things don't only mutate like that but see it's four viruses
[1:12:57.640 --> 1:13:03.880]  it's engineered it's basically nano tech they always argue that viruses really aren't alive
[1:13:03.880 --> 1:13:10.200]  because they reproduce but that's it they're like digital information versus rna it's biological
[1:13:10.200 --> 1:13:17.880]  viruses are robots and so nano tech is just a bunch of viruses you've engineered
[1:13:17.880 --> 1:13:22.680]  together do what you want and that's what it is it's a soft kill weapon
[1:13:24.600 --> 1:13:32.040]  so the virus is real but the hype to scare you and the clamp down is to take your freedoms into
[1:13:32.040 --> 1:13:38.360]  the future so they can lock you down in the future and you behave yourself when they release
[1:13:38.360 --> 1:13:43.400]  plagues that are even worse as i predicted in in-game blueprint for global enslavement because
[1:13:43.400 --> 1:13:48.520]  that's how they'll do it they'll release viruses that are somewhat deadly spread fast that reinfect
[1:13:48.520 --> 1:13:53.000]  the way down society then they'll herd you into compact smart bubbles that big tech advertises
[1:13:53.000 --> 1:13:58.920]  their city hubs that are safe that have all the surveillance and then everybody else dies that
[1:13:58.920 --> 1:14:04.600]  isn't inside the bubble city and that's what the globalists have said they said we're going away
[1:14:04.600 --> 1:14:09.400]  from nation states not to a big loving world government but nation states will be gotten rid
[1:14:09.400 --> 1:14:15.560]  of to city states that are private and corporate owned that have the weapons the surveillance
[1:14:15.560 --> 1:14:21.080]  the medicine everything but you'll be fried with 5g and surveilled you will opt into the prison
[1:14:21.080 --> 1:14:26.440]  because outside the prison drones by night will deliver the bio weapon and you will have
[1:14:27.480 --> 1:14:31.960]  the intelligentsia herded into the real kill grid well everybody else hides in the countryside
[1:14:31.960 --> 1:14:36.760]  and that's the master plan and that's what they're doing that's what's going to unfold
[1:14:36.760 --> 1:14:40.840]  we can change it we can say no we can stop it you understand people here are going there's a
[1:14:40.840 --> 1:14:45.080]  Rockefeller reports how they'll use this for world government and people go look it up and
[1:14:45.080 --> 1:14:49.720]  they go oh my god they go here's all these reports and here's them calling for world government wow
[1:14:49.720 --> 1:14:58.840]  wow how'd you know this are you it's not just in that it's in club of realm documents 1968
[1:14:58.840 --> 1:15:06.040]  it's all in in game in game in game in game blueprint for global enslavement
[1:15:09.000 --> 1:15:12.680]  and what's the marvel movie in games about global extermination killing everybody
[1:15:15.160 --> 1:15:19.560]  and they complained the makers of that complained and said jones's in game is
[1:15:19.560 --> 1:15:23.880]  going to the top of amazon again and was getting watched by tens of thousands a day
[1:15:23.880 --> 1:15:28.280]  they said it's confusing it with our in game delete it even though i talked to one of the
[1:15:28.280 --> 1:15:35.080]  writers who reached out to me and they said that i inspired in game so i inspire their marvel movie
[1:15:35.080 --> 1:15:38.920]  and then i get censored because i inspired it by the way you think i'm joking that's that's not a
[1:15:38.920 --> 1:15:42.360]  joke my bragging it's just how much influence we have thanks to all these friends the word
[1:15:42.360 --> 1:15:46.840]  and chris carter said i influence all new x-files so they're all obsessed with the show because they
[1:15:46.840 --> 1:15:50.920]  know it's the truth they don't have the power to be truthful themselves they're all just selling
[1:15:50.920 --> 1:15:54.520]  out getting money and then building armored fortresses hoping they don't don't get killed by
[1:15:54.520 --> 1:16:00.360]  their own plan if you're trying to quit drinking or doing too many drugs listen to me you don't
[1:16:00.360 --> 1:16:05.960]  know me and we'll never meet i had a problem like you once i drank and used to party a little too
[1:16:05.960 --> 1:16:13.160]  much till it got out of control and almost ruined my life i realized i needed help to fix my problem
[1:16:13.160 --> 1:16:18.840]  before it totally destroyed me if you've tried to fix your drinking and drug problem and you know
[1:16:18.840 --> 1:16:25.160]  you can't do it alone you need to call the national treatment advisors they'll immerse you into a
[1:16:25.160 --> 1:16:31.160]  30-day program to replace your old habits with new habits and totally change your life and if you
[1:16:31.160 --> 1:16:37.480]  have ppo private health insurance the entire program may be covered fix your problem right now
[1:16:37.480 --> 1:16:51.480]  before it gets any worse get clean call now and learn more 800 506 6740 800 506 6740 that's 800
[1:16:51.480 --> 1:17:00.120]  506 6740 fully cooked ready to eat bacon i'm talking thick meaty center cut presidential
[1:17:00.120 --> 1:17:06.760]  bacon savory and delicious i buy some i use some i store some awesome no refrigeration
[1:17:06.760 --> 1:17:12.920]  needed with a 10-year shelf life nasa pack technology bacon fully cooked fully hydrated
[1:17:12.920 --> 1:17:19.240]  ready to eat right from the pack bacon or warm and serve life saving ready to eat bacon 10-year
[1:17:19.240 --> 1:17:26.440]  shelf life bacon ships free at fully cooked bacon dot com fully cooked bacon dot com hunters anglers
[1:17:26.440 --> 1:17:32.280]  campers and survivalists get back to nature expand your horizons with the highest quality most versatile
[1:17:32.280 --> 1:17:37.800]  unique sling shots and sling bows on the market at sling bow dot com sling bow products are compact
[1:17:37.800 --> 1:17:43.080]  and models start from just 1798 they're perfect for your bug out bag or storing in your vehicle
[1:17:43.080 --> 1:17:48.120]  give yourself and your loved ones the excitement and tradition of sling bow a new frontier in
[1:17:48.120 --> 1:17:53.800]  archery and truly modern twist on this primitive survival tool feel the thrill only at sling bow
[1:17:53.800 --> 1:18:01.560]  dot com newtonian physics documents the fact that for every action there's an opposite and equal
[1:18:01.560 --> 1:18:07.480]  reaction and that matter is not destroyed it is simply transferred into another form well we're
[1:18:07.480 --> 1:18:11.800]  seeing that happen right now the globalists are openly trying to hype up the coronavirus trying
[1:18:11.800 --> 1:18:16.760]  to kill our economy and trying to have martial law shut down around the country and trying to
[1:18:16.760 --> 1:18:22.440]  stampede trump into implementing it so they can blame the imploding economy on him but trump has
[1:18:22.440 --> 1:18:27.320]  seen through it and so he's let them implement the draconian controls and is saying do you really
[1:18:27.320 --> 1:18:32.360]  want a depression for something that's killed far less than the flu ladies and gentlemen now is the
[1:18:32.360 --> 1:18:37.960]  fight of our lives and the good news is their attack on humanity and on independent media has
[1:18:37.960 --> 1:18:42.200]  caused a lot of people to start thinking for themselves and so the traffic to info wars
[1:18:42.200 --> 1:18:48.680]  dot com and bandot video is triple our previous records right now so you're doing a great job
[1:18:48.680 --> 1:18:53.400]  spreading the word and people are tuning in to find out the truth like never before because of you
[1:18:53.400 --> 1:19:02.120]  the modern paul reveres serving with info wars is a great honor but i still need my morning coffee
[1:19:03.240 --> 1:19:09.400]  and luckily our break room at the info wars headquarters is stock full of high quality info
[1:19:09.400 --> 1:19:16.840]  wars store patriot blend coffee grown in the high mountains of southern mexico the chiapas farmers
[1:19:16.840 --> 1:19:26.040]  grow 100 organic non-gmo coffee at the ideal altitude for the perfect cup a robust coffee
[1:19:26.040 --> 1:19:32.760]  with great flavor and mild acidity there has never been a more important time to support info wars
[1:19:33.480 --> 1:19:38.600]  so if you love coffee and if you want to fight for freedom then you can help
[1:19:38.600 --> 1:19:47.880]  order now at the info wars store sign up for auto ship and get your own high quality supply
[1:19:47.880 --> 1:19:53.880]  of patriot blend coffee delivered right to your door at info wars store dot com
[1:19:53.880 --> 1:20:02.680]  um you're listening to the alex jones show
[1:20:02.680 --> 1:20:24.520]  i came here looking for something i couldn't find anywhere else
[1:20:24.520 --> 1:20:33.720]  but i don't want to be nobody just want a chance to be myself
[1:20:35.800 --> 1:20:43.320]  i've done a thousand miles of thumbing yes i've worn blisters on my heels
[1:20:45.640 --> 1:20:48.200]  trying to find me something better
[1:20:48.200 --> 1:20:55.880]  do on the streets of bakers field we are back live i'm your host alex jones and mike adams
[1:20:55.880 --> 1:21:02.200]  is here with us the next 45 minutes natural news dot com he has been dead on about it being manmade
[1:21:02.760 --> 1:21:08.920]  dead on about it mutating and reinfecting and now it's confirmed that it's attacking men's testicles
[1:21:09.800 --> 1:21:14.840]  so i know you have that whole depopulation aspect to it is the media hyping it to drive down the
[1:21:14.840 --> 1:21:20.360]  economy and take our liberties absolutely that's the larger globalist goal but it doesn't mean
[1:21:20.360 --> 1:21:27.560]  that the threat of the virus isn't real i simply said look out for your liberties uh and you know i
[1:21:27.560 --> 1:21:32.840]  hope the death rate goes down as we learn more people get tested and they're saying america
[1:21:32.840 --> 1:21:38.440]  leads it well yeah we've done more tests than anybody else but speaking of vindication they banned
[1:21:38.440 --> 1:21:45.080]  our app last week saying i was putting out disinformation the video that they referenced i
[1:21:45.080 --> 1:21:50.920]  was talking about all these governors banning doctors prescribing hydroxychloroquine that
[1:21:50.920 --> 1:21:58.520]  just pushes zinc into the cells has been described for 70 plus years and it and itself is just based
[1:21:58.520 --> 1:22:02.280]  on something the british army used to give their troops to stop malaria i was just covering that
[1:22:02.280 --> 1:22:10.440]  trump was right well now the fda today said okay we approve it europe's been using it great yes we
[1:22:10.440 --> 1:22:15.720]  approve it so here's the headlines fda approves emergency coronavirus treatment 30 million
[1:22:15.720 --> 1:22:20.840]  doses of animal area drugs or vitus they're all making it fda approves emergency use of malaria
[1:22:20.840 --> 1:22:25.080]  pills cover 19 treatment so they were going to do these trials but now they're just saying okay
[1:22:26.120 --> 1:22:31.000]  joining us to cover the waterfront is mike adams we've got the pentagon orders essential staff
[1:22:31.000 --> 1:22:37.480]  deep underground mountain bunker as pandemic prep escalates big worries of civil unrest popping up
[1:22:37.480 --> 1:22:42.440]  in europe and other areas they're now confirming what we told you a month ago the food is breaking
[1:22:42.440 --> 1:22:47.000]  down at the farmer levels there will be some food shortages there's much food as we waste maybe that
[1:22:47.000 --> 1:22:51.480]  will teach us to waste food we'll see what happens mike there's so many questions i've got if we
[1:22:51.480 --> 1:22:57.080]  haven't talked to you in almost a week so much is happening what is the latest mike adams well
[1:22:57.080 --> 1:23:01.240]  i've got some good news for you this is perhaps the first good news i've had for your audience
[1:23:01.240 --> 1:23:06.520]  in in quite some time uh it looks like in my estimation the evidence is now very clear that
[1:23:06.520 --> 1:23:13.400]  we could end all the lockdowns worldwide simply by mass producing zinc distributing zinc to all
[1:23:13.400 --> 1:23:18.680]  the people of the world for free in other words use the defense production act in america to
[1:23:18.680 --> 1:23:23.480]  distribute zinc supplements to people with good guidance about the proper doses so people don't
[1:23:23.480 --> 1:23:29.480]  overdose plus having people wear masks as they return to work and doing testing of asymptomatic
[1:23:29.480 --> 1:23:36.360]  patients so if you can crank up the testing the masks and the zinc i believe you can end this
[1:23:36.360 --> 1:23:43.160]  in the month of april i'm not even kidding i i think we could end this worldwide because zinc is now
[1:23:43.160 --> 1:23:50.040]  emerging as the single most important element to blocking the replication of the virus inside
[1:23:50.040 --> 1:23:55.560]  the body so you see there are two ways to block the virus you can use it you can use social isolation
[1:23:55.560 --> 1:24:01.480]  or lockdowns which of course destroy the economy so that's not good but you can also block the virus
[1:24:01.480 --> 1:24:08.440]  inside human cells and you do that with zinc and in severe cases chloroquine drives zinc into
[1:24:08.440 --> 1:24:12.600]  the cells as you just mentioned you're absolutely right there are all kinds of studies on that i
[1:24:12.600 --> 1:24:16.520]  just published an article a few minutes ago before i came on that that links to some of those
[1:24:16.520 --> 1:24:23.400]  studies by the way that a chloroquine is what's called a a what is it a zinc ion of four which
[1:24:23.400 --> 1:24:31.240]  means it enhances the chemistry of zinc to push it into your cells and their zinc kills cancer
[1:24:31.240 --> 1:24:37.160]  cells that's in some of the studies as well as blocks the replication of the corona virus class
[1:24:37.160 --> 1:24:42.760]  of viruses so i believe that right now we have solutions but because big pharma has a strangle
[1:24:42.760 --> 1:24:50.600]  hold on congress on the media even on the president we know why we know why the the leader of brazil
[1:24:50.600 --> 1:24:57.080]  said europe gave them hydroxychloroquine 95 97 percent rate if you get it early zinc's great
[1:24:57.080 --> 1:25:01.880]  they banned him blocked him on twitter they blocked me they they're desperate they don't
[1:25:01.880 --> 1:25:05.960]  want people to know about nutrition well this is this is the key and this is exactly why you were
[1:25:05.960 --> 1:25:11.320]  banned because you you were talking about a generic low-cost drug hydroxychloroquine can't
[1:25:11.320 --> 1:25:15.480]  make billions for big pharma because it's off patent it's been off patent for many many years
[1:25:15.480 --> 1:25:19.640]  and it's not a vaccine it's not a vaccine and it's not a vaccine right so you now have the
[1:25:19.640 --> 1:25:26.360]  suppression of lifesaving knowledge of cures actual cures between chloroquine and and zinc
[1:25:26.360 --> 1:25:31.400]  these are actual cures i believe that can stop this pandemic in its tracks i think we now have
[1:25:31.400 --> 1:25:36.200]  enough information to be able to say that and what should be happening right now alex is that
[1:25:36.200 --> 1:25:41.720]  there should be blood tests of all the patients who have this to check their zinc levels because i
[1:25:41.720 --> 1:25:47.640]  think we would see a very strong pattern of zinc deficiency and this is why some younger people
[1:25:47.640 --> 1:25:52.280]  are dying like like triathletes are dying from this why they're young they're healthy they have no
[1:25:52.280 --> 1:25:57.960]  underlying health conditions well guess what when you exercise a lot you sweat out zinc and other
[1:25:57.960 --> 1:26:01.880]  trace minerals and if you're not replenishing those minerals you can be zinc deficient you can die
[1:26:01.880 --> 1:26:07.000]  from this i think zinc really could be the silver bullet for this you know not to mention silver
[1:26:07.000 --> 1:26:12.360]  itself which has a topic why are they so well i mean the democrats are so evil like you said
[1:26:12.360 --> 1:26:16.440]  eight weeks ago they were saying keep things open don't block the chinese i agree totally
[1:26:16.440 --> 1:26:20.280]  blocked the flights even if there's any chance it's super bad and obviously is a really bad virus
[1:26:20.280 --> 1:26:25.560]  but like you kept saying if you have proper nutrition the studies are by prestigious
[1:26:25.560 --> 1:26:32.920]  vanderbilt uh harvard john hopkins say that it's like 98 99 percent that if you've got a bunch of
[1:26:32.920 --> 1:26:37.320]  zinc in you it's incredible let me ask you this so be sure the health ranger these medical doctors
[1:26:37.320 --> 1:26:43.240]  are saying take 250 milligrams a day the normal thing i guess is like 10 milligrams rda most of
[1:26:43.240 --> 1:26:48.200]  things are you know the 30 milligrams uh but i read some places that could be bad for the kidneys
[1:26:48.200 --> 1:26:53.080]  long term but i guess it's a trade-off what are you recommending people take zinc wise well
[1:26:53.080 --> 1:26:57.480]  well what those doctors are doing is trying to get deficient people up to a normal level so they
[1:26:57.480 --> 1:27:02.280]  would typically recommend only 250 milligrams that's a front load that's a front load exactly
[1:27:02.280 --> 1:27:06.920]  exactly but once you reach a blood level that is sufficient you obviously want to back off
[1:27:06.920 --> 1:27:11.240]  of that to about one tenth of that or even 25 milligrams per day but check with your own doctor
[1:27:11.240 --> 1:27:15.560]  your own naturopath you know each person's situation so i'm right 25 milligrams 30 is what
[1:27:15.560 --> 1:27:19.960]  i came up with just researching yeah that's that's really about in the right range and right now i'm
[1:27:19.960 --> 1:27:25.240]  taking about 50 milligrams a day in the form of zinc gluconate just because i i hadn't been taking
[1:27:25.240 --> 1:27:30.040]  enough zinc myself so i'm taking more i'll back off of that probably in another week or so the
[1:27:30.040 --> 1:27:35.800]  thing that's interesting about zinc is when you have too much when you you can taste zinc in water
[1:27:35.800 --> 1:27:39.160]  if you have too much zinc in your blood it will alter your taste and you'll be able to taste it
[1:27:39.160 --> 1:27:43.480]  it'll taste like a heavy metal that's really yucky that's when you know you have too much that's one
[1:27:43.480 --> 1:27:48.280]  way to know it and i was reading also make your hair fall out because it boosts testosterone well
[1:27:48.280 --> 1:27:53.560]  i i yeah probably so i don't know what all the side effects of excess a zinc intake are but it
[1:27:53.560 --> 1:27:59.480]  has a very wide range of efficacy and it can be very safely and very affordably made and the
[1:27:59.480 --> 1:28:04.360]  thing is zinc is i think the third most common element in the earth's crust so there's no shortage
[1:28:04.360 --> 1:28:08.680]  of zinc we're living on zinc well stay right there but isn't it good news that that the
[1:28:08.680 --> 1:28:12.840]  FDA has been forced to just say okay doctors you can give this to people i mean the idea that they
[1:28:12.840 --> 1:28:19.560]  block doctors off label doctors have always done this stuff well when i saw the democrat governors
[1:28:19.560 --> 1:28:23.160]  of states i think michigan was one of them and i'm not sure what others when i saw them
[1:28:23.720 --> 1:28:29.720]  outlawing or banning doctors from proscribe new york california it's 20 of them then i knew it i knew
[1:28:29.720 --> 1:28:34.200]  they want this to kill more americans they want this to be as bad as possible and and that has
[1:28:34.200 --> 1:28:39.160]  got to be stopped that is insane they are they are truly villains i know you've got huge numbers on
[1:28:39.160 --> 1:28:43.960]  projections is fouchy right 200 000 dead by the way people driven a wedge here saying me and might
[1:28:43.960 --> 1:28:48.680]  disagree with each other no we don't i've been trying i don't know what's going on okay i just
[1:28:48.680 --> 1:28:52.920]  know they don't want you to have drugs and zinc and things that you absolutely need that's all i know
[1:28:52.920 --> 1:29:00.440]  we'll be right back fellow patriots my name is todd savage founder of black rifle real estate dot
[1:29:00.440 --> 1:29:05.080]  com like you i was a prisoner of the out left sanctuary state until one day i chose to leave
[1:29:05.080 --> 1:29:10.520]  my family to freedom today we live on a sustainable 20-acre homestead where we shoot hunt garden and
[1:29:10.520 --> 1:29:14.920]  homeschool our children without the tyranny of the nanny state looking over us if you're ready to
[1:29:14.920 --> 1:29:19.720]  flee the city to the freedom of idaho or montana our black rifle real estate team is here to help
[1:29:19.720 --> 1:29:26.760]  go to black rifle real estate dot com that's black rifle real estate dot com maybe not today
[1:29:26.760 --> 1:29:33.320]  maybe not tomorrow but soon you'll need a plan and place to survive forget bunkers you're not a
[1:29:33.320 --> 1:29:38.600]  live underground gopher you need survivalist camps the ultimate fully functional off the grid
[1:29:38.600 --> 1:29:44.200]  mobile survival bug outhouse that's well equipped and custom built to outlast any other rv or trailer
[1:29:44.200 --> 1:29:50.840]  bold statement you bit see him now at survivalist camps dot com that's survivalist camps dot com
[1:29:50.840 --> 1:29:54.120]  trust your family survival to survivalist camps dot com
[1:29:54.120 --> 1:30:03.720]  hey listen alex jones and the resistance are still on air they're a band off video
[1:30:03.720 --> 1:30:09.240]  and info wars dot com all you gotta do is go to info wars dot com for its last show you'll find alex
[1:30:09.240 --> 1:30:14.520]  jones's broadcast live and you'll find owens chore the war room david night and so much more
[1:30:14.520 --> 1:30:21.560]  special broadcast films emergency reports gets all there and the globalist had worked around the
[1:30:21.560 --> 1:30:26.600]  clock to take him off air but something's happening the public has been spreading the word that the
[1:30:26.600 --> 1:30:32.120]  forbidden truth lives at info wars dot com for its last show in the end of video and it's growing
[1:30:32.120 --> 1:30:38.840]  exponentially and the attempts to censor are only backfiring but we can supercharge this right now
[1:30:38.840 --> 1:30:44.520]  if all of you listening realize hey you know how to find the show but other people don't they believe
[1:30:44.520 --> 1:30:50.040]  mainstream media that was off the air so you can override the corporate media the establishment all
[1:30:50.040 --> 1:30:55.240]  of them at this critical time and tell folks that the truth lives and is back on air and info wars
[1:30:55.240 --> 1:31:01.960]  dot com alex jones here with some good news two weeks ago we had to stop taking new storeable
[1:31:01.960 --> 1:31:06.120]  food orders because the company that supplies us was backed up it was busy getting out the
[1:31:06.120 --> 1:31:10.120]  orders they had now they've opened up two more factories they bought a whole bunch more high
[1:31:10.120 --> 1:31:13.480]  quality food they're packaging it right now and they're going to be able to ship it out to you very
[1:31:13.480 --> 1:31:19.880]  soon so get your orders in now every other major food manufacturer in the storeable food area
[1:31:19.880 --> 1:31:24.920]  has been sold out for a long time many of them are still telling you they got food they don't
[1:31:24.920 --> 1:31:29.880]  we do but it takes time to package it and get it out to you the bad news is hey i hope the virus
[1:31:29.880 --> 1:31:35.800]  blows over but the globalist trying to cancel the election and the economy may go south
[1:31:35.800 --> 1:31:39.400]  now more than ever is the time to have high quality storeable food and the place to get it
[1:31:39.400 --> 1:31:44.920]  is infowarstore.com so a lot of you got the food from us you've loved it it's been very helpful
[1:31:44.920 --> 1:31:50.200]  for you and your family now is the time to double down with as crazy as this world is
[1:31:50.200 --> 1:32:17.080]  they're able to take trump down we're screwed we've got a fin for ourselves infowarstore.com
[1:32:17.080 --> 1:32:23.480]  similar to other mix in energy packets turbo force from info wars life utilizes vitamins
[1:32:23.480 --> 1:32:31.400]  amino acids and extracts used for hundreds of years across the world to provide focus clarity
[1:32:31.400 --> 1:32:37.320]  and a boost of energy when you need it turbo force is certainly a force to be reckoned with for
[1:32:37.320 --> 1:32:44.360]  portable affordable and tasty energy and speaking of affordable you can even try turbo force for a
[1:32:44.360 --> 1:32:51.960]  limited time at an incredible 40 off don't wait till it's out of stock again and get turbo force
[1:32:51.960 --> 1:33:12.360]  right now only at infowarstore.com you're listening to the alex jones show the beast in me
[1:33:12.360 --> 1:33:20.920]  he is caged by frail and fragile bars
[1:33:24.920 --> 1:33:33.080]  restless by day and by night rancid rages at the start
[1:33:33.080 --> 1:33:41.240]  god help the beast in me
[1:33:43.000 --> 1:33:46.920]  all right robert barnes is going to be co-hosting with me in the fourth hour today
[1:33:46.920 --> 1:33:52.200]  in studio and he's going to be launching a new show here at least for the next month or so that's
[1:33:52.200 --> 1:34:02.200]  going to be commercial free we're going to have um no network ads so we're only going to have
[1:34:05.320 --> 1:34:10.680]  six minutes and 10 seconds of ads that way we had more time for guests more time for callers
[1:34:11.320 --> 1:34:15.080]  highlights of trump speeches things that are developing all the things that are built through
[1:34:15.080 --> 1:34:19.320]  the day that we want to recap we're going to have a countdown and i'll say the name of the show
[1:34:19.320 --> 1:34:22.920]  by the end of the broadcast i hear today but it's something i just wanted to do
[1:34:24.520 --> 1:34:27.640]  we also intend to add some more shows that are specialty programs
[1:34:28.920 --> 1:34:33.320]  as things break because so much is happening with 217 days out from the election now
[1:34:34.600 --> 1:34:39.800]  i began and i'll cover this in the fourth hour getting inundated with footage of empty hospitals
[1:34:39.800 --> 1:34:44.920]  all over europe and all over the united states and people it's good they're out researching it's
[1:34:44.920 --> 1:34:50.600]  good they're out doing things they go to hospitals that they've known in cadet kid in new york in
[1:34:50.600 --> 1:34:58.840]  texas in california in london uh in berlin germany and they go it's empty and all there are all
[1:34:58.840 --> 1:35:03.720]  these beds and they'll talk to the cops the cops go yeah usually a month ago this hospital is full
[1:35:03.720 --> 1:35:11.800]  of people nobody's here now everyone is thinking that that means it's all a hoax no folks when
[1:35:11.800 --> 1:35:16.600]  they think there's going to be a major pandemic they designate certain hospitals as quarantine
[1:35:16.600 --> 1:35:20.360]  centers and they're not going to have regular patients there they're cleaning them out and
[1:35:20.360 --> 1:35:29.240]  getting them ready for emergency triage facilities so that's where people go off half-cocked that's
[1:35:29.240 --> 1:35:33.960]  what it appears to me in the last few days having these videos come in and i didn't air them yet
[1:35:33.960 --> 1:35:37.720]  because i couldn't figure out what was going on then i made some phone calls i looked and found
[1:35:37.720 --> 1:35:41.720]  the few places i were able to call that they are indeed if you can get a doctor or a nurse on the
[1:35:41.720 --> 1:35:46.360]  phone yeah no we're cleared out um you know just to handle coronavirus now the thing is they're
[1:35:46.360 --> 1:35:51.400]  not overwhelmed yet because it hasn't peaked and there is a lot of media hype going on and there
[1:35:51.400 --> 1:35:55.720]  is footage out of england where they're going around saying a guy died in the building who didn't
[1:35:55.720 --> 1:35:59.560]  and they're all in hazmat suits so there is some leftist fear mongering going on
[1:36:01.720 --> 1:36:05.640]  but then we got this footage that's up on info wars dot com that we'll cover next hour
[1:36:05.640 --> 1:36:11.960]  irresponsible cbs slammed for using coronavirus footage from italian hospital to
[1:36:11.960 --> 1:36:17.480]  portray new york city saying it was new york saying it was overwhelmed showing people in
[1:36:17.480 --> 1:36:22.840]  the hallways that's like abc showing the knob creek machine gun shootout and saying that trump
[1:36:22.840 --> 1:36:30.760]  allowed the turks to blow up a Kurdish city it was 10 foot tall gasoline plumes mushroom clouds
[1:36:30.760 --> 1:36:36.920]  from gas tanks getting blown up by machine guns it wasn't 5 000 foot mushroom clouds like they said
[1:36:36.920 --> 1:36:41.640]  so that video is up on news wars dot com info wars dot com we'll cover next hour going back to mike
[1:36:41.640 --> 1:36:47.160]  adams mike there are a lot of people that are either in one camp or the other as you know it's
[1:36:47.160 --> 1:36:52.680]  a total hoax no one's died it's all made up a giant power grab or it's the end of the world no
[1:36:53.800 --> 1:36:57.320]  it's more sophisticated than that yes they're using it for a power grab yes there's a rock
[1:36:57.320 --> 1:37:00.920]  a feller foundation report to bring in world government with this yes they're admitting
[1:37:00.920 --> 1:37:08.120]  absolutely drones control we hate that but looking at this coronavirus and it's man made it really
[1:37:08.120 --> 1:37:13.480]  is bad and now it is reinfecting and now we know it's part of people's testicles so the best you
[1:37:13.480 --> 1:37:20.520]  can tell what is the providence what is the gene pool what is the pedigree what is the genealogy
[1:37:20.520 --> 1:37:24.840]  of this and and now that we're getting a clear picture where is it going well it's clearly an
[1:37:24.840 --> 1:37:30.040]  engineered biological weapon as you and i reported now almost a couple of months ago
[1:37:31.080 --> 1:37:35.800]  it was clearly man made it and you described it well it's it's kind of a nanotechnology this was
[1:37:35.800 --> 1:37:42.120]  created to be a not really an organism but a mechanism to cause mass death but the thing is
[1:37:42.120 --> 1:37:48.360]  what's happening with the media lies and what's happening with the the the attempt to silence
[1:37:48.360 --> 1:37:54.280]  information about chloroquine or zinc or other immune boosting substances is that
[1:37:55.720 --> 1:37:59.560]  really the virus isn't killing enough people from the point of view of the globalist they
[1:37:59.560 --> 1:38:04.040]  want the virus to kill more people so they have to silence anybody who talks about how to beat
[1:38:04.040 --> 1:38:08.760]  the virus because we can beat this virus we can beat this we can get our economy back on track
[1:38:08.760 --> 1:38:14.520]  that's my message for today alex is that we can end the lockdowns we can end the lockdowns but it
[1:38:14.520 --> 1:38:20.520]  requires silencing big pharma for a minute and saying shut up about your vaccines and drugs for a
[1:38:20.520 --> 1:38:25.080]  moment so that we can focus on zinc which is available right now and hydroxychloroquine which
[1:38:25.080 --> 1:38:30.840]  is a an off-label you know very affordable low-cost drug that can help in in severe cases
