[00:00.000 --> 00:13.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the
[59:12.000 --> 59:23.000]  I know from using this myself the last few months and from seeing my friends and family use it that this new product is going to end up being the number one best-selling product at infowarslife.com because it works so well.
[59:23.000 --> 59:31.000]  This is a gift you want to give yourself and then rest assured you're fighting the InfoWars so it's a total absolute sure win, no lose equation.
[59:31.000 --> 59:36.000]  Try Alpha Power exclusively available at infowarslife.com for yourself.
[59:36.000 --> 59:38.000]  Ladies and gentlemen, it's non-GMO.
[59:38.000 --> 59:39.000]  It's for your brain.
[59:39.000 --> 59:40.000]  It's for sports.
[59:40.000 --> 59:42.000]  It's for activities and it's made in the USA.
[59:42.000 --> 59:45.000]  Get your Alpha Power today at infowarslife.com.
[59:45.000 --> 59:49.000]  Everybody needs to try Alpha Power today.
[59:49.000 --> 59:54.000]  You're listening to the Alex Jones show.
[01:00:19.000 --> 01:00:24.000]  Welcome back to the Alex Jones show.
[01:00:24.000 --> 01:00:28.000]  Standing in now for Alex Jones, I am Owen Schreuer.
[01:00:28.000 --> 01:00:31.000]  We will be hearing back from Alex again in the next segment.
[01:00:31.000 --> 01:00:37.000]  He's going to be breaking down a Megyn Kelly segment on her failing television show.
[01:00:37.000 --> 01:00:38.000]  That's right.
[01:00:38.000 --> 01:00:42.000]  She decided to abandon everything that made her successful.
[01:00:42.000 --> 01:01:00.000]  She attacked Alex Jones and now she's been brushed off into the dustbin of television media going from hosting political presidential debates to hosting her own morning show that nobody watches except wine-os.
[01:01:00.000 --> 01:01:08.000]  And so she gets a couple people on to try to blame Trump for asking for their phone number.
[01:01:08.000 --> 01:01:13.000]  I mean, folks, how dare you ask someone for their phone number?
[01:01:13.000 --> 01:01:15.000]  Especially if you want to see them again.
[01:01:15.000 --> 01:01:20.000]  I mean, if you want to see someone again, you should just like not ask them for their phone number as to not offend them.
[01:01:20.000 --> 01:01:23.000]  But Alex will cover that in the next segment.
[01:01:23.000 --> 01:01:28.000]  Here is CNN's Jim Acosta.
[01:01:28.000 --> 01:01:31.000]  Not Acosta, he Acosta.
[01:01:31.000 --> 01:01:35.000]  Trying to disrespect Sarah Huckabee Sanders.
[01:01:35.000 --> 01:01:42.000]  Once again, Sarah Huckabee Sanders puts the fake news rodent Jim Acosta in his place.
[01:01:42.000 --> 01:01:43.000]  Here's that clip.
[01:01:43.000 --> 01:01:44.000]  Jim.
[01:01:44.000 --> 01:01:48.000]  Reporter's mistakes and disinformation campaign by foreign government.
[01:01:48.000 --> 01:01:49.000]  Does he see a distinction there?
[01:01:49.000 --> 01:01:55.000]  I haven't spoken with him about that, but certainly we would take any misinformation like that very seriously.
[01:01:55.000 --> 01:01:58.000]  But it's not something we're comparing the two on.
[01:01:58.000 --> 01:02:03.000]  And I would just say, Sarah, that journalists make honest mistakes and that doesn't make them fake news.
[01:02:03.000 --> 01:02:07.000]  But when journalists make honest mistakes, they should own up to them.
[01:02:07.000 --> 01:02:08.000]  Sometimes.
[01:02:08.000 --> 01:02:10.000]  And a lot of times you don't.
[01:02:10.000 --> 01:02:11.000]  We do.
[01:02:11.000 --> 01:02:14.000]  There's a very big, I'm sorry, I'm not finished.
[01:02:14.000 --> 01:02:19.000]  There's a very big difference between making honest mistakes and purposefully misleading the American people.
[01:02:19.000 --> 01:02:21.000]  Something that happens regularly.
[01:02:21.000 --> 01:02:23.000]  You can't say I'm not done.
[01:02:23.000 --> 01:02:32.000]  You cannot say that it's an honest mistake when you're purposefully putting out information
[01:02:32.000 --> 01:02:37.000]  that you know to be false or when you're taking information that hasn't been validated,
[01:02:37.000 --> 01:02:42.000]  that hasn't been offered any credibility and that has been continually denied by a number of people,
[01:02:42.000 --> 01:02:45.000]  including people with direct knowledge of an instance.
[01:02:45.000 --> 01:02:49.000]  This is something that I'm speaking about.
[01:02:49.000 --> 01:02:52.000]  The number of reports that have taken place over the last couple of weeks.
[01:02:52.000 --> 01:02:57.000]  I'm simply stating that there should be a certain level of responsibility in that process.
[01:02:57.000 --> 01:02:59.000]  Brian, I called on Jim.
[01:02:59.000 --> 01:03:02.000]  This is not the line of questioning that I was going down,
[01:03:02.000 --> 01:03:07.000]  but can you cite a specific story that you say is intentionally false
[01:03:07.000 --> 01:03:10.000]  that was intentionally put out there to mislead the American people?
[01:03:10.000 --> 01:03:11.000]  He's like Mickey Mouse.
[01:03:11.000 --> 01:03:15.000]  Sure, the ABC report by Brian Ross, I think that was pretty misleading to the American people.
[01:03:15.000 --> 01:03:17.000]  And I think that it's very telling.
[01:03:17.000 --> 01:03:19.000]  Yeah, how about the Washington Post and then CNN?
[01:03:19.000 --> 01:03:21.000]  Oh, Trump got the WikiLeaks.
[01:03:21.000 --> 01:03:23.000]  Yeah, after they were public.
[01:03:23.000 --> 01:03:25.000]  And recognized that it was a problem.
[01:03:25.000 --> 01:03:29.000]  Sarah, if I may, though, we're going to ask a question about something else.
[01:03:29.000 --> 01:03:31.000]  Sarah, if I may.
[01:03:31.000 --> 01:03:32.000]  Not today.
[01:03:32.000 --> 01:03:33.000]  We're going to keep moving, guys.
[01:03:33.000 --> 01:03:36.000]  If I can ask about the other Jim's accusations.
[01:03:36.000 --> 01:03:37.000]  I'm moving to a different Jim.
[01:03:37.000 --> 01:03:39.000]  So now Jim Acosta won't shut up.
[01:03:39.000 --> 01:03:42.000]  A chance to ask the question that I wanted to ask, which is,
[01:03:42.000 --> 01:03:47.000]  Jim, I'm going to say once and for all that I'm moving on to Jim Sensen,
[01:03:47.000 --> 01:03:49.000]  and I'm not taking another question from you at this point.
[01:03:49.000 --> 01:03:51.000]  Yeah, just burn Jim Acosta out.
[01:03:51.000 --> 01:03:53.000]  Just kick CNN out.
[01:03:53.000 --> 01:03:55.000]  See, this is what we need to do.
[01:03:55.000 --> 01:04:01.000]  This is why Alex wanted me to go forward and press these charges against these
[01:04:01.000 --> 01:04:05.000]  Antifa guys, these thugs that were bullying me and stopping me from my right
[01:04:05.000 --> 01:04:08.000]  to peacefully assemble at Woolridge Square.
[01:04:08.000 --> 01:04:14.000]  This is now, I believe, the White House's opportunity to just kick CNN out.
[01:04:14.000 --> 01:04:15.000]  Just boot him.
[01:04:15.000 --> 01:04:16.000]  Here's Jim Acosta.
[01:04:16.000 --> 01:04:21.000]  How many times has this guy been inappropriate and interrupting people
[01:04:21.000 --> 01:04:26.000]  and disrupting decorum in the gaggle in the press room during these press briefings?
[01:04:26.000 --> 01:04:28.000]  This is the perfect time.
[01:04:28.000 --> 01:04:29.000]  Just kick him out.
[01:04:29.000 --> 01:04:31.000]  Just boot him.
[01:04:31.000 --> 01:04:32.000]  Oh my gosh.
[01:04:32.000 --> 01:04:39.000]  Can you imagine the nuclear fire show that CNN would be the day after they get booted
[01:04:39.000 --> 01:04:41.000]  from the Washington White House press corps?
[01:04:41.000 --> 01:04:42.000]  Oh my gosh.
[01:04:42.000 --> 01:04:45.000]  People would be celebrating in the streets.
[01:04:45.000 --> 01:04:47.000]  CNN is fake news.
[01:04:47.000 --> 01:04:48.000]  Boot them.
[01:04:48.000 --> 01:04:51.000]  Jim Acosta is out of control.
[01:04:51.000 --> 01:04:52.000]  Just boot CNN.
[01:04:52.000 --> 01:04:58.000]  When we get back, it's Alex Jones talking Megyn Kelly's hit piece on Donald Trump.
[01:04:58.000 --> 01:05:05.000]  Top scientists and researchers agree we are being hit by toxic weapons in the food and
[01:05:05.000 --> 01:05:10.000]  water supply that are making us fat, sick and stupid.
[01:05:10.000 --> 01:05:12.000]  So what do we do about it?
[01:05:12.000 --> 01:05:15.000]  Well, for starters, don't just sit there and take it.
[01:05:15.000 --> 01:05:22.000]  Pack with the all new supercharged Brain Force Plus and feel the rush without the crash.
[01:05:22.000 --> 01:05:28.000]  Brain Force Plus is the next generation of advanced neural activation and new tropics.
[01:05:28.000 --> 01:05:35.000]  And now we've added a brand new ingredient called black pepper fruit extract that gives
[01:05:35.000 --> 01:05:37.000]  you an added kick.
[01:05:37.000 --> 01:05:45.000]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers
[01:05:45.000 --> 01:05:50.000]  that will allow you to flip the switch and supercharge your state of mind.
[01:05:50.000 --> 01:05:52.000]  It's the real deal.
[01:05:52.000 --> 01:05:53.000]  Brain Force Plus.
[01:05:53.000 --> 01:06:12.000]  Secure your bottle right now at InfoWarsStore.com.
[01:06:23.000 --> 01:06:41.000]  Welcome back to the Alex Jones show, Owen Shroyer here.
[01:06:41.000 --> 01:06:47.000]  Guys, am I pitching to the Alex Jones video?
[01:06:47.000 --> 01:06:53.000]  All right, so here's Alex Jones breaking down Megan Kelly in her latest failing segment
[01:06:53.000 --> 01:06:57.000]  that nobody watches a hit piece against Donald Trump.
[01:06:57.000 --> 01:07:04.000]  I have personally experienced the deception of Megan Kelly and I didn't just come out
[01:07:04.000 --> 01:07:06.000]  and tell people she lied to me.
[01:07:06.000 --> 01:07:12.000]  I recorded her telling me that it wasn't a hit piece and she was really into me and it
[01:07:12.000 --> 01:07:18.000]  was going to be this nice friendly discussion and that she wasn't going to get into all these
[01:07:18.000 --> 01:07:20.000]  issues that she did get into.
[01:07:20.000 --> 01:07:21.000]  She's just like Brian Williams.
[01:07:21.000 --> 01:07:22.000]  She's like CNN.
[01:07:22.000 --> 01:07:27.000]  She's a fraud, in my view, and she's a failure.
[01:07:27.000 --> 01:07:32.000]  Her so-called magazine show went down upwards of 80% of the ratings once she took it over.
[01:07:32.000 --> 01:07:33.000]  She's a joke.
[01:07:33.000 --> 01:07:35.000]  Well, you talk about lame.
[01:07:35.000 --> 01:07:42.000]  The three women that they recycled on her NBC program to push this whole narrative that
[01:07:42.000 --> 01:07:44.000]  Trump's this sexual predator.
[01:07:44.000 --> 01:07:45.000]  No, that's Bill Clinton.
[01:07:45.000 --> 01:07:46.000]  That's Harvey Weinstein.
[01:07:46.000 --> 01:07:47.000]  That's Devin Spacey.
[01:07:47.000 --> 01:07:49.000]  That's the real confirmed cases.
[01:07:49.000 --> 01:07:50.000]  Witnesses of the rape.
[01:07:50.000 --> 01:07:52.000]  People settling rape cases.
[01:07:52.000 --> 01:07:53.000]  People intimidating folks.
[01:07:53.000 --> 01:07:56.000]  That's the whole history going on for years with Hollywood jokes about it.
[01:07:56.000 --> 01:08:00.000]  Never jokes about Donald Trump until this happened.
[01:08:00.000 --> 01:08:06.000]  And then I watched the videos of these women on infowars.com and appalled Joseph Watson
[01:08:06.000 --> 01:08:07.000]  article.
[01:08:07.000 --> 01:08:11.000]  Trump accusers characterized asking for a phone number, name calling as sexual assault.
[01:08:11.000 --> 01:08:12.000]  That's like London.
[01:08:12.000 --> 01:08:15.000]  Seven other cities in England have done it.
[01:08:15.000 --> 01:08:20.000]  Is banning men talking to women or whistling at them saying it's hate.
[01:08:20.000 --> 01:08:21.000]  Just banning free speech.
[01:08:21.000 --> 01:08:25.000]  But Muslims can grab you and rape you and throw acid on your face or sexually groomed
[01:08:25.000 --> 01:08:27.000]  tens of thousands of young kidnap girls.
[01:08:27.000 --> 01:08:32.000]  Or bomb the port authority, bomb Times Square, run over folks with trucks.
[01:08:32.000 --> 01:08:35.000]  Google, ban you if you say it's Islamic.
[01:08:35.000 --> 01:08:38.000]  There's another article on infowars.com by Jamie White.
[01:08:38.000 --> 01:08:44.000]  MSM dims renewed Trump sex accusations amid Russian fake news fails.
[01:08:44.000 --> 01:08:48.000]  So they've gone through that he's got Alzheimer's and he's a Russian agent.
[01:08:48.000 --> 01:08:49.000]  He stole the election.
[01:08:49.000 --> 01:08:51.000]  All of that's admittedly a fake.
[01:08:51.000 --> 01:08:56.000]  Even former Democrats and high level CIA have come out today and said we're wrong.
[01:08:56.000 --> 01:08:59.000]  The proof is Trump didn't do anything with the Russians.
[01:08:59.000 --> 01:09:00.000]  It's all lies.
[01:09:00.000 --> 01:09:02.000]  Hell, they say I'm a Russian agent.
[01:09:02.000 --> 01:09:03.000]  I mean, I really know it's lies.
[01:09:03.000 --> 01:09:05.000]  They say Tucker Carlson and Rand Paul is.
[01:09:05.000 --> 01:09:07.000]  Because we say where's the evidence?
[01:09:07.000 --> 01:09:08.000]  You want evidence?
[01:09:08.000 --> 01:09:09.000]  You're a Russian agent.
[01:09:09.000 --> 01:09:10.000]  Okay, you're not.
[01:09:10.000 --> 01:09:11.000]  You know what?
[01:09:11.000 --> 01:09:12.000]  You're not.
[01:09:12.000 --> 01:09:14.000]  Look and say, I know they did jump.
[01:09:14.000 --> 01:09:18.000]  And I think that Ronald Reagan will be rolling over spray.
[01:09:18.000 --> 01:09:20.000]  And you're carrying water for the Kremlin.
[01:09:20.000 --> 01:09:22.000]  I'm not carrying water for the Kremlin.
[01:09:22.000 --> 01:09:26.000]  You're a sitting member of Congress on the Intel Committee and you can't say they hacked.
[01:09:26.000 --> 01:09:30.000]  You're going to have to move your shoulder to RT Russian television because.
[01:09:30.000 --> 01:09:31.000]  You know what?
[01:09:31.000 --> 01:09:35.000]  That's just so beneath your office because it's so dumb and you're being duplicitous.
[01:09:35.000 --> 01:09:36.000]  I'm asking you.
[01:09:36.000 --> 01:09:38.000]  Did they hack that as to emails?
[01:09:38.000 --> 01:09:39.000]  You can't say it.
[01:09:39.000 --> 01:09:42.000]  Now, before I say this, I want to be perfectly clear.
[01:09:42.000 --> 01:09:44.000]  I'm not the PC culture.
[01:09:44.000 --> 01:09:50.000]  If I want to attack somebody of the way they look, if it ties into my overall free speech,
[01:09:50.000 --> 01:09:51.000]  I'm going to do it.
[01:09:51.000 --> 01:09:54.000]  I don't make it my business to do it, but I do it.
[01:09:54.000 --> 01:09:57.000]  The left, though, has comedians attacking Sarah.
[01:09:57.000 --> 01:10:00.000]  That could be Sanders calling her obese and ugly.
[01:10:00.000 --> 01:10:02.000]  They all think that's cute and beautiful.
[01:10:02.000 --> 01:10:05.000]  I'm not going to call these women obese or ugly.
[01:10:05.000 --> 01:10:11.000]  I'm going to call them unattractive and not Donald Trump's type and people who have no
[01:10:11.000 --> 01:10:17.000]  witnesses and people who don't even allege he did anything illegal.
[01:10:17.000 --> 01:10:20.000]  Ask a woman out.
[01:10:20.000 --> 01:10:23.000]  Tell a woman that she was rude to him on a plane.
[01:10:23.000 --> 01:10:26.000]  And this is, in one case, 30 years later.
[01:10:26.000 --> 01:10:29.000]  In another case, 12 years ago.
[01:10:29.000 --> 01:10:31.000]  I mean, this is crazy.
[01:10:31.000 --> 01:10:37.000]  And you sit there watching Megan Kelly with the big corporate media and the globalists
[01:10:37.000 --> 01:10:41.000]  trying to manipulate a studio audience of women and debuting and hissing about Trump
[01:10:41.000 --> 01:10:45.000]  to manipulate women out there watching in America.
[01:10:45.000 --> 01:10:50.000]  And I know this women that I know are way more savvy than this and see right through it
[01:10:50.000 --> 01:10:54.000]  just like Joy Behar on the view celebrating that Flynn admits he's a Russian agent.
[01:10:54.000 --> 01:10:58.000]  Flynn admits Trump told him to work with the Russians during the campaign.
[01:10:58.000 --> 01:11:01.000]  All the hoax and all targeting women.
[01:11:01.000 --> 01:11:02.000]  They think you're stupid.
[01:11:02.000 --> 01:11:04.000]  They think you're morons.
[01:11:04.000 --> 01:11:05.000]  It's disgusting.
[01:11:05.000 --> 01:11:07.000]  And it's because men aren't politically involved.
[01:11:07.000 --> 01:11:10.000]  Women have to get involved politically more than men.
[01:11:10.000 --> 01:11:14.000]  And then the government comes in, the corporations come in, the media comes in
[01:11:14.000 --> 01:11:16.000]  and tries to brainwash you.
[01:11:16.000 --> 01:11:18.000]  But look, let it speak for itself.
[01:11:18.000 --> 01:11:20.000]  Let's play a couple clips for this.
[01:11:20.000 --> 01:11:22.000]  The women come off very disingenuous.
[01:11:22.000 --> 01:11:28.000]  What they're saying doesn't even hold any water and isn't even approaching criminal.
[01:11:28.000 --> 01:11:33.000]  And it just fits into this whole narrative that the whole Hollywood system tried to push
[01:11:33.000 --> 01:11:37.000]  when they knew that women rejected Hillary Clinton because of Bill Clinton
[01:11:37.000 --> 01:11:39.000]  and settling those rape cases.
[01:11:39.000 --> 01:11:42.000]  And they knew people didn't have faith in Democratic Party anymore.
[01:11:42.000 --> 01:11:48.000]  So their comeback reboot is to say, we covered up all those rapes and all those assaults
[01:11:48.000 --> 01:11:51.000]  and all that stuff in Congress with secret slush funds.
[01:11:51.000 --> 01:11:53.000]  But now we're really good.
[01:11:53.000 --> 01:11:57.000]  So we threw some Democrats under the bus, John Conyers and Al Franken,
[01:11:57.000 --> 01:12:00.000]  who are easy wins for Democrats so they're not getting rid of the seats,
[01:12:00.000 --> 01:12:02.000]  to show you that we're really good.
[01:12:02.000 --> 01:12:04.000]  Now let's get rid of Donald Trump.
[01:12:04.000 --> 01:12:09.000]  The difference is we don't have photos of Donald Trump groping a sleeping woman.
[01:12:09.000 --> 01:12:12.000]  The difference is we don't have the hundreds of women coming forward about Conyers.
[01:12:12.000 --> 01:12:16.000]  We don't have videos of Trump everywhere like Joe Biden groping everybody and their dog.
[01:12:16.000 --> 01:12:18.000]  We know what you're trying.
[01:12:18.000 --> 01:12:20.000]  We first predicted your reboot.
[01:12:20.000 --> 01:12:23.000]  It's exposed and it's going to fall flat.
[01:12:23.000 --> 01:12:30.000]  And I want to be clear, barring election fraud and barring incredible dirty tricks,
[01:12:30.000 --> 01:12:32.000]  which I don't put past them.
[01:12:32.000 --> 01:12:35.000]  I believe Roy Moore will win today in Alabama.
[01:12:35.000 --> 01:12:39.000]  Not because he's perfect, but because they put out so much fraud.
[01:12:39.000 --> 01:12:43.000]  All this foreign money has come in to manipulate and tell Alabama what to do.
[01:12:43.000 --> 01:12:44.000]  People are sick of it.
[01:12:44.000 --> 01:12:48.000]  So it's not a referendum on Roy Moore, even though most of the stories are about to be fake.
[01:12:48.000 --> 01:12:50.000]  And the others are being disproven right now.
[01:12:50.000 --> 01:12:52.000]  But it's a referendum against the globalists saying,
[01:12:52.000 --> 01:12:55.000]  look, we're not buying your propaganda anymore.
[01:12:55.000 --> 01:12:57.000]  We're sick of Hollywood and mainstream media.
[01:12:57.000 --> 01:13:00.000]  We're sick of your anti-God, anti-family garbage.
[01:13:00.000 --> 01:13:02.000]  And we are rejecting you.
[01:13:02.000 --> 01:13:07.000]  We've seen, you know, when some come forward and speak publicly, others tend to follow.
[01:13:07.000 --> 01:13:10.000]  Of course, his situation, you know, you came out a year ago.
[01:13:10.000 --> 01:13:13.000]  What do you want them to know if there are other women out there?
[01:13:13.000 --> 01:13:17.000]  Oh, I would love for them to come forward and speak up.
[01:13:17.000 --> 01:13:22.000]  But, you know, we have a problem here in that we have been enculturated all this time
[01:13:22.000 --> 01:13:30.000]  for years and years and years to be subservient and to be compliant and to get along.
[01:13:30.000 --> 01:13:34.000]  And that's a hard habit to break.
[01:13:34.000 --> 01:13:39.000]  And then we've also been taught that some of the aggression is our fault.
[01:13:39.000 --> 01:13:42.000]  We wore the wrong clothes. We had too much makeup on.
[01:13:42.000 --> 01:13:45.000]  We were in the wrong place. We went to a party.
[01:13:45.000 --> 01:13:48.000]  I mean, it's just amazing.
[01:13:48.000 --> 01:13:58.000]  But for the women who voted for Trump, I really think that they just didn't want to vote for a woman.
[01:13:58.000 --> 01:14:00.000]  No, I don't know if that's true.
[01:14:00.000 --> 01:14:02.000]  There are plenty of reasons not to vote for Hillary Clinton. Plenty.
[01:14:02.000 --> 01:14:05.000]  There's a long list over there. Long list.
[01:14:05.000 --> 01:14:11.000]  But, again, the impossibility of the choice, if you're a voter who cares about sexism,
[01:14:11.000 --> 01:14:15.000]  the impossibility of the choice in 2016 was readily apparent.
[01:14:15.000 --> 01:14:21.000]  And then up to the table comes Donald Trump and his first wife.
[01:14:21.000 --> 01:14:24.000]  And she was very pregnant at that point.
[01:14:24.000 --> 01:14:30.000]  Now, at that point, I'd been in the city long enough to be reading about Trump and the Trump family
[01:14:30.000 --> 01:14:35.000]  and some of their stories and some of the gossip that was going around.
[01:14:35.000 --> 01:14:40.000]  So I knew and I recognized him immediately as a guy on the airplane.
[01:14:40.000 --> 01:14:42.000]  But, you know, it's like...
[01:14:42.000 --> 01:14:47.000]  But he stands there as I'm handing his table assignment and he says,
[01:14:47.000 --> 01:14:57.000]  I remember you. You were that woman from the airplane. He called me the worst name ever.
[01:14:57.000 --> 01:14:59.000]  Wait a minute. There was a descriptor before a woman?
[01:14:59.000 --> 01:15:00.000]  Yes.
[01:15:00.000 --> 01:15:01.000]  Can you give us a hint?
[01:15:01.000 --> 01:15:04.000]  It's the worst one. It really is.
[01:15:04.000 --> 01:15:07.000]  You don't want to say it out loud, but it doesn't begin with a C?
[01:15:07.000 --> 01:15:08.000]  Yes.
[01:15:08.000 --> 01:15:14.000]  And the room cleared. I mean, it was like everybody just sort of disappeared into the...
[01:15:14.000 --> 01:15:16.000]  Does it end with T?
[01:15:16.000 --> 01:15:17.000]  Yes.
[01:15:17.000 --> 01:15:19.000]  Okay. Just making sure we're all on the same page.
[01:15:19.000 --> 01:15:25.000]  It was shocking. It was like a bucket of cold water being thrown over me.
[01:15:25.000 --> 01:15:28.000]  Some are calling for a probe, a Senate ethics probe into his behaviors.
[01:15:28.000 --> 01:15:29.000]  Is that what you want?
[01:15:29.000 --> 01:15:33.000]  I think that's fair. I mean, they were more than willing to do that for Senator Franken.
[01:15:33.000 --> 01:15:37.000]  Why is the president immune to that?
[01:15:37.000 --> 01:15:43.000]  But this is my observation and that is, as I said, my story is so old.
[01:15:43.000 --> 01:15:49.000]  But I have talked to a lot of people, not the women from Trump, because as we said,
[01:15:49.000 --> 01:15:53.000]  this is the first time we've had any contact with each other.
[01:15:53.000 --> 01:16:15.000]  But I've talked to business women, I've talked to friends.
[01:16:23.000 --> 01:16:52.000]  Thank you.
[01:16:53.000 --> 01:17:19.000]  Thank you.
[01:17:19.000 --> 01:17:45.000]  Thank you.
[01:17:45.000 --> 01:18:01.000]  Thank you.
[01:18:01.000 --> 01:18:28.000]  Thank you.
[01:18:28.000 --> 01:18:57.000]  Thank you.
[01:18:57.000 --> 01:19:23.000]  Thank you.
[01:19:23.000 --> 01:19:49.000]  Thank you.
[01:19:49.000 --> 01:20:11.000]  Thank you.
[01:20:19.000 --> 01:20:32.000]  Welcome back to the Alex Jones show.
[01:20:32.000 --> 01:20:36.000]  Sitting in for Alex, I am Owen Schreuer. Glad to be with you here today.
[01:20:36.000 --> 01:20:43.000]  You just heard Alex responding to what is obviously a hit piece on Megan Kelly's TV show.
[01:20:43.000 --> 01:20:46.000]  I don't even know the name of it. Don't care to.
[01:20:46.000 --> 01:20:51.000]  And you just listen to these women.
[01:20:51.000 --> 01:20:57.000]  It's strange. They don't care that everything they're trying to do right now
[01:20:57.000 --> 01:21:02.000]  to get their political agenda accomplished, which is remove Trump from office.
[01:21:02.000 --> 01:21:09.000]  So they create this environment where all you have to do is accuse someone of sexual assault and they're guilty.
[01:21:09.000 --> 01:21:11.000]  So that's what they've been doing.
[01:21:11.000 --> 01:21:16.000]  They throw Frank in under the bus, they throw Conyers under the bus, they throw Weinstein under the bus.
[01:21:16.000 --> 01:21:23.000]  They kind of want to just tiptoe around the spacey thing because that might be getting a little too gruesome
[01:21:23.000 --> 01:21:27.000]  if you actually look into what's going on there with some of those investigations.
[01:21:27.000 --> 01:21:34.000]  And so they create this environment and then Mark Halpern has to quit and Charlie Rose is gone
[01:21:34.000 --> 01:21:39.000]  and Matt Lauer is gone and all these guys at NPR are gone.
[01:21:39.000 --> 01:21:43.000]  Now they're clearing house and they're creating this environment where we're doing something about it.
[01:21:43.000 --> 01:21:48.000]  We're the good guys. We care about this even though they haven't cared for the last 40 years.
[01:21:48.000 --> 01:21:51.000]  Magically, all of a sudden Trump becomes president and they care.
[01:21:51.000 --> 01:21:53.000]  So I guess we should really be thanking Trump.
[01:21:53.000 --> 01:22:02.000]  Actually, if these people want a virtue signal over everything they're doing to remove people from positions of power,
[01:22:02.000 --> 01:22:07.000]  whether it be in the media or the government that have all of these sexual assault allegations against them,
[01:22:07.000 --> 01:22:09.000]  that wasn't happening until Trump became president.
[01:22:09.000 --> 01:22:12.000]  So you know what? Thank you, President Trump.
[01:22:12.000 --> 01:22:17.000]  President Trump is responsible for getting the entire Me Too movement started.
[01:22:17.000 --> 01:22:20.000]  Wow, another victory for president. Thank you, President Trump.
[01:22:20.000 --> 01:22:24.000]  So if it wasn't for Trump, you wouldn't have known about Harvey Weinstein.
[01:22:24.000 --> 01:22:26.000]  You wouldn't have known about Al Franken.
[01:22:26.000 --> 01:22:28.000]  You wouldn't have known about Matt Lauer.
[01:22:28.000 --> 01:22:32.000]  Of course, unless you listen to all the jokes they made about those guys in the past when it was funny,
[01:22:32.000 --> 01:22:34.000]  then Trump becomes president and now it's serious.
[01:22:34.000 --> 01:22:37.000]  So that's just how that goes.
[01:22:37.000 --> 01:22:43.000]  But see, here's what is the more sinister part of that.
[01:22:43.000 --> 01:22:48.000]  Is that you get these women on the Megyn Kelly show and she says,
[01:22:48.000 --> 01:22:52.000]  Oh, you know, Trump, he called me a mean name.
[01:22:52.000 --> 01:22:56.000]  Oh, that Donald Trump, he asked me for my phone number.
[01:22:56.000 --> 01:22:58.000]  Oh, my.
[01:22:58.000 --> 01:23:07.000]  And so now you've got this crazy thing where men you're going to have this folks
[01:23:07.000 --> 01:23:13.000]  because these women in this in this Megyn Kelly clip are not alone.
[01:23:13.000 --> 01:23:15.000]  And I don't mean with these allegations.
[01:23:15.000 --> 01:23:20.000]  I mean that there are women out there.
[01:23:20.000 --> 01:23:26.000]  Of course, they eat this stuff up, but they've already gotten a full on buffet of liberal indoctrination.
[01:23:26.000 --> 01:23:28.000]  See, they're already victims.
[01:23:28.000 --> 01:23:30.000]  They think they're getting paid less.
[01:23:30.000 --> 01:23:32.000]  They think they get treated wrong in the office.
[01:23:32.000 --> 01:23:36.000]  Now they think anytime a guy looks at them or calls them a name,
[01:23:36.000 --> 01:23:38.000]  whether it be good or bad or asked for their phone numbers,
[01:23:38.000 --> 01:23:40.000]  now they're victims of sexual assault.
[01:23:40.000 --> 01:23:44.000]  So now they've got another level of victimhood that they can embrace.
[01:23:44.000 --> 01:23:46.000]  Oh, yes, I'm not treated fair.
[01:23:46.000 --> 01:23:47.000]  I'm a woman.
[01:23:47.000 --> 01:23:49.000]  Oh, yes, I don't get paid the same.
[01:23:49.000 --> 01:23:50.000]  I'm a woman.
[01:23:50.000 --> 01:23:53.000]  Oh, there's people that want to stop me from aborting a baby because I'm a woman.
[01:23:53.000 --> 01:23:57.000]  And now it's, oh my gosh, men look at me because I'm a woman.
[01:23:57.000 --> 01:23:59.000]  Oh, I'm such a victim.
[01:23:59.000 --> 01:24:03.000]  And so now men are going to notice that this is going on.
[01:24:03.000 --> 01:24:06.000]  And they're going to be like, whoa, like this is actually toxic.
[01:24:06.000 --> 01:24:08.000]  I don't want to talk to a woman.
[01:24:08.000 --> 01:24:10.000]  I can't even ask for her phone number.
[01:24:10.000 --> 01:24:18.000]  So this is now the scorched earth that they're leaving behind because of their political agenda.
[01:24:18.000 --> 01:24:24.000]  So who cares if normal interactions between men and women are now tarnished
[01:24:24.000 --> 01:24:29.000]  because of a fake news story that's gone beyond the pale, beyond fake news.
[01:24:29.000 --> 01:24:31.000]  It's now a fake culture war.
[01:24:31.000 --> 01:24:33.000]  It's now just fake culture.
[01:24:33.000 --> 01:24:35.000]  Just fake everything.
[01:24:35.000 --> 01:24:37.000]  So you've got that angle.
[01:24:37.000 --> 01:24:41.000]  Then you've got Gloria Alred.
[01:24:41.000 --> 01:24:47.000]  Now let's just say some skeletons might be falling out of Alred's closet
[01:24:47.000 --> 01:24:49.000]  before it's all said and done.
[01:24:49.000 --> 01:24:51.000]  But think about this.
[01:24:51.000 --> 01:24:56.000]  Gloria Alred, the famed lawyer for women.
[01:24:56.000 --> 01:24:58.000]  She stands up for women.
