[00:00:04.113 --> 00:00:06.354]  Alright, ladies and gentlemen.
[00:36:27.731 --> 00:36:29.073]  I really care about my children.
[00:36:29.073 --> 00:36:32.417]  I really care about your children and the future they're going to have together.
[00:36:32.417 --> 00:36:36.122]  And I love you.
[00:36:36.122 --> 00:36:42.431]  And... We've got to do the right thing here.
[00:36:43.598 --> 00:36:44.478]  We can't flinch.
[00:36:44.478 --> 00:36:45.399]  We can't back down.
[00:36:45.399 --> 00:36:52.982]  We've just got to be as hardcore as possible because we got a bunch of crazy people in charge that have convinced themselves they can get away with anything.
[00:36:52.982 --> 00:37:00.306]  And if you study the globalists, not just their minions, but the people running things, they are super old and they're on a bunch of drugs.
[00:37:00.306 --> 00:37:04.628]  I mean, David Rockefeller had like eight heart transplants, died at like 100, I think, 99.
[00:37:12.500 --> 00:37:14.161]  It's just crazy.
[00:37:14.161 --> 00:37:18.803]  And you can't hear it right now, but it's apropos of this.
[00:37:18.803 --> 00:37:22.805]  They're doing massive construction across the street.
[00:37:22.805 --> 00:37:30.469]  And a bunch of sirens and heavy machinery noises were just going on the last few minutes.
[00:37:30.469 --> 00:37:36.032]  And it sounds like chimes in a big church.
[00:37:36.032 --> 00:37:37.793]  Or a giant bell ringing.
[00:37:37.793 --> 00:37:39.634]  Somebody go outside and record this.
[00:37:41.001 --> 00:37:44.624]  Somebody go out with your phone with a recording app, because I'll be able to actually hear it.
[00:37:44.624 --> 00:37:45.445]  It's a beautiful sound.
[00:37:45.445 --> 00:37:50.890]  But it's also terrifying and ominous.
[00:37:50.890 --> 00:38:02.379]  It's like... I don't know what the hell they're doing next door.
[00:38:02.379 --> 00:38:04.802]  Like 50 giant trucks, cranes, all this stuff.
[00:38:06.351 --> 00:38:07.751]  It's stopped now.
[00:38:07.751 --> 00:38:09.212]  Maybe it'll start back up in a minute.
[00:38:09.212 --> 00:38:18.974]  But it sounds like wind chimes, but like imagine a thousand foot tall wind chimes, like... It just adds to all the weirdness of creation.
[00:38:18.974 --> 00:38:23.976]  So I'm here talking about the ultimate point of life is standing up for what's right.
[00:38:23.976 --> 00:38:28.717]  And this incredible world we're in, and all the mystery and majesty and wonderment.
[00:38:28.717 --> 00:38:33.278]  And then we've got a bunch of psychotics running around trying to blow the planet up.
[00:38:33.278 --> 00:38:35.239]  Doing it again.
[00:38:35.239 --> 00:38:35.439]  But...
[00:38:37.296 --> 00:38:44.843]  It's really our fault for letting this happen.
[00:38:44.843 --> 00:38:47.346]  It's my fault.
[00:38:47.346 --> 00:38:49.348]  It's your fault.
[00:38:49.348 --> 00:38:51.890]  And because we're not evil.
[00:38:51.890 --> 00:38:52.691]  We don't want to be evil.
[00:38:52.691 --> 00:38:55.133]  We're not perfect, but we don't want to be evil.
[00:38:55.133 --> 00:38:56.695]  And we're trying to be good.
[00:38:56.695 --> 00:38:57.556]  We're trying to build a better world.
[00:38:58.670 --> 00:39:01.091]  And we let the bad guys get to this point.
[00:39:01.091 --> 00:39:03.311]  We let ourselves get in this much danger.
[00:39:03.311 --> 00:39:05.932]  So we're the only ones that have to blame here.
[00:39:05.932 --> 00:39:08.473]  I don't even blame our enemies anymore.
[00:39:08.473 --> 00:39:14.435]  I realize how fallen and sad and just pathetic they are.
[00:39:14.435 --> 00:39:15.895]  All right, let me get my mind wrapped around this.
[00:39:15.895 --> 00:39:21.237]  I get philosophical when things are so big.
[00:39:21.237 --> 00:39:23.137]  And we're going to break in four minutes.
[00:39:23.137 --> 00:39:25.758]  I'm going to come back and I'm going to get into
[00:39:29.090 --> 00:39:32.033]  I'm going to get into the censorship surveillance.
[00:39:32.033 --> 00:39:41.304]  It's really surveillance and censorship bombshells in Congress with the weaponization of government and big tech hearings that are happening.
[00:39:41.304 --> 00:39:44.448]  And then I'm going to get into the Redfield testimony.
[00:39:44.448 --> 00:39:45.710]  We only played part of it yesterday.
[00:39:45.710 --> 00:39:45.970]  It is
[00:39:47.902 --> 00:40:02.472]  Absolute pure proof smoking gun from the head of the CDC couldn't have more credibility as an insider of how Fauci created the false reports and lied about the origin of the virus and knew he was lying and lied to Congress.
[00:40:02.472 --> 00:40:10.898]  I mean that alone is like bombshell flamethrower nuclear hydrogen bomb going off big.
[00:40:10.898 --> 00:40:12.640]  I mean that is just boom!
[00:40:14.796 --> 00:40:16.597]  And then we've got all this other news.
[00:40:16.597 --> 00:40:19.358]  You know, I said I'd get to it.
[00:40:19.358 --> 00:40:19.898]  But I just did.
[00:40:19.898 --> 00:40:20.818]  I did another Washington Post.
[00:40:20.818 --> 00:40:23.339]  I'll show you the article.
[00:40:23.339 --> 00:40:25.460]  We need to really have lockdowns in the future.
[00:40:25.460 --> 00:40:26.200]  We need to have more of them.
[00:40:26.200 --> 00:40:27.121]  It's just a new way of life.
[00:40:27.121 --> 00:40:29.081]  I mean, training you to stay in your house.
[00:40:29.081 --> 00:40:30.962]  Come on, folks!
[00:40:30.962 --> 00:40:38.265]  Why would anybody work for a system that wants to put poison in your body and lock you down and make you go around and have a digital ID to leave your house?
[00:40:38.265 --> 00:40:39.985]  I mean, what fool?
[00:40:39.985 --> 00:40:41.526]  I mean, if you were a psychopath,
[00:40:43.311 --> 00:40:48.935]  If you were American Psycho, what's his fictional name, Christian Bale, in the movie?
[00:40:48.935 --> 00:40:50.556]  Patrick Bateman.
[00:40:50.556 --> 00:40:56.681]  Patrick Bateman would at least have enough self-preservation that he'd go, man, I really don't want this New World Order.
[00:40:56.681 --> 00:41:00.904]  I don't want to take your poison shot, and I don't want to be a slave.
[00:41:00.904 --> 00:41:05.007]  I mean, Patrick Bateman wouldn't support this.
[00:41:05.007 --> 00:41:08.969]  Why do you people serve the New World Order?
[00:41:08.969 --> 00:41:10.170]  What is your problem?
[00:41:11.471 --> 00:41:11.671]  for 99.9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
[00:41:39.838 --> 00:41:41.199]  They'll never survive.
[00:41:41.199 --> 00:41:58.510]  You think the people around them, no matter how many robots they've got and the rest of it, once there's a big nuclear war and a billion die in the first part of it, and then four billion, they estimate, will die in a limited nuclear war of starvation and breakdown of society, and the reactors all melt down, and you've got hundreds, 400-plus Chernobyls going on.
[00:41:58.510 --> 00:42:01.972]  Do you really think in your bunker, two miles under a mountain,
[00:42:03.786 --> 00:42:07.810]  That the people around you aren't going to kill you.
[00:42:07.810 --> 00:42:14.297]  You have just gone into your own tomb and guaranteed you'll be killed.
[00:42:14.297 --> 00:42:16.679]  I mean, look, Globalist, you're not that stupid, are you?
[00:42:16.679 --> 00:42:20.843]  You really want to live in a bunker?
[00:42:20.843 --> 00:42:24.867]  You really think that you're not going to just kill each other in there?
[00:42:24.867 --> 00:42:26.469]  Because you love killing people, you're not going to stop.
[00:42:28.399 --> 00:42:36.502]  I'd estimate if 5,000 people are in one of these big bunker cities, that in five years after they're down there, there'll be like 200 of them left.
[00:42:36.502 --> 00:42:38.882]  You people are frickin' nuts!
[00:42:38.882 --> 00:42:41.963]  How the hell did you get us into this situation?
[00:42:41.963 --> 00:42:44.224]  And the answer is, you did it!
[00:42:44.224 --> 00:42:44.664]  I did it!
[00:42:44.664 --> 00:42:48.205]  We let these maniacs get in control!
[00:42:48.205 --> 00:42:49.706]  God help us!
[00:42:49.706 --> 00:42:50.826]  We'll be right back, stay with us.
[00:43:00.086 --> 00:43:08.292]  Ladies and gentlemen, this book, The Great Reset and the War for the World, is a historic book that documents the Globals, in their own words, plan for our future.
[00:43:08.292 --> 00:43:09.753]  That is a hellish future.
[00:43:09.753 --> 00:43:19.159]  Now you'll always, while they still allow books, I guess they're starting to ban them, be able to get an unsigned copy of The Great Reset and the War for the World at bookstores, Amazon, or Infowarshore.com.
[00:43:19.159 --> 00:43:24.763]  But you will never be able to get another signed copy of the book after the signed copies we got run out.
[00:43:24.763 --> 00:43:26.725]  And there's about a thousand left of them right now.
[00:43:27.325 --> 00:43:32.707]  So get your copy of The Great Reset and The War for the World, a signed copy, at InfoWarsRaw.com.
[00:43:32.707 --> 00:43:36.648]  And there is a markup there because this is a fundraiser to keep us on the air.
[00:43:36.648 --> 00:43:42.529]  So you won't just have this historic memento and this powerful book, you'll also know that you help keep InfoWars on the air.
[00:43:42.529 --> 00:43:44.610]  I want to thank those of you that have gotten signed copies of the book.
[00:43:45.450 --> 00:43:47.072]  This is their big move.
[00:43:47.072 --> 00:43:50.975]  So yeah, you say, why doesn't Biden address the disasters in the United States?
[00:43:50.975 --> 00:43:51.416]  He doesn't care.
[00:44:11.294 --> 00:44:12.556]  That's not his job.
[00:44:12.556 --> 00:44:14.300]  He's not the President of the United States.
[00:44:14.300 --> 00:44:18.187]  He's a puppet operating for the globalists.
[00:44:18.187 --> 00:44:22.675]  Appetites of the autocrat cannot be appeased.
[00:44:22.675 --> 00:44:23.797]  They must be opposed.
[00:44:24.400 --> 00:44:27.822]  Autocrats only understand one word.
[00:44:27.822 --> 00:44:29.002]  No.
[00:44:29.002 --> 00:44:29.843]  No.
[00:44:29.843 --> 00:44:30.603]  No.
[00:44:30.603 --> 00:44:31.503]  Exactly.
[00:44:31.503 --> 00:44:35.065]  And that's why we say no to your vaccines.
[00:44:35.065 --> 00:44:38.166]  We say no to you shutting down our businesses.
[00:44:38.166 --> 00:44:40.668]  We say no to you taking our firearms.
[00:44:40.668 --> 00:44:43.149]  We say no to you censoring our free speech.
[00:44:43.149 --> 00:44:46.771]  We say no to you selling us out to the World Health Organization.
[00:44:46.771 --> 00:44:49.292]  We say no to you getting us into World War III.
[00:44:49.292 --> 00:44:49.692]  You're right.
[00:44:49.972 --> 00:44:54.734]  We stand against autocrats like you, Joe Biden, and we say no!
[00:44:54.734 --> 00:44:56.275]  And we say no to your war!
[00:45:16.235 --> 00:45:19.037]  Now I'm addicted to helping my fellow Americans.
[00:45:19.037 --> 00:45:20.739]  I'm addicted to spreading the truth.
[00:45:20.739 --> 00:45:23.261]  And again, you know, I have InfoWars to thank for that.
[00:45:23.261 --> 00:45:27.624]  Looking back on the day, I was able to ask President Donald Trump two questions.
[00:45:27.624 --> 00:45:33.329]  I was so grateful because, you know, I truly was classically trained under Alex Jones and under the InfoWars team.
[00:45:33.329 --> 00:45:38.333]  And I really do credit that as to why I'm able to, you know, get these types of clips.
[00:45:38.333 --> 00:45:41.476]  Because Alex's whole mentality was, you know, go where the
[00:45:42.417 --> 00:45:54.999]  I'm just addicted to telling the truth and helping the American people and I really do credit Alex for, you know, really instilling that within me early on in my career.
[00:45:59.642 --> 00:46:01.463]  I've got some good news.
[00:46:01.463 --> 00:46:08.324]  Our high quality supplements really work and we have about an 80% reorder rate with customers.
[00:46:08.324 --> 00:46:09.145]  That's the good news.
[00:46:09.145 --> 00:46:10.285]  They're amazing.
[00:46:10.285 --> 00:46:18.487]  The bad news is around 1% or a little less of our actual viewers and listeners ever go to InfoWarshaw.com and ever actually buy the products.
[00:46:18.487 --> 00:46:21.908]  So you're missing out on these products plus it funds the InfoWar.
[00:46:21.908 --> 00:46:26.830]  Think of what we've done with just 1% of our massive audience actually buying products.
[00:46:26.830 --> 00:46:27.670]  Think what would happen.
[00:46:28.590 --> 00:46:42.139]  If those of you on the fence actually went to InfoWarStore.com and got some of these amazing products, I would recommend Turmeric 95 for your joints, your bones, inflammation, to get one of the biggest effects, so you reorder it and see how great it is.
[00:46:42.139 --> 00:46:51.105]  Also, we've got the super high-quality, full-spectrum CBD oil that's so good for your neurological systems, your brain, your joints, your bones, as well.
[00:46:51.105 --> 00:46:52.486]  Or RealRedFlow Plus.
[00:46:52.486 --> 00:46:56.889]  Just go try the product, fund the InfoWar, and help us defeat the new order together.
[00:46:56.889 --> 00:46:58.170]  InfoWarStore.com.
[00:46:58.370 --> 00:46:58.810]  Let's go!
[00:47:28.854 --> 00:47:33.435]  Well, I've done my pontificating.
[00:47:33.435 --> 00:47:39.437]  It's time to put the nose to the grindstone.
[00:47:39.437 --> 00:47:43.418]  And start covering what the baddies are doing.
[00:47:43.418 --> 00:47:51.941]  So we can light them up with a spotlight.
[00:47:51.941 --> 00:47:54.101]  I mentioned it, so I might as well just put it up.
[00:47:54.101 --> 00:47:56.462]  Here's a Gateway Pundit article that has the excerpts out of it.
[00:47:57.281 --> 00:47:58.302]  From the Washington Post.
[00:47:58.302 --> 00:48:08.892]  Washington Post complains that conservatives, libertarians are preventing future pandemic lockdowns, yes, and climate lockdowns.
[00:48:08.892 --> 00:48:13.396]  Oh, and guess what?
[00:48:13.396 --> 00:48:23.085]  They're now putting a January 6th warning on anybody supporting Tucker Carlson or pointing out that they let the people in and led the Q shaman into the Senate.
[00:48:26.297 --> 00:48:27.318]  They lied to the public.
[00:48:27.318 --> 00:48:31.000]  Reaction to Tucker Carlson's leaking January 6th footage.
[00:48:31.000 --> 00:48:34.802]  And now they put an advisement on it to Wikipedia.
[00:48:34.802 --> 00:48:37.783]  January 6th, United States Capitol attack.
[00:48:37.783 --> 00:48:40.965]  And it goes on to say, no, this isn't true.
[00:48:40.965 --> 00:48:44.467]  Here's the real truth.
[00:48:44.467 --> 00:48:54.372]  Live time management and control of reality because you can't believe your own lying eyes.
[00:48:54.372 --> 00:48:54.493]  Now,
[00:48:55.549 --> 00:48:56.530]  Here's what I want to do.
[00:48:56.530 --> 00:48:58.031]  I want to get to Matt Taibbi.
[00:48:58.031 --> 00:49:00.474]  It's about a four minute clip.
[00:49:00.474 --> 00:49:07.280]  Because that just opens the door into the larger discussion of the total surveillance censorship grid that is beyond illegal.
[00:49:07.280 --> 00:49:15.709]  The government and a certain political party interface with big tech and dinosaur media to go out and watch and surveil and censor and lie about and attack people.
[00:49:19.172 --> 00:49:21.133]  We're gonna play that and then we start the next hour.
[00:49:21.133 --> 00:49:24.555]  I played that Redfield clip yesterday that's so huge, but I've got four more clips of him.
[00:49:24.555 --> 00:49:27.497]  We're going to air them all.
[00:49:27.497 --> 00:49:29.318]  Because this can take down the whole deep state.
[00:49:29.318 --> 00:49:32.080]  Fauci, Bill Gates, Peter Daszak, all of them.
[00:49:32.080 --> 00:49:33.941]  We know they made the virus.
[00:49:33.941 --> 00:49:35.082]  We know where they made it.
[00:49:35.082 --> 00:49:41.906]  They even put emails out before it was released to get the so-called vaccine ready, calling it COVID-19.
[00:49:41.906 --> 00:49:44.407]  We know that because it's been leaked by whistleblowers.
[00:49:44.407 --> 00:49:46.569]  Some names we know, some we don't, like Dr. Huff.
[00:49:48.456 --> 00:49:49.917]  People keep saying, we're the good people.
[00:49:49.917 --> 00:49:52.638]  They're all over the place, constantly exposing it.
[00:49:52.638 --> 00:50:08.183]  But the point is, he lied to Congress and hoped nobody would actually look at the evidence, and now the former head of the CDC, who was running all this, has come out against Fauci, because he knows Fauci is going down.
[00:50:08.183 --> 00:50:10.404]  A lot more people than Fauci are going down.
[00:50:10.404 --> 00:50:12.645]  That's why Bill Gates is running around on a world tour.
[00:50:14.221 --> 00:50:18.404]  Europe, and India, and Africa, and Australia, and everywhere.
[00:50:18.404 --> 00:50:23.168]  Where he's this big savior, because he knows he's the most hated person on Earth.
[00:50:23.168 --> 00:50:26.630]  After Klaus Schwab.
[00:50:26.630 --> 00:50:29.472]  They got polls where Bill Gates got like a 3% approval rating.
[00:50:29.472 --> 00:50:30.573]  Well, he's your doctor!
[00:50:30.573 --> 00:50:31.954]  He's gonna put stuff in you.
[00:50:31.954 --> 00:50:32.515]  See?
[00:50:32.515 --> 00:50:33.876]  You didn't get away with it, Bill.
[00:50:33.876 --> 00:50:36.898]  We know you're a mass murderer, buddy boy.
[00:50:36.898 --> 00:50:38.739]  So what's he gonna do?
[00:50:38.739 --> 00:50:39.900]  Play whack-a-mole?
[00:50:39.900 --> 00:50:42.062]  Crush Alex Jones?
[00:50:42.062 --> 00:50:43.343]  That just makes the Tree of Liberty grow.
[00:50:44.710 --> 00:50:52.236]  I don't particularly want to die, but if you send a hit team to kill me, c'est la vie.
[00:50:52.236 --> 00:50:59.061]  So is life.
[00:50:59.061 --> 00:51:02.264]  Somebody's got to stand up to these psychotics.
[00:51:02.264 --> 00:51:04.626]  And we are.
[00:51:04.626 --> 00:51:10.170]  These are a bunch of maniacal, twisted, extremely sick, evil people.
[00:51:12.782 --> 00:51:14.883]  Let me do this or we won't be here.
[00:51:14.883 --> 00:51:16.264]  Plus it's great products.
[00:51:16.264 --> 00:51:26.291]  We have the prebiotic that's been sold out for over a year that's back that does incredible things to your gut health and grows these great amino acids that are anti-cancer and so much more and just do incredible things.
[00:51:26.291 --> 00:51:29.633]  I was upset when it wasn't available last year because I take it all the time.
[00:51:29.633 --> 00:51:31.334]  Thank God we got more back in.
[00:51:31.334 --> 00:51:32.555]  It's 40% off.
[00:51:32.555 --> 00:51:33.935]  Infowarshaw.com.
[00:51:33.935 --> 00:51:35.677]  We got the best bone broth out there with the
[00:51:36.537 --> 00:51:40.818]  All the extra ingredients like the turmeric, the chaga mushroom, the bee pollen, the magnesium.
[00:51:40.818 --> 00:51:42.258]  It's the best bone broth you're going to find.
[00:51:42.258 --> 00:51:45.479]  The best concentrate from chicken.
[00:51:45.479 --> 00:51:46.719]  It's amazing.
[00:51:46.719 --> 00:51:50.960]  It's grandma's chicken soup squared.
[00:51:50.960 --> 00:51:54.541]  I mean it just goes exponential.
[00:51:54.541 --> 00:51:56.282]  It's I'd say 50 times better.
[00:51:56.282 --> 00:51:57.982]  I mean it's just it's over the top important.
[00:51:58.897 --> 00:52:00.259]  It's available at FullRetro.com.
[00:52:00.259 --> 00:52:02.984]  Our CBD oil is amazing.
[00:52:02.984 --> 00:52:11.617]  Wow, the turmeric toothpaste is so popular, too bad we only did a limited order of it because at current sales rates, it'll be sold out in 15 days.
[00:52:13.348 --> 00:52:14.869]  And it's amazing toothpaste.
[00:52:14.869 --> 00:52:23.172]  It's full of vitamins and minerals and strong turmeric and essential oils and you want to rejuvenate your gums and fight gingivitis and polish your teeth and everything.
[00:52:23.172 --> 00:52:24.292]  It's got the coral calcium.
[00:52:24.292 --> 00:52:24.852]  It's got it all.
[00:52:24.852 --> 00:52:25.893]  My dad designed it.
[00:52:25.893 --> 00:52:27.714]  He's a retired dentist oral surgeon.
[00:52:27.714 --> 00:52:30.114]  He threw the kitchen sink at this.
[00:52:30.114 --> 00:52:31.375]  And we're proud of it.
[00:52:31.375 --> 00:52:32.615]  Infowarstore.com.
[00:52:32.615 --> 00:52:33.676]  Turmeric toothpaste.
[00:52:33.676 --> 00:52:34.916]  All right.
[00:52:34.916 --> 00:52:36.497]  Here's Matt Taibbi.
[00:52:37.990 --> 00:52:42.553]  Who, say what you want about him, he is a esteemed journalist.
[00:52:42.553 --> 00:52:46.997]  He's not in the rare class of a Seymour Hersh, really nobody is, but I mean...
[00:52:48.507 --> 00:52:49.327]  He's a real journalist.
[00:52:49.327 --> 00:52:51.568]  He's got a leftist bent.
[00:52:51.568 --> 00:52:57.370]  He wears leftist, not blinders, but you know, sunglasses.
[00:52:57.370 --> 00:52:59.191]  We all see through a rose colored darkly.
[00:52:59.191 --> 00:53:00.471]  None of us are perfect.
[00:53:00.471 --> 00:53:02.192]  But he's telling the truth.
[00:53:02.192 --> 00:53:04.072]  And they are so upset.
[00:53:04.072 --> 00:53:15.056]  And here he is, he's still testifying as we speak in Congress about this giant organized criminal deep state that was trying to normalize total surveillance and control and censorship.
[00:53:15.056 --> 00:53:15.556]  Here's the report.
[00:53:16.499 --> 00:53:20.401]  Chairman Jordan, Ranking Member Plaskett, members of the Select Committee, thank you for having me today.
[00:53:20.401 --> 00:53:21.161]  My name is Matt Taibbi.
[00:53:21.161 --> 00:53:25.363]  I've been a reporter for 30 years and a staunch advocate of the First Amendment.
[00:53:25.363 --> 00:53:27.864]  Much of that time was spent at Rolling Stone Magazine.
[00:53:27.864 --> 00:53:30.966]  Ranking Member Plaskett, I'm not a so-called journalist.
[00:53:30.966 --> 00:53:32.946]  I've won the National Magazine Award, the I.F.
[00:53:32.946 --> 00:53:39.309]  Stone Award for Independent Journalism, and I've written ten books, including four New York Times bestsellers.
[00:53:39.309 --> 00:53:42.751]  I'm now the editor of the online magazine Racket on the independent platform Substack.
[00:53:43.393 --> 00:53:47.957]  I'm here today because of a series of events that began late last year when I received a note from a source online.
[00:53:47.957 --> 00:53:53.802]  It read, Are you interested in doing a deep dive into what censorship and manipulation was going on at Twitter?
[00:53:53.802 --> 00:53:57.285]  A week later, the first of what became known as the Twitter Files reports came out.
[00:53:57.285 --> 00:54:00.768]  To say these attracted intense public interest would be an understatement.
[00:54:00.768 --> 00:54:10.157]  My computer looked like a Vegas slot machine as just the first tweet about the blockage of the Hunter Biden laptop story registered 143 million impressions and 30 million engagements.
[00:54:10.865 --> 00:54:19.571]  But it wasn't until a week after the first report, after Michael Schellenberger, Barry Weiss, and other researchers joined the search of the files, that we started to grasp the significance of this story.
[00:54:20.472 --> 00:54:25.676]  The original promise of the Internet was that it might democratize the exchange of information globally.
[00:54:25.676 --> 00:54:33.501]  A free Internet would overwhelm all attempts to control information flow, its very existence a threat to anti-democratic forms of government everywhere.
[00:54:33.501 --> 00:54:43.528]  What we found in the files was a sweeping effort to reverse that promise and use machine learning and other tools to turn the Internet into an instrument of censorship and social control.
[00:54:43.528 --> 00:54:46.410]  Unfortunately, our own government appears to be playing a lead role.
[00:54:47.287 --> 00:54:57.553]  We saw the first hints and communications between Twitter executives before the 2020 election when we read things like flag by DHS or police see attached report from FBI for potential misinformation.
[00:54:57.553 --> 00:55:03.057]  This would be attached to an Excel spreadsheet with a long list of names whose accounts were often suspended shortly after.
[00:55:03.877 --> 00:55:10.584]  Again, Ranking Member Plaskett, I would note that the evidence of Twitter-government relationship includes lists of tens of thousands of names on both the left and right.
[00:55:10.584 --> 00:55:19.553]  The people affected include Trump supporters, but also left-leaning sites like Consortium and Truthout, the leftist South American channel Telesur, the Yellow Vest Movement.
[00:55:19.553 --> 00:55:23.377]  That, in fact, is a key point of the Twitter files, that it's neither a left nor right issue.
[00:55:24.045 --> 00:55:30.836]  Following the trail of communications between Twitter and the federal government across tens of thousands of emails led to a series of revelations.
[00:55:30.836 --> 00:55:36.565]  Mr. Chairman, we summarized and submitted them to the committee in the form of a new Twitter file stride which was also released to the public this morning.
[00:55:37.571 --> 00:55:38.692]  We learned.
[00:55:38.692 --> 00:55:51.621]  Twitter, Facebook, Google, and other companies developed a formal system for taking in moderation requests from every corner of government, from the FBI, the DHS, the HHS, DOD, the Global Engagement Center at State, even the CIA.
[00:55:51.621 --> 00:56:03.649]  For every government agency scanning Twitter, there were perhaps 20 quasi-private entities doing the same thing, including Stanford's Election Integrity Partnership, NewsGuard, Global Disinformation Index, and many others, many taxpayer-funded.
[00:56:04.309 --> 00:56:14.778]  A focus of this fast-growing network, as Mike noted, is making lists of people whose opinions, beliefs, associations, or sympathies are deemed misinformation, disinformation, or malinformation.
[00:56:14.778 --> 00:56:18.541]  That last term is just a euphemism for true but inconvenient.
[00:56:18.541 --> 00:56:22.525]  Undeniably, the making of such lists is a form of digital McCarthyism.
[00:56:22.525 --> 00:56:30.792]  Ordinary Americans are not just being reported to Twitter for deamplification or deplatforming, but to firms like PayPal, digital advertisers like Xander, and crowdfunding sites like GoFundMe.
[00:56:31.581 --> 00:56:41.191]  These companies can and do refuse service to law-abiding people and businesses whose only crime is falling afoul of a distant, faceless, unaccountable... And that's called racketeering to do that.
[00:56:41.191 --> 00:56:48.619]  As someone who grew up a traditional ACLU liberal, this mechanism for punishment and deprivation without due process is horrifying.
[00:56:50.586 --> 00:56:54.849]  Another troubling aspect is the role of the press, which should be the people's last line of defense in such cases.
[00:56:54.849 --> 00:56:57.932]  But instead of investigating these groups, journalists partnered with them.
[00:56:57.932 --> 00:57:08.160]  If Twitter declined to remove an account right away, government agencies and NGOs would call reporters for the New York Times, Washington Post, and other outlets, who in turn would call Twitter, demanding to know why action had not yet been taken.
[00:57:08.160 --> 00:57:12.904]  Effectively, news media became an arm of a state-sponsored thought policing system.
[00:57:12.904 --> 00:57:14.445]  I'm running out of time, so I'll just sum up and say,
[00:57:16.792 --> 00:57:18.673]  It's just not possible to instantly arrive at truth.
[00:57:18.673 --> 00:57:26.718]  It is, however, becoming technologically possible to instantly define and enforce a political consensus online, which I believe is what we're looking at.
[00:57:26.718 --> 00:57:30.740]  This is a grave threat to people of all political persuasions.
[00:57:30.740 --> 00:57:37.124]  The First Amendment and an American population accustomed to the right to speak is the best defense left against the censorship industrial complex.
[00:57:37.124 --> 00:57:42.567]  If the latter can knock over our first and most important constitutional guarantee, these groups will have no serious opponent left anywhere.
[00:57:43.547 --> 00:58:02.273]  If there's anything the Twitter files show, it's that we're in danger of losing this most precious right without which all... Right now, I'm not talking to the viewers and listeners that have gone to InfoWarsTore.com and gotten the great products that enrich your life, that empower your immune system and your body, and keep us on air.
[00:58:02.273 --> 00:58:06.614]  I am humbly, hand-in-hand, talking to the viewers and listeners that have tuned in
[00:58:07.194 --> 00:58:10.635]  Many of you for years have never gone to InfoWarsTore.com.
[00:58:10.635 --> 00:58:19.439]  We know the vast, vast, vast, vast majority of you never actually go to InfoWarsTore.com and never experience these great products and never fund the operation.
[00:58:19.439 --> 00:58:22.500]  Sure, you share a link, you share an article, you tell folks about the show.
[00:58:22.500 --> 00:58:23.860]  That's great and I thank you.
[00:58:23.860 --> 00:58:25.381]  But we need funds to operate.
[00:58:25.381 --> 00:58:34.244]  Plus, we've got really great products that do amazing things for people like our CBD oil and our Fizzy Magnesium and our Sleep Aid and our Nitric Oxide and our Real Red Pill Plus.
[00:58:34.244 --> 00:58:35.705]  All of these are really great products.
[00:58:35.845 --> 00:58:36.365]  We're good to go.
[00:58:51.750 --> 00:58:58.152]  It's hard to believe that we're already going into March 2023, and the world is an insane place.
[00:58:58.152 --> 00:58:59.893]  World War III has already started.
[00:58:59.893 --> 00:59:02.214]  Biden is a puppet and is dissolving our borders.
[00:59:02.214 --> 00:59:03.374]  There's mass censorship.
[00:59:03.374 --> 00:59:05.575]  James O'Keefe's been removed from Project Veritas.
[00:59:05.575 --> 00:59:07.835]  The list goes on and on of the bad things that are happening.
[00:59:07.835 --> 00:59:12.297]  But the good things that are happening is humanity is really accelerating its awakening.
[00:59:12.537 --> 00:59:16.440]  Well, those of us on the forefront are under more attack by the establishment than ever.
[00:59:16.440 --> 00:59:24.846]  That's why I'm counting on you to spread the word about the broadcast, to pray for the broadcast, and to keep the broadcast on the air by getting great products at InfoWarshaw.com.
[00:59:24.846 --> 00:59:33.512]  And whether it's a final signed copy, they're almost all sold out, or the great reset in the War for the World, or Ultimate Bone Broth, finally back in stock after over two years, it's all available at InfoWarshaw.com.
[00:59:33.512 --> 00:59:35.113]  These are truly amazing products.
[00:59:35.293 --> 00:59:41.476]  So, get your InfoWars products at InfoWarsStore.com and enrich your life while keeping the broadcast on the air.
[00:59:41.476 --> 00:59:51.220]  It is your decision on whether or not we stay on air, so please take action now at InfoWarsStore.
[00:59:51.220 --> 00:59:57.123]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:00.231 --> 01:00:11.420]  If Russia invades, that means tanks or troops crossing the border of Ukraine again.
[01:00:11.420 --> 01:00:15.803]  Then there will be no longer a Nord Stream 2.
[01:00:15.803 --> 01:00:17.284]  We will bring an end to it.
[01:00:17.284 --> 01:00:25.711]  But how will you do that exactly, since the project and control of the project is within Germany's control?
[01:00:25.711 --> 01:00:27.072]  I promise you we'll be able to do it.
[01:00:27.734 --> 01:00:29.315]  Tonight, sabotage at sea.
[01:00:29.315 --> 01:00:34.019]  That's what President Biden is calling the leaks and explosions on the Nord Stream pipelines.
