[00:00:08.095 --> 00:00:10.216]  It's Friday, August 28th.
[00:37:38.174 --> 00:37:38.835]  Evil exists.
[00:37:39.915 --> 00:37:49.656]  And to address it requires leadership that will identify it, call it out, and deploy the necessary resources to end the problem and clean up the mess.
[00:37:51.072 --> 00:37:58.436]  To address it requires agents and foot soldiers and prosecutors that are willing to take the fight to the enemy.
[00:37:58.436 --> 00:38:05.860]  That is why I'm so thankful for the leadership of the Trump administration on the federal level, as well as Director Washington, Attorney B.J.
[00:38:05.860 --> 00:38:08.581]  Pack, and our brethren at the FBI.
[00:38:08.581 --> 00:38:16.845]  And on the state level, I'm very thankful for the leadership of Governor Kemp, Director Reynolds, as well as Attorney General Chris Carr.
[00:38:16.845 --> 00:38:19.027]  Evil exists, and it requires
[00:38:19.847 --> 00:38:24.411]  The coordinated partnerships to maximize our impact against it.
[00:38:24.411 --> 00:38:35.061]  So I want to thank every agent, every marshal, every member of the Bureau, the FBI and every local agent that participated in fighting this evil.
[00:38:35.061 --> 00:38:40.587]  And whether you're behind a keyboard or you're on the street for a takedown, I want you to know that you made a difference.
[00:38:41.653 --> 00:38:48.897]  I want to say thank you to our leadership also for recognizing the need for a holistic approach as we fight evil.
[00:38:48.897 --> 00:38:56.480]  For not only did we take them down, but we're also partnering with Wellspring as well as CHOA to clean up the mess.
[00:38:56.480 --> 00:39:03.924]  CHOA and Wellspring are really providing a ministry to the harmed souls that this evil has caused.
[00:39:03.924 --> 00:39:08.967]  I'm grateful for our leadership and our agents, the members of the GBI like Debbie Garner,
[00:39:09.923 --> 00:39:10.704]  We're good to go.
[00:39:39.997 --> 00:39:40.377]  Thank you.
[00:39:40.377 --> 00:39:47.825]  I want to say thank you again to Dr. Mesner and to those that are engaging in the ministry to help.
[00:39:47.825 --> 00:39:49.907]  Notice he's making it all about good versus evil.
[00:39:49.907 --> 00:39:50.908]  We're bringing God back in.
[00:39:50.908 --> 00:39:53.631]  That scares the Satanists.
[00:39:53.631 --> 00:39:55.392]  This isn't about me taking credit.
[00:39:55.392 --> 00:39:56.574]  In fact, it's the opposite.
[00:39:56.574 --> 00:39:59.436]  It's about getting you to understand that you have all the power.
[00:40:00.441 --> 00:40:13.024]  Going back three weeks ago, they had the entire Austin Greenbelt shut down, and they had the spillway by Barton Springs shut down, as well as the main pool that's always been paved for the last 50 years or so.
[00:40:13.024 --> 00:40:15.285]  It's a dammed up spring.
[00:40:15.285 --> 00:40:24.827]  Well, we went down there and we got in the park at different areas around town in the last few weeks and educated people that it was all a giant fraud.
[00:40:24.827 --> 00:40:27.688]  And now, despite the fact that they still say the parks are closed,
[00:40:28.348 --> 00:40:35.345]  You can go to any area and you'll see dozens if not hundreds of people depending where you're at actually using Barton Springs here in Austin, Texas.
[00:40:37.130 --> 00:40:45.914]  Bill Gates and the globalists give the orders to the UN, the UN gives the orders down through the National Health Services, like our NIH, and we all follow it like dutiful slaves.
[00:40:45.914 --> 00:40:48.815]  Stop complying with your own enslavement.
[00:40:48.815 --> 00:40:52.077]  Stop following the orders of these globalist traitors.
[00:40:52.077 --> 00:40:53.577]  Start being free again.
[00:40:53.577 --> 00:41:03.862]  Going back more than 20 years ago, I coined the term the false left-right paradigm from reading the books by Carol Quigley, Zbigniew Brzezinski, and others, how they described
[00:41:04.775 --> 00:41:15.106]  Powerful institutions and foundations, successful takeover of the left parties and right parties in Europe and the United States.
[00:41:15.106 --> 00:41:17.649]  It didn't mean that those parties didn't have differences before.
[00:41:17.649 --> 00:41:26.639]  They were able to get control of the leadership of both and manipulate the public with the illusion of change and the illusion of a fight going on like WWF wrestling or something.
[00:41:27.179 --> 00:41:32.864]  With Trump and with our populist movement taking over the Republicans, this is a real populist movement.
[00:41:32.864 --> 00:41:34.546]  Doesn't mean it's perfect.
[00:41:34.546 --> 00:41:42.492]  And you know it's real because the Democrats, the power structure, the China comms, and the entire old Republican leadership have all endorsed Joe Biden.
[00:41:42.492 --> 00:41:43.653]  That's why I'm supporting Trump.
[00:41:43.653 --> 00:41:45.915]  It's about Americanism, not globalism.
[00:41:45.915 --> 00:41:51.861]  It's about ending the one-sided trade deals, but defending our borders, but defending the right to Second Amendment and pro-life.
[00:41:51.861 --> 00:41:53.082]  And Trump's doing all of that.
[00:41:54.804 --> 00:41:56.705]  I'm not going to lie to you.
[00:41:56.705 --> 00:42:00.548]  I want to stay in the fight against Soros and Hillary and the New World Order.
[00:42:00.548 --> 00:42:05.851]  And the only way I do is if you buy a lot of products at fullwarshore.com.
[00:42:05.851 --> 00:42:16.738]  You've got to sell a lot of vitamins and a lot of minerals and a lot of fish oil and a lot of t-shirts and a lot of water filters to fund an operation to face the globalists and all the DNC lawsuits.
[00:42:16.738 --> 00:42:18.319]  But they're so close to losing right now.
[00:42:19.482 --> 00:42:27.767]  Plus, I go out, just like with Info, and I bring you the very best items, the very best products that I personally use and I love.
[00:42:27.767 --> 00:42:37.473]  So, go to InfoWarsTore.com, check out the products, get some today, share them with friends, review them, and know that you cannot lose because you're fighting the Info War.
[00:42:37.473 --> 00:42:38.814]  Let's fight the Globalists.
[00:42:38.814 --> 00:42:41.236]  Plus, these are great products, but I want to thank you.
[00:42:41.716 --> 00:42:42.899]  For keeping me in the game.
[00:42:42.899 --> 00:42:45.804]  I want to thank you for funding our operation.
[00:42:45.804 --> 00:42:51.014]  So continue to spread the word and fund InfoWars and InfoWarsTour.com and I salute you once again.
[00:42:54.574 --> 00:42:57.856]  We launched the Every Day Essentials Special a week ago.
[00:42:57.856 --> 00:42:59.197]  It ends on Monday.
[00:42:59.197 --> 00:43:02.959]  That means you've got four days to take advantage of it while I'm cutting this ad.
[00:43:02.959 --> 00:43:06.401]  A packed Power Stack NX2 back in stock.
[00:43:06.401 --> 00:43:07.842]  60% off, free shipping.
[00:43:07.842 --> 00:43:09.663]  Heart and Body Combo Xtend-A-Wise.
[00:43:09.663 --> 00:43:11.664]  Vaseline Beads, 50% off, free shipping.
[00:43:11.664 --> 00:43:15.206]  Survival Shield X2 by itself, back in stock, 50% off, free shipping.
[00:43:15.206 --> 00:43:18.488]  Ultimate Fish Roll, back in stock, 30% off, free shipping.
[00:43:18.488 --> 00:43:20.209]  Survival Shield X2 NX3 Combo, 50% off,
[00:43:21.670 --> 00:43:22.071]  I think.
[00:43:42.674 --> 00:43:44.295]  You're listening to the Alex Jones Show!
[00:43:44.295 --> 00:43:45.375]  He's going the distance!
[00:43:45.375 --> 00:43:46.455]  He's going for speed!
[00:44:22.441 --> 00:44:24.122]  We're going the distance.
[00:44:24.122 --> 00:44:25.023]  Ha ha!
[00:44:25.023 --> 00:44:25.643]  Yeah!
[00:44:25.643 --> 00:44:32.608]  Crashing through the lies and disinformation, it's Alex Jones.
[00:44:32.608 --> 00:44:39.133]  26 years, you've kept us as the pit crew on the road, on the track.
[00:44:39.133 --> 00:44:41.694]  And right now, ladies and gentlemen, we're in pole position.
[00:44:41.694 --> 00:44:50.841]  But we are not trying to get the checkered flag because we want a trophy or a big bottle of champagne or the pretty girl.
[00:44:51.872 --> 00:44:52.873]  We want civilization.
[00:44:52.873 --> 00:44:54.434]  We want good to triumph.
[00:44:54.434 --> 00:44:59.718]  We want evil that's been on the march put back in its cage to crawl back under its rock.
[00:44:59.718 --> 00:45:01.900]  I am your host, Alex Jones.
[00:45:01.900 --> 00:45:12.888]  Before we go any further, please remember that when you go and you paint the side of your barn or your car or the street, baby lives matter, all lives matter.
[00:45:12.888 --> 00:45:14.229]  But the media calls that racist.
[00:45:14.229 --> 00:45:15.890]  They say it takes away from black people.
[00:45:15.890 --> 00:45:20.214]  That is the sickest, most twisted idea on earth when abortion particularly
[00:45:21.195 --> 00:45:22.596]  He is targeting brown people.
[00:45:22.596 --> 00:45:26.957]  And you have to call out the absurdity of all of this.
[00:45:26.957 --> 00:45:31.899]  Another way to stand up is just don't wear a mask in public, like Trump did at his party last night.
[00:45:31.899 --> 00:45:33.340]  No one was doing it.
[00:45:33.340 --> 00:45:34.981]  That's how you fight the hoax.
[00:45:34.981 --> 00:45:36.401]  And it's coming out that it was a hoax.
[00:45:36.401 --> 00:45:48.826]  That giant article by Kit Daniels yesterday was over-the-top important, where 4,000-plus false positives and less than 100 real positives in one of the most populous counties of Texas, up in Dallas.
[00:45:48.826 --> 00:45:50.607]  It's fake, ladies and gentlemen.
[00:45:52.256 --> 00:45:59.678]  It's a giant premeditated fraud, and I know you know that, but we've got to tell everybody this doesn't happen by osmosis.
[00:45:59.678 --> 00:46:01.658]  And then there's other 360 wins.
[00:46:01.658 --> 00:46:03.439]  Take the privacy pockets we've got.
[00:46:03.439 --> 00:46:08.340]  The best, lightest weight, little Faraday cages that you put your cell phone in.
[00:46:08.340 --> 00:46:09.320]  The black ones are back.
[00:46:09.320 --> 00:46:10.000]  They were sold out.
[00:46:10.000 --> 00:46:11.680]  We have it in four colors.
[00:46:11.680 --> 00:46:13.321]  Green, blue, red, and...
[00:46:14.261 --> 00:46:39.894]  Black, these are back in 1995, high quality, and you put your phone in it, and the contact tracers and the globalists can't track you, can't trace you, it makes you put your phone away, it makes you be aware of the fact it's surveilling you, it's a topic of conversation with other people, and it's invaluable because even if you turn the location services off, they've admitted and it's come out that all the big companies are tracking you and selling it to thousands of companies.
[00:46:41.194 --> 00:46:44.936]  So then game everything you're doing and rig the economy.
[00:46:44.936 --> 00:46:51.640]  So believe me, big tech hates it when you put your phone in a privacy pocket or your laptop.
[00:46:51.640 --> 00:46:53.601]  And we've got some other bigger units as well.
[00:46:53.601 --> 00:46:57.503]  But it's these little ones that are so popular that fit almost all sizes of cell phones.
[00:46:57.503 --> 00:46:59.485]  But what's really important about this also is...
[00:47:00.606 --> 00:47:07.151]  It habituates you to, again, start using the phone less and less, which makes everybody's lives better.
[00:47:07.151 --> 00:47:09.533]  And it also blocks some of the radiation coming in and off of it.
[00:47:09.533 --> 00:47:14.998]  So, InfoWareStore.com or 888-253-3139.
[00:47:14.998 --> 00:47:18.681]  Get your Block It Pockets today and then educate others.
[00:47:18.681 --> 00:47:21.663]  Because we're selling hundreds and hundreds of them a day.
[00:47:21.663 --> 00:47:25.106]  We usually sell hundreds a month because people are really learning about how real
[00:47:25.566 --> 00:47:28.708]  All of this is and that it's not that you're hiding something is your bad.
[00:47:28.708 --> 00:47:35.072]  You're hiding something because they're predators and they're evil and they're corrupt and they're robbing you and raping your privacy.
[00:47:35.072 --> 00:47:36.493]  Okay.
[00:47:36.493 --> 00:47:47.860]  I started the hour with this, but I want to go back to it now because the crew pointed out a couple things to me of just how crazy the hypocrisy is.
[00:47:47.860 --> 00:47:48.440]  Rand Paul.
[00:47:49.451 --> 00:47:51.614]  He's at the White House.
[00:47:51.614 --> 00:47:54.238]  He comes out in a paid grip of Soros goons.
[00:47:54.238 --> 00:47:55.279]  Attack him.
[00:47:55.279 --> 00:47:56.481]  He played the pleasure of playing again.
[00:47:57.628 --> 00:47:59.889]  And then the media tried to spin it that he really was an attack.
[00:47:59.889 --> 00:48:01.849]  When they shoved him, they said, we're going to kill you.
[00:48:01.849 --> 00:48:02.889]  They knocked a cop down.
[00:48:02.889 --> 00:48:04.570]  Rand Paul helped him get back up.
[00:48:04.570 --> 00:48:08.511]  It's almost all crazy white people doing it, claiming they represent black people.
[00:48:08.511 --> 00:48:10.752]  They've stolen their identities.
[00:48:10.752 --> 00:48:19.854]  And it's in the WikiLeaks documents and other documents we've gotten that the Soros-funded group wants to get blacks to riot so they can have them as a cover and make it racial.
[00:48:21.135 --> 00:48:25.801]  This is so evil, so premeditated, so diabolical or of the devil.
[00:48:25.801 --> 00:48:28.464]  We're going to play it with audio here in just a moment.
[00:48:28.464 --> 00:48:33.069]  But the reason this is important is, remember, Maxine Waters called for this.
[00:48:33.069 --> 00:48:34.391]  The Democrats called for this.
[00:48:34.391 --> 00:48:37.234]  The controlled media, the enemy of the people called for this.
[00:48:37.234 --> 00:48:39.036]  Now they want you to forget that.
[00:48:39.036 --> 00:48:41.159]  And Joe Biden says he's against the rioting now.
[00:48:41.579 --> 00:48:46.381]  And Don Lemon says he's against the rioting now because it hasn't gone the way they wanted it to.
[00:48:46.381 --> 00:48:50.002]  And so they're wanting you to forget that they're the commanders.
[00:48:50.002 --> 00:48:51.143]  They're the generals.
[00:48:51.143 --> 00:48:52.023]  They're the chiefs.
[00:48:52.023 --> 00:48:53.304]  They're the field marshals.
[00:48:53.304 --> 00:48:54.244]  They're the captains.
[00:48:54.244 --> 00:48:55.925]  They are the honchos.
[00:48:55.925 --> 00:48:57.845]  They are the big kahunas.
[00:48:57.845 --> 00:49:00.586]  They are the people ramrodding this whole thing.
[00:49:00.586 --> 00:49:05.028]  So here's what happened to Senator Rand Paul, who, by the way, is anti-war.
[00:49:05.028 --> 00:49:06.989]  Got Trump to be more anti-war.
[00:49:06.989 --> 00:49:09.150]  First anti-war president in 50-something years, almost 60.
[00:49:11.475 --> 00:49:13.276]  That's not chopped liver.
[00:49:13.276 --> 00:49:20.099]  And he authored the bill and got it passed, Justice for Breonna Taylor, against no-knock warrants by the police.
[00:49:20.099 --> 00:49:26.221]  So these idiot Soros leftists just know it's a white guy, it's Rand Paul, he's a Republican.
[00:49:26.221 --> 00:49:31.123]  When he is one of the most liberal members of the Senate, for classical liberalism.
[00:49:31.123 --> 00:49:32.223]  But they're not liberals.
[00:49:32.223 --> 00:49:34.764]  They're foaming at the mouth fascists.
[00:49:34.764 --> 00:49:36.625]  So here's what happened to Senator Rand Paul last night.
[00:49:37.762 --> 00:49:38.022]  Say her name!
[00:49:38.022 --> 00:49:38.283]  Say her name!
[00:49:38.283 --> 00:49:38.543]  Say her name!
[00:49:38.543 --> 00:49:38.743]  Move back!
[00:49:38.743 --> 00:49:38.923]  Move back!
[00:50:01.216 --> 00:50:15.140]  Unbelievable and Rand Paul said they would have been killed.
[00:50:15.140 --> 00:50:22.423]  They're screaming we're gonna kill you.
[00:50:25.865 --> 00:50:34.767]  So it's black and white cops who are Americans defending against a white and black mob of foaming at the mouth people saying we're going to kill you.
[00:50:34.767 --> 00:50:37.668]  Black Lives Matter mob tries to attack Rand Paul outside RNC.
[00:50:37.668 --> 00:50:38.148]  They didn't try.
[00:50:38.148 --> 00:50:40.608]  They did.
[00:50:40.608 --> 00:50:41.348]  They didn't try.
[00:50:41.348 --> 00:50:42.709]  They did.
[00:50:42.709 --> 00:50:46.089]  And it's absolutely disgusting.
[00:50:46.089 --> 00:50:47.130]  Look at this headline.
[00:50:47.130 --> 00:50:52.851]  Rand Paul announces justice for Breonna Taylor Act barring no-knock warrants.
[00:50:54.599 --> 00:50:57.041]  But again, they don't actually care about saving black babies.
[00:50:57.041 --> 00:51:03.787]  They don't actually care about not having no-knock warrants unless the person really is a hardcore criminal, because some of those do go terribly wrong.
[00:51:03.787 --> 00:51:06.889]  They don't care about him introducing a bill to restrict chokeholds.
[00:51:06.889 --> 00:51:07.450]  No, no, no.
[00:51:07.450 --> 00:51:09.191]  They don't care about him trying to end all these wars.
[00:51:09.191 --> 00:51:15.756]  They just want to feel good and go out and be rage-filled and be scum because they've been greenlit to do it.
[00:51:15.756 --> 00:51:18.559]  Because, what did Maxine Waters say over a year ago?
[00:51:21.701 --> 00:51:23.982]  Are y'all ready?
[00:51:23.982 --> 00:51:36.509]  You have members of your cabinet that have been booed out of restaurants, who have protesters taking up at their house, who sang, no peace, no sleep.
[00:51:36.509 --> 00:51:39.390]  No peace, no sleep.
[00:51:39.390 --> 00:51:50.396]  And if you see anybody from that cabinet in a restaurant, in a department store, at a gasoline station, you get out and you create a crowd.
[00:51:59.606 --> 00:52:02.908]  Now let's go to this crazy, crazed lady.
[00:52:02.908 --> 00:52:06.311]  BLM TikToker threatens to go on a rampage.
[00:52:06.311 --> 00:52:09.554]  Cries becomes absolutely out of her mind.
[00:52:11.189 --> 00:52:16.652]  Because some of the rioters running around with guns and attacking people got shot, injured, and killed.
[00:52:16.652 --> 00:52:27.838]  Now what's interesting about this lady going crazy is she calls for going out and going on a rampage, but I've got all these articles with little white kids being shot in the back of the head, little white babies getting beat up by black people on the street.
[00:52:27.838 --> 00:52:35.162]  I've got a stack of articles of whites being hit, killed, hurt in racial attacks that don't even make the news.
[00:52:35.162 --> 00:52:37.864]  They just make it on alternative news, which is the real news.
[00:52:38.464 --> 00:52:42.045]  So again, the attacks on whites is just exponential now.
[00:52:42.045 --> 00:52:44.365]  It was 12 to 1 black on white.
[00:52:44.365 --> 00:52:47.626]  Now they're not releasing the numbers all over the country because it's so bad.
[00:52:47.626 --> 00:52:51.386]  So they have invoked an actual race war and it's so sad.
[00:52:51.386 --> 00:52:53.487]  But just look at the hate in this woman's face.
[00:52:53.487 --> 00:52:58.128]  The videos on Infowars.com if you're a radio lister, BLM, TikToker, threatens to go on rampage.
[00:52:58.128 --> 00:53:00.008]  Here it is.
[00:53:00.008 --> 00:53:04.829]  I feel like I'm about to go on a rampage.
[00:53:09.602 --> 00:53:17.224]  Civilians, civilians with AR-15s are out there shooting and killing protesters.
[00:53:17.224 --> 00:53:24.347]  And you motherfuckers want to get on TikTok and talk about what if he did this, what if he did this?
[00:53:24.347 --> 00:53:33.570]  Talking about Democrats won a fucking war, but y'all out there walking around with fucking AR-15s shooting people.
[00:53:33.570 --> 00:53:37.471]  And the police are passing out waters?
[00:53:37.471 --> 00:53:37.991]  Stop it!
[00:53:44.876 --> 00:53:45.937]  Fuck your hate!
[00:53:45.937 --> 00:53:46.377]  Fuck you!
[00:53:46.377 --> 00:53:46.858]  Fuck America!
[00:53:46.858 --> 00:53:49.099]  I don't give a fuck no more!
[00:53:49.099 --> 00:53:49.839]  Y'all want war?
[00:53:49.839 --> 00:53:51.280]  Let's do this shit!
[00:53:51.280 --> 00:53:52.741]  Fuck y'all!
[00:53:52.741 --> 00:53:56.803]  Nobody gives a damn about y'all fucking fellas!
[00:53:56.803 --> 00:53:58.844]  This is mind control, ladies and gentlemen.
[00:53:58.844 --> 00:54:00.745]  The billful videos on InfoWars.com.
[00:54:00.745 --> 00:54:11.231]  Meanwhile, they were shouting, say her name to Rand Paul and they said we're gonna effing kill you when he introduced the bill, Justice for Breonna Taylor Act.
[00:54:13.325 --> 00:54:17.186]  Think about the level of ignorance and the level of moronicness.
[00:54:17.186 --> 00:54:19.827]  That woman's not going to go to Africa, where she wouldn't last five minutes.
[00:54:19.827 --> 00:54:22.228]  She's not going to go to North Korea, where she wouldn't last an hour.
[00:54:22.228 --> 00:54:25.028]  She's not going to go to Somalia.
[00:54:25.028 --> 00:54:26.709]  No, no, she's just going to say, F America.
[00:54:26.709 --> 00:54:28.549]  What she means is F white people.
[00:54:28.549 --> 00:54:36.852]  She's been brainwashed by a Nazi collaborator named George Soros, who runs Black Lives Matter, whose job it is to abort black babies and break up their families if they survive.
[00:54:36.852 --> 00:54:39.472]  Wow, you talk about mind control, Stockholm syndrome.
[00:54:39.472 --> 00:54:41.253]  We'll be back with hour two with something special.
[00:54:44.588 --> 00:54:46.990]  The Democrats are just going more and more left.
[00:54:46.990 --> 00:54:50.413]  Many positive about socialism, liking it more than capitalism.
[00:54:50.413 --> 00:54:56.398]  Many of the ideas we fought for that were considered radical are now mainstream.
[00:54:56.398 --> 00:55:03.724]  The radical left has taken over the Democratic Party and Joe Biden is marching in lockstep with them.
[00:55:03.724 --> 00:55:09.769]  Biden and the far left are promising to crush middle class families with trillions in new taxes.
[00:55:09.969 --> 00:55:12.452]  If you elect me, your taxes are going to be raised, not cut.
[00:55:12.452 --> 00:55:16.996]  Promising amnesty and healthcare for 11 million illegal immigrants.
[00:55:16.996 --> 00:55:20.060]  Citizenship for 11 million undocumented folks.
[00:55:20.060 --> 00:55:25.946]  Promising to shut down energy exploration, killing jobs, and hurting America's economy.
[00:55:25.946 --> 00:55:26.706]  I guarantee you.
[00:55:27.367 --> 00:55:28.888]  We're going to do as fast as we can.
[00:55:28.888 --> 00:55:35.533]  In Joe Biden's America, the radical left get whatever they want and you get to pay for it.
[00:55:35.533 --> 00:55:39.456]  They've already taken over Joe Biden and the Democratic Party.
[00:55:39.456 --> 00:55:41.858]  Don't let them take over America.
[00:55:41.858 --> 00:55:46.702]  The answer to 1984 is 1776.
[00:55:59.671 --> 00:56:04.034]  InfoWars has been banned.
[00:56:04.034 --> 00:56:07.937]  Arrested.
[00:56:07.937 --> 00:56:10.740]  Attacked and threatened.
[00:56:10.740 --> 00:56:12.181]  Because we are effective.
[00:56:12.181 --> 00:56:15.864]  The Great Awakening is here.
[00:56:15.864 --> 00:56:17.325]  Go to Banned.Video.
[00:56:17.325 --> 00:56:22.269]  Download the videos and share.
[00:56:22.269 --> 00:56:25.951]  Support the Information War at InfoWarsStore.com
[00:56:29.571 --> 00:56:40.898]  And never give up the fight.
[00:56:40.898 --> 00:56:52.866]  InfoWars.com You're listening to the Alex Jones Show.
[00:56:52.866 --> 00:56:55.107]  The answer to 1984.
[00:57:07.755 --> 00:57:12.119]  InfoWars has been banned.
[00:57:12.119 --> 00:57:12.479]  Arrested.
[00:57:12.479 --> 00:57:18.825]  Attacked and threatened.
[00:57:18.825 --> 00:57:20.506]  Because we are effective.
[00:57:22.114 --> 00:57:23.936]  The Great Awakening is here.
[00:57:23.936 --> 00:57:26.237]  Go to band.video.
[00:57:26.237 --> 00:57:30.360]  Download the videos and share.
[00:57:30.360 --> 00:57:37.666]  Support the Information War at infowarestore.com.
[00:57:37.666 --> 00:57:39.407]  And never give up the fight.
[00:57:53.285 --> 00:57:55.086]  They are taking over the U.S.
[00:57:55.086 --> 00:57:56.987]  They are creating the racial division.
[00:57:56.987 --> 00:57:58.928]  They are creating the sexual division.
[00:57:58.928 --> 00:58:05.672]  They are creating all of the admitted crises in this country in their own admissions in WikiLeaks.
[00:58:05.672 --> 00:58:09.734]  And they're horrified to see the economy coming back and all these good things happening.
[00:58:09.734 --> 00:58:16.618]  So they're going to throw their full force against America in an attempt to encircle Congress with a million people.
[00:58:17.378 --> 00:58:22.083]  And then to begin violent actions to run the patriots in D.C.
[00:58:22.083 --> 00:58:25.346]  out of the swamp so they can reestablish it.
[00:58:25.346 --> 00:58:27.528]  They believe that they're cornered.
[00:58:27.528 --> 00:58:29.310]  They know humanity's waking up.
[00:58:29.310 --> 00:58:37.859]  And so they're going to launch their full assault of violence and intimidation and terrorist attacks, I believe, in this country.
[00:58:37.859 --> 00:58:40.221]  They've got all the Democratic Party talking heads saying,
[00:58:41.494 --> 00:58:44.615]  Attack Trump supporters, bully them, kick them out of restaurants.
[00:58:44.615 --> 00:59:03.163]  And when you see the weak-minded people they've got lined up to support them and to chant, they're all professors or government workers or little scared leftists that bought into the fact that they were on the winning team and they were the cool group and they ran everything and they were going to teach flyover country and Christians and veterans and everybody.
[00:59:04.634 --> 00:59:05.955]  They were the ruling class.
[00:59:05.955 --> 00:59:09.418]  These people don't believe in the dream of human empowerment.
[00:59:09.418 --> 00:59:13.301]  They believe in China and its enslavement of their own population.
[00:59:13.301 --> 00:59:14.943]  They believe in authoritarianism.
[00:59:14.943 --> 00:59:18.506]  They believe if they go kiss the ass of the globalists, they are in power.
[00:59:23.010 --> 00:59:25.251]  The year is 2020.
[00:59:25.251 --> 00:59:44.477]  Following several decades of systematically weakening the social, moral, and financial resilience of the American people, the global cabal has launched a series of unimaginable terrors that have rocked the foundation of Western civilization and has fractured the population of a once united country along increasingly irreconcilable lines.
[00:59:45.037 --> 00:59:56.842]  The nation finds herself on the precipice of all-out civil war, diving headlong towards economic ruin, and already suffocating under the dictatorship of biotechnocratic enslavement.
[00:59:56.842 --> 01:00:00.544]  The final takedown order has been issued, the direct attack has begun.
[01:00:01.747 --> 01:00:06.551]  America's greatest trial and the battle for her survival is underway.
[01:00:06.551 --> 01:00:12.155]  InfoWars emergency transmissions are now broadcasting live weeknights 7 to 9 p.m.
[01:00:12.155 --> 01:00:13.657]  Central Standard Time.
[01:00:13.657 --> 01:00:15.098]  Election countdown.
[01:00:15.098 --> 01:00:19.301]  Taking America back on Band.Video and InfoWars.com.
[01:00:19.301 --> 01:00:22.524]  If you are receiving this transmission, you are the resistance.
[01:00:22.524 --> 01:00:28.669]  I feel like I'm about to go on a f***ing rampage.
[01:00:33.404 --> 01:00:34.865]  Civilians!
[01:00:34.865 --> 01:00:36.046]  Civilians!
[01:00:36.046 --> 01:00:41.050]  When AR-15s are out there shooting and killing protesters!
[01:00:41.050 --> 01:00:46.114]  And you motherfuckers want to get on TikTok and talk about, what if he did this?
[01:00:46.114 --> 01:00:48.155]  What if he did this?
[01:00:48.155 --> 01:00:50.677]  Talking about Democrats won a fucking war!
[01:00:50.677 --> 01:00:57.402]  But y'all out there walking around with fucking AR-15s shooting people!
[01:00:57.402 --> 01:00:59.184]  And the police are passing out waters!
[01:01:08.098 --> 01:01:09.078]  Fuck your hate!
[01:01:09.078 --> 01:01:09.738]  Fuck you!
[01:01:09.738 --> 01:01:10.719]  Fuck America!
[01:01:10.719 --> 01:01:12.879]  I don't give a fuck no more!
[01:01:12.879 --> 01:01:13.639]  Y'all want war?
[01:01:13.639 --> 01:01:15.079]  Let's do this shit!
[01:01:15.079 --> 01:01:16.540]  Fuck y'all!
[01:01:16.540 --> 01:01:22.461]  Nobody gives a damn about y'all fucking feelings!
[01:01:22.461 --> 01:01:30.902]  Already, you have members of your cabinet that have been booed out of restaurants.
[01:01:30.902 --> 01:01:33.243]  You have protesters taking up at their house.
[01:01:34.801 --> 01:01:35.881]  You hear that?
[01:01:35.881 --> 01:01:40.643]  That's the march of the United Nations.
[01:02:03.021 --> 01:02:03.201]  I think?
[01:02:26.980 --> 01:02:39.132]  New phobias on everyone to bring in their planetary regime directed by the WHO with vaccines that actually change your DNA and make you owned by Microsoft.
[01:02:39.132 --> 01:02:41.454]  It's a final frontier.
[01:02:41.454 --> 01:02:44.137]  It's the year 2020.
[01:02:44.137 --> 01:02:46.259]  It's not coming.
[01:02:46.259 --> 01:02:47.300]  It's here.
[01:02:47.300 --> 01:02:49.102]  And submission is blood in the water.
[01:03:04.031 --> 01:03:05.172]  Big Brother.
[01:03:05.172 --> 01:03:06.953]  Mainstream media.
[01:03:06.953 --> 01:03:08.835]  Government cover-ups.
[01:03:08.835 --> 01:03:10.556]  You want to stop tyranny?
[01:03:10.556 --> 01:03:12.217]  Well, so does he.
[01:03:12.217 --> 01:03:16.901]  Live from the InfoWars.com studios, it's Alex Jones.
[01:03:21.457 --> 01:03:29.402]  Ladies and gentlemen, we are back live broadcasting worldwide on this August 28th 2020 transmission.
[01:03:29.402 --> 01:03:33.484]  Owen Schroer is going to take over the balance of the transmission here in a few minutes.
[01:03:33.484 --> 01:03:35.866]  Then I'll be back this Saturday 2 to 4 p.m.
[01:03:35.866 --> 01:03:40.308]  here with a special transmission and then the Sunday show 4 to 6 p.m.
[01:03:40.308 --> 01:03:40.989]  Don't forget about that.
[01:03:40.989 --> 01:03:42.009]  Been doing that 16 years.
[01:03:42.009 --> 01:03:42.790]  Been doing this show 24 years.
[01:03:42.790 --> 01:03:43.610]  Been on air 26, almost 27 years.
[01:03:46.312 --> 01:03:54.396]  And Owen Schroer is going to start a new show every Sunday after I go off at 6 p.m., 6 to 8, called Sunday Live.
[01:03:54.396 --> 01:03:59.819]  And it's going to be very light on commercials, only going to take the local commercials for local stations, TV and radio.
[01:03:59.819 --> 01:04:02.240]  Six minutes of ads, an hour for that.
[01:04:02.240 --> 01:04:06.343]  And we have the new nighttime show, Election Countdown.
[01:04:06.343 --> 01:04:08.384]  Election Countdown, and that is...
[01:04:09.668 --> 01:04:11.709]  Seven to nine every night itself.
[01:04:11.709 --> 01:04:13.669]  Only six minutes of ads an hour.
[01:04:13.669 --> 01:04:14.989]  Be sure and spread the word about it.
[01:04:14.989 --> 01:04:17.450]  Paul Revere's That's How We Defeat the Enemy.
