[00:00.000 --> 00:14.000]  🎵
[47:52.000 --> 47:54.000]  juicy
[47:54.000 --> 47:56.000]  white flag
[47:56.000 --> 47:58.000]  that they are running up in front of the world
[47:58.000 --> 48:00.000]  after what three weeks ago
[48:00.000 --> 48:02.000]  they chastised the president
[48:02.000 --> 48:04.000]  and they said oh you say it's disrespectful
[48:04.000 --> 48:06.000]  no you disrespect us
[48:06.000 --> 48:08.000]  we are powerful
[48:08.000 --> 48:10.000]  America is a powerful
[48:10.000 --> 48:12.000]  NFL is
[48:14.000 --> 48:16.000]  that's what they said
[48:16.000 --> 48:18.000]  and now their ratings are down 35%
[48:18.000 --> 48:20.000]  this year
[48:20.000 --> 48:22.000]  I'm afraid 20 plus the last three years together
[48:22.000 --> 48:24.000]  that's 55
[48:24.000 --> 48:26.000]  juicies
[48:26.000 --> 48:28.000]  it was 51 or 52%
[48:28.000 --> 48:30.000]  just last week
[48:30.000 --> 48:32.000]  but it slid more
[48:32.000 --> 48:34.000]  so see
[48:34.000 --> 48:36.000]  we're breaking Hollywood's back
[48:36.000 --> 48:38.000]  we've broken CNN's back
[48:38.000 --> 48:40.000]  we're breaking the ridiculous NFL's back
[48:44.000 --> 48:46.000]  because now America's awake
[48:46.000 --> 48:48.000]  and breaking with the enemy
[48:48.000 --> 48:50.000]  everywhere now the new world order is admitted
[48:50.000 --> 48:52.000]  everywhere I'm going to go to Bannon first in North Korea
[48:52.000 --> 48:54.000]  now
[48:54.000 --> 48:56.000]  all the things they denied
[48:58.000 --> 49:00.000]  it's all out in the open now
[49:00.000 --> 49:02.000]  and they don't know what to do
[49:04.000 --> 49:06.000]  they don't know how to respond
[49:08.000 --> 49:10.000]  so they're in full
[49:10.000 --> 49:12.000]  panic mode we guys give me another video
[49:12.000 --> 49:14.000]  unless I can't find it thank you
[49:14.000 --> 49:16.000]  this is an amazing time to be alive
[49:16.000 --> 49:18.000]  right now
[49:18.000 --> 49:20.000]  it doesn't mean we're offering some utopia
[49:20.000 --> 49:22.000]  doesn't mean what's going to come after this is going to be perfect
[49:22.000 --> 49:24.000]  but the globalist parasites
[49:24.000 --> 49:26.000]  they thought they set up a world government
[49:26.000 --> 49:28.000]  in secret
[49:28.000 --> 49:30.000]  and thought that there's no way
[49:30.000 --> 49:32.000]  that anybody
[49:32.000 --> 49:34.000]  could ever
[49:34.000 --> 49:36.000]  stop them
[49:36.000 --> 49:38.000]  and they could just sit there
[49:38.000 --> 49:40.000]  and stonewall
[49:40.000 --> 49:42.000]  the entire time
[49:42.000 --> 49:44.000]  the hoax is over
[49:44.000 --> 49:46.000]  the hoax is falling
[49:46.000 --> 49:48.000]  they don't know what to do
[49:50.000 --> 49:52.000]  and along comes Stephen Bannon
[49:52.000 --> 49:54.000]  and says we're in a fight with the new world order
[49:54.000 --> 49:56.000]  we're in a fight with globalist
[49:56.000 --> 49:58.000]  and America's coming back
[49:58.000 --> 50:00.000]  for the number one enemies the republican establishment
[50:00.000 --> 50:02.000]  who's been saying that for years
[50:02.000 --> 50:04.000]  and now we're that close to hauling them out
[50:04.000 --> 50:06.000]  and everywhere we look
[50:06.000 --> 50:08.000]  we're having victory
[50:08.000 --> 50:10.000]  so let's start here
[50:10.000 --> 50:12.000]  let's start here
[50:12.000 --> 50:14.000]  with Bannon declares war
[50:14.000 --> 50:16.000]  on republican establishment
[50:16.000 --> 50:18.000]  and Hannity is all for it
[50:18.000 --> 50:20.000]  see this is watching
[50:20.000 --> 50:22.000]  our movement of Americana
[50:22.000 --> 50:24.000]  go from being ridiculed and denied
[50:24.000 --> 50:26.000]  to now taking over the republican party
[50:26.000 --> 50:28.000]  vanquishing Hollywood
[50:28.000 --> 50:30.000]  vanquishing the NFL
[50:30.000 --> 50:32.000]  vanquishing
[50:32.000 --> 50:34.000]  and Trump's just our front man
[50:34.000 --> 50:36.000]  he falls the wayside or is killed
[50:36.000 --> 50:38.000]  we're sad that happens
[50:38.000 --> 50:40.000]  the taste of victory
[50:40.000 --> 50:42.000]  nothing succeeds
[50:42.000 --> 50:44.000]  like success
[50:44.000 --> 50:46.000]  nothing gives victory like victory
[50:50.000 --> 50:52.000]  the more you win
[50:52.000 --> 50:54.000]  the more you win
[50:54.000 --> 50:56.000]  that's why the enemy is always saying you don't have any power
[50:56.000 --> 50:58.000]  you're nothing
[50:58.000 --> 51:00.000]  telling you you're defeated to demoralize you
[51:00.000 --> 51:02.000]  the ghost to the old republic
[51:02.000 --> 51:04.000]  is rising again
[51:04.000 --> 51:06.000]  the renaissance the electricity of human freedom
[51:06.000 --> 51:08.000]  the burning in the hearts
[51:08.000 --> 51:10.000]  and minds of men and women everywhere
[51:10.000 --> 51:12.000]  here's Bannon
[51:12.000 --> 51:14.000]  basic agenda that President Trump
[51:14.000 --> 51:16.000]  ran on and won
[51:16.000 --> 51:18.000]  he carried states the republicans
[51:18.000 --> 51:20.000]  haven't carried in living memory
[51:20.000 --> 51:22.000]  Michigan, Wisconsin, Pennsylvania
[51:22.000 --> 51:24.000]  this agenda works
[51:24.000 --> 51:26.000]  the American people voted for it
[51:26.000 --> 51:28.000]  it's their responsibility by the way
[51:28.000 --> 51:30.000]  McConnell would not be a majority leader
[51:30.000 --> 51:32.000]  unless Trump in North Carolina
[51:32.000 --> 51:34.000]  in Missouri in Wisconsin
[51:34.000 --> 51:36.000]  incumbent upon them to back President Trump's
[51:36.000 --> 51:38.000]  plan but you don't see it
[51:38.000 --> 51:40.000]  what you saw what Corker said today
[51:40.000 --> 51:42.000]  is what they talk about on Capitol Hill
[51:42.000 --> 51:44.000]  that's when I left the White House remember I said
[51:44.000 --> 51:46.000]  I'm going after the republican establishment
[51:46.000 --> 51:48.000]  and we're going to go after them
[51:48.000 --> 51:50.000]  but you're picking the rock solid
[51:50.000 --> 51:52.000]  credential candidates
[51:52.000 --> 51:54.000]  we're spending a ton of time with the grassroots organizations
[51:54.000 --> 51:56.000]  to make sure that these candidates are fully vetted
[51:56.000 --> 51:58.000]  you're going to see people announced this week
[51:58.000 --> 52:00.000]  they're going to have experience in government
[52:00.000 --> 52:02.000]  you're going to see some outsiders that are authentic
[52:02.000 --> 52:04.000]  there's a beginning of the Tea Party
[52:04.000 --> 52:06.000]  when things are first getting going
[52:06.000 --> 52:08.000]  you're going to see real candidates and by the way
[52:08.000 --> 52:10.000]  they're going to take on incumbents in every state
[52:10.000 --> 52:12.000]  and they're going to take on the democrats after that
[52:12.000 --> 52:14.000]  you said in a 60 minutes interview you're a street fighter
[52:14.000 --> 52:16.000]  I'm a street fighter too
[52:16.000 --> 52:18.000]  I noticed that
[52:18.000 --> 52:20.000]  I'm not supporting any republican
[52:20.000 --> 52:22.000]  incumbent that hasn't gotten their job done
[52:22.000 --> 52:24.000]  not one Steve I refuse
[52:24.000 --> 52:26.000]  they have betrayed the American people
[52:26.000 --> 52:28.000]  they have betrayed their promises
[52:28.000 --> 52:30.000]  how do you make a promise
[52:30.000 --> 52:32.000]  that you have been in a half years and not fulfill it
[52:32.000 --> 52:34.000]  it's a lack of sense of urgency
[52:34.000 --> 52:36.000]  by the way these guys work three days a week
[52:36.000 --> 52:38.000]  the American people now are working two jobs
[52:38.000 --> 52:40.000]  now before I go back to Bannon
[52:40.000 --> 52:42.000]  I'm going to play a Marsha Blackburn clip
[52:42.000 --> 52:44.000]  she put out a video that got seen
[52:44.000 --> 52:46.000]  last time I heard millions and millions of times
[52:46.000 --> 52:48.000]  it was going completely viral
[52:48.000 --> 52:50.000]  the same thing happens to our videos all the time
[52:50.000 --> 52:52.000]  they get 20, 30 million
[52:52.000 --> 52:54.000]  they just take them off Facebook
[52:54.000 --> 52:56.000]  and a lot of times it's just Hillary
[52:56.000 --> 52:58.000]  saying black people are predators
[52:58.000 --> 53:00.000]  it's things they've done
[53:00.000 --> 53:02.000]  they don't want the public to see
[53:02.000 --> 53:04.000]  so Marsha Blackburn as you know was involved
[53:04.000 --> 53:06.000]  exposing Planned Parenthood
[53:06.000 --> 53:08.000]  the selling of baby parts that's a fact
[53:08.000 --> 53:10.000]  she put out this viral video
[53:10.000 --> 53:12.000]  got seen millions of times in one day
[53:12.000 --> 53:14.000]  on Twitter and other platforms
[53:14.000 --> 53:16.000]  and it got taken down off Twitter
[53:16.000 --> 53:18.000]  other videos have been taken down off Facebook
[53:18.000 --> 53:20.000]  I was mentioning what's happened to us
[53:20.000 --> 53:22.000]  so this is what they're scared of
[53:22.000 --> 53:24.000]  a nice clean cut good lady
[53:24.000 --> 53:26.000]  with a good background standing up against
[53:26.000 --> 53:28.000]  keeping babies alive selling their body parts
[53:28.000 --> 53:30.000]  all the things we've talked about
[53:30.000 --> 53:32.000]  so much and now it's in the Washington Post
[53:32.000 --> 53:34.000]  Streisand effect in full effect
[53:34.000 --> 53:36.000]  Twitter blocked the Congresswoman's
[53:36.000 --> 53:38.000]  anti-abortion ad over baby body parts
[53:38.000 --> 53:40.000]  but it allowed
[53:40.000 --> 53:42.000]  identical tweet
[53:42.000 --> 53:44.000]  so again they allow people
[53:44.000 --> 53:46.000]  to say they're going to kill Trump and leave that up
[53:46.000 --> 53:48.000]  but you put up a nice video
[53:48.000 --> 53:50.000]  just showing crime statistics by Muslims
[53:50.000 --> 53:52.000]  from the government
[53:52.000 --> 53:54.000]  of Sweden and you have your account
[53:54.000 --> 53:56.000]  deleted or your video deleted
[53:56.000 --> 53:58.000]  this is what they're doing this is the censorship
[53:58.000 --> 54:00.000]  and the fact is that they're taking on
[54:00.000 --> 54:02.000]  congressional candidates
[54:02.000 --> 54:04.000]  catapults her into the lead
[54:04.000 --> 54:06.000]  it blows up in their face
[54:06.000 --> 54:08.000]  people say they keep censoring us
[54:08.000 --> 54:10.000]  I'm going to leave YouTube
[54:10.000 --> 54:12.000]  and I go don't leave fight
[54:12.000 --> 54:14.000]  show it's a fraud
[54:14.000 --> 54:16.000]  show it's selective show it's discriminatory
[54:16.000 --> 54:18.000]  and we're doing it
[54:18.000 --> 54:20.000]  and we're winning
[54:20.000 --> 54:22.000]  that's what it's all about
[54:22.000 --> 54:24.000]  we're going to expose them
[54:24.000 --> 54:26.000]  if we fight them when they censor
[54:26.000 --> 54:28.000]  it'll go Streisand effect
[54:28.000 --> 54:30.000]  and blow up in their face
[54:30.000 --> 54:32.000]  and everybody knows what the Streisand effect is
[54:32.000 --> 54:34.000]  it's like a decade ago
[54:34.000 --> 54:36.000]  people were showing her big giant house
[54:36.000 --> 54:38.000]  she tried to suppress it on the internet
[54:38.000 --> 54:40.000]  so it made it the biggest story in the country
[54:40.000 --> 54:42.000]  and that's what they've done
[54:42.000 --> 54:44.000]  so let's go to the censored video
[54:44.000 --> 54:46.000]  that Twitter and others don't want you to see
[54:46.000 --> 54:48.000]  I fought
[54:48.000 --> 54:50.000]  Planned Parenthood
[54:50.000 --> 54:52.000]  God
[54:52.000 --> 54:54.000]  I shoot Skeet
[54:54.000 --> 54:56.000]  have a concealed carry permit for the gun
[54:56.000 --> 54:58.000]  that I do pack in my purse
[54:58.000 --> 55:00.000]  I believe our government
[55:00.000 --> 55:02.000]  spends too much
[55:02.000 --> 55:04.000]  grows too much
[55:04.000 --> 55:06.000]  and is bankrupting our children's future
[55:06.000 --> 55:08.000]  I believe
[55:08.000 --> 55:10.000]  in President Trump's immigration ban
[55:10.000 --> 55:12.000]  and I'll fight with him
[55:12.000 --> 55:14.000]  every step of the way
[55:14.000 --> 55:16.000]  to build that wall
[55:16.000 --> 55:18.000]  I stand for
[55:18.000 --> 55:20.000]  millions of honest Americans
[55:20.000 --> 55:22.000]  who work hard
[55:22.000 --> 55:24.000]  and they play by the rules
[55:24.000 --> 55:26.000]  and I stand for the greatest country
[55:26.000 --> 55:28.000]  the world has ever known
[55:28.000 --> 55:30.000]  I stand
[55:30.000 --> 55:32.000]  when the president walks in the room
[55:32.000 --> 55:34.000]  and yes
[55:34.000 --> 55:36.000]  I stand
[55:36.000 --> 55:38.000]  when I hear the star-spangled banner
[55:38.000 --> 55:40.000]  a great Tennessean
[55:40.000 --> 55:42.000]  who wasn't so politically
[55:42.000 --> 55:44.000]  correct himself once said
[55:44.000 --> 55:46.000]  one man with courage
[55:46.000 --> 55:48.000]  makes a majority
[55:48.000 --> 55:50.000]  courage comes in both genders
[55:50.000 --> 55:52.000]  and I'm running for the U.S. Senate
[55:52.000 --> 55:54.000]  because
[55:54.000 --> 55:56.000]  I'll fight every day
[55:56.000 --> 55:58.000]  to make our Republican majority
[55:58.000 --> 56:00.000]  act like one
[56:00.000 --> 56:02.000]  too much is at stake
[56:02.000 --> 56:04.000]  America needs a conservative
[56:04.000 --> 56:06.000]  revolution and leaders
[56:06.000 --> 56:08.000]  who are willing to fight in it
[56:08.000 --> 56:10.000]  I'm Marcia Blackburn
[56:10.000 --> 56:12.000]  that's why I'm running for the U.S. Senate
[56:12.000 --> 56:14.000]  and I would be honored
[56:14.000 --> 56:16.000]  to have your vote
[56:16.000 --> 56:18.000]  so she comes off very credible
[56:18.000 --> 56:20.000]  very mom-like, very smart, very strong
[56:20.000 --> 56:22.000]  pretty
[56:22.000 --> 56:24.000]  very well-dressed as she has a good background
[56:24.000 --> 56:26.000]  and it just drove the leftist crazy
[56:26.000 --> 56:28.000]  and they said we want this band
[56:28.000 --> 56:30.000]  everybody else can have their ads out there
[56:30.000 --> 56:32.000]  and everybody else errors them and you can see them
[56:32.000 --> 56:34.000]  but you're not allowed to see something wholesome
[56:34.000 --> 56:36.000]  and good and nice
[56:36.000 --> 56:38.000]  that's what Twitter thinks
[56:38.000 --> 56:40.000]  and so they're now going to find out
[56:40.000 --> 56:42.000]  what happens when it blows up
[56:42.000 --> 56:44.000]  in their face
[56:44.000 --> 56:46.000]  and now leaked emails to tell
[56:46.000 --> 56:48.000]  Twitter censorship of Marcia Blackburn's
[56:48.000 --> 56:50.000]  pro-life beliefs
[56:50.000 --> 56:52.000]  yes, insiders from inside Twitter
[56:52.000 --> 56:54.000]  are sick of the censorship and they're going public
[56:54.000 --> 56:56.000]  many of them are liberals but they're not
[56:56.000 --> 56:58.000]  fascist authoritarians
[56:58.000 --> 57:00.000]  who think you can just ban
[57:00.000 --> 57:02.000]  speech in America because you don't like it
[57:02.000 --> 57:04.000]  it's dangerous, I would ever ban the left speech
[57:06.000 --> 57:08.000]  this is a real revolution folks
[57:08.000 --> 57:10.000]  this is against the Republican establishment
[57:10.000 --> 57:12.000]  by a populist movement
[57:12.000 --> 57:14.000]  if the Democrats would have done this themselves
[57:14.000 --> 57:16.000]  they would be in power right now
[57:16.000 --> 57:18.000]  the people want major change
[57:18.000 --> 57:20.000]  and it's coming and it's happening
[57:20.000 --> 57:22.000]  and no amount of staged events
[57:22.000 --> 57:24.000]  no amount of Manchurian candidates
[57:24.000 --> 57:26.000]  no amount of race war funding is going to work
[57:26.000 --> 57:28.000]  people want prosperity
[57:28.000 --> 57:30.000]  and it's not that America is perfect
[57:30.000 --> 57:32.000]  but they're overthrowing it to bring in globalism
[57:32.000 --> 57:34.000]  that's why people are resisting it
[57:34.000 --> 57:36.000]  once globalism is exposed
[57:36.000 --> 57:38.000]  there's no way it's going to exist
[57:38.000 --> 57:40.000]  it's going to be a system's tax exam
[57:40.000 --> 57:42.000]  with diplomatic immunity
[57:42.000 --> 57:44.000]  now the big North Korea threat and more
[57:44.000 --> 57:46.000]  straight ahead in hour number two
[57:46.000 --> 58:14.000]  our super high quality nascent iodine is an essential mineral sourced of 99.99% ultrapure, deep earth iodine crystals
[58:14.000 --> 58:16.000]  this essential mineral is necessary
[58:16.000 --> 58:18.000]  in order to produce thyroid hormones
[58:18.000 --> 58:20.000]  which influence every cell, tissue
[58:20.000 --> 58:22.000]  and organ in the body
[58:22.000 --> 58:24.000]  with inadequate thyroid hormones
[58:24.000 --> 58:26.000]  you may experience slow metabolism
[58:26.000 --> 58:28.000]  lethargy, weight gain and overall brain fog
[58:28.000 --> 58:30.000]  survival shield x2
[58:30.000 --> 58:32.000]  and bio true selenium work together
[58:32.000 --> 58:34.000]  to support the systems in your body
[58:34.000 --> 58:36.000]  take control of your chemistry today
[58:36.000 --> 58:38.000]  with this super combo
[58:38.000 --> 58:40.000]  discover the power of survival shield x2
[58:40.000 --> 58:42.000]  and bio true selenium
[58:42.000 --> 58:44.000]  at infowarslife.com
[59:12.000 --> 59:14.000]  our world experience daytime drowsiness
[59:14.000 --> 59:16.000]  but with the rapid speed of life
[59:16.000 --> 59:18.000]  we need to be able to keep up the pace
[59:18.000 --> 59:20.000]  our natural mixture
[59:20.000 --> 59:22.000]  harnesses the power of 10 known ingredients
[59:22.000 --> 59:24.000]  to let your body relax
[59:24.000 --> 59:26.000]  and get the sleep you need
[59:26.000 --> 59:28.000]  wake up refreshed and take on the day
[59:28.000 --> 59:30.000]  infowarslife wants to bring you
[59:30.000 --> 59:32.000]  a sleep support formula
[59:32.000 --> 59:34.000]  that goes above and beyond other
[59:34.000 --> 59:36.000]  leading brands at an affordable price
[59:36.000 --> 59:38.000]  get the sleep you deserve
[59:38.000 --> 59:40.000]  and experience the power of knockout
[59:40.000 --> 59:42.000]  head on over to infowarslife.com
[59:42.000 --> 59:44.000]  and say goodbye to fatigue
[59:44.000 --> 1:00:10.000]  that's infowarslife.com
[1:00:10.000 --> 1:00:14.000]  we'll get that report lined up for you here in a minute again
[1:00:14.000 --> 1:00:16.000]  anti-fist playbook revealed
[1:00:16.000 --> 1:00:18.000]  this is a john bound report
[1:00:18.000 --> 1:00:20.000]  as we face the coming tide of violence
[1:00:20.000 --> 1:00:22.000]  that anti-fist democratic socialist and other
[1:00:22.000 --> 1:00:24.000]  treasonous groups are fomenting
[1:00:24.000 --> 1:00:26.000]  it's important to see their
[1:00:26.000 --> 1:00:28.000]  tactics for what they are
[1:00:28.000 --> 1:00:30.000]  anti-fist playbook revealed
[1:00:30.000 --> 1:00:32.000]  anti-fist playbook revealed
[1:00:32.000 --> 1:00:34.000]  anti-fist playbook revealed
[1:00:34.000 --> 1:00:36.000]  anti-fist playbook revealed
[1:00:36.000 --> 1:00:38.000]  anti-fist playbook revealed
[1:00:38.000 --> 1:00:40.000]  anti-fist playbook revealed
[1:00:40.000 --> 1:00:42.000]  anti-fist playbook revealed
[1:00:42.000 --> 1:00:44.000]  anti-fist playbook revealed
[1:00:44.000 --> 1:00:46.000]  anti-fist playbook revealed
[1:00:46.000 --> 1:00:48.000]  anti-fist playbook revealed
[1:00:48.000 --> 1:00:50.000]  anti-fist playbook revealed
[1:00:50.000 --> 1:00:52.000]  anti-fist playbook revealed
[1:00:52.000 --> 1:00:54.000]  anti-fist playbook revealed
[1:00:54.000 --> 1:00:58.000]  anti-fist playbook revealed
[1:00:58.000 --> 1:01:00.000]  anti-fist playbook revealed
[1:01:00.000 --> 1:01:02.000]  anti-fist playbook revealed
[1:01:02.000 --> 1:01:04.000]  anti-fist playbook revealed
[1:01:04.000 --> 1:01:06.000]  anti-fist playbook revealed
[1:01:06.000 --> 1:01:12.080]  rules are being applied. Rule number one, power is not what you have, but what the enemy thinks
[1:01:12.080 --> 1:01:16.400]  you have. Well, let's be clear that Antifa are not calling on the government to censor anyone.
[1:01:16.400 --> 1:01:20.960]  In fact, that they they resist the notion of turning to the government or turning to the police,
[1:01:20.960 --> 1:01:25.360]  who we've seen have been infiltrated by white supremacists who have been sympathetic to the
[1:01:25.360 --> 1:01:31.440]  court sort of returned to law and order notion of fascism. And so the idea is the real enemies of
[1:01:31.440 --> 1:01:37.040]  free speech are fascist. We've seen that historically. Number two, never go outside the expertise of
[1:01:37.040 --> 1:01:44.000]  your people. What about when an Antifa member stabbed a police horse in the neck with a knife?
[1:01:44.640 --> 1:01:52.400]  Was the horse a racist Trump supporter? Yes, so the horse. I didn't know a horse is to vote.
[1:01:53.280 --> 1:01:58.640]  You see, the horse is a tool of the police and police under the Trump administration have been
[1:01:58.640 --> 1:02:05.120]  increasingly intolerant, militarized. Number three, whenever possible, go outside the expertise of
[1:02:05.120 --> 1:02:11.040]  the enemy. You are you are an easy person to display. I mean, no, I'm an easy person to target by
[1:02:11.040 --> 1:02:16.320]  fascists. That's why this organization called Far Left Watch is going through my tweets, finding
[1:02:16.320 --> 1:02:19.600]  tweets from three weeks back. And I don't know if you've gone through my Twitter. Number four,
[1:02:19.600 --> 1:02:26.640]  make the enemy live up to its own book of rules. Number five, ridicule is man's most potent weapon.
[1:02:26.640 --> 1:02:31.920]  As someone who has cops in my family, I'm offended by that because the people I know who are cops,
[1:02:31.920 --> 1:02:37.920]  they have kids. Are they immortal? Number six, a good tactic is one your people enjoy. They'll
[1:02:37.920 --> 1:02:42.640]  keep doing it without urging and come back to do more. Hey, my dear, dear friends,
[1:02:45.200 --> 1:02:54.400]  no Trump, no KKK, no fascist USA. Number seven, a tactic that drags on too long becomes a drag.
[1:02:54.400 --> 1:03:00.480]  Don't become old news. Number eight, keep the pressure on, never let up. As blood is actually
[1:03:00.480 --> 1:03:09.120]  reflected in Las Vegas's rising sun, she decides to manipulate the pain, the anger, and directed
[1:03:09.120 --> 1:03:17.040]  toward lawful gun owners. She tweets, imagine the deaths if the shooter had a silencer,
[1:03:17.040 --> 1:03:26.240]  which the NRA wants to make easier. Hillary, there's a reason you lost the election. As Americans
[1:03:26.240 --> 1:03:34.160]  come together, you seek to divide, not sympathize, not empathize, showing just how hollow a tin man
[1:03:34.160 --> 1:03:41.600]  you are. Number nine, the threat is usually more terrifying than the thing itself. Number 10, the
[1:03:41.600 --> 1:03:47.760]  major premise for tactics is the development of operations that will maintain a constant pressure
[1:03:47.760 --> 1:03:53.200]  upon the opposition. Number 11, if you push a negative hard enough, it will push through and
[1:03:53.200 --> 1:03:58.960]  become a positive. Violence from the other side can win the public to your side because the public
[1:03:58.960 --> 1:04:06.480]  sympathizes with the underdog. Every few minutes, somebody gets killed and a certain percentage
[1:04:06.480 --> 1:04:12.400]  are black. Yeah, and nine out of 10 blacks are being killed by blacks. And these Soros handled
[1:04:12.400 --> 1:04:17.520]  groups, their answer is banned guns. Always hear that, you know, the NRA is the new clan because
[1:04:17.520 --> 1:04:22.640]  black people are getting shot in areas where they've banned the guns. Nine out of 10 blacks that are
[1:04:22.640 --> 1:04:27.520]  shot in this country, look it up, are shot by other black people. Number 12, the price of a
[1:04:27.520 --> 1:04:33.520]  successful attack is a constructive alternative. Never let the enemy score points because you're
[1:04:33.520 --> 1:04:39.440]  caught without a solution to the problem. Number 13, pick the target, freeze it, personalize it,
[1:04:39.440 --> 1:04:45.600]  and polarize it. White people, white people, not me, because you know what out there? In this,
[1:04:45.600 --> 1:04:50.000]  in the premises of the university, I deal with microaggressions on a daily as do other people
[1:04:50.000 --> 1:04:54.240]  of color. And you have people out there wearing hats like those, y'all don't say s**t about it.
[1:04:54.960 --> 1:04:58.800]  Because I have a right to. Make America great again, really. Enjoy all national,
[1:04:58.800 --> 1:05:03.760]  beautiful beauty products with EmRick's Essentials. We are proud to bring you a collection of organic
[1:05:03.760 --> 1:05:11.520]  based household products at infowarstore.com, including non-nano SPF 30 zinc oxide sunscreen,
[1:05:11.520 --> 1:05:18.800]  deat free herbal bug spray, concentrated peppermint mouthwash, unscented body wash, tea tree shampoo,
[1:05:18.800 --> 1:05:23.840]  and long lasting natural deodorant. EmRick's Essentials is free of chemicals and toxins
[1:05:23.840 --> 1:05:28.720]  that may harm your body. We carefully select pure and simple ingredients to create formulas
[1:05:28.720 --> 1:05:34.320]  that are certified USDA made with organic. Our mission is to offer you everyday organic
[1:05:34.320 --> 1:05:39.680]  household products to enhance your life. Truly feel the difference by going organic natural
[1:05:39.680 --> 1:05:45.280]  without compromising on quality. Feel good about using EmRick's Essentials. Start saving money and
[1:05:45.280 --> 1:05:50.800]  stop exposing yourself and your family to toxic ingredients. Visit infowarstore.com and learn
[1:05:50.800 --> 1:06:00.800]  more about the new EmRick's Essentials line of organic products. That's infowarstore.com.
[1:06:21.200 --> 1:06:28.960]  Well, riding shotgun with us this hour is one of my great advisors that I consult
[1:06:28.960 --> 1:06:32.960]  here live on air and sometimes privately about what he thinks. He's a former army intelligence
[1:06:32.960 --> 1:06:38.080]  officer that came's highly recommended by smart folks currently in government. But also, I've
[1:06:38.080 --> 1:06:43.520]  been having him on the show for a good 15 years. I was first reading some of his near future novels
[1:06:43.520 --> 1:06:49.920]  20 years ago, really charting different scenarios of America taking back the country peacefully
[1:06:49.920 --> 1:06:55.360]  or violently during a civil war in a fight against globalism. And so now we're beyond
[1:06:55.360 --> 1:07:02.720]  near future. We are in the substantive future here and affecting the battle space of the
[1:07:02.720 --> 1:07:08.400]  near future and medium term future as well. So we'll talk to James,
[1:07:08.400 --> 1:07:12.160]  Leslie Rawls joining us. He also has one of the biggest survival blogs out there is the
[1:07:12.160 --> 1:07:20.000]  survival blog.com. We're going to him in just a moment. But it is unbelievable that they've come
[1:07:20.000 --> 1:07:24.400]  out in Newsweek with high level government counterterrorism experts saying, you better
[1:07:24.400 --> 1:07:32.160]  watch out because it looks like ISIS might be involved in this. And then you've got other
[1:07:32.160 --> 1:07:38.720]  articles with them changing the timeline saying, okay, he shot six, seven, eight minutes before a
[1:07:38.720 --> 1:07:43.760]  security guard and other stuff went on. Folks, we've got the videos. I've had one of the former
[1:07:43.760 --> 1:07:48.400]  leaders of SEAL Team Six, top ballistics guy in federal court, and he's a federal air marshal.
[1:07:48.400 --> 1:07:53.520]  And it goes on and on. Craig Sawyer on, he's got TV shows on history and discovery channel
[1:07:53.520 --> 1:07:58.960]  where he's a ballistics expert. And he says clearly there's two guns going off the first two and a
[1:07:58.960 --> 1:08:05.040]  half minutes, which is what witnesses say. And it's down the road in another hotel where witnesses
[1:08:05.040 --> 1:08:11.760]  said there was glass shell casings, people being shot. So there's a cover up. And the media is
[1:08:11.760 --> 1:08:17.280]  trying to walk it back right now. And their new thing is to say that I said, nobody died there.
[1:08:17.280 --> 1:08:23.600]  I've never said that. I watched the footage when it came out. I'm not watching it again.
[1:08:24.400 --> 1:08:29.760]  But it's real people. It was really happened. It was very graphic. And as a father, I don't
[1:08:29.760 --> 1:08:33.680]  like watching it because even though the girls were 16, 18 years old, I got a 13 year old
[1:08:33.680 --> 1:08:38.560]  daughter and it just tears my guts out to watch them dying. Because there's video people dying.
[1:08:38.560 --> 1:08:42.320]  And there's no faking that. There's not enough Academy Awards in the world to fake it.
[1:08:43.120 --> 1:08:46.480]  You see that light go out of somebody's eyes while they're coughing blood up. It's not funny.
[1:08:47.200 --> 1:08:56.000]  Now, there is so much going on on that front. And I've got sources that say they basically know
[1:08:56.000 --> 1:09:01.120]  what's going on, but they can't talk to me now. They just put out the leads that
[1:09:01.120 --> 1:09:05.200]  had ISIS connections, Middle East connections. He did go to the Middle East. We now learn.
[1:09:05.200 --> 1:09:08.880]  We told you that last Monday. We told you first his girlfriend went.
[1:09:08.880 --> 1:09:12.480]  We told you about the receipts and we told you about them there three days before
[1:09:12.480 --> 1:09:19.760]  and a woman visiting folks. We broke it all. We broke it all. And by we broke it all,
[1:09:19.760 --> 1:09:25.600]  we had a lot of the original first leads and then 4chan and the autistic army. And that's
[1:09:25.600 --> 1:09:29.520]  what they call themselves. They call themselves autistic in a nice way, meaning they're so obsessed
[1:09:29.520 --> 1:09:35.440]  with the knowledge that 4chan and the internet and Reddit, the Donald get half the credit.
[1:09:36.160 --> 1:09:39.600]  And then the other researchers on the web and ensure info wars, but it's not about credit.
[1:09:40.640 --> 1:09:43.440]  The media takes me on as the lead elephant to try to discredit me.
[1:09:44.880 --> 1:09:48.240]  And then it tries to attach things to what I've said to cover up the real evidence.
[1:09:48.240 --> 1:09:52.880]  So we're going to cover this now because James Wesley Rawls has been predicting that this is
[1:09:52.880 --> 1:09:57.680]  all coming. The Antifa would quickly morph into a merger with Islamic groups and become
