[00:00:01.033 --> 00:00:10.420]  Prepare yourself for a talk radio experience like no other.
[00:24:07.985 --> 00:24:09.325]  We are under the microscope.
[00:24:09.325 --> 00:24:13.347]  Red light cameras and speed cameras are in place to make money, not for your safety.
[00:24:13.347 --> 00:24:16.989]  But you don't have to be defenseless against these unconstitutional devices.
[00:24:16.989 --> 00:24:20.270]  Have a fighting chance with SprayYourPlate.com's Photoblocker.
[00:24:20.270 --> 00:24:26.473]  When properly applied, this revolutionary product has proven itself to be the most effective device available against traffic cameras.
[00:24:26.473 --> 00:24:28.114]  Invisible to the naked eye, your license
[00:24:28.154 --> 00:24:28.594]  I think so.
[00:24:59.019 --> 00:24:59.880]  Less is more.
[00:24:59.880 --> 00:25:04.524]  I want you to think of Life Change T as, well, a 2008 Ferrari 612.
[00:25:04.524 --> 00:25:10.548]  The Ferrari 612 is a 2-door, 4-passenger luxury car that gives an exploding 540 horsepower through its 6-liter V12.
[00:25:10.548 --> 00:25:13.431]  It has a top speed of 199 miles per hour and can accelerate 0-60 in about 4 seconds.
[00:25:18.655 --> 00:25:25.760]  Life Change Tea will accelerate your life into feeling more energy, losing weight, and cleansing toxins out of your body so you'll live longer.
[00:25:25.760 --> 00:25:26.541]  And guess what?
[00:25:26.541 --> 00:25:30.664]  You can accelerate your life without a Ferrari 612 sticker price of $318,000.
[00:25:30.664 --> 00:25:37.169]  You can buy Green Tea for less, but unfortunately, it's just another daily driver with no performance.
[00:25:37.369 --> 00:25:40.612]  So for just about a dollar a day, you can drive the Ferrari of T's.
[00:25:40.612 --> 00:25:42.213]  Don't be fooled by size.
[00:25:42.213 --> 00:25:44.935]  Check our website out at GetTheTee.com.
[00:25:44.935 --> 00:25:47.037]  That's GetTheTee.com.
[00:25:47.037 --> 00:25:47.918]  Or you can call us at 928-308-0408.
[00:25:47.918 --> 00:25:48.659]  Again, that's 928-308-0408.
[00:25:48.659 --> 00:25:49.659]  Remember, life changed tee.
[00:25:49.659 --> 00:25:50.260]  Less is more.
[00:25:50.260 --> 00:25:50.480]  Thank you.
[00:25:57.446 --> 00:26:03.469]  Rapid industrialization has resulted in environmental pollution and its curse on world health is staggering.
[00:26:03.469 --> 00:26:07.791]  We live in a toxic world that is bombarded by seven new chemicals each day.
[00:26:07.791 --> 00:26:15.475]  The human body is amazing and efficient in design, but because of the polluted world in which we live, is unable to remove all toxins.
[00:26:15.475 --> 00:26:16.216]  The solution?
[00:26:16.216 --> 00:26:20.178]  Detoxification integrated with Electro Chi Premier Energy Foot Spa.
[00:26:20.438 --> 00:26:29.527]  The LectroChi Premier Energy Foot Spa helps to aid in cleansing the body of harmful toxins while energizing and oxygenating your entire body at the cellular level.
[00:26:29.527 --> 00:26:37.675]  Detoxification works with the LectroChi Premier Energy Foot Spa because it addresses the needs of individual cells, the building blocks of human life.
[00:26:37.675 --> 00:26:42.159]  For mental clarity, restored vitality, a stronger immune system, clear skin,
[00:26:42.419 --> 00:26:43.879]  You're locked into the Alex Jones Show!
[00:27:16.076 --> 00:27:17.957]  Alright, folks, we're back.
[00:27:17.957 --> 00:27:21.920]  Now, before we go to calls, I want to play two more big clips.
[00:27:21.920 --> 00:27:24.221]  Um, actually, three more big clips.
[00:27:24.221 --> 00:27:31.165]  We're talking Obama, and I really want people to understand that he has been hyped as the next coming.
[00:27:31.165 --> 00:27:42.492]  But he, again, is looking to create a world order, and I'm going to have to apologize in advance for the world order clip, because the guy repeats it a couple times, and we really don't want to edit it out, so, you know, hopefully you'll get what he's saying there.
[00:27:42.492 --> 00:27:44.954]  He's talking about creating a world order.
[00:27:45.768 --> 00:27:51.331]  But before that, I want you to hear Farrakhan actually call him the Messiah.
[00:27:51.331 --> 00:27:56.374]  We're going to play those clips and then a third clip of how he might be able to build this world order.
[00:27:56.374 --> 00:28:01.056]  So let's play the Messiah clip and then the Obama world order clip.
[00:28:01.056 --> 00:28:01.456]  Let's do it.
[00:28:01.456 --> 00:28:10.321]  That God is going to use to bring about universal change.
[00:28:10.321 --> 00:28:11.842]  And that is why Barack
[00:28:13.166 --> 00:28:27.134]  He has captured the youth and he has involved young people in a political process that they didn't care anything about.
[00:28:27.134 --> 00:28:29.875]  That's a sign.
[00:28:29.875 --> 00:28:35.679]  When the Messiah speaks, the youth will hear.
[00:28:42.209 --> 00:28:44.130]  Oh my God, the Messiah speaks.
[00:28:44.130 --> 00:28:45.191]  He calls him the Messiah.
[00:28:45.191 --> 00:28:47.613]  He is the Messiah.
[00:28:47.613 --> 00:28:58.399]  No, he's a regular human being who was put forth by internationalists, mostly the banking elite, as the new front man for globalization.
[00:28:58.399 --> 00:29:02.562]  Let's play the clip of him on Letterman talking about building a world order.
[00:29:03.747 --> 00:29:14.613]  The way we're going to win over the long term is not just militarily, we've got to give them a stake in creating the kind of world order that I think all of us would like.
[00:29:14.613 --> 00:29:17.055]  Alright, so how do you create a world order?
[00:29:17.055 --> 00:29:25.720]  Well, there's something called the Hegelian dialectic that is used again and again and again by those who want to get their agendas passed through.
[00:29:25.720 --> 00:29:31.663]  What they do is they create a crisis and then they offer you two solutions which are similar, both of which
[00:29:32.671 --> 00:29:36.253]  I would start with talking to the American people and talking to the world.
[00:30:00.450 --> 00:30:00.730]  What?!
[00:30:00.730 --> 00:30:01.110]  Play it again.
[00:30:01.110 --> 00:30:01.571]  Play it again.
[00:30:01.571 --> 00:30:02.271]  We gotta play it again.
[00:30:02.271 --> 00:30:02.911]  I mean, I can't... Listen.
[00:30:19.241 --> 00:30:23.962]  How does he know there's going to be a crisis that we don't even know about on the 21st or 22nd?
[00:30:23.962 --> 00:30:31.464]  That's not like saying there's going to be a crisis throughout the presidency, the Middle East is out of control, we're going to have to contain it in the next few months.
[00:30:31.464 --> 00:30:32.604]  No, he calls the date.
[00:30:32.604 --> 00:30:33.164]  Why is that?
[00:30:33.164 --> 00:30:34.805]  Let's play it.
[00:30:34.805 --> 00:30:45.067]  I would start with talking to the American people and talking to the world and conveying a new image of American leadership, a new image of America's role in the world.
[00:30:45.999 --> 00:30:53.441]  The problem will always be there and there's going to be a crisis come along on the 21st or 22nd of January that we don't even know about right now.
[00:30:53.441 --> 00:30:54.201]  All right.
[00:30:54.201 --> 00:30:57.362]  So again, you know, why is he calling this date?
[00:30:57.362 --> 00:30:58.542]  God forbid he's right.
[00:30:58.542 --> 00:31:03.003]  Or God forbid something happens a week later, you know, or a month later.
[00:31:03.003 --> 00:31:08.165]  You know, I can only assume that this is going to be an announcement of financial doom.
[00:31:08.165 --> 00:31:12.846]  It's here, folks, that $700 billion bailout that the media is still saying, oh, they've only given away
[00:31:13.346 --> 00:31:14.487]  $350 billion.
[00:31:14.487 --> 00:31:20.029]  I've noticed Barney Frank on TV lying and saying the next $350 billion has to go for something else.
[00:31:20.029 --> 00:31:22.850]  No, they gave them over $8 trillion.
[00:31:22.850 --> 00:31:24.891]  Look it up in Bloomberg, okay?
[00:31:24.891 --> 00:31:26.031]  $8 trillion.
[00:31:26.031 --> 00:31:26.431]  Can you even?
[00:31:26.431 --> 00:31:29.252]  $8 trillion, folks.
[00:31:29.252 --> 00:31:29.712]  And guess what?
[00:31:29.712 --> 00:31:31.053]  You're not going to get any of it.
[00:31:31.053 --> 00:31:33.554]  They're not going to loan you money for a home.
[00:31:33.554 --> 00:31:35.395]  Your banks are still going to go under.
[00:31:35.395 --> 00:31:41.277]  The same criminals are just going to take it and reinvest it in infrastructure and offshore banking accounts, and they're going to keep it.
[00:31:41.917 --> 00:31:43.938]  Alright, I've ranted long enough.
[00:31:43.938 --> 00:31:46.279]  It is time to do what I said I would do, and take calls.
[00:31:46.279 --> 00:31:48.440]  Let's go to our first caller, Jason.
[00:31:48.440 --> 00:31:51.942]  Jason, what's on your mind?
[00:31:51.942 --> 00:31:54.023]  Still with us, Jason?
[00:31:54.023 --> 00:31:55.784]  Alright, uh, Pat's on air.
[00:31:55.784 --> 00:31:57.805]  Let's go with Pat.
[00:31:57.805 --> 00:31:58.406]  Hello!
[00:31:58.406 --> 00:31:59.546]  How you doing, Pat?
[00:31:59.546 --> 00:32:03.868]  Hi, um, yeah, I, um, there are two things I want to say.
[00:32:03.868 --> 00:32:08.771]  First of all, Farrakhan, I think he may not have been really referring to Obama as the Messiah.
[00:32:09.682 --> 00:32:13.584]  But, um, you know, Allah, that's his messiah.
[00:32:13.584 --> 00:32:14.165]  I don't know.
[00:32:14.165 --> 00:32:20.068]  He calls him... They didn't play the end of the clip, but he literally calls Obama the messiah.
[00:32:20.068 --> 00:32:21.509]  I mean, it's pretty outrageous.
[00:32:21.509 --> 00:32:24.891]  Look, again, I like some of the things the Farrakhan's done for civil rights.
[00:32:24.891 --> 00:32:27.773]  I like how he's able to organize that many people.
[00:32:27.773 --> 00:32:31.295]  But what's really upsetting is that he's behind this guy.
[00:32:31.295 --> 00:32:32.856]  Again, think about it.
[00:32:32.856 --> 00:32:34.737]  This is a guy who was a state senator.
[00:32:35.217 --> 00:32:35.497]  I agree.
[00:32:35.497 --> 00:32:36.977]  What's your second point, ma'am?
[00:33:00.778 --> 00:33:12.561]  A few weeks ago, Alex and one of the experts were talking about economics, and they were saying that they were speculating what the crisis might be after his immediate inauguration.
[00:33:12.561 --> 00:33:14.602]  And he mentioned the Bankers' Holiday.
[00:33:14.602 --> 00:33:25.345]  A man, my brother, was talking, he was saying that back in FDR day, they declared Bankers' Holiday, but the people, when they declared it, the people never got their money back.
[00:33:25.345 --> 00:33:28.506]  And that's my, that's what I want you guys to clarify, if you can.
[00:33:29.190 --> 00:33:33.471]  Does bank holiday mean that they were free to temporarily or will it be indefinitely?
[00:33:33.471 --> 00:33:35.672]  Will you never get your money?
[00:33:35.672 --> 00:33:40.013]  It could be restructured where if you have debt they're gonna make you pay it back.
[00:33:40.013 --> 00:33:44.914]  Well it could be restructured so if you have debt they'll still make you pay it back but they won't be liable for what's in the bank.
[00:33:44.914 --> 00:33:47.815]  I mean banks are only insured for a hundred thousand dollars anyway.
[00:33:47.815 --> 00:33:56.958]  So all these people that are upper to middle class that have actually saved money, anything over a hundred grand, they'll take off the top and then through, you know, backtalk and
[00:33:57.518 --> 00:34:00.981]  You know, simple legislation or possibly executive orders.
[00:34:00.981 --> 00:34:07.085]  Again, a lot of people are saying that Obama's camp is going to come with these executive orders out of the gate in the first couple days.
[00:34:07.085 --> 00:34:08.627]  That could be what we see.
[00:34:08.627 --> 00:34:15.132]  And it could be a new shutdown, where they literally take everything and are totally not liable for any of it.
[00:34:15.132 --> 00:34:18.394]  I mean, God knows what these guys are going to do.
[00:34:18.394 --> 00:34:25.980]  I'd point to G. Edward Griffin's book, The Creature from Jekyll Island, where literally, I think the second chapter is, the name of the game is bailout.
[00:34:26.541 --> 00:34:29.545]  And it's very alarming that when they restructured
[00:34:30.660 --> 00:34:34.101]  Everything for the Federal Reserve, they used a bailout to do so.
[00:34:34.101 --> 00:34:35.942]  So what are they restructuring it for now?
[00:34:35.942 --> 00:34:41.563]  It might be the creation of, you know, what they want, a more internationally controlled bank.
[00:34:41.563 --> 00:34:45.505]  So will they take people's money and never give it back?
[00:34:45.505 --> 00:34:49.146]  I'm in Austin, and they were talking about the tax returns.
[00:34:49.146 --> 00:34:58.169]  In other words, if the government owes you money on your tax returns, giving the people IOUs, and then saying that those IOUs would not even be able, you couldn't say you had an IOU for
[00:34:59.749 --> 00:35:02.932]  Uh, you know, they overcharged you and your check was gonna be $2,000.
[00:35:02.932 --> 00:35:04.533]  They give you the IOU for $2,000.
[00:35:04.533 --> 00:35:07.755]  Now, they still haven't paid you next year for your taxes.
[00:35:07.755 --> 00:35:12.419]  You can't use that money towards your taxes that you may owe the next year.
[00:35:12.419 --> 00:35:18.704]  So that sounds like a total scam to me, where they're just gonna take your tax money, and an exorbitant amount of your tax money, and never return it.
[00:35:18.704 --> 00:35:20.025]  Thank you for the call, Pat.
[00:35:20.025 --> 00:35:21.486]  I hope I was insightful.
[00:35:21.486 --> 00:35:24.288]  Alright, um, jeez.
[00:35:24.288 --> 00:35:27.190]  Let's, uh, let's go to the next caller, Captain Kook.
[00:35:28.504 --> 00:35:29.725]  Geez.
[00:35:29.725 --> 00:35:31.265]  Yes, Captain Kook.
[00:35:31.265 --> 00:35:32.886]  How you doing, Jason?
[00:35:32.886 --> 00:35:35.587]  9-11 was an inside job.
[00:35:35.587 --> 00:35:40.450]  Democrats and Republicans are two wings on the same bird flying in the wrong direction.
[00:35:40.450 --> 00:35:41.670]  And you're absolutely right.
[00:35:41.670 --> 00:35:52.255]  As a Christian minister, sir, I would have to say that the church is a whole lot less insightful than some of the other groups, and that's kind of a sad coming
[00:35:53.616 --> 00:35:59.863]  Alright, I gotta let you go just because, you know, I got a phone going on in the background and that's on your end, but let me speak to that.
[00:35:59.863 --> 00:36:10.736]  First of all, the originators of this movement, many of them were Christian conservatives and I thank them for that, and many of the members of this movement still are Christian conservatives, and before the internet age,
[00:36:11.681 --> 00:36:22.428]  They took the mantle by showing videos such as, you know, John Birch Society videos or Alex Jones videos in their ministries and churches and waking other people up.
[00:36:22.428 --> 00:36:25.490]  I don't think the problem itself is Christianity.
[00:36:25.490 --> 00:36:26.891]  I happen to think it's a great religion.
[00:36:26.891 --> 00:36:28.472]  It teaches a lot of great morals.
[00:36:28.472 --> 00:36:32.175]  However, it has been completely hijacked.
[00:36:32.175 --> 00:36:40.861]  Completely hijacked by people like Pat Robertson, the 700 Club, Rush Limbaugh, and these people that are fronts for the internationalists.
[00:36:41.792 --> 00:36:42.453]  So we're going to come back.
[00:36:42.453 --> 00:36:43.794]  We're going to take more calls.
[00:36:43.794 --> 00:36:44.995]  It is the Alex Jones Show.
[00:36:44.995 --> 00:36:45.895]  I am Jason Bermas.
[00:36:45.895 --> 00:36:46.916]  Infowars.com.
[00:36:46.916 --> 00:36:47.957]  PrisonPlanet.com.
[00:36:57.478 --> 00:37:00.980]  Before you throw away your used batteries, you need to listen to this.
[00:37:00.980 --> 00:37:02.900]  Now, going green can save money.
[00:37:02.900 --> 00:37:08.463]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[00:37:08.463 --> 00:37:16.486]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[00:37:16.486 --> 00:37:25.790]  Invented by legendary audio genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives.
[00:37:26.030 --> 00:37:26.530]  That's right.
[00:37:55.930 --> 00:37:56.711]  We're good to go.
[00:38:14.008 --> 00:38:22.433]  Individual retirement accounts and most 401Ks, 403Bs, SEFs and other retirement plans can be rolled over into self-directed accounts using gold and silver.
[00:38:22.433 --> 00:38:27.456]  There are definitely some do's and don'ts with this rollover process and that's where Midas Resources comes in.
[00:38:27.456 --> 00:38:33.659]  Call us at 1-866-323-5665 and we can help you with this process.
[00:38:33.659 --> 00:38:39.102]  History has shown that metals will maintain your buying power even if other financial assets are failing.
[00:38:39.102 --> 00:38:43.585]  It's not a question of if you'll need precious metals in your portfolio, it's a question of when.
[00:38:44.065 --> 00:38:49.375]  So whether you're planning for an economic rainy day or a Category 5 hurricane, the solution is the same.
[00:38:49.375 --> 00:38:50.236]  Call us today at 1-866-323-5665.
[00:38:50.236 --> 00:38:50.296]  1-866-323-5665.
[00:38:57.663 --> 00:39:01.105]  Have you ever wanted to generate your own supply of electrical power?
[00:39:01.105 --> 00:39:04.907]  If so, this is going to be the most important message you will ever hear.
[00:39:04.907 --> 00:39:11.211]  Solar power generators are now available from Solutions from Science, one of GCN's oldest and most trusted sponsors.
[00:39:11.211 --> 00:39:15.854]  These emergency backup systems provide life-saving electrical power when you need it most.
[00:39:15.854 --> 00:39:21.877]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity for free.
[00:39:21.877 --> 00:39:25.279]  It's like having an electric power plant running quietly in your own home.
[00:39:25.279 --> 00:39:25.960]  Run sump pumps.
[00:39:26.340 --> 00:39:29.921]  Shortwave radios, computers, and even keep food from spoiling.
[00:39:29.921 --> 00:39:36.163]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never have to suffer through painful power outages again.
[00:39:36.163 --> 00:39:41.124]  When the power goes out, you'll be ready with the solar power generator from Solutions from Science.
[00:39:41.124 --> 00:39:45.466]  Go to MySolarBackup.com and get off the grid today.
[00:39:45.466 --> 00:39:48.347]  That's MySolarBackup.com today.
[00:39:48.347 --> 00:39:48.947]  Or call 877-327-0365.
[00:39:48.947 --> 00:39:49.007]  877-327-0365.
[00:39:49.007 --> 00:39:49.327]  Don't wait.
[00:39:56.429 --> 00:39:57.570]  Call today!
[00:39:57.570 --> 00:40:08.155]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:40:08.155 --> 00:40:09.576]  Garden in a Can!
[00:40:09.576 --> 00:40:13.718]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:40:13.718 --> 00:40:15.719]  Garden in a Can is ready when you are.
[00:40:15.719 --> 00:40:18.500]  Plant them now or store them for when you really need them.
[00:40:18.500 --> 00:40:24.343]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds, along with detailed planting
[00:40:24.343 --> 00:40:24.544]  We're good.
[00:40:28.149 --> 00:40:29.570]  Garden in a Can.
[00:40:29.570 --> 00:40:30.790]  It's that simple.
[00:40:30.790 --> 00:40:33.171]  Fresh, healthy, easy.
[00:40:33.171 --> 00:40:37.513]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:40:37.513 --> 00:40:39.093]  Ready when you are.
[00:40:39.093 --> 00:40:43.155]  Stop procrastinating and start preparing with Garden in a Can.
[00:40:43.155 --> 00:40:46.656]  For more details visit GardenInACan.com today.
[00:40:46.656 --> 00:40:49.237]  That's GardenInACan.com or call 866-598-7396 866-598-7396
[00:40:59.955 --> 00:41:02.437]  Thank you for listening to GCN.
[00:41:02.437 --> 00:41:07.903]  Be sure to visit GCNlive.com today.
[00:41:07.903 --> 00:41:09.825]  Raging for the truth.
[00:41:09.825 --> 00:41:11.867]  Exposing corruption.
[00:41:11.867 --> 00:41:15.550]  Dismantling the false left-right paradigm.
[00:41:15.550 --> 00:41:17.092]  He's Alex Jones.
[00:41:18.684 --> 00:41:20.065]  Alright, folks, we are back.
[00:41:20.065 --> 00:41:21.226]  It is the Alex Jones Show.
[00:41:21.226 --> 00:41:21.907]  I'm sitting in.
[00:41:21.907 --> 00:41:23.709]  I am Jason Bermas, a filmmaker.
[00:41:23.709 --> 00:41:41.685]  You can get my films, Fabled Enemies, Loose Change, Final Cut, over at InfoWars.com, as well as Alex's films, such as Endgame, American Dictators, which I think is a very important and under-seen film, 9-11 Chronicles, Truth Rising, a great film, Martial Law, really the list goes on.
[00:41:41.685 --> 00:41:44.948]  And he carries a lot of other great books and videos that are not his own.
[00:41:45.948 --> 00:41:49.151]  So please go to Infowars.com and support us.
[00:41:49.151 --> 00:41:51.573]  And remember folks, I mean, we give away a lot here.
[00:41:51.573 --> 00:41:54.075]  You know, you can listen to the show every day for free.
[00:41:54.075 --> 00:41:55.617]  We give away the free podcast.
[00:41:55.617 --> 00:41:58.239]  All the films are on Google Video.
[00:41:58.239 --> 00:42:03.363]  I mean, we're trying to reach out to as many people as possible and that's why this show isn't about the left or right.
[00:42:03.363 --> 00:42:05.505]  It's about right and wrong.
[00:42:05.505 --> 00:42:10.670]  And that's why we're going after Obama the same way that we went after the Bush administration.
[00:42:10.670 --> 00:42:12.852]  Because people like Zygmunt Brzezinski
[00:42:13.237 --> 00:42:19.702]  Who are on his campaign team are the same people that created Al-Qaeda and brag about it in books like the Grand Chess Board.
[00:42:19.702 --> 00:42:28.648]  You know, this is a Trilateral Commission guy that's been around forever, an advisor to Carter, um, you know, I mean, he's been at National Security Council.
[00:42:28.648 --> 00:42:32.471]  Talk about, talk about an insider among insiders.
[00:42:32.471 --> 00:42:40.437]  I mean, I think, uh, you know, the best analogy I've ever seen is that this guy is like something out of a Bond film.
[00:42:40.437 --> 00:42:42.158]  He's like, yes, well,
[00:42:42.642 --> 00:42:54.009]  You know, I do not know if this will enhance the conspiracy or not, but obviously there are always over-the-table and under-the-table dealings.
[00:42:54.009 --> 00:42:58.091]  But the Bilderberg Group and the Trilateral Commission are over-the-table, so obviously nothing is going on.
[00:42:58.091 --> 00:42:58.591]  Really?
[00:42:58.591 --> 00:43:08.457]  Most people don't know about the Bilderberg Group, Mr. Brzezinski, because it's not reported on by your precious Washington Times and your New York Times and your
[00:43:09.451 --> 00:43:11.191]  You know, Chicago Tribune.
[00:43:11.191 --> 00:43:11.911]  Why is that?
[00:43:11.911 --> 00:43:17.993]  Or when it is reported, it's reported as a conspiracy theory and the kooks have something else to cling on to.
[00:43:17.993 --> 00:43:29.495]  Well, we need to get past that childlike mentality and expose it for what it really is, an arm of the super elite making decisions without us.
[00:43:29.495 --> 00:43:36.096]  And having their little puppets come and meet with them so they can instruct them how the rest of it will go.
[00:43:36.096 --> 00:43:37.076]  Just like when Obama
[00:43:37.938 --> 00:43:39.838]  and Hillary met them this year.
[00:43:39.838 --> 00:43:40.598]  Look into it, guys.
[00:43:40.598 --> 00:43:43.679]  I mean, it's blatantly obvious to anybody with half a brain.
[00:43:43.679 --> 00:43:45.579]  All right, let's continue with the calls.
[00:43:45.579 --> 00:43:47.980]  Let's go to Jason.
[00:43:47.980 --> 00:43:51.700]  Jason, are you with us?
[00:43:51.700 --> 00:43:52.801]  I'm sorry, we'll go to Anthony.
[00:43:52.801 --> 00:43:54.761]  Anthony, are you with us?
[00:43:54.761 --> 00:43:55.841]  Hello, Jason?
[00:43:55.841 --> 00:43:57.181]  Yes, sir.
[00:43:57.181 --> 00:43:59.682]  Hi, this is Anthony Ilona.
[00:43:59.682 --> 00:44:06.023]  I just wanted to, first of all, thank you for all the documentaries you put out on the loose change product.
[00:44:07.563 --> 00:44:12.846]  The other ones you were involved with, the 9-11 Chronicles, you know, excellent.
[00:44:12.846 --> 00:44:14.326]  And also big up to Alex Jones.
[00:44:14.326 --> 00:44:15.267]  He's been an excellent documentary.
[00:44:15.267 --> 00:44:17.288]  He's an asset to this country, obviously.
[00:44:17.288 --> 00:44:19.889]  Just a little wonder about the Cynthia McKinney incident.
[00:44:19.889 --> 00:44:22.210]  As you know, Cynthia McKinney has been in the news recently.
[00:44:22.210 --> 00:44:24.611]  She's been hit by a boat from Israel.
[00:44:24.611 --> 00:44:25.772]  Well, why don't you tell people about that?
[00:44:25.772 --> 00:44:32.215]  Because a lot of people don't understand that McKinney was on a diplomatic mission to really just help and aid the Palestinians.
[00:44:32.215 --> 00:44:32.815]  And what happened?
[00:44:33.755 --> 00:44:37.679]  Right, and she gets attacked just like anybody that's really trying to make a positive change.
[00:44:37.679 --> 00:44:41.844]  They get attacked by, of course, the establishment that doesn't want a positive change.
[00:44:41.844 --> 00:44:44.566]  They want their change to take place.
[00:44:44.566 --> 00:44:51.854]  But I was wondering, you know, during Cynthia McKinney's presidential election, I was just wondering, you know, Alex Jones' point of view on that, because I really didn't hear a lot.
[00:44:52.746 --> 00:44:53.687]  Sure.
[00:44:53.687 --> 00:44:55.808]  You know, Jones, probably.
[00:44:55.808 --> 00:44:57.088]  I don't know who he voted for.
[00:44:57.088 --> 00:45:03.592]  I don't want to get into it, but there was a few candidates out there that kind of support the Patriot movement.
[00:45:03.592 --> 00:45:08.374]  Unfortunately for him, Cynthia McKinney is too much of a gun grabber in his opinion.
[00:45:08.374 --> 00:45:15.918]  I feel like she does have that blind spot, but overall I was willing to give her my vote instead of, say, maybe a Chuck Baldwin.
[00:45:16.298 --> 00:45:19.020]  Who is a little bit more towards the religious right.
[00:45:19.020 --> 00:45:21.781]  Maybe Jones voted for him, I don't know.
[00:45:21.781 --> 00:45:27.325]  Bob Barr, who again is a little more towards the religious right, possibly voted for him.
[00:45:27.325 --> 00:45:28.525]  I'm not quite sure.
[00:45:28.525 --> 00:45:31.267]  You know, he likes Cynthia McKinney on a lot of the issues.
[00:45:31.267 --> 00:45:34.089]  I really wish that Ron Paul had run as independent.
[00:45:34.089 --> 00:45:36.410]  I think a Ron Paul-McKinney ticket would have been perfect.
[00:45:36.410 --> 00:45:44.415]  I mean, Ron Paul went in front of the House this week and explained to Congress how Israel funded and created Hamas.
[00:45:44.415 --> 00:45:44.635]  I mean,
[00:45:45.319 --> 00:45:48.221]  It doesn't get much more truth-telling than that, you know.
[00:45:48.221 --> 00:45:54.364]  And, you know, we didn't really tell you, but the way that McKinney was attacked on this mission is she was rammed with an Israeli boat.
[00:45:54.364 --> 00:45:59.607]  And, you know, whether they tried not to try to sink her, they definitely tried to thwart her mission.
[00:45:59.607 --> 00:46:01.288]  So I'm a big fan of McKinney.
[00:46:01.288 --> 00:46:02.488]  I hope that she continues on.
[00:46:02.488 --> 00:46:07.391]  I hope that she maybe takes a seat in Congress or a state Senate spot somewhere down the line.
[00:46:07.391 --> 00:46:10.353]  But I don't think that Jones was willing to give her his vote.
[00:46:10.353 --> 00:46:12.334]  But he's a huge supporter of her ideas.
[00:46:13.021 --> 00:46:15.962]  Yeah, the Senator McKinney-Ron Paul vote would be a blessing.
[00:46:15.962 --> 00:46:20.082]  I think that would have a bigger movement than Obama any day, hands down.
[00:46:20.082 --> 00:46:24.643]  I think it would have been a lot harder to suppress the way that they suppressed the Ron Paul movement.
[00:46:24.643 --> 00:46:33.965]  I mean, when you saw those primaries, and I thank you for the call, you saw literally, you know, dozens and then hundreds and then thousands of Ron Paul supporters showing up.
[00:46:33.965 --> 00:46:37.286]  I mean, Ron Paul was able to hold his own convention.
[00:46:38.587 --> 00:46:41.609]  You know, as the Republicans held theirs.
[00:46:41.609 --> 00:46:42.910]  I mean, what does that say?
[00:46:42.910 --> 00:46:45.831]  Or was that... I think it might have actually been during the Democratic National Convention.
[00:46:45.831 --> 00:46:47.152]  But he held his own convention.
[00:46:47.152 --> 00:46:48.713]  He had thousands of people show up.
[00:46:48.713 --> 00:46:50.734]  He had speakers like Jesse Mentera.
[00:46:50.734 --> 00:46:57.638]  He's still on the House floor defending the Constitution and Bill of Rights and telling the truth.
[00:46:57.638 --> 00:47:06.303]  Again, you know, you didn't see Ron Paul on CNN being covered, you know, talking about how Israel funded and created Hamas to be the enemy.
[00:47:06.966 --> 00:47:15.475]  Okay, you only saw it on C-SPAN Live once, and maybe if you're savvy with a computer, you can pull it up on YouTube, and we may do that in the next hour.
[00:47:15.475 --> 00:47:17.517]  Alright, let's jump to Tony.
[00:47:17.517 --> 00:47:19.359]  He's got something to say about Barack.
[00:47:19.359 --> 00:47:19.880]  Tony, what's up?
[00:47:21.125 --> 00:47:23.306]  Thank you, Alex, for all you do.
[00:47:23.306 --> 00:47:30.348]  If people are pinning their hopes on the Supreme Court taking a look at this citizenship thing, I don't think it's going to happen.
[00:47:30.348 --> 00:47:34.629]  I think they're going to blow it off and ignore us like they do on everything else these days.
[00:47:34.629 --> 00:47:40.751]  And what you're referring to, because a lot of people don't know, whether or not Barack Obama is actually a U.S.
[00:47:40.751 --> 00:47:45.913]  natural-born citizen, because the controversy is still there, whether or not the man was born in Kenya.
[00:47:45.913 --> 00:47:49.814]  His grandmother wrote in her book that he indeed was born
[00:47:50.314 --> 00:47:53.616]  Well, that's true.
[00:47:53.616 --> 00:48:00.058]  I mean, why would he seal all his records?
[00:48:00.058 --> 00:48:01.939]  Because he was going out to pay for his college.
[00:48:01.939 --> 00:48:07.922]  He was going to school as a foreign student and getting a free ride off of the taxpayer.
[00:48:07.922 --> 00:48:11.403]  But I think things are going to really turn south in this country.
[00:48:11.403 --> 00:48:14.605]  I think we might have one shot at patriots.
[00:48:14.605 --> 00:48:19.287]  Well, what do you think of this crisis that now Biden and
