[00:00:00.029 --> 00:00:00.271]  What's up?
[00:53:55.054 --> 00:54:00.498]  Well, of course it's completely and absolutely phony.
[00:54:01.616 --> 00:54:05.139]  Now I want to get into the gun news when we start the next hour.
[00:54:05.139 --> 00:54:15.327]  There's quite a bit of that, how it ties into Virginia.
[00:54:15.327 --> 00:54:20.571]  But something I want to get into right now is some very good news.
[00:54:20.571 --> 00:54:27.737]  Young people in major polls, I've got several articles on it, are against abortion of any type.
[00:54:27.737 --> 00:54:28.838]  And it's accelerating.
[00:54:30.233 --> 00:54:35.416]  The younger people get into teenage years of over 70% in most polls.
[00:54:35.416 --> 00:54:37.037]  Some are in the 60s.
[00:54:37.037 --> 00:54:46.682]  And it's women, girls that are leading the charge in that, which shows all their propaganda is backfiring.
[00:54:46.682 --> 00:54:49.663]  And so the attempt to say, oh, it's fun to kill babies, try it out.
[00:54:49.663 --> 00:54:51.504]  Well, that's not going to work either.
[00:54:51.504 --> 00:54:55.627]  So there's a real revulsion happening.
[00:54:55.627 --> 00:54:57.888]  And that's the blind spot these Satanists have.
[00:54:59.721 --> 00:55:01.202]  And there's another big article, Bloomberg.
[00:55:01.202 --> 00:55:03.583]  The year socialism became a dirty word again.
[00:55:03.583 --> 00:55:09.005]  It was a bad year to be any kind of socialist in Europe.
[00:55:09.005 --> 00:55:15.007]  And then it just goes through how socialism is imploding and people are turning against globalism in general.
[00:55:15.007 --> 00:55:21.870]  We will get more into that coming up in the next hour.
[00:55:21.870 --> 00:55:22.570]  Please remember
[00:55:24.073 --> 00:55:28.915]  That we have put up part one of the Clinton Body Count, a documentary film.
[00:55:28.915 --> 00:55:30.396]  It's about 30 minutes long.
[00:55:30.396 --> 00:55:32.977]  It's extremely powerful.
[00:55:32.977 --> 00:55:35.178]  Looks like something you'd see on HBO.
[00:55:35.178 --> 00:55:36.158]  Gregg Reese put it together.
[00:55:36.158 --> 00:55:37.979]  Everybody really admires his work.
[00:55:37.979 --> 00:55:39.320]  It's featured at Bandot Video.
[00:55:39.320 --> 00:55:40.961]  It just went live last night.
[00:55:40.961 --> 00:55:45.603]  Please send it out to everyone you know, because you may know all about this, but a lot of other people don't.
[00:55:45.603 --> 00:55:48.504]  It ties into Jeffrey Epstein.
[00:55:48.504 --> 00:55:52.586]  And again, either tonight or tomorrow, we're going to release the latest Epstein information.
[00:55:53.410 --> 00:56:03.137]  And a big special report and then the big vaccine special report proving it's deadly by design and so critical to get out to everyone you know, especially those that have children.
[00:56:03.137 --> 00:56:04.698]  Now they're coming with forced inoculation.
[00:56:04.698 --> 00:56:09.961]  That'll be out Christmas morning and share the truth Christmas morning.
[00:56:09.961 --> 00:56:14.764]  Email it, text message it, Facebook it, YouTube it, get it out to everyone.
[00:56:14.764 --> 00:56:21.889]  And you won't get shadow banned for it because or probably won't because it's not Alex Jones in the reports and it's powerful.
[00:56:21.889 --> 00:56:23.170]  Rob has been working on it for three weeks.
[00:56:29.838 --> 00:56:32.820]  Also, the Attorney General is talking about the criminal activity of Soros.
[00:56:32.820 --> 00:56:34.461]  That is a major sea change.
[00:56:34.461 --> 00:56:41.846]  We will get into that and the latest on the coup against the President in the next hour.
[00:56:41.846 --> 00:56:48.531]  Please don't forget that you can still order Christmas presents and anywhere in the continental U.S.
[00:56:50.851 --> 00:56:54.793]  You will get it unless you're in a few mountain regions, but that isn't the reason to order this stuff.
[00:56:54.793 --> 00:56:57.654]  You should do it for your own Christmas gift of your own health.
[00:56:57.654 --> 00:57:08.198]  Everybody's seen how much healthier and focused I am, and it's because I'm taking the bio-tricillinium, I'm taking the body's ultimate turmeric formula, I'm taking the X2 and X3, I'm taking the vitamin mineral fusion, I'm taking the fish oil.
[00:57:08.198 --> 00:57:10.439]  In fact, I've forgotten today, I want to take some krill oil.
[00:57:10.439 --> 00:57:11.379]  I took fish oil last night.
[00:57:11.379 --> 00:57:12.739]  It's so good for your heart.
[00:57:12.739 --> 00:57:13.420]  That's a new bottle.
[00:57:13.420 --> 00:57:14.500]  Where's my bottle I've been eating out of?
[00:57:14.500 --> 00:57:15.941]  Here it is.
[00:57:15.941 --> 00:57:17.221]  These are my little babies right here.
[00:57:20.083 --> 00:57:23.505]  I'm gonna have two of these bad boys right now.
[00:57:23.505 --> 00:57:26.346]  Mmm.
[00:57:26.346 --> 00:57:28.667]  Highest quality krill oil you're gonna find.
[00:57:28.667 --> 00:57:32.449]  And what it does for your brain, what it does for your body, is spectacular.
[00:57:32.449 --> 00:57:37.311]  I take it before I go to sleep, too.
[00:57:37.311 --> 00:57:37.851]  60% off right now.
[00:57:37.851 --> 00:57:39.272]  Gonna sell out quick.
[00:57:39.272 --> 00:57:41.753]  InfoWarsTore.com's one of the biggest specials of the year.
[00:57:41.753 --> 00:57:44.294]  Double page reappointment, free shipping, and it's gonna end soon.
[00:57:44.294 --> 00:57:45.335]  InfoWarsTore.com.
[00:57:48.317 --> 00:57:51.739]  InfoWars has delivered.
[00:57:51.739 --> 00:57:57.182]  InfoWars has come through time and time and time and time again.
[00:57:57.182 --> 00:58:04.206]  At that critical, game-changing moment, we have come through.
[00:58:04.206 --> 00:58:12.671]  And that means myself, the other hosts, the journalists, the researchers, the writers, the crew, down to the janitor, down to the bookkeeper,
[00:58:13.892 --> 00:58:15.673]  There is no top, there is no bottom.
[00:58:15.673 --> 00:58:19.734]  We are a family in this fight, ladies and gentlemen.
[00:58:19.734 --> 00:58:21.614]  And the stakes have never been higher.
[00:58:21.614 --> 00:58:23.795]  That's why the Globals want to take us out of the game.
[00:58:23.795 --> 00:58:27.716]  Only you keep InfoWars in the game.
[00:58:27.716 --> 00:58:29.236]  You are the InfoWar.
[00:58:29.236 --> 00:58:42.280]  And now, this Christmas, and coming up to the end of the year, is the time to spend your money at InfoWarStore.com to fund us into this next critical year of 2020 while getting great products that make your life and your family's life a lot better.
[00:58:42.721 --> 00:58:44.149]  Huge sales right now.
[00:58:44.149 --> 00:58:46.562]  Now's the time to shop at m4store.com.
[00:58:52.259 --> 00:58:53.920]  Owl Killer in New Jersey.
[00:58:53.920 --> 00:58:54.500]  You're on the air.
[00:58:54.500 --> 00:58:55.080]  Go ahead.
[00:58:55.080 --> 00:58:57.842]  Alex, hey, I just want to say it's great to be back once again.
[00:58:57.842 --> 00:59:00.923]  And I've never gotten to do this, but I'm going to give you a shout out for your product.
[00:59:00.923 --> 00:59:06.206]  So that Super Blue Fluoride Free Toothpaste and that Super Blue Whitening Toothpaste is on another level.
[00:59:06.206 --> 00:59:11.368]  I use the one I use the Super Blue in the morning and then the whitening at night and it absorbs into your gum.
[00:59:11.368 --> 00:59:14.170]  It is by far the best product that I've ever used in my life.
[00:59:14.170 --> 00:59:16.831]  I literally just took turbo force on my way to the gym right now.
[00:59:17.031 --> 00:59:25.113]  I've had four shoulder surgeries and a back surgery, and that body has made me feel better than any type of physical therapy or anything that I've ever done in my life.
[00:59:25.113 --> 00:59:26.453]  So I just want to get that out of the way.
[00:59:26.453 --> 00:59:27.393]  Support this man.
[00:59:27.393 --> 00:59:28.874]  Everything that he exposed.
[00:59:28.874 --> 00:59:30.294]  Nobody knew about Bohemian Grove.
[00:59:30.294 --> 00:59:31.414]  Nobody knew about Epstein.
[00:59:31.414 --> 00:59:32.715]  Nobody knew about Bilderberg.
[00:59:32.715 --> 00:59:35.375]  Nobody called 9-11 before it happened in July 2001.
[00:59:35.375 --> 00:59:37.216]  Go look it up yourself.
[00:59:37.216 --> 00:59:38.376]  Well, we try our best, sir.
[00:59:38.376 --> 00:59:39.596]  They definitely want us off the air.
[00:59:39.596 --> 00:59:40.496]  Without you, we're not here.
[00:59:40.496 --> 00:59:42.397]  But yeah, these are all great products, so thank you, sir.
[00:59:51.852 --> 00:59:54.694]  You're listening to The Alex Jones Show.
[00:59:54.694 --> 01:00:10.422]  Once psychopaths would hide in the dark and grab people out of cars.
[01:00:10.422 --> 01:00:19.427]  Now, they call it an art project that admits it's all about Satanism and death.
[01:00:25.604 --> 01:00:32.629]  By the entire power structure, ladies and gentlemen.
[01:00:32.629 --> 01:00:35.131]  That's what it's all about.
[01:00:35.131 --> 01:00:37.533]  Searing our conscience.
[01:00:37.533 --> 01:00:42.356]  Having all the simulated murder on TV and then when they do it for real, we don't care anymore.
[01:00:42.356 --> 01:00:44.498]  Assaulting our psyche.
[01:00:44.498 --> 01:00:49.661]  Sean Bowne filed a powerful report on this and we'll come back and get the latest assault of the second amendment.
[01:00:49.661 --> 01:00:50.542]  Here's Sean Bowne's report.
[01:00:51.109 --> 01:01:00.454]  We were missing something in our life, like, we didn't know what, and we started kind of exploring, and there were people on my side of the family that were like, you need to open your heart to Christ.
[01:01:00.454 --> 01:01:06.038]  And that means, you know, just asking Him and not opening your heart, you're not going to get an answer.
[01:01:06.038 --> 01:01:11.321]  You have to open your heart and open your mind to receiving Him.
[01:01:11.321 --> 01:01:12.902]  And when we did that, it was like,
[01:01:14.082 --> 01:01:14.742]  I knew it was true.
[01:01:14.742 --> 01:01:17.843]  Well, it's going to get a lot better, but a lot of the churches are corrupt.
[01:01:17.843 --> 01:01:22.544]  The devil sends his people in there to do bad things to you, to turn you off to Christ.
[01:01:22.544 --> 01:01:23.344]  That's not Christ.
[01:01:23.344 --> 01:01:24.825]  Christ talked about that extensively.
[01:01:24.825 --> 01:01:31.686]  Pope Francis is taking major new steps to open up the Roman Catholic Church's handling of alleged sexual abuse by priests.
[01:01:31.686 --> 01:01:38.268]  The Vatican has announced that clergy abuse cases will no longer be handled as so-called pontifical secrets.
[01:01:38.268 --> 01:01:41.969]  Officials say that will allow bishops to cooperate more openly with police
[01:01:42.629 --> 01:01:44.191]  And alleged victims.
[01:01:44.191 --> 01:01:47.814]  Just go directly to God, and it just gets stronger, it just gets better.
[01:01:47.814 --> 01:01:53.700]  The church has faced challenges over the centuries, and the latest could be one of its biggest.
[01:01:53.700 --> 01:01:55.161]  Abandonment.
[01:01:55.161 --> 01:02:00.486]  Studies show almost 6 in 10 millennials raised in the church have left.
[01:02:00.486 --> 01:02:06.452]  The background radiation of God's transmission is strong, but it doesn't force its way.
[01:02:07.912 --> 01:02:09.573]  The enemy forces its way in.
[01:02:09.573 --> 01:02:18.738]  You argue that evangelicals like yourself may like the president's platform, but you think he's grossly immoral.
[01:02:18.738 --> 01:02:25.262]  You described him as a near-perfect example of a human being who is morally lost and confused.
[01:02:25.262 --> 01:02:30.145]  He's abused his authority for personal gain, betrayed his constitutional oath.
[01:02:30.865 --> 01:02:40.798]  Other members of the evangelical community, including Billy Graham, your founder's son, have denounced this.
[01:02:40.798 --> 01:02:43.241]  Is the call for President Trump's removal growing?
[01:02:43.945 --> 01:02:44.485]  I don't know.
[01:02:44.485 --> 01:02:51.691]  I mean, in one sense, my call for his removal was on the order of hyperbole.
[01:02:51.691 --> 01:03:01.598]  In this regard, the odds of that happening either by election or Senate are actually probably fairly slim at this point.
[01:03:01.598 --> 01:03:06.441]  What I'm really arguing in the piece, fundamentally, is that the president is unfit for office.
[01:03:06.441 --> 01:03:08.282]  Now, that may be a distinction without a difference.
[01:03:10.504 --> 01:03:18.569]  But once you're aware of that, you can then, with your will, your consciousness, that's free will, tune to the channel.
[01:03:18.569 --> 01:03:24.153]  Even if you're in solitary confinement, being tortured, you can tune that out and tune right to Christ.
[01:03:24.153 --> 01:03:25.854]  And that's the secret.
[01:03:25.854 --> 01:03:27.555]  They train you to think third dimensional.
[01:03:27.555 --> 01:03:33.639]  You've got to go to a church, you've got to go to a leader, a priest, who then, on average, is a Satanist.
[01:03:34.463 --> 01:03:41.365]  In searing, damning language, the grand jury report revealed the dark secrets of the Catholic Church in Pennsylvania.
[01:03:41.365 --> 01:03:46.946]  Priests were raping little boys and girls, and the men of God who were responsible for them did nothing.
[01:03:46.946 --> 01:03:48.206]  They hid it all.
[01:03:48.206 --> 01:03:56.668]  It was child sexual abuse, including rape, committed by grown men.
[01:03:56.668 --> 01:03:57.168]  Priests
[01:03:58.775 --> 01:03:59.996]  against children.
[01:03:59.996 --> 01:04:05.258]  The report found over a thousand child victims identified in the church's own records.
[01:04:05.258 --> 01:04:10.340]  The alleged crimes often described as inappropriate contact or boundary issues.
[01:04:10.340 --> 01:04:19.164]  It names more than 300 predator priests in six dioceses from one end of the state to the other, home to more than 1.7 million Catholics.
[01:04:19.164 --> 01:04:24.987]  And make you think that you found Christ so they can mislead you so you turn against Christ and don't believe in Christ.
[01:04:24.987 --> 01:04:26.608]  That's the devil's biggest trick and I would say
[01:04:28.328 --> 01:04:31.630]  80% of the churches in the world now, in big industrialized areas, are globalist-run.
[01:04:31.630 --> 01:04:34.472]  The World Council of Churches is run by the Rockefellers.
[01:04:34.472 --> 01:04:38.514]  And they're either worldly, or they're secret atheists or leftists who went to the seminary.
[01:04:38.514 --> 01:04:39.854]  That's all been admitted.
[01:04:39.854 --> 01:04:41.475]  But then the higher-up ones are Satanists.
[01:04:41.475 --> 01:04:43.156]  People like the Pope and his deputy Pope.
[01:04:43.156 --> 01:04:43.897]  They're not Catholics.
[01:04:43.897 --> 01:04:45.437]  They're not Christians.
[01:04:45.437 --> 01:04:47.078]  And that's their plan.
[01:04:47.078 --> 01:04:48.119]  That's how they mislead you.
[01:04:48.119 --> 01:04:52.501]  And Christ spent most of his time looking at the Pharisees and saying, they're the ones misleading you.
[01:04:52.501 --> 01:04:54.582]  They're not the real leaders.
[01:04:54.582 --> 01:04:55.903]  They are the synagogue of Satan.
[01:04:58.561 --> 01:05:00.962]  We're closing out the year 2019.
[01:05:00.962 --> 01:05:05.104]  I don't have to tell you that 2020 is going to be make it or break it.
[01:05:05.104 --> 01:05:08.366]  Not just for Infowars, not just for America, but the whole world.
[01:05:08.366 --> 01:05:14.028]  We are in a battle between the forces of globalism that want a post-human world and those that want a pro-human world.
[01:05:14.028 --> 01:05:16.449]  We're in a fight between Satan and Christ.
[01:05:16.449 --> 01:05:18.870]  And it's being played out amongst us mortals.
[01:05:20.271 --> 01:05:22.313]  It's being directed from on high.
[01:05:22.313 --> 01:05:28.317]  And I'm just telling the listeners of this broadcast, without you, we're going to lose this fight.
[01:05:28.317 --> 01:05:33.561]  I need all of you to realize how important you are and how important InfoWars is and what we've done together.
[01:05:33.561 --> 01:05:45.350]  And to just take stock and take measure here at the end of the year and think about what you're going to do, whether supporting InfoWars or buying products from us or starting your own show, just whatever you do, take action now.
[01:05:45.350 --> 01:05:46.471]  History is happening.
[01:05:47.212 --> 01:05:49.256]  Please do your Christmas shopping.
[01:05:49.256 --> 01:05:51.961]  Please do your New Year's shopping at InfoWarsTour.com.
[01:05:51.961 --> 01:05:52.903]  We've got the best products.
[01:05:52.903 --> 01:05:54.888]  You're only helping the globalists if you don't do it.
[01:05:54.888 --> 01:05:55.148]  Thank you.
[01:06:57.153 --> 01:07:02.136]  The clock is ticking.
[01:07:02.136 --> 01:07:07.439]  The globalists are scientifically moving against us.
[01:07:07.439 --> 01:07:12.002]  Now, I've probably told this story a hundred times.
[01:07:12.002 --> 01:07:13.863]  It's definitely approaching that.
[01:07:13.863 --> 01:07:24.209]  And I'm going to tell it again, not because I have lack of news, because if you understand this, you understand the globalist mindset and how they're targeting everyone.
[01:07:27.383 --> 01:07:28.304]  Thank you for joining us again.
[01:07:28.304 --> 01:07:33.688]  We're into the second hour of the Alex Jones Show.
[01:07:33.688 --> 01:07:53.181]  A program that is dreaded, that is hated, that is reviled, that is lied about, that is demonized by the establishment, by the corrupt powers in control of this planet, by the countless twisted minions who serve the fraud.
[01:07:53.181 --> 01:07:53.842]  And why is that?
[01:07:55.919 --> 01:07:57.721]  Because I'm authentic.
[01:07:57.721 --> 01:08:00.363]  My crew is authentic.
[01:08:00.363 --> 01:08:02.265]  We're genuine.
[01:08:02.265 --> 01:08:03.045]  We're real.
[01:08:03.045 --> 01:08:03.686]  It's not a game.
[01:08:03.686 --> 01:08:04.627]  It's not a joke.
[01:08:04.627 --> 01:08:05.567]  We're not putting on airs.
[01:08:05.567 --> 01:08:11.993]  We're just real people who know what we're talking about and that work hard in defense of liberty, who are committed.
[01:08:11.993 --> 01:08:17.378]  And it's the journey of fighting corruption that has been so empowering.
[01:08:17.378 --> 01:08:20.881]  But the corrupt think cheating and stealing and lying is going to get them ahead.
[01:08:22.423 --> 01:08:27.405]  Now, many years ago, I was on an airplane flying to New York City to be on The View.
[01:08:27.405 --> 01:08:32.866]  They invited me back, but I didn't go.
[01:08:32.866 --> 01:08:37.287]  Beer on those harpies is a joke.
[01:08:37.287 --> 01:08:42.789]  And I was sitting next in first class to this individual.
[01:08:42.789 --> 01:08:43.749]  I said, I've seen you before.
[01:08:43.749 --> 01:08:46.570]  And he goes, yeah, I'm the head of this big bank.
[01:08:46.570 --> 01:08:47.571]  And he knew who I was.
[01:08:47.571 --> 01:08:48.631]  He'd been visiting his dad.
[01:08:50.674 --> 01:08:58.122]  He's a former army general in a nursing home in San Antonio.
[01:08:58.122 --> 01:09:01.746]  And we talked off and on for the three-hour flight.
[01:09:01.746 --> 01:09:06.631]  We talked more intensely the last hour.
[01:09:06.631 --> 01:09:12.477]  And towards the end, he said, listen, people adapt to being slaves.
[01:09:17.523 --> 01:09:18.564]  And he said, is this off record?
[01:09:18.564 --> 01:09:20.505]  I'm not going to tell you this if it's off record.
[01:09:20.505 --> 01:09:22.067]  I mean, obviously you can say what I tell you.
[01:09:22.067 --> 01:09:26.310]  It's not going to matter, but just don't say who I am and I'll tell you this.
[01:09:26.310 --> 01:09:39.241]  And he was very arrogant about it and very, you know, trying to size me up, like project that he was powerful and dominant and the boss.
[01:09:39.241 --> 01:09:40.702]  And he said, you don't get it.
[01:09:40.702 --> 01:09:43.244]  You think they adapt and overcome like the Marines.
[01:09:46.007 --> 01:09:46.627]  No, no.
[01:09:46.627 --> 01:09:51.389]  People adapt to being slaves.
[01:09:51.389 --> 01:09:55.550]  And we're in full control.
[01:09:55.550 --> 01:09:59.552]  And technocrats are going to take over all the governments.
[01:09:59.552 --> 01:10:13.897]  Well, that was about 10 years before at Davos they actually said with Zuckerberg and Bloomberg and Xi Jinping and Juncker and all of them and Gordon Brown that
[01:10:14.841 --> 01:10:19.425]  We're going to get rid of governments entirely and have the EU appoint leaders of governments.
[01:10:19.425 --> 01:10:22.228]  And that we are technocrats and want a global technocracy.
[01:10:22.228 --> 01:10:30.255]  What an incredible statement of planetary world government.
[01:10:30.255 --> 01:10:33.718]  But it's true that if we submit to them
[01:10:35.822 --> 01:10:58.084]  And if we don't fight back, and we just give in to the poison, and just accept that we're all going to die early of cancer, and all going to have neurological disorders, and our IQ is going to go straight down, and that humans are obsolete, then if we just give in to it, and just accept it, then we are evolving, devolving, adapting to our own destruction.
[01:10:58.084 --> 01:11:00.286]  That's not improvising, that's not overcoming.
[01:11:05.418 --> 01:11:09.521]  But if you now look all these years later, they didn't believe that humanity could rally.
[01:11:09.521 --> 01:11:11.984]  They didn't believe in human empowerment.
[01:11:11.984 --> 01:11:15.266]  But we only need a few percentage points to understand what's happening to defeat them.
[01:11:15.266 --> 01:11:17.929]  And we've got way more than that.
[01:11:17.929 --> 01:11:20.090]  And so now they could never see Hillary being defeated.
[01:11:20.090 --> 01:11:25.095]  They could never see all over the world populists winning election after election.
[01:11:25.095 --> 01:11:30.039]  And as they take away those elections, people demand even more destruction of the globalist system.
[01:11:30.039 --> 01:11:33.622]  And here's this big, long Bloomberg report.
[01:11:35.452 --> 01:11:41.634]  From yesterday, the year socialism became a dirty word again.
[01:11:41.634 --> 01:11:59.800]  It's an eight-page article, and it says the technocrats of Europe, who were so cool just a few years ago, are now hated, and no matter where they are, they're being thrown out, and people that had accepted socialism as the future now are rejecting it everywhere.
[01:12:04.991 --> 01:12:07.952]  They're losing everywhere where there's a real election.
[01:12:07.952 --> 01:12:13.533]  And the people now, you know, I told this story a couple years ago.
[01:12:13.533 --> 01:12:23.716]  My parents were in England and multiple times when they heard they were from Texas, the taxi driver said, Oh, Alex Jones, we love him.
[01:12:23.716 --> 01:12:24.216]  You know him.
[01:12:24.216 --> 01:12:26.476]  And when they'd say, well, that's our son.
[01:12:26.476 --> 01:12:28.077]  Well, then everything was free.
[01:12:28.077 --> 01:12:28.997]  It happened in France.
[01:12:31.308 --> 01:12:34.351]  Now that's not me here going, oh look, I'm so cool.
[01:12:34.351 --> 01:12:39.215]  I'm saying that's a gauge.
[01:12:39.215 --> 01:12:45.320]  And I know a lot of people that live over in the UK, when they tried to stop Brexit the last four years, it only pissed people off more.
[01:12:45.320 --> 01:12:48.362]  And I predicted all of that.
[01:12:48.362 --> 01:12:52.486]  That oh, they're going to hold it back and not give it to them, just like they never voted to enter the EU.
[01:12:52.486 --> 01:12:56.729]  So the same tyrants are going to try to block all of that.
[01:12:56.729 --> 01:12:58.511]  And that's just going to enrage people more.
[01:12:59.568 --> 01:13:05.534]  Because this is a long-term fight, and once people get into fighting, it's kind of like hiking.
[01:13:05.534 --> 01:13:07.155]  The first few times you do it, you get sore.
[01:13:07.155 --> 01:13:09.758]  Pretty soon you catch yourself hiking 10 miles, 15 miles, loving it.
[01:13:09.758 --> 01:13:11.620]  You're addicted to it.
[01:13:11.620 --> 01:13:14.643]  It's like fighting, you get addicted to that.
[01:13:14.643 --> 01:13:20.448]  Once you get into overcoming them, and you adapt to winning instead of adapting to be a loser,
[01:13:21.280 --> 01:13:22.060]  It's incredible.
[01:13:22.060 --> 01:13:25.823]  So see, the world is telling you to adapt to being a loser.
[01:13:25.823 --> 01:13:28.624]  That's how you get patted on the head, but that's a false currency.
[01:13:28.624 --> 01:13:31.866]  You don't go anywhere with that except more slavery.
[01:13:31.866 --> 01:13:40.671]  You need to adapt to being a winner, and that starts with not letting them grind you down, and not submitting to them, and in little ways sabotaging them.
[01:13:40.671 --> 01:13:46.094]  Whether it's sticking an InfoWars sticker in a bathroom stall, or calling into a talk show, or speaking out at your church.
[01:13:49.360 --> 01:14:00.751]  Or buying a product at Infowarsstore.com, or praying to God at night, or running for political office, or just being a good dad or mom.
[01:14:00.751 --> 01:14:03.614]  Not buying from the globalist corporations.
[01:14:03.614 --> 01:14:04.915]  That's how you change the world.
[01:14:04.915 --> 01:14:11.382]  And you read this big long article, I could do the whole show just on this, and they admit they're being routed.
[01:14:19.025 --> 01:14:23.047]  Because you see, the world was asleep.
[01:14:23.047 --> 01:14:25.769]  And so that banker could make fun of everybody when they were asleep.
[01:14:25.769 --> 01:14:28.190]  But see, they're not asleep now.
[01:14:28.190 --> 01:14:30.892]  You may have masses of people that are basically gone.
[01:14:30.892 --> 01:14:33.853]  We're very sad for them.
[01:14:33.853 --> 01:14:37.635]  We're going to triage them, but we're moving forward.
[01:14:37.635 --> 01:14:39.997]  The whole article goes through it.
[01:14:39.997 --> 01:14:43.078]  It was a bad year to be any kind of socialist in Europe.
[01:14:43.078 --> 01:14:46.960]  The decline has been long and agonizing for the once dominant force, but in 2019,
[01:14:48.763 --> 01:14:56.510]  Falling popularity reached new depths and raised questions over whether reinvention could lead to revival.
[01:14:56.510 --> 01:14:57.270]  It's globalism.
[01:14:57.270 --> 01:14:59.072]  It's establishmentism.
[01:14:59.072 --> 01:15:01.454]  Everybody's done with it.
[01:15:01.454 --> 01:15:04.657]  A decade ago, the prime ministers of Britain, Spain, Greece, and even Hungary
[01:15:05.367 --> 01:15:07.369]  We're from the center left.
[01:15:07.369 --> 01:15:12.033]  Many went on to swiftly lose power, but then socialist governments emerged in France and Italy.
[01:15:12.033 --> 01:15:15.617]  Now the political brand looks like an anachronism.
[01:15:15.617 --> 01:15:18.519]  But really it's open borders, Soros, globalism.
[01:15:18.519 --> 01:15:22.263]  And then it goes through how they're losing on every front.
[01:15:22.263 --> 01:15:25.366]  We'll talk more about this with Dr. Steve Pachinic.
[01:15:25.366 --> 01:15:28.108]  Coming up, I want to hit the gun control too.
[01:15:28.108 --> 01:15:30.371]  And the fake numbers they're putting out there.
[01:15:31.661 --> 01:15:38.567]  And more, and I also want to give you a little prelude to what's coming up on the Jeffrey Epstein special.
[01:15:38.567 --> 01:15:41.769]  It's going to be new revelations, really a big deal.
[01:15:41.769 --> 01:15:47.313]  And that's either going to be tonight, it'll be released, or it'll be tomorrow morning at implowars.com forward slash show.
[01:15:47.313 --> 01:15:50.576]  And of course, band.video.
[01:15:50.576 --> 01:15:52.938]  We have the new film, The Clinton Body Count, out.
[01:15:52.938 --> 01:15:54.399]  It's live right now.
[01:15:54.399 --> 01:15:54.960]  It's free.
[01:15:54.960 --> 01:15:55.340]  Please spread it.
[01:15:56.238 --> 01:15:59.260]  We can all agree these are troubled times, right?
[01:15:59.260 --> 01:16:02.162]  So do you know who's on your wireless network?
[01:16:02.162 --> 01:16:09.366]  Whether it's a big company selling your data or a foreign hacker, if you're not protected, everybody sees your information.
[01:16:09.366 --> 01:16:13.148]  That's why you need Flash Routers, a custom Wi-Fi router.
[01:16:13.268 --> 01:16:13.568]  We're good.
[01:16:30.234 --> 01:16:35.116]  And unlocks powerful router management tools to let you take total control of your network.
[01:16:35.116 --> 01:16:37.997]  Call or click FlashRouters today at 1-866-509-5817 or FLASHROUTERS.COM.
[01:16:37.997 --> 01:16:39.458]  That's 1-866-509-5817 or FLASHROUTERS.COM.
[01:16:39.458 --> 01:16:44.420]  Protect your wireless home network today with FlashRouters.
[01:16:55.580 --> 01:17:01.345]  Finally, there's a way for you to get into the blockchain, the hottest financial sector without all the speculation.
[01:17:01.345 --> 01:17:06.449]  Now, enjoy a 27% annualized payment each month without the ups and downs of Bitcoin.
[01:17:06.449 --> 01:17:14.175]  Seen on programs broadcast on Fox Business News, blockchain data centers offer an equipment leasing program in the explosive digital asset marketplace.
[01:17:14.175 --> 01:17:22.042]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in the mining equipment used to manufacture dozens of critical digital assets.
[01:17:22.202 --> 01:17:24.004]  Not a security IPO or note.
[01:17:24.004 --> 01:17:33.532]  Blockchain data centers have a proven turnkey equipment sale leaseback program with a 27% annualized lease payment deposited into your bank account each month.
[01:17:33.532 --> 01:17:34.373]  Don't miss this one.
[01:17:34.373 --> 01:17:35.674]  Stake your claim today.
[01:17:35.674 --> 01:17:35.934]  Call 800-600-3388.
[01:17:35.934 --> 01:17:36.275]  That's 800-600-3388.
[01:17:36.275 --> 01:17:38.357]  These valuable lease contracts won't last long.
[01:17:38.357 --> 01:17:38.597]  Call now.
[01:17:38.597 --> 01:17:38.657]  800-600-3388.
[01:17:38.657 --> 01:17:38.697]  800-600-3388.
[01:17:48.906 --> 01:17:50.527]  Equipment offer poses a financial risk to owners.
[01:17:50.527 --> 01:17:52.248]  Consult with financial professionals before purchasing.
[01:17:52.248 --> 01:17:59.573]  Not an offer to buy or sell a security which requires an offering document.
[01:17:59.573 --> 01:18:01.375]  Real Red Pill.
[01:18:01.375 --> 01:18:03.556]  Real Red Pill Plus.
[01:18:03.556 --> 01:18:11.342]  Please go to InfoWarshore.com and research the preglanone alone that is in each of these products.
[01:18:11.342 --> 01:18:16.205]  And then research all the other things that are in Real Red Pill and Real Red Pill Plus.
[01:18:16.625 --> 01:18:20.087]  And what they will do for you and your family this Christmas.
[01:18:20.087 --> 01:18:34.013]  For those of you on the fence who've never tried these products, I am selling both of the formulas at 65% off, the lowest price ever, with a free bottle of BioTrue Selenium with it from the mustard seed.
[01:18:34.013 --> 01:18:37.475]  Ladies and gentlemen, research what this does in your body.
[01:18:38.075 --> 01:18:41.180]  Then experience it for yourself if you want to go to the next level.
[01:18:41.180 --> 01:18:43.804]  I'd say it funds the InfoWar before losing money on this.
[01:18:43.804 --> 01:18:49.872]  This is my gift to you this Christmas so you experience it for yourself like the other products.
[01:18:49.872 --> 01:18:51.855]  InfoWarStore.com.
[01:18:51.855 --> 01:18:53.537]  That's InfoWarStore.com.
