[00:00.000 --> 00:16.000]  Look, I know the supernatural is something that isn't supposed to happen, but it does happen.
[33:58.000 --> 34:00.000]  We have it all linked in this article.
[34:00.000 --> 34:02.000]  We had it linked to the other article.
[34:02.000 --> 34:07.000]  We have the UN plat demanding San Antonio not let anybody build in the corridor.
[34:07.000 --> 34:12.000]  It takes control of the other areas and it does let them dictate.
[34:12.000 --> 34:13.000]  That's a fact.
[34:13.000 --> 34:14.000]  That's a fact.
[34:14.000 --> 34:19.000]  United Nations to destroy property rights of thousands around Alamo.
[34:19.000 --> 34:25.000]  And you look at the UN documents that we have linked in it, showing the buffer zone, showing how you can't build.
[34:25.000 --> 34:34.000]  They're on record not letting a gold mine 48 miles away from Yellowstone that had been open for decades expand.
[34:34.000 --> 34:38.000]  They're on record shutting down businesses around wherever they set up.
[34:38.000 --> 34:51.000]  If you read the executive orders that came out from this was designated 1979 in the mid-90s by Bill Clinton, you find it's collateral for, again, international debts.
[34:51.000 --> 34:54.000]  Just like Greece having its islands taken over, handed over for debt.
[34:54.000 --> 35:01.000]  The minute that guy heard me talk about Greece and how its islands were handed over, I heard him go, ugh.
[35:01.000 --> 35:08.000]  And I was like, oh, I'll quit videotaping as soon as this guy's done.
[35:08.000 --> 35:19.000]  He was walking by, heard me, stopped, didn't like hearing about the UN taking over America, got in my video, and then got his little precious photo.
[35:19.000 --> 35:20.000]  Well, you know what?
[35:20.000 --> 35:26.000]  Just because you guys want to deny there's a world government, just because you want to deny that America is being taken over, it's happening.
[35:26.000 --> 35:31.000]  Recently, the State Department issued this statement on October 12, 2017.
[35:31.000 --> 35:36.000]  The Department of State notified UNESCO Director General Irina Bokova of the U.S.
[35:36.000 --> 35:43.000]  Decisions to withdraw from the organization and to seek to establish a permanent observer mission to UNESCO.
[35:43.000 --> 35:51.000]  Pursuant to Article 2 of the UNESCO Constitution, the U.S. withdrawal will take effect on December 31, 2018.
[35:51.000 --> 35:57.000]  For years, UNESCO has been an international thorn of corruption and mismanagement in the side of our national interest.
[35:57.000 --> 36:06.000]  The Federalist reports, audits show cronyism seems all but endemic with about 40% of the organization's appointments and promotions
[36:06.000 --> 36:10.000]  failing to meet UNESCO's own criteria for fair competition.
[36:10.000 --> 36:15.000]  The United States was neither the first nor the only country to drop UNESCO.
[36:15.000 --> 36:25.000]  The United Kingdom of Great Britain and Northern Ireland didn't participate from 1986 to 1997 and Singapore didn't from 1986 to 2007.
[36:25.000 --> 36:30.000]  The United States rejoined UNESCO under President George W. Bush in 2002.
[36:30.000 --> 36:38.000]  In 2011, the Obama administration cut funding to the organization after UNESCO admitted the Palestine Authority as a full member.
[36:38.000 --> 36:46.000]  Since then, UNESCO has exhibited anti-Israel bias again and again, although Israel is the only democracy in the Middle East.
[36:46.000 --> 37:09.000]  It has always had a sense of bias against Israel or its membership with the Palestinians, or are there other reasons?
[37:09.000 --> 37:32.000]  I remember 10 years ago, they would still say the Trilateral Commission didn't exist.
[37:32.000 --> 37:39.000]  Remember that the CFR didn't exist. There wasn't a global cabal. There wasn't a plan to bankrupt the world.
[37:39.000 --> 37:47.000]  Derributives weren't going to hurt us. They didn't want to bankrupt us. Everything we said came true because the globalist plan is public.
[37:47.000 --> 37:56.000]  By dropping UNESCO, the U.S. is sending a message, one of profound ceremonial symbolism, telling globalism to get the hell out of our country.
[37:56.000 --> 38:03.000]  John Bowne reporting for Infowars.com.
[38:27.000 --> 38:52.000]  In 1945, in New York, in 1947, the Eugenics Society run by Julian Huxley, the first transhumanist and technocrat.
[38:52.000 --> 38:56.000]  These are his words. By the way, I've actually read the books he wrote. You might want to actually read them.
[38:56.000 --> 39:03.000]  He became the first director general of UNESCO, and UNESCO actually runs the U.N.
[39:03.000 --> 39:07.000]  It's the corporate heart of it. It's the real endowment.
[39:07.000 --> 39:18.000]  And if you look at our public school education, at the refugees, the migrants, the illegals we take, it's all under UNESCO.
[39:18.000 --> 39:27.000]  When you see the TV programs they air in Germany saying women wear hijabs except Islam, and it's a blonde movie star dancing saying, I wear a hijab.
[39:27.000 --> 39:31.000]  I like Islam. That's UNESCO. We just showed an article about it.
[39:31.000 --> 39:45.000]  So when you wonder where the policy gets written that the Department of Education accepts, I've had the former heads, two different heads of the Department of Education and the deputy head, Charlotte Israbe, on the show.
[39:45.000 --> 39:51.000]  And they were told back in Reagan's day he wasn't running and he would put good people in so they'd be over it.
[39:51.000 --> 39:57.000]  But all the bureaucrats under them are like, we're carrying out the Carnegie Endowment Rockefeller Foundation operation of the UNESCO plan.
[39:57.000 --> 40:00.000]  And they'd say, what's that? They go, John P. Holder, and here's the book.
[40:00.000 --> 40:07.000]  And the latest book at that point was the 1974 book, 43 years old now, Ecoscience.
[40:07.000 --> 40:15.000]  And it says in the family, promote not having families, promote homosexuality, and I'm not attacking people that are gay.
[40:15.000 --> 40:18.000]  The point is they promote it so they break everybody up.
[40:18.000 --> 40:23.000]  You know gay folks are the most alone, no kids, on average. Some are happy.
[40:23.000 --> 40:28.000]  I'm a libertarian. I'm just telling you what's in the documents.
[40:28.000 --> 40:36.000]  And they talk about putting chemicals in the water to lower your sperm count and to lower your fertility and to make you effeminate as a male.
[40:36.000 --> 40:41.000]  So you're more manageable because male species and all mammal groups are aggressive.
[40:41.000 --> 40:43.000]  They don't want to be pushed around.
[40:43.000 --> 40:48.000]  The women select the most dominant males. They have babies with them to make the species better.
[40:48.000 --> 40:53.000]  And here's a Buzzfeed crew shocked to learn they have low testosterone.
[40:53.000 --> 40:55.000]  I'm going to play this clip in a moment.
[40:55.000 --> 40:59.000]  But they're proud of it. But look at the CNN article decades after I told you.
[40:59.000 --> 41:02.000]  Alarming drop in sperm counts. It needs more study.
[41:02.000 --> 41:08.000]  Diet drinks are associated with weight gain. New research shows. Told you that 20 years ago with brain surgeons.
[41:08.000 --> 41:13.000]  Here's another one. Global Paris climate failure. The European Union's failed world government.
[41:13.000 --> 41:18.000]  I thought none of this existed. CNN. Fluoride exposure in utero. That's babies.
[41:18.000 --> 41:25.000]  Links to lower IQ in kids' study finds. But who, you know, we're right again. So what?
[41:25.000 --> 41:30.000]  If you're a victim of this, just embrace it and be proud of the fact you've been brain damaged.
[41:30.000 --> 41:33.000]  And then attack those of us that try to warn you.
[41:33.000 --> 41:40.000]  That's kind of the Omega man, last man alive on earth, Vincent Price scenario that they knew psychologically wise.
[41:40.000 --> 41:44.000]  The Stockholm syndrome that you would try to kill those of us that actually try to help you.
[41:44.000 --> 41:50.000]  No matter how many Harvard studies we got, you've drunk the Kool-Aid or a lot of the controllers actually don't take it.
[41:50.000 --> 41:53.000]  They just like to do it to the public. Let's play this clip of Buzzfeed.
[41:53.000 --> 41:57.000]  The folks that put out the PP gate dossier and all the other fake stuff.
[41:57.000 --> 42:02.000]  The fake news kings, celebrating that as betas, the true alpha global Satanist,
[42:02.000 --> 42:08.000]  have put them in power to overthrow creation and they celebrate their genetic death. Here it is.
[42:08.000 --> 42:10.000]  The first category is testosterone.
[42:10.000 --> 42:16.000]  At the Space on Aggression, this will probably go to Ned. He's a very aggressive person.
[42:16.000 --> 42:21.000]  I'm there when the testosterone thing. You know if I don't win the testosterone thing, it's all booked.
[42:21.000 --> 42:24.000]  Testosterone is linked to body hair and to hair loss.
[42:24.000 --> 42:29.000]  You boys that got both of those? I think that I'm going to win this category because I have a ton of sperm in my blood.
[42:29.000 --> 42:33.000]  Whenever I get my blood taken out, they're like, wow, there's so much sperm in here.
[42:33.000 --> 42:38.000]  Testosterone is a very important male form of man that doesn't have any testosterone.
[42:38.000 --> 42:43.000]  I want to come back in the next segment because when it all comes back, they have no testosterone.
[42:43.000 --> 42:46.000]  They're not men. They celebrate it.
[42:46.000 --> 42:52.000]  I mean, I can take one look at these guys and tell you they don't have high testosterone.
[42:52.000 --> 42:56.000]  My problem is I am chronically too high.
[42:56.000 --> 42:58.000]  I'm super fertile. I can look at you.
[42:58.000 --> 43:05.000]  This week, the FBI released over 1,500 heavily redacted documents concerning the Sandy Hook investigation.
[43:05.000 --> 43:12.000]  In many cases, entire pages are redacted, but unredacted portions of the Sandy Hook documents continue to support the narrative.
[43:12.000 --> 43:20.000]  20-year-old shooter Adam Lanza was a lonely, tech-savvy, high school dropout and experienced shooter with an interest in weapons.
[43:20.000 --> 43:26.000]  A functioning autistic with a personality disorder and a recluse who like to play video games all day.
[43:26.000 --> 43:29.000]  But there's one key update on page 41.
[43:29.000 --> 43:39.000]  A source told agents that Lanza, while in the ninth grade, was visited at his home by either CIA or FBI agents after hacking a government computer system.
[43:39.000 --> 43:45.000]  The source said authorities told Nancy Lanza that her son was that smart, he could have a job with them someday.
[43:45.000 --> 43:51.000]  Infowars has the documents. Read them right now. They're posted in their entirety at the article.
[43:51.000 --> 43:55.000]  FBI releases heavily redacted Sandy Hook investigation docs.
[43:55.000 --> 44:16.000]  Leigh Ann McAdoo, Infowars.com.
[44:25.000 --> 44:32.000]  The drugs are concentrated, containing antibacterial properties that work well to help tone gums and freshen your breath.
[44:32.000 --> 44:39.000]  This antiseptic mouthwash is a concentrated formula. You will need to dilute one part mouthwash to 10-barts water.
[44:39.000 --> 44:43.000]  Imrocks Essentials' mouthwash is a great addition to your daily brushing routines.
[44:43.000 --> 44:48.000]  It is effective, yet gentle enough for the most sensitive gums and canker sores.
[44:48.000 --> 44:51.000]  Go organic today with Imrocks Essentials.
[44:51.000 --> 44:58.000]  Visit Infowarsstore.com to learn more at Infowarsstore.com.
[45:21.000 --> 45:27.000]  Perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[45:27.000 --> 45:29.000]  Woo! That's what I'm talking about.
[45:29.000 --> 45:37.000]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[45:37.000 --> 45:47.000]  Harvest Right Freeze Dryers retain 97% of the food's taste, color, and nutritional value and have a shelf life of up to 25 years.
[45:47.000 --> 45:54.000]  Now that's what I call the miracle of food preservation. Harvest Right is truly the world's best, most affordable freeze dryer.
[45:54.000 --> 46:20.000]  So what are you waiting for? Check it out right now at Infowarsstore.com.
[46:20.000 --> 46:32.000]  Biome defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[46:32.000 --> 46:39.000]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[46:39.000 --> 46:48.000]  Secure your biome defense in ultra strength or regular strength at Infowarslife.com today and get started supporting your digestive system naturally.
[46:48.000 --> 47:01.000]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the Infowar.
[47:01.000 --> 47:29.000]  You're listening to the Alex Jones Show.
[47:29.000 --> 47:36.000]  I'm Alex Jones waging war on corruption, crashing the lies and disinformation.
[47:36.000 --> 47:51.000]  So UNESCO's main mission, if you actually read other founding documents of Aldous Huxley's brother Julian Huxley, is to end the human species, as we know it, to make it formulated control.
[47:51.000 --> 48:00.000]  Just like if you look at Monsanto and their genetically engineered crops, they said, it was like 20 years ago in National Geographic.
[48:00.000 --> 48:06.000]  South Africans were complaining saying, you're patenting life, you're taking over the life cycle.
[48:06.000 --> 48:14.000]  And they said, yes, we want all life on earth to finally be patented and controlled, and then most seeds will not produce seeds that create life.
[48:14.000 --> 48:17.000]  You'll have to get it from us.
[48:17.000 --> 48:25.000]  So see, the fullest form of domination is to just end the human species, as you know it, and to make it domesticated.
[48:25.000 --> 48:36.000]  But you first got to get a group of beta males who've chemically been castrated through the water supply and the GMO food, the estrogen members, which they now admit, to think it's fun and cool.
[48:36.000 --> 48:52.000]  And then they still have their brain tissue that's aggressive and, you know, meant to engage in conquest. They show the hormone and then organize them to hate males that still somehow are operating in a masculine fashion.
[48:52.000 --> 48:55.000]  And then you also break up men and women to not work with each other.
[48:55.000 --> 48:57.000]  And so women think they're with the state.
[48:57.000 --> 49:04.000]  So the men, the beta males, then go join the state, believing they're then running a successful operation.
[49:04.000 --> 49:07.000]  But really the women and men that join that become children.
[49:07.000 --> 49:14.000]  It doesn't mean out here in the hinterland, those not under globalist central control are good or bad. It's a variant.
[49:14.000 --> 49:21.000]  It just means we're not under the dominant programming of the New World Order ethos.
[49:21.000 --> 49:27.000]  So if you wish to be free, you need to be aware of this. I mean, this is an admitted operation.
[49:27.000 --> 49:41.000]  And what I'm getting at here is the fact that Trump pulled us out of the TPP, a 10-year program, to literally take over 90% of Congress's activities and trump the states where they wouldn't have any authority.
[49:41.000 --> 49:46.000]  I mean, it was conquering us corporate takeover, usurpation.
[49:46.000 --> 49:49.000]  And Trump killed it and he killed all the other stuff.
[49:49.000 --> 49:56.000]  And now he said, you know, the rest of the world has clean coal and has cheap energy. We are taking our restrictions off.
[49:56.000 --> 50:05.000]  And it just, it has them so mad because America had the Renaissance, we had the wealth, we had the power, we had the magic, the secret sauce.
[50:05.000 --> 50:12.000]  They wanted to shut that down, make us all guilty and then shell it off in chunks to everybody else as if it was Promethean fire,
[50:12.000 --> 50:17.000]  thinking them that the different viceroys of globalism would control different sectors.
[50:17.000 --> 50:26.000]  And Trump said, you know what, full throttle, Americana, ramming speed, release the kraken, he started just flipping the switches.
[50:26.000 --> 50:31.000]  He's only gotten like out of a hundred switches as an allegory, as an analogy.
[50:31.000 --> 50:40.000]  He's only gotten like 10 of the switches pulled and already America's just roared back with a trillion horsepower and just electric dynamos and it's already surging.
[50:40.000 --> 50:47.000]  And the globals were like, no, because they wanted to harness that power.
[50:47.000 --> 50:58.000]  But when they harness it, it diminishes because they don't have the honorable will to pull the sword from the stone Excalibur.
[50:58.000 --> 51:03.000]  They don't have the goodwill of people in their hands. They don't want to empower people. They want to enslave them.
[51:03.000 --> 51:11.000]  They're afraid of real success. They can't compete with it. They can't pull the sword Excalibur from the stone.
[51:11.000 --> 51:16.000]  Because I've told you this is metaphysical. This is spiritual. That's why they're crapping their drawers.
[51:16.000 --> 51:25.000]  You think the hunchback demons of LA like what's happening? They want to see you in a ditch.
[51:25.000 --> 51:35.000]  But here's Buzzfeed and this doctor they've got on talking about testosterone. And of course they find their all for their age, hundreds of points below what they should be.
[51:35.000 --> 51:42.000]  And then none of them ask, why is this happening? That's why they demonize us because we tell you it's a program.
[51:42.000 --> 51:52.000]  The UNESCO said so. Brazil 25 years ago didn't have fluoridated water and didn't do all that and didn't allow glyphosate in.
[51:52.000 --> 52:00.000]  They didn't have breast cancer. It basically 90 year old women might get it. They now have the same numbers as us after they did it.
[52:00.000 --> 52:08.000]  I mean weed killer don't just kill weeds folks. It grow big old fat juicy tuber and put your wife, your mama, your daughter into grave.
[52:08.000 --> 52:15.000]  I just showed you scores of mainstream news admitting mass brain damage from the fluoride. They can't even cover this up.
[52:15.000 --> 52:27.000]  So let's go to these little mercenaries, useful idiots that lower the drawbridge of the globalist, dance around showing males be a bunch of non-threatening candy asses.
[52:27.000 --> 52:34.000]  And it doesn't matter if you're big or little physically, it's your mind. I know a lot of big guys that are total slaves, a little guys that are awesome.
[52:34.000 --> 52:44.000]  It's not about how big you are. It's about your will. So let's go ahead and go to these people celebrating the loss of their masculinity. Here it is.
[52:44.000 --> 52:50.000]  Very important male hormone. If a man doesn't have any testosterone, he loses a lot of characteristics that makes him a man.
[52:50.000 --> 52:52.000]  Good to see you again. Good to see you too.
[52:52.000 --> 52:57.000]  So I think the last time we were together we did semen analysis on you and we learned a lot about you.
[52:57.000 --> 53:01.000]  What's your on vein percentage? Are you bad in the hundred? I don't want to say because I'll jinx my stuff.
[53:01.000 --> 53:07.000]  So it's a simple blood test and we get a relatively accurate measurement and figure out where women are on the spectrum.
[53:07.000 --> 53:10.000]  I bet you a sperm has gotten into blood once and they're like, whoa, where am I?
[53:10.000 --> 53:12.000]  Eugene doesn't love needles.
[53:12.000 --> 53:15.000]  Shut up. Yeah, it's like my veins are just, they're hidden.
[53:15.000 --> 53:18.000]  Want to look at the other arms? Oh no.
[53:18.000 --> 53:21.000]  So they get their blood taken and they find they're not men.
[53:21.000 --> 53:24.000]  Men with high levels of testosterone. They eat plenty of tofu and they all have vegetarian diets.
[53:24.000 --> 53:26.000]  Muscle mass is another thing. Kind of giving me blood.
[53:26.000 --> 53:28.000]  My blood is very selfish.
[53:28.000 --> 53:31.000]  If you look at it from that perspective, then he may appear more attractive.
[53:31.000 --> 53:33.000]  Oh, you have to go back to the right side?
[53:33.000 --> 53:36.000]  Take a look. Are you f***ing hearing us right now?
[53:36.000 --> 53:38.000]  I'm not cow. You're a white male.
[53:38.000 --> 53:40.000]  91.
[53:40.000 --> 53:43.000]  How much sperm is typically in the bloodstream?
[53:43.000 --> 53:44.000]  Zero.
[53:44.000 --> 53:45.000]  Makes sense, right?
[53:45.000 --> 53:46.000]  Yeah, it makes no sense at all.
[53:46.000 --> 53:48.000]  So we have the results.
[53:48.000 --> 53:50.000]  I know a lot of guys look like that.
[53:50.000 --> 53:52.000]  Oh, wow.
[53:52.000 --> 53:56.000]  The runner up for the most testosterone is KiPiPoo.
[53:59.000 --> 54:04.000]  You tell that, he's the biggest. The point is, it's a mental attitude to the producer's testosterone.
[54:04.000 --> 54:06.000]  Then I can tell you that.
[54:06.000 --> 54:09.000]  And they just go through. They all got low.
[54:09.000 --> 54:11.000]  Let's finish up. Go ahead.
[54:13.000 --> 54:15.000]  Have you seen how hairy his legs are?
[54:15.000 --> 54:17.000]  I do have very hairy legs.
[54:17.000 --> 54:18.000]  Oh, Zaddy.
[54:18.000 --> 54:20.000]  Are you guys ready for number three?
[54:20.000 --> 54:21.000]  I don't even know.
[54:21.000 --> 54:23.000]  The very sexy Zaddy.
[54:25.000 --> 54:26.000]  Don't worry, Ned.
[54:26.000 --> 54:28.000]  I really thought Ned would be number one.
[54:28.000 --> 54:32.000]  There's no scientific data that correlates the level of testosterone to the level of testosterone.
[54:32.000 --> 54:36.000]  Being aggressive usually is a low testosterone.
[54:36.000 --> 54:40.000]  People that have testosterone or the mental focus to even have it to begin with
[54:40.000 --> 54:43.000]  are normally more concerned about the environment, what's going on.
[54:43.000 --> 54:46.000]  If you go out and involve yourself in aggressive tasks and operations,
[54:46.000 --> 54:50.000]  then your testosterone will normally go up despite even diet studies show.
[54:50.000 --> 54:55.000]  And they've also noticed women tend to produce testosterone-like hormones
[54:55.000 --> 54:58.000]  and even stop having their periods in stress-like environments.
[54:58.000 --> 55:03.000]  So they're trying to put women into those roles as the new bot males of the elite
[55:03.000 --> 55:06.000]  while training males to turn their operations off entirely
[55:06.000 --> 55:08.000]  and basically roll over and die.
[55:08.000 --> 55:10.000]  That's an oversimplification of it all.
[55:10.000 --> 55:13.000]  But if you want to understand how much they've made fun of me on Cobraire
[55:13.000 --> 55:17.000]  and all the other establishment brainwashing programs saying your sperm counts down,
[55:17.000 --> 55:19.000]  fluoride's brain damaging you,
[55:19.000 --> 55:23.000]  amphibian life's being made basically sterile or quote gay.
[55:23.000 --> 55:24.000]  That's all a fact.
[55:24.000 --> 55:28.000]  Anybody can search that and find tens of thousands of government reports for themselves,
[55:28.000 --> 55:32.000]  but they attack it because they don't want a national debate about it.
[55:32.000 --> 55:37.000]  They want to buzzfeed celebration of it as you just saw.
[55:37.000 --> 55:41.000]  And again, the European Union's failed world government.
[55:41.000 --> 55:44.000]  The global Paris climate is over.
[55:44.000 --> 55:47.000]  Alarming drop in sperm counts needs more study, CNN.
[55:47.000 --> 55:49.000]  Diet drinks are associated with weight gain.
[55:49.000 --> 55:52.000]  New research suggests, I told you that 20 years ago with brain surgeons.
[55:52.000 --> 55:54.000]  That's Washington Post.
[55:54.000 --> 55:59.000]  Leak sorrel's docs confirm migrant crisis is a tool of global governance.
[55:59.000 --> 56:04.000]  CNN claims Alex Jones fabricated sorrel's Nazi ties.
[56:04.000 --> 56:08.000]  Even though his father said quote, he even helped with the inventory.
[56:08.000 --> 56:11.000]  Sorrel's father wrote in 65 autobiography.
[56:11.000 --> 56:14.000]  I'll make money off rounding up Jews, especially if you're Jewish.
[56:14.000 --> 56:15.000]  Then it's trendy.
[56:15.000 --> 56:20.000]  Fluoride exposure in utero linked to lower IQs in children's study finds,
[56:20.000 --> 56:23.000]  but it doesn't matter once their IQs have been lowered.
[56:23.000 --> 56:26.000]  They don't like the fact that you even had yours lowered,
[56:26.000 --> 56:27.000]  but you're still above them.
[56:27.000 --> 56:29.000]  So they want to pull you down.
[56:29.000 --> 56:32.000]  Impact of fluoride neurological development in children.
[56:32.000 --> 56:33.000]  Harvard studies.
[56:33.000 --> 56:34.000]  There's that.
[56:34.000 --> 56:36.000]  And then I've got all these stacks.
[56:36.000 --> 56:39.000]  I haven't even gotten to yet, ladies and gentlemen.
[56:39.000 --> 56:41.000]  They've declared independence in Catalan.
[56:41.000 --> 56:44.000]  They try to declare martial law, beat up a bunch of people.
[56:44.000 --> 56:46.000]  Had the government come out and say it never happened,
[56:46.000 --> 56:48.000]  only made folks blow up that much more.
[56:48.000 --> 56:51.000]  But when we come back, the censorship is shut down.
[56:51.000 --> 56:53.000]  The second American revolution.
[56:53.000 --> 56:56.000]  Roger Stone says he'll sue Twitter over account suspension.
[56:56.000 --> 56:57.000]  We're being censored as well.
[56:57.000 --> 57:00.000]  The new religions are obsessed with AI.
[57:00.000 --> 57:04.000]  Elon Musk warns that the elite are worshiping AI
[57:04.000 --> 57:06.000]  and intend to exterminate humanity.
[57:06.000 --> 57:08.000]  Think I heard that before from somebody.
[57:08.000 --> 57:09.000]  That's coming up next hour.
[57:09.000 --> 57:14.000]  And more on the JFK files that Kennedy was assassinated from the front,
[57:14.000 --> 57:18.000]  as we always told you, before I end anything, though.
[57:18.000 --> 57:19.000]  We're Lister Supported.
[57:19.000 --> 57:23.000]  We've got giant sales running right now at infowarstore.com.
[57:23.000 --> 57:25.000]  50% off on high quality colloidal silver.
[57:25.000 --> 57:27.000]  50% off on Anthroplex.
[57:27.000 --> 57:29.000]  And on Winner's Son.
[57:29.000 --> 57:30.000]  You need so much during the winter.
[57:30.000 --> 57:35.000]  infowarslives.com or AAA-253-3139.
[57:35.000 --> 57:38.000]  Your funding or operation doesn't just get you great products.
[57:38.000 --> 57:41.000]  It funds the second American revolution that's global.
[57:41.000 --> 57:43.000]  1776 worldwide.
[57:43.000 --> 57:46.000]  Brought to you by the Listers and Viewers of InfoWars.
[57:46.000 --> 58:15.000]  We'll be back in an hour. Stay with us.
[58:16.000 --> 58:18.000]  SuperMail Vitality and so many others.
[58:18.000 --> 58:22.000]  With its unique delivery system and proprietary manufacturing process
[58:22.000 --> 58:24.000]  designed for maximized effects.
[58:24.000 --> 58:28.000]  This formula is the platinum standard of multivitamin mineral products.
[58:28.000 --> 58:30.000]  And this part is most important.
[58:30.000 --> 58:34.000]  The ingredients in vitamin mineral fusion are either plant derived
[58:34.000 --> 58:37.000]  or of the highest quality lab standard.
[58:37.000 --> 58:38.000]  That means it's clean.
[58:38.000 --> 58:39.000]  That means it's pure.
[58:39.000 --> 58:40.000]  And rest-secured.
[58:40.000 --> 58:42.000]  You're funding the tip of the spear in the infowar.
[58:42.000 --> 58:45.000]  That's infowarslives.com and vitamin mineral fusion.
[58:45.000 --> 58:47.000]  Take action now before we sell out.
[59:16.000 --> 59:19.000]  The larger the particle, the safer it is for your body.
[59:19.000 --> 59:23.000]  The organic oils help hydrate the skin, leaving it nice and smooth.
[59:23.000 --> 59:28.000]  The truly natural fragrance-free sunscreen for the most sensitive skin.
[59:28.000 --> 59:30.000]  EmRick's Essentials wants you to enjoy the sun
[59:30.000 --> 59:34.000]  and strives to bring you organic products to enhance your life.
[59:34.000 --> 59:39.000]  Naturally protect your skin with SPF 30 sunscreen lotion by EmRick's Essentials.
[59:39.000 --> 59:42.000]  Stop exposing yourself and your family to toxic ingredients.
[59:42.000 --> 59:48.000]  Visit infowarsstore.com and learn more about the new SPF 30 sunscreen lotion.
[01:00:13.000 --> 01:00:16.000]  You want to stop tyranny? Well, so does he.
[01:00:16.000 --> 01:00:22.000]  Live from the infowars.com studios, it's Alex Jones.
[01:00:22.000 --> 01:00:28.000]  Now, I will be opening the phones up tomorrow with the 11 a.m. to 3 p.m. show.
[01:00:28.000 --> 01:00:32.000]  There's David Knight, 8 a.m. to 11 a.m. before I come on
[01:00:32.000 --> 01:00:34.000]  and there's the war room after with...
[01:00:34.000 --> 01:00:36.000]  I was sure I'd do a great job with the rest of the crew.
[01:00:36.000 --> 01:00:38.000]  But I will be opening the phones up tomorrow.
[01:00:38.000 --> 01:00:43.000]  I've got a few special reports coming up in the last two segments this hour.
[01:00:43.000 --> 01:00:49.000]  But right now, I want to plow through some of the other reports I've got here.
[01:00:49.000 --> 01:00:54.000]  But I am tempted to take a few phone calls specifically on the JFK documents.
[01:00:54.000 --> 01:00:56.000]  So let's do that right now.
[01:00:56.000 --> 01:01:00.000]  Specifically first-time callers, specifically on what do you make of Trump
[01:01:00.000 --> 01:01:05.000]  releasing them unredacted so far
[01:01:05.000 --> 01:01:09.000]  and then holding back a day and a half to black out a few names.
[01:01:09.000 --> 01:01:17.000]  But earlier, 2,800 documents unredacted with just LBJ and the KKK
[01:01:17.000 --> 01:01:23.000]  and Hitler show alive back in the 50s and they knew and the CIA
[01:01:23.000 --> 01:01:27.000]  wanting to stage terror attacks against Americans to start wars
[01:01:27.000 --> 01:01:29.000]  and Kennedy being shot.
[01:01:29.000 --> 01:01:34.000]  That's the big one through the chest, through the neck from the front.
[01:01:34.000 --> 01:01:38.000]  And it just goes on and on and on and on.
[01:01:38.000 --> 01:01:44.000]  Breaking, President Kennedy assassinated from front, according to Surgeon General and FBI.
[01:01:44.000 --> 01:01:48.000]  That's a great report. I know people just put that up, but it probably needs to be breaking.
[01:01:48.000 --> 01:01:51.000]  President Kennedy shot from the front, but whatever.
[01:01:51.000 --> 01:01:55.000]  The point is, it's just crazy to be alive right now.
[01:01:55.000 --> 01:02:03.000]  877-789-2539, 877-789 Alex, specifically on that subject.
[01:02:03.000 --> 01:02:06.000]  What is it like to live to see this?
[01:02:06.000 --> 01:02:09.000]  877-789 Alex.
[01:02:09.000 --> 01:02:14.000]  But on top of it, isn't Trump right with all the uranium-1 news coming out
[01:02:14.000 --> 01:02:19.000]  and Mueller and uranium transfers on airport tarmacs
[01:02:19.000 --> 01:02:25.000]  and in 10 companies with no investment, when the investment's $10 million in one company
[01:02:25.000 --> 01:02:28.000]  to get involved and just put him in and he gets dividends
[01:02:28.000 --> 01:02:37.000]  and the speeches overseas and it's like you've got a literal Rusky agent strutting around
[01:02:37.000 --> 01:02:41.000]  this Clinton operative and then of course he's pointing at those of us that are fighting.
[01:02:41.000 --> 01:02:44.000]  I mean, I've been called a Russian agent in Congress with no evidence.
[01:02:44.000 --> 01:02:49.000]  And so is Matt Drudge and Tucker Carlson.
[01:02:49.000 --> 01:02:54.000]  It's like you laugh at it till you realize, no man, they mean to kill Trump,
[01:02:54.000 --> 01:02:59.000]  overthrow the legitimate government and have a mass roundup.
[01:02:59.000 --> 01:03:02.000]  I mean, that's what the left push at November 4 is coming up next Saturday.
[01:03:02.000 --> 01:03:04.000]  We'll be covering it live here.
[01:03:04.000 --> 01:03:06.000]  They say civil war, kill everybody.
[01:03:06.000 --> 01:03:11.000]  And they've already killed hundreds of cops when they kill them in Dallas or Louisiana or New York.
[01:03:11.000 --> 01:03:15.000]  They say CNN goes well, cops need to reform themselves.
[01:03:15.000 --> 01:03:18.000]  That's why they're getting killed as if some cop does something wrong over here
[01:03:18.000 --> 01:03:20.000]  or most of the time wasn't even true.
[01:03:20.000 --> 01:03:24.000]  I'm not defending the cops, I'm just saying the cases.
[01:03:24.000 --> 01:03:29.000]  And then you blame some other cop, 1,000 miles away while he's pumping gas or changing a tire
[01:03:29.000 --> 01:03:33.000]  or giving somebody a ticket and you drive by and shoot him in the back.
[01:03:33.000 --> 01:03:37.000]  And people go, a lot of leftist Joe Jones used to be against the police.
