[00:00:01.000 --> 00:00:03.000]  InfoWars, tomorrow's news, today.
[01:07:15.290 --> 01:07:17.210]  One of my favorite guests is in studio.
[01:07:17.210 --> 01:07:18.649]  And I was supposed to be back today.
[01:07:19.210 --> 01:07:20.490]  I've had some family issues.
[01:07:20.490 --> 01:07:22.649]  My wife needs to visit her father in the hospital in Omaha.
[01:07:22.649 --> 01:07:23.689]  So we're going to go there tomorrow.
[01:07:23.689 --> 01:07:24.729]  I'll do my show from Omaha.
[01:07:24.729 --> 01:07:29.290]  I'm doing this from the River Church Media Complex in Tampa, Florida.
[01:07:29.290 --> 01:07:30.250]  Revival.com.
[01:07:30.250 --> 01:07:31.370]  The great Rodney Howard Brown.
[01:07:31.370 --> 01:07:33.290]  Be sure and check out Revival.com.
[01:07:33.290 --> 01:07:37.450]  But Shemaine Nugent in studio for the rest of the hour.
[01:07:38.170 --> 01:07:40.890]  And we may even get her son Rocco to be popping in with us as well.
[01:07:40.890 --> 01:07:43.050]  ShemaineNugent.rocks.
[01:07:43.050 --> 01:07:44.569]  She's got so much to talk about.
[01:07:44.569 --> 01:07:47.930]  Faith, freedom, spiritual warfare, killer house books.
[01:07:47.930 --> 01:07:49.370]  She's got a book called The Killer House.
[01:07:49.370 --> 01:07:50.649]  It's so important.
[01:07:50.649 --> 01:07:53.689]  Also, bow hunting, health, politics, the whole world.
[01:07:53.689 --> 01:07:56.009]  So Shemaine, wish I was there with you.
[01:07:56.729 --> 01:07:58.810]  But I know you also live in Florida as well.
[01:07:58.810 --> 01:08:00.649]  You're almost about to be in Florida right now.
[01:08:00.649 --> 01:08:02.890]  But you stayed in Texas to hang out with me.
[01:08:02.890 --> 01:08:03.930]  But you look amazing.
[01:08:03.930 --> 01:08:05.370]  And I feel like we're in the same room.
[01:08:05.370 --> 01:08:06.890]  So it's great to have you here with us.
[01:08:06.890 --> 01:08:08.729]  Well, thank you so much for having me, Alex.
[01:08:08.729 --> 01:08:10.250]  I'm taking over your studio.
[01:08:10.250 --> 01:08:11.850]  I come bearing gifts.
[01:08:11.850 --> 01:08:12.729]  My killer house book.
[01:08:12.729 --> 01:08:19.050]  But also some organic vegetables and also herbs from my own garden.
[01:08:19.690 --> 01:08:21.370]  And I wanted to give them to you in person.
[01:08:21.370 --> 01:08:22.889]  But this is the next best thing.
[01:08:22.889 --> 01:08:24.410]  So thank you so much for having me.
[01:08:24.410 --> 01:08:25.530]  I'm honored to be here.
[01:08:26.969 --> 01:08:27.930]  Well, I'm honored, too.
[01:08:27.930 --> 01:08:31.210]  You know, your husband, you've been fighting for decades with him like nobody else.
[01:08:31.210 --> 01:08:33.450]  Your husband literally was the original Alex Jones.
[01:08:33.450 --> 01:08:34.010]  Yes.
[01:08:34.010 --> 01:08:35.290]  70-something years old.
[01:08:35.290 --> 01:08:36.889]  It looks like he's 60.
[01:08:36.889 --> 01:08:39.610]  Great shape, thanks to you and all the things you do for him.
[01:08:39.610 --> 01:08:40.809]  You're an expert on health.
[01:08:40.809 --> 01:08:42.809]  Those who don't know, with your popular shows on it.
[01:08:43.370 --> 01:08:47.690]  But man, he was battling the woke-ism in the late 1960s.
[01:08:47.690 --> 01:08:50.170]  Where would we be without the amazing Ted Nugent?
[01:08:50.170 --> 01:08:51.530]  You know what I remember?
[01:08:51.530 --> 01:08:53.050]  We've been married 34 years now.
[01:08:53.050 --> 01:08:56.969]  And whenever he was doing radio interviews, they always said, don't talk about guns.
[01:08:56.969 --> 01:08:58.010]  Don't talk about hunting.
[01:08:58.010 --> 01:08:59.130]  And he said, screw that.
[01:08:59.130 --> 01:08:59.690]  So you're right.
[01:08:59.690 --> 01:09:02.010]  He was the original Alex Jones.
[01:09:02.010 --> 01:09:05.370]  And I've learned so much from watching him now.
[01:09:05.370 --> 01:09:08.330]  Alex, you know, this is a spiritual war.
[01:09:08.330 --> 01:09:14.570]  We are commissioned by God to stand up for Christian beliefs, for what this country is
[01:09:14.570 --> 01:09:15.690]  founded upon.
[01:09:15.690 --> 01:09:18.010]  So God bless you for doing what you're doing.
[01:09:18.010 --> 01:09:22.410]  Remember who told you, you should come up with a T-shirt that says Alex Jones was right.
[01:09:22.410 --> 01:09:23.370]  Who was that, Alex?
[01:09:24.969 --> 01:09:26.570]  It was the great Shemay Nugent.
[01:09:27.370 --> 01:09:29.450]  Well, I'll take partial credit for it.
[01:09:29.450 --> 01:09:32.090]  But yeah, I think you were right.
[01:09:32.090 --> 01:09:33.610]  You're on the right track.
[01:09:33.610 --> 01:09:35.610]  And we've known each other for a few years.
[01:09:35.610 --> 01:09:36.570]  What, 10 years?
[01:09:36.570 --> 01:09:37.210]  15 years?
[01:09:37.930 --> 01:09:38.809]  And I've seen-
[01:09:38.809 --> 01:09:39.530]  A little more than 10.
[01:09:40.969 --> 01:09:41.450]  Almost there.
[01:09:41.450 --> 01:09:43.370]  I've seen such a change in you, Alex.
[01:09:43.370 --> 01:09:46.809]  And I'm so grateful for what you're doing.
[01:09:46.809 --> 01:09:49.690]  You're spreading this Christian belief.
[01:09:49.690 --> 01:09:52.969]  And not only Christian belief, but what needs to be done.
[01:09:52.969 --> 01:09:56.170]  Satan is here to kill, steal and destroy.
[01:09:56.170 --> 01:09:57.450]  And that's exactly what he's doing.
[01:09:57.450 --> 01:09:59.850]  He's trying to divide this country.
[01:09:59.850 --> 01:10:05.690]  And he's doing it with the LBGTQRS, whatever it is at this point now.
[01:10:05.690 --> 01:10:10.170]  And you notice the blue and pink stripes that were added to that rainbow flag.
[01:10:10.170 --> 01:10:11.290]  You know what that's for, right?
[01:10:12.730 --> 01:10:13.850]  Yes, tell us.
[01:10:13.850 --> 01:10:17.290]  Well, it's the little boys and little girls.
[01:10:17.290 --> 01:10:19.930]  And they did it to us while we were sleeping.
[01:10:19.930 --> 01:10:26.330]  We have to stand up right now more than ever for the rights that we have
[01:10:26.330 --> 01:10:28.410]  and that we don't want to have taken away.
[01:10:28.410 --> 01:10:30.330]  I'm banned on Twitter, Alex.
[01:10:30.330 --> 01:10:30.969]  Ted is not.
[01:10:31.690 --> 01:10:35.770]  I think it's because I share my faith openly.
[01:10:35.770 --> 01:10:39.290]  And even with Elon, I'm still banned on Twitter, but I'm not going to stop.
[01:10:39.290 --> 01:10:43.450]  I feel like now more than ever, God has called us, as Esther 414 says,
[01:10:44.170 --> 01:10:46.010]  for just such a time as this.
[01:10:48.250 --> 01:10:52.410]  Well, I'm not defending Elon, but he said he's not in full control yet.
[01:10:52.410 --> 01:10:56.410]  And when people raise it to him, a lot of times he's able to go in and tell
[01:10:56.410 --> 01:10:59.050]  the kind of stay behind network of leftists to take it down.
[01:10:59.050 --> 01:11:01.770]  But there's no reason that you shouldn't be on Twitter.
[01:11:01.770 --> 01:11:04.889]  But regardless of that, you're reaching more people than ever.
[01:11:04.889 --> 01:11:08.650]  Tell us about all the different shows and things you and Ted are doing,
[01:11:08.650 --> 01:11:10.010]  and then we can start wherever you want.
[01:11:10.010 --> 01:11:15.370]  Because you warned us years ago about mold and about what a serious issue it is.
[01:11:15.370 --> 01:11:18.170]  And now they admit that mold is one of the biggest killers in the world.
[01:11:18.170 --> 01:11:20.809]  You've written a new book that people can read and understand
[01:11:20.809 --> 01:11:22.889]  and really find out what's going on.
[01:11:22.889 --> 01:11:25.290]  So Shemain, there's so many places to go.
[01:11:25.290 --> 01:11:28.410]  We can get into Trump and how they're trying to put him in prison,
[01:11:28.410 --> 01:11:30.010]  but how that's backfiring on them.
[01:11:30.010 --> 01:11:32.010]  A McCarthy has come out.
[01:11:32.010 --> 01:11:33.050]  So they're going to go ahead and move forward.
[01:11:35.050 --> 01:11:37.210]  The attorney general, Merrick Garland.
[01:11:37.210 --> 01:11:39.290]  So a lot of huge topics to tackle.
[01:11:39.290 --> 01:11:40.570]  What do you want to jump into first?
[01:11:40.570 --> 01:11:45.210]  Well, I'll start with mold, because I think that was my spiritual awakening.
[01:11:45.210 --> 01:11:49.130]  You know, I never wanted to be known as the mold lady when I was a little girl.
[01:11:49.130 --> 01:11:52.010]  But now I think this is where God can use me.
[01:11:52.010 --> 01:11:58.010]  I am spreading the word and sharing what I have learned about toxic mold with everyone else.
[01:11:58.010 --> 01:12:00.170]  And it's prevalent.
[01:12:00.170 --> 01:12:03.610]  At least 80% of buildings have some form of toxic mold.
[01:12:03.610 --> 01:12:08.570]  And in my book, Killer House, I share my story about what happened to us,
[01:12:08.570 --> 01:12:11.370]  Ted and I and our son Rocco, who you'll see in a minute,
[01:12:11.370 --> 01:12:16.730]  and our beautiful MTV Cribs home that was contaminated with toxic mold between the walls.
[01:12:16.730 --> 01:12:17.930]  We never saw anything.
[01:12:17.930 --> 01:12:20.170]  We just kept getting sicker and sicker.
[01:12:20.170 --> 01:12:22.730]  And if you're on, I know you're a health proponent, too.
[01:12:22.730 --> 01:12:27.130]  If you're on any type of allergy medication, migraine medication, headache medication,
[01:12:27.130 --> 01:12:32.090]  you have lupus, you have inflammatory diseases, you have joint pain, fibromyalgia,
[01:12:32.650 --> 01:12:36.330]  even cancer can be attributed to toxic mold.
[01:12:36.330 --> 01:12:39.770]  So in my book, Killer House, I share the devastating,
[01:12:39.770 --> 01:12:43.290]  heartbreaking story of losing our MTV Cribs home.
[01:12:43.850 --> 01:12:50.490]  And I'm here as a proponent of health and a living testimony that, you know,
[01:12:50.490 --> 01:12:54.969]  God is good and that the human body has an amazing ability to heal.
[01:12:57.850 --> 01:13:00.250]  Lay out the book, because I can't wait to read it.
[01:13:00.250 --> 01:13:03.450]  I mean, years ago, you warned my wife and I, you know, we did the testing.
[01:13:03.450 --> 01:13:04.730]  Thank goodness it wasn't our house.
[01:13:04.730 --> 01:13:06.010]  Then we warned some family.
[01:13:06.010 --> 01:13:07.370]  They found out it was.
[01:13:07.370 --> 01:13:10.330]  And then obviously, you know, there's things that can then be done to mitigate it.
[01:13:10.330 --> 01:13:13.530]  But you destroyed a whole house and then, you know, rebuilt it.
[01:13:14.969 --> 01:13:18.570]  And has mold always been this bad or is it in our industrialized world?
[01:13:18.570 --> 01:13:19.770]  Is it the building materials?
[01:13:19.770 --> 01:13:23.450]  It's the building materials, faulty building, faulty craftsmanship.
[01:13:23.450 --> 01:13:25.850]  You know, there might be a few good builders out there.
[01:13:25.850 --> 01:13:28.010]  I personally don't know any.
[01:13:28.010 --> 01:13:32.330]  And the problem is a lot of the inspectors, a lot of the testers nowadays
[01:13:32.330 --> 01:13:37.370]  are in bed with the builders who just try to cut corners, try to cheapen what they're doing.
[01:13:38.090 --> 01:13:40.650]  And that's what my book talks about.
[01:13:40.650 --> 01:13:43.210]  I start from a story of what happened to me.
[01:13:43.210 --> 01:13:48.250]  And in my book, I share very, very personal aspects of my relationship with Ted.
[01:13:48.250 --> 01:13:51.450]  But I do that not to, you know, expose anything.
[01:13:51.450 --> 01:13:52.969]  I've talked about it before.
[01:13:52.969 --> 01:13:55.130]  I don't know anybody who has a perfect relationship.
[01:13:55.130 --> 01:13:59.770]  But what it does is it sets the stage for it really.
[01:13:59.770 --> 01:14:02.570]  When I had some emotional turmoil in my life,
[01:14:03.130 --> 01:14:07.130]  it really caused an environment that I got sicker faster.
[01:14:07.130 --> 01:14:10.170]  And so I set up the book as a storytelling book.
[01:14:10.170 --> 01:14:14.969]  I didn't want it to just be, you know, information and talk about stachybacterias
[01:14:14.969 --> 01:14:18.010]  and all the different types of mold which would bore people to death.
[01:14:18.010 --> 01:14:20.730]  But it's written more like a story, a novel.
[01:14:20.730 --> 01:14:22.730]  And it's the story of my life.
[01:14:22.730 --> 01:14:27.130]  And I just want to expose the dirty little secret about toxic mold,
[01:14:27.130 --> 01:14:29.130]  that it's alive and well and prevalent.
[01:14:29.130 --> 01:14:34.809]  And I even have a chapter on spiritual warfare in my book about toxic mold.
[01:14:38.889 --> 01:14:42.410]  Again, give people the title, how people get the book and speak more about.
[01:14:43.370 --> 01:14:44.809]  Because Jimmy, you've got a lot to say.
[01:14:45.450 --> 01:14:47.370]  It's amazing when you get going on mold.
[01:14:47.370 --> 01:14:48.730]  Yeah, it's not only mold.
[01:14:48.730 --> 01:14:50.889]  But again, it's my awakening.
[01:14:50.889 --> 01:14:52.490]  I had to fight for my life.
[01:14:52.490 --> 01:14:55.050]  I was once named Detroit's most physical female.
[01:14:55.050 --> 01:15:00.330]  And I got to the point where I couldn't even walk up a flight of stairs because of toxic mold.
[01:15:00.330 --> 01:15:06.250]  We found out that Ted and I both had four different types of mold in our bloodstream.
[01:15:06.250 --> 01:15:08.410]  And I was also diagnosed with having pre-emphysema.
[01:15:08.410 --> 01:15:09.450]  And I don't smoke.
[01:15:09.450 --> 01:15:15.770]  I was teaching 10 to 15 group high intensity aerobics classes every week.
[01:15:15.770 --> 01:15:20.650]  And I was just popping pills, migraine medication like there was no tomorrow.
[01:15:20.650 --> 01:15:23.690]  And I thought, this is not the way it should be.
[01:15:23.690 --> 01:15:27.770]  And while Ted was on tour for rock and roll, I was on the doctor tour.
[01:15:27.770 --> 01:15:29.450]  And no doctors could help me.
[01:15:29.450 --> 01:15:32.809]  So I had to become my own investigative sleuth.
[01:15:32.809 --> 01:15:36.250]  And that's what I lay out in my book, how you can be too.
[01:15:36.250 --> 01:15:40.809]  If you have any illnesses, you need to get to the root cause.
[01:15:40.809 --> 01:15:44.010]  By the way, did we ever find the root cause of immigration?
[01:15:44.010 --> 01:15:46.090]  Because that was talked about a lot.
[01:15:46.650 --> 01:15:48.969]  Anyway, I digress.
[01:15:48.969 --> 01:15:52.330]  In my book, I talk about the root causes of toxic mold
[01:15:52.330 --> 01:15:56.650]  and how to recognize, remediate, and recover from that.
[01:15:58.650 --> 01:16:01.130]  Wow, man, it is great to see you in studio.
[01:16:01.130 --> 01:16:02.090]  I wish I was there with you.
[01:16:02.090 --> 01:16:05.210]  But I also love Pastor Rodney Howard Brown here at the River Church.
[01:16:06.090 --> 01:16:09.050]  Tens of thousands of folks have come through here in the last week that I've been here.
[01:16:09.050 --> 01:16:10.010]  Just amazing.
[01:16:10.010 --> 01:16:11.850]  Are you aware of the River Church up here in Tampa?
[01:16:11.850 --> 01:16:14.010]  Because I know you're down in Naples, right, when you're in Florida.
[01:16:14.010 --> 01:16:17.290]  Yes, down in Naples with Pastor Anthony Thomas, who is,
[01:16:17.290 --> 01:16:20.250]  if Ted was a pastor, he'd be Pastor Anthony Thomas.
[01:16:20.250 --> 01:16:23.930]  I haven't met that pastor in Tampa, but I am all for it.
[01:16:23.930 --> 01:16:24.410]  You know what?
[01:16:24.410 --> 01:16:27.770]  Unfortunately, at many churches, we get milquetoast.
[01:16:27.770 --> 01:16:30.730]  We don't listen to spiritual warfare.
[01:16:30.730 --> 01:16:34.650]  And now more than ever, we need to talk about it.
[01:16:34.650 --> 01:16:39.610]  We need to be equipped and fight the demonism and the Satanism
[01:16:39.610 --> 01:16:42.330]  that is alive and well in this country.
[01:16:42.330 --> 01:16:47.050]  And now more than ever, again, Esther 414, it's kind of exciting, Alex.
[01:16:47.210 --> 01:16:50.650]  I just got goosebumps, or maybe because it's like 20 degrees in the studio.
[01:16:51.210 --> 01:16:53.770]  We were born for such a time as this.
[01:16:53.770 --> 01:16:55.610]  Is it not 20 degrees in the studio?
[01:16:55.610 --> 01:16:56.330]  Maybe 30?
[01:16:58.250 --> 01:17:00.090]  I like to keep it about 67.
[01:17:02.650 --> 01:17:05.690]  You know, the problem is if you ever let it get up to too high a temp
[01:17:05.690 --> 01:17:07.610]  with all those TVs and equipment, it'll...
[01:17:07.610 --> 01:17:09.370]  I mean, look, it's only 105 outside, though.
[01:17:09.370 --> 01:17:09.930]  Would you rather...
[01:17:09.930 --> 01:17:10.570]  I know.
[01:17:10.570 --> 01:17:11.370]  I'm with you.
[01:17:11.370 --> 01:17:11.850]  I'm with you.
[01:17:11.850 --> 01:17:12.410]  That's all right.
[01:17:12.410 --> 01:17:15.530]  I got my sweater here, and I put my hands in it.
[01:17:15.530 --> 01:17:19.530]  But it's comfortable because I'm on fire for God, Alex.
[01:17:19.530 --> 01:17:20.730]  I'm on fire for God.
[01:17:22.570 --> 01:17:23.450]  Well, you're amazing.
[01:17:24.170 --> 01:17:28.330]  I want to now shift gears just into how much you love Trump, how much Ted loves Trump.
[01:17:28.330 --> 01:17:31.050]  I know we always talk about Trump when I'm at your house for dinner and stuff
[01:17:31.050 --> 01:17:35.050]  there outside Waco at your ranch, about how he's doing right now.
[01:17:35.050 --> 01:17:36.090]  I've talked to Roger Stone.
[01:17:36.090 --> 01:17:38.010]  He says Trump's doing stronger than ever.
[01:17:38.010 --> 01:17:38.730]  He's committed.
[01:17:39.370 --> 01:17:44.490]  I said on a podcast this weekend, Patrick, Bet David, that I think that if Trump keeps
[01:17:44.490 --> 01:17:47.290]  winning and all these indictments don't work, they will try to kill him.
[01:17:47.290 --> 01:17:49.530]  Well, they've had Democrats say they want to kill him.
[01:17:49.530 --> 01:17:51.610]  It doesn't mean I believe he'll be killed.
[01:17:51.610 --> 01:17:53.690]  It's not Alex Jones predicts he'll be killed.
[01:17:53.690 --> 01:17:56.570]  But obviously, assassination is something they did to JFK.
[01:17:56.570 --> 01:17:59.450]  They did it to RFK Jr.'s dad.
[01:17:59.450 --> 01:18:01.050]  RFK Jr.'s worried about being killed.
[01:18:01.850 --> 01:18:05.610]  To think that there aren't leftists wanting to kill the president, or if we've seen the
[01:18:05.610 --> 01:18:09.290]  deep states say we're going to take him out, I'm really concerned about Trump because they
[01:18:09.290 --> 01:18:13.130]  keep failing with all their impeachments and all their hoaxes and all their indictments,
[01:18:13.130 --> 01:18:14.410]  but they just keep doubling down.
[01:18:14.410 --> 01:18:16.090]  And where does that logically lead?
[01:18:16.090 --> 01:18:17.850]  Chimay Nugent, what's your take on that?
[01:18:17.850 --> 01:18:21.450]  Well, if he wasn't such a threat, do you think they'd even try that?
[01:18:21.450 --> 01:18:24.330]  And you know, there have been attempts before on his life.
[01:18:24.330 --> 01:18:29.290]  And when we had dinner with him at the White House, it was just an amazing, you know, Ted
[01:18:29.290 --> 01:18:30.410]  likes to say shit kicker.
[01:18:30.410 --> 01:18:32.730]  Can I say that here on your show, shit kicker?
[01:18:32.730 --> 01:18:33.230]  Sure.
[01:18:34.090 --> 01:18:37.210]  It was just it was an amazing opportunity to get to know him.
[01:18:37.210 --> 01:18:39.370]  We've been with him for many times.
[01:18:39.370 --> 01:18:41.530]  And Ted has has played the national anthem.
[01:18:41.530 --> 01:18:45.930]  He just did at the Lincoln celebration in Michigan.
[01:18:45.930 --> 01:18:52.570]  And he likes to say that right after he performed the national anthem, it was just on Sunday,
[01:18:52.570 --> 01:18:57.210]  right after he played the national anthem before President Trump came on, they lost
[01:18:57.210 --> 01:18:57.690]  power.
[01:18:57.690 --> 01:18:58.809]  There was a bad storm there.
[01:18:58.809 --> 01:19:02.090]  But Ted likes to say that it was because of him that they lost power.
[01:19:02.090 --> 01:19:07.130]  But, you know, now more than ever, like you said just a moment ago, Alex, there's no
[01:19:07.130 --> 01:19:07.930]  perfect candidate.
[01:19:07.930 --> 01:19:09.370]  There's no perfect human being.
[01:19:09.930 --> 01:19:14.490]  If they weren't concerned about President Trump, do you think they would be attacking
[01:19:14.490 --> 01:19:15.050]  him so much?
[01:19:15.050 --> 01:19:15.610]  And you know what?
[01:19:15.610 --> 01:19:16.889]  I don't know if you've said this before.
[01:19:16.889 --> 01:19:19.370]  I listen to a lot of your podcasts, watch a lot of your shows.
[01:19:20.090 --> 01:19:21.450]  I'm going to say it right here.
[01:19:21.450 --> 01:19:24.490]  And so maybe you can attribute to me if it actually does happen.
[01:19:24.490 --> 01:19:26.330]  You know what I think would be a great ticket?
[01:19:28.650 --> 01:19:29.370]  Tell me.
[01:19:29.370 --> 01:19:30.250]  Trump Kennedy.
[01:19:31.450 --> 01:19:32.330]  Just saying.
[01:19:32.330 --> 01:19:33.450]  Oh, I've been set up.
[01:19:33.450 --> 01:19:34.730]  Have you had a great idea?
[01:19:37.370 --> 01:19:37.850]  I have said it.
[01:19:37.930 --> 01:19:42.170]  But I mean, I think that's a common sense thing, because they're going to steal the
[01:19:42.170 --> 01:19:43.050]  nomination from Kennedy.
[01:19:43.050 --> 01:19:45.930]  They stole it from Bernie Sanders, who was a terrible guy, but he did win it.
[01:19:45.930 --> 01:19:47.930]  I mean, they publicly said, we're not giving you the electors.
[01:19:48.490 --> 01:19:50.170]  And they're going to try that.
[01:19:50.170 --> 01:19:54.650]  And so if Kennedy swung his support over to Trump, once he's basically, you know, gone
[01:19:54.650 --> 01:19:59.130]  through the first primaries, because they're saying in Iowa and New Hampshire, where they're
[01:19:59.130 --> 01:20:03.210]  supposed to have the democratization, as you know, of the most popular person winning that
[01:20:03.210 --> 01:20:07.770]  straw poll, they're not going to let them do that this coming year to try to suppress
[01:20:07.770 --> 01:20:08.330]  Kennedy.
[01:20:08.330 --> 01:20:10.730]  So I think that would be an amazing move.
[01:20:10.730 --> 01:20:15.050]  The most important thing that we can do right now as patriots, a lot of people ask me, ask
[01:20:15.050 --> 01:20:16.650]  Ted, ask you, I'm sure.
[01:20:16.650 --> 01:20:18.090]  What can we do?
[01:20:18.090 --> 01:20:20.090]  We know the last election was stolen.
[01:20:20.090 --> 01:20:22.969]  What can we do to prevent it from happening again?
[01:20:22.969 --> 01:20:27.610]  The most important thing, I think, is for us to get involved in local politics, local
[01:20:27.610 --> 01:20:29.690]  elections, get on the school board.
[01:20:29.690 --> 01:20:32.010]  And when you see something, say something.
[01:20:32.010 --> 01:20:39.050]  You know, in Waco, Texas, we had a drag queen story time where they were thrusting half
[01:20:39.050 --> 01:20:41.130]  naked men in front of children.
[01:20:41.130 --> 01:20:42.490]  And you know what, Alex?
[01:20:42.490 --> 01:20:44.010]  We found out about it.
[01:20:44.010 --> 01:20:49.530]  We saw the flyer and the company that cleans our pool was actually sponsoring that event.
[01:20:49.530 --> 01:20:52.010]  So we called them up and we said, guess what?
[01:20:52.010 --> 01:20:54.090]  We're not going to utilize your services anymore.
[01:20:54.090 --> 01:20:55.130]  And they hung up on us.
[01:20:55.130 --> 01:20:57.530]  But that's where we need to get involved.
[01:20:57.530 --> 01:20:59.530]  When you see something, say something.
[01:20:59.530 --> 01:21:04.330]  And it starts with everybody doing what they can do.
[01:21:04.330 --> 01:21:05.850]  Not everybody can be an Alex Jones.
[01:21:05.850 --> 01:21:09.370]  Not everybody can be a Ted Nugent and or President Trump.
[01:21:09.370 --> 01:21:11.130]  But we need to get involved.
[01:21:11.130 --> 01:21:13.690]  God is calling you for such a time as this.
[01:21:15.290 --> 01:21:16.010]  Absolutely.
[01:21:16.010 --> 01:21:16.969]  Shemaine Nugent.
[01:21:16.969 --> 01:21:17.530]  Wow.
[01:21:17.530 --> 01:21:22.650]  And just expanding on that, it's not just the boycott power, but I've gotten in my own
[01:21:22.650 --> 01:21:24.170]  life like this with my wife and family.
[01:21:24.170 --> 01:21:28.730]  I go, look, we got to go through every company we use from pool cleaners to you name it.
[01:21:28.730 --> 01:21:31.530]  And we got to make sure they're at least not communist.
[01:21:31.530 --> 01:21:35.770]  We got to see what they're giving to because they have their own ESG system out of the
[01:21:35.770 --> 01:21:41.610]  UN and BlackRock that is going to track us through the computers and penalize us because
[01:21:41.610 --> 01:21:45.290]  we're Christian, we're populist, we're just not communist.
[01:21:45.290 --> 01:21:46.490]  We got to battle that.
[01:21:46.490 --> 01:21:51.129]  But we have our own ESG where we do not support globalist companies.
[01:21:51.129 --> 01:21:52.490]  Sometimes you can't help it.
[01:21:52.490 --> 01:21:53.610]  You need a digital camera.
[01:21:54.250 --> 01:21:55.370]  All of them are globalist owned.
[01:21:56.170 --> 01:21:57.530]  You need to fly internationally.
[01:21:57.530 --> 01:21:58.410]  They control all that.
[01:21:58.410 --> 01:22:02.250]  But when it comes to everything else, anybody that supports this evil, they're trying to
[01:22:02.250 --> 01:22:02.650]  bully us.
[01:22:02.650 --> 01:22:03.850]  They're trying to bankrupt us.
[01:22:03.850 --> 01:22:04.969]  We just don't support them.
[01:22:04.969 --> 01:22:07.210]  We were in the world, but not of the world.
[01:22:07.210 --> 01:22:09.049]  And but then there's the boycott.
[01:22:09.049 --> 01:22:11.129]  People need to get your book and share it with others.
[01:22:11.129 --> 01:22:12.889]  You need to support InfoWars.
[01:22:12.889 --> 01:22:17.129]  People need to I mean, people don't know this because, you know, you guys haven't complained
[01:22:17.129 --> 01:22:23.129]  a lot, but had and you've obviously lost 20, 30, 40 million dollars a year by all the big
[01:22:23.770 --> 01:22:26.650]  booking companies saying, no, we know you're a hot ticket.
[01:22:26.650 --> 01:22:28.170]  We're not going to let you be in our arenas.
[01:22:28.170 --> 01:22:29.770]  We're not going to even, you know, do that.
[01:22:29.770 --> 01:22:33.930]  But still, you go around the country at, you know, giant public arenas and fill them up.
[01:22:33.930 --> 01:22:36.730]  But you have paid an incredible price.
[01:22:36.730 --> 01:22:39.610]  I paid an incredible price, but it's worth it to pay that price.
[01:22:39.610 --> 01:22:44.250]  But instead of us being persecuted and the Christians and conservatives being isolated,
[01:22:44.250 --> 01:22:48.490]  we need to be prosperous and support each other and build our own infrastructure and
[01:22:48.490 --> 01:22:49.450]  our own communities.
[01:22:49.450 --> 01:22:52.490]  They got Clinton documents when they first got into the 90s.
[01:22:52.490 --> 01:22:56.570]  And they said our main fear is conservatives and Christians will build their own economy
[01:22:56.570 --> 01:22:58.889]  and build their own media and build their own entertainment.
[01:22:58.889 --> 01:23:03.530]  But look at how the Christian movies now are the most profitable and Hollywood's collapsing.
[01:23:03.530 --> 01:23:05.450]  So it's already begun.
[01:23:05.450 --> 01:23:07.770]  And this is how we're going to beat them, in my view.
[01:23:07.770 --> 01:23:10.090]  Can you talk about boycotts and boycotts?
[01:23:10.650 --> 01:23:11.930]  Absolutely.
[01:23:11.930 --> 01:23:16.969]  You know, Ted went through a string of those a couple of years ago when his booking agent
[01:23:16.969 --> 01:23:18.570]  wanted to cancel him.
[01:23:18.570 --> 01:23:20.490]  And now he's on his last tour.
[01:23:20.490 --> 01:23:25.210]  And I promise you, a lot of people have said, OK, you know, Garth Brooks or Kiss, whatever,
[01:23:25.210 --> 01:23:28.490]  they've had a last tour for 10 or 20 years, I think.
[01:23:28.490 --> 01:23:30.650]  But this is Ted's last tour.
[01:23:30.650 --> 01:23:36.250]  So if you want to see him for the last time on a public tour, you can go to TedNugent.com
[01:23:36.250 --> 01:23:37.129]  and grab your tickets.
[01:23:37.129 --> 01:23:38.969]  And there are backstage passes available.
[01:23:38.969 --> 01:23:41.450]  They're called danger zone tickets.
[01:23:41.450 --> 01:23:44.090]  And the reason being, it's not because he doesn't love the music.
[01:23:44.090 --> 01:23:45.290]  He loves the music.
[01:23:45.290 --> 01:23:46.330]  You know that.
[01:23:46.330 --> 01:23:47.610]  It's just the travel.
[01:23:47.610 --> 01:23:49.129]  And you know about that as well.
[01:23:49.129 --> 01:23:51.049]  We want to stay home with our dogs.
[01:23:51.049 --> 01:23:56.730]  We want to stay in the comforts of our home and our community and our garden.
[01:23:56.730 --> 01:23:57.530]  We have our own.
[01:23:57.530 --> 01:24:00.410]  I got you some lavender here, Alex.
[01:24:00.410 --> 01:24:03.610]  Lavender and mint and basil from my garden.
[01:24:03.610 --> 01:24:04.090]  I can't.
[01:24:04.090 --> 01:24:07.290]  I mean, it's like I wish you had smell-o-vision because you can smell it.
[01:24:07.290 --> 01:24:08.250]  It's amazing.
[01:24:08.250 --> 01:24:12.650]  But I've learned from you from watching your shows for the years over the years that you
[01:24:12.650 --> 01:24:18.730]  are a big proponent of living off the land and becoming responsible stewards of this
[01:24:18.730 --> 01:24:20.570]  ground as Ted and I are.
[01:24:20.570 --> 01:24:25.530]  And I've never been more proud to be a bow hunter because we don't have to worry about
