[00:00.000 --> 00:26.000]  You want to stop tyranny well so does he live from the infowars.com studios it's Alex Jones
[1:03:19.000 --> 1:03:26.000]  It's like once you realize these types, I used to read a lot of historical books when I was a teenager
[1:03:26.000 --> 1:03:31.000]  and I read some criminology books, not just Pulp Picture, but some serious ones,
[1:03:31.000 --> 1:03:33.000]  about how the police obsessed it on profiling.
[1:03:33.000 --> 1:03:36.000]  And I used to think, oh, people are more diverse than that.
[1:03:36.000 --> 1:03:40.000]  There's no way because nice people are diverse in their things they do,
[1:03:40.000 --> 1:03:42.000]  not criminals, psychopaths and others.
[1:03:42.000 --> 1:03:45.000]  There's like maybe 15 different types.
[1:03:45.000 --> 1:03:50.000]  And man, you just learned the groups, the types, and it's like how a wild hog acts,
[1:03:50.000 --> 1:03:56.000]  how a white-tailed deer acts, how a puma acts, how a moose acts, you know, how a squirrel acts,
[1:03:56.000 --> 1:03:59.000]  how a buzzard acts, how a fox acts.
[1:03:59.000 --> 1:04:07.000]  And you just, well, you learn how? How a Hollywood executive pedophile devil works for acts.
[1:04:07.000 --> 1:04:11.000]  You see, they want to humiliate children and innocents.
[1:04:11.000 --> 1:04:20.000]  Well, young, beautiful women, it's not about putting them on a pedestal, it's about, you know,
[1:04:20.000 --> 1:04:23.000]  using the bathroom on the floor and making them eat it.
[1:04:23.000 --> 1:04:33.000]  Oh, you want that starring role? You want 20 million? Call me God. Get on the ground and call that God.
[1:04:33.000 --> 1:04:37.000]  I'm Harvey Weinstein. You're not just going to worship me.
[1:04:37.000 --> 1:04:41.000]  You're going to, you're going to worship what I do on the ground.
[1:04:41.000 --> 1:04:45.000]  You want to just listen, listen.
[1:04:45.000 --> 1:04:49.000]  You're going to go with us to a little cabin in the woods next weekend and see what we really do.
[1:04:49.000 --> 1:04:54.000]  Because now that you're into this and you do this, you're going to see what we really do.
[1:04:54.000 --> 1:04:58.000]  You think it's just broads?
[1:04:58.000 --> 1:05:03.000]  Please listen carefully, because I'm about to point out three things that will save you a lot of money
[1:05:03.000 --> 1:05:07.000]  while you get high quality products and fund the InfoWare, a 360 win.
[1:05:07.000 --> 1:05:14.000]  Number one, when you choose AutoShip before checkout, we give you 10% off on your order at InfoWareShore.com.
[1:05:14.000 --> 1:05:19.000]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip
[1:05:19.000 --> 1:05:22.000]  because we hold back a surplus for AutoShip customers.
[1:05:22.000 --> 1:05:27.000]  Number three, we're giving you free shipping on all orders above $50.
[1:05:27.000 --> 1:05:33.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[1:05:33.000 --> 1:05:40.000]  Just go to InfoWareShore.com, select your favorite product or products, click on AutoShip and choose how often you want us to send you another order.
[1:05:40.000 --> 1:05:47.000]  As you know, I coined the term 360 win and with the new AutoShip feature at InfoWareShore.com, this is a sure win.
[1:05:47.000 --> 1:05:49.000]  10% off on AutoShip.
[1:05:49.000 --> 1:05:53.000]  Win, win, win at InfoWareShore.com, free shipping on orders above $50.
[1:05:53.000 --> 1:05:58.000]  And all AutoStock items are never out of stock when you sign up for AutoShip.
[1:06:23.000 --> 1:06:32.000]  Hashtag Hollywood is dead.
[1:06:32.000 --> 1:06:36.000]  Daria, one of our great crew members and producers, just had that idea.
[1:06:36.000 --> 1:06:38.000]  She just sent that out on her Twitter.
[1:06:38.000 --> 1:06:42.000]  I'm going to retweet it here in a few minutes at Real Alex Jones.
[1:06:42.000 --> 1:06:49.000]  And so when you write articles or you post blurbs or you do graphics, hashtag Hollywood is dead.
[1:06:49.000 --> 1:06:54.000]  And I was thinking last night, Mike Sernovich texted me and he said, you know, you did your Bill Clinton's a rapist meme.
[1:06:54.000 --> 1:07:03.000]  You paid out about $200,000 in prizes to folks that confronted Bill and Hillary Clinton.
[1:07:03.000 --> 1:07:11.000]  Now, with the fact that he is a known rapist who settled rape cases, Bill Clinton's a rapist became really one of the main slogans of the campaign and devastated the enemy.
[1:07:11.000 --> 1:07:18.000]  Just like Hillary for Prison and Lock Her Up were pro-generated by the Information Warfare facility right here in the ATX.
[1:07:18.000 --> 1:07:23.000]  That means facilitated by you, the listener, you, the watcher.
[1:07:23.000 --> 1:07:26.000]  You are the resistance.
[1:07:26.000 --> 1:07:31.000]  So Daria put out, soulless servants of Satan.
[1:07:31.000 --> 1:07:34.000]  Hashtag Hollywood is dead.
[1:07:34.000 --> 1:07:36.000]  Don't you love Meathead?
[1:07:36.000 --> 1:07:39.000]  Rob Reiner?
[1:07:39.000 --> 1:07:41.000]  Meathead.
[1:07:41.000 --> 1:07:46.000]  Coming out a few weeks ago with his stupid Morgan Friedman video going,
[1:07:46.000 --> 1:07:48.000]  we are at war with Russia.
[1:07:48.000 --> 1:07:49.000]  They have attacked us.
[1:07:49.000 --> 1:07:51.000]  I can't do a good Morgan Friedman imitation.
[1:07:51.000 --> 1:07:58.000]  But just all of the same fake gravity and gravitas and it had happened.
[1:07:58.000 --> 1:08:01.000]  The Russians stole it and Trump didn't get in.
[1:08:01.000 --> 1:08:02.000]  No, no.
[1:08:02.000 --> 1:08:08.000]  And people keep asking me, like my children, they go, if everyone hates Trump so much, why did he get elected?
[1:08:08.000 --> 1:08:13.000]  And I said to my oldest daughter yesterday, I said, 13-year-old sweetheart.
[1:08:13.000 --> 1:08:16.000]  I said, sweetheart, that's the old corporate media.
[1:08:16.000 --> 1:08:18.000]  I said, do you watch Jimmy Kimmel?
[1:08:18.000 --> 1:08:19.000]  No.
[1:08:19.000 --> 1:08:20.000]  Who's that?
[1:08:20.000 --> 1:08:22.000]  Do you watch CNN?
[1:08:22.000 --> 1:08:23.000]  No.
[1:08:23.000 --> 1:08:26.000]  I mean, do you watch any of that?
[1:08:26.000 --> 1:08:27.000]  She goes, no.
[1:08:27.000 --> 1:08:29.000]  I go, what do you watch?
[1:08:29.000 --> 1:08:32.000]  She goes, will you?
[1:08:32.000 --> 1:08:34.000]  And I said, who do the people watch at your school?
[1:08:34.000 --> 1:08:35.000]  Well, you.
[1:08:35.000 --> 1:08:38.000]  I mean, I go to her school and this isn't about me bragging.
[1:08:38.000 --> 1:08:46.000]  But, like, every grade and then across the street, the high schoolers see me and it's like, it's Alex Jones.
[1:08:46.000 --> 1:08:51.000]  And I don't want to do this on camera because Hollywood stages stuff where people run up with paparazzi.
[1:08:51.000 --> 1:08:52.000]  I started in the 20s.
[1:08:52.000 --> 1:08:58.000]  They would stage cameras and newspapers there to make it look like they were news to get other news to pile on.
[1:08:58.000 --> 1:09:03.000]  But I can literally go out and walk in front of a high school in Austin when it lets out.
[1:09:03.000 --> 1:09:08.000]  And I will be mobbed with people wanting photos and autographs and people, I was just listening to you.
[1:09:08.000 --> 1:09:11.000]  They're not watching Angelina Jo Lee or Morgan Friedman.
[1:09:11.000 --> 1:09:19.000]  And again, I'm not even bragging.
[1:09:19.000 --> 1:09:27.000]  It's court ordered that I go to psychology meetings every two weeks with my daughters.
[1:09:27.000 --> 1:09:32.000]  I mean, I don't have to go, but they go and it's turned out okay overall.
[1:09:32.000 --> 1:09:33.000]  I had a contested divorce.
[1:09:33.000 --> 1:09:36.000]  That's part of the system and that's what happened.
[1:09:36.000 --> 1:09:37.000]  But, I mean, here's an example.
[1:09:37.000 --> 1:09:40.000]  I walk in the psychology place yesterday at four o'clock.
[1:09:40.000 --> 1:09:45.000]  There's a family walking out of some of the other psychology offices.
[1:09:45.000 --> 1:09:46.000]  He shakes my hand.
[1:09:46.000 --> 1:09:48.000]  He's got a young daughter and a son.
[1:09:48.000 --> 1:09:49.000]  Hey, I love the show.
[1:09:49.000 --> 1:09:50.000]  Just listen to the other day.
[1:09:50.000 --> 1:09:51.000]  Love David Knight.
[1:09:51.000 --> 1:09:52.000]  Okay, thanks.
[1:09:52.000 --> 1:09:53.000]  Appreciate it.
[1:09:53.000 --> 1:09:54.000]  I go sit down.
[1:09:54.000 --> 1:09:56.000]  My daughters are inside for an hour.
[1:09:56.000 --> 1:10:02.000]  Before they're about to come out, a 15-year-old girl comes in, sits down.
[1:10:02.000 --> 1:10:04.000]  I don't say anything to her because she's unaccompanied.
[1:10:04.000 --> 1:10:10.000]  Sitting there waiting on my daughter's playing on the phone, sending texts, doing those, researching.
[1:10:10.000 --> 1:10:13.000]  And then her mom walks in and she looks at me.
[1:10:13.000 --> 1:10:14.000]  She looks at her phone.
[1:10:14.000 --> 1:10:17.000]  She goes, I'm listening to Owen Shroyer right now on this app.
[1:10:17.000 --> 1:10:19.000]  And it's something I've never seen.
[1:10:19.000 --> 1:10:20.000]  It's like a blue info or square.
[1:10:20.000 --> 1:10:21.000]  She goes, it's incredible.
[1:10:21.000 --> 1:10:23.000]  And she said, you know, all my neighbors are listening now.
[1:10:23.000 --> 1:10:24.000]  It's amazing.
[1:10:24.000 --> 1:10:27.000]  And again, I'm not bragging, folks.
[1:10:27.000 --> 1:10:29.000]  I'm just saying they know they're dead.
[1:10:29.000 --> 1:10:34.000]  And I'm not saying we're the future or we're cool or we've got red carpets.
[1:10:34.000 --> 1:10:35.000]  That's all stupid.
[1:10:35.000 --> 1:10:40.000]  The point is they are the past.
[1:10:40.000 --> 1:10:41.000]  They know they've collapsed.
[1:10:41.000 --> 1:10:43.000]  They know they're a joke.
[1:10:43.000 --> 1:10:45.000]  But let me tell you something.
[1:10:45.000 --> 1:10:48.000]  The radio executives, who are great guys in many cases, they're old line conservatives,
[1:10:48.000 --> 1:10:53.000]  a lot of them, they don't know that their grandkids are listening.
[1:10:53.000 --> 1:11:00.000]  If you're Trump or you're these folks, you know new media is bigger than mainstream media,
[1:11:00.000 --> 1:11:03.000]  but still what you read the New York Times.
[1:11:03.000 --> 1:11:05.000]  And so that still is what matters to you.
[1:11:05.000 --> 1:11:07.000]  But that's almost over, folks.
[1:11:07.000 --> 1:11:09.000]  That generation is almost gone.
[1:11:09.000 --> 1:11:10.000]  And they're great people.
[1:11:10.000 --> 1:11:13.000]  I'm not, I'm not glad to say it.
[1:11:13.000 --> 1:11:16.000]  But the statistics show what I just told you.
[1:11:16.000 --> 1:11:20.000]  And it's not just that some of my children go to one particular school.
[1:11:20.000 --> 1:11:23.000]  So they watch and listen there.
[1:11:23.000 --> 1:11:28.000]  Young people, when they see me at the mall or wherever, literally their mouths hang up and they go,
[1:11:28.000 --> 1:11:30.000]  it's the living meme.
[1:11:30.000 --> 1:11:39.000]  Trendies, old people, black folks, Hispanics, executive class Hispanics, Hispanic guys,
[1:11:39.000 --> 1:11:43.000]  you know, five guys walking through at the mall with gold chains all around their neck.
[1:11:43.000 --> 1:11:44.000]  That's Alex Jones.
[1:11:44.000 --> 1:11:45.000]  We love you so much.
[1:11:45.000 --> 1:11:46.000]  It doesn't matter.
[1:11:46.000 --> 1:11:49.000]  It's all groups because they know this is as close to reality as you're going to get.
[1:11:49.000 --> 1:11:52.000]  We're really trying to find the truth.
[1:11:52.000 --> 1:11:54.000]  That's why they call us racists all day.
[1:11:54.000 --> 1:11:56.000]  Because everybody loves us.
[1:11:56.000 --> 1:12:00.000]  People aren't stupid.
[1:12:00.000 --> 1:12:03.000]  So when I tell you all this, it's not bragging.
[1:12:03.000 --> 1:12:07.000]  It's so you understand when you're not a media person and you're alone
[1:12:07.000 --> 1:12:10.000]  and you wear a Trump shirt or an Info War shirt
[1:12:10.000 --> 1:12:13.000]  and somebody tries to throw coffee on you.
[1:12:13.000 --> 1:12:15.000]  Well, that's one out of 20 people that walk by you.
[1:12:15.000 --> 1:12:20.000]  And they're down so desperate knowing their evil control of society is over.
[1:12:20.000 --> 1:12:22.000]  They're in on the game, man.
[1:12:22.000 --> 1:12:28.000]  That's why they almost all look like goblins or trolls or are always into weird, sick stuff.
[1:12:28.000 --> 1:12:30.000]  They want to pull down civilization.
[1:12:30.000 --> 1:12:34.000]  Weinstein wants women to come in, watch him get naked, get in the shower,
[1:12:34.000 --> 1:12:37.000]  make supermodels, watch this disgusting guy.
[1:12:37.000 --> 1:12:39.000]  And then now they submit to that degradation.
[1:12:39.000 --> 1:12:41.000]  Well, now the relationship continues.
[1:12:41.000 --> 1:12:43.000]  That's how he tests you out.
[1:12:43.000 --> 1:12:48.000]  And it gets real nasty, real gross, real fast.
[1:12:48.000 --> 1:12:57.000]  That's what Hollywood is, making you watch, making your children watch Harvey Weinstein take a shower.
[1:12:57.000 --> 1:13:01.000]  It's an act of domination, an act of control.
[1:13:01.000 --> 1:13:06.000]  Lenin Maynes Johnson, this is on record and Pulitzer Prize winning books,
[1:13:06.000 --> 1:13:16.000]  would hold cabinet meetings while he took extended, incredibly stench filled dumps.
[1:13:16.000 --> 1:13:19.000]  And he did it to dominate people.
[1:13:19.000 --> 1:13:22.000]  He did it to break them.
[1:13:22.000 --> 1:13:30.000]  And that's all Hollywood is in the NFL and Kaepernick and all these super uncool people like LeBron James and Eminem all getting together.
[1:13:30.000 --> 1:13:33.000]  And, you know, the same headline everywhere, a fierce attack.
[1:13:33.000 --> 1:13:37.000]  I saw it in just headlines everywhere, a fierce attack by Eminem,
[1:13:37.000 --> 1:13:43.000]  just some pathetic corporate shill with LeBron James and the dumb zombies that still think it's cool.
[1:13:43.000 --> 1:13:51.000]  Yeah, there's still a big component of schmucks that go spend their money on that and think it's all cool.
[1:13:51.000 --> 1:13:54.000]  But it's not to young people anymore.
[1:13:54.000 --> 1:14:01.000]  They're like, Dad, I don't want to go see a Harrison Ford movie.
[1:14:01.000 --> 1:14:03.000]  You know, my dad's a cool guy, a nice guy.
[1:14:03.000 --> 1:14:07.000]  He was really excited about the new Blade Runner and he got tickets and wanted me and my son to go.
[1:14:07.000 --> 1:14:09.000]  And I said, Dad, I just I'm going to work. I don't want to go.
[1:14:09.000 --> 1:14:13.000]  And he went and picked my son up and my son said to his grandfather.
[1:14:13.000 --> 1:14:19.000]  He said, let's just go over to your house and swim in your pool with Grandma and maybe play cards or something.
[1:14:19.000 --> 1:14:23.000]  I don't want to go see a Hollywood movie.
[1:14:23.000 --> 1:14:26.000]  I didn't have to tell him that.
[1:14:26.000 --> 1:14:30.000]  He didn't want to watch.
[1:14:30.000 --> 1:14:33.000]  Hollywood.
[1:14:33.000 --> 1:14:36.000]  You don't want to be part of it.
[1:14:36.000 --> 1:14:42.000]  It's finale final by ship sailed train at the station gate got left open.
[1:14:42.000 --> 1:14:44.000]  The cows are gone.
[1:14:44.000 --> 1:14:45.000]  It's done.
[1:14:45.000 --> 1:14:49.000]  And they don't you don't think they don't know that.
[1:14:49.000 --> 1:14:51.000]  They want to sexualize your children.
[1:14:51.000 --> 1:14:53.000]  They want to brain damage them.
[1:14:53.000 --> 1:14:54.000]  They want to inject them.
[1:14:54.000 --> 1:15:01.000]  Seeing it admits a normal ingestion of the fluoride they put in the average U.S. water supply.
[1:15:01.000 --> 1:15:07.000]  1.3 parts per million lowers your child's IQ by 15 points.
[1:15:07.000 --> 1:15:13.000]  A kick in the head from a horse when they're two years old won't do that.
[1:15:13.000 --> 1:15:15.000]  And you know what?
[1:15:15.000 --> 1:15:20.000]  The average vaccine schedule they now admits is upwards of a 20 point reduction, 15 to 20.
[1:15:20.000 --> 1:15:22.000]  We're talking 30 points, folks.
[1:15:22.000 --> 1:15:25.000]  That takes you from 130 which is near genius to regular.
[1:15:25.000 --> 1:15:32.000]  If you were just going to be a regular person, that's mentally retarded.
[1:15:32.000 --> 1:15:36.000]  But you don't get a Down syndrome chromosomal manifestation.
[1:15:36.000 --> 1:15:41.000]  You get somebody who had a high powered brain, but it's so fried they've got autism.
[1:15:41.000 --> 1:15:45.000]  Which is what soldiers get hit with chemical weapons act like they got autism too.
[1:15:45.000 --> 1:15:47.000]  They sit in the corner and do this the rest of their life.
[1:15:47.000 --> 1:15:50.000]  That's what chemical weapons do.
[1:15:50.000 --> 1:15:55.000]  Comprende? You have been warned. Home call straight ahead.
[1:16:20.000 --> 1:16:26.000]  This morning mouthwash features natural oils and ancient ingredients used since Aboriginal and Biblical times.
[1:16:26.000 --> 1:16:31.000]  Instead of containing fluoride, our super blue line is loaded with the good halogen iodine
[1:16:31.000 --> 1:16:36.000]  and an array of other beneficial compounds that have been hand selected for their oral health benefits.
[1:16:36.000 --> 1:16:43.000]  Super blue fluoride free mouthwash and toothpaste are the first and only to contain all of these natural ingredients.
[1:16:43.000 --> 1:16:46.000]  Xylitol, nano silver and iodine.
[1:16:46.000 --> 1:16:50.000]  Notice the difference with our super blue fluoride free products.
[1:16:50.000 --> 1:16:55.000]  Refresh your breath and invigorate your oral health routine at infowarstore.com.
[1:16:55.000 --> 1:17:22.000]  At infowarstore.com.
[1:17:22.000 --> 1:17:27.000]  Patrick Henry warned us the liberties of a people never were nor ever will be secure
[1:17:27.000 --> 1:17:31.000]  when the transactions of their rulers may be concealed from them.
[1:17:31.000 --> 1:17:35.000]  Today everything the government does at every level is concealed from us.
[1:17:35.000 --> 1:17:40.000]  We have trade deals to manage our economy that not even our elected representatives are allowed to see.
[1:17:40.000 --> 1:17:44.000]  Later in life Patrick Henry looked back and said when the American spirit was in its youth,
[1:17:44.000 --> 1:17:48.000]  the language of America was different. Liberty, sir, was the primary object.
[1:17:48.000 --> 1:17:54.000]  Today our primary concern is safety and comfort when we should be demanding liberty.
[1:17:54.000 --> 1:18:22.000]  At infowarstore.com I'm David Knight.
[1:18:22.000 --> 1:18:27.000]  Thank you so much for joining us today.
[1:18:52.000 --> 1:18:54.000]  Thank you doctor group from the Global Healing Center.
[1:18:54.000 --> 1:19:23.000]  Thank you so much for all your work sir on this great product.
[1:19:24.000 --> 1:19:46.000]  Thank you so much for joining us today.
[1:19:46.000 --> 1:20:08.000]  And that's what I call the miracle of food preservation.
[1:20:08.000 --> 1:20:28.000]  From the front lines of the information war it's Alex Jones.
[1:20:28.000 --> 1:20:35.000]  Notice you don't hear stuff like this in Hollywood movies anymore because Hollywood's been dead for a long time.
[1:20:35.000 --> 1:20:41.000]  You'll see Hollywood wanted to drag the rest of the world with it.
[1:20:41.000 --> 1:20:44.000]  And they've been rejected all over the planet.
[1:20:44.000 --> 1:20:50.000]  So over the last 10 years they've been bankrupt and the communist Chinese have been bankrupting them.
[1:20:50.000 --> 1:20:52.000]  That didn't save them either.
[1:20:52.000 --> 1:20:56.000]  Now it's accelerated their collapse.
[1:20:56.000 --> 1:21:04.000]  And I don't vengefully take pleasure in watching this group of pedophiles start to really accelerate their journey to hell.
[1:21:04.000 --> 1:21:12.000]  I take pleasure to breathe in air and feel a little bit less weight on my soul.
[1:21:12.000 --> 1:21:13.000]  We're close.
[1:21:13.000 --> 1:21:15.000]  It's going to be rough though.
[1:21:15.000 --> 1:21:17.000]  We've turned the tide.
[1:21:17.000 --> 1:21:18.000]  Make no mistake.
[1:21:18.000 --> 1:21:20.000]  Praise God for that.
[1:21:20.000 --> 1:21:27.000]  And thank his son Jesus Christ for what he did on the cross because these enemies hate it because they know how real it is.
[1:21:27.000 --> 1:21:30.000]  It has spiritual power over them.
[1:21:30.000 --> 1:21:32.000]  It binds them and they know it.
[1:21:32.000 --> 1:21:36.000]  It's the trump card.
[1:21:36.000 --> 1:21:45.000]  I'm going to go to your phone calls and then as I said a little bit earlier, it is absolutely admitted now.
[1:21:45.000 --> 1:21:52.000]  And they're trying to walk it back and they don't know how to kind of let it out and notice.
[1:21:52.000 --> 1:21:55.000]  Just a week ago it was the biggest story in the world.
[1:21:55.000 --> 1:21:56.000]  We're going to get your guns.
[1:21:56.000 --> 1:21:58.000]  The second amendment to blame.
[1:21:58.000 --> 1:22:00.000]  Christians are to blame.
[1:22:00.000 --> 1:22:02.000]  White people are inherently evil.
[1:22:02.000 --> 1:22:05.000]  It's always weird white people saying it.
[1:22:05.000 --> 1:22:14.000]  I don't like quoting the people saying it without pointing out most of them are white because it makes it sound like folks that aren't white are the ones saying it and then it creates division.
[1:22:14.000 --> 1:22:22.000]  No, it's 95% of it white people trying to get a race war going because they're the crooks up there running things and they know we're waking up.
[1:22:22.000 --> 1:22:23.000]  They want to see each other's throats.
[1:22:23.000 --> 1:22:26.000]  I mean, this is ridiculously obvious.
[1:22:26.000 --> 1:22:30.000]  We're so close.
[1:22:30.000 --> 1:22:32.000]  But it's epic.
[1:22:32.000 --> 1:22:41.000]  They started coming out two days ago going, okay, maybe ISIS was involved in the Associated Press in Reuters and then in Newsweek yesterday.
[1:22:41.000 --> 1:22:50.000]  And they went, okay, looks like there is Islamic connections and well, there is a cover up and the timelines changing and other people were shot.
[1:22:50.000 --> 1:22:52.000]  We hadn't told you about it.
[1:22:52.000 --> 1:22:57.000]  Turns out the whole timeline is not right and hey, listen.
[1:22:57.000 --> 1:23:00.000]  Now the cops from day one have been leaking this.
[1:23:00.000 --> 1:23:01.000]  Okay.
[1:23:01.000 --> 1:23:11.000]  And listen, you think I want to be the one that had the hostage rescue team connection to always be up front to take the danger of that and not set it to act cool folks.
[1:23:11.000 --> 1:23:14.000]  It's dangerous doing this.
[1:23:14.000 --> 1:23:18.000]  It's dangerous people that gave it to us.
[1:23:18.000 --> 1:23:22.000]  They said, there's Islamic stuff all over the room, there's anti-fascist stuff, trips to the Middle East.
[1:23:22.000 --> 1:23:25.000]  It all came out a week later.
[1:23:25.000 --> 1:23:27.000]  What's in the news now?
[1:23:27.000 --> 1:23:31.000]  And I'm going to your calls.
[1:23:31.000 --> 1:23:34.000]  Adon Salazar, this story should go around the world.
[1:23:34.000 --> 1:23:36.000]  It's on newswars.com.
[1:23:36.000 --> 1:23:37.000]  It's on infowars.com.
[1:23:37.000 --> 1:23:45.000]  But what's crazy is it's linked here to mainstream news.
[1:23:45.000 --> 1:23:48.000]  In fact, print me that first link out of Adon's article, please.
[1:23:48.000 --> 1:23:50.000]  I want to have that show folks as well.
[1:23:50.000 --> 1:23:56.000]  Because if I don't, the media is so deceptive they'll go, look, Jones put out fake news that the person had said this when they actually said it.
[1:23:56.000 --> 1:23:59.000]  So I want to show the source of that.
[1:23:59.000 --> 1:24:08.000]  Mandalay Bay owner, what's being expressed by police may not be accurate.
[1:24:08.000 --> 1:24:18.000]  That's out of Fox in Las Vegas, Nevada, and the Associated Press.
[1:24:18.000 --> 1:24:19.000]  There it is.
[1:24:19.000 --> 1:24:22.000]  Hotel questions do timeline of Vegas shooting.
[1:24:22.000 --> 1:24:25.000]  I'll say it again, as I said, last Friday.
[1:24:25.000 --> 1:24:31.000]  The cover-up has collapsed.
[1:24:31.000 --> 1:24:33.000]  We know there were multiple shooters.
[1:24:33.000 --> 1:24:36.000]  We know more people were shot at other locations than they've said.
[1:24:36.000 --> 1:24:41.000]  We know there's an Islamic connection, and we've even got it from the White House.
[1:24:41.000 --> 1:24:46.000]  And by the way, I had it from the White House before the Republican operative came out.
[1:24:46.000 --> 1:24:53.000]  I just don't want to blow our sources.
[1:24:53.000 --> 1:24:59.000]  And there's not many left.
[1:24:59.000 --> 1:25:01.000]  So that's why.
[1:25:01.000 --> 1:25:02.000]  But they know.
[1:25:02.000 --> 1:25:03.000]  I know they know.
[1:25:03.000 --> 1:25:08.000]  So what's the point of hiding your line under a bushel?
[1:25:08.000 --> 1:25:09.000]  So here it is.
[1:25:09.000 --> 1:25:11.000]  Associated Press.
[1:25:11.000 --> 1:25:13.000]  Mandalay Bay owner.
[1:25:13.000 --> 1:25:15.000]  What's being expressed by police may not be accurate.
[1:25:15.000 --> 1:25:20.000]  We cannot be certain about the most recent timeline that has been communicated publicly.
[1:25:20.000 --> 1:25:21.000]  I'm certain.
[1:25:21.000 --> 1:25:23.000]  Think so.
[1:25:23.000 --> 1:25:30.000]  You got hotels a mile away with glass and bullet cases everywhere in police shooting other men and shootouts in other parts of the city.
[1:25:30.000 --> 1:25:32.000]  All over police scanners.
[1:25:32.000 --> 1:25:33.000]  It wasn't fog in the war.
[1:25:33.000 --> 1:25:35.000]  It was cops reporting shots fired.
[1:25:35.000 --> 1:25:36.000]  People shooting here.
[1:25:36.000 --> 1:25:37.000]  People shooting there.
[1:25:37.000 --> 1:25:38.000]  They weren't paying it.
[1:25:38.000 --> 1:25:41.000]  The cab driver's like, well, that's far away.
[1:25:41.000 --> 1:25:43.000]  And then she's at Mandalay.
[1:25:43.000 --> 1:25:44.000]  Right above her.
[1:25:44.000 --> 1:25:45.000]  Seconds later, the guns go off.
[1:25:45.000 --> 1:25:47.000]  It's not an echo.
[1:25:47.000 --> 1:25:50.000]  Anybody that's shot firearms knows that.
[1:25:50.000 --> 1:25:53.000]  Other people shoot full auto out in the countryside, mile away.
[1:25:53.000 --> 1:25:56.000]  Sounds just like that.
[1:25:56.000 --> 1:26:00.000]  And then bam, bam, bam, bam, bam, bam, right on top of her.
[1:26:00.000 --> 1:26:03.000]  She's sitting in the same spot.
[1:26:03.000 --> 1:26:06.000]  But I already had the sources.
[1:26:06.000 --> 1:26:11.000]  We already had all the info we already know.
[1:26:11.000 --> 1:26:13.000]  There's a giant cover up.
[1:26:13.000 --> 1:26:16.000]  There was a giant terror attack.
[1:26:16.000 --> 1:26:18.000]  Part of it got stopped.
[1:26:18.000 --> 1:26:21.000]  A bunch of it didn't.
[1:26:21.000 --> 1:26:26.000]  And they don't want to tell America that ISIS attacked a major setting.
[1:26:26.000 --> 1:26:33.000]  The argument is, from the White House sources, is they've told the president, sir, if you do that,
[1:26:33.000 --> 1:26:35.000]  it will trigger the other mass attacks.
[1:26:35.000 --> 1:26:38.000]  And see, you can tell what the intel operas at the top are globalist.
[1:26:38.000 --> 1:26:40.000]  When all hell breaks loose, as I said months ago,
[1:26:40.000 --> 1:26:44.000]  they're going to use the ISIS attack as the cover for the Antifa and others
[1:26:44.000 --> 1:26:48.000]  and then more professional teams after that to target folks politically
[1:26:48.000 --> 1:26:53.000]  and say, oh, it's just ISIS.
[1:26:53.000 --> 1:27:01.000]  So the next time they really launched the attack and it's 500 targets in one hour,
[1:27:01.000 --> 1:27:08.000]  no one's going to notice in all the hubbub certain political leaders getting attacked and taken out as well.
[1:27:08.000 --> 1:27:11.000]  They already tried and even the Washington Times had an in-depth investigation
[1:27:11.000 --> 1:27:16.000]  that law enforcement believes that was a target to take out 15 members of Congress to trigger a special election.
[1:27:16.000 --> 1:27:21.000]  That was a setup by another Dennis Hastert lookalike.
[1:27:21.000 --> 1:27:24.000]  It's like an army of these guys.
[1:27:24.000 --> 1:27:26.000]  When you read criminology, they don't know why.
[1:27:26.000 --> 1:27:32.000]  It's just, it's weird how certain criminal types look certain ways.
[1:27:32.000 --> 1:27:36.000]  It's just, it's bizarre.
[1:27:36.000 --> 1:27:41.000]  Now, ladies and gentlemen, I don't know all of it, okay?
[1:27:41.000 --> 1:27:43.000]  Because the enemy's got different plans as well.
[1:27:43.000 --> 1:27:49.000]  But they got a bunch of stuff cooking right now and I'm telling you,
[1:27:49.000 --> 1:27:54.000]  this month and coming into November 4th, you're going to see stuff happen
[1:27:54.000 --> 1:27:57.000]  if we don't derail this and stop it by exposing it.
[1:27:57.000 --> 1:28:03.000]  That's going to make man delay and that event look like child's play.
[1:28:03.000 --> 1:28:06.000]  And don't say you haven't been born.
[1:28:06.000 --> 1:28:12.000]  And let me tell you something.
[1:28:12.000 --> 1:28:17.000]  Listeners, if you're awake working the night shift and there's a mass shooting,
[1:28:17.000 --> 1:28:19.000]  call your whole family and say get up.
[1:28:19.000 --> 1:28:24.000]  Because when the big one comes and they attack a bunch of targets,
[1:28:24.000 --> 1:28:28.000]  we need people up during the night understanding and videotaping
[1:28:28.000 --> 1:28:31.000]  and exposing what's happening and reporting on it ahead of the morning.
[1:28:31.000 --> 1:28:34.000]  Because they're going to want a lot of time to get their narrative straight.
[1:28:34.000 --> 1:28:38.000]  So I think they target during shift change, 10 p.m. to midnight,
[1:28:38.000 --> 1:28:42.000]  where most forces are having shift changes in much of the country,
[1:28:42.000 --> 1:28:45.000]  the East Coast, Central Areas and Mountain.
