[00:00:01.616 --> 00:00:03.397]  We are on the march.
[00:26:01.004 --> 00:26:06.026]  It's time for Democrats and Republicans who want populism and common sense.
[00:26:06.906 --> 00:26:13.051]  To come together and say we want the whole Bill of Rights, the First Amendment, the free speech, the Second Amendment, the right to defense.
[00:26:13.051 --> 00:26:20.216]  We want the Fourth Amendment, the right to be secure in our papers' effects and not be spied on by the NSA and not drive into checkpoints.
[00:26:20.216 --> 00:26:23.179]  The Fifth Amendment, to not have to self-incriminate and answer government questions.
[00:26:23.559 --> 00:26:33.107]  Right through the 6th and the 7th and not have troops quartered in our homes and have access to lawyers and right through the 9th that all the things listed in this Bill of Rights aren't all of our rights.
[00:26:33.107 --> 00:26:34.988]  We have all these other rights as well.
[00:26:34.988 --> 00:26:39.652]  And the 10th Amendment, you're supposed to have a federal and state government so you don't have a centralization of control.
[00:26:39.652 --> 00:26:41.834]  Just like the President's becoming dictatorial.
[00:26:41.834 --> 00:26:43.475]  We're going into a crisis.
[00:26:43.475 --> 00:26:49.220]  We're being taken over by unscrupulous globalist organizations that are totally and completely bloodthirsty.
[00:26:49.700 --> 00:26:50.721]  And are ruthless.
[00:26:50.721 --> 00:26:57.385]  The people running our government all over the world would rather put dictatorships in and oligarchies in than free nations.
[00:26:58.769 --> 00:27:06.974]  I mean, they're trying to overthrow Ukraine, the West and George Soros, to put in authoritarianism, not put in freedom.
[00:27:06.974 --> 00:27:18.722]  And then the Russians come in and take over an area that has their military bases and their gas lines, it's mainly Russian, and the media calls it an invasion, and now the Ukrainian troops are massing for a war with Russia.
[00:27:18.722 --> 00:27:22.905]  All of this started by Hillary Clinton and the rest of the globalists.
[00:27:23.680 --> 00:27:24.841]  These are not liberals.
[00:27:24.841 --> 00:27:32.428]  They use the little old lady thing, oh, I'm a trendy, oh, I'm a hippie, oh, I want to stop racism as their cover.
[00:27:32.428 --> 00:27:36.792]  They're hardcore master villains, ladies and gentlemen.
[00:27:36.792 --> 00:27:38.514]  And you've got to understand that.
[00:27:38.514 --> 00:27:41.717]  The Democratic Party is the cutting edge of the New World Order.
[00:27:42.137 --> 00:27:47.523]  And as society collapses and as things unravel, remember you judge a tree by its fruits, as Christ said.
[00:27:47.523 --> 00:27:56.453]  The fruits of trendy socialism and collectivism and progressivism is the fruits of slavery, the fruits of bondage, the fruits of tyranny.
[00:27:56.994 --> 00:27:58.656]  The fruits of being slaves.
[00:27:58.656 --> 00:28:00.017]  Look at where we're going.
[00:28:00.017 --> 00:28:01.258]  It isn't good.
[00:28:01.258 --> 00:28:05.703]  Now coming up, we've got the newscast in Detroit where the police chief says, arm yourselves.
[00:28:05.703 --> 00:28:08.125]  And the head of Interpol says, arm yourselves.
[00:28:08.125 --> 00:28:09.286]  That lowers crime.
[00:28:09.286 --> 00:28:10.748]  Good things are happening.
[00:28:10.748 --> 00:28:15.933]  David Knight, you've got special reports coming up with yourself and Anthony Gucciardi here on the Alex Jones Show.
[00:28:15.933 --> 00:28:17.555]  Tell us as we go to break what's coming up.
[00:28:17.981 --> 00:28:18.662]  That's right, Alex.
[00:28:18.662 --> 00:28:21.865]  We've got a lot more news about CPAC, about South by Southwest.
[00:28:21.865 --> 00:28:28.773]  You know, these are the two places in the last couple of days, and of course moving forward at South by Southwest, where they're trying to manufacture consent.
[00:28:28.773 --> 00:28:32.737]  Not only for gun control, but for foreign wars, for the surveillance state.
[00:28:32.737 --> 00:28:35.520]  So we're going to look at what they're saying there, the back and forth.
[00:28:35.520 --> 00:28:37.602]  We even saw a journalist kicked out of CPAC.
[00:28:37.602 --> 00:28:38.864]  We're going to talk about the war on journalism.
[00:28:39.264 --> 00:28:42.088]  They're trying to create the illusion that they're the establishment.
[00:28:42.088 --> 00:28:44.090]  The illusion they're in charge.
[00:28:44.090 --> 00:28:44.371]  That's right.
[00:28:44.371 --> 00:28:47.775]  It's like a five-year-old telling his parents he's the boss and they bow down to it.
[00:28:47.775 --> 00:28:49.918]  Stop letting them rule your lives.
[00:28:49.918 --> 00:28:51.860]  Revolt intellectually against them.
[00:28:51.860 --> 00:28:52.921]  David Knight's coming up.
[00:28:52.921 --> 00:28:54.964]  He's going to be quarterbacking the whole show.
[00:28:54.964 --> 00:28:55.685]  Stay with us.
[00:28:55.685 --> 00:28:57.107]  InfoWars.com.
[00:28:57.107 --> 00:28:57.928]  Spread the word.
[00:29:00.034 --> 00:29:02.856]  Hi folks, Alex Jones here with some important information.
[00:29:02.856 --> 00:29:08.000]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:29:08.000 --> 00:29:16.105]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:29:16.105 --> 00:29:20.648]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:29:20.648 --> 00:29:24.471]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:29:24.611 --> 00:29:30.552]  They now operate two distribution facilities and employ over 50 hardworking American men and women.
[00:29:30.552 --> 00:29:33.713]  It is rare to find companies who practice what they preach.
[00:29:33.713 --> 00:29:39.094]  And that's why I stock my pantry with high quality storable foods from My Patriot Supply.
[00:29:39.094 --> 00:29:47.276]  Go to mypatriotsupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:29:47.276 --> 00:29:47.536]  That's 866-229-0927.
[00:29:47.536 --> 00:29:48.076]  Do business
[00:29:54.557 --> 00:30:03.060]  The Globalist Social Engineers are not just targeting us with propaganda.
[00:30:03.060 --> 00:30:05.481]  They are manipulating our genetics.
[00:30:05.481 --> 00:30:14.084]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:30:14.084 --> 00:30:22.047]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO organic
[00:30:22.367 --> 00:30:30.392]  Super Male Vitality formula sourced from powerful organic herbs and then concentrated for maximum potency.
[00:30:30.392 --> 00:30:38.438]  Super Male Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:30:38.438 --> 00:30:44.782]  Super Male Vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[00:30:44.782 --> 00:30:46.663]  For a limited time, we are offering
[00:30:46.863 --> 00:30:54.146]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:30:54.146 --> 00:30:55.386]  Guess what else is in the halogen family?
[00:31:12.392 --> 00:31:13.272]  Fluoride.
[00:31:13.272 --> 00:31:15.193]  Ladies and gentlemen, Alex Jones here.
[00:31:15.193 --> 00:31:21.755]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:31:21.755 --> 00:31:24.695]  It's the good halogen on the periodic table.
[00:31:24.695 --> 00:31:26.676]  And the results are on record.
[00:31:26.676 --> 00:31:32.998]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[00:31:32.998 --> 00:31:35.418]  Bottom line, iodine is important.
[00:31:35.418 --> 00:31:38.359]  Unbound, clean, in a glycerin base.
[00:31:38.359 --> 00:31:41.740]  Nascent iodine was the answer for myself and my family.
[00:31:41.860 --> 00:31:47.282]  You will find Survival Shield Nascent Iodine exclusively at InfoWarsLife.com.
[00:31:47.282 --> 00:31:52.385]  InfoWars Life Survival Shield Nascent Iodine isn't just for emergencies.
[00:31:52.385 --> 00:31:53.585]  I take it every day.
[00:31:53.585 --> 00:31:55.606]  That's InfoWarsLife.com.
[00:31:55.606 --> 00:31:56.446]  Or call toll-free 888-253-9000.
[00:31:58.107 --> 00:32:12.924]  3 1 3 9 introducing pro wine all of your filtration in one system portable on-the-go no more do you have two or three filters to just reduce sodium fluoride you have a system that cuts out the sodium fluoride and up to nine
[00:32:13.825 --> 00:32:26.736]  95% of hydrofluorosilicic acid advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:32:26.736 --> 00:32:33.221]  It is the only one that does it and out of the gates we have a discounted at 10% off with promo code water.
[00:32:33.221 --> 00:32:39.627]  This is the only system that in one unit helps reduce or remove pesticides, herbicides,
[00:32:39.867 --> 00:32:50.513]  Chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:32:50.513 --> 00:32:56.456]  Get your Pro-Pure with the new Pro-1 filters today at infowarestore.com or by calling 888-253-3139.
[00:32:56.456 --> 00:33:04.620]  Coast to Coast, direct from Austin.
[00:33:04.620 --> 00:33:07.841]  You're listening to the Alex Jones Broadcasting Network.
[00:33:11.926 --> 00:33:15.509]  Crashing through the lies and disinformation.
[00:33:15.509 --> 00:33:19.672]  It's Alex Jones on the GCN Radio Network.
[00:33:22.278 --> 00:33:23.859]  Welcome back to the Alex Jones Show.
[00:33:23.859 --> 00:33:25.361]  I'm David Knight, filling in for Alex.
[00:33:25.361 --> 00:33:27.322]  I'm joined here in studio with Anthony Gucciardi.
[00:33:27.322 --> 00:33:29.424]  We're here on this Sunday, March 9th, 2014.
[00:33:29.424 --> 00:33:34.929]  And as Alex was just talking about it, they're losing the war on gun control.
[00:33:34.929 --> 00:33:37.992]  They're losing the war on trying to start foreign wars.
[00:33:37.992 --> 00:33:39.693]  A war of surveillance against U.S.
[00:33:39.693 --> 00:33:40.074]  citizens.
[00:33:40.074 --> 00:33:43.397]  We've got a lot of information coming up about South by Southwest.
[00:33:43.877 --> 00:33:51.460]  Julian Assange had some interesting quotes about the nature of privacy and power and how you transfer one, you transfer the other.
[00:33:51.460 --> 00:33:55.901]  But we want to go first to this clip from the Detroit Police Chief James Craig.
[00:33:55.901 --> 00:33:58.782]  Listen to what he has to say about citizens who are armed.
[00:33:59.195 --> 00:34:04.597]  Now, Carmen, it's not often you hear the police chief of a major city encouraging residents to arm themselves.
[00:34:04.597 --> 00:34:07.658]  But in this case, that's what the police chief is doing.
[00:34:07.658 --> 00:34:16.381]  He is saying, essentially, that if thieves and robbers are going to come in and rape and pillage or worse, they need to be aware that the homeowners are going to be ready.
[00:34:17.813 --> 00:34:20.515]  A lot of good Detroiters are fed up.
[00:34:20.515 --> 00:34:22.216]  Chief James Craig among them.
[00:34:22.216 --> 00:34:33.104]  He says the bizarre cases of armed robbers even knowing the residents have guns and still breaking in shows a different brand of brazen criminal in Detroit and he has a message for them.
[00:34:33.104 --> 00:34:39.669]  The message should be that, you know, people are going to protect themselves.
[00:34:39.669 --> 00:34:41.230]  They're tired.
[00:34:41.230 --> 00:34:43.591]  They've been dealing with this epidemic of violence.
[00:34:44.471 --> 00:34:47.452]  They're afraid, and they have a right to protect themselves.
[00:34:47.452 --> 00:34:52.113]  A woman with a concealed carry permit shot and killed a carjacker in a driveway this week.
[00:34:52.113 --> 00:34:54.453]  The chief says, as it should be.
[00:34:54.453 --> 00:35:03.536]  You know, if you're confronted with an immediate threat to your safety, you never have time to dial 911.
[00:35:03.536 --> 00:35:04.036]  You know?
[00:35:04.036 --> 00:35:09.197]  I mean, so it becomes an issue of, the threat's here, I have to respond to the threat.
[00:35:09.830 --> 00:35:20.094]  He is careful to point out, unlike the Dearborn shooting of a few months ago, where an injured woman was merely knocking on a door when the homeowner fired through it, there needs to be a true threat coming at you.
[00:35:20.094 --> 00:35:21.454]  That's exactly right.
[00:35:21.454 --> 00:35:24.235]  They're talking about two new events that just happened this week.
[00:35:24.235 --> 00:35:27.436]  Now, there was a third event that happened just a couple weeks ago.
[00:35:27.436 --> 00:35:31.298]  If you remember, there was a mom who had been victimized with break-ins at her house.
[00:35:31.298 --> 00:35:36.920]  She got a surveillance camera, she got a gun, she protected her children from three thugs who were trying to do a home invasion.
[00:35:37.620 --> 00:35:39.101]  And the police caught the guy.
[00:35:39.101 --> 00:35:41.301]  She ran them off and the police caught them.
[00:35:41.301 --> 00:35:44.763]  What would happen in a place like New York or Chicago?
[00:35:44.763 --> 00:35:49.664]  Well, that mom would be a criminal in the first place for even getting a gun to defend herself.
[00:35:49.664 --> 00:35:51.205]  And they probably wouldn't have caught the criminal.
[00:35:51.205 --> 00:35:52.285]  They usually don't.
[00:35:52.285 --> 00:35:54.926]  And then they would have arrested and prosecuted her.
[00:35:54.926 --> 00:35:56.107]  But as I pointed out in that video,
[00:35:56.727 --> 00:36:03.910]  Just this last week in Detroit, you had a woman who had a concealed carry permit, shot and killed a man who was attempting to carjack her vehicle.
[00:36:03.910 --> 00:36:09.172]  And in another case, you had a homeowner who shot to death a teenager who was trying to break into his home.
[00:36:09.172 --> 00:36:13.533]  And as the police chief pointed out, he says, you're confronted with an immediate threat to your safety.
[00:36:13.533 --> 00:36:16.114]  You're not going to have time to deal 9-1-1.
[00:36:16.114 --> 00:36:18.655]  It becomes an issue of the threat is here.
[00:36:18.655 --> 00:36:20.496]  I have to respond to the threat.
[00:36:20.496 --> 00:36:21.016]  He gets it.
[00:36:21.576 --> 00:36:23.718]  We all need a police chief like that.
[00:36:23.718 --> 00:36:25.660]  Fortunately, we're starting to win this war.
[00:36:25.660 --> 00:36:30.544]  We're starting to see several law enforcement officers, like police chiefs, starting to say that.
[00:36:30.544 --> 00:36:32.906]  We've got a police chief here in California.
[00:36:32.906 --> 00:36:34.988]  We've got another article.
[00:36:34.988 --> 00:36:38.431]  This police chief is Police Chief Dan Bressler.
[00:36:38.431 --> 00:36:40.773]  He's in the Palm Springs Valley area.
[00:36:40.773 --> 00:36:45.678]  He says that the crime rate there in his town is more than double the national average because there's a lot of
[00:36:46.018 --> 00:36:46.398]  I think?
[00:37:16.218 --> 00:37:19.659]  I believe this will deter crime and help people feel safer.
[00:37:19.659 --> 00:37:20.719]  Absolutely right.
[00:37:20.719 --> 00:37:26.920]  Now this police chief from Detroit, his name is James Craig, he's been in the news before.
[00:37:26.920 --> 00:37:32.921]  He was a police officer in California and he believed that gun control made the city safer.
[00:37:32.921 --> 00:37:36.382]  Then he went to Vermont and he got an education there.
[00:37:36.382 --> 00:37:40.382]  And then when he became police chief in Detroit, he brought that with him.
[00:37:40.382 --> 00:37:43.043]  He understood that guns in the hands of lawful
[00:37:43.823 --> 00:37:53.490]  Peace-abiding people makes the city safer, it makes his job easier, and he can focus on catching the criminals instead of just cleaning up the mess when people are attacked and killed.
[00:37:53.490 --> 00:37:54.830]  What do you think about that, Anthony?
[00:37:54.830 --> 00:38:11.782]  Well, I think there's this grand delusion that so many people are against guns, against legal firearms, and that there's so many, you know, with mobs against guns and all that, there's so many activists, or if you call them activists, who really are against the legal ownership of firearms, but that is a complete and utter lie.
[00:38:12.122 --> 00:38:15.143]  We have the statistics we're going to get into on this segment.
[00:38:15.143 --> 00:38:25.086]  We have the reality, the video, the showing what the real anti-gun people are like in the Alamo protest where we went to, myself and Alex, and you actually there as well.
[00:38:25.086 --> 00:38:25.587]  Yeah.
[00:38:25.587 --> 00:38:29.788]  We saw the real face of those who wanted to ban firearms.
[00:38:29.788 --> 00:38:31.388]  I mean, that got up in our faces.
[00:38:31.388 --> 00:38:35.470]  The guy tried to fight Alex and threatened him and said, come on, punch me in the face, punch me in the face.
[00:38:35.470 --> 00:38:38.511]  Well, you and I were there for a long time walking around, even trying to find them.
[00:38:39.011 --> 00:38:43.196]  There were literally over a thousand gun owners there to talk about open carry.
[00:38:43.196 --> 00:38:47.060]  And there was like three or four people there for mom's demanding action or whatever.
[00:38:47.060 --> 00:38:50.143]  And they were so far away from the rally.
[00:38:50.143 --> 00:38:51.685]  They were supposed to be there as a counter rally.
[00:38:51.685 --> 00:38:56.250]  They were so far away, so few in number, you and I walked around for a long time trying to find them.
[00:38:56.250 --> 00:38:58.332]  Then we went back, got in a car and started looking for them again.
[00:38:58.332 --> 00:39:00.935]  Finally we found them and there was essentially nobody there.
[00:39:01.155 --> 00:39:07.983]  Well, the New York Times was trying to find them as well, as well as Al Jazeera, and then when they did find them, they acted like they had such a strong presence there.
[00:39:07.983 --> 00:39:18.435]  The local news did report, and they reported on what we were doing too, that there was virtually no one there for their protest, and all the people that went out to the open carry march at the Alamo in San Antonio.
[00:39:18.435 --> 00:39:19.516]  But I do want to get into
[00:39:20.137 --> 00:39:20.237]  Yes.
[00:39:20.237 --> 00:39:20.297]  Yes.
[00:39:39.767 --> 00:39:51.515]  That any page that promotes guns in any capacity, posts pictures of guns, even if it's a gun store, his livelihood relies on the posting of weapons, legal firearms, for citizens of this country.
[00:39:51.515 --> 00:39:55.378]  That's how they want to win the debate in social media.
[00:39:55.378 --> 00:39:57.179]  They didn't talk about that.
[00:39:57.179 --> 00:40:02.143]  The way they intend on winning the media is by completely shutting down and censoring the other side.
[00:40:02.643 --> 00:40:06.667]  Also, by demonizing it and scaring people about guns and gun owners.
[00:40:06.667 --> 00:40:08.549]  But just take them off of Facebook.
[00:40:08.549 --> 00:40:14.435]  That kind of helps if you don't have anybody who's pro-gun allowed to say anything or show anything on Facebook.
[00:40:14.435 --> 00:40:16.457]  It kind of helps your social media campaign, doesn't it?
[00:40:16.457 --> 00:40:17.859]  They've accepted their defeat.
[00:40:17.859 --> 00:40:23.505]  They've accepted that, according to Gallup, only 4% of Americans think gun control is an important problem.
[00:40:23.965 --> 00:40:26.066]  And we'll get into how they actually care about the economy.
[00:40:26.066 --> 00:40:31.867]  16% are completely dissatisfied with government and it's just this small poll as the number one thing.
[00:40:31.867 --> 00:40:34.128]  16% say government needs to go.
[00:40:34.128 --> 00:40:34.728]  Yes.
[00:40:34.728 --> 00:40:38.209]  Well, I think it's interesting this Moms Demand action.
[00:40:38.209 --> 00:40:39.910]  It's really Moms Demand confiscation.
[00:40:39.910 --> 00:40:42.591]  They initially started out as the Million Mom March.
[00:40:43.271 --> 00:40:47.432]  And because of lack of participation and nobody showing up because they don't speak for moms.
[00:40:47.432 --> 00:40:48.972]  You know who speaks for moms?
[00:40:48.972 --> 00:40:56.334]  Sometimes it's the moms who are having their car carjacked, the moms who are defending their kids from home invasion.
[00:40:56.334 --> 00:41:00.635]  What speaks for them is a loaded shotgun and taking care of themselves.
[00:41:00.635 --> 00:41:03.096]  But they can't win this debate and you've got
[00:41:04.384 --> 00:41:09.167]  There are papers like the Guardian, where they show the picture at the very top of the article.
[00:41:09.167 --> 00:41:11.008]  They've got everybody crowded together with signs.
[00:41:11.008 --> 00:41:13.049]  It looks like they've got a large crowd there.
[00:41:13.049 --> 00:41:20.473]  But when you go to the bottom of the article, you see this picture that we put up on InfoWars, where you see that they don't even have three rows of people.
[00:41:20.473 --> 00:41:20.973]  Oh yeah.
[00:41:20.973 --> 00:41:22.154]  They've got just a few people.
[00:41:22.154 --> 00:41:23.915]  And that's three gun control groups.
[00:41:23.915 --> 00:41:28.798]  So between three gun control groups, they can't even fill up three rows of seats.
[00:41:29.258 --> 00:41:30.518]  No, because it's all fake.
[00:41:30.518 --> 00:41:35.519]  It's all the Hollywood con syndrome where it's all bloated and they act like it's real based on fear and emotion.
[00:41:35.519 --> 00:41:39.320]  The reality is that no one supports it logically at a statistical level.
[00:41:39.320 --> 00:41:50.082]  Now, we're going to play that video coming up where Alex and I are talking to this Moms Demand Action Group, which had like three people there, a woman, her husband, and their friend.
[00:41:50.082 --> 00:41:52.123]  And they were saying, no, we don't want to ban guns.
[00:41:52.123 --> 00:41:53.483]  We don't want to ban guns.
[00:41:53.483 --> 00:41:56.343]  We just want to have active gun control to stop crime.
[00:41:56.343 --> 00:41:58.644]  But if you look, we actually have one of their pamphlets.
[00:41:59.244 --> 00:42:04.010]  The first thing it says, require background checks for all gun and ammunition purchases.
[00:42:04.010 --> 00:42:09.577]  Number two, it says, ban assault weapons and ammunition magazines that hold more than 10 rounds.
[00:42:09.577 --> 00:42:10.838]  Ban assault weapons.
[00:42:10.838 --> 00:42:11.058]  Yes.
[00:42:11.058 --> 00:42:12.901]  So they were saying, well, we don't want to ban guns.
[00:42:12.901 --> 00:42:14.923]  And we're saying, well, you want to ban assault weapons.
[00:42:14.923 --> 00:42:17.146]  They notice that they're going after ammunition as well.
[00:42:17.726 --> 00:42:19.707]  And that's been a big, big part of this.
[00:42:19.707 --> 00:42:25.629]  One of the quotes that they had in this Guardian article was, one of these gun controllers said, you know, the problem in the United States is that there's more guns in the U.S.
[00:42:25.629 --> 00:42:26.770]  than there are people.
[00:42:26.770 --> 00:42:33.152]  Does he have a problem with the fact that the Department of Homeland Security is buying ten bullets for every person in the United States?
[00:42:33.152 --> 00:42:34.232]  I have a problem with that.
[00:42:34.232 --> 00:42:40.455]  I have a problem with them getting anti-personnel bullets like hollow points and that quantity to be used here domestically.
[00:42:40.455 --> 00:42:41.515]  I have a big problem with that.
[00:42:41.515 --> 00:42:44.937]  I don't have a problem with the fact that there's more guns in the United States than there are people.
[00:42:44.937 --> 00:42:45.757]  That's not a problem.
[00:42:46.377 --> 00:42:48.139]  All the real threats are completely ignored.
[00:42:48.139 --> 00:42:51.103]  The government is allowed to have everything, we're not allowed to have anything.
[00:42:51.103 --> 00:42:59.492]  And all of this rhetoric and insanity giving them a scene to ban assault weapons, ban everything, it's all based on propaganda and lies with no actual... We'll be right back, stay tuned.
[00:43:01.334 --> 00:43:02.575]  Studies are legion.
[00:43:02.575 --> 00:43:10.100]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[00:43:10.100 --> 00:43:13.923]  So why are the social engineers adding it to the water?
[00:43:13.923 --> 00:43:14.483]  Simple.
[00:43:14.483 --> 00:43:19.226]  Dumb down the host population that the parasitic technocracy is feeding on.
[00:43:19.226 --> 00:43:24.650]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[00:43:24.930 --> 00:43:30.635]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield formulation.
[00:43:30.635 --> 00:43:41.264]  Using six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[00:43:41.264 --> 00:43:43.086]  Let's take a stand against the globalist.
[00:43:43.226 --> 00:43:45.830]  By blocking their poisons with Fluoride Shield.
[00:43:45.830 --> 00:43:47.993]  I use Fluoride Shield everyday.
[00:43:47.993 --> 00:43:53.540]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[00:43:53.540 --> 00:43:57.966]  Let's start cleansing our bodies now and support the Info War at the same time.
[00:43:57.966 --> 00:43:59.248]  That's InfoWarsLife.com
[00:44:00.049 --> 00:44:05.852]  My friends, Alex Jones here to tell you about some of the most important information concerning you and your family's health.
[00:44:05.852 --> 00:44:13.235]  Radiation levels have more than doubled in the last 60 years in the Northern Hemisphere from all of the nuclear testing and radiological accidents.
[00:44:13.235 --> 00:44:16.577]  Radioactive contamination is now in most of the food supply.
[00:44:16.577 --> 00:44:18.338]  There's only two ways to avoid this.
[00:44:18.618 --> 00:44:23.262]  Move south of the equator or properly protect your thyroid with nascent iodine.
[00:44:23.262 --> 00:44:26.184]  Looking to protect my family, I've done deep research.
[00:44:26.184 --> 00:44:32.149]  Nascent iodine is the purest, cleanest, absolute best form of iodine to protect yourself and your family.
[00:44:32.149 --> 00:44:35.811]  It's made right here in the USA, completely non-GMO.
[00:44:35.811 --> 00:44:41.076]  I searched out the best quality and now have developed a double strength form of nascent iodine.
[00:44:41.076 --> 00:44:44.038]  Exclusively available at Infowarslife.com.
[00:44:44.278 --> 00:44:50.266]  Nascent Iodine is on record as one of the only safe ways to detox from fluoride poisoning.
[00:44:50.266 --> 00:44:52.429]  Survival Shield Nascent Iodine.
[00:44:52.429 --> 00:44:57.316]  Secure your super high quality Nascent Iodine today at InfoWarsLife.com.
[00:44:57.316 --> 00:44:59.339]  That's InfoWarsLife.com.
[00:45:00.220 --> 00:45:03.562]  Globalist social engineers are not just targeting us with propaganda.
[00:45:03.562 --> 00:45:05.984]  They are manipulating our genetics.
[00:45:05.984 --> 00:45:14.569]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[00:45:14.569 --> 00:45:22.534]  After consulting top doctors, nutritionists, pharmacists, and others, we have developed what I believe is the ultimate non-GMO organic
[00:45:22.854 --> 00:45:30.899]  Super male vitality formula sourced from powerful organic herbs and then concentrated for maximum potency.
[00:45:30.899 --> 00:45:38.503]  Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[00:45:38.923 --> 00:45:45.266]  Super Mel Vitality by InfoWarsLife is so powerful that I only take half the recommended dose.
[00:45:45.266 --> 00:45:54.011]  For a limited time, we are offering 15% off Super Mel Vitality at InfoWarsLife.com to introduce you to this powerful supplement.
[00:45:54.011 --> 00:45:58.173]  Visit InfoWarsLife.com today to secure your Super Mel Vitality.
[00:45:58.173 --> 00:45:59.033]  InfoWarsLife.com
[00:46:00.234 --> 00:46:09.321]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[00:46:09.321 --> 00:46:17.728]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[00:46:17.728 --> 00:46:22.632]  We have now managed to secure these sought-after beans in a highly customized blend.
[00:46:22.632 --> 00:46:28.777]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowars Life
[00:46:28.797 --> 00:46:29.438]  I don't think so.
[00:46:48.061 --> 00:46:51.462]  Available in original or with our immune support infusion blend.
[00:46:51.462 --> 00:46:53.343]  You will be supporting a free press.
[00:46:53.343 --> 00:46:57.745]  All the while enjoying a truly great tasting cup of my favorite coffee.
[00:46:57.745 --> 00:47:01.186]  Available at Infowarslife.com.
[00:47:01.186 --> 00:47:02.707]  Coast to Coast.
[00:47:02.707 --> 00:47:04.767]  Direct from Austin.
[00:47:04.767 --> 00:47:15.391]  You're listening to the Alex Jones Broadcasting Network.
[00:47:15.391 --> 00:47:16.732]  We now take you live
[00:47:17.597 --> 00:47:28.540]  A gun grab is something that nobody in this country wants.
[00:47:28.540 --> 00:47:31.601]  All I can say is you are really getting in my space like your wife came over and pushed up against me.
[00:47:31.601 --> 00:47:32.682]  Why don't you back up?
[00:47:32.682 --> 00:47:33.942]  No, I'm not going to back up.
[00:47:33.942 --> 00:47:35.963]  You're the one who got in my space.
[00:47:35.963 --> 00:47:36.443]  Look at this guy.
[00:47:38.027 --> 00:47:39.388]  Alright, go ahead.
[00:47:39.388 --> 00:47:42.551]  Listen, I don't want to beat an old guy up, so don't touch me, alright?
[00:47:42.551 --> 00:47:44.773]  This guy could take you out in a heartbeat.
[00:47:44.773 --> 00:47:45.674]  I bet he could.
[00:47:45.674 --> 00:47:46.415]  I'm not violent.
[00:47:46.415 --> 00:47:52.320]  Why do you think it's okay to sell a gun to someone that you don't know, that's not been through a background check?
[00:47:52.320 --> 00:47:54.762]  Should we have a background check for bathtubs every time we take a bath?
[00:47:54.762 --> 00:47:57.084]  We should have a background check for guns.
[00:47:57.084 --> 00:47:58.626]  Should we have a background check for knives?
[00:47:58.626 --> 00:48:02.789]  Well, what you're listening to is a confrontation in San Antonio at the Open Carry Rally.
[00:48:03.510 --> 00:48:15.239]  This is Alex Jones and Anthony Gucciardi talking to the two or three people there that were for, I guess originally from the Million Mom March, they had to kind of scale it down since they couldn't get a million people.
[00:48:15.239 --> 00:48:17.701]  They were two out of three people that were there.
[00:48:17.701 --> 00:48:18.241]  That's right.
[00:48:18.241 --> 00:48:24.826]  Fortunately, there were thousands of people there marching for Open Carry and these people were probably a mile or two away.
[00:48:24.826 --> 00:48:26.507]  We had a long, took us a long time to find
[00:48:26.827 --> 00:48:31.231]  Well, me and David actually embarked on a journey of our own in the beginning.
[00:48:31.231 --> 00:48:33.914]  While Alex was finishing up speaking there, we said, hey, you know what?
[00:48:33.914 --> 00:48:38.138]  Let's go find those million moms, because we want to talk to them and do some video.
[00:48:38.138 --> 00:48:39.679]  We saw a few different people.
