[00:00:03.114 --> 00:00:07.156]  Ladies and gentlemen.
[01:11:33.931 --> 01:11:35.111]  And they admit it's economic.
[01:11:35.111 --> 01:11:43.393]  I mean, you're the expert, but they even said then we're going to flood them with bad drugs, legal drugs, prescription drugs, opiates, stuff ten times stronger than Oxycontin.
[01:11:43.393 --> 01:11:47.274]  They brag about what they're doing, and they found lots of accomplices in our government.
[01:11:48.464 --> 01:11:49.004]  Well, they did.
[01:11:49.004 --> 01:11:51.186]  I mean, China's been at war with us ever since.
[01:11:51.186 --> 01:12:03.914]  They've been stealing our intellectual property, stealing our factories and jobs, opposing us internationally, warring against us in cyberspace, making these amazing territorial claims to the South China Sea.
[01:12:03.914 --> 01:12:08.718]  In a saner time, you know, claiming the entire South China Sea would be an act of war.
[01:12:08.718 --> 01:12:13.481]  And we just sort of, we went to the Hague Tribunal and said, tell China to stop.
[01:12:13.481 --> 01:12:15.122]  And the Hague Tribunal said, stop.
[01:12:15.322 --> 01:12:15.642]  Okay.
[01:12:45.191 --> 01:12:52.194]  Finally, at long last, I think we have a president who understands this and is willing to seriously take on China.
[01:12:52.194 --> 01:12:59.017]  I think that's good for America and it'll be good for our future if we can simply carry out his policies.
[01:12:59.807 --> 01:13:05.771]  I knew back in the mid-90s, FBI reports for 10,000 Chinese front companies in the U.S.
[01:13:05.771 --> 01:13:06.871]  infiltrating everything.
[01:13:06.871 --> 01:13:08.432]  Now reportedly it's far worse than that.
[01:13:08.432 --> 01:13:10.533]  They're making a lot of our defense components.
[01:13:10.533 --> 01:13:16.117]  Again, they've penetrated and bought off massive numbers of state, local, federal officials.
[01:13:16.117 --> 01:13:19.819]  I mean, from your deep research, how bad is the penetration?
[01:13:21.280 --> 01:13:37.233]  Well, you know, when I met with Chris Cox back in 1998, he was head of the Cox Commission looking into Chinese efforts to destabilize the United States back in 1996 with the election by pouring money into the Clinton campaign.
[01:13:37.233 --> 01:13:44.859]  So this Russian collusion I have to smile at because there was real Chinese collusion beginning in the 90s and continuing to the present day.
[01:13:45.839 --> 01:13:51.603]  It was 8,000 front companies in the United States that Congressman Cox put in his report.
[01:13:51.603 --> 01:13:54.405]  It's tens of thousands more now.
[01:13:54.405 --> 01:13:59.989]  We have Confucian Institutes, so-called, going into American universities.
[01:13:59.989 --> 01:14:06.253]  Confucian Institutes, which are run by the Ministry of State Security in China,
[01:14:07.013 --> 01:14:17.461]  Where you cannot talk about the three Ts, you cannot talk about Taiwan, you can't talk about Tibet, you can't talk about the Tiananmen Massacre back in 1989.
[01:14:17.461 --> 01:14:33.833]  All you can talk about is, you know, how wonderful the People's Republic of China is and how everybody should learn Mandarin Chinese so they can read the news reports from the New China News Agency, which is the propaganda arm of the Chinese Communist Party.
[01:14:33.833 --> 01:14:35.614]  So the penetration is very deep.
[01:14:36.215 --> 01:14:40.039]  It's continuing and we've got to wise up to it.
[01:14:40.039 --> 01:14:48.609]  We are five or ten years away from a tipping point after which China will become so strong and powerful that there will be no recovering.
[01:14:48.609 --> 01:14:49.871]  No recovering.
[01:14:49.871 --> 01:14:51.012]  And notice we hear from the
[01:14:51.713 --> 01:14:52.133]  I don't know.
[01:15:09.941 --> 01:15:16.202]  They're literally cackling like the Wicked Witch of the East, saying, too late my pretties, it's already done!
[01:15:16.202 --> 01:15:18.303]  Well, we'll see if that's the case.
[01:15:18.303 --> 01:15:22.363]  Trump, at least, is trying to get us awake to this to a certain extent.
[01:15:22.363 --> 01:15:28.785]  That's why it makes me so mad the whole Russia canard, not that I'm a Russophobe or a Russophile either way.
[01:15:28.785 --> 01:15:30.945]  Don't hate Russia, don't love Russia.
[01:15:30.945 --> 01:15:34.986]  I just have studied the facts and it looks like Russia on a Richter scale, what?
[01:15:35.606 --> 01:15:38.290]  I mean, maybe one-tenth?
[01:15:38.290 --> 01:15:38.951]  One-one-hundredth?
[01:15:38.951 --> 01:15:47.082]  I mean, it seems so small compared to the sophisticated Chinese total penetration, plus the elites here that have been open-armed to it.
[01:15:47.082 --> 01:15:51.509]  Let's talk about this with the author of The Bully of Asia, Stephen Mosier, straight ahead.
[01:15:56.582 --> 01:16:03.106]  KD Armor has been on a mission to manufacture the most comfortable body armor on the market, and we've succeeded.
[01:16:03.106 --> 01:16:10.269]  With the release of our CQB technology, we now offer the most comfortable, concealable, rifle-threat body armor available.
[01:16:10.269 --> 01:16:14.192]  Things may look good now, but what if you need added protection?
[01:16:14.192 --> 01:16:19.494]  Get your very own concealable rifle-threat armor today at kdarmor.com.
[01:16:19.494 --> 01:16:25.177]  And for a limited time, get all plates at wholesale pricing only at katiarmor.com.
[01:16:26.343 --> 01:16:33.106]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[01:16:33.106 --> 01:16:37.367]  Since 2005, thousands have depended on Berkey Purified Water.
[01:16:37.367 --> 01:16:41.989]  The Berkey guy provides the lowest price filtration systems in every size.
[01:16:41.989 --> 01:16:47.551]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[01:16:47.551 --> 01:16:47.691]  877-886-3653.
[01:16:47.691 --> 01:16:48.031]  GoBerkey.com.
[01:16:57.458 --> 01:16:59.920]  ID Stronghold wallets are different.
[01:16:59.920 --> 01:17:01.781]  They may look the same on the outside.
[01:17:01.781 --> 01:17:02.522]  They're stylish.
[01:17:02.522 --> 01:17:04.183]  They'll hold your cards and cash.
[01:17:04.183 --> 01:17:07.165]  But they're hiding something great on the inside.
[01:17:07.165 --> 01:17:09.407]  No, there are no pyrotechnics.
[01:17:09.407 --> 01:17:11.788]  And it doesn't sing when you open it.
[01:17:11.788 --> 01:17:13.890]  But it does have magical powers.
[01:17:14.430 --> 01:17:19.954]  ID Stronghold wallets protect your critical information and identity from thieves standing right next to you.
[01:17:19.954 --> 01:17:25.178]  Protect your family this holiday season with affordable leather ID Stronghold wallets and purses.
[01:17:25.178 --> 01:17:30.682]  Anyone can buy a cheap RFID scanner online and snag your information just by walking past you.
[01:17:30.682 --> 01:17:34.305]  Contactless credit cards, debit cards, even your work ID badge.
[01:17:34.725 --> 01:17:40.250]  ID Stronghold was the first to pioneer RFID blocking technology over 12 years ago.
[01:17:40.250 --> 01:17:46.436]  Secure your identity and save 10% by using coupon code PRESENT for a limited time at idstronghold.com.
[01:17:46.436 --> 01:17:52.782]  That's coupon code PRESENT, also available at Walmart.com, eBay, Amazon, or QVC.
[01:17:52.782 --> 01:17:54.524]  idstronghold.com
[01:17:57.768 --> 01:18:05.255]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[01:18:05.255 --> 01:18:18.468]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[01:18:19.389 --> 01:18:31.285]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[01:18:31.285 --> 01:18:37.272]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[01:18:38.013 --> 01:18:47.021]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[01:18:47.021 --> 01:18:55.229]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[01:18:57.222 --> 01:19:03.489]  Choose to take control of your chemistry with Survival Shield X2 and BioTrue Selenium.
[01:19:03.489 --> 01:19:07.853]  This powerful combo is perfect for supporting your thyroid and health.
[01:19:07.853 --> 01:19:15.161]  BioTrue Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[01:19:15.161 --> 01:19:17.343]  Our super high quality nascent iodine
[01:19:17.563 --> 01:19:23.767]  is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals.
[01:19:23.767 --> 01:19:31.552]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue, and organ in the body.
[01:19:31.552 --> 01:19:38.477]  With inadequate thyroid hormones you may experience slow metabolism, lethargy, weight gain, and overall brain fog.
[01:19:38.837 --> 01:19:45.063]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body.
[01:19:45.063 --> 01:19:48.886]  Take control of your chemistry today with this super combo.
[01:19:48.886 --> 01:19:58.515]  Discover the power of Survival Shield X2 and BioTrue Selenium at InfoWarsLife.com.
[01:19:58.515 --> 01:20:01.178]  You're listening to The Alex Jones Show.
[01:20:09.275 --> 01:20:10.584]  He's going the distance!
[01:20:26.247 --> 01:20:28.229]  The Bully of Asia is the book.
[01:20:28.229 --> 01:20:35.895]  Stephen M. Mosier, expert on China, is our guest right now, ladies and gentlemen.
[01:20:35.895 --> 01:20:38.878]  Again, I'm Alex Jones, your host.
[01:20:38.878 --> 01:20:46.644]  Stephen, getting into this, when we see Mao Zedong being put in power by leftists and the CIA in 49, that's now been declassified.
[01:20:46.644 --> 01:20:50.047]  The John Birch Society wrote about it back in the 50s and got made fun of.
[01:20:51.914 --> 01:20:59.859]  And then now we see Lloyd Blankfein, as I mentioned earlier, tweeting at Trump going, I've been to China, their infrastructure is way better, good luck turning America back on.
[01:20:59.859 --> 01:21:02.440]  It's one thing to see China wanting to be dominant.
[01:21:02.440 --> 01:21:13.147]  It's another thing to then see elites in our own country allied with it, selling it out, making sweetheart deals, getting rich off of it, moving to China, and then celebrating it.
[01:21:14.028 --> 01:21:17.191]  It's so painful to see why they hate America so much.
[01:21:17.191 --> 01:21:20.054]  A, is what I just said accurate from your research?
[01:21:20.054 --> 01:21:22.397]  And then B, why do they have that attitude?
[01:21:24.678 --> 01:21:32.661]  You know, Alex, there's a lot of money to be made in China because China is a country run by a corrupt elite.
[01:21:32.661 --> 01:21:37.402]  The Chinese Communist Party is the largest party in the world, has 90 million members.
[01:21:37.402 --> 01:21:42.644]  But when we're talking about the elite, we're just talking about the top 10,000 or so.
[01:21:42.644 --> 01:21:51.327]  The people who run the provinces, the people who run the major factories, the people who get into power and literally make billions of dollars.
[01:21:52.032 --> 01:21:52.052]  I
[01:22:10.646 --> 01:22:12.348]  In ill-gotten gains.
[01:22:12.348 --> 01:22:30.582]  So if you go to China and if you link up with people like Xi Jinping and people like Wen Jiabao, the leaders of provinces, the leaders at the state level, the national level, yeah, you can make a lot of money by selling out the United States and by helping the Chinese elite oppress their own workers.
[01:22:30.582 --> 01:22:36.107]  There are probably a hundred thousand demonstrations by workers in China each year.
[01:22:37.007 --> 01:22:46.916]  Against factory owners who are in cahoots with the Chinese Communist Party, who don't pay them just wages, who won't allow them to organize and strike for higher wages.
[01:22:46.916 --> 01:23:03.029]  When they do start striking, when they do start organizing, the People's Armed Police, so-called, the People's Armed Police, which are not on the side of the people, but on the side of the party, come in with their AK-47s and break up the demonstration.
[01:23:03.029 --> 01:23:05.571]  So, this is a tiny elite in China,
[01:23:06.091 --> 01:23:16.897]  Cooperating with our own elite to suppress wages and China to produce cheap goods, which are then flooded into the United States and other foreign countries.
[01:23:16.897 --> 01:23:33.525]  The goal, of course, of the Chinese Communist Party is to industrialize China to move the factories of the world to China, away from the United States, away from Europe, and to use the rest of the world as a source of raw materials and a source of consumers.
[01:23:33.525 --> 01:23:35.526]  And I'm afraid to say that that project
[01:23:36.192 --> 01:23:47.487]  Which began in the 1990s and picked up speed with China's entry into the World Trade Organization 17 years ago is very, very far along.
[01:23:48.335 --> 01:23:51.217]  China produces more than half of the world's steel today.
[01:23:51.217 --> 01:23:53.278]  They're flooding the market with cheap steel.
[01:23:53.278 --> 01:24:00.423]  What does that do for American steel workers when that subsidized cheap steel comes into the United States?
[01:24:00.423 --> 01:24:02.444]  Well, it puts them out of work.
[01:24:02.444 --> 01:24:11.250]  Fortunately, we have a president now who sees the problem and who is standing up for ordinary Americans, blue-collar workers.
[01:24:11.630 --> 01:24:12.651]  Sure, exactly.
[01:24:12.651 --> 01:24:14.273]  Let's talk about the endgame here.
[01:24:14.273 --> 01:24:14.794]  If the U.S.
[01:24:14.794 --> 01:24:17.757]  is totally sold out, they won't even have any bargaining chips.
[01:24:17.757 --> 01:24:22.883]  Our own elites just want to make money today and not even have power long-term that they could leverage out.
[01:24:22.883 --> 01:24:26.226]  So they really are short-sighted, even from a Machiavellian perspective.
[01:24:26.226 --> 01:24:27.388]  Let me ask you this question.
[01:24:27.388 --> 01:24:32.773]  The suicide nets around the Apple factories, the forced abortions, the Falun Gong, Buddhists arrested.
[01:24:33.514 --> 01:24:36.615]  Used to the American left would criticize this, so would the right.
[01:24:36.615 --> 01:24:44.558]  Now you see almost no news about this anymore, showing our own establishment would like to implement something like this here.
[01:24:44.558 --> 01:24:53.182]  Well, yeah, people don't know, but they're going to learn now from your show, Alex, that a new cultural revolution is underway in China.
[01:24:53.182 --> 01:25:01.805]  You remember the old cultural revolution launched by Mao Zedong back in the 60s, which followed on the heels of political purges in the 50s, which cost
[01:25:02.518 --> 01:25:03.919]  Tens of millions of lives.
[01:25:03.919 --> 01:25:10.743]  I mean, Chairman Mao Zedong was the greatest mass murderer in history, responsible for at least 65 million deaths.
[01:25:10.743 --> 01:25:25.091]  Well, over the last 30 years, beginning when I was in China, first in China back in 79 and 80, the Chinese Communist Party has eliminated, has killed 400 million of its own unborn citizens.
[01:25:25.091 --> 01:25:27.733]  That's the result of the one child policy.
[01:25:27.733 --> 01:25:29.994]  And any country, any leadership,
[01:25:30.543 --> 01:25:38.992]  That's willing to kill 400 million of its own unborn citizens is obviously will stop at nothing to achieve its goals.
[01:25:38.992 --> 01:25:41.135]  And its goal really is the China dream.
[01:25:41.135 --> 01:25:48.583]  When you hear President Xi Jinping, who is also the General Secretary of the Chinese Communist Party, Xi Jinping,
[01:25:48.923 --> 01:26:01.513]  Was also the chairman of the military commission General Xi Jinping say that he dreams a China dream that China dream as I write in the bully of Asia is the world's nightmare.
[01:26:01.513 --> 01:26:04.595]  China dreams of overturning the current world order.
[01:26:05.333 --> 01:26:08.515]  And replacing it with one dominated by China.
[01:26:08.515 --> 01:26:15.100]  I was about to say, what does their endgame look like when you talk about us being five to ten years of this being irreversible?
[01:26:15.100 --> 01:26:23.345]  Because whether it's genetic engineering or chemical dumping or dirty coal, I mean, they just do not care.
[01:26:23.345 --> 01:26:34.993]  It is just absolute balls to the walls, pell-mell, this dream, no rules, no nothing, no regulations, while we have regulations heaped on us by our very own elites that are investing in China.
[01:26:36.434 --> 01:26:55.022]  Well, here we have to go back to the very founding of China, way back in 220 BC, when the brutal Qin Shi Huang, the first emperor of the Qin Dynasty, killing millions of people in the process, unified China under a single emperor.
[01:26:55.022 --> 01:26:58.984]  And China, of course, was known as the Middle Kingdom, the kingdom in the middle.
[01:26:59.714 --> 01:27:06.940]  And it had it felt a natural right, a manifest destiny to control all of its smaller neighbors.
[01:27:06.940 --> 01:27:14.767]  Well, that manifest destiny that China feels that's embodied in the China dream is now something that China wants to extend to the entire world.
[01:27:14.767 --> 01:27:18.130]  China dreams of being the world's dominant power.
[01:27:18.766 --> 01:27:20.187]  Replacing the United States.
[01:27:20.187 --> 01:27:28.591]  And of course, a world dominated by China would be less free, be less democratic, it would be less safe, not only for Americans, but for the Chinese people themselves.
[01:27:28.591 --> 01:27:33.633]  I mean, look, Christians in China are being told they cannot bring their children to church.
[01:27:33.633 --> 01:27:34.194]  This is new.
[01:27:34.194 --> 01:27:36.675]  This just came out a couple of weeks ago.
[01:27:36.675 --> 01:27:36.995]  Because
[01:27:37.802 --> 01:27:45.006]  Children under the age of 16, it's illegal to bring your own children to Catholic Mass or to Christian religious services.
[01:27:45.006 --> 01:27:47.287]  Home church leaders are being arrested.
[01:27:47.287 --> 01:27:51.569]  The crosses are being ripped off the top of churches.
[01:27:51.569 --> 01:28:00.094]  Catholics have been told to stop, you know, any contact with... And is that because now our media won't criticize China?
[01:28:00.094 --> 01:28:02.035]  They feel like there's a green light to be even more repressive?
[01:28:03.035 --> 01:28:12.561]  Well, I think part of it is the fact that our own media wants advertisements placed by Chinese companies and, of course, they're making money off the China trade.
[01:28:12.561 --> 01:28:27.209]  The other thing is that they think that the United States, that China, in many respects, our own elite, which I believe that leftists in general have a kind of self-loathing that they project onto society as a whole.
[01:28:27.209 --> 01:28:28.890]  They don't respect the United States.
[01:28:29.805 --> 01:28:39.752]  They think of China as, in some ways, a more just society because they believe Chinese propaganda that we provide housing and food for our people.
[01:28:39.752 --> 01:28:40.453]  Absolutely.
[01:28:40.453 --> 01:28:44.396]  I mean, they get off on Buddhists being taken and having their organs stolen.
[01:28:44.396 --> 01:28:49.039]  I want to talk about, briefly, with you on the other side, then we'll let you go, how to stop them, though.
[01:28:49.039 --> 01:28:52.261]  What you think the weak points are in the Communist Chinese system.
[01:28:52.261 --> 01:28:54.603]  Straight ahead, Bully of Asia is the book.
[01:28:56.539 --> 01:28:57.439]  It's a no-brainer.
[01:28:57.439 --> 01:28:59.820]  A Big Berkey water filter is the one you need, period.
[01:28:59.820 --> 01:29:07.863]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors, pesticides, bacteria, viruses and much more, right?
[01:29:07.863 --> 01:29:09.783]  And does it all at only two cents per gallon.
[01:29:09.783 --> 01:29:13.445]  Get the original and most trusted name in gravity water filtration, Big Berkey.
[01:29:13.445 --> 01:29:18.106]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[01:29:18.106 --> 01:29:22.508]  Call or click 1-877-99-BERKEY or bigberkeywaterfilters.com.
[01:29:22.508 --> 01:29:23.148]  That's 1-877-99-BERKEY.
[01:29:26.349 --> 01:29:29.390]  Want revenge on the common housefly?
[01:29:29.390 --> 01:29:33.391]  Well, after 10,000 years, someone has finally come up with a better way.
[01:29:33.391 --> 01:29:34.632]  The Bug-A-Salt.
[01:29:34.632 --> 01:29:39.513]  A miniaturized shotgun, which utilizes ordinary table salt as ammunition.
[01:29:39.513 --> 01:29:41.494]  Non-toxic and no batteries required.
[01:29:41.494 --> 01:29:45.716]  So much fun, you'll forget you have a wife and kids!
[01:29:45.716 --> 01:29:47.116]  $39.95 and free economy shipping.
[01:29:47.116 --> 01:29:52.218]  Use discount code GCN and get an extra 10% off your purchase at Bug-A-Salt.com.
[01:29:52.218 --> 01:29:54.058]  Makes the perfect stocking stuffer.
[01:29:54.058 --> 01:29:55.399]  Get your Bug-A-Salt today!
[01:29:57.640 --> 01:29:59.241]  Vitamin Mineral Fusion.
[01:29:59.241 --> 01:30:01.843]  Visit Infowarslife.com to secure your chemistry.
[01:30:01.843 --> 01:30:09.327]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[01:30:09.327 --> 01:30:19.633]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[01:30:19.973 --> 01:30:27.815]  In the history of InfoWars Life, we've brought out a lot of amazing products like Survival Shield X2, Super Mel Vitality, and so many others.
[01:30:27.815 --> 01:30:38.018]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[01:30:38.018 --> 01:30:40.059]  And this part is most important.
[01:30:40.059 --> 01:30:46.461]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[01:30:46.881 --> 01:30:48.322]  That means it's clean.
[01:30:48.322 --> 01:30:49.443]  That means it's pure.
[01:30:49.443 --> 01:30:52.345]  And rest secured, you're funding the tip of the spear in the InfoWar.
[01:30:52.345 --> 01:30:55.127]  That's InfoWarsLives.com and Vitamin Mineral Fusion.
[01:30:55.127 --> 01:30:57.508]  Take action now before we sell out.
[01:30:57.508 --> 01:31:05.774]  Please listen carefully, because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the InfoWar.
[01:31:05.774 --> 01:31:06.995]  A 360 win.
[01:31:06.995 --> 01:31:13.239]  Number one, when you choose auto ship before checkout, we give you 10% off on your order at InfoWarsStore.com.
[01:31:13.539 --> 01:31:21.464]  Number two, you're also able to get items that are out of stock when you sign up for AutoShip because we hold back a surplus for AutoShip customers.
[01:31:21.464 --> 01:31:26.547]  Number three, we're giving you free shipping on all orders above $50.
[01:31:26.547 --> 01:31:32.651]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[01:31:32.651 --> 01:31:34.032]  Just go to InfoWareStore.com.
[01:31:34.272 --> 01:31:36.273]  Select your favorite product or products.
[01:31:36.273 --> 01:31:40.435]  Click on AutoShip and choose how often you want us to send you another order.
[01:31:40.435 --> 01:31:47.299]  As you know, I coined the term 360Win, and with the new AutoShip feature at InfoWarsLife.com, this is a sure win.
[01:31:47.299 --> 01:31:48.620]  10% off on AutoShip.
[01:31:48.620 --> 01:31:51.041]  Win, win, win at InfoWarsLife.com.
[01:31:51.041 --> 01:31:53.042]  Free shipping on orders above 50 bucks.
[01:31:53.042 --> 01:31:56.884]  And all out-of-stock items are never out-of-stock when you sign up for AutoShip.
[01:31:57.921 --> 01:32:02.645]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[01:32:02.645 --> 01:32:13.075]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[01:32:13.955 --> 01:32:18.759]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[01:32:18.759 --> 01:32:27.165]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[01:32:27.165 --> 01:32:34.871]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[01:32:34.871 --> 01:32:36.853]  Wake up refreshed and take on the day.
[01:32:37.333 --> 01:32:45.260]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:32:45.260 --> 01:32:48.943]  Get the sleep you deserve and experience the power of knockout.
[01:32:48.943 --> 01:32:53.306]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[01:32:53.306 --> 01:32:59.491]  That's InfoWarsLife.com.
[01:32:59.491 --> 01:33:02.154]  You're listening to the Alex Jones Show.
[01:33:13.598 --> 01:33:20.082]  Hello, this is Hank Hill, and I'm telling you what, you need to listen to Alex Jones.
[01:33:20.082 --> 01:33:24.684]  Infowars.com, yeah.
[01:33:24.684 --> 01:33:34.450]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:33:40.109 --> 01:33:44.393]  Well, we got a bunch of multinational corporations that have a vision of world government they want.
[01:33:44.393 --> 01:33:46.674]  That's now out in the open.
[01:33:46.674 --> 01:33:55.461]  They've been programming the average American to hate our heritage, to hate Christianity, to hate free market, and then to lionize communist countries.
[01:33:55.461 --> 01:33:57.823]  People tell me, oh, we want to be like Cuba.
[01:33:57.823 --> 01:33:59.385]  They have free health care.
[01:33:59.385 --> 01:34:02.687]  Yeah, but no MRI machines.
[01:34:02.687 --> 01:34:06.390]  I mean, Venezuela doesn't even have medicine for malaria right now.
[01:34:06.390 --> 01:34:08.392]  They long since ate their dogs and cats.
[01:34:09.892 --> 01:34:19.137]  There's this total bizarre romantic romanticism associated with communism that breeds on the universities.
[01:34:19.137 --> 01:34:24.560]  And I understand rich elites want to sabotage the next generation so there's no competition from that generation.
[01:34:24.560 --> 01:34:26.261]  That's clearly what this action is.
[01:34:26.261 --> 01:34:30.844]  Kind of like a grizzly bear will find a female grizzly bear that just had a bear cub and will kill it.
[01:34:32.560 --> 01:34:36.062]  It's just pure, aggressive, dominant behavior.
[01:34:36.062 --> 01:34:37.162]  Extremely authoritarian.
[01:34:37.162 --> 01:34:39.103]  It creates nightmare societies.
[01:34:39.103 --> 01:34:41.244]  It doesn't create survival of the fittest.
[01:34:41.244 --> 01:34:46.446]  It creates survival of the most demonic and evil and controlling.
[01:34:46.446 --> 01:34:51.389]  And so, joining us is Stephen M. Mosier, one of the top experts on China.
[01:34:51.389 --> 01:34:53.670]  New best-selling book out, Bully of Asia.
[01:34:55.148 --> 01:34:56.889]  They say they're taking over.
[01:34:56.889 --> 01:34:59.030]  They've done a pretty good job of it.
[01:34:59.030 --> 01:35:02.271]  Russia and other countries try to pull out of globalism.
[01:35:02.271 --> 01:35:12.535]  China's dictator, call him president, put in charge by the Central Committee and the Politburo, he came out when Trump got elected about 11, 12 months ago and he said,
[01:35:14.295 --> 01:35:16.436]  I'm going to prop up the New World Order.
[01:35:16.436 --> 01:35:18.258]  I'm going to keep the euro in place.
[01:35:18.258 --> 01:35:20.579]  I'll help you defeat Trump, if people remember.
[01:35:20.579 --> 01:35:27.103]  They were like, yay, our new leader is the communist Chinese president because he'll play along with all this.
[01:35:27.103 --> 01:35:33.908]  So we've gone from criticizing Tiananmen Square a few decades ago to our media will not even discuss it today.
[01:35:35.037 --> 01:35:40.862]  And it just goes on and on and on, that we're becoming like China, they're not becoming like us.
[01:35:40.862 --> 01:35:49.248]  Trump just wants to put the brakes on it a little, and the howling and screaming, even though the economy comes back, only gets more deafening.
[01:35:49.248 --> 01:35:51.210]  So, what is their endgame?
[01:35:51.210 --> 01:35:52.131]  How do we stop it?
[01:35:52.131 --> 01:35:53.352]  And other key points.
[01:35:55.407 --> 01:35:58.010]  Well, their endgame is obviously world domination.
[01:35:58.010 --> 01:36:05.838]  That's what the people may have heard about the New Silk Road, China spending trillions of dollars to create a series of railroads.
[01:36:06.465 --> 01:36:11.007]  And ports opening sea routes and land routes to Europe.
[01:36:11.007 --> 01:36:25.712]  The New Silk Road is all about restructuring the world economic order around China, drawing Europe, drawing India, drawing the Middle East away from connections with the United States and forging connections with China.
[01:36:25.712 --> 01:36:31.613]  So that's obviously an effort to dominate what Harold Mackinder called the World Island.
[01:36:31.613 --> 01:36:35.855]  You know, back 100 years ago, this great strategist said he who dominates
[01:36:36.215 --> 01:36:38.616]  The world island will dominate the world.
[01:36:38.616 --> 01:36:42.438]  Well, we don't have ambitions in the United States to dominate the world.
[01:36:42.438 --> 01:36:45.499]  We've been a benevolent world leader.
[01:36:45.499 --> 01:36:50.261]  We have not claimed territory when we've gone in to try to promote democracy.
[01:36:50.261 --> 01:36:51.902]  China wants territory.
[01:36:51.902 --> 01:36:52.862]  It wants power.
[01:36:52.862 --> 01:36:53.702]  It wants clout.
[01:36:53.702 --> 01:36:54.823]  It wants domination.
[01:36:55.443 --> 01:36:58.524]  And it's New Silk Road is an effort to dominate Eurasia.
[01:36:58.524 --> 01:37:10.629]  And I'll tell you what, if China winds up dominating everything from Manchuria in the East, Siberia in the East, all the way to European Russia in the West, it's game over.
[01:37:10.629 --> 01:37:20.714]  Basically, they will control so much of the world's population, 4 billion people, and so much of the world's landmass, that the United States will necessarily be a second-ranked power.
[01:37:20.714 --> 01:37:21.354]  Exactly.
[01:37:21.354 --> 01:37:22.614]  And they admit all this.
[01:37:22.614 --> 01:37:23.435]  How did they...
[01:37:24.455 --> 01:37:26.916]  Get 97% control of rare earth minerals.
[01:37:26.916 --> 01:37:28.797]  Why did we strategically let that happen?
[01:37:28.797 --> 01:37:30.438]  Plus, that's not normal.
[01:37:30.438 --> 01:37:35.040]  Other companies or countries should have a bigger percent than 3% total.
[01:37:35.040 --> 01:37:36.261]  I mean, wow!
[01:37:36.261 --> 01:37:37.402]  How did that disaster happen?
[01:37:37.402 --> 01:37:42.364]  Again, for those that don't know, you need rare earth minerals for all the electronics that run civilization.
[01:37:42.364 --> 01:37:47.347]  How did they get such a corner on the global market of that key area?
[01:37:48.908 --> 01:37:51.872]  Well, Alex, you know, rare earths are not all that rare.
[01:37:51.872 --> 01:37:53.914]  They're found in the United States.
[01:37:53.914 --> 01:38:01.944]  We had some rare earth mines years ago, but they were shut down by an overactive Environmental Protection Agency.
[01:38:02.863 --> 01:38:07.449]  China, of course, doesn't mind violating environmental rules.
[01:38:07.449 --> 01:38:19.703]  In fact, the main job of the Chinese Environmental Protection Agency agents is to go out to mines and factories to take a bribe and then go home and write a nice report saying there's no problem with pollution.
[01:38:19.703 --> 01:38:21.666]  Anyone who's been in China knows that pollution
