[00:00:01.596 --> 00:00:02.618]  It's official.
[00:57:04.634 --> 00:57:05.715]  Jack Posobiec, God bless you.
[00:57:05.735 --> 00:57:07.756]  We're going to post this to X. Thank you so much.
[00:57:08.756 --> 00:57:08.956]  All right.
[00:57:08.976 --> 00:57:09.496]  Thank you, Alex.
[00:57:09.536 --> 00:57:10.117]  HumanEvents.com.
[00:57:10.137 --> 00:57:11.037]  We'll be up there all day, folks.
[00:57:11.479 --> 00:57:11.699]  All right.
[00:57:11.759 --> 00:57:13.100]  I just did an hour with no plugs.
[00:57:13.140 --> 00:57:13.661]  We don't plug.
[00:57:13.681 --> 00:57:14.361]  We're not going to be here.
[00:57:14.601 --> 00:57:15.802]  We have great products you need.
[00:57:15.822 --> 00:57:16.523]  Storewide free shipping.
[00:57:16.543 --> 00:57:17.263]  Double pay three points.
[00:57:17.623 --> 00:57:19.565]  Please do your Christmas shopping at InfoWarStore.com.
[00:57:19.845 --> 00:57:22.367]  TurboForce is the best clean 10-hour energy.
[00:57:22.707 --> 00:57:24.468]  Nobody else has got an energy formula like this.
[00:57:24.768 --> 00:57:25.409]  It's the very best.
[00:57:25.469 --> 00:57:26.149]  TurboForce.
[00:57:26.189 --> 00:57:26.790]  TurboForce.
[00:57:26.830 --> 00:57:27.430]  TurboForce.
[00:57:27.871 --> 00:57:29.752]  InfoWarStore.com.
[00:57:30.132 --> 00:57:30.553]  X2.
[00:57:30.613 --> 00:57:31.233]  Back in stock.
[00:57:31.733 --> 00:57:32.214]  Selling out.
[00:57:32.714 --> 00:57:33.214]  Find out about X2.
[00:57:33.254 --> 00:57:33.895]  Just look it up.
[00:57:34.235 --> 00:57:36.416]  Infowarsstore.com X2.
[00:57:37.137 --> 00:57:38.538]  And we're selling out of my book!
[00:57:39.018 --> 00:57:40.399]  Infowarsstore.com.
[00:57:40.759 --> 00:57:42.120]  We'll be right back.
[00:57:42.500 --> 00:57:43.901]  Get a copy of The Great Awakening.
[00:57:43.921 --> 00:57:44.642]  Signed or unsigned.
[00:57:44.702 --> 00:57:45.762]  Infowarsstore.com.
[00:57:45.782 --> 00:57:46.583]  Hour number 2 is right ahead.
[00:57:53.792 --> 00:57:57.916]  I want to say thank you to all the viewers and listeners for supporting the broadcast over the years.
[00:57:58.396 --> 00:58:01.719]  We together have changed the world at an incredible level.
[00:58:01.739 --> 00:58:04.882]  And I want to salute the crew as well and all of our sponsors and supporters.
[00:58:05.323 --> 00:58:09.327]  Ladies and gentlemen, wow, the fight has really been joined with a globalist.
[00:58:10.354 --> 00:58:17.881]  And as we go into 2024, the most important election in world history, it is now more important than ever to get around the censors and override the globalists.
[00:58:17.901 --> 00:58:19.563]  So keep spreading the word about the broadcast.
[00:58:20.003 --> 00:58:21.164]  Keep sharing your articles and videos.
[00:58:21.565 --> 00:58:24.468]  Keep praying for the broadcast and our reporters and the crew.
[00:58:24.828 --> 00:58:26.549]  And shop at infowarestore.com.
[00:58:27.210 --> 00:58:28.031]  We're for Christmas.
[00:58:28.271 --> 00:58:29.492]  We have the biggest sales of the year.
[00:58:29.933 --> 00:58:30.994]  Double Patriot points.
[00:58:31.034 --> 00:58:31.995]  Storewide free shipping.
[00:58:32.335 --> 00:58:36.259]  Up to 60% off on products like BrainForce Plus, BrainForce Ultra.
[00:58:36.540 --> 00:58:37.921]  TurboForce is back in stock.
[00:58:38.321 --> 00:58:39.403]  X2 is back in stock.
[00:58:39.683 --> 00:58:41.144]  VasoBeats is back in stock.
[00:58:41.685 --> 00:58:42.946]  Body's Ultimate Turmeric Formula.
[00:58:43.046 --> 00:58:43.687]  It's all there.
[00:58:44.067 --> 00:58:45.729]  My new book, The Great Awakening.
[00:58:45.949 --> 00:58:47.130]  Do your Christmas shopping there.
[00:58:47.150 --> 00:58:48.752]  Get great products and fund the InfoWar.
[00:58:48.972 --> 00:58:49.293]  Thank you.
[00:58:49.753 --> 00:58:53.476]  Why do you think the globalists are desperately trying to censor everybody?
[00:58:53.796 --> 00:58:56.959]  Why are they attacking myself and Donald Trump and Elon Musk and everybody else?
[00:58:57.359 --> 00:59:01.843]  Because they can't get through this giant, megalomaniacal power grab if we're here exposing them.
[00:59:02.463 --> 00:59:04.605]  But we're not just exposing their operation.
[00:59:04.905 --> 00:59:12.891]  In my new book, we give you the solutions to build a new, better world, an alternative to Klaus Schwab's, you will eat the bugs.
[00:59:13.512 --> 00:59:14.833]  This is the Great Awakening.
[00:59:15.333 --> 00:59:19.258]  The plan to defeat the globalists and launch the second great renaissance.
[00:59:19.718 --> 00:59:23.242]  It's a companion to my last book that was a number one worldwide bestseller.
[00:59:23.502 --> 00:59:26.045]  And this book is even thicker and even more powerful.
[00:59:26.386 --> 00:59:30.230]  Get your copy of The Great Awakening today at InfoWarstore.com
[00:59:30.230 --> 00:59:33.352]  If you are receiving this transmission, you are the Resistance.
[01:00:00.715 --> 01:00:06.617]  No, let's see if we can't figure out what you are, my little... Giant 400 pound maggot down the stairs just slithering in.
[01:00:08.458 --> 01:00:11.559]  Puss dripping out of its smell of rotting dead children in its belly.
[01:00:12.699 --> 01:00:14.800]  There's the big giant puss worm.
[01:00:15.760 --> 01:00:17.241]  Come to save its baby.
[01:00:17.261 --> 01:00:19.101]  The baby's bleeding.
[01:00:20.462 --> 01:00:23.443]  The baby broke its leg when baby fell down in the dark.
[01:00:26.004 --> 01:00:26.344]  And so...
[01:00:28.114 --> 01:00:28.914]  We're getting our bearings.
[01:00:29.455 --> 01:00:30.595]  The light's coming back in our eyes.
[01:00:31.595 --> 01:00:34.177]  We weigh about 85 pounds, but you know what we're fighting for our lives.
[01:00:34.217 --> 01:00:35.237]  Here comes that big worm.
[01:00:38.598 --> 01:00:41.640]  And what are we gonna do to that big, giant, stinking worm?
[01:00:45.461 --> 01:00:51.564]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[01:00:51.584 --> 01:00:56.566]  Visit InfoWars.com forward slash show and share the link today.
[01:00:59.477 --> 01:01:07.422]  I've studied their attack profile and what they're doing at every angle to bring down civilization, cutting off the energy, dissolving the borders, creating race war.
[01:01:07.922 --> 01:01:10.804]  Their next moves will be cyber attacks and power outages.
[01:01:10.944 --> 01:01:13.085]  Globalists are going to cut our power off and say that Russia did it.
[01:01:13.245 --> 01:01:16.467]  It might be, oh, hackers took down a part of the power grid.
[01:01:16.647 --> 01:01:19.689]  How many times have I said they're going to blow the power grid up and say Trump supporters did it?
[01:01:19.949 --> 01:01:25.612]  Well, tonight, the nation's intelligence agencies are warning of cyber threats from Russia and are urging U.S.
[01:01:25.672 --> 01:01:28.554]  critical infrastructure defenses to be reinforced.
[01:01:28.974 --> 01:01:34.458]  Homeland Security is warning of a potential troubling escalation in tactics from right-wing extremists.
[01:01:34.758 --> 01:01:38.120]  It wouldn't take much to throw the entire country into darkness.
[01:01:38.461 --> 01:01:42.323]  We've seen the FBI say the number one terror threat is domestic right-wingers.
[01:01:42.524 --> 01:01:46.526]  Specifically those who advocated for the superiority of the white race.
[01:01:46.767 --> 01:01:49.508]  They've now defined it as fascism if you support President Trump.
[01:01:49.749 --> 01:01:51.170]  What do you mean by Trump-like fascism?
[01:01:51.370 --> 01:01:51.890]  You know what I mean.
[01:01:52.370 --> 01:01:54.472]  Fascist pro-Trump paramilitary groups.
[01:01:54.572 --> 01:01:57.334]  And then now we start seeing headlines at the top of drugs yesterday.
[01:01:58.041 --> 01:01:58.741]  You know, imminent.
[01:01:58.841 --> 01:02:00.241]  Trump's calling for violence.
[01:02:00.301 --> 01:02:03.002]  Trump's calling for insurrection.
[01:02:03.342 --> 01:02:03.742]  January 6, 2.0.
[01:02:04.062 --> 01:02:11.163]  Threats of violence from homegrown extremists are growing in the wake of the insurrectionist attack on the Capitol, January 6.
[01:02:11.863 --> 01:02:17.244]  And if you look at all the pre-programming data points that are there, they're hyping this up.
[01:02:17.504 --> 01:02:19.705]  The grid is a sprawling target.
[01:02:20.065 --> 01:02:22.105]  There are actually three in the U.S.
[01:02:22.385 --> 01:02:25.346]  The Eastern, Western, and Texas has its own.
[01:02:26.967 --> 01:02:34.191]  Should a transformer explode, the system is designed to trigger a localized grid-preserving blackout.
[01:02:34.332 --> 01:02:41.076]  But if several sections of the grid go down at the same time, the shutdowns can cascade like dominoes.
[01:02:41.296 --> 01:02:46.640]  There's very few number of substations you need to take out in the entire United States to knock out the entire grid.
[01:02:48.991 --> 01:02:56.497]  Pay insufficient attention to the frightening scenario of a comprehensive cyber attack.
[01:02:56.797 --> 01:03:03.942]  The COVID-19 crisis would be seen as a small disturbance in comparison.
[01:03:04.242 --> 01:03:10.387]  Growing concerns over white supremacy in America as President Biden issues this new warning about the threat that it poses.
[01:03:10.407 --> 01:03:14.370]  The most dangerous terrorist threat to our homeland is white supremacy.
[01:03:15.905 --> 01:03:18.808]  This is not going to be the end of MAGA terrorism.
[01:03:19.589 --> 01:03:21.811]  This will only be the beginning.
[01:03:22.832 --> 01:03:24.614]  When you have U.S.
[01:03:24.674 --> 01:03:34.323]  Senators in both parties saying, we may need to go ahead and nuke Russia first, and the Russians are aware that's almost happened before, what do you think that makes the Russians do?
[01:03:34.623 --> 01:03:36.065]  Well, it makes them go into war mode.
[01:03:39.013 --> 01:03:40.495]  So I don't like them invading Ukraine.
[01:03:40.515 --> 01:03:43.938]  I don't like him putting his nuclear forces on maximum alert.
[01:03:44.339 --> 01:03:48.583]  Only one level above that on their DEFCON, just like our system, and that's fire the weapons.
[01:03:49.564 --> 01:03:56.251]  And so now we have Democrats all over the news saying, let's just use nuclear weapons on Russia.
[01:03:56.671 --> 01:03:57.933]  Think of their ignorance.
[01:03:58.653 --> 01:04:07.917]  Russia has hundreds of submarines off our coast with sea-launched missiles that would vaporize our cities within five minutes on average of being launched.
[01:04:08.457 --> 01:04:11.058]  Sea-launched cruise missiles that fly at Mach 5.
[01:04:12.359 --> 01:04:18.021]  Land-launched systems they can also launch from ships that are at Mach 9 and cannot be shot down.
[01:04:18.361 --> 01:04:20.182]  And yes, the United States has those too.
[01:04:21.567 --> 01:04:24.728]  That's a Pentagon lie that Russia developed systems that we don't have.
[01:04:25.128 --> 01:04:26.229]  It's on record the U.S.
[01:04:26.269 --> 01:04:26.929]  has those systems.
[01:04:27.489 --> 01:04:32.532]  The point is, it's called mutually assured destruction or MAD for a reason.
[01:04:33.392 --> 01:04:36.653]  Because anyone that would violate the MAD doctrine is insane.
[01:04:37.674 --> 01:04:39.815]  And you know, I'm on the side of not having a nuclear war.
[01:04:40.615 --> 01:04:42.316]  Especially when Russia's not starting a fight with us.
[01:04:42.596 --> 01:04:48.618]  And especially after we just heard for years that everything happening in this country is run by Russia, when that was all a giant lie.
[01:04:48.798 --> 01:04:50.499]  The globalists are the outside evil force.
[01:04:59.881 --> 01:05:09.028]  What would you do if there was a tyrannical totalitarian world government taking over whose plan was to kill 90% of the world population and they were already beginning to do it?
[01:05:09.508 --> 01:05:10.388]  You would rally against it?
[01:05:10.408 --> 01:05:10.929]  You would fight it?
[01:05:11.329 --> 01:05:12.670]  And that's what we're doing.
[01:05:13.150 --> 01:05:14.251]  This is the reality of 2023.
[01:05:15.492 --> 01:05:18.474]  I just want to thank listeners and viewers for your last year's support.
[01:05:18.794 --> 01:05:30.183]  I want to encourage you now more than ever to spread the word about the broadcast, to pray for the broadcast, to take clips and share it from the broadcast, and to buy products that enrich your life at infowareshore.com.
[01:05:30.523 --> 01:05:36.828]  We have the signed or unsigned copy of my new book, The Great Awakening, The Plan to Defeat the Globalist and Launch the Second Renaissance.
[01:05:37.268 --> 01:05:38.870]  Twice as long as my last book.
[01:05:39.190 --> 01:05:40.171]  Incredibly powerful.
[01:05:40.231 --> 01:05:41.051]  Signed or unsigned.
[01:05:41.412 --> 01:05:42.513]  InfoWarsTore.com.
[01:05:42.913 --> 01:05:45.735]  And we have X2 finally back in stock after over a year.
[01:05:46.056 --> 01:05:46.996]  InfoWarsTore.com.
[01:05:47.237 --> 01:05:50.039]  We have TurboForce, 10-hour clean energy, back in stock.
[01:05:50.359 --> 01:05:52.441]  And a bunch of other great products as well.
[01:05:52.721 --> 01:05:56.464]  So please visit InfoWarsTore.com and do your Christmas shopping there.
[01:05:56.765 --> 01:05:59.267]  Fund the InfoWar and get great products all at the same time.
[01:06:02.319 --> 01:06:14.792]  You are listening to an Infowars.com Frontline Report.
[01:06:15.713 --> 01:06:19.357]  If you are receiving this transmission, you are the resistance.
[01:06:22.363 --> 01:06:28.865]  All right, he's an incredible investigative journalist, and we're going to have him in here at one o'clock, but I'm going to get him in early so we have more time with him.
[01:06:29.466 --> 01:06:35.668]  Coming up in about 25 minutes, the bottom of the hour, Anthony Rubin of muckraker.com.
[01:06:36.388 --> 01:06:42.691]  And man, the footage he's got embedded in Central America and Southern North America, Mexico, is insane.
[01:06:43.271 --> 01:06:46.692]  And that just ties into all the rest of the open border news we've got.
[01:06:47.232 --> 01:06:51.574]  We're going to be covering it in great detail here today.
[01:06:52.765 --> 01:06:54.389]  But we have W.E.F.
[01:06:54.449 --> 01:06:56.494]  meetings in January and new W.E.F.
[01:06:56.534 --> 01:06:59.681]  meetings going on now and COPE for COP 28.
[01:07:01.462 --> 01:07:08.207]  Where they say imminent cyber attacks, MAGA's gonna work with Russia to take out the power during the election.
[01:07:08.267 --> 01:07:09.348]  Why the hell would we do that?
[01:07:09.368 --> 01:07:10.089]  We're way in the lead.
[01:07:10.689 --> 01:07:15.333]  As if Trump supporters, the average conservative person's out doing this.
[01:07:15.813 --> 01:07:20.477]  They're desperate and Biden's threatening nuclear war and troops in Ukraine, which are already happening.
[01:07:20.877 --> 01:07:25.121]  But officially, if we don't give them unlimited money to keep fighting the Russians,
[01:07:26.840 --> 01:07:28.721]  Remember, Kennedy kept us from going to war with the Russians.
[01:07:28.761 --> 01:07:30.141]  This is insane.
[01:07:30.881 --> 01:07:37.283]  And the weapons that are around now versus the 1960s are hundreds of times worse.
[01:07:37.343 --> 01:07:45.966]  I mean, it's just, even for me, knowing how crazy the new world order is, the globalists are, it is hard to sit here and look at this news
[01:07:47.003 --> 01:07:49.665]  And realize that we're actually living in this, but they want power.
[01:07:50.085 --> 01:07:50.926]  They've got bunkers.
[01:07:50.986 --> 01:07:51.407]  We don't.
[01:07:52.147 --> 01:07:54.829]  Big enough crisis knocks out the power, knocks out communications.
[01:07:55.149 --> 01:07:59.693]  Well, that'll defeat our political movement to take the country back and establish peace and justice and freedom.
[01:08:00.534 --> 01:08:04.597]  Not some utopia, but we'll certainly not try to be evil on purpose.
[01:08:06.358 --> 01:08:08.620]  So we are at a very important inflection point.
[01:08:08.980 --> 01:08:11.983]  Let me give you an example here, because I've got a bunch of these clips I want to get to right now.
[01:08:13.931 --> 01:08:19.413]  Obama produced a dystopian movie for Tells Nightmare Future after a cyber attack collapsed the civilization.
[01:08:20.294 --> 01:08:22.795]  The name of the show is Leaving the World Behind.
[01:08:23.735 --> 01:08:39.561]  And I'll play you the trailer, and it's a series, or I guess, they're sort of making it into a series, but they've dropped the first movie where Obama sits there and makes the money off of it while he lives at sea level and tells us, you know, a decade ago that it would be flooded by now.
[01:08:39.941 --> 01:08:41.022]  It's all lies.
[01:08:42.537 --> 01:08:48.558]  But here's a short clip where, well, during the collapse, the one group you can't trust is the white people.
[01:08:49.359 --> 01:08:53.780]  So again, this is the CIA, the establishment, trying to create total division.
[01:08:53.800 --> 01:08:54.180]  Here it is.
[01:08:55.440 --> 01:09:03.842]  I'm asking for you to remember that if the world falls apart, trust should not be doled out easily to anyone, especially white people.
[01:09:05.023 --> 01:09:06.543]  Even mom would agree with me on that.
[01:09:10.020 --> 01:09:12.282]  I want to play a clip of Dom Lecrae again.
[01:09:12.322 --> 01:09:15.824]  He was on with us yesterday where he points this out in a moment.
[01:09:15.984 --> 01:09:17.945]  But play that clip.
[01:09:18.706 --> 01:09:19.226]  Play that.
[01:09:19.266 --> 01:09:20.407]  This is what it's filled with.
[01:09:21.367 --> 01:09:22.568]  Oh, society's collapsing.
[01:09:22.648 --> 01:09:24.109]  Don't trust the white people.
[01:09:25.150 --> 01:09:27.772]  Imagine if they said society's collapsing.
[01:09:28.172 --> 01:09:29.313]  Don't trust the black people.
[01:09:29.593 --> 01:09:31.194]  Or don't trust the Jews.
[01:09:31.234 --> 01:09:32.775]  Or don't trust the Muslims.
[01:09:35.302 --> 01:09:36.783]  This is insane, ladies and gentlemen.
[01:09:36.823 --> 01:09:39.325]  This is the establishment doing this to divide us.
[01:09:39.405 --> 01:09:41.226]  It's so illegal.
[01:09:41.266 --> 01:09:42.787]  It's so deceptive.
[01:09:42.827 --> 01:09:44.107]  It's so criminal.
[01:09:44.148 --> 01:09:44.708]  Here it is again.
[01:09:45.588 --> 01:09:53.994]  I'm asking for you to remember that if the world falls apart, trust should not be doled out easily to anyone, especially white people.
[01:09:55.174 --> 01:09:56.715]  Even mom would agree with me on that.
[01:09:57.316 --> 01:09:59.097]  Especially the white people.
[01:10:00.814 --> 01:10:06.637]  That's the mouth of Black Rock and the New World Order, the people running the lithium slave mines in Africa.
[01:10:07.258 --> 01:10:11.520]  I mean, that's so white people watch that and start hating black people.
[01:10:15.082 --> 01:10:15.603]  And it's working.
[01:10:20.105 --> 01:10:26.529]  Before I get into the cyber attack stuff, I played it yesterday, but here's Dom breaking it down.
[01:10:28.547 --> 01:10:33.152]  Everything that Democrats are doing to white Americans, they tested on the black community first.
[01:10:34.073 --> 01:10:36.435]  They destroyed our economy with riots and fire.
[01:10:37.116 --> 01:10:37.817]  They destroyed our-
[01:10:39.270 --> 01:10:39.771]  Policy.
[01:10:40.151 --> 01:10:43.134]  They destroyed our monuments under the skies of political correctness.
[01:10:43.494 --> 01:10:46.777]  They influenced our use to embrace homosexuality through music.
[01:10:47.378 --> 01:10:49.460]  They influenced our use to rebel through music.
[01:10:49.720 --> 01:10:52.202]  They refused to give us representation in Hollywood.
[01:10:52.683 --> 01:10:54.124]  They told us we weren't victims.
[01:10:54.544 --> 01:10:56.006]  They forced vaccines on us.
[01:10:56.686 --> 01:10:59.008]  And they called us conspiracy theorists when we said no.
[01:11:00.149 --> 01:11:04.974]  What's even worse, they changed our nationality through the Census Bureau more than four times.
[01:11:06.090 --> 01:11:10.772]  They assassinated our real leaders and left us with controlled opposition, such as Al Sharpton.
[01:11:11.632 --> 01:11:14.853]  They changed the color of our historical figures and ignored our outcry.
[01:11:15.713 --> 01:11:19.194]  They told the entire nation that we were a problem because we were black.
[01:11:19.735 --> 01:11:21.115]  Same thing they're doing with whites today.
[01:11:21.995 --> 01:11:23.276]  Yes, it's a cold hard truth.
[01:11:23.836 --> 01:11:28.778]  The Democrats mastered the ability to control a race and now they are doing the same thing to white Americans.
[01:11:29.878 --> 01:11:31.399]  This is where it truly gets worse.
[01:11:32.719 --> 01:11:35.360]  Every black is aware that this happened to us.
[01:11:36.699 --> 01:11:44.082]  Most of us will embrace the new propaganda and white Americans will view it as ignorant and racist the same way we did to white Americans in the past.
[01:11:44.622 --> 01:11:55.207]  So when Netflix replaced every white actor with a black one, the black community will view it as finally being represented and not notice that every white person was taken out.
[01:11:56.169 --> 01:12:02.413]  White America will notice the replacement and will rightfully speak out, but black Americans will only see the outcry.
[01:12:02.733 --> 01:12:05.254]  They will think that white Americans don't want them to have anything.
[01:12:05.795 --> 01:12:08.536]  We are living in the most powerful psyop of all time.
[01:12:09.677 --> 01:12:13.319]  The only reason that history repeats is because they remove it.
[01:12:14.259 --> 01:12:22.644]  I'm asking for you to remember that if the world falls apart, trust should not be doled out easily to anyone, especially white people.
[01:12:23.845 --> 01:12:25.306]  Even mom would agree with me on that.
[01:12:28.331 --> 01:12:30.759]  I mean, it's so obvious, it's so ridiculous.
[01:12:31.903 --> 01:12:33.749]  Hollywood is the enemy of the people.
[01:12:35.430 --> 01:12:40.352]  I don't care if your neighbors are black or white or whatever color they are, you better be friends with them and have a plan when this stuff starts collapsing.
[01:12:40.752 --> 01:12:41.073]  Oh no!
[01:12:41.813 --> 01:12:44.474]  When the power goes off, don't trust the white people.
[01:12:44.614 --> 01:12:45.815]  What the hell?
[01:12:46.415 --> 01:12:54.999]  And the white people are going to see that, and it's going to mean they're not going to help you, and you're not going to help them, so we can't help each other, see?
[01:12:55.399 --> 01:13:02.842]  When they shut all the power off, which they're saying they're getting ready to do, they don't want us to dress each other and work together.
[01:13:03.282 --> 01:13:04.703]  They want race riots carrying it.
[01:13:07.202 --> 01:13:09.144]  An angrier world that Klaus Schwab talked about.
[01:13:09.924 --> 01:13:11.045]  This is so transparent.
[01:13:11.466 --> 01:13:12.947]  This isn't even 2 plus 2 equals 4.
[01:13:13.007 --> 01:13:16.910]  This is just, look at the number 1 and say it's 1, or the number 10 and say it's 10.
[01:13:17.070 --> 01:13:18.972]  I mean, look at the blue sky, it's a blue sky.
[01:13:18.992 --> 01:13:24.957]  I mean, this is, this is so ridiculous.
[01:13:26.498 --> 01:13:28.700]  And the globalists are like, well you're dumb, that's why you deserve to die.
[01:13:28.981 --> 01:13:30.402]  Watch the public's about to follow this.
[01:13:31.400 --> 01:13:34.442]  I've had the globalists try to recruit me many times in their off-record meetings.
[01:13:35.183 --> 01:13:36.384]  They're like, you know, the public's really done.
[01:13:36.404 --> 01:13:36.924]  You can't say it.
[01:13:36.944 --> 01:13:37.665]  Just go ahead and join us.
[01:13:38.926 --> 01:13:41.448]  But I'm not betting against humanity.
[01:13:45.011 --> 01:13:46.372]  Yeah, extremist attacks on U.S.
[01:13:46.392 --> 01:13:50.835]  power grids are increasing and election season are usually a popular time for them, experts say.
[01:13:51.256 --> 01:13:53.738]  So we're going to win the election as Team Humanity.
[01:13:54.178 --> 01:13:55.779]  They say we're going to blow up the power grid.
[01:13:59.022 --> 01:14:00.303]  Or shut it off with a cyber attack.
[01:14:04.013 --> 01:14:08.115]  Obama-produced film sparks controversy over cautioning against whites.
[01:14:10.536 --> 01:14:15.338]  Imagine if you tuned into a Netflix show and they said, if stuff collapses, don't trust the blacks.
[01:14:15.418 --> 01:14:16.839]  I'd be like, what the hell?
[01:14:17.279 --> 01:14:20.661]  You're going to just lump all black people together like they're bad because of what color they are?
[01:14:21.341 --> 01:14:21.881]  What is this?
[01:14:21.941 --> 01:14:23.022]  It's like Hitler stuff.
[01:14:24.463 --> 01:14:26.884]  Oh, but it's white people, so it's okay.
[01:14:26.904 --> 01:14:28.965]  You know, I saw a clip here.
[01:14:33.012 --> 01:14:42.694]  of Dr. Phil, and I get he's pro-Israel, I'm not anti-Israel, but he does this whole really powerful six minute video, but he says, they're saying kill all the Jews at Harvard.
[01:14:43.935 --> 01:14:50.056]  Imagine, you know, if they said kill the blacks or kill, but he never says kill the whites, because see, that's okay.
[01:14:50.716 --> 01:14:54.477]  And that's blowback from the left, teaching that all whites are bad.
[01:14:54.497 --> 01:14:56.437]  Well, I mean, what did the leftist Jews think was going to happen?
[01:14:57.338 --> 01:14:58.998]  You're getting a big dose of your own medicine there.
[01:15:00.734 --> 01:15:03.797]  So here's the trailer from Leaving the World Behind.
[01:15:04.638 --> 01:15:06.119]  By the way, Elon Musk pointed that out.
[01:15:06.339 --> 01:15:07.600]  He got demonized anti-Semitic.
[01:15:09.362 --> 01:15:11.784]  No, the left is dealing in race-based politics.
[01:15:12.384 --> 01:15:14.266]  I think when Hitler did it, it was dangerous and bad.
[01:15:14.286 --> 01:15:15.747]  I think when they did it, it's dangerous and bad.
[01:15:16.388 --> 01:15:17.169]  And you know it is.
[01:15:17.769 --> 01:15:18.790]  And they're the ones doing it.
[01:15:22.053 --> 01:15:23.955]  Every corporate spokesperson is black.
[01:15:24.991 --> 01:15:26.352]  That's not empowering black people.
[01:15:26.892 --> 01:15:29.134]  That is to totally freak everybody out.
[01:15:29.174 --> 01:15:35.239]  And now the video's been released by Project Veritas of the CEO of IBM.
[01:15:36.300 --> 01:15:37.541]  They literally put Hitler in power.
[01:15:38.141 --> 01:15:38.621]  You look it up.
[01:15:39.722 --> 01:15:43.805]  Saying, we need to get rid of the white people and we gotta follow the ESGs of BlackRock.
[01:15:45.467 --> 01:15:48.489]  Now, that's meant to piss white people off, folks.
[01:15:49.619 --> 01:15:53.480]  This is all a deliberate divide and conquer ahead of them taking us all down.
[01:15:53.960 --> 01:15:55.641]  There are not going to be reparations paid to anybody.
[01:15:55.661 --> 01:15:58.101]  You're not going to get your student loans paid either, folks.
[01:15:58.862 --> 01:16:01.903]  They are destroying us, all of us.
[01:16:02.203 --> 01:16:02.703]  Here's a clip.
[01:16:05.604 --> 01:16:08.685]  I went online this morning and I rented us a beautiful house out by the beach.
[01:16:09.165 --> 01:16:13.366]  I figured if I made the reservation and packed our bags, it would eliminate most of the reasons to say no.
[01:16:21.687 --> 01:16:22.908]  The kids look so happy.
[01:16:24.509 --> 01:16:28.391]  The Wi-Fi isn't working.
[01:16:30.593 --> 01:16:34.415]  Get a pad.
[01:16:34.515 --> 01:16:39.038]  I'm so sorry to bother you, but this is our house.
[01:16:39.739 --> 01:16:40.499]  This is your house?
[01:16:45.042 --> 01:16:47.964]  We were driving back to the city, then something happened.
[01:16:48.645 --> 01:16:50.426]  You want to stay here, but we're staying here.
[01:16:56.195 --> 01:16:57.916]  I need to think everything's gonna be okay.
[01:16:59.938 --> 01:17:01.919]  Everything is gonna be okay.
[01:17:04.981 --> 01:17:05.441]  Isn't it?
[01:17:05.641 --> 01:17:08.503]  We are seeing ongoing cyber attacks across the country.
[01:17:11.846 --> 01:17:14.067]  Something is happening and I don't trust them.
[01:17:15.788 --> 01:17:17.649]  Everything I know, I have told you.
[01:17:18.990 --> 01:17:19.751]  I don't believe you.
[01:17:20.828 --> 01:17:23.008]  I would do anything to protect my family.
[01:17:23.509 --> 01:17:25.549]  What you do is your business.
[01:17:25.649 --> 01:17:31.950]  Get in the car right now!
[01:17:41.212 --> 01:17:44.693]  Haven't you been picking up on what's going on out there?
[01:17:46.253 --> 01:17:47.934]  Whatever it is, it's happening to all of us.
[01:17:47.954 --> 01:17:48.554]  Stop!
[01:17:48.574 --> 01:17:49.134]  Stop!
[01:17:50.120 --> 01:18:05.125]  I just want to know what is the truth.
[01:18:06.125 --> 01:18:14.528]  I'm asking for you to remember that if the world falls apart, trust should not be doled out easily to anyone, especially white people.
[01:18:15.728 --> 01:18:17.209]  Even mom would agree with me on that.
[01:18:20.219 --> 01:18:28.805]  Klaus Schwab said three years ago that when we're done with the COVID lockdowns, we're going to bring in carbon lockdowns for the earth and then a cyber attack is going to deliver it.
[01:18:30.306 --> 01:18:39.252]  And now Obama's new show is out about people fighting over houses.
[01:18:40.486 --> 01:18:45.647]  That they're going to live in because the power's gone off, that there's no gasoline, and we're all killing each other.
[01:18:46.047 --> 01:18:51.508]  Figured it out yet, and the globalists have set up bases near the Arctic Circle, right where the treeline ends.
[01:18:51.688 --> 01:18:52.888]  I've got the people that work there.
[01:18:54.769 --> 01:19:00.590]  And they've set them up in Tasmania, Kauai, Maui, Hawaii.
[01:19:01.790 --> 01:19:03.770]  They've set them up in New Zealand.
[01:19:09.209 --> 01:19:13.510]  They've got a bunch of other bases in Switzerland, and they're going to live in these armored bunkers.
[01:19:13.950 --> 01:19:15.111]  They don't even trust the security.
[01:19:15.711 --> 01:19:18.932]  So they're building these bases, near-government bases with airfields.
[01:19:18.952 --> 01:19:22.313]  They have their own separate houses near them, usually a few miles away.
[01:19:23.133 --> 01:19:24.994]  They've got robot helicopters.
[01:19:26.074 --> 01:19:32.756]  The people that saw this at Zuckerberg's house, and I was told this years before by people that were in New Zealand looking at facilities being built.
