[00:00.000 --> 00:01.840]  replace the
[38:42.200 --> 38:45.200]  It's that, what's wrong with you guys and gals?
[38:45.200 --> 38:47.200]  It's about fighting the new world order.
[38:47.200 --> 38:50.200]  I don't know why you're jealous of me because I'm right,
[38:50.200 --> 38:53.200]  why because I'm smart, why because I'm cutting edge,
[38:53.200 --> 38:57.200]  why because I'm really committed, you see, and you're not.
[38:57.200 --> 39:00.200]  This is life and death for me. This is what I do.
[39:00.200 --> 39:03.200]  I live this.
[39:03.200 --> 39:08.200]  So here's, I don't know, six, seven minutes I'll play of the day of 9-11.
[39:08.200 --> 39:12.200]  This is at about 11-06 or so.
[39:12.200 --> 39:14.200]  End of the show. Here it is.
[39:14.200 --> 39:17.200]  Now we have Chris McCarkey, who is a Genesis broadcaster
[39:17.200 --> 39:19.200]  and who lives in New York.
[39:19.200 --> 39:25.200]  Going back to Jim Wright, I witness family friends that I know personally.
[39:25.200 --> 39:28.200]  Jim, tell us where you work, what you saw,
[39:28.200 --> 39:32.200]  and basically run down for this audience exactly what developed this morning
[39:32.200 --> 39:36.200]  at 8.50 a.m. when the first plane slapped in,
[39:36.200 --> 39:39.200]  slammed into the South World Trade Center. Go ahead, sir.
[39:39.200 --> 39:43.200]  Sure, Alex. I was at that time in the World Finance Center
[39:43.200 --> 39:46.200]  directly across the street from the World Trade Center,
[39:46.200 --> 39:49.200]  between the World Trade Center and the Hudson River.
[39:49.200 --> 39:54.200]  We heard a shock, you know, 10 till 9 or so.
[39:54.200 --> 39:59.200]  I actually saw walls vibrating in front of the neighboring buildings,
[39:59.200 --> 40:02.200]  heard a noise that sounded like cherry bombs
[40:02.200 --> 40:07.200]  followed by almost like a dump truck dumping gravel sound.
[40:07.200 --> 40:10.200]  We looked out one side of our buildings,
[40:10.200 --> 40:14.200]  where I thought the noise came from on the river side.
[40:14.200 --> 40:16.200]  That wasn't it. We went back to the front,
[40:16.200 --> 40:20.200]  and at that point a number of people lined up on the 15th floor
[40:20.200 --> 40:24.200]  watching one World Trade Center burn.
[40:24.200 --> 40:28.200]  It was burning from about the 100th floor up.
[40:28.200 --> 40:33.200]  While we were watching it, you could actually see bodies coming out of the windows.
[40:33.200 --> 40:38.200]  Some were obviously dead, others were flaming as they came down.
[40:38.200 --> 40:39.200]  Were they on fire?
[40:39.200 --> 40:45.200]  Just smoke. That's a little gruesome, but...
[40:45.200 --> 40:47.200]  Are you getting the details?
[40:47.200 --> 40:57.200]  Yeah. Anyway, after the third or fourth body we observed come out,
[40:57.200 --> 41:00.200]  they were trying to set us assured in our building
[41:00.200 --> 41:03.200]  that it was another building that was affected.
[41:03.200 --> 41:04.200]  We shouldn't be concerned.
[41:04.200 --> 41:07.200]  Well, about that time, the second plane hit.
[41:07.200 --> 41:13.200]  We actually saw the plane shoot out hundreds of feet.
[41:13.200 --> 41:19.200]  That plane looked like it hit maybe the 80th floor,
[41:19.200 --> 41:21.200]  75th to 80th floor.
[41:21.200 --> 41:24.200]  At that point we knew this was a target,
[41:24.200 --> 41:28.200]  so we evacuated our building and went out towards the Hudson River
[41:28.200 --> 41:32.200]  to catch a ferry back across the river.
[41:32.200 --> 41:35.200]  This is not a B-23 in World War II
[41:35.200 --> 41:38.200]  and fog crashing into the Empire State Building.
[41:38.200 --> 41:45.200]  No, no, no. The plane that we saw looked like a full-size passenger plane,
[41:45.200 --> 41:48.200]  not necessarily a big white body.
[41:48.200 --> 41:50.200]  What color was the plane?
[41:50.200 --> 41:55.200]  All I saw was like a flash of white, Alex, just barely caught the glimpse of...
[41:55.200 --> 42:00.200]  I'm not even sure if it was a fin section or the tip of the wing, but...
[42:00.200 --> 42:04.200]  Watching the footage of a passenger plane,
[42:04.200 --> 42:06.200]  a medium-sized passenger plane,
[42:06.200 --> 42:09.200]  slamming into the world crates and exploding out the other side,
[42:09.200 --> 42:10.200]  that was so surreal.
[42:10.200 --> 42:12.200]  What was it like to see it with your own two eyes, Jim?
[42:12.200 --> 42:15.200]  It's like it was slow motion.
[42:15.200 --> 42:17.200]  It's like a movie.
[42:17.200 --> 42:21.200]  It's like reading a techno thriller. You just can't believe something like this.
[42:21.200 --> 42:24.200]  Really, truly can happen.
[42:24.200 --> 42:26.200]  Jim, what happened?
[42:26.200 --> 42:27.200]  I guess the perfect word.
[42:27.200 --> 42:29.200]  Absolutely. We appreciate you joining us.
[42:29.200 --> 42:31.200]  I know your family is very happy and impressed that you're alive
[42:31.200 --> 42:34.200]  and listening right now on 91.7 FM.
[42:34.200 --> 42:39.200]  What exactly developed after the second plane slammed into the building?
[42:39.200 --> 42:44.200]  Well, we got out and went to the river side to catch a ferry.
[42:44.200 --> 42:48.200]  We still saw several more bodies come out.
[42:48.200 --> 42:53.200]  We got across the river and we were watching the building.
[42:53.200 --> 42:58.200]  Suddenly, at one world trade center, you could hear the shock.
[42:58.200 --> 43:04.200]  It looked like an explosion or things blowing out from around the 70th or 80th floor
[43:04.200 --> 43:07.200]  all the way around the building.
[43:07.200 --> 43:10.200]  And the building just dropped straight down.
[43:10.200 --> 43:14.200]  The building was literally gone within five seconds.
[43:14.200 --> 43:18.200]  Alex, I used to be a structural engineer and I'd watched buildings implode.
[43:18.200 --> 43:22.200]  It was the most perfect implosion I've ever seen in my life.
[43:22.200 --> 43:26.200]  It came straight down in one monolithic piece.
[43:26.200 --> 43:30.200]  Now, you were a structural engineer. How could fire in the upper floors,
[43:30.200 --> 43:34.200]  you say one plane hit about the 100th floor and the other hit about the 70th floor,
[43:34.200 --> 43:38.200]  how does that cause a building to completely collapse?
[43:38.200 --> 43:42.200]  I don't believe it does, Alex. I mean, looking at the way the building came down,
[43:42.200 --> 43:46.200]  it looked like there was charges up around the 70th,
[43:46.200 --> 43:50.200]  but I've just got to believe there was also charges at the base of the building.
[43:50.200 --> 43:55.200]  And to bring something down that path, one of the things has to happen.
[43:55.200 --> 44:00.200]  The charges have to be so perfectly placed, I mean engineered,
[44:00.200 --> 44:05.200]  or there has to be so much there that it just obliterates everything.
[44:05.200 --> 44:09.200]  Jim Wright, this is like a bad nightmare.
[44:09.200 --> 44:13.200]  I know you're familiar with what I do. I have produced a film showing the feds
[44:13.200 --> 44:17.200]  removing unexploded bombs from the columns at the Oklahoma City Building that was blown out,
[44:17.200 --> 44:22.200]  obviously not blown in. This is government. What you have just told us, sir,
[44:22.200 --> 44:26.200]  I saw those buildings collapse. You were right there. I was watching it on the news.
[44:26.200 --> 44:31.200]  They wanted massive death. So you're saying as a structural engineer,
[44:31.200 --> 44:36.200]  you are witnessing this, it is collapsing, and then both the structures
[44:36.200 --> 44:41.200]  only place charges are so precise. Is that what you're saying?
[44:41.200 --> 44:46.200]  That, it appeared to be, Alex. And I'm not a PE, a professional engineer,
[44:46.200 --> 44:53.200]  but I studied at the master's level and I've agreed.
[44:53.200 --> 44:57.200]  They were just perfect enclosures, both of them.
[44:57.200 --> 45:01.200]  The second building came down a little bit slower.
[45:01.200 --> 45:05.200]  The first one took 5 seconds. The second building took 10.
[45:05.200 --> 45:10.200]  The corner outside corner column stayed up for a bit,
[45:10.200 --> 45:15.200]  but then just because of Alex's ability, they came down also.
[45:15.200 --> 45:20.200]  So you're telling me, sir, again, exactly, what's your job there
[45:20.200 --> 45:22.200]  at the World Financial Center?
[45:22.200 --> 45:27.200]  I'm a financial analyst with one of the accounting firms,
[45:27.200 --> 45:31.200]  one of the big five accounting firms, and I've been out of engineering
[45:31.200 --> 45:36.200]  for close to 20 years. I want to qualify what I'm saying.
[45:36.200 --> 45:39.200]  I understand, but still, we've all seen buildings get blown up on the news
[45:39.200 --> 45:42.200]  in Las Vegas when they're getting rid of them, how they collapse symmetrically.
[45:42.200 --> 45:46.200]  And then this was one of the most symmetrical collapses I've ever seen,
[45:46.200 --> 45:49.200]  but then it was obscured by smoke. What did you see there?
[45:49.200 --> 45:52.200]  Now when the first tower collapsed, Jim?
[45:52.200 --> 45:55.200]  I was across the river, across the Hudson River,
[45:55.200 --> 46:01.200]  about a block from the waterfront, but we had a perfect view of everything.
[46:01.200 --> 46:08.200]  I would say this is about a mile and a half away from the World Trade Center site.
[46:08.200 --> 46:14.200]  Now I'm sitting on the back of my boat in a marina at the Statue of Liberty Park,
[46:14.200 --> 46:17.200]  and I'm still about a mile and a half from the site.
[46:17.200 --> 46:21.200]  We have the top third, the top half of these millings burning,
[46:21.200 --> 46:24.200]  and suddenly they just collapse, so they're steel reinforced.
[46:24.200 --> 46:28.200]  You would think that they would just lean over to the side or fall over,
[46:28.200 --> 46:29.200]  not completely collapse.
[46:29.200 --> 46:32.200]  That's exactly what you would think, Alex.
[46:32.200 --> 46:35.200]  You would have thought they would have come down so much slow that they would have been.
[46:35.200 --> 46:37.200]  They would have distorted.
[46:37.200 --> 46:40.200]  Jim, you know I could have been flew up Oklahoma City.
[46:40.200 --> 46:44.200]  Do you see how the government could stand again to bring us a police state from this happening?
[46:44.200 --> 46:48.200]  Alex, I'm not even going to go there. I have no opinion on that.
[46:48.200 --> 46:52.200]  I'll just tell you the facts I see.
[46:52.200 --> 46:56.200]  I'm not going to speculate who did this or anything like that.
[46:56.200 --> 46:58.200]  That's way beyond my knowledge base.
[46:58.200 --> 47:03.200]  Certainly you heard about Hitler burning the Reichstag as a pretext to defer martial law.
[47:03.200 --> 47:04.200]  Okay.
[47:04.200 --> 47:08.200]  Hitler burning the Reichstag as a pretext to defer martial law?
[47:08.200 --> 47:09.200]  Yeah.
[47:09.200 --> 47:12.200]  I've been predicting this for five years.
[47:12.200 --> 47:14.200]  I'm just so glad that you're alive.
[47:14.200 --> 47:16.200]  Have you had a chance to talk to your wife?
[47:16.200 --> 47:18.200]  Yeah, I have, Alex.
[47:18.200 --> 47:26.200]  As far as I know, all the people I know got out and we're just very thankful we're not a victim.
[47:26.200 --> 47:28.200]  Well, Jim, we've got to break it in.
[47:28.200 --> 47:32.200]  I want to ask you questions about what happened after the two buildings collapsed,
[47:32.200 --> 47:34.200]  the carnage, what authorities were doing.
[47:34.200 --> 47:36.200]  Can you say with us for 10 more minutes?
[47:36.200 --> 47:37.200]  Sure, Alex.
[47:37.200 --> 47:45.200]  Jim Wright, my good buddy Kevin Booth, his sister, is Mitchell Wright's wife.
[47:45.200 --> 47:49.200]  And I've enjoyed many good dinners out there at Fredericksburg with him.
[47:49.200 --> 47:50.200]  It's just amazing.
[47:50.200 --> 47:53.200]  Then we'll go to Derry Brownfield.
[47:53.200 --> 47:55.200]  Hey, folks, Alex Jones here.
[47:55.200 --> 47:58.200]  And I wouldn't have believed it.
[47:58.200 --> 47:59.200]  All right.
[47:59.200 --> 48:00.200]  And it goes on.
[48:00.200 --> 48:02.200]  There's three hours of it.
[48:02.200 --> 48:07.200]  And I talk about how the government's probably going to launch an anthrax attack.
[48:07.200 --> 48:10.200]  You talk about calling it like it is.
[48:10.200 --> 48:16.200]  There I am talking about control demolition an hour after the buildings collapsed.
[48:16.200 --> 48:22.200]  I was on Derry Brownfield right after they collapsed right before that show began,
[48:22.200 --> 48:25.200]  talking about how it was a controlled demolition.
[48:25.200 --> 48:29.200]  Old Derry's let me call in a few times of the show and I've had him on here a few times.
[48:29.200 --> 48:37.200]  They point blank told me I was banned from that show after that day going on and talking
[48:37.200 --> 48:39.200]  about all that.
[48:39.200 --> 48:41.200]  But that's a good part about it.
[48:41.200 --> 48:43.200]  I get to be the first to talk about it.
[48:43.200 --> 48:46.200]  And then years later, I'm a Johnny come lately, everybody tells me.
[48:46.200 --> 48:49.200]  I've jumped on the 9-11 bandwagon.
[48:49.200 --> 48:54.200]  And I don't do enough either.
[48:54.200 --> 48:56.200]  That's what the locals say around here.
[48:56.200 --> 48:58.200]  I don't do enough for them.
[48:58.200 --> 48:59.200]  I don't do enough.
[48:59.200 --> 49:01.200]  I really don't care in the final summation.
[49:01.200 --> 49:03.200]  I've done my job as best I could.
[49:03.200 --> 49:06.200]  Lord knows it wasn't perfect.
[49:06.200 --> 49:10.200]  And I mean, look at the type of news we have in front of us now.
[49:10.200 --> 49:14.200]  Military considers recruiting foreigners.
[49:14.200 --> 49:18.200]  Expedited citizenship would be an incentive.
[49:18.200 --> 49:23.200]  And then the article goes on to say the armed forces already struggling to meet recruiting goals
[49:23.200 --> 49:28.200]  are considering expanding the number of noncitizens in the ranks, including disputed proposals
[49:28.200 --> 49:32.200]  to open recruiting stations overseas.
[49:32.200 --> 49:36.200]  So, see, notice, they say they're considering hiring foreigners.
[49:36.200 --> 49:38.200]  And they say, oh, we mean expanding.
[49:38.200 --> 49:39.200]  We're already doing it.
[49:39.200 --> 49:41.200]  And, oh, we want to open recruiting stations overseas.
[49:41.200 --> 49:44.200]  And then, oh, we've already done that.
[49:44.200 --> 49:50.200]  20% of the troops on the ground in Iraq, the ground forces are illegal aliens, now legalized.
[49:50.200 --> 49:54.200]  They want to make half of them by the end of this decade.
[49:54.200 --> 50:02.200]  And these good old boys, folks, will turn their guns in in a minute to troops, to foreign troops, to whoever.
[50:02.200 --> 50:07.200]  When it comes to bootlicking, these neocon followers don't love America, folks.
[50:07.200 --> 50:12.200]  They love worshiping government and just saying they're conservative.
[50:12.200 --> 50:13.200]  And hey, you get what you want.
[50:13.200 --> 50:20.200]  The Democrats are in, hate crimes legislation, open borders, blanket amnesty.
[50:20.200 --> 50:25.200]  It's now all upon us.
[50:25.200 --> 50:28.200]  Reverend Ted Pike's reporting federal hate law could be introduced this week.
[50:28.200 --> 50:31.200]  Will Congress back in session on January 3rd?
[50:31.200 --> 50:34.200]  The federal hate crimes bill could be reintroduced anytime.
[50:34.200 --> 50:39.200]  The Anti-Defamation League of Ben-Abraith, or you can call it a Mossad,
[50:39.200 --> 50:45.200]  introduced the same legislation last January 6th, three days after the Congress convened.
[50:45.200 --> 50:49.200]  This is the most dangerous legislation ever to come before Congress.
[50:49.200 --> 50:51.200]  It leads directly to an end of free speech.
[50:51.200 --> 50:55.200]  Once free speech is gone, there is little to prevent the loss of all of our freedoms.
[50:55.200 --> 51:00.200]  The new Democratic-controlled Congress has all the votes it needs to quickly run this
[51:00.200 --> 51:04.200]  herwellian bill through the committee, and Bush has said he's going to sign it.
[51:04.200 --> 51:09.200]  And you know Limbaugh and all of them will get on there, and they will say good.
[51:09.200 --> 51:15.200]  And you'll be called to the rules, because you're for the First Amendment.
[51:15.200 --> 51:18.200]  And I've got this article right here.
[51:18.200 --> 51:22.200]  Well, we're going to break here in just a moment.
[51:22.200 --> 51:28.200]  And when we come back, I'll hit on this and then take two final calls.
[51:28.200 --> 51:30.200]  They're going to read your email for you to be voted.
[51:30.200 --> 51:33.200]  We have to get into your email account before you're allowed to fly.
[51:33.200 --> 51:38.200]  Yeah, that's freedom.
[51:38.200 --> 51:42.200]  It's here after a year in production and traveling to distant lands.
[51:42.200 --> 51:44.200]  My new film Terror Storm is complete.
[51:44.200 --> 51:48.200]  Shocking, declassified government documents prove that western governments are orchestrating
[51:48.200 --> 51:52.200]  terror attacks against their own populations as a pretext to enslave them.
[51:52.200 --> 51:56.200]  Terror Storm proves that not only was 9-11 an inside job,
[51:56.200 --> 52:00.200]  but the attacks of 7-7 in London were carried out by British intelligence.
[52:00.200 --> 52:03.200]  Terror Storm chronicles the lies that took us to war in Iraq,
[52:03.200 --> 52:09.200]  a White House program to disseminate fake news, NSA spying, secret police torture,
[52:09.200 --> 52:12.200]  the latest 9-11 information, and much, much more.
[52:12.200 --> 52:16.200]  Terror Storm is the definitive guide to the history of government-sponsored terrorists.
[52:16.200 --> 52:18.200]  It's an anthology of government crimes.
[52:18.200 --> 52:22.200]  Terror Storm is a film that everyone who wants to be truly informed must see.
[52:22.200 --> 52:26.200]  Get your copy today on Infowars.com or PrisonPilot.com,
[52:26.200 --> 52:31.200]  or by calling toll-free 1-888-2533139,
[52:31.200 --> 52:35.200]  or watch it right now online at PrisonPlanet.tv.
[52:35.200 --> 52:38.200]  More than 700 chemicals have been found in our drinking water,
[52:38.200 --> 52:41.200]  and did you know that you can have greater exposure to these chemicals
[52:41.200 --> 52:43.200]  by taking hot showers than when you drink the water?
[52:43.200 --> 52:46.200]  That's because many chemicals are inhaled when they evaporate,
[52:46.200 --> 52:48.200]  and others are absorbed through the skin.
[52:48.200 --> 52:53.200]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron,
[52:53.200 --> 52:57.200]  and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[52:57.200 --> 53:01.200]  The media is non-toxic, environmentally sound, and is recyclable.
[53:01.200 --> 53:06.200]  The KDF shower filter will typically last 10,000 gallons or one year, whichever comes first.
[53:06.200 --> 53:10.200]  Hospitals, restaurants, and water treatment facilities use this media
[53:10.200 --> 53:13.200]  to reduce chlorine, iron, heavy metals, and bacteria.
[53:13.200 --> 53:15.200]  What about you?
[53:15.200 --> 53:18.200]  Order your KDF shower filter, normally $49,
[53:18.200 --> 53:23.200]  for a special price of only $35, a $14 savings.
[53:23.200 --> 53:27.200]  Call now to order at 1-888-803-4438.
[53:27.200 --> 53:34.200]  Order today and save $14 by calling 1-888-803-4438.
[53:34.200 --> 53:37.200]  For years, you've been hearing about Herbal Healer Academy
[53:37.200 --> 53:43.200]  and how it remains a leader in effective alternative and natural medicine and education.
[53:43.200 --> 53:46.200]  But how can they continue to hold that title for years on end?
[53:46.200 --> 53:50.200]  The answer is high quality and huge selection.
[53:50.200 --> 53:55.200]  Just visit herbalhealer.com and shop online or request a free catalog.
[53:55.200 --> 53:58.200]  You're bound to find the alternative you're looking for.
[53:58.200 --> 54:03.200]  Did you know that Herbal Healer carries the latest, safest, and effective weight loss products?
[54:03.200 --> 54:08.200]  You can also count on Herbal Healer for the largest selection of safe and natural supplements
[54:08.200 --> 54:11.200]  just for children. And don't forget your pets.
[54:11.200 --> 54:17.200]  Herbal Healer even has natural mineral supplements for older animals including horses, cows, and birds.
[54:17.200 --> 54:21.200]  Take a peek at their online calendar and you're sure to find everything you need
[54:21.200 --> 54:24.200]  and maybe something you didn't realize you need.
[54:24.200 --> 54:29.200]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[54:29.200 --> 54:42.200]  HerbalHealer.com, working with the power of nature.
[54:59.200 --> 55:15.200]  That's what we're doing.
[55:15.200 --> 55:22.200]  Made a, made a, made a free humanities under attack by global organized crime syndicate.
[55:22.200 --> 55:30.200]  U.S. license to snoop on British Air Travelers. This is out of the London Evening Standard.
[55:30.200 --> 55:34.200]  And it goes on to say Britain's flying to America could have their credit card and e-mail accounts
[55:34.200 --> 55:39.200]  inspected by the United States authorities following a deal struck by Brussels and Washington.
[55:39.200 --> 55:42.200]  See, it's a, it's a U.N. deal.
[55:42.200 --> 55:46.200]  By using credit card to look at the flight passengers' faces, having other transactions
[55:46.200 --> 55:49.200]  on the card inspected by the American authorities, providing an e-mail address
[55:49.200 --> 55:54.200]  to an airline could also lead to scrutiny over the messages sent or received on the account.
[55:54.200 --> 55:58.200]  This is the U.S. Department of Homeland Security and a deal with the European Union.
[55:58.200 --> 56:02.200]  You see, it's all globally standardized and they go on to say they're going to read your e-mail.
[56:02.200 --> 56:08.200]  Then I can pull up articles and I want Paul or somebody or Aaron to do a story on this
[56:08.200 --> 56:14.200]  because we have the articles from just a few months ago where they admit that they're inspecting U.S. citizens too.
[56:14.200 --> 56:19.200]  So ever we hear it's happening to foreigners, it's happening to us too. In fact, I have an article from yesterday
[56:19.200 --> 56:25.200]  about these databases. Another story out of Washington Post about these anti-terror fusion centers
[56:25.200 --> 56:29.200]  in every major town and city, which are really federal operations, but it says,
[56:29.200 --> 56:32.200]  oh, the feds are worried there's not enough federal control over them.
[56:32.200 --> 56:38.200]  The whole thing's a federal operation. Just unbelievable.
[56:38.200 --> 56:41.200]  But they're going to legalize all the illegal aliens on the borders wide open.
[56:41.200 --> 56:44.200]  I mean, it's a sick joke. And then they were never going to build that fence.
[56:44.200 --> 56:48.200]  We told you that. They authorized the building of it.
[56:48.200 --> 56:51.200]  And then Chertoff said no. Of course he said no.
[56:51.200 --> 56:55.200]  What do you think a foreign agent's going to do? Destroy America.
[56:55.200 --> 56:58.200]  You're doing a great job. Great job.
[56:58.200 --> 57:03.200]  I'm going to jam two final calls in here, but I didn't really plug this today.
[57:03.200 --> 57:05.200]  If you believe in what we're doing, folks, get the videos.
[57:05.200 --> 57:10.200]  I've got my first seven films, Matrix of Evil, the police state films, all of them big discounts.
[57:10.200 --> 57:13.200]  They're now on DVD. Also, I've got a bunch of other great videos
[57:13.200 --> 57:15.200]  and books we carry at infowars.com.
[57:15.200 --> 57:18.200]  The other safe, secure online shopping cart.
[57:18.200 --> 57:21.200]  And your purchase does make what we do here possible as well.
[57:21.200 --> 57:28.200]  So please get the videos or call toll free 888-253-3139.
[57:28.200 --> 57:34.200]  And until for another two weeks, you can get five plus months free at prisonplanet.tv
[57:34.200 --> 57:39.200]  when you sign up, five plus months free at prisonplanet.tv.
[57:39.200 --> 57:43.200]  It's a great activist tool, great films. It's all there, prisonplanet.tv.
[57:43.200 --> 57:47.200]  Quickly, Johnny in Michigan, in Missouri. Go ahead.
[57:47.200 --> 57:48.200]  Hey, Alex.
[57:48.200 --> 57:50.200]  Go ahead. Go quick, sir. We're almost out of time.
[57:50.200 --> 57:56.200]  I've got a couple of things. We had a roadblock incident here in Missouri this last part of December.
[57:56.200 --> 57:59.200]  Don't you wish they'd run roadblocks on the border?
[57:59.200 --> 58:04.200]  Oh, yeah, for sure. Hey, I've got a couple of websites, too. I'd like to push out there if I could.
[58:04.200 --> 58:06.200]  Sure, go ahead.
[58:06.200 --> 58:10.200]  Inpeachforpeace.org. I don't know if you've heard of them.
[58:10.200 --> 58:11.200]  Yes, I have.
[58:11.200 --> 58:15.200]  They're pushing the initiative to get some kind of truth out of this damn thing.
[58:15.200 --> 58:19.200]  And Lone Lantern Society.
[58:19.200 --> 58:21.200]  Good folks out of Chicago.
[58:21.200 --> 58:24.200]  Fantastic, yeah. Thanks for the venue, man.
[58:24.200 --> 58:27.200]  Thank you. I'll call you back tomorrow. I want to hear more about the checkpoint.
[58:27.200 --> 58:33.200]  Freedom at Freedom Point. Robert, in Tampa, hit us. Go ahead.
[58:33.200 --> 58:38.200]  I have a suggestion for your next movie. I hope you'll take it in the spirit I intended.
[58:38.200 --> 58:44.200]  I think your movie would be more effective if you had a third person who's not in the movie do the narration.
[58:44.200 --> 58:45.200]  We're already doing that.
[58:45.200 --> 58:47.200]  Okay, great. Thank you very much.
[58:47.200 --> 58:49.200]  Anything else?
[58:49.200 --> 58:55.200]  That was my suggestion. Have you ever heard Frontline the guy that does that? He's got that clear, neutral voice.
[58:55.200 --> 58:57.200]  And that's what the troops said.
[58:57.200 --> 59:00.200]  No, no. That guy probably cost $50,000.
[59:00.200 --> 59:06.200]  Well, someone along that line, you know, I love you, man, but I think your voice has too much emotion in it to do the narration.
[59:06.200 --> 59:09.200]  I agree. Everybody sent me narrator ideas, contacts.
[59:09.200 --> 59:31.200]  All right. God bless you all. Great first show of the year. Take care.
[59:39.200 --> 59:46.200]  A new interactive CD book, Prudent Places USA. You will find the information you want with over 50 interactive parameters that you control.
[59:46.200 --> 59:51.200]  Find everything from housing prices and taxes to brewing environmental catastrophes.
[59:51.200 --> 59:57.200]  Locate billion-dollar disaster-prone areas, the safest cities, ideal solar locations, and much, much more.
[59:57.200 --> 01:00:24.200]  Thank you.
[01:00:24.200 --> 01:00:36.200]  Waging war on corruption. Alex Jones on the GCN Radio Network.
[01:00:36.200 --> 01:00:44.200]  Big Brother, mainstream media, government cover-ups. You want answers? Well, so does he.
[01:00:44.200 --> 01:01:10.200]  He's Alex Jones on the GCN Radio Network. And now, live from Austin, Texas, Alex Jones.
[01:01:10.200 --> 01:01:19.200]  Now, into hour number two. We are live. It is January 1, 2007. That's going to take some getting used to.
[01:01:19.200 --> 01:01:26.200]  And we have wide open phones today at 1-800-2599-231. We'll be getting into the execution of Saddam.
[01:01:26.200 --> 01:01:30.200]  Was it real? Was it staged? If it is real, what does it mean? What are the implications?
[01:01:30.200 --> 01:01:35.200]  We'll be taking your calls. Also, it has resurfaced my 9-11 broadcast.
[01:01:35.200 --> 01:01:48.200]  Now, would somebody please find my 7-7, not my 7-7, my July 25, 2001, expose the government terrorist broadcast,
[01:01:48.200 --> 01:01:53.200]  and pretty much any show in those two months leading up to it, I was warning people, call the White House,
[01:01:53.200 --> 01:01:56.200]  tell the government, don't carry out the attacks, don't blame it on your asset bin Laden.
[01:01:56.200 --> 01:02:02.200]  We have the TV show where I did it. And then I asked the network, like a year after that, to send it to me,
[01:02:02.200 --> 01:02:06.200]  and I'm not blaming the network, but they sent me the wrong show.
[01:02:06.200 --> 01:02:11.200]  So obviously, somebody out there has got my July 25, 2001 program.
[01:02:11.200 --> 01:02:17.200]  The reason that one's important is I did three hours on how they were going to attack the World Trade Center.
[01:02:17.200 --> 01:02:23.200]  And I really want it. Well, I also really wanted my 9-11 broadcast, and it just popped up on YouTube.
[01:02:23.200 --> 01:02:32.200]  So I want to thank the person that did that. They put three hours up there in, what, three different clips.
[01:02:32.200 --> 01:02:36.200]  And it's up on prisonpundit.com. I'm going to play. I haven't had time to listen to all of it.
[01:02:36.200 --> 01:02:43.200]  I listened like an hour of it a few nights ago. And, man, it's just powerful stuff, very powerful.
[01:02:43.200 --> 01:02:47.200]  So we're playing that at the bottom of this hour.
[01:02:47.200 --> 01:02:51.200]  But we have a caller online. He's still there, isn't he?
[01:02:51.200 --> 01:02:54.200]  I was talking to Duvall in Pennsylvania.
[01:02:54.200 --> 01:03:00.200]  Yeah, Duvall, for those who just joined us, go ahead and recap your question or comment on what I was saying to your question.
[01:03:00.200 --> 01:03:02.200]  And then we'll move forward.
[01:03:02.200 --> 01:03:11.200]  Yes. I was just saying that if the 9-11 truth movement might suffer the same fate as the JFK assassination movement suffered,
[01:03:11.200 --> 01:03:23.200]  where after decades of research and questioning, most of the American public believes there was a conspiracy or a government involvement,
[01:03:23.200 --> 01:03:25.200]  but nothing really happens.
[01:03:25.200 --> 01:03:33.200]  Well, what did you think of my answer that in five years, the majority know it's an inside job, and 84% think they're being lied to.
[01:03:33.200 --> 01:03:40.200]  And now, because we've done this, it's hard for the globalists to stage more attacks because it doesn't work as well as it did in the past.
[01:03:40.200 --> 01:03:43.200]  The people don't rally around them as much, saying they're the saviors.
[01:03:43.200 --> 01:03:47.200]  The people go, wait a minute, you've been behind this in the past, you're probably behind it now.
[01:03:47.200 --> 01:03:50.200]  So I know, I don't think we're going to suffer the same thing.
[01:03:50.200 --> 01:03:54.200]  We better not because if we do, our goose is cooked.
[01:03:54.200 --> 01:04:05.200]  Yeah, it seems to be an extremely uphill climb because even on, let's say, O'Reilly or even on CNN, somebody from the truth movement,
[01:04:05.200 --> 01:04:12.200]  they even get five minutes of debate in there, they just get shot down and ignored.
[01:04:12.200 --> 01:04:26.200]  And it just seems like they can't even get a few minutes of time to express on national TV some of the facts.
[01:04:26.200 --> 01:04:31.200]  Well, I mean, national television has actually been covering it, but only to try to counter it and spin it.
[01:04:31.200 --> 01:04:39.200]  Mainly, I'm now seeing a pattern of putting people up there that do say cookie things and it gets pretty obvious when these people are on there 10, 15 times,
[01:04:39.200 --> 01:04:43.200]  and then, you know, Fox won't put me on with a 10-foot pole.
[01:04:43.200 --> 01:04:46.200]  Once they did, they wanted me to fly for some tape thing.
[01:04:46.200 --> 01:04:49.200]  I didn't bite on that, but Kevin Smith did a great job.
[01:04:49.200 --> 01:04:55.200]  I mean, contrast with what Kevin Smith out of my office did, my radio producer versus what other people do on Fox News.
[01:04:55.200 --> 01:04:58.200]  So have you seen Kevin on Fox? You ever see that?
[01:04:58.200 --> 01:05:09.200]  The Planet Man Cal? Oh, I saw that. That guy did a great job because the guy for Planet Man Cal just was being ridiculous.
