[00:00:05.563 --> 00:00:06.103]  Forget it!
[00:45:24.894 --> 00:45:26.434]  Just savaging everyone.
[00:45:26.434 --> 00:45:27.035]  Go ahead, sir.
[00:45:27.035 --> 00:45:29.936]  Does that answer your question?
[00:45:30.615 --> 00:45:31.895]  Yes, it did.
[00:45:31.895 --> 00:45:42.718]  I was just concerned because I remember what happened in 1991 when the Iraqis were just surrendering and the United States military didn't even fire a shot.
[00:45:42.718 --> 00:45:43.858]  That answers my question.
[00:45:43.858 --> 00:45:44.778]  I'm a big fan.
[00:45:44.778 --> 00:45:46.079]  It's an honor to talk to you.
[00:45:46.079 --> 00:45:46.839]  I enjoy the show.
[00:45:46.839 --> 00:45:48.179]  I listen to it every day.
[00:45:48.179 --> 00:45:51.220]  We're spreading the truth around and I appreciate your work.
[00:45:51.220 --> 00:45:51.980]  God bless you, sir.
[00:45:51.980 --> 00:45:53.200]  I appreciate the call.
[00:45:53.200 --> 00:45:57.681]  You know, the only analogy I have for this is body snatchers.
[00:45:57.681 --> 00:45:59.642]  Did you get the body snatcher clips I sent, John?
[00:46:00.589 --> 00:46:03.031]  We're going to play that later in the third hour.
[00:46:03.031 --> 00:46:04.532]  Please remind me.
[00:46:04.532 --> 00:46:13.019]  And I'm not saying that on the solar winds they came from a dying planet to evolve and take over Earth.
[00:46:13.019 --> 00:46:18.604]  I'm not saying, please New York Times, don't say I'm believing that aliens have attacked.
[00:46:18.604 --> 00:46:20.245]  I'm saying it might as well be aliens.
[00:46:20.245 --> 00:46:21.946]  It's a subgroup of our own species.
[00:46:23.067 --> 00:46:23.908]  Who is aberrant.
[00:46:23.908 --> 00:46:27.733]  It's a class of psychopaths building a hellish world.
[00:46:27.733 --> 00:46:31.838]  And they've got the public mesmerized like the body snatchers got them.
[00:46:31.838 --> 00:46:35.863]  And no amount of evil in their face will wake them up.
[00:46:35.863 --> 00:46:37.124]  They're poisoning us.
[00:46:37.124 --> 00:46:39.127]  They're engaging in all sorts of psyops.
[00:46:39.127 --> 00:46:42.211]  I mean, what we know they're doing is off the charts evil.
[00:46:44.366 --> 00:46:57.111]  And they've got the FBI, the police, the military, the general public, the yuppies that support all this, just ready to do anything the government says, go along with anything, and we are in a psychotronic warfare zone.
[00:46:57.111 --> 00:46:59.992]  The Pentagon openly has declared the American people their enemy.
[00:46:59.992 --> 00:47:03.313]  NORTHCOM is ruling us.
[00:47:03.313 --> 00:47:04.273]  I mean, what do you say to that?
[00:47:04.273 --> 00:47:07.655]  I'm going to talk about it later.
[00:47:07.655 --> 00:47:11.516]  Let's go ahead and take another phone call here.
[00:47:11.516 --> 00:47:12.336]  James in Texas.
[00:47:12.336 --> 00:47:13.377]  You're on the air worldwide.
[00:47:15.779 --> 00:47:18.761]  Come ahead, James.
[00:47:18.761 --> 00:47:19.482]  This is Houston.
[00:47:19.482 --> 00:47:20.843]  This is Houston to James.
[00:47:20.843 --> 00:47:21.703]  James, are you there?
[00:47:21.703 --> 00:47:25.266]  Alright, James went bye-bye.
[00:47:25.266 --> 00:47:27.247]  Josh, in California.
[00:47:27.247 --> 00:47:27.628]  Go ahead.
[00:47:27.628 --> 00:47:30.590]  How you doing, Alex?
[00:47:30.590 --> 00:47:31.010]  Good, sir.
[00:47:31.010 --> 00:47:32.571]  Good to talk to you.
[00:47:32.571 --> 00:47:33.592]  Good to talk with you, too.
[00:47:33.592 --> 00:47:34.072]  I had a question.
[00:47:34.072 --> 00:47:35.493]  Final transmission of the year!
[00:47:35.493 --> 00:47:38.636]  We're having a strong finish!
[00:47:38.636 --> 00:47:42.659]  And we're dedicating ourselves to crush the New World Order and the New Year.
[00:47:42.659 --> 00:47:43.159]  That's right.
[00:47:44.599 --> 00:47:51.470]  Before you were talking about Roman statecraft, I found that very interesting, and I've grabbed everything that I can on the subject.
[00:47:51.470 --> 00:47:53.213]  What books would you recommend that I read?
[00:47:55.970 --> 00:48:15.396]  You know, I read Gibbons' Rise and Fall of the Roman Empire, and because I'm so busy, what I would do is, not having a lot of time to read, because I'll open a good book at midnight when I get home from my second shift at work, so I'll go home at 4 or 5, see my children, come back at 8 or 9, work until midnight, 2 or 3 in the morning sometimes.
[00:48:17.475 --> 00:48:18.657]  It was side issue.
[00:48:18.657 --> 00:48:21.520]  I'm trying to explain how I do it.
[00:48:21.520 --> 00:48:29.430]  I have bought probably, I don't know, 15 books on tape CD of Roman histories.
[00:48:31.793 --> 00:48:40.577]  And listen to those in the car, because you'll be surprised how much you're in the car going to the grocery store, going to the cleaners, you know, going to the hardware store, going to work.
[00:48:40.577 --> 00:48:46.240]  And you can listen to a 15-hour book on tape in just a few weeks in your car.
[00:48:46.240 --> 00:48:47.361]  So that's what I do.
[00:48:47.361 --> 00:48:49.662]  And I mean, there's been so many titles I've read.
[00:48:49.662 --> 00:48:54.264]  I read, of course, in high school, The Battle for Gaul.
[00:48:54.264 --> 00:48:55.105]  I reread it twice.
[00:48:56.105 --> 00:49:02.928]  Those are letters from Julius Caesar back to Rome when he was out on the Germania front and the Gaul front.
[00:49:02.928 --> 00:49:07.409]  And then I read some of his other extensive letters online at universities.
[00:49:07.409 --> 00:49:12.631]  A lot of these works are online for free.
[00:49:12.631 --> 00:49:20.354]  But, I mean, there's so many titles and so many different perspectives.
[00:49:20.354 --> 00:49:22.955]  And there's really three different Roman periods.
[00:49:24.966 --> 00:49:27.187]  And I don't plan to be any particular expert on that.
[00:49:27.187 --> 00:49:31.711]  I've studied World War II history, probably read 70, 80 books on that.
[00:49:31.711 --> 00:49:34.593]  I've probably read more than 50 books on British naval history.
[00:49:34.593 --> 00:49:38.996]  My wife just gave me another one, Under an Enemy Flag, I believe is the title.
[00:49:38.996 --> 00:49:40.477]  She walked in this morning and handed it to me.
[00:49:40.477 --> 00:49:44.440]  I haven't read it yet.
[00:49:44.440 --> 00:49:50.045]  But I mean, specifically, I mean, have you read The Battle for Gaul?
[00:49:50.045 --> 00:49:51.526]  That's a pretty basic primer.
[00:49:53.719 --> 00:49:56.504]  I also got an audiobook because I spent a lot of time in the car.
[00:49:56.504 --> 00:49:58.969]  Meditations by Marcus Aurelius.
[00:49:58.969 --> 00:50:00.451]  That was pretty amazing.
[00:50:00.451 --> 00:50:01.132]  Yeah, stay there.
[00:50:01.132 --> 00:50:02.354]  Let's come back.
[00:50:02.354 --> 00:50:04.458]  Let's come back and hear about that.
[00:50:04.458 --> 00:50:05.279]  Roman historians.
[00:50:05.279 --> 00:50:06.722]  It's good to read the originals.
[00:50:06.722 --> 00:50:07.083]  Stay with us.
[00:50:10.262 --> 00:50:12.925]  Break the law and you're caught on film.
[00:50:12.925 --> 00:50:17.950]  Practically impossible for police to spot plates that have been treated with a reflective spray.
[00:50:17.950 --> 00:50:19.912]  The reflection blinded our camera.
[00:50:19.912 --> 00:50:21.254]  We are under the microscope.
[00:50:21.254 --> 00:50:25.258]  Red light cameras and speed cameras are in place to make money, not for your safety.
[00:50:25.258 --> 00:50:28.902]  But you don't have to be defenseless against these unconstitutional devices.
[00:50:28.902 --> 00:50:31.985]  Have a fighting chance with SprayYourPlate.com's Photoblocker.
[00:50:32.185 --> 00:50:38.388]  When properly applied, this revolutionary product has proven itself to be the most effective device available against traffic cameras.
[00:50:38.388 --> 00:50:43.811]  Invisible to the naked eye, your license plate, when flashed, will be overexposed and unreadable to the cameras.
[00:50:43.811 --> 00:50:44.571]  Save your money!
[00:50:44.571 --> 00:50:46.332]  Go to SprayYourPlate.com.
[00:50:46.332 --> 00:50:48.253]  That's SprayYourPlate.com.
[00:50:48.253 --> 00:50:54.295]  And check out the newscast showing the Photoblocker in action, proving that the SprayYourPlate's Photoblocker works against traffic cameras.
[00:50:54.295 --> 00:50:56.597]  Go to SprayYourPlate.com or call 1-800-276-9601.
[00:50:59.918 --> 00:51:00.939]  That's 1-800-276-9601.
[00:51:00.939 --> 00:51:05.222]  Don't give your money to the state.
[00:51:05.222 --> 00:51:06.143]  Spray your plate.
[00:51:06.143 --> 00:51:09.546]  And when the cameras flash, you'll save some cash.
[00:51:09.546 --> 00:51:16.291]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:51:16.291 --> 00:51:17.953]  The enemy struck America on September 11th.
[00:51:18.928 --> 00:51:20.469]  But who is the enemy?
[00:51:20.469 --> 00:51:21.269]  Bin Laden.
[00:51:21.269 --> 00:51:22.270]  This is his M.O.
[00:51:22.270 --> 00:51:23.630]  We have to look to the Middle East.
[00:51:23.630 --> 00:51:25.631]  We have to look to Osama Bin Laden.
[00:51:25.631 --> 00:51:32.775]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:51:32.775 --> 00:51:33.255]  Some U.S.
[00:51:33.255 --> 00:51:38.898]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:51:39.598 --> 00:51:43.500]  I'm aware that some Israeli citizens have been detained.
[00:51:43.500 --> 00:51:53.586]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:51:53.586 --> 00:51:54.807]  Fabled Enemies.
[00:51:54.807 --> 00:52:02.571]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:52:02.571 --> 00:52:05.913]  Either you are with us or you are with the terrorists.
[00:52:09.346 --> 00:52:14.828]  What will you do when the economy collapses, store shelves are empty, and your stored food is gone?
[00:52:14.828 --> 00:52:16.669]  How will you feed your family?
[00:52:16.669 --> 00:52:24.011]  True self-sufficiency and peace of mind is being able to grow a wide range of crops, ensuring a well-balanced diet for your family.
[00:52:24.011 --> 00:52:31.453]  GetSeeds.net is offering 100 different varieties of GM-free vegetable seeds for only $49 with free shipping.
[00:52:31.453 --> 00:52:35.035]  You get over 14,000 seeds for only $49.
[00:52:35.035 --> 00:52:38.916]  We offer a complete range of seeds, including heirloom tomatoes, old-fashioned beans,
[00:52:38.916 --> 00:52:39.196]  I think so.
[00:53:19.741 --> 00:53:22.943]  Yeah, it freaks me out knowing the real world.
[00:53:22.943 --> 00:53:26.906]  Facing reality when it's this crazy, it's this wild, it's hard to deal with.
[00:53:26.906 --> 00:53:30.109]  But I mean, look at the society we live in.
[00:53:30.109 --> 00:53:42.558]  Spider goats, human, animal, cross species, clones, jet airplanes, computers, pole dancing, New World Order devils.
[00:53:42.558 --> 00:53:46.941]  We're living in a wild time, ladies and gentlemen, and it's gonna get a lot crazier.
[00:53:48.991 --> 00:53:54.715]  We live in a society of decadent, slothful diversion.
[00:53:54.715 --> 00:53:57.637]  And our humanity is being stripped away from us.
[00:53:57.637 --> 00:54:03.281]  So that we will accept the mass murder of the New World Order.
[00:54:03.281 --> 00:54:06.704]  Alright, let's go back to the calls here.
[00:54:06.704 --> 00:54:09.506]  You say you're reading Reflections by Marcus Aurelius?
[00:54:09.506 --> 00:54:09.986]  I haven't...
[00:54:11.559 --> 00:54:13.440]  Read that or listen to that.
[00:54:13.440 --> 00:54:20.623]  But I have checked out some of the historians, some of the Roman leaders' writings, some of their memoirs.
[00:54:20.623 --> 00:54:34.508]  And again, it's just engrossing to hear about the intrigue, the subterfuge, the secret societies, the decadence of the society, the old Roman class trying to hold it together, the insane god-emperors going wild.
[00:54:34.508 --> 00:54:38.050]  But please continue with the comments you were making, sir.
[00:54:39.065 --> 00:54:45.213]  Oh yeah, he was going on about public education, sports, and all this other sort of stuff.
[00:54:45.213 --> 00:54:50.759]  And his views are very similar with some of the things that I believe and some of the things that you express on the show.
[00:54:50.759 --> 00:54:54.444]  And I thought that would be something that the listeners might like to pick up and check out.
[00:54:55.646 --> 00:54:56.887]  Yeah, why don't you do this?
[00:54:56.887 --> 00:55:00.710]  I mean, again, this is what I just think I want to do, and I know I'll never do it.
[00:55:00.710 --> 00:55:08.637]  You ought to grab a few clips of key parts, put them up on YouTube, you know, from that book on tape, and that'll promote their book on tape anyway.
[00:55:08.637 --> 00:55:14.342]  You know, grab a few minutes of it, and then we'll play a clip of it on air and plug the book on tape.
[00:55:14.342 --> 00:55:15.583]  That'd be wonderful.
[00:55:15.583 --> 00:55:16.564]  I have one more question.
[00:55:16.564 --> 00:55:20.167]  You were talking about the eight-year unruly governor and then the savior.
[00:55:20.167 --> 00:55:22.208]  Which writing did that come from?
[00:55:22.208 --> 00:55:23.950]  That's the one that I'm particularly interested in.
[00:55:25.265 --> 00:55:25.846]  Say that again?
[00:55:25.846 --> 00:55:27.788]  Yeah, you know what happens?
[00:55:27.788 --> 00:55:28.469]  Especially...
[00:55:44.670 --> 00:55:46.712]  You know, I have almost a photographic memory.
[00:55:46.712 --> 00:55:55.759]  If I look at a bill, a piece of legislation, commit it to memory, and then talk about it three or four times in the next few days, then it becomes enlarged in my memory.
[00:55:55.759 --> 00:56:04.246]  But things like books on tape or, you know, the cell phone rings, you pick it up and you, you know, turn the CD off or the iPod off.
[00:56:04.246 --> 00:56:08.610]  It all just kind of mixes all together.
[00:56:08.610 --> 00:56:13.534]  I don't remember where I read that, but I've seen similar things to that.
[00:56:15.484 --> 00:56:18.766]  And when I was covering it, I was being, you know, kind of broad brush.
[00:56:18.766 --> 00:56:20.948]  I don't remember exactly how.
[00:56:20.948 --> 00:56:31.515]  Whatever book it was I was reading, it was, you know, an account from the time of tactics they would use with subjugated controlled populations.
[00:56:31.515 --> 00:56:33.296]  And, you know, it was more of a general discussion.
[00:56:33.296 --> 00:56:35.458]  You know, it's the same thing if somebody asked me,
[00:56:37.232 --> 00:56:45.079]  What is the Caribbean's black slave owning manual about how to break black slaves?
[00:56:45.079 --> 00:56:51.284]  I first, probably ten years ago, saw a footnote about that in a university research article.
[00:56:51.284 --> 00:56:52.525]  I don't remember where.
[00:56:52.525 --> 00:56:55.127]  I want to say the University of Chicago.
[00:56:55.127 --> 00:57:04.655]  Then I googled it or whatever search engine and found the manual itself and then it talked about how it was translated into English
[00:57:05.971 --> 00:57:06.411]  I don't know.
[00:57:28.464 --> 00:57:29.284]  Right, I know what you mean.
[00:57:29.284 --> 00:57:30.504]  You read a lot of books.
[00:57:30.504 --> 00:57:37.206]  But I mean, what you're doing now, though, is, look, you're going and reading Roman history, and you're finding it says the things I said it was in there, right?
[00:57:37.206 --> 00:57:37.966]  Right.
[00:57:37.966 --> 00:57:42.927]  Okay, so I just tell folks, don't believe me, just go read some Roman history, and I appreciate your call.
[00:57:42.927 --> 00:57:45.647]  We're going to come back in 70 seconds with more of your calls.
[00:57:45.647 --> 00:57:51.388]  Transmission continues!
[00:57:51.388 --> 00:57:54.008]  Thank you for listening to GCN.
[00:57:54.008 --> 00:57:56.929]  Be sure to visit GCNlive.com today.
[00:58:00.080 --> 00:58:05.805]  On September 11th, 2001, along with hundreds of my fellow troops, I went to ground zero.
[00:58:05.805 --> 00:58:07.126]  And we knew what to do.
[00:58:07.126 --> 00:58:09.128]  Or at least we thought we did.
[00:58:09.128 --> 00:58:16.154]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[00:58:16.154 --> 00:58:24.681]  Whitman, EPA director on the 18th, made a statement that the air was safe to breathe.
[00:58:25.066 --> 00:58:32.152]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[00:58:32.152 --> 00:58:35.334]  He had his hand over the radio while he was getting a countdown.
[00:58:35.334 --> 00:58:41.099]  He takes his hand off and you hear three, two, one, and it was boom, boom, boom, boom, boom.
[00:58:41.099 --> 00:58:44.181]  This is an emergency transmission worldwide.
[00:58:44.181 --> 00:58:51.067]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD
[00:58:53.780 --> 00:58:54.140]  Big Brother.
[00:58:54.140 --> 00:58:54.600]  Mainstream media.
[00:58:54.600 --> 00:58:55.521]  Government cover-ups.
[00:58:55.521 --> 00:58:55.901]  You want answers?
[00:58:55.901 --> 00:58:56.301]  Well, so does he.
[00:59:22.077 --> 00:59:26.278]  He's Alex Jones on the GCN Radio Network.
[00:59:26.278 --> 00:59:38.221]  And now, live from Austin, Texas, Alex Jones.
[00:59:38.221 --> 00:59:39.602]  All right, wide open phones.
[00:59:39.602 --> 00:59:41.282]  We've got a guest coming up in 30 minutes.
[00:59:41.282 --> 00:59:46.463]  You know, the SWAT team and the Amish, all part of the new freedom.
[00:59:46.463 --> 00:59:47.404]  Who's up next here?
[00:59:47.404 --> 00:59:48.684]  Is it Georgian, Texas, John?
[00:59:50.120 --> 00:59:52.161]  George in the great state of Tejas.
[00:59:52.161 --> 00:59:53.241]  You're on the air, my friend.
[00:59:53.241 --> 00:59:55.042]  How you doing, Alex?
[00:59:55.042 --> 00:59:55.562]  Good, sir.
[00:59:55.562 --> 00:59:57.703]  Final transmission of the year.
[00:59:57.703 --> 01:00:01.945]  Can you believe the 2008 is almost history?
[01:00:01.945 --> 01:00:05.166]  Well, I got a New Year's resolution.
[01:00:05.166 --> 01:00:08.327]  I think everybody could help defeat the New World Order.
[01:00:08.327 --> 01:00:13.889]  And that is, fathers, be sure you eat with your family at the dinner table.
[01:00:13.889 --> 01:00:15.250]  Don't go give them microwave
[01:00:16.463 --> 01:00:19.045]  Eat macaroni and cheese and go do your own thing.
[01:00:19.045 --> 01:00:19.645]  That's right.
[01:00:19.645 --> 01:00:21.987]  The defeat of the New World Order starts simply.
[01:00:21.987 --> 01:00:24.548]  Reduce the amount of TV you watch.
[01:00:24.548 --> 01:00:28.451]  Become aware that it is a Pentagon weapon.
[01:00:28.451 --> 01:00:30.652]  Become aware of what you're eating.
[01:00:30.652 --> 01:00:37.616]  Stop eating GMO food and make the resolution to wake up at least two people in the first month of 2009.
[01:00:37.616 --> 01:00:38.397]  And how do you do that?
[01:00:38.397 --> 01:00:42.059]  You do it with my documentary films at The Best Tool We Found.
[01:00:42.059 --> 01:00:44.540]  Well, I just found a statement from Vince Van Gogh.
[01:00:44.540 --> 01:00:45.081]  It says,
[01:00:46.550 --> 01:00:51.816]  Great things are not done by impulse, but by a series of small things brought together.
[01:00:54.326 --> 01:00:55.206]  Absolutely.
[01:00:55.206 --> 01:00:59.428]  The journey of a thousand miles starts with that single step and the decision to make the step.
[01:00:59.428 --> 01:01:02.449]  And so many people always wait to make it perfect, to get it just right.
[01:01:02.449 --> 01:01:08.252]  Oh, I've got to wait, I've got to... And they make up all these elaborate plans, but they never execute them.
[01:01:08.252 --> 01:01:14.434]  Look, forget the maneuvers, go straight at them, or what did the General Chesty Puller say?
[01:01:14.434 --> 01:01:16.695]  Well, we're completely surrounded.
[01:01:16.695 --> 01:01:19.416]  Good, that simplifies our situation.
[01:01:19.416 --> 01:01:21.637]  Because you can swing in any direction and hit the New World Order.
[01:01:22.540 --> 01:01:28.922]  Well, I gotta say, fathers, eat with your family at the dinner table, and on Sunday, don't go nowhere and spend time with your family.
[01:01:28.922 --> 01:01:32.523]  Don't go do... Don't go... Don't go... Don't go do your own thing.
[01:01:32.523 --> 01:01:36.925]  That sounds like Elkhartta talk!
[01:01:36.925 --> 01:01:40.526]  I mean, even the Lord commands us to keep the Sabbath.
[01:01:40.526 --> 01:01:42.447]  I hear you, my friend, and I appreciate your call.
[01:01:42.447 --> 01:01:48.369]  Yeah, we gotta simplify our lives, we gotta reach out to others, and we've gotta stop letting Madison Avenue make us feel inadequate.
[01:01:49.827 --> 01:01:52.749]  They're the ones that are inadequate, trying to make us feel insecure.
[01:01:52.749 --> 01:02:00.015]  We're incredible creatures living on a planet, spinning through the vastness of space, orbiting a gorgeous star.
[01:02:00.015 --> 01:02:01.056]  This is incredible!
[01:02:01.056 --> 01:02:04.439]  I mean, our lives are amazing!
[01:02:04.439 --> 01:02:06.600]  Just look at the magic all around us!
[01:02:06.600 --> 01:02:07.861]  God's creation!
[01:02:07.861 --> 01:02:09.823]  Let's be thankful!
[01:02:09.823 --> 01:02:14.547]  And because we are thankful for the liberty and freedom we have, let's fight evil, and then you're truly fulfilled.
[01:02:15.814 --> 01:02:19.055]  Then you will seethe with life and liberty.
[01:02:19.055 --> 01:02:23.616]  All right, let's go ahead and take another call.
[01:02:23.616 --> 01:02:26.716]  Let's go ahead and talk to Brian in Canada.
[01:02:26.716 --> 01:02:28.197]  Brian just hung up.
[01:02:28.197 --> 01:02:29.377]  John in Florida.
[01:02:29.377 --> 01:02:30.797]  You're on the air.
[01:02:30.797 --> 01:02:31.377]  That's right.
[01:02:31.377 --> 01:02:32.837]  I heard you coming through.
[01:02:32.837 --> 01:02:40.179]  Well, listen, I was an electrician on the Monsanto project where they made the milk hormone.
[01:02:40.179 --> 01:02:44.900]  And here in Tampa, they fired two guys, well, two reporters.
[01:02:45.410 --> 01:02:47.112]  They got their own website about it.
[01:02:47.112 --> 01:02:50.555]  They were reporting on it, so they just got through and fired them.
[01:02:50.555 --> 01:02:51.136]  No, that's right.
[01:02:51.136 --> 01:02:59.604]  You wonder why, you know, the dad's 5'10", mom is 5'3", but your daughters are 7 feet tall or 6 1⁄2 feet tall.
[01:02:59.604 --> 01:03:03.828]  It's that growth hormone, and it causes all sorts of problems, and that's been proven.
[01:03:03.828 --> 01:03:07.752]  But, yeah, Fox News ordered their people to cover it up.
[01:03:07.752 --> 01:03:08.833]  That's Fox News reporters.
[01:03:09.898 --> 01:03:13.499]  Well, you know, when I was working on a project, I couldn't believe how massive it was.
[01:03:13.499 --> 01:03:18.320]  It was like seven huge buildings, and two months into it, I said, what are they making here?
[01:03:18.320 --> 01:03:32.144]  And they told me that, and none of the workers could believe it, because they come off the farm and everything, and they're going, produced three times the amount of milk, and these cows can't even walk yet, because there's so much injected in them already, you're going to inject another hormone in them.
[01:03:33.993 --> 01:03:38.677]  It was about incredible, but twelve years ago I also heard this guy, he came on, I don't know where he's from.
[01:03:38.677 --> 01:03:41.079]  Hold on, I'm going to hold you over, I want to hear more about it.
[01:03:41.079 --> 01:03:42.400]  Let me tell you something.
[01:03:42.400 --> 01:03:50.606]  If you don't drink the milk filled with scores of hormones, and you don't eat GMO food that kills the rats that eat it, you're with Al-Qaeda.
[01:03:50.606 --> 01:03:52.528]  Trust your government.
[01:03:52.528 --> 01:03:53.088]  Love them.
[01:03:53.088 --> 01:03:54.389]  Love Madoff.
[01:03:54.389 --> 01:03:56.531]  Let them steal all your pension funds.
[01:03:56.531 --> 01:03:57.351]  You deserve it.
[01:03:57.351 --> 01:04:00.053]  The government's doing it for your own good.
[01:04:00.053 --> 01:04:01.735]  Drink the hormone.
[01:04:01.735 --> 01:04:03.016]  Die of cancer.
[01:04:03.436 --> 01:04:06.577]  Go to the FEMA camp, it's of the Lord!
[01:04:06.577 --> 01:04:08.197]  The government loves you!
[01:04:08.197 --> 01:04:11.638]  Hello friends, this is Alex Jones.
[01:04:11.638 --> 01:04:16.379]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:04:16.379 --> 01:04:19.340]  We need to be independent, and food and water is the key.
[01:04:19.340 --> 01:04:22.381]  You'll never have to stand in a bread line if you have your own bread.
[01:04:22.381 --> 01:04:28.242]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[01:04:28.522 --> 01:04:34.307]  Our elected representatives wanted a good ol' boy bailout for the special interest, so they ignored your screams not to do it.
[01:04:34.307 --> 01:04:36.149]  They turned off the telephones and email.
[01:04:36.149 --> 01:04:40.112]  They voted to print $850 billion at least out of thin air.
[01:04:40.112 --> 01:04:42.934]  This money now owns the American and European banks.
[01:04:42.934 --> 01:04:52.082]  The exploding inflation that is now guaranteed will slash your life savings to nothing and blast the cost of necessities, particularly food, beyond many Americans' reach.
[01:04:52.082 --> 01:04:56.546]  In pre-Nazi Germany superinflation, the cost of a loaf of bread doubled every two days.
[01:04:56.806 --> 01:04:59.147]  Until it reached over 4 billion marks.
[01:04:59.147 --> 01:05:03.609]  Food prices are skyrocketing so fast, there seems as if there may be no end in sight.
[01:05:03.609 --> 01:05:09.291]  The private banks merging with our government are refusing to loan grocery stores enough money to restock their shelves.
[01:05:09.291 --> 01:05:12.553]  The stores have less food, but jack up prices to stay in business.
[01:05:12.553 --> 01:05:15.674]  Whatever happens in America, we need to be prepared and be ready.
[01:05:15.894 --> 01:05:17.715]  Everything is zeroing in on food.
[01:05:17.715 --> 01:05:21.777]  One third of Americans have to choose between buying food and paying for other necessities.
[01:05:21.777 --> 01:05:25.939]  My friends, whatever it takes, get prepared, get self-sufficient, get food.
[01:05:25.939 --> 01:05:33.463]  For everybody out there listening, it's very important for you to understand that by having a supply of storable food, the government, the new old order, has a lot less control over you.
[01:05:33.463 --> 01:05:37.384]  And so it's a mindset, a mindset of self-sufficiency and preparedness.
[01:05:37.384 --> 01:05:40.266]  No one is going to take care of your family in the final equation but you.
[01:05:40.606 --> 01:05:47.608]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:05:47.608 --> 01:05:50.889]  And they do it at almost half the cost of last year's grocery prices.
[01:05:50.889 --> 01:05:51.809]  Call 1-800-409-5633.
[01:05:51.809 --> 01:05:56.030]  Or on the web, go to eFoodsDirect.com.
[01:05:56.030 --> 01:06:02.292]  Visit eFoodsDirect.com and look over the fine list of high quality, pre-scribed, and dehydrated foods they have to offer.
[01:06:02.292 --> 01:06:03.372]  Watch the free videos.
[01:06:03.612 --> 01:06:05.893]  Look at their online catalog or give them a call at 1-800-409-5633.
[01:06:05.893 --> 01:06:06.993]  Again, 800-409-5633 or on the web at efoodsdirect.com.
[01:06:06.993 --> 01:06:07.794]  Take action today.
[01:06:07.794 --> 01:06:09.294]  The first step is getting storable food.
[01:06:17.560 --> 01:06:22.966]  The Genesis Communications Radio Network proudly presents The Alex Jones Show.
[01:06:22.966 --> 01:06:26.650]  Because there's a war on for your mind.
[01:06:26.650 --> 01:06:33.818]  Alright, John in Florida, you say you worked on one of Monsanto's bovine growth hormone facilities.
[01:06:35.097 --> 01:06:39.582]  Which, of course, the bovine growth hormone is almost identical to human growth hormone.
[01:06:39.582 --> 01:06:50.194]  When they give bodybuilders, the Russians, cheating back in the 60s, it would be growth hormone out of human cadavers or out of monkeys.
[01:06:50.194 --> 01:06:52.057]  Then they tried to use it out of cows.
[01:06:52.057 --> 01:06:54.119]  Then they created synthetic growth hormones.
[01:06:55.666 --> 01:07:00.749]  Yeah, they pump them full of this synthetic growth hormone and it's been linked to all sorts of problems.
[01:07:00.749 --> 01:07:13.136]  And that's why you've got all these massive increases in acromegaly-type diseases, bones diseases, you know, just all sorts of problems going on.
[01:07:13.136 --> 01:07:15.918]  And that's why your little girls that should be, you know, 5'5 or 6'7 now,
[01:07:18.699 --> 01:07:23.460]  And, uh, that's why, uh, you know, your little boys have got all these problems.
[01:07:23.460 --> 01:07:29.882]  And, uh, not to mention what all the other hormones do, making your boys effeminate, and your women hyper-feminine.
[01:07:29.882 --> 01:07:35.844]  And then women wonder why their, they literally get breast cancer and their breasts rot off and they die and they go in a hole in the ground.
[01:07:35.844 --> 01:07:36.804]  And life's over!
[01:07:36.804 --> 01:07:39.745]  Because the black ops are working well!
[01:07:39.745 --> 01:07:42.946]  That's how these savage eugenicists hit you and they hit you hard!
[01:07:43.686 --> 01:07:52.051]  And they're going to go on murdering you and murdering you and murdering you because you're too weak-minded to admit the real world you're living in.
[01:07:52.051 --> 01:07:58.095]  With this nightmare could end overnight if we would just wake up to the reality.
[01:07:58.095 --> 01:08:03.458]  You think it's normal to have cows producing two, three times the milk they should?
[01:08:03.458 --> 01:08:09.261]  Giant udders the size of... two or three times their size?
[01:08:10.464 --> 01:08:14.707]  And then, you know why they pasteurize milk, why they pass laws where you have to pasteurize it?
