[00:00:05.214 --> 00:00:06.834]  Wednesday, October 12, 2016.
[00:38:22.263 --> 00:38:27.704]  Trump has come out and said Hillary wants world government, unlimited immigration, rule by corporations.
[00:38:27.704 --> 00:38:29.265]  That's why they're completely panicking.
[00:38:34.744 --> 00:38:35.585]  So there it is.
[00:38:35.585 --> 00:38:37.988]  We're going to get that video for you.
[00:38:37.988 --> 00:38:46.439]  Hillary wants world government, unlimited immigration, ruled by corporations.
[00:38:46.439 --> 00:38:49.283]  Isn't that just special?
[00:38:49.283 --> 00:38:50.525]  So they can't stand it.
[00:38:51.960 --> 00:38:54.441]  Because she's in the emails wanting world government.
[00:38:54.441 --> 00:38:56.262]  World government's now out in the open.
[00:38:56.262 --> 00:38:57.602]  The Pope's calling for it.
[00:38:57.602 --> 00:39:00.263]  They wanted to deny they were building this thing the whole time.
[00:39:00.263 --> 00:39:01.184]  Now it's here.
[00:39:01.184 --> 00:39:01.984]  Now they're doing it.
[00:39:01.984 --> 00:39:03.625]  Now our credibility's giant.
[00:39:03.625 --> 00:39:08.447]  And they want to say we're kooks because we're warning of a private corporate world government and TPP.
[00:39:08.447 --> 00:39:10.548]  And that's what's happening.
[00:39:10.548 --> 00:39:11.908]  We have new Biden audio.
[00:39:11.908 --> 00:39:16.070]  Sabotaged his presidential aspirations.
[00:39:17.352 --> 00:39:20.313]  Biden aid sabotages presidential aspirations.
[00:39:20.313 --> 00:39:25.255]  Surrogates plan to fool, bitching Bernie voters.
[00:39:25.255 --> 00:39:28.477]  They send in people as psychological operators to manipulate them.
[00:39:28.477 --> 00:39:32.279]  Clinton staffers discuss which emails to release.
[00:39:32.279 --> 00:39:34.319]  New York Times gave Hillary veto power.
[00:39:34.319 --> 00:39:41.683]  They now have leaks on Hillary, dealing with leaks years ago, or hacks on hacks, where Hillary was directing the New York Times
[00:39:42.631 --> 00:39:48.834]  Okay, we've got leaks, we've got hacks, you've got to report on it, you've got to act like you're journalists, but here's what you're allowed to report on and what you're not.
[00:39:48.834 --> 00:39:54.197]  As I always told you, with the leaks, they only show the weak ones.
[00:39:54.197 --> 00:40:10.046]  That's what they'll talk about as some little side issue when there is an incredible, over-the-top, mega-massive bombshell
[00:40:11.949 --> 00:40:18.293]  Information.
[00:40:18.293 --> 00:40:40.647]  Now, before we continue any further, let's start getting in to why they're freaking out so bad and why they want to claim it's such a defeat that we have Bill Clinton rape protesters popping up at every national event that Hillary, Kaine, Obama, or Clinton, Bill Clinton do.
[00:40:42.076 --> 00:40:43.177]  That's because it's devastating.
[00:40:43.177 --> 00:40:48.960]  And then we've got, during these same confrontations that happened yesterday, three of them.
[00:40:48.960 --> 00:40:52.322]  Three of them at one event, but all total, three separate events that it happened at.
[00:40:52.322 --> 00:40:54.163]  So that's six disruptions.
[00:40:54.163 --> 00:40:57.445]  They send people to go disrupt Trump rallies screaming racist.
[00:40:57.445 --> 00:40:58.285]  That's not true.
[00:40:58.285 --> 00:40:59.966]  We're here screaming rapist, which is true.
[00:40:59.966 --> 00:41:00.867]  You settled rape cases.
[00:41:03.902 --> 00:41:09.944]  But first I want to play Obama responds to Alex Jones sulfur comment which I covered earlier in the week.
[00:41:09.944 --> 00:41:19.548]  And if you're a new viewer and like he's not responding to you, CNN, Associated Press, Mother Jones, they're all quite clear he's responding to the evil radio host Alex Jones.
[00:41:19.548 --> 00:41:20.869]  They're just so afraid
[00:41:24.212 --> 00:41:28.553]  To ever actually say who we are so people come here and find out what we're saying.
[00:41:28.553 --> 00:41:29.874]  They'll say Rush Limbaugh's name.
[00:41:29.874 --> 00:41:31.274]  They'll say Sean Hannity's name.
[00:41:31.274 --> 00:41:33.935]  They won't say this one because it's so damning.
[00:41:33.935 --> 00:41:35.795]  Because I'll cross-reference everything.
[00:41:35.795 --> 00:41:37.376]  I'll show you the backgrounds of it.
[00:41:37.376 --> 00:41:38.096]  I'm unfiltered.
[00:41:38.096 --> 00:41:38.976]  I'm uncontrolled.
[00:41:38.976 --> 00:41:40.316]  I'm not on a big network.
[00:41:40.316 --> 00:41:42.157]  But I've built something bigger than what they've got.
[00:41:42.157 --> 00:41:43.877]  That's what they can't stand.
[00:41:43.877 --> 00:41:45.518]  There's not much else out there like that.
[00:41:45.518 --> 00:41:45.818]  Drudge.
[00:41:47.827 --> 00:41:52.711]  That's why they're trying to shut down the free internet.
[00:41:52.711 --> 00:41:56.055]  That's why they're bringing in all these regulations and admitting they want to shut it down.
[00:41:56.055 --> 00:41:58.076]  First they didn't want to shut down free speech, now they admit it.
[00:41:58.076 --> 00:42:01.600]  First they didn't want to double tax you with Obamacare, now they admit it.
[00:42:01.600 --> 00:42:04.843]  First there weren't death panels, now there is.
[00:42:04.843 --> 00:42:08.286]  First they weren't coming out with your guns, now they admit they want to ban them.
[00:42:08.286 --> 00:42:09.387]  And that's in the WikiLeaks.
[00:42:09.387 --> 00:42:10.588]  But hell, that's in the newspapers!
[00:42:14.591 --> 00:42:18.192]  So, they're in a lot of trouble because first the NSA wasn't spying on you, now it is.
[00:42:18.192 --> 00:42:21.034]  Because it always was.
[00:42:21.034 --> 00:42:29.877]  So he makes this joke about me saying he's got flies landing on him, which biblically is associated with the underworld, with Satanism, with corruption.
[00:42:29.877 --> 00:42:31.898]  But all I'm saying is it's an archetype.
[00:42:31.898 --> 00:42:39.061]  The actions of Obama and Hillary are war and death and corruption and poverty and wanting to make us poor so they can control us.
[00:42:39.061 --> 00:42:40.341]  That's an aspect of evil.
[00:42:40.341 --> 00:42:41.742]  They don't want prosperity.
[00:42:41.742 --> 00:42:42.382]  Let's go to that clip.
[00:42:43.980 --> 00:42:46.141]  We demonize each other.
[00:42:46.141 --> 00:42:47.801]  And I mean that literally, by the way.
[00:42:47.801 --> 00:42:55.203]  I was reading the other day, there's a guy on the radio who apparently trumps on his show frequently.
[00:42:55.203 --> 00:42:58.603]  He said me and Hillary are demons.
[00:42:58.603 --> 00:43:00.644]  Said we smell like sulfur.
[00:43:00.644 --> 00:43:01.364]  Ain't that something?
[00:43:14.600 --> 00:43:18.184]  I mean, come on, people!
[00:43:18.184 --> 00:43:19.406]  You know, did you pick up on that?
[00:43:19.406 --> 00:43:21.087]  Bill Clinton's so good at that.
[00:43:21.087 --> 00:43:24.151]  Yesterday he's like, listen, I can tell you these rednecks are racist.
[00:43:24.151 --> 00:43:27.715]  Trump's got bad people that are out to get you.
[00:43:27.715 --> 00:43:29.257]  I used to be one, okay?
[00:43:29.257 --> 00:43:30.138]  I used to be a redneck.
[00:43:30.138 --> 00:43:32.741]  No, you were a Dixie Mafia.
[00:43:32.741 --> 00:43:33.662]  Son of the Mafia.
[00:43:35.225 --> 00:43:39.509]  Brought in to dominate the poor white people, black people, and others of Arkansas.
[00:43:39.509 --> 00:43:42.751]  You did such a good job of the CIA, they put you in charge of the whole country.
[00:43:42.751 --> 00:43:47.715]  What you are is a predator, Bill Clinton, and you're showing race baiting.
[00:43:47.715 --> 00:43:49.197]  That's the latest clip we've got.
[00:43:49.197 --> 00:43:57.623]  But Rachel Maddow went crazy last night dealing with all of this and trying to misrepresent what we're saying and what we're doing.
[00:43:57.623 --> 00:43:59.265]  So let's go ahead and play this report.
[00:44:00.137 --> 00:44:04.219]  A new phenomenon that you may have noticed at recent Democratic rallies.
[00:44:04.219 --> 00:44:06.700]  We first saw it in Las Vegas Thursday night.
[00:44:06.700 --> 00:44:11.963]  Tim Kaine was interrupted by a protester who was wearing a shirt that said rape on it.
[00:44:11.963 --> 00:44:15.204]  And the guy yelled out, Bill Clinton is a rapist!
[00:44:15.204 --> 00:44:17.225]  That first happened Thursday night.
[00:44:17.225 --> 00:44:20.727]  Then we saw it happen multiple times at multiple Clinton events today.
[00:44:20.727 --> 00:44:23.769]  Including one where the featured speaker was President Obama.
[00:44:23.769 --> 00:44:26.210]  And one where the featured speaker was Bill Clinton himself.
[00:44:29.295 --> 00:44:30.096]  Oh no!
[00:44:30.096 --> 00:44:30.376]  Uh oh!
[00:44:30.376 --> 00:44:33.318]  Somebody's yelling at me again.
[00:45:10.891 --> 00:45:15.533]  There's a guy on the radio who apparently trumps on his show frequently.
[00:45:15.533 --> 00:45:18.955]  He said me and Hillary are demons.
[00:45:18.955 --> 00:45:20.996]  Said we smell like sulfur.
[00:45:20.996 --> 00:45:21.697]  Ain't that something?
[00:45:27.159 --> 00:45:29.580]  There's a guy on the radio.
[00:45:29.580 --> 00:45:35.603]  The guy on the radio is Alex Jones, who runs the Infowars Conspiracy Theory website and internet radio show.
[00:45:35.603 --> 00:45:39.625]  And in fact, he does call President Obama and Hillary Clinton demons.
[00:45:39.625 --> 00:45:41.706]  He says they smell like sulfur.
[00:45:41.706 --> 00:45:46.768]  He says he has it on good authority that they are, in fact, literally possessed by demons.
[00:45:48.573 --> 00:45:54.475]  She is an abject, psychopathic demon from hell that as soon as she gets into power is going to try to destroy the planet.
[00:45:54.475 --> 00:45:55.376]  I'm sure of that.
[00:45:55.376 --> 00:46:02.859]  And people around her say she's so dark now and so evil and so possessed that they are having nightmares.
[00:46:02.859 --> 00:46:03.939]  They're freaking out.
[00:46:03.939 --> 00:46:05.240]  Folks, let me just tell you something.
[00:46:05.240 --> 00:46:07.881]  If the media wants to go with this, that's fine.
[00:46:07.881 --> 00:46:15.084]  There are dozens of videos and photos of Obama having flies land on him indoors at all times of year.
[00:46:15.084 --> 00:46:17.245]  And he'll be next to 100 people and no one has flies on.
[00:46:18.720 --> 00:46:25.147]  Hillary reportedly... I mean, I always told people around her that they think she's demon possessed, okay?
[00:46:25.147 --> 00:46:27.790]  I'm just gonna go ahead and say it, okay?
[00:46:27.790 --> 00:46:30.192]  Alright, ready to connect the dots?
[00:46:30.192 --> 00:46:33.435]  The guy who says he has it on good authority...
[00:46:34.574 --> 00:46:37.997]  That President Obama and Hillary Clinton are literally demons.
[00:46:37.997 --> 00:46:42.040]  He's the reason we're getting the people screaming rape at all the Clinton events now.
[00:46:42.040 --> 00:46:58.233]  Because he and his conspiracy theory demon possession website, they are now, in support of the Trump campaign, they are now offering a $1,000 bounty to anyone who can get a Bill Clinton rape shirt on TV for at least five seconds.
[00:46:58.233 --> 00:47:02.817]  They're offering a $5,000 bounty to anybody who can be heard on TV saying,
[00:47:03.217 --> 00:47:06.138]  Bill Clinton is a rapist while wearing the shirt.
[00:47:06.138 --> 00:47:08.219]  See, it's a way to sell shirts.
[00:47:08.219 --> 00:47:12.281]  So these protests breaking out at Democratic rallies, they're not organic, right?
[00:47:12.281 --> 00:47:21.665]  They are highly coordinated with a monetary incentive by Donald Trump's number one Internet radio conservative Internet conspiracy theory supporter.
[00:47:21.665 --> 00:47:25.707]  The guy who also says President Obama is a demon because the flies tell him so.
[00:47:27.355 --> 00:47:28.195]  So there you have it.
[00:47:28.195 --> 00:47:28.996]  Ta-da!
[00:47:28.996 --> 00:47:30.296]  Dots connected.
[00:47:30.296 --> 00:47:32.738]  Nausea induced.
[00:47:32.738 --> 00:47:34.238]  We'll be right back.
[00:47:34.238 --> 00:47:43.943]  Monsieur Maddow, I can tell that you have a certain persuasion in your life by your mannerisms and how you act.
[00:47:43.943 --> 00:47:47.105]  Hey, I don't care about the persuasion, but that's what told me not to fly.
[00:47:48.188 --> 00:48:08.483]  Now, in the case of that, I was baiting you, just like I baited you about election fraud, to cause a national debate, and have Obama deny it exists, I know how you'd operate, and then have you panic and force a public takeover of Homeland Security of elections, because I knew it was already planned from my sources.
[00:48:08.483 --> 00:48:10.445]  I devastated you.
[00:48:10.445 --> 00:48:13.887]  You are a small-time jackass that reads off a teleprompter.
[00:48:13.887 --> 00:48:14.248]  I don't!
[00:48:16.491 --> 00:48:27.014]  I read off history and deep research in my sources, and believe me, you think you've got that tottering, doddering Hillary as your goddess telling you what to say and what to do?
[00:48:27.014 --> 00:48:29.555]  It's in all the WikiLeaks.
[00:48:29.555 --> 00:48:31.016]  We have the good people in government.
[00:48:31.016 --> 00:48:36.778]  We have the good people in corporations in this country and worldwide that don't want to live under your evil, that are aware of you.
[00:48:36.778 --> 00:48:40.759]  I'm just one manifestation of that.
[00:48:40.759 --> 00:48:42.839]  Cut me down, two more will grow back.
[00:48:42.839 --> 00:48:44.100]  That's how it works.
[00:48:45.768 --> 00:48:48.049]  And so, you know that.
[00:48:48.049 --> 00:48:49.310]  You're doing a big conference team.
[00:48:49.310 --> 00:48:50.771]  This morning they told me, did you see Maddow attack you?
[00:48:50.771 --> 00:48:53.272]  And I said, no.
[00:48:53.272 --> 00:48:55.253]  But she'll say, we've discovered the secret.
[00:48:55.253 --> 00:48:56.314]  He's paying people.
[00:48:56.314 --> 00:48:57.014]  It's all fake.
[00:48:57.014 --> 00:48:59.235]  Kind of like, we discovered a secret.
[00:48:59.235 --> 00:49:00.776]  Oh, he was on Howard Stern.
[00:49:00.776 --> 00:49:02.077]  It's secret tapes.
[00:49:02.077 --> 00:49:03.598]  It was live on the radio.
[00:49:03.598 --> 00:49:05.399]  With him asking him dirty questions.
[00:49:05.399 --> 00:49:07.280]  Trump never hid any of that.
[00:49:07.280 --> 00:49:07.920]  That's the whole point.
[00:49:09.355 --> 00:49:11.816]  Wow, new Howard Stern stuff.
[00:49:11.816 --> 00:49:15.337]  Man, boy, oh boy.
[00:49:15.337 --> 00:49:17.437]  And as soon as, I hadn't even watched that until we played it.
[00:49:17.437 --> 00:49:19.298]  I said, I want to see it play.
[00:49:19.298 --> 00:49:21.759]  I told the crew what it would be, because I know.
[00:49:21.759 --> 00:49:22.419]  Oh, we caught him.
[00:49:22.419 --> 00:49:23.999]  They're not doing this for ideological reasons.
[00:49:23.999 --> 00:49:25.060]  They're doing it for money.
[00:49:25.060 --> 00:49:26.940]  Really, a lot of folks have told us they don't want the money.
[00:49:26.940 --> 00:49:28.221]  We did it to make it interesting.
[00:49:28.221 --> 00:49:29.041]  You know who did want the money?
[00:49:29.041 --> 00:49:29.801]  You can Google this.
[00:49:29.801 --> 00:49:32.282]  It was the WikiLeaks, you know, back in July, early July.
[00:49:33.442 --> 00:49:34.822]  Right for the RNC?
[00:49:34.822 --> 00:49:45.005]  That Hillary had paid with George Soros and move on to send buses all over the country to Trump events dressed up like Bernie Sanders to attack Trump supporters and blame Trump and then blame Sanders?
[00:49:45.005 --> 00:49:58.608]  You're paying people to go beat people up and scream racist and throw eggs in people's faces and beat them over the head with Mexican flags putting out lies and then stealing the nomination of Bernie Sanders.
[00:49:58.608 --> 00:49:59.508]  We're simply saying he's
[00:50:02.196 --> 00:50:06.979]  Gone out and he has settled sexual assault cases and other cases.
[00:50:06.979 --> 00:50:14.785]  There's a news blackout, just like there's a CNN news blackout, they admit, Drudge has the source, on Danny Williams, who's coming up in 50 minutes.
[00:50:14.785 --> 00:50:24.011]  There is a blackout on talking about rape of Bill Clinton, talking about sexual abuse, talking about settling cases, talking about any of the other women.
[00:50:24.011 --> 00:50:24.191]  Okay?
[00:50:25.623 --> 00:50:27.004]  That's what's going on.
[00:50:27.004 --> 00:50:29.526]  And Hillary has completely, absolutely ignored him.
[00:50:29.526 --> 00:50:32.668]  We have video of Bill Clinton totally ignoring him.
[00:50:32.668 --> 00:50:35.090]  And we're here causing a national debate.
[00:50:35.090 --> 00:50:37.212]  We know we have a bigger audience than CNN.
[00:50:37.212 --> 00:50:38.573]  We're calling their bluff.
[00:50:38.573 --> 00:50:40.514]  We're taking action.
[00:50:40.514 --> 00:50:42.796]  We're in their face.
[00:50:42.796 --> 00:50:44.597]  And absolutely, people say, man, you got a lot of courage.
[00:50:44.597 --> 00:50:45.258]  Absolutely, I do.
[00:50:46.460 --> 00:50:56.151]  But it takes greater courage to let these demons, these globalists, take over these monsters, these fascists, these oppressors, these tyrants run our lives.
[00:50:56.151 --> 00:50:57.513]  I can't help but resist them.
[00:51:00.493 --> 00:51:03.637]  Hi, this is Ted Anderson of the Genesis Communications Network.
[00:51:03.637 --> 00:51:09.725]  Over the 30 plus years I've been in finance, I can see that the world economy is now at a critical point.
[00:51:09.725 --> 00:51:14.751]  Unlimited money creation and runaway debt could trigger a collapse of the financial system.
[00:51:14.751 --> 00:51:19.197]  It's imperative that you protect yourself in case of hyperinflation or even deflation.
[00:51:19.677 --> 00:51:24.300]  Investment Rarities has put together a survival bag of 200 silver quarters.
[00:51:24.300 --> 00:51:28.702]  These 90% silver quarters are dated 1964 and earlier.
[00:51:28.702 --> 00:51:30.143]  Each quarter is worth almost $5.
[00:51:30.143 --> 00:51:35.185]  If a quarter has already reached $5, the trend is obviously on your side.
[00:51:35.185 --> 00:51:36.786]  These survival bags sell for $8.95 delivered.
[00:51:36.786 --> 00:51:37.407]  Call 800-328-1860 to order today!
[00:51:41.829 --> 00:51:49.879]  Not only can these quarters be used for barter in a brief period of hyperinflation, they have the potential to appreciate 5 to 10 times.
[00:51:49.879 --> 00:51:50.199]  Call 800-328-1860.
[00:51:50.199 --> 00:51:51.200]  Get one for each member of your family.
[00:51:51.200 --> 00:51:51.400]  Call 800-328-1860.
[00:51:51.400 --> 00:51:51.581]  That's 800-328-1860.
[00:51:59.750 --> 00:52:00.852]  Think about this.
[00:52:00.852 --> 00:52:13.448]  Your community's aging water infrastructure systems are very likely to be contaminated with heavy metals like lead, disinfection chemicals like ammonia, chlorine, and chloramines, and pharmaceuticals like statins, pain meds, and antidepressants.
[00:52:13.448 --> 00:52:17.474]  And no, water treatment plants are not equipped to filter these pharmaceutical toxins out.
[00:52:17.694 --> 00:52:21.518]  Protect your family's water supply with a trusted Big Berkey Water Filter.
[00:52:21.518 --> 00:52:32.411]  New NSF EPA certified lab tests show Big Berkey Water Filters remove chloramines, pharmaceuticals, BPA, pesticides, bacteria and viruses, all forms of fluoride and much more.
[00:52:32.671 --> 00:52:36.114]  Big Berkey Water Filters are the original and most trusted on the market.
[00:52:36.114 --> 00:52:38.335]  The gold standard in water purification.
[00:52:38.335 --> 00:52:41.858]  And our filters last for years at less than two cents per gallon.
[00:52:41.858 --> 00:52:42.558]  Big Berkey.
[00:52:42.558 --> 00:52:45.681]  The one powerful enough to purify stagnant pond water.
[00:52:45.681 --> 00:52:47.322]  Get your Big Berkey today.
[00:52:47.322 --> 00:52:49.243]  Call 1-877-99-BERKEY or click BigBerkeyWaterFilters.com.
[00:52:49.243 --> 00:52:49.924]  That's 1-877-99-BERKEY.
[00:52:49.924 --> 00:52:51.105]  Big Berkey Water Filters.
[00:52:51.105 --> 00:52:51.985]  For the love of clean water.
[00:52:59.775 --> 00:53:00.776]  Reality check.
[00:53:00.776 --> 00:53:01.616]  Rampant hacking.
[00:53:01.616 --> 00:53:02.437]  Identity theft.
[00:53:02.437 --> 00:53:03.277]  Mass surveillance.
[00:53:03.277 --> 00:53:05.318]  Defending yourself today is not an option.
[00:53:05.318 --> 00:53:06.259]  It's a requirement.
[00:53:06.259 --> 00:53:09.501]  Introducing the ConcealShield Travel Pack from Defendershield.com.
[00:53:09.501 --> 00:53:15.744]  ConcealShield is cutting-edge wireless blocking technology that eliminates all signals including EMF, GPS, and RFID.
[00:53:15.744 --> 00:53:20.707]  Place cell phones, credit cards, IDs, and other trackable items into the ConcealShield and they become totally invisible.
[00:53:20.707 --> 00:53:23.008]  Get ConcealShield now at Defendershield.com.
[00:53:23.008 --> 00:53:24.930]  Use promo code CONCEAL for 10% off.
[00:53:24.930 --> 00:53:28.532]  Guard your privacy, secure your data, and protect your health with ConcealShield.
[00:53:29.252 --> 00:53:30.633]  Are you prepared to bug out?
[00:53:30.633 --> 00:53:38.496]  Infidel Body Armor and an Army Ranger have produced a high-speed DVD and book to show you how to drive in combat, patrol, and how to survive in combat.
[00:53:38.496 --> 00:53:40.557]  Skills you'll need when it hits the fan.
[00:53:40.557 --> 00:53:42.278]  Go to DrivenDVD.com.
[00:53:42.278 --> 00:53:44.299]  DrivenDVD.com.
[00:53:44.299 --> 00:53:49.682]  Advertising your business with GCN is simple, effective, and more affordable than you might think.
[00:53:49.682 --> 00:53:53.323]  Visit Advertise.GCNLive.com for more info.
[00:53:53.323 --> 00:53:55.284]  Take your business to the next level.
[00:53:55.284 --> 00:53:58.326]  That's Advertise.GCNLive.com.
[00:54:12.785 --> 00:54:14.668]  We're good to go.
[00:54:28.703 --> 00:54:32.504]  Trump's talked about the fact that he's now talked to the insiders.
[00:54:32.504 --> 00:54:33.444]  You got Jerry Falwell Jr.
[00:54:33.444 --> 00:54:39.546]  and others have come out and said, no, there was a Republican conspiracy to leak this info and derail this for Hillary.
[00:54:39.546 --> 00:54:44.627]  It's not a... if three or more people meet, or two or more really, and decide to try to do somebody harm, it is a conspiracy under law.
[00:54:44.627 --> 00:54:47.548]  But they said they were still going to get Trump.
[00:54:47.548 --> 00:54:52.169]  They said they wanted Hillary over Trump.
[00:54:52.169 --> 00:54:54.450]  They said they were going to be part of this the entire time.
[00:54:56.206 --> 00:54:57.646]  See, that's what's crazy.
[00:54:57.646 --> 00:55:05.108]  Charlie Rose has guests on from the White House saying, we lied to everybody and told them to keep their doctor, and then they laugh about it.
[00:55:05.108 --> 00:55:07.828]  I played the thing like 10 times last week.
[00:55:07.828 --> 00:55:10.989]  The week before that, they were on TV making fun of people about something else.
[00:55:10.989 --> 00:55:22.471]  The week before that, they do victory laps on C-SPAN and on PBS, where they think it's a more intellectual audience, about how they're conning everyone.
[00:55:24.141 --> 00:55:31.923]  I mean, do you understand, folks, these people are literally mentally ill, in my view.
[00:55:31.923 --> 00:55:38.585]  Because they think they're the only ones that are smart, and they think everybody that is smart must be a predator like they are.
[00:55:38.585 --> 00:55:44.227]  I've had globals try to hire me so many times, we've talked about it, and they tell you, you're smart like us, join us.
[00:55:44.227 --> 00:55:46.468]  Don't be all the scum.
[00:55:46.468 --> 00:55:47.248]  They're so elitist.
[00:55:48.373 --> 00:55:52.796]  Now I've got a bunch of clips I want to play here when we come back.
[00:55:52.796 --> 00:55:59.419]  We've got Obama being interrupted three times yesterday by folks exposing Bill Clinton's rape.
[00:55:59.419 --> 00:56:02.821]  We've got new Donald Trump ad that's very powerful targeting Hillary's health.
[00:56:02.821 --> 00:56:07.644]  We've got Mike Huckabee compares Trump to Captain Quint hunting jaws.
[00:56:07.644 --> 00:56:11.166]  And they go, yeah, but Captain Quint died.
[00:56:11.166 --> 00:56:13.348]  The point is he got the shark dead too.
[00:56:14.315 --> 00:56:15.736]  No, not that he knew what he was doing.
[00:56:15.736 --> 00:56:17.957]  Great, great allegory.
[00:56:17.957 --> 00:56:22.700]  Quint is brass, he cusses, he's nasty, but he's the good guy.
[00:56:22.700 --> 00:56:34.007]  Just like in Lord of the Rings, not the movie but the book, they say to Aragorn, they say, well, why didn't you go with those other guys who were going to slit your throat once they got you out of here?
[00:56:34.007 --> 00:56:41.992]  And he goes, well, they looked fair but felt foul, while you look foul but feel fair.
[00:56:44.707 --> 00:56:48.491]  The best people I've ever known aren't perfect, and I'm not lauding being foul.
[00:56:48.491 --> 00:56:56.880]  I'm not lauding being worldly and nasty, but nasty at a base level of just the flesh, like loving women, loving to fight.
[00:57:01.769 --> 00:57:06.731]  Those are the people, though, that have the heights in their psyche of wanting to build things and loving God and being good.
[00:57:06.731 --> 00:57:13.774]  Their good side's so big that they've got a big evil side, but it's still much smaller than the big good side they have.
[00:57:13.774 --> 00:57:19.757]  You run into people that are totally controlled and focused and a little twinkly-eyed, like Paul Ryan.
[00:57:19.757 --> 00:57:20.697]  That's a psychopath.
[00:57:20.697 --> 00:57:25.619]  I can take one look at Paul Ryan and tell you, that man is a psychopath.
[00:57:25.619 --> 00:57:26.920]  He's not a sociopath.
[00:57:26.920 --> 00:57:27.820]  He's a psychopath.
[00:57:30.799 --> 00:57:32.760]  I'm going to go to break, come back with all of this in the second hour.
[00:57:32.760 --> 00:57:34.641]  We haven't even scratched the surface of the new WikiLeaks.
[00:57:34.641 --> 00:57:35.361]  This is amazing.
[00:57:35.361 --> 00:57:38.083]  WikiLeaks has really come through, so that's good to see that happen.
[00:57:38.083 --> 00:57:39.063]  The listeners have come through.
[00:57:39.063 --> 00:57:39.564]  You're amazing.
[00:57:39.564 --> 00:57:40.724]  God bless you.
[00:57:40.724 --> 00:57:43.366]  I've extended it one day, but it's over because people are asking me to.
[00:57:43.366 --> 00:57:45.987]  DNA Force will end tonight, 23% off.
[00:57:45.987 --> 00:57:51.990]  The new special is on a very inexpensive product we have that is the highest quality.
[00:57:51.990 --> 00:57:53.991]  This is really an amazing product.
[00:57:53.991 --> 00:57:55.452]  Knockout Sleep Support, 25% off, flash sale.
[00:57:57.113 --> 00:58:04.037]  For only 48 hours only, and it's got, in 1995, that's what the leading competitor cost, just of this amount of melatonin.
[00:58:04.037 --> 00:58:07.539]  Then it's got the L-tryptophan, and the valerian route, and a bunch of other stuff in it.
[00:58:07.539 --> 00:58:08.640]  The best sleep ever.
[00:58:08.640 --> 00:58:09.581]  This is so amazing.
[00:58:09.581 --> 00:58:10.301]  Knockout.
[00:58:10.301 --> 00:58:13.663]  Infowarslife.com, or call toll-free 888-253-3139.
[00:58:13.663 --> 00:58:22.348]  Sign up for auto-ship, an additional 10% off, and all shipping is free on orders of $50 or more, and your funding is essential.
[00:58:22.348 --> 00:58:22.909]  We'll be back.
[00:58:22.909 --> 00:58:23.349]  Stay with us.
[00:58:27.882 --> 00:58:31.664]  With only 26 days left, we have entered the final stretch.
[00:58:31.664 --> 00:58:34.645]  More of this historic broadcast on the other side.
[00:58:34.645 --> 00:58:41.708]  You're listening to Alex Jones.
[00:58:41.708 --> 00:58:45.110]  Thank you for listening to GCN.
[00:58:45.110 --> 00:58:47.331]  Visit GCNlive.com today.
[00:58:50.111 --> 00:58:55.173]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:58:55.173 --> 00:59:04.016]  Youngevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[00:59:04.016 --> 00:59:07.957]  Youngevity also offers you an ingenious way to augment your income.
[00:59:07.957 --> 00:59:08.757]  And the best part?
[00:59:08.757 --> 00:59:11.638]  You'll be helping your friends and family along the way.
[00:59:11.638 --> 00:59:14.239]  Visit InfoWarsTeam.com today.
[00:59:14.239 --> 00:59:15.020]  Become a member.
[00:59:15.020 --> 00:59:19.081]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:59:19.301 --> 00:59:26.024]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:59:26.024 --> 00:59:26.984]  Another win-win.
[00:59:26.984 --> 00:59:30.725]  That's why I'm a member of the Longevity Team at Infowarsteam.com.
[00:59:30.725 --> 00:59:31.966]  And you can be too.
[00:59:31.966 --> 00:59:32.506]  It's simple.
[00:59:32.506 --> 00:59:35.447]  Just go to Infowarsteam.com today.
[00:59:35.447 --> 00:59:37.568]  Complete a short sign-up and you're part of the team.
[00:59:37.568 --> 00:59:40.809]  That's Infowarsteam.com or Infowarshealth.com.
[00:59:40.809 --> 00:59:47.111]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:59:47.111 --> 00:59:48.432]  Check it out for yourself today.
[00:59:52.617 --> 00:59:56.219]  You're listening to the Alex Jones Show!
[00:59:56.219 --> 01:00:11.408]  Benny Williams is coming out in the first of his reporting war dancers.
[01:00:11.408 --> 01:00:12.869]  Well, so does he.
[01:00:12.869 --> 01:00:14.570]  It's Alex Jones.
[01:00:16.900 --> 01:00:30.352]  John Adams, signer of the Declaration of Independence and the second president of the United States, told the military in a speech made in 1798, our Constitution was made only for a moral and religious people.
[01:00:30.352 --> 01:00:33.754]  It is wholly inadequate to the government of any other.
[01:00:33.754 --> 01:00:36.717]  And it was Prussian statesman Otto von Bismarck
[01:00:36.937 --> 01:00:47.660]  Shaking his fist at the United States who said there is a Providence that protects idiots, drunkards, children, and the United States of America.
