[00:00.000 --> 00:29.800]  It's Monday, January 28th, 2019, as a giant polar vortex settles over the east coast.
[55:16.800 --> 55:22.800]  But he's a doctor and you can't have the doctors with these swaddle and leather that you can't take it.
[55:22.800 --> 55:31.800]  They need to be prosecuted to go back to him. Go back to the doctor please.
[55:31.800 --> 55:35.800]  You still believe in it and you would give it for your patients.
[55:35.800 --> 55:40.800]  I think it's life-saving. It's huge. Now we still have 100,000 deaths in the world every year, but we're getting way, way down.
[55:40.800 --> 55:45.800]  It used to be millions. It is one of the greatest inventions in the history of public health.
[55:45.800 --> 55:48.800]  Thank you, Dr. Mark Siegel. Appreciate that.
[55:48.800 --> 55:53.800]  Thank you, Mark Siegel, for all your help. Please live.
[55:53.800 --> 55:58.800]  By the way, in the military, none of the officers take the vaccines.
[55:58.800 --> 56:03.800]  But they line everybody up over and over again. Almost everybody knows when the military is heavily debilitated by him.
[56:03.800 --> 56:09.800]  And I know two people, as I've said, in this building who had children who were given vaccines that killed their children.
[56:09.800 --> 56:12.800]  My grandmother was told she got polio from the second polio vaccine.
[56:12.800 --> 56:17.800]  Her doctor told her it was on the news that was spreading it through there.
[56:17.800 --> 56:19.800]  Oh, and lovely cancer viruses as well.
[56:19.800 --> 56:24.800]  Look up polio vaccine in SV 40. Become factually informed.
[56:24.800 --> 56:27.800]  And when you go into these doctors, these pediatricians, they try to bully you.
[56:27.800 --> 56:32.800]  Say, fine, sign a form of liability protection that you are personally responsible for this vaccine.
[56:32.800 --> 56:36.800]  Give me the insert and they will throw you out of their office. Good.
[56:36.800 --> 56:42.800]  Go find a doctor that isn't a coward and will say, yes, there are some attributes, but some negatives of vaccines.
[56:42.800 --> 56:50.800]  And they're pushing too many vaccines and they're calling things that aren't vaccines, vaccines in a total big pharma invasion.
[56:50.800 --> 56:52.800]  Now, folks, I didn't plug one time this hour.
[56:52.800 --> 56:55.800]  And if we don't get financial support, we will shut down.
[56:55.800 --> 56:59.800]  And part of me, maybe subconsciously, I don't plug enough to support us as I want to shut down.
[56:59.800 --> 57:03.800]  I've been really thinking about, is that why I don't plug enough to actually find the operation?
[57:03.800 --> 57:05.800]  I need people to go to infowarstore.com today.
[57:05.800 --> 57:08.800]  I need them to check out all the amazing products.
[57:08.800 --> 57:16.800]  We have turbo force that is incredible, all of the best energy, long burn, incredible stamina.
[57:16.800 --> 57:21.800]  It's all there, all the vitamins, all the minerals, the amino acids, a bunch of other key compounds.
[57:21.800 --> 57:24.800]  This is the ultimate, that's why it's called turbo force.
[57:24.800 --> 57:27.800]  Rain force is amazing. It complements it. It's a new tropic.
[57:27.800 --> 57:33.800]  This is for the body and in the brain as well, but the two complement each other.
[57:33.800 --> 57:40.800]  Turbo force, 33% off at infowarslife.com, and the specials of super male superfinal fatality, 50% off.
[57:40.800 --> 57:42.800]  Those are about to end as well.
[57:42.800 --> 57:45.800]  Without your support, we won't be here. Thanks for your support.
[57:45.800 --> 58:13.800]  infowarstore.com
[58:16.800 --> 58:21.800]  Simply take a packet, mix it into the indicated amount of water, and enjoy.
[58:21.800 --> 58:29.800]  With 14 servings per box for a two week or more supply, this is the formula to stock up on whenever you need a boost.
[58:29.800 --> 58:33.800]  Perfect for work, in the car, or at home.
[58:33.800 --> 58:36.800]  Turbo force is the ultimate answer to a sluggish day.
[58:36.800 --> 58:38.800]  Don't let your day slow you down.
[58:38.800 --> 58:49.800]  Perk Up with turbo force at infowarstore.com
[59:09.800 --> 59:20.800]  The new platinum standard of advanced multivitamin formulation, vitamin mineral fusion uses a unique delivery system to maximize the effects and give your body the tools it needs to support your body.
[59:20.800 --> 59:29.800]  Using a proprietary process, we've managed to make this powerhouse formula into a delicious concentrated drink mix that's loaded with high quality ingredients.
[59:29.800 --> 59:38.800]  Perfect for a hot summer day or relaxing at home, vitamin mineral fusion is loaded with 34 different essential vitamins, minerals, amino acids, and more.
[59:38.800 --> 01:00:00.800]  Start supporting your body's needs in a great tasting, natural and affordable drink mix with vitamin mineral fusion today, available at infowarstore.com
[01:00:08.800 --> 01:00:18.800]  Thanks for watching, please subscribe and hit that like button.
[01:00:39.800 --> 01:00:49.800]  Okay folks, I told you this morning, driving into work, I was thinking to myself, what is the most important thing I can cover?
[01:00:49.800 --> 01:01:00.800]  What is the most important thing I can do to really help people instead of just fighting all day about did Trump do this or did Trump do that?
[01:01:00.800 --> 01:01:09.800]  Because I still support Trump, but I've been saying this for several years, I'm frustrated that more and more of my whole identity becomes Trump World.
[01:01:09.800 --> 01:01:19.800]  But there's a nexus point between that, so I intended to come on air today and criticize President Trump for the things he hasn't done and for the things he has done.
[01:01:19.800 --> 01:01:30.800]  And I knew this and I'd only seen this once and I'd forgotten about it and the crew brought it to my attention, but it's how this broadcast works.
[01:01:30.800 --> 01:01:32.800]  All the different pieces just got tied together.
[01:01:32.800 --> 01:01:47.800]  When we come back on the other side, we've been talking about vaccines and how they're trying to set the precedent to put you in jail if you don't take them.
[01:01:47.800 --> 01:01:56.800]  Now they've got giant PR campaigns on every major news channel in the country saying, make people take vaccines.
[01:01:56.800 --> 01:01:59.800]  But only the border is wide open for all the disease to pour in.
[01:01:59.800 --> 01:02:14.800]  And I talked about the secret federal court that since the 80s has been covering up the millions of damaged and hundreds of thousands of dead from vaccines and the whole autism epidemic.
[01:02:14.800 --> 01:02:21.800]  And we have internal CDC documents, the 2020 ABC News, how the head of the CDC said, oh my God, it's a huge cover up.
[01:02:21.800 --> 01:02:24.800]  We've hurt millions of people. We could all go to prison.
[01:02:24.800 --> 01:02:29.800]  And their plan is double down, make you take even more.
[01:02:29.800 --> 01:02:39.800]  But don't worry, they'll have runs for life and runs for autism and you'll go run a 10K and donate money as they build giant autism centers all over the country.
[01:02:39.800 --> 01:02:43.800]  And we just get used to half of our boys not being able to talk.
[01:02:43.800 --> 01:02:47.800]  That's the soft kill. But boys are bad. Boys start wars.
[01:02:47.800 --> 01:02:59.800]  So if you can't get them to cut their genitals off or can't get them to take hormone blockers, can't get them to wear a dress, you just abort them or you kill them.
[01:02:59.800 --> 01:03:02.800]  So come on, you know, they're doing it for the greater peace of earth.
[01:03:02.800 --> 01:03:07.800]  And then bringing in all those great Muslims who know how to treat a girl.
[01:03:07.800 --> 01:03:13.800]  So you can see the vice grip, the takedown of the West, the globalist military plan to destroy us.
[01:03:13.800 --> 01:03:16.800]  And if people can't face it, well, then that's what's going to happen to them.
[01:03:16.800 --> 01:03:21.800]  Because we're entering the final phase. They're getting rid of the military right now, getting rid of men in the military.
[01:03:21.800 --> 01:03:27.800]  It'll all be drones. It'll all be drone operated. It'll all be remote controlled. It'll all be autonomous.
[01:03:27.800 --> 01:03:35.800]  Programmed by the ruling class that is accelerating to replace us all the robots and have decided we're all obsolete. That's it.
[01:03:35.800 --> 01:03:38.800]  And they don't want that news out there.
[01:03:38.800 --> 01:03:46.800]  So you want to know why Trump, his own son had seizures and went from being super healthy to being somewhat autistic.
[01:03:46.800 --> 01:03:48.800]  He's gotten better. He's bounced back.
[01:03:48.800 --> 01:03:54.800]  You want to know what happened to old Baron and why daddy won't do anything now?
[01:03:54.800 --> 01:04:04.800]  Well, it's because the very same people, the very same people that have had their fingers controlling.
[01:04:04.800 --> 01:04:08.800]  The investigations into Trump are in charge of the vaccines.
[01:04:08.800 --> 01:04:14.800]  And see, to the ruling class, it's all about how none of them take them.
[01:04:14.800 --> 01:04:19.800]  Guaranteed. Guaranteed.
[01:04:19.800 --> 01:04:25.800]  Robert Mueller and Rod Rosenstein do not take vaccines.
[01:04:25.800 --> 01:04:28.800]  And believe me, those two star generals, they don't take them either.
[01:04:28.800 --> 01:04:31.800]  But you know what? Your son or daughter in the military does.
[01:04:31.800 --> 01:04:38.800]  You know what? They're going to try to force your kid to, because they like to walk around and see your lower IQ and know all those cancer viruses have been implanted in you.
[01:04:38.800 --> 01:04:40.800]  That soft kill.
[01:04:40.800 --> 01:04:47.800]  And that's what Rod Rosenstein, when he walks into Congress smiling like little demon, he's like, have I stunned him enough? It's like a spider.
[01:04:47.800 --> 01:04:49.800]  Have I stunned my enemy enough for them to not be able to get me?
[01:04:49.800 --> 01:04:51.800]  He's like, you're all dead.
[01:04:51.800 --> 01:04:57.800]  That's why he's always smiling like that, looking side to side, because he's like a snake slithering in.
[01:04:57.800 --> 01:05:03.800]  When it comes to rebuilding your energy, convenience is key.
[01:05:03.800 --> 01:05:09.800]  While coffee, candy and other sugary products can give you a short boost, the crash can lead you more tired than ever.
[01:05:09.800 --> 01:05:22.800]  Turbo Force from Info Wars Life is a powerful mix-in energy packet that utilizes vitamins, amino acids and extracts used for hundreds of years to provide you focus, clarity and a boost of energy on the go.
[01:05:22.800 --> 01:05:30.800]  Simply take a packet, mix it into the indicated amount of water and enjoy.
[01:05:30.800 --> 01:05:38.800]  With 14 servings per box for a two-week or more supply, this is the formula to stock up on whenever you need a boost.
[01:05:38.800 --> 01:05:42.800]  Perfect for work, in the car or at home.
[01:05:42.800 --> 01:05:45.800]  Turbo Force is the ultimate answer to a sluggish day.
[01:05:45.800 --> 01:05:47.800]  Don't let your day slow you down.
[01:05:47.800 --> 01:05:57.800]  Perk Up with Turbo Force at InfowarsStore.com
[01:06:17.800 --> 01:06:28.800]  We are broadcasting worldwide. I'm your host Alex Jones. We're now into hour number two.
[01:06:28.800 --> 01:06:35.800]  And if you tune into Fox News or CNN or NPR or open up a local newspaper, it's the same message.
[01:06:35.800 --> 01:06:42.800]  Vaccines are 100% healthy and effective. Never hurt anybody in the world and everything's fine.
[01:06:42.800 --> 01:06:44.800]  Go back to sleep.
[01:06:44.800 --> 01:06:51.800]  But then if you ask for the insert of the vaccines, it says may kill you, may paralyze you, may have cancer viruses.
[01:06:51.800 --> 01:06:56.800]  The flu shot doubles your chances of getting the flu the next year. They've never guessed the right mutation.
[01:06:56.800 --> 01:06:58.800]  It's all a giant hoax.
[01:06:58.800 --> 01:07:05.800]  In the 1980s, they set up a giant vaccine damage fund with billions a year paid out of a secret court.
[01:07:05.800 --> 01:07:11.800]  Let's pull that headline back up. Millions and millions paid per family for their dead or brain damaged children.
[01:07:11.800 --> 01:07:16.800]  From Gardasil and the flu shot and the measles, the mumps and rubella.
[01:07:16.800 --> 01:07:24.800]  But Fox News earlier had a medical doctor on saying these waiver forms are frauds. Arrest the doctors.
[01:07:24.800 --> 01:07:27.800]  The waiver forms aren't frauds. There's no law to even have the waiver form.
[01:07:27.800 --> 01:07:29.800]  But local health departments ask for them.
[01:07:29.800 --> 01:07:35.800]  So they're up there telling you that it's safe and effective and that it's the law you've got to take vaccines.
[01:07:35.800 --> 01:07:38.800]  And it's all a hoax. There it is.
[01:07:38.800 --> 01:07:46.800]  The last court pays 6 million to Gardasil victims. But let me give you the big picture.
[01:07:46.800 --> 01:07:49.800]  Let me give you the big picture here, ladies and gentlemen.
[01:07:49.800 --> 01:07:55.800]  Guess who sits over the vaccine damage court, the secret court.
[01:07:55.800 --> 01:08:02.800]  And guess who decides who gets paid and who doesn't once they get you into their secret court.
[01:08:02.800 --> 01:08:06.800]  So that you don't go file lawsuits in other courts.
[01:08:06.800 --> 01:08:10.800]  Because you can have liability protection unless it's being done fraudulently.
[01:08:10.800 --> 01:08:14.800]  And then the liability protection and the sovereign immunity is stripped.
[01:08:14.800 --> 01:08:23.800]  So the sovereign immunity of the U.S. government is saying we're going to make you go to a secret court that you've got to go through for years.
[01:08:23.800 --> 01:08:28.800]  And then we decide once you've waived your rights, if you're going to be paid any damages.
[01:08:28.800 --> 01:08:32.800]  Guess who is behind it.
[01:08:32.800 --> 01:08:35.800]  Guess who is behind it.
[01:08:35.800 --> 01:08:43.800]  Rod Rosenstein's sister runs vaccines for children's program at the CDC.
[01:08:43.800 --> 01:08:47.800]  Does DC Swamp Connection ever end for these people?
[01:08:47.800 --> 01:08:51.800]  Their whole lives are government, government, government, government, salaries, government pension, government budget.
[01:08:51.800 --> 01:08:53.800]  They live off taxpayers.
[01:08:53.800 --> 01:08:58.800]  Oh, it's worse than that. CDC.gov. And look who's over it right here.
[01:08:58.800 --> 01:09:07.800]  CDC vaccine chief's brother no longer had 2016's related investigations.
[01:09:07.800 --> 01:09:24.800]  Before sessions resigned, oversight fell on the brother of the CDC's vaccine chief, Deputy Attorney General Rod Rosenstein's sister, Dr. Nancy Mezmanier, director of the CDC's National Center for Immunization and Respiratory Diseases.
[01:09:24.800 --> 01:09:30.800]  President Trump's criticism of toxic vaccines goes back a decade long before he ran for office.
[01:09:30.800 --> 01:09:39.800]  But now we learn Rod Rosenstein's sister, direct link to the CDC, is over the secret court.
[01:09:39.800 --> 01:09:45.800]  Business is good. And I bet you all the tea in India.
[01:09:45.800 --> 01:09:48.800]  I bet you all the cows in Texas.
[01:09:48.800 --> 01:09:56.800]  I bet you all the fish in the sea that Mr. Rosenstein and his sister don't take any vaccines.
[01:09:56.800 --> 01:10:01.800]  Remember the headlines a few years ago? German elite take clean vaccines.
[01:10:01.800 --> 01:10:09.800]  Chinese communist leaders take clean vaccines. Oh, vaccines can be real. You can get immunity from them. They can be good.
[01:10:09.800 --> 01:10:14.800]  But see, they're putting other things in them. They've been caught doing it.
[01:10:14.800 --> 01:10:24.800]  We've gone from one 36, 37 years ago, person in 30,000 having autism, to one in 58.
[01:10:24.800 --> 01:10:29.800]  And if you take girls out of the equation, it's like one in 30-something boys.
[01:10:29.800 --> 01:10:33.800]  And it happens right after the vaccines trigger an autoimmune response.
[01:10:33.800 --> 01:10:42.800]  And the inserts say it can cause convulsions, or guion beret, or narcolepsy, or epilepsy.
[01:10:42.800 --> 01:10:50.800]  They say it. They say it. They give you fact sheets at the Walgreens or the CVS that aren't that.
[01:10:50.800 --> 01:10:59.800]  You want by law, which the feds or the Democrats are trying to pass a law, to take the real insert out of the vaccine container.
[01:10:59.800 --> 01:11:03.800]  With that fine print, you got to get grandma's magnifying glass to read it.
[01:11:03.800 --> 01:11:09.800]  And it says it can kill you deader than a hammer.
[01:11:09.800 --> 01:11:16.800]  But then they go on the news and they say, it's all lies. It's all a conspiracy theory.
[01:11:16.800 --> 01:11:22.800]  Now, I wanted to bring something else up that I just got reminded of last night when I was doing research.
[01:11:22.800 --> 01:11:32.800]  Robert Mueller III wanted the job as FBI director and asked to be in the consideration and met with Trump the day before.
[01:11:32.800 --> 01:11:42.800]  And Trump did not like him and did not hit it off with him and said no. So the next day, Rod Rosenstein, also known as God of Earth,
[01:11:42.800 --> 01:11:49.800]  created the quote position and the letter saying that he's in office and above the law and a God.
[01:11:49.800 --> 01:11:56.800]  So Rod Rosenstein, without the president even knowing, because President Trump didn't hire the guy they wanted,
[01:11:56.800 --> 01:12:03.800]  the guy that brought Rosenstein into the Justice Department, because that didn't happen.
[01:12:03.800 --> 01:12:13.800]  He ran over the next day and created his own little special office because we've had a coup of the CIA and the FBI working in tandem since 1989,
[01:12:13.800 --> 01:12:18.800]  when George Herbert Walker Bush affected that with Mr. Burr and Mr. Mueller.
[01:12:18.800 --> 01:12:25.800]  And the whole group, Burr and the rest of them are out of the CIA.
[01:12:25.800 --> 01:12:30.800]  And so that's what this is.
[01:12:30.800 --> 01:12:35.800]  Trump fury over Mueller conflicts goes back to Oval Office meeting.
[01:12:35.800 --> 01:12:42.800]  Trump considered Mueller for FBI director before he was named special counsel, the day before.
[01:12:42.800 --> 01:12:46.800]  The next day.
[01:12:46.800 --> 01:12:57.800]  So when you hone down into all this, why would the government at Tuskegee and other areas give tens of thousands of black people syphilis and vaccines?
[01:12:57.800 --> 01:13:03.800]  Why'd they do it in Appalachia? Why'd they do it in Peru? Why did they radiate children in the atomic energy test?
[01:13:03.800 --> 01:13:09.800]  Because they want to have government groups of people that'll follow orders who've been compromised who'll do anything.
[01:13:09.800 --> 01:13:15.800]  And if you read all this Huxley's work and others, they want IQ reduction in the general population.
[01:13:15.800 --> 01:13:18.800]  Mueller doesn't give this to his daughters.
[01:13:18.800 --> 01:13:23.800]  Rosenstein doesn't give it to his children. They give it to you.
[01:13:23.800 --> 01:13:28.800]  And you better know the big banks ship in the narcotics as well.
[01:13:28.800 --> 01:13:35.800]  Even Bloomberg reported that Wells Fargo and others got caught laundering hundreds of millions of drug money and didn't even get in trouble.
[01:13:35.800 --> 01:13:40.800]  It's all a sick joke to the predatory psychotic ruling class.
[01:13:40.800 --> 01:13:46.800]  Their greatest pleasure is you being radiated by 5G and you eating GMO and you taking deadly vaccines.
[01:13:46.800 --> 01:13:51.800]  Their greatest pleasure is giving themselves immunity to commit these crimes.
[01:13:51.800 --> 01:14:00.800]  So remember, Rod Rosenstein pays out billions of dollars via his sister of your money to people whose daughters died from Gardasil or got paralyzed.
[01:14:00.800 --> 01:14:06.800]  But then they get up on the news and have every news channel say there's no adverse reactions. It's a conspiracy theory.
[01:14:06.800 --> 01:14:16.800]  But no amount of big capped Mr. Ed Teeth will ever stop Rosenstein from being someone that God is going to punish.
[01:14:16.800 --> 01:14:23.800]  Vengeance belongs to the Lord. But now you understand the type of true bottom feeding spiders we're dealing with.
[01:14:23.800 --> 01:14:29.800]  Spiders don't attack up front. They sneak around. They capture you on a web.
[01:14:29.800 --> 01:14:38.800]  They come in. They inject you. They liquefy you while you're tortured. Then they suck you dry and they sing a song to you while they do it.
[01:14:38.800 --> 01:14:40.800]  Yum yum time.
[01:14:40.800 --> 01:14:45.800]  And you understand spiritually Rosenstein and Mueller and Hillary are spiders.
[01:14:45.800 --> 01:14:52.800]  Committed to savage evil. Committed to total domination. Committed to maximizing fraud.
[01:14:52.800 --> 01:14:56.800]  Committed to hurting as many children as they can.
[01:14:56.800 --> 01:15:02.800]  That's why they fund the Arab Spring to overthrow our allies but radical Islam in. That's why they fund abortion.
[01:15:02.800 --> 01:15:08.800]  And you look at everything they do to us. It's the total wages of death.
[01:15:08.800 --> 01:15:15.800]  They are put in place because they are monsters and they will cover up what's happening to our children.
[01:15:15.800 --> 01:15:24.800]  They know exactly what they're doing. They've been put there by the God of this world because they will carry out nothing but scientifically focused evil.
[01:15:24.800 --> 01:15:32.800]  And now you know. Now you know why President Trump won't do anything and won't set up a commission on vaccines
[01:15:32.800 --> 01:15:40.800]  because Rod Rosenstein's sister is in there making sure that nobody learns how many kids are dead and dying
[01:15:40.800 --> 01:15:45.800]  and making sure that we don't struggle free when our little kids get caught in those webs.
[01:15:45.800 --> 01:15:50.800]  Because mommy takes them. Daddy takes them. The spiders inject. The kid gets sick by the third injection.
[01:15:50.800 --> 01:15:55.800]  They have a convulsion. The ones that die. That's not their main goal. They just wanted to brain damage them.
[01:15:55.800 --> 01:15:56.800]  They're trying to learn.
[01:15:56.800 --> 01:16:01.800]  A doctor's office visit for erectile dysfunction on my smartphone? That's crazy.
[01:16:01.800 --> 01:16:06.800]  No. That's the bestedpill.com. ED can affect 40% of men by age 40.
[01:16:06.800 --> 01:16:10.800]  Now there's a 95% less expensive option than Viagra.
[01:16:10.800 --> 01:16:17.800]  After a live confidential video consult with a fully licensed doctor, we ship medicines fast, free and direct in discreet packaging.
[01:16:17.800 --> 01:16:26.800]  Read thousands of five star reviews. Click the bestedpill.com. That's T-H-E bestedpill.com. The online doctor's office.
[01:16:26.800 --> 01:16:30.800]  Hunters, anglers, campers and survivalists, get back to nature.
[01:16:30.800 --> 01:16:37.800]  Expand your horizons with the highest quality, most versatile, unique sling shots and sling bows on the market at slingbow.com.
[01:16:37.800 --> 01:16:41.800]  Slingbow products are compact and models start from just 1798.
[01:16:41.800 --> 01:16:44.800]  They're perfect for your bug out bag or storing in your vehicle.
[01:16:44.800 --> 01:16:48.800]  Give yourself and your loved ones the excitement and tradition of slingbow.
[01:16:48.800 --> 01:16:53.800]  A new frontier in archery and truly modern twist on this primitive survival tool.
[01:16:53.800 --> 01:16:56.800]  Feel the thrill only at slingbow.com.
[01:16:56.800 --> 01:17:01.800]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[01:17:01.800 --> 01:17:06.800]  I sued the IRS in one. I beat the IRS then and I've been beating them ever since.
[01:17:06.800 --> 01:17:11.800]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[01:17:11.800 --> 01:17:15.800]  I can help you too. If you owe taxes you can't pay, don't wait another day.
[01:17:15.800 --> 01:17:18.800]  There's no such thing as a hopeless tax case.
[01:17:18.800 --> 01:17:26.800]  Call 800-34-NO-TAX or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[01:17:26.800 --> 01:17:29.800]  You may need this herbal tea for relief right away, so write this down.
[01:17:29.800 --> 01:17:33.800]  D-R-M-I-L-L-E-R-S clinic.com.
[01:17:33.800 --> 01:17:39.800]  If you take meds, then suffer stomach distress, constipation, indigestion, acid reflux or bloating and nothing else helps.
[01:17:39.800 --> 01:17:44.800]  Get Dr. Miller's Holy Tea or Super Holy Tea, a cleansing, detoxifying herbal tea
[01:17:44.800 --> 01:17:47.800]  now available at great rates direct from Dr. Miller's office.
[01:17:47.800 --> 01:17:57.800]  Call or click 888-660-7039 or D-R-M-I-L-L-E-R-S clinic.com.
[01:17:57.800 --> 01:18:02.800]  When it comes to rebuilding your energy, convenience is key.
[01:18:02.800 --> 01:18:06.800]  While coffee, candy and other sugary products can give you a short boost,
[01:18:06.800 --> 01:18:09.800]  the crash can lead you more tired than ever.
[01:18:09.800 --> 01:18:16.800]  TurboForce from InfoWarsLife is a powerful mix-in energy packet that utilizes vitamins, amino acids and extracts
[01:18:16.800 --> 01:18:24.800]  used for hundreds of years to provide you focus, clarity and a boost of energy on the go.
[01:18:24.800 --> 01:18:30.800]  Simply take a packet, mix it into the indicated amount of water and enjoy.
[01:18:30.800 --> 01:18:33.800]  With 14 servings per box for a two-week or more supply,
[01:18:33.800 --> 01:18:38.800]  this is the formula to stock off on whenever you need a boost.
[01:18:38.800 --> 01:18:41.800]  Perfect for work, in the car or at home.
[01:18:41.800 --> 01:18:44.800]  TurboForce is the ultimate answer to a sluggish day.
[01:18:44.800 --> 01:18:46.800]  Don't let your day slow you down.
[01:18:46.800 --> 01:19:04.800]  Perk Up with TurboForce at InfowarsStore.com.
[01:19:17.800 --> 01:19:24.800]  Ultimate Crill Oil can help you experience the benefits of fish oil with less-required DHA and EPA.
[01:19:24.800 --> 01:19:30.800]  This incredible formula can help your body in many ways, including supporting heart health, joint health and cognitive health,
[01:19:30.800 --> 01:19:35.800]  aiding and regulating fat metabolism, helping to maintain cognitive function and more.
[01:19:35.800 --> 01:19:39.800]  And while other Crill Oil formulas may chemically modify their formulas,
[01:19:39.800 --> 01:19:45.800]  we're giving you the benefits of a simple formula that contains unmodified high-quality Crill Oil concentrate
[01:19:45.800 --> 01:19:48.800]  paired with our ultimate fish oil or used separately.
[01:19:48.800 --> 01:20:16.800]  Time to see what Crill Oil can do for you with Ultimate Crill Oil, now available at InfowarsStore.com.
[01:20:18.800 --> 01:20:24.800]  In America, America, America.
[01:20:24.800 --> 01:20:30.800]  We're all living in America, America.
[01:20:30.800 --> 01:20:34.800]  Alright, let me finish up on the vaccines and the new developments we're learning.
[01:20:34.800 --> 01:20:41.800]  And Rod Rosenstein's sister, over at the Secret Vaccine Fund, running the ongoing cover-up, of course.
[01:20:41.800 --> 01:20:45.800]  Whatever is totally able these people are involved in.
[01:20:45.800 --> 01:20:52.800]  Let's sit here and give you hundreds of examples of declassified deadly testing on troops, deadly testing on children,
[01:20:52.800 --> 01:20:56.800]  secret government programs going on in Europe, the UK and the US.
[01:20:56.800 --> 01:20:58.800]  We're the worst, constantly getting caught.
[01:20:58.800 --> 01:21:01.800]  It's the whole leftover of the eugenics movement.
[01:21:01.800 --> 01:21:09.800]  It's the eugenics system that set up local health departments that they took over that would then run local sterilization of people.
[01:21:09.800 --> 01:21:16.800]  So there's some good things the health department does, but piggybacked in it is the old original programs of eugenics.
[01:21:16.800 --> 01:21:21.800]  So continuing, remember Bayer Pharmaceutical.
[01:21:21.800 --> 01:21:29.800]  Their executives, it came out in corporate minutes in Australia and in France and in Canada over several years.
[01:21:29.800 --> 01:21:32.800]  It came out in lawsuits, lawsuits they lost for billions.
[01:21:32.800 --> 01:21:39.800]  They said, we're told all of our factor eight has hepatitis and HIV, it'll kill millions.
[01:21:39.800 --> 01:21:43.800]  And they're quoted as saying, so what?
[01:21:43.800 --> 01:21:48.800]  Hemophiliacs are genetic mutants. Let's get rid of them.
[01:21:48.800 --> 01:21:50.800]  You're like, wow, that's a horrible attitude.
[01:21:50.800 --> 01:21:56.800]  You don't get in for the tops of those pharmaceutical companies unless you're a genocist.
[01:21:56.800 --> 01:21:57.800]  Let me explain why.
[01:21:57.800 --> 01:22:04.800]  Mr. Watson, former head of the Cold Springs Harbor, came out and said black people aren't humans a few weeks ago and they stripped him of his awards.
[01:22:04.800 --> 01:22:18.800]  The Human Genome Project at Cold Springs Harbor was the Rockefeller program that created the Kaiser Wilhelm Institute on record and literally funded Hitler from the time he took over the Nazi Party.
[01:22:18.800 --> 01:22:20.800]  Did you hear that?
[01:22:20.800 --> 01:22:23.800]  This is all mainline history.
[01:22:23.800 --> 01:22:34.800]  The Kaiser Wilhelm Institute was the sister creation of the Rockefeller Foundation on record, headed up and paid for by Thomas Watson of IBM.
[01:22:34.800 --> 01:22:36.800]  Now this other Watson is still alive, no relation.
[01:22:36.800 --> 01:22:40.800]  He was the head of the program who discovered DNA.
[01:22:40.800 --> 01:22:42.800]  He's still alive.
[01:22:42.800 --> 01:22:50.800]  Now you have to understand why would Bayer executives talking to different executives in three continents say screw it.
[01:22:50.800 --> 01:22:52.800]  Let's just kill all the hemophiliacs.
[01:22:52.800 --> 01:22:55.800]  You can pull up newscasts where they're saying this.
[01:22:55.800 --> 01:22:56.800]  Why would you do that?
[01:22:56.800 --> 01:22:57.800]  It's not about profits.
[01:22:57.800 --> 01:22:59.800]  They like it.
[01:22:59.800 --> 01:23:01.800]  They're in medicine to kill.
[01:23:01.800 --> 01:23:06.800]  15, 16 years ago, search engine this, click web.
[01:23:06.800 --> 01:23:14.800]  Doctors, medical schools stopped giving the Hippocratic oath.
[01:23:14.800 --> 01:23:16.800]  It's the Hippocratic oath to do no harm.
[01:23:16.800 --> 01:23:17.800]  They got rid of it.
[01:23:17.800 --> 01:23:19.800]  They're phasing in death care.
[01:23:19.800 --> 01:23:21.800]  They're phasing in eugenics care.
[01:23:21.800 --> 01:23:24.800]  This is what you're being given.
[01:23:24.800 --> 01:23:27.800]  So you hear me say these spiders know what they're doing.
[01:23:27.800 --> 01:23:31.800]  You're not in the elite club unless you're in to soft killing people.
[01:23:31.800 --> 01:23:42.800]  Their whole religion is going to a ballgame and looking at how ugly and mentally retarded people are and how and to see the IQ is dropping and the live expectancy dropping and the fertility dropping.
[01:23:42.800 --> 01:23:50.800]  We're being murdered by a secret global cabal that created the Nazis.
[01:23:50.800 --> 01:23:54.800]  And then they want to get a big race war going at the end of it.
[01:23:54.800 --> 01:24:03.800]  That's why they're putting all these racist minorities in charge so that when whites finally wake up, they will join with the globalist and wipe everybody out.
[01:24:03.800 --> 01:24:06.800]  You're getting the big secrets here, folks.
[01:24:06.800 --> 01:24:12.800]  So don't ever, ever forget that.
[01:24:12.800 --> 01:24:17.800]  Oh, the UN says anti-vaxxers are the big global health threat.
[01:24:17.800 --> 01:24:18.800]  That's right.
[01:24:18.800 --> 01:24:20.800]  There's no human negates.
[01:24:20.800 --> 01:24:26.800]  There's dad headed up part of the operations for Planned Parenthood and Cold Springs Harbor as well.
[01:24:26.800 --> 01:24:28.800]  He says there's too many people, but he's got a vaccine.
[01:24:28.800 --> 01:24:34.800]  He says it'll lower the population and everybody at TED Talk laughs because they're all at TED Talk.
[01:24:34.800 --> 01:24:35.800]  They're in on it, too.
[01:24:35.800 --> 01:24:42.800]  You're not part of the intellectual elite unless you understand that there's too many humans, you see.
