[00:00:00.458 --> 00:00:03.860]  Humanity is on a collision course with a horrific end.
[01:13:03.681 --> 01:13:04.602]  Let's start getting to this now.
[01:13:05.342 --> 01:13:06.883]  What does this back-cuddling from the FDA really mean?
[01:13:06.883 --> 01:13:08.084]  What it really means is that the FDA
[01:13:33.021 --> 01:13:38.425]  The FDA has committed wrongdoing or malfeasance, and this is now prima facie evidence of it.
[01:13:38.425 --> 01:13:50.774]  You know, in 2018, the FDA had a very nice statement on its website saying why doctors should use drugs off their original advertising labels, and the reason is to fulfill an unmet need.
[01:13:50.774 --> 01:13:55.718]  And in 2020 and 2021, clearly COVID-19 was an unmet need.
[01:13:55.718 --> 01:13:58.600]  There were no approved oral antivirals.
[01:13:58.600 --> 01:14:02.263]  We were using hydroxychloroquine and ivermectin according to how we should.
[01:14:03.038 --> 01:14:05.620]  Do it by the FDA guidance.
[01:14:05.620 --> 01:14:22.195]  So when the FDA came out and specifically said that doctors should not use ivermectin and specifically misled the public with a tweet that said that ivermectin is horse-paced and actually said quit using it, the FDA caused harm.
[01:14:22.779 --> 01:14:23.099]  Thank you.
[01:14:36.235 --> 01:14:38.776]  Ivermectin was associated with reduced mortality.
[01:14:38.776 --> 01:14:44.939]  So the FDA's actions led to unnecessary deaths, and I think justice will have to come.
[01:14:44.939 --> 01:14:56.865]  The FDA now should be broadly sued, you know, probably in a class action case against those who lost loved ones pre-hospital and during the hospital.
[01:14:56.865 --> 01:14:57.386]  Powerful.
[01:14:57.386 --> 01:14:59.887]  Now we come back, the rest of the story.
[01:15:00.819 --> 01:15:21.802]  We have Dr. Chris Shoemaker, very, very respected on the history of ivermectin and the fact that the Pentagon, a full five years before the release of COVID-19, said specifically from their research in testing what would counter weaponized coronaviruses, that ivermectin was essentially a miracle drug.
[01:15:23.280 --> 01:15:37.632]  And that medical workers around any future deadly SARS or COVID situation should preemptively take cycles of it and that anyone who began to feel sick should instantly go on it and it's totally safe.
[01:15:37.632 --> 01:15:44.017]  The Pentagon will show you documents and video specifically since the SARS release.
[01:15:45.299 --> 01:15:53.631]  Over a decade ago, studied all these different drugs and compounds on animals that have the same effects as humans, and found it was the answer.
[01:15:53.631 --> 01:15:56.876]  That's why they kept it from you, because they want to murder you and your family.
[01:15:58.709 --> 01:16:01.751]  InfoWars' secret weapon is finally here.
[01:16:01.751 --> 01:16:10.098]  It's a secret weapon for your immune system, for your stamina, for your energy, for your way of life, for your libido, and it also keeps InfoWars on the air.
[01:16:10.098 --> 01:16:19.645]  And I almost forgot, you save at least 50% on these products for what you pay for similar products or the exact same products in stores around the country.
[01:16:19.645 --> 01:16:25.110]  That's because we go right to the highest quality manufacturer in the nation that supplies some of the top names.
[01:16:25.110 --> 01:16:27.812]  They then give us the best deal out there, because the owner's a listener,
[01:16:28.052 --> 01:16:30.474]  We're able to bring it to you with massive discounts.
[01:16:30.474 --> 01:16:35.658]  You're not going to find 1000mg high quality CBD for anywhere near the price we sell it.
[01:16:35.658 --> 01:16:38.039]  You're not going to find it at the 10mg or 20mg.
[01:16:38.039 --> 01:16:41.802]  You're not going to find turmeric at 95% humanoid at the price we're selling it.
[01:16:41.802 --> 01:16:44.464]  You're not going to find any of this anywhere near that.
[01:16:44.464 --> 01:16:50.569]  These similar formulas or the same formulas sell for up to 200% more than we're selling these.
[01:16:50.569 --> 01:16:52.010]  InfoWars MD.
[01:16:52.010 --> 01:16:54.932]  Now available exclusively at InfoWarsStore.com.
[01:16:54.932 --> 01:16:55.652]  A true 360 win.
[01:17:00.565 --> 01:17:04.886]  Because you want it, here's another one just for you.
[01:17:04.886 --> 01:17:10.448]  Because without you, it would truly be a blue Christmas.
[01:17:10.448 --> 01:17:12.948]  But thank God that we have you.
[01:17:12.948 --> 01:17:19.390]  All of us, awakening and vibrant souls all over the Earth.
[01:17:19.390 --> 01:17:24.071]  It's your love, our love, that makes all of this possible.
[01:17:25.055 --> 01:17:35.119]  And if you feel like showing us some love today and help keep us on the air, you can do so at InfoWarsStore.com.
[01:17:35.119 --> 01:17:43.142]  Products that will make your life better and allow us to keep broadcasting free worldwide.
[01:17:43.142 --> 01:17:46.684]  We are all in this together through thick and thin.
[01:17:46.684 --> 01:17:51.406]  On behalf of the whole crew, we love you and we thank you for your support.
[01:17:58.069 --> 01:18:07.294]  Christmas 2022 is almost here, and we have great products at InfoWarsTore.com that empower your body, your libido, your immune system, that just enrich your life.
[01:18:07.294 --> 01:18:15.338]  So whether it's Vitamin Mineral Fusion, or DNA Force Plus, or Body's Ultimate Tumor Formula, they're all still in stock, discounted up to 60% with promo code 1776.
[01:18:15.338 --> 01:18:15.798]  And now, finally,
[01:18:18.379 --> 01:18:19.139]  We're good to go.
[01:18:38.367 --> 01:18:46.134]  $50 or more at infowarestore.com and up to 60% off at checkout with promo code 1776.
[01:18:46.134 --> 01:18:53.880]  And we've got signed and unsigned copies of the Great Reset War for the World book as well, which make perfect stocking stuffers.
[01:18:53.880 --> 01:18:56.883]  Don't wait, take action at infowarestore.com today!
[01:18:58.098 --> 01:19:09.423]  Once a tragedy reaches a level of national significance, American citizens should be allowed to basically question that event in any way that they deem fit.
[01:19:09.423 --> 01:19:11.324]  The First Amendment is unique in the world.
[01:19:11.324 --> 01:19:12.785]  That's what they want to take away.
[01:19:12.785 --> 01:19:14.306]  Your ability to speak freely.
[01:19:14.306 --> 01:19:15.987]  So they're going to go for Mike Lindell next?
[01:19:15.987 --> 01:19:17.287]  Or are they going to go for Steve Bannon?
[01:19:17.287 --> 01:19:18.668]  Or are they going to go for Tucker Carlson?
[01:19:19.088 --> 01:19:23.933]  I studied the globalists 30 years ago, but only 28 years, and I knew they were planning all of this.
[01:19:23.933 --> 01:19:26.335]  And I warned the public, as a modern Paul Revere.
[01:19:26.335 --> 01:19:28.357]  But I couldn't have done it without your support.
[01:19:28.357 --> 01:19:35.284]  And now, because we've been so successful warning the population of the planet, not just America, we're public enemy number one when it comes to the globalist agenda.
[01:19:35.925 --> 01:19:41.329]  That's why it's more important than ever to realize how successful InfoWars has been because of your past support.
[01:19:41.329 --> 01:19:50.275]  So I salute you and I thank you and I ask you now, at the critical juncture of the battle, to redouble your efforts by visiting InfoWarsTore.com and getting amazing products that keep us on air.
[01:19:50.275 --> 01:19:56.540]  1776 is the promo code, the destination is InfoWarsTore.com and I thank you all for your support.
[01:20:00.123 --> 01:20:04.737]  Leading a frontal assault on the lies of the New World Order.
[01:20:04.737 --> 01:20:06.061]  It's Alex Jones!
[01:20:32.242 --> 01:20:33.383]  Welcome back to the Alex Jones Show.
[01:20:33.383 --> 01:20:36.384]  We just played a clip of Dr. Peter McCullough who is going to be joining us at 11 a.m.
[01:20:36.384 --> 01:20:42.146]  Central when the show kicks off right after American Journal with the great Harrison Smith ends 8 a.m.
[01:20:42.146 --> 01:20:42.946]  to 11 a.m.
[01:20:42.946 --> 01:20:48.949]  each weekday only at Infowars.com, port slash show, and radio stations and TV stations across the country.
[01:20:48.949 --> 01:20:49.569]  And then 3 p.m.
[01:20:49.569 --> 01:20:53.691]  Central, the great Owen Schroer with the War Room.
[01:20:55.382 --> 01:21:03.605]  All right, I want to give the number out to cover any of these topics or issues you want to discuss ahead of Nick Fuentes joining us for a debate in the third and fourth hour today.
[01:21:03.605 --> 01:21:06.346]  The toll-free number to join us is 877-789-2539, 877-789-2539, 877-789-ALEX.
[01:21:16.209 --> 01:21:17.390]  Okay, I got a bunch of these clips.
[01:21:17.390 --> 01:21:21.393]  There's no way I'll get to all of them, especially the Ron Johnson hearings that were just incredible.
[01:21:21.393 --> 01:21:23.515]  The third round of those, what a patriot.
[01:21:23.515 --> 01:21:25.036]  That guy should run for president.
[01:21:25.036 --> 01:21:28.919]  In fact, it ought to be a Senator Paul, Senator Ron Johnson ticket.
[01:21:28.919 --> 01:21:32.181]  They knew, they knew that ivermectin and hydroxychloroquine worked.
[01:21:32.181 --> 01:21:34.303]  The Pentagon tested both of them.
[01:21:34.303 --> 01:21:37.205]  That's why all these scientists early on were saying, take it.
[01:21:37.205 --> 01:21:39.827]  It's why the Japanese knocked the disease out in the Africans.
[01:21:41.220 --> 01:21:41.900]  The thing to realize is that
[01:22:10.535 --> 01:22:16.278]  North American science spent 15 years figuring out what to do with the next COVID.
[01:22:16.278 --> 01:22:21.641]  It was back 2002-2003, the original SARS-CoV-1 occurred.
[01:22:21.641 --> 01:22:26.463]  And so all sorts of experiments went on to determine what would be a useful response.
[01:22:26.463 --> 01:22:27.944]  Were something similar to occur?
[01:22:29.392 --> 01:22:31.353]  And the research was done.
[01:22:31.353 --> 01:22:32.673]  Research was all done by 2015, 2016.
[01:22:32.673 --> 01:22:39.495]  And DARPA, D-A-R-P-A, the American research arm of the U.S.
[01:22:39.495 --> 01:22:56.500]  military, it specifically knew and specifically recommended and passed the information on to the CDC that ivermectin in particular was the absolute number one product to be used in the event of a coronavirus pandemic.
[01:22:57.904 --> 01:23:07.394]  It was fully known that ivermectin and certainly hydroxychloroquine as well were highly antiviral and immune modulatory.
[01:23:07.394 --> 01:23:13.980]  And those two things were the key to modulate the immune response plus to be antiviral as well.
[01:23:13.980 --> 01:23:15.141]  Those elements were both
[01:23:15.842 --> 01:23:33.235]  Totally proven in vitro and in vivo with animals so that it was known and of course we knew it was completely safe for humans because these medications have been used for 35 to 40 years in humans and so that's what was sitting there ready to be used at the next pandemic.
[01:23:33.235 --> 01:23:41.762]  Instead they demonized and attacked anybody including the scientists that tried to save people and we defeated, this audience defeated,
[01:23:43.186 --> 01:23:45.226]  Tucker Carlson defeated.
[01:23:45.226 --> 01:23:47.347]  Joe Rogan defeated.
[01:23:47.347 --> 01:24:00.410]  We defeated them to a great extent, murdering tens of millions more by getting the hydroxychloroquine and of course the ivermectin out there, and the pharmacist ignoring the feds, telling them not to do it.
[01:24:00.410 --> 01:24:00.970]  Remember this?
[01:24:00.970 --> 01:24:05.411]  FDA says ivermectin doesn't work against COVID-19, but points to studies that show it does.
[01:24:05.411 --> 01:24:11.612]  Yeah, they said, oh, it doesn't work in the headline, and showed hundreds of studies on their site, including by the FDA, saying it's a miracle drug.
[01:24:13.817 --> 01:24:19.919]  So they can only put the false news up top that wasn't a study, hoping you wouldn't read.
[01:24:19.919 --> 01:24:33.085]  Here's Dr. Paul Merrick, very respected, talking about them pushing Rendezivir that killed you more often, had no antiviral properties, but gave you a massive increase in renal failure in the kidneys.
[01:24:33.085 --> 01:24:33.705]  Here's that clip.
[01:24:33.705 --> 01:24:37.867]  In my hospital, I was banned or discouraged from using
[01:24:38.869 --> 01:24:41.349]  Off-label drugs which we use every day.
[01:24:41.349 --> 01:24:43.330]  Methylprednisolone.
[01:24:43.330 --> 01:24:51.831]  Vitamin C. My hospital would not allow me to use Vitamin C. We're talking about basic safe drugs.
[01:24:51.831 --> 01:24:53.391]  And it's an outrage.
[01:24:53.391 --> 01:24:57.572]  What they wanted me to use was Remdesivir.
[01:24:57.572 --> 01:25:07.214]  With Remdesivir we know, and this is not controversial, we know according to the WHO, Remdesivir increases your risk of kidney failure 20-fold.
[01:25:08.965 --> 01:25:13.629]  Remdesivir will increase your risk of developing renal failure 20-fold.
[01:25:13.629 --> 01:25:18.173]  It increases your risk of dying by about 4%.
[01:25:18.173 --> 01:25:31.865]  It has no place in medicine, yet the federal government will give hospitals a 20% bonus on their entire hospital bill if you prescribe this toxic medication.
[01:25:31.865 --> 01:25:35.589]  So you can see how the hospitals and the healthcare systems are now
[01:25:39.391 --> 01:25:50.660]  And it was the same program worldwide of controlling doctors, all run by the World Economic Forum and the UN, who had the policies written by them, by Big Pharma.
[01:25:50.660 --> 01:25:57.805]  This was a planned attack to suppress real treatments and give you weapon systems that would kill you and your family.
[01:25:57.805 --> 01:26:05.191]  By the way, Thomas Renz, two years ago, started working with the whistleblower, who was the vice president of Eagle Health Alliance, Dr. Huff,
[01:26:06.257 --> 01:26:09.561]  And when he first came out with the whistleblower document, people said, there's no way, it can't be real.
[01:26:09.561 --> 01:26:11.783]  Of course, it all was real.
[01:26:11.783 --> 01:26:15.187]  And he is such an amazing hero.
[01:26:15.187 --> 01:26:19.112]  Here he is at Senator Johnson's hearings talking about the situation.
[01:26:20.049 --> 01:26:22.270]  Transparency is the key to this whole thing.
[01:26:22.270 --> 01:26:28.033]  That transparency can be put into bills and into various things in which you always need to do.
[01:26:28.033 --> 01:26:30.954]  This is my recommendation for a solution.
[01:26:30.954 --> 01:26:36.457]  You need to, and you do have the power to do this, because politically how do you oppose transparency?
[01:26:36.457 --> 01:26:40.759]  How do you oppose outcome-based funding for hospitals?
[01:26:40.759 --> 01:26:48.462]  When those numbers are reported, so we have CMS data that showed in Texas, 90% of the people put on ventilators died. 90%.
[01:26:50.672 --> 01:26:53.335]  You have a better chance with Russian Roulette.
[01:26:53.335 --> 01:26:54.877]  Literally.
[01:26:54.877 --> 01:26:55.338]  Okay?
[01:26:55.338 --> 01:26:56.038]  Protocol.
[01:26:56.038 --> 01:26:57.240]  That's a protocol.
[01:26:57.240 --> 01:27:01.565]  So listen, and not only is it a protocol, but they get paid to do it.
[01:27:01.565 --> 01:27:02.126]  A lot.
[01:27:02.958 --> 01:27:05.460]  When you go to the hospital, you get tested.
[01:27:05.460 --> 01:27:06.241]  They get paid more.
[01:27:06.241 --> 01:27:10.505]  When you get admitted for COVID, they get paid more.
[01:27:10.505 --> 01:27:13.108]  When they put you on remdesivir, they get paid more.
[01:27:13.108 --> 01:27:14.989]  When you get ventilated, they get paid more.
[01:27:14.989 --> 01:27:16.871]  When you die, they get paid more.
[01:27:16.871 --> 01:27:18.172]  This is perverse.
[01:27:18.172 --> 01:27:22.376]  We have incentivized the murder of patients rather than incentivized treatment.
[01:27:22.376 --> 01:27:23.658]  It's really easy.
[01:27:23.658 --> 01:27:27.181]  We just put that out in the public and say, hey, public,
[01:27:28.146 --> 01:27:36.352]  This election season, do you want us to incentivize hospitals to have good outcomes, or do you want us to continue incentivizing the murder of your loved ones?
[01:27:36.352 --> 01:27:37.392]  I don't know.
[01:27:37.392 --> 01:27:40.895]  That's right, we make this a political issue instead of the racism football.
[01:27:40.895 --> 01:27:45.198]  Oh, we're all racist, we're all killing each other, but really the globalists are killing all of us.
[01:27:46.823 --> 01:27:58.792]  And just remember, all along, the Democrat politicians particularly were quietly getting hydroxychloroquine and ivermectin for themselves while suppressing it to you and battling to make sure the public couldn't get it.
[01:27:58.792 --> 01:28:04.597]  What a group of monsters who literally want to kill their constituents.
[01:28:04.597 --> 01:28:09.441]  These people are beyond evil.
[01:28:09.441 --> 01:28:14.965]  When you've got the mayor of New York at the time saying, oh I got fries, I got a burger, take the shot, you'll be totally
[01:28:15.788 --> 01:28:16.489]  Protected.
[01:28:16.489 --> 01:28:19.192]  Remember that?
[01:28:19.192 --> 01:28:26.539]  And the people that took the shot saying, my medicine won't work unless you take yours.
[01:28:26.539 --> 01:28:33.887]  And the kids in bubbles at band practice and everywhere else in the whole cult and people wearing masks inside the water.
[01:28:35.106 --> 01:28:37.467]  And inside their houses by themselves.
[01:28:37.467 --> 01:28:40.049]  And now we're not supposed to criticize Fauci.
[01:28:40.049 --> 01:28:44.412]  And Bill Gates says he's wargaming a new, more deadly pandemic that hits children.
[01:28:44.412 --> 01:28:51.916]  All seeing if we'll go along with the death cult and let them kill us while we praise them as our saviors.
[01:28:51.916 --> 01:28:53.817]  Your phone calls are coming up then.
[01:28:53.817 --> 01:28:55.218]  Nick Fuentes and more.
[01:28:58.464 --> 01:29:04.870]  I have an extremely important message to all of my fellow InfoWarriors here in the United States and around the world.
[01:29:04.870 --> 01:29:09.494]  We are so excited to announce InfoWars MD.
[01:29:09.494 --> 01:29:12.276]  It turns out the top company in the U.S.
[01:29:12.276 --> 01:29:14.518]  for supplements is owned by a Patreon.
[01:29:14.518 --> 01:29:21.285]  And it turns out they're willing to give us deals that no one else is getting because they want to support InfoWars and keep us on the air.
[01:29:21.285 --> 01:29:24.668]  This deal has been a year in the making and finally the products are being brought to market.
[01:29:25.288 --> 01:29:35.953]  Up to 50% off what you get on top national brands that are the highest rated under the InfoWars label, InfoWars MD, exclusively at InfoWarsStore.com.
[01:29:35.953 --> 01:29:41.195]  Check out the first of 10 new products at InfoWarsStore.com.
[01:29:41.195 --> 01:29:50.559]  Whether it's turmeric or whether it's joint care or whether it is super greens, we have them all at InfoWarsStore.com under the banner
[01:29:50.979 --> 01:29:53.302]  Of InfoWars MD.
[01:29:53.302 --> 01:29:56.847]  This is the best deal out there and it keeps InfoWars on the air.
[01:29:56.847 --> 01:29:58.709]  InfoWars MD.
[01:29:58.709 --> 01:30:07.621]  Introducing InfoWars super high-end supplement line at up to 50% off what these same formulas are sold for in stores.
[01:30:08.121 --> 01:30:12.424]  It's InfoWars MD, exclusively available at InfoWarsStore.com.
[01:30:12.424 --> 01:30:21.009]  We have a new line of super quality CBD oils that are incredibly good for your entire body at InfoWarsStore.com.
[01:30:21.009 --> 01:30:30.535]  We have Libido RX, Better Mood, Nitric Boost, Mushroom Maxx Powerful Nootropic, Ageless Vitality Collagen, Superfood Greens, and more.
[01:30:31.175 --> 01:30:36.757]  Our turmeric formula is 95% humanoid, the strongest and best on the market.
[01:30:36.757 --> 01:30:42.419]  These formulas and more under the InfoWarsMD banner are at InfoWarsStore.com.
[01:30:42.419 --> 01:30:51.563]  They are private labeled clones of the top brands in the country for up to 50% off where you're going to find them in stores and other online stores.
[01:30:51.563 --> 01:30:54.444]  This is our new InfoWarsMD Incredible line.
[01:30:58.470 --> 01:31:19.080]  The tip of the spear throughout this entire process, the only thing that made any Republican victories tonight possible, the only thing that made any resistance to the war machine possible, the only thing that made any opposition to the lockdowns and the mask mandates and the school shutdowns and the forced vaccines and the dangerous drugs possible,
[01:31:19.580 --> 01:31:32.711]  What made any resistance to it possible was people continuing to support InfoWars despite the massive lawfare being waged against InfoWars, despite the media defamatory, libelous campaign against InfoWars.
[01:31:32.711 --> 01:31:41.579]  The ordinary people, the everyday people that buy products that make their own lives healthier, wealthier, and wiser is what keeps InfoWars on the air.
[01:31:41.579 --> 01:31:47.824]  And what that does is keep the populist message alive in an era and an age of totalitarian oppression.
[01:31:48.064 --> 01:31:49.507]  So continue to do it.
[01:31:49.507 --> 01:31:51.710]  Go to places like InfoWarsStore.com.
[01:31:51.710 --> 01:31:53.814]  Go to the places like Save InfoWars.
[01:31:53.814 --> 01:31:58.762]  Continue to keep InfoWars alive, because in the process, you're keeping American liberty alive.
[01:31:59.324 --> 01:32:07.886]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting these mail-in ballots.
[01:32:07.886 --> 01:32:12.348]  And it's absolutely absurd for anyone to take our election seriously.
[01:32:12.348 --> 01:32:15.949]  It's election month, Alex.
[01:32:15.949 --> 01:32:17.509]  It's not election day.
[01:32:17.509 --> 01:32:19.189]  And that's the problem.
[01:32:19.189 --> 01:32:21.950]  And everything changed after COVID-19.
[01:32:21.950 --> 01:32:24.711]  They illegally changed state elections.
[01:32:25.611 --> 01:32:31.154]  Mailing ballots to anyone and everyone, and sometimes mailing multiple ballots to people.
[01:32:31.154 --> 01:32:33.175]  Well, this isn't any way to run an election.
[01:32:33.175 --> 01:32:37.437]  We are in a serious country when we have elections that can be stolen like this.
[01:32:37.437 --> 01:32:52.544]  And I believe that, just like I believe the election was stolen in 2020, and I have no problem saying that, and it is so absurd for the media and the Democrats to attack us that question our election integrity, and question the fact that elections
[01:32:53.304 --> 01:32:55.406]  Um, shouldn't be run the way they are.
[01:32:55.406 --> 01:33:00.151]  We're not election deniers, we're election realists.
[01:33:00.151 --> 01:33:10.841]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:33:10.841 --> 01:33:12.883]  I've got a tiger!
[01:33:14.518 --> 01:33:23.322]  He never gives up.
[01:33:23.322 --> 01:33:30.084]  He's Alex Jones, broadcasting from deep in the heart of Texas, worldwide.
[01:33:30.084 --> 01:33:37.667]  Well I thought the day I met you, you were meek as a lamb.
[01:33:37.667 --> 01:33:41.008]  Just the kind to fit my dreams and plans.
[01:33:42.794 --> 01:33:48.035]  Welcome back, my friends.
[01:33:48.035 --> 01:34:05.719]  Okay, I want to go to your phone calls here in just a moment, but we have some other, even bigger COVID-19 news that is really some of the biggest news in the last three years saga.
[01:34:05.719 --> 01:34:12.021]  And really the Christmas gift everybody has been given by God, thanks to your actions out there spreading the word, but God works through us.
[01:34:13.973 --> 01:34:25.941]  The state of Florida has launched grand jury investigations into COVID, into the vaccines, into Fauci, into Big Pharma, into them lying.
[01:34:25.941 --> 01:34:34.607]  Criminal investigations launched by Governor Ron DeSantis.
[01:34:34.607 --> 01:34:36.188]  Boy, his stock just went up even more.
[01:34:36.188 --> 01:34:40.311]  And national polls now show him everywhere ahead of Trump.
[01:34:40.311 --> 01:34:41.491]  Trump should take a lesson from that.
[01:34:44.997 --> 01:34:46.377]  This is a big deal.
[01:34:46.377 --> 01:34:48.938]  And DeSantis knows this is all coming down.
[01:34:48.938 --> 01:34:50.378]  And he's getting on the right side of history.
[01:34:50.378 --> 01:34:53.639]  So is Elon Musk, you suddenly notice.
[01:34:53.639 --> 01:34:56.340]  The deep state is legitimately scared.
[01:34:56.340 --> 01:35:00.421]  This is not going the way they wanted it to go.
[01:35:00.421 --> 01:35:03.581]  They knew there'd be some awakening to what they were doing, but not this big.
[01:35:03.581 --> 01:35:05.822]  They are now losing.
[01:35:05.822 --> 01:35:07.142]  Now what will they do?
[01:35:07.142 --> 01:35:09.043]  A cyber attack and cut off the power?
[01:35:09.043 --> 01:35:11.143]  Accelerate war with Russia?
[01:35:11.143 --> 01:35:13.404]  Greenlight Ukraine and start firing cruisers into Russia?
[01:35:13.404 --> 01:35:14.044]  That's all happened.
[01:35:15.646 --> 01:35:16.827]  And now they're gearing up for more.
[01:35:16.827 --> 01:35:21.011]  So, yeah, we're starting to win, but we should be ready for the Empire to strike back.
[01:35:21.011 --> 01:35:22.432]  Here's the headline.
[01:35:22.432 --> 01:35:22.772]  This is huge.
[01:35:32.284 --> 01:35:42.011]  Today I'm announcing a petition with the Supreme Court of Florida to impanel a statewide grand jury to investigate any and all wrongdoing and for the respect of COVID-19 vaccines.
[01:35:42.011 --> 01:35:44.412]  We anticipate we will get approval for that.
[01:35:44.412 --> 01:35:50.937]  Governor Sanders stated at a roundtable conference and medical professionals and vaccine injured citizens.
[01:35:50.937 --> 01:35:55.860]  We've reached critical mass and I can tell you I'm going to leave it at this.
[01:35:55.860 --> 01:36:01.184]  I've talked to some household names that have been at mainline top Republican conferences
[01:36:02.734 --> 01:36:11.537]  One of which happened about a month ago with a hundred plus Republican leaders from Congress, Senators and House members.
[01:36:11.537 --> 01:36:22.960]  And in the private meeting, they basically agreed that we're under bioweapon attack, that it is a New World Order attack, and that quote, Alex Jones is right.
[01:36:30.506 --> 01:36:33.687]  Ah, New World Order, you're in some deep crap.
[01:36:33.687 --> 01:36:37.268]  And I alluded to that a few weeks ago, but now I'm telling a little bit more.
[01:36:37.268 --> 01:36:39.089]  You guys have screwed the pooch.
[01:36:39.089 --> 01:36:40.209]  You're up the paddle.
[01:36:40.209 --> 01:36:41.569]  Up the creek without a paddle.
[01:36:41.569 --> 01:36:42.210]  Up the paddle.
[01:36:42.210 --> 01:36:43.670]  You're up the creek without a paddle.
[01:36:43.670 --> 01:36:48.651]  I mean, you guys are in a lot of trouble.
[01:36:48.651 --> 01:36:50.172]  And yeah, I get some satisfaction from that.
[01:36:55.184 --> 01:36:59.327]  See, Lord, please let me be humble and be a nice person.
[01:36:59.327 --> 01:37:02.330]  I know it's not Christian to do that.
[01:37:02.330 --> 01:37:05.173]  I'm going to stop right now.
[01:37:05.173 --> 01:37:06.974]  I should not feel triumphant.
[01:37:06.974 --> 01:37:08.756]  I should realize it's all God.
[01:37:08.756 --> 01:37:19.885]  But I tell you, risking my life to battle these bastards, and to know how close we are to them being arrested in Nuremberg, too, is something that makes me really, really feel good.
[01:37:20.751 --> 01:37:22.573]  But we got a lot more work to do.
[01:37:22.573 --> 01:37:24.836]  We're not out of the woods yet, so let's not celebrate yet.
[01:37:24.836 --> 01:37:31.143]  I'm going to cover this more.
[01:37:31.143 --> 01:37:35.188]  Coming up, but let's just get to your calls as I said I would do.
[01:37:35.188 --> 01:37:35.629]  Separately.
[01:37:36.687 --> 01:37:38.868]  We now have a new line of high quality supplements.
[01:37:38.868 --> 01:37:40.890]  They don't compete with Enforced Life.
[01:37:40.890 --> 01:37:42.571]  Enforced Life is already the highest quality.
[01:37:42.571 --> 01:37:48.294]  We just got rid of the middleman and found out who was already supplying us most of our supplements of the highest quality.
[01:37:48.294 --> 01:37:54.318]  And so we're able to cut the price some and have a good supply of it.
[01:37:54.318 --> 01:37:58.260]  And it's just a real blessing and bring out a lot bigger product line.
[01:37:58.260 --> 01:38:00.341]  And so we now have Turmeric 95.
[01:38:00.341 --> 01:38:05.585]  It's the same as bodies, the same 95% curcuminoid, the same formula, but
[01:38:06.471 --> 01:38:10.952]  It's under the InfoWars MD banner.
[01:38:10.952 --> 01:38:13.073]  And so you can get that at InfoWarsStore.com.
[01:38:13.073 --> 01:38:16.194]  There's also, not just Tumor 95, there's Mushroom Max.
[01:38:16.194 --> 01:38:29.317]  It's a bunch of known, super strong mushrooms that are super healthy and are known to focus the mind and give you healthy mental clarity that is not stimulant-based, not caffeine-based.
[01:38:29.317 --> 01:38:30.678]  So it really is next level.
[01:38:32.003 --> 01:38:35.585]  Mushroom Max is sold under another name by these same people.
[01:38:35.585 --> 01:38:39.187]  It's one of the top sellers in the country.
[01:38:39.187 --> 01:38:43.809]  You can get Mushroom Max at a discounted price from what the leading brand is under another name.
[01:38:43.809 --> 01:38:50.133]  That's all it is, is a leading brand under another name that then funds InfoWars at InfoWarsStore.com.
[01:38:50.133 --> 01:38:53.935]  And listen, the most we can ever do on this InfoWars MD line is 25% off.
[01:38:56.107 --> 01:38:59.950]  Because they're already super low price for the high-end quality you're getting.
[01:38:59.950 --> 01:39:07.955]  So 25% will always be the maximum sale on InfoWars MD because we've already cut the price and the quality is so high.
[01:39:07.955 --> 01:39:13.118]  So 10 new products in InfoWarsStore.com, InfoWars MD.
[01:39:13.118 --> 01:39:14.379]  Be sure and check them all out.
[01:39:14.379 --> 01:39:24.186]  Now, they've already sold out to their suppliers of most of their CBD and most of their high-end collagen and their super greens and the rest of it.
[01:39:26.741 --> 01:39:29.943]  At the sales rate, those will all be sold out in a couple days.
[01:39:29.943 --> 01:39:36.908]  But they'll still be the mushroom, they'll still be the Lobito RX, they'll still be all of that at InfoWarsTore.com.
[01:39:36.908 --> 01:39:40.070]  That way you can do your Christmas shopping there, get delivered quickly to your door.
[01:39:40.070 --> 01:39:43.132]  They have within one day shipping of your order coming in.
[01:39:43.132 --> 01:39:44.353]  They ship six days a week.
[01:39:44.793 --> 01:39:51.038]  So we have our own shipping system, but we also, with this big company, they have their own warehouses around the nation.
[01:39:51.038 --> 01:39:51.858]  They're huge.
[01:39:51.858 --> 01:39:52.959]  The owner's a fan.
[01:39:52.959 --> 01:39:56.702]  And so now you're going to get quicker delivery and lower prices on shipping.
[01:39:56.702 --> 01:39:58.943]  That's why there's $50 or more free shipping.
[01:39:58.943 --> 01:40:02.386]  All right, I'm going to shut up now, but that's how we fund the operation, InfoWarsMD.
[01:40:02.386 --> 01:40:03.046]  It's a godsend.
[01:40:03.046 --> 01:40:06.629]  It's amazing products, so check it out and please fund the operation.
[01:40:06.629 --> 01:40:10.972]  Okay, Andrew in Canada wants to talk about assisted suicide and the complete takeover.
[01:40:10.972 --> 01:40:11.713]  Thank you for being here.
[01:40:11.713 --> 01:40:11.973]  Go ahead.
[01:40:13.312 --> 01:40:15.833]  Mr. Jones, I'd like to take a minute and just say thank you.
