[00:00.000 --> 00:11.000]  Defending the Republic from enemies, foreign, and domestic, it's Alex Jones.
[51:43.000 --> 51:48.000]  Why don't we spend a few hundred million dollars on clinical trials to find out what works?
[51:48.000 --> 51:53.000]  Because, see, I don't think that we're dying just from coronavirus alone.
[51:53.000 --> 51:59.000]  I don't think COVID-19 is just really the virus alone. I think it's also a disease of ignorance.
[51:59.000 --> 52:04.000]  Ignorance of minerals and nutrition and natural solutions that really work.
[52:04.000 --> 52:08.000]  And by the way, I say this when I'm talking about zinc, I don't even have any zinc to sell.
[52:08.000 --> 52:12.000]  I'm not selling zinc. I don't know if Infowars has zinc in their store.
[52:12.000 --> 52:17.000]  Maybe they have zinc as a minor ingredient in a multi-vitamin mineral formula, possibly.
[52:17.000 --> 52:21.000]  I don't even know. I'm just telling you zinc is, I believe,
[52:21.000 --> 52:27.000]  the key to getting America back to work, which can save the economy, save the upcoming elections.
[52:27.000 --> 52:30.000]  So we can have elections. So we can have a free society.
[52:30.000 --> 52:33.000]  We need to end the lockdowns even from a liberty point of view.
[52:33.000 --> 52:37.000]  But we need to embrace nutrition, which means we need knowledge.
[52:37.000 --> 52:41.000]  And we have to end the big pharma stranglehold over our systems.
[52:41.000 --> 52:45.000]  Big pharma runs the media. Big pharma runs Washington, D.C.
[52:45.000 --> 52:50.000]  Our lawmakers. Big pharma runs the medical schools and the doctors and the universities.
[52:50.000 --> 52:56.000]  And they want this to be as bad as possible so that they can position the drug companies
[52:56.000 --> 53:00.000]  and the vaccine companies as the saviors in the end.
[53:00.000 --> 53:03.000]  They want this to get as bad as possible, have as much suffering and death as possible.
[53:03.000 --> 53:07.000]  And that's why they're publicly fighting to even block medical doctors
[53:07.000 --> 53:10.000]  from old cheap drugs that work like hydroxychloroquine.
[53:10.000 --> 53:13.000]  But the good news is they failed to suppress that treatment.
[53:13.000 --> 53:18.000]  Well, that's right. And remember, the reason they hate hydroxychloroquine is because
[53:18.000 --> 53:21.000]  it's a generic drug that's off patent.
[53:21.000 --> 53:23.000]  So they can't make billions off of that drug.
[53:23.000 --> 53:25.000]  Anybody can manufacture that drug.
[53:25.000 --> 53:30.000]  You could manufacture it, Alex. You could literally make the drug yourself, you know,
[53:30.000 --> 53:33.000]  commercially with FDA approval. Anybody can make it.
[53:33.000 --> 53:36.000]  It's not a big moneymaker for big pharma. That's why they're attacking it.
[53:36.000 --> 53:42.000]  But it works. It works with zinc and with a common antibiotic.
[53:42.000 --> 53:44.000]  That's also a generic drug.
[53:44.000 --> 53:48.000]  The treatment to cure one person is about $20.
[53:48.000 --> 53:51.000]  $20 is all it takes to save a life.
[53:51.000 --> 53:56.000]  Think about that versus the $6 trillion worth of bailouts, bailout money.
[53:56.000 --> 53:58.000]  And that might not even be the end of it.
[53:58.000 --> 54:01.000]  We're talking about maybe $10 trillion in bailout money is coming.
[54:01.000 --> 54:02.000]  What's that going to do?
[54:02.000 --> 54:06.000]  And Mike, if we ask ourselves how can all these major publications like the New Yorker,
[54:06.000 --> 54:10.000]  New York Times, Washington Post come out and say how dare Trump promote hydroxychloroquine
[54:10.000 --> 54:14.000]  when Fauci said, hey, I would prescribe this to patients two weeks ago.
[54:14.000 --> 54:17.000]  He was quoting the NIH head scientist.
[54:17.000 --> 54:19.000]  They're just giving talking points.
[54:19.000 --> 54:23.000]  Attack this because big pharma owns and controls them and big tech has merged with big pharma.
[54:23.000 --> 54:29.000]  So the people writing the stuff, you realize how evil they are and how bad karmically it is.
[54:29.000 --> 54:32.000]  I mean, having children especially, I don't want to do bad stuff anyways,
[54:32.000 --> 54:36.000]  but I really know stuff comes back on me when I do things that aren't good, even by accident.
[54:36.000 --> 54:41.000]  Folks being part of trying to suppress zinc and ZPAC and hydroxychloroquine
[54:41.000 --> 54:46.000]  and sunlight and fish oil, vitamin D, I mean, that's really villainous.
[54:46.000 --> 54:50.000]  Oh, it's incredibly evil and big pharma is a death industry.
[54:50.000 --> 54:51.000]  They don't have patients.
[54:51.000 --> 54:55.000]  They don't have revenues unless people suffer and are on the path to dying.
[54:55.000 --> 54:59.000]  And they want mass death and they want mass hysteria and mass suffering
[54:59.000 --> 55:03.000]  so that they can get more money for a vaccine, which may or may not work.
[55:03.000 --> 55:10.000]  I saw an article on Lou Rockwell by Bill Sardy estimating that the vaccine itself may kill 100,000 Americans.
[55:10.000 --> 55:12.000]  Just based on data we already have about that.
[55:12.000 --> 55:13.000]  Oh, yeah. In fact, guys, give me that article.
[55:13.000 --> 55:16.000]  I saw an article a month ago by a major virologist, a headline,
[55:16.000 --> 55:20.000]  you know, be careful, the vaccine will probably kill more people than the actual,
[55:20.000 --> 55:22.000]  and we had that with the swine flu shot in the 70s.
[55:22.000 --> 55:23.000]  That's right.
[55:23.000 --> 55:29.000]  And even not long ago, I think it was the H5N1 vaccine caused permanent brain damage
[55:29.000 --> 55:33.000]  and there were all kinds of all kinds of money paid out by the UK government
[55:33.000 --> 55:35.000]  to people who were damaged by that vaccine.
[55:35.000 --> 55:38.000]  Remember all the people that died like in the Czech Republic and stuff?
[55:38.000 --> 55:40.000]  They had like thousands died when they gave them that shot.
[55:40.000 --> 55:43.000]  Yeah. Yeah, the vaccine could be very dangerous.
[55:43.000 --> 55:46.000]  It probably won't work because the mutation rate is so high.
[55:46.000 --> 55:55.000]  But we know, like you said from the NIH, Zinc interferes with what's called the RNA transcriptase function of viral replication in the body.
[55:55.000 --> 55:56.000]  Zinc blocks that.
[55:56.000 --> 55:59.000]  And so we have a zinc deficient population.
[55:59.000 --> 56:05.000]  And you know why so many of these young triathletes and really active people are dying from this coronavirus
[56:05.000 --> 56:07.000]  is because they're missing zinc, because they sweat it out.
[56:07.000 --> 56:09.000]  The more you exercise, the more you sweat out.
[56:09.000 --> 56:10.000]  Oh yeah, that's in big studies.
[56:10.000 --> 56:14.000]  Like you always hear about the marathon runner or the Ironman winner at 45 drops dead.
[56:14.000 --> 56:17.000]  That you run out of, that's in the literature.
[56:17.000 --> 56:20.000]  They know that they don't take enough minerals, boom, dead, because you run out of gas.
[56:20.000 --> 56:21.000]  Yeah, yeah.
[56:21.000 --> 56:24.000]  You have to replenish the minerals, especially if you're sweating a lot.
[56:24.000 --> 56:27.000]  If you're exercising a lot, you are probably mineral deficient.
[56:27.000 --> 56:34.000]  And minerals, they are the catalyst for all the enzymatic reactions in your body, protein synthesis, everything else, immune system function.
[56:34.000 --> 56:37.000]  If you don't have minerals, you're not even firing on all cylinders.
[56:37.000 --> 56:39.000]  And that's why this is crucial.
[56:39.000 --> 56:41.000]  And by the way, I'm hosting the fourth hour today.
[56:41.000 --> 56:43.000]  I'm going to be breaking more of this down there.
[56:43.000 --> 56:53.000]  Also talking about the food shortages that are coming, the economic implications of all of this, and also, again, how we solve this public health issue without giving up our liberties.
[56:53.000 --> 57:00.000]  And see, at first, Alex, I know I was pretty aggressive about let's lock things down right now to stop the spread.
[57:00.000 --> 57:03.000]  But since then, we've learned so much about what can work.
[57:03.000 --> 57:05.000]  I believe now we could end the lockdowns.
[57:05.000 --> 57:10.000]  We could restore all our liberties and beat this coronavirus all at the same time.
[57:10.000 --> 57:16.000]  And by the way, it came out on a TV five years ago that China was injecting their own population in trials with live coronavirus, trying to create a weapon.
[57:16.000 --> 57:18.000]  They knew how to treat this all along.
[57:18.000 --> 57:20.000]  So now we're getting a clear picture.
[57:20.000 --> 57:21.000]  Yeah, we are.
[57:21.000 --> 57:23.000]  Yeah, and the solutions are right at hand.
[57:23.000 --> 57:26.000]  The question is, Trump is surrounded by big pharma people.
[57:26.000 --> 57:29.000]  Will they let Trump even learn the truth about zinc?
[57:29.000 --> 57:30.000]  That's the question.
[57:30.000 --> 57:35.000]  Everybody's got to call the White House and send him the NIH link about zinc and viruses.
[57:35.000 --> 57:37.000]  Send the president the NIH link.
[57:37.000 --> 57:38.000]  Everybody should do it.
[57:38.000 --> 57:43.000]  We'll post the full NIH article on zinc at infowars.com right now.
[57:43.000 --> 57:46.000]  They'll probably tell us to take it down to the New York Times.
[57:46.000 --> 58:00.000]  When the globalist and the mainstream media and the big box stores, ZIG, WISAC, they've all been raising prices on high quality nutraceuticals and supplements because people are doing their own research and grabbing them off the shelves.
[58:00.000 --> 58:01.000]  Well, guess what?
[58:01.000 --> 58:05.000]  We've cut the prices on our bestselling products massively.
[58:05.000 --> 58:11.000]  And despite the fact that our iodine's selling out, X2 just did, X3 is going to 60% off.
[58:11.000 --> 58:14.000]  That's right, folks, even though it's about to sell out.
[58:14.000 --> 58:22.000]  Our amazing super blue fluoride-free toothpaste with the nano silver, the tea tree oil, and the iodine, it's still 50% off about to sell out.
[58:22.000 --> 58:33.000]  And then Real Red Pill, Real Red Pill Plus, the big multi-vitamin mineral with pregnant women and all that zinc, it's 50% off right now at infowarstore.com.
[58:33.000 --> 58:36.000]  And a bunch of other bestselling items are as well.
[58:36.000 --> 58:38.000]  So get your X3 before it sells out.
[58:38.000 --> 58:39.000]  60% off.
[58:39.000 --> 58:41.000]  Get your Real Red Pill Plus.
[58:41.000 --> 58:42.000]  50% off.
[58:42.000 --> 58:44.000]  Get Living Defense 40% off.
[58:44.000 --> 59:13.000]  DNA Force 50% off at infowarstore.com.
[59:14.000 --> 59:24.000]  Ultra 12 can help make DNA, help the body produce energy and blood cells, and support healthy nerve and brain cells.
[59:24.000 --> 59:33.000]  We're bringing Ultra 12 down 40% to make sure you get this product before we run out.
[59:33.000 --> 59:51.000]  Now you can finally upgrade your daily routine. Get Ultra 12 today at 40% off to support the infowarstore and experience true B12 power.
[59:51.000 --> 1:00:09.000]  You're listening to the Alex Jones Show.
[1:00:09.000 --> 1:00:22.000]  Well, I told you, eight weeks ago, the consensus by a lot of smart folks including ourselves, Dr. Francis Boyle, author of the U.S. Biological Weapons Law, became World Government Treaty.
[1:00:22.000 --> 1:00:34.000]  This is a CHICOM bio weapon that they released on purpose that reinfections a big problem, but it's designed to take out malnourished, the old and the sick.
[1:00:34.000 --> 1:00:40.000]  And you see the media that works for the globalists, the CHICOMs, publicly, and that's mainline information at the Pentagon.
[1:00:40.000 --> 1:00:50.000]  It's all over Fox News that you don't even call it the Lunon virus, that they don't want you to know that, hey, the cure for scurvy is vitamin C.
[1:00:50.000 --> 1:00:56.000]  Or, hey, if you don't get any sunlight, you're going to end up dying of a cold, you know, because no vitamin D, bye-bye.
[1:00:56.000 --> 1:01:03.000]  And they just don't want you to know all this, and they're trying to bully everyone into not talking about it.
[1:01:03.000 --> 1:01:11.000]  And guess what? The globalists, these governors, these media organizations that are getting paid off to try to bully Americans, they're doing it everywhere,
[1:01:11.000 --> 1:01:18.000]  to not talk about D3, vitamin C, to not talk about zinc, to not talk about hydroxychloroquine.
[1:01:18.000 --> 1:01:23.000]  They're still trying to shut people up talking about hydroxychloroquine because they want total panic, Mike.
[1:01:23.000 --> 1:01:25.000]  What else do you think's coming?
[1:01:25.000 --> 1:01:34.000]  Well, I think that if we need a nationwide project, maybe call it Project Zinc or something, to get the word out about this, I don't think we even need a vaccine,
[1:01:34.000 --> 1:01:41.000]  even if it worked. We don't even need a vaccine if we get zinc and vitamin D and masks out to everybody.
[1:01:41.000 --> 1:01:49.000]  The vaccine becomes irrelevant at that point. So, in fact, the way to beat the vaccine industry, Alex, is to get the word out about zinc and get America healthy
[1:01:49.000 --> 1:01:57.000]  and back to work again before the vaccine even comes into existence so they can't fudge the numbers and claim the vaccine caused the virus to go away,
[1:01:57.000 --> 1:02:01.000]  like they did with polio. It was all a lie. You know, the vaccine didn't do anything.
[1:02:01.000 --> 1:02:07.000]  The vaccine actually introduced more polio to the world. And in fact, the number one cause of polio today is the polio vaccine.
[1:02:07.000 --> 1:02:10.000]  They're going to do the same thing with coronavirus if we give them a chance.
[1:02:10.000 --> 1:02:15.000]  So we've got to get the word out about zinc, vitamin D3, hydroxychloroquine, and masks.
[1:02:15.000 --> 1:02:22.000]  Masks are the key. From now on, anybody writing on public transportation for the next few years needs to wear a mask.
[1:02:22.000 --> 1:02:27.000]  I know it's trouble, but look, there's going to be fashion masks coming out. There's going to be cool-looking masks.
[1:02:27.000 --> 1:02:32.000]  There's going to be bandana masks, all kinds of stuff. It's just going to become like wearing shoes or wearing pants.
[1:02:32.000 --> 1:02:39.000]  Everybody's going to be wearing masks. And that will help stop the spread of this, despite what the CDC says.
[1:02:39.000 --> 1:02:47.000]  Well, there's already so much particulate raining down from China through the jet stream, and there's already so much pollen and toxin now in our environment
[1:02:47.000 --> 1:02:51.000]  that I've thought about wearing a mask before just when I'm out hiking because of, well, I've done it before.
[1:02:51.000 --> 1:02:58.000]  I feel great when I hike, and I've literally, I've done this before, wore ski goggles during the winter because it's not too hot.
[1:02:58.000 --> 1:03:02.000]  When the oak pollen or the cedar pollen's coming out, it makes me sick.
[1:03:02.000 --> 1:03:07.000]  I've worn goggles and a mask to go on like a 10-mile hike, and I feel great when I do it.
[1:03:07.000 --> 1:03:11.000]  If I go out now with the oak out and do a hike, my eyes burn, my throat burns.
[1:03:11.000 --> 1:03:20.000]  Yeah, yeah. Well, the truth is the government's going to have to change what they've said about masks because the surgeon general, Adams, had said,
[1:03:20.000 --> 1:03:28.000]  stop buying masks. And so because the government agencies had disinformation about masks, they're going to now have to reverse that and teach people,
[1:03:28.000 --> 1:03:30.000]  no, masks are good, masks actually work.
[1:03:30.000 --> 1:03:35.000]  Oh, yeah, they've got the snopes saying you don't need masks, even though it's on record and that's what doctors wear and they're effective.
[1:03:35.000 --> 1:03:39.000]  But snopes is God, they said no. That snopes still says hydroxychloroquine's not good.
[1:03:39.000 --> 1:03:47.000]  Well, you know, again, we're fighting the disinformation agents of the world, which are mostly run by big pharma and globalists.
[1:03:47.000 --> 1:03:52.000]  Yeah, when you see something top-linked on Google now, folks, you can't trust it. That means it's a lie.
[1:03:52.000 --> 1:04:04.000]  Yeah, absolutely. And big tech, you know, we've got to talk about that another time, but big tech is getting people killed because big tech's censorship of the things that work is at full scale right now.
[1:04:04.000 --> 1:04:06.000]  Google and Facebook and YouTube and Twitter.
[1:04:06.000 --> 1:04:12.000]  Twitter is advocating Chinese propaganda while banning you and I from telling people about zinc.
[1:04:12.000 --> 1:04:18.000]  Please cover that first today when you do the fourth hour, because I want to cut that out and do an article on it and really make it big.
[1:04:18.000 --> 1:04:26.000]  Because you're right, big pharma is merging with big tech and now big tech is literally complicit and pure evil.
[1:04:26.000 --> 1:04:33.000]  They are. Big tech is getting people killed and big pharma is getting people killed and people are dying of ignorance and nutritional deficiencies.
[1:04:33.000 --> 1:04:42.000]  And we're going to have our liberties taken away because we're all locked down like nutritionally deficient slaves under a system that tells us to beg for a vaccine that might never work in the first place.
[1:04:42.000 --> 1:04:47.000]  And it's the left-pushing to take everybody's supplements away. True demonic monsters.
[1:04:47.000 --> 1:04:52.000]  NaturalNews.com, look forward to the fourth hour, Mike. I'll be watching. I'll be listening. Stay with us.
[1:04:52.000 --> 1:04:57.000]  We're going to take your calls, cover a ton of news and something special.
[1:04:57.000 --> 1:05:07.000]  We told you it was coming. We told you that use a virus to scare everyone into submission and set up martial law and quarantines and lockdowns and now it's here.
[1:05:07.000 --> 1:05:14.000]  And I'm here to tell you the rest of the story. Three things we all need to do. Pray to God for justice and seek his face and repent.
[1:05:14.000 --> 1:05:20.000]  Get politically active and wake others up to understand this is the world government, the castle society it's all being announced.
[1:05:20.000 --> 1:05:29.000]  And get prepared yourselves and boost your immune systems and get high quality food. And we're able to ship storeable food again.
[1:05:29.000 --> 1:05:37.000]  Our supplier has expanded their factories and now are able to take new wars. And it's not about this virus, folks. That's only the trigger, the detonator.
[1:05:37.000 --> 1:05:42.000]  It's about what's coming in the future where the elections may be canceled, where the global is trying to implode the economy.
[1:05:42.000 --> 1:05:53.000]  This is just the beginning of the crisis, not the middle and not the end. So get prepared now while you still can at m4shore.com and please be Paul Revere's and spread the word.
[1:06:13.000 --> 1:06:14.000]  You make me feel cool.
[1:06:16.000 --> 1:06:17.000]  Walking in.
[1:06:18.000 --> 1:06:19.000]  Castle at night.
[1:06:20.000 --> 1:06:21.000]  Moon is rising.
[1:06:24.000 --> 1:06:26.000]  She was revered at the time of the distance.
[1:06:28.000 --> 1:06:29.000]  I cannot scare.
[1:06:31.000 --> 1:06:32.000]  She's been here before.
[1:06:34.000 --> 1:06:35.000]  It was a dream.
[1:06:36.000 --> 1:06:37.000]  It was a miracle.
[1:06:37.000 --> 1:06:39.000]  A policy of truth.
[1:06:41.000 --> 1:06:42.000]  But I do.
[1:06:43.000 --> 1:06:44.000]  I love it.
[1:06:44.000 --> 1:06:45.000]  Never again.
[1:06:46.000 --> 1:06:47.000]  It's what you said.
[1:06:48.000 --> 1:06:49.000]  The time before.
[1:06:56.000 --> 1:06:57.000]  The time before.
[1:07:00.000 --> 1:07:02.000]  Welcome back, ladies and gentlemen.
[1:07:02.000 --> 1:07:06.000]  Broadcasting worldwide. All right, let me tell you what's going down.
[1:07:07.000 --> 1:07:13.000]  I want to take your phone calls starting exactly when we go to the bottom of the hour and come back at break at 33 after.
[1:07:14.000 --> 1:07:20.000]  And I'm going to give each caller about a minute or I'll never get to everybody.
[1:07:20.000 --> 1:07:26.000]  The problem is that it's like a guy. I'm exposing a secret cloning operation or I'm calling from Europe.
[1:07:26.000 --> 1:07:32.000]  This is like I have to show my ID three times or go to the grocery store.
[1:07:32.000 --> 1:07:35.000]  I mean, it's amazing calls, but then we never get to all the other amazing calls.
[1:07:35.000 --> 1:07:37.000]  So somehow you've got to just give a sure amount of information.
[1:07:37.000 --> 1:07:38.000]  Tell us what's happening.
[1:07:38.000 --> 1:07:39.000]  We'll go to the next person.
[1:07:41.000 --> 1:07:45.000]  I mean, because I respect you and I want to hear you and I don't want to have you on hold for an hour.
[1:07:45.000 --> 1:07:54.000]  877-789-ALAX-877-789-2539 or US country code 512-646-1776.
[1:07:54.000 --> 1:07:57.000]  A lot of folks ask, why do you have a toll number?
[1:07:57.000 --> 1:08:03.000]  A lot of folks have internet phones that are free for them, basically, and they can't call one hundred numbers.
[1:08:03.000 --> 1:08:04.000]  So we have that for you.
[1:08:04.000 --> 1:08:13.000]  US country code 512-646-1776-877-789-ALAX and we'll get you up and on the air.
[1:08:13.000 --> 1:08:19.000]  And it's free for all longtime callers, first-time callers, but you do get just one momento.
[1:08:19.000 --> 1:08:27.000]  Uno momento.
[1:08:27.000 --> 1:08:36.000]  This is something that I don't really get into very much because I see it overall as a tar baby,
[1:08:36.000 --> 1:08:45.000]  but I've had a lot of time studying it and I know what it is.
[1:08:45.000 --> 1:08:53.000]  And it doesn't mean the whole thing's bad, but in the main, what it does is destructive in the end.
[1:08:53.000 --> 1:09:03.000]  There are a lot of people I respect and like that are really into it because it's a style.
[1:09:03.000 --> 1:09:06.000]  And I notice it's something that the media attacks a little, but they don't censor it.
[1:09:06.000 --> 1:09:09.000]  They don't block it.
[1:09:09.000 --> 1:09:15.000]  And I personally talk to the president.
[1:09:15.000 --> 1:09:19.000]  I personally talk to a lot of other people in government and I really do have amazing sources,
[1:09:19.000 --> 1:09:25.000]  but I have my own analysis that most of the time they tune in for.
[1:09:25.000 --> 1:09:31.000]  But there's something about a fortune hunt.
[1:09:31.000 --> 1:09:35.000]  There's something about a puzzle.
[1:09:35.000 --> 1:09:44.000]  Further in the back of the newspaper, about billions of years sold in booklets of crosswords and the rest of it.
[1:09:44.000 --> 1:09:48.000]  Because it makes people feel like they're in this magic intrigue.
[1:09:48.000 --> 1:09:52.000]  So I always thought we'd just wake everybody up and we'd defeat the new world order.
[1:09:52.000 --> 1:10:01.000]  But you see, they've got ways to create their own larping cosmologies, live-action role play.
[1:10:01.000 --> 1:10:10.000]  And it just soaks up the energy and the immediacy of everything.
[1:10:10.000 --> 1:10:16.000]  So someone you don't know who you are, you never talk to them, there's no proof, but you trust the plan.
[1:10:16.000 --> 1:10:24.000]  And as one goes, we all go, and all this stuff you'd imagine in a cult, you'd be chanting.
[1:10:24.000 --> 1:10:28.000]  The video is up at Bandot Video as the featured video.
[1:10:28.000 --> 1:10:31.000]  It's also at infowords.com and newswords.com.
[1:10:31.000 --> 1:10:36.000]  And it's a very good report that Greg Reese has put together called Trust the Plan.
[1:10:36.000 --> 1:10:39.000]  And just because people buy into it, they then think it's good.
[1:10:39.000 --> 1:10:41.000]  Well, you're good.
[1:10:41.000 --> 1:10:43.000]  And you can do some good waking people up.
[1:10:43.000 --> 1:10:47.000]  I've been ambivalent about the whole cute thing, because I know at its core it's a sigh-up.
[1:10:47.000 --> 1:10:49.000]  But we could take it over.
[1:10:49.000 --> 1:10:57.000]  It's good to get people researching, but if they research things that are proven like...
[1:10:57.000 --> 1:10:59.000]  Disease X.
[1:10:59.000 --> 1:11:01.000]  Event 201.
[1:11:01.000 --> 1:11:02.000]  Lockstep.
[1:11:02.000 --> 1:11:03.000]  Rockefeller Project.
[1:11:03.000 --> 1:11:05.000]  She said part memorandum 200.
[1:11:05.000 --> 1:11:06.000]  Club of Rome.
[1:11:06.000 --> 1:11:07.000]  1968.
[1:11:07.000 --> 1:11:09.000]  Depopulation agenda.
[1:11:09.000 --> 1:11:10.000]  I mean, these are real things.
[1:11:10.000 --> 1:11:12.000]  You go to the library and read, read online.
[1:11:12.000 --> 1:11:14.000]  You can read EcoScience.
[1:11:14.000 --> 1:11:15.000]  1974.
[1:11:15.000 --> 1:11:17.000]  John P. Holdren.
[1:11:17.000 --> 1:11:20.000]  Plan for World Government Sterilization.
[1:11:20.000 --> 1:11:22.000]  White House Science Art.
[1:11:22.000 --> 1:11:24.000]  35 years later.
[1:11:24.000 --> 1:11:26.000]  37 years later.
[1:11:26.000 --> 1:11:32.000]  I mean, that's all me and potatoes.
[1:11:32.000 --> 1:11:34.000]  I'll just get to it now.
[1:11:34.000 --> 1:11:36.000]  I said I'd do it next time, but that's what I have to do.
[1:11:36.000 --> 1:11:38.000]  I say I'm going to get to something, and then I get to it right then.
[1:11:38.000 --> 1:11:39.000]  Then I'll get to all the other news.
[1:11:39.000 --> 1:11:45.000]  Then your calls.
[1:11:45.000 --> 1:11:50.000]  I talk to people who I've known, and they come over real satisfied on the street.
[1:11:50.000 --> 1:11:52.000]  And they just go, oh, yeah, sure.
[1:11:52.000 --> 1:11:54.000]  You're not at the Q level or whatever.
[1:11:54.000 --> 1:12:01.000]  And I'm sitting there knowing that what I write when I say gets taken and put into the president's speeches.
[1:12:01.000 --> 1:12:05.000]  You know, the president calls my wife up and says, man, your husband's a real man.
[1:12:05.000 --> 1:12:07.000]  He's got a lot of courage when he's going through.
[1:12:07.000 --> 1:12:10.000]  The president personally told me, don't back down.
[1:12:10.000 --> 1:12:11.000]  You're real.
[1:12:11.000 --> 1:12:12.000]  I'm real.
[1:12:12.000 --> 1:12:13.000]  Men like us know the truth.
[1:12:13.000 --> 1:12:14.000]  The destiny of America.
[1:12:14.000 --> 1:12:16.000]  Press the attack.
[1:12:16.000 --> 1:12:21.000]  And that's on record that Kelly freaked out that Trump and I were talking all the time
[1:12:21.000 --> 1:12:25.000]  and stoned and all the rest of it, and I get contacts from the president, got one last week,
[1:12:25.000 --> 1:12:29.000]  had a top national talk show, was called up and talked about the president and the analysis
[1:12:29.000 --> 1:12:32.000]  and what we're doing yesterday.
[1:12:32.000 --> 1:12:38.000]  That's real.
[1:12:38.000 --> 1:12:44.000]  And I run into cousins and people that just look all satisfied.
[1:12:44.000 --> 1:12:46.000]  They go, oh, well, sure.
[1:12:46.000 --> 1:12:51.000]  Or I see, like I've seen a few videos where you'll see these delusional crazy looking people.
[1:12:51.000 --> 1:12:54.000]  They go, I used to like Alex Jones, but now I'm with the president.
[1:12:54.000 --> 1:12:56.000]  And I know Jones is an Israeli spy.
[1:12:56.000 --> 1:12:59.000]  What the hell does that mean?
[1:12:59.000 --> 1:13:03.000]  Trump is moving the U.S. embassy to Jerusalem pro-Israel.
[1:13:03.000 --> 1:13:05.000]  I'm not against Israel either.
[1:13:05.000 --> 1:13:07.000]  But I've got some criticism of Israel.
[1:13:07.000 --> 1:13:10.000]  And a lot of the leftist Jewish lobby attacks me.
[1:13:10.000 --> 1:13:15.000]  But that's another fake Qism is that I work for Israel.
[1:13:15.000 --> 1:13:21.000]  I am the most proud of the fact that I am totally independent and a maverick
[1:13:21.000 --> 1:13:27.000]  and have created the modern talking points that were adopted by the president and his speech writers
[1:13:27.000 --> 1:13:29.000]  as the relaunch of America.
[1:13:29.000 --> 1:13:30.000]  So let me just explain something.
[1:13:30.000 --> 1:13:34.000]  The reason you see me attacked everywhere and the reason they're suing me and trying to kill me
[1:13:34.000 --> 1:13:38.000]  and trying to set me up and somebody doxed my house yesterday and called in a fake police report
[1:13:38.000 --> 1:13:43.000]  and all the rest of it is because I'm Godzilla tearing up the New World Order.
[1:13:43.000 --> 1:13:46.000]  Let me just explain how this is.
[1:13:46.000 --> 1:13:48.000]  But see, I've never really said that to people.
[1:13:48.000 --> 1:13:50.000]  It's a fact.
[1:13:50.000 --> 1:13:58.000]  Infowars is the New World Order executor because we have the giant audience of Americans
[1:13:58.000 --> 1:14:07.000]  of every race, color and creed who bleed red blood and love freedom.
[1:14:07.000 --> 1:14:13.000]  We've changed the world 1776 worldwide infiltrating Bohemian Grove, confronting the globalist,
[1:14:13.000 --> 1:14:20.000]  exposing the eugenics, exposing Jeffrey Epstein 14 years ago, all the things we've done,
[1:14:20.000 --> 1:14:25.000]  all the guests, all the info, all the information, the fighting, the battling,
[1:14:25.000 --> 1:14:31.000]  and then to sit there and watch people who...
[1:14:31.000 --> 1:14:34.000]  My biggest problem with the Q people is it's always, you know,
[1:14:34.000 --> 1:14:37.000]  crazies thinking they're on a secret mission with internet trolls manipulating them.
[1:14:37.000 --> 1:14:44.000]  And a lot of it is just people doing it for the fun of manipulating folks.
[1:14:44.000 --> 1:14:49.000]  And then it just becomes a big internet scam of mental illness to see who they can manipulate
[1:14:49.000 --> 1:14:51.000]  and control and all this.
[1:14:51.000 --> 1:14:53.000]  And then a woman holds up a baby with a Q on its back.
[1:14:53.000 --> 1:14:56.000]  It's 60 yards away. The president can't even see what's going on.
[1:14:56.000 --> 1:14:58.000]  They go, look, the Q is there. He just signed on to it.
[1:14:58.000 --> 1:15:01.000]  It's the total proof. A sheriff's deputy has a Q on him.
[1:15:01.000 --> 1:15:04.000]  And the sheriff's deputies are wanting to be part of an American Revolution like Fight Club.
[1:15:04.000 --> 1:15:07.000]  They're wanting to come and be in the club with the president.
[1:15:07.000 --> 1:15:13.000]  And then the vice president is with a sheriff's deputy in Florida with a Q on his deal,
[1:15:13.000 --> 1:15:19.000]  and the vice president deletes it because they know and don't want to be part of it.
[1:15:19.000 --> 1:15:24.000]  But then the president tweets, my reporters and myself, while they're telling him not to,
[1:15:24.000 --> 1:15:28.000]  this year and last year, people go, that means nothing when the president tweets you.
[1:15:28.000 --> 1:15:31.000]  It means nothing when you have Robert Barnes on and messages the president,
[1:15:31.000 --> 1:15:34.000]  and the president tweets that tweet and that show. That's nothing.
[1:15:34.000 --> 1:15:38.000]  Talking to the president, the president calling your wife up, telling her how great you are,
[1:15:38.000 --> 1:15:44.000]  none of that matters because I am not God Q, the master of the universe.
[1:15:44.000 --> 1:15:59.000]  When they come back, I'll play the report on Trust the Plan.
[1:16:15.000 --> 1:16:21.000]  From China and Italy, it's that quarantines and enforced lockdowns are just a few days away here in the U.S.
[1:16:21.000 --> 1:16:29.000]  Listen, while dehydrated food is becoming scarce, you can still get enough open pollinated heirloom seeds to grow a one-acre crisis garden.
[1:16:29.000 --> 1:16:36.000]  The truth is, growing nutrient-dense vegetables in the days ahead may actually be the single most important thing you do.
[1:16:36.000 --> 1:16:41.000]  Go to survivalseedbank.com and watch the new video to understand the nature of the threat.
