[00:00.000 --> 00:29.700]  This is the GCN Radio Network.
[30:47.700 --> 31:13.700]  And growing your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee and tobacco. With detailed growing guides available to you at no charge, you can maximize your harvest and investment. And the best part? All orders ship within 24 hours. So head over to organicaseed.com. That's O-R-G-A-N-I-C-A seed.com. Organicaseed.com today.
[31:13.700 --> 31:28.700]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins or herbal supplements? Did you know that most skin creams, body lotions, shampoos and toothpaste are full of chemical additives such as sodium laurel sulfate, the same type of detergent used in dish soap?
[31:28.700 --> 31:44.700]  Did you know that most moldy vitamin supplements are made from synthetic vitamins? Did you know that many herbal remedies contain unwanted additives and fillers? Have you ever tested your body's pH level? Make the change to only organic health and beauty products. Visit 2BNatural.com in order today.
[31:44.700 --> 31:59.700]  2BNatural.com carries 100% natural and chemical free skincare, whole food vitamins, herbal remedies and alkaline body balance supplement. Visit 2BNatural.com. That's 2BNatural.com.
[31:59.700 --> 32:13.700]  2BNatural.com. Use Kupanko GCN and receive a 10% discount. Call 1-888-417-1375. That's 1-888-417-1375 to order or request your free catalog today.
[32:13.700 --> 32:23.700]  With food prices soaring to all time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh nutritious vegetables will make it to your dinner table?
[32:23.700 --> 32:34.700]  Garden in a can. Garden in a can is your source for premium long term storeable seeds. Garden in a can is ready when you are. Plant them now or store them for when you really need them.
[32:34.700 --> 32:43.700]  There are 16 large hermetically sealed non-hybrid open pollinated packets of seeds along with detailed planting instructions sealed in a can for ultimate long term protection.
[32:43.700 --> 32:54.700]  Garden in a can. It's that simple, fresh, healthy, easy. Only $69.95 for over a half acre of safe fresh vegetables ready when you are.
[32:54.700 --> 33:11.700]  Stop procrastinating and start preparing with Garden in a Can. For more details visit Gardeninacan.com today. That's Gardeninacan.com or call 866-598-7396-866-598-7396.
[33:25.700 --> 33:31.700]  Waging war on corruption. Crashing through the lies and disinformation.
[33:31.700 --> 33:45.700]  We're here every Sunday, 4 to 6 p.m. Central Standard Time. So much news that I don't just do four hours a day, Monday through Friday. I come in and do the Sunday show.
[33:45.700 --> 33:54.700]  All right, I want to go to your phone calls. Loaded phones here, but you can call in after you hear a call or hang up at 877-590-5525.
[33:54.700 --> 34:03.700]  Going to go to the Mojave, Alaska, Indiana, California, Austin, Indiana, you name it. But before we do that, see it's simple in psychological warfare.
[34:03.700 --> 34:14.700]  As the globalist for setting up world government, the IMF, the World Bank, the World Trade Organization, having Congress sign away its authority, other nations sign away their authority, having Europe sign away their authority to these unelected global bodies.
[34:14.700 --> 34:21.700]  They would say it doesn't exist. It's not happening. There's no plan for a new order. There's no plan for a carbon tax.
[34:21.700 --> 34:29.700]  And then there's a lot of people in society that if the establishment says something isn't kosher or proper to talk about, they won't discuss it.
[34:29.700 --> 34:37.700]  Now the establishment comes out and admits they're setting up world government but says it's the solution to the global meltdown caused by the global central banks.
[34:37.700 --> 34:44.700]  But they say the global central banks will fix it all if we just give up all of our freedoms to them, a new bank of the world.
[34:44.700 --> 34:50.700]  And they're publicizing it as a global new deal, a giant power grab.
[34:50.700 --> 34:56.700]  And so a lot of people, even though it's now admitted that world government's real, the New World Order's real, that it's tyrannical.
[34:56.700 --> 35:04.700]  I mean, the Times of London, Sunday Times wrote a big story and now for world government and said, yeah, it's been secret. Yeah, it's tyrannical, but it's for your own interest.
[35:04.700 --> 35:13.700]  We kept it secret. And then I still have people writing news articles about me attacking me saying it doesn't exist. Folks, they're treating you like children, like idiots.
[35:13.700 --> 35:23.700]  Powerful men and groups always want to dominate. The globalists are just offshore pirates that are outside nations' rules that control the nations through their bureaucracy, through their lobbyists,
[35:23.700 --> 35:30.700]  and who use those tools to implode those nations' wealth and transfer it offshore. That's what the New World Order is.
[35:30.700 --> 35:38.700]  Coming up, Democrats introduced public national service bills, forced national service bills. That is coming up.
[35:38.700 --> 35:53.700]  Also, BBC, more seeds for doomsday vault. They've got giant U.N. bases all over the world, including the Arctic, filled with tens of thousands of varieties of heirlooms' seeds.
[35:53.700 --> 36:02.700]  They know what their genetic engineering is doing. And that dovetails with this story. Later, I'll tell you how, out of the statesmen, Texans unknowingly donate children's blood to research.
[36:02.700 --> 36:11.700]  Well, yeah, every major industrialized nation for 36 years secretly takes the child's blood and puts it in a legal DNA database.
[36:11.700 --> 36:19.700]  Australia, England, and Canada are now announcing they're going to use the legal database to keep a DNA database on everyone for crimes.
[36:19.700 --> 36:28.700]  Just amazing. Just to show you how stealthily they did this. And I was the coop talking about it 13 years ago. Now, it's mainstream news.
[36:28.700 --> 36:38.700]  Also, on usaservice.org, Obama's private, but it has government funding, volunteer national service, his little stasi force.
[36:38.700 --> 36:46.700]  They have all these gun buyback programs. And one of them was in Dallas. Dallas Heights turned into 147 guns in exchange for grocery cards.
[36:46.700 --> 36:55.700]  That sells the image that guns are evil, guns are bad. They have the local newscast showing people handing their guns in, acclimating the public for national gun confiscation.
[36:55.700 --> 37:03.700]  That happened in England, Australia, and other countries that did ban guns. This is a shaken-bake operation. This is a recipe that's being followed.
[37:03.700 --> 37:11.700]  Let's go to Barron in Mojave Desert. Is that in Mexico or the U.S.? We'll find out. Barron, good to have you calling. What's on your mind?
[37:11.700 --> 37:21.700]  Not much. It's in the United States. It's in the Mojave Desert west Nevada, but about 75 degrees. It wasn't for the chemicals falling on me.
[37:21.700 --> 37:30.700]  There goes his call. Didn't let him go. He hung up. I'm not able to drop this call for some reason. Okay, there. I was able to drop it.
[37:30.700 --> 37:36.700]  Let's go to Paul in California. He says he disagrees, so he goes ahead of the line. Paul, you're on the air.
[37:36.700 --> 37:37.700]  Hey, Alex.
[37:37.700 --> 37:38.700]  Hi.
[37:38.700 --> 37:39.700]  How are you doing?
[37:39.700 --> 37:40.700]  I'm all right. Go ahead and disagree, sir.
[37:40.700 --> 37:49.700]  Okay, yeah. It's already too late. We're in such a downward spiral. The snowball is out of control.
[37:49.700 --> 37:57.700]  The only way that we can win this is if the government, the federal government, was closed down completely, but that's never going to happen.
[37:57.700 --> 38:06.700]  So my question to you is, what are you personally doing for protection? Okay, I know you have done. I'm talking about land.
[38:06.700 --> 38:16.700]  What are you? Are you planning on moving? When? Last week when our bell was on his show, he mentioned something that he's taking precautions.
[38:16.700 --> 38:20.700]  And then the guy doesn't say what he's actually doing. You follow me?
[38:20.700 --> 38:23.700]  No, I've got the questions. It's a two-parter.
[38:23.700 --> 38:32.700]  Number one, what did Colonel William Travis at the Alamos say just days after he dropped off his son with my family in central Texas?
[38:32.700 --> 38:36.700]  You know, my family, the heirs on my mom's side raised Colonel Travis. I'm proud of that fact.
[38:36.700 --> 38:41.700]  He wrote a letter out saying we've all decided to stand and fight and victory or death.
[38:41.700 --> 38:49.700]  So in the Info War, I'm not going anywhere. I'm staying here. I'm defending. And I know we have a chance to defeat the New World Order.
[38:49.700 --> 38:56.700]  How am I preparing? I thank God from the Mexican land grants in 1829. We still have some property in East Texas.
[38:56.700 --> 39:02.700]  And if I have to, we've got a place I can go to there. I also have a small piece of land out in the German Hill Country out by Fredericksburg,
[39:02.700 --> 39:05.700]  a very small piece where I can go to if I have to, if society totally breaks down.
[39:05.700 --> 39:10.700]  As the feds are hoping it will, we can stop that if we can stop them from continuing their banker takeover.
[39:10.700 --> 39:16.700]  They'll give us no quarter. They do this in third-world countries all the time. Look at Argentina and 2,000 folks who don't know what's happening.
[39:16.700 --> 39:22.700]  I do have the Second Amendment to defend myself. I do, of course, have storable food, things like that.
[39:22.700 --> 39:31.700]  But that's just my insurance policy. I am proactively trying to rally the people to believe that we can defeat this New World Order.
[39:31.700 --> 39:36.700]  Now, here's a story that's up on infowars.com.
[39:36.700 --> 39:41.700]  Majority of U.S. states join sovereignty movement, assert 10th Amendment rights.
[39:41.700 --> 39:48.700]  And if you read the bill in Texas, the bills in New Hampshire and the bills in Colorado and the bill they've just passed in Oklahoma out of the house,
[39:48.700 --> 39:52.700]  and other states are passing it, they say, you feds, you cannot ban any more guns.
[39:52.700 --> 39:55.700]  We're just nullifying your anti-gun bills.
[39:55.700 --> 39:59.700]  You can't put us in FEMA camps and they list the FEMA camps that have been built.
[39:59.700 --> 40:03.700]  People now know this is real. Not just Alex crying in the wilderness here.
[40:03.700 --> 40:06.700]  They say you're not going to have forced national conscription or service.
[40:06.700 --> 40:11.700]  The states created the federal government.
[40:11.700 --> 40:14.700]  The states created it under the Constitution.
[40:14.700 --> 40:19.700]  They reconvened it under the Declaration of Independence, Constitution Bill of Rights, 9th and 10th Amendment.
[40:19.700 --> 40:21.700]  The states created the feds.
[40:21.700 --> 40:29.700]  That's why you see all this worship of the feds and how the feds are king and how great Lincoln is on the news to sell people on the idea they've got to put down a rebellion.
[40:29.700 --> 40:34.700]  The Pentagon, the Army War College says Northcom is a military jurisdiction over the U.S.
[40:34.700 --> 40:38.700]  set up for the design collapse of the U.S. to bring us into the New World Order.
[40:38.700 --> 40:42.700]  I mean, I've written all these articles linked to the Army War College, linked to their public directives.
[40:42.700 --> 40:45.700]  This is public. No more denying it.
[40:45.700 --> 40:55.700]  The military, just like a third world nation, is to be used as a rearguard to make the people stand down when the globalists extract our pension funds, our money at the barrel of a gun.
[40:55.700 --> 41:00.700]  But as riots break out, they're going to sell us on that it's a good idea.
[41:00.700 --> 41:08.700]  It'll look good. The military will quell riots at first to set the precedent to sell everybody that that's how we stay safe.
[41:08.700 --> 41:13.700]  So the answer is, what does Northcom say? What does the John War Defense Authorization Act say?
[41:13.700 --> 41:15.700]  What does P&E 51 say?
[41:15.700 --> 41:21.700]  It says that not just the presidency is a dictatorship, but the Congress has no authority federally.
[41:21.700 --> 41:24.700]  Well, that's treason. That's ridiculous. The Congress is above the president.
[41:24.700 --> 41:28.700]  Not just co-equal. If you read the founding fathers statements and the record.
[41:28.700 --> 41:34.700]  Not just co-equal, but above. Well, they're saying that no, Congress under the president and the National Security Council,
[41:34.700 --> 41:40.700]  the mainline senators are now coming out and saying that this is a Pentagon power grab.
[41:40.700 --> 41:45.700]  The West Virginia, Senator Byrd of all people is saying it's a Pentagon takeover.
[41:45.700 --> 41:50.700]  It is, ladies and gentlemen, this happens 99% of the time in other countries.
[41:50.700 --> 41:56.700]  I have a Council on Foreign Relations meeting that was public with top professors reading out of the Army War College
[41:56.700 --> 42:00.700]  about how they're going to have a military coup in the United States in the next three years.
[42:00.700 --> 42:04.700]  I'm going to get a guest on about that this week. I mean, that's up on infowars.com right now.
[42:04.700 --> 42:10.700]  This is being discussed everywhere. And the fact is that people are waking up means we can stop it.
[42:10.700 --> 42:14.700]  So we don't go out and start shooting. We don't go out and start fighting.
[42:14.700 --> 42:17.700]  The military is waking up. Those that aren't illegal aliens and felons.
[42:17.700 --> 42:21.700]  Literally, that's who they're hiring. The police are waking up all over the place.
[42:21.700 --> 42:24.700]  Sheriffs are waking up. Grand juries are waking up.
[42:24.700 --> 42:30.700]  And the states are saying we're not going along with offshore banks coming in through the federal government
[42:30.700 --> 42:36.700]  and fully taking over the United States. Okay?
[42:36.700 --> 42:41.700]  So this is very, very exciting.
[42:41.700 --> 42:48.700]  Now, the feds are pulling all sorts of scams like Bill seeks to withhold highway funds to states who don't comply with real ID.
[42:48.700 --> 42:51.700]  That's a world ID, a federal ID.
[42:51.700 --> 42:54.700]  So, see, they're trying to put pressure on the states. It's treason.
[42:54.700 --> 42:57.700]  You have to get to your legislatures. You have to get involved.
[42:57.700 --> 43:03.700]  You have to tell the truth about what's happening because what's happening is so off the charts corrupt, so off the charts evil
[43:03.700 --> 43:09.700]  that if we just expose how bad it is, they'll never get away with it. Many coups fail.
[43:09.700 --> 43:13.700]  We'll be right back. Stay with us. More of your calls straight ahead.
[43:13.700 --> 43:25.700]  Phase one of the insider's plan for a one world government has been initiated with the recent bailout. International bankers and power brokers have engineered the current crisis to create a new currency and a new world bank to act as saviour.
[43:25.700 --> 43:31.700]  But we've only seen the beginning. Their next engineered crisis will be on a scale never before seen in modern times.
[43:31.700 --> 43:35.700]  Shortages and empty shelves will spread fear and panic across the land.
[43:35.700 --> 43:39.700]  The insiders have discovered that they must control two things to seize total power.
[43:39.700 --> 43:43.700]  Phase one is a one world currency which we are currently being prepared to accept.
[43:43.700 --> 43:47.700]  Phase two of their insidious plan is complete control of our food supplies.
[43:47.700 --> 43:52.700]  Go to www.foodshortageusa.com for the details.
[43:52.700 --> 43:58.700]  That's www.foodshortageusa.com to learn how to prepare for the unthinkable.
[43:58.700 --> 44:03.700]  Don't wait for empty shelves. Learn how to make your own survival foods for pennies on the dollar.
[44:03.700 --> 44:13.700]  Go to www.foodshortageusa.com or call 877-327-0365. That's 877-327-0365.
[44:33.700 --> 44:38.700]  Live big on British chemical suits only twelve dollars, Israeli gas masks twenty dollars,
[44:38.700 --> 44:42.700]  trigger finger gloves five dollars a pair or thirty six dollars a dozen,
[44:42.700 --> 44:46.700]  snowshoe binding for eight dollars or forty eight dollars a dozen and so much more.
[44:46.700 --> 44:50.700]  Even hard to find surplus items all at surplus prices.
[44:50.700 --> 44:55.700]  Preparing the whole family has never been so affordable at www.mainmilitary.com.
[44:55.700 --> 45:00.700]  www.mainmilitary.com, one of the last surviving true surplus stores in the country.
[45:00.700 --> 45:13.700]  Stop now at www.mainmilitary.com or call 877-608-0179. That's 877-608-0179 today.
[45:13.700 --> 45:17.700]  What are you going to do if your family has no food in the event of an emergency?
[45:17.700 --> 45:20.700]  Do you really want to find out and gamble with your family's lives?
[45:20.700 --> 45:24.700]  Order a one-year supply that will feed four to five people for only thirty nine ninety five.
[45:24.700 --> 45:28.700]  That's right, a one-year supply for under four thousand dollars from www.yourfoodstorage.com.
[45:28.700 --> 45:31.700]  We've been helping families prepare for more than a decade.
[45:31.700 --> 45:33.700]  Order now and receive free shipping anywhere in the lower forty eight.
[45:33.700 --> 45:43.700]  Remember www.yourfoodstorage.com or call 888-814-0289. That's 888-814-0289 www.yourfoodstorage.com.
[45:43.700 --> 45:44.700]  Wondering about your retirement portfolio?
[45:44.700 --> 45:49.700]  Is your financial advisor experienced enough to combat rising interest rates, taxes and inflation?
[45:49.700 --> 45:52.700]  Stop guessing and go to the expert Robert Chapman of the International Forecaster.
[45:52.700 --> 45:57.700]  With forty five years of experience and concise investment recommendations, who needs sugar coated excuses?
[45:57.700 --> 46:02.700]  Get the cold hard facts and a proven investment strategy for a free introductory copy to the International Forecaster
[46:02.700 --> 46:07.700]  Call 877-479-8178 or go to theinternationalforecaster.com.
[46:07.700 --> 46:13.700]  That's 877-479-8178. 877-479-8178.
[46:13.700 --> 46:16.700]  The United States is bankrupt and the bankers want you bankrupt also.
[46:16.700 --> 46:20.700]  How would you like to be debt free in ninety days guaranteed?
[46:20.700 --> 46:27.700]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[46:27.700 --> 46:33.700]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens
[46:33.700 --> 46:35.700]  and you won't pay one dime to creditors.
[46:35.700 --> 46:39.700]  With Debt Crisis Solutions program, you'll also restore your credit history
[46:39.700 --> 46:43.700]  and be protected from legal action without making one more payment to creditors.
[46:43.700 --> 46:49.700]  DebtCrisisSolutions.com specializes in credit report restoration, preventing wage garnishment in bank levies,
[46:49.700 --> 46:53.700]  liens and judgments. Doing nothing doesn't make the debt go away.
[46:53.700 --> 46:56.700]  Become debt free in ninety days guaranteed.
[46:56.700 --> 47:02.700]  Call Debt Crisis Solutions now for a free consultation at 718-615-0123.
[47:02.700 --> 47:09.700]  That's 718-615-0123 or visit them online at DebtCrisisSolutions.com.
[47:09.700 --> 47:13.700]  That's DebtCrisisSolutions.com today.
[47:15.700 --> 47:18.700]  Thank you for listening to GCN.
[47:18.700 --> 47:22.700]  Be sure to visit GCNLive.com today.
[47:28.700 --> 47:34.700]  Disposable heroes, ladies and gentlemen, the master of puppets.
[47:34.700 --> 47:41.700]  You know, a piece of cheese on a bounce trap looks really good to a mouse or a rat.
[47:41.700 --> 47:45.700]  That's all these kids rockin' three doors down and all this Pentagon propaganda.
[47:45.700 --> 47:51.700]  They're now reporting 40 plus million dollars a year is going to be spent domestically, internationally,
[47:51.700 --> 47:56.700]  brainwashing the American people, building up the military, paying for rock stars and movie stars
[47:56.700 --> 48:02.700]  and movies to have product placement in them, selling the military as God.
[48:02.700 --> 48:07.700]  Let me give you a newsflash. You're not in a free society when there's giant military ads everywhere
[48:07.700 --> 48:13.700]  and troops marching around in any excuse for troops to be in your life.
[48:13.700 --> 48:17.700]  They are gearing up for a total takeover of the U.S.
[48:17.700 --> 48:23.700]  Well, you just think we could have this giant force and it wouldn't be used by interesting government to take over?
[48:23.700 --> 48:29.700]  George Washington twice was almost overthrown during a revolutionary war
[48:29.700 --> 48:37.700]  because his men and his generals wanted to have a coup d'etat and basically become kings.
[48:37.700 --> 48:44.700]  And it happened right when they won the war as well. And then it happened right after he left the presidency.
[48:44.700 --> 48:49.700]  And militias had to march on the Capitol to say, we're not going to have a dictatorship.
[48:49.700 --> 48:52.700]  That's mainline history.
[48:52.700 --> 48:56.700]  Let me tell you, the people running our society today are no George Washington's.
[48:56.700 --> 49:01.700]  They will not turn down the power. They will not leave after eight years and go back to their farm.
[49:01.700 --> 49:06.700]  You understand that? You understand that?
[49:06.700 --> 49:11.700]  All right, let's go back to your phone calls here. Let's talk to Don and Indiana. Don, you're on the air.
[49:11.700 --> 49:13.700]  Hey, Comrade Alex, how are you?
[49:13.700 --> 49:15.700]  Comrade, yes.
[49:15.700 --> 49:21.700]  Hey, I got to just remember back in the Clinton era, you know, this tax cut where I got to keep $3 out of my check each week.
[49:21.700 --> 49:26.700]  It's 156 here, but at the end of the year I had to pay 450 back, you know.
[49:26.700 --> 49:31.700]  I was in the Evansville, Indiana yesterday and they've got these new electronic billboards everywhere.
[49:31.700 --> 49:37.700]  One ad is a commercial, next ad is a wanted poster for somebody, and a commercial than a wanted poster.
[49:37.700 --> 49:43.700]  And also in the London Times deal, you know, the nuke in the U.S. on 620.
[49:43.700 --> 49:54.700]  If you do 620, 2009 to 2000, or excuse me, to 1220, 2012, it's exactly three and a half years because they move it into the second tribulation.
[49:54.700 --> 49:55.700]  That's all I got.
[49:55.700 --> 49:57.700]  All right, I appreciate your call.
[49:57.700 --> 50:02.700]  Have you ever seen The Running Man with Arnold Schwarzenegger and Jesse Ventura?
[50:02.700 --> 50:12.700]  In The Running Man, it starts with the image of a city and militarized police on street corners and big billboards saying,
[50:12.700 --> 50:16.700]  we're looking for wanted people, and be sure and have your ID card.
[50:16.700 --> 50:24.700]  See, first, under federal funds, they put in these billboards to, quote, look for lost Alzheimer's patients and kidnap children.
[50:24.700 --> 50:30.700]  Now they say, report illegal guns, creating the perception that guns are illegal when they're not.
[50:30.700 --> 50:33.700]  Or call this hotline, report terrorism.
[50:33.700 --> 50:37.700]  And they're training all the police departments to look for roadside bombs.
[50:37.700 --> 50:39.700]  Now, there's a box on the side of the road.
[50:39.700 --> 50:40.700]  They shut the highway down.
[50:40.700 --> 50:41.700]  Everybody panics.
[50:41.700 --> 50:49.700]  This is so we're all scared and fearful and accept the good men in black uniforms saving us.
[50:49.700 --> 50:54.700]  When the good guys in black uniforms actually work for the terrorist that own and run the country.
[50:54.700 --> 50:57.700]  It's very simple.
[50:57.700 --> 51:02.700]  What would the mafia do 100 and something years ago in New York or Chicago or New Jersey?
[51:02.700 --> 51:10.700]  They would come to you and say, somebody's going to burn your grocery store down or your laundry mat or your tannery.
[51:10.700 --> 51:15.700]  If you don't pay me insurance and if you didn't pay, they'd burn you out.
[51:15.700 --> 51:17.700]  Well, that's the globalist.
[51:17.700 --> 51:22.700]  Unless your rights or terrorist are going to get you, it's very, very simple.
[51:22.700 --> 51:27.700]  And if you keep living in denial, folks, they're going to win, period.
[51:27.700 --> 51:29.700]  Yes, this is the police state.
[51:29.700 --> 51:32.700]  This is the classic Orwellville.
[51:32.700 --> 51:34.700]  My wife was in Barnes and Nobles.
[51:34.700 --> 51:36.700]  I've seen this online, but she witnessed it.
[51:36.700 --> 51:40.700]  Just giant children's sections on Obama and giant posters of Obama.
[51:40.700 --> 51:42.700]  It's like Nazi Germany or something.
[51:42.700 --> 51:44.700]  But again, he's just a front man.
[51:44.700 --> 51:46.700]  The point is the establishment's making him a messianic leader.
[51:46.700 --> 51:48.700]  Dan in Alaska, you're on the air.
[51:48.700 --> 51:50.700]  Hey, Alex.
[51:50.700 --> 51:53.700]  I just want to thank you for everything that you do, man.
[51:53.700 --> 51:56.700]  I'm in the military, number one.
[51:56.700 --> 52:01.700]  I actually am a member of PrisonPlanet.tv.
[52:01.700 --> 52:05.700]  And I have a bad habit of going in and playing your stuff all over at work.
[52:05.700 --> 52:13.700]  And it's kind of amazing to sit there and watch my brothers-in-arms, their jaws wide open, looking at this stuff going, my gosh.
[52:13.700 --> 52:16.700]  But thank you for everything that you put out on the net.
[52:16.700 --> 52:19.700]  I've got a question for you about sovereignty.
[52:19.700 --> 52:27.700]  Number one, I do understand that if 34 states get together, that it can actually overthrow the federal government,
[52:27.700 --> 52:32.700]  which I pray that it happens because it needs to happen and fast.
[52:32.700 --> 52:39.700]  But kind of a concern I've got, what if that is in their plans?
[52:39.700 --> 52:41.700]  What if the globalists have already thought about this
[52:41.700 --> 52:48.700]  and are planning on this so they can use the divide and conquer type of theory?
[52:48.700 --> 52:52.700]  Well, you're at very astute points, sir.
[52:52.700 --> 52:55.700]  First off, justice be done, may the heavens fall.
[52:55.700 --> 53:02.700]  But the establishment is going to build sovereignty being declared as the session.
[53:02.700 --> 53:07.700]  We're not saying have the states secede like what happened with the Confederacy,
[53:07.700 --> 53:13.700]  then to create a new country. We're saying the states can abolish or change the federal government in any way they wish.
[53:13.700 --> 53:16.700]  That's the 9th and 10th Amendment folks. It's in the Constitution.
[53:16.700 --> 53:23.700]  They've taught school kids that's not the case. It is an absolute, inviolate fact that cannot be violated.
[53:23.700 --> 53:25.700]  It is the reality of it.
[53:25.700 --> 53:27.700]  But yes, in any course, there is danger.
[53:27.700 --> 53:36.700]  That's why it's so good that now 30 states are passing or on the verge of passing 9th and 10th Amendment declarations that are specific.
[53:36.700 --> 53:40.700]  They're not leaving the Union. We are declaring sovereignty under the 10th and 9th Amendment.
[53:40.700 --> 53:47.700]  And then New Hampshire and other states state, if you continue, we're going to move for the states to vote to abolish you
[53:47.700 --> 53:50.700]  and for investigations to arrest you.
[53:50.700 --> 53:52.700]  See, so that's how this works.
[53:52.700 --> 53:59.700]  And so as long as the message is constitutional, will there be some control freaks and bad guys low level to try to take control?
[53:59.700 --> 54:04.700]  That always happens. But let me add, we have to do this now because the globalists create regional governments.
[54:04.700 --> 54:07.700]  They're creating the North American Union, Mexico, Canada, the U.S.
[54:07.700 --> 54:12.700]  Then they do plan on breaking apart into ethnic enclaves, the Southwest. This is on record.
[54:12.700 --> 54:16.700]  And other areas that will be controlled by regional paramilitary forces.
[54:16.700 --> 54:20.700]  So they plan through the 10 FEMA regions to break up the U.S.
[54:20.700 --> 54:26.700]  The federal government's already fallen to offshore intrigue and banking takeover through espionage publicly.
[54:26.700 --> 54:29.700]  That's what this neural order is. So it's already gone.
[54:29.700 --> 54:35.700]  We must have the states do this to reconstitute the Republic.
[54:35.700 --> 54:37.700]  Nice. Okay. Yeah, awesome.
[54:37.700 --> 54:41.700]  And I just want to, you know, a couple of callers ago, he was saying, what's your plan?
[54:41.700 --> 54:43.700]  You know, this is already, it's already happened.
[54:43.700 --> 54:46.700]  It's basically saying it's too late. Ain't wrong. It's not too late.
[54:46.700 --> 54:49.700]  And thinking like that will allow this to happen.
[54:49.700 --> 54:53.700]  People, you got to realize that they work for us.
[54:53.700 --> 54:55.700]  We do not work for them.
[54:55.700 --> 54:59.700]  You're a governor. You're the legislature. You know, all them people work for us.
[54:59.700 --> 55:01.700]  That's right. Let me stop you. You're absolutely right.
[55:01.700 --> 55:03.700]  It's a mind trick that we can't resist.
[55:03.700 --> 55:07.700]  They've been moving to take over the U.S. because they're scared of the American people.
[55:07.700 --> 55:11.700]  They know we could take the government back and bring these bankers that have looted us and robbed us by design.
[55:11.700 --> 55:13.700]  This isn't an accident to justice.
[55:13.700 --> 55:16.700]  But getting back to the military, I haven't started this initiative.
[55:16.700 --> 55:21.700]  Listeners have started the initiative to send a Northcom at National Guard troops now into Northcom.
[55:21.700 --> 55:25.700]  My videos, make copies of them, get them out. There's a video up on infowars.com.
[55:25.700 --> 55:27.700]  It's Alex Jones 2012.com.
[55:27.700 --> 55:30.700]  I'm not saying I'm running for president. Somebody else wants this.
[55:30.700 --> 55:38.700]  But the issue is the fact that they're, look, if we educate the military and police and show them how offshore banks are taking us over
[55:38.700 --> 55:42.700]  and show them the documents, there's no way it can happen.
[55:42.700 --> 55:45.700]  We've got a good chance of beating this if we just take action.
[55:45.700 --> 55:50.700]  But if we have that loser attitude that we don't have any chance, you might as well just roll over and die.
[55:50.700 --> 55:54.700]  Absolutely. You're absolutely correct.
[55:54.700 --> 55:56.700]  We have guns for a reason, people.
[55:56.700 --> 55:58.700]  If you want 50 bucks, send me your guns.
[55:58.700 --> 55:59.700]  I'll give you 50 bucks.
[55:59.700 --> 56:01.700]  I put an ad on Craigslist.
[56:01.700 --> 56:03.700]  $100 for your guns. No questions asked.
[56:03.700 --> 56:04.700]  I got two hits.
[56:04.700 --> 56:06.700]  So I'm going to disperse them.
[56:06.700 --> 56:13.700]  I'll spread them back out there and keep them out to the people that want to use them and want to express their second amendment.
[56:13.700 --> 56:16.700]  Because once we lose that, we're done.
[56:16.700 --> 56:17.700]  That's it. We're done.
[56:17.700 --> 56:24.700]  And another thing that really pisses me off is these people talking about how the Earth is so overpopulated, blah, blah, blah, whatever.
[56:24.700 --> 56:25.700]  Check this out.
[56:25.700 --> 56:29.700]  There is 2.9 million miles in Australia.
[56:29.700 --> 56:32.700]  There's 640 acres in one mile.
[56:32.700 --> 56:38.700]  So if you multiply those numbers, you get 1.8 billion acres.
[56:38.700 --> 56:40.700]  Alright, let's take that down into quarter acres.
[56:40.700 --> 56:44.700]  That's 7.5 billion quarter acres.
[56:44.700 --> 56:46.700]  How many people are there in the world again, Alex?
[56:46.700 --> 56:48.700]  A little over 6 billion, right?
[56:48.700 --> 56:51.700]  Well, number one, the population is going to plane off at 8.5 billion.
[56:51.700 --> 56:53.700]  That's all the government's own numbers.
[56:53.700 --> 57:05.700]  Again, they're teaching us that we don't have resources so they can come in and tax and regulate every facet of our lives by taxing the carbon system of the planet, the carbon cycle.
[57:05.700 --> 57:07.700]  It is the most dastardly plan ever.
[57:07.700 --> 57:08.700]  But let me ask you this.
[57:08.700 --> 57:10.700]  We've educated the military and police.
[57:10.700 --> 57:11.700]  We told them all this was coming.
[57:11.700 --> 57:12.700]  A lot of them laughed.
[57:12.700 --> 57:16.700]  And now they're all waking up, literally, because so much of what we said has now come true.
[57:16.700 --> 57:20.700]  When you talk to folks up there in the military, are they waking up?
[57:20.700 --> 57:21.700]  Oh, yeah.
[57:21.700 --> 57:28.700]  I've got one guy that sits there and fights me on, you know, the difference between creation and evolution.
[57:28.700 --> 57:29.700]  It's all evolution.
[57:29.700 --> 57:30.700]  Oh, really?
[57:30.700 --> 57:33.700]  Everything that they've always shown has always been false.
[57:33.700 --> 57:38.700]  But yet, when he sits there and he watches your shows, he has nothing to say.
[57:38.700 --> 57:40.700]  I even asked him the other night, what do you think about this stuff?
[57:40.700 --> 57:41.700]  I don't know.
[57:41.700 --> 57:49.700]  He says, you know, you just didn't hear, you're showing them their own documents like you always preach, their own documents.
[57:49.700 --> 57:50.700]  Exactly.
[57:50.700 --> 57:56.700]  So like civilian inmate labor camp program, army.mil secret FEMA camps built.
[57:56.700 --> 57:58.700]  Now they admit it with Americans already in them.
